house_change_analysis_period_start,house_change_analysis_period_end,house_change_ward_lgd_code,house_change_median_rent_change_pct,house_change_median_value_change_pct,house_change_income_change_pct,house_change_education_ba_share_change,house_change_racial_composition_shift_index,house_change_business_turnover_rate,house_change_new_building_permits_rate,house_change_short_term_rental_density,house_change_property_tax_increase_pct,house_change_cost_burden_change_pct,house_change_eviction_rate_change,house_change_foreclosure_rate_change,house_change_transit_access_change_score,house_change_amenity_openings_count,house_change_anti_displacement_policy_flag,house_change_vulnerability_score,house_change_gentrification_stage_code
2019-07-07,2019-11-02,LGD-W-5941947,-20.3,70.2,20.19,25.09,55.78,59.32,37.4,10.13,54.44,19.1,-5.285,6.029,-12.81,36,Y,31.44,Accelerating
2022-02-25,2022-08-08,LGD-W-2917353,35.96,80.85,31.75,-11.97,46.54,33.39,25.72,16.2,42.59,-3.85,5.841,1.311,0.07,200,Y,70.4,Emerging
2020-11-08,2022-01-08,LGD-W-6519424,10.28,48.48,11.76,7.26,68.44,11.8,35.75,11.753,-1.9,32.48,4.783,3.341,16.94,210,Y,39.99,Accelerating
2020-03-19,2020-06-22,LGD-W-8106413,40.67,-25.82,-0.8,11.86,95.98,30.8,6.1,15.423,51.38,-13.27,11.101,3.71,20.82,49,N,61.12,EarlySignals
2019-10-31,2021-03-25,LGD-W-1107672,-18.66,12.29,-9.73,2.29,38.57,27.88,4.23,20.238,46.53,-3.61,7.865,3.224,-32.95,179,N,12.79,EarlySignals
2021-04-07,2022-12-18,LGD-W-9977586,10.42,51.1,3.39,2.9,12.02,4.09,9.21,13.248,52.19,1.34,-3.96,6.182,-14.77,190,N,19.05,AtRisk
2023-05-27,2023-12-28,LGD-W-8700427,44.33,-9.15,33.29,8.1,57.12,50.13,15.69,15.625,33.86,0.58,4.803,1.042,34.76,192,N,31.96,AtRisk
2022-06-03,2022-10-14,LGD-W-3422562,7.63,-26.45,32.37,-8.07,28.2,55.85,20.45,5.37,12.97,1.62,8.848,6.362,25.99,3,Y,30.91,AtRisk
2021-04-07,2022-10-17,LGD-W-1415680,-1.1,19.46,24.82,8.12,85.87,58.48,40.34,19.012,59.63,34.32,5.278,4.105,20.14,41,Y,51.92,LateStage
2020-10-08,2022-09-10,LGD-W-9841671,17.51,-21.2,19.87,-4.06,87.29,42.19,38.65,8.226,6.21,28.4,4.012,2.035,-29.05,9,N,88.12,Stabilizing
2018-11-03,2019-02-04,LGD-W-8634127,45.9,0.22,-11.24,-10.98,77.17,31.03,28.34,14.641,10.16,6.7,-1.473,5.408,-6.1,125,Y,25.22,Accelerating
2018-05-11,2019-01-28,LGD-W-7002385,53.65,76.92,18.67,-10.83,68.97,40.37,10.71,8.321,32.94,12.05,-0.805,4.334,8.09,94,N,72.96,EarlySignals
2018-02-20,2019-05-06,LGD-W-8847706,16.06,65.27,32.6,27.01,50.79,48.55,0.57,2.894,24.59,10.52,-2.797,-2.046,5.76,114,Y,50.0,LateStage
2022-09-09,2023-12-26,LGD-W-1825641,25.55,10.56,43.77,13.39,47.08,4.66,34.9,10.269,12.27,15.77,10.632,4.346,-13.79,93,Y,13.11,LateStage
2018-03-14,2020-01-07,LGD-W-1159521,35.65,-5.05,40.66,18.61,93.97,31.78,36.71,10.654,60.72,-11.43,4.432,-0.929,1.8,130,N,21.89,LateStage
2021-07-30,2022-06-18,LGD-W-2558910,22.02,-18.54,23.37,16.07,48.57,24.03,19.52,16.341,25.98,24.43,8.597,3.888,-33.15,33,Y,79.07,AtRisk
2021-05-01,2023-02-23,LGD-W-7338364,0.13,27.75,20.06,-10.8,54.4,21.54,8.9,13.94,26.87,22.61,0.526,3.04,-13.1,75,N,65.48,Stabilizing
2021-01-16,2022-06-09,LGD-W-8353777,11.76,-26.47,-5.22,3.83,25.88,12.53,9.44,7.605,51.08,0.62,4.339,4.101,-8.76,196,Y,98.6,AtRisk
2021-11-07,2023-08-14,LGD-W-4933689,-13.27,11.3,17.6,-11.83,65.36,8.17,12.19,1.2,57.64,24.08,-0.64,5.844,-34.27,69,N,29.04,Emerging
2024-11-25,2025-05-05,LGD-W-2794156,18.78,-14.47,-3.6,0.52,96.07,46.5,12.5,8.971,15.33,-13.63,-5.902,6.203,-9.84,205,Y,18.21,Stabilizing
2022-02-01,2023-05-26,LGD-W-6136449,12.61,19.08,-10.65,8.41,64.55,31.34,4.62,2.985,-1.51,29.07,-3.816,-0.969,-7.22,111,Y,83.73,LateStage
2022-12-30,2024-10-16,LGD-W-2263101,-23.79,61.29,18.06,11.99,71.16,36.54,12.58,21.241,32.64,-11.73,11.892,2.719,-4.77,203,N,98.28,Stabilizing
2021-03-20,2021-09-16,LGD-W-9988491,4.97,13.97,35.41,4.49,33.3,40.05,13.04,0.486,26.04,-4.5,-1.549,1.386,11.31,42,Y,55.22,Stabilizing
2024-06-02,2024-12-14,LGD-W-7370982,9.53,-20.65,-14.09,16.03,64.35,0.56,40.5,2.778,48.8,23.07,11.549,0.358,-26.34,106,Y,70.56,LateStage
2020-07-18,2022-07-15,LGD-W-4857508,-3.47,69.41,21.09,-5.0,91.15,23.03,39.67,9.935,49.98,3.08,-4.267,1.37,-22.45,202,Y,15.06,EarlySignals
2019-11-09,2021-10-28,LGD-W-5189076,42.43,56.37,21.0,12.32,3.34,44.85,5.47,3.933,1.09,18.04,-3.344,0.234,8.38,174,Y,36.49,LateStage
2022-09-17,2022-12-18,LGD-W-7131734,52.95,-6.32,-2.27,18.16,36.26,44.01,21.53,7.299,27.29,-1.29,1.862,-2.853,-31.92,56,N,95.73,Stabilizing
2020-08-15,2022-03-16,LGD-W-6465206,-9.04,-0.07,43.01,6.47,9.0,27.53,0.44,5.653,47.24,10.29,-0.743,3.925,-21.83,153,Y,73.24,AtRisk
2022-12-16,2023-04-27,LGD-W-4446975,-7.92,50.55,22.44,24.36,71.24,53.85,33.21,13.796,39.68,26.27,9.839,-0.118,11.31,181,N,28.36,AtRisk
2023-12-13,2025-06-18,LGD-W-7994983,34.72,20.28,17.03,2.35,89.29,11.61,13.1,12.054,8.13,28.85,-4.782,1.733,-3.48,188,Y,28.36,Accelerating
2022-12-18,2024-04-01,LGD-W-2825120,-6.09,-22.22,-17.69,-8.92,41.79,23.06,30.8,3.41,17.15,-3.93,-1.058,2.019,-29.2,56,Y,34.93,EarlySignals
2019-05-15,2021-04-07,LGD-W-3074434,51.59,83.38,31.33,-9.16,46.95,26.64,33.59,9.683,43.28,8.84,1.071,5.143,12.19,99,Y,94.7,Accelerating
2024-05-16,2025-12-16,LGD-W-8982653,30.44,-21.27,24.02,26.98,68.6,22.12,23.11,10.621,21.16,-8.53,-2.598,6.519,21.51,209,N,43.97,AtRisk
2023-01-02,2024-07-26,LGD-W-1839394,1.58,8.98,26.37,9.15,24.61,23.61,8.18,6.741,32.38,-10.15,-1.505,1.426,-23.53,28,N,92.23,Stabilizing
2021-02-23,2022-01-01,LGD-W-1006948,8.4,42.09,6.11,21.55,75.66,25.55,14.67,20.044,59.12,5.22,8.678,-2.124,29.79,96,Y,94.22,AtRisk
2018-03-06,2019-09-07,LGD-W-9283958,53.52,35.59,21.02,15.5,57.22,38.11,34.25,13.649,34.65,1.03,-0.716,4.253,-1.44,109,Y,69.72,Emerging
2023-05-21,2025-01-04,LGD-W-1730635,17.46,75.88,11.1,23.63,0.12,38.58,42.52,10.032,34.74,18.86,11.013,1.201,-26.13,18,N,5.18,Accelerating
2018-10-25,2020-05-25,LGD-W-9411765,54.03,-10.06,-10.73,-2.27,28.13,47.58,42.76,16.536,64.43,-12.99,-5.638,-2.548,-23.57,101,Y,76.35,EarlySignals
2024-09-11,2025-03-21,LGD-W-4648407,11.21,37.69,21.54,6.14,59.05,35.77,22.08,8.518,35.47,30.13,8.207,4.405,-19.48,38,Y,94.85,Emerging
2018-04-24,2019-05-21,LGD-W-4241724,-6.24,12.26,-10.4,15.04,13.07,18.39,4.24,9.501,12.58,20.77,-5.338,-1.268,-30.24,54,Y,76.04,EarlySignals
2018-10-16,2019-03-29,LGD-W-8719770,41.49,-2.94,8.29,-8.89,29.74,14.39,3.36,0.617,5.21,1.41,4.894,3.414,1.01,107,Y,6.55,Stabilizing
2020-06-18,2021-09-02,LGD-W-7629330,-1.62,46.59,7.27,-9.06,24.23,8.37,26.18,5.312,35.73,22.56,11.414,2.95,15.68,112,N,27.12,Accelerating
2024-04-15,2025-04-12,LGD-W-1781064,23.15,41.35,2.02,-8.91,8.97,21.48,21.33,13.951,33.66,13.63,-1.619,1.113,-10.12,103,Y,67.62,Stabilizing
2019-12-29,2020-06-07,LGD-W-2714558,33.44,82.08,43.2,9.19,4.03,14.77,4.25,5.445,13.44,-14.53,8.265,1.239,-6.02,214,Y,0.09,AtRisk
2022-05-30,2023-05-24,LGD-W-9673951,-23.96,21.78,-15.11,3.51,17.66,29.58,8.47,9.215,4.34,-7.02,10.98,-1.368,2.14,79,N,7.63,AtRisk
2023-04-09,2024-11-16,LGD-W-2430151,2.59,33.59,0.55,27.69,55.45,13.82,37.51,9.374,-4.01,6.85,6.417,-2.609,31.32,119,Y,31.61,AtRisk
2020-04-02,2021-03-01,LGD-W-7986613,52.46,-5.44,-5.37,18.03,58.71,21.03,5.01,4.216,37.28,-0.08,-4.553,2.605,26.14,140,N,29.02,Accelerating
2023-03-31,2023-12-21,LGD-W-3899113,-0.31,-5.58,16.27,26.42,49.69,59.98,0.72,2.201,9.95,15.12,-3.445,6.29,-25.33,53,Y,62.13,EarlySignals
2018-07-22,2019-09-03,LGD-W-4220431,40.64,5.75,-11.4,13.31,73.2,47.77,32.71,1.743,49.52,4.48,10.677,-0.157,17.89,140,N,77.51,AtRisk
2022-12-08,2024-09-05,LGD-W-9253095,-1.25,-5.64,11.19,-5.06,36.33,26.32,19.83,6.016,6.01,23.48,4.987,-2.097,17.66,95,N,95.44,EarlySignals
2021-11-21,2023-04-16,LGD-W-7183404,36.26,79.38,38.0,15.87,20.9,38.87,19.13,8.267,25.44,-1.35,5.887,2.263,-9.14,29,Y,54.96,Emerging
2020-04-24,2021-03-13,LGD-W-3991572,8.4,12.21,13.08,-2.44,32.8,46.58,28.37,13.374,59.96,5.15,-4.067,0.461,-0.82,216,Y,80.37,LateStage
2023-04-14,2023-08-08,LGD-W-8918019,51.01,10.94,21.99,15.11,64.62,50.15,21.85,16.834,19.28,13.43,-4.298,5.446,-0.49,178,N,74.94,Stabilizing
2019-04-22,2020-10-02,LGD-W-8576005,44.87,18.72,-13.51,5.2,71.17,15.21,19.37,17.705,10.53,-10.82,0.22,2.56,-0.52,74,N,1.0,LateStage
2021-10-18,2022-07-10,LGD-W-1569812,38.93,56.97,35.86,9.73,58.23,19.48,12.16,11.087,34.52,7.62,1.813,2.521,-9.87,156,Y,75.71,AtRisk
2018-09-16,2019-10-07,LGD-W-7088509,-11.82,65.07,7.05,6.66,22.95,58.73,23.76,9.45,22.43,4.26,10.12,1.904,-20.18,162,N,25.42,EarlySignals
2024-10-11,2025-01-20,LGD-W-1071276,31.27,10.65,-12.34,19.08,24.7,10.01,43.52,12.135,21.95,12.32,-5.946,-1.91,17.19,202,N,17.62,Emerging
2018-08-19,2019-11-11,LGD-W-9009425,-17.93,-2.33,34.24,27.92,96.45,57.39,18.83,21.082,49.39,27.59,5.339,0.216,-9.06,180,N,81.8,AtRisk
2024-12-15,2026-10-29,LGD-W-4898177,23.89,35.91,36.54,-10.26,33.28,42.74,6.52,1.643,64.96,25.96,3.868,5.039,-2.28,116,N,99.37,Accelerating
2021-11-27,2023-06-05,LGD-W-8284195,40.39,50.03,-7.03,23.29,29.88,41.24,4.47,2.903,24.88,16.27,9.55,0.963,33.92,9,Y,64.93,EarlySignals
2020-06-27,2021-09-05,LGD-W-5375578,28.47,75.8,23.94,0.51,73.74,5.72,3.36,17.247,61.89,2.8,-5.838,0.477,18.42,53,Y,3.3,EarlySignals
2020-04-24,2021-05-15,LGD-W-9504797,-22.15,35.23,-9.67,4.73,19.76,46.25,18.48,15.034,12.59,30.95,2.363,4.275,6.64,53,Y,62.7,AtRisk
2019-02-01,2020-09-28,LGD-W-4261204,-1.91,74.53,26.07,11.26,5.09,55.19,8.02,0.397,18.98,19.35,2.791,6.895,20.28,92,N,71.11,LateStage
2018-07-06,2018-10-19,LGD-W-7403646,37.38,12.72,-5.24,9.28,98.4,42.22,40.78,0.522,59.96,-12.43,9.373,3.414,12.18,10,Y,39.48,Accelerating
2020-09-02,2022-04-28,LGD-W-7358033,-11.78,74.47,-0.21,-8.23,25.51,29.96,37.68,13.757,21.49,-8.9,1.376,5.98,29.89,169,N,47.45,Stabilizing
2019-10-08,2020-04-18,LGD-W-1192569,22.65,15.56,-14.82,0.96,77.99,36.18,31.3,3.129,43.82,31.45,0.035,5.869,-31.23,118,Y,13.86,AtRisk
2024-03-21,2025-05-31,LGD-W-6953777,-7.84,46.0,25.68,24.24,20.28,43.62,3.17,2.84,49.13,0.37,9.365,1.77,19.92,42,N,4.87,EarlySignals
2020-06-26,2021-07-03,LGD-W-5526152,31.32,75.78,-9.83,1.38,30.62,9.95,15.75,5.081,26.68,-3.14,11.745,3.48,23.76,199,Y,83.54,LateStage
2023-08-13,2024-01-23,LGD-W-9013361,-9.4,-24.26,6.58,-3.18,91.71,55.49,27.71,4.455,4.32,-11.46,8.542,2.429,-3.18,10,Y,7.46,Emerging
2019-03-30,2021-03-24,LGD-W-5259087,50.53,23.7,20.41,7.33,2.31,2.48,20.6,3.524,25.59,14.32,9.938,5.795,-28.67,172,N,74.42,Stabilizing
2022-07-19,2023-08-20,LGD-W-9054359,42.33,7.2,6.39,6.74,38.84,43.13,1.04,18.323,57.57,23.26,0.684,0.651,1.57,190,Y,75.45,EarlySignals
2023-11-13,2025-02-05,LGD-W-2412984,37.94,78.07,28.67,2.33,68.0,29.08,0.4,17.632,37.65,30.11,4.141,-2.317,-6.1,190,Y,5.83,Emerging
2024-05-19,2024-09-27,LGD-W-8982781,-24.21,11.23,5.45,26.61,4.02,1.21,43.62,12.484,42.25,18.64,6.31,6.137,-27.06,192,N,19.7,LateStage
2020-09-23,2021-01-09,LGD-W-9828560,-12.92,13.29,28.79,11.16,35.2,5.21,34.72,4.509,26.05,3.77,8.614,-2.799,11.9,35,N,29.65,Emerging
2020-12-08,2021-08-31,LGD-W-4474695,-20.67,1.98,-15.74,20.29,21.66,47.27,26.15,12.816,16.42,-14.84,-5.845,1.374,27.69,205,Y,89.06,Accelerating
2022-02-02,2023-07-10,LGD-W-8571315,17.59,33.39,35.56,-1.18,17.41,1.77,36.32,16.449,1.33,-9.87,7.497,5.57,3.99,179,Y,86.55,Emerging
2021-03-20,2022-12-22,LGD-W-2883155,-7.5,40.87,23.3,16.44,62.47,18.57,31.67,3.333,2.48,12.02,5.978,-1.766,-25.47,48,Y,49.17,EarlySignals
2022-10-09,2024-07-09,LGD-W-7666744,-0.02,25.27,20.65,27.66,10.47,30.6,21.88,0.613,53.88,28.72,9.531,2.462,-20.69,115,N,94.12,EarlySignals
2024-07-31,2025-05-02,LGD-W-5076805,49.22,55.2,44.68,-4.44,77.95,37.57,28.67,16.261,-1.64,-3.81,3.546,-2.433,26.04,200,Y,53.95,Emerging
2022-09-15,2023-10-25,LGD-W-8867648,21.85,49.22,19.33,0.67,76.99,43.15,44.35,8.126,61.33,12.47,-4.464,4.685,-29.5,29,N,6.87,Stabilizing
2020-02-07,2020-09-04,LGD-W-3071944,2.39,35.72,42.06,19.96,12.23,5.84,14.83,9.556,25.93,18.58,-2.021,6.818,-12.29,106,Y,78.48,EarlySignals
2019-07-16,2021-04-17,LGD-W-9734877,28.12,64.13,37.53,14.79,41.25,29.43,33.08,11.513,-4.75,-9.89,-1.868,3.56,-1.81,202,Y,94.83,Emerging
2019-08-12,2020-08-23,LGD-W-3667174,11.4,21.4,38.8,-11.39,19.87,10.69,22.57,17.277,20.02,-13.55,5.543,-1.351,19.8,74,Y,20.38,Stabilizing
2022-12-31,2024-05-24,LGD-W-9236718,19.31,3.74,19.99,13.31,72.56,6.35,40.18,20.196,32.95,2.47,3.699,-2.562,-21.58,73,Y,42.41,AtRisk
2023-04-29,2024-08-18,LGD-W-3696518,-4.28,12.19,13.6,26.96,17.42,33.38,20.54,12.585,62.06,5.07,-0.722,4.801,-32.85,39,N,34.53,LateStage
2019-08-15,2020-07-15,LGD-W-8982355,33.07,2.06,39.59,5.76,9.51,20.01,40.83,3.894,26.3,32.51,6.598,1.381,-33.08,93,N,93.36,EarlySignals
2020-09-27,2021-06-07,LGD-W-5920660,41.6,25.78,-5.83,0.81,50.44,41.94,16.67,1.783,32.86,-13.22,3.003,5.09,6.28,53,Y,34.48,Stabilizing
2024-09-13,2025-12-25,LGD-W-3352166,-21.37,-9.09,5.46,-7.1,14.53,58.64,15.0,7.154,15.7,-10.75,6.014,3.936,-6.26,194,N,73.06,AtRisk
2022-08-08,2023-04-22,LGD-W-2636941,47.66,33.03,-10.71,20.57,3.36,43.0,1.79,21.078,55.97,-6.5,-5.935,-1.167,-1.61,200,Y,17.75,Accelerating
2020-01-18,2021-03-25,LGD-W-7391218,11.67,-23.8,41.55,14.98,13.36,29.42,28.7,1.464,61.46,17.14,4.438,5.884,-21.42,98,Y,84.43,AtRisk
2022-04-17,2024-02-06,LGD-W-4786511,-10.96,0.23,-16.43,9.9,59.03,38.98,10.37,4.092,30.61,31.69,-2.246,2.713,-22.38,71,Y,38.68,LateStage
2019-06-11,2020-12-29,LGD-W-1384420,41.82,62.79,30.99,-0.61,77.71,59.04,22.27,21.909,15.91,-13.44,-1.918,-2.287,6.78,219,N,92.49,LateStage
2018-07-01,2020-06-22,LGD-W-9286977,37.12,-15.08,-0.64,9.12,49.61,59.66,12.45,21.513,28.38,14.43,-3.091,0.4,-10.3,79,Y,91.96,EarlySignals
2021-05-04,2021-12-18,LGD-W-5100893,-15.82,79.29,-1.54,25.36,38.49,23.34,14.34,18.04,40.55,26.75,2.959,5.864,25.7,20,N,16.06,LateStage
2018-04-24,2019-03-06,LGD-W-6855746,12.19,-1.46,26.04,-2.72,86.94,27.3,32.07,6.276,35.83,21.14,-1.486,-0.028,33.94,30,N,86.65,LateStage
2018-08-26,2018-12-03,LGD-W-9995641,-16.09,-4.1,3.62,4.64,23.99,46.41,17.58,7.044,45.16,17.69,7.007,1.632,-21.32,154,N,78.05,EarlySignals
2020-11-27,2021-11-05,LGD-W-9588662,50.11,58.68,37.16,22.32,56.58,22.31,43.0,0.582,55.37,-4.8,10.225,1.73,-5.83,0,Y,66.19,LateStage
2020-07-25,2021-07-02,LGD-W-6912217,22.0,13.96,44.81,26.41,24.41,17.86,16.17,6.149,16.39,-14.91,10.169,0.911,-20.18,197,N,59.17,EarlySignals
2023-05-03,2024-06-30,LGD-W-9360481,52.44,65.58,16.36,12.12,28.06,56.93,37.93,2.802,61.03,31.29,4.725,0.54,-10.36,33,N,90.58,AtRisk
2022-12-02,2023-12-25,LGD-W-2970506,20.44,42.21,30.35,20.92,79.06,5.85,2.11,7.367,3.71,8.79,1.836,0.356,-0.19,76,Y,70.33,Accelerating
2024-10-07,2026-08-28,LGD-W-7261409,48.36,-12.66,-5.52,13.13,91.99,8.05,8.94,12.475,35.72,18.43,5.04,3.289,10.27,12,Y,94.1,Stabilizing
2022-01-30,2023-12-29,LGD-W-3900676,-5.62,19.64,-10.22,-9.68,93.34,20.79,30.92,8.776,2.99,-13.18,11.883,5.054,2.05,197,Y,76.52,LateStage
2019-07-25,2021-06-09,LGD-W-9752660,25.54,27.28,17.16,20.56,60.79,54.26,3.87,6.494,17.17,31.25,4.945,-1.157,24.81,169,N,50.62,LateStage
2023-11-25,2025-09-28,LGD-W-5939934,48.72,84.14,3.14,20.39,16.83,54.99,25.71,10.964,17.95,12.78,2.114,6.941,-19.01,137,N,59.06,Emerging
2018-01-12,2019-09-28,LGD-W-9784414,23.95,69.77,8.51,15.78,16.88,28.19,6.82,5.002,27.38,7.07,-1.948,3.123,6.18,80,N,76.79,EarlySignals
2023-04-01,2024-04-16,LGD-W-2466444,7.97,47.37,15.71,3.61,88.22,28.84,21.76,1.032,9.2,-7.78,9.326,6.374,-24.23,84,Y,19.37,Emerging
2018-09-17,2020-01-30,LGD-W-8373812,-13.89,46.61,28.79,25.81,71.16,22.73,1.03,15.277,1.8,22.36,10.825,-0.1,30.57,88,Y,0.33,Emerging
2024-08-21,2025-08-20,LGD-W-9531607,-2.09,-26.43,-9.69,-10.03,51.48,16.29,7.18,2.835,54.31,22.64,-0.425,-1.263,13.78,61,N,43.2,Stabilizing
