food_access_assessment_year,food_access_neighborhood_index_id,food_access_grocery_store_distance_miles,food_access_supermarket_density_per_10k,food_access_farmers_market_access_flag,food_access_snap_authorized_retailer_count,food_access_wic_vendor_count,food_access_food_desert_classification,food_access_healthy_food_availability_score,food_access_price_healthy_basket_usd,food_access_fast_food_density_per_10k,food_access_sugary_drink_outlet_density,food_access_school_meal_coverage_rate,food_access_community_garden_count,food_access_public_transit_to_food_score,food_access_diet_related_disease_risk_score,food_access_household_food_insecurity_rate,food_access_nutrition_education_program_flag,food_access_cultural_food_preference_index,food_access_policy_support_score
2020,NBH0000000030,3.804,7.4122,1,2857,617,URBAN_LOW_ACCESS,15.95,273.34,6.0029,17.1259,0.45,244,38.71,85.78,39.31,0,45.05,17.37
2012,NBH0000000031,5.706,4.9141,1,1946,1589,NO_DESERT,27.52,291.67,25.2947,14.3134,68.86,195,31.54,42.47,3.29,1,81.94,88.45
2021,NBH0000000032,10.802,1.9148,1,1806,1278,NO_DESERT,7.36,157.36,17.3872,16.3792,73.95,264,40.76,72.2,44.93,1,53.36,43.28
2012,NBH0000000033,22.07,9.6904,0,2272,699,RURAL_LOW_ACCESS,30.51,31.14,18.5309,13.0534,26.75,34,24.95,45.3,22.46,0,9.97,46.42
2023,NBH0000000034,15.108,1.9256,1,3802,1737,URBAN_LOW_ACCESS,3.74,340.82,8.1622,4.0659,79.09,261,5.67,71.18,16.36,0,2.17,38.28
2015,NBH0000000035,2.83,7.8507,0,555,138,LOW_ACCESS,66.45,109.7,15.4893,21.6426,19.6,104,13.07,37.6,20.72,0,45.43,17.53
2012,NBH0000000036,8.916,8.5107,0,3442,755,NO_DESERT,5.75,49.05,7.5216,7.2517,96.51,416,83.3,31.62,27.08,0,96.03,88.18
2015,NBH0000000037,24.96,3.8017,0,176,375,RURAL_LOW_ACCESS,65.72,96.19,14.9828,20.9493,48.56,14,62.43,19.84,5.94,1,91.43,14.39
2024,NBH0000000038,11.752,1.8279,1,3724,110,NO_DESERT,71.2,100.15,18.9779,24.9029,47.88,293,69.94,10.84,30.23,0,40.27,31.97
2014,NBH0000000039,18.738,8.5244,1,1373,723,NO_DESERT,41.33,137.96,27.2411,11.5389,96.49,148,39.94,94.83,26.26,1,34.16,45.92
2024,NBH0000000040,2.217,11.701,0,3325,63,NO_DESERT,89.02,195.02,0.9091,1.9271,18.55,396,11.5,57.42,10.17,0,7.42,45.8
2021,NBH0000000041,12.569,5.5236,1,176,1120,RURAL_LOW_ACCESS,84.77,70.71,27.1666,22.704,74.27,310,42.32,68.44,14.29,0,74.32,25.83
2009,NBH0000000042,20.665,10.968,0,1176,1477,NO_DESERT,64.09,262.38,13.0301,21.0586,21.12,124,97.17,99.41,28.09,1,23.92,81.97
2016,NBH0000000043,22.307,10.5506,0,4360,578,RURAL_LOW_ACCESS,62.42,178.22,22.9876,2.2895,83.15,42,52.94,68.17,13.36,0,34.77,76.32
2020,NBH0000000044,4.18,7.9934,1,3246,1048,NO_DESERT,35.22,215.65,2.5418,19.5086,2.19,245,83.04,16.97,24.66,0,90.54,56.17
2025,NBH0000000045,5.758,3.5103,0,3405,1197,NO_DESERT,29.2,107.95,21.1163,19.3623,54.71,472,8.31,30.72,20.4,0,43.09,34.28
2013,NBH0000000046,7.512,7.8143,1,2541,1328,NO_DESERT,35.82,262.07,12.3872,6.9873,72.06,477,45.92,93.46,42.63,0,100.0,43.83
2008,NBH0000000047,3.659,2.878,0,1285,1695,RURAL_LOW_ACCESS,82.69,47.3,26.0137,16.0258,42.04,43,82.13,90.1,12.85,0,20.6,83.45
2016,NBH0000000048,7.977,1.9103,1,4491,1408,NO_DESERT,20.05,242.15,21.9815,21.5466,76.62,349,6.83,48.23,13.47,0,32.53,66.82
2019,NBH0000000049,21.255,10.9899,0,4481,1385,NO_DESERT,25.04,93.86,4.6874,22.1592,91.38,430,73.34,9.46,2.92,1,83.8,95.66
2014,NBH0000000050,9.22,8.2485,1,1932,530,NO_DESERT,99.1,284.06,29.8861,4.8219,87.19,490,54.21,83.91,17.46,1,9.7,77.36
2010,NBH0000000051,21.1,4.6585,0,3569,220,NO_DESERT,85.78,130.27,3.8946,18.3957,78.74,19,87.41,60.51,43.93,0,92.95,55.9
2008,NBH0000000052,19.629,5.966,1,3179,1192,NO_DESERT,7.89,277.47,10.9515,11.3063,23.6,227,85.04,59.12,2.13,0,73.37,31.74
2013,NBH0000000053,4.873,3.2251,0,3624,1211,NO_DESERT,45.85,30.02,21.4077,2.655,29.16,330,44.97,46.53,25.63,1,79.96,32.66
2008,NBH0000000054,22.883,5.8313,0,2564,612,LOW_INCOME_LOW_ACCESS,2.26,80.23,20.2272,18.1568,97.75,109,34.61,93.25,18.98,0,21.53,48.94
2014,NBH0000000055,2.501,3.5638,0,1346,161,NO_DESERT,96.28,244.78,23.8691,3.6295,50.91,426,91.65,83.29,19.43,1,17.27,84.24
2017,NBH0000000056,23.549,9.6677,0,2544,963,LOW_ACCESS,48.85,231.0,18.3308,23.0507,88.96,296,28.03,42.58,39.99,0,14.21,41.15
2021,NBH0000000057,22.276,3.0299,0,3610,533,NO_DESERT,78.26,176.84,28.6107,17.6556,48.87,243,17.63,97.68,42.56,0,14.77,47.12
2022,NBH0000000058,23.577,0.9336,1,848,1521,LOW_ACCESS,79.46,29.68,20.4932,14.7838,87.59,475,74.14,74.9,24.65,0,30.19,45.45
2016,NBH0000000059,17.815,6.1717,0,4425,1666,URBAN_LOW_ACCESS,54.69,226.91,6.1563,20.6239,9.15,152,99.84,13.12,26.71,1,58.75,52.03
2023,NBH0000000060,20.979,10.102,1,2347,906,URBAN_LOW_ACCESS,15.92,180.6,25.6222,2.1696,34.67,234,67.05,41.77,31.49,0,93.16,32.57
2011,NBH0000000061,24.572,10.3452,1,3810,1582,LOW_ACCESS,20.86,293.71,15.8796,14.2967,91.86,408,26.31,47.16,33.16,0,49.85,35.38
2009,NBH0000000062,8.377,8.3937,0,2282,869,LOW_ACCESS,10.4,161.25,23.0806,15.636,20.7,354,90.22,22.12,43.78,1,6.59,20.51
2015,NBH0000000063,18.355,7.073,0,524,728,NO_DESERT,60.19,141.02,27.246,1.3552,76.26,116,13.59,25.37,41.93,0,46.13,72.08
2017,NBH0000000064,18.997,4.0414,1,2037,446,NO_DESERT,94.37,78.87,5.7646,0.1549,38.6,486,17.31,89.0,17.87,0,86.03,11.83
2015,NBH0000000065,14.883,7.1651,0,3927,235,LOW_INCOME_LOW_ACCESS,44.91,152.2,2.1712,4.8838,69.79,134,69.25,47.0,23.33,1,59.2,92.02
2015,NBH0000000066,24.739,11.9204,0,2778,1302,NO_DESERT,6.13,310.29,25.2203,11.1502,42.46,385,74.86,0.13,26.39,0,63.03,68.85
2016,NBH0000000067,3.367,4.9529,1,1098,649,LOW_ACCESS,53.69,288.29,28.7295,14.0112,93.68,370,38.63,15.76,44.82,0,38.61,8.91
2018,NBH0000000068,18.872,4.8929,1,2524,120,RURAL_LOW_ACCESS,8.09,268.33,16.7065,8.3083,71.68,283,41.14,65.14,18.26,1,84.72,74.49
2016,NBH0000000069,0.562,1.4602,0,537,957,NO_DESERT,46.21,290.06,28.4163,9.4473,4.12,205,21.44,61.17,30.7,0,64.63,61.53
2024,NBH0000000070,9.978,5.9384,0,1813,1769,RURAL_LOW_ACCESS,4.75,16.62,3.0166,6.8352,98.43,393,30.6,70.59,6.33,1,52.75,93.93
2017,NBH0000000071,13.575,3.882,0,762,394,NO_DESERT,20.39,335.18,20.9822,10.3614,99.12,92,6.3,22.86,21.76,0,5.87,7.9
2010,NBH0000000072,18.063,8.0149,1,4039,43,LOW_INCOME_LOW_ACCESS,62.62,114.09,27.5612,24.003,78.78,106,73.25,45.01,34.07,1,83.67,68.39
2018,NBH0000000073,0.373,2.432,0,3682,1164,NO_DESERT,17.85,30.84,29.4095,11.6486,19.33,219,73.94,79.02,13.44,1,52.73,50.01
2018,NBH0000000074,13.227,0.5247,0,1290,1716,LOW_INCOME_LOW_ACCESS,24.2,37.44,21.2438,21.5401,69.61,233,13.35,25.86,36.85,0,90.02,52.32
2018,NBH0000000075,1.677,4.126,0,3406,4,URBAN_LOW_ACCESS,97.4,189.72,25.6569,24.2039,45.52,204,46.77,76.6,7.21,0,0.94,2.24
2011,NBH0000000076,11.158,6.8917,1,2616,1519,URBAN_LOW_ACCESS,92.05,270.1,8.1419,1.6236,60.51,439,13.02,32.7,5.28,0,93.87,14.69
2020,NBH0000000077,4.954,8.7325,1,1552,933,LOW_INCOME_LOW_ACCESS,71.78,148.07,1.5163,3.7181,18.21,201,3.69,66.8,14.57,1,80.26,91.13
2010,NBH0000000078,2.374,3.975,1,145,149,URBAN_LOW_ACCESS,49.67,150.02,21.9375,19.7996,77.65,455,19.87,81.34,29.23,1,49.82,74.56
2024,NBH0000000079,12.321,10.49,1,3262,44,NO_DESERT,54.25,68.18,27.4746,19.1123,45.62,50,42.84,58.17,20.07,0,48.4,66.47
2018,NBH0000000080,11.34,2.3252,1,3754,1127,LOW_ACCESS,8.23,107.06,16.4637,7.8293,97.27,357,7.45,80.22,2.24,0,33.2,17.56
2010,NBH0000000081,20.957,5.3718,1,1763,1443,RURAL_LOW_ACCESS,23.78,306.4,4.457,10.0138,87.55,425,32.0,78.67,13.81,0,31.32,88.48
2019,NBH0000000082,7.883,7.1394,1,1512,1138,NO_DESERT,85.04,155.66,14.8,2.7093,89.72,140,46.84,19.45,27.56,1,91.59,86.6
2022,NBH0000000083,3.434,7.256,0,1467,739,LOW_ACCESS,32.6,246.03,22.5385,9.6989,25.42,39,65.23,46.35,15.61,1,11.86,79.68
2014,NBH0000000084,16.899,3.0871,1,1659,350,LOW_ACCESS,41.22,157.98,15.0846,6.0587,79.88,352,44.03,91.11,36.66,0,19.82,34.79
2018,NBH0000000085,12.976,7.5887,0,3438,1457,LOW_ACCESS,13.96,46.36,25.5884,3.116,96.62,156,25.65,67.76,44.29,1,90.67,23.39
2016,NBH0000000086,19.261,10.5569,0,1863,1591,RURAL_LOW_ACCESS,68.67,257.13,23.0048,14.5815,33.79,117,7.29,17.7,1.96,1,79.46,18.79
2018,NBH0000000087,11.878,2.8638,1,2905,853,URBAN_LOW_ACCESS,45.13,276.81,27.6934,14.3092,11.78,256,26.85,46.07,8.75,0,59.38,24.62
2020,NBH0000000088,13.919,4.781,0,2251,568,NO_DESERT,74.95,250.76,3.9707,2.9655,50.22,100,15.39,22.75,29.19,0,26.01,47.21
2020,NBH0000000089,8.972,9.0547,0,246,446,NO_DESERT,80.5,157.87,29.2177,11.7842,5.12,165,2.57,6.4,6.55,0,55.39,12.78
2018,NBH0000000090,13.02,9.5137,0,776,412,LOW_INCOME_LOW_ACCESS,99.68,329.39,7.6757,13.0683,36.43,54,51.71,72.9,0.97,0,61.73,2.94
2017,NBH0000000091,12.661,8.5473,0,2112,1248,NO_DESERT,32.2,114.82,21.3115,6.6348,62.66,481,40.51,39.41,36.09,0,33.54,93.73
2024,NBH0000000092,10.163,0.8445,0,3173,960,LOW_INCOME_LOW_ACCESS,80.92,190.47,17.9085,8.1,25.67,315,20.71,92.72,37.99,1,79.42,92.87
2019,NBH0000000093,6.494,6.6616,0,1164,1411,LOW_ACCESS,59.52,299.49,12.0301,5.7418,98.35,43,92.18,25.92,35.75,0,39.35,14.56
2024,NBH0000000094,20.18,0.232,0,2838,1084,NO_DESERT,39.4,216.5,26.0323,7.9218,64.59,36,69.83,76.3,22.3,0,6.32,69.35
2024,NBH0000000095,9.222,10.5736,0,2016,1345,LOW_ACCESS,3.0,340.28,1.3505,12.2631,48.68,254,10.3,6.24,15.91,0,9.69,3.04
2015,NBH0000000096,3.229,1.4709,0,1388,1434,NO_DESERT,67.8,81.76,27.8696,24.4181,28.73,176,84.55,55.89,32.21,1,80.05,93.55
2012,NBH0000000097,2.9,3.7164,0,3891,711,LOW_INCOME_LOW_ACCESS,79.39,210.76,25.9921,23.2169,20.77,99,23.9,5.16,41.59,0,14.89,13.57
2008,NBH0000000098,19.972,4.7079,0,3578,476,LOW_ACCESS,25.71,327.06,20.3695,10.3652,73.22,348,10.04,32.8,10.94,1,25.36,45.01
2015,NBH0000000099,10.119,0.3953,0,3771,460,NO_DESERT,63.12,224.42,27.2801,17.8429,59.98,65,81.47,97.1,19.62,1,49.33,45.29
2008,NBH0000000100,18.365,2.462,0,2605,690,URBAN_LOW_ACCESS,79.29,90.8,3.7305,10.3403,45.66,250,51.52,20.14,2.45,0,68.86,38.73
2009,NBH0000000101,21.659,7.0274,0,69,1,LOW_INCOME_LOW_ACCESS,37.15,280.67,28.9373,13.3491,78.08,117,2.26,64.72,16.15,0,35.1,46.19
2018,NBH0000000102,1.082,4.4702,0,3790,138,NO_DESERT,90.2,100.5,17.1892,4.9547,4.46,300,5.02,86.89,44.39,0,88.67,53.35
2022,NBH0000000103,23.943,6.6766,1,991,311,NO_DESERT,79.79,67.84,9.775,2.476,34.83,24,65.62,38.44,34.09,0,11.44,43.21
2021,NBH0000000104,13.363,5.8658,1,4049,1697,LOW_INCOME_LOW_ACCESS,96.0,47.43,20.8011,19.9891,77.87,184,60.46,79.39,12.28,0,45.18,3.62
2025,NBH0000000105,19.049,6.386,1,624,1469,NO_DESERT,81.15,199.03,29.0186,23.3617,66.15,77,97.56,86.64,11.94,0,48.27,36.01
2013,NBH0000000106,15.057,8.1857,0,1087,1181,URBAN_LOW_ACCESS,82.26,295.05,26.6768,21.0538,63.08,216,57.56,95.89,36.3,1,81.18,33.94
2017,NBH0000000107,8.838,2.1516,1,819,601,NO_DESERT,15.89,334.31,10.8256,15.8175,21.45,461,72.01,7.86,13.12,1,70.61,85.35
2025,NBH0000000108,16.613,10.0994,0,4164,1689,URBAN_LOW_ACCESS,39.77,157.5,21.3322,21.8922,22.49,46,95.76,34.67,9.22,1,98.67,69.92
2015,NBH0000000109,24.477,0.5679,0,215,304,URBAN_LOW_ACCESS,43.7,195.87,13.262,3.1528,71.63,399,83.33,84.44,20.45,1,26.02,28.15
2014,NBH0000000110,12.541,9.0684,0,1873,926,LOW_ACCESS,69.82,100.8,23.1102,14.6663,63.85,221,59.52,58.68,38.61,1,72.45,82.75
2011,NBH0000000111,11.663,10.3676,1,4000,1050,LOW_INCOME_LOW_ACCESS,50.81,202.19,8.166,21.7903,26.65,488,8.48,80.62,22.04,0,91.53,73.58
2022,NBH0000000112,5.01,3.7307,1,1830,855,NO_DESERT,48.25,335.6,1.9966,7.6585,78.7,320,91.58,49.95,25.22,0,37.21,69.24
2022,NBH0000000113,24.074,1.0437,0,831,460,NO_DESERT,2.83,32.98,23.0736,9.8303,87.83,319,14.93,90.15,9.46,1,85.73,53.18
2025,NBH0000000114,1.483,8.5777,1,2637,1768,LOW_ACCESS,1.71,304.43,20.0582,16.9419,84.29,476,29.57,42.68,19.49,0,12.08,29.62
2018,NBH0000000115,12.074,10.8083,0,3731,630,NO_DESERT,39.39,17.92,1.588,19.3142,94.91,150,92.7,36.78,29.33,0,48.71,59.34
2018,NBH0000000116,16.042,1.0024,0,551,306,URBAN_LOW_ACCESS,13.67,26.16,26.8491,11.4706,57.24,26,58.16,45.9,38.76,0,88.42,39.8
2019,NBH0000000117,6.997,8.8587,0,3853,1162,NO_DESERT,27.82,161.91,27.778,20.3204,42.73,101,28.54,70.48,43.12,1,15.69,30.33
2025,NBH0000000118,2.124,6.8241,1,304,1739,RURAL_LOW_ACCESS,53.45,264.75,23.4425,15.3425,76.8,363,54.98,23.48,40.43,0,87.06,60.29
2023,NBH0000000119,13.395,8.5359,1,2862,585,NO_DESERT,38.48,90.24,28.9788,18.5578,62.12,171,17.33,72.35,14.49,0,33.58,91.52
2023,NBH0000000120,24.285,6.645,1,2406,1544,NO_DESERT,57.49,236.21,16.8522,13.4037,47.78,150,52.78,69.81,30.29,1,70.34,37.93
2016,NBH0000000121,0.048,9.2817,0,1353,189,NO_DESERT,68.92,52.59,16.7376,2.4558,79.42,293,82.39,52.11,15.96,0,1.77,51.85
2023,NBH0000000122,9.068,8.555,1,700,44,LOW_INCOME_LOW_ACCESS,11.01,196.25,10.8646,22.5127,84.24,372,62.46,40.31,16.54,1,83.27,58.82
2018,NBH0000000123,23.047,7.9462,0,1334,288,LOW_INCOME_LOW_ACCESS,62.53,229.84,3.5594,15.9885,39.24,134,82.34,36.75,32.87,1,3.49,30.35
2015,NBH0000000124,9.647,10.9856,0,1286,519,NO_DESERT,63.78,202.36,28.3331,22.4337,40.41,210,49.43,21.68,25.59,0,64.28,74.91
2009,NBH0000000125,2.582,9.2449,1,4289,489,NO_DESERT,81.81,187.89,6.3119,1.0033,76.11,352,76.92,34.47,39.77,1,85.35,42.73
2017,NBH0000000126,12.532,7.8503,0,946,1684,NO_DESERT,79.4,195.03,0.5351,11.7031,30.39,368,6.11,11.9,4.04,0,9.01,94.96
2010,NBH0000000127,17.882,1.0807,0,570,211,LOW_ACCESS,0.49,146.31,6.7715,8.5799,89.22,408,16.06,13.58,35.22,1,21.83,60.45
2008,NBH0000000128,5.166,5.0827,0,2535,419,LOW_ACCESS,91.46,287.72,8.5627,13.4372,29.0,285,82.48,47.03,29.77,0,93.09,52.99
2008,NBH0000000129,6.099,10.9543,0,3151,402,NO_DESERT,3.33,195.45,17.5746,12.2517,56.94,491,45.52,80.71,13.79,1,21.41,12.94
2015,NBH0000000130,6.588,1.8463,1,3147,667,URBAN_LOW_ACCESS,25.92,119.71,29.7696,24.817,21.38,12,64.63,67.61,44.31,0,73.87,67.48
2025,NBH0000000131,17.106,6.4875,0,2523,1173,NO_DESERT,9.79,262.34,14.6754,3.1879,81.52,374,32.49,66.73,20.76,0,70.82,9.46
2009,NBH0000000132,3.47,1.161,0,3741,838,URBAN_LOW_ACCESS,87.03,168.67,13.0752,20.023,55.52,258,12.22,31.15,21.2,0,32.15,60.56
2010,NBH0000000133,18.532,9.9833,0,1253,32,LOW_ACCESS,99.4,127.43,6.0395,17.6196,67.71,181,67.41,78.28,10.48,0,92.52,61.7
2019,NBH0000000134,14.782,1.5698,0,2013,759,NO_DESERT,66.71,221.45,14.1732,8.2562,93.1,138,45.8,36.91,43.08,0,99.66,64.61
2021,NBH0000000135,2.023,8.3163,0,4345,310,URBAN_LOW_ACCESS,60.92,174.96,4.2137,11.4709,18.11,343,34.64,50.71,18.75,0,24.48,86.9
2009,NBH0000000136,22.456,2.8969,0,2740,1582,LOW_ACCESS,35.28,349.29,11.9608,14.6289,43.33,334,84.12,90.27,30.86,0,78.22,73.48
2012,NBH0000000137,10.63,4.7459,1,2998,339,LOW_ACCESS,70.92,81.71,29.172,8.0878,53.16,172,50.54,87.42,17.69,0,97.62,70.13
2013,NBH0000000138,20.413,3.185,1,383,1422,LOW_ACCESS,83.91,248.71,16.1639,16.0812,9.49,122,33.09,79.7,3.39,1,44.9,72.02
2023,NBH0000000139,1.872,4.7849,0,4014,794,RURAL_LOW_ACCESS,54.25,208.71,1.0232,11.5382,93.26,352,31.53,81.25,26.88,1,94.7,70.01
2008,NBH0000000140,4.789,6.7538,1,3230,253,LOW_INCOME_LOW_ACCESS,97.86,37.07,7.2324,7.1359,40.68,381,98.65,83.8,42.65,0,96.33,64.73
2009,NBH0000000141,2.858,10.02,1,1231,1608,LOW_ACCESS,24.04,164.6,9.1928,20.3715,33.69,181,2.29,10.12,10.47,0,3.12,13.26
2010,NBH0000000142,11.049,5.3949,0,3223,320,LOW_INCOME_LOW_ACCESS,94.31,223.11,29.9202,9.4431,15.75,355,1.61,52.05,40.39,0,53.57,44.87
2023,NBH0000000143,11.496,3.83,1,1888,1033,LOW_ACCESS,75.26,127.18,15.4257,16.7767,11.9,342,5.63,94.81,20.16,0,88.97,66.39
2010,NBH0000000144,18.769,11.4886,0,452,1537,NO_DESERT,83.92,105.84,3.8929,6.8706,61.45,333,85.52,99.4,17.13,0,45.47,57.19
2014,NBH0000000145,16.906,7.3645,0,181,570,RURAL_LOW_ACCESS,58.31,183.5,16.1815,3.8835,18.18,63,62.8,11.85,13.62,1,16.88,31.88
2024,NBH0000000146,6.488,1.6852,1,2174,750,NO_DESERT,15.45,168.93,24.1606,0.1446,59.88,236,21.55,74.9,3.16,0,91.7,22.18
2017,NBH0000000147,17.958,0.3014,0,3225,872,RURAL_LOW_ACCESS,28.89,78.68,11.4544,1.9501,69.36,393,36.99,62.68,5.69,0,9.16,64.01
2018,NBH0000000148,5.547,11.2218,1,3478,240,LOW_INCOME_LOW_ACCESS,91.53,335.1,24.2154,23.835,56.14,208,86.22,26.65,7.33,0,9.61,83.07
2014,NBH0000000149,9.696,6.8096,1,1360,1520,NO_DESERT,28.84,243.58,14.4044,2.787,75.53,246,41.79,31.09,37.57,0,25.19,25.25
2011,NBH0000000150,12.226,8.5355,0,51,1773,LOW_ACCESS,24.17,318.35,7.2101,9.5213,22.43,140,22.05,76.65,32.72,0,36.97,87.69
2018,NBH0000000151,1.68,0.9776,1,710,70,RURAL_LOW_ACCESS,23.56,200.68,28.7862,7.1187,16.22,324,44.0,17.37,13.32,0,80.29,42.89
2011,NBH0000000152,19.5,2.6188,1,726,78,NO_DESERT,13.74,108.87,3.7334,12.3135,90.52,38,15.46,80.87,3.49,0,86.14,48.72
2015,NBH0000000153,17.164,2.4473,0,744,1625,NO_DESERT,93.25,202.04,7.5187,1.3411,89.13,168,89.25,3.23,29.37,1,32.33,43.42
2018,NBH0000000154,2.714,5.0919,0,2662,1632,LOW_ACCESS,86.19,104.58,22.9146,6.1621,25.65,162,8.48,22.12,42.05,0,72.45,24.12
2018,NBH0000000155,6.136,0.9832,1,3369,868,NO_DESERT,57.28,345.85,11.8476,1.8059,61.51,415,88.33,1.7,31.16,1,72.45,78.53
2020,NBH0000000156,12.983,7.1327,1,1099,1007,URBAN_LOW_ACCESS,29.6,252.02,20.7372,22.3036,70.39,201,92.76,22.16,43.61,1,98.3,77.52
2009,NBH0000000157,2.999,6.8682,0,3691,1654,RURAL_LOW_ACCESS,56.61,41.47,4.7391,13.4465,66.49,239,94.36,40.97,10.68,1,67.28,52.38
2017,NBH0000000158,4.961,0.2237,1,2510,990,RURAL_LOW_ACCESS,0.28,147.93,0.3524,22.2732,16.4,125,94.02,2.36,37.98,0,6.32,73.25
2019,NBH0000000159,21.977,4.1304,0,800,680,LOW_ACCESS,64.58,270.21,1.712,1.5366,82.09,405,93.89,34.98,22.39,1,35.3,79.46
