tech_platforms_reference_year,tech_platforms_platform_id_hash,tech_platforms_platform_type_code,tech_platforms_vlop_vlose_flag,tech_platforms_member_state_digital_coordinator_iso2,tech_platforms_dsa_risk_assessment_submitted_flag,tech_platforms_content_moderation_actions_count,tech_platforms_notice_and_action_processing_time_hours_median,tech_platforms_illegal_content_removal_rate_pct,tech_platforms_ad_transparency_repository_flag,tech_platforms_recommender_system_optout_flag,tech_platforms_dark_pattern_finding_flag,tech_platforms_dma_gatekeeper_flag,tech_platforms_interoperability_obligation_flag,tech_platforms_data_portability_support_flag,tech_platforms_user_complaints_count,tech_platforms_sanctions_amount_eur,tech_platforms_audit_report_published_flag,tech_platforms_source_regulator_dataset,tech_platforms_data_extract_date
2026,664050dfe8906190ef56b0d0,MESSAGING,0,BE,1,2912,35.33,64.25,0,1,0,0,0,0,91,54019200.41,1,NATIONAL_DSC_REPORTING,2024-08-25
2021,0ba5821b208ba3704ffd414e,APP_STORE,0,DK,1,2074,2.57,55.63,0,1,0,0,0,0,253,201339446.72,1,COMMISSION_ENFORCEMENT,2025-11-30
2022,5ef949d70c6173288d34242e,SEARCH_ENGINE,0,GR,1,1109,30.96,98.89,0,1,0,0,0,1,274,119248604.19,1,REGULATOR_AUDIT_PORTAL,2024-01-07
2023,443d12411863ceb68adf266c,ONLINE_MARKETPLACE,1,LT,1,2273,7.63,69.13,1,1,0,0,0,1,103,142688835.55,1,PLATFORM_SELF_REPORT,2025-08-06
2024,33e81ee5f8f7866dc6f2ced0,VIDEO_SHARING,1,PT,1,2490,70.95,83.23,1,1,1,0,0,1,158,463879253.18,0,DSA_TRANSPARENCY_DB,2025-06-28
2025,c0f8a7d04c244e759c9b79fd,SOCIAL_NETWORK,0,SE,1,1824,26.96,54.32,1,0,0,0,0,0,332,164326797.55,1,NATIONAL_DSC_REPORTING,2025-09-24
2026,f60979f7138767d79a8bf31e,AD_TECH,0,CY,1,2670,90.88,39.43,1,1,0,1,0,1,114,232031083.56,0,COMMISSION_ENFORCEMENT,2024-05-26
2021,beeefda221a5d19773ac06f4,CLOUD_PLATFORM,0,FR,0,1108,80.67,89.17,1,0,1,0,0,1,140,390913664.83,1,REGULATOR_AUDIT_PORTAL,2025-01-14
2022,44d0c5d7d53f8af693120b01,MESSAGING,1,IT,1,2171,93.16,93.59,1,1,0,0,0,0,202,66484980.48,1,PLATFORM_SELF_REPORT,2025-11-20
2023,af087b26255afc97c9ca70f8,APP_STORE,0,NL,1,1021,71.33,60.55,1,1,0,0,0,0,44,138818054.63,1,DSA_TRANSPARENCY_DB,2024-07-29
2024,63b19ce5b9b3a58d26abcc3a,SEARCH_ENGINE,1,SI,1,1230,38.32,72.45,1,0,0,1,0,1,380,13625044.84,1,NATIONAL_DSC_REPORTING,2024-01-31
2025,f250a4c25ec797c72d6f64ff,ONLINE_MARKETPLACE,1,BG,1,2844,57.61,86.83,1,1,1,1,0,1,299,34540975.19,0,COMMISSION_ENFORCEMENT,2024-02-07
2026,b96a2630f84c19142123ca1b,VIDEO_SHARING,1,EE,1,2382,58.18,43.83,0,1,0,0,0,1,126,495984256.78,1,REGULATOR_AUDIT_PORTAL,2024-07-04
2021,449a1c5569b192b59c7eca4a,SOCIAL_NETWORK,1,HU,1,1734,30.82,52.66,1,1,0,0,0,1,251,13181781.27,0,PLATFORM_SELF_REPORT,2025-08-04
2022,76792815ed091f8910b833e7,AD_TECH,0,LU,1,872,17.41,44.61,1,1,0,0,0,1,404,149678193.49,0,DSA_TRANSPARENCY_DB,2024-02-28
2023,0ee5dcb3431f4c75cebe0544,CLOUD_PLATFORM,0,RO,1,2060,30.95,93.41,1,0,1,0,0,0,129,279366370.18,1,NATIONAL_DSC_REPORTING,2024-09-16
2024,d88df1dbe0a8c752e60b6611,MESSAGING,0,AT,1,2593,27.83,64.09,0,1,0,0,0,1,375,140258701.14,1,COMMISSION_ENFORCEMENT,2025-12-17
2025,887b4e87593867780bfcf9ea,APP_STORE,0,CZ,1,1189,90.06,91.9,1,0,0,1,0,0,409,43765241.69,0,REGULATOR_AUDIT_PORTAL,2024-08-25
2026,2150a371da798466ce9d2a3c,SEARCH_ENGINE,1,DE,1,2721,72.67,67.72,0,1,0,1,0,1,166,109414894.42,1,PLATFORM_SELF_REPORT,2025-02-07
2021,c5ac27c0d948cceb6f1c5d36,ONLINE_MARKETPLACE,1,LV,1,2791,1.49,58.19,1,0,0,1,0,0,170,349160314.57,1,DSA_TRANSPARENCY_DB,2025-12-13
2022,c6e4c5a1dd55abec4f2da87f,VIDEO_SHARING,0,PL,0,2944,79.9,80.57,0,0,0,0,0,0,224,102587295.73,1,NATIONAL_DSC_REPORTING,2024-08-05
2023,be13b7986e0ca30f26aa551a,SOCIAL_NETWORK,0,ES,1,1328,53.76,91.77,1,0,0,0,0,0,402,155578357.08,1,COMMISSION_ENFORCEMENT,2025-02-14
2024,4cfacba6503926d139d847a7,AD_TECH,0,HR,1,1859,36.64,55.35,0,0,0,1,1,1,440,386671704.79,0,REGULATOR_AUDIT_PORTAL,2025-10-07
2025,64fade6ec764c95cc17ce5af,CLOUD_PLATFORM,0,FI,1,1092,3.8,78.35,1,1,0,0,0,0,302,93816073.37,0,PLATFORM_SELF_REPORT,2026-01-11
2026,d66418713d18612cee5e98a8,MESSAGING,0,IE,1,1053,44.16,85.44,0,1,0,0,0,1,291,24786989.39,1,DSA_TRANSPARENCY_DB,2025-11-11
2021,1075fb9e2674a0d8a8a92cd4,APP_STORE,0,MT,1,1501,31.26,40.07,1,0,0,0,0,1,456,168574575.65,1,NATIONAL_DSC_REPORTING,2024-05-10
2022,ddd6d8fa4fc260aaa6ed6e45,SEARCH_ENGINE,1,SK,1,1888,74.16,79.8,1,1,0,0,0,0,173,105253772.3,1,COMMISSION_ENFORCEMENT,2024-10-30
2023,88877646902096009e364e2b,ONLINE_MARKETPLACE,1,BE,1,2984,52.44,50.81,1,1,0,1,1,0,66,202849807.26,1,REGULATOR_AUDIT_PORTAL,2025-05-04
2024,24c7bc3828839801f048fc17,VIDEO_SHARING,0,DK,1,1358,7.15,79.67,1,0,0,0,0,1,63,22867841.08,0,PLATFORM_SELF_REPORT,2025-07-17
2025,6cf1033fed36494b5458b2a0,SOCIAL_NETWORK,1,GR,0,1604,39.73,97.95,0,0,0,0,0,1,373,49295845.74,1,DSA_TRANSPARENCY_DB,2025-10-19
2026,c5a681bcd663f0a1fa5c5dda,AD_TECH,0,LT,1,2949,27.07,56.73,1,1,0,0,0,1,73,234645091.8,1,NATIONAL_DSC_REPORTING,2025-09-06
2021,f07a1e2bfaaa41487bbe8740,CLOUD_PLATFORM,1,PT,1,2219,94.74,44.29,1,1,0,0,0,0,124,242476592.17,1,COMMISSION_ENFORCEMENT,2024-10-02
2022,39414ac2cb2a1f27798e8bb6,MESSAGING,0,SE,1,1589,31.83,78.81,1,0,0,0,0,0,399,139840195.18,1,REGULATOR_AUDIT_PORTAL,2025-02-05
2023,42cced5216b8240f77dd752c,APP_STORE,0,CY,0,3115,40.11,59.54,1,1,0,1,0,1,120,19170091.35,1,PLATFORM_SELF_REPORT,2025-11-09
2024,4b0012f28062bdbfc251fabd,SEARCH_ENGINE,1,FR,1,759,61.77,65.79,0,1,0,1,0,1,106,30928325.79,0,DSA_TRANSPARENCY_DB,2024-02-25
2025,30f92ec9deadfea50ee71265,ONLINE_MARKETPLACE,0,IT,1,2743,25.98,53.92,1,1,0,1,0,1,83,447791165.12,1,NATIONAL_DSC_REPORTING,2024-05-07
2026,44c653f988e892433a1dc769,VIDEO_SHARING,1,NL,1,2562,56.69,45.0,1,0,0,0,0,1,143,29719349.92,1,COMMISSION_ENFORCEMENT,2024-12-02
2021,d698f8b04d05b039eff2abe3,SOCIAL_NETWORK,0,SI,0,1702,47.38,57.43,0,1,0,0,0,1,71,170085631.28,0,REGULATOR_AUDIT_PORTAL,2025-04-19
2022,f75211e30b44dff13f10a184,AD_TECH,0,BG,0,2778,4.07,93.85,1,0,0,0,0,0,460,131774358.56,1,PLATFORM_SELF_REPORT,2025-02-27
2023,16d9a1606dd1ae065e021934,CLOUD_PLATFORM,0,EE,0,1723,66.32,50.62,0,0,0,0,0,0,324,35709057.64,1,DSA_TRANSPARENCY_DB,2025-07-18
2024,c0bed2855755a8f428aa3ef6,MESSAGING,0,HU,1,2818,48.36,62.81,1,0,0,0,0,0,452,113739763.49,1,NATIONAL_DSC_REPORTING,2025-11-08
2025,ee914f1d7d138d90c0e38533,APP_STORE,0,LU,0,1597,35.57,60.31,1,0,0,1,0,1,273,87245815.68,1,COMMISSION_ENFORCEMENT,2025-01-07
2026,dc77e5ac60ae9c94dea3a88f,SEARCH_ENGINE,0,RO,1,1768,19.04,67.09,0,0,0,0,0,1,253,144605671.08,0,REGULATOR_AUDIT_PORTAL,2025-02-12
2021,77215649ac974c92d858c9d0,ONLINE_MARKETPLACE,1,AT,1,2062,26.51,38.32,1,0,0,0,0,0,474,467514722.66,0,PLATFORM_SELF_REPORT,2026-01-15
2022,73b683ba49e9077517dde419,VIDEO_SHARING,0,CZ,1,2089,76.53,75.5,1,1,0,0,0,1,194,53297620.26,0,DSA_TRANSPARENCY_DB,2024-08-16
2023,c4945b13efb5c9b0559db597,SOCIAL_NETWORK,1,DE,1,2096,57.66,78.95,1,1,0,0,0,1,443,142305832.23,1,NATIONAL_DSC_REPORTING,2025-03-23
2024,ec6bc85d18f67ff92e381d54,AD_TECH,0,LV,1,1783,60.3,66.02,1,0,0,1,0,1,134,65953953.7,1,COMMISSION_ENFORCEMENT,2024-09-22
2025,47cccf77346b5f34e2736d4d,CLOUD_PLATFORM,0,PL,1,3155,39.91,87.12,0,1,0,0,0,1,330,12022241.62,1,REGULATOR_AUDIT_PORTAL,2025-07-02
2026,77024fd4854e268a0e9829ee,MESSAGING,0,ES,1,856,5.05,98.26,1,1,1,0,0,1,188,130007718.43,0,PLATFORM_SELF_REPORT,2024-04-15
2021,c5ab822a2796745e3862fb77,APP_STORE,0,HR,1,2124,26.29,41.55,0,1,0,0,0,1,410,267960420.83,1,DSA_TRANSPARENCY_DB,2024-01-28
2022,c8f225bd1a37755b41c63fb3,SEARCH_ENGINE,1,FI,0,1755,86.13,41.76,1,1,0,1,0,0,473,147777939.61,0,NATIONAL_DSC_REPORTING,2024-09-13
2023,d50603cefbf984341b3d3cc1,ONLINE_MARKETPLACE,1,IE,1,2619,25.88,89.25,1,1,0,0,1,1,198,152783100.8,1,COMMISSION_ENFORCEMENT,2024-01-09
2024,7283f94314d5e541ec862d4b,VIDEO_SHARING,1,MT,1,2923,67.47,97.21,1,1,0,0,1,0,217,93551678.89,0,REGULATOR_AUDIT_PORTAL,2024-02-23
2025,18c56182f04ea4155f7dc584,SOCIAL_NETWORK,0,SK,1,879,76.93,93.64,1,1,0,0,0,1,144,8839245.6,1,PLATFORM_SELF_REPORT,2025-10-10
2026,031b7b11eb951d96ae2b1ad7,AD_TECH,0,BE,1,3105,36.31,67.31,0,0,0,0,0,1,262,68232981.83,1,DSA_TRANSPARENCY_DB,2026-02-19
2021,805a3fa204a1b42239e4f269,CLOUD_PLATFORM,0,DK,1,832,32.85,61.47,1,0,0,0,0,0,386,10964465.82,0,NATIONAL_DSC_REPORTING,2024-12-02
2022,9c0fdf2430c71de532285632,MESSAGING,0,GR,1,2553,32.51,58.41,1,1,0,0,0,1,378,79722877.62,0,COMMISSION_ENFORCEMENT,2024-04-10
2023,5704371fe923a52ac7cb6de1,APP_STORE,0,LT,1,1830,64.04,40.87,0,1,0,1,0,1,282,80584717.62,0,REGULATOR_AUDIT_PORTAL,2025-09-18
2024,6d8d58af1b14690e53d6302c,SEARCH_ENGINE,0,PT,1,1050,79.73,47.46,1,1,0,0,0,0,256,513001922.03,0,PLATFORM_SELF_REPORT,2024-04-19
2025,fedf85f67f4724c3a817dc92,ONLINE_MARKETPLACE,0,SE,1,2694,35.25,39.86,1,1,1,0,0,0,337,354558151.99,0,DSA_TRANSPARENCY_DB,2024-07-05
2026,d60f88cb04a2be70f1d3e5ce,VIDEO_SHARING,1,CY,1,3012,89.09,78.78,1,0,0,0,0,1,309,9312253.16,1,NATIONAL_DSC_REPORTING,2025-06-19
2021,e6eea72b4d0e32b56588d1d2,SOCIAL_NETWORK,1,FR,1,2611,55.71,50.43,1,0,0,0,0,1,92,533345829.16,0,COMMISSION_ENFORCEMENT,2024-11-05
2022,c6760212297b9414fdbc4124,AD_TECH,0,IT,1,2713,43.13,65.02,1,1,0,1,0,1,469,91257886.92,1,REGULATOR_AUDIT_PORTAL,2025-05-19
2023,5cdd674ad7779a78e1ba4d30,CLOUD_PLATFORM,0,NL,1,1946,85.71,48.89,0,1,0,0,0,1,224,149818576.07,1,PLATFORM_SELF_REPORT,2025-11-14
2024,ba868795e6a6eb93f0f8c0c2,MESSAGING,0,SI,1,1173,35.9,38.0,0,1,0,0,0,1,312,506034689.23,1,DSA_TRANSPARENCY_DB,2026-02-20
2025,9f55d6000ab3795a888de4d8,APP_STORE,0,BG,1,811,47.11,60.12,0,1,0,1,0,1,283,47157048.04,0,NATIONAL_DSC_REPORTING,2025-07-20
2026,1d460eb4efcf033042e96502,SEARCH_ENGINE,1,EE,1,1329,38.92,67.29,1,0,1,0,0,1,413,391899359.96,1,COMMISSION_ENFORCEMENT,2024-10-01
2021,49a01f68c046cb4daff744d0,ONLINE_MARKETPLACE,1,HU,0,1926,32.25,79.76,1,1,0,1,0,1,138,42815468.08,0,REGULATOR_AUDIT_PORTAL,2026-01-19
2022,9164067def167a7fc00300c2,VIDEO_SHARING,1,LU,1,2660,65.39,44.58,1,0,0,0,0,1,390,304357523.96,0,PLATFORM_SELF_REPORT,2025-04-25
2023,ce7763fdd3518b6c106a678a,SOCIAL_NETWORK,1,RO,1,2751,17.36,75.3,1,1,0,0,0,1,268,119435789.48,1,DSA_TRANSPARENCY_DB,2024-01-27
2024,ba4569ebbbfa928f4766128c,AD_TECH,0,AT,1,3189,14.47,93.02,1,0,0,1,0,1,139,154370627.34,1,NATIONAL_DSC_REPORTING,2025-09-22
2025,54975b413394da36fc812257,CLOUD_PLATFORM,0,CZ,1,2923,20.78,41.96,1,1,0,0,0,1,396,512273717.54,0,COMMISSION_ENFORCEMENT,2024-12-18
2026,6dac9e966b35159588e4844c,MESSAGING,0,DE,0,2898,95.9,38.69,0,0,0,0,0,0,332,93244620.88,1,REGULATOR_AUDIT_PORTAL,2024-07-19
2021,5bd1bcb0fbe0b1f463fcae02,APP_STORE,0,LV,1,1260,85.5,92.42,0,0,0,1,0,0,287,981893.07,0,PLATFORM_SELF_REPORT,2024-04-16
2022,edb75d8089ed932d6f23b229,SEARCH_ENGINE,1,PL,1,1505,41.63,65.79,1,1,0,0,0,1,296,28554348.52,1,DSA_TRANSPARENCY_DB,2024-02-28
2023,8afd5f8354c4a7dcaca6f579,ONLINE_MARKETPLACE,1,ES,1,922,7.34,73.91,1,1,0,1,0,0,125,10672249.01,0,NATIONAL_DSC_REPORTING,2025-12-30
2024,94b376a0c93622967308686b,VIDEO_SHARING,0,HR,1,1305,82.31,96.09,1,1,0,0,0,1,173,129074911.15,1,COMMISSION_ENFORCEMENT,2024-08-29
2025,5ab66b99bfcdf144923204a6,SOCIAL_NETWORK,0,FI,1,2851,40.96,66.15,1,1,0,0,0,1,277,97876309.71,1,REGULATOR_AUDIT_PORTAL,2024-04-12
2026,9948a07da5753600e05ce7fc,AD_TECH,0,IE,1,862,17.63,50.16,1,1,0,1,0,1,341,208811324.52,1,PLATFORM_SELF_REPORT,2025-09-09
2021,1637111c22c977ddc6c47b95,CLOUD_PLATFORM,0,MT,1,1417,36.34,46.14,0,0,1,0,0,1,135,284917115.44,1,DSA_TRANSPARENCY_DB,2025-09-02
2022,212cb1a55f721c49e2195352,MESSAGING,0,SK,1,829,1.3,94.2,1,1,0,0,0,1,296,100113730.24,0,NATIONAL_DSC_REPORTING,2024-06-27
2023,21bdffeb976a62a20efbb781,APP_STORE,0,BE,1,3121,13.77,52.27,0,0,0,1,0,1,509,213424393.75,1,COMMISSION_ENFORCEMENT,2025-06-18
2024,b85fc227bf52cd2a6404dbc9,SEARCH_ENGINE,1,DK,1,2856,70.24,49.26,0,0,0,0,0,1,282,122859474.04,1,REGULATOR_AUDIT_PORTAL,2024-12-22
2025,534dc5fe9a3972b23fa078d4,ONLINE_MARKETPLACE,0,GR,1,2469,88.01,98.71,0,1,0,1,0,1,312,46530162.37,0,PLATFORM_SELF_REPORT,2024-12-04
2026,a6bed91a72f22825fc0bf5c6,VIDEO_SHARING,1,LT,1,1205,7.1,56.51,1,1,0,0,0,0,124,498127632.36,0,DSA_TRANSPARENCY_DB,2025-03-28
2021,a4dc4f53c71e506df92d803f,SOCIAL_NETWORK,1,PT,1,1638,73.09,98.39,1,1,0,0,0,0,380,151074520.22,1,NATIONAL_DSC_REPORTING,2025-09-25
2022,529c4f1938653c9874e174ca,AD_TECH,0,SE,1,1141,11.11,65.28,0,1,0,0,0,1,205,96626521.73,1,COMMISSION_ENFORCEMENT,2025-12-19
2023,490e6b5a7bb807a9f6ad06ea,CLOUD_PLATFORM,0,CY,1,1937,21.17,72.08,1,1,0,0,1,1,271,104918059.28,0,REGULATOR_AUDIT_PORTAL,2025-05-07
2024,d2297236648f142a70e181d2,MESSAGING,0,FR,1,1620,72.49,73.92,1,1,1,0,0,1,334,227928968.92,0,PLATFORM_SELF_REPORT,2025-07-19
2025,1c04af818cd482f737082374,APP_STORE,0,IT,0,2976,65.45,37.41,0,0,0,0,0,0,312,467481696.83,0,DSA_TRANSPARENCY_DB,2025-10-05
2026,2909b4e94bb39058cd4ded59,SEARCH_ENGINE,1,NL,1,901,72.94,64.49,0,1,0,1,0,0,436,25302719.7,0,NATIONAL_DSC_REPORTING,2025-11-13
2021,2c74d4835c747b6c197bcd9a,ONLINE_MARKETPLACE,0,SI,1,1234,62.31,53.69,1,1,0,1,0,1,136,432224208.52,1,COMMISSION_ENFORCEMENT,2024-03-14
2022,023e98a26e1c8edb830c4d84,VIDEO_SHARING,1,BG,0,1502,57.16,75.1,1,0,0,0,0,1,439,125406883.19,0,REGULATOR_AUDIT_PORTAL,2024-01-07
2023,a990c14de83b65e7b6605e97,SOCIAL_NETWORK,1,EE,1,2516,24.24,60.16,1,0,1,0,0,0,279,490849681.27,1,PLATFORM_SELF_REPORT,2025-08-05
2024,b280127e51750f93de3aee51,AD_TECH,0,HU,1,2198,27.55,91.5,0,1,0,1,0,0,144,78469425.1,1,DSA_TRANSPARENCY_DB,2026-02-17
2025,f876ba1926b3c6f3dc716e5f,CLOUD_PLATFORM,0,LU,1,2923,80.86,86.22,1,1,0,0,0,1,232,19521214.03,0,NATIONAL_DSC_REPORTING,2024-03-08
2026,93db09eb0f1965bc63b3646e,MESSAGING,0,RO,0,1679,56.05,82.9,1,1,1,0,1,1,387,248612000.1,1,COMMISSION_ENFORCEMENT,2025-10-30
2021,d12d65d6eb2d5311dc56c9bd,APP_STORE,0,AT,1,1987,55.55,96.99,1,1,0,0,0,1,426,134294772.46,1,REGULATOR_AUDIT_PORTAL,2025-10-16
2022,3bc065c2d89b3671e94d8239,SEARCH_ENGINE,1,CZ,1,2599,4.92,82.63,1,1,0,0,0,1,188,3289735.4,0,PLATFORM_SELF_REPORT,2024-02-08
2023,efdae02501c1097543eafb6c,ONLINE_MARKETPLACE,0,DE,1,1806,32.03,87.21,0,1,0,1,0,1,219,81114012.65,0,DSA_TRANSPARENCY_DB,2025-05-09
2024,062f30305949d190729ed42b,VIDEO_SHARING,0,LV,0,1839,69.05,83.82,1,0,0,0,0,1,271,44403186.18,1,NATIONAL_DSC_REPORTING,2025-11-11
2025,00e9a46d49c34790cb157fb5,SOCIAL_NETWORK,0,PL,1,2904,77.87,63.45,1,1,0,0,0,1,398,126352243.0,0,COMMISSION_ENFORCEMENT,2024-09-18
2026,b8b1c21a5d61d1d9ac18b755,AD_TECH,0,ES,1,2931,17.46,35.09,0,1,0,0,0,0,147,316700856.69,0,REGULATOR_AUDIT_PORTAL,2024-06-24
2021,ae59d7af44f1d6ad2e56c694,CLOUD_PLATFORM,0,HR,1,2389,84.91,51.97,1,1,0,0,0,1,349,390694999.58,0,PLATFORM_SELF_REPORT,2024-06-24
2022,56aa30eb2b8e49ceb24658d0,MESSAGING,0,FI,1,921,52.53,72.75,1,1,0,0,0,1,243,48791162.43,1,DSA_TRANSPARENCY_DB,2024-11-20
2023,3e7ebf25da3335c10b420dc9,APP_STORE,0,IE,1,1715,44.93,69.07,1,0,1,1,0,1,275,191595280.29,1,NATIONAL_DSC_REPORTING,2024-04-06
2024,b17b491540d65565531bb1b7,SEARCH_ENGINE,0,MT,1,1345,80.09,48.45,0,0,0,1,0,0,493,77011942.92,1,COMMISSION_ENFORCEMENT,2024-03-01
2025,16ffc5c294e99c516c01af67,ONLINE_MARKETPLACE,0,SK,1,2160,4.31,44.95,0,1,0,0,0,1,457,202688372.33,1,REGULATOR_AUDIT_PORTAL,2026-01-22
2026,48929a5c7516cc72397d850d,VIDEO_SHARING,1,BE,1,3103,31.87,43.17,1,1,0,0,0,1,148,427233738.0,1,PLATFORM_SELF_REPORT,2025-03-06
2021,4c4d667c82d333936fa1559d,SOCIAL_NETWORK,1,DK,1,3163,43.72,75.29,0,0,0,0,0,1,421,71632440.73,0,DSA_TRANSPARENCY_DB,2024-11-22
2022,aff20960424542a5f10d4523,AD_TECH,0,GR,1,2565,8.25,48.33,0,0,0,0,0,1,403,511167796.23,1,NATIONAL_DSC_REPORTING,2026-02-07
2023,61c9b3cc892b6b13e1e26044,CLOUD_PLATFORM,0,LT,0,2029,35.6,75.45,1,1,0,0,0,1,472,58985692.62,1,COMMISSION_ENFORCEMENT,2025-11-18
2024,2c07f54affa0d89e33c3f302,MESSAGING,0,PT,1,3091,3.16,38.88,0,1,0,0,0,0,145,137095804.77,1,REGULATOR_AUDIT_PORTAL,2024-08-22
2025,4e08b1137b00c7f35b2f7458,APP_STORE,0,SE,0,1054,84.58,51.17,1,0,0,0,0,1,160,47205540.16,0,PLATFORM_SELF_REPORT,2025-10-25
2026,e1ed51741374ad0b888aa947,SEARCH_ENGINE,1,CY,0,1838,51.93,71.7,1,1,0,0,0,1,167,47414135.01,1,DSA_TRANSPARENCY_DB,2025-02-02
2021,d87f02b5c3f6bf8e0d2d462d,ONLINE_MARKETPLACE,1,FR,1,1003,25.52,35.89,1,1,1,1,0,1,153,309406563.82,0,NATIONAL_DSC_REPORTING,2025-10-14
2022,e491c1790cc4bf1231d1a461,VIDEO_SHARING,0,IT,1,3271,50.62,83.8,1,0,0,0,0,1,280,129358760.74,1,COMMISSION_ENFORCEMENT,2025-01-24
2023,550ccc4feeab01b7f8cf4c95,SOCIAL_NETWORK,1,NL,1,1245,91.37,55.93,0,1,0,0,0,0,399,146943130.61,1,REGULATOR_AUDIT_PORTAL,2024-02-12
2024,be5f48580bf59e17c1440bf8,AD_TECH,0,SI,0,3057,80.67,79.73,1,0,0,1,0,0,408,84706816.25,0,PLATFORM_SELF_REPORT,2024-09-18
2025,4f9846ac7e8d1cf83c9462d2,CLOUD_PLATFORM,0,BG,1,2993,76.55,58.5,1,1,0,0,0,0,525,56091296.44,1,DSA_TRANSPARENCY_DB,2024-11-12
2026,c0830cdd7a902244124b2868,MESSAGING,0,EE,0,1395,48.28,49.56,0,0,0,0,0,1,480,515239191.88,1,NATIONAL_DSC_REPORTING,2025-05-27
2021,3af4e9b8e47a19adf2dd07e7,APP_STORE,0,HU,1,2432,75.08,94.82,1,0,0,1,0,0,192,120246414.64,1,COMMISSION_ENFORCEMENT,2024-09-20
2022,1f627afe7aa974a0ac88c266,SEARCH_ENGINE,1,LU,1,1930,53.34,36.89,1,0,0,0,0,0,419,509899448.44,1,REGULATOR_AUDIT_PORTAL,2025-06-05
2023,1587d9f4f1477c8403576492,ONLINE_MARKETPLACE,1,RO,1,1207,40.56,81.84,0,1,0,1,0,1,390,81836545.66,1,PLATFORM_SELF_REPORT,2024-06-25
2024,12de34274240a2366c53d482,VIDEO_SHARING,1,AT,0,2852,55.52,43.15,1,1,0,0,0,1,523,74920300.77,1,DSA_TRANSPARENCY_DB,2025-03-16
2025,33b13e94b1ee6dd1365a651a,SOCIAL_NETWORK,1,CZ,1,2742,63.09,84.14,1,1,0,1,0,1,465,49630306.53,1,NATIONAL_DSC_REPORTING,2024-11-28
2026,2865b19ec323947487c0f85a,AD_TECH,0,DE,1,2562,57.12,50.26,0,1,1,1,0,1,185,355170770.14,1,COMMISSION_ENFORCEMENT,2024-04-10
2021,111c81715c9e720856328ad7,CLOUD_PLATFORM,0,LV,0,2699,33.11,46.72,1,1,0,0,0,1,281,84684137.58,1,REGULATOR_AUDIT_PORTAL,2025-02-03
2022,96a9b017dfc1d01752f4ca90,MESSAGING,0,PL,1,3076,58.1,65.6,1,0,1,0,0,0,325,26639402.63,1,PLATFORM_SELF_REPORT,2025-03-18
