health_mental_survey_year,health_mental_behavioral_health_region,health_mental_serious_mental_illness_rate,health_mental_major_depressive_episode_rate,health_mental_anxiety_disorder_rate,health_mental_suicidal_ideation_rate,health_mental_suicide_mortality_rate,health_mental_opioid_overdose_rate,health_mental_alcohol_use_disorder_rate,health_mental_stimulant_use_disorder_rate,health_mental_treatment_gap_pct,health_mental_provider_shortage_area_flag,health_mental_telehealth_visit_share_pct,health_mental_crisis_line_call_volume,health_mental_involuntary_hold_rate,health_mental_naloxone_distribution_rate,health_mental_medication_assisted_treatment_rate,health_mental_recovery_support_participation,health_mental_homelessness_comorbidity_rate,health_mental_justice_involved_rate
2014,BHR000016,7.71,8.99,13.46,6.14,27.93,44.89,6.25,3.81,54.88,0,61.72,39667,0.61,42.8,82.46,MODERATE,27.95,24.33
2018,BHR000017,5.4,10.65,21.0,2.48,27.98,24.61,3.23,4.28,33.56,1,2.24,168597,5.97,70.07,41.88,HIGH,28.96,10.89
2018,BHR000018,4.49,16.08,6.97,5.08,11.7,69.7,8.39,3.42,58.58,0,38.47,27055,13.9,247.4,82.04,MODERATE,26.52,23.21
2024,BHR000019,6.3,11.21,11.54,7.85,27.44,73.63,4.26,1.69,44.9,1,3.73,248085,2.25,172.03,14.3,HIGH,0.78,18.29
2016,BHR000020,5.86,6.09,7.9,4.7,10.81,26.38,4.49,2.89,60.34,0,64.11,238555,10.74,69.32,26.6,MODERATE,20.14,16.35
2020,BHR000021,7.77,6.3,17.14,2.66,10.07,6.5,6.5,5.78,52.7,0,18.53,167733,4.58,172.51,16.07,MODERATE,14.29,0.59
2020,BHR000022,9.29,8.37,6.33,6.39,14.18,60.85,11.3,7.56,31.82,0,50.7,193214,13.69,19.97,37.36,MODERATE,15.05,16.97
2020,BHR000023,7.83,9.0,9.36,7.6,9.69,67.49,3.66,9.0,41.37,0,48.46,156993,16.72,125.78,75.75,MODERATE,32.68,21.84
2017,BHR000024,7.07,7.38,11.48,3.6,18.29,74.48,7.31,3.94,40.11,1,46.55,114142,0.97,165.63,62.59,LOW,1.48,1.34
2015,BHR000025,7.41,14.22,14.83,2.75,7.67,51.3,9.21,2.79,39.96,1,1.43,114726,17.62,58.41,80.23,UNKNOWN,27.78,29.57
2024,BHR000026,3.4,9.04,11.19,4.39,6.06,43.82,11.54,6.91,41.48,1,35.3,174700,9.25,85.63,64.89,HIGH,31.19,29.24
2011,BHR000027,3.87,7.98,16.71,2.27,24.06,57.7,5.29,1.73,15.22,1,24.71,218807,1.53,86.57,58.1,HIGH,27.67,11.67
2011,BHR000028,5.8,14.41,8.27,5.07,24.63,33.92,5.63,5.66,23.13,0,31.53,240217,15.75,144.15,40.46,LOW,10.7,16.04
2012,BHR000029,2.57,5.14,8.21,4.33,30.59,14.49,4.16,8.89,52.48,1,12.0,44760,4.4,100.6,8.65,LOW,15.43,10.73
2013,BHR000030,7.64,5.2,18.65,6.24,28.01,39.29,2.57,5.29,36.83,1,37.63,25779,2.62,231.7,33.89,HIGH,28.81,18.77
2021,BHR000031,6.15,15.08,10.5,2.37,19.93,19.68,5.82,6.57,41.18,1,22.29,212726,7.19,91.49,30.32,LOW,2.93,18.05
2011,BHR000032,4.65,14.21,19.9,2.69,21.03,13.44,10.64,4.47,43.46,1,51.48,44986,1.14,54.35,48.12,HIGH,27.94,29.58
2014,BHR000033,6.56,5.52,18.38,5.93,11.84,42.56,11.26,7.87,54.36,0,52.5,183943,7.53,19.38,27.88,HIGH,34.15,15.39
2015,BHR000034,5.29,9.22,18.07,1.02,28.47,29.54,9.82,6.94,60.93,0,61.81,130284,16.92,50.37,68.67,LOW,10.36,28.41
2017,BHR000035,2.78,6.71,10.75,4.59,13.1,50.93,4.75,4.81,56.41,0,0.82,232298,7.93,228.38,52.1,MODERATE,8.51,6.48
2024,BHR000036,6.18,15.22,14.99,4.15,13.28,68.59,5.12,2.58,29.29,1,0.04,247711,11.57,228.5,23.23,MODERATE,30.4,23.14
2023,BHR000037,9.35,13.58,15.61,2.16,18.31,39.08,5.51,7.42,31.05,1,18.36,62493,2.44,175.58,25.54,UNKNOWN,3.12,2.57
2012,BHR000038,5.8,13.76,14.82,5.79,21.82,49.12,4.3,2.19,46.55,0,62.5,125521,8.35,52.47,14.46,MODERATE,1.54,17.67
2018,BHR000039,7.87,16.06,18.57,2.27,20.79,3.63,3.63,2.27,38.42,1,34.37,165986,12.48,188.55,53.73,MODERATE,21.09,5.14
2011,BHR000040,3.79,11.51,12.54,2.79,28.63,41.43,11.54,8.6,32.37,0,8.66,228974,12.99,59.04,44.99,LOW,24.84,0.9
2017,BHR000041,4.1,15.28,11.68,1.51,29.62,11.03,8.74,7.27,25.08,0,27.31,41099,10.91,77.62,83.16,LOW,12.39,8.12
2012,BHR000042,2.4,11.99,16.28,6.44,16.93,22.84,10.05,7.95,14.7,0,24.98,20874,1.32,46.62,80.39,MODERATE,34.44,16.65
2015,BHR000043,5.04,17.87,9.22,7.69,19.25,53.44,5.73,7.32,21.31,1,59.24,248925,12.21,124.46,63.97,LOW,25.89,12.25
2012,BHR000044,4.61,13.64,21.04,7.64,30.74,51.12,4.51,5.14,32.62,0,32.04,106458,2.86,78.62,14.85,HIGH,21.7,12.79
2022,BHR000045,7.68,15.81,18.05,7.09,22.81,4.9,2.44,2.71,62.03,0,3.78,188305,4.08,119.12,48.94,MODERATE,33.31,13.14
2021,BHR000046,7.73,5.13,16.62,7.51,18.51,68.0,7.61,6.5,15.17,1,51.88,142670,9.01,138.97,14.42,HIGH,14.84,22.33
2015,BHR000047,7.13,6.47,12.76,4.97,30.84,72.41,2.18,6.79,26.02,1,7.64,247718,6.02,137.04,61.69,MODERATE,29.99,8.62
2023,BHR000048,7.78,7.28,18.75,7.66,14.46,73.81,5.74,3.75,34.76,0,41.69,79250,16.05,45.33,66.99,HIGH,31.26,5.43
2021,BHR000049,4.49,7.04,8.26,5.4,22.38,49.97,8.45,8.36,64.57,0,21.16,240205,7.39,102.07,14.5,LOW,0.56,4.91
2015,BHR000050,8.97,17.69,12.72,2.67,23.67,26.45,10.91,1.08,39.76,0,61.51,126762,9.26,174.63,8.85,LOW,5.62,7.07
2013,BHR000051,3.38,16.97,9.73,2.25,8.03,45.25,4.62,7.36,50.08,1,63.96,132116,5.21,0.46,10.53,HIGH,27.21,28.1
2015,BHR000052,6.66,17.37,20.97,2.53,21.21,40.83,4.64,4.18,36.28,1,44.35,165721,4.48,11.18,6.32,LOW,27.54,23.54
2023,BHR000053,5.27,16.73,21.21,5.31,19.21,49.73,10.55,6.95,42.89,1,13.2,88870,10.52,133.31,40.45,HIGH,9.1,27.27
2011,BHR000054,2.25,11.48,21.9,3.52,24.05,8.83,7.71,5.54,31.01,0,49.62,114367,9.38,95.37,10.28,LOW,23.4,4.31
2020,BHR000055,3.17,8.95,7.19,7.7,27.66,72.3,10.66,1.78,57.98,0,46.31,94590,7.96,105.32,26.07,LOW,3.61,9.58
2017,BHR000056,6.96,9.48,21.41,6.86,28.29,70.3,3.44,5.68,18.02,1,54.09,148241,16.19,132.22,26.96,HIGH,11.43,11.13
2025,BHR000057,4.26,15.74,16.79,2.56,16.08,42.26,5.87,6.43,20.9,0,43.08,247055,12.76,112.4,48.34,MODERATE,16.97,2.2
2011,BHR000058,9.41,14.55,21.06,3.22,7.21,23.54,8.56,3.99,39.4,1,36.42,63666,7.67,85.18,15.29,UNKNOWN,18.98,16.41
2017,BHR000059,2.45,8.71,10.67,1.24,16.86,74.08,5.05,5.36,60.93,1,15.03,202187,0.87,146.19,47.42,LOW,11.06,13.52
2021,BHR000060,6.99,6.36,21.88,3.38,22.9,13.08,11.97,7.49,50.75,0,39.12,33337,17.17,95.37,81.26,MODERATE,25.28,22.32
2022,BHR000061,6.67,7.89,11.68,4.42,13.75,43.95,10.21,1.17,12.79,0,37.43,164934,2.66,26.49,60.57,LOW,7.85,4.75
2019,BHR000062,8.69,13.58,8.15,2.25,17.4,12.62,3.28,4.16,59.29,0,15.5,241913,4.69,24.62,9.96,MODERATE,15.21,5.44
2025,BHR000063,2.35,10.66,20.74,5.41,9.32,29.5,5.54,8.97,30.33,0,59.65,230964,13.93,204.33,0.81,UNKNOWN,16.27,10.79
2021,BHR000064,5.14,17.71,16.65,3.12,27.42,57.21,9.35,4.61,22.3,1,9.25,121892,4.54,133.08,72.0,MODERATE,19.51,12.15
2020,BHR000065,7.91,12.47,21.46,4.71,21.77,48.09,7.57,7.2,51.56,0,3.08,172237,11.04,140.46,18.82,HIGH,7.86,17.93
2024,BHR000066,7.95,14.65,16.51,4.99,24.21,16.75,5.42,7.61,26.78,1,6.61,133784,13.28,196.89,19.29,HIGH,2.05,26.72
2012,BHR000067,5.52,5.74,14.27,7.18,11.48,7.62,11.09,7.87,48.67,0,37.84,233783,7.25,13.27,25.18,UNKNOWN,27.08,17.0
2024,BHR000068,9.34,10.9,12.52,4.35,27.29,35.22,2.13,2.08,35.56,1,37.83,114884,13.21,23.51,7.47,MODERATE,3.83,7.82
2019,BHR000069,9.16,7.52,8.84,2.99,13.25,62.23,4.97,6.47,51.58,0,8.22,33403,0.72,184.47,34.03,MODERATE,7.37,19.56
2016,BHR000070,8.27,7.87,10.96,3.52,19.93,16.96,6.03,2.97,14.06,1,56.63,15702,5.11,118.55,64.28,HIGH,24.35,16.37
2011,BHR000071,7.81,15.31,6.38,5.29,13.16,63.99,11.11,0.69,60.52,0,34.79,791,7.21,174.04,63.77,MODERATE,27.12,12.0
2023,BHR000072,6.18,7.65,15.74,5.42,8.92,62.99,8.07,5.2,17.72,1,42.91,102621,17.3,70.4,62.53,HIGH,26.73,15.31
2018,BHR000073,7.28,13.71,10.78,2.82,30.44,43.89,11.34,8.76,34.85,0,50.45,82003,6.12,35.51,72.21,LOW,31.73,1.2
2019,BHR000074,7.58,17.18,7.93,1.25,8.47,29.96,6.99,4.11,56.44,1,34.22,64397,11.21,154.47,11.81,LOW,22.66,0.63
2016,BHR000075,5.47,8.42,17.47,5.79,22.72,30.95,11.77,5.83,36.27,0,3.15,47025,7.04,180.85,35.59,LOW,27.12,14.05
2016,BHR000076,2.9,9.2,20.79,5.62,24.1,38.52,7.34,3.17,59.67,0,55.35,223075,2.04,73.88,79.37,MODERATE,12.31,1.44
2015,BHR000077,8.49,8.9,11.86,1.15,11.82,64.78,5.61,7.54,36.81,0,21.28,154147,18.0,147.69,49.59,MODERATE,11.36,12.79
2022,BHR000078,6.77,11.61,15.53,7.94,23.2,11.1,3.26,4.57,47.56,0,38.02,104877,6.25,14.1,82.71,UNKNOWN,3.64,26.83
2011,BHR000079,8.38,11.55,15.82,6.77,29.84,21.95,6.59,5.35,19.12,0,0.81,50903,17.66,183.43,82.07,LOW,16.09,29.76
2019,BHR000080,6.81,12.62,12.72,6.34,23.01,34.56,6.2,3.35,45.78,0,55.13,160495,8.48,167.34,71.83,LOW,23.68,26.2
2019,BHR000081,8.5,14.93,20.15,1.5,17.58,70.99,2.63,6.13,20.84,1,21.61,158537,13.44,33.73,54.71,HIGH,11.97,4.38
2025,BHR000082,4.04,14.87,7.34,1.12,6.67,70.99,10.18,5.6,38.98,0,60.23,199704,10.15,3.07,75.11,MODERATE,29.43,13.69
2024,BHR000083,5.44,10.16,17.96,4.47,23.41,69.26,2.55,4.21,55.82,0,43.59,93269,9.89,73.18,44.57,LOW,9.91,21.0
2012,BHR000084,7.6,7.96,20.58,1.99,6.34,72.35,3.85,7.02,31.86,0,59.45,191913,2.95,55.37,67.53,HIGH,1.83,9.64
2018,BHR000085,7.85,10.82,13.74,1.85,8.09,69.25,9.99,8.05,50.49,0,64.59,242096,11.34,214.35,46.74,MODERATE,22.23,24.71
2017,BHR000086,5.88,6.44,13.01,1.66,24.94,74.94,5.33,6.44,18.93,0,61.58,207971,17.86,249.22,46.14,UNKNOWN,13.83,26.94
2025,BHR000087,3.42,12.7,20.95,2.57,11.87,24.43,8.81,3.81,42.43,1,30.68,88252,6.78,79.65,74.72,MODERATE,18.41,6.51
2023,BHR000088,4.13,8.3,17.91,1.46,20.8,30.08,11.2,3.46,40.16,0,58.34,33408,6.53,203.84,20.12,UNKNOWN,6.21,22.7
2021,BHR000089,3.54,11.69,19.72,7.44,26.82,70.5,7.92,4.67,37.18,0,47.97,229546,15.57,223.47,72.15,HIGH,28.75,2.85
2018,BHR000090,3.63,13.66,21.89,4.45,13.77,73.66,5.03,4.61,36.38,0,60.09,12792,2.91,84.76,47.11,LOW,20.46,2.1
2023,BHR000091,6.41,14.65,8.35,5.85,20.07,49.89,6.93,7.61,31.33,1,28.27,59477,4.59,15.34,25.82,LOW,3.71,0.95
2022,BHR000092,3.64,16.55,12.15,2.29,12.3,45.24,8.26,8.22,30.85,1,29.29,204483,9.51,2.62,62.36,MODERATE,18.48,17.35
2014,BHR000093,9.42,15.2,13.64,7.57,18.97,56.02,6.54,8.48,43.94,1,38.15,191760,7.24,57.03,22.1,UNKNOWN,6.44,12.42
2019,BHR000094,2.34,8.96,9.6,3.22,6.51,64.24,11.1,6.15,60.18,1,52.3,117707,1.36,54.52,38.29,MODERATE,31.4,26.57
2024,BHR000095,3.4,8.8,21.52,3.05,26.87,55.04,7.02,4.27,36.63,1,47.04,222611,9.27,234.62,56.57,UNKNOWN,29.41,28.18
2022,BHR000096,3.07,17.57,8.86,6.77,11.89,10.2,4.6,1.84,42.2,1,60.96,37013,9.89,150.96,4.14,UNKNOWN,4.92,17.27
2024,BHR000097,7.15,14.11,7.79,2.45,17.28,52.34,10.86,6.72,35.62,1,25.9,111993,13.03,105.25,82.59,HIGH,7.53,8.45
2012,BHR000098,2.92,15.11,16.76,5.65,31.91,41.39,9.01,2.64,26.93,0,8.42,247034,7.0,5.46,4.71,LOW,15.57,20.75
2020,BHR000099,3.73,12.04,13.24,4.19,31.92,51.2,2.33,8.27,16.65,1,32.34,92311,7.38,245.27,68.69,UNKNOWN,30.04,20.92
2025,BHR000100,3.36,17.96,9.53,5.9,19.45,29.57,5.77,5.91,17.96,0,63.32,153002,14.38,16.82,25.46,HIGH,1.76,26.91
2025,BHR000101,7.64,13.35,8.62,3.19,30.88,13.16,3.67,7.51,58.42,1,19.03,237716,17.16,183.4,5.66,MODERATE,33.73,28.66
2017,BHR000102,8.74,9.21,19.62,7.77,19.45,60.03,6.9,1.57,58.5,1,50.94,131837,10.17,120.16,32.88,LOW,11.1,19.55
2021,BHR000103,9.32,13.0,21.77,2.59,31.29,18.95,8.32,7.1,11.29,0,52.97,232493,13.5,19.61,81.74,LOW,15.33,6.15
2025,BHR000104,2.09,15.88,15.78,1.48,12.27,19.26,7.96,6.5,54.68,0,32.79,18641,14.24,138.03,59.3,MODERATE,1.65,24.48
2012,BHR000105,3.9,10.33,9.3,2.6,14.07,68.91,4.36,7.75,56.71,0,17.31,6768,15.25,244.47,28.3,LOW,14.13,15.67
2016,BHR000106,5.97,17.28,14.61,1.2,17.19,23.7,8.1,4.51,17.73,1,31.44,182506,11.83,124.41,64.24,MODERATE,28.64,6.15
2025,BHR000107,4.54,7.63,18.23,4.45,14.81,33.74,6.2,3.84,51.83,0,15.88,216643,0.53,116.92,73.86,LOW,25.01,9.84
2014,BHR000108,3.77,14.26,10.26,5.65,10.72,26.53,7.56,2.95,59.76,0,2.78,17312,2.23,48.06,33.06,HIGH,9.02,15.18
2019,BHR000109,2.56,11.37,12.19,3.68,18.59,67.35,11.41,5.88,56.43,0,23.68,240951,6.68,77.21,43.73,HIGH,34.09,29.46
2011,BHR000110,8.33,15.25,10.42,3.88,14.33,44.6,5.02,5.21,29.05,0,22.68,15579,10.92,73.7,42.22,MODERATE,25.01,13.45
2017,BHR000111,8.29,6.3,14.55,3.4,26.64,58.36,11.08,8.46,32.08,1,5.03,113876,9.14,231.28,27.29,HIGH,2.49,16.23
2023,BHR000112,5.6,14.91,9.81,7.78,26.0,10.44,6.49,7.94,54.15,1,28.55,85983,5.51,249.29,63.02,MODERATE,24.88,22.99
2011,BHR000113,9.4,6.71,10.03,6.47,22.42,60.16,5.74,2.33,58.33,1,31.67,97708,1.93,85.63,15.26,LOW,7.41,26.56
2024,BHR000114,7.98,14.55,19.85,6.67,25.33,39.48,10.38,4.69,13.17,0,14.77,8880,1.68,111.64,28.3,LOW,29.9,24.08
2014,BHR000115,3.6,9.46,19.14,4.28,28.14,15.94,10.67,4.34,22.47,0,18.76,132679,8.05,6.2,75.15,LOW,33.63,24.64
2022,BHR000116,4.01,15.34,17.01,1.34,28.42,19.3,11.46,1.05,58.05,1,63.49,138231,7.94,120.54,43.42,UNKNOWN,28.78,18.24
2024,BHR000117,3.17,9.1,19.49,1.23,12.62,73.97,6.46,4.71,62.37,1,57.72,113289,5.44,186.07,45.64,LOW,9.55,14.25
2022,BHR000118,8.72,12.42,16.25,2.91,25.68,57.79,5.46,5.25,60.42,1,54.57,128032,11.9,238.08,40.84,LOW,28.84,20.95
2017,BHR000119,4.95,14.05,12.46,5.79,11.4,23.05,2.47,6.47,14.18,0,18.82,43885,3.57,50.32,56.89,UNKNOWN,3.81,12.62
2020,BHR000120,2.87,13.5,16.85,6.41,10.56,57.58,9.23,5.51,12.79,0,18.62,229018,8.12,20.74,31.76,UNKNOWN,5.83,12.26
2022,BHR000121,3.93,14.91,8.14,6.05,20.82,62.78,8.19,7.04,39.58,0,52.42,189910,3.89,44.55,3.63,HIGH,5.04,2.99
2020,BHR000122,5.26,14.83,12.54,6.48,14.62,51.58,4.75,3.24,34.69,0,24.46,222874,11.82,2.47,84.2,HIGH,15.93,19.42
2022,BHR000123,3.6,17.89,8.62,4.19,14.14,63.59,11.41,8.18,22.53,1,14.03,183673,9.33,180.13,70.03,LOW,4.89,5.2
2022,BHR000124,9.47,14.85,7.5,2.56,13.88,57.27,11.39,4.7,57.53,1,32.42,207289,9.89,245.97,5.52,LOW,25.81,14.81
2020,BHR000125,2.11,17.99,16.37,4.35,27.97,28.92,3.52,2.75,29.31,0,31.33,145466,5.23,163.78,60.39,HIGH,19.69,29.42
2011,BHR000126,4.55,10.11,20.12,2.73,31.97,56.34,8.28,7.18,23.99,1,4.38,93577,0.91,13.01,34.4,UNKNOWN,28.35,10.71
2019,BHR000127,3.83,15.81,9.06,1.52,20.4,20.2,5.63,6.3,18.67,0,54.21,220093,9.79,164.6,46.89,LOW,33.32,2.62
2014,BHR000128,8.58,11.35,21.05,2.06,26.42,59.47,2.33,7.59,25.79,0,21.76,62736,14.29,131.83,59.87,LOW,19.15,19.44
2016,BHR000129,3.97,5.18,18.01,3.4,23.31,62.75,10.88,3.72,37.83,1,35.86,201261,10.33,214.14,64.65,MODERATE,19.09,22.96
2025,BHR000130,8.11,12.07,12.77,5.06,24.64,71.25,8.4,6.93,36.1,0,29.28,11141,11.94,221.59,69.35,LOW,22.72,20.9
2012,BHR000131,5.11,14.69,16.08,4.83,7.63,52.6,2.82,8.14,42.29,0,37.87,196872,16.32,99.3,76.07,MODERATE,30.26,6.29
2020,BHR000132,6.36,15.8,9.67,2.88,15.1,50.52,5.38,5.6,16.49,0,25.74,94964,9.07,229.92,31.95,MODERATE,17.22,14.15
2020,BHR000133,3.31,12.78,21.81,3.81,18.68,36.74,2.02,1.32,53.23,1,41.63,218476,15.67,14.29,78.89,MODERATE,27.68,8.06
2021,BHR000134,8.28,17.43,17.41,5.96,21.69,30.74,11.66,1.77,33.19,0,15.1,194301,3.26,7.48,39.74,MODERATE,26.97,15.06
2011,BHR000135,4.4,11.26,8.73,4.3,10.2,5.11,4.06,3.47,30.61,1,63.79,199072,1.33,27.11,61.94,HIGH,28.86,16.35
2016,BHR000136,2.47,9.32,18.26,3.85,8.33,69.46,4.64,7.4,31.41,0,41.76,18523,4.23,185.04,33.3,MODERATE,22.17,2.03
2017,BHR000137,3.52,9.37,13.12,1.87,10.91,48.63,4.72,5.02,13.83,1,29.76,165799,17.2,239.18,61.8,LOW,28.76,25.54
2024,BHR000138,3.77,7.39,20.37,7.25,9.05,32.17,7.32,3.44,48.65,1,36.92,25349,5.98,32.67,7.29,MODERATE,14.02,28.39
2025,BHR000139,8.22,7.47,10.22,6.19,7.47,50.84,10.58,8.04,15.43,1,3.45,138629,11.33,124.13,72.12,LOW,5.17,26.65
2017,BHR000140,6.4,15.15,6.4,4.13,13.24,71.41,11.31,8.12,12.47,1,11.39,75187,7.76,161.13,79.8,LOW,33.14,19.5
2021,BHR000141,3.72,5.58,13.37,1.96,17.0,45.36,10.58,8.18,23.81,1,59.04,102632,7.96,74.55,26.61,LOW,25.13,16.79
2015,BHR000142,8.27,7.71,16.41,6.76,21.97,18.07,10.64,3.27,64.08,1,1.88,160873,9.29,204.38,9.4,MODERATE,1.9,21.32
2017,BHR000143,5.39,10.41,10.97,1.06,14.56,16.3,4.78,4.88,37.18,0,19.53,92434,4.65,203.17,40.37,LOW,9.89,11.85
2016,BHR000144,5.83,13.93,15.4,4.4,31.93,46.87,11.5,4.72,44.81,1,30.4,82120,11.94,128.42,29.12,MODERATE,30.8,28.76
2022,BHR000145,8.61,8.57,11.09,6.27,19.95,67.51,11.36,2.24,32.34,1,38.37,74165,1.45,237.28,83.1,HIGH,25.25,15.58
2023,BHR000146,7.4,17.52,8.48,6.67,10.07,33.19,11.64,0.95,58.46,0,34.19,94283,17.42,249.04,58.47,MODERATE,4.29,9.98
2012,BHR000147,7.25,17.5,12.2,1.9,22.95,65.7,11.16,2.73,12.94,0,38.58,35964,6.89,16.21,7.71,LOW,33.1,28.94
2021,BHR000148,9.21,6.74,18.42,1.09,17.48,47.06,7.51,1.6,32.11,0,15.15,69660,12.27,171.77,1.63,LOW,19.73,26.01
2018,BHR000149,5.76,10.98,17.56,5.24,23.05,13.45,6.91,4.04,36.86,0,56.34,96921,11.33,199.84,71.58,HIGH,2.92,8.93
2015,BHR000150,6.17,11.7,20.67,4.98,11.83,13.95,2.99,6.75,28.57,1,53.53,3707,15.71,50.02,13.47,LOW,18.66,9.19
2020,BHR000151,2.98,5.66,16.75,1.44,25.89,30.53,9.26,5.44,20.19,1,5.46,106875,13.41,119.23,76.25,LOW,30.03,24.39
2025,BHR000152,2.95,11.38,16.49,5.6,24.74,41.96,2.5,5.83,28.83,1,5.24,219172,10.84,173.41,52.36,MODERATE,27.09,14.58
2015,BHR000153,6.47,14.44,21.56,2.28,31.69,18.46,6.13,2.48,50.12,0,30.35,97601,13.45,90.37,23.3,MODERATE,33.24,0.55
2013,BHR000154,3.97,14.58,20.5,1.48,7.73,70.73,8.83,0.81,12.29,1,44.41,247439,15.61,146.51,40.39,HIGH,16.81,8.26
2014,BHR000155,8.06,11.3,7.98,5.91,10.32,45.43,4.97,2.93,56.12,1,56.47,119115,15.84,3.25,37.7,HIGH,7.62,1.4
2021,BHR000156,4.04,15.8,20.55,1.69,25.57,15.52,5.35,1.73,47.83,0,17.33,51751,1.74,25.98,19.86,HIGH,21.34,18.2
2018,BHR000157,4.42,14.37,17.35,1.5,20.45,15.99,6.3,7.37,35.79,0,29.73,23594,7.12,92.5,81.54,HIGH,26.58,14.84
2025,BHR000158,2.59,10.36,12.22,3.08,17.87,27.83,2.92,4.01,21.57,1,3.1,156464,1.17,178.89,48.15,UNKNOWN,24.76,9.05
2021,BHR000159,5.28,15.32,7.97,1.04,8.55,32.33,8.01,6.71,36.45,0,56.94,130370,6.53,206.97,27.74,LOW,25.06,6.05
2012,BHR000160,2.25,11.41,6.52,5.86,27.16,19.72,7.89,4.87,54.34,1,34.64,210401,2.4,79.77,72.98,HIGH,30.65,24.17
2012,BHR000161,9.12,8.98,17.6,6.85,29.24,65.37,8.85,3.11,42.92,1,26.7,173607,5.02,93.4,51.69,MODERATE,33.09,10.96
2015,BHR000162,2.8,13.96,21.4,1.72,11.99,54.42,5.26,4.18,43.42,0,12.99,156660,5.75,26.02,74.56,MODERATE,28.7,28.09
2015,BHR000163,4.01,13.37,7.42,4.62,25.09,4.58,4.03,8.67,15.17,1,25.93,131590,14.83,166.45,3.0,LOW,20.21,9.35
2024,BHR000164,6.83,7.86,12.84,2.36,30.62,44.47,3.12,2.79,38.36,1,35.37,61502,5.04,12.17,9.38,LOW,17.2,4.2
2012,BHR000165,8.48,10.37,9.25,5.88,20.83,34.97,11.28,6.88,34.78,0,7.25,177912,5.9,207.97,18.16,HIGH,19.93,25.87
2023,BHR000166,7.26,6.04,17.84,4.98,26.09,3.3,2.46,7.58,45.51,1,29.35,46830,12.6,153.65,61.87,UNKNOWN,32.1,4.53
2020,BHR000167,8.74,11.79,13.34,3.78,15.97,16.25,6.32,8.53,28.53,0,38.7,159861,3.22,68.49,57.41,LOW,21.29,14.38
2024,BHR000168,5.23,5.07,9.72,4.19,16.13,45.76,3.29,5.64,64.41,0,4.58,223435,16.59,235.74,61.8,HIGH,29.12,10.6
