edu_k12out_school_year,edu_k12out_district_id_udise,edu_k12out_school_id_udise,edu_k12out_grade_level,edu_k12out_subject_area,edu_k12out_assessment_scale_score,edu_k12out_proficiency_level,edu_k12out_growth_percentile,edu_k12out_attendance_rate_pct,edu_k12out_chronic_absenteeism_rate,edu_k12out_graduation_cohort_year,edu_k12out_graduation_rate_pct,edu_k12out_dropout_rate_pct,edu_k12out_discipline_incident_rate,edu_k12out_special_education_share_pct,edu_k12out_ell_share_pct,edu_k12out_gifted_program_share_pct,edu_k12out_student_teacher_ratio,edu_k12out_per_pupil_spending,edu_k12out_accountability_rating_code
2019-20,UDISE-D45592,UDISE-S7774778,Grade_6,Reading,454.3,Below_Basic,42,63.86,9.66,2017,71.64,13.91,105.64,7.97,10.66,4.5,44.97,173115.46,C
2022-23,UDISE-D17464,UDISE-S8993529,Grade_11,Hindi,433.8,Advanced,39,79.74,2.52,2023,92.69,7.28,101.14,0.11,15.66,8.51,52.46,142966.2,NA
2016-17,UDISE-D96631,UDISE-S6223407,Grade_8,Math,588.6,Below_Basic,70,95.48,9.77,2016,40.89,6.68,91.54,7.48,20.63,6.82,28.98,154167.83,NA
2019-20,UDISE-D57931,UDISE-S9786472,Grade_8,Science,497.3,Proficient,27,94.58,33.48,2023,41.43,7.91,22.46,10.24,33.37,5.62,33.69,118555.05,D
2025-26,UDISE-D35268,UDISE-S6993324,Grade_6,Science,786.4,Below_Basic,67,66.05,18.41,2017,47.33,6.24,88.31,9.58,13.9,5.45,54.28,178762.59,C
2018-19,UDISE-D83006,UDISE-S9568393,Grade_11,English,528.9,Advanced,37,91.02,36.53,2016,92.01,7.05,105.65,7.04,2.85,0.35,41.69,15734.35,B
2022-23,UDISE-D58267,UDISE-S2097971,Grade_5,Reading,169.2,Basic,47,84.94,3.14,2022,42.44,2.76,70.24,13.26,5.07,8.48,33.57,68838.32,NA
2023-24,UDISE-D19185,UDISE-S1825079,Grade_2,Hindi,693.4,Proficient,33,72.14,37.22,2022,77.08,11.04,61.75,6.64,1.43,8.45,33.91,38908.97,A
2024-25,UDISE-D11445,UDISE-S1661212,Grade_6,Hindi,259.0,Below_Basic,77,88.76,3.92,2019,95.5,9.2,87.94,2.67,6.32,5.68,52.36,164770.46,E
2020-21,UDISE-D77134,UDISE-S5719183,Grade_6,RegionalLanguage,493.7,Basic,34,97.86,7.74,2026,87.09,0.05,110.87,13.71,26.58,1.43,21.84,13311.32,NA
2025-26,UDISE-D50903,UDISE-S4020815,Grade_6,Science,883.2,Proficient,93,99.47,35.62,2017,45.09,8.64,88.54,5.09,3.57,1.21,21.91,116230.55,NA
2024-25,UDISE-D25445,UDISE-S5687856,Grade_2,Math,731.6,Below_Basic,64,99.31,2.67,2018,40.71,1.78,46.75,1.01,23.16,9.8,31.86,50752.3,E
2021-22,UDISE-D78289,UDISE-S6970336,Grade_1,Science,832.4,Proficient,67,70.61,36.81,2025,66.07,16.69,107.34,2.39,25.9,2.15,48.15,86608.46,NA
2025-26,UDISE-D88273,UDISE-S9619073,Grade_10,Reading,241.2,Proficient,76,81.82,28.86,2016,87.82,6.85,74.93,4.9,31.77,11.28,15.61,161984.17,E
2018-19,UDISE-D61202,UDISE-S3269468,Grade_7,RegionalLanguage,439.4,Advanced,58,97.17,9.26,2021,97.63,5.61,112.13,7.31,5.44,7.98,40.2,138523.61,NA
2019-20,UDISE-D46769,UDISE-S8290489,Grade_9,Reading,432.9,Advanced,98,96.28,2.2,2026,75.96,9.62,20.14,8.13,1.49,9.69,26.64,80443.01,NA
2018-19,UDISE-D85993,UDISE-S2524637,Grade_12,RegionalLanguage,760.6,Below_Basic,93,83.98,37.97,2020,40.82,10.54,97.0,12.56,30.54,6.48,21.99,88414.83,B
2024-25,UDISE-D32683,UDISE-S2007521,Grade_8,Reading,270.1,Proficient,3,86.9,8.98,2019,93.21,1.77,98.58,9.6,33.87,1.24,20.59,155381.91,D
2016-17,UDISE-D86739,UDISE-S9704772,Grade_6,Science,537.4,Proficient,18,60.96,7.16,2016,61.98,17.2,102.16,0.34,23.39,6.74,35.64,9742.82,D
2017-18,UDISE-D54308,UDISE-S5061397,Grade_6,Math,275.7,Basic,40,88.24,24.4,2017,64.14,5.2,6.19,0.86,20.43,7.97,46.45,109852.22,A
2025-26,UDISE-D98467,UDISE-S6648020,Grade_2,Science,814.8,Proficient,52,76.22,25.59,2021,78.25,15.37,8.16,13.7,5.77,1.48,13.98,67204.67,D
2023-24,UDISE-D76235,UDISE-S5190683,Grade_11,Hindi,169.8,Advanced,89,62.07,44.4,2022,93.27,15.86,86.04,13.47,2.23,0.06,11.48,56536.43,C
2023-24,UDISE-D14108,UDISE-S7674817,Grade_1,Science,138.1,Proficient,89,61.85,34.32,2026,64.23,8.46,77.53,10.38,13.98,4.88,47.65,81733.23,D
2024-25,UDISE-D75478,UDISE-S1031132,Grade_12,Hindi,837.2,Proficient,82,86.75,20.04,2021,56.07,2.65,16.34,10.19,33.2,7.4,34.15,84983.92,E
2016-17,UDISE-D86713,UDISE-S5703455,Grade_10,Hindi,686.4,Basic,35,92.14,18.01,2026,87.6,8.02,66.54,11.44,30.2,9.26,19.26,150037.05,NA
2024-25,UDISE-D91679,UDISE-S1697234,Grade_11,Hindi,158.4,Advanced,72,79.6,31.47,2020,56.38,14.04,111.86,6.63,33.28,8.65,36.99,73698.39,C
2019-20,UDISE-D44264,UDISE-S4113476,Grade_9,Science,806.8,Below_Basic,2,84.27,21.04,2025,67.41,12.02,10.56,2.97,25.45,8.22,48.17,30897.82,E
2020-21,UDISE-D44174,UDISE-S4991209,Grade_12,English,880.6,Basic,59,68.55,5.15,2017,62.94,7.71,4.45,3.4,23.0,6.45,51.96,160232.88,C
2019-20,UDISE-D43826,UDISE-S4499072,Grade_2,Science,364.8,Basic,24,78.47,43.85,2023,87.28,9.79,30.84,10.03,25.02,1.83,45.0,84693.04,E
2020-21,UDISE-D64157,UDISE-S4941200,Grade_5,RegionalLanguage,260.3,Advanced,37,96.13,26.66,2026,97.76,15.07,49.43,9.62,13.17,2.16,44.86,90987.41,A
2022-23,UDISE-D63480,UDISE-S5240490,Grade_3,Science,240.8,Proficient,4,87.87,16.3,2019,94.56,0.21,68.9,12.3,18.4,2.04,19.4,36322.24,A
2017-18,UDISE-D20602,UDISE-S5552315,Grade_1,Science,466.2,Below_Basic,10,92.75,5.71,2016,49.62,9.31,37.68,9.25,22.54,9.3,21.79,103139.5,B
2025-26,UDISE-D26922,UDISE-S8518076,Grade_1,RegionalLanguage,307.9,Below_Basic,36,60.07,36.06,2026,52.8,14.93,11.09,10.82,14.53,11.38,40.76,148094.78,E
2024-25,UDISE-D75484,UDISE-S9142899,Grade_5,Hindi,116.4,Advanced,47,88.77,35.01,2023,60.02,5.97,27.29,7.23,23.65,11.37,25.74,97135.22,NA
2017-18,UDISE-D84386,UDISE-S6923530,Grade_8,RegionalLanguage,382.3,Below_Basic,69,71.1,5.11,2018,49.41,10.06,92.5,1.51,30.48,5.72,18.89,87173.77,NA
2016-17,UDISE-D41224,UDISE-S2608819,Grade_1,Reading,589.8,Advanced,73,69.66,21.45,2021,93.21,13.51,31.62,5.13,28.68,4.06,37.87,93665.03,NA
2016-17,UDISE-D68667,UDISE-S6384882,Grade_5,English,510.4,Proficient,62,85.43,8.16,2020,85.48,17.34,98.22,12.88,12.78,8.09,33.8,53617.42,NA
2017-18,UDISE-D67710,UDISE-S5296864,Grade_6,RegionalLanguage,429.8,Below_Basic,28,94.57,3.55,2019,81.99,1.87,58.09,5.22,16.04,8.14,40.39,125784.05,D
2023-24,UDISE-D90508,UDISE-S1615591,Grade_10,SocialStudies,600.3,Proficient,64,77.97,26.64,2016,41.87,13.32,15.27,12.92,15.67,8.33,13.8,64762.57,B
2024-25,UDISE-D62936,UDISE-S3862034,Grade_10,Reading,689.7,Proficient,52,63.86,38.75,2019,56.45,0.62,72.8,3.37,2.55,8.05,27.61,118923.15,NA
2020-21,UDISE-D30939,UDISE-S7808835,Grade_3,Hindi,669.4,Basic,74,73.13,21.58,2024,87.71,11.21,77.46,13.62,24.86,8.76,53.52,72746.51,E
2020-21,UDISE-D31401,UDISE-S9016187,Grade_6,Reading,410.9,Proficient,30,70.16,44.42,2021,84.81,13.61,66.01,12.95,15.34,2.72,24.16,84926.03,C
2025-26,UDISE-D81779,UDISE-S3669497,Grade_4,Science,894.3,Proficient,23,96.02,36.24,2024,71.86,17.57,18.44,6.82,3.98,8.92,10.34,33299.62,D
2023-24,UDISE-D89878,UDISE-S5671359,Grade_3,RegionalLanguage,170.2,Basic,75,97.82,2.95,2024,40.33,7.42,98.57,13.34,17.08,9.99,39.09,48115.92,A
2018-19,UDISE-D51731,UDISE-S8165076,Grade_11,Math,771.4,Below_Basic,71,91.77,3.85,2021,44.63,9.89,54.04,4.87,12.88,11.36,25.26,150647.22,NA
2022-23,UDISE-D38366,UDISE-S1967755,Grade_12,English,284.3,Proficient,24,72.91,11.43,2016,82.72,17.89,3.88,11.81,26.99,2.1,11.5,9210.46,D
2020-21,UDISE-D80696,UDISE-S1189162,Grade_1,Math,443.0,Below_Basic,48,97.03,12.39,2025,77.07,9.84,57.13,9.56,20.41,1.86,42.95,25049.6,C
2019-20,UDISE-D24723,UDISE-S1047851,Grade_7,Science,498.9,Basic,42,85.8,38.71,2023,92.1,15.44,10.42,2.13,9.33,6.54,23.37,84826.32,A
2016-17,UDISE-D40449,UDISE-S9095754,Grade_12,Science,589.9,Basic,53,75.53,6.95,2017,69.92,10.56,108.84,7.35,27.54,6.77,20.89,159575.28,C
2018-19,UDISE-D17940,UDISE-S6439968,Grade_2,RegionalLanguage,470.0,Advanced,67,66.97,12.37,2017,69.68,11.49,57.08,4.93,26.94,2.79,14.26,122999.26,D
2023-24,UDISE-D73110,UDISE-S4525581,Grade_7,Reading,660.9,Basic,16,87.1,33.59,2018,87.42,2.58,55.84,7.31,30.23,5.0,28.65,111837.0,A
2025-26,UDISE-D74167,UDISE-S3223752,Grade_7,RegionalLanguage,484.2,Below_Basic,53,79.59,8.86,2020,45.13,7.08,3.81,11.06,15.77,7.74,44.6,90428.78,NA
2023-24,UDISE-D95779,UDISE-S5290787,Grade_10,English,277.0,Below_Basic,51,82.77,28.03,2021,62.26,5.6,87.84,3.51,32.47,7.07,37.82,108620.95,D
2022-23,UDISE-D78976,UDISE-S6966388,Grade_12,RegionalLanguage,129.5,Below_Basic,69,75.39,43.01,2021,93.43,15.94,59.06,0.3,33.85,10.44,22.3,131414.73,C
2020-21,UDISE-D51962,UDISE-S2731368,Grade_5,Reading,624.8,Below_Basic,55,61.12,15.95,2025,52.63,17.78,114.48,2.84,16.77,0.05,36.54,15316.77,A
2024-25,UDISE-D80819,UDISE-S4960970,Grade_11,RegionalLanguage,537.4,Advanced,55,94.29,30.91,2021,92.68,7.31,83.68,4.47,1.75,8.63,18.38,64808.0,C
2017-18,UDISE-D71081,UDISE-S6339756,Grade_3,English,355.5,Advanced,86,75.58,37.92,2026,50.05,9.99,70.52,5.04,9.72,9.11,36.0,79494.7,NA
2020-21,UDISE-D19285,UDISE-S2800600,Grade_9,English,584.6,Proficient,39,64.57,34.97,2020,44.35,5.39,34.74,14.4,28.32,5.89,25.57,17120.26,B
2019-20,UDISE-D34747,UDISE-S5848747,Grade_1,Hindi,504.5,Below_Basic,17,86.96,32.17,2025,79.76,13.16,1.06,8.87,10.24,1.71,24.57,140137.58,D
2022-23,UDISE-D29949,UDISE-S3743341,Grade_10,Hindi,394.3,Advanced,98,61.17,9.94,2025,89.97,5.67,58.69,13.42,1.12,2.63,15.4,20131.41,D
2016-17,UDISE-D88227,UDISE-S2385662,Grade_7,Math,744.1,Below_Basic,53,92.87,25.92,2020,57.66,11.96,24.86,8.14,5.81,1.86,27.28,120478.14,A
2020-21,UDISE-D28924,UDISE-S4418070,Grade_6,English,580.0,Proficient,45,63.47,17.62,2022,43.78,3.41,9.48,10.59,13.23,6.65,11.36,48922.68,NA
2023-24,UDISE-D40669,UDISE-S3548949,Grade_7,SocialStudies,634.5,Advanced,77,92.55,10.99,2019,47.29,8.49,12.98,2.62,17.87,6.95,47.4,102138.83,D
2025-26,UDISE-D48356,UDISE-S4496525,Grade_11,RegionalLanguage,396.3,Proficient,35,82.42,33.26,2017,42.22,15.62,108.42,5.96,3.02,8.64,14.46,76416.56,NA
2021-22,UDISE-D51065,UDISE-S7129456,Grade_7,Science,878.3,Below_Basic,22,99.13,20.04,2020,75.22,12.45,113.8,11.97,4.33,11.04,12.94,114353.6,D
2024-25,UDISE-D33339,UDISE-S4788723,Grade_5,Science,648.6,Basic,40,66.34,38.22,2020,73.31,9.35,32.25,6.84,27.71,1.39,44.19,37222.11,B
2019-20,UDISE-D50733,UDISE-S8838656,Grade_7,Reading,628.3,Proficient,98,71.4,14.32,2023,42.38,17.46,31.39,5.22,34.82,7.67,13.25,103064.48,C
2025-26,UDISE-D63798,UDISE-S7854514,Grade_2,Math,378.4,Advanced,49,97.06,10.74,2022,91.21,13.11,77.97,0.89,12.34,6.45,11.62,79269.13,D
2023-24,UDISE-D69195,UDISE-S1711554,Grade_2,Hindi,660.6,Advanced,52,87.5,35.38,2023,45.49,3.95,6.87,3.55,16.09,1.15,46.01,75297.89,C
2023-24,UDISE-D10243,UDISE-S3576851,Grade_8,Math,223.2,Basic,66,64.49,27.39,2017,87.31,10.32,34.42,10.55,12.07,8.31,13.15,68598.53,A
2021-22,UDISE-D51057,UDISE-S7958394,Grade_7,Science,437.1,Advanced,35,79.58,24.22,2022,71.08,7.65,67.81,7.17,21.14,4.9,12.07,102180.12,NA
2022-23,UDISE-D68908,UDISE-S2685311,Grade_4,Reading,491.1,Basic,18,75.65,19.72,2019,83.73,7.77,30.61,5.56,9.49,12.0,50.34,92357.77,E
2025-26,UDISE-D35270,UDISE-S4686364,Grade_12,Hindi,574.4,Proficient,61,72.87,6.93,2025,74.88,4.23,57.89,5.87,6.97,3.24,35.38,156546.6,B
2022-23,UDISE-D83089,UDISE-S4516515,Grade_1,SocialStudies,436.1,Advanced,82,74.8,33.71,2016,77.04,2.86,87.92,11.61,24.24,5.64,52.91,12642.61,C
