civic_engage_measurement_year,civic_engage_community_area_id,civic_engage_volunteering_rate_pct,civic_engage_charitable_giving_rate_pct,civic_engage_civic_meeting_attendance_rate,civic_engage_contacted_official_rate,civic_engage_petition_signed_rate,civic_engage_protest_participation_rate,civic_engage_news_consumption_frequency,civic_engage_local_news_availability_index,civic_engage_library_membership_rate,civic_engage_public_hearing_participation,civic_engage_school_board_turnout_rate,civic_engage_trust_in_government_score,civic_engage_social_capital_index,civic_engage_neighbor_helpfulness_score,civic_engage_cross_partisan_contact_rate,civic_engage_community_org_density,civic_engage_broadband_access_for_civic,civic_engage_civic_tech_usage_rate
2020,AREA000000011,9.27,17.26,20.82,26.89,51.26,1.63,MONTHLY,4.59,42.98,8.61,4.4,86.46,30.81,89.57,57.37,5.7048,86.38,19.9
2006,AREA000000012,60.17,77.05,3.87,22.25,22.67,12.69,DAILY,68.89,54.54,35.79,1.33,33.31,74.69,90.5,51.15,24.4521,65.3,40.91
2012,AREA000000013,36.85,20.35,37.78,32.12,54.3,21.13,WEEKLY,35.23,38.97,39.65,12.63,13.79,89.02,25.14,14.75,22.6859,72.59,28.64
2024,AREA000000014,2.37,23.65,2.41,2.28,45.36,14.17,DAILY,47.41,48.88,32.25,9.06,0.13,2.89,50.35,97.05,6.0472,91.99,41.48
2014,AREA000000015,57.98,30.89,18.55,25.97,54.43,9.48,DAILY,23.06,76.31,39.67,1.57,61.42,48.49,17.13,33.06,12.1655,53.07,69.3
2016,AREA000000016,16.65,48.47,44.33,24.46,1.61,16.44,SEVERAL_WEEK,5.04,54.19,8.11,36.01,38.5,92.18,26.4,20.89,7.5298,64.28,12.37
2009,AREA000000017,42.86,67.71,41.89,20.35,4.45,10.17,DAILY,67.94,13.22,7.15,27.3,94.27,26.48,98.87,39.26,19.1981,34.97,41.11
2008,AREA000000018,49.49,78.75,7.44,14.93,38.97,10.78,DAILY,21.0,42.82,27.35,18.53,87.73,76.67,79.96,15.7,5.9654,70.04,63.8
2023,AREA000000019,13.74,48.05,13.6,25.54,42.65,6.62,WEEKLY,61.95,45.4,19.69,29.06,93.15,37.55,69.04,20.63,6.9404,94.27,46.27
2009,AREA000000020,54.8,77.78,19.4,4.5,7.19,11.66,WEEKLY,93.37,36.56,4.15,1.19,51.28,46.37,63.45,65.98,19.3327,43.31,55.71
2008,AREA000000021,18.88,66.3,32.46,22.71,0.81,4.22,DAILY,81.59,72.85,31.54,29.08,81.65,83.17,6.08,65.59,14.266,56.7,69.17
2019,AREA000000022,41.97,19.83,27.28,34.17,21.59,4.16,WEEKLY,90.1,6.99,24.78,38.74,51.08,17.91,25.13,47.69,23.0447,66.45,50.07
2022,AREA000000023,20.28,25.83,10.33,8.94,39.44,14.18,SEVERAL_WEEK,11.93,2.91,1.27,9.06,24.11,24.51,94.18,13.73,5.7205,66.61,4.67
2009,AREA000000024,53.94,55.72,20.91,14.12,3.16,19.89,WEEKLY,3.03,83.39,39.98,38.84,49.05,2.35,35.0,95.15,17.6452,65.7,4.88
2011,AREA000000025,47.21,60.11,7.32,10.14,2.43,5.93,DAILY,30.83,42.29,8.37,49.27,14.1,55.96,83.91,56.65,3.8931,36.12,16.45
2016,AREA000000026,39.55,6.55,39.49,4.46,46.73,0.48,DAILY,89.32,36.17,10.27,49.17,58.47,79.88,90.63,6.4,12.058,30.55,38.89
2025,AREA000000027,7.36,12.46,19.4,25.28,42.75,10.5,SEVERAL_WEEK,71.54,6.46,25.72,54.34,37.09,20.87,48.33,95.92,6.9872,35.29,1.88
2021,AREA000000028,34.05,73.29,12.52,5.15,37.1,7.76,MONTHLY,66.71,43.59,36.43,42.63,4.55,11.71,69.46,31.9,5.233,70.28,28.27
2008,AREA000000029,23.16,78.81,1.56,9.7,41.17,2.29,DAILY,79.98,76.94,37.69,25.69,24.61,58.73,91.57,20.47,0.7409,49.15,53.32
2020,AREA000000030,20.17,66.76,12.92,12.61,28.58,12.29,RARELY,98.14,46.56,8.41,53.18,57.01,90.67,38.46,33.03,20.5131,95.36,56.56
2016,AREA000000031,24.21,33.19,36.12,13.1,15.44,19.05,DAILY,31.98,51.56,36.95,13.44,41.79,28.62,45.06,24.47,15.0781,44.48,62.14
2010,AREA000000032,28.32,77.19,42.01,10.73,10.52,0.52,WEEKLY,35.8,79.8,12.71,3.9,62.22,36.44,41.71,22.02,9.0247,47.45,18.61
2008,AREA000000033,3.34,55.13,27.1,14.18,12.59,6.39,SEVERAL_WEEK,27.09,25.63,39.08,12.39,22.31,91.9,1.11,63.55,15.448,66.0,33.24
2023,AREA000000034,23.2,17.47,0.45,26.1,36.67,16.43,WEEKLY,30.14,66.39,38.4,46.1,70.65,88.8,80.37,28.22,23.8682,78.53,35.64
2010,AREA000000035,18.0,1.47,16.48,24.04,32.68,19.12,MONTHLY,97.5,20.9,15.63,0.24,78.74,98.1,6.03,64.87,4.8786,94.28,64.44
2021,AREA000000036,24.47,42.98,19.07,9.3,38.1,12.22,SEVERAL_WEEK,53.03,6.49,32.78,54.17,64.64,33.95,46.39,60.83,3.6373,83.97,35.28
2016,AREA000000037,60.12,78.33,39.15,10.38,33.16,4.45,SEVERAL_WEEK,45.18,71.39,35.1,30.38,55.3,55.11,45.49,23.28,13.8523,93.05,9.07
2007,AREA000000038,64.05,54.8,41.61,20.17,18.09,9.99,DAILY,92.32,15.04,19.18,45.97,10.37,58.71,48.21,58.92,4.5814,52.77,9.95
2012,AREA000000039,9.03,76.53,26.06,23.07,18.83,21.31,DAILY,3.55,70.71,11.05,42.36,2.21,28.5,55.77,38.27,19.8026,60.45,25.69
2014,AREA000000040,16.24,2.73,29.25,33.92,10.57,20.59,DAILY,53.24,61.81,27.66,29.42,57.87,53.38,29.93,94.7,6.1455,40.16,14.49
2015,AREA000000041,31.96,53.35,7.66,32.36,52.39,17.92,SEVERAL_WEEK,21.21,84.11,32.43,31.29,5.03,79.0,53.27,19.36,12.4643,95.35,32.01
2018,AREA000000042,24.0,4.16,6.13,0.63,33.66,15.17,MONTHLY,31.0,89.13,7.58,24.24,48.63,35.68,67.2,69.6,22.0868,87.09,49.42
2020,AREA000000043,9.42,19.24,29.91,27.33,25.09,4.6,DAILY,42.78,35.29,26.47,14.13,60.93,63.79,67.98,84.42,1.598,43.44,65.05
2006,AREA000000044,5.76,8.83,6.72,9.05,18.59,12.17,WEEKLY,68.96,31.05,39.41,30.76,41.15,59.03,54.57,56.92,17.9791,47.45,51.78
2010,AREA000000045,10.59,71.45,35.68,12.56,43.92,18.89,WEEKLY,8.63,68.66,22.3,53.24,28.54,39.31,1.05,41.36,7.6164,63.12,25.49
2018,AREA000000046,48.12,37.02,11.94,17.96,33.09,12.72,WEEKLY,32.89,64.88,20.71,51.68,49.04,89.45,51.58,7.51,4.8418,77.91,40.04
2023,AREA000000047,31.87,59.3,26.54,30.89,10.16,3.28,DAILY,0.69,66.83,11.22,23.2,43.77,90.03,15.35,65.78,21.4471,46.81,28.98
2012,AREA000000048,18.42,39.61,11.31,10.17,21.82,19.17,SEVERAL_WEEK,45.84,66.9,9.25,31.26,95.92,68.28,29.82,5.69,8.8937,65.25,12.08
2023,AREA000000049,26.42,5.03,17.52,32.19,52.18,2.27,SEVERAL_WEEK,68.45,82.98,39.0,14.59,26.83,96.34,78.3,91.92,5.2865,64.66,66.7
2025,AREA000000050,9.85,77.97,0.76,23.95,47.86,20.59,WEEKLY,47.14,3.88,7.16,34.49,17.43,11.98,57.46,91.48,1.0095,61.95,19.75
2018,AREA000000051,56.45,40.32,12.82,2.99,52.9,4.7,WEEKLY,27.23,56.41,21.12,6.31,55.64,34.58,83.49,24.36,3.5801,54.73,8.26
2008,AREA000000052,44.88,75.65,23.51,26.18,50.14,18.9,SEVERAL_WEEK,2.18,68.0,33.0,51.91,18.93,56.12,99.41,53.61,13.6857,67.36,48.08
2014,AREA000000053,3.49,16.44,3.57,4.26,26.99,4.36,WEEKLY,22.31,69.13,27.03,15.08,85.07,32.3,61.66,38.41,1.4291,59.1,45.35
2014,AREA000000054,11.92,14.27,4.79,34.37,6.71,22.3,RARELY,61.46,82.24,35.84,29.17,25.3,74.96,28.24,28.75,21.7282,60.6,2.49
2021,AREA000000055,14.65,38.01,21.89,16.53,48.12,3.62,WEEKLY,93.11,34.53,30.15,20.88,92.41,65.71,90.17,94.59,0.6559,74.86,67.82
2008,AREA000000056,13.34,51.54,42.5,23.72,15.24,2.69,WEEKLY,31.34,83.89,25.25,32.45,55.06,93.54,11.53,45.67,3.927,99.02,35.96
2022,AREA000000057,42.61,31.32,0.42,16.33,26.87,24.45,MONTHLY,79.78,67.87,16.74,3.4,99.47,63.44,43.56,84.36,17.5738,93.79,30.06
2007,AREA000000058,35.28,38.56,12.51,5.45,52.63,21.82,SEVERAL_WEEK,40.1,51.59,0.82,38.05,79.13,34.68,97.77,93.68,19.6511,67.29,44.49
2007,AREA000000059,37.75,29.92,37.35,30.36,45.66,19.47,WEEKLY,29.08,0.92,34.27,5.57,83.5,93.31,36.33,84.97,18.9921,90.13,59.97
2006,AREA000000060,8.79,24.43,9.06,22.37,42.18,14.3,WEEKLY,0.31,23.8,8.11,3.28,53.08,74.13,58.15,18.98,9.7283,39.57,13.91
2008,AREA000000061,40.28,43.18,26.0,7.08,29.87,6.81,WEEKLY,34.61,13.5,14.9,29.47,83.2,49.59,23.64,64.86,16.3065,93.38,65.4
2008,AREA000000062,50.52,12.5,16.89,26.09,52.17,17.16,WEEKLY,95.56,21.02,32.53,11.07,35.43,52.44,56.37,80.89,10.2795,76.48,32.45
2005,AREA000000063,38.85,46.54,38.88,25.36,23.69,3.5,DAILY,63.9,10.09,12.24,15.31,25.75,53.23,25.78,18.02,2.1131,54.37,48.68
2011,AREA000000064,51.68,23.3,35.6,33.8,30.33,11.98,DAILY,80.04,18.96,17.07,48.07,20.39,39.94,66.21,5.78,8.4167,35.36,14.12
2020,AREA000000065,13.99,16.93,9.18,17.97,37.43,14.85,WEEKLY,85.52,75.1,27.61,33.6,23.71,85.22,57.29,38.23,9.1548,65.93,2.13
2007,AREA000000066,32.56,48.21,40.03,31.26,6.46,21.54,DAILY,90.38,77.59,11.97,30.93,48.61,69.58,25.82,15.72,10.4729,34.66,45.15
2013,AREA000000067,20.05,76.14,3.13,4.46,49.12,17.95,SEVERAL_WEEK,49.12,77.83,33.65,51.83,84.88,32.4,56.97,39.63,10.9282,62.93,42.96
2007,AREA000000068,30.28,36.44,29.07,8.18,6.92,18.28,RARELY,30.16,22.87,1.94,30.09,95.68,89.07,30.74,81.38,7.0609,72.83,47.21
2023,AREA000000069,43.91,71.91,12.77,9.88,53.63,5.73,DAILY,89.44,25.52,24.04,31.35,34.67,91.67,1.94,36.6,10.0023,33.67,11.17
2025,AREA000000070,35.62,51.53,27.84,12.44,53.04,15.87,SEVERAL_WEEK,31.05,47.49,38.48,27.24,60.52,87.65,4.95,72.72,24.1593,77.16,19.02
2014,AREA000000071,51.97,76.68,9.94,25.6,44.27,13.19,DAILY,99.43,89.48,4.66,8.69,16.72,79.6,83.5,89.61,22.1092,84.42,10.07
2025,AREA000000072,37.65,1.95,43.67,21.89,40.74,8.28,RARELY,28.01,84.39,9.9,30.11,46.05,27.62,8.87,73.21,4.476,44.07,9.73
2018,AREA000000073,9.54,49.85,22.78,14.44,19.37,22.15,DAILY,15.45,31.41,28.91,52.75,61.51,26.02,19.82,56.4,21.9088,98.53,49.73
2014,AREA000000074,31.83,74.75,42.3,26.18,0.17,24.44,WEEKLY,37.18,50.46,5.74,40.06,10.55,58.91,37.54,97.06,12.1547,92.48,9.08
2021,AREA000000075,12.61,25.46,27.41,13.62,40.06,5.05,DAILY,22.75,45.14,3.66,13.5,47.46,76.11,53.22,31.3,6.7958,38.46,54.97
2007,AREA000000076,17.62,34.11,0.29,25.65,32.0,23.02,WEEKLY,89.16,38.49,37.65,51.26,12.89,5.81,60.71,82.41,6.6496,63.74,7.89
2018,AREA000000077,9.59,14.58,3.79,0.94,23.46,4.13,DAILY,62.33,22.14,13.11,33.1,30.56,92.61,59.2,83.63,15.7565,73.26,63.74
2019,AREA000000078,2.74,13.1,27.17,29.43,53.22,12.98,DAILY,89.98,64.82,5.29,27.38,65.06,22.84,78.25,18.95,11.4114,75.61,53.42
2018,AREA000000079,5.14,20.4,6.08,15.17,34.4,5.33,DAILY,17.44,44.64,29.04,38.47,24.83,66.61,36.94,66.94,2.4883,71.11,41.3
2006,AREA000000080,44.42,66.03,8.19,31.53,11.5,0.15,SEVERAL_WEEK,86.01,38.42,8.6,11.68,5.69,0.85,96.98,22.8,24.5449,99.42,3.08
2010,AREA000000081,25.69,78.0,19.15,28.67,1.58,13.24,WEEKLY,77.43,14.98,33.23,38.72,99.17,78.81,56.86,7.81,10.7367,74.75,8.49
2007,AREA000000082,10.19,56.04,40.64,25.63,50.82,3.54,DAILY,54.96,73.26,39.81,22.62,88.55,73.15,60.47,17.46,9.1958,53.64,47.31
2005,AREA000000083,31.34,55.74,19.03,27.68,46.42,11.46,DAILY,11.24,0.18,28.39,31.49,5.61,78.21,82.84,76.13,17.9402,47.06,35.38
2021,AREA000000084,38.48,55.21,27.34,8.84,48.79,16.32,SEVERAL_WEEK,39.74,50.1,24.66,35.62,71.93,12.32,87.68,78.52,14.0284,42.75,69.74
2021,AREA000000085,21.22,29.53,38.76,1.29,24.33,5.82,DAILY,12.94,47.19,7.56,51.06,50.21,78.06,36.11,54.3,24.1666,78.03,21.69
2012,AREA000000086,48.98,78.16,7.06,9.95,45.86,17.62,SEVERAL_WEEK,54.8,38.74,12.31,10.27,51.73,93.74,61.49,12.52,23.5651,59.18,20.26
2009,AREA000000087,35.17,45.63,38.9,11.86,20.59,4.7,SEVERAL_WEEK,61.58,4.02,25.46,41.28,97.57,98.72,8.34,67.03,22.8948,89.19,68.17
2025,AREA000000088,53.08,45.85,7.89,32.22,0.86,19.69,RARELY,53.15,25.12,20.54,37.43,29.13,40.75,69.99,61.86,12.6798,73.06,9.83
2023,AREA000000089,9.38,48.35,9.99,17.36,46.71,21.78,MONTHLY,47.04,6.75,9.23,21.18,46.5,35.44,24.98,12.48,22.5594,42.3,53.11
2012,AREA000000090,19.39,57.01,36.33,32.55,53.9,6.69,DAILY,42.69,20.87,15.59,5.34,45.72,45.41,32.43,97.91,15.2829,63.76,21.41
2018,AREA000000091,23.73,12.8,39.23,24.98,44.59,20.43,WEEKLY,12.64,27.77,9.61,37.25,34.37,13.04,31.02,98.64,9.3178,49.56,18.79
2008,AREA000000092,5.39,10.44,23.03,2.64,21.4,17.09,SEVERAL_WEEK,45.51,4.65,39.22,0.49,42.43,0.5,17.03,3.84,2.5602,51.66,59.6
2023,AREA000000093,58.19,42.55,37.29,12.32,29.37,18.34,SEVERAL_WEEK,20.87,30.62,21.85,3.28,23.45,80.96,26.11,12.09,12.5146,41.62,19.84
2016,AREA000000094,27.59,42.32,12.94,2.6,49.37,23.33,DAILY,83.74,23.99,13.18,53.93,11.19,10.08,43.56,49.5,20.1843,96.56,65.25
2012,AREA000000095,15.51,59.26,17.97,27.63,37.87,1.63,SEVERAL_WEEK,77.45,72.99,31.94,48.64,82.62,68.09,1.3,38.95,23.3717,68.61,65.07
2008,AREA000000096,40.76,73.02,17.1,21.87,9.97,19.72,DAILY,51.85,7.34,24.57,20.41,61.62,80.04,99.84,12.12,7.6462,72.62,37.1
2017,AREA000000097,57.23,15.55,29.0,4.27,13.51,22.68,SEVERAL_WEEK,95.8,3.04,22.66,42.71,95.43,77.19,67.88,78.74,1.8386,94.06,28.27
2016,AREA000000098,37.95,9.68,32.11,17.18,2.99,0.59,DAILY,83.18,60.6,26.94,40.06,63.93,60.0,53.77,26.11,9.5431,35.89,58.13
2008,AREA000000099,19.44,72.73,11.15,24.62,46.44,1.73,MONTHLY,87.54,19.6,26.37,34.7,11.34,84.11,43.41,50.78,2.1509,60.99,20.32
2012,AREA000000100,10.17,3.76,4.26,33.73,10.34,20.12,MONTHLY,44.61,70.46,33.24,18.51,81.38,71.12,51.48,33.85,7.3599,90.5,20.62
2009,AREA000000101,5.86,78.45,13.42,8.58,12.53,24.8,WEEKLY,76.75,31.6,34.38,20.38,50.42,30.04,36.39,2.91,21.2166,60.04,63.11
2006,AREA000000102,59.84,3.13,41.55,19.01,54.46,7.06,DAILY,31.27,4.52,26.46,27.84,38.21,55.34,71.77,62.47,24.0734,50.99,61.1
2006,AREA000000103,17.02,73.79,6.58,29.95,26.27,9.85,DAILY,19.71,83.98,15.88,24.08,18.6,47.1,55.11,29.34,5.8144,66.37,68.42
2015,AREA000000104,49.28,14.74,4.98,28.47,1.63,1.03,RARELY,44.19,61.57,31.2,26.03,82.44,56.49,16.37,58.27,5.3818,32.85,23.78
2024,AREA000000105,3.86,59.16,19.17,14.27,36.35,9.21,SEVERAL_WEEK,12.13,79.49,38.63,51.26,79.7,27.22,71.09,35.43,0.4665,76.88,67.28
2019,AREA000000106,20.38,5.61,11.48,33.44,44.21,5.82,WEEKLY,53.78,22.76,20.5,2.26,74.44,78.31,38.5,17.58,7.004,43.52,47.3
2012,AREA000000107,1.93,8.44,37.06,14.43,24.75,11.46,DAILY,61.55,65.62,39.2,5.3,22.96,75.05,69.36,16.97,24.051,94.72,30.21
2021,AREA000000108,42.66,30.24,44.08,26.08,52.12,20.77,SEVERAL_WEEK,38.58,0.16,20.96,5.41,4.99,70.58,83.28,90.58,22.6728,40.82,4.82
2015,AREA000000109,32.13,58.02,20.46,10.57,52.5,16.41,WEEKLY,84.44,18.97,17.42,18.89,24.68,0.76,88.16,59.75,15.6926,60.39,13.28
2024,AREA000000110,61.4,7.73,8.19,13.17,26.32,11.75,SEVERAL_WEEK,61.63,65.83,27.74,47.77,68.36,9.74,43.15,37.19,8.5564,52.97,68.77
2006,AREA000000111,31.43,69.38,12.73,19.0,9.8,18.0,WEEKLY,3.43,32.7,1.76,47.32,59.17,22.86,14.4,65.07,14.9976,48.09,56.32
2022,AREA000000112,42.99,56.78,6.82,24.83,53.91,11.07,SEVERAL_WEEK,49.19,45.35,10.84,29.16,81.13,46.19,58.52,83.58,21.5761,39.1,56.97
2010,AREA000000113,45.1,59.14,15.28,33.47,47.33,3.74,WEEKLY,36.61,28.82,3.25,39.79,78.85,18.82,98.5,45.65,20.5363,85.69,49.97
2021,AREA000000114,63.13,75.85,21.32,9.84,24.88,8.65,SEVERAL_WEEK,86.32,81.68,30.29,51.48,79.2,21.18,65.36,49.93,10.838,56.08,49.84
2006,AREA000000115,32.55,70.21,3.57,10.43,36.71,8.0,WEEKLY,28.9,74.39,18.17,27.71,81.19,59.4,95.74,88.62,2.3681,80.49,33.74
2021,AREA000000116,41.05,15.23,0.82,13.67,14.69,12.28,SEVERAL_WEEK,96.3,88.41,32.72,54.3,86.82,66.89,46.41,8.35,3.1162,72.88,42.8
2012,AREA000000117,43.64,17.01,19.45,9.2,13.2,5.25,MONTHLY,93.44,15.59,2.61,43.73,22.67,2.05,74.14,85.03,1.8324,65.99,7.51
2021,AREA000000118,6.65,76.42,8.57,10.12,21.25,6.84,DAILY,6.43,59.95,30.51,14.68,63.75,37.11,84.55,4.5,20.2697,76.94,24.72
2012,AREA000000119,4.93,7.93,27.24,13.55,40.94,22.84,SEVERAL_WEEK,66.96,5.88,35.28,45.46,2.1,31.49,44.88,69.1,12.8855,99.05,47.96
2025,AREA000000120,47.5,4.01,1.85,26.55,36.51,6.53,SEVERAL_WEEK,30.14,34.64,28.53,25.38,50.91,27.53,97.3,77.59,14.8935,42.42,23.38
2005,AREA000000121,31.28,16.16,39.99,10.61,13.79,4.47,DAILY,13.66,42.27,6.51,40.4,98.71,28.17,80.12,2.6,2.5183,97.09,59.79
2014,AREA000000122,24.16,29.62,2.9,26.04,48.34,24.01,MONTHLY,94.06,3.85,0.72,5.43,4.95,77.09,66.71,81.16,2.9798,80.56,0.11
2005,AREA000000123,54.04,17.03,9.81,1.98,25.48,2.07,WEEKLY,10.58,9.1,2.46,10.15,33.41,56.88,29.92,91.95,18.9475,51.05,31.38
2019,AREA000000124,3.37,61.58,44.92,26.44,6.15,16.12,DAILY,92.9,89.59,18.3,3.45,58.38,12.32,90.66,85.47,13.5648,32.75,40.35
2011,AREA000000125,19.83,61.96,9.62,13.32,44.64,4.12,SEVERAL_WEEK,40.62,68.48,17.99,10.48,51.02,66.28,93.13,42.4,2.6452,73.27,38.88
2007,AREA000000126,37.53,6.92,13.58,2.97,26.77,1.13,SEVERAL_WEEK,57.96,10.71,33.11,6.05,99.02,14.0,89.63,97.95,13.2162,67.96,4.84
2012,AREA000000127,60.17,49.41,11.78,18.21,7.56,21.99,MONTHLY,63.72,54.39,8.83,22.68,22.12,93.2,86.53,88.88,18.9158,44.27,19.06
2005,AREA000000128,24.53,19.51,15.55,27.56,30.33,3.69,DAILY,98.11,33.87,37.47,45.72,96.64,66.69,25.75,75.65,17.1066,86.83,15.72
2010,AREA000000129,15.78,16.64,28.39,6.45,2.6,5.85,RARELY,23.93,39.65,26.82,15.09,0.18,65.74,74.5,37.96,15.9862,55.83,23.77
2008,AREA000000130,59.29,25.73,36.13,30.8,12.58,0.46,DAILY,50.39,70.42,9.53,23.15,63.37,92.41,86.27,4.4,7.5375,39.9,6.31
2017,AREA000000131,21.37,22.26,40.13,3.0,21.65,5.28,SEVERAL_WEEK,18.91,85.64,35.57,31.45,2.19,79.41,91.15,65.34,11.6152,37.79,64.8
2009,AREA000000132,62.51,45.25,3.37,13.48,36.88,20.11,WEEKLY,45.14,30.48,38.99,4.92,93.84,80.91,33.84,71.44,15.133,31.42,68.68
2006,AREA000000133,55.18,58.65,37.32,10.69,48.83,12.51,WEEKLY,31.17,50.02,2.89,22.18,52.18,89.61,48.24,77.06,19.1276,43.05,20.07
2013,AREA000000134,45.28,39.26,34.0,9.49,6.67,12.56,SEVERAL_WEEK,19.38,29.66,22.75,37.05,82.14,39.24,10.43,57.77,5.7347,91.78,63.55
2014,AREA000000135,27.27,57.69,20.01,19.55,53.2,5.37,DAILY,7.89,41.42,9.09,13.81,93.02,27.3,87.06,93.47,11.2245,98.7,65.03
2022,AREA000000136,45.13,43.67,38.28,10.4,25.27,6.76,DAILY,3.89,58.41,14.09,11.27,88.68,51.34,53.83,65.7,12.2371,73.15,52.84
2015,AREA000000137,19.03,56.83,20.79,9.92,10.09,24.62,RARELY,18.67,33.85,37.48,54.02,36.19,1.46,47.2,25.85,24.3124,34.73,52.21
2006,AREA000000138,16.74,68.56,4.63,9.4,21.32,22.72,MONTHLY,39.29,63.58,22.47,33.33,53.85,6.27,42.69,39.54,20.8678,97.6,39.87
2015,AREA000000139,27.37,50.67,33.95,16.46,33.3,20.9,MONTHLY,19.79,8.23,11.61,33.64,25.79,89.07,29.34,71.41,17.3921,84.82,0.95
2025,AREA000000140,59.26,6.06,4.03,34.7,41.91,0.8,DAILY,65.5,20.05,6.51,26.66,44.29,64.52,96.61,22.4,21.5029,62.97,42.44
2010,AREA000000141,52.28,7.81,35.5,21.34,21.04,18.35,SEVERAL_WEEK,44.14,69.9,0.71,12.79,34.19,93.13,36.22,87.23,8.4333,51.2,20.56
2022,AREA000000142,15.3,43.96,17.86,17.3,7.4,16.01,WEEKLY,41.45,8.0,16.81,32.78,84.32,31.13,57.03,24.3,12.8778,83.08,5.53
2010,AREA000000143,64.3,41.5,33.16,27.91,4.47,9.84,SEVERAL_WEEK,90.02,60.13,10.23,53.06,43.33,63.69,42.69,38.8,2.4018,47.39,18.2
2020,AREA000000144,46.72,24.2,7.23,12.41,6.89,18.0,WEEKLY,22.62,42.49,26.38,0.93,63.6,50.27,41.81,29.3,18.1042,56.74,28.88
2021,AREA000000145,28.62,8.88,27.98,21.37,28.78,4.3,WEEKLY,38.03,46.1,25.04,21.86,29.98,78.08,25.34,42.72,3.707,80.37,38.98
2012,AREA000000146,46.78,13.76,7.58,12.22,4.4,16.27,DAILY,68.36,11.89,6.71,53.77,25.3,31.1,23.65,73.47,8.4597,42.73,57.61
2020,AREA000000147,26.33,15.08,34.47,10.56,7.85,21.8,SEVERAL_WEEK,34.16,71.23,19.69,49.57,46.83,34.68,97.65,85.27,21.6879,44.62,40.34
2011,AREA000000148,32.62,40.3,25.07,12.34,51.97,1.67,SEVERAL_WEEK,43.23,58.12,39.33,46.2,40.99,16.41,55.03,44.88,12.4698,81.31,35.13
2017,AREA000000149,43.0,14.27,10.84,24.29,20.75,13.18,WEEKLY,1.27,44.5,28.13,16.04,54.6,10.53,17.96,42.24,18.9635,40.18,26.58
2019,AREA000000150,45.74,61.47,12.5,29.37,30.01,17.01,MONTHLY,49.61,61.84,38.01,36.25,77.44,98.28,35.9,71.93,7.8153,76.13,16.87
2005,AREA000000151,22.04,49.59,21.02,6.34,24.92,19.62,DAILY,34.51,36.98,2.88,23.0,34.54,79.35,35.51,41.97,11.7178,95.46,17.59
2005,AREA000000152,56.32,48.56,41.3,16.52,10.48,5.99,WEEKLY,93.11,77.39,16.76,9.87,99.34,90.91,74.9,74.49,17.2877,50.04,25.94
2010,AREA000000153,39.13,31.28,7.82,1.51,40.81,21.48,MONTHLY,42.97,8.42,11.76,33.95,30.02,99.43,44.03,43.78,12.0817,72.22,41.62
2024,AREA000000154,42.36,28.48,36.87,22.43,31.06,6.64,DAILY,66.88,69.0,19.15,0.3,93.8,77.3,9.86,35.92,18.2989,98.35,26.86
