qol_cost_reference_month,qol_cost_country_iso2,qol_cost_city_id,qol_cost_hicp_overall_index,qol_cost_food_index,qol_cost_energy_index,qol_cost_transport_index,qol_cost_rent_index,qol_cost_housing_cost_overburden_rate_pct,qol_cost_energy_poverty_rate_pct,qol_cost_median_net_income_eur,qol_cost_real_income_change_pct,qol_cost_consumer_confidence_index,qol_cost_price_level_index_pps,qol_cost_student_budget_eur_month,qol_cost_family_budget_eur_month,qol_cost_tourism_pressure_index,qol_cost_data_source,qol_cost_methodology_version,qol_cost_data_extract_date
2017-11,NL,CITY_NL_0814,107.31,119.87,209.96,108.27,136.23,22.08,9.94,3448.02,-2.45,-37.52,140.32,1829.42,2710.37,48.85,URBAN_COST_SURVEY,COST_V2,2025-07-13
2017-12,SE,CITY_SE_0851,91.64,94.3,97.11,97.01,122.81,11.33,11.79,2917.7,0.79,-17.76,162.41,1125.73,3889.02,43.63,NATIONAL_PRICE_OBS,COST_V3,2024-02-19
2018-01,DK,CITY_DK_0888,91.06,100.35,173.07,106.14,109.37,18.29,3.73,1998.05,-3.85,-21.65,134.99,1917.26,2688.32,35.38,HICP_CITY_MODEL,COST_V1,2025-04-22
2018-02,IE,CITY_IE_0925,108.14,119.31,152.02,127.74,147.33,7.92,3.68,1678.45,-5.9,-4.72,116.77,1029.33,6137.33,5.96,EUROSTAT_HICP,COST_V2,2024-10-22
2018-03,PL,CITY_PL_0962,112.83,116.97,103.99,104.51,109.47,8.53,8.3,1585.37,-4.96,-7.32,103.75,683.62,3167.03,21.1,URBAN_COST_SURVEY,COST_V3,2025-11-24
2018-04,AT,CITY_AT_0999,106.07,111.83,198.4,121.62,123.35,18.9,3.23,4670.82,-1.95,-8.5,122.45,684.79,4469.9,4.47,NATIONAL_PRICE_OBS,COST_V1,2025-08-13
2018-05,EE,CITY_EE_1036,99.49,112.82,131.93,117.38,90.39,13.73,11.22,3685.89,-4.68,-24.4,112.26,1511.4,3637.32,46.05,HICP_CITY_MODEL,COST_V2,2024-11-27
2018-06,IT,CITY_IT_1073,112.26,107.54,211.72,104.73,124.93,13.57,2.58,2115.95,-5.84,-22.37,108.8,889.42,1636.31,55.47,EUROSTAT_HICP,COST_V3,2024-08-26
2018-07,PT,CITY_PT_1110,99.02,100.89,173.72,97.4,119.94,8.06,5.97,3770.59,4.07,-3.28,116.82,917.64,1687.15,72.81,URBAN_COST_SURVEY,COST_V1,2025-07-25
2018-08,BE,CITY_BE_1147,113.18,114.45,171.58,120.85,125.64,18.92,4.69,3807.64,3.2,-14.39,116.54,1237.03,3779.23,15.81,NATIONAL_PRICE_OBS,COST_V2,2024-01-09
2018-09,FI,CITY_FI_1184,96.57,92.15,188.54,92.16,123.82,16.96,5.35,3477.18,5.71,-8.75,100.75,1659.9,3180.43,46.01,HICP_CITY_MODEL,COST_V3,2024-10-11
2018-10,LV,CITY_LV_1221,90.77,94.39,168.24,85.01,92.5,18.78,6.27,1966.77,2.59,-1.38,120.73,1329.9,2204.66,15.78,EUROSTAT_HICP,COST_V1,2024-10-11
2018-11,RO,CITY_RO_1258,84.17,81.2,151.76,88.94,81.59,15.32,9.76,2134.74,-0.11,-33.17,104.93,1298.89,3931.69,12.58,URBAN_COST_SURVEY,COST_V2,2024-05-25
2018-12,BG,CITY_BG_1295,117.31,127.7,179.37,138.74,122.1,16.61,11.25,1370.4,-5.77,-7.12,87.52,1264.19,3621.69,43.15,NATIONAL_PRICE_OBS,COST_V3,2025-10-18
2019-01,FR,CITY_FR_1332,96.28,105.25,165.09,112.12,127.8,18.92,12.18,2050.45,-2.94,-26.44,138.66,1910.97,2615.02,23.25,HICP_CITY_MODEL,COST_V1,2025-11-02
2019-02,LT,CITY_LT_1369,120.88,136.34,192.75,118.8,124.97,7.16,9.7,2017.3,-2.43,-18.35,107.72,1252.06,2025.66,27.47,EUROSTAT_HICP,COST_V2,2024-07-06
2019-03,SK,CITY_SK_1406,87.72,94.63,135.89,100.03,84.11,11.64,7.42,1410.22,3.42,-10.0,116.2,773.48,2659.31,38.63,URBAN_COST_SURVEY,COST_V3,2024-08-13
2019-04,HR,CITY_HR_1443,84.35,87.7,169.56,96.06,94.73,6.58,4.12,897.8,2.72,-30.31,118.28,1033.9,3440.32,37.47,NATIONAL_PRICE_OBS,COST_V1,2025-11-14
2019-05,DE,CITY_DE_1480,116.8,130.5,124.37,131.72,166.12,17.3,2.09,4704.4,1.44,-15.64,131.87,1133.23,3402.65,5.33,HICP_CITY_MODEL,COST_V2,2024-09-24
2019-06,LU,CITY_LU_1517,123.74,122.77,152.61,116.75,182.06,8.26,3.05,3040.73,-5.78,-13.78,106.93,1480.8,3786.45,49.75,EUROSTAT_HICP,COST_V3,2025-09-08
2019-07,SI,CITY_SI_1554,107.23,107.59,129.9,126.19,103.83,7.91,3.19,1701.39,0.3,-6.11,109.86,885.83,4692.46,32.25,URBAN_COST_SURVEY,COST_V1,2025-12-29
2019-08,CY,CITY_CY_1591,89.88,94.5,104.3,95.6,107.12,8.93,4.81,1242.62,5.16,-1.35,116.45,1339.21,4407.88,58.6,NATIONAL_PRICE_OBS,COST_V2,2024-01-01
2019-09,GR,CITY_GR_1628,116.63,112.96,177.08,136.81,128.92,15.04,5.03,2072.17,2.29,-32.42,102.77,1405.3,2714.87,71.14,HICP_CITY_MODEL,COST_V3,2025-03-09
2019-10,MT,CITY_MT_1665,86.85,94.47,93.12,92.68,92.82,20.04,6.7,2125.74,1.38,-1.06,103.41,723.86,1340.01,57.16,EUROSTAT_HICP,COST_V1,2024-03-08
2019-11,ES,CITY_ES_1702,97.74,95.83,192.38,97.97,118.69,19.72,12.79,1391.96,6.1,-10.5,74.4,1074.13,2819.8,39.43,URBAN_COST_SURVEY,COST_V2,2025-08-21
2019-12,CZ,CITY_CZ_1739,101.77,109.33,156.24,110.07,122.57,12.12,9.2,979.12,3.28,-26.1,102.44,943.81,1659.0,19.5,NATIONAL_PRICE_OBS,COST_V3,2025-02-01
2020-01,HU,CITY_HU_1776,93.78,106.64,191.43,96.55,90.06,18.19,13.64,2098.66,-2.73,-13.93,99.53,662.68,3235.0,10.18,HICP_CITY_MODEL,COST_V1,2024-12-22
2020-02,NL,CITY_NL_1813,129.49,139.58,142.36,149.29,157.95,16.46,15.55,3561.03,-6.64,-11.05,129.15,1777.22,2379.9,38.43,EUROSTAT_HICP,COST_V2,2025-08-03
2020-03,SE,CITY_SE_1850,102.22,112.04,170.48,112.88,116.45,13.09,3.1,1150.84,2.98,-1.58,95.54,1624.26,4884.94,43.55,URBAN_COST_SURVEY,COST_V3,2024-11-17
2020-04,DK,CITY_DK_1887,124.13,129.36,174.92,137.71,164.07,12.58,6.98,3090.87,-0.29,-29.51,144.81,1205.63,5097.74,4.91,NATIONAL_PRICE_OBS,COST_V1,2024-02-22
2020-05,IE,CITY_IE_1924,105.88,103.59,141.83,126.13,131.87,15.45,7.62,4129.73,2.91,-5.78,137.33,1038.79,2914.81,30.67,HICP_CITY_MODEL,COST_V2,2026-02-04
2020-06,PL,CITY_PL_1961,88.12,85.01,156.77,95.07,94.55,12.11,3.55,2565.24,-3.6,-34.19,77.5,854.59,3050.81,40.4,EUROSTAT_HICP,COST_V3,2024-02-18
2020-07,AT,CITY_AT_1998,99.09,102.85,199.31,94.07,140.61,21.42,7.08,1658.81,-5.38,-24.95,107.55,1522.58,1775.51,54.05,URBAN_COST_SURVEY,COST_V1,2024-08-09
2020-08,EE,CITY_EE_2035,111.47,124.28,104.8,116.13,104.08,10.25,3.33,1014.77,-2.45,4.78,94.78,1136.49,4282.41,32.03,NATIONAL_PRICE_OBS,COST_V2,2025-06-22
2020-09,IT,CITY_IT_2072,98.93,100.16,179.29,93.08,96.82,21.62,9.07,2091.88,3.93,-13.87,76.47,1082.96,2000.37,8.33,HICP_CITY_MODEL,COST_V3,2025-06-11
2020-10,PT,CITY_PT_2109,84.48,92.7,107.47,79.18,91.74,13.52,12.2,1515.21,6.11,-23.24,114.04,1036.75,3830.83,53.72,EUROSTAT_HICP,COST_V1,2024-07-26
2020-11,BE,CITY_BE_2146,129.24,137.15,251.99,133.8,171.03,18.79,15.51,1552.18,-7.66,-31.36,119.37,673.5,3345.47,20.51,URBAN_COST_SURVEY,COST_V2,2025-01-25
2020-12,FI,CITY_FI_2183,121.98,117.14,232.84,119.27,148.43,14.17,15.08,2378.73,-0.54,-37.5,114.19,662.17,5935.53,14.66,NATIONAL_PRICE_OBS,COST_V3,2024-06-22
2021-01,LV,CITY_LV_2220,106.16,120.99,96.63,107.36,108.72,9.96,9.95,1003.25,-0.01,-2.64,121.41,1437.01,3506.11,51.5,HICP_CITY_MODEL,COST_V1,2025-04-25
2021-02,RO,CITY_RO_2257,93.18,93.4,135.11,101.9,88.62,9.65,12.39,1888.22,3.87,-29.89,96.21,719.87,4056.92,56.84,EUROSTAT_HICP,COST_V2,2024-09-02
2021-03,BG,CITY_BG_2294,92.44,93.42,95.82,85.8,87.84,16.0,4.11,3272.17,3.08,-15.75,115.16,1572.41,3787.08,20.28,URBAN_COST_SURVEY,COST_V3,2024-04-02
2021-04,FR,CITY_FR_2331,119.55,130.61,193.68,120.85,161.44,24.42,7.1,2893.19,3.01,-28.56,122.68,1865.15,5909.85,79.79,NATIONAL_PRICE_OBS,COST_V1,2025-11-13
2021-05,LT,CITY_LT_2368,98.81,95.97,153.35,101.27,95.26,12.45,3.6,3271.31,-4.58,-22.91,71.51,698.16,1864.39,46.31,HICP_CITY_MODEL,COST_V2,2024-12-13
2021-06,SK,CITY_SK_2405,102.76,115.96,135.38,96.8,123.34,8.1,5.06,982.3,-1.13,2.78,112.18,872.09,4277.43,28.01,EUROSTAT_HICP,COST_V3,2026-02-21
2021-07,HR,CITY_HR_2442,88.54,98.05,176.77,95.88,85.18,14.18,6.77,3566.72,2.84,-0.94,81.42,1275.05,1722.33,53.01,URBAN_COST_SURVEY,COST_V1,2024-09-02
2021-08,DE,CITY_DE_2479,110.27,110.04,197.56,116.44,126.75,20.93,8.25,4297.11,5.24,-6.62,138.25,1842.26,3975.98,42.02,NATIONAL_PRICE_OBS,COST_V2,2024-03-27
2021-09,LU,CITY_LU_2516,123.17,136.43,111.47,134.93,171.52,12.45,7.99,3041.18,-1.76,-13.68,90.23,1606.57,4555.03,29.39,HICP_CITY_MODEL,COST_V3,2025-08-09
2021-10,SI,CITY_SI_2553,123.78,120.4,132.23,145.87,138.55,23.18,5.88,2426.42,-6.85,-16.59,90.76,1318.64,4326.11,20.97,EUROSTAT_HICP,COST_V1,2025-02-01
2021-11,CY,CITY_CY_2590,96.15,103.13,181.07,88.93,103.73,16.45,4.22,3561.38,3.79,-7.45,69.66,704.4,2276.66,37.51,URBAN_COST_SURVEY,COST_V2,2024-09-10
2021-12,GR,CITY_GR_2627,106.61,121.98,155.33,102.86,100.29,7.33,15.67,3710.43,0.71,-11.21,74.68,1112.54,3440.83,41.97,NATIONAL_PRICE_OBS,COST_V3,2024-11-24
2022-01,MT,CITY_MT_2664,95.03,102.65,236.59,95.44,89.26,12.46,15.16,1574.86,6.25,-7.22,81.91,1422.29,2700.64,40.96,HICP_CITY_MODEL,COST_V1,2025-03-17
2022-02,ES,CITY_ES_2701,126.79,126.35,260.66,143.22,128.14,26.7,6.92,2591.35,-2.83,-15.85,88.69,838.99,4866.06,79.85,EUROSTAT_HICP,COST_V2,2025-08-24
2022-03,CZ,CITY_CZ_2738,96.04,93.71,187.19,102.76,106.31,11.17,4.57,2259.39,-1.12,-34.34,125.64,547.39,2573.09,45.74,URBAN_COST_SURVEY,COST_V3,2025-05-20
2022-04,HU,CITY_HU_2775,126.19,125.69,262.13,118.97,133.27,20.5,5.29,2484.77,-4.01,-39.07,80.21,1203.72,2720.09,12.03,NATIONAL_PRICE_OBS,COST_V1,2025-01-13
2022-05,NL,CITY_NL_2812,142.6,158.59,320.0,160.42,201.91,16.55,5.26,1115.76,-1.98,-39.48,142.73,875.42,3946.54,17.06,HICP_CITY_MODEL,COST_V2,2025-03-28
2022-06,SE,CITY_SE_2849,115.86,116.38,178.6,123.22,159.68,10.68,15.85,4926.32,1.43,-5.55,102.52,1007.83,5362.29,48.25,EUROSTAT_HICP,COST_V3,2024-11-02
2022-07,DK,CITY_DK_2886,145.51,151.94,289.27,152.26,186.66,12.38,7.13,2294.45,-5.12,-21.8,120.46,1110.11,3541.79,49.48,URBAN_COST_SURVEY,COST_V1,2024-03-30
2022-08,IE,CITY_IE_2923,132.74,139.56,320.0,142.14,173.54,23.62,11.05,1484.17,-4.92,-26.26,146.11,1385.6,2053.77,58.24,NATIONAL_PRICE_OBS,COST_V2,2024-12-12
2022-09,PL,CITY_PL_2960,115.22,117.77,163.06,116.06,107.1,6.82,11.86,1658.95,-2.07,-16.13,90.69,779.49,2828.54,9.28,HICP_CITY_MODEL,COST_V3,2024-10-29
2022-10,AT,CITY_AT_2997,103.64,105.1,253.63,100.48,115.54,7.42,7.87,2108.69,-4.31,-8.45,145.18,1586.65,4589.9,19.13,EUROSTAT_HICP,COST_V1,2024-04-07
2022-11,EE,CITY_EE_3034,120.64,123.3,209.04,126.9,124.36,7.53,6.46,3103.01,3.97,-18.5,106.9,541.46,1796.24,41.33,URBAN_COST_SURVEY,COST_V2,2025-09-21
2022-12,IT,CITY_IT_3071,135.82,136.73,320.0,143.24,135.55,14.15,7.85,2638.41,-7.72,-42.34,101.72,530.54,1844.01,50.15,NATIONAL_PRICE_OBS,COST_V3,2024-09-14
2023-01,PT,CITY_PT_3108,98.48,101.41,155.69,101.68,96.42,8.97,8.22,2409.07,5.81,-20.45,84.0,1532.95,3842.33,18.43,HICP_CITY_MODEL,COST_V1,2025-04-20
2023-02,BE,CITY_BE_3145,117.68,125.63,199.84,123.09,164.02,12.16,2.29,4338.74,-6.76,-26.96,141.77,779.87,2369.46,23.12,EUROSTAT_HICP,COST_V2,2025-05-28
2023-03,FI,CITY_FI_3182,111.76,121.17,130.39,122.39,122.46,18.91,4.01,4050.79,3.75,-27.38,115.3,818.59,5075.01,49.39,URBAN_COST_SURVEY,COST_V3,2024-08-21
2023-04,LV,CITY_LV_3219,93.39,97.38,181.46,88.82,86.54,14.41,13.72,3517.68,-4.07,-1.62,105.61,943.21,1337.59,45.42,NATIONAL_PRICE_OBS,COST_V1,2025-07-23
2023-05,RO,CITY_RO_3256,119.39,114.28,139.96,129.85,125.87,11.07,7.85,3019.3,0.79,-29.2,127.23,708.35,4143.83,25.72,HICP_CITY_MODEL,COST_V2,2026-01-07
2023-06,BG,CITY_BG_3293,107.3,117.94,134.48,100.83,106.74,20.11,7.77,3526.02,-5.0,-25.12,91.78,553.47,4641.41,7.33,EUROSTAT_HICP,COST_V3,2024-10-18
2023-07,FR,CITY_FR_3330,107.95,116.09,120.27,106.37,129.1,18.12,3.5,2902.93,2.52,-3.35,108.24,1679.72,4973.05,79.3,URBAN_COST_SURVEY,COST_V1,2025-07-09
2023-08,LT,CITY_LT_3367,93.87,104.86,99.36,93.32,111.29,9.18,10.3,1356.07,6.08,3.2,85.79,1534.71,2900.0,56.76,NATIONAL_PRICE_OBS,COST_V2,2025-04-19
2023-09,SK,CITY_SK_3404,125.11,124.06,129.47,144.76,133.06,23.73,11.83,3161.32,-2.48,-11.28,78.2,686.02,1846.37,9.4,HICP_CITY_MODEL,COST_V3,2024-07-21
2023-10,HR,CITY_HR_3441,127.42,144.82,238.65,119.23,140.65,13.72,6.57,2605.86,-2.82,-29.46,97.7,584.94,1745.56,32.96,EUROSTAT_HICP,COST_V1,2025-04-19
2023-11,DE,CITY_DE_3478,130.7,141.54,272.7,123.2,173.3,18.34,11.8,4861.88,-6.37,-8.88,105.1,1124.64,2132.38,26.13,URBAN_COST_SURVEY,COST_V2,2026-01-16
2023-12,LU,CITY_LU_3515,105.99,106.6,148.12,106.4,127.6,11.04,8.6,3999.23,1.95,-20.67,91.41,1888.17,3203.36,36.37,NATIONAL_PRICE_OBS,COST_V3,2024-01-13
2024-01,SI,CITY_SI_3552,87.1,89.85,93.0,103.81,95.02,13.13,11.38,2745.55,-1.13,-7.06,75.71,623.27,4691.74,4.45,HICP_CITY_MODEL,COST_V1,2024-11-07
2024-02,CY,CITY_CY_3589,114.37,115.95,190.9,115.97,134.99,8.87,6.46,2243.22,0.5,-22.73,123.34,651.46,2077.94,72.77,EUROSTAT_HICP,COST_V2,2025-10-09
2024-03,GR,CITY_GR_3626,109.33,113.47,108.02,107.72,111.92,19.76,8.22,3353.9,-3.26,-0.83,72.1,1007.57,1605.6,66.04,URBAN_COST_SURVEY,COST_V3,2025-01-09
2024-04,MT,CITY_MT_3663,89.31,93.62,160.74,104.25,101.34,9.58,16.83,1999.97,-4.61,-9.07,108.11,718.33,3995.39,53.63,NATIONAL_PRICE_OBS,COST_V1,2025-08-07
2024-05,ES,CITY_ES_3700,119.2,132.15,163.91,120.88,137.68,14.57,16.7,2341.64,-5.72,-0.25,116.98,1506.67,1365.1,42.14,HICP_CITY_MODEL,COST_V2,2024-12-17
2024-06,CZ,CITY_CZ_3737,97.92,100.2,163.98,113.61,102.12,12.94,9.36,3584.52,-4.62,-34.02,121.52,1116.53,3936.81,49.73,EUROSTAT_HICP,COST_V3,2025-03-11
2024-07,HU,CITY_HU_3774,94.41,100.18,195.44,110.32,99.41,16.27,5.54,1825.7,-4.19,-7.05,114.58,876.39,4197.8,34.79,URBAN_COST_SURVEY,COST_V1,2024-11-22
2024-08,NL,CITY_NL_3811,91.66,100.09,112.78,98.58,130.25,24.05,7.11,4048.79,5.64,-9.62,91.72,1249.4,3558.83,40.89,NATIONAL_PRICE_OBS,COST_V2,2024-01-11
2024-09,SE,CITY_SE_3848,122.79,131.24,226.45,132.52,158.8,23.98,5.22,4221.1,-4.28,-6.61,89.95,700.73,3302.33,10.77,HICP_CITY_MODEL,COST_V3,2025-09-19
2024-10,DK,CITY_DK_3885,107.48,110.47,224.63,113.4,142.87,24.2,13.44,1231.96,-0.08,-4.98,150.51,1641.22,3109.42,15.97,EUROSTAT_HICP,COST_V1,2025-11-13
2024-11,IE,CITY_IE_3922,125.23,127.06,217.2,136.11,171.77,11.7,3.39,1530.85,-3.9,-15.79,114.45,913.37,2777.62,32.74,URBAN_COST_SURVEY,COST_V2,2026-01-15
2024-12,PL,CITY_PL_3959,99.27,109.01,106.12,97.03,91.81,14.02,4.26,1782.79,1.54,-19.96,113.98,1264.94,2029.14,31.19,NATIONAL_PRICE_OBS,COST_V3,2024-10-14
2025-01,AT,CITY_AT_3996,124.36,118.27,192.07,144.76,159.39,17.38,15.39,1376.73,-2.57,-14.05,113.56,870.74,4400.96,45.6,HICP_CITY_MODEL,COST_V1,2024-01-11
2025-02,EE,CITY_EE_4033,85.09,93.42,108.3,92.29,84.48,13.55,6.09,1499.86,-2.26,-22.6,97.97,866.25,1487.4,53.08,EUROSTAT_HICP,COST_V2,2024-01-27
2025-03,IT,CITY_IT_4070,109.47,122.48,175.9,118.72,126.8,18.6,13.92,3090.9,3.71,-15.35,121.92,1422.64,4565.9,33.6,URBAN_COST_SURVEY,COST_V3,2025-04-07
2025-04,PT,CITY_PT_4107,88.43,93.3,154.81,93.01,92.81,15.37,15.1,1152.32,-0.74,-25.71,112.29,1422.5,2740.03,28.16,NATIONAL_PRICE_OBS,COST_V1,2024-06-02
2025-05,BE,CITY_BE_4144,99.51,101.89,191.48,97.12,126.02,11.85,4.27,2895.81,5.8,-19.54,143.01,1151.07,5985.04,12.68,HICP_CITY_MODEL,COST_V2,2024-10-09
2025-06,FI,CITY_FI_4181,104.35,119.13,114.93,111.33,118.02,8.32,8.2,2826.42,1.49,-22.37,136.61,1418.03,3308.09,29.96,EUROSTAT_HICP,COST_V3,2024-08-03
2025-07,LV,CITY_LV_4218,99.53,97.56,187.47,109.34,102.17,18.14,6.72,3564.74,-4.34,-21.58,119.18,856.73,3919.69,49.09,URBAN_COST_SURVEY,COST_V1,2024-07-17
2025-08,RO,CITY_RO_4255,106.83,109.47,158.35,115.91,101.3,8.99,14.54,2431.14,-0.79,-12.12,69.74,847.97,3966.48,49.84,NATIONAL_PRICE_OBS,COST_V2,2025-09-17
2025-09,BG,CITY_BG_4292,85.75,93.29,142.64,82.6,85.01,12.69,2.75,1226.57,0.76,-29.98,107.75,646.52,1855.97,48.45,HICP_CITY_MODEL,COST_V3,2025-05-12
2025-10,FR,CITY_FR_4329,89.89,98.5,155.09,99.07,110.7,11.97,12.66,4624.07,-2.27,-0.17,99.38,1329.64,3742.18,67.89,EUROSTAT_HICP,COST_V1,2025-08-15
2025-11,LT,CITY_LT_4366,119.39,132.42,118.28,114.7,113.29,10.67,10.79,1459.02,0.23,4.08,110.31,660.81,3856.4,32.42,URBAN_COST_SURVEY,COST_V2,2025-05-26
2025-12,SK,CITY_SK_4403,86.45,91.6,100.1,98.33,81.9,11.6,2.6,1079.53,3.01,-19.29,87.22,574.68,2424.52,4.33,NATIONAL_PRICE_OBS,COST_V3,2024-11-08
2026-01,HR,CITY_HR_4440,95.42,106.51,147.56,97.32,93.83,11.5,5.18,3374.17,4.26,-15.2,82.91,1567.22,1669.41,30.2,HICP_CITY_MODEL,COST_V1,2025-04-08
2026-02,DE,CITY_DE_4477,123.99,141.71,154.92,134.11,172.12,6.74,13.74,4424.08,-5.42,-18.05,98.23,1597.68,5373.68,48.3,EUROSTAT_HICP,COST_V2,2024-07-24
2026-03,LU,CITY_LU_4514,90.75,93.52,153.89,88.75,123.38,15.52,11.81,3488.73,3.11,-15.44,122.27,1272.91,6152.57,49.79,URBAN_COST_SURVEY,COST_V3,2025-02-05
2026-04,SI,CITY_SI_4551,116.09,127.65,131.93,117.2,112.62,12.25,2.69,2115.18,-6.53,-8.51,100.9,860.8,4192.34,19.82,NATIONAL_PRICE_OBS,COST_V1,2024-08-24
2026-05,CY,CITY_CY_4588,110.89,121.91,218.04,128.51,123.69,18.64,7.61,2355.63,-6.41,-10.55,122.1,643.38,3319.79,22.64,HICP_CITY_MODEL,COST_V2,2024-02-12
2026-06,GR,CITY_GR_4625,100.13,103.52,127.44,102.5,95.34,6.19,6.38,3016.8,-2.31,-31.16,116.73,1322.37,3296.98,59.73,EUROSTAT_HICP,COST_V3,2024-05-15
2026-07,MT,CITY_MT_4662,84.91,84.31,77.53,88.44,77.35,19.17,11.22,2413.84,2.73,-13.76,79.26,1340.95,1469.01,59.71,URBAN_COST_SURVEY,COST_V1,2024-05-13
2026-08,ES,CITY_ES_4699,120.44,119.29,232.61,127.38,134.73,22.18,4.34,1602.09,-4.63,-20.06,114.02,1365.66,2835.53,40.55,NATIONAL_PRICE_OBS,COST_V2,2025-06-28
