agri_cap_reference_year,agri_cap_country_iso2,agri_cap_region_nuts_code,agri_cap_farm_id_hash,agri_cap_farm_size_ha,agri_cap_farm_type_code,agri_cap_pillar_code,agri_cap_intervention_code,agri_cap_payment_amount_eur,agri_cap_payment_type_code,agri_cap_eco_scheme_flag,agri_cap_greening_requirement_flag,agri_cap_conditionality_noncompliance_flag,agri_cap_organic_farming_flag,agri_cap_natura2000_constraint_flag,agri_cap_young_farmer_support_flag,agri_cap_aecs_participation_flag,agri_cap_monitoring_satellite_flag,agri_cap_eu_funds_source,agri_cap_data_extract_date
2014,LU,RO65,c5838cb613c9d71774589f36,19.04,VINEYARD,MIXED,LESS_FAVOURED_AREA,9250.91,RESULT_BASED,1,0,0,1,0,0,0,1,EAGF,2025-09-05
2015,RO,LU56,f87e486f0fe17c84de7b4f4e,33.33,DAIRY,PILLAR2_RURAL_DEVELOPMENT,CRISS,4270.38,LUMP_SUM,1,1,0,0,0,1,0,1,NATIONAL_TOPUP,2024-08-11
2016,AT,DK44,d8aaf60772169d8432f7d315,70.76,ORCHARD,PILLAR1_DIRECT_PAYMENTS,RISK_MANAGEMENT,21345.45,CO_FINANCED,1,0,0,0,1,1,1,1,RRF_COFIN,2025-03-10
2017,CZ,BE40,baa39d7fd3967a0f90d17907,20.71,OLIVE,MIXED,AECM,7674.45,ANNUAL,1,1,0,0,0,0,0,1,EAFRD,2024-04-15
2018,DE,FR475,846e331f72a8e7f843c29190,25.23,MIXED,PILLAR2_RURAL_DEVELOPMENT,BISS,7373.75,TOP_UP,1,1,0,0,0,0,0,1,EAGF,2025-05-06
2019,LV,LU267,1d19d988410d8cc65e18904e,77.8,OTHER,PILLAR1_DIRECT_PAYMENTS,INVESTMENT_AID,14984.75,RESULT_BASED,0,1,0,0,0,0,0,1,NATIONAL_TOPUP,2024-11-12
2020,PL,BG54,1a9d3dce96156137c3282beb,29.77,SHEEP_GOAT,MIXED,ECO_SCHEME,6650.99,LUMP_SUM,1,1,0,0,0,0,0,0,RRF_COFIN,2025-07-20
2021,ES,PL47,a0e63136222887df2c1c9686,13.82,HORTICULTURE,PILLAR2_RURAL_DEVELOPMENT,YOUNG_FARMERS,5090.96,CO_FINANCED,0,0,0,0,0,1,0,1,EAFRD,2025-04-16
2022,HR,SK8,a1e778e5fcce67a0f2e19b65,21.74,ARABLE,PILLAR1_DIRECT_PAYMENTS,LESS_FAVOURED_AREA,4488.49,ANNUAL,0,0,0,1,0,0,0,0,EAGF,2026-01-16
2023,FI,DK915,d3c0dcd4f4c88ad581136407,25.19,PIGS_POULTRY,MIXED,CRISS,6091.76,TOP_UP,0,0,0,0,0,0,0,1,NATIONAL_TOPUP,2024-09-30
2024,IE,SK1,97ea1f325618a1c89580ec2e,29.61,VINEYARD,PILLAR2_RURAL_DEVELOPMENT,RISK_MANAGEMENT,3171.38,RESULT_BASED,0,1,0,0,0,0,0,1,RRF_COFIN,2025-09-28
2025,MT,HR85,36dfa13d8e7111844767f875,60.24,DAIRY,PILLAR1_DIRECT_PAYMENTS,AECM,9390.48,LUMP_SUM,1,1,0,0,0,0,1,1,EAFRD,2025-01-04
2026,SK,HR672,3302411211d4bb33b964b2fc,11.93,ORCHARD,MIXED,BISS,2135.25,CO_FINANCED,0,0,0,0,0,0,0,0,EAGF,2025-07-15
2014,BE,IE458,26884ba398d50ee216fbf754,37.49,OLIVE,PILLAR2_RURAL_DEVELOPMENT,INVESTMENT_AID,11474.57,ANNUAL,0,0,1,0,0,0,0,1,NATIONAL_TOPUP,2025-11-17
2015,DK,DE19,d8e9a44e48377acfd150ae75,30.81,MIXED,PILLAR1_DIRECT_PAYMENTS,ECO_SCHEME,11873.23,TOP_UP,1,0,0,0,0,0,0,1,RRF_COFIN,2025-07-27
2016,GR,PL45,2226f0f1979216a553e570be,37.0,OTHER,MIXED,YOUNG_FARMERS,8566.6,RESULT_BASED,0,0,0,0,0,1,0,1,EAFRD,2025-09-03
2017,LT,NL8,95cdcad1e52dfd2ceebc7fa1,8.91,SHEEP_GOAT,PILLAR2_RURAL_DEVELOPMENT,LESS_FAVOURED_AREA,1713.19,LUMP_SUM,1,0,0,0,0,0,1,0,EAGF,2025-04-29
2018,PT,AT8,54dbd04396acb00d06d0b312,16.23,HORTICULTURE,PILLAR1_DIRECT_PAYMENTS,CRISS,5447.94,CO_FINANCED,1,0,0,0,0,0,0,1,NATIONAL_TOPUP,2024-06-16
2019,SE,GR297,be40928395997090b819b013,20.33,ARABLE,MIXED,RISK_MANAGEMENT,3424.99,ANNUAL,1,0,0,1,0,0,0,1,RRF_COFIN,2025-01-31
2020,CY,CY56,bd008ebbacb42600aeeeeaf4,25.9,PIGS_POULTRY,PILLAR2_RURAL_DEVELOPMENT,AECM,5798.63,TOP_UP,1,0,0,0,0,0,1,1,EAFRD,2025-08-20
2021,FR,DE6,00dcf173b3c5ce5567c1d9e2,15.48,VINEYARD,PILLAR1_DIRECT_PAYMENTS,BISS,5165.41,RESULT_BASED,0,0,0,0,0,0,0,1,EAGF,2024-03-27
2022,IT,HR820,9f8d963d6991dc847e7032c8,23.96,DAIRY,MIXED,INVESTMENT_AID,5615.02,LUMP_SUM,0,1,0,0,0,1,0,1,NATIONAL_TOPUP,2024-01-12
2023,NL,AT657,6e0c1152a492cd27d47aa140,12.55,ORCHARD,PILLAR2_RURAL_DEVELOPMENT,ECO_SCHEME,3864.29,CO_FINANCED,1,1,1,1,0,1,0,1,RRF_COFIN,2024-06-17
2024,SI,SE407,50be6ba9771e0786ac36e049,70.88,OLIVE,PILLAR1_DIRECT_PAYMENTS,YOUNG_FARMERS,13423.95,ANNUAL,0,1,0,0,0,1,0,1,EAFRD,2026-01-11
2025,BG,GR14,c343da7f870f753f8508ffba,8.96,MIXED,MIXED,LESS_FAVOURED_AREA,2890.51,TOP_UP,0,0,0,0,0,0,1,1,EAGF,2025-01-09
2026,EE,DE836,328d6eef1f49b3bb3a164581,12.0,OTHER,PILLAR2_RURAL_DEVELOPMENT,CRISS,3013.25,RESULT_BASED,0,1,0,0,0,0,0,1,NATIONAL_TOPUP,2024-10-27
2014,HU,CY3,8ef18f8f02ce0f7391f9b237,7.94,SHEEP_GOAT,PILLAR1_DIRECT_PAYMENTS,RISK_MANAGEMENT,2436.44,LUMP_SUM,1,0,0,0,0,0,0,1,RRF_COFIN,2025-04-01
2015,LU,EE6,5a54ad4db83f1d4961d5af68,22.22,HORTICULTURE,MIXED,AECM,7289.45,CO_FINANCED,1,0,0,1,0,0,0,1,EAFRD,2025-05-15
2016,RO,LT97,5776f6ea7c5fec84d1ab135f,30.69,ARABLE,PILLAR2_RURAL_DEVELOPMENT,BISS,8476.53,ANNUAL,0,1,0,1,0,0,0,0,EAGF,2024-10-30
2017,AT,RO966,8db8e5945c7f7ec9f04de8f9,37.4,PIGS_POULTRY,PILLAR1_DIRECT_PAYMENTS,INVESTMENT_AID,6493.29,TOP_UP,0,1,0,0,1,0,0,1,NATIONAL_TOPUP,2025-09-14
2018,CZ,NL37,1c2c8e15407fbb941398a83e,19.83,VINEYARD,MIXED,ECO_SCHEME,8908.99,RESULT_BASED,1,0,0,1,0,0,0,1,RRF_COFIN,2024-05-17
2019,DE,SI248,27797ba833f1a972cbc2e705,25.39,DAIRY,PILLAR2_RURAL_DEVELOPMENT,YOUNG_FARMERS,7177.86,LUMP_SUM,0,1,0,1,0,1,0,1,EAFRD,2024-10-03
2020,LV,RO676,35f308b4c1b3602e3a733caf,15.66,ORCHARD,PILLAR1_DIRECT_PAYMENTS,LESS_FAVOURED_AREA,7026.77,CO_FINANCED,0,0,0,1,0,0,1,1,EAGF,2025-01-06
2021,PL,PL63,700f1aa8aa0e551afc5663b9,10.03,OLIVE,MIXED,CRISS,4747.65,ANNUAL,0,0,0,0,0,1,1,1,NATIONAL_TOPUP,2024-12-24
2022,ES,IE9,c37ac7a3e173b221504fd28c,42.28,MIXED,PILLAR2_RURAL_DEVELOPMENT,RISK_MANAGEMENT,4692.75,TOP_UP,0,1,0,0,0,0,0,1,RRF_COFIN,2026-01-01
2023,HR,BE8,6fe188910b6fe7eb5852095b,43.56,OTHER,PILLAR1_DIRECT_PAYMENTS,AECM,17313.72,RESULT_BASED,1,0,0,0,1,1,1,0,EAFRD,2025-01-02
2024,FI,IE14,a0ba90df8e0c6b7c40d6e100,12.81,SHEEP_GOAT,MIXED,BISS,3477.48,LUMP_SUM,0,0,1,0,0,0,0,1,EAGF,2024-02-25
2025,IE,SI62,ad941ee77d070fabc2b7a5f6,14.65,HORTICULTURE,PILLAR2_RURAL_DEVELOPMENT,INVESTMENT_AID,2522.62,CO_FINANCED,0,1,0,1,0,0,0,1,NATIONAL_TOPUP,2024-10-03
2026,MT,SK3,bf2d9ea29d46dfe030e29cdc,7.87,ARABLE,PILLAR1_DIRECT_PAYMENTS,ECO_SCHEME,2636.58,ANNUAL,1,1,0,0,0,0,0,1,RRF_COFIN,2024-03-01
2014,SK,FR31,a8125e1d315e35055370a97c,16.27,PIGS_POULTRY,MIXED,YOUNG_FARMERS,2592.03,TOP_UP,0,1,0,0,1,1,0,1,EAFRD,2026-01-10
2015,BE,DK99,fc68c93d995a91860a8d96d2,19.39,VINEYARD,PILLAR2_RURAL_DEVELOPMENT,LESS_FAVOURED_AREA,7299.69,RESULT_BASED,0,1,0,0,0,0,1,1,EAGF,2025-06-14
2016,DK,NL64,4001e8176ff5a04210de55d3,9.15,DAIRY,PILLAR1_DIRECT_PAYMENTS,CRISS,2445.02,LUMP_SUM,0,1,0,1,1,0,0,1,NATIONAL_TOPUP,2026-01-13
2017,GR,DE1,e02e9d67d5d5d81d19c5d14a,7.62,ORCHARD,MIXED,RISK_MANAGEMENT,2102.05,CO_FINANCED,0,1,0,0,0,0,0,1,RRF_COFIN,2025-02-13
2018,LT,BG6,83de55ffd68419be75c4e75b,18.48,OLIVE,PILLAR2_RURAL_DEVELOPMENT,AECM,5859.47,ANNUAL,1,0,0,0,0,0,1,1,EAFRD,2025-06-10
2019,PT,ES99,8e65eaf4424f78a4dd68db76,23.36,MIXED,PILLAR1_DIRECT_PAYMENTS,BISS,2941.42,TOP_UP,0,1,0,0,0,0,0,1,EAGF,2024-04-14
2020,SE,FR127,d3f0bfd324b013741553ebaf,55.15,OTHER,MIXED,INVESTMENT_AID,7895.88,RESULT_BASED,0,0,0,0,0,0,0,0,NATIONAL_TOPUP,2024-07-04
2021,CY,PT2,3964b2c736c99e2b025b1907,19.85,SHEEP_GOAT,PILLAR2_RURAL_DEVELOPMENT,ECO_SCHEME,4561.65,LUMP_SUM,1,1,0,0,1,0,0,1,RRF_COFIN,2024-06-23
2022,FR,FR64,626e6cfa0866fed4a10882ec,30.67,HORTICULTURE,PILLAR1_DIRECT_PAYMENTS,YOUNG_FARMERS,12292.74,CO_FINANCED,0,1,1,1,0,1,0,1,EAFRD,2025-02-14
2023,IT,EE84,e8227e1dc1e6329d5c06baca,23.9,ARABLE,MIXED,LESS_FAVOURED_AREA,3704.23,ANNUAL,0,0,0,0,0,0,0,1,EAGF,2024-12-03
2024,NL,SI73,fe667519b6a6f640650b86b7,31.73,PIGS_POULTRY,PILLAR2_RURAL_DEVELOPMENT,CRISS,8819.05,TOP_UP,0,1,0,1,0,0,0,1,NATIONAL_TOPUP,2025-10-16
2025,SI,LT6,f2d59bf26e8845907ec3a98d,22.17,VINEYARD,PILLAR1_DIRECT_PAYMENTS,RISK_MANAGEMENT,9554.71,RESULT_BASED,0,1,0,0,1,0,0,1,RRF_COFIN,2025-01-13
2026,BG,HR860,98e7ec140c456deefd8428ad,27.8,DAIRY,MIXED,AECM,5532.09,LUMP_SUM,1,0,0,0,1,0,0,1,EAFRD,2024-10-02
2014,EE,MT259,ffaa7fff73c89a270f4b4640,26.14,ORCHARD,PILLAR2_RURAL_DEVELOPMENT,BISS,11881.63,CO_FINANCED,0,0,0,1,1,0,0,0,EAGF,2025-05-02
2015,HU,EE95,8099b781c309bd17d851181e,22.24,OLIVE,PILLAR1_DIRECT_PAYMENTS,INVESTMENT_AID,4870.94,ANNUAL,0,1,0,0,0,0,0,1,NATIONAL_TOPUP,2025-02-20
2016,LU,AT5,7319eed95a448ccfda81c44f,20.35,MIXED,MIXED,ECO_SCHEME,6700.72,TOP_UP,1,0,0,0,0,0,0,0,RRF_COFIN,2024-06-14
2017,RO,LV470,fef2df05fdc72f5824e1565f,23.93,OTHER,PILLAR2_RURAL_DEVELOPMENT,YOUNG_FARMERS,5218.43,RESULT_BASED,1,1,1,0,0,1,0,0,EAFRD,2024-01-02
2018,AT,NL149,f9f250ccf644b607aa1f0387,8.37,SHEEP_GOAT,PILLAR1_DIRECT_PAYMENTS,LESS_FAVOURED_AREA,3251.7,LUMP_SUM,0,0,0,0,0,0,1,0,EAGF,2024-11-19
2019,CZ,SI33,f15359abe4356e5956b69712,27.6,HORTICULTURE,MIXED,CRISS,4314.3,CO_FINANCED,0,1,0,0,0,0,0,1,NATIONAL_TOPUP,2025-02-24
2020,DE,HU581,53d72ce1eb71cef4a8e3368a,41.94,ARABLE,PILLAR2_RURAL_DEVELOPMENT,RISK_MANAGEMENT,10080.16,ANNUAL,0,1,0,0,0,0,1,0,RRF_COFIN,2025-08-03
2021,LV,BG8,01e38ce62a4431cd04be756e,12.24,PIGS_POULTRY,PILLAR1_DIRECT_PAYMENTS,AECM,3510.87,TOP_UP,1,0,0,0,0,0,1,1,EAFRD,2024-05-25
2022,PL,RO7,bec0db7d697bd176f603e348,10.64,VINEYARD,MIXED,BISS,2654.33,RESULT_BASED,0,0,0,0,0,1,1,1,EAGF,2024-07-13
2023,ES,EE540,9320161f54d3700eb9696341,40.43,DAIRY,PILLAR2_RURAL_DEVELOPMENT,INVESTMENT_AID,14699.91,LUMP_SUM,0,1,0,0,0,0,0,0,NATIONAL_TOPUP,2025-03-25
2024,HR,SI1,3c41ee5e9a34d84e77bf491e,17.66,ORCHARD,PILLAR1_DIRECT_PAYMENTS,ECO_SCHEME,2923.99,CO_FINANCED,1,1,0,1,0,0,0,1,RRF_COFIN,2024-06-22
2025,FI,BE432,8e4c5cf3579215062ffe40cc,30.98,OLIVE,MIXED,YOUNG_FARMERS,6429.25,ANNUAL,0,1,0,1,0,1,0,1,EAFRD,2025-08-13
2026,IE,IE291,65d0798cf941ae82c8e0f5f7,34.24,MIXED,PILLAR2_RURAL_DEVELOPMENT,LESS_FAVOURED_AREA,10960.16,TOP_UP,0,0,0,1,0,0,1,1,EAGF,2025-01-31
2014,MT,ES35,986b2b44331cce8438ff01a2,26.3,OTHER,PILLAR1_DIRECT_PAYMENTS,CRISS,4775.28,RESULT_BASED,0,0,0,0,0,0,0,1,NATIONAL_TOPUP,2025-03-15
2015,SK,SE5,717f2b4ba809fb9271bbe060,8.73,SHEEP_GOAT,MIXED,RISK_MANAGEMENT,1749.26,LUMP_SUM,1,0,0,0,0,0,0,1,RRF_COFIN,2024-08-09
2016,BE,CZ48,b971dd124d7e94cd19c4585d,16.05,HORTICULTURE,PILLAR2_RURAL_DEVELOPMENT,AECM,5400.16,CO_FINANCED,1,0,0,0,0,0,1,1,EAFRD,2024-02-28
2017,DK,CY30,829fe7c67b3ea4073d3205c1,39.37,ARABLE,PILLAR1_DIRECT_PAYMENTS,BISS,8429.37,ANNUAL,1,1,0,0,0,0,1,0,EAGF,2024-08-17
2018,GR,LU68,a0eebfe10f592e404d4380ab,29.2,PIGS_POULTRY,MIXED,INVESTMENT_AID,8664.78,TOP_UP,0,1,0,0,0,0,0,1,NATIONAL_TOPUP,2025-12-09
2019,LT,PT841,37c9b210f6f20b52839ee184,33.16,VINEYARD,PILLAR2_RURAL_DEVELOPMENT,ECO_SCHEME,4767.97,RESULT_BASED,1,1,0,0,0,0,0,0,RRF_COFIN,2025-01-04
2020,PT,LV3,905d3c2df2f993507d62fb5c,22.9,DAIRY,PILLAR1_DIRECT_PAYMENTS,YOUNG_FARMERS,8133.96,LUMP_SUM,0,1,0,0,0,1,0,0,EAFRD,2025-05-15
