soc_vuln_index_year,soc_vuln_community_lgd_code,soc_vuln_poverty_rate_pct,soc_vuln_unemployment_rate_local,soc_vuln_housing_cost_burden_rate,soc_vuln_single_parent_households_rate,soc_vuln_disability_prevalence_rate,soc_vuln_limited_english_rate,soc_vuln_no_vehicle_rate,soc_vuln_crowding_rate,soc_vuln_broadband_gap_rate,soc_vuln_health_insurance_gap_rate,soc_vuln_food_insecurity_rate,soc_vuln_violent_crime_rate_local,soc_vuln_heat_vulnerability_score,soc_vuln_flood_vulnerability_score,soc_vuln_ncoial_isolation_index,soc_vuln_community_resilience_score,soc_vuln_resource_access_score,soc_vuln_overall_vulnerability_rank
2024,712375,3.79,11.03,53.54,13.85,5.05,4.94,56.99,16.31,34.98,6.89,19.67,6.23,0.77,0.701,0.172,70.7,50.9,414
2021,650122,49.22,17.73,28.5,9.65,6.3,4.55,55.0,6.96,17.03,9.24,33.4,7.69,0.761,0.76,0.154,35.7,81.6,457
2017,792318,41.66,12.59,49.99,13.37,7.65,1.93,30.72,5.36,39.75,42.32,27.87,4.71,0.844,0.332,0.984,94.7,68.8,452
2019,414376,15.43,7.17,32.05,18.75,7.67,6.69,8.51,13.27,3.86,25.88,24.58,5.31,0.218,0.826,0.166,36.8,90.6,630
2017,245327,41.74,3.42,39.7,16.05,11.43,3.37,35.53,15.99,29.31,11.19,4.89,7.51,0.808,0.593,0.524,53.0,20.0,493
2023,262916,3.44,15.53,31.69,4.58,5.89,4.96,11.6,16.24,33.2,26.1,27.64,1.05,0.816,0.168,0.541,88.0,54.3,269
2018,576585,53.22,6.48,51.89,7.42,9.98,3.93,10.01,13.84,25.43,23.49,3.71,8.2,0.894,0.586,0.569,53.8,0.1,155
2017,194225,21.62,17.01,10.65,19.89,9.77,4.11,10.69,7.2,3.78,22.03,9.14,9.24,0.181,0.099,0.568,23.5,25.5,187
2022,394139,39.14,4.3,9.29,2.12,9.66,3.54,36.55,5.16,0.77,24.49,3.67,8.56,0.309,0.832,0.776,4.2,6.5,515
2019,848695,22.5,9.94,49.17,1.63,1.02,0.38,15.72,10.0,32.6,43.16,29.28,8.04,0.345,0.462,0.064,48.3,11.5,747
2024,290664,31.18,13.02,13.85,2.14,5.76,3.47,28.54,11.36,37.12,5.8,26.82,4.19,0.712,0.843,0.542,23.4,81.0,251
2017,853847,14.43,4.03,50.2,15.63,9.02,7.7,34.01,0.84,35.98,20.81,35.18,0.85,0.254,0.816,0.45,1.1,46.9,724
2020,439693,50.72,3.06,5.12,12.21,5.65,6.18,63.06,6.17,23.44,17.55,32.55,6.5,0.074,0.286,0.142,57.7,58.3,408
2024,274039,38.81,6.51,53.2,4.77,6.98,5.56,7.71,6.92,12.33,20.33,5.85,6.97,0.143,0.962,0.941,15.2,49.0,69
2023,233312,6.67,17.7,12.05,14.46,11.34,0.95,24.41,7.93,10.8,25.29,28.44,5.84,0.544,0.222,0.182,60.8,72.0,211
2021,152841,14.46,8.09,13.31,15.67,8.11,3.37,59.31,2.17,31.64,23.49,36.07,5.75,0.563,0.557,0.62,89.6,34.4,153
2018,795151,7.28,6.65,15.48,14.77,10.62,6.08,27.01,16.49,33.15,33.24,2.04,6.24,0.446,0.795,0.388,24.3,1.4,389
2020,102924,10.45,7.28,45.11,6.65,6.75,0.4,38.01,17.01,25.91,35.67,6.74,1.18,0.697,0.41,0.75,96.0,66.5,644
2024,113628,5.89,17.93,23.33,5.95,1.59,0.96,53.08,15.49,39.78,35.62,27.53,5.82,0.225,0.558,0.904,34.6,49.4,730
2021,845423,53.71,2.55,27.37,5.27,8.33,3.04,48.54,15.16,38.33,22.74,33.38,9.33,0.566,0.014,0.118,2.7,17.1,362
2023,786633,37.32,1.28,22.33,8.28,6.38,5.89,44.71,2.74,1.33,5.01,21.87,6.77,0.322,0.89,0.835,36.1,31.8,484
2023,166380,32.29,10.35,24.06,2.5,8.26,1.69,14.9,14.6,22.48,41.11,26.06,1.65,0.402,0.269,0.345,72.9,75.8,19
2023,170755,37.41,12.71,25.24,11.94,8.52,2.94,43.82,6.72,32.69,44.15,13.4,7.43,0.944,0.743,0.135,36.1,49.3,809
2016,664582,39.38,2.97,43.31,5.6,8.4,2.63,51.34,3.28,34.53,19.03,9.48,1.24,0.452,0.19,0.59,22.0,68.5,200
2017,498488,32.43,2.68,33.35,11.29,9.57,4.34,27.75,12.2,9.21,28.54,4.17,4.67,0.246,0.081,0.887,18.9,52.7,807
2022,138365,44.21,11.32,44.41,1.45,10.99,4.19,58.65,14.35,27.02,33.83,19.38,9.18,0.127,0.664,0.56,20.5,27.0,248
2016,335444,33.19,15.93,33.58,6.1,8.27,5.84,37.64,4.87,16.28,8.83,14.55,8.03,0.757,0.766,0.66,78.6,29.9,158
2022,553642,10.45,6.59,7.72,1.45,6.08,1.77,51.53,3.79,38.91,22.76,12.17,5.72,0.896,0.448,0.336,15.9,55.7,557
2020,674276,10.4,8.11,48.28,6.77,7.49,6.01,8.86,2.61,8.01,41.06,31.57,2.65,0.439,0.188,0.002,64.3,66.7,60
2018,603190,7.47,2.21,15.58,7.55,7.83,7.0,13.58,13.61,20.07,8.15,12.68,3.12,0.628,0.292,0.06,59.8,60.1,292
2023,967968,13.25,15.85,18.2,9.51,3.42,0.4,56.38,9.48,25.41,26.34,13.93,2.95,0.908,0.006,0.609,57.7,59.3,298
2024,331467,5.17,2.8,25.67,4.45,6.85,3.13,4.91,13.64,22.85,13.32,26.67,3.77,0.231,0.556,0.808,60.1,88.3,464
2018,282657,25.45,7.16,45.79,17.4,10.08,1.46,5.91,6.72,30.85,30.34,3.12,4.67,0.273,0.913,0.953,25.0,78.9,528
2021,739482,13.37,3.87,19.49,15.83,2.44,3.79,61.66,8.43,23.36,17.83,15.31,0.37,0.214,0.076,0.548,53.0,6.3,695
2017,684375,35.23,7.38,6.61,16.79,2.23,6.21,4.45,1.11,24.6,9.51,15.43,2.67,0.925,0.967,0.069,20.8,46.8,313
2018,788689,53.41,16.87,46.18,11.39,9.21,4.0,39.42,10.58,33.59,18.9,21.58,9.21,0.23,0.949,0.072,13.1,47.8,223
2017,544180,17.7,12.5,31.93,12.92,11.67,1.33,35.66,12.33,5.02,27.67,25.7,6.45,0.816,0.308,0.409,71.2,33.5,43
2019,639159,7.08,5.15,13.44,6.44,7.15,0.98,37.28,16.81,31.52,10.12,15.0,0.96,0.634,0.003,0.566,46.8,6.6,860
2019,801783,34.26,16.44,47.26,7.41,4.02,6.24,42.56,17.2,20.04,11.46,37.51,4.15,0.059,0.987,0.253,49.5,95.0,523
2019,601624,18.9,10.63,49.15,16.07,9.02,0.19,6.91,5.02,27.75,12.34,22.9,8.38,0.896,0.19,0.44,0.8,92.7,508
2024,595738,21.3,10.83,28.91,11.61,9.99,7.77,53.76,9.99,25.12,30.27,8.18,8.47,0.379,0.858,0.896,85.8,16.0,491
2018,498439,54.53,7.05,47.43,15.32,2.01,0.36,41.0,11.4,14.32,15.07,4.64,2.24,0.444,0.909,0.79,2.6,1.0,496
2019,523854,21.22,4.37,23.84,9.1,5.5,1.83,46.45,4.39,12.87,29.17,19.75,9.17,0.579,0.077,0.948,19.2,85.2,722
2023,416340,20.16,14.65,49.41,19.7,9.35,3.09,45.42,3.74,6.86,19.37,24.78,5.14,0.595,0.901,0.738,62.2,71.5,668
2017,833060,13.67,16.07,20.84,8.71,7.36,5.83,31.61,3.93,7.58,21.96,3.42,7.52,0.894,0.998,0.03,45.7,77.5,248
2023,335554,42.52,4.36,52.75,16.81,10.46,6.72,6.91,10.32,9.64,32.93,24.73,2.0,0.608,0.564,0.388,51.2,57.7,197
2019,960177,34.05,1.62,42.25,4.22,2.98,1.16,31.16,17.69,4.73,22.23,10.04,6.18,0.813,0.309,0.435,77.6,55.7,66
2023,232420,8.82,10.36,44.56,3.22,11.38,5.13,43.11,3.76,24.71,5.42,17.06,3.71,0.368,0.41,0.426,55.8,0.5,874
2019,954815,44.31,16.89,53.35,16.02,7.24,2.36,33.2,15.37,14.24,38.88,28.85,4.72,0.957,0.999,0.22,59.9,72.4,687
2016,975151,46.82,6.7,41.0,10.41,3.6,7.27,2.34,0.67,29.44,8.5,17.65,9.37,0.905,0.65,0.568,77.7,70.9,875
2016,197263,28.76,11.64,14.19,2.61,8.76,4.71,61.34,12.99,39.69,26.06,4.88,6.5,0.238,0.86,0.104,85.7,84.6,698
2019,757575,10.61,3.53,49.17,2.8,9.14,1.9,2.47,8.42,22.94,36.66,12.86,0.98,0.673,0.711,0.777,78.0,71.1,536
2018,920142,37.22,14.68,33.74,10.23,4.77,1.33,15.11,0.78,16.28,13.88,8.53,9.34,0.076,0.365,0.237,14.1,46.3,1
2021,254362,41.85,10.77,49.15,15.32,6.24,7.71,58.47,16.74,11.96,43.28,2.06,2.56,0.406,0.631,0.159,26.7,7.3,825
2016,673016,51.07,10.6,18.03,1.21,7.5,6.97,7.78,1.34,10.89,16.21,12.2,4.14,0.577,0.081,0.431,43.9,50.8,385
2023,835459,24.13,9.29,13.89,8.32,11.42,3.24,44.91,5.99,9.42,29.8,35.6,1.59,0.529,0.743,0.079,93.9,64.7,157
2018,943513,22.72,12.74,5.84,6.09,7.38,1.43,38.13,1.03,18.25,37.68,10.35,6.85,0.243,0.312,0.614,38.9,1.2,257
2016,916728,28.14,5.43,32.96,10.4,3.05,6.19,6.15,17.28,8.08,6.02,12.97,8.78,0.319,0.335,0.667,23.0,81.8,465
2017,741806,34.69,15.83,9.11,19.69,11.9,1.89,35.15,11.91,7.49,27.19,35.43,6.9,0.171,0.84,0.267,98.7,66.6,988
2021,310583,28.33,12.38,35.7,7.93,10.53,6.89,33.05,2.73,1.19,25.17,25.05,4.48,0.95,0.346,0.034,83.2,83.5,428
2023,277334,40.04,10.12,26.47,11.63,4.12,7.67,53.52,12.72,14.07,39.35,28.59,8.97,0.902,0.265,0.243,67.4,94.5,563
2017,972564,33.16,17.29,52.92,17.66,2.12,4.29,5.7,17.66,1.71,7.35,32.52,7.81,0.868,0.096,0.687,25.6,81.2,1
2020,770058,51.93,11.29,13.85,14.66,10.23,4.85,23.92,9.59,9.38,22.7,20.66,7.85,0.322,0.114,0.19,73.9,38.8,198
2022,356106,10.4,16.98,27.49,15.65,2.1,0.7,50.14,5.05,18.78,4.74,15.74,0.4,0.74,0.869,0.044,89.5,6.0,601
2018,228599,23.67,3.92,53.3,4.78,4.64,4.54,48.36,10.7,4.96,36.25,10.85,5.57,0.83,0.543,0.788,94.3,8.4,588
2017,133096,3.32,3.25,46.87,10.72,11.54,4.04,36.31,11.28,16.43,41.03,5.31,2.91,0.028,0.918,0.396,72.7,62.9,702
2020,530868,45.62,4.14,18.75,18.86,2.4,4.83,59.11,8.99,28.89,2.76,34.36,1.58,0.575,0.955,0.674,57.3,71.2,170
2022,534665,40.87,15.26,52.14,6.86,7.93,5.78,64.04,16.02,10.24,11.66,7.76,2.67,0.572,0.255,0.884,98.6,77.2,65
2025,246476,49.37,11.27,45.94,6.71,4.62,3.42,20.23,10.65,0.74,31.23,35.55,4.33,0.022,0.863,0.397,79.3,97.1,603
2021,244651,40.43,17.9,7.51,2.51,7.99,2.79,15.51,12.59,0.56,23.24,18.19,5.71,0.301,0.448,0.4,28.3,72.8,984
2016,739978,31.86,3.85,10.59,12.05,5.3,1.67,23.32,12.83,30.09,19.9,23.03,7.55,0.832,0.685,0.908,85.8,99.6,881
2019,324946,42.21,10.56,44.56,10.65,10.99,1.47,64.69,8.2,27.28,14.17,13.2,5.77,0.94,0.605,0.615,77.7,42.5,644
2020,445381,23.11,3.02,48.78,17.65,10.6,6.84,8.09,7.05,39.13,13.37,2.18,2.29,0.238,0.303,0.102,73.6,21.9,538
2023,369275,19.85,15.87,50.02,10.0,3.01,1.08,36.56,12.89,18.23,21.18,23.65,4.01,0.914,0.142,0.667,63.5,51.4,124
2019,994428,52.17,15.39,39.16,12.28,11.85,0.75,4.69,3.09,26.37,3.18,36.32,5.86,0.932,0.411,0.139,93.9,6.0,525
2022,104914,14.68,14.5,34.55,13.91,8.1,5.7,9.03,10.4,27.05,6.31,8.04,0.25,0.442,0.196,0.319,42.7,56.1,498
2019,743857,11.33,5.02,35.65,14.27,5.64,5.4,38.14,7.22,7.08,8.86,22.91,1.35,0.061,0.107,0.213,81.1,41.7,39
2018,582841,25.63,8.59,23.51,19.95,2.09,6.57,46.36,7.7,8.29,37.0,18.72,5.4,0.516,0.379,0.82,90.2,33.0,887
2021,950766,6.55,15.69,53.95,4.7,7.74,0.47,58.38,15.28,28.91,37.85,30.77,0.59,0.41,0.059,0.675,65.4,15.6,621
2022,188492,25.48,11.8,41.27,6.78,5.94,2.93,33.18,3.91,3.68,11.57,30.7,9.24,0.646,0.173,0.712,22.6,43.7,428
2023,985009,42.66,2.59,17.5,14.69,10.35,2.51,41.55,6.55,2.7,12.68,22.32,2.92,0.067,0.118,0.104,86.6,77.9,68
2025,539138,20.86,14.72,46.69,11.38,7.4,1.39,56.62,10.74,39.38,2.93,27.45,3.52,0.328,0.695,0.674,90.0,46.3,333
2024,854261,19.29,7.49,18.79,8.12,5.62,1.26,8.49,5.77,23.69,13.22,12.29,5.01,0.07,0.085,0.312,69.3,28.1,573
2019,212571,22.63,2.87,52.05,4.62,10.53,7.42,51.48,16.65,11.59,27.08,3.04,1.45,0.023,0.211,0.803,98.7,89.1,941
2019,688496,31.74,8.65,37.72,7.19,1.94,1.03,4.73,9.54,25.12,25.88,27.63,6.97,0.346,0.939,0.257,34.1,59.1,561
2018,911577,53.37,1.94,21.54,18.9,4.27,4.42,9.51,7.66,34.01,42.19,2.16,4.91,0.517,0.35,0.986,37.3,71.7,334
2022,646752,14.67,2.21,29.05,11.59,5.78,0.33,9.3,11.89,16.7,37.45,35.87,6.77,0.895,0.922,0.357,97.2,3.9,267
2024,211825,35.62,7.59,26.43,15.39,4.72,7.52,36.0,10.12,32.45,21.29,5.2,1.12,0.069,0.225,0.234,92.9,67.3,182
2017,570387,35.74,14.94,44.39,6.27,5.96,0.53,58.14,4.42,27.33,27.98,17.96,3.89,0.545,0.453,0.319,44.7,36.6,958
2021,155153,36.43,2.11,25.27,10.73,5.37,0.7,8.5,5.5,10.98,5.91,29.09,5.42,0.927,0.637,0.913,8.1,74.0,745
2022,340044,45.64,8.19,44.02,4.5,5.28,0.71,43.83,16.63,15.81,43.58,21.9,8.97,0.972,0.438,0.981,4.9,60.6,171
2024,535264,18.93,10.76,31.12,11.69,8.24,6.54,55.06,9.04,28.8,39.81,22.55,0.23,0.306,0.134,0.74,17.0,52.4,696
2024,786047,10.44,15.91,51.63,3.81,6.86,5.19,26.03,6.61,35.73,19.88,16.98,7.81,0.667,0.014,0.857,11.4,13.0,303
2018,123598,27.34,10.84,37.88,16.87,2.72,7.59,7.32,17.11,1.41,34.2,15.22,5.7,0.007,0.514,0.0,68.1,67.4,400
2017,368341,50.41,9.96,25.01,3.44,9.52,1.31,30.76,11.29,19.28,38.52,4.21,2.8,0.818,0.225,0.762,6.1,1.3,854
2024,556463,26.48,8.68,28.15,16.34,10.65,1.7,9.42,12.61,15.56,36.62,17.38,8.98,0.974,0.95,0.298,79.8,43.1,749
2022,384040,28.81,10.29,39.17,2.33,1.39,3.39,31.65,5.33,32.76,7.68,9.61,1.55,0.484,0.22,0.185,9.0,63.2,955
2018,193640,20.09,10.97,45.53,18.5,11.91,6.05,53.37,4.01,31.38,27.7,17.92,7.98,0.128,0.169,0.313,32.0,23.2,659
2017,725712,52.56,17.45,20.02,17.02,9.39,5.16,58.5,8.5,37.19,38.26,22.95,4.22,0.273,0.146,0.625,34.1,2.0,933
2022,623386,28.78,8.97,14.4,14.23,5.57,1.59,40.89,7.76,27.53,21.68,29.56,4.48,0.051,0.665,0.326,27.4,26.0,125
2024,595121,53.95,3.93,18.26,13.71,9.56,6.33,25.62,14.3,38.72,26.93,33.51,2.91,0.033,0.42,0.893,67.7,37.4,789
2017,236879,30.52,8.0,25.55,8.44,3.65,6.9,30.56,4.41,39.99,31.92,31.03,6.39,0.471,0.134,0.302,57.9,51.5,463
2019,828612,52.48,12.04,10.1,19.92,2.9,7.89,19.63,11.03,25.48,13.9,2.09,5.04,0.533,0.071,0.755,46.0,40.8,124
2021,714010,27.05,6.1,54.52,1.08,1.32,2.17,3.8,8.47,1.9,38.95,27.82,5.51,0.266,0.8,0.996,19.1,68.0,592
2017,463290,3.85,14.34,21.99,1.9,8.97,4.06,50.17,13.34,11.14,23.07,20.14,6.98,0.721,0.401,0.878,40.1,56.2,31
2021,878074,21.52,16.18,54.38,14.65,8.8,1.98,20.6,16.98,11.02,31.78,6.52,0.64,0.463,0.491,0.597,73.3,23.3,578
2025,652684,21.21,11.2,42.73,12.34,1.94,1.83,23.53,3.49,31.24,29.29,24.49,1.57,0.242,0.251,0.921,57.7,3.0,384
2021,448577,46.19,16.97,11.78,5.93,4.31,4.37,39.97,15.38,28.32,42.14,11.0,4.82,0.31,0.185,0.79,5.1,40.4,894
2018,330453,47.02,2.79,15.58,8.35,8.8,0.26,41.22,14.54,10.1,8.02,6.32,4.39,0.045,0.075,0.084,97.7,31.1,749
2020,264271,49.67,7.53,28.41,12.38,3.45,1.11,23.05,12.31,7.41,18.68,32.54,4.39,0.934,0.009,0.917,8.2,34.8,649
2020,745521,14.49,2.48,40.35,8.84,6.13,3.77,14.4,3.13,13.11,29.54,3.11,2.1,0.325,0.63,0.005,0.7,49.9,998
2019,960917,40.67,10.96,35.62,2.18,1.25,3.71,8.72,13.43,7.93,24.87,27.46,7.78,0.572,0.164,0.035,18.5,76.0,477
2017,549650,27.68,13.22,35.2,1.68,3.88,5.39,58.62,7.13,39.15,14.79,36.02,0.65,0.699,0.785,0.739,93.5,5.5,836
2021,588888,8.74,3.37,40.38,9.43,2.79,1.33,4.02,17.47,5.85,38.38,31.08,5.34,0.173,0.006,0.657,41.4,93.3,451
2025,117815,31.25,1.65,23.39,10.01,11.73,6.67,62.71,8.2,20.1,9.25,18.95,7.92,0.605,0.196,0.945,64.7,86.5,888
2016,242848,4.02,17.42,36.04,13.7,9.07,5.76,18.43,3.16,22.21,29.65,31.58,6.15,0.297,0.679,0.305,23.8,74.2,710
2023,808314,38.65,15.54,51.73,19.7,7.07,1.43,23.34,13.95,29.87,2.32,24.42,9.34,0.742,0.716,0.717,45.4,14.2,400
2017,913644,43.95,4.22,5.42,2.49,2.02,2.91,33.11,14.21,18.52,36.34,14.68,3.74,0.162,0.219,0.128,61.6,95.2,167
2017,248000,40.23,8.1,40.32,6.32,7.01,7.8,45.31,8.02,19.39,25.73,22.28,0.23,0.445,0.126,0.251,94.9,35.1,273
2018,621359,22.01,1.96,20.42,12.06,8.49,7.14,7.74,14.62,35.58,6.98,21.01,7.04,0.476,0.931,0.248,38.7,77.0,840
2023,326297,24.98,6.2,49.6,7.61,1.77,1.14,53.28,11.57,22.3,29.12,22.4,3.88,0.204,0.534,0.935,37.9,15.0,447
2021,848488,39.21,4.7,49.97,6.61,7.8,6.52,47.83,12.24,19.3,25.77,19.63,6.09,0.041,0.117,0.777,10.0,75.1,579
2016,794471,10.56,8.71,5.61,6.84,9.24,1.25,34.67,6.93,36.72,2.42,17.88,1.5,0.429,0.393,0.86,79.4,43.6,448
2016,846787,13.14,3.59,53.67,5.09,6.67,4.0,35.55,4.26,30.78,38.02,31.16,7.57,0.334,0.839,0.399,95.1,75.7,265
2019,302067,40.43,17.87,5.43,12.71,6.25,6.16,3.1,2.76,5.08,40.35,37.75,2.89,0.608,0.358,0.738,0.3,0.6,604
2022,210119,11.11,2.89,28.33,13.05,4.22,6.86,30.69,13.82,2.31,16.7,33.44,1.73,0.815,0.166,0.995,83.5,21.5,202
2024,398197,33.04,13.35,13.05,14.43,4.85,1.5,22.78,17.42,30.44,42.04,37.62,7.97,0.257,0.372,0.387,18.4,69.0,40
2022,248774,9.92,6.26,33.67,3.52,9.51,1.46,26.87,10.54,17.83,25.73,15.08,4.15,0.362,0.901,0.116,94.0,46.3,767
2019,363346,23.28,16.08,28.35,4.42,3.64,5.62,62.44,8.41,32.19,27.63,27.82,1.22,0.0,0.72,0.961,55.9,8.0,566
2020,133128,26.85,1.93,24.08,19.94,9.52,6.7,56.67,0.95,34.72,23.45,10.95,0.57,0.696,0.518,0.539,85.7,98.0,959
2018,258534,47.36,14.98,50.12,5.68,3.79,6.14,36.62,16.27,29.17,26.3,7.72,7.31,0.813,0.984,0.694,60.1,16.9,160
2019,349251,24.34,5.2,29.05,12.64,9.62,7.81,18.54,16.22,23.95,16.59,28.43,7.98,0.073,0.322,0.273,69.4,19.0,15
2020,352700,33.22,15.72,13.62,2.66,8.82,0.27,19.78,7.75,38.13,11.84,10.73,5.22,0.689,0.568,0.805,90.3,64.5,110
2016,824254,13.26,10.12,38.04,15.06,11.38,0.43,47.49,13.24,23.96,34.93,2.12,7.38,0.721,0.486,0.909,26.5,19.4,656
2022,342087,31.44,2.05,29.15,3.64,4.42,7.96,59.77,13.37,39.15,36.41,2.83,6.32,0.419,0.619,0.616,51.8,44.1,470
2017,733283,28.06,3.27,15.69,8.6,1.26,3.41,7.75,2.11,36.43,20.06,37.48,1.35,0.688,0.052,0.808,88.9,90.4,102
2024,914893,28.32,13.47,16.05,5.19,3.85,5.81,59.18,10.06,18.77,15.55,19.06,8.37,0.817,0.839,0.765,75.7,37.8,568
2020,663785,48.46,9.48,44.41,9.11,2.97,1.2,35.25,5.26,3.92,31.93,8.82,5.36,0.562,0.01,0.951,8.9,87.5,74
2019,606798,45.57,16.06,51.59,18.66,3.07,2.98,3.25,12.27,16.74,12.32,35.99,2.77,0.985,0.449,0.057,22.6,94.5,697
2018,780879,37.35,7.99,31.07,5.92,8.59,7.97,6.03,3.54,28.98,15.76,9.44,4.63,0.272,0.064,0.124,63.5,46.9,123
2016,223523,53.0,17.12,39.08,4.35,0.68,6.2,50.69,13.5,13.65,32.25,36.96,6.55,0.376,0.208,0.495,18.0,71.7,330
2018,537175,39.58,5.52,11.27,2.46,5.15,6.6,38.5,8.66,19.82,24.96,23.79,8.61,0.005,0.684,0.748,27.4,45.2,875
2024,841266,54.19,6.43,27.55,4.67,2.52,3.75,21.93,14.81,18.39,43.45,9.39,7.55,0.222,0.765,0.281,27.8,41.8,927
2021,331509,44.25,9.63,27.89,15.88,11.49,1.27,44.48,14.26,0.52,30.94,16.04,9.0,0.908,0.355,0.751,21.2,11.1,860
2022,542552,51.2,5.02,12.67,4.98,0.66,7.64,46.44,12.42,25.66,40.79,22.27,8.65,0.885,0.955,0.059,69.4,29.0,68
2020,139929,19.73,6.44,6.36,19.09,10.73,0.0,63.54,1.21,14.8,23.29,3.12,3.82,0.512,0.823,0.283,28.8,50.5,789
2022,656404,15.92,5.89,38.65,6.45,8.2,7.16,23.46,14.01,36.46,26.57,14.93,2.31,0.347,0.545,0.778,85.2,17.5,951
2018,153976,45.35,17.47,23.46,5.74,8.46,1.73,46.22,11.19,5.09,23.18,12.66,1.85,0.554,0.862,0.533,99.7,16.6,521
2020,361139,22.34,13.93,24.04,16.63,1.36,7.91,37.89,2.79,29.32,20.15,7.51,3.97,0.675,0.637,0.467,38.3,37.2,710
2020,115589,19.61,2.89,52.65,12.42,8.21,0.82,50.21,6.05,23.11,35.62,33.52,4.86,0.399,0.702,0.509,88.8,23.8,151
2020,605036,34.78,3.09,13.56,9.68,5.25,0.19,62.03,17.95,33.48,23.83,6.72,4.25,0.363,0.924,0.401,50.0,28.2,386
2023,575866,6.3,14.72,45.01,4.31,7.55,0.43,4.06,16.28,15.8,35.15,18.59,7.59,0.055,0.908,0.104,65.9,14.4,320
2021,683062,41.93,10.52,49.93,14.48,3.2,2.48,28.82,5.89,6.25,41.84,13.37,8.2,0.345,0.909,0.251,94.6,28.7,795
2016,802327,7.39,4.48,41.98,12.91,3.43,6.72,14.92,9.23,10.02,26.68,30.37,3.57,0.092,0.854,0.48,58.3,84.7,26
