edu_enroll_collection_date,edu_enroll_campus_id,edu_enroll_enrollment_total,edu_enroll_enrollment_by_grade_band,edu_enroll_new_entries_count,edu_enroll_withdrawals_count,edu_enroll_mobility_rate_pct,edu_enroll_average_daily_attendance,edu_enroll_seat_capacity,edu_enroll_class_size_average,edu_enroll_teacher_vacancy_count,edu_enroll_substitute_fill_rate_pct,edu_enroll_transport_ridership_count,edu_enroll_meal_program_participation,edu_enroll_after_school_participation,edu_enroll_internet_device_access_rate,edu_enroll_learning_loss_indicator,edu_enroll_weather_closure_days,edu_enroll_instructional_minutes_week,edu_enroll_data_quality_flag
2024-03-21,UDCAMP500180,4482,Primary(1-5):1319,87,132,4.8,4009,5740,45.56,96,33.83,2927,10.49,14.43,94.73,Moderate,28,2095,FAIL
2022-05-30,UDCAMP483108,1824,HigherSecondary(11-12):2264,99,134,23.26,1408,2193,36.97,58,25.48,2807,15.0,18.39,41.33,Moderate,39,1887,OK
2024-06-02,UDCAMP575363,4360,Secondary(9-10):1087,186,226,25.51,2909,4951,48.28,75,23.65,638,27.12,64.59,65.0,Moderate,4,1158,FAIL
2026-05-07,UDCAMP867601,2680,Secondary(9-10):1765,170,71,8.07,1988,2921,24.99,101,18.42,998,99.92,23.67,12.84,Mild,10,1858,OK
2021-03-03,UDCAMP779469,3032,UpperPrimary(6-8):759,215,44,28.07,2420,3082,58.78,85,52.9,550,54.01,3.62,69.94,None,16,1426,FAIL
2024-08-23,UDCAMP584040,3877,HigherSecondary(11-12):1344,153,39,27.19,2777,5254,31.89,19,11.49,375,7.99,69.17,53.21,Moderate,20,2357,OK
2024-07-13,UDCAMP619236,980,HigherSecondary(11-12):264,52,167,23.36,774,1594,23.48,54,2.16,2204,19.54,79.27,40.15,Moderate,8,1103,WARN
2022-07-08,UDCAMP576707,2143,Secondary(9-10):172,0,157,28.17,1882,3531,33.92,72,72.51,3179,95.02,49.28,66.12,Moderate,15,1696,FAIL
2021-02-13,UDCAMP928951,3365,UpperPrimary(6-8):770,212,124,18.31,2826,4033,42.01,38,61.67,2162,89.79,56.82,90.23,Unknown,0,2354,WARN
2024-06-29,UDCAMP877889,3185,UpperPrimary(6-8):1885,210,126,22.88,2360,4065,42.36,97,21.61,670,20.99,25.17,60.6,Unknown,0,1262,WARN
2022-05-12,UDCAMP541665,3708,HigherSecondary(11-12):803,120,68,31.15,2702,4995,33.5,3,4.61,2436,34.01,72.21,49.79,Unknown,7,1057,FAIL
2026-06-14,UDCAMP197613,2299,HigherSecondary(11-12):153,30,3,24.41,2039,2930,24.6,94,48.42,2346,90.56,26.74,91.58,Unknown,38,2298,FAIL
2024-09-19,UDCAMP306206,1961,HigherSecondary(11-12):1496,216,124,0.43,1461,2106,52.73,56,32.22,582,73.58,31.29,13.52,Unknown,25,2032,OK
2026-04-06,UDCAMP649223,3709,UpperPrimary(6-8):2024,132,167,6.36,2253,4182,22.82,67,52.9,3337,71.85,79.15,15.37,Unknown,38,2358,OK
2025-11-19,UDCAMP640806,1240,Primary(1-5):1082,169,191,22.45,1071,1944,30.34,90,49.77,890,45.29,78.84,11.71,None,16,1309,WARN
2020-08-03,UDCAMP742581,1869,Primary(1-5):456,208,24,26.51,1454,2828,49.03,29,43.23,2561,85.82,32.9,80.37,Mild,8,1752,WARN
2024-04-18,UDCAMP662677,164,UpperPrimary(6-8):646,33,85,25.7,112,1470,23.99,51,2.19,3380,71.33,78.38,18.15,Unknown,39,1709,WARN
2021-02-04,UDCAMP928255,354,UpperPrimary(6-8):2118,83,138,3.06,217,1250,26.93,102,44.21,2660,40.42,4.86,8.36,Moderate,24,1703,OK
2023-11-07,UDCAMP597323,195,HigherSecondary(11-12):663,32,191,2.85,143,649,27.51,59,30.41,3329,99.27,26.39,64.21,None,10,1787,OK
2023-04-07,UDCAMP101274,4269,UpperPrimary(6-8):426,170,152,32.89,2708,5687,18.45,77,71.64,1559,92.58,18.74,88.56,Moderate,23,2066,FAIL
2022-10-15,UDCAMP583069,2064,HigherSecondary(11-12):1080,58,112,11.79,1349,3502,36.08,51,59.58,3032,46.86,1.52,14.52,Unknown,1,2063,FAIL
2025-11-11,UDCAMP348322,1500,HigherSecondary(11-12):2295,42,109,25.58,1173,2143,31.71,61,62.26,2018,47.06,37.05,81.1,None,3,1235,FAIL
2022-01-27,UDCAMP105023,4329,Secondary(9-10):2129,143,229,25.13,3118,5327,34.67,81,49.56,88,66.79,31.78,41.12,Mild,7,2320,OK
2024-01-04,UDCAMP947792,1939,UpperPrimary(6-8):66,83,117,32.86,1797,3196,42.22,98,27.04,741,85.45,37.12,31.86,Mild,18,1344,WARN
2023-11-05,UDCAMP199327,4338,UpperPrimary(6-8):1105,231,28,27.7,2857,5599,17.14,98,57.93,3092,10.71,59.86,84.78,Unknown,33,1968,OK
2026-02-24,UDCAMP526671,3715,HigherSecondary(11-12):1921,24,143,2.82,2838,4656,31.28,78,99.37,2365,90.08,28.6,58.98,Mild,1,2223,OK
2019-09-02,UDCAMP753917,2038,Primary(1-5):1272,43,193,26.56,1254,2580,33.74,110,93.88,1428,5.17,75.52,82.1,Moderate,21,1383,FAIL
2025-05-14,UDCAMP899247,3570,Secondary(9-10):2375,132,88,26.03,2216,3647,55.47,64,43.84,3098,86.32,27.69,41.88,Severe,8,2198,WARN
2019-03-12,UDCAMP866342,3909,Primary(1-5):1940,97,47,26.19,2841,3932,54.15,81,9.84,2310,19.13,38.01,19.78,Severe,25,1921,WARN
2023-04-29,UDCAMP983584,3193,UpperPrimary(6-8):353,41,240,0.29,3082,4016,29.8,99,3.2,3366,32.01,75.8,59.95,Unknown,27,2274,WARN
2023-11-22,UDCAMP143287,2184,Primary(1-5):1623,161,2,22.6,1387,3446,36.73,114,61.06,1275,4.0,24.63,63.62,Severe,28,985,WARN
2022-02-20,UDCAMP676052,3302,HigherSecondary(11-12):826,175,84,33.94,2017,3725,46.03,106,93.49,3495,87.16,12.22,62.93,Moderate,37,920,OK
2026-09-15,UDCAMP696340,3265,UpperPrimary(6-8):69,113,231,13.61,2069,4174,51.5,7,30.86,1944,58.02,6.61,77.89,Moderate,20,1896,FAIL
2026-05-09,UDCAMP736660,4469,Secondary(9-10):1427,208,116,21.89,3172,4806,29.81,0,45.62,528,15.65,36.39,88.62,Moderate,20,2099,WARN
2021-09-01,UDCAMP220825,2868,UpperPrimary(6-8):1245,170,48,20.91,2441,2969,44.55,88,79.72,813,60.01,16.58,41.23,Moderate,11,1636,OK
2021-09-02,UDCAMP724077,2374,HigherSecondary(11-12):1722,66,191,5.58,1861,3076,45.98,77,78.92,496,26.46,6.41,52.87,Mild,23,1048,FAIL
2020-07-13,UDCAMP484790,3338,HigherSecondary(11-12):790,111,44,22.67,2890,4104,37.87,77,62.64,417,5.49,53.96,23.11,Moderate,26,1491,FAIL
2022-12-15,UDCAMP438851,871,HigherSecondary(11-12):17,46,1,19.37,697,1937,26.35,4,60.81,3038,8.43,25.65,94.47,Severe,25,2310,FAIL
2019-03-18,UDCAMP195422,1364,Primary(1-5):1586,132,72,2.81,883,1645,34.07,96,67.67,2428,29.37,8.99,2.74,Moderate,17,2261,WARN
2019-11-30,UDCAMP377586,3436,Secondary(9-10):204,184,212,20.67,2699,4323,56.63,28,5.41,296,85.6,34.84,71.76,Mild,13,1389,FAIL
2019-02-16,UDCAMP402219,699,Secondary(9-10):109,210,237,33.15,586,1044,18.12,63,2.94,2742,58.97,40.33,92.45,Moderate,14,2058,FAIL
2024-07-16,UDCAMP125504,170,Primary(1-5):303,118,238,6.77,109,525,38.94,67,18.91,1585,78.46,67.42,56.41,Mild,13,1204,FAIL
2021-04-29,UDCAMP392602,3969,Secondary(9-10):1604,87,169,14.99,2626,4577,19.72,57,30.36,703,59.49,72.86,35.24,Moderate,20,1641,WARN
2021-11-30,UDCAMP359970,1947,UpperPrimary(6-8):764,154,81,8.52,1625,2625,19.76,39,84.18,2242,21.38,53.5,3.51,Moderate,18,1645,OK
2026-04-29,UDCAMP330027,2727,Secondary(9-10):542,51,63,20.15,2622,3929,57.3,51,83.8,1825,88.8,6.85,3.06,Unknown,18,1146,OK
2022-05-06,UDCAMP251084,4496,Primary(1-5):1143,90,173,20.58,2876,5024,50.45,62,96.35,2718,73.69,39.68,42.14,Severe,10,1747,WARN
2023-11-19,UDCAMP954198,3571,UpperPrimary(6-8):161,66,7,12.9,2677,3751,43.6,85,96.13,770,7.4,0.58,38.36,Mild,25,1734,WARN
2019-08-24,UDCAMP232635,476,UpperPrimary(6-8):826,37,77,28.62,369,1278,46.59,101,9.87,783,44.06,27.53,73.69,Moderate,28,969,FAIL
2024-12-26,UDCAMP685101,2190,HigherSecondary(11-12):1589,73,184,1.31,1547,3495,38.33,39,95.57,1904,43.16,48.1,81.77,Mild,12,1356,FAIL
2022-06-29,UDCAMP245361,3155,Secondary(9-10):152,237,168,12.36,2174,4585,46.51,67,64.21,316,42.33,46.96,35.26,Mild,8,1285,OK
2025-03-06,UDCAMP958252,250,Primary(1-5):199,9,170,30.57,174,516,41.78,115,96.74,2492,93.2,54.68,13.56,None,30,1532,OK
2019-04-27,UDCAMP203308,2463,Primary(1-5):143,169,156,31.41,1642,3265,37.36,77,7.64,2751,79.24,2.33,62.93,Severe,0,1097,FAIL
2025-09-06,UDCAMP570425,1818,Primary(1-5):1489,82,232,31.22,1430,3012,59.85,21,89.49,2180,73.56,28.0,70.01,Mild,27,1608,FAIL
2021-05-21,UDCAMP547196,4153,HigherSecondary(11-12):925,210,222,29.6,2854,5171,18.28,96,41.75,803,2.36,59.32,22.74,Severe,6,1900,FAIL
2020-01-06,UDCAMP327899,2318,UpperPrimary(6-8):225,40,191,23.78,1583,3138,40.98,82,75.21,2951,63.54,53.67,35.49,Unknown,20,2341,FAIL
2025-04-15,UDCAMP174882,1946,Secondary(9-10):838,208,111,34.58,1786,2837,31.37,102,35.83,146,95.33,44.27,22.08,Mild,22,2193,OK
2020-06-21,UDCAMP423602,2565,UpperPrimary(6-8):385,12,18,28.01,2323,4000,51.44,63,68.46,762,56.04,48.76,86.19,None,17,1094,OK
2023-07-31,UDCAMP421662,2893,Secondary(9-10):1299,117,245,19.02,2454,4005,16.55,21,6.12,664,42.31,19.08,97.89,Moderate,28,924,FAIL
2023-06-22,UDCAMP713275,3226,Primary(1-5):2496,179,233,23.98,2901,4156,32.66,96,63.92,896,97.49,52.91,77.37,None,39,1228,FAIL
2022-05-12,UDCAMP201040,260,Secondary(9-10):1759,77,141,7.63,211,741,46.2,15,30.58,2990,25.32,18.69,57.19,None,17,2140,WARN
2021-10-04,UDCAMP309331,1806,Secondary(9-10):68,230,46,14.2,1255,2326,30.7,15,95.64,203,64.95,44.65,5.32,Unknown,1,1373,WARN
2022-12-23,UDCAMP886084,2433,Secondary(9-10):2212,9,120,19.12,1478,2569,39.97,109,93.05,672,36.91,22.91,24.09,Severe,33,2284,WARN
2025-02-15,UDCAMP967823,1972,HigherSecondary(11-12):838,92,78,23.83,1521,2653,47.51,76,20.37,2872,64.02,38.78,5.01,None,39,1190,WARN
2022-08-24,UDCAMP791661,2093,UpperPrimary(6-8):216,128,138,18.45,1524,2616,46.47,54,1.09,2563,49.77,7.68,7.38,Moderate,1,1362,OK
2022-03-07,UDCAMP361855,948,HigherSecondary(11-12):2056,216,40,24.32,660,1855,59.81,108,93.81,3195,42.22,27.41,98.23,Moderate,13,1608,WARN
2022-09-18,UDCAMP852411,2914,Secondary(9-10):1664,56,218,3.77,2012,4098,37.24,58,86.8,1845,33.6,41.86,81.15,Unknown,5,1053,WARN
2021-12-30,UDCAMP128956,2977,UpperPrimary(6-8):1235,132,248,17.2,2429,4067,38.26,93,97.66,785,35.77,18.52,40.91,None,12,1032,FAIL
2020-03-16,UDCAMP145248,3962,Primary(1-5):1407,2,173,5.23,2800,5017,45.67,35,21.36,1540,76.99,45.29,1.1,None,34,2368,FAIL
2025-01-23,UDCAMP960292,2271,Secondary(9-10):1817,81,36,13.05,2131,3509,26.73,87,97.96,2105,32.11,61.69,53.77,None,32,981,FAIL
2020-12-22,UDCAMP380779,1384,Primary(1-5):1320,133,223,10.32,1066,2570,51.62,116,34.61,3022,5.05,31.58,81.55,Severe,19,2394,FAIL
2023-09-13,UDCAMP204287,3795,Secondary(9-10):633,44,202,3.75,3185,5093,37.37,77,74.74,549,62.29,18.56,64.54,None,24,1855,FAIL
2024-11-13,UDCAMP447550,1419,HigherSecondary(11-12):1728,212,11,2.58,1142,2297,24.22,2,82.27,3205,94.87,32.98,22.09,Mild,22,1752,FAIL
2020-04-01,UDCAMP669832,4486,Primary(1-5):2053,44,234,0.47,3327,5390,56.75,3,83.06,2565,6.52,40.85,23.38,Severe,30,952,OK
2025-06-27,UDCAMP557653,1231,HigherSecondary(11-12):654,86,235,34.46,771,2421,27.67,105,12.67,8,65.73,31.72,87.89,Unknown,11,1637,FAIL
2020-10-05,UDCAMP712883,3947,UpperPrimary(6-8):1389,22,166,17.46,3448,4681,40.72,41,67.28,2934,89.41,74.3,9.39,Moderate,37,1812,FAIL
2021-06-19,UDCAMP496329,680,Secondary(9-10):345,33,73,18.04,538,1978,54.15,70,32.1,682,42.13,29.47,58.43,Mild,11,2077,WARN
2022-03-17,UDCAMP704726,2280,UpperPrimary(6-8):373,18,119,22.03,1671,2297,52.24,17,0.84,2100,21.58,68.9,69.38,Mild,20,1151,OK
2021-12-14,UDCAMP833574,116,Primary(1-5):1999,55,146,16.92,104,1258,24.11,64,5.61,283,94.48,58.97,62.04,Unknown,33,2184,FAIL
2023-05-16,UDCAMP829577,1041,UpperPrimary(6-8):1816,202,2,26.24,763,1615,25.31,116,43.73,1663,98.5,79.48,17.23,Severe,19,1798,FAIL
2021-08-25,UDCAMP489480,544,HigherSecondary(11-12):1168,41,57,30.89,402,879,26.96,80,0.3,3456,72.92,11.46,6.43,None,15,1607,WARN
2023-06-11,UDCAMP721921,1644,Secondary(9-10):2060,69,233,0.97,1252,2374,50.59,15,92.4,2813,84.26,4.03,76.49,Moderate,3,1257,WARN
2024-08-23,UDCAMP803145,1281,UpperPrimary(6-8):1078,218,1,16.96,1079,1904,55.18,72,4.28,252,72.01,58.36,15.81,Mild,8,2041,FAIL
2023-11-27,UDCAMP621958,657,Secondary(9-10):1637,31,85,18.31,475,1191,18.63,106,59.76,106,9.51,76.32,19.0,Mild,32,1552,OK
2025-01-14,UDCAMP626882,2950,Secondary(9-10):2419,173,125,11.19,2742,4353,36.36,19,10.82,2301,30.59,48.75,74.89,Moderate,24,1332,WARN
2023-06-04,UDCAMP979224,434,UpperPrimary(6-8):408,174,123,14.81,361,517,32.69,12,97.14,2720,92.84,49.79,8.03,Severe,22,2105,FAIL
2022-10-10,UDCAMP354019,2198,UpperPrimary(6-8):1091,63,2,6.66,1447,2652,58.61,13,28.32,374,80.48,21.37,53.87,None,27,1751,WARN
2021-12-27,UDCAMP976352,2128,UpperPrimary(6-8):1904,50,161,15.08,2067,3547,42.81,10,33.94,687,42.51,40.19,22.28,Unknown,0,1797,WARN
2021-10-07,UDCAMP595355,856,UpperPrimary(6-8):2361,216,153,0.36,790,1856,43.89,105,23.6,3008,8.44,33.2,89.75,Unknown,27,1700,WARN
2026-01-16,UDCAMP222336,3320,HigherSecondary(11-12):1627,174,84,28.14,2865,4673,26.6,24,81.89,1149,64.02,21.3,24.02,Moderate,2,2031,OK
2026-01-31,UDCAMP963620,1627,Secondary(9-10):845,26,30,19.7,1099,2090,57.51,119,42.76,887,56.43,2.37,92.79,Severe,36,912,OK
2024-11-16,UDCAMP492179,3228,Secondary(9-10):2083,69,99,31.51,3124,4035,29.1,109,80.9,3497,76.88,42.96,63.96,Severe,37,2229,OK
2021-04-26,UDCAMP772577,706,UpperPrimary(6-8):84,147,144,6.8,583,2110,52.25,4,91.23,1789,82.87,30.68,63.25,Moderate,26,1827,FAIL
2023-10-15,UDCAMP920628,505,UpperPrimary(6-8):425,61,105,11.58,319,1160,58.77,118,81.65,3110,19.22,38.69,45.01,None,29,1517,WARN
2024-06-23,UDCAMP165421,1341,HigherSecondary(11-12):30,242,212,30.28,1250,2733,52.79,13,47.85,2452,95.08,66.32,0.47,Moderate,37,1990,WARN
2023-05-20,UDCAMP946598,4358,UpperPrimary(6-8):1576,102,27,9.22,4161,4753,50.84,36,22.84,2177,79.7,74.51,84.19,Moderate,6,1774,WARN
2021-03-25,UDCAMP355505,835,UpperPrimary(6-8):1142,229,186,2.69,597,1729,57.49,21,95.86,227,13.89,56.25,7.32,Moderate,1,1354,WARN
2021-06-29,UDCAMP980324,4090,Secondary(9-10):640,225,127,10.86,3655,4616,39.83,95,89.62,1401,67.25,42.36,8.57,Unknown,31,1940,FAIL
2025-06-26,UDCAMP570358,2884,Primary(1-5):1627,205,232,30.4,2458,3177,55.95,79,28.95,946,94.75,35.35,32.8,Mild,5,2143,FAIL
2020-02-06,UDCAMP544356,3722,Secondary(9-10):691,44,104,15.89,3078,4806,15.63,114,88.09,1302,53.57,40.18,68.76,None,16,1505,FAIL
2019-10-13,UDCAMP741724,596,Secondary(9-10):1498,155,169,22.68,538,1786,31.11,113,33.83,1762,15.51,53.62,70.35,None,26,1258,FAIL
2023-12-02,UDCAMP694681,458,HigherSecondary(11-12):2445,133,197,13.56,336,1060,35.6,28,66.26,786,23.27,5.92,58.45,None,10,992,WARN
2024-03-07,UDCAMP848171,2511,Primary(1-5):203,187,88,20.74,2019,2697,55.78,118,89.35,716,94.65,74.68,17.32,None,37,1168,FAIL
2019-08-30,UDCAMP280153,1816,UpperPrimary(6-8):2139,168,141,30.82,1366,2696,31.98,38,72.63,145,12.16,13.37,50.38,Moderate,33,2325,OK
2022-05-07,UDCAMP815994,4437,Secondary(9-10):2134,111,200,15.83,3182,4591,34.76,41,68.8,1283,35.41,68.51,23.59,Unknown,23,1955,FAIL
2020-05-06,UDCAMP929297,2375,Primary(1-5):2407,206,98,1.44,1894,3330,29.3,65,94.87,1889,10.17,32.28,79.29,None,4,1799,WARN
2024-06-08,UDCAMP755256,4227,HigherSecondary(11-12):267,45,239,19.2,3376,4705,48.47,49,79.85,118,71.74,76.35,40.75,Moderate,30,1410,FAIL
2022-03-04,UDCAMP843320,1346,Primary(1-5):1583,215,80,21.66,1168,2027,47.03,2,87.95,1217,67.26,39.47,39.3,Moderate,33,2116,OK
2022-04-19,UDCAMP397217,2123,HigherSecondary(11-12):1863,162,179,8.31,1761,2369,49.02,94,90.01,455,12.55,18.24,43.89,Moderate,32,1559,FAIL
2025-09-30,UDCAMP732557,1019,Primary(1-5):896,21,218,15.85,892,1980,18.48,19,7.99,2747,2.63,57.51,49.64,Moderate,8,905,OK
2026-05-09,UDCAMP290097,2454,Primary(1-5):1264,85,15,26.93,1999,3408,40.73,45,38.54,431,21.07,45.75,89.61,Mild,37,1261,FAIL
2026-01-01,UDCAMP745072,4266,HigherSecondary(11-12):2320,42,8,25.39,3887,5411,46.86,104,27.47,2963,13.07,35.75,16.54,Mild,18,1493,OK
2019-06-23,UDCAMP404696,3901,UpperPrimary(6-8):413,163,102,14.96,3358,4186,37.28,108,84.17,2100,4.86,49.61,97.08,Severe,16,2122,OK
2019-09-19,UDCAMP678787,2081,UpperPrimary(6-8):2009,242,82,34.16,1428,2996,32.35,68,80.7,798,32.67,21.81,60.98,Mild,7,1887,OK
2021-03-07,UDCAMP782092,1978,UpperPrimary(6-8):1815,23,190,20.34,1322,2105,29.17,17,7.71,877,41.11,9.75,33.83,Severe,38,1667,WARN
2019-05-29,UDCAMP868795,4362,HigherSecondary(11-12):598,231,162,2.45,3416,4487,43.26,33,38.19,3247,40.12,22.6,19.16,Severe,12,1368,WARN
2025-08-24,UDCAMP245204,3490,HigherSecondary(11-12):503,76,99,3.99,2473,4299,16.27,90,37.78,3149,12.66,1.6,77.39,None,3,1090,OK
2024-08-11,UDCAMP132848,2576,HigherSecondary(11-12):942,240,102,9.97,2243,3374,23.94,63,9.51,2920,77.21,36.21,53.74,Moderate,17,1957,FAIL
2025-05-01,UDCAMP181427,2893,UpperPrimary(6-8):1855,235,54,22.83,1755,3435,38.29,20,18.48,3218,65.02,17.42,93.35,Mild,12,1877,FAIL
2022-07-24,UDCAMP187104,2139,HigherSecondary(11-12):662,162,1,30.7,1844,3585,49.87,90,55.74,1081,49.4,59.43,23.49,Mild,15,1146,FAIL
2023-08-26,UDCAMP849976,4483,UpperPrimary(6-8):332,26,240,13.89,4133,5354,51.6,91,23.42,2591,47.09,24.28,11.86,Severe,27,2028,WARN
2019-09-07,UDCAMP482833,4428,Primary(1-5):1379,62,156,19.8,3657,5648,38.15,17,3.2,2068,36.67,20.71,11.07,Unknown,10,1329,WARN
2026-12-05,UDCAMP448918,1061,UpperPrimary(6-8):2118,195,52,6.72,816,1655,28.85,16,37.99,2497,12.94,60.72,22.25,Mild,15,2191,FAIL
2026-05-09,UDCAMP895966,3239,UpperPrimary(6-8):1692,92,163,10.26,3160,3932,38.17,81,70.63,979,79.18,7.75,31.98,Mild,12,1572,FAIL
2020-11-03,UDCAMP105994,2697,HigherSecondary(11-12):1983,56,31,31.46,1823,3808,54.3,3,72.7,2626,13.48,1.3,34.0,Severe,16,2305,WARN
2025-06-25,UDCAMP754026,4446,Secondary(9-10):1151,100,145,6.28,4256,5109,16.42,6,29.18,463,98.34,59.17,21.17,None,16,1784,WARN
2024-07-23,UDCAMP334690,2480,UpperPrimary(6-8):1113,48,208,15.97,2142,3819,45.49,69,28.27,120,93.28,7.99,35.9,Moderate,24,1456,OK
2021-11-08,UDCAMP274012,1265,HigherSecondary(11-12):2112,42,161,3.15,982,2523,22.72,110,88.52,3435,34.54,36.06,51.07,Severe,37,1608,FAIL
2024-08-12,UDCAMP931686,782,HigherSecondary(11-12):770,56,30,11.72,721,2082,19.38,81,15.71,2387,73.86,0.14,34.95,Unknown,7,1669,FAIL
2026-06-27,UDCAMP227159,486,HigherSecondary(11-12):1706,20,68,32.62,452,1352,24.25,26,86.9,3059,34.84,46.3,46.05,None,34,2243,FAIL
2024-12-16,UDCAMP373730,3680,UpperPrimary(6-8):1334,68,111,10.18,2665,4088,34.53,9,0.09,934,80.8,48.14,38.83,Mild,37,1217,OK
2025-05-05,UDCAMP101577,3126,UpperPrimary(6-8):1165,91,217,4.29,2353,4279,25.29,96,74.22,2360,56.85,5.88,86.81,Mild,36,1337,FAIL
2024-12-15,UDCAMP294572,3614,HigherSecondary(11-12):2469,177,235,26.08,2639,4948,22.73,41,4.22,1644,24.4,8.6,45.18,Unknown,1,1246,WARN
2023-05-19,UDCAMP409466,685,Secondary(9-10):1506,114,95,4.42,415,994,47.68,12,59.4,3184,52.28,77.59,25.66,None,1,1661,OK
2024-10-26,UDCAMP632404,76,Secondary(9-10):1235,169,13,2.97,52,342,44.17,1,51.59,2069,82.56,60.32,61.62,None,25,1798,WARN
2022-07-16,UDCAMP642268,2902,UpperPrimary(6-8):1370,205,2,17.53,2079,3321,59.04,98,19.75,1605,73.62,78.42,84.54,Severe,17,2160,FAIL
2021-09-06,UDCAMP162939,3198,Secondary(9-10):2236,143,163,33.66,2377,4604,39.94,102,52.92,1324,90.39,27.09,47.15,Moderate,0,1798,OK
2021-09-28,UDCAMP464526,600,HigherSecondary(11-12):975,2,13,15.25,386,1233,19.45,110,73.19,2020,19.14,68.84,30.99,Mild,13,2065,FAIL
2023-02-01,UDCAMP759715,3616,UpperPrimary(6-8):1342,86,96,3.81,3057,4555,53.62,39,81.76,2692,73.53,73.06,49.19,Mild,30,1017,WARN
2024-10-07,UDCAMP865726,3528,UpperPrimary(6-8):1968,28,158,6.5,3059,3582,40.09,111,59.55,1455,83.39,40.9,35.3,Moderate,22,2021,FAIL
2021-05-05,UDCAMP731809,3825,Primary(1-5):2305,201,176,34.49,2619,4154,45.96,63,43.23,1959,89.79,1.11,60.01,Mild,33,2334,FAIL
2025-10-15,UDCAMP946674,1934,HigherSecondary(11-12):1629,82,218,16.48,1613,1936,23.45,23,50.85,2714,49.07,73.0,5.64,None,19,2340,FAIL
2024-10-18,UDCAMP221256,834,UpperPrimary(6-8):1240,63,124,0.16,787,846,32.7,6,21.91,3095,20.74,15.85,67.46,None,26,1462,OK
2022-04-26,UDCAMP542475,4218,HigherSecondary(11-12):1959,191,230,21.5,3738,4791,20.9,0,1.04,3159,18.91,1.75,11.65,Moderate,28,2334,FAIL
2026-11-24,UDCAMP502012,2302,HigherSecondary(11-12):240,222,115,14.11,1533,3226,46.69,74,65.48,2839,14.05,9.52,40.8,Moderate,24,1747,WARN
2023-02-15,UDCAMP563637,3372,HigherSecondary(11-12):2401,29,75,21.53,2408,4101,46.04,66,51.15,3416,73.67,45.4,67.12,None,18,1302,FAIL
2019-10-31,UDCAMP960464,1446,HigherSecondary(11-12):1574,144,21,34.69,1155,2417,21.86,60,28.83,124,9.22,15.82,47.6,Moderate,17,1320,WARN
2025-12-28,UDCAMP252570,2256,Primary(1-5):69,133,249,15.57,1668,2468,52.71,32,1.69,355,11.6,5.63,59.29,Severe,13,1597,FAIL
2024-09-04,UDCAMP415484,2762,Secondary(9-10):627,66,73,34.81,2414,3332,44.3,42,44.58,3379,71.66,6.52,5.24,Unknown,22,1035,OK
2026-10-16,UDCAMP990483,360,Secondary(9-10):2180,77,188,1.05,271,1042,38.89,29,17.09,1542,41.55,56.01,66.28,Severe,22,1284,FAIL
2024-08-08,UDCAMP983542,2761,HigherSecondary(11-12):957,40,55,17.63,1782,3613,41.61,81,53.33,337,62.39,44.22,61.41,Unknown,39,1086,OK
