demo_popproj_projection_year,demo_popproj_geography_nuts_code,demo_popproj_nuts_level,demo_popproj_age_cohort_5yr,demo_popproj_sex,demo_popproj_citizenship_group,demo_popproj_population_base_estimate,demo_popproj_population_projected_mid,demo_popproj_population_projected_low,demo_popproj_population_projected_high,demo_popproj_fertility_rate_assumption,demo_popproj_mortality_rate_assumption,demo_popproj_net_migration_assumption,demo_popproj_household_projection_total,demo_popproj_urban_rural_typology,demo_popproj_dependency_ratio_old_age,demo_popproj_median_age,demo_popproj_life_expectancy_at_birth,demo_popproj_eurostat_release_vintage,demo_popproj_methodology_code
2031,EE217,3,75-79,M,UNKNOWN,16176,17686,17033,18047,2.1,10.05,2937,6985,URBAN,41.41,47.2,79.4,2025-06,EUROPOP2023
2034,SE9,1,100+,F,NON_EU,16162,14436,14217,14711,1.96,10.93,4317,7145,RURAL,23.2,47.5,82.8,2024-09,NUTS_PROJ_V1
2037,SI3,1,20-24,T,EU,16505,14151,13610,14400,1.32,9.76,2605,6012,INTERMEDIATE,35.16,32.6,74.3,2023-12,REG_DEMO_MODEL_B
2040,PT92,2,45-49,M,NATIONAL,16881,18527,18075,19242,1.62,11.14,640,8762,URBAN,42.15,45.7,81.2,2023-03,EUROPOP2024
2043,FI738,3,70-74,F,UNKNOWN,17041,13785,13257,14265,1.96,8.61,-1374,5619,RURAL,36.3,35.7,78.3,2026-06,REG_DEMO_MODEL_A
2046,SI446,3,95-99,T,NON_EU,17020,25675,25517,26416,1.62,7.99,-2163,10606,INTERMEDIATE,18.23,35.3,82.5,2025-09,EUROPOP2023
2049,PT678,3,15-19,M,EU,17562,24384,24014,24740,2.09,13.39,2520,11203,URBAN,30.6,44.2,82.7,2024-12,NUTS_PROJ_V1
2021,IT4,1,40-44,F,NATIONAL,17906,18040,17323,18761,2.16,13.3,4198,7353,RURAL,34.44,36.3,75.1,2024-03,REG_DEMO_MODEL_B
2024,EE6,1,65-69,T,UNKNOWN,17815,17821,17280,18112,1.4,11.92,5673,8066,INTERMEDIATE,22.05,46.1,83.4,2023-06,EUROPOP2024
2027,AT939,3,90-94,M,NON_EU,18824,20995,20750,21396,1.45,8.05,-4583,8538,URBAN,44.93,35.4,78.4,2026-09,REG_DEMO_MODEL_A
2030,EE2,1,10-14,F,EU,18647,21030,20617,21867,2.0,9.57,6687,9755,RURAL,32.44,46.5,83.5,2025-12,EUROPOP2023
2033,RO131,3,35-39,T,NATIONAL,19187,19376,18804,19588,1.82,11.19,-187,9367,INTERMEDIATE,21.45,35.4,82.5,2025-03,NUTS_PROJ_V1
2036,BE28,2,60-64,M,UNKNOWN,19531,25730,25553,26668,1.82,8.67,-1341,10206,URBAN,26.29,46.5,77.5,2024-06,REG_DEMO_MODEL_B
2039,EE83,2,85-89,F,NON_EU,19266,22232,21703,22434,1.16,11.76,4507,8354,RURAL,19.92,48.7,79.3,2023-09,EUROPOP2024
2042,LU8,1,5-9,T,EU,20138,25296,24753,25788,2.06,8.13,-1719,11293,INTERMEDIATE,44.65,48.7,84.4,2026-12,REG_DEMO_MODEL_A
2045,EE73,2,30-34,M,NATIONAL,19646,19397,19106,20022,1.64,11.73,-2103,8739,URBAN,19.57,39.5,76.2,2026-03,EUROPOP2023
2048,GR77,2,55-59,F,UNKNOWN,20542,17881,17644,18276,1.94,7.66,5067,7762,RURAL,29.59,39.0,79.0,2025-06,NUTS_PROJ_V1
2020,SK2,1,80-84,T,NON_EU,20004,20004,19343,20365,1.12,9.42,3700,9376,INTERMEDIATE,36.27,43.2,76.6,2024-09,REG_DEMO_MODEL_B
2023,BE61,2,0-4,M,EU,20960,22002,21362,22191,1.65,9.3,-3931,8538,URBAN,26.05,36.1,81.6,2023-12,EUROPOP2024
2026,EE4,1,25-29,F,NATIONAL,21110,21845,21302,22479,1.25,14.47,3031,9702,RURAL,23.09,49.9,83.6,2023-03,REG_DEMO_MODEL_A
2029,LU36,2,50-54,T,UNKNOWN,21163,19433,18808,20200,1.33,7.16,3267,9173,INTERMEDIATE,27.9,43.7,74.4,2026-06,EUROPOP2023
2032,CZ83,2,75-79,M,NON_EU,21897,24443,24125,25098,1.75,7.36,-3229,9946,URBAN,18.53,44.5,78.4,2025-09,NUTS_PROJ_V1
2035,BG91,2,100+,F,EU,21639,19684,19070,20265,1.33,12.14,-4848,8903,RURAL,35.86,43.9,76.8,2024-12,REG_DEMO_MODEL_B
2038,BE901,3,20-24,T,NATIONAL,22120,26944,26261,27926,1.66,11.63,-369,12955,INTERMEDIATE,20.87,34.2,76.1,2024-03,EUROPOP2024
2041,IE83,2,45-49,M,UNKNOWN,22019,30066,29887,30592,1.55,8.2,3980,12807,URBAN,23.61,49.6,77.5,2023-06,REG_DEMO_MODEL_A
2044,HU3,1,70-74,F,NON_EU,22002,17447,16803,17601,1.73,10.71,-3525,6853,RURAL,20.03,45.2,83.5,2026-09,EUROPOP2023
2047,HU7,1,95-99,T,EU,22909,21086,20972,21409,1.61,7.75,-2138,8073,INTERMEDIATE,41.01,37.6,81.1,2025-12,NUTS_PROJ_V1
2050,FI56,2,15-19,M,NATIONAL,22936,32956,31747,33995,1.15,13.39,5868,13434,URBAN,26.87,48.8,84.0,2025-03,REG_DEMO_MODEL_B
2022,RO972,3,40-44,F,UNKNOWN,23024,23783,22909,24580,1.3,10.01,2479,10858,RURAL,28.41,47.9,82.4,2024-06,EUROPOP2024
2025,DK40,2,65-69,T,NON_EU,23664,25692,24814,25939,1.9,14.36,-2389,12396,INTERMEDIATE,42.6,40.1,80.0,2023-09,REG_DEMO_MODEL_A
2028,MT905,3,90-94,M,EU,23698,22846,22235,23246,1.13,12.13,6915,8520,URBAN,21.53,49.3,75.2,2026-12,EUROPOP2023
2031,BE8,1,10-14,F,NATIONAL,23921,24782,23845,25474,1.11,13.51,3598,9767,RURAL,33.57,41.9,84.3,2026-03,NUTS_PROJ_V1
2034,LT308,3,35-39,T,UNKNOWN,24435,30597,29929,31487,1.78,10.25,6905,14074,INTERMEDIATE,27.34,44.2,78.0,2025-06,REG_DEMO_MODEL_B
2037,BG2,1,60-64,M,NON_EU,24859,31908,31627,32752,1.11,14.01,3283,12299,URBAN,41.0,48.3,74.8,2024-09,EUROPOP2024
2040,NL4,1,85-89,F,EU,24753,24565,23866,24926,1.66,11.13,1203,10763,RURAL,24.34,39.6,82.4,2023-12,REG_DEMO_MODEL_A
2043,HU4,1,5-9,T,NATIONAL,24958,21058,20583,21396,2.18,12.59,-4709,10163,INTERMEDIATE,29.13,41.7,74.0,2023-03,EUROPOP2023
2046,MT191,3,30-34,M,UNKNOWN,24843,35436,35213,36403,2.08,11.22,5724,14346,URBAN,43.66,37.6,74.6,2026-06,NUTS_PROJ_V1
2049,IE954,3,55-59,F,NON_EU,25228,39218,38104,40467,1.76,12.37,952,15680,RURAL,21.08,45.9,76.3,2025-09,REG_DEMO_MODEL_B
2021,DK634,3,80-84,T,EU,25599,25615,25158,26460,1.7,9.8,-3259,12605,INTERMEDIATE,22.43,32.9,81.5,2024-12,EUROPOP2024
2024,HU5,1,0-4,M,NATIONAL,26238,26477,25653,26790,1.23,13.39,-1468,11412,URBAN,39.1,45.1,75.1,2024-03,REG_DEMO_MODEL_A
2027,IT20,2,25-29,F,UNKNOWN,26174,24637,24197,25339,1.24,13.69,2493,10011,RURAL,43.82,32.8,79.2,2023-06,EUROPOP2023
2030,IT218,3,50-54,T,NON_EU,26543,29931,29313,30534,1.74,13.93,7797,11316,INTERMEDIATE,22.78,42.1,81.7,2026-09,NUTS_PROJ_V1
2033,DK525,3,75-79,M,EU,26381,24112,23702,24744,1.45,13.61,1859,8978,URBAN,42.73,46.0,76.9,2025-12,REG_DEMO_MODEL_B
2036,BG6,1,100+,F,NATIONAL,27486,27611,26790,28526,1.25,11.52,7262,11706,RURAL,40.76,41.5,77.3,2025-03,EUROPOP2024
2039,FR8,1,20-24,T,UNKNOWN,27504,38648,37957,39112,1.79,9.18,657,14612,INTERMEDIATE,21.58,44.9,84.2,2024-06,REG_DEMO_MODEL_A
2042,SE598,3,45-49,M,NON_EU,27182,30412,29934,30907,1.23,9.64,2870,12629,URBAN,43.45,44.9,81.1,2023-09,EUROPOP2023
2045,AT941,3,70-74,F,EU,28165,41109,39876,42533,1.99,10.92,-4586,18136,RURAL,19.43,31.2,76.8,2026-12,NUTS_PROJ_V1
2048,CY21,2,95-99,T,NATIONAL,28304,24478,23744,24815,2.02,12.18,-165,11423,INTERMEDIATE,32.61,37.5,78.8,2026-03,REG_DEMO_MODEL_B
2020,SK344,3,15-19,M,UNKNOWN,28380,28380,27979,29380,1.92,11.21,-1108,12037,URBAN,39.51,44.6,81.3,2025-06,EUROPOP2024
2023,NL6,1,40-44,F,NON_EU,28048,29572,28790,30710,2.17,9.34,4046,14512,RURAL,38.08,34.3,83.1,2024-09,REG_DEMO_MODEL_A
2026,DK587,3,65-69,T,EU,29131,32061,31709,33244,1.88,11.86,7371,13293,INTERMEDIATE,37.94,34.1,81.6,2023-12,EUROPOP2023
2029,FI2,1,90-94,M,NATIONAL,28698,28396,27436,29216,1.31,8.3,3418,13628,URBAN,19.1,35.9,76.8,2023-03,NUTS_PROJ_V1
2032,PL50,2,10-14,F,UNKNOWN,28914,31633,30650,32157,1.88,8.16,-2482,11936,RURAL,34.12,46.2,80.6,2026-06,REG_DEMO_MODEL_B
2035,AT34,2,35-39,T,NON_EU,29863,34596,33806,35462,1.49,12.88,207,14611,INTERMEDIATE,43.84,40.9,82.3,2025-09,EUROPOP2024
2038,CZ886,3,60-64,M,EU,29413,30752,30099,31004,1.34,8.6,437,13779,URBAN,25.93,50.0,80.5,2024-12,REG_DEMO_MODEL_A
2041,LU2,1,85-89,F,NATIONAL,29986,45354,44847,47138,1.11,12.02,2301,20917,RURAL,35.34,49.3,76.6,2024-03,EUROPOP2023
2044,BG380,3,5-9,T,UNKNOWN,29790,38256,37155,39673,2.14,9.89,3851,15260,INTERMEDIATE,18.67,40.9,82.1,2023-06,NUTS_PROJ_V1
2047,SE92,2,30-34,M,NON_EU,30526,44531,43444,44822,2.09,8.44,3419,21641,URBAN,20.59,50.4,82.1,2026-09,REG_DEMO_MODEL_B
2050,IE1,1,55-59,F,EU,30796,22932,22067,23584,1.95,13.49,1950,8871,RURAL,23.55,47.4,83.2,2025-12,EUROPOP2024
2022,FR15,2,80-84,T,NATIONAL,31259,32093,31535,33309,1.92,8.15,2523,12827,INTERMEDIATE,19.02,31.5,75.9,2025-03,REG_DEMO_MODEL_A
2025,DK415,3,0-4,M,UNKNOWN,31007,32066,31428,32481,1.38,9.91,5325,14044,URBAN,26.54,38.2,75.2,2024-06,EUROPOP2023
2028,SI792,3,25-29,F,NON_EU,31006,33374,32761,34423,1.74,12.26,-3811,14830,RURAL,31.58,36.1,81.2,2023-09,NUTS_PROJ_V1
2031,EE3,1,50-54,T,EU,31871,29369,28980,29965,1.53,11.96,2765,13922,INTERMEDIATE,23.94,45.7,82.4,2026-12,REG_DEMO_MODEL_B
2034,IE3,1,75-79,M,NATIONAL,32369,35379,35152,35734,1.85,13.86,6949,14419,URBAN,43.85,30.2,83.2,2026-03,EUROPOP2024
2037,SK73,2,100+,F,UNKNOWN,31894,28643,27502,29384,1.69,14.1,-8,13340,RURAL,38.02,45.2,76.2,2025-06,REG_DEMO_MODEL_A
2040,HU8,1,20-24,T,NON_EU,32927,39685,38809,40106,1.34,13.26,-1817,19077,INTERMEDIATE,36.12,41.9,74.6,2024-09,EUROPOP2023
2043,EE8,1,45-49,M,EU,33019,49736,49477,50787,1.7,9.18,-3897,22862,URBAN,23.33,42.2,84.0,2023-12,NUTS_PROJ_V1
2046,GR43,2,70-74,F,NATIONAL,32865,27992,27514,28229,1.78,13.75,206,11961,RURAL,26.87,43.8,81.3,2023-03,REG_DEMO_MODEL_B
2049,AT465,3,95-99,T,UNKNOWN,32906,40244,39147,40890,1.57,7.04,-967,15782,INTERMEDIATE,37.23,43.5,76.9,2026-06,EUROPOP2024
2021,FI5,1,15-19,M,NON_EU,33368,33168,32692,34352,1.61,9.69,4,14169,URBAN,20.94,43.6,74.9,2025-09,REG_DEMO_MODEL_A
2024,GR968,3,40-44,F,EU,33537,35701,34447,36552,1.39,13.65,-3748,14228,RURAL,42.09,47.8,80.6,2024-12,EUROPOP2023
2027,DE2,1,65-69,T,NATIONAL,34332,36164,35230,37091,2.1,11.14,3904,13772,INTERMEDIATE,32.57,43.7,75.6,2024-03,NUTS_PROJ_V1
2030,BE7,1,90-94,M,UNKNOWN,34151,33040,32611,34053,1.42,10.49,3362,16012,URBAN,27.82,30.2,76.5,2023-06,REG_DEMO_MODEL_B
2033,GR669,3,10-14,F,NON_EU,34987,42023,41245,42477,1.67,10.35,-2065,17535,RURAL,33.28,48.3,75.5,2026-09,EUROPOP2024
2036,LT7,1,35-39,T,EU,34999,37608,36575,38084,1.64,7.47,1052,17380,INTERMEDIATE,36.05,40.9,82.3,2025-12,REG_DEMO_MODEL_A
2039,MT5,1,60-64,M,NATIONAL,34897,37711,36802,37960,2.18,9.43,6530,14082,URBAN,35.11,35.7,81.8,2025-03,EUROPOP2023
2042,BE708,3,85-89,F,UNKNOWN,35342,40605,39227,41737,1.5,11.9,-3725,17193,RURAL,28.16,49.1,79.4,2024-06,NUTS_PROJ_V1
2045,ES456,3,5-9,T,NON_EU,35361,50700,49284,52360,2.08,7.05,-2724,21967,INTERMEDIATE,24.21,40.8,76.9,2023-09,REG_DEMO_MODEL_B
2048,BG695,3,30-34,M,EU,35403,31297,30441,32239,1.23,8.73,410,12497,URBAN,31.0,40.1,76.2,2026-12,EUROPOP2024
2020,PT5,1,55-59,F,NATIONAL,35665,35665,34751,36147,1.24,11.44,-2793,14612,RURAL,19.06,42.0,74.6,2026-03,REG_DEMO_MODEL_A
2023,LT75,2,80-84,T,UNKNOWN,36014,37957,37125,38685,2.17,11.78,6789,15124,INTERMEDIATE,40.18,49.9,76.3,2025-06,EUROPOP2023
2026,HU582,3,0-4,M,NON_EU,36621,41188,40790,41639,2.01,11.51,4546,15999,URBAN,22.91,43.9,76.8,2024-09,NUTS_PROJ_V1
2029,DK72,2,25-29,F,EU,36991,40661,40347,41713,1.18,9.84,-2834,19586,RURAL,23.46,48.1,79.3,2023-12,REG_DEMO_MODEL_B
2032,NL568,3,50-54,T,NATIONAL,36929,44046,43217,44539,2.09,11.5,7842,18569,INTERMEDIATE,38.31,32.0,80.9,2023-03,EUROPOP2024
2035,SE5,1,75-79,M,UNKNOWN,37673,42521,42051,44068,1.95,11.87,3553,18531,URBAN,41.62,44.7,78.5,2026-06,REG_DEMO_MODEL_A
2038,FR7,1,100+,F,NON_EU,37960,48813,48209,49708,1.75,12.56,7477,18875,RURAL,33.56,38.9,76.7,2025-09,EUROPOP2023
2041,ES677,3,20-24,T,EU,38034,35689,35334,36221,2.06,10.06,-1904,17810,INTERMEDIATE,38.08,30.1,79.5,2024-12,NUTS_PROJ_V1
2044,IT487,3,45-49,M,NATIONAL,38032,30037,29523,30910,1.45,9.72,-2465,13069,URBAN,33.8,35.5,79.6,2024-03,REG_DEMO_MODEL_B
2047,ES314,3,70-74,F,UNKNOWN,38328,39343,38148,40476,1.93,10.1,7841,16459,RURAL,22.83,41.7,79.1,2023-06,EUROPOP2024
2050,LT613,3,95-99,T,NON_EU,38314,47698,47082,48601,1.25,13.48,-3049,18901,INTERMEDIATE,30.06,44.7,75.7,2026-09,REG_DEMO_MODEL_A
2022,PT43,2,15-19,M,EU,38469,38874,38388,40158,1.78,12.13,-4148,18401,URBAN,44.04,30.1,75.0,2025-12,EUROPOP2023
2025,CY1,1,40-44,F,NATIONAL,38648,39456,38706,39774,1.39,9.78,4978,19470,RURAL,28.38,50.7,80.4,2025-03,NUTS_PROJ_V1
2028,EE27,2,65-69,T,UNKNOWN,39283,38843,38599,39115,1.95,8.31,3099,16834,INTERMEDIATE,23.45,43.8,82.4,2024-06,REG_DEMO_MODEL_B
2031,IE467,3,90-94,M,NON_EU,39292,37531,37059,38389,1.87,11.61,6043,18531,URBAN,24.46,30.0,75.7,2023-09,EUROPOP2024
2034,PL116,3,10-14,F,EU,39532,47623,46306,48519,1.74,10.88,7073,19106,RURAL,42.82,41.5,81.6,2026-12,REG_DEMO_MODEL_A
2037,EE9,1,35-39,T,NATIONAL,40072,53773,52277,55854,1.4,11.55,-1813,23194,INTERMEDIATE,28.91,30.1,75.8,2026-03,EUROPOP2023
2040,IT9,1,60-64,M,UNKNOWN,40268,35127,33810,35664,2.14,13.02,-778,13441,URBAN,39.95,42.1,81.3,2025-06,NUTS_PROJ_V1
2043,CY98,2,85-89,F,NON_EU,40989,42244,41269,42814,1.47,12.82,6167,18188,RURAL,33.84,30.6,75.2,2024-09,REG_DEMO_MODEL_B
2046,NL89,2,5-9,T,EU,40319,41899,41379,42431,1.87,13.0,1757,15699,INTERMEDIATE,31.95,30.2,82.7,2023-12,EUROPOP2024
2049,SE968,3,30-34,M,NATIONAL,40754,39152,38132,40373,1.48,11.16,-2076,16777,URBAN,27.55,48.8,76.8,2023-03,REG_DEMO_MODEL_A
2021,IT8,1,55-59,F,UNKNOWN,41719,42235,41920,42727,1.91,8.76,-1035,16176,RURAL,23.58,34.3,76.6,2026-06,EUROPOP2023
2024,IT44,2,80-84,T,NON_EU,41633,41746,41214,42129,1.19,14.17,3071,17181,INTERMEDIATE,38.63,41.4,74.4,2025-09,NUTS_PROJ_V1
2027,SI834,3,0-4,M,EU,41743,42076,40857,43609,2.07,11.31,-499,17953,URBAN,44.58,49.2,76.9,2024-12,REG_DEMO_MODEL_B
2030,IT5,1,25-29,F,NATIONAL,41727,47248,45570,48353,1.57,14.05,-4467,20090,RURAL,28.63,44.4,75.8,2024-03,EUROPOP2024
2033,EE65,2,50-54,T,UNKNOWN,42749,39331,38471,39962,1.11,12.06,1216,16342,INTERMEDIATE,26.79,42.9,76.7,2023-06,REG_DEMO_MODEL_A
2036,LU3,1,75-79,M,NON_EU,42561,41143,39885,42728,1.48,8.38,1945,19159,URBAN,36.92,37.8,83.0,2026-09,EUROPOP2023
2039,CY7,1,100+,F,EU,42536,45474,44564,47259,1.85,13.11,6809,20774,RURAL,24.37,39.1,78.0,2025-12,NUTS_PROJ_V1
2042,RO4,1,20-24,T,NATIONAL,42649,57910,57090,59158,1.11,10.16,-2797,21472,INTERMEDIATE,40.93,40.9,81.6,2025-03,REG_DEMO_MODEL_B
2045,BG75,2,45-49,M,UNKNOWN,43554,48847,47322,50558,1.15,7.74,-2324,23920,URBAN,39.97,40.0,80.6,2024-06,EUROPOP2024
2048,LU70,2,70-74,F,NON_EU,43460,61263,59369,62341,1.71,13.08,638,30420,RURAL,21.27,48.2,84.1,2023-09,REG_DEMO_MODEL_A
2020,DK79,2,95-99,T,EU,43453,43453,42703,44489,2.18,9.13,326,17583,INTERMEDIATE,31.16,45.5,83.3,2026-12,EUROPOP2023
2023,RO7,1,15-19,M,NATIONAL,43890,45006,43936,46737,2.06,11.8,527,19608,URBAN,34.53,38.5,83.5,2026-03,NUTS_PROJ_V1
2026,LV6,1,40-44,F,UNKNOWN,43831,42496,41135,43179,1.42,9.01,5561,18664,RURAL,41.97,46.4,83.9,2025-06,REG_DEMO_MODEL_B
2029,FR78,2,65-69,T,NON_EU,44765,47924,47626,48858,1.3,7.17,6923,22143,INTERMEDIATE,24.79,45.6,81.9,2024-09,EUROPOP2024
2032,SK993,3,90-94,M,EU,44465,41872,40348,42174,2.07,11.11,-4569,16487,URBAN,32.15,50.9,75.1,2023-12,REG_DEMO_MODEL_A
2035,LV5,1,10-14,F,NATIONAL,45132,41647,40935,43145,1.44,8.86,-345,18027,RURAL,21.41,41.1,75.8,2023-03,EUROPOP2023
