tech_price_pricing_snapshot_date,tech_price_plan_id,tech_price_provider_brand,tech_price_service_area_id,tech_price_monthly_price_inr,tech_price_promo_price_inr,tech_price_promo_duration_months,tech_price_equipment_fee_inr,tech_price_installation_fee_inr,tech_price_early_termination_fee_inr,tech_price_contract_length_months,tech_price_auto_pay_discount_inr,tech_price_bundling_discount_inr,tech_price_income_based_discount_flag,tech_price_low_income_eligibility_program,tech_price_price_per_mbps_metric,tech_price_hidden_fees_estimate_inr,tech_price_price_increase_notice_days,tech_price_complaint_rate_per_1k,tech_price_regulatory_filing_id
2021-04-08,PLANQYGRI3QE3P,MTNL,WB-8275,4794,4202,0,499,1499,2999,0,100,50,0,NONE,14.751,296,7,19.5,TRAI18350355
2022-03-13,PLANKUWTKBDJLY,TIKONA,LA-5743,4124,3587,24,299,1499,1999,0,100,200,0,STATE_SUBSIDY,49.687,201,30,9.45,TRAI75289011
2024-03-14,PLANZ3FBGANBM8,AIRTEL,HR-7216,3979,3511,0,499,1499,2999,0,50,200,1,BSNL_SOCIAL,198.95,180,7,10.33,TRAI12466223
2021-01-10,PLAN53K1X7VYOI,BSNL,MP-4886,4377,4366,0,299,0,0,0,100,300,0,PM_WANI,24.453,320,14,12.42,TRAI22383065
2022-12-11,PLANFVCC281NGU,BSNL,HP-1846,3365,3074,0,499,0,1999,6,50,100,0,CSR_CONNECT,7.445,257,7,19.84,TRAI82153562
2022-03-22,PLANTDERVCGGJY,AIRTEL,TG-2647,275,99,3,499,999,999,24,50,300,0,STATE_SUBSIDY,0.876,229,60,2.03,TRAI85919504
2025-01-19,PLANV5HMZF1R5T,JIO,OD-0999,2128,1724,6,0,1499,999,24,0,200,0,CSR_CONNECT,6.429,497,7,5.69,TRAI39183298
2025-12-26,PLANIGZPJJ7YWZ,ACT,HP-2903,3318,3257,1,999,499,999,0,0,100,0,NONE,18.96,26,0,14.41,TRAI05299245
2025-03-10,PLANNG97K3THX5,JIO,MP-0976,3079,2772,6,0,999,0,0,100,200,0,NONE,256.583,370,60,23.94,TRAI12117195
2022-01-28,PLAN7KVHTKLCII,SPECTRA,PB-4119,2596,2126,6,199,0,0,24,100,200,0,PM_WANI,9.509,410,7,16.67,TRAI64068336
2025-07-22,PLAN7WW05V57KO,VI,DD-5004,1346,877,1,299,0,0,6,0,100,0,CSR_CONNECT,3.011,136,30,12.24,TRAI03624851
2021-12-25,PLAN0POFQ4SM15,MTNL,TG-7087,4926,4365,0,0,1499,999,24,50,50,0,PM_WANI,18.874,399,7,23.06,TRAI67360983
2025-06-17,PLAN9VHWD8HG3M,HATHWAY,NL-7568,3007,2739,3,199,0,2999,12,100,100,0,PM_WANI,7.997,106,0,8.98,TRAI28612564
2023-11-24,PLANDGD81PS4UF,JIO,MN-8257,2587,1597,24,0,1499,499,3,0,0,0,CSR_CONNECT,235.182,249,14,7.43,TRAI01119339
2021-04-03,PLAN9X0IGLADGV,BSNL,HP-4114,4432,3645,3,499,999,499,6,150,200,0,CSR_CONNECT,9.195,314,14,8.69,TRAI99408764
2022-08-03,PLANRCK8PB0OME,MTNL,NL-5157,2973,2356,12,0,199,999,0,0,200,0,STATE_SUBSIDY,14.94,424,30,4.17,TRAI98527135
2024-07-22,PLANYM4IW1C109,ACT,MN-2888,717,99,1,0,1499,2999,0,0,50,0,BSNL_SOCIAL,1.699,93,14,16.93,TRAI43536965
2023-01-24,PLANLZ3QVFCZ26,RAILTEL,RJ-3042,1341,565,12,299,1499,0,12,0,0,0,STATE_SUBSIDY,5.882,27,14,19.89,TRAI94039065
2023-10-24,PLANOL3DDIAVNY,AIRTEL,CT-9549,3862,3129,1,499,1499,999,24,100,100,0,STATE_SUBSIDY,55.971,236,0,17.39,TRAI98982127
2021-12-03,PLANCRDMNEJ84A,AIRTEL,CT-4316,4467,3789,24,999,499,499,24,50,100,0,NONE,11.224,403,30,24.46,TRAI92092521
2026-01-11,PLANWFCBBOYPIS,RAILTEL,ML-9823,3533,2570,0,299,199,0,12,50,50,1,BSNL_SOCIAL,8.596,253,0,8.48,TRAI76731033
2025-10-14,PLANECB4B61OEV,BSNL,LA-3901,2970,2722,0,0,1499,2999,0,100,100,0,CSR_CONNECT,6.972,175,30,17.38,TRAI81290871
2021-06-16,PLANGYTG987RGS,HATHWAY,RJ-1756,3982,3672,3,999,1499,0,12,0,300,0,BSNL_SOCIAL,17.937,63,30,12.16,TRAI62649317
2023-07-21,PLANGH3VCD6LA4,AIRTEL,PY-8125,1982,1452,6,199,999,499,12,25,300,0,CSR_CONNECT,10.432,4,0,9.91,TRAI43534430
2024-05-17,PLAN4KXHUBLWLQ,TIKONA,ML-0233,3782,3108,12,999,199,2999,12,100,0,0,BSNL_SOCIAL,45.024,355,30,6.71,TRAI94766507
2022-08-31,PLANU7CY35ES6G,VI,DL-3515,4394,3822,12,299,0,1999,0,50,50,1,STATE_SUBSIDY,231.263,343,14,24.97,TRAI99538764
2023-09-19,PLAN8WSFJIQVAK,JIO,ML-3985,4390,3570,1,999,999,499,6,150,100,0,CSR_CONNECT,19.511,136,60,9.57,TRAI20434344
2025-04-19,PLANS8K71MIOZI,RAILTEL,MP-2491,1213,242,1,0,0,0,12,150,200,0,STATE_SUBSIDY,2.648,433,30,14.51,TRAI17883552
2024-12-04,PLAN87BNKQOIIW,BSNL,TN-9602,3442,3199,12,499,0,0,12,150,0,0,CSR_CONNECT,45.289,295,7,10.05,TRAI51662825
2023-09-25,PLANL9TM7XENFA,RAILTEL,ML-2775,4155,4147,6,299,1499,0,6,100,100,0,PM_WANI,21.528,84,60,1.28,TRAI62642490
2022-09-15,PLAN4BTFBO17EQ,HATHWAY,AP-3305,2393,1579,1,499,0,2999,0,25,0,0,NONE,5.146,242,7,13.13,TRAI80802239
2022-07-14,PLANYU1CQ33J8Y,VI,NL-4960,4804,4374,0,999,0,0,6,150,200,0,BSNL_SOCIAL,320.267,188,14,14.09,TRAI43830458
2024-09-19,PLANNSTTLH741I,ACT,GJ-5712,2718,1977,12,299,999,2999,12,150,200,0,NONE,87.677,417,30,22.89,TRAI70644633
2022-02-15,PLANUB4EYTY93V,SPECTRA,RJ-3007,939,677,1,199,1499,1999,6,25,50,1,NONE,6.904,378,0,24.39,TRAI87960924
2025-10-04,PLANXJXYXMM13T,SPECTRA,ML-6732,1369,988,1,199,1499,499,24,25,300,0,BSNL_SOCIAL,34.225,382,30,21.0,TRAI95720318
2021-07-29,PLANHOVNJXX559,SPECTRA,JH-0905,320,99,12,499,199,0,0,0,300,0,PM_WANI,3.265,471,60,17.7,TRAI80729068
2021-10-29,PLANMTF0W5U346,RAILTEL,ML-4494,3949,3458,0,499,499,999,6,0,100,1,BSNL_SOCIAL,11.446,26,7,16.49,TRAI17197988
2025-05-25,PLANQXO6UUTEFD,JIO,GJ-4764,4961,4714,1,199,499,2999,3,150,0,0,PM_WANI,19.844,324,0,15.61,TRAI63956788
2024-09-03,PLANPEH6J281XM,JIO,HR-6746,1210,1130,3,0,999,2999,24,50,200,0,CSR_CONNECT,3.569,129,30,12.44,TRAI80882568
2021-04-27,PLANQAW06VBDAS,MTNL,MN-6402,4041,3262,6,0,999,1999,0,50,0,1,BSNL_SOCIAL,24.343,493,60,13.41,TRAI55666544
2022-03-02,PLANK0MD0XPQZS,BSNL,UT-8798,3017,2522,6,499,199,499,12,0,300,0,CSR_CONNECT,8.198,8,0,18.18,TRAI62595710
2025-09-13,PLANHJ6OCN89MX,BSNL,MP-0758,1442,1190,6,999,0,1999,24,0,100,0,BSNL_SOCIAL,5.361,8,14,16.25,TRAI14461860
2025-06-03,PLAN1Q00LQQBDF,JIO,TN-6544,3509,2956,12,199,1499,999,6,0,50,1,CSR_CONNECT,29.0,287,7,9.02,TRAI47354278
2023-10-07,PLAN8OO5J2F04V,SPECTRA,DN-5780,3644,2946,3,499,499,2999,0,50,200,0,PM_WANI,34.705,102,0,12.99,TRAI64468294
2025-10-22,PLANDRDXVT7KGN,SPECTRA,MN-8210,1132,1125,24,0,499,499,6,50,300,1,CSR_CONNECT,4.101,364,7,12.51,TRAI93050718
2023-10-22,PLANLW7PGS7N7K,SPECTRA,DL-4096,1013,271,24,999,499,0,6,50,100,1,PM_WANI,7.976,65,7,0.59,TRAI60473555
2025-12-14,PLANZDF1NA6VJ3,ACT,UP-6345,4723,4079,0,299,1499,0,24,100,100,0,NONE,100.489,150,7,13.45,TRAI38845700
2024-09-06,PLANIU8H1H1T0Z,VI,BR-9342,2086,1383,0,0,199,1999,3,0,50,0,STATE_SUBSIDY,5.731,369,14,15.34,TRAI82995486
2024-12-05,PLANB38BM7H8WV,TIKONA,NL-8512,2861,1972,6,0,499,999,3,150,0,0,NONE,7.589,164,60,19.99,TRAI55156220
2023-07-13,PLAN36YMJZICL5,VI,AS-4411,4783,4140,0,299,0,1999,0,0,300,0,STATE_SUBSIDY,251.737,91,7,17.24,TRAI35007661
2024-02-07,PLANWHTKZYC9BY,BSNL,UT-8232,3780,2859,12,299,0,499,0,25,200,0,NONE,21.977,104,60,13.7,TRAI05521664
2022-01-06,PLANCYMBMPFNJ3,MTNL,PY-3840,2682,2055,24,199,499,2999,24,100,50,1,NONE,7.171,61,60,15.95,TRAI11712974
2022-01-18,PLANQC3ATUCNHL,RAILTEL,JH-4149,3783,3012,1,499,999,999,24,100,300,0,BSNL_SOCIAL,10.142,363,60,9.08,TRAI32368728
2022-12-23,PLANAC3UY718MN,SPECTRA,AP-5414,2398,1418,0,199,999,1999,12,150,200,1,PM_WANI,8.212,475,7,13.84,TRAI74870464
2023-11-23,PLAN5X50MCB68J,SPECTRA,AN-5588,2344,2015,24,0,199,0,0,25,0,0,NONE,21.117,466,30,18.5,TRAI08166022
2022-06-20,PLANM47PND74K3,VI,LA-5356,1771,952,12,199,0,0,0,150,0,0,STATE_SUBSIDY,5.483,207,7,22.69,TRAI90128829
2024-07-27,PLANVC7O45EJW0,BSNL,MH-5654,3402,2633,1,199,499,1999,6,0,0,0,BSNL_SOCIAL,7.912,229,60,22.09,TRAI73073588
2021-03-21,PLANVSXMDFX9RB,HATHWAY,AR-3870,2662,2312,3,299,499,499,24,100,0,0,STATE_SUBSIDY,5.324,442,60,6.56,TRAI91436194
2024-01-09,PLANWK5DUY8TVO,ACT,MP-8813,2355,2231,0,499,499,999,3,25,200,1,STATE_SUBSIDY,26.167,31,60,8.61,TRAI94971796
2025-10-03,PLANWAD50TJE50,HATHWAY,LD-4037,1004,256,6,0,0,0,24,150,0,0,BSNL_SOCIAL,2.256,100,60,23.9,TRAI02627969
2024-02-09,PLANZ7QOIJC836,HATHWAY,WB-3146,4897,4676,1,299,0,1999,12,25,300,0,PM_WANI,21.291,106,7,14.7,TRAI92603068
2025-08-10,PLANF3BQ0X4J1A,JIO,GJ-6579,4998,4517,3,199,199,0,12,100,50,0,BSNL_SOCIAL,14.875,264,7,9.55,TRAI47892722
2022-06-10,PLANZ3R42DWSUM,BSNL,UP-5282,3115,2546,0,499,1499,499,24,50,0,0,STATE_SUBSIDY,10.147,52,14,17.44,TRAI55090249
2024-02-16,PLAN680KRAX62C,RAILTEL,AP-7975,504,99,6,0,1499,0,6,50,200,0,CSR_CONNECT,1.082,235,0,23.92,TRAI53038028
2025-10-20,PLANR16PDDTJ58,AIRTEL,MZ-4938,4110,3653,24,499,1499,499,0,50,100,0,PM_WANI,39.143,483,30,17.09,TRAI99901068
2023-11-13,PLAN33IMOOILTN,BSNL,UP-6491,3484,3218,12,499,1499,499,6,150,100,0,NONE,7.038,439,14,22.02,TRAI15210313
2022-12-28,PLANOF5MRTNJMY,TIKONA,TN-2630,4523,4332,12,499,1499,999,0,150,100,0,CSR_CONNECT,10.051,197,60,15.83,TRAI97767096
2023-08-23,PLANYPVJLGLXB5,ACT,BR-2841,4139,4131,6,199,199,999,0,50,50,1,PM_WANI,9.648,145,0,8.64,TRAI32526385
2024-07-08,PLANTE6ARV2IVH,RAILTEL,KL-8658,1948,1665,6,299,199,499,12,50,50,1,STATE_SUBSIDY,4.728,305,7,14.86,TRAI84019727
2022-11-13,PLANGIZAB155VJ,BSNL,RJ-4479,4512,4113,12,299,0,999,3,25,0,1,CSR_CONNECT,14.793,171,30,24.54,TRAI47410669
2024-12-02,PLANGVETN0TA9U,VI,DD-5410,4978,4872,12,199,999,499,3,150,50,0,BSNL_SOCIAL,54.109,132,7,13.51,TRAI83561865
2021-08-24,PLANK9S3H6E43M,AIRTEL,MZ-0196,2488,1807,6,0,199,2999,12,150,100,0,STATE_SUBSIDY,5.706,490,30,11.59,TRAI10163435
2023-07-26,PLANUH73GI3GUA,RAILTEL,OD-4484,1964,1165,6,499,199,0,0,50,200,0,STATE_SUBSIDY,11.353,451,7,15.27,TRAI53064227
2022-03-04,PLANCYZEDLG90W,AIRTEL,MN-2483,1034,984,12,299,1499,0,0,0,50,1,NONE,6.586,306,7,13.17,TRAI82624581
2022-02-04,PLAN7GGX06LADQ,SPECTRA,SK-0571,2020,1178,1,999,999,499,0,50,300,0,PM_WANI,6.645,272,7,13.14,TRAI29319448
2024-04-19,PLANG086FVRY0W,JIO,KL-5385,4220,4045,6,299,199,0,12,150,100,0,NONE,9.234,256,14,19.69,TRAI84581304
2023-11-14,PLANVNB1QL12IC,MTNL,NL-7199,726,99,0,999,0,0,3,150,200,0,BSNL_SOCIAL,1.624,462,7,13.3,TRAI91958259
2025-01-27,PLANCN9BHRLTGM,HATHWAY,CH-9584,1464,1108,12,199,1499,499,12,25,200,1,CSR_CONNECT,10.027,175,0,8.68,TRAI77789408
2023-12-17,PLANIFKHMEQ2V6,HATHWAY,LD-1935,392,181,1,999,1499,2999,0,150,0,0,CSR_CONNECT,5.939,230,30,12.65,TRAI09999650
2021-11-14,PLAN5BVNL7NOQI,TIKONA,UP-6176,1729,1724,1,299,499,2999,12,25,50,0,STATE_SUBSIDY,14.408,376,0,10.15,TRAI79827115
2023-06-09,PLAN798P2EPRN2,RAILTEL,PY-3705,4320,4185,6,0,499,2999,24,150,0,0,CSR_CONNECT,11.836,369,14,0.22,TRAI00480841
2026-01-24,PLANKDV96QI0XE,ACT,TN-7933,4822,4372,1,299,1499,499,12,50,200,1,PM_WANI,11.704,341,30,23.24,TRAI39812721
2025-02-24,PLANP468JY5KR9,BSNL,MP-0103,4810,4637,3,999,999,2999,6,0,50,1,BSNL_SOCIAL,19.713,35,30,0.7,TRAI21686355
2022-12-06,PLANNSZO5YH99B,RAILTEL,AS-8587,4072,4002,6,299,1499,0,3,0,300,0,STATE_SUBSIDY,32.839,202,60,17.98,TRAI36256212
2024-06-13,PLANFXO0UXOCKL,JIO,CH-1466,4647,4395,0,499,0,1999,12,50,50,0,NONE,22.779,64,7,3.64,TRAI27835259
2023-02-02,PLANZSF6T6FVYG,SPECTRA,BR-9864,4676,3763,24,0,499,2999,3,0,200,1,CSR_CONNECT,44.962,187,14,12.41,TRAI97284983
2022-04-13,PLANY3HXQ5ORSY,AIRTEL,DD-2708,4089,3727,3,999,199,499,24,25,200,0,CSR_CONNECT,13.721,167,0,17.36,TRAI07411720
2023-04-03,PLANC80R3STEA8,RAILTEL,OD-5384,577,99,24,999,999,2999,12,150,100,1,BSNL_SOCIAL,2.327,153,7,24.12,TRAI69899447
2024-11-12,PLANSJWJFL2FFC,ACT,MH-0895,3746,3361,1,999,499,1999,24,100,200,1,CSR_CONNECT,13.572,299,14,23.69,TRAI89672079
2022-06-14,PLANF59HY308VX,TIKONA,TN-2727,4993,4083,3,199,0,499,12,0,0,0,BSNL_SOCIAL,11.426,128,0,5.19,TRAI48661246
2022-01-01,PLAN6WNSO9089X,TIKONA,MP-1006,3366,2934,24,0,1499,0,3,25,50,0,STATE_SUBSIDY,20.036,82,60,3.56,TRAI42547636
2022-02-19,PLAN98V6965HLY,RAILTEL,DN-8718,1703,703,24,999,199,1999,12,0,0,0,PM_WANI,4.045,222,60,15.85,TRAI44412597
2021-11-18,PLAN76SUDRU9MU,AIRTEL,ML-6133,2455,2192,1,0,199,1999,12,150,50,0,NONE,8.408,114,30,6.68,TRAI38490575
2023-09-17,PLANLXWXISLWD8,MTNL,GJ-4805,1555,1476,1,299,1499,1999,0,50,200,0,NONE,3.344,373,14,24.96,TRAI61356405
2023-11-30,PLANV3VPNBM3A4,ACT,ML-8934,2591,2530,12,299,499,0,12,0,100,0,PM_WANI,9.965,62,0,18.94,TRAI24030826
2022-04-19,PLANLIAF9OZ9DE,VI,TN-0891,4771,4329,6,499,0,0,12,100,0,0,BSNL_SOCIAL,9.981,298,60,22.05,TRAI31177190
2025-07-11,PLANVFAYQJ839V,AIRTEL,GA-6953,4620,4311,24,199,199,499,0,50,100,0,PM_WANI,22.759,372,0,17.85,TRAI93446872
2024-11-20,PLANY2QSVWNOB7,VI,MH-1300,1124,551,1,499,999,499,0,50,300,1,CSR_CONNECT,3.14,479,0,6.62,TRAI54877855
2026-02-10,PLANLV3CURVDM3,ACT,RJ-3807,3899,3612,24,0,1499,1999,12,25,50,0,CSR_CONNECT,243.688,394,60,17.22,TRAI58477200
2026-01-27,PLANIKRHVFRTII,VI,MH-0811,1150,1002,3,299,0,2999,6,100,0,1,STATE_SUBSIDY,4.44,169,60,18.78,TRAI02583885
2024-06-05,PLAN9D9A7ER13Y,RAILTEL,DL-4997,2911,2795,12,299,499,1999,6,100,0,1,NONE,7.014,376,0,23.76,TRAI02490421
2022-11-14,PLANLCK79YL12Q,TIKONA,BR-3029,4831,3956,1,299,999,2999,6,25,0,0,STATE_SUBSIDY,10.279,267,7,13.74,TRAI51832654
2021-10-14,PLAN6QGEAJXET6,MTNL,LD-2049,3091,2901,0,499,0,1999,6,0,300,0,NONE,40.143,392,30,21.31,TRAI87572505
2022-11-14,PLAN2DW9F92URD,MTNL,ML-0635,3779,3638,6,0,999,499,3,100,0,0,PM_WANI,10.241,456,0,8.81,TRAI76602451
2024-04-07,PLANGXR7VADPJE,VI,MP-6277,2370,1598,12,299,1499,0,6,25,100,0,STATE_SUBSIDY,17.687,79,0,9.57,TRAI96553727
2025-01-24,PLANBPT3EY46U5,BSNL,UP-3191,4332,3787,1,999,499,1999,3,25,300,0,BSNL_SOCIAL,33.069,204,7,15.26,TRAI19009704
2025-12-23,PLANDOWVXCGVUU,MTNL,MP-9003,1119,373,24,0,499,1999,12,100,200,0,STATE_SUBSIDY,2.664,83,30,20.13,TRAI96819143
2022-03-28,PLANUB58Q23QDY,AIRTEL,BR-8191,623,99,0,999,999,999,24,25,50,0,NONE,11.327,124,30,16.16,TRAI51539579
2023-05-19,PLANBSFLSPQHMX,VI,WB-6491,4055,3229,6,499,199,999,24,50,300,0,CSR_CONNECT,9.322,155,0,20.5,TRAI07395395
2024-12-21,PLANYGXSKPRCR4,RAILTEL,TN-8344,3279,2533,24,499,1499,999,12,100,0,0,STATE_SUBSIDY,10.476,261,7,24.89,TRAI08626931
2021-09-14,PLANB7CGKASRW7,RAILTEL,PY-2292,2791,2026,12,499,999,499,12,25,200,0,BSNL_SOCIAL,31.011,291,60,4.36,TRAI27241563
2023-01-16,PLANRX16Q5WKN7,AIRTEL,MP-1614,807,323,3,499,199,2999,6,0,200,0,STATE_SUBSIDY,2.075,64,7,19.77,TRAI32528577
2021-10-30,PLAN4I3JRWSA4W,JIO,KA-5836,322,99,6,999,1499,2999,12,0,50,0,STATE_SUBSIDY,0.982,418,60,11.86,TRAI41377176
2021-11-07,PLANV6J9HUC7T8,TIKONA,UT-3288,2589,2024,24,299,999,499,3,150,100,0,BSNL_SOCIAL,7.074,30,7,18.86,TRAI09678127
2023-10-14,PLANK99C7ZCOIP,SPECTRA,GA-8447,1523,882,6,999,0,1999,0,0,200,1,STATE_SUBSIDY,3.6,377,60,20.49,TRAI67572475
2022-03-30,PLAN0KUXMQS3B6,VI,LD-3120,2896,2522,0,499,199,2999,6,150,100,0,PM_WANI,21.774,162,30,18.15,TRAI73486014
2024-11-18,PLAN11OHJUVYR9,RAILTEL,RJ-7582,4305,3818,0,299,1499,499,12,150,300,0,CSR_CONNECT,10.082,369,14,18.45,TRAI51382851
2021-05-23,PLANBG1CN0L6BP,BSNL,JK-4095,759,505,3,299,499,999,3,50,100,0,CSR_CONNECT,2.232,355,14,24.09,TRAI56382415
2025-01-10,PLAN5CHXKD4JPT,HATHWAY,LD-2540,4950,4511,1,199,199,1999,6,50,50,0,CSR_CONNECT,10.443,76,14,3.91,TRAI89452190
2022-03-19,PLANWDRX2EQM19,AIRTEL,TR-6599,4525,3669,24,999,499,2999,24,150,50,0,PM_WANI,14.274,235,14,4.86,TRAI08523999
2023-07-12,PLANT96L7YI7Y9,SPECTRA,HR-4286,4336,3980,0,499,999,1999,24,150,200,0,STATE_SUBSIDY,50.419,146,14,13.99,TRAI74274713
2022-06-21,PLAN0W8TJG9IY1,TIKONA,AN-3082,3556,2652,24,0,199,999,3,25,100,1,CSR_CONNECT,16.853,15,60,13.44,TRAI42269278
2024-04-28,PLANUOSMUWV76S,VI,PB-6463,645,148,12,199,199,0,0,100,200,0,STATE_SUBSIDY,5.42,61,7,13.69,TRAI20943336
2023-10-05,PLANNJ95H9ZWHF,ACT,BR-6981,4849,4384,1,0,0,999,12,25,0,0,CSR_CONNECT,64.653,47,0,16.34,TRAI78398757
2025-12-08,PLANAIH2E9XE76,BSNL,GJ-5398,4524,4462,3,999,499,999,24,25,300,0,BSNL_SOCIAL,13.963,230,30,12.26,TRAI67507875
2022-05-05,PLANABZBOH5M8V,ACT,AN-5748,2789,2421,24,199,199,499,24,150,200,0,NONE,6.239,72,60,16.5,TRAI14100953
2023-06-19,PLANF5LALPJHO6,SPECTRA,AS-4000,2339,1349,6,0,1499,499,6,0,200,1,NONE,5.244,6,7,8.7,TRAI65213895
2025-09-20,PLANOZ46FQL9TH,BSNL,JK-7344,2740,2329,0,999,999,2999,3,100,100,0,PM_WANI,13.498,397,60,15.49,TRAI70879211
2021-01-13,PLANXJ6UVRU0MM,HATHWAY,GJ-6235,564,99,0,199,499,2999,24,50,0,0,CSR_CONNECT,1.396,85,0,24.69,TRAI67866372
2025-08-11,PLANN0N51BT8I3,MTNL,DL-6252,4760,4477,24,499,199,0,0,0,100,0,PM_WANI,10.393,263,14,20.19,TRAI20311156
2025-07-23,PLANW32RJ5EHS9,VI,SK-7509,4293,3701,12,299,499,1999,24,25,200,0,BSNL_SOCIAL,10.574,334,30,24.37,TRAI14112826
2021-02-05,PLAN6VB6AP3K42,TIKONA,SK-6499,1384,946,12,299,1499,999,0,100,100,0,BSNL_SOCIAL,3.595,254,30,3.56,TRAI71780775
2024-03-04,PLAND1K3YTZOP3,BSNL,TG-9094,661,99,3,999,199,999,0,0,50,0,CSR_CONNECT,1.739,299,0,11.72,TRAI53764229
2024-05-20,PLANAO9H3Y8R0E,ACT,KL-1458,1007,100,1,299,199,0,6,50,100,0,NONE,5.594,358,7,24.21,TRAI05265129
2021-09-08,PLANCQCXLLAQQI,VI,CT-0567,1643,656,1,999,1499,0,0,25,50,0,NONE,4.358,75,60,0.06,TRAI26690208
2022-01-22,PLANMSTNGTIBLS,BSNL,SK-0000,1963,1591,0,499,199,499,0,150,100,0,BSNL_SOCIAL,4.362,129,30,14.08,TRAI51077707
2024-04-14,PLAN871K5UJ0B4,TIKONA,PY-7985,1627,1068,1,0,1499,499,6,0,200,0,NONE,4.433,396,0,18.72,TRAI05519193
2025-02-11,PLANL46FIP81DQ,RAILTEL,AN-6131,1785,1753,24,999,499,1999,0,150,0,0,STATE_SUBSIDY,14.875,134,30,3.38,TRAI40421403
2024-11-28,PLANLZJ154SAS3,SPECTRA,JH-6710,463,99,6,499,1499,499,3,150,200,0,PM_WANI,5.578,105,14,4.61,TRAI57619476
2021-05-16,PLAN3T65BGWPWK,JIO,MP-1432,2241,1507,12,499,0,1999,0,150,200,0,NONE,5.336,47,0,20.74,TRAI59920134
2021-01-11,PLAN0W77TT5SWL,SPECTRA,KA-2752,2125,1425,24,499,199,499,12,50,100,0,STATE_SUBSIDY,4.418,249,0,6.68,TRAI35822257
2023-09-06,PLAN2CFLTRM1TL,TIKONA,DL-0380,3783,3500,6,499,199,499,12,25,0,1,PM_WANI,8.049,226,0,1.41,TRAI53826649
2022-03-13,PLANE2TQNNLEQJ,VI,MN-8902,3483,3002,0,199,499,1999,12,0,50,0,STATE_SUBSIDY,8.579,244,14,4.7,TRAI69473310
2023-12-25,PLANRN35HMEDHN,VI,KA-2972,3601,3193,12,299,999,0,24,150,200,0,CSR_CONNECT,29.516,349,60,14.85,TRAI88317357
2025-11-29,PLAN9LXJ9J8USW,BSNL,TR-1723,467,99,1,299,499,0,6,100,200,0,NONE,2.458,80,7,24.93,TRAI58143605
2025-09-26,PLANUUL7WJ3A6I,SPECTRA,DN-8586,3105,2923,1,0,499,0,3,50,100,0,BSNL_SOCIAL,6.551,321,0,20.61,TRAI68812016
2023-03-04,PLAN1PRSGMC0Q2,HATHWAY,AR-8720,3461,3282,24,999,999,499,3,150,100,0,PM_WANI,18.41,424,60,17.09,TRAI72619787
2021-09-03,PLANNH5QVZLT2Z,AIRTEL,TG-2745,4707,4563,24,499,199,499,24,50,50,0,STATE_SUBSIDY,72.415,96,7,24.84,TRAI59599284
2022-08-02,PLANPC0QQAE4RK,MTNL,MH-6545,263,99,24,499,199,2999,24,100,200,0,BSNL_SOCIAL,1.37,310,7,2.21,TRAI72884546
