civ_nat_elections_election_date,civ_nat_elections_country_iso2,civ_nat_elections_election_type_code,civ_nat_elections_region_nuts_code,civ_nat_elections_party_id,civ_nat_elections_candidate_id_hash,civ_nat_elections_votes_count,civ_nat_elections_vote_share_pct,civ_nat_elections_seats_won_count,civ_nat_elections_turnout_pct,civ_nat_elections_eligible_voters_count,civ_nat_elections_e_voting_flag,civ_nat_elections_misinformation_incident_count,civ_nat_elections_campaign_spend_eur,civ_nat_elections_donation_limit_flag,civ_nat_elections_election_observer_mission_flag,civ_nat_elections_result_challenge_count,civ_nat_elections_data_provider,civ_nat_elections_data_quality_flag,civ_nat_elections_data_extract_date
2013-10-29,SI,PARLIAMENTARY,,SI_P16,b357a76ef1b4b766f5d3aac1,5873,0.544,1,56.74,1902711,0,27,4273440.72,0,1,2,MEDIA_VERIFIED_TALLY,FLAGGED,2025-07-28
2015-02-02,CY,PARLIAMENTARY,,CY_P17,a6e9f2cc21001be982783c3e,57294,7.649,0,38.5,1945553,1,28,43824991.46,0,1,0,NATIONAL_ELECTION_COMMISSION,OK,2024-11-02
2011-07-31,GR,PARLIAMENTARY,,GR_P18,a18a63ced8d8f8f145344c46,141726,11.642,8,58.72,2073219,0,17,14668961.62,0,1,7,OSCE_ODIHR,REVISED,2025-05-25
2010-12-30,MT,PARLIAMENTARY,,MT_P19,f717800f82a808af63502a4a,255511,18.019,12,66.4,2135550,0,35,6623342.92,0,0,6,ACADEMIC_COMPILATION,ESTIMATED,2026-02-20
2012-10-02,ES,PARLIAMENTARY,,ES_P20,6389578073fc55483a1695ba,166936,13.97,15,60.89,1962487,1,101,33518968.4,1,0,2,MEDIA_VERIFIED_TALLY,FLAGGED,2025-06-25
2014-02-14,CZ,PARLIAMENTARY,,CZ_P21,ffb5d27bab2ab80e90f815f8,280470,20.272,8,59.94,2308143,0,22,98792421.97,0,0,7,NATIONAL_ELECTION_COMMISSION,OK,2025-02-12
2019-11-25,HU,PARLIAMENTARY,,HU_P22,24f91e1464a8bf08dc024237,219611,15.669,7,64.63,2168614,1,21,60723752.87,1,0,3,OSCE_ODIHR,REVISED,2025-03-16
2024-01-06,NL,PARLIAMENTARY,,NL_P23,2a3d7674587b352aa80c6545,138850,8.046,3,76.24,2263613,0,37,49097491.0,0,1,4,ACADEMIC_COMPILATION,ESTIMATED,2025-03-26
2019-08-17,SE,PARLIAMENTARY,,SE_P24,d4f387eb246bb0845de208c3,42821,3.802,1,47.31,2380677,0,41,53588730.48,1,0,0,MEDIA_VERIFIED_TALLY,FLAGGED,2025-09-05
2016-04-15,DK,PARLIAMENTARY,,DK_P25,ea9849b7d3a780ea9fe61a2a,92140,7.742,4,44.67,2664400,0,36,93702.89,1,0,1,NATIONAL_ELECTION_COMMISSION,OK,2025-06-13
2013-03-16,IE,PARLIAMENTARY,,IE_P26,3b156d4cdba9410dafeda1b6,263036,12.986,12,79.9,2535046,0,40,64227875.88,1,0,4,OSCE_ODIHR,REVISED,2024-09-15
2013-12-01,PL,PARLIAMENTARY,,PL_P27,e29953d7862ee345916c0af5,166282,13.048,7,44.7,2851022,1,36,32083016.37,0,0,6,ACADEMIC_COMPILATION,ESTIMATED,2024-04-03
2015-06-23,AT,PARLIAMENTARY,,AT_P28,1a0e47a9422a5cb066f0d7ee,82471,8.606,8,35.19,2723352,0,34,103926901.64,0,1,4,MEDIA_VERIFIED_TALLY,FLAGGED,2024-05-31
2019-06-21,EE,PARLIAMENTARY,,EE_P29,7cfb48e70e348b659fecef33,167537,13.896,10,42.42,2842185,0,40,77404747.44,0,0,7,NATIONAL_ELECTION_COMMISSION,OK,2025-02-21
2013-09-19,IT,PARLIAMENTARY,,IT_P30,15200727089746ccd887d672,302049,14.3,4,65.92,3204338,0,29,43042550.29,0,0,1,OSCE_ODIHR,REVISED,2025-05-17
2023-10-15,PT,PARLIAMENTARY,,PT_P31,b5c831501292cdede846e0a1,261506,16.12,1,51.67,3139649,0,48,24208414.74,1,0,6,ACADEMIC_COMPILATION,ESTIMATED,2025-08-16
2012-12-23,BE,PARLIAMENTARY,,BE_P32,46fbb2e5fa68096c2c07163e,127920,8.405,4,45.02,3380606,0,48,11170631.55,0,0,0,MEDIA_VERIFIED_TALLY,FLAGGED,2024-03-22
2023-06-24,FI,PARLIAMENTARY,,FI_P33,d5feeafc7776ccf3169fbe5a,46599,2.135,2,62.29,3503878,0,33,57941420.44,1,0,7,NATIONAL_ELECTION_COMMISSION,OK,2024-08-11
2025-09-30,LV,PARLIAMENTARY,,LV_P34,0a6eb0d4522d839ece5eba53,404546,20.403,3,57.42,3453140,0,45,31381715.35,1,0,4,OSCE_ODIHR,REVISED,2025-11-05
2018-11-27,RO,PARLIAMENTARY,,RO_P01,4f4bae047148cc3ed562396b,86657,4.491,2,54.5,3540859,0,39,14230777.19,1,0,5,ACADEMIC_COMPILATION,ESTIMATED,2025-11-22
2011-07-31,BG,PARLIAMENTARY,,BG_P02,31914e83b5f222a5222253bf,201907,10.748,1,49.63,3785053,0,101,25127221.09,1,1,6,MEDIA_VERIFIED_TALLY,FLAGGED,2025-11-15
2023-01-26,FR,PARLIAMENTARY,,FR_P03,25cf035958acec92cee74912,28902,1.533,2,48.75,3867940,0,42,37601535.21,0,0,4,NATIONAL_ELECTION_COMMISSION,OK,2024-10-09
2020-11-29,LT,PARLIAMENTARY,,LT_P04,87b2969c1b7377017f3eddd8,197851,14.422,5,36.67,3741142,0,42,73479571.88,1,1,0,OSCE_ODIHR,REVISED,2025-09-10
2015-12-15,SK,PARLIAMENTARY,,SK_P05,8490d29a481076f966adc9e9,401477,13.985,16,70.06,4097557,0,83,72895783.94,1,0,6,ACADEMIC_COMPILATION,ESTIMATED,2025-08-16
2022-02-11,HR,PARLIAMENTARY,,HR_P06,6086cfd0f48dd55a1a776a06,248411,7.9,7,76.29,4121879,1,49,43986164.23,1,0,1,MEDIA_VERIFIED_TALLY,FLAGGED,2024-11-16
2021-03-08,DE,PARLIAMENTARY,,DE_P07,aef2ace04687d257de98246d,472187,14.521,5,80.27,4051086,1,84,56826809.75,1,1,1,NATIONAL_ELECTION_COMMISSION,OK,2024-06-23
2022-09-28,LU,PARLIAMENTARY,,LU_P08,6d838fe7064fa4839ee2a897,395745,18.266,6,50.39,4299659,0,18,92900483.84,0,1,7,OSCE_ODIHR,REVISED,2025-03-28
2025-06-30,SI,PARLIAMENTARY,,SI_P09,e8e0a35246b4e03520875872,655618,17.623,7,85.56,4348054,0,3,50708739.86,1,0,6,ACADEMIC_COMPILATION,ESTIMATED,2024-06-14
2011-02-16,CY,PARLIAMENTARY,,CY_P10,f2af5e94f852664880e13285,100504,3.632,3,60.45,4577178,1,18,6262247.82,1,1,0,MEDIA_VERIFIED_TALLY,FLAGGED,2024-03-14
2024-01-15,GR,PARLIAMENTARY,,GR_P11,9a21d5e37c29010d586425b3,589627,15.07,8,85.78,4561235,0,16,84601896.82,1,0,2,NATIONAL_ELECTION_COMMISSION,OK,2024-04-24
2018-02-13,MT,PARLIAMENTARY,,MT_P12,97aace3e01fda8893c7b66a2,359026,11.631,7,65.94,4681102,0,102,92643130.09,1,0,7,OSCE_ODIHR,REVISED,2024-11-01
2019-11-18,ES,PARLIAMENTARY,,ES_P13,971190b76e917879a5b5b027,189059,11.823,0,35.35,4523399,0,22,77298484.53,1,0,3,ACADEMIC_COMPILATION,ESTIMATED,2024-05-24
2024-10-20,CZ,PARLIAMENTARY,,CZ_P14,19d054b8789e7701445a7f5d,123531,4.585,3,57.93,4650537,0,61,25468383.25,0,0,7,MEDIA_VERIFIED_TALLY,FLAGGED,2025-08-23
2015-06-05,HU,PARLIAMENTARY,,HU_P15,55b7243d19b5bd3afb3a43fd,729811,19.465,8,76.48,4902330,0,20,28256987.72,0,1,6,NATIONAL_ELECTION_COMMISSION,OK,2024-10-27
2011-10-05,NL,PARLIAMENTARY,,NL_P16,70776f8a3365af9ee896735d,629440,19.718,19,62.33,5121342,1,22,57267866.7,1,0,6,OSCE_ODIHR,REVISED,2024-03-02
2026-02-14,SE,PARLIAMENTARY,,SE_P17,bf782a11e5f4708a1dff0745,289873,6.821,1,81.79,5195562,0,27,47686846.2,0,0,3,ACADEMIC_COMPILATION,ESTIMATED,2024-09-08
2015-02-19,DK,PARLIAMENTARY,,DK_P18,01aaecde0ae8b28cbbd8ac87,295206,9.52,3,61.92,5007706,0,14,48003227.83,1,1,0,MEDIA_VERIFIED_TALLY,FLAGGED,2026-01-06
2017-07-26,IE,PARLIAMENTARY,,IE_P19,49fc9d443b97094dfc002161,370435,15.036,6,45.63,5399156,0,16,19004497.24,1,0,1,NATIONAL_ELECTION_COMMISSION,OK,2026-02-01
2022-11-08,PL,PARLIAMENTARY,,PL_P20,2794ae2b72078cff47c06182,343626,8.538,2,72.8,5528623,0,30,91808271.86,0,0,0,OSCE_ODIHR,REVISED,2024-11-14
2015-03-24,AT,PARLIAMENTARY,,AT_P21,b47c9dfddca2107edfa9e322,130562,4.068,3,59.91,5357240,1,18,55572456.49,1,1,1,ACADEMIC_COMPILATION,ESTIMATED,2025-07-08
2015-11-03,EE,PARLIAMENTARY,,EE_P22,7bd11c496a62051d71503f5a,33639,1.673,0,37.15,5411223,0,22,5217089.48,1,0,6,MEDIA_VERIFIED_TALLY,FLAGGED,2025-10-10
2017-09-13,IT,PARLIAMENTARY,,IT_P23,947b423e1025f4eb82a67034,830169,16.445,2,87.41,5775381,0,34,40454732.69,1,0,2,NATIONAL_ELECTION_COMMISSION,OK,2025-10-19
2018-01-28,PT,PARLIAMENTARY,,PT_P24,733015c6d0d499ec91314fe8,177567,3.859,1,79.45,5791388,0,25,38624667.23,0,0,4,OSCE_ODIHR,REVISED,2025-05-23
2022-01-02,BE,PARLIAMENTARY,,BE_P25,8031993849b1fe01fd5783c1,91161,3.892,2,41.2,5685245,0,57,79518767.41,1,0,2,ACADEMIC_COMPILATION,ESTIMATED,2025-05-14
2017-05-04,FI,PARLIAMENTARY,,FI_P26,2ee280c6f4eb5ffb36d510d0,18873,0.413,0,79.11,5776788,0,27,32454023.74,0,0,0,MEDIA_VERIFIED_TALLY,FLAGGED,2025-03-22
2012-09-20,LV,PARLIAMENTARY,,LV_P27,385d0901c47c044b4396c8e3,36858,0.956,0,62.42,6179505,0,31,56377509.1,0,0,7,NATIONAL_ELECTION_COMMISSION,OK,2025-02-03
2010-08-12,RO,PARLIAMENTARY,,RO_P28,2a18202a19cea8c4184baff1,423956,10.016,12,70.82,5976710,0,33,66680003.93,0,0,7,OSCE_ODIHR,REVISED,2024-10-16
2017-04-21,BG,PARLIAMENTARY,,BG_P29,1a403210875e115385b23d8a,148751,6.789,2,35.87,6108312,0,28,84154552.97,0,0,7,ACADEMIC_COMPILATION,ESTIMATED,2024-02-05
2013-08-31,FR,PARLIAMENTARY,,FR_P30,24e5b578b161b0ccfaef7de7,671384,13.031,8,81.93,6288680,1,106,61080385.95,1,1,0,MEDIA_VERIFIED_TALLY,FLAGGED,2025-10-31
2015-08-26,LT,PARLIAMENTARY,,LT_P31,e5de2df737a071a834032d25,280672,7.794,9,55.28,6514197,1,30,50639641.79,0,0,6,NATIONAL_ELECTION_COMMISSION,OK,2025-04-06
2011-12-08,SK,PARLIAMENTARY,,SK_P32,96556be0fa9ce993fbb60c94,516192,15.858,5,49.39,6590717,0,119,38089836.32,1,1,6,OSCE_ODIHR,REVISED,2024-08-10
2013-02-22,HR,PARLIAMENTARY,,HR_P33,ee1aa0fced72e6bd7a8ea250,274958,6.462,2,63.12,6740703,0,43,86269055.24,0,1,0,ACADEMIC_COMPILATION,ESTIMATED,2025-05-05
2010-07-13,DE,PARLIAMENTARY,,DE_P34,702cf0f21e0dddfb74addf4b,220542,5.346,4,61.69,6687741,0,31,58699204.76,1,0,2,MEDIA_VERIFIED_TALLY,FLAGGED,2024-01-26
2022-03-31,LU,PARLIAMENTARY,,LU_P01,4c6bf485bedb31cb80909225,660506,13.511,8,73.7,6633212,0,32,10737892.06,1,0,2,NATIONAL_ELECTION_COMMISSION,OK,2025-06-30
2012-10-09,SI,PARLIAMENTARY,,SI_P02,61b9cd3f62e6045421ec2e76,434158,14.924,5,41.74,6969473,0,46,99646171.17,1,0,5,OSCE_ODIHR,REVISED,2025-05-13
2011-03-03,CY,PARLIAMENTARY,,CY_P03,86adc895835cea6485e9dc5c,491329,18.188,8,39.51,6837235,0,43,37601277.05,1,1,6,ACADEMIC_COMPILATION,ESTIMATED,2025-11-21
2020-07-01,GR,PARLIAMENTARY,,GR_P04,bca5eb4ebdd7bed373f18ff9,563631,9.314,6,85.8,7053309,0,39,84679520.2,1,1,0,MEDIA_VERIFIED_TALLY,FLAGGED,2024-02-11
2015-06-15,MT,PARLIAMENTARY,,MT_P05,e3cf1b3619a823168872ece2,495129,18.588,1,37.79,7048794,0,41,46462743.29,0,0,2,NATIONAL_ELECTION_COMMISSION,OK,2024-03-05
2025-12-25,ES,PARLIAMENTARY,,ES_P06,7435e815f50ae1d268621954,89821,1.47,1,82.88,7372822,0,100,23747352.95,1,1,1,OSCE_ODIHR,REVISED,2024-11-17
2012-03-04,CZ,PARLIAMENTARY,,CZ_P07,4342c6253b56e4bbfaad034c,40478,0.688,1,78.67,7483921,0,48,24760287.69,1,0,4,ACADEMIC_COMPILATION,ESTIMATED,2024-01-26
2011-07-18,HU,PARLIAMENTARY,,HU_P08,a32e06415f342512c05de796,1362312,21.315,24,85.43,7481425,0,49,21120609.12,1,0,6,MEDIA_VERIFIED_TALLY,FLAGGED,2025-12-19
2017-07-10,NL,PARLIAMENTARY,,NL_P09,cd48bb91c470b4c281586ed7,763632,19.787,4,51.5,7493742,0,49,64745304.19,1,1,4,NATIONAL_ELECTION_COMMISSION,OK,2025-06-12
2015-07-15,SE,PARLIAMENTARY,,SE_P10,262e87704c5216365262d60d,194456,4.069,2,62.71,7620866,1,55,44977519.03,1,1,4,OSCE_ODIHR,REVISED,2024-01-10
2020-09-29,DK,PARLIAMENTARY,,DK_P11,5dfe474b5143e4412d828048,86949,2.374,2,46.45,7885502,0,55,31360641.61,1,0,6,ACADEMIC_COMPILATION,ESTIMATED,2024-07-13
2022-07-19,IE,PARLIAMENTARY,,IE_P12,a3dd6146ee31f74293e8705f,1187338,19.905,21,76.05,7843485,1,39,4771711.18,0,0,7,MEDIA_VERIFIED_TALLY,FLAGGED,2025-04-22
2012-04-18,PL,PARLIAMENTARY,,PL_P13,19a8409ea131af259d796bcb,227546,6.699,1,42.89,7919173,0,11,23097392.18,1,0,5,NATIONAL_ELECTION_COMMISSION,OK,2024-03-17
2011-11-25,AT,PARLIAMENTARY,,AT_P14,263123fdef3b134b83fadb52,707652,13.307,13,65.12,8166224,0,19,38555147.31,1,1,3,OSCE_ODIHR,REVISED,2024-05-03
2024-01-06,EE,PARLIAMENTARY,,EE_P15,b67add3f1edbda7a275f4931,15775,0.261,0,74.01,8168892,0,111,73032550.57,1,1,3,ACADEMIC_COMPILATION,ESTIMATED,2024-05-02
2013-06-10,IT,PARLIAMENTARY,,IT_P16,d0d00a376dc88a604463b872,922854,19.829,6,57.38,8111014,1,18,65452236.6,1,0,1,MEDIA_VERIFIED_TALLY,FLAGGED,2024-11-25
2012-02-02,PT,PARLIAMENTARY,,PT_P17,647addfebf520429e2480069,879047,21.098,20,49.68,8386736,0,4,106373246.35,0,1,2,NATIONAL_ELECTION_COMMISSION,OK,2024-07-23
2018-09-01,BE,PARLIAMENTARY,,BE_P18,d332513549a43c05c29c6b12,843610,16.285,18,60.98,8495224,0,24,78721390.6,0,0,4,OSCE_ODIHR,REVISED,2025-01-25
2016-04-07,FI,PARLIAMENTARY,,FI_P19,23b99841d99d91ac34cac51e,177565,4.19,4,49.46,8568023,1,97,35295179.58,0,0,1,ACADEMIC_COMPILATION,ESTIMATED,2025-10-22
2023-02-09,LV,PARLIAMENTARY,,LV_P20,57f0d1c84e7ba21a12f3f543,692860,19.364,22,40.98,8731361,0,23,3853454.34,0,1,3,MEDIA_VERIFIED_TALLY,FLAGGED,2026-01-09
2025-09-04,RO,PARLIAMENTARY,,RO_P21,46b28a22a9f76945d2f18d4f,103592,1.963,1,59.95,8802796,0,38,9370819.88,1,0,1,NATIONAL_ELECTION_COMMISSION,OK,2024-07-20
2022-05-08,BG,PARLIAMENTARY,,BG_P22,cb56f2437ddfa54aa75f9444,619242,12.518,10,56.19,8803761,1,19,47103676.46,0,1,7,OSCE_ODIHR,REVISED,2025-01-20
2022-11-23,FR,PARLIAMENTARY,,FR_P23,3028c4628e829a6c269fa3b2,1137283,17.583,9,72.27,8949854,1,14,21324714.37,1,0,0,ACADEMIC_COMPILATION,ESTIMATED,2024-03-05
2020-05-03,LT,PARLIAMENTARY,,LT_P24,3e61d9adee6471f74cfab977,553960,12.769,3,48.75,8898779,0,73,16161068.82,1,0,3,MEDIA_VERIFIED_TALLY,FLAGGED,2025-09-05
2010-12-04,SK,PARLIAMENTARY,,SK_P25,ca352e71fdb04283753243bc,322214,5.458,2,66.18,8920585,0,12,39026772.34,0,0,4,NATIONAL_ELECTION_COMMISSION,OK,2024-03-18
2023-06-21,HR,PARLIAMENTARY,,HR_P26,4b0a76e78a3d85352c6415f0,665826,14.527,9,50.37,9099561,0,17,13775645.89,1,0,4,OSCE_ODIHR,REVISED,2025-05-15
2025-08-29,DE,PARLIAMENTARY,,DE_P27,8a0494e72da8349a7c0f2025,803670,11.387,3,76.13,9270629,0,30,69594548.89,1,0,6,ACADEMIC_COMPILATION,ESTIMATED,2025-02-11
2010-12-03,LU,PARLIAMENTARY,,LU_P28,d82f1e27c48ce36440e71c01,1721593,21.281,15,86.94,9304919,0,27,31115270.47,1,1,5,MEDIA_VERIFIED_TALLY,FLAGGED,2025-12-29
2025-10-18,SI,PARLIAMENTARY,,SI_P29,67c778bb89d07f28b36534cf,678958,8.865,1,81.52,9395292,0,16,35735301.72,1,0,3,NATIONAL_ELECTION_COMMISSION,OK,2024-06-24
2022-12-31,CY,PARLIAMENTARY,,CY_P30,1ddc0ff82fcd6411d870a9d0,319173,4.87,1,67.75,9674527,1,68,81181118.76,1,0,7,OSCE_ODIHR,REVISED,2025-12-25
2015-03-16,GR,PARLIAMENTARY,,GR_P31,9f2e13ed6149b3787b1829ea,239712,6.741,7,36.7,9688773,0,25,12982627.68,0,0,4,ACADEMIC_COMPILATION,ESTIMATED,2025-07-07
2022-02-11,MT,PARLIAMENTARY,,MT_P32,a52bd2106db24aaf5ec2e8f5,625941,11.839,0,54.47,9706551,0,19,4236654.16,1,1,5,MEDIA_VERIFIED_TALLY,FLAGGED,2025-05-04
2024-07-29,ES,PARLIAMENTARY,,ES_P33,a4f8c247510725ba057b928e,640225,17.794,9,36.62,9825073,0,28,93016524.87,0,0,2,NATIONAL_ELECTION_COMMISSION,OK,2025-09-19
2015-01-11,CZ,PARLIAMENTARY,,CZ_P34,d986a4a89ecb8c250179afed,408324,11.003,7,37.44,9911491,0,65,84053212.61,0,0,5,OSCE_ODIHR,REVISED,2024-10-04
2017-04-23,HU,PARLIAMENTARY,,HU_P01,6929b5b1aa6d9fadc561e32d,151102,2.118,1,71.34,9999113,0,36,14777953.04,1,0,0,ACADEMIC_COMPILATION,ESTIMATED,2026-02-02
2019-12-03,NL,PARLIAMENTARY,,NL_P02,f85d7c9ebdcd8bba4ecfd380,1200798,19.617,22,61.21,10000155,0,39,48375582.89,1,0,4,MEDIA_VERIFIED_TALLY,FLAGGED,2025-12-26
2024-02-20,SE,PARLIAMENTARY,,SE_P03,2897ddf6136f601ec22f95a5,420174,11.609,4,35.24,10270224,0,123,29645034.9,1,1,0,NATIONAL_ELECTION_COMMISSION,OK,2025-04-23
2012-04-08,DK,PARLIAMENTARY,,DK_P04,59e2ea76505e05b1020779ee,598805,7.454,2,77.82,10322802,0,38,65771356.03,1,0,2,OSCE_ODIHR,REVISED,2025-01-13
2010-04-18,IE,PARLIAMENTARY,,IE_P05,a663d9e57f7599522c6fc5c2,808699,14.701,15,52.59,10460203,0,43,96235177.41,1,1,3,ACADEMIC_COMPILATION,ESTIMATED,2025-11-13
2024-11-30,PL,PARLIAMENTARY,,PL_P06,b8721e5b5183a6bf7054eaf5,369502,5.326,1,66.67,10406165,0,40,32272731.7,1,0,0,MEDIA_VERIFIED_TALLY,FLAGGED,2025-05-04
2016-06-15,AT,PARLIAMENTARY,,AT_P07,4b1ee0ab697b1a884c81e1f5,746031,13.562,9,51.93,10593226,0,32,59465732.24,0,1,7,NATIONAL_ELECTION_COMMISSION,OK,2025-09-06
2024-05-12,EE,PARLIAMENTARY,,EE_P08,2a18f60b63b68a8501e4ed8b,1054669,14.269,2,68.35,10813617,0,45,50204336.27,1,1,0,OSCE_ODIHR,REVISED,2025-05-01
2016-01-28,IT,PARLIAMENTARY,,IT_P09,2c6daeedee4ad0386e6e5c3d,693926,13.613,8,47.08,10827732,0,37,61489075.58,1,0,1,ACADEMIC_COMPILATION,ESTIMATED,2024-02-14
2012-01-05,PT,PARLIAMENTARY,,PT_P10,38fca85a40234d0013e647f4,65162,1.109,0,53.73,10934303,0,43,67376388.82,1,0,0,MEDIA_VERIFIED_TALLY,FLAGGED,2025-12-13
2019-05-03,BE,PARLIAMENTARY,,BE_P11,f53ef3a666e9751b27f3cdb5,221561,3.127,3,65.35,10840857,1,142,57905664.04,1,0,2,NATIONAL_ELECTION_COMMISSION,OK,2025-07-12
2012-02-23,FI,PARLIAMENTARY,,FI_P12,c7c1ded8a3ac2d3bf3937029,884178,15.613,18,51.83,10925965,0,51,43555893.57,1,0,3,OSCE_ODIHR,REVISED,2025-07-16
2017-03-21,LV,PARLIAMENTARY,,LV_P13,f8da16b00e74b1738577da9d,1348850,20.147,9,59.29,11291934,1,45,57925477.18,0,0,4,ACADEMIC_COMPILATION,ESTIMATED,2025-11-01
2015-02-21,RO,PARLIAMENTARY,,RO_P14,8b7ca8f66e425d1f5a6025a6,1447919,17.609,19,73.9,11126847,0,38,61545081.96,0,0,2,MEDIA_VERIFIED_TALLY,FLAGGED,2024-10-23
2019-05-22,BG,PARLIAMENTARY,,BG_P15,f8d3c57066bb87bf31838c6a,1828521,19.194,19,83.79,11369283,0,128,22561409.56,1,0,3,NATIONAL_ELECTION_COMMISSION,OK,2025-12-25
2010-12-07,FR,PARLIAMENTARY,,FR_P16,03ea5db5340ac28d7a1bb481,84304,0.867,0,83.89,11595636,0,50,72655602.31,1,0,5,OSCE_ODIHR,REVISED,2025-01-14
2020-12-10,LT,PARLIAMENTARY,,LT_P17,e6b6dfffc97a1a6eeedbc2e4,952296,16.235,12,50.63,11585256,0,91,66707846.55,0,0,2,ACADEMIC_COMPILATION,ESTIMATED,2025-11-14
2010-03-06,SK,PARLIAMENTARY,,SK_P18,6f00bf69b855902878b05613,206840,2.55,2,69.94,11599059,0,44,1739734.47,1,0,6,MEDIA_VERIFIED_TALLY,FLAGGED,2025-04-02
2010-10-01,HR,PARLIAMENTARY,,HR_P19,f4837db577141cd8d8f51fba,861588,12.086,5,61.46,11598788,0,12,27166732.29,1,0,3,NATIONAL_ELECTION_COMMISSION,OK,2024-10-22
2017-08-19,DE,PARLIAMENTARY,,DE_P20,25589859aa08bbed2ca2fdb4,540487,8.494,7,53.23,11954775,0,11,14308175.49,1,0,1,OSCE_ODIHR,REVISED,2025-10-01
2013-01-21,LU,PARLIAMENTARY,,LU_P21,88abd2609e841eb4d486d4cc,329513,4.167,3,66.8,11836880,0,3,77420768.34,0,0,0,ACADEMIC_COMPILATION,ESTIMATED,2024-02-19
2012-08-09,SI,PARLIAMENTARY,,SI_P22,44206643651f62fc5d8cb107,1080987,19.462,6,46.45,11957744,0,10,83305895.21,0,1,1,MEDIA_VERIFIED_TALLY,FLAGGED,2024-01-02
2020-05-01,CY,PARLIAMENTARY,,CY_P23,349c866dccc4bd941f48c376,757258,11.109,6,56.9,11979695,0,18,3526060.29,1,0,3,NATIONAL_ELECTION_COMMISSION,OK,2025-03-02
