demo_migflow_move_year,demo_migflow_origin_lgd_code,demo_migflow_destination_lgd_code,demo_migflow_move_type_code,demo_migflow_age_at_move,demo_migflow_household_size_at_move,demo_migflow_primary_reason_for_move,demo_migflow_housing_tenure_before_move,demo_migflow_housing_tenure_after_move,demo_migflow_distance_km_estimate,demo_migflow_commute_change_minutes,demo_migflow_income_bracket_before_move,demo_migflow_income_bracket_after_move,demo_migflow_education_level,demo_migflow_citizenship_status,demo_migflow_foreign_born_indicator,demo_migflow_interstate_flow_count,demo_migflow_intrastate_flow_count,demo_migflow_survey_weight,demo_migflow_data_collection_wave
2023,75805375,42923021,INTERSTATE,63,6,Employment,Employer,Owned,2682,105,6L_10L,lt_1L,Higher_secondary,OCI,N,3176,4855,3.906,W4
2021,40316552,78961934,INTERNATIONAL,8,1,Other,Employer,Owned,1976,178,lt_1L,6L_10L,Secondary,Indian_Citizen,Y,2513,3088,3.51,W3
2023,50786953,51758277,INTERNATIONAL,33,10,Other,Rented,Informal,1146,159,lt_1L,3L_6L,No_schooling,OCI,Y,3592,4932,2.08,W2
2017,34835379,79528884,INTERSTATE,53,5,Housing,Employer,Owned,2743,17,lt_1L,3L_6L,Graduate,Other,N,4340,4792,0.499,W5
2021,39835320,39908599,INTRASTATE,1,6,Education,Other,Informal,1702,30,3L_6L,3L_6L,Graduate,OCI,Y,4707,2595,2.361,W4
2016,45964674,41544600,INTERSTATE,57,5,Climate,Other,Employer,1436,34,gt_10L,1L_3L,Higher_secondary,Other,Y,3195,1167,3.891,W3
2018,21185177,35113396,INTERNATIONAL,48,3,Employment,Owned,Rented,188,27,1L_3L,6L_10L,Higher_secondary,Foreign_National,N,1938,3877,1.902,W1
2019,14417378,10318109,INTERSTATE,83,9,Climate,Other,Other,496,147,lt_1L,3L_6L,Graduate,Other,Y,1420,3125,3.68,W5
2017,23869598,90681569,INTERSTATE,18,7,Marriage,Other,Informal,2257,116,gt_10L,gt_10L,Primary,Indian_Citizen,N,3667,943,1.19,W3
2016,64515885,73443719,INTERNATIONAL,53,6,Education,Employer,Owned,2587,9,6L_10L,3L_6L,Higher_secondary,Foreign_National,N,3577,3270,4.611,W3
2025,65874190,71377746,INTERSTATE,63,3,Employment,Employer,Informal,2284,-33,6L_10L,gt_10L,Primary,Indian_Citizen,Y,3554,3034,3.256,W2
2021,65138406,16538067,INTERSTATE,8,2,Climate,Informal,Other,2832,-30,lt_1L,lt_1L,No_schooling,Foreign_National,N,3229,2195,4.814,W4
2019,83003251,21440393,INTERNATIONAL,60,5,Climate,Other,Informal,495,63,gt_10L,gt_10L,Primary,Other,Y,1821,1138,4.671,W1
2023,72382684,30492659,INTRASTATE,15,7,Employment,Informal,Rented,1753,64,1L_3L,gt_10L,Graduate,Other,N,3019,1945,3.34,W3
2025,57776729,16553459,INTERNATIONAL,56,2,Employment,Employer,Employer,733,-58,1L_3L,gt_10L,Secondary,Other,Y,4582,4277,4.661,W3
2018,26933975,73443719,INTERSTATE,85,2,Other,Owned,Other,871,61,6L_10L,6L_10L,Secondary,Other,Y,1483,608,3.406,W2
2023,80648637,50721361,INTERSTATE,86,9,Employment,Other,Employer,2792,-36,3L_6L,6L_10L,Postgraduate,OCI,Y,2358,1655,2.714,W4
2017,12237252,24708399,INTERNATIONAL,44,10,Climate,Owned,Rented,1023,68,1L_3L,1L_3L,Graduate,OCI,Y,3829,4350,0.625,W3
2023,86366287,16444909,INTERSTATE,53,5,Other,Employer,Informal,755,146,6L_10L,gt_10L,Secondary,Indian_Citizen,Y,3296,2049,1.675,W4
2018,88338741,76635429,INTRASTATE,9,3,Marriage,Employer,Other,1460,-48,1L_3L,6L_10L,Secondary,OCI,Y,3079,1251,4.018,W2
2016,17351214,65190436,INTERNATIONAL,39,9,Education,Rented,Owned,2914,35,1L_3L,1L_3L,Postgraduate,OCI,N,2014,3768,3.047,W2
2017,44625559,53383622,INTERSTATE,52,2,Other,Informal,Employer,2900,180,lt_1L,3L_6L,Primary,OCI,Y,684,1221,4.297,W2
2020,61000938,30951521,INTERNATIONAL,7,1,Marriage,Owned,Employer,1757,3,1L_3L,gt_10L,Postgraduate,Indian_Citizen,Y,3372,2342,4.086,W2
2025,69816593,10977248,INTRASTATE,24,10,Education,Owned,Employer,982,86,1L_3L,gt_10L,Postgraduate,OCI,Y,4280,1918,4.713,W2
2021,42539640,80580300,INTERNATIONAL,24,4,Family,Employer,Other,444,15,1L_3L,gt_10L,Primary,Other,N,4525,4831,3.14,W3
2020,29934174,39837673,INTERSTATE,29,6,Climate,Employer,Rented,329,20,gt_10L,6L_10L,Postgraduate,Indian_Citizen,Y,2461,540,3.45,W2
2023,46700565,93634014,INTERSTATE,32,8,Housing,Rented,Other,2175,171,3L_6L,6L_10L,Postgraduate,OCI,Y,3674,3697,3.068,W3
2021,28353510,16838183,INTERNATIONAL,36,4,Family,Employer,Informal,1924,67,gt_10L,6L_10L,Higher_secondary,OCI,Y,4930,3747,4.596,W4
2024,65235690,65574007,INTERSTATE,7,4,Other,Other,Informal,2006,37,gt_10L,1L_3L,Graduate,Foreign_National,Y,4072,3829,3.759,W5
2020,81435314,56577430,INTERSTATE,71,10,Climate,Informal,Other,1465,-25,1L_3L,gt_10L,Secondary,Other,N,3333,1567,2.457,W5
2017,63891036,62270462,INTERSTATE,73,10,Family,Owned,Other,1025,36,6L_10L,3L_6L,Graduate,OCI,N,4268,4007,4.783,W3
2020,11497606,47233648,INTERSTATE,10,4,Housing,Informal,Other,554,124,lt_1L,3L_6L,Graduate,OCI,N,3467,2088,2.611,W4
2017,70617392,12848546,INTERSTATE,42,7,Marriage,Rented,Other,1236,9,lt_1L,1L_3L,Primary,Indian_Citizen,N,29,3633,4.635,W3
2025,76429231,20335748,INTERSTATE,42,8,Employment,Employer,Owned,2874,38,6L_10L,1L_3L,Postgraduate,Foreign_National,N,2316,3982,0.396,W5
2022,11101236,93762755,INTRASTATE,76,4,Family,Other,Rented,242,-45,gt_10L,3L_6L,Graduate,Other,N,1133,1716,0.245,W1
2019,72217297,35402095,INTERSTATE,56,8,Climate,Rented,Owned,2887,178,lt_1L,6L_10L,Primary,Indian_Citizen,Y,3061,2494,1.934,W1
2019,47569643,40337310,INTRASTATE,64,8,Housing,Owned,Owned,116,25,1L_3L,3L_6L,Postgraduate,Other,N,2589,3616,4.242,W5
2020,51683424,83511490,INTERNATIONAL,10,8,Education,Employer,Rented,112,138,6L_10L,3L_6L,Higher_secondary,Indian_Citizen,Y,1154,4879,3.019,W2
2020,51850671,86128743,INTRASTATE,84,5,Education,Owned,Employer,2754,158,gt_10L,1L_3L,Primary,Foreign_National,Y,2778,4748,1.48,W1
2016,31452809,67895478,INTERSTATE,73,5,Marriage,Informal,Owned,2113,-58,6L_10L,3L_6L,Graduate,Foreign_National,Y,1139,3655,1.309,W1
2018,30739195,34373146,INTRASTATE,9,2,Climate,Owned,Owned,66,-29,6L_10L,gt_10L,Higher_secondary,Indian_Citizen,N,2484,3050,4.084,W3
2022,81801372,87482786,INTERNATIONAL,34,5,Marriage,Rented,Owned,1791,114,3L_6L,3L_6L,Secondary,Foreign_National,N,2747,287,4.159,W2
2025,90972331,78762478,INTRASTATE,72,7,Other,Informal,Rented,2401,73,3L_6L,lt_1L,Secondary,Indian_Citizen,Y,2197,1449,1.483,W2
2017,76245917,52149148,INTRASTATE,49,6,Housing,Employer,Employer,2569,-28,gt_10L,1L_3L,Postgraduate,Foreign_National,Y,2857,3468,0.7,W2
2022,13365488,67038507,INTRASTATE,24,5,Employment,Other,Owned,255,44,lt_1L,lt_1L,Higher_secondary,Foreign_National,N,4804,4341,3.971,W5
2016,19811687,23351465,INTERNATIONAL,62,2,Employment,Owned,Other,1315,74,1L_3L,3L_6L,Primary,Other,Y,3154,4227,2.525,W1
2022,87938321,94306433,INTERSTATE,73,6,Marriage,Other,Informal,1928,-19,3L_6L,1L_3L,Primary,Other,Y,3234,641,3.964,W5
2022,98397460,12978211,INTERNATIONAL,57,7,Marriage,Employer,Other,2092,152,1L_3L,1L_3L,Higher_secondary,Foreign_National,Y,134,2940,3.8,W2
2023,13466316,65979611,INTERSTATE,13,6,Marriage,Other,Rented,1552,123,gt_10L,lt_1L,Graduate,OCI,N,4773,745,4.945,W1
2018,34610352,93762755,INTRASTATE,60,2,Family,Owned,Owned,1281,97,6L_10L,lt_1L,Graduate,OCI,Y,114,1397,0.563,W4
2023,15843233,40357296,INTERSTATE,31,8,Education,Owned,Informal,398,164,lt_1L,1L_3L,Graduate,Indian_Citizen,Y,1185,1173,4.628,W2
2018,40611891,94676433,INTRASTATE,51,2,Housing,Other,Other,1636,150,3L_6L,1L_3L,Primary,Indian_Citizen,N,3645,738,4.373,W5
2019,47718692,17163932,INTERSTATE,68,10,Marriage,Other,Rented,1313,85,3L_6L,1L_3L,Postgraduate,Indian_Citizen,N,4509,4330,0.204,W4
2024,29587245,50312788,INTERNATIONAL,69,2,Employment,Other,Owned,2634,148,lt_1L,6L_10L,Higher_secondary,Indian_Citizen,Y,1492,1882,3.981,W1
2018,97314840,99805883,INTERNATIONAL,77,8,Housing,Informal,Owned,35,157,3L_6L,6L_10L,No_schooling,Foreign_National,Y,23,3382,2.988,W1
2021,64454264,12743181,INTERSTATE,36,2,Education,Owned,Other,2588,19,3L_6L,6L_10L,Graduate,Other,N,822,4101,4.172,W4
2021,73488006,58077112,INTERNATIONAL,66,8,Family,Owned,Rented,2864,24,gt_10L,6L_10L,Graduate,Other,Y,4432,1091,2.948,W4
2022,97768811,87424627,INTERSTATE,80,10,Education,Informal,Employer,989,101,1L_3L,3L_6L,Higher_secondary,Foreign_National,N,935,835,0.641,W3
2016,95782511,58784208,INTERSTATE,80,4,Marriage,Rented,Informal,438,170,1L_3L,1L_3L,Higher_secondary,Other,N,1750,4026,0.862,W3
2019,72196310,42999495,INTERNATIONAL,44,5,Other,Employer,Owned,1562,-29,1L_3L,lt_1L,Graduate,OCI,Y,3315,1829,2.891,W3
2023,18545595,87539692,INTERNATIONAL,48,10,Family,Owned,Owned,865,127,lt_1L,1L_3L,Postgraduate,Other,Y,2452,135,4.788,W1
2023,57313870,28255448,INTERSTATE,88,8,Marriage,Other,Other,2357,30,6L_10L,6L_10L,No_schooling,Foreign_National,N,2908,2282,4.049,W2
2023,68654904,55209260,INTERSTATE,34,7,Marriage,Informal,Informal,1454,100,6L_10L,3L_6L,Postgraduate,Other,N,3487,4183,0.169,W2
2020,47002328,20645363,INTERNATIONAL,50,4,Education,Employer,Rented,1786,-41,lt_1L,lt_1L,Graduate,Indian_Citizen,N,368,4578,4.495,W3
2023,57289045,93907959,INTERNATIONAL,43,8,Marriage,Informal,Employer,674,-38,6L_10L,lt_1L,Secondary,Other,N,4188,1546,1.901,W4
2019,46010078,26426987,INTERSTATE,26,5,Education,Other,Employer,1368,-9,3L_6L,1L_3L,Higher_secondary,Foreign_National,N,4770,338,0.542,W1
2024,89861588,52721187,INTERSTATE,36,5,Family,Employer,Owned,2078,168,1L_3L,gt_10L,Secondary,OCI,Y,840,1563,1.546,W4
2023,55233690,74261958,INTERSTATE,66,8,Employment,Employer,Rented,2812,135,3L_6L,gt_10L,No_schooling,OCI,N,3940,4986,3.8,W2
2017,29526398,26580130,INTRASTATE,84,5,Family,Rented,Owned,1258,15,6L_10L,gt_10L,No_schooling,OCI,N,1764,3834,3.691,W1
2022,37812963,48543201,INTERNATIONAL,29,7,Marriage,Employer,Other,423,173,6L_10L,gt_10L,Secondary,Other,N,3741,837,1.995,W4
2022,47269884,76635429,INTERNATIONAL,25,9,Employment,Employer,Rented,2854,144,gt_10L,6L_10L,No_schooling,Indian_Citizen,N,406,2727,4.593,W4
2021,20664767,56436230,INTRASTATE,77,6,Employment,Other,Rented,1261,0,3L_6L,1L_3L,Primary,Indian_Citizen,Y,3942,3386,0.525,W5
2017,80191816,36228045,INTERNATIONAL,41,5,Employment,Informal,Employer,1180,163,1L_3L,3L_6L,Postgraduate,Foreign_National,Y,175,4449,0.104,W5
2021,56749572,39326787,INTRASTATE,78,8,Family,Informal,Other,156,22,3L_6L,gt_10L,Higher_secondary,Foreign_National,Y,4833,40,1.449,W3
2025,63316239,42999495,INTERNATIONAL,19,3,Climate,Owned,Rented,2548,6,1L_3L,3L_6L,Primary,OCI,Y,247,1579,2.216,W3
2018,83144244,14028308,INTERSTATE,72,7,Other,Other,Informal,1051,-35,gt_10L,gt_10L,Postgraduate,Foreign_National,N,2244,4963,1.575,W4
2018,96907226,46035186,INTERSTATE,44,7,Family,Informal,Rented,2078,101,3L_6L,6L_10L,Secondary,Other,N,4372,3605,1.444,W2
2017,92779714,30378602,INTERSTATE,65,9,Family,Informal,Employer,2233,-2,lt_1L,lt_1L,Graduate,Other,N,939,408,2.977,W4
2016,40017223,24185854,INTERNATIONAL,49,7,Other,Informal,Informal,1770,137,gt_10L,1L_3L,Higher_secondary,Foreign_National,N,1439,4011,3.339,W5
2023,38558668,79811637,INTERSTATE,48,3,Education,Employer,Rented,1545,3,3L_6L,lt_1L,Secondary,Other,N,738,1822,4.372,W4
2024,89833201,99482207,INTERSTATE,43,4,Climate,Employer,Informal,1382,16,6L_10L,1L_3L,Secondary,Other,N,3004,1803,2.458,W4
2024,96993424,58492387,INTRASTATE,49,10,Housing,Owned,Other,1307,77,6L_10L,gt_10L,Postgraduate,Other,N,2507,664,0.122,W1
2023,76523864,69214209,INTRASTATE,46,4,Climate,Rented,Owned,812,-58,lt_1L,6L_10L,No_schooling,Foreign_National,Y,4029,84,3.082,W3
2023,71651598,36328770,INTRASTATE,47,4,Marriage,Rented,Employer,820,-48,1L_3L,6L_10L,Primary,Foreign_National,Y,4956,1513,2.769,W5
2018,29770461,73496384,INTERSTATE,27,3,Other,Other,Other,1073,-14,gt_10L,lt_1L,No_schooling,OCI,Y,1928,1768,2.631,W5
2017,55804798,44076910,INTERSTATE,69,4,Housing,Rented,Rented,1332,-37,lt_1L,gt_10L,Postgraduate,Other,Y,2873,533,4.466,W3
2017,97743215,63492908,INTRASTATE,58,1,Employment,Informal,Informal,1763,135,3L_6L,1L_3L,No_schooling,Foreign_National,Y,4752,1591,4.077,W2
2024,94176082,25014020,INTRASTATE,47,8,Housing,Other,Other,2061,122,1L_3L,lt_1L,Postgraduate,Indian_Citizen,N,2456,2752,4.095,W2
2020,40576842,51758277,INTERSTATE,13,6,Other,Owned,Rented,976,-34,1L_3L,1L_3L,Secondary,Indian_Citizen,N,172,4214,4.646,W2
2020,22920351,22095950,INTERNATIONAL,36,1,Education,Owned,Employer,1880,117,lt_1L,1L_3L,No_schooling,Foreign_National,N,8,226,4.494,W2
2018,38440910,60101536,INTERNATIONAL,66,1,Housing,Informal,Informal,2651,95,1L_3L,lt_1L,Higher_secondary,Other,Y,1500,3642,0.463,W1
2018,62810000,48922268,INTERNATIONAL,38,7,Education,Employer,Other,1642,-58,1L_3L,1L_3L,Higher_secondary,OCI,Y,4871,3290,1.141,W2
2016,68444601,44743939,INTERSTATE,67,10,Employment,Rented,Other,322,-24,3L_6L,gt_10L,Primary,OCI,N,3790,1459,1.594,W3
2016,59013600,24043198,INTERNATIONAL,20,8,Climate,Employer,Owned,1257,-9,3L_6L,1L_3L,Secondary,OCI,N,4659,3842,1.072,W2
2016,86456173,97800945,INTERNATIONAL,70,7,Employment,Informal,Rented,1102,135,gt_10L,gt_10L,No_schooling,Other,N,2722,1921,0.744,W2
2021,65730461,56342559,INTERSTATE,34,8,Family,Rented,Other,218,-54,gt_10L,6L_10L,Higher_secondary,Other,N,1914,983,3.63,W4
2018,33396919,23831602,INTERSTATE,55,9,Marriage,Rented,Informal,204,169,1L_3L,gt_10L,Higher_secondary,Foreign_National,Y,4210,2815,3.247,W4
2023,47319225,86937294,INTERSTATE,0,8,Education,Employer,Rented,579,123,3L_6L,3L_6L,Graduate,Foreign_National,N,2418,3608,1.575,W1
2019,91825888,64398331,INTERSTATE,52,1,Climate,Employer,Rented,1360,139,3L_6L,gt_10L,Primary,OCI,N,1187,382,1.775,W5
2017,95913497,83773285,INTERSTATE,77,4,Marriage,Owned,Informal,2528,-3,6L_10L,3L_6L,Higher_secondary,Other,N,1041,3080,1.307,W2
2020,79491069,17270374,INTRASTATE,79,10,Family,Rented,Owned,2435,62,gt_10L,3L_6L,Higher_secondary,OCI,Y,3964,1576,1.039,W2
2023,46434018,19856612,INTERSTATE,67,10,Marriage,Owned,Owned,686,-20,6L_10L,lt_1L,Graduate,Indian_Citizen,N,4173,3167,3.116,W5
2022,94445922,15026356,INTERNATIONAL,16,2,Other,Employer,Rented,575,-37,6L_10L,gt_10L,No_schooling,OCI,Y,844,910,4.221,W4
2023,11868644,85111726,INTRASTATE,69,5,Other,Employer,Informal,990,-23,lt_1L,lt_1L,Primary,Foreign_National,N,1488,4494,4.056,W1
2020,92075481,72257662,INTERSTATE,86,1,Employment,Other,Employer,2484,-46,gt_10L,lt_1L,Postgraduate,OCI,Y,4919,212,3.822,W4
2016,33521545,19113086,INTRASTATE,4,1,Employment,Owned,Other,1593,144,1L_3L,1L_3L,Postgraduate,OCI,Y,677,4759,2.22,W4
2016,62216532,43248330,INTERSTATE,76,8,Education,Rented,Owned,1757,68,gt_10L,6L_10L,Primary,Indian_Citizen,Y,645,2438,1.084,W3
2023,10490535,21045206,INTERSTATE,32,2,Housing,Employer,Employer,170,120,6L_10L,6L_10L,Postgraduate,OCI,N,585,574,0.145,W2
2019,90691428,89892467,INTERNATIONAL,59,8,Family,Rented,Informal,2491,-25,3L_6L,3L_6L,Postgraduate,OCI,N,2980,3031,0.247,W1
2024,48829641,12848546,INTRASTATE,13,10,Marriage,Other,Owned,1594,-22,gt_10L,1L_3L,Postgraduate,Other,N,4289,3624,4.077,W3
2019,65638077,77371091,INTRASTATE,38,2,Marriage,Other,Informal,1077,70,6L_10L,lt_1L,Primary,Other,Y,260,703,1.167,W3
2017,71182279,63077674,INTERNATIONAL,62,5,Housing,Employer,Owned,1636,99,3L_6L,6L_10L,Primary,Other,Y,4894,1245,4.322,W4
2025,47688342,77712408,INTERSTATE,48,4,Employment,Employer,Owned,2480,-13,gt_10L,3L_6L,Primary,Other,Y,88,110,0.426,W1
2017,61119720,78179528,INTRASTATE,81,5,Climate,Owned,Rented,958,-42,3L_6L,1L_3L,Secondary,Other,Y,3154,1484,0.947,W4
2022,58897232,29026491,INTRASTATE,67,7,Education,Employer,Owned,860,160,3L_6L,gt_10L,Graduate,OCI,Y,714,1908,4.632,W2
2020,97298184,15646443,INTERSTATE,25,10,Education,Other,Owned,1515,126,lt_1L,lt_1L,Secondary,OCI,N,1953,1026,1.598,W1
2016,83258624,76144821,INTRASTATE,20,4,Marriage,Informal,Rented,1008,-22,gt_10L,gt_10L,Graduate,OCI,N,4256,4079,3.325,W5
2021,91635395,95297235,INTERNATIONAL,21,2,Housing,Other,Informal,2019,141,lt_1L,lt_1L,Graduate,Other,N,495,177,2.951,W2
2016,24782262,13424986,INTERSTATE,41,2,Climate,Employer,Rented,2547,122,gt_10L,3L_6L,Graduate,Foreign_National,N,2071,3975,1.51,W4
2023,95695316,78783810,INTRASTATE,39,2,Employment,Employer,Other,2275,150,lt_1L,lt_1L,Primary,Other,Y,1041,2727,2.003,W5
2017,27079272,38527188,INTERNATIONAL,55,2,Marriage,Other,Informal,2129,33,gt_10L,6L_10L,Postgraduate,Other,Y,1232,2866,3.025,W2
2022,99237880,89728835,INTRASTATE,80,10,Housing,Rented,Informal,2645,91,gt_10L,3L_6L,Secondary,OCI,N,3384,717,0.815,W3
