soc_poverty_reference_year,soc_poverty_country_iso2,soc_poverty_region_nuts_code,soc_poverty_age_group,soc_poverty_sex,soc_poverty_equivalised_disposable_income_eur,soc_poverty_median_income_eur,soc_poverty_at_risk_of_poverty_rate_pct,soc_poverty_severe_material_deprivation_rate_pct,soc_poverty_low_work_intensity_rate_pct,soc_poverty_arope_rate_pct,soc_poverty_gini_coefficient,soc_poverty_in_work_poverty_rate_pct,soc_poverty_housing_cost_overburden_rate_pct,soc_poverty_energy_poverty_rate_pct,soc_poverty_social_transfer_impact_pp,soc_poverty_minimum_income_adequacy_index,soc_poverty_eurostat_table_code,soc_poverty_survey_weight,soc_poverty_data_extract_date
2026,LV,NL190,50-64,M,13593.28,17112.74,31.47,4.43,16.75,39.28,23.03,5.54,14.79,23.3,6.87,0.9109,ilc_lvhl11,2.5272,2025-10-25
2010,PL,CY294,0-17,F,13883.5,12188.96,31.38,7.64,7.97,33.97,31.27,7.79,11.38,17.55,12.68,0.388,ilc_peps01n,0.9763,2025-12-09
2011,ES,ES47,25-49,T,24896.96,33330.37,20.9,10.15,2.97,26.67,35.51,4.58,3.91,8.12,5.18,0.4982,ilc_li02,0.8292,2024-11-26
2012,HR,SK755,65+,M,36816.4,31088.15,11.08,5.52,6.71,13.17,37.35,2.49,13.1,9.57,14.84,0.1911,ilc_lvho07,1.9644,2025-12-04
2013,FI,LV698,18-24,F,18784.76,20496.85,22.74,11.34,13.68,29.67,26.14,6.36,15.44,22.26,3.82,0.7401,ilc_di12,2.1315,2025-10-05
2014,IE,MT7,50-64,T,34941.22,27979.25,18.02,11.75,12.24,25.37,24.15,15.37,3.16,3.46,6.77,0.6028,ilc_lvhl11,1.7351,2025-05-01
2015,MT,LT302,0-17,M,38534.31,33316.33,12.38,8.6,12.99,16.37,35.21,5.66,9.88,10.73,7.29,0.9432,ilc_peps01n,2.1722,2025-01-28
2016,SK,GR135,25-49,F,31486.95,25617.73,30.04,5.33,14.68,36.2,20.6,15.62,6.09,1.78,7.66,0.6598,ilc_li02,1.2397,2026-01-04
2017,BE,DE39,65+,T,14875.49,12480.41,17.61,8.7,11.87,25.31,23.71,2.49,4.41,3.6,8.6,0.8367,ilc_lvho07,2.1657,2026-01-24
2018,DK,BE9,18-24,M,30584.57,26544.5,15.89,3.88,9.57,17.95,34.89,3.31,13.34,14.1,3.64,0.7554,ilc_di12,1.3972,2024-08-06
2019,GR,FR9,50-64,F,10960.93,19191.2,19.56,5.77,8.08,23.98,34.34,3.05,6.6,19.93,14.3,0.4154,ilc_lvhl11,3.0147,2025-12-24
2020,LT,PL6,0-17,T,19631.7,17821.69,20.8,2.58,16.76,24.57,28.16,3.91,12.18,17.81,13.71,0.4998,ilc_peps01n,2.3114,2026-02-21
2021,PT,NL22,25-49,M,35550.02,26791.52,11.21,6.2,14.5,16.37,38.19,9.08,6.05,11.42,16.66,0.6869,ilc_li02,2.6178,2024-01-25
2022,SE,IT9,65+,F,5286.47,9533.54,12.86,10.02,7.17,18.89,40.34,15.94,9.36,23.81,15.44,0.8404,ilc_lvho07,0.6042,2025-08-30
2023,CY,CZ84,18-24,T,36258.68,27479.09,9.76,1.55,7.04,10.28,38.38,3.0,9.25,13.59,16.3,0.9374,ilc_di12,1.2515,2025-12-07
2024,FR,LT27,50-64,M,37484.44,30189.21,10.81,4.25,11.86,15.77,31.08,11.26,14.84,16.44,15.75,0.2492,ilc_lvhl11,2.2742,2024-06-02
2025,IT,ES55,0-17,F,22286.33,28365.7,18.37,12.04,4.13,24.71,27.64,6.12,4.0,5.92,9.6,0.4438,ilc_peps01n,3.4873,2025-06-17
2026,NL,PL4,25-49,T,21733.17,16274.57,18.89,4.38,8.01,24.6,32.52,8.03,8.92,20.46,15.58,0.199,ilc_li02,2.4081,2025-05-28
2010,SI,LU482,65+,M,28939.23,27978.0,13.58,5.19,5.59,18.07,26.64,3.39,8.4,9.62,15.61,0.4739,ilc_lvho07,0.4125,2025-03-23
2011,BG,BG6,18-24,F,26405.81,27071.69,8.03,12.23,1.08,10.81,31.88,9.32,7.78,13.56,10.23,0.5812,ilc_di12,2.7251,2024-01-19
2012,EE,LT1,50-64,T,19719.17,19459.21,10.9,3.39,9.79,15.79,32.05,3.33,15.33,19.37,15.22,0.1731,ilc_lvhl11,0.3401,2024-02-11
2013,HU,SK765,0-17,M,17129.97,21925.98,26.5,9.07,13.28,33.65,30.32,4.7,8.89,10.6,11.7,0.4176,ilc_peps01n,3.0295,2025-08-13
2014,LU,SK3,25-49,F,27889.08,33573.92,7.07,2.35,17.48,12.96,21.46,11.99,9.55,3.34,13.42,0.388,ilc_li02,0.6829,2024-10-04
2015,RO,HR64,65+,T,17401.95,23000.02,23.61,10.23,10.06,30.7,41.33,14.82,9.43,18.0,16.91,0.3302,ilc_lvho07,2.4607,2025-04-12
2016,AT,IE2,18-24,M,39494.97,33850.13,6.46,8.65,14.46,13.73,23.87,9.99,5.21,22.42,3.64,0.7283,ilc_di12,1.9114,2026-02-20
2017,CZ,FR475,50-64,F,14535.21,17419.08,21.38,10.52,17.54,28.82,23.99,2.66,7.1,15.29,10.06,0.6407,ilc_lvhl11,3.3242,2025-06-21
2018,DE,AT4,0-17,T,24883.38,24258.39,6.9,7.2,9.57,11.78,34.47,10.56,10.23,23.95,14.4,0.7592,ilc_peps01n,3.4535,2025-03-14
2019,LV,EE61,25-49,M,22319.82,19036.13,27.82,5.63,12.09,33.86,30.17,4.52,13.36,9.15,14.23,0.5539,ilc_li02,3.2284,2025-11-05
2020,PL,PL13,65+,F,23870.8,23011.59,19.81,7.25,17.96,29.16,37.61,3.4,13.39,10.08,5.67,0.2165,ilc_lvho07,3.166,2024-03-13
2021,ES,LV30,18-24,T,23030.2,17881.21,11.08,2.1,14.95,14.17,25.9,4.47,6.93,4.91,9.64,0.161,ilc_di12,3.4081,2026-01-11
2022,HR,CY2,50-64,M,36961.66,28271.14,30.67,10.44,9.48,35.71,29.93,9.47,13.6,6.77,6.81,0.3355,ilc_lvhl11,0.4753,2025-08-03
2023,FI,DE205,0-17,F,13401.14,18372.6,17.22,11.35,11.82,25.6,20.23,10.15,15.81,9.85,13.11,0.9399,ilc_peps01n,0.9388,2025-12-23
2024,IE,LU389,25-49,T,13553.67,10780.98,10.61,4.45,6.57,15.52,22.82,5.65,5.03,14.24,16.14,0.8535,ilc_li02,1.6664,2024-01-10
2025,MT,ES401,65+,M,39690.64,29403.55,27.76,6.03,6.24,32.81,36.91,7.89,5.93,1.8,12.03,0.6606,ilc_lvho07,1.0157,2024-11-05
2026,SK,AT106,18-24,F,9965.53,9879.26,29.85,0.61,7.75,32.78,27.68,3.42,17.73,13.95,8.83,0.2528,ilc_di12,0.8404,2024-02-14
2010,BE,ES945,50-64,T,21270.77,25150.94,21.8,2.07,15.3,25.4,37.79,12.95,5.33,2.66,8.43,0.1739,ilc_lvhl11,1.1014,2025-11-14
2011,DK,PL5,0-17,M,26917.66,30475.56,18.45,6.56,17.94,24.67,38.1,8.41,14.18,3.04,6.93,0.2998,ilc_peps01n,2.9307,2024-02-06
2012,GR,FI55,25-49,F,23417.04,21198.86,7.06,1.19,3.71,10.46,21.18,8.59,13.76,1.7,14.32,0.9372,ilc_li02,3.444,2025-09-21
2013,LT,RO3,65+,T,21563.59,19598.75,17.81,0.5,3.28,18.94,35.06,8.02,12.84,10.97,14.42,0.7872,ilc_lvho07,2.7543,2025-11-27
2014,PT,HR987,18-24,M,19284.23,33060.79,12.81,7.64,17.92,20.97,21.68,15.06,12.52,21.25,3.61,0.4319,ilc_di12,1.9132,2024-10-12
2015,SE,CZ4,50-64,F,38340.66,32162.16,22.26,6.56,9.4,26.86,37.62,2.63,5.33,22.77,17.45,0.2153,ilc_lvhl11,0.644,2024-02-27
2016,CY,HR38,0-17,T,30646.24,29512.55,23.57,1.91,5.21,23.23,35.49,6.69,16.03,3.62,6.06,0.6607,ilc_peps01n,3.5198,2025-06-30
2017,FR,DK866,25-49,M,18767.9,21287.87,9.4,3.66,2.04,10.42,32.52,9.07,8.66,11.76,16.47,0.211,ilc_li02,2.949,2025-07-05
2018,IT,SE15,65+,F,17526.21,22672.25,15.85,11.08,8.15,24.18,39.35,10.36,14.86,11.61,5.87,0.328,ilc_lvho07,3.2544,2026-02-22
2019,NL,LV396,18-24,T,34995.67,28641.88,22.44,12.16,11.8,30.66,32.41,13.22,3.96,10.78,15.23,0.8292,ilc_di12,0.8064,2025-06-12
2020,SI,PL36,50-64,M,38105.99,32393.81,25.13,8.91,9.96,31.1,39.25,5.04,7.9,1.92,12.18,0.8806,ilc_lvhl11,2.8565,2024-09-25
2021,BG,IE953,0-17,F,37604.79,28249.62,29.12,0.74,16.23,35.9,25.52,11.61,13.77,10.33,7.04,0.5524,ilc_peps01n,2.8348,2025-03-23
2022,EE,CY3,25-49,T,20982.78,16189.47,11.43,8.11,8.75,15.35,30.01,7.28,19.31,4.4,8.56,0.6048,ilc_li02,3.5553,2025-03-28
2023,HU,LT55,65+,M,9319.99,9708.28,30.23,10.05,11.37,35.98,22.12,4.76,6.04,15.84,5.69,0.4007,ilc_lvho07,2.601,2024-07-16
2024,LU,CY152,18-24,F,35324.21,31834.96,30.32,1.6,3.03,32.44,30.98,3.6,8.06,9.57,15.58,0.2807,ilc_di12,3.2904,2025-09-29
2025,RO,SK169,50-64,T,16871.6,20740.37,9.89,9.23,16.87,17.87,27.38,11.01,17.58,13.3,9.96,0.5238,ilc_lvhl11,1.0642,2024-04-12
2026,AT,LU82,0-17,M,18326.48,13830.7,23.35,2.75,1.14,24.9,34.96,2.47,5.89,1.89,15.88,0.5525,ilc_peps01n,3.0123,2025-03-05
2010,CZ,BE455,25-49,F,17541.27,18372.91,31.82,7.94,10.8,38.04,22.27,9.63,9.34,1.67,10.36,0.7428,ilc_li02,1.5382,2024-10-09
2011,DE,PT100,65+,T,40515.68,33659.44,17.27,6.78,1.86,20.82,25.3,7.12,17.58,11.74,17.29,0.2087,ilc_lvho07,1.4416,2024-12-10
2012,LV,SE182,18-24,M,8085.92,13937.52,30.01,5.77,4.46,32.36,33.37,3.59,11.67,14.14,8.68,0.4051,ilc_di12,0.4793,2024-01-06
2013,PL,PT34,50-64,F,22375.69,30697.38,15.37,2.76,10.78,21.1,33.96,14.87,13.4,23.17,3.05,0.3995,ilc_lvhl11,1.3017,2024-08-17
2014,ES,ES45,0-17,T,18429.63,21197.01,29.9,10.43,1.24,33.73,34.19,6.76,14.08,18.26,16.37,0.6655,ilc_peps01n,3.3397,2024-09-10
2015,HR,AT290,25-49,M,7283.7,13163.61,18.36,4.87,17.43,25.97,33.78,12.33,20.22,5.27,10.38,0.6481,ilc_li02,1.778,2024-07-25
2016,FI,FR1,65+,F,15022.25,26630.55,24.8,4.55,3.69,28.29,40.82,9.32,8.06,17.8,6.58,0.5743,ilc_lvho07,1.6106,2025-03-24
2017,IE,HU36,18-24,T,11889.51,9649.25,31.31,8.57,3.34,34.02,24.24,6.36,5.79,5.82,16.41,0.2589,ilc_di12,3.3393,2025-09-03
2018,MT,EE19,50-64,M,9725.04,13132.71,13.26,9.38,13.91,21.32,25.2,15.42,21.0,9.59,3.73,0.8221,ilc_lvhl11,2.2647,2025-02-11
2019,SK,AT611,0-17,F,18173.12,15240.21,31.42,10.52,17.68,40.12,34.23,12.78,15.64,18.89,4.74,0.4156,ilc_peps01n,1.0574,2024-06-12
2020,BE,HU399,25-49,T,15317.07,12704.32,6.87,8.88,4.57,10.59,36.17,7.44,19.7,3.92,6.57,0.8474,ilc_li02,2.5639,2024-09-24
2021,DK,HU99,65+,M,15915.98,14303.58,15.01,7.28,2.78,16.26,36.53,6.98,11.21,11.7,16.88,0.2343,ilc_lvho07,0.3072,2025-06-21
2022,GR,FI2,18-24,F,12283.94,16272.51,7.59,7.25,8.47,11.66,28.53,3.28,11.19,6.05,5.89,0.593,ilc_di12,2.3028,2025-08-17
2023,LT,FR10,50-64,T,19410.08,30742.29,20.19,4.94,5.49,23.43,23.78,12.97,16.87,15.85,10.47,0.5137,ilc_lvhl11,3.191,2026-01-20
2024,PT,DE55,0-17,M,30051.19,26315.39,25.95,2.99,1.79,29.7,28.07,13.73,14.27,13.15,9.79,0.3622,ilc_peps01n,3.1108,2024-11-01
2025,SE,LU99,25-49,F,14790.33,18837.0,16.7,5.51,1.53,16.64,21.67,15.96,19.16,1.24,4.18,0.7269,ilc_li02,1.336,2024-11-08
