health_chronic_surveillance_year,health_chronic_small_area_id,health_chronic_condition_code,health_chronic_prevalence_rate_pct,health_chronic_incidence_rate_per_100k,health_chronic_hospitalization_rate_per_100k,health_chronic_mortality_rate_per_100k,health_chronic_comorbidity_index,health_chronic_risk_factor_smoking_rate,health_chronic_risk_factor_obesity_rate,health_chronic_risk_factor_diabetes_rate,health_chronic_physical_activity_rate,health_chronic_diet_quality_score,health_chronic_medication_adherence_rate,health_chronic_preventive_screening_rate,health_chronic_avoidable_ed_visit_rate,health_chronic_healthcare_access_barrier_index,health_chronic_socioeconomic_deprivation_index,health_chronic_age_adjustment_standard,health_chronic_confidence_interval_width
2017,SA0000014,CAD,1.13,1528.95,626.26,832.29,4.87,14.22,41.56,7.66,75.8,94.1,51.11,22.07,540.06,0.7251,0.8855,2010_US_STD,3.649
2024,SA0000015,CKD,15.84,1725.98,145.43,287.54,0.84,23.15,44.25,10.5,40.37,69.5,53.28,53.21,502.22,0.3147,0.8366,2010_US_STD,0.526
2014,SA0000016,CANCER,2.62,1361.37,76.58,585.87,7.21,6.5,18.97,17.72,61.83,80.2,51.03,61.58,369.63,0.396,0.3602,2010_US_STD,5.911
2023,SA0000017,CAD,42.12,1636.9,1036.51,16.76,1.55,23.86,14.52,6.06,42.15,34.0,60.35,61.61,574.34,0.8693,0.5349,2010_US_STD,4.551
2020,SA0000018,STROKE,42.48,1607.03,824.08,153.45,1.53,18.68,33.97,6.52,75.46,54.0,92.55,28.72,824.55,0.4291,0.5766,2010_US_STD,4.862
2010,SA0000019,ARTHRITIS,36.72,810.01,267.51,392.05,2.57,7.15,32.51,17.55,63.92,7.0,70.12,71.59,77.29,0.5057,0.2798,2010_US_STD,0.555
2018,SA0000020,CANCER,33.17,590.83,555.54,617.28,5.11,24.37,21.72,17.6,73.81,20.8,75.19,58.67,503.2,0.6756,0.4588,2010_US_STD,2.971
2021,SA0000021,CANCER,3.11,344.28,111.16,94.84,0.46,25.42,21.93,9.87,61.56,6.6,72.73,21.97,414.11,0.5736,0.7736,2010_US_STD,0.915
2018,SA0000022,COPD,20.29,1343.51,65.47,767.71,4.25,5.11,29.39,16.51,68.54,43.1,69.73,82.5,420.3,0.475,0.5172,WHO_STD,3.421
2010,SA0000023,COPD,28.73,440.19,1023.5,893.13,2.91,27.56,21.81,5.55,44.46,64.2,52.55,72.83,806.37,0.7591,0.1643,2010_US_STD,0.596
2019,SA0000024,CAD,42.84,1172.51,928.42,171.45,2.27,9.4,23.39,8.21,40.67,85.5,84.26,41.34,24.35,0.3576,0.3224,2000_US_STD,4.826
2023,SA0000025,DEMENTIA,11.91,1627.53,420.58,170.31,1.14,22.57,29.46,16.51,63.6,2.8,87.76,38.07,563.72,0.2967,0.6284,2000_US_STD,2.531
2012,SA0000026,CANCER,20.37,720.01,826.28,86.8,5.7,26.56,34.99,16.34,73.68,50.8,78.67,89.23,862.05,0.401,0.1338,2000_US_STD,5.419
2021,SA0000027,DEMENTIA,31.22,1682.11,43.33,443.04,4.81,16.47,14.6,13.64,62.24,33.5,69.02,30.74,439.46,0.6268,0.7728,WHO_STD,3.878
2013,SA0000028,COPD,3.01,448.43,1155.36,335.56,4.08,22.62,43.6,11.19,75.63,60.6,59.9,21.59,898.5,0.6426,0.4184,2000_US_STD,5.594
2014,SA0000029,CANCER,28.22,1164.05,669.33,196.17,3.65,23.5,22.59,3.71,63.03,30.6,94.76,78.92,455.15,0.1565,0.0813,2000_US_STD,5.363
2017,SA0000030,STROKE,13.83,645.28,1065.47,445.67,7.59,24.68,22.47,6.79,35.13,44.8,64.18,30.77,232.78,0.0536,0.5314,2000_US_STD,5.252
2013,SA0000031,ARTHRITIS,35.05,1658.37,899.63,4.91,1.66,8.42,19.01,10.93,55.38,68.7,82.08,66.37,288.81,0.8163,0.233,2010_US_STD,1.942
2023,SA0000032,STROKE,22.16,1595.96,49.92,1.71,5.45,20.92,30.31,8.17,50.5,79.7,84.51,88.1,846.63,0.8592,0.4268,2010_US_STD,3.375
2023,SA0000033,ASTHMA,8.83,1006.01,210.12,281.44,1.04,26.97,31.17,2.61,39.8,41.6,63.95,20.26,871.93,0.2482,0.5951,WHO_STD,4.765
2011,SA0000034,COPD,13.21,462.15,851.73,811.42,4.13,16.98,18.57,7.36,44.37,52.9,74.25,72.2,84.27,0.9131,0.9015,2000_US_STD,4.048
2016,SA0000035,STROKE,15.46,899.72,517.17,47.17,3.98,3.09,37.9,14.25,72.8,21.6,81.78,64.31,292.68,0.0362,0.034,WHO_STD,0.811
2011,SA0000036,CANCER,5.67,808.94,640.62,2.32,4.29,11.7,21.57,2.55,77.77,25.9,50.03,84.21,181.99,0.7987,0.3258,WHO_STD,5.34
2014,SA0000037,ARTHRITIS,11.77,433.6,144.41,304.83,3.03,14.55,43.04,11.42,47.44,5.9,87.46,24.15,347.64,0.3984,0.1186,2000_US_STD,0.539
2020,SA0000038,HTN,31.21,70.21,140.6,732.51,0.68,21.7,18.73,16.47,35.26,73.9,81.14,22.62,667.96,0.7969,0.3829,2000_US_STD,3.837
2015,SA0000039,COPD,8.82,828.54,21.94,547.97,3.66,17.02,21.18,5.11,68.52,86.1,53.44,84.51,283.65,0.9242,0.8209,2010_US_STD,5.481
2011,SA0000040,DM2,28.31,1730.6,580.37,429.98,5.59,25.15,19.51,11.17,37.9,3.2,68.35,39.93,479.22,0.8576,0.5436,WHO_STD,0.223
2011,SA0000041,CANCER,5.42,503.07,234.8,720.62,3.0,26.21,44.36,12.32,75.43,60.3,88.6,70.96,890.52,0.0245,0.7055,WHO_STD,3.548
2013,SA0000042,CANCER,13.91,1786.86,761.45,810.95,5.47,12.7,41.21,2.62,65.1,95.7,54.36,65.67,53.36,0.02,0.2944,2010_US_STD,5.602
2024,SA0000043,COPD,19.25,584.28,187.78,76.99,4.42,16.23,46.45,6.89,36.8,30.4,76.83,84.08,576.96,0.8395,0.971,2010_US_STD,4.805
2018,SA0000044,ARTHRITIS,3.4,1122.17,846.68,688.55,5.56,23.24,30.67,5.97,46.43,3.2,92.56,26.72,623.74,0.1152,0.6203,2000_US_STD,4.157
2023,SA0000045,DEMENTIA,24.96,975.26,472.88,711.71,6.29,20.42,30.31,7.04,46.92,28.0,80.63,41.12,616.38,0.5552,0.7846,WHO_STD,5.393
2022,SA0000046,DEMENTIA,33.78,777.15,804.5,104.33,1.93,8.48,16.56,5.67,41.63,26.1,81.37,83.95,88.63,0.6618,0.0069,2010_US_STD,2.235
2013,SA0000047,COPD,18.35,1554.51,462.78,378.9,7.57,8.34,26.71,8.16,63.65,15.9,56.78,24.13,14.29,0.3868,0.9729,WHO_STD,2.048
2021,SA0000048,CAD,9.02,932.71,1022.86,78.85,4.7,25.24,17.35,9.1,46.97,34.5,59.08,54.72,688.38,0.8976,0.3858,2000_US_STD,4.208
2025,SA0000049,CKD,27.84,483.8,386.67,255.66,6.0,26.61,25.66,15.78,64.9,56.2,52.97,38.79,23.96,0.1549,0.8572,2010_US_STD,5.691
2017,SA0000050,STROKE,43.45,22.3,330.69,383.87,0.34,6.34,31.82,8.2,59.12,86.5,68.35,73.73,166.92,0.4138,0.9693,WHO_STD,5.613
2011,SA0000051,HTN,28.51,805.66,691.61,552.97,7.25,18.2,33.76,10.68,51.94,15.5,68.71,38.19,394.88,0.2348,0.6977,2010_US_STD,2.56
2024,SA0000052,DEMENTIA,11.95,1180.76,456.02,500.99,4.6,4.43,25.54,10.64,37.64,13.0,51.95,83.73,587.48,0.1032,0.5548,2010_US_STD,2.423
2013,SA0000053,CAD,40.26,320.32,923.93,458.81,7.19,26.85,15.4,14.97,55.83,48.6,72.34,76.73,532.43,0.824,0.1676,WHO_STD,1.654
2022,SA0000054,COPD,15.94,540.7,169.87,511.15,4.03,23.14,24.93,4.87,49.56,32.5,54.93,56.28,733.12,0.0801,0.408,2010_US_STD,5.841
2016,SA0000055,CKD,23.32,1362.31,1024.94,91.08,6.46,12.13,17.94,10.53,48.01,30.2,90.73,69.62,462.05,0.1629,0.116,WHO_STD,3.915
2025,SA0000056,DEMENTIA,42.13,929.7,391.55,633.52,5.17,14.57,45.05,8.01,40.99,36.8,45.65,25.92,271.8,0.0435,0.3158,2000_US_STD,0.526
2015,SA0000057,DEMENTIA,24.79,624.78,826.56,352.07,3.13,12.84,17.18,4.88,68.92,85.5,47.76,52.53,154.66,0.0294,0.0857,2010_US_STD,0.143
2023,SA0000058,CKD,41.74,1117.59,1172.15,338.26,7.5,26.26,27.13,12.56,64.67,48.6,59.53,41.62,281.91,0.9667,0.6328,WHO_STD,1.226
2017,SA0000059,DM2,21.41,131.2,966.99,225.09,1.24,11.04,13.05,15.37,72.95,46.7,54.75,79.87,744.49,0.2328,0.403,2010_US_STD,0.285
2021,SA0000060,ARTHRITIS,40.16,390.05,403.02,360.44,2.14,12.57,35.47,2.42,52.79,24.5,76.25,41.86,687.13,0.2861,0.2843,WHO_STD,4.146
2017,SA0000061,DEMENTIA,22.92,616.28,746.06,494.57,5.08,21.25,35.67,10.54,55.95,44.5,94.0,64.38,409.23,0.7987,0.0524,2010_US_STD,5.872
2016,SA0000062,ARTHRITIS,21.08,1467.77,543.21,485.4,0.36,18.66,15.46,12.71,42.21,64.6,67.78,86.8,634.84,0.6197,0.947,WHO_STD,3.048
2012,SA0000063,DM2,43.32,1696.38,310.32,16.96,1.09,3.72,34.58,9.08,60.68,63.5,82.62,64.09,259.27,0.3846,0.5142,2000_US_STD,2.351
2024,SA0000064,ASTHMA,18.72,379.54,851.79,335.59,7.82,18.86,17.49,7.67,52.59,70.8,72.37,82.61,360.56,0.7009,0.7924,WHO_STD,5.618
2020,SA0000065,CKD,20.95,761.97,256.24,172.69,5.92,27.84,28.47,16.39,33.91,45.4,76.87,81.26,70.25,0.3187,0.3885,WHO_STD,1.431
2017,SA0000066,CANCER,7.24,327.43,279.72,402.46,4.54,12.53,27.78,9.91,30.45,66.3,68.07,20.98,123.19,0.9426,0.2045,WHO_STD,2.218
2015,SA0000067,ASTHMA,20.38,120.96,252.58,199.53,7.8,19.44,32.01,2.42,34.28,97.0,80.35,74.69,632.48,0.012,0.9409,2000_US_STD,3.043
2021,SA0000068,DM2,2.13,288.63,122.97,492.97,3.52,3.82,19.41,12.59,55.38,79.1,54.61,45.59,268.82,0.4803,0.5404,2000_US_STD,4.111
2022,SA0000069,CKD,21.57,1723.01,1034.36,467.16,6.91,20.9,43.81,5.08,68.83,73.7,69.69,30.5,456.83,0.9048,0.397,2010_US_STD,3.246
2013,SA0000070,DEMENTIA,39.84,24.88,583.24,242.89,6.43,4.71,32.18,8.39,47.76,46.4,69.04,47.52,320.7,0.1418,0.2398,WHO_STD,2.463
2025,SA0000071,HTN,30.34,612.95,131.56,533.51,2.67,19.72,16.45,4.72,51.56,55.4,64.98,79.91,253.39,0.2422,0.5161,WHO_STD,2.824
2020,SA0000072,CKD,22.01,1709.23,1154.82,482.48,1.02,18.74,30.13,6.54,59.9,56.6,69.63,81.76,170.08,0.2397,0.4531,2000_US_STD,3.066
2019,SA0000073,HTN,41.21,210.57,53.63,271.16,4.6,22.14,26.47,11.99,73.87,64.6,71.2,84.33,262.97,0.2941,0.9123,2010_US_STD,2.197
2019,SA0000074,CANCER,19.81,1080.18,405.13,149.05,5.0,14.26,34.39,7.06,48.53,52.1,94.23,46.8,262.23,0.421,0.2991,2010_US_STD,5.735
2021,SA0000075,CKD,33.15,1367.67,396.6,290.83,3.32,22.74,22.45,10.06,64.91,85.9,79.33,69.21,731.68,0.302,0.6119,2000_US_STD,1.124
2021,SA0000076,DM2,7.47,119.8,1085.05,140.98,6.34,7.02,45.21,4.98,71.4,30.9,83.47,82.35,127.01,0.3418,0.5093,2010_US_STD,5.791
2011,SA0000077,COPD,17.83,568.45,367.08,218.69,5.96,8.47,37.87,16.84,55.3,30.8,93.4,46.05,80.65,0.3058,0.147,2000_US_STD,5.186
2024,SA0000078,HTN,29.77,1142.33,470.82,258.84,6.93,18.73,41.49,7.56,61.49,71.5,53.0,43.49,680.11,0.853,0.9477,2000_US_STD,2.189
2023,SA0000079,DM2,41.07,719.78,182.03,709.96,5.63,17.12,26.7,15.38,77.77,38.0,85.07,49.16,559.11,0.5481,0.0445,2000_US_STD,3.388
2024,SA0000080,HTN,31.97,1260.9,182.05,276.26,1.33,21.24,22.56,8.99,70.7,1.8,69.94,51.67,176.02,0.4453,0.2573,2000_US_STD,5.932
2021,SA0000081,CAD,35.11,808.1,528.51,213.45,5.04,18.47,41.51,15.75,31.64,36.8,55.52,60.94,754.3,0.8435,0.0182,WHO_STD,4.719
2024,SA0000082,ARTHRITIS,21.39,65.62,612.36,683.57,4.59,4.98,43.45,4.31,55.5,95.4,73.72,48.64,798.73,0.2002,0.5819,WHO_STD,2.664
2011,SA0000083,ARTHRITIS,5.83,593.25,219.2,882.4,2.48,12.55,36.96,14.57,34.89,22.8,71.89,65.07,694.54,0.6088,0.598,2010_US_STD,1.571
2025,SA0000084,CAD,21.1,693.94,1162.32,604.84,3.98,16.61,42.03,15.24,67.51,23.5,51.6,48.69,135.25,0.6297,0.9091,2010_US_STD,1.162
2024,SA0000085,CANCER,43.62,393.91,893.41,298.89,4.03,13.98,39.28,11.93,43.1,51.6,46.03,35.72,515.24,0.8317,0.2806,2010_US_STD,4.225
2025,SA0000086,DM2,20.57,1421.17,886.46,537.09,0.22,23.35,18.1,15.65,41.71,77.8,74.86,51.54,494.08,0.8572,0.4463,WHO_STD,1.456
2015,SA0000087,HTN,28.65,761.5,743.01,676.8,0.48,6.07,45.61,13.55,49.58,6.9,85.52,52.37,36.12,0.2089,0.3192,2000_US_STD,3.199
2017,SA0000088,ASTHMA,31.33,1252.74,210.3,249.61,4.58,16.17,28.14,3.97,43.61,5.8,46.72,43.42,534.5,0.9299,0.6765,WHO_STD,5.365
2024,SA0000089,CKD,13.66,214.05,549.6,329.37,7.41,10.66,42.81,17.63,71.4,27.5,71.92,55.53,492.52,0.7313,0.356,2000_US_STD,5.431
2013,SA0000090,CANCER,23.11,1502.48,182.79,646.5,2.21,21.09,35.5,11.36,33.56,28.7,61.75,27.26,521.48,0.1276,0.9335,WHO_STD,4.913
2023,SA0000091,CAD,10.93,889.58,969.52,177.76,1.41,22.08,31.23,2.94,56.54,1.8,66.18,62.36,600.64,0.39,0.4462,2010_US_STD,2.425
2024,SA0000092,DM2,2.14,1406.86,1003.09,425.6,2.53,23.72,18.04,12.21,55.0,29.2,78.25,67.72,123.99,0.1699,0.6584,2000_US_STD,4.635
2023,SA0000093,STROKE,28.5,971.95,635.85,674.75,0.5,8.38,16.55,3.73,48.34,13.0,57.99,65.04,676.5,0.2905,0.6773,2000_US_STD,3.708
2022,SA0000094,CAD,44.89,187.68,536.81,617.53,3.83,13.96,37.84,8.76,45.91,99.3,73.45,28.67,809.82,0.8183,0.094,WHO_STD,2.669
2011,SA0000095,DEMENTIA,8.86,226.0,212.88,815.11,4.27,4.53,28.89,4.59,64.09,80.5,70.86,44.46,232.0,0.0143,0.5888,2010_US_STD,2.818
2023,SA0000096,HTN,41.61,933.56,577.94,563.0,6.95,27.21,17.45,11.24,67.84,58.9,51.65,79.35,494.87,0.3321,0.4336,2000_US_STD,3.044
2018,SA0000097,ASTHMA,14.52,1603.36,65.02,168.6,2.0,13.08,46.81,17.09,52.41,83.7,51.54,52.89,792.88,0.5362,0.3898,2000_US_STD,4.756
2019,SA0000098,CKD,34.85,1121.13,50.7,670.22,4.78,18.1,39.91,2.9,45.5,21.4,60.76,88.9,488.24,0.8744,0.1551,2010_US_STD,3.541
2020,SA0000099,ASTHMA,32.46,1561.82,54.03,485.37,2.44,7.29,14.45,4.9,63.22,70.0,51.51,23.25,661.96,0.6792,0.173,2000_US_STD,5.312
2012,SA0000100,HTN,16.38,1714.86,1130.55,98.03,1.96,3.09,36.33,12.64,32.57,8.3,61.28,53.54,236.06,0.1892,0.899,2000_US_STD,2.581
2023,SA0000101,ASTHMA,29.81,408.98,1148.12,626.14,4.77,5.4,39.46,6.63,61.24,8.5,46.25,88.55,135.42,0.4581,0.198,2000_US_STD,3.065
2010,SA0000102,HTN,22.08,1552.0,487.74,658.61,4.99,22.97,18.42,4.82,43.87,33.4,68.15,37.56,634.75,0.893,0.378,WHO_STD,5.32
2013,SA0000103,CAD,14.08,1438.38,666.19,721.37,7.84,16.38,13.66,10.39,55.37,30.3,46.43,65.02,70.52,0.6018,0.933,WHO_STD,5.848
2010,SA0000104,CKD,26.5,306.57,447.12,450.33,6.77,14.25,45.18,10.51,70.65,71.0,55.45,75.78,646.68,0.7657,0.1378,2000_US_STD,0.282
2022,SA0000105,DM2,40.12,564.3,1042.21,830.08,5.73,20.64,43.56,9.69,36.27,25.0,76.81,47.44,146.79,0.8987,0.3433,2010_US_STD,0.575
2011,SA0000106,CANCER,4.0,603.03,639.81,514.68,3.9,7.42,22.99,10.11,64.29,7.3,57.32,76.88,282.15,0.8657,0.4222,2000_US_STD,1.223
2013,SA0000107,CKD,12.42,1494.69,70.48,132.01,5.45,8.78,29.39,9.78,40.64,15.3,91.67,85.06,488.89,0.2101,0.1447,2000_US_STD,0.234
2014,SA0000108,DEMENTIA,20.65,164.42,62.82,526.5,4.59,16.52,18.11,12.22,53.34,99.1,86.87,82.77,264.24,0.676,0.5826,WHO_STD,4.814
2011,SA0000109,CAD,24.82,177.06,360.03,643.4,2.99,16.76,14.25,10.6,70.8,38.1,46.57,49.02,807.79,0.9057,0.9977,WHO_STD,0.052
2014,SA0000110,CKD,24.61,40.45,256.9,58.9,3.16,7.88,37.63,13.76,49.28,75.8,91.36,74.02,49.55,0.6387,0.7471,2010_US_STD,3.909
2022,SA0000111,CKD,33.79,36.92,805.04,168.35,7.64,19.5,30.35,4.77,59.32,77.6,60.41,57.99,652.18,0.2181,0.0826,2000_US_STD,4.086
2014,SA0000112,STROKE,31.29,934.41,1199.57,334.91,7.51,11.72,18.24,16.34,70.31,33.0,86.57,41.76,123.91,0.3471,0.7083,2000_US_STD,2.665
2020,SA0000113,HTN,28.43,1132.73,68.32,556.62,5.31,11.36,19.57,4.57,76.89,60.0,88.69,66.68,246.51,0.9406,0.5094,2000_US_STD,0.95
2015,SA0000114,CAD,17.62,1770.74,517.7,519.66,5.91,7.45,33.34,14.08,37.3,69.0,68.1,70.19,297.2,0.203,0.5034,2010_US_STD,4.125
2016,SA0000115,ARTHRITIS,38.8,268.76,996.41,710.37,4.54,4.51,38.17,10.2,59.48,70.8,81.78,22.71,154.02,0.5962,0.0631,2000_US_STD,4.456
2025,SA0000116,CKD,35.0,501.06,41.89,499.96,0.57,16.55,23.79,13.27,67.91,35.3,80.92,89.67,343.53,0.1001,0.4977,2000_US_STD,2.616
2025,SA0000117,STROKE,2.18,444.57,678.02,112.97,6.75,3.04,29.44,17.35,44.04,96.1,80.49,61.41,709.08,0.9466,0.3242,2010_US_STD,4.598
2015,SA0000118,ASTHMA,36.11,67.69,1008.6,766.77,2.88,18.32,42.68,13.01,55.98,56.1,94.68,83.34,77.71,0.642,0.0373,2000_US_STD,4.668
2011,SA0000119,DEMENTIA,25.88,1621.07,615.48,375.9,5.58,19.33,40.25,13.39,50.32,98.7,51.96,82.21,839.85,0.8044,0.215,WHO_STD,0.982
2011,SA0000120,COPD,19.68,149.38,631.28,147.4,4.86,16.25,29.43,15.44,38.5,24.2,51.11,26.76,177.14,0.5955,0.4907,WHO_STD,5.055
2012,SA0000121,ASTHMA,4.68,557.91,359.08,98.54,5.93,21.65,16.54,13.5,49.01,3.2,93.79,70.95,122.18,0.8427,0.9322,2000_US_STD,4.849
2012,SA0000122,ARTHRITIS,27.51,1072.36,13.94,616.77,5.93,8.2,19.39,2.84,71.28,18.3,77.92,36.95,126.09,0.5024,0.0802,WHO_STD,5.484
2011,SA0000123,DM2,10.19,1763.5,1153.44,749.42,7.86,14.05,44.85,5.18,54.5,89.0,57.52,62.4,826.55,0.3845,0.4401,2010_US_STD,2.278
2019,SA0000124,COPD,26.74,887.64,520.36,750.55,3.01,21.04,25.31,15.82,61.53,73.7,92.04,31.45,829.26,0.5167,0.9376,WHO_STD,5.746
2022,SA0000125,ARTHRITIS,2.88,722.75,1098.5,271.15,5.56,26.82,15.05,10.5,46.79,76.3,79.47,58.98,661.9,0.7143,0.5599,2000_US_STD,1.982
2012,SA0000126,DEMENTIA,10.22,1281.26,454.34,774.17,3.47,27.6,46.96,5.5,39.06,23.1,74.15,83.08,622.53,0.0353,0.7424,2010_US_STD,0.439
2025,SA0000127,STROKE,40.95,715.49,882.67,876.54,4.56,23.72,36.99,2.82,77.65,20.9,56.39,33.06,141.49,0.5849,0.1552,2010_US_STD,0.681
2015,SA0000128,ASTHMA,9.77,962.53,937.75,879.78,4.09,20.21,41.58,12.45,60.45,36.5,88.62,53.8,854.01,0.8847,0.1975,2010_US_STD,4.081
2012,SA0000129,DEMENTIA,4.25,1715.48,825.69,348.88,1.73,22.68,30.36,15.07,71.2,3.1,54.09,55.61,304.42,0.3432,0.1989,2000_US_STD,0.362
2021,SA0000130,DEMENTIA,42.36,491.53,1056.92,567.35,3.71,27.22,23.99,16.58,32.0,13.5,89.57,77.58,608.68,0.6161,0.6721,2010_US_STD,3.71
2023,SA0000131,DM2,26.96,190.28,544.36,121.3,6.09,10.49,33.38,6.12,69.6,6.3,82.64,37.82,155.87,0.0729,0.1935,WHO_STD,1.829
2013,SA0000132,ASTHMA,42.4,258.45,732.18,666.34,0.71,16.13,18.65,2.4,46.74,63.5,88.04,68.79,286.75,0.3789,0.5078,2000_US_STD,4.646
2012,SA0000133,STROKE,30.17,202.22,237.72,363.9,7.65,12.66,37.91,2.66,35.43,40.6,59.71,36.99,394.63,0.7211,0.1695,2010_US_STD,4.521
2024,SA0000134,CKD,16.77,461.97,644.16,2.61,7.62,3.59,22.06,7.53,36.63,81.0,89.1,23.97,898.95,0.1924,0.4995,WHO_STD,3.927
2025,SA0000135,CAD,34.2,666.6,778.26,522.63,7.85,14.44,27.21,10.6,62.09,66.6,66.65,89.85,204.21,0.1555,0.6604,2000_US_STD,3.963
2012,SA0000136,CANCER,12.28,581.33,955.29,833.23,2.36,5.32,13.32,6.66,52.47,70.4,69.66,76.31,381.11,0.8164,0.6192,WHO_STD,4.59
2011,SA0000137,ARTHRITIS,23.15,43.32,1113.99,797.84,7.33,27.0,46.23,10.7,75.14,82.7,91.99,30.38,177.22,0.2717,0.7892,2000_US_STD,0.566
2022,SA0000138,COPD,32.58,1365.96,1037.94,778.98,4.8,9.38,12.59,17.01,42.58,30.1,49.64,33.82,144.45,0.7219,0.3606,WHO_STD,2.039
2021,SA0000139,DM2,34.3,731.01,355.19,471.29,1.48,17.08,14.34,17.84,34.09,92.2,65.81,55.62,584.06,0.9006,0.1812,WHO_STD,2.627
2023,SA0000140,CANCER,19.25,90.7,493.6,581.36,5.14,5.84,14.88,16.25,35.24,61.9,53.79,86.39,201.82,0.7676,0.0725,2010_US_STD,3.303
2020,SA0000141,CANCER,11.4,883.61,1100.28,481.07,4.49,21.99,16.33,10.11,50.31,80.8,53.91,37.6,885.05,0.8008,0.7471,2000_US_STD,3.626
2023,SA0000142,COPD,13.84,440.8,832.01,744.78,5.56,16.95,37.98,9.0,73.27,89.3,72.81,81.89,827.32,0.8189,0.1715,WHO_STD,4.63
2025,SA0000143,DEMENTIA,20.06,950.73,483.9,113.0,3.93,6.93,22.65,15.64,55.16,76.1,86.94,63.56,498.84,0.2989,0.7403,WHO_STD,4.818
2013,SA0000144,ASTHMA,22.46,1591.93,44.1,640.94,3.04,4.06,18.36,6.2,54.95,50.1,73.75,44.94,520.61,0.7375,0.3819,WHO_STD,1.89
2024,SA0000145,ARTHRITIS,22.82,850.43,613.68,287.61,2.75,24.87,21.02,3.19,72.85,79.3,84.94,76.7,564.11,0.6161,0.2763,WHO_STD,2.49
2019,SA0000146,ASTHMA,36.16,1706.17,45.68,699.05,3.25,12.77,17.08,6.65,69.87,39.7,72.03,87.47,370.06,0.3921,0.6844,WHO_STD,1.654
2018,SA0000147,CANCER,34.7,822.56,597.93,691.47,0.76,22.26,23.91,6.82,74.63,0.5,50.96,28.3,151.06,0.4899,0.3453,2010_US_STD,3.809
2021,SA0000148,CKD,26.86,1167.99,939.23,533.63,6.16,7.87,33.24,16.46,30.15,84.5,60.57,23.03,588.01,0.0489,0.0586,2010_US_STD,4.281
2019,SA0000149,CANCER,15.33,1436.95,562.67,240.11,6.26,12.16,30.68,8.82,74.33,17.3,48.1,53.79,303.02,0.7087,0.8012,2000_US_STD,1.921
2022,SA0000150,CAD,25.91,1509.57,713.2,322.6,1.72,22.71,45.64,15.34,63.8,2.3,93.77,33.57,18.89,0.9161,0.7626,2000_US_STD,5.823
