biz_innov_filing_year,biz_innov_patent_application_id_hash,biz_innov_technology_class_code,biz_innov_inventor_count,biz_innov_assignee_type_code,biz_innov_university_assignee_flag,biz_innov_small_entity_flag,biz_innov_citation_count_5yr,biz_innov_forward_citation_velocity,biz_innov_claims_count,biz_innov_family_size_count,biz_innov_international_filing_flag,biz_innov_grant_lag_months,biz_innov_licensing_revenue_estimate,biz_innov_r_and_d_tax_credit_claim_flag,biz_innov_venture_funding_round_flag,biz_innov_startup_spinout_flag,biz_innov_tech_transfer_office_id,biz_innov_innovation_cluster_score,biz_innov_commercialization_stage_code
2016,e6d57ed9df6fdee7,F16,17,CORPORATE,0,1,1,5.5751,54,18,0,63,4491304.56,0,0,0,TTO0000074,4.1,EARLY_MARKET
2017,3d4e1726118d0d74,D06,14,CORPORATE,0,0,9,1.3928,46,23,1,116,121560481.26,0,0,0,TTO0000075,48.01,PILOT
2009,f04a7ed8c8e368fc,G06,10,CORPORATE,0,0,9,4.846,7,14,1,53,45269079.82,0,0,0,TTO0000076,32.26,PROTOTYPE
2000,4521902709776b0e,D06,4,CORPORATE,0,0,10,0.623,63,3,1,4,118683818.74,0,0,0,TTO0000077,31.19,PILOT
2025,d89f6857edf9ac25,H04,8,CORPORATE,0,1,9,2.1065,38,17,1,26,99292738.72,0,0,0,TTO0000078,81.5,EARLY_MARKET
2019,afe5948d40bd0061,G06,2,INDIVIDUAL,0,0,6,2.8742,49,29,0,27,60773325.14,0,0,1,TTO0000079,88.53,IDEA
2004,4b6ebf8a1127ec9c,C07,2,CORPORATE,1,0,4,4.479,13,23,1,103,139193322.88,1,0,0,TTO0000080,81.01,EARLY_MARKET
2008,80ddbfc435474b20,C07,17,CORPORATE,1,0,10,0.2456,31,25,0,7,146350452.7,0,0,0,TTO0000081,91.35,SCALE
2021,35b80cb6f0bc12a6,G06,7,CORPORATE,0,0,8,1.5026,36,12,0,3,54900772.04,1,0,0,TTO0000082,63.14,PROTOTYPE
2008,5ae2a362cae52f6f,H04,19,CORPORATE,0,0,9,2.3101,60,6,0,28,171289269.53,0,0,0,TTO0000083,86.71,SCALE
2024,f7de813a6b3ca002,G06,9,INDIVIDUAL,0,0,9,2.5926,65,20,0,80,88737756.23,0,0,0,TTO0000084,45.48,PILOT
1998,fc8037ad652c8e82,C07,17,CORPORATE,0,0,10,1.1488,11,30,1,120,24279248.85,1,0,0,TTO0000085,17.93,SCALE
2015,95041bb074ba617d,D06,1,INDIVIDUAL,0,1,5,2.9509,70,17,1,108,692387.03,1,0,0,TTO0000086,24.51,EARLY_MARKET
2002,c63b7b599e064daf,H04,9,CORPORATE,0,0,10,3.0993,16,15,0,65,13165189.69,1,0,0,TTO0000087,91.8,SCALE
2008,93fc74a261d80e69,G06,4,CORPORATE,0,1,9,2.1259,35,8,0,112,12055054.44,1,0,0,TTO0000088,28.0,EARLY_MARKET
2009,4c6990368940a2db,C07,17,CORPORATE,0,0,5,1.744,70,7,1,68,231617509.39,0,0,0,TTO0000089,45.19,PILOT
1998,f1a14c4160c43888,F16,6,CORPORATE,0,0,14,0.4627,88,19,0,27,3555958.79,0,0,0,TTO0000090,33.54,PROTOTYPE
2008,c0915a94e0ca06df,G06,10,CORPORATE,0,1,8,4.0423,43,26,0,15,46658939.03,0,0,0,TTO0000091,37.03,EARLY_MARKET
2002,2fe131fffc0cf6d4,G06,9,CORPORATE,0,0,7,0.9022,49,25,0,102,191017244.35,1,0,0,TTO0000092,40.91,MATURE
2019,d7699441c129e2cb,F16,14,CORPORATE,0,0,8,2.6441,69,13,0,21,203039429.18,1,0,0,TTO0000093,52.59,EARLY_MARKET
2025,667af37fb818d226,H04,9,INDIVIDUAL,0,0,7,2.3202,13,6,0,85,81858086.85,0,0,0,TTO0000094,2.25,PILOT
1999,8204194fd771380a,G06,18,INDIVIDUAL,0,0,9,4.5804,85,13,0,66,152290378.97,0,0,0,TTO0000095,44.04,EARLY_MARKET
2003,ff466d34ecdc1d29,C07,12,UNIVERSITY,1,0,8,0.1066,15,23,1,28,59495929.86,0,0,0,TTO0000096,58.56,PILOT
2007,2ee81dbf8cad8664,B29,19,INDIVIDUAL,0,1,10,0.839,51,26,1,92,222421686.0,1,1,0,TTO0000097,74.97,SCALE
2018,e5fa2294645eb95f,H04,4,CORPORATE,0,0,9,5.1679,90,30,0,68,162143622.96,1,0,1,TTO0000098,38.23,PROTOTYPE
2022,5bced4042f6cf01d,C07,16,CORPORATE,0,1,13,1.2454,70,1,1,46,41093778.72,0,0,0,TTO0000099,12.96,IDEA
2004,f846a471dfc2b872,F16,18,UNIVERSITY,1,1,9,0.8015,72,6,0,26,48781023.41,0,0,1,TTO0000100,89.65,PILOT
2010,6215c52b7c128b87,C07,15,CORPORATE,0,0,11,3.5226,81,30,1,33,196759641.65,1,0,0,TTO0000101,17.42,SCALE
2017,78139b5efd469b0c,G06,6,UNIVERSITY,1,0,12,1.3014,60,5,0,43,232176891.05,1,0,0,TTO0000102,1.76,PILOT
2012,6ce897b26c2d2ee2,E21,3,GOV_LAB,0,0,7,5.9116,29,21,0,20,153890523.96,0,0,0,TTO0000103,69.54,EARLY_MARKET
2012,ef66a4de01748fd0,F16,5,CORPORATE,0,0,3,5.0603,27,21,1,45,13346947.98,0,0,0,TTO0000104,48.04,EARLY_MARKET
2013,66ca9def62a476ce,D06,18,UNIVERSITY,1,0,9,3.3084,88,18,0,8,242937671.09,1,0,0,TTO0000105,62.34,EARLY_MARKET
2017,ec6be431d1d2319a,G06,19,CORPORATE,0,0,11,4.7909,17,30,1,73,112154877.51,1,0,0,TTO0000106,46.83,PROTOTYPE
2008,b4a4805d184e37b1,E21,19,CORPORATE,1,1,12,3.0645,72,10,0,86,195556657.46,0,0,1,TTO0000107,45.32,SCALE
2019,49e14e330b550532,G06,6,CORPORATE,0,1,8,1.3718,82,9,1,118,146217117.61,1,0,1,TTO0000108,73.53,PILOT
2005,0c337529b40bc5e5,H04,4,CORPORATE,0,1,10,2.485,18,27,0,8,163123642.23,1,0,0,TTO0000109,18.0,EARLY_MARKET
2010,80bb84f5ca4c3ae8,G06,3,GOV_LAB,0,0,9,2.3613,96,18,0,111,136968996.22,0,1,0,TTO0000110,55.57,PILOT
2005,0f5dd76a50c62b52,E21,7,CORPORATE,0,0,9,2.3531,14,15,0,38,112347466.1,0,1,0,TTO0000111,72.44,MATURE
2003,e542e3b30a40d21d,C07,2,CORPORATE,0,1,12,3.4523,7,20,1,11,11341835.01,1,0,0,TTO0000112,87.4,PROTOTYPE
2019,7e467f3adbb8021d,B29,5,GOV_LAB,0,0,10,5.2821,37,5,1,75,192463.16,0,0,1,TTO0000113,31.95,MATURE
2002,3eef9a70444f1e52,G06,13,CORPORATE,0,1,15,3.6773,80,22,0,48,231841206.33,0,0,0,TTO0000114,52.58,EARLY_MARKET
2019,82990fc082150a94,G06,14,CORPORATE,0,0,11,1.4641,14,25,0,103,196529668.67,0,0,0,TTO0000115,80.26,EARLY_MARKET
2005,ea63a64710982a12,H04,13,INDIVIDUAL,1,1,5,2.568,67,28,0,24,10976591.81,0,1,0,TTO0000116,95.11,MATURE
2024,bc1746754b95b4f2,B29,1,CORPORATE,0,1,16,2.541,82,26,0,39,103679384.22,0,0,0,TTO0000117,49.38,SCALE
2014,5ca5862a48b1e2cc,H04,10,UNIVERSITY,1,0,6,3.0252,63,26,0,30,247283511.95,0,1,0,TTO0000118,70.14,EARLY_MARKET
2003,60c0911a9ebd8dcf,H04,13,CORPORATE,0,0,6,1.2647,65,17,1,12,51647625.18,0,0,1,TTO0000119,0.45,SCALE
2011,5d189b69a6bf399f,D06,10,GOV_LAB,0,1,10,4.6345,62,2,1,105,104175992.13,0,0,0,TTO0000120,3.53,EARLY_MARKET
2024,e9bf77205bca7c8a,G06,20,NONPROFIT,0,0,5,0.3344,36,8,0,98,179188490.4,0,0,0,TTO0000121,28.32,SCALE
1998,a9a5f23dc25e0930,E21,9,UNIVERSITY,1,0,12,2.614,24,21,0,74,90659860.88,0,0,0,TTO0000122,8.6,PILOT
2003,06130d5d3332cc63,E21,19,CORPORATE,0,0,5,1.7877,83,8,1,40,19667437.61,0,0,0,TTO0000123,42.13,EARLY_MARKET
2008,64bbfd922458f58f,G06,3,CORPORATE,0,0,6,1.3494,96,22,0,63,111292279.44,0,0,0,TTO0000124,48.31,SCALE
2014,0a59a70cb3c30715,H04,15,UNIVERSITY,1,1,7,2.8217,69,1,0,79,106529407.66,0,1,0,TTO0000125,98.85,IDEA
2018,5f61224753f3cb2a,G06,12,CORPORATE,0,0,5,3.7592,34,9,1,54,151940376.97,1,1,0,TTO0000126,16.99,SCALE
1999,31ec90fec2a0cde6,H04,9,CORPORATE,0,1,11,5.143,65,18,1,71,74798320.42,0,0,0,TTO0000127,50.84,PROTOTYPE
2003,240940c6fdb9def7,G06,3,CORPORATE,0,0,9,4.0609,75,27,0,95,44693153.44,0,0,0,TTO0000128,1.75,EARLY_MARKET
2013,cdfdc6aa482dc105,F16,20,CORPORATE,0,0,9,4.1995,51,6,0,3,74538313.83,0,1,1,TTO0000129,17.83,EARLY_MARKET
2008,40eba9c72700a6fb,G06,14,CORPORATE,0,0,4,5.0919,75,28,1,96,163498800.42,0,0,0,TTO0000130,22.52,IDEA
2018,6fecbb191ce2c315,H04,16,CORPORATE,0,0,10,2.812,60,12,1,54,7253856.74,0,0,0,TTO0000131,83.68,MATURE
2003,528b4712789cff0c,G06,11,INDIVIDUAL,0,1,10,4.7008,63,30,1,56,101033949.47,1,0,0,TTO0000132,89.24,PILOT
2000,128b1f97d6461811,H04,10,UNIVERSITY,1,0,12,4.1345,90,19,0,97,15649894.71,0,1,0,TTO0000133,71.6,SCALE
2020,996d5a40dd430359,E21,8,INDIVIDUAL,1,0,6,1.1389,41,8,1,57,198552009.69,0,0,0,TTO0000134,83.63,PILOT
2006,2e50fe91320be30c,G06,2,UNIVERSITY,1,0,7,2.6307,27,7,0,66,127954388.98,0,0,0,TTO0000135,21.66,SCALE
2004,0d805e5b250b1726,B29,13,OTHER,0,1,4,1.3838,79,28,0,80,37063987.19,0,0,1,TTO0000136,28.12,MATURE
2021,58466f7adc90e8da,G06,16,OTHER,0,1,8,5.3397,98,6,0,117,119934356.62,0,0,0,TTO0000137,67.56,IDEA
2023,3a5ba2edcdd04ec9,G06,11,CORPORATE,0,1,8,4.0535,52,30,1,51,241116911.92,0,1,0,TTO0000138,24.81,PILOT
2024,428fe086c159349f,C07,7,UNIVERSITY,1,0,6,1.6435,90,10,1,86,7488103.82,0,0,0,TTO0000139,36.44,PROTOTYPE
2013,87de653578f016e7,D06,16,CORPORATE,0,1,12,1.6534,33,23,1,62,47838416.24,0,0,0,TTO0000140,68.87,PILOT
2015,8822b0a2fb7be320,G06,13,INDIVIDUAL,0,1,6,5.5431,97,10,0,17,174117413.95,1,0,0,TTO0000141,41.56,PROTOTYPE
2004,56cadfddf8c2046c,G06,2,CORPORATE,0,0,9,2.7284,76,6,1,106,204426643.51,0,0,0,TTO0000142,59.41,PROTOTYPE
1998,abd5c151c0a0bfba,E21,18,CORPORATE,0,0,11,1.9074,13,29,0,16,233798425.32,1,0,0,TTO0000143,86.97,EARLY_MARKET
2023,c8556fc68fe934e0,C07,12,UNIVERSITY,1,0,9,2.5749,53,22,0,74,176412253.05,0,0,0,TTO0000144,53.5,PILOT
2015,7d0d2e8451cfbec6,F16,3,INDIVIDUAL,0,0,6,3.5937,26,7,1,81,80797975.98,1,0,0,TTO0000145,36.26,IDEA
2013,82a4c5af5f7500d8,G06,6,CORPORATE,0,1,13,5.0698,79,15,0,42,20341287.34,1,1,0,TTO0000146,42.66,MATURE
2015,7c909dfc89ab422c,D06,17,INDIVIDUAL,0,1,9,0.9822,26,10,0,17,7157291.52,0,0,0,TTO0000147,39.16,SCALE
2013,0f53afdb430f2c4c,C07,7,CORPORATE,0,1,10,3.4662,64,14,1,45,29848109.28,0,1,1,TTO0000148,58.87,PILOT
2015,02cb59ac2a21b427,D06,7,CORPORATE,0,1,6,4.9928,51,8,1,18,221051720.9,0,1,0,TTO0000149,58.19,SCALE
2018,43196a45f9f94f5e,C07,9,CORPORATE,0,0,7,2.1978,69,1,0,56,198745395.93,0,0,0,TTO0000150,30.28,PROTOTYPE
2000,ff269d671234e254,G06,2,CORPORATE,0,0,5,4.4747,40,30,0,62,223464822.69,0,0,1,TTO0000151,1.03,PILOT
1998,2f51d6f49d72170f,G06,2,CORPORATE,0,0,5,5.8658,55,4,1,101,80424888.68,0,0,0,TTO0000152,30.49,PROTOTYPE
2006,fd97cc4a1cdc0689,H04,18,OTHER,0,1,9,2.0525,66,3,0,82,242080454.76,0,0,0,TTO0000153,23.68,IDEA
2017,cad29f1c841d6472,G06,19,CORPORATE,0,0,12,0.7521,29,29,0,50,182637204.09,0,1,0,TTO0000154,23.97,MATURE
1998,fc2aae35c098cf47,H04,16,CORPORATE,0,1,8,1.4884,25,2,0,13,42012580.54,0,1,1,TTO0000155,19.03,PILOT
2011,033b96ab6fa8ece2,C07,13,CORPORATE,0,0,11,0.7553,13,11,0,63,96862091.29,1,0,0,TTO0000156,7.71,PROTOTYPE
2023,02934943af916f00,H04,3,NONPROFIT,0,0,9,4.863,34,6,0,73,235469753.38,1,0,0,TTO0000157,41.68,PROTOTYPE
2005,636e38ab0e1d9b9b,G06,12,CORPORATE,0,0,7,3.0168,45,1,1,42,139973792.22,1,0,0,TTO0000158,42.67,PILOT
2003,affcb3ad8fae6dec,G06,8,OTHER,0,0,8,5.5443,9,5,1,110,64122366.41,0,0,0,TTO0000159,46.88,PILOT
2022,97f35bb1b6afb75a,G06,17,CORPORATE,0,1,9,1.8274,25,7,1,68,197370929.39,0,0,1,TTO0000160,67.11,MATURE
1998,114094bc60450eb2,A01,18,GOV_LAB,0,0,8,3.0306,22,22,0,53,26009184.42,0,0,1,TTO0000161,78.53,PILOT
2007,fc75fa3dde852b02,E21,19,CORPORATE,0,0,8,4.5304,100,27,1,118,192163162.92,0,0,0,TTO0000162,58.75,EARLY_MARKET
2015,fdedf22a3281d583,B29,7,CORPORATE,0,0,11,1.935,99,13,0,111,15242536.52,0,1,1,TTO0000163,34.78,MATURE
2008,fc8fa407f934f45c,D06,5,CORPORATE,0,0,11,1.4332,95,24,0,49,78242409.07,0,0,0,TTO0000164,29.24,PILOT
2012,4a9648fdc294279f,E21,1,CORPORATE,0,0,11,1.0181,87,3,0,98,123956816.72,1,1,0,TTO0000165,62.01,PILOT
2005,2541239fb19c312f,H04,18,CORPORATE,0,0,6,4.0084,66,3,1,120,201604879.39,1,1,0,TTO0000166,40.46,PROTOTYPE
2023,84b6df97957fdfcd,D06,14,INDIVIDUAL,0,0,10,5.7335,87,25,0,13,206978920.73,0,0,0,TTO0000167,94.35,IDEA
2009,82fa9327b62c8f91,D06,20,CORPORATE,0,0,9,5.081,3,9,1,21,81218581.78,1,1,0,TTO0000168,18.77,PROTOTYPE
2002,def94156d2cbc37c,D06,18,CORPORATE,0,0,8,0.4485,76,10,1,102,54367422.73,0,0,0,TTO0000169,14.72,PROTOTYPE
2024,6b00e5947f6995fc,F16,15,CORPORATE,0,0,8,3.9653,11,8,1,58,89999974.88,0,0,0,TTO0000170,89.12,EARLY_MARKET
2009,7679933d5fa55e39,G06,2,CORPORATE,0,0,8,2.6252,96,3,1,12,26987069.77,1,0,0,TTO0000171,45.73,PILOT
2025,b142471f41bbacaa,A01,10,CORPORATE,0,0,8,0.5821,75,30,0,28,16447330.79,0,1,0,TTO0000172,42.47,PROTOTYPE
1999,4d3e7d0ef69f7a9f,F16,12,INDIVIDUAL,0,0,7,2.4145,26,26,1,91,56296101.21,0,1,0,TTO0000173,53.79,SCALE
2007,cab895541ba11b08,F16,18,GOV_LAB,0,0,5,0.3271,43,6,1,14,8121186.96,0,1,0,TTO0000174,26.41,MATURE
2002,be9139309667aa62,C07,19,CORPORATE,1,0,9,4.371,56,18,1,109,81826274.97,0,0,0,TTO0000175,73.46,SCALE
