safe_traffic_crash_date,safe_traffic_crash_time,safe_traffic_roadway_segment_id,safe_traffic_intersection_related_flag,safe_traffic_vehicle_count_involved,safe_traffic_pedestrian_involved_flag,safe_traffic_cyclist_involved_flag,safe_traffic_work_zone_flag,safe_traffic_weather_condition_code,safe_traffic_lighting_condition_code,safe_traffic_speed_limit_kmph,safe_traffic_estimated_travel_speed_kmph,safe_traffic_driver_impairment_flag,safe_traffic_seatbelt_use_flag,safe_traffic_airbag_deployed_flag,safe_traffic_injury_outcome_max,safe_traffic_tow_away_flag,safe_traffic_fatality_count,safe_traffic_crash_cause_primary,safe_traffic_post_crash_care_minutes
2022-03-27,03:10:07,SEG-4e7a28187a237f,Y,5,Y,Y,N,Clear,Dusk,90,102.1,N,Y,N,Minor,Y,0,Mechanical,51
2022-10-15,08:22:58,SEG-70afc45205cb27,Y,4,N,Y,N,Storm,DarkLit,100,46.7,N,Y,Y,None,N,1,Distracted,198
2021-02-13,17:07:28,SEG-a8164f0cd8b891,N,1,Y,Y,N,Unknown,Unknown,80,86.9,N,Y,N,None,N,0,Weather,132
2020-05-05,09:28:00,SEG-fa387a382c7832,Y,4,Y,N,Y,Storm,Dusk,40,51.0,Y,N,N,Serious,Y,0,Impairment,130
2021-01-17,09:39:19,SEG-ed624bcdedb737,N,1,N,Y,N,Haze,Daylight,120,121.2,N,Y,Y,Serious,N,0,Weather,187
2019-02-13,23:30:10,SEG-db15cab5f84393,N,6,N,N,N,Dust,DarkUnlit,50,48.4,N,Y,Y,Minor,Y,0,RoadCondition,141
2023-03-28,00:53:02,SEG-c8b43fe7e0f700,Y,3,Y,N,N,Dust,Daylight,100,12.1,N,Y,Y,Minor,N,0,Impairment,228
2024-03-18,01:42:56,SEG-134a07e2797d86,N,8,N,Y,Y,Clear,Dusk,90,71.3,Y,N,N,None,N,0,Mechanical,42
2023-04-26,18:57:36,SEG-3cc269d007d3cc,N,6,Y,N,Y,Haze,DarkLit,20,18.4,Y,N,N,None,Y,0,PedestrianError,139
2022-05-08,00:09:20,SEG-81e2a6a796be6d,N,7,Y,N,Y,Rain,Dusk,30,48.3,Y,Y,Y,Minor,N,0,SignalViolation,213
2025-02-06,02:46:20,SEG-78b53627ef75ec,Y,3,Y,Y,Y,Storm,Dusk,90,36.7,N,Y,Y,None,N,0,Mechanical,50
2024-06-21,00:23:58,SEG-53067e5c083754,Y,5,N,N,Y,Dust,DarkUnlit,50,70.8,N,N,N,Minor,Y,0,Impairment,189
2019-06-25,13:39:43,SEG-e03e838895b715,Y,6,N,N,N,Storm,Unknown,20,89.1,Y,N,Y,None,N,0,Mechanical,2
2024-08-16,03:31:13,SEG-b5bb08bde0b67d,Y,6,Y,Y,Y,Fog,DarkUnlit,100,111.7,N,N,Y,Serious,N,0,Speeding,84
2018-10-22,00:03:54,SEG-38a0efecaf0792,N,2,Y,Y,N,Haze,DarkUnlit,100,5.2,Y,Y,Y,Minor,N,0,Impairment,176
2018-02-07,05:15:11,SEG-466380ef7ff05a,Y,6,N,N,N,Haze,Daylight,60,12.2,N,N,N,Minor,Y,0,RoadCondition,56
2018-02-01,16:33:46,SEG-afed39f6d2448f,Y,7,N,N,Y,Storm,DarkLit,40,22.6,N,N,N,Minor,N,0,PedestrianError,174
2019-02-19,13:40:02,SEG-2cdd7bd17ac89f,N,4,Y,N,Y,Dust,DarkLit,120,124.8,Y,N,N,None,N,0,SignalViolation,4
2021-07-07,02:12:45,SEG-81688e33f2d806,Y,6,N,N,Y,Haze,Dusk,30,72.0,Y,N,N,Minor,Y,0,Unknown,134
2025-07-02,07:18:37,SEG-3412be0cb4be78,Y,5,Y,Y,N,Rain,DarkLit,100,108.9,Y,N,N,Minor,Y,0,Distracted,195
2020-03-11,19:29:24,SEG-a3b4b603c4802e,Y,6,Y,Y,N,Fog,Unknown,70,88.9,N,Y,Y,Serious,N,0,SignalViolation,152
2020-01-21,04:30:07,SEG-6bf824ba0cadaa,N,6,N,Y,Y,Rain,Dusk,60,94.8,N,N,Y,Minor,N,0,RoadCondition,159
2023-01-17,12:18:41,SEG-069f8945eab119,N,5,Y,N,N,Clear,DarkLit,40,26.0,Y,N,Y,None,Y,0,RoadCondition,123
2023-08-02,16:34:59,SEG-93f13ce15fac66,N,1,N,Y,Y,Storm,Daylight,60,65.1,Y,Y,N,None,N,0,Weather,85
2022-08-05,09:29:15,SEG-472bc41e6bfa30,Y,5,N,Y,N,Storm,DarkLit,70,100.3,N,Y,N,None,Y,0,Weather,238
2019-03-03,16:31:54,SEG-d5ce16eab0e4c9,N,6,Y,N,Y,Fog,Daylight,60,28.5,N,Y,Y,Minor,Y,0,Impairment,65
2021-11-27,21:31:44,SEG-5acf25a23a19b4,Y,2,Y,Y,N,Clear,DarkUnlit,100,90.2,N,N,Y,None,N,0,RoadCondition,1
2023-11-27,17:34:03,SEG-47c2b3323c1fa4,Y,6,N,N,Y,Storm,Dusk,20,27.8,N,N,N,Minor,N,1,SignalViolation,60
2019-03-07,23:31:36,SEG-6d063474a46fb9,Y,5,N,Y,N,Storm,Dawn,100,66.9,Y,Y,Y,None,Y,0,Unknown,100
2021-06-04,03:49:09,SEG-15f3a21b0a1994,N,1,Y,Y,N,Fog,Dawn,40,68.8,Y,Y,Y,Serious,Y,0,Speeding,29
2025-02-07,13:09:36,SEG-195fa84c1caf59,Y,6,N,Y,Y,Dust,Daylight,60,10.5,N,N,N,None,N,0,Distracted,34
2019-07-04,22:53:49,SEG-f4bde4083fcfbf,Y,4,N,Y,N,Unknown,Dusk,80,65.3,Y,Y,N,None,N,0,PedestrianError,197
2021-02-05,10:05:59,SEG-ee763c088b150d,N,4,Y,Y,Y,Unknown,DarkUnlit,30,30.7,N,N,Y,None,Y,0,Impairment,136
2020-02-03,13:07:01,SEG-0bd9a047c8b5ec,Y,2,Y,Y,N,Storm,Unknown,100,52.5,N,N,Y,None,Y,0,PedestrianError,35
2024-06-23,17:30:47,SEG-8775137c32e802,N,1,Y,N,N,Rain,DarkLit,20,83.3,N,Y,Y,Minor,Y,0,Distracted,187
2021-10-27,10:49:23,SEG-b8719ffb59eae1,N,3,Y,Y,N,Fog,Unknown,70,54.7,Y,N,N,None,Y,0,RoadCondition,82
2024-08-05,13:30:39,SEG-9c6da66feae90e,Y,2,N,N,Y,Haze,DarkLit,90,107.8,Y,N,Y,Serious,Y,1,Unknown,63
2019-06-15,20:29:34,SEG-6a3714e5090a63,N,8,N,Y,Y,Dust,DarkLit,70,69.3,N,N,N,Minor,N,0,PedestrianError,232
2022-12-11,08:51:38,SEG-17806cb33d7850,Y,2,Y,N,Y,Haze,Daylight,50,75.9,Y,Y,N,None,N,0,SignalViolation,155
2021-06-20,13:56:58,SEG-776b36be36c8c3,N,7,N,Y,N,Clear,Daylight,50,117.5,Y,N,N,Minor,Y,0,Speeding,180
2020-05-17,00:46:19,SEG-2545fa721bd870,N,1,Y,N,Y,Clear,DarkLit,100,76.5,Y,N,Y,Minor,N,0,RoadCondition,22
2020-02-05,22:17:19,SEG-1ab3e14a73f4b4,Y,3,N,N,Y,Unknown,DarkLit,80,47.1,N,N,N,None,Y,0,Distracted,66
2018-07-22,07:27:11,SEG-fe694febc2b36d,Y,7,N,Y,N,Unknown,DarkLit,70,82.5,Y,N,Y,Minor,N,0,RoadCondition,126
2021-06-27,22:58:26,SEG-1b39488c2c5b5f,N,6,N,N,Y,Dust,Dusk,120,54.7,Y,N,N,None,Y,0,Speeding,117
2025-05-25,03:32:34,SEG-476ec586735495,Y,8,Y,N,Y,Rain,DarkLit,70,73.1,N,N,N,None,N,3,Unknown,216
2018-09-07,16:00:47,SEG-1a3806b642dcc7,N,5,N,Y,Y,Clear,Daylight,90,110.2,N,N,Y,None,Y,0,RoadCondition,39
2022-11-14,02:15:58,SEG-1adf9d4cb19ae6,Y,8,N,N,Y,Haze,DarkLit,50,101.4,Y,Y,Y,None,N,0,Speeding,138
2025-05-19,08:26:00,SEG-4134e3fc88f62a,Y,7,N,N,N,Clear,Dawn,120,24.5,Y,N,N,Serious,N,0,Impairment,128
2021-04-03,08:31:48,SEG-b549f3995bef7a,N,3,Y,Y,Y,Haze,Dusk,60,19.2,Y,N,Y,Serious,N,0,RoadCondition,130
2021-07-15,08:15:16,SEG-77fade672af094,Y,2,N,N,N,Storm,DarkLit,80,110.4,Y,Y,Y,Minor,N,0,Weather,140
2018-10-21,13:09:01,SEG-8bda14d5a4c277,N,2,N,Y,N,Rain,Daylight,80,85.6,Y,Y,N,None,Y,0,RoadCondition,71
2023-06-17,20:21:46,SEG-63cca26246e4bd,Y,6,Y,N,N,Clear,DarkLit,30,40.0,N,Y,Y,None,Y,0,RoadCondition,164
2019-04-25,04:57:18,SEG-ad2aea756c10be,N,4,N,Y,N,Clear,Daylight,90,97.0,Y,N,Y,None,Y,0,RoadCondition,80
2021-06-13,09:02:09,SEG-3ed61df3d93d54,Y,3,N,Y,Y,Unknown,DarkUnlit,70,92.6,N,N,Y,Minor,Y,0,SignalViolation,93
2024-06-06,04:39:53,SEG-392ed22bff2142,Y,2,Y,Y,Y,Clear,DarkLit,60,82.9,N,N,N,Minor,Y,0,SignalViolation,175
2025-11-01,02:18:23,SEG-e56e1b8b8a4c30,N,7,Y,Y,N,Dust,Daylight,80,10.9,N,Y,N,None,N,0,Unknown,152
2020-10-08,01:30:17,SEG-5ea364967ae7a8,Y,2,Y,N,N,Rain,DarkLit,100,39.8,Y,N,N,None,N,0,PedestrianError,176
2024-02-04,03:10:07,SEG-5794e97f628e36,N,8,Y,N,Y,Storm,Daylight,30,63.7,N,Y,Y,Minor,Y,0,Mechanical,111
2023-07-20,22:55:05,SEG-d2bcc48befd782,Y,4,Y,Y,Y,Storm,Unknown,50,29.6,N,Y,Y,None,N,0,Unknown,26
2019-08-02,02:18:33,SEG-efe4573bf09292,N,4,Y,Y,Y,Dust,Daylight,80,115.0,N,Y,Y,None,N,0,Impairment,199
2018-02-05,19:56:32,SEG-b411792ba25e8c,N,7,Y,N,Y,Unknown,Daylight,80,36.8,N,Y,Y,None,N,0,PedestrianError,98
2025-07-31,01:56:39,SEG-f8e2bea7b6db1b,N,6,Y,Y,N,Unknown,Daylight,100,86.3,N,N,Y,None,N,0,Distracted,58
2019-07-22,03:05:07,SEG-a00423dcf7c424,Y,6,Y,N,Y,Storm,Dawn,40,56.9,N,Y,Y,None,Y,0,SignalViolation,130
2019-06-29,10:13:04,SEG-5edbea6035598b,N,3,N,N,Y,Dust,Dawn,60,10.1,N,Y,Y,None,Y,0,Speeding,34
2022-08-25,00:48:23,SEG-493fcce30b6afe,Y,5,Y,Y,Y,Unknown,Unknown,40,70.0,N,N,Y,Serious,Y,0,Unknown,74
2024-10-22,19:06:46,SEG-416a51ba9257c8,N,4,Y,Y,Y,Clear,DarkLit,50,89.2,Y,Y,N,Minor,Y,0,Speeding,182
2018-11-06,04:24:34,SEG-b562323c57d348,Y,2,N,Y,N,Clear,Daylight,20,61.3,Y,Y,N,Minor,Y,0,Speeding,45
2020-06-28,07:49:12,SEG-536bc508e26a12,N,6,Y,N,Y,Storm,Dusk,100,70.8,Y,N,N,Minor,N,0,Speeding,57
2023-08-24,07:53:42,SEG-68b2506914208a,Y,8,N,N,Y,Storm,Dusk,20,45.5,Y,N,N,Minor,Y,0,Unknown,168
2020-10-04,21:41:42,SEG-0f959c07bae4ef,N,8,N,N,N,Storm,Dawn,80,111.5,Y,Y,Y,Minor,N,0,PedestrianError,219
2021-07-17,00:17:37,SEG-da756dae42f8b3,Y,5,N,Y,Y,Dust,Dawn,60,117.0,N,Y,N,Minor,N,0,Weather,109
2018-04-03,01:06:04,SEG-2ec7bc464193a2,Y,7,N,N,Y,Storm,DarkLit,90,25.1,Y,N,Y,Minor,Y,0,SignalViolation,117
2019-05-04,10:59:39,SEG-d2fe2017e98d3f,Y,1,Y,Y,N,Unknown,DarkLit,80,55.4,N,N,N,Minor,Y,0,Speeding,72
2018-10-04,02:23:36,SEG-06fdb7c1b0e423,Y,7,Y,Y,N,Dust,DarkLit,90,102.4,Y,N,N,Minor,Y,0,Mechanical,91
2022-11-15,13:11:55,SEG-655b77e3fc7d92,N,3,Y,N,N,Storm,DarkLit,30,14.4,Y,Y,Y,None,N,0,Speeding,42
2023-11-21,11:11:37,SEG-f58217353d1619,N,5,Y,Y,Y,Rain,Daylight,50,54.4,N,N,N,Serious,Y,0,Weather,226
2019-06-19,07:26:40,SEG-c6dfe1442a2fd6,N,5,N,Y,Y,Storm,Dusk,90,35.6,N,Y,Y,Minor,Y,0,SignalViolation,203
2024-06-07,02:20:46,SEG-8afa62e397e94b,N,7,N,N,N,Unknown,Daylight,120,121.1,N,Y,Y,None,N,0,Weather,215
2023-04-15,23:52:40,SEG-c6f5f505400292,Y,8,Y,N,N,Fog,DarkUnlit,20,75.6,Y,N,Y,Minor,Y,0,Mechanical,154
2024-02-20,09:51:41,SEG-4c7b18f2eaabb8,N,5,N,Y,Y,Storm,DarkLit,90,74.9,N,N,Y,Minor,N,0,SignalViolation,216
2021-11-05,10:24:39,SEG-69d26c311ae610,N,2,N,N,Y,Haze,Daylight,40,96.3,N,Y,N,None,Y,0,Mechanical,115
2018-08-30,09:18:47,SEG-7e67ad1782e8b5,N,4,N,N,N,Rain,Daylight,50,60.0,Y,N,N,None,N,0,RoadCondition,69
2024-06-03,22:10:06,SEG-3fb3b86ce97455,Y,3,N,N,Y,Rain,Unknown,90,57.6,N,Y,Y,None,Y,0,Distracted,2
2022-11-30,08:07:29,SEG-9bdf3a63562d67,N,7,Y,N,Y,Clear,DarkUnlit,20,85.5,Y,Y,Y,Fatal,N,0,Distracted,8
2020-12-19,12:06:39,SEG-db3f1a93dbe3db,Y,5,Y,Y,Y,Haze,Dusk,40,95.6,Y,Y,N,Serious,Y,0,Speeding,110
2021-05-04,21:38:05,SEG-c9236bdc774284,Y,1,N,N,Y,Clear,DarkLit,30,48.7,N,N,Y,None,N,0,Unknown,41
2023-07-23,06:44:29,SEG-8895e83f5e7aa6,Y,4,Y,Y,N,Rain,Daylight,100,45.5,Y,Y,N,None,Y,0,Speeding,160
2022-11-05,13:28:00,SEG-25b292e207b4cb,Y,5,Y,N,N,Fog,DarkUnlit,60,16.5,N,Y,Y,Minor,N,0,Mechanical,210
2025-08-27,12:13:10,SEG-712d7ca78ee1b5,N,2,Y,Y,Y,Unknown,Daylight,60,100.0,N,Y,N,Fatal,Y,0,PedestrianError,127
2019-02-24,02:15:58,SEG-f8b907bcbb7526,N,2,Y,Y,N,Unknown,DarkLit,50,42.1,N,N,N,None,Y,0,SignalViolation,13
2019-10-27,05:59:51,SEG-1c578f400f0373,N,4,Y,N,N,Unknown,DarkUnlit,20,29.4,N,Y,N,None,N,0,Speeding,38
2018-01-24,04:48:20,SEG-8cc3db9f1b89dc,Y,5,N,N,Y,Storm,DarkUnlit,30,81.8,Y,Y,Y,None,Y,0,Distracted,61
2023-07-12,04:03:13,SEG-53cf5ae3c3755f,N,3,N,Y,Y,Dust,Dawn,60,94.3,Y,Y,Y,None,Y,0,Speeding,45
2021-11-11,19:58:33,SEG-22bfe08ff8d546,Y,1,Y,N,Y,Unknown,DarkUnlit,90,10.5,Y,Y,Y,None,N,0,RoadCondition,74
2021-10-19,01:01:54,SEG-cb3e23d951a260,N,3,Y,N,Y,Fog,Dusk,40,115.5,N,Y,Y,Minor,Y,0,PedestrianError,47
2019-03-10,22:21:09,SEG-efc4434283ff7d,Y,7,N,N,Y,Haze,Unknown,50,113.3,Y,N,Y,Fatal,Y,0,Mechanical,57
2018-02-15,17:34:05,SEG-17ed64c7ed90d0,Y,2,Y,Y,Y,Fog,DarkLit,90,124.9,N,Y,Y,Minor,N,0,Impairment,225
2025-01-26,13:22:15,SEG-e04a5335bafda5,Y,2,N,Y,Y,Rain,Dawn,70,104.5,Y,Y,Y,None,Y,0,Speeding,172
2023-03-10,20:07:31,SEG-fbafea4fd37a1c,Y,4,Y,N,N,Haze,Daylight,40,96.6,Y,Y,N,Minor,N,0,Distracted,165
2023-03-01,13:49:07,SEG-eba2e9ab903ef4,Y,4,Y,N,N,Storm,Daylight,70,42.2,Y,N,Y,None,Y,0,Impairment,51
2024-09-06,19:16:11,SEG-32c5d8fb7ce89e,N,4,Y,N,N,Clear,Unknown,70,28.5,Y,Y,Y,None,N,0,Impairment,162
2024-09-18,15:43:01,SEG-ba489f224c5c5e,Y,1,N,Y,Y,Dust,DarkUnlit,120,65.9,Y,Y,N,None,N,0,Impairment,70
2022-03-29,01:09:02,SEG-ff924f2dde9434,N,3,N,N,Y,Rain,DarkLit,50,15.0,Y,Y,N,None,N,1,Speeding,175
2024-04-03,20:32:07,SEG-4725b2ab284411,Y,5,N,N,Y,Unknown,DarkLit,120,6.3,Y,N,N,None,N,0,RoadCondition,136
2021-01-24,08:26:41,SEG-932cd22b546a98,Y,5,N,Y,Y,Clear,DarkUnlit,50,92.6,N,Y,N,None,N,0,Impairment,101
2024-11-09,12:14:19,SEG-92db545903aa36,N,3,Y,Y,N,Unknown,DarkUnlit,20,74.2,Y,N,N,Minor,N,0,Weather,165
2018-06-19,21:32:53,SEG-5a418b5a6d3c13,Y,3,N,N,N,Rain,Unknown,40,123.1,Y,Y,N,Minor,N,0,Mechanical,1
2022-04-29,20:55:18,SEG-82a3c406ee5208,N,7,N,Y,N,Storm,Dawn,70,112.3,N,N,Y,Serious,Y,0,RoadCondition,174
2024-03-25,01:13:47,SEG-b32b1437ff4ef7,N,5,Y,N,N,Clear,Daylight,120,51.9,N,Y,Y,None,N,2,Impairment,119
2020-06-10,10:48:58,SEG-74890979ee8b13,N,7,N,Y,N,Clear,Unknown,30,6.7,N,Y,Y,None,Y,0,Unknown,167
2020-06-26,14:35:20,SEG-0b4f1f94c1f729,Y,5,N,Y,Y,Unknown,Dusk,40,91.0,Y,N,N,None,Y,0,RoadCondition,23
2024-05-07,18:20:01,SEG-6b11437779c9ac,Y,7,N,N,Y,Fog,Dawn,60,94.5,Y,Y,N,Minor,N,0,Speeding,49
2020-04-13,19:17:13,SEG-b9671b56c94e67,Y,3,N,Y,N,Storm,Daylight,70,60.4,Y,N,N,None,N,0,Weather,210
2020-06-21,06:21:42,SEG-f6679e71d6d0e1,N,6,Y,N,N,Storm,Daylight,30,56.4,Y,Y,N,Serious,Y,0,PedestrianError,232
2024-07-28,13:49:31,SEG-b253fec6bd8175,N,8,Y,Y,Y,Clear,Dawn,30,84.7,N,N,Y,None,Y,0,Unknown,81
2020-10-18,22:47:39,SEG-61de75d80917df,Y,5,Y,Y,N,Rain,DarkUnlit,120,89.3,Y,N,N,None,N,1,Weather,45
2025-05-17,14:05:57,SEG-f7045e3a974f53,Y,5,N,Y,N,Unknown,DarkLit,90,23.4,Y,Y,Y,Fatal,N,0,SignalViolation,164
2023-08-23,04:15:30,SEG-60bb0f7ac79b96,N,5,N,N,N,Fog,Dawn,60,90.8,Y,N,N,Minor,N,0,Unknown,226
2023-04-24,19:57:11,SEG-8385bb9ec7041c,N,6,Y,N,Y,Clear,DarkLit,30,107.4,Y,Y,N,None,Y,0,Weather,8
2022-08-23,10:06:12,SEG-cffb601ccc4a8a,Y,3,Y,N,N,Clear,Daylight,40,34.3,N,N,N,None,N,0,PedestrianError,201
2022-10-24,05:01:35,SEG-63e71287f65a1c,Y,2,Y,N,Y,Haze,Daylight,80,65.1,Y,N,Y,None,N,0,RoadCondition,13
2025-11-30,19:13:36,SEG-2e564d19b86005,Y,3,Y,Y,N,Haze,DarkLit,70,29.0,Y,Y,N,None,Y,3,RoadCondition,219
