health_pharma_reference_year,health_pharma_country_iso2,health_pharma_atc_code,health_pharma_medicine_type_code,health_pharma_authorisation_type_code,health_pharma_price_eur_pack_median,health_pharma_reimbursement_rate_pct,health_pharma_volume_units_sold,health_pharma_generic_share_pct,health_pharma_biosimilar_share_pct,health_pharma_shortage_reports_count,health_pharma_shortage_duration_days_median,health_pharma_htA_decision_code,health_pharma_time_to_market_days_median,health_pharma_parallel_trade_flag,health_pharma_joint_procurement_flag,health_pharma_clinical_trials_count,health_pharma_data_source_ema_flag,health_pharma_revision_round,health_pharma_data_extract_date
2016,SK,M70GA70,BIOSIMILAR,MUTUAL_RECOGNITION,97.88,38.99,8987392,53.0,46.51,355,108.9,POSITIVE,638.68,1,0,73,0,SECOND,2025-04-25
2017,BE,N77RN87,GENERIC,DECENTRALISED,9.9,107.15,40956629,87.69,18.7,324,163.89,NEGATIVE,117.32,0,0,232,0,FIRST,2025-10-08
2018,DK,P84CA04,BRANDED_ORIGINATOR,CENTRALISED_EMA,98.44,66.41,26976806,65.81,2.78,1,73.08,NOT_REQUIRED,1032.42,1,0,596,1,FLASH,2024-03-20
2019,GR,R91NN21,ORPHAN,NATIONAL_MA,189.53,20.96,18396620,69.72,7.68,248,51.43,CONDITIONAL,97.06,1,0,334,0,BENCHMARK,2026-01-29
2020,LT,S98YA38,OTC,MUTUAL_RECOGNITION,242.52,72.65,40648672,53.02,23.01,364,88.96,PENDING,720.48,1,0,279,0,SECOND,2024-01-05
2021,PT,V05JN55,VACCINE,DECENTRALISED,226.01,30.54,24500354,59.58,12.23,608,29.77,POSITIVE,132.65,1,0,511,0,FIRST,2024-05-02
2022,SE,A12UA72,BIOSIMILAR,CENTRALISED_EMA,235.4,85.48,1008163,14.44,51.88,438,167.86,NEGATIVE,507.01,0,0,220,1,FLASH,2024-06-06
2023,CY,B19FN89,GENERIC,NATIONAL_MA,243.74,52.28,37090665,10.28,18.95,399,114.67,NOT_REQUIRED,740.97,1,0,24,0,BENCHMARK,2024-07-22
2024,FR,C26QA06,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,268.05,90.31,19929291,24.14,19.27,473,197.18,CONDITIONAL,282.32,0,0,223,0,SECOND,2024-12-10
2025,IT,D33BN23,ORPHAN,DECENTRALISED,38.61,83.93,988772,52.23,7.41,148,168.53,PENDING,767.98,0,0,97,0,FIRST,2025-05-11
2006,NL,E40MA40,OTC,CENTRALISED_EMA,218.88,66.13,30110536,73.42,16.44,334,71.77,POSITIVE,1043.37,0,0,40,1,FLASH,2025-11-30
2007,SI,F47XN57,VACCINE,NATIONAL_MA,143.19,87.85,14990844,24.63,20.88,100,127.23,NEGATIVE,309.47,0,0,622,0,BENCHMARK,2025-08-03
2008,BG,G54IA74,BIOSIMILAR,MUTUAL_RECOGNITION,250.17,73.05,5976604,70.51,38.19,323,114.82,NOT_REQUIRED,590.1,0,0,84,0,SECOND,2025-04-14
2009,EE,H61TN91,GENERIC,DECENTRALISED,99.16,38.53,2786672,79.93,9.83,408,110.4,CONDITIONAL,714.97,0,0,159,0,FIRST,2025-08-17
2010,HU,J68EA08,BRANDED_ORIGINATOR,CENTRALISED_EMA,32.3,15.77,24426320,48.28,21.53,35,118.94,PENDING,388.24,0,0,45,1,FLASH,2025-02-25
2011,LU,L75PN25,ORPHAN,NATIONAL_MA,361.61,32.06,24581110,50.72,15.35,443,122.4,POSITIVE,659.29,1,0,411,0,BENCHMARK,2024-08-29
2012,RO,M82AA42,OTC,MUTUAL_RECOGNITION,112.32,55.09,46880317,85.77,15.24,188,134.17,NEGATIVE,530.51,0,0,228,0,SECOND,2024-01-04
2013,AT,N89LN59,VACCINE,DECENTRALISED,69.75,39.15,19797006,20.53,6.55,192,188.33,NOT_REQUIRED,244.01,0,0,78,0,FIRST,2025-06-08
2014,CZ,P96WA76,BIOSIMILAR,CENTRALISED_EMA,100.39,96.89,27048403,79.67,37.99,6,5.15,CONDITIONAL,73.25,0,0,243,1,FLASH,2024-06-11
2015,DE,R03HN93,GENERIC,NATIONAL_MA,70.39,70.4,32232026,37.87,16.61,103,138.47,PENDING,683.91,1,0,142,0,BENCHMARK,2025-12-21
2016,LV,S10SA10,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,286.35,85.79,27435342,33.09,6.27,110,25.55,POSITIVE,358.37,0,0,428,0,SECOND,2024-06-01
2017,PL,V17DN27,ORPHAN,DECENTRALISED,111.37,79.41,2963207,53.18,16.16,346,6.11,NEGATIVE,350.24,0,0,160,0,FIRST,2025-01-29
2018,ES,A24OA44,OTC,CENTRALISED_EMA,225.58,89.11,39663084,24.26,13.57,316,27.54,NOT_REQUIRED,529.5,0,0,140,1,FLASH,2024-06-11
2019,HR,B31ZN61,VACCINE,NATIONAL_MA,38.43,17.06,18081965,64.69,6.81,208,10.8,CONDITIONAL,25.81,0,0,468,0,BENCHMARK,2025-05-22
2020,FI,C38KA78,BIOSIMILAR,MUTUAL_RECOGNITION,119.04,100.37,23168360,8.4,38.6,710,64.73,PENDING,510.31,1,0,257,0,SECOND,2025-08-23
2021,IE,D45VN95,GENERIC,DECENTRALISED,164.66,70.88,18710071,25.05,7.5,773,134.7,POSITIVE,73.98,0,0,79,0,FIRST,2026-02-21
2022,MT,E52GA12,BRANDED_ORIGINATOR,CENTRALISED_EMA,379.84,55.58,6379676,72.38,23.04,722,68.39,NEGATIVE,663.33,0,0,528,1,FLASH,2024-02-08
2023,SK,F59RN29,ORPHAN,NATIONAL_MA,389.84,52.47,19710853,6.92,2.71,518,198.67,NOT_REQUIRED,367.36,0,0,235,0,BENCHMARK,2025-12-15
2024,BE,G66CA46,OTC,MUTUAL_RECOGNITION,118.55,19.34,46400818,12.81,18.49,409,47.03,CONDITIONAL,488.25,0,0,187,0,SECOND,2025-08-13
2025,DK,H73NN63,VACCINE,DECENTRALISED,158.61,107.31,12347497,87.21,6.34,603,98.74,PENDING,435.15,0,0,259,0,FIRST,2025-01-04
2006,GR,J80YA80,BIOSIMILAR,CENTRALISED_EMA,221.18,45.51,3620195,13.83,44.09,258,176.41,POSITIVE,47.63,0,0,91,1,FLASH,2024-03-20
2007,LT,L87JN97,GENERIC,NATIONAL_MA,48.16,22.14,35533316,54.03,20.62,306,101.13,NEGATIVE,471.9,1,0,51,0,BENCHMARK,2025-07-07
2008,PT,M94UA14,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,161.59,14.92,17403443,57.63,8.3,6,114.33,NOT_REQUIRED,353.29,1,0,374,0,SECOND,2026-02-07
2009,SE,N01FN31,ORPHAN,DECENTRALISED,458.74,29.43,22864196,34.07,10.6,3,63.99,CONDITIONAL,633.72,0,0,649,0,FIRST,2024-02-14
2010,CY,P08QA48,OTC,CENTRALISED_EMA,225.33,90.37,16782055,54.05,20.62,203,80.36,PENDING,223.65,0,0,131,1,FLASH,2026-01-26
2011,FR,R15BN65,VACCINE,NATIONAL_MA,221.73,35.07,11802213,86.36,5.0,128,85.51,POSITIVE,642.8,0,0,292,0,BENCHMARK,2025-06-11
2012,IT,S22MA82,BIOSIMILAR,MUTUAL_RECOGNITION,24.68,75.07,9243050,86.26,6.55,87,88.91,NEGATIVE,146.15,1,0,193,0,SECOND,2025-04-07
2013,NL,V29XN99,GENERIC,DECENTRALISED,18.44,78.09,32852960,18.17,15.95,386,90.38,NOT_REQUIRED,570.49,0,0,71,0,FIRST,2024-04-25
2014,SI,A36IA16,BRANDED_ORIGINATOR,CENTRALISED_EMA,149.15,88.32,7051802,34.2,2.39,155,6.0,CONDITIONAL,785.7,0,0,299,1,FLASH,2025-02-10
2015,BG,B43TN33,ORPHAN,NATIONAL_MA,32.24,78.43,13913569,36.93,15.28,35,40.95,PENDING,788.78,0,0,306,0,BENCHMARK,2024-03-28
2016,EE,C50EA50,OTC,MUTUAL_RECOGNITION,101.13,56.98,3245314,83.21,14.35,251,154.34,POSITIVE,638.04,1,0,45,0,SECOND,2026-01-06
2017,HU,D57PN67,VACCINE,DECENTRALISED,300.52,76.87,27080739,61.66,6.12,400,38.11,NEGATIVE,543.21,0,0,438,0,FIRST,2025-03-30
2018,LU,E64AA84,BIOSIMILAR,CENTRALISED_EMA,247.59,16.83,11823843,26.46,24.37,297,95.36,NOT_REQUIRED,256.33,0,1,163,1,FLASH,2025-10-14
2019,RO,F71LN01,GENERIC,NATIONAL_MA,70.43,48.09,19139803,66.29,12.35,46,145.95,CONDITIONAL,675.99,0,0,126,0,BENCHMARK,2024-10-16
2020,AT,G78WA18,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,150.71,53.98,24089683,40.43,11.9,297,5.91,PENDING,304.73,0,0,127,0,SECOND,2025-02-19
2021,CZ,H85HN35,ORPHAN,DECENTRALISED,186.05,46.2,24302064,31.41,1.79,553,101.83,POSITIVE,641.22,0,0,177,0,FIRST,2025-09-21
2022,DE,J92SA52,OTC,CENTRALISED_EMA,186.66,28.26,18829945,58.73,12.48,454,163.55,NEGATIVE,903.39,1,0,275,1,FLASH,2025-05-10
2023,LV,L99DN69,VACCINE,NATIONAL_MA,41.39,76.69,22811990,25.86,3.07,715,181.82,NOT_REQUIRED,400.38,1,1,178,0,BENCHMARK,2024-01-26
2024,PL,M06OA86,BIOSIMILAR,MUTUAL_RECOGNITION,27.53,72.86,25806024,18.49,41.92,10,99.18,CONDITIONAL,671.72,1,0,182,0,SECOND,2025-12-15
2025,ES,N13ZN03,GENERIC,DECENTRALISED,154.98,26.93,37115965,53.35,15.58,174,179.48,PENDING,791.66,1,0,209,0,FIRST,2024-10-11
2006,HR,P20KA20,BRANDED_ORIGINATOR,CENTRALISED_EMA,191.32,79.37,6103534,73.55,21.64,259,188.79,POSITIVE,151.44,0,0,406,1,FLASH,2025-02-11
2007,FI,R27VN37,ORPHAN,NATIONAL_MA,283.35,48.62,4182173,9.96,5.39,135,182.28,NEGATIVE,343.15,0,0,515,0,BENCHMARK,2024-08-29
2008,IE,S34GA54,OTC,MUTUAL_RECOGNITION,190.33,33.37,1737886,74.53,11.9,33,45.54,NOT_REQUIRED,181.69,0,0,214,0,SECOND,2025-09-25
2009,MT,V41RN71,VACCINE,DECENTRALISED,47.02,74.53,7792198,19.62,1.02,17,74.84,CONDITIONAL,771.95,0,0,75,0,FIRST,2025-04-29
2010,SK,A48CA88,BIOSIMILAR,CENTRALISED_EMA,199.9,107.1,17410721,41.39,27.44,447,9.46,PENDING,813.03,0,0,135,1,FLASH,2025-08-16
2011,BE,B55NN05,GENERIC,NATIONAL_MA,214.59,104.58,14186837,39.94,13.43,229,124.34,POSITIVE,795.55,0,0,172,0,BENCHMARK,2025-04-05
2012,DK,C62YA22,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,218.06,87.31,20581833,41.93,12.37,457,12.49,NEGATIVE,330.77,0,0,288,0,SECOND,2025-06-20
2013,GR,D69JN39,ORPHAN,DECENTRALISED,345.96,59.17,9543311,26.72,4.06,440,155.26,NOT_REQUIRED,324.75,0,0,573,0,FIRST,2024-04-11
2014,LT,E76UA56,OTC,CENTRALISED_EMA,29.91,28.94,18519900,60.71,14.08,427,108.59,CONDITIONAL,771.57,1,0,174,1,FLASH,2024-04-27
2015,PT,F83FN73,VACCINE,NATIONAL_MA,196.42,46.82,23005419,38.62,4.78,365,140.61,PENDING,474.61,0,0,598,0,BENCHMARK,2024-04-24
2016,SE,G90QA90,BIOSIMILAR,MUTUAL_RECOGNITION,33.11,48.69,23127350,68.61,37.8,177,52.18,POSITIVE,350.9,0,0,64,0,SECOND,2025-09-26
2017,CY,H97BN07,GENERIC,DECENTRALISED,313.91,43.76,37757497,30.43,14.69,367,55.53,NEGATIVE,118.34,0,0,219,0,FIRST,2025-10-12
2018,FR,J04MA24,BRANDED_ORIGINATOR,CENTRALISED_EMA,304.38,30.27,6375756,84.29,17.86,438,16.99,NOT_REQUIRED,487.6,0,0,444,1,FLASH,2025-03-13
2019,IT,L11XN41,ORPHAN,NATIONAL_MA,170.96,21.2,17104742,45.85,8.35,413,198.71,CONDITIONAL,667.23,0,0,317,0,BENCHMARK,2024-02-21
2020,NL,M18IA58,OTC,MUTUAL_RECOGNITION,280.41,53.08,36366256,65.62,7.12,61,142.95,PENDING,469.75,0,0,275,0,SECOND,2024-11-28
2021,SI,N25TN75,VACCINE,DECENTRALISED,148.82,97.35,18926938,24.92,2.85,634,9.64,POSITIVE,400.44,0,0,212,0,FIRST,2025-06-03
2022,BG,P32EA92,BIOSIMILAR,CENTRALISED_EMA,130.14,30.43,20843598,57.61,45.58,90,9.5,NEGATIVE,1017.63,0,0,196,1,FLASH,2025-06-27
2023,EE,R39PN09,GENERIC,NATIONAL_MA,230.54,93.69,43822675,53.98,21.34,600,117.65,NOT_REQUIRED,449.04,0,0,66,0,BENCHMARK,2024-01-23
2024,HU,S46AA26,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,336.23,19.13,23292860,22.61,19.75,636,30.4,CONDITIONAL,26.17,0,0,421,0,SECOND,2025-07-20
2025,LU,V53LN43,ORPHAN,DECENTRALISED,158.19,85.07,10828412,15.01,18.91,209,175.06,PENDING,660.85,0,0,372,0,FIRST,2024-09-29
2006,RO,A60WA60,OTC,CENTRALISED_EMA,79.76,18.8,12600456,35.92,5.1,367,197.59,POSITIVE,1029.34,1,0,135,1,FLASH,2025-11-26
2007,AT,B67HN77,VACCINE,NATIONAL_MA,27.55,95.19,25365390,22.27,22.61,253,57.78,NEGATIVE,495.52,1,0,110,0,BENCHMARK,2024-06-22
2008,CZ,C74SA94,BIOSIMILAR,MUTUAL_RECOGNITION,242.55,53.88,752859,54.78,45.27,123,149.74,NOT_REQUIRED,367.45,0,0,243,0,SECOND,2025-11-04
2009,DE,D81DN11,GENERIC,DECENTRALISED,75.53,17.98,46814897,59.13,16.13,47,6.65,CONDITIONAL,301.52,1,1,243,0,FIRST,2025-02-24
2010,LV,E88OA28,BRANDED_ORIGINATOR,CENTRALISED_EMA,366.03,64.51,24259103,73.51,20.61,29,63.46,PENDING,512.89,0,0,51,1,FLASH,2024-11-23
2011,PL,F95ZN45,ORPHAN,NATIONAL_MA,85.94,27.69,20380893,48.43,9.86,124,185.16,POSITIVE,70.99,0,0,468,0,BENCHMARK,2025-06-10
2012,ES,G02KA62,OTC,MUTUAL_RECOGNITION,226.65,32.36,30869011,78.73,9.92,276,204.04,NEGATIVE,578.58,0,0,32,0,SECOND,2025-01-08
2013,HR,H09VN79,VACCINE,DECENTRALISED,167.73,84.64,1575228,51.47,12.2,157,112.9,NOT_REQUIRED,594.04,0,0,254,0,FIRST,2024-05-20
2014,FI,J16GA96,BIOSIMILAR,CENTRALISED_EMA,32.95,102.98,12770078,13.63,46.4,55,61.24,CONDITIONAL,53.93,0,0,138,1,FLASH,2026-01-12
2015,IE,L23RN13,GENERIC,NATIONAL_MA,92.36,79.01,44142970,45.79,6.12,309,57.8,PENDING,460.82,0,0,279,0,BENCHMARK,2024-07-26
2016,MT,M30CA30,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,145.01,19.0,10042780,66.05,11.68,308,178.82,POSITIVE,676.17,0,0,306,0,SECOND,2024-01-12
2017,SK,N37NN47,ORPHAN,DECENTRALISED,423.25,32.54,25950667,54.21,3.57,363,147.09,NEGATIVE,451.44,0,0,245,0,FIRST,2025-08-12
2018,BE,P44YA64,OTC,CENTRALISED_EMA,53.57,55.92,18834995,52.75,19.0,20,116.86,NOT_REQUIRED,455.61,1,0,13,1,FLASH,2025-04-21
2019,DK,R51JN81,VACCINE,NATIONAL_MA,305.83,17.63,18288210,6.0,11.23,58,95.54,CONDITIONAL,368.17,1,0,76,0,BENCHMARK,2025-08-25
2020,GR,S58UA98,BIOSIMILAR,MUTUAL_RECOGNITION,119.57,16.6,14070995,11.43,11.34,623,79.13,PENDING,47.98,0,0,14,0,SECOND,2025-06-27
2021,LT,V65FN15,GENERIC,DECENTRALISED,120.78,66.04,36255281,26.88,4.92,622,108.85,POSITIVE,730.28,0,0,170,0,FIRST,2024-10-16
2022,PT,A72QA32,BRANDED_ORIGINATOR,CENTRALISED_EMA,281.66,31.69,4807733,25.56,20.13,470,111.16,NEGATIVE,741.72,0,0,560,1,FLASH,2025-12-27
2023,SE,B79BN49,ORPHAN,NATIONAL_MA,33.9,48.53,14672370,40.31,20.53,609,181.4,NOT_REQUIRED,70.88,1,0,205,0,BENCHMARK,2024-01-28
2024,CY,C86MA66,OTC,MUTUAL_RECOGNITION,148.47,50.28,8602743,59.46,19.52,759,90.48,CONDITIONAL,370.65,0,0,190,0,SECOND,2026-02-05
2025,FR,D93XN83,VACCINE,DECENTRALISED,97.97,83.46,1239726,42.98,11.42,341,86.92,PENDING,255.5,1,1,419,0,FIRST,2025-05-16
2006,IT,E00IA00,BIOSIMILAR,CENTRALISED_EMA,184.2,44.25,20796181,78.46,27.61,2,79.47,POSITIVE,37.44,0,0,82,1,FLASH,2024-06-13
2007,NL,F07TN17,GENERIC,NATIONAL_MA,136.6,28.48,46224486,48.68,0.42,54,48.64,NEGATIVE,297.05,0,0,282,0,BENCHMARK,2024-10-16
2008,SI,G14EA34,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,336.93,44.48,3954031,13.06,6.66,104,76.84,NOT_REQUIRED,379.43,0,0,444,0,SECOND,2024-04-24
2009,BG,H21PN51,ORPHAN,DECENTRALISED,408.08,26.02,11608431,58.89,21.15,154,88.47,CONDITIONAL,48.34,1,0,47,0,FIRST,2026-01-30
2010,EE,J28AA68,OTC,CENTRALISED_EMA,31.03,55.48,26108435,16.03,0.74,224,100.58,PENDING,139.81,0,0,261,1,FLASH,2024-04-21
2011,HU,L35LN85,VACCINE,NATIONAL_MA,38.67,49.64,4692347,7.36,4.49,262,36.84,POSITIVE,85.02,0,0,37,0,BENCHMARK,2024-06-26
2012,LU,M42WA02,BIOSIMILAR,MUTUAL_RECOGNITION,138.67,58.05,18222255,43.01,27.05,40,38.92,NEGATIVE,353.93,0,0,265,0,SECOND,2024-10-03
2013,RO,N49HN19,GENERIC,DECENTRALISED,165.35,78.93,42410211,33.76,14.9,256,31.31,NOT_REQUIRED,104.2,0,0,93,0,FIRST,2025-07-28
2014,AT,P56SA36,BRANDED_ORIGINATOR,CENTRALISED_EMA,222.11,35.47,24176496,58.34,11.7,420,141.36,CONDITIONAL,89.56,0,0,259,1,FLASH,2025-03-23
2015,CZ,R63DN53,ORPHAN,NATIONAL_MA,186.45,74.71,2874216,86.57,1.81,262,117.87,PENDING,85.74,0,0,70,0,BENCHMARK,2024-07-20
2016,DE,S70OA70,OTC,MUTUAL_RECOGNITION,235.2,84.02,2461789,77.53,7.93,259,60.41,POSITIVE,64.45,0,0,177,0,SECOND,2024-04-22
2017,LV,V77ZN87,VACCINE,DECENTRALISED,131.37,68.65,10063731,50.3,7.67,363,184.41,NEGATIVE,804.33,0,0,30,0,FIRST,2025-09-25
2018,PL,A84KA04,BIOSIMILAR,CENTRALISED_EMA,194.82,29.71,15849385,9.88,16.58,357,181.95,NOT_REQUIRED,989.85,0,0,109,1,FLASH,2024-12-15
2019,ES,B91VN21,GENERIC,NATIONAL_MA,120.71,30.55,10525880,55.48,6.06,311,130.05,CONDITIONAL,403.68,0,0,113,0,BENCHMARK,2025-06-08
2020,HR,C98GA38,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,284.73,54.34,20352453,71.51,10.43,232,121.63,PENDING,89.18,1,0,237,0,SECOND,2024-10-17
2021,FI,D05RN55,ORPHAN,DECENTRALISED,48.86,38.48,17115547,51.21,21.87,50,143.28,POSITIVE,728.41,0,0,126,0,FIRST,2025-09-22
2022,IE,E12CA72,OTC,CENTRALISED_EMA,202.75,23.71,30872553,82.68,5.67,426,111.32,NEGATIVE,427.37,0,0,184,1,FLASH,2024-11-09
2023,MT,F19NN89,VACCINE,NATIONAL_MA,189.94,80.57,15557723,30.71,19.34,143,72.97,NOT_REQUIRED,683.59,1,0,354,0,BENCHMARK,2026-01-03
2024,SK,G26YA06,BIOSIMILAR,MUTUAL_RECOGNITION,154.43,28.36,26369691,36.9,19.39,39,10.53,CONDITIONAL,474.15,1,0,79,0,SECOND,2024-02-10
2025,BE,H33JN23,GENERIC,DECENTRALISED,204.0,58.92,13430609,62.56,14.87,318,38.06,PENDING,394.75,0,0,157,0,FIRST,2024-11-16
2006,DK,J40UA40,BRANDED_ORIGINATOR,CENTRALISED_EMA,149.59,71.87,14520578,7.09,8.13,169,16.71,POSITIVE,856.04,1,0,270,1,FLASH,2024-10-02
2007,GR,L47FN57,ORPHAN,NATIONAL_MA,368.21,68.33,21053678,53.42,10.52,349,49.12,NEGATIVE,678.76,0,0,489,0,BENCHMARK,2025-10-23
2008,LT,M54QA74,OTC,MUTUAL_RECOGNITION,103.5,55.13,8065103,20.85,8.21,73,7.34,NOT_REQUIRED,87.66,0,0,172,0,SECOND,2025-02-08
2009,PT,N61BN91,VACCINE,DECENTRALISED,50.38,71.96,24119705,43.68,8.86,173,121.8,CONDITIONAL,408.07,1,0,327,0,FIRST,2024-07-12
2010,SE,P68MA08,BIOSIMILAR,CENTRALISED_EMA,145.48,43.79,27994071,38.68,14.35,305,157.12,PENDING,914.89,0,0,176,1,FLASH,2024-02-09
2011,CY,R75XN25,GENERIC,NATIONAL_MA,183.35,27.63,36298424,36.55,5.53,437,15.12,POSITIVE,269.16,0,0,41,0,BENCHMARK,2024-12-15
2012,FR,S82IA42,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,123.85,63.56,403425,78.12,5.36,235,21.65,NEGATIVE,634.56,0,0,569,0,SECOND,2025-11-07
2013,IT,V89TN59,ORPHAN,DECENTRALISED,101.18,71.18,11858490,21.52,11.71,183,163.39,NOT_REQUIRED,573.78,0,0,229,0,FIRST,2026-02-12
2014,NL,A96EA76,OTC,CENTRALISED_EMA,260.38,45.8,32793778,87.16,11.34,283,168.41,CONDITIONAL,186.67,1,0,63,1,FLASH,2025-12-22
2015,SI,B03PN93,VACCINE,NATIONAL_MA,24.08,24.2,25470488,79.75,12.72,20,10.38,PENDING,634.13,1,0,363,0,BENCHMARK,2025-11-18
2016,BG,C10AA10,BIOSIMILAR,MUTUAL_RECOGNITION,8.42,46.49,9757465,86.71,16.79,83,149.93,POSITIVE,775.24,1,0,253,0,SECOND,2024-06-04
2017,EE,D17LN27,GENERIC,DECENTRALISED,97.37,104.16,34358512,59.6,2.0,371,131.35,NEGATIVE,336.44,0,0,181,0,FIRST,2024-01-19
2018,HU,E24WA44,BRANDED_ORIGINATOR,CENTRALISED_EMA,206.94,87.71,12852959,50.42,3.98,443,131.03,NOT_REQUIRED,74.5,0,0,100,1,FLASH,2025-03-07
2019,LU,F31HN61,ORPHAN,NATIONAL_MA,105.28,17.74,10071367,55.77,22.68,380,60.07,CONDITIONAL,683.32,0,0,27,0,BENCHMARK,2025-06-28
2020,RO,G38SA78,OTC,MUTUAL_RECOGNITION,143.17,30.31,30768289,71.05,19.34,71,30.27,PENDING,537.8,1,0,116,0,SECOND,2024-01-12
2021,AT,H45DN95,VACCINE,DECENTRALISED,284.28,81.52,21381948,20.29,4.23,117,56.43,POSITIVE,638.15,0,1,398,0,FIRST,2025-02-28
2022,CZ,J52OA12,BIOSIMILAR,CENTRALISED_EMA,183.42,22.81,2101921,87.82,7.5,385,111.55,NEGATIVE,609.57,0,0,234,1,FLASH,2024-09-26
2023,DE,L59ZN29,GENERIC,NATIONAL_MA,116.09,39.12,45952567,9.29,3.09,661,96.55,NOT_REQUIRED,210.78,0,0,68,0,BENCHMARK,2025-01-29
2024,LV,M66KA46,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,327.57,36.65,13688633,83.38,20.15,691,110.43,CONDITIONAL,523.54,1,0,163,0,SECOND,2024-09-28
2025,PL,N73VN63,ORPHAN,DECENTRALISED,93.79,81.76,6006388,83.35,15.87,153,51.79,PENDING,743.08,0,0,367,0,FIRST,2025-12-11
2006,ES,P80GA80,OTC,CENTRALISED_EMA,139.96,93.04,46083285,19.12,22.56,184,125.92,POSITIVE,1026.77,0,0,151,1,FLASH,2025-09-16
2007,HR,R87RN97,VACCINE,NATIONAL_MA,35.39,64.98,10709297,9.15,19.99,173,147.34,NEGATIVE,501.46,1,0,521,0,BENCHMARK,2026-02-09
2008,FI,S94CA14,BIOSIMILAR,MUTUAL_RECOGNITION,26.75,17.83,2605517,48.64,4.68,374,76.84,NOT_REQUIRED,155.21,1,0,179,0,SECOND,2025-03-19
2009,IE,V01NN31,GENERIC,DECENTRALISED,213.1,52.33,30169147,46.18,7.79,293,141.7,CONDITIONAL,337.92,0,0,40,0,FIRST,2025-05-03
2010,MT,A08YA48,BRANDED_ORIGINATOR,CENTRALISED_EMA,377.11,61.27,9537091,84.68,6.25,77,13.1,PENDING,95.69,1,0,168,1,FLASH,2024-04-11
2011,SK,B15JN65,ORPHAN,NATIONAL_MA,255.31,47.56,14328285,64.54,17.38,94,91.3,POSITIVE,764.62,0,0,427,0,BENCHMARK,2024-09-05
2012,BE,C22UA82,OTC,MUTUAL_RECOGNITION,51.41,54.86,20673812,33.39,8.66,122,21.14,NEGATIVE,767.64,0,0,216,0,SECOND,2025-09-01
2013,DK,D29FN99,VACCINE,DECENTRALISED,86.21,24.53,13342895,58.52,16.93,261,100.23,NOT_REQUIRED,667.19,0,0,471,0,FIRST,2025-01-11
