biz_trade_shipment_month,biz_trade_port_of_entry_code,biz_trade_hs_code_6,biz_trade_trade_direction_code,biz_trade_trade_value_inr,biz_trade_trade_weight_kg,biz_trade_country_partner_code,biz_trade_transport_mode_code,biz_trade_containerized_flag,biz_trade_freight_rate_index,biz_trade_customs_clearance_hours,biz_trade_inspection_rate_pct,biz_trade_tariff_rate_effective_pct,biz_trade_trade_remedy_flag,biz_trade_origin_supply_chain_risk,biz_trade_destination_demand_index,biz_trade_seasonality_factor,biz_trade_re_export_flag,biz_trade_trade_finance_constraint_flag,biz_trade_data_release_version
2024-01,INYLL,733723,export,77824795.02,319407.5,BGD,sea,0,118.77,52.63,2.21,2.82,0,60.95,71.53,0.926,0,1,v2025_12
2026-07,INNQP,755702,import,153080096.46,8989.1,ARE,road,1,144.28,12.54,14.4,1.9,0,15.37,58.69,1.017,0,0,v2025_06
2018-12,INPOR,956761,export,174406130.22,12512.89,BRA,air,1,129.22,41.41,16.32,16.91,0,43.68,57.34,0.764,0,0,v2024_12
2026-07,INQNG,609915,reexport,168529844.6,16854.3,IND,rail,1,118.86,62.08,9.32,11.17,0,56.35,38.87,1.049,0,0,v2025_06
2019-05,INHQJ,849029,import,542995011.53,24504.85,ARE,sea,0,147.3,6.25,13.53,5.66,0,41.95,78.1,0.957,0,0,v2025_06
2023-11,INQKL,213802,export,234470144.82,12705.4,MYS,road,0,75.47,7.06,14.23,17.14,0,30.24,16.52,1.198,0,0,v2025_12
2022-01,INYUQ,410355,import,21434746.65,15153.36,MYS,rail,0,71.27,14.05,8.95,5.62,0,39.12,57.12,1.187,0,0,v2024_12
2021-08,INAQU,969683,reexport,131431662.1,34758.17,SGP,air,1,121.35,29.02,2.48,21.57,0,22.64,69.55,1.052,0,0,v2024_12
2025-02,INXWH,405059,export,1053714621.08,21768.21,RUS,sea,1,130.97,12.62,13.04,16.66,0,61.21,57.33,1.028,0,0,v2024_12
2020-07,INZKC,747064,export,533915031.55,29970.09,ZAF,rail,1,113.3,85.96,15.85,1.22,0,38.52,72.7,0.993,0,0,v2026_02
2020-05,INTIY,858209,import,570403319.85,13379.16,IND,sea,0,146.56,100.2,1.97,2.32,0,64.56,55.4,0.902,0,0,v2024_12
2024-04,INAMA,106438,export,559706219.24,31448.66,FRA,rail,1,194.33,26.54,17.63,16.49,0,27.99,80.89,0.992,0,0,v2025_06
2020-05,INUWA,916769,export,194032919.06,194538.69,IND,road,0,199.37,52.43,0.0,1.23,0,57.75,100.0,1.08,0,0,v2025_06
2018-04,INGSO,358244,import,1496500134.3,1027.09,BRA,sea,0,124.75,45.99,8.87,11.19,0,42.71,34.1,0.96,0,1,v2024_12
2018-05,INSMX,831778,reexport,191738537.0,25458.59,ZAF,rail,1,158.32,19.43,14.39,4.69,0,19.53,68.99,0.737,0,0,v2025_06
2024-11,INJEO,849519,reexport,276027614.98,10574.64,USA,road,0,205.77,70.48,12.72,15.46,1,64.56,66.11,1.064,0,1,v2025_12
2025-11,INYPA,729742,import,406444012.91,1253.87,NPL,road,1,89.05,17.97,0.0,10.53,0,37.83,53.88,0.806,0,0,v2026_02
2018-10,INFRU,764617,export,79728197.27,4859.08,THA,air,0,178.08,50.36,10.91,11.26,0,69.62,41.4,0.948,0,0,v2025_12
2021-06,INOZO,375786,reexport,135862590.27,64539.41,SAU,air,1,86.96,8.62,14.58,17.89,0,23.24,35.43,1.162,0,0,v2025_12
2025-12,INSZZ,101165,reexport,35344587.02,15782.47,BGD,road,1,66.93,45.28,8.85,9.69,0,51.15,58.92,1.083,0,0,v2026_02
2020-10,INSNX,309363,import,52373821.19,24920.51,MYS,rail,1,150.21,62.48,10.3,0.0,0,13.14,93.33,0.697,0,0,v2025_12
2022-03,INWET,439458,export,235373537.74,91763.85,SAU,road,1,126.85,56.41,5.95,5.89,0,37.68,77.59,0.866,0,0,v2025_06
2021-04,INDXV,185129,reexport,116885642.57,4037.89,IDN,rail,0,164.24,67.0,8.46,11.78,0,19.28,64.8,0.911,0,0,v2025_12
2025-07,INIIU,600700,export,491321155.49,370391.29,CHN,road,1,127.44,38.02,15.83,11.2,0,95.75,53.33,0.958,0,0,v2025_06
2019-01,INTMG,921664,export,292315145.1,18720.26,SAU,rail,0,148.55,25.95,3.67,0.0,0,23.28,63.86,0.891,0,0,v2026_02
2019-02,INHDC,875170,reexport,196238473.67,114242.48,DEU,sea,0,187.64,41.55,5.42,7.88,0,51.52,60.45,0.947,0,0,v2025_12
2026-06,INBPJ,834886,reexport,257217999.4,5406.8,BGD,air,0,135.97,46.25,5.58,4.16,0,23.71,24.43,1.074,0,0,v2025_12
2019-07,INVJT,837350,reexport,299785830.8,8923.49,BGD,air,1,152.9,42.85,14.26,10.56,0,45.04,50.15,0.923,0,1,v2025_06
2024-06,INOAG,450418,import,435628944.46,47093.06,RUS,sea,0,146.41,85.54,16.17,0.0,0,14.25,63.07,1.12,0,0,v2026_02
2024-10,INWAU,862140,import,159463604.32,9757.39,VNM,sea,1,103.44,18.84,10.25,4.22,0,47.1,51.07,1.083,0,0,v2024_12
2024-10,INJYM,128743,reexport,521656495.21,27760.96,IND,road,0,101.73,15.87,14.81,2.1,0,43.17,53.23,0.801,0,0,v2025_06
2019-12,INJAJ,962126,reexport,89957604.12,1396.57,KOR,road,1,141.31,69.89,8.48,11.71,0,41.3,50.81,1.092,1,0,v2026_02
2021-09,INDAT,760421,import,47929630.4,9383.99,AUS,road,0,107.74,128.38,0.0,14.61,0,13.93,46.47,1.12,0,1,v2026_02
2018-12,INMHX,890081,reexport,707566863.63,4606.21,RUS,air,0,182.52,240.0,0.0,11.41,0,41.92,55.5,1.028,0,0,v2025_12
2022-03,INMZU,140363,reexport,980012221.54,252775.74,ZAF,sea,1,50.0,9.66,0.0,0.0,0,0.0,31.16,0.755,0,1,v2025_06
2018-02,INSKQ,734432,reexport,175441103.25,178064.53,BGD,rail,1,146.7,76.72,9.33,3.31,0,11.17,56.89,0.5,0,0,v2025_06
2022-09,INDVW,240239,reexport,69154743.3,727.22,JPN,sea,1,136.43,47.79,8.94,6.39,0,24.85,52.68,1.033,0,1,v2024_12
2022-02,INNOE,178844,export,117223118.71,30338.73,SGP,sea,0,149.05,13.96,0.0,9.15,0,51.13,72.75,0.976,0,0,v2025_12
2019-10,INGKA,965966,import,658673549.7,35366.14,RUS,road,1,60.02,76.28,5.93,1.74,0,57.21,73.38,0.735,0,0,v2025_06
2025-09,INOMG,141159,reexport,935004436.28,212298.25,BGD,sea,0,120.26,39.58,11.52,4.08,0,38.48,79.84,1.076,1,0,v2025_06
2019-01,INZYU,405345,import,978136839.3,141560.2,IND,sea,1,111.36,63.95,17.21,2.41,0,23.47,80.8,1.341,0,0,v2025_12
2018-07,INAUP,841829,import,116507718.2,240241.95,JPN,air,0,135.44,31.24,9.16,14.89,0,60.71,49.61,0.923,0,0,v2024_12
2026-08,INVCA,670854,import,32500502.74,75806.65,GBR,rail,0,61.44,37.0,9.06,7.78,0,67.78,40.74,1.168,0,0,v2024_12
2026-11,INWLB,327941,export,174214759.63,12315.65,SAU,rail,0,111.17,51.49,6.16,11.07,0,46.04,40.97,0.905,0,0,v2024_12
2020-01,INJSS,637032,reexport,410915079.39,7497.34,NPL,road,0,153.05,28.33,4.56,7.75,0,35.99,28.66,1.148,0,0,v2025_12
2023-01,INALM,825438,export,461862762.06,105140.93,SAU,air,1,95.63,16.83,10.28,18.45,0,7.93,38.56,0.632,0,0,v2025_12
2024-01,INMVJ,219657,export,326484447.99,13786.13,NPL,rail,0,68.47,78.16,15.45,10.61,0,35.55,38.52,1.097,0,0,v2024_12
2022-07,INSNF,884518,reexport,38935331.58,2476.57,IDN,sea,0,91.17,14.23,15.48,0.0,0,37.59,60.78,1.163,0,0,v2026_02
2022-04,INKET,921739,export,230638650.14,27086.66,SAU,sea,1,156.54,14.15,0.0,3.38,0,38.79,45.9,0.97,0,0,v2025_12
2019-04,INMFF,132832,reexport,2358672652.97,17849.87,IDN,rail,0,138.04,47.74,3.38,11.86,0,30.92,78.44,1.089,0,0,v2024_12
2024-03,INYPZ,348222,export,1179012349.44,12917.71,MYS,road,1,96.2,87.76,15.7,0.0,0,7.73,52.56,1.087,0,0,v2026_02
2023-04,INKHR,601652,import,207715127.47,34099.08,RUS,sea,0,130.08,102.29,0.0,8.98,0,21.95,56.06,1.169,0,0,v2026_02
2022-09,INDQH,571343,import,941600465.11,5239.62,IDN,road,0,141.5,117.85,3.62,16.6,0,48.01,37.58,0.826,0,0,v2024_12
2020-02,INSIN,401629,import,83046302.33,37592.16,KOR,sea,0,128.94,18.36,2.67,15.96,0,22.63,40.15,0.777,0,0,v2026_02
2025-02,INRHY,578966,export,203534893.58,8848.4,AUS,air,1,167.17,12.8,5.19,9.43,0,30.95,85.74,1.074,0,0,v2026_02
2026-08,INUSD,255692,import,167755168.28,23055.97,AUS,road,1,125.43,25.11,11.41,18.67,0,65.55,28.28,0.932,0,0,v2026_02
2021-06,INNEP,201499,import,916724926.55,16084.16,NPL,rail,1,156.36,41.01,5.56,8.06,0,52.65,44.72,0.975,0,0,v2024_12
2018-01,INLWE,469449,import,375279754.42,101629.56,SGP,sea,1,151.61,49.19,12.43,15.37,0,19.58,46.53,0.927,0,0,v2026_02
2020-12,INJVK,419715,import,117785086.08,8887.25,VNM,air,1,116.12,25.0,4.06,13.47,0,35.48,56.07,1.153,0,0,v2026_02
2019-03,INEZK,819822,export,887863606.09,44340.93,MYS,rail,0,130.3,56.95,2.28,7.07,0,34.21,69.26,1.083,0,1,v2024_12
2022-08,INAQZ,854662,export,206831840.76,46951.16,MYS,sea,1,124.92,27.05,2.49,13.58,0,63.11,50.52,1.015,0,1,v2026_02
2024-11,INIGQ,823827,import,975153685.54,5507.42,BRA,road,1,130.9,28.55,18.96,1.14,0,51.66,42.91,0.991,0,0,v2025_06
2024-07,INJQP,269809,import,300045797.69,19358.5,FRA,road,1,103.09,69.76,4.31,1.5,0,66.27,56.17,0.772,0,0,v2026_02
2020-10,INMPR,690809,import,782826052.28,37158.1,SGP,sea,1,51.1,16.73,2.09,9.35,0,36.48,84.04,0.575,0,0,v2025_06
2022-06,INSBW,813854,export,344014933.53,7128.67,IDN,air,0,111.67,29.04,13.89,0.0,0,46.17,72.17,1.274,0,0,v2024_12
2018-12,INPKF,145501,export,198201623.96,45951.52,BGD,air,0,93.71,14.21,14.1,7.47,0,30.12,83.29,1.15,0,0,v2026_02
2025-03,INEMU,156470,import,448436654.75,32221.18,FRA,air,1,93.78,58.74,23.97,10.99,0,34.09,64.69,1.019,0,0,v2025_06
2019-05,INBWL,406882,export,380489179.66,141178.84,MYS,rail,1,77.36,125.44,17.89,17.76,0,43.66,29.24,0.885,0,0,v2025_06
2023-07,INURJ,719032,reexport,97496026.49,3371.39,BRA,sea,0,111.7,125.44,9.6,8.91,0,3.18,53.79,0.685,0,0,v2024_12
2019-12,INGBA,568335,import,1179779866.07,6919.12,SGP,air,1,149.46,50.19,13.3,11.4,0,46.67,66.0,1.107,0,1,v2024_12
2019-03,INLHW,859545,export,43639868.5,51860.85,IDN,road,1,156.99,27.07,10.26,4.22,0,23.95,92.6,0.901,0,1,v2026_02
2019-01,INHZW,490308,import,221141744.46,96987.61,VNM,road,0,79.24,32.9,3.61,0.0,0,33.5,50.89,0.808,0,0,v2024_12
2021-12,INMGO,444404,export,147567533.6,6112.75,IDN,sea,1,83.16,25.41,3.19,18.68,0,53.65,66.95,0.935,0,1,v2025_12
2021-07,INTYW,245880,export,84130345.07,376335.34,THA,rail,1,159.69,38.66,10.35,0.0,0,26.02,54.29,1.106,0,0,v2024_12
2026-06,INVLK,975406,import,359737706.64,164577.92,CHN,road,0,156.71,56.23,8.15,19.45,0,44.0,83.57,0.821,0,0,v2025_12
2023-02,INHQB,952296,export,223949148.04,20717.01,RUS,air,1,50.0,30.33,12.28,10.65,0,20.48,69.28,0.954,0,0,v2025_06
2025-11,INUWA,877690,import,749440932.17,123907.8,IND,air,1,99.41,15.68,0.0,0.74,1,17.35,50.11,0.959,0,0,v2024_12
2019-05,INLZS,997109,reexport,192288512.34,35570.62,DEU,air,1,104.46,19.22,10.04,0.0,0,45.14,80.96,1.0,0,0,v2026_02
2018-10,INMYA,462278,reexport,220736251.7,4903.01,THA,road,0,121.27,25.88,8.92,13.53,0,51.86,28.28,1.471,0,0,v2025_12
2019-07,INCIB,850964,export,156145368.44,18777.51,CHN,air,1,98.6,96.43,15.48,17.95,1,49.2,56.52,1.235,0,1,v2026_02
2022-10,INYCI,737514,import,1407495492.29,69299.32,THA,sea,1,145.88,39.56,6.98,12.09,0,51.79,66.57,1.111,0,0,v2025_06
2021-06,INDYO,267850,import,77453091.23,37535.95,SGP,road,1,164.06,14.74,2.18,13.25,0,37.62,43.96,1.239,0,1,v2025_06
2020-10,INFQQ,224622,reexport,114469281.82,199412.95,RUS,sea,1,189.1,84.95,7.03,3.82,0,9.4,61.87,1.19,0,0,v2025_12
2019-11,INCYL,400824,import,346700163.6,70133.55,VNM,sea,1,142.33,8.15,23.7,3.79,1,44.18,44.09,1.214,0,0,v2024_12
2023-10,INNTE,477148,reexport,82028048.55,9211.52,GBR,sea,1,94.91,133.43,12.1,16.21,0,32.81,56.65,1.034,0,0,v2025_12
2024-02,INYBX,253540,import,82360964.93,35334.03,AUS,air,0,151.22,7.48,0.0,11.03,0,47.69,41.74,0.856,0,1,v2026_02
2022-12,INMRR,818116,import,543064295.38,25358.73,JPN,rail,0,154.88,42.18,12.48,4.93,0,17.43,44.45,0.841,0,0,v2026_02
2022-02,INLFR,672254,export,507094294.88,23718.91,JPN,sea,1,126.33,26.24,12.47,4.63,0,54.17,46.88,0.918,0,0,v2025_06
2019-10,INFTS,364089,export,207887790.54,17568.26,THA,sea,1,157.79,23.27,7.69,0.0,0,72.62,65.92,0.858,0,0,v2025_06
2018-10,INKBT,100105,reexport,275824409.67,11141.66,SGP,air,1,172.52,64.41,9.45,15.57,0,21.09,62.9,0.842,0,0,v2024_12
2021-01,INDXZ,828090,export,16199311.68,19055.7,VNM,sea,1,158.37,19.46,9.85,6.56,0,36.6,56.08,1.299,0,1,v2025_06
2025-10,INIIH,672315,import,189734804.38,33510.74,BGD,rail,1,138.8,64.45,9.62,10.19,0,29.64,58.21,1.052,0,0,v2025_12
2018-11,INMCR,232643,import,429493679.21,6406.16,GBR,rail,1,132.48,41.31,2.87,0.0,0,11.98,56.24,0.759,0,0,v2024_12
2021-03,INCQS,357932,export,1161651268.69,102779.82,USA,road,1,84.12,27.25,0.72,0.0,0,48.68,66.04,1.159,0,0,v2026_02
2019-01,INJUB,884589,import,54567621.48,21552.5,JPN,road,0,70.73,10.46,8.5,1.64,0,26.91,68.75,0.789,0,0,v2026_02
2026-03,INVTX,225571,export,303164247.63,10253.39,NPL,air,0,142.89,64.51,0.0,0.0,0,16.21,75.06,1.03,0,0,v2025_06
2022-09,INJNA,599963,export,20200303.67,15090.74,NPL,rail,1,199.61,50.31,0.0,0.94,0,19.9,52.7,1.242,0,0,v2025_06
2024-01,INOOL,170724,import,215050445.64,12338.94,NPL,road,0,162.06,36.16,2.11,13.75,0,54.4,64.31,1.118,0,0,v2026_02
2020-03,INSRD,404698,import,505198265.35,23545.39,ZAF,sea,1,168.68,35.29,3.34,13.25,0,32.1,48.96,1.0,0,0,v2026_02
2023-01,INAND,878451,import,80855282.24,9760.29,THA,sea,1,112.92,43.08,11.43,12.21,0,34.42,73.78,0.687,0,0,v2025_06
2022-02,INLAC,760472,reexport,365359315.93,20691.42,USA,road,0,130.44,18.59,7.29,18.39,1,22.66,60.79,1.082,0,0,v2025_12
2026-01,INFFY,797858,export,68430247.78,10202.46,GBR,rail,0,91.57,33.65,11.17,0.0,0,42.28,77.03,1.105,0,0,v2025_12
2025-11,INFCT,908606,export,134865504.55,75019.7,THA,road,1,163.54,21.21,9.9,9.68,0,47.14,79.98,1.074,0,0,v2025_12
2019-01,INESD,239816,export,323839923.5,74583.71,VNM,rail,0,102.16,41.34,16.59,4.58,0,60.66,72.86,0.998,0,0,v2026_02
2019-03,INFNW,661077,reexport,1751605294.7,25570.12,MYS,air,0,54.35,21.39,12.1,6.46,0,32.28,19.2,1.36,0,0,v2026_02
2025-05,INKYR,989232,export,1290527126.6,77530.84,CHN,rail,0,87.89,35.25,11.88,1.07,0,13.32,47.7,1.102,0,0,v2025_12
2023-02,INLBM,353285,reexport,994657840.32,142769.62,VNM,sea,0,231.8,15.83,9.58,2.91,0,64.53,69.43,1.1,0,0,v2025_12
2024-05,INCZE,588626,reexport,14040522.44,14157.83,GBR,road,0,148.24,65.31,10.9,12.53,0,38.26,45.34,1.402,0,0,v2025_12
2024-12,INMTR,286479,reexport,201703616.67,38190.72,VNM,air,1,122.31,14.77,12.99,16.56,0,31.55,85.51,0.946,0,1,v2025_12
2021-11,INPKJ,951808,export,404294541.09,23743.52,KOR,air,0,85.7,20.49,13.2,8.27,0,48.69,72.43,1.228,0,0,v2025_12
2025-07,INGDC,131143,export,578324837.37,57189.05,JPN,road,0,117.08,21.55,8.55,8.95,0,31.78,72.73,1.157,0,0,v2026_02
2021-08,INGEQ,803944,export,336567411.05,138935.34,GBR,rail,0,156.93,23.09,4.74,10.09,0,45.11,53.02,0.953,0,1,v2025_06
2018-03,INAZH,632697,reexport,573903656.63,45105.52,SGP,road,0,113.08,24.38,11.83,8.0,0,10.63,51.4,0.982,0,1,v2025_06
2023-03,INDPH,529559,reexport,91277591.72,81766.35,SAU,road,1,119.22,7.83,11.84,1.84,0,54.89,76.16,1.084,0,1,v2025_06
2023-02,INLGF,857459,export,218169079.82,31972.35,MYS,air,1,191.34,9.9,5.74,14.11,1,17.26,64.78,1.002,0,0,v2024_12
2020-12,INMDZ,386564,reexport,2560908155.0,212365.13,FRA,air,0,214.79,29.19,14.59,10.27,0,46.72,39.01,0.981,0,0,v2025_06
2026-06,INDGS,996051,reexport,257927279.89,6272.74,BGD,road,0,139.26,43.44,11.05,11.22,0,42.45,72.94,0.91,0,0,v2025_06
2024-11,INCXU,317492,reexport,38715077.44,161294.12,IDN,road,1,114.88,46.12,9.99,32.11,0,43.82,47.7,1.194,0,0,v2025_06
2023-08,INZGY,162393,export,172695987.72,80369.32,IDN,road,1,191.12,17.82,0.28,0.28,0,55.46,57.86,0.781,0,1,v2026_02
2020-12,INIDB,466497,reexport,209294086.99,45921.29,AUS,air,0,82.09,26.21,10.25,9.25,0,13.06,47.04,0.988,0,0,v2025_12
2023-04,INQVO,287316,reexport,966085190.67,7915.15,CHN,road,0,155.86,29.43,17.2,7.02,0,70.64,79.39,1.085,0,0,v2024_12
2021-04,INUJR,397840,export,1076658342.48,8454.29,THA,rail,0,91.87,2.66,14.05,3.51,0,48.94,48.06,0.727,0,0,v2024_12
2024-11,INLHH,222604,import,113375847.77,23001.88,JPN,road,0,116.65,81.76,6.24,9.16,0,2.1,80.16,1.143,0,0,v2026_02
2024-12,INTMQ,186102,export,194790927.35,2667.63,THA,road,1,99.26,98.66,5.7,11.59,0,46.22,55.55,0.982,0,0,v2026_02
2023-06,INFQK,113657,import,56619693.6,118676.06,GBR,sea,1,132.87,29.41,3.42,2.73,0,29.61,51.88,0.872,0,0,v2026_02
2020-02,INHLT,311916,reexport,244669094.75,5539.71,IDN,sea,1,85.41,65.88,8.6,17.06,1,48.99,63.24,1.228,0,0,v2026_02
2025-11,INKRM,474080,export,861755507.5,48272.61,RUS,road,1,123.84,35.68,0.0,7.97,0,31.85,53.11,1.048,0,1,v2024_12
2023-02,INGDA,778083,import,233126230.35,54211.64,DEU,sea,1,168.44,42.83,0.0,11.43,0,68.98,41.27,0.902,0,1,v2025_12
2024-10,INGZW,435869,import,607919199.13,74174.18,USA,sea,1,106.85,77.3,12.76,19.08,0,43.8,72.75,0.992,0,0,v2025_12
2024-05,INGKB,677389,import,633719527.63,4649.85,THA,road,1,50.0,137.33,3.8,10.68,0,44.72,50.22,1.03,0,0,v2025_06
2018-04,INWTR,143533,import,277298527.99,241417.84,ZAF,air,1,130.57,9.59,6.13,17.16,0,18.5,42.85,0.948,0,0,v2024_12
2018-08,INAFZ,635801,reexport,85457620.8,2893.22,MYS,sea,0,177.2,84.39,2.85,0.0,1,32.94,70.4,0.901,0,0,v2024_12
2024-11,INGOV,147803,import,546947966.03,47697.85,AUS,road,1,147.13,29.2,6.82,4.38,0,36.54,53.94,1.176,0,0,v2025_12
2024-08,INZVA,403006,export,311343190.07,15027.05,KOR,air,0,50.0,116.97,8.71,9.75,0,40.1,85.27,1.097,0,0,v2025_06
2022-11,INONK,404386,reexport,262009091.91,24349.93,NPL,road,1,107.62,67.04,3.59,11.12,0,39.68,81.01,1.344,0,1,v2025_12
2021-02,INSVD,393075,import,276872488.81,22790.07,SGP,sea,1,116.48,48.57,5.08,18.23,0,8.73,29.71,1.096,0,1,v2025_12
2021-06,INRBY,291837,import,776940827.97,11475.42,DEU,rail,1,161.84,57.77,12.32,14.67,0,39.02,69.48,0.861,0,0,v2025_06
2022-03,INLKH,559775,reexport,212803937.97,10128.23,NPL,sea,0,165.39,30.12,15.13,13.16,0,56.96,64.2,0.826,0,0,v2025_06
2024-10,INZLN,499199,import,820873875.31,11668.14,MYS,road,0,134.81,14.24,1.41,22.41,1,33.16,45.71,0.911,0,0,v2026_02
2022-10,INAZI,318213,import,641331217.38,12782.51,ARE,air,1,146.92,35.83,1.66,20.69,0,43.24,63.55,0.989,0,0,v2026_02
2019-10,INQXP,332693,import,481404315.23,31149.85,KOR,rail,1,99.32,5.35,14.91,10.33,0,32.03,36.9,0.999,0,1,v2025_06
2023-08,INUYY,265808,import,155589203.22,46403.65,KOR,road,0,140.92,76.68,8.99,9.62,0,22.71,71.06,0.804,0,0,v2024_12
2026-07,INKUP,859481,import,145623597.77,8087.13,KOR,road,1,192.68,7.18,1.0,6.54,0,50.47,57.7,0.87,0,0,v2026_02
2025-06,INLQC,614796,reexport,458814593.46,236133.56,NPL,rail,1,188.65,75.48,11.92,10.49,0,15.46,60.75,0.934,0,0,v2026_02
2026-01,INUCA,213382,import,179978115.26,1258925.67,KOR,sea,1,124.81,40.69,8.71,4.07,0,20.0,57.55,0.772,0,1,v2024_12
2023-12,INEMB,175853,export,352346458.72,5255.6,BRA,rail,0,105.89,55.64,5.08,5.65,0,64.57,52.39,1.246,0,0,v2025_06
2020-06,INXFH,616618,reexport,353027950.35,154963.66,RUS,rail,0,191.12,58.69,0.52,4.19,0,35.18,61.32,0.664,0,0,v2024_12
2022-10,INTYC,944354,reexport,283208777.0,22735.67,GBR,air,1,173.49,22.04,17.88,6.92,0,25.25,67.47,1.207,0,0,v2026_02
2025-01,INFVO,430974,export,2123979108.11,3602.38,VNM,road,1,130.45,35.65,4.01,19.42,0,57.07,84.35,0.681,0,1,v2025_12
