energy_prices_reference_month,energy_prices_country_iso2,energy_prices_consumer_type_code,energy_prices_band_consumption_code,energy_prices_price_eur_kwh,energy_prices_energy_component_eur_kwh,energy_prices_network_component_eur_kwh,energy_prices_tax_levy_component_eur_kwh,energy_prices_vat_rate_pct,energy_prices_retail_market_concentration_hhi,energy_prices_supplier_switching_rate_pct,energy_prices_price_cap_regulation_flag,energy_prices_renewable_levy_flag,energy_prices_energy_poverty_rate_pct,energy_prices_bill_arrears_rate_pct,energy_prices_smart_meter_penetration_pct,energy_prices_time_of_use_tariff_flag,energy_prices_eurostat_table_code,energy_prices_methodology_version,energy_prices_data_extract_date
2016-11,SK,NON_HOUSEHOLD,BAND_3_HIGH,0.1123,0.0684,0.0137,0.0302,8.43,4028,7.48,1,1,19.35,2.1,32.8,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-05-06
2016-12,BE,SME,BAND_2_MEDIUM,0.0978,0.0556,0.0308,0.0114,13.45,1147,11.54,1,0,2.6,2.18,21.46,0,nrg_pc_206,EUROSTAT_METH_V2,2024-09-13
2017-01,DK,HOUSEHOLD,BAND_1_LOW,0.2488,0.1846,0.0427,0.0215,7.67,4588,12.16,0,0,20.43,14.39,36.87,0,nrg_pc_204,EUROSTAT_METH_V1,2025-08-04
2017-02,GR,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.2944,0.1935,0.0521,0.0488,13.05,2539,6.78,0,1,12.86,9.71,84.2,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-07-02
2017-03,LT,SME,BAND_3_HIGH,0.1453,0.0792,0.0239,0.0422,7.6,3005,7.36,0,0,11.8,3.08,22.73,0,nrg_pc_206,EUROSTAT_METH_V2,2026-01-27
2017-04,PT,HOUSEHOLD,BAND_2_MEDIUM,0.2594,0.1681,0.0426,0.0487,13.23,3389,6.38,0,1,21.37,3.88,60.6,0,nrg_pc_204,EUROSTAT_METH_V1,2025-07-02
2017-05,SE,NON_HOUSEHOLD,BAND_1_LOW,0.2231,0.1574,0.0688,0.0,8.46,3884,9.51,0,0,13.22,6.38,74.47,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-07-02
2017-06,CY,SME,BAND_4_VERY_HIGH,0.2528,0.1619,0.0652,0.0257,8.43,2364,12.92,0,0,20.14,11.14,89.86,0,nrg_pc_206,EUROSTAT_METH_V2,2025-01-10
2017-07,FR,HOUSEHOLD,BAND_3_HIGH,0.2197,0.1141,0.0516,0.054,12.3,1544,10.27,0,1,5.56,0.28,66.68,1,nrg_pc_204,EUROSTAT_METH_V1,2024-05-22
2017-08,IT,NON_HOUSEHOLD,BAND_2_MEDIUM,0.2699,0.1744,0.0908,0.0047,11.58,3504,12.73,0,1,6.9,13.96,23.84,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-01-12
2017-09,NL,SME,BAND_1_LOW,0.2251,0.1076,0.0663,0.0512,17.24,2635,4.77,1,0,5.16,8.92,87.57,0,nrg_pc_206,EUROSTAT_METH_V2,2025-09-17
2017-10,SI,HOUSEHOLD,BAND_4_VERY_HIGH,0.2114,0.149,0.0273,0.0351,11.67,4280,11.18,1,0,19.0,9.57,66.01,1,nrg_pc_204,EUROSTAT_METH_V1,2026-01-25
2017-11,BG,NON_HOUSEHOLD,BAND_3_HIGH,0.1506,0.0878,0.0414,0.0214,24.85,3317,16.69,0,0,19.41,3.91,26.01,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-11-03
2017-12,EE,SME,BAND_2_MEDIUM,0.1838,0.0969,0.0618,0.0251,13.62,3011,10.24,1,1,20.76,1.95,54.95,0,nrg_pc_206,EUROSTAT_METH_V2,2025-12-24
2018-01,HU,HOUSEHOLD,BAND_1_LOW,0.2838,0.2096,0.0989,0.0,26.96,4470,12.19,0,0,18.68,13.37,74.7,0,nrg_pc_204,EUROSTAT_METH_V1,2025-08-09
2018-02,LU,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.2963,0.2095,0.0644,0.0224,25.82,3486,3.59,0,0,20.06,13.03,64.18,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-07-08
2018-03,RO,SME,BAND_3_HIGH,0.2292,0.1545,0.0544,0.0203,8.39,2773,8.62,1,1,15.52,3.32,78.82,0,nrg_pc_206,EUROSTAT_METH_V2,2024-04-03
2018-04,AT,HOUSEHOLD,BAND_2_MEDIUM,0.3505,0.1961,0.0825,0.0719,14.37,973,0.85,0,1,13.15,7.31,11.3,0,nrg_pc_204,EUROSTAT_METH_V1,2024-09-24
2018-05,CZ,NON_HOUSEHOLD,BAND_1_LOW,0.2088,0.1382,0.0522,0.0184,24.57,3212,5.85,0,0,19.23,7.54,13.32,0,nrg_pc_205,NATIONAL_METH_UPDATE,2026-02-20
2018-06,DE,SME,BAND_4_VERY_HIGH,0.339,0.2186,0.0907,0.0297,20.86,2114,9.52,1,0,10.9,13.11,30.09,0,nrg_pc_206,EUROSTAT_METH_V2,2024-02-28
2018-07,LV,HOUSEHOLD,BAND_3_HIGH,0.3049,0.2067,0.0619,0.0363,25.69,4262,4.52,0,0,1.56,0.43,57.52,1,nrg_pc_204,EUROSTAT_METH_V1,2025-02-19
2018-08,PL,NON_HOUSEHOLD,BAND_2_MEDIUM,0.2856,0.1486,0.0519,0.0851,12.77,1359,13.3,0,1,21.59,13.22,71.51,1,nrg_pc_205,NATIONAL_METH_UPDATE,2026-02-03
2018-09,ES,SME,BAND_1_LOW,0.1698,0.0765,0.0242,0.0691,15.89,1461,10.4,0,1,5.72,5.15,23.22,0,nrg_pc_206,EUROSTAT_METH_V2,2025-10-08
2018-10,HR,HOUSEHOLD,BAND_4_VERY_HIGH,0.3201,0.2223,0.0666,0.0312,9.2,2505,12.97,1,0,4.91,5.77,14.95,0,nrg_pc_204,EUROSTAT_METH_V1,2024-09-23
2018-11,FI,NON_HOUSEHOLD,BAND_3_HIGH,0.2813,0.1861,0.0398,0.0554,23.23,4840,12.22,1,0,15.11,15.56,43.02,1,nrg_pc_205,NATIONAL_METH_UPDATE,2025-11-07
2018-12,IE,SME,BAND_2_MEDIUM,0.2234,0.13,0.0473,0.0461,5.11,3454,15.89,0,0,2.33,4.99,33.13,0,nrg_pc_206,EUROSTAT_METH_V2,2024-05-01
2019-01,MT,HOUSEHOLD,BAND_1_LOW,0.2631,0.1721,0.0625,0.0285,10.22,4821,2.41,1,1,12.53,3.04,74.99,0,nrg_pc_204,EUROSTAT_METH_V1,2025-04-05
2019-02,SK,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.3262,0.2289,0.0935,0.0038,5.42,2677,12.92,0,1,6.2,5.72,60.23,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-10-29
2019-03,BE,SME,BAND_3_HIGH,0.134,0.0628,0.0255,0.0457,6.93,2971,11.48,1,1,5.22,7.96,63.79,0,nrg_pc_206,EUROSTAT_METH_V2,2024-01-01
2019-04,DK,HOUSEHOLD,BAND_2_MEDIUM,0.1916,0.1364,0.065,0.0,21.63,3333,6.46,0,1,15.84,5.87,14.56,0,nrg_pc_204,EUROSTAT_METH_V1,2025-04-06
2019-05,GR,NON_HOUSEHOLD,BAND_1_LOW,0.3372,0.2243,0.0543,0.0586,13.23,3488,9.11,0,1,21.47,11.37,81.63,1,nrg_pc_205,NATIONAL_METH_UPDATE,2025-12-22
2019-06,LT,SME,BAND_4_VERY_HIGH,0.1196,0.0588,0.0309,0.0299,9.89,2697,15.32,1,1,8.62,2.39,24.31,0,nrg_pc_206,EUROSTAT_METH_V2,2025-09-29
2019-07,PT,HOUSEHOLD,BAND_3_HIGH,0.2352,0.1428,0.0435,0.0489,13.1,2291,0.76,0,0,11.59,5.82,92.07,0,nrg_pc_204,EUROSTAT_METH_V1,2024-07-12
2019-08,SE,NON_HOUSEHOLD,BAND_2_MEDIUM,0.1072,0.0596,0.0172,0.0304,24.61,2969,13.56,0,1,3.06,8.39,47.64,1,nrg_pc_205,NATIONAL_METH_UPDATE,2024-12-01
2019-09,CY,SME,BAND_1_LOW,0.3617,0.1699,0.0594,0.1324,20.27,3486,0.33,0,1,18.81,5.96,12.41,0,nrg_pc_206,EUROSTAT_METH_V2,2025-10-27
2019-10,FR,HOUSEHOLD,BAND_4_VERY_HIGH,0.2994,0.2043,0.0461,0.049,16.09,3708,17.17,0,0,7.36,6.44,18.67,0,nrg_pc_204,EUROSTAT_METH_V1,2024-08-20
2019-11,IT,NON_HOUSEHOLD,BAND_3_HIGH,0.1978,0.1095,0.0424,0.0459,14.28,4288,13.89,0,1,19.9,14.78,20.65,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-10-26
2019-12,NL,SME,BAND_2_MEDIUM,0.1892,0.1163,0.0303,0.0426,12.91,3095,9.35,1,1,1.62,11.8,66.55,1,nrg_pc_206,EUROSTAT_METH_V2,2024-12-03
2020-01,SI,HOUSEHOLD,BAND_1_LOW,0.2664,0.1575,0.0753,0.0336,16.48,878,12.51,0,0,1.42,15.9,80.47,1,nrg_pc_204,EUROSTAT_METH_V1,2024-12-21
2020-02,BG,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.1627,0.1012,0.0224,0.0391,13.25,3077,12.09,0,0,13.61,1.49,17.54,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-08-28
2020-03,EE,SME,BAND_3_HIGH,0.3546,0.2062,0.0694,0.079,23.91,1689,11.14,0,1,17.02,6.45,39.33,0,nrg_pc_206,EUROSTAT_METH_V2,2024-04-22
2020-04,HU,HOUSEHOLD,BAND_2_MEDIUM,0.3068,0.186,0.0953,0.0255,15.27,3824,3.31,0,1,5.88,9.34,36.46,0,nrg_pc_204,EUROSTAT_METH_V1,2025-05-25
2020-05,LU,NON_HOUSEHOLD,BAND_1_LOW,0.2064,0.1497,0.0505,0.0062,22.54,4317,13.57,0,1,5.9,5.98,24.75,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-09-05
2020-06,RO,SME,BAND_4_VERY_HIGH,0.1874,0.1388,0.0624,0.0,9.91,1233,13.99,0,1,8.66,10.45,22.56,0,nrg_pc_206,EUROSTAT_METH_V2,2024-01-14
2020-07,AT,HOUSEHOLD,BAND_3_HIGH,0.1271,0.0754,0.039,0.0127,21.97,3255,1.49,1,1,12.45,1.32,12.01,0,nrg_pc_204,EUROSTAT_METH_V1,2025-07-22
2020-08,CZ,NON_HOUSEHOLD,BAND_2_MEDIUM,0.3391,0.2014,0.1028,0.0349,22.96,1281,5.18,0,0,21.25,13.17,83.25,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-12-12
2020-09,DE,SME,BAND_1_LOW,0.3674,0.1924,0.1166,0.0584,7.16,984,14.28,1,1,15.91,7.57,77.76,1,nrg_pc_206,EUROSTAT_METH_V2,2024-10-27
2020-10,LV,HOUSEHOLD,BAND_4_VERY_HIGH,0.1947,0.1265,0.0536,0.0146,13.48,4262,16.12,0,1,7.45,1.48,79.88,0,nrg_pc_204,EUROSTAT_METH_V1,2025-12-28
2020-11,PL,NON_HOUSEHOLD,BAND_3_HIGH,0.2606,0.1857,0.0557,0.0192,18.83,1078,1.88,1,1,4.19,6.97,58.97,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-07-24
2020-12,ES,SME,BAND_2_MEDIUM,0.252,0.1182,0.0325,0.1013,23.28,1141,16.2,0,0,5.16,13.33,15.63,0,nrg_pc_206,EUROSTAT_METH_V2,2025-02-21
2021-01,HR,HOUSEHOLD,BAND_1_LOW,0.2896,0.1467,0.0351,0.1078,15.18,4440,6.83,1,1,11.31,0.31,89.11,1,nrg_pc_204,EUROSTAT_METH_V1,2024-10-28
2021-02,FI,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.3401,0.2536,0.0636,0.0229,5.87,2209,14.74,0,1,4.54,8.55,92.98,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-04-17
2021-03,IE,SME,BAND_3_HIGH,0.2829,0.1962,0.0677,0.019,21.81,3508,10.49,0,0,16.61,2.95,90.38,1,nrg_pc_206,EUROSTAT_METH_V2,2024-04-08
2021-04,MT,HOUSEHOLD,BAND_2_MEDIUM,0.4622,0.2219,0.0884,0.1519,11.85,1767,3.63,1,0,12.51,6.96,97.91,0,nrg_pc_204,EUROSTAT_METH_V1,2025-09-14
2021-05,SK,NON_HOUSEHOLD,BAND_1_LOW,0.5796,0.3918,0.0967,0.0911,13.54,3041,6.39,0,1,18.22,8.4,51.71,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-09-04
2021-06,BE,SME,BAND_4_VERY_HIGH,0.1349,0.0765,0.0235,0.0349,19.64,1267,8.24,1,1,18.7,1.51,57.41,0,nrg_pc_206,EUROSTAT_METH_V2,2024-03-05
2021-07,DK,HOUSEHOLD,BAND_3_HIGH,0.4712,0.2551,0.0968,0.1193,19.33,4818,9.87,1,1,8.29,1.01,75.97,0,nrg_pc_204,EUROSTAT_METH_V1,2025-06-21
2021-08,GR,NON_HOUSEHOLD,BAND_2_MEDIUM,0.1881,0.113,0.0561,0.019,7.86,1151,7.35,1,1,5.14,5.93,96.18,1,nrg_pc_205,NATIONAL_METH_UPDATE,2024-09-07
2021-09,LT,SME,BAND_1_LOW,0.5281,0.3621,0.1056,0.0604,17.62,5079,11.4,0,0,1.1,5.55,83.96,1,nrg_pc_206,EUROSTAT_METH_V2,2025-05-03
2021-10,PT,HOUSEHOLD,BAND_4_VERY_HIGH,0.1777,0.0994,0.0327,0.0456,5.28,4275,1.56,0,0,6.6,11.26,30.59,0,nrg_pc_204,EUROSTAT_METH_V1,2025-09-30
2021-11,SE,NON_HOUSEHOLD,BAND_3_HIGH,0.2871,0.1306,0.0515,0.105,26.97,829,14.73,1,1,19.36,5.59,42.81,1,nrg_pc_205,NATIONAL_METH_UPDATE,2024-12-19
2021-12,CY,SME,BAND_2_MEDIUM,0.3781,0.2542,0.052,0.0719,12.61,3571,9.5,0,0,17.93,11.88,95.9,0,nrg_pc_206,EUROSTAT_METH_V2,2025-09-23
2022-01,FR,HOUSEHOLD,BAND_1_LOW,0.2078,0.1099,0.0268,0.0711,22.74,984,0.77,0,0,9.8,1.51,79.12,1,nrg_pc_204,EUROSTAT_METH_V1,2025-06-25
2022-02,IT,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.4573,0.2117,0.1336,0.112,10.65,1722,3.85,0,0,21.28,3.71,66.61,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-07-15
2022-03,NL,SME,BAND_3_HIGH,0.2903,0.1332,0.0936,0.0635,15.85,1126,13.14,1,1,18.46,10.04,91.18,1,nrg_pc_206,EUROSTAT_METH_V2,2024-05-27
2022-04,SI,HOUSEHOLD,BAND_2_MEDIUM,0.1924,0.1055,0.0536,0.0333,5.81,4260,0.45,0,1,13.14,15.1,80.01,0,nrg_pc_204,EUROSTAT_METH_V1,2024-04-29
2022-05,BG,NON_HOUSEHOLD,BAND_1_LOW,0.5116,0.3076,0.1339,0.0701,20.58,4458,7.12,1,0,15.29,0.94,59.81,0,nrg_pc_205,NATIONAL_METH_UPDATE,2026-01-09
2022-06,EE,SME,BAND_4_VERY_HIGH,0.4066,0.227,0.1052,0.0744,17.4,3926,11.05,0,0,4.67,4.07,43.15,1,nrg_pc_206,EUROSTAT_METH_V2,2024-04-17
2022-07,HU,HOUSEHOLD,BAND_3_HIGH,0.3917,0.2522,0.066,0.0735,23.81,3041,4.69,0,0,15.67,12.23,18.02,0,nrg_pc_204,EUROSTAT_METH_V1,2025-12-24
2022-08,LU,NON_HOUSEHOLD,BAND_2_MEDIUM,0.3932,0.2247,0.1375,0.031,19.23,1424,14.45,0,1,18.99,13.51,89.23,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-03-16
2022-09,RO,SME,BAND_1_LOW,0.5228,0.279,0.1156,0.1282,16.7,3089,4.68,1,1,3.42,5.54,59.37,1,nrg_pc_206,EUROSTAT_METH_V2,2024-10-18
2022-10,AT,HOUSEHOLD,BAND_4_VERY_HIGH,0.4713,0.293,0.138,0.0403,16.79,1777,4.99,1,0,11.38,9.67,23.47,0,nrg_pc_204,EUROSTAT_METH_V1,2024-05-09
2022-11,CZ,NON_HOUSEHOLD,BAND_3_HIGH,0.1844,0.0892,0.0625,0.0327,13.92,5165,15.04,0,1,2.02,0.34,35.34,0,nrg_pc_205,NATIONAL_METH_UPDATE,2026-01-29
2022-12,DE,SME,BAND_2_MEDIUM,0.5215,0.3408,0.1745,0.0062,26.92,1549,3.51,1,1,18.41,14.33,38.87,0,nrg_pc_206,EUROSTAT_METH_V2,2024-08-22
2023-01,LV,HOUSEHOLD,BAND_1_LOW,0.1418,0.075,0.0453,0.0215,8.75,3836,8.53,1,1,20.06,10.14,17.32,0,nrg_pc_204,EUROSTAT_METH_V1,2024-08-09
2023-02,PL,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.2735,0.1552,0.0763,0.042,17.4,2933,8.68,1,1,3.86,4.97,49.75,0,nrg_pc_205,NATIONAL_METH_UPDATE,2026-02-14
2023-03,ES,SME,BAND_3_HIGH,0.2661,0.1409,0.0651,0.0601,24.62,4194,11.82,0,0,21.34,9.39,45.08,1,nrg_pc_206,EUROSTAT_METH_V2,2024-05-05
2023-04,HR,HOUSEHOLD,BAND_2_MEDIUM,0.2513,0.1471,0.0472,0.057,20.52,1355,2.52,0,0,15.8,13.88,14.19,0,nrg_pc_204,EUROSTAT_METH_V1,2025-03-14
2023-05,FI,NON_HOUSEHOLD,BAND_1_LOW,0.2924,0.1777,0.0661,0.0486,26.2,2827,6.67,0,0,9.37,0.78,65.01,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-04-22
2023-06,IE,SME,BAND_4_VERY_HIGH,0.2786,0.1762,0.0606,0.0418,20.57,1560,14.84,1,1,10.64,13.83,37.83,0,nrg_pc_206,EUROSTAT_METH_V2,2024-04-13
2023-07,MT,HOUSEHOLD,BAND_3_HIGH,0.3027,0.2186,0.1039,0.0,21.8,1766,11.44,1,0,15.42,15.84,16.25,0,nrg_pc_204,EUROSTAT_METH_V1,2024-03-15
2023-08,SK,NON_HOUSEHOLD,BAND_2_MEDIUM,0.3784,0.1735,0.0559,0.149,13.03,2176,7.07,0,1,5.79,14.56,27.03,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-04-25
2023-09,BE,SME,BAND_1_LOW,0.4644,0.3355,0.0975,0.0314,23.4,3021,11.46,0,1,5.82,9.68,37.03,0,nrg_pc_206,EUROSTAT_METH_V2,2024-01-30
2023-10,DK,HOUSEHOLD,BAND_4_VERY_HIGH,0.1711,0.1169,0.0413,0.0129,14.96,2248,8.53,1,0,16.06,1.52,63.98,1,nrg_pc_204,EUROSTAT_METH_V1,2024-03-22
2023-11,GR,NON_HOUSEHOLD,BAND_3_HIGH,0.401,0.1978,0.1284,0.0748,24.17,2204,8.36,1,0,19.09,0.21,33.82,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-07-06
2023-12,LT,SME,BAND_2_MEDIUM,0.3042,0.1832,0.0839,0.0371,11.92,3950,1.72,1,1,14.96,9.74,30.3,0,nrg_pc_206,EUROSTAT_METH_V2,2024-07-22
2024-01,PT,HOUSEHOLD,BAND_1_LOW,0.2302,0.1144,0.0377,0.0781,6.24,4097,4.36,0,0,16.27,15.18,85.11,1,nrg_pc_204,EUROSTAT_METH_V1,2024-03-30
2024-02,SE,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.317,0.1515,0.0934,0.0721,23.98,2821,1.1,1,1,15.37,0.26,37.05,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-10-31
2024-03,CY,SME,BAND_3_HIGH,0.4311,0.1999,0.0645,0.1667,22.36,1631,3.29,1,1,9.69,1.04,55.75,1,nrg_pc_206,EUROSTAT_METH_V2,2025-06-18
2024-04,FR,HOUSEHOLD,BAND_2_MEDIUM,0.206,0.126,0.0279,0.0521,20.34,2159,2.16,0,1,20.1,8.99,75.66,0,nrg_pc_204,EUROSTAT_METH_V1,2026-02-25
2024-05,IT,NON_HOUSEHOLD,BAND_1_LOW,0.1465,0.0971,0.038,0.0114,19.0,2665,16.41,1,0,20.61,4.56,42.3,1,nrg_pc_205,NATIONAL_METH_UPDATE,2024-12-15
2024-06,NL,SME,BAND_4_VERY_HIGH,0.3955,0.2452,0.0844,0.0659,5.15,2020,9.94,0,1,1.36,1.7,56.6,1,nrg_pc_206,EUROSTAT_METH_V2,2025-01-17
2024-07,SI,HOUSEHOLD,BAND_3_HIGH,0.3105,0.1578,0.0942,0.0585,13.53,4795,9.54,0,0,8.61,12.42,13.77,0,nrg_pc_204,EUROSTAT_METH_V1,2024-02-25
2024-08,BG,NON_HOUSEHOLD,BAND_2_MEDIUM,0.4839,0.3601,0.0744,0.0494,17.86,2482,8.89,0,1,2.96,1.09,84.83,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-10-26
2024-09,EE,SME,BAND_1_LOW,0.4623,0.2912,0.1149,0.0562,18.57,2972,17.52,0,1,8.01,3.27,89.8,1,nrg_pc_206,EUROSTAT_METH_V2,2025-01-15
2024-10,HU,HOUSEHOLD,BAND_4_VERY_HIGH,0.1696,0.0769,0.0389,0.0538,18.37,4117,4.83,0,0,21.64,3.64,31.24,0,nrg_pc_204,EUROSTAT_METH_V1,2025-06-04
2024-11,LU,NON_HOUSEHOLD,BAND_3_HIGH,0.4907,0.283,0.0685,0.1392,18.92,4226,10.76,0,0,5.49,14.28,62.38,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-01-24
2024-12,RO,SME,BAND_2_MEDIUM,0.1343,0.0846,0.0467,0.003,11.12,2838,3.05,1,1,4.31,12.06,68.61,0,nrg_pc_206,EUROSTAT_METH_V2,2026-02-07
2025-01,AT,HOUSEHOLD,BAND_1_LOW,0.2815,0.1462,0.0763,0.059,22.99,1681,10.63,1,1,1.8,9.02,60.07,1,nrg_pc_204,EUROSTAT_METH_V1,2025-07-02
2025-02,CZ,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.2696,0.1482,0.0782,0.0432,25.39,3591,1.33,1,1,18.18,11.09,35.83,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-03-16
2025-03,DE,SME,BAND_3_HIGH,0.385,0.273,0.0723,0.0397,22.83,4912,2.2,0,0,4.94,7.04,75.62,0,nrg_pc_206,EUROSTAT_METH_V2,2024-10-18
2025-04,LV,HOUSEHOLD,BAND_2_MEDIUM,0.268,0.1713,0.046,0.0507,7.87,3973,7.25,0,1,8.38,1.51,49.34,0,nrg_pc_204,EUROSTAT_METH_V1,2025-04-25
2025-05,PL,NON_HOUSEHOLD,BAND_1_LOW,0.2507,0.1296,0.0365,0.0846,20.14,2733,0.89,1,1,13.46,1.97,87.71,1,nrg_pc_205,NATIONAL_METH_UPDATE,2024-08-16
2025-06,ES,SME,BAND_4_VERY_HIGH,0.509,0.2531,0.1772,0.0787,10.11,1127,12.78,0,0,19.06,9.47,57.54,1,nrg_pc_206,EUROSTAT_METH_V2,2025-04-16
2025-07,HR,HOUSEHOLD,BAND_3_HIGH,0.2806,0.135,0.0483,0.0973,18.64,4267,16.34,0,0,18.14,3.96,35.71,0,nrg_pc_204,EUROSTAT_METH_V1,2025-01-29
2025-08,FI,NON_HOUSEHOLD,BAND_2_MEDIUM,0.3694,0.2072,0.0628,0.0994,14.08,2770,17.51,0,0,19.14,8.62,16.22,0,nrg_pc_205,NATIONAL_METH_UPDATE,2025-02-16
2025-09,IE,SME,BAND_1_LOW,0.4946,0.3169,0.0714,0.1063,9.18,3864,17.99,0,0,13.86,0.33,73.98,0,nrg_pc_206,EUROSTAT_METH_V2,2025-03-02
2025-10,MT,HOUSEHOLD,BAND_4_VERY_HIGH,0.3314,0.1685,0.0618,0.1011,11.41,4442,4.76,1,1,5.88,15.04,88.79,0,nrg_pc_204,EUROSTAT_METH_V1,2024-04-01
2025-11,SK,NON_HOUSEHOLD,BAND_3_HIGH,0.2994,0.1552,0.0887,0.0555,18.07,1720,12.11,0,1,7.38,6.91,49.71,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-05-09
2025-12,BE,SME,BAND_2_MEDIUM,0.3584,0.2674,0.0585,0.0325,15.93,1732,17.88,1,0,3.32,6.47,47.72,1,nrg_pc_206,EUROSTAT_METH_V2,2024-05-26
2026-01,DK,HOUSEHOLD,BAND_1_LOW,0.2349,0.1465,0.0375,0.0509,23.58,4677,7.45,0,0,14.46,10.75,60.79,1,nrg_pc_204,EUROSTAT_METH_V1,2024-10-03
2026-02,GR,NON_HOUSEHOLD,BAND_4_VERY_HIGH,0.2019,0.1289,0.0566,0.0164,8.18,3198,10.12,0,1,3.57,2.64,71.42,0,nrg_pc_205,NATIONAL_METH_UPDATE,2024-08-08
2026-03,LT,SME,BAND_3_HIGH,0.2246,0.1471,0.0633,0.0142,13.62,3673,7.31,1,0,16.27,7.07,94.63,0,nrg_pc_206,EUROSTAT_METH_V2,2025-04-11
