biz_dyn_reference_year,biz_dyn_firm_id_hash,biz_dyn_establishment_id_hash,biz_dyn_firm_age_years,biz_dyn_firm_size_employment_class,biz_dyn_industry_nic_6,biz_dyn_births_establishments_count,biz_dyn_deaths_establishments_count,biz_dyn_job_creation_births,biz_dyn_job_destruction_deaths,biz_dyn_expansion_jobs,biz_dyn_contraction_jobs,biz_dyn_turnover_rate_pct,biz_dyn_survival_rate_1yr,biz_dyn_survival_rate_5yr,biz_dyn_high_growth_firm_flag,biz_dyn_multi_state_operation_flag,biz_dyn_ownership_structure_code,biz_dyn_productivity_sales_per_worker,biz_dyn_confidentiality_suppression_flag
2016,52d12bb2e2b0ace4,63795f463e768ac2,11,1-4,349474,2,4,8,16,7,24,26.63,77.61,42.41,0,0,pvt_ltd,1108548.39,0
2017,6155a83558d03671,d575f34c0a9055d6,19,1-4,965962,8,2,112,32,44,56,5.55,75.28,13.57,0,0,cooperative,713488.59,0
2018,c7af563bdac41ffa,6692129b9c2b8a36,37,250-499,112115,2,7,28,35,40,60,14.15,53.45,21.83,0,0,public_ltd,849497.57,0
2023,bd9ad971a4b1a925,f04ce8b58ccd0121,3,5-9,584965,6,7,12,77,168,11,26.04,75.48,50.11,0,0,pvt_ltd,1630874.75,0
2011,c6ebcefb7ba5d5ca,7fc59db1d2c5cf3f,14,100-249,435914,6,4,60,8,84,48,0.0,100.0,24.16,0,0,pvt_ltd,188757.97,0
2015,eb16b5c403051b82,c779a90cf36fdc8f,67,500-999,636437,9,3,45,51,130,80,13.68,83.14,59.23,0,0,government,375690.61,0
2010,3c8fe457912fe58f,189c34f60a4651bb,70,500-999,385855,3,5,30,70,40,24,17.36,88.93,25.32,0,0,llp,660647.05,0
2018,d17515c55fed6df1,99e6f7b384546b1f,1,50-99,351051,7,4,77,28,154,50,23.05,62.43,28.57,0,0,llp,997575.01,0
2010,75e93793a3d93a63,916df7677f7dc8bb,64,20-49,548330,8,3,136,39,27,54,15.67,73.92,27.65,0,0,producer_company,203517.42,0
2023,743d6aa78e5793fa,6e47a9e99c142a8c,17,1000+,807548,9,7,54,28,99,50,18.45,83.3,43.94,0,0,public_ltd,839491.1,0
2015,104bbc779f4680ff,b163137d72499bd3,51,250-499,824188,0,0,0,0,45,21,11.84,72.4,59.06,0,0,government,1732248.98,0
2021,f1d75b6c4312b110,d718a111e103d390,54,100-249,391444,8,3,48,21,91,6,8.44,83.13,24.18,0,0,pvt_ltd,350259.99,0
2013,674270d1cfa3e430,fb88353c2c04f53b,57,10-19,241214,9,4,27,44,104,81,24.34,90.28,43.15,1,0,producer_company,637892.85,0
2020,8052d346c77096c7,923b46c69166e344,21,500-999,571027,8,4,80,12,48,24,15.08,69.61,29.33,0,0,partnership,150775.97,0
2014,f4f8cc94bf123d8c,ddcba2c358086be2,60,1-4,166912,5,4,75,36,84,28,13.77,83.86,63.57,0,0,partnership,606154.45,0
2024,eb160e0888b53409,5594e84bd0cffb88,69,10-19,898519,2,5,26,30,42,100,20.5,81.19,56.61,0,0,llp,1309980.12,0
2019,46e6c58a1fa95a20,9c9f1c1d61a0dbd9,29,250-499,252889,8,3,64,24,80,15,24.23,72.49,32.73,1,0,partnership,595786.63,0
2024,6a5260432591d6a5,029de8c8244c4781,4,250-499,995331,6,4,12,8,121,45,26.26,76.05,39.47,0,0,government,791147.65,0
2013,d154d79fa4d174ff,a88449e5973743f6,69,500-999,875723,4,1,52,13,81,12,25.09,71.07,44.0,0,0,producer_company,709059.33,0
2013,4f8dad8d8b326999,681a359a0019a335,80,50-99,306487,1,4,16,64,126,50,5.08,89.65,33.98,0,0,producer_company,338684.17,0
2011,71450e749611f932,f4500371af7708ea,78,1-4,904565,8,2,136,34,120,42,19.03,88.66,56.93,1,1,partnership,1052066.65,0
2023,aa43718d368bc5bd,d31e48dfb0119f89,41,1000+,500187,4,3,20,12,45,45,32.99,88.8,38.29,0,0,public_ltd,1464041.69,0
2021,afd2ac2838a0adf9,871450c1b28ccc5b,8,100-249,195665,6,1,102,13,182,84,21.12,70.28,37.47,0,0,partnership,883002.82,0
2021,366adcf0d10b4f6e,da4105479201548d,62,50-99,306402,8,3,40,9,80,27,14.28,80.01,49.25,0,0,government,498204.8,0
2018,cfc39aa72cf401dc,ba7f5b276f345843,18,10-19,552891,4,4,64,12,121,32,17.6,74.97,50.82,0,0,opc,366775.84,1
2016,a359a5a4cde3c14a,0f87c114c9e23a32,20,1-4,805860,7,1,70,17,154,70,27.91,79.15,36.63,0,0,public_ltd,182684.66,0
2014,5f9751b7086efc16,7974444e03a276e0,11,1000+,391077,7,5,77,25,27,99,18.35,94.95,35.66,0,0,llp,684350.31,1
2017,6de92cf4b416769f,8ea07d369c367bce,39,1000+,947467,7,3,63,36,98,24,19.56,87.92,44.04,0,1,partnership,395065.62,0
2017,3d0a9be13b6a1546,589bc71a137c880a,26,50-99,162068,7,2,56,4,22,110,27.41,60.66,48.1,0,0,producer_company,1015871.09,0
2015,415a07d1aa2c6ea8,cc0766f74439ab07,34,20-49,220234,10,3,120,9,81,112,21.59,67.7,42.68,0,0,llp,807259.83,0
2020,7b26851abc5bd391,b13dc8aa1f96bb16,46,100-249,433299,7,3,84,12,198,70,23.58,74.66,62.6,0,0,llp,773553.05,1
2025,f2c73318ec4c61f1,809723a472458090,35,1000+,978453,7,2,14,12,96,60,33.69,89.27,38.28,1,0,producer_company,244487.03,0
2025,09f3693855042b61,1515d93b03384788,34,1-4,250575,4,3,40,45,204,30,17.15,87.55,76.66,0,0,cooperative,263555.43,0
2017,9297aa458a630450,0bfdad43cdbce3fc,59,500-999,500511,8,1,136,7,72,77,17.01,74.44,35.79,1,0,sole_prop,681806.74,0
2010,653d88bc453dddd7,966b4f718420cf3e,54,5-9,551610,4,2,16,18,221,70,5.14,70.37,33.46,0,0,cooperative,309300.27,1
2016,619bbb479116efe0,b5cde63c0b2ebc0d,49,50-99,834983,7,5,119,15,28,14,20.68,68.53,35.61,0,0,pvt_ltd,603659.33,1
2014,44b605e60a7a0748,5cbe8667e8d7c3ea,70,1-4,102257,7,6,56,66,66,45,0.0,77.7,43.9,1,0,pvt_ltd,1300426.7,0
2013,3ff0073ba08c07ba,d2ec046bc119c61a,23,5-9,112828,8,4,48,52,48,60,16.17,68.06,6.56,0,0,partnership,522447.91,0
2013,046cc9c22c152359,bf79045008f89474,71,500-999,373452,4,3,44,36,45,55,22.73,97.91,50.34,0,0,partnership,1022705.35,0
2013,d484ab259c0c0d2a,de7841aed0aa498b,20,1000+,752845,9,6,72,66,104,11,17.96,85.73,19.66,0,0,llp,360943.24,0
2015,4c7167d18e4dc1a1,60892b11289f04ea,7,10-19,316204,10,4,50,16,110,24,11.42,91.17,32.45,0,0,opc,1808951.35,0
2023,fee68b99c8dfebdd,d9d2f305e936abdd,77,1000+,939953,8,0,48,0,176,18,45.97,63.37,78.85,1,1,llp,481568.42,0
2022,ded2d57b65cdaa8a,e5201ab6edc60f0f,14,50-99,538242,6,2,66,4,33,96,13.59,67.74,39.51,1,1,producer_company,814814.83,0
2012,4dc233622e6910df,1b2cf6358928d5fd,2,250-499,813087,4,4,20,32,80,9,16.61,72.48,32.0,0,1,pvt_ltd,938399.3,1
2024,488ac2f4cc164d46,5276faf77a840c07,62,1000+,535928,9,2,144,14,54,90,21.8,76.54,31.13,0,0,pvt_ltd,752470.29,0
2010,8b27cb9c4588fe0e,a50dd71b990781a3,75,50-99,808175,12,8,192,40,36,45,32.55,78.4,41.43,0,0,government,720944.08,0
2019,2cc2d9289816db35,2cb58338df4b8425,53,100-249,222332,7,6,91,90,108,40,19.32,77.59,55.51,1,0,opc,1086646.99,0
2022,5885539b0f1eaad9,7d4316ad6407f15a,52,1000+,868917,4,5,20,50,49,48,17.07,70.77,38.98,1,0,opc,2212125.47,0
2024,f4e5723d86b94b84,3468b59538c15757,24,5-9,886331,6,2,36,32,143,60,11.35,84.98,44.62,0,0,pvt_ltd,2607686.39,0
2013,b52cd2a16064b231,c7a58d4b63a29719,35,20-49,500826,3,4,6,24,14,50,30.76,94.34,22.83,0,0,partnership,270495.43,0
2017,d78379db12c2451d,4aaf6b8a12443379,77,100-249,176709,5,5,35,30,99,60,12.48,78.04,56.9,1,0,sole_prop,590322.91,0
2010,d463542b78541e24,cbfbedae05dbd214,72,1000+,998332,10,5,90,50,91,60,20.27,80.18,37.35,0,1,pvt_ltd,139824.99,0
2016,78b6cb3b63c89729,e389d29b4aaf03fe,27,20-49,679223,4,0,12,0,72,80,6.66,84.0,42.81,0,0,sole_prop,394333.16,0
2022,6c095f9516b17030,25eded0b4b2e46e9,31,5-9,278969,8,1,128,14,156,35,22.3,91.34,51.28,0,0,sole_prop,1093305.11,0
2018,a8d9e86b4c61020a,bbcb9ef949b27881,39,20-49,573146,7,5,105,75,22,14,20.34,78.08,43.99,1,0,partnership,400327.42,0
2013,ad4aaa2e1e71d963,d025b1ce2ca84c87,16,1-4,848943,4,3,52,9,117,21,29.23,84.98,38.35,0,0,cooperative,426921.28,0
2012,aa0a41e721a969d3,ba62a3f68347c247,69,5-9,474743,9,7,27,91,126,99,5.79,84.18,60.67,0,0,producer_company,869805.5,0
2014,c9c3c4c88814ef7b,af656b8852bf11a7,58,20-49,348724,5,7,80,98,18,66,20.95,81.16,43.54,0,1,public_ltd,419721.76,0
2020,084c2c5412fd9662,02c86632745e85e5,4,500-999,210130,1,1,16,15,60,48,26.44,79.99,22.7,0,0,pvt_ltd,224366.52,0
2011,677536d19f83cd37,afb8ec759f12a077,55,1000+,812793,7,5,70,35,56,7,30.43,86.54,51.22,0,0,llp,825960.29,0
2022,a12d40f563e30d07,9f4ebe6e2697e13f,52,500-999,105750,5,3,10,51,154,90,24.93,94.08,53.73,0,1,pvt_ltd,666645.46,0
2010,bedd90db0f1b7012,c5878144367f31bc,48,500-999,877635,4,3,44,51,18,21,13.1,88.52,29.78,0,0,government,350518.77,0
2025,b2f23f4608e09ba8,f5aeb834cedd658a,14,20-49,269934,6,4,102,28,104,56,8.83,72.96,54.45,0,0,partnership,143257.35,0
2016,17f3b6b86c3a6e0a,5ae6276c9e15976c,71,5-9,425437,5,5,85,40,168,42,13.14,72.61,36.78,0,0,government,1070176.06,0
2023,6f080be199994856,e502d8155a098b45,15,100-249,182806,8,6,16,30,36,40,12.75,70.67,43.96,0,0,government,1113469.41,0
2011,ee08128049489eaf,3b13f7f2aad1b22c,42,250-499,737790,8,5,136,25,72,5,19.05,78.86,58.22,0,1,opc,1774803.73,0
2025,ed55e9d96a8e82df,c8be9202154d31ec,47,1-4,525767,8,3,24,48,88,8,25.01,92.73,35.94,0,0,partnership,508548.54,0
2021,6a11c47c25c52811,4cb79369e3255d30,79,1-4,213776,4,2,60,28,90,9,24.6,86.16,57.98,0,0,government,671093.12,1
2021,883b69b0558becda,ea139288460ba48a,58,100-249,618895,8,7,40,49,54,108,24.51,70.84,34.03,0,0,partnership,501896.59,0
2017,bd1d6a955bcbc191,a02a9ce41909c525,7,20-49,532829,3,6,48,66,63,45,3.08,88.29,51.44,0,0,pvt_ltd,808852.64,0
2010,091aff449cb6701a,2329908cddaa1c47,18,20-49,249395,6,4,54,16,8,49,10.3,75.93,54.15,0,1,producer_company,666557.09,0
2025,28d73616a63704ce,1a416b1cfa6def47,17,500-999,459281,6,4,90,20,140,49,20.83,75.44,65.56,0,0,llp,1624353.52,0
2022,6ebb46f249b39427,174b2fe359baf817,34,250-499,445280,4,4,44,12,63,5,9.48,89.93,34.16,0,0,llp,374966.26,0
2025,ef1e9aaea01a1f6a,025cea62e7ced06f,41,50-99,780913,8,3,64,45,104,18,8.94,81.44,39.4,0,0,opc,418700.03,1
2020,5c349ae19c2151ca,9d0845798663c77b,36,20-49,841570,4,4,20,32,80,40,6.47,86.57,31.02,0,0,partnership,253871.98,0
2024,4f5e56f5944e9c6c,29e288e2caaa31bd,19,500-999,683510,6,4,30,60,117,36,24.09,66.54,52.75,0,0,producer_company,1180085.65,0
2014,43223fd2af2e2a02,1991093f4bfaa8a1,23,5-9,804259,3,3,48,51,39,72,19.78,90.79,30.72,0,0,sole_prop,371797.04,0
2019,ee072dbd4b3fe366,e4b5bd931c746886,47,1000+,186803,4,3,28,45,117,16,15.71,56.85,41.86,0,1,sole_prop,867559.65,0
2011,8f881527559c06ea,1fbf551f18b768e9,13,5-9,839644,6,4,90,24,110,132,11.58,74.25,36.53,0,0,pvt_ltd,568203.64,0
2025,58c628f9dc71a83a,713b9d748da5e088,19,10-19,937165,9,0,36,0,140,70,8.94,77.38,44.02,1,1,government,751256.79,0
2024,d6c31a63e4f1492b,64648389a8a7bf26,25,500-999,146121,6,5,30,20,130,70,26.97,100.0,47.94,0,0,opc,317157.0,0
2015,521bc10c6ea68f6f,c4a5cf5438c78409,44,20-49,469430,7,2,56,28,39,24,23.01,79.86,27.15,0,0,government,1278438.26,0
2020,148a932885a38269,8bb1ffa6c0d02d80,3,1-4,615584,5,5,45,50,45,60,14.78,85.3,52.24,1,0,llp,311994.7,1
2011,bc69447bb22f1abd,66fb26e8bcda8271,29,250-499,664984,8,2,96,32,154,100,30.33,62.21,42.87,0,0,sole_prop,1599307.5,0
2019,e57c3f017a2c7480,6bc579712375ad2b,54,250-499,466330,4,3,20,24,27,16,20.02,91.85,51.66,0,0,public_ltd,1290997.94,0
2023,fd616bc2161730b3,0f2df968c2f5551e,46,500-999,450083,2,1,14,17,88,15,16.98,72.39,1.06,0,0,public_ltd,2513232.72,1
2012,d8d65303cf317c69,e29068ba9e02864a,59,250-499,936926,6,1,60,7,10,60,20.55,79.31,39.99,0,1,producer_company,294021.64,0
2012,fff7c2ead1377264,446edd74e738f124,18,500-999,994801,5,5,70,70,12,60,17.38,95.58,65.49,0,1,llp,1005934.47,0
2021,5eef7495e065132a,9a25575247bea42c,46,20-49,325959,7,5,119,20,108,99,8.04,70.7,28.4,0,0,public_ltd,891779.96,0
2016,61e1504ab107893a,9a2fdf02b13ec1eb,24,20-49,544844,9,4,27,40,60,4,19.86,70.43,12.15,0,0,sole_prop,1378097.6,0
2023,f9303145df131ed5,7b1ba164d2991c26,51,1000+,196502,9,2,126,28,99,32,27.92,74.04,61.03,0,1,sole_prop,911534.41,0
2024,6b768b426a84a099,c23ea3c0b8daae55,69,100-249,177506,8,3,112,15,100,80,23.54,85.35,30.21,0,0,sole_prop,489476.35,0
2011,cd3d37927e7c5309,a4cc7a0f05e86db1,5,1-4,819132,4,7,16,49,11,16,41.37,68.87,34.49,0,1,opc,1107763.48,0
2016,4d89972f25177757,dd8c031ce9c0a198,4,1000+,273615,7,8,14,112,48,80,7.24,80.12,46.37,0,0,producer_company,2115018.82,0
2013,cb8015689a974ce8,b1ca038cf105c1ac,13,10-19,415783,7,3,84,48,42,81,15.04,74.35,37.34,0,0,sole_prop,580324.36,0
2011,8efd7d71e3f14896,ac75b07c7c0d64cb,70,1000+,516704,6,6,18,90,27,16,3.49,79.08,53.27,0,0,partnership,976651.02,0
2010,643028a7b3a0ec4c,e1c3ecef0507f59d,64,10-19,219875,6,2,48,6,91,16,20.22,77.78,49.83,0,0,partnership,592576.7,0
2013,1e49f70ada0a0531,f5154349e1e4fe05,34,5-9,717585,7,4,119,64,63,63,25.27,82.59,48.5,0,0,pvt_ltd,815300.93,0
2013,dcb4f2b2807e5506,14509180d3acf84c,0,250-499,149589,5,3,25,33,110,21,10.53,84.14,63.81,0,0,partnership,518888.08,0
2019,d9e63e0731e78c6f,628ed5f038dd5dea,75,20-49,595671,3,4,42,32,6,72,5.44,81.16,51.91,0,0,sole_prop,567506.22,0
2025,306967445b07c480,5aedc3d1dd56a5f9,39,5-9,512601,6,3,96,33,40,54,17.94,75.84,39.42,0,1,government,358640.89,0
2014,42eb336dc59638c7,44a66b789c7866fc,41,1000+,494002,5,3,25,9,110,50,3.25,69.1,44.04,0,0,cooperative,869265.29,0
2010,33622e98b207c40a,1d801f64a3733de8,32,50-99,115116,10,2,70,34,63,36,0.0,85.12,63.41,0,0,pvt_ltd,820816.29,0
2023,e6e2f8c6cc3fe7eb,f6dddd0fb180522c,26,100-249,475348,3,2,24,4,56,44,21.03,90.3,36.05,0,0,pvt_ltd,112059.69,0
2025,06cec3779afef6ef,064192a9632ddeb4,1,50-99,430763,7,7,56,105,84,35,8.8,81.47,66.87,0,0,government,209538.04,0
2011,a47100a1d2437587,c60d63eb1b6d16f9,5,10-19,445744,3,3,15,33,52,9,24.12,83.11,38.82,0,1,public_ltd,1053842.56,0
2015,390ab4730b7d4f3d,7ab6dbad8c8b9c92,29,500-999,525643,6,2,102,26,98,60,17.51,72.48,70.27,0,0,cooperative,2171066.51,0
2016,226e5fd910298fb5,d470c77f7b3429a6,15,5-9,353078,11,2,99,6,210,8,28.96,61.67,48.53,0,0,sole_prop,409187.12,0
2021,b2be88b472ccb741,1a93284eafcc9f9f,8,500-999,241835,6,6,42,12,91,35,16.9,81.91,36.2,1,0,partnership,1197845.71,0
2013,b2f20a0df97f74a0,a22ed8be8156f836,41,5-9,565483,9,7,36,49,32,81,27.17,70.23,68.38,0,0,producer_company,204572.36,0
2011,a5cdeee1a6704f01,871fe42e211f1c90,48,20-49,387307,4,5,8,60,18,121,5.85,51.69,50.83,0,1,producer_company,558842.54,0
2017,d684d2fd8d2d8666,d53a3b61614c5e6d,77,50-99,337268,4,6,60,90,30,40,4.95,74.69,65.07,0,1,llp,304192.79,0
2010,f77d5a6b5b718039,06bffd5e39526063,2,100-249,250953,5,1,75,9,15,54,19.95,67.1,30.22,0,0,partnership,302906.48,0
2018,055d9a6a7d284503,09bbda68e905c81f,44,20-49,283683,4,4,24,56,104,12,32.85,73.18,49.87,0,0,cooperative,168939.52,0
2014,7583d0d1e5105ed1,cdca8a323db406a4,45,50-99,165439,3,2,12,26,66,10,11.46,85.76,40.54,0,0,llp,471817.42,0
2011,777e50e3fa24358c,69976eae6e2e478b,16,500-999,727907,7,3,28,12,140,72,21.3,71.98,46.28,0,0,producer_company,1823863.14,0
2018,715e15f130d8b5b6,f738afaf2fbab318,76,50-99,784308,4,4,12,24,60,10,14.94,71.2,33.82,0,0,producer_company,371085.12,0
2013,c4b0669332e6946b,fc020d0325a248f4,56,1-4,483015,7,2,49,4,7,42,20.09,80.99,47.41,0,0,producer_company,313070.95,0
2025,76270fe6535d4648,aa7c1a896f01124d,37,50-99,371733,8,3,136,15,72,9,20.21,89.95,36.05,0,1,partnership,2593600.28,0
2023,48be448e78b82445,39d90741af353dda,53,10-19,923932,6,6,48,84,168,15,15.57,68.16,51.94,0,0,public_ltd,70816.68,0
2016,e0694b947a0b8d7f,f0317c7abf233906,48,5-9,513166,4,7,8,112,42,60,17.17,71.65,56.65,0,0,partnership,574184.47,0
2010,1cfa95ed0c46a3b4,6184419fe03c892e,79,1000+,815637,7,2,28,10,60,90,31.0,91.03,82.72,0,0,llp,1063279.88,0
2016,f67fa3699285816b,f46fb9fa46d0f251,23,50-99,109583,3,5,33,70,144,33,4.91,87.42,61.01,0,0,public_ltd,879923.23,0
2010,24620495ab4b9b5d,f379a51b9d7d08b3,6,20-49,462544,4,3,44,42,21,132,9.75,67.56,58.03,0,0,cooperative,151905.45,0
2014,7cf8e2fe22e6b931,655072fc3eeffcce,46,20-49,907733,6,2,90,14,80,28,14.1,88.74,52.45,0,0,public_ltd,2552402.24,0
2010,39369e7a1d00be41,dd3a5477756a6976,43,1000+,947078,12,6,24,66,48,27,24.98,68.34,43.81,0,1,opc,483919.49,0
2023,c2643e92173f8ee5,91e5f8cea3aa0235,50,50-99,248620,6,0,60,0,4,27,12.75,69.88,41.99,0,0,sole_prop,338163.23,0
2012,d5e564b60b0a5374,eaddb196935bc180,65,5-9,176298,3,5,39,55,108,45,15.78,90.91,51.33,0,0,government,1494249.06,0
2019,32f1d80ebe7e5bd6,35989b7f04e04d28,15,50-99,760246,3,3,45,27,21,40,26.15,51.81,54.52,0,1,sole_prop,350558.32,0
2025,bd08f63ba6cbd54a,82f12b8b1e117fe7,21,1-4,377749,6,5,48,10,60,6,16.13,100.0,42.58,0,0,cooperative,228191.4,0
2016,c055e48e5dcc527e,2b34dad1ac58bd7c,44,10-19,787823,8,4,32,28,99,28,23.54,89.06,57.92,1,0,public_ltd,712062.99,0
2012,2b1c9d419aa531ed,37bff04b416c8c3d,29,10-19,732900,6,4,54,32,11,49,17.26,93.56,52.35,0,0,opc,876208.22,0
2020,ea749c6a700efd56,a78a8b83871cd41e,4,1000+,632245,7,3,21,24,44,8,27.05,79.15,52.38,1,0,government,238770.15,0
2018,2ed6f63128e9153f,cc47113a8abac545,28,1000+,439606,9,4,81,68,28,54,23.68,84.18,25.39,1,0,sole_prop,165928.37,0
2024,6840572fd8a04827,177512e94ca6d2fa,19,5-9,329016,13,4,78,12,80,24,22.06,77.43,24.07,0,0,partnership,363837.4,0
2021,630511f30f92227d,5d214eb2eff30cc6,18,10-19,706603,10,3,140,33,32,110,6.59,79.34,41.1,0,0,producer_company,324969.57,0
2020,84e299567a44b4a1,f4c8f2274de77f6a,12,1-4,420580,4,5,36,15,26,35,12.58,82.16,40.86,0,0,cooperative,720789.9,0
2023,002ae5d9beafdbdd,06920318d366ef86,46,1000+,241002,6,3,78,15,77,30,12.04,73.86,51.68,0,0,llp,341381.38,0
2017,4e42274d87c26f51,bdb5c17831a162c4,3,250-499,498825,4,5,12,75,90,40,23.16,87.28,37.55,1,0,llp,266347.01,0
