tech_price_pricing_snapshot_date,tech_price_plan_id,tech_price_provider_brand,tech_price_service_area_id,tech_price_monthly_price_usd,tech_price_promo_price_usd,tech_price_promo_duration_months,tech_price_equipment_fee_usd,tech_price_installation_fee_usd,tech_price_early_termination_fee_usd,tech_price_contract_length_months,tech_price_auto_pay_discount_usd,tech_price_bundling_discount_usd,tech_price_income_based_discount_flag,tech_price_low_income_eligibility_program,tech_price_price_per_mbps_metric,tech_price_hidden_fees_estimate_usd,tech_price_price_increase_notice_days,tech_price_complaint_rate_per_1k,tech_price_regulatory_filing_id
2021-01-21,PLAN0000000021,BRAND_C,AREA000000021,60.97,23.63,18,9.5,2.77,16.18,12,13.55,4.65,0,NONE,0.0509,33.04,72,11.051,DOCKET0000000021
2021-01-22,PLAN0000000022,BRAND_B,AREA000000022,86.96,75.59,9,17.79,85.17,368.89,12,9.42,14.65,0,ACP,0.0472,33.6,18,31.816,DOCKET0000000022
2021-01-23,PLAN0000000023,BRAND_A,AREA000000023,175.5,134.85,12,4.27,207.8,37.78,12,14.54,20.44,1,NONE,0.1419,15.55,104,14.684,DOCKET0000000023
2021-01-24,PLAN0000000024,BRAND_F,AREA000000024,60.26,28.44,12,11.52,203.52,324.64,12,9.2,17.13,0,ACP,0.0302,20.34,49,25.583,DOCKET0000000024
2021-01-25,PLAN0000000025,BRAND_B,AREA000000025,95.65,52.42,9,7.29,39.8,33.62,12,14.13,11.95,1,TRIBAL,0.1738,7.16,70,7.263,DOCKET0000000025
2021-01-26,PLAN0000000026,BRAND_D,AREA000000026,150.62,106.68,0,13.47,152.39,80.73,24,9.1,27.74,0,NONE,0.5725,6.16,74,10.241,DOCKET0000000026
2021-01-27,PLAN0000000027,BRAND_A,AREA000000027,66.21,33.76,3,14.76,135.32,185.58,12,11.04,5.68,1,ACP,0.1055,29.45,27,24.593,DOCKET0000000027
2021-01-28,PLAN0000000028,BRAND_D,AREA000000028,90.94,58.81,18,18.97,55.71,307.15,36,3.04,25.31,0,ACP,0.1075,17.93,95,22.05,DOCKET0000000028
2021-01-29,PLAN0000000029,BRAND_D,AREA000000029,199.74,150.95,6,6.43,199.01,73.98,12,13.25,24.54,0,NONE,0.1124,0.11,79,14.675,DOCKET0000000029
2021-01-30,PLAN0000000030,BRAND_D,AREA000000030,92.87,80.52,24,17.19,235.53,328.55,24,11.66,11.94,0,LOCAL_VOUCHER,0.0707,19.22,14,7.449,DOCKET0000000030
2021-01-31,PLAN0000000031,BRAND_A,AREA000000031,216.2,141.88,0,24.57,188.01,54.67,12,7.62,13.14,0,LOCAL_VOUCHER,0.1814,34.18,0,16.017,DOCKET0000000031
2021-02-01,PLAN0000000032,BRAND_F,AREA000000032,32.34,20.4,3,7.07,225.07,199.63,24,19.76,32.4,1,TRIBAL,0.0276,22.9,65,18.534,DOCKET0000000032
2021-02-02,PLAN0000000033,BRAND_B,AREA000000033,126.63,50.58,0,11.13,159.8,382.33,1,9.31,17.89,1,NONE,0.2621,25.03,25,4.266,DOCKET0000000033
2021-02-03,PLAN0000000034,BRAND_F,AREA000000034,174.54,87.88,0,15.44,227.21,81.43,12,14.16,28.78,0,NONE,0.6009,11.35,120,17.731,DOCKET0000000034
2021-02-04,PLAN0000000035,BRAND_A,AREA000000035,97.09,65.95,24,23.25,47.17,239.17,24,8.85,23.44,1,NONE,0.2978,23.68,67,30.79,DOCKET0000000035
2021-02-05,PLAN0000000036,BRAND_D,AREA000000036,164.71,79.78,9,4.17,85.51,80.79,0,8.9,30.55,0,NONE,0.0841,14.06,55,7.466,DOCKET0000000036
2021-02-06,PLAN0000000037,BRAND_D,AREA000000037,191.9,140.28,18,15.1,85.55,231.88,12,2.27,29.39,1,NONE,1.3488,7.25,26,6.259,DOCKET0000000037
2021-02-07,PLAN0000000038,BRAND_A,AREA000000038,29.33,21.71,3,11.69,44.88,354.8,12,19.99,32.53,1,ACP,0.0239,19.39,4,10.866,DOCKET0000000038
2021-02-08,PLAN0000000039,BRAND_D,AREA000000039,215.64,138.47,18,3.16,183.82,250.34,12,10.1,29.52,1,LIFELINE,0.116,22.51,1,2.678,DOCKET0000000039
2021-02-09,PLAN0000000040,BRAND_B,AREA000000040,26.21,22.47,3,0.99,143.92,153.17,0,9.78,15.22,0,LOCAL_VOUCHER,0.0289,30.11,111,22.647,DOCKET0000000040
2021-02-10,PLAN0000000041,BRAND_E,AREA000000041,77.97,56.9,0,11.74,142.35,203.64,12,3.61,6.89,0,NONE,0.0474,26.49,79,25.895,DOCKET0000000041
2021-02-11,PLAN0000000042,BRAND_F,AREA000000042,133.62,66.05,18,6.01,57.36,312.57,24,7.97,4.37,0,LOCAL_VOUCHER,0.1269,2.38,33,12.282,DOCKET0000000042
2021-02-12,PLAN0000000043,BRAND_F,AREA000000043,81.33,36.61,12,16.29,39.68,61.38,12,12.86,14.56,0,LIFELINE,0.1283,9.25,26,20.004,DOCKET0000000043
2021-02-13,PLAN0000000044,BRAND_E,AREA000000044,26.27,10.1,0,22.95,55.69,259.09,24,14.42,2.3,0,TRIBAL,0.0776,18.79,50,10.967,DOCKET0000000044
2021-02-14,PLAN0000000045,BRAND_F,AREA000000045,81.38,62.19,12,21.67,15.32,446.59,24,12.86,12.99,0,ACP,0.0653,15.22,98,18.464,DOCKET0000000045
2021-02-15,PLAN0000000046,BRAND_D,AREA000000046,152.94,106.68,9,4.41,176.13,413.54,12,13.3,28.15,1,NONE,0.0802,27.35,67,19.376,DOCKET0000000046
2021-02-16,PLAN0000000047,BRAND_B,AREA000000047,16.69,6.89,12,18.21,168.32,256.95,24,17.82,28.64,1,LOCAL_VOUCHER,0.0276,1.26,116,13.617,DOCKET0000000047
2021-02-17,PLAN0000000048,BRAND_E,AREA000000048,61.67,32.64,0,16.7,210.95,124.72,24,13.88,34.06,1,ACP,0.1176,16.05,62,26.039,DOCKET0000000048
2021-02-18,PLAN0000000049,BRAND_A,AREA000000049,137.04,111.71,9,6.8,194.36,45.01,12,12.65,21.44,1,ACP,0.0843,21.0,58,11.927,DOCKET0000000049
2021-02-19,PLAN0000000050,BRAND_C,AREA000000050,102.84,68.16,6,15.29,31.06,317.52,12,13.49,16.39,1,NONE,0.1807,13.46,28,34.75,DOCKET0000000050
2021-02-20,PLAN0000000051,BRAND_B,AREA000000051,121.63,58.17,18,17.74,96.63,333.86,12,15.14,23.55,0,NONE,0.0768,24.35,91,24.301,DOCKET0000000051
2021-02-21,PLAN0000000052,BRAND_B,AREA000000052,82.97,69.84,18,21.98,51.21,414.6,12,9.77,6.01,0,ACP,0.1669,29.76,73,5.173,DOCKET0000000052
2021-02-22,PLAN0000000053,BRAND_C,AREA000000053,85.53,68.15,6,6.63,141.61,298.47,24,18.79,3.68,0,ACP,0.0711,0.52,17,27.768,DOCKET0000000053
2021-02-23,PLAN0000000054,BRAND_F,AREA000000054,75.16,54.44,0,23.87,236.76,226.37,36,18.74,12.07,0,NONE,1.1496,32.07,16,23.622,DOCKET0000000054
2021-02-24,PLAN0000000055,BRAND_A,AREA000000055,113.51,87.74,6,13.3,209.22,391.83,12,0.25,22.72,1,NONE,0.803,31.39,43,27.304,DOCKET0000000055
2021-02-25,PLAN0000000056,BRAND_B,AREA000000056,72.56,46.29,12,7.11,92.81,310.86,24,19.13,18.1,0,ACP,0.062,27.51,51,0.488,DOCKET0000000056
2021-02-26,PLAN0000000057,BRAND_E,AREA000000057,148.74,89.67,24,10.72,41.67,369.19,24,19.5,30.7,0,ACP,0.5167,29.95,0,0.2,DOCKET0000000057
2021-02-27,PLAN0000000058,BRAND_D,AREA000000058,111.41,104.02,6,17.06,96.19,172.66,24,5.58,6.78,0,LIFELINE,0.0588,6.81,114,8.62,DOCKET0000000058
2021-02-28,PLAN0000000059,BRAND_D,AREA000000059,133.28,71.27,12,22.93,200.87,284.85,12,7.51,23.15,1,TRIBAL,0.1259,8.32,89,9.283,DOCKET0000000059
2021-03-01,PLAN0000000060,BRAND_C,AREA000000060,211.65,196.27,18,10.28,214.72,10.59,12,3.36,27.25,0,NONE,0.1479,9.57,104,6.615,DOCKET0000000060
2021-03-02,PLAN0000000061,BRAND_A,AREA000000061,205.49,191.87,3,19.55,170.91,424.46,12,0.69,27.84,1,NONE,0.2918,10.31,47,7.742,DOCKET0000000061
2021-03-03,PLAN0000000062,BRAND_A,AREA000000062,199.66,157.6,0,4.69,240.39,337.59,24,4.01,8.44,1,NONE,0.1094,1.08,88,11.89,DOCKET0000000062
2021-03-04,PLAN0000000063,BRAND_E,AREA000000063,169.6,96.67,18,20.71,122.87,310.73,12,1.93,0.64,0,ACP,0.1044,19.89,49,15.422,DOCKET0000000063
2021-03-05,PLAN0000000064,BRAND_A,AREA000000064,54.3,45.57,12,22.09,81.49,421.05,1,15.78,18.92,1,LOCAL_VOUCHER,0.043,12.58,22,13.667,DOCKET0000000064
2021-03-06,PLAN0000000065,BRAND_E,AREA000000065,219.7,82.3,3,16.19,197.23,38.1,12,11.81,32.9,0,ACP,0.3342,13.34,84,8.233,DOCKET0000000065
2021-03-07,PLAN0000000066,BRAND_B,AREA000000066,219.56,202.9,0,19.63,1.19,53.37,1,18.67,7.47,1,NONE,0.1749,24.23,66,22.74,DOCKET0000000066
2021-03-08,PLAN0000000067,BRAND_F,AREA000000067,34.13,20.54,6,9.39,208.79,434.03,24,3.0,11.18,1,LIFELINE,0.084,29.72,42,28.699,DOCKET0000000067
2021-03-09,PLAN0000000068,BRAND_D,AREA000000068,146.75,124.93,18,10.2,21.9,333.73,24,16.51,34.48,1,TRIBAL,0.215,21.73,9,15.337,DOCKET0000000068
2021-03-10,PLAN0000000069,BRAND_D,AREA000000069,123.31,54.58,3,17.46,233.16,235.69,0,10.73,12.58,0,LIFELINE,0.0693,14.79,105,20.258,DOCKET0000000069
2021-03-11,PLAN0000000070,BRAND_B,AREA000000070,168.83,69.23,9,20.87,144.36,275.75,12,17.92,3.57,0,NONE,0.0925,4.75,13,25.265,DOCKET0000000070
2021-03-12,PLAN0000000071,BRAND_C,AREA000000071,126.84,74.64,6,20.42,182.08,382.88,0,14.18,7.58,0,NONE,0.076,29.78,114,21.13,DOCKET0000000071
2021-03-13,PLAN0000000072,BRAND_A,AREA000000072,92.86,31.69,6,6.31,242.33,274.7,12,7.55,10.35,0,TRIBAL,0.7459,6.63,12,14.07,DOCKET0000000072
2021-03-14,PLAN0000000073,BRAND_D,AREA000000073,27.02,9.98,3,1.6,115.01,244.46,24,4.46,21.58,1,ACP,0.0247,34.57,77,15.882,DOCKET0000000073
2021-03-15,PLAN0000000074,BRAND_E,AREA000000074,128.34,50.23,0,22.18,158.95,87.28,24,19.94,5.89,0,ACP,0.2932,32.4,85,14.294,DOCKET0000000074
2021-03-16,PLAN0000000075,BRAND_B,AREA000000075,205.2,153.22,12,8.66,181.43,215.97,12,13.47,5.79,0,NONE,0.1366,25.6,68,0.087,DOCKET0000000075
2021-03-17,PLAN0000000076,BRAND_C,AREA000000076,217.47,98.21,24,16.83,67.41,97.4,24,18.01,28.11,0,NONE,0.2176,0.37,115,6.777,DOCKET0000000076
2021-03-18,PLAN0000000077,BRAND_B,AREA000000077,173.78,161.7,9,19.7,119.13,208.49,24,7.95,26.25,1,LOCAL_VOUCHER,0.1136,4.41,18,8.123,DOCKET0000000077
2021-03-19,PLAN0000000078,BRAND_A,AREA000000078,191.83,114.58,3,2.51,167.76,352.59,12,3.61,20.29,0,NONE,0.1173,24.07,74,27.089,DOCKET0000000078
2021-03-20,PLAN0000000079,BRAND_A,AREA000000079,183.44,132.58,6,24.04,163.12,426.77,0,12.65,21.23,0,LOCAL_VOUCHER,0.5232,25.09,110,28.735,DOCKET0000000079
2021-03-21,PLAN0000000080,BRAND_A,AREA000000080,160.66,97.86,9,20.85,86.09,425.59,12,11.52,1.36,0,ACP,0.128,19.66,36,16.589,DOCKET0000000080
2021-03-22,PLAN0000000081,BRAND_C,AREA000000081,92.68,52.6,6,3.81,100.84,70.14,24,5.03,21.19,1,NONE,0.0796,16.87,33,12.943,DOCKET0000000081
2021-03-23,PLAN0000000082,BRAND_A,AREA000000082,217.45,171.78,18,23.31,55.06,134.31,24,11.68,14.09,0,NONE,0.1502,8.4,18,8.593,DOCKET0000000082
2021-03-24,PLAN0000000083,BRAND_C,AREA000000083,43.09,37.36,0,12.62,48.74,280.63,12,16.59,23.65,0,NONE,0.0349,28.34,47,23.557,DOCKET0000000083
2021-03-25,PLAN0000000084,BRAND_E,AREA000000084,167.04,57.83,0,5.08,194.45,120.83,24,6.48,28.52,0,LIFELINE,0.1323,2.06,91,15.707,DOCKET0000000084
2021-03-26,PLAN0000000085,BRAND_D,AREA000000085,83.94,54.17,3,15.23,89.95,337.18,0,14.15,14.61,1,NONE,0.1614,25.23,85,29.713,DOCKET0000000085
2021-03-27,PLAN0000000086,BRAND_E,AREA000000086,97.41,88.63,12,15.29,140.04,41.0,24,3.8,8.69,1,ACP,0.1884,8.21,10,30.749,DOCKET0000000086
2021-03-28,PLAN0000000087,BRAND_E,AREA000000087,47.43,21.11,3,13.97,148.74,441.39,12,6.7,8.84,0,NONE,0.0284,10.79,21,20.871,DOCKET0000000087
2021-03-29,PLAN0000000088,BRAND_E,AREA000000088,116.36,41.08,6,8.47,216.68,96.82,12,11.49,26.81,0,NONE,0.0644,34.41,58,6.614,DOCKET0000000088
2021-03-30,PLAN0000000089,BRAND_E,AREA000000089,109.49,66.38,18,12.38,165.57,291.89,24,9.59,5.43,1,NONE,1.0659,20.75,70,11.739,DOCKET0000000089
2021-03-31,PLAN0000000090,BRAND_E,AREA000000090,58.53,48.38,3,18.12,116.22,186.5,12,14.17,21.72,0,ACP,0.1585,15.02,103,20.041,DOCKET0000000090
2021-04-01,PLAN0000000091,BRAND_A,AREA000000091,67.43,27.05,9,4.32,65.47,123.6,24,19.37,14.09,1,NONE,0.0545,13.09,87,9.0,DOCKET0000000091
2021-04-02,PLAN0000000092,BRAND_D,AREA000000092,174.69,140.63,18,6.86,182.15,291.41,12,19.7,21.56,0,ACP,0.1052,6.0,68,23.785,DOCKET0000000092
2021-04-03,PLAN0000000093,BRAND_A,AREA000000093,123.33,82.11,9,15.33,68.28,219.88,24,6.53,20.24,1,LIFELINE,0.1301,13.74,101,2.928,DOCKET0000000093
2021-04-04,PLAN0000000094,BRAND_E,AREA000000094,147.7,92.46,12,6.83,224.43,212.86,24,19.48,31.05,0,ACP,0.6371,6.22,24,21.174,DOCKET0000000094
2021-04-05,PLAN0000000095,BRAND_B,AREA000000095,78.48,37.34,12,8.52,155.96,115.22,12,7.43,29.15,0,LOCAL_VOUCHER,0.0449,31.01,84,9.174,DOCKET0000000095
2021-04-06,PLAN0000000096,BRAND_F,AREA000000096,128.64,62.88,12,18.56,112.58,104.69,12,10.73,0.88,0,NONE,1.3017,7.19,27,16.0,DOCKET0000000096
2021-04-07,PLAN0000000097,BRAND_F,AREA000000097,171.58,97.88,12,6.73,38.24,98.78,12,5.14,0.65,0,LIFELINE,1.0967,10.61,107,5.245,DOCKET0000000097
2021-04-08,PLAN0000000098,BRAND_A,AREA000000098,144.42,129.97,18,13.13,69.18,103.35,12,11.55,24.43,0,NONE,0.1048,4.92,1,25.944,DOCKET0000000098
2021-04-09,PLAN0000000099,BRAND_C,AREA000000099,113.34,52.35,9,6.22,245.64,2.91,24,2.75,4.58,0,NONE,0.0702,33.69,36,15.965,DOCKET0000000099
2021-04-10,PLAN0000000100,BRAND_A,AREA000000100,178.55,94.78,18,12.28,59.81,353.48,12,3.63,25.04,0,ACP,0.1427,10.62,113,6.714,DOCKET0000000100
2021-04-11,PLAN0000000101,BRAND_D,AREA000000101,133.16,89.55,9,13.0,121.75,239.24,12,3.19,7.93,0,TRIBAL,0.1044,8.5,92,7.029,DOCKET0000000101
2021-04-12,PLAN0000000102,BRAND_B,AREA000000102,130.51,102.31,24,18.13,165.51,316.69,24,1.75,1.23,1,LIFELINE,0.0827,13.76,78,26.848,DOCKET0000000102
2021-04-13,PLAN0000000103,BRAND_A,AREA000000103,29.77,10.56,6,18.98,193.07,109.06,12,9.02,26.13,1,NONE,0.1413,20.7,118,8.475,DOCKET0000000103
2021-04-14,PLAN0000000104,BRAND_B,AREA000000104,127.1,105.2,9,19.94,28.45,121.72,36,1.33,1.72,0,TRIBAL,0.3675,13.95,50,12.592,DOCKET0000000104
2021-04-15,PLAN0000000105,BRAND_A,AREA000000105,199.81,123.72,3,2.25,104.88,314.02,24,2.2,18.07,0,NONE,0.1598,8.14,112,19.922,DOCKET0000000105
2021-04-16,PLAN0000000106,BRAND_A,AREA000000106,110.12,104.55,3,22.68,168.33,12.93,24,0.62,26.34,0,NONE,0.1622,10.66,74,34.59,DOCKET0000000106
2021-04-17,PLAN0000000107,BRAND_A,AREA000000107,91.68,54.31,6,11.68,33.77,107.0,24,18.55,30.76,1,NONE,0.0795,17.26,12,34.87,DOCKET0000000107
2021-04-18,PLAN0000000108,BRAND_D,AREA000000108,194.46,175.13,6,19.83,124.65,420.24,36,0.65,20.35,0,TRIBAL,0.3123,2.31,100,27.71,DOCKET0000000108
2021-04-19,PLAN0000000109,BRAND_B,AREA000000109,135.3,108.54,12,3.14,109.96,192.2,24,9.71,7.13,0,LIFELINE,0.1054,7.28,29,28.264,DOCKET0000000109
2021-04-20,PLAN0000000110,BRAND_B,AREA000000110,128.31,76.42,0,14.4,43.25,314.43,12,18.57,22.55,0,NONE,0.0794,29.29,103,9.691,DOCKET0000000110
2021-04-21,PLAN0000000111,BRAND_F,AREA000000111,103.02,88.96,12,18.5,1.67,147.67,12,15.28,34.54,0,NONE,0.3752,10.26,55,21.739,DOCKET0000000111
2021-04-22,PLAN0000000112,BRAND_D,AREA000000112,24.22,14.74,6,6.21,224.48,405.9,12,9.11,26.74,0,ACP,0.052,19.74,52,0.625,DOCKET0000000112
2021-04-23,PLAN0000000113,BRAND_A,AREA000000113,160.87,87.03,18,9.04,51.64,10.65,12,3.67,32.76,1,TRIBAL,0.0832,29.09,74,24.513,DOCKET0000000113
2021-04-24,PLAN0000000114,BRAND_A,AREA000000114,89.47,82.0,18,23.84,162.59,271.96,12,17.12,18.63,0,ACP,0.0639,11.3,20,26.456,DOCKET0000000114
2021-04-25,PLAN0000000115,BRAND_F,AREA000000115,189.57,70.18,6,10.54,51.16,250.78,24,4.79,1.92,0,LOCAL_VOUCHER,0.1598,30.6,28,31.68,DOCKET0000000115
2021-04-26,PLAN0000000116,BRAND_D,AREA000000116,171.51,62.61,12,9.28,212.5,128.79,12,2.09,19.89,1,NONE,0.2322,25.05,3,18.624,DOCKET0000000116
2021-04-27,PLAN0000000117,BRAND_B,AREA000000117,84.21,60.58,9,10.6,207.39,213.6,24,10.65,29.03,1,NONE,0.1726,31.48,56,25.772,DOCKET0000000117
2021-04-28,PLAN0000000118,BRAND_D,AREA000000118,102.74,86.96,6,20.72,142.28,50.3,12,18.3,6.15,0,LIFELINE,0.1038,21.13,82,32.111,DOCKET0000000118
2021-04-29,PLAN0000000119,BRAND_A,AREA000000119,117.98,45.15,3,19.13,65.99,381.17,24,6.27,1.61,0,NONE,0.1156,16.05,89,10.716,DOCKET0000000119
2021-04-30,PLAN0000000120,BRAND_A,AREA000000120,73.13,27.04,18,16.7,13.52,90.18,24,13.36,21.65,0,NONE,0.0391,26.47,113,3.948,DOCKET0000000120
2021-05-01,PLAN0000000121,BRAND_A,AREA000000121,113.48,69.24,12,15.46,214.92,66.46,24,18.2,0.1,1,LOCAL_VOUCHER,0.0736,29.58,34,26.273,DOCKET0000000121
2021-05-02,PLAN0000000122,BRAND_A,AREA000000122,134.36,82.77,6,10.11,179.0,438.01,12,9.97,17.89,0,ACP,0.1083,9.75,110,31.953,DOCKET0000000122
2021-05-03,PLAN0000000123,BRAND_F,AREA000000123,68.29,42.2,6,16.66,125.37,183.39,0,15.5,1.39,0,LIFELINE,0.0927,12.95,88,17.34,DOCKET0000000123
2021-05-04,PLAN0000000124,BRAND_B,AREA000000124,53.43,30.6,18,11.61,128.66,302.56,24,16.03,8.41,0,LOCAL_VOUCHER,0.1464,13.47,116,19.077,DOCKET0000000124
2021-05-05,PLAN0000000125,BRAND_A,AREA000000125,36.9,26.22,9,10.78,202.99,131.51,12,3.3,32.4,1,LIFELINE,0.0197,15.89,72,28.987,DOCKET0000000125
2021-05-06,PLAN0000000126,BRAND_A,AREA000000126,29.34,20.96,6,16.08,128.33,349.35,12,16.51,19.67,0,ACP,0.0203,23.97,74,7.482,DOCKET0000000126
2021-05-07,PLAN0000000127,BRAND_D,AREA000000127,114.85,84.36,12,6.8,224.56,399.93,12,4.55,10.59,1,NONE,0.0575,8.87,0,10.815,DOCKET0000000127
2021-05-08,PLAN0000000128,BRAND_D,AREA000000128,41.65,31.91,18,7.73,14.68,68.89,12,5.88,10.95,0,ACP,0.0248,6.54,17,1.834,DOCKET0000000128
2021-05-09,PLAN0000000129,BRAND_A,AREA000000129,103.93,91.43,24,15.65,206.78,273.33,24,12.95,2.02,0,ACP,0.1523,8.63,92,16.679,DOCKET0000000129
2021-05-10,PLAN0000000130,BRAND_D,AREA000000130,27.52,15.67,18,18.1,239.69,89.47,12,2.04,2.32,0,ACP,0.0483,13.83,88,3.662,DOCKET0000000130
2021-05-11,PLAN0000000131,BRAND_D,AREA000000131,119.83,44.76,24,20.11,191.42,360.64,12,17.33,20.74,1,LOCAL_VOUCHER,0.0945,19.91,30,25.72,DOCKET0000000131
2021-05-12,PLAN0000000132,BRAND_B,AREA000000132,192.12,171.75,12,8.34,235.41,180.1,1,16.18,5.08,0,LIFELINE,0.2024,0.26,10,29.145,DOCKET0000000132
2021-05-13,PLAN0000000133,BRAND_E,AREA000000133,117.67,87.39,6,5.86,31.17,10.43,24,19.93,29.53,1,LIFELINE,0.0889,8.61,57,9.391,DOCKET0000000133
2021-05-14,PLAN0000000134,BRAND_B,AREA000000134,211.56,198.9,12,11.99,203.72,298.63,1,0.53,13.0,0,LIFELINE,0.3712,1.38,103,10.086,DOCKET0000000134
2021-05-15,PLAN0000000135,BRAND_A,AREA000000135,167.9,138.45,9,4.07,28.57,22.83,24,16.98,10.42,0,NONE,0.0937,30.99,73,24.686,DOCKET0000000135
2021-05-16,PLAN0000000136,BRAND_A,AREA000000136,98.92,90.05,6,2.37,124.17,377.44,12,19.11,19.84,0,LIFELINE,0.08,13.0,30,24.608,DOCKET0000000136
2021-05-17,PLAN0000000137,BRAND_A,AREA000000137,209.3,77.21,6,5.01,22.07,408.68,12,10.43,23.25,0,TRIBAL,0.4316,33.86,94,33.598,DOCKET0000000137
2021-05-18,PLAN0000000138,BRAND_D,AREA000000138,195.39,163.64,9,20.13,64.71,350.43,24,3.2,16.61,0,ACP,1.3787,7.65,99,16.997,DOCKET0000000138
2021-05-19,PLAN0000000139,BRAND_D,AREA000000139,126.91,118.43,12,0.17,102.46,26.62,36,9.35,28.86,0,LIFELINE,0.0769,4.31,117,32.559,DOCKET0000000139
2021-05-20,PLAN0000000140,BRAND_E,AREA000000140,33.15,13.11,9,0.68,158.73,178.11,24,10.86,27.51,1,LIFELINE,0.0405,34.97,52,20.135,DOCKET0000000140
2021-05-21,PLAN0000000141,BRAND_B,AREA000000141,49.09,44.8,12,8.38,118.62,85.99,1,7.84,17.77,0,NONE,0.081,31.39,8,18.732,DOCKET0000000141
