env_hazard_event_start_date,env_hazard_event_end_date,env_hazard_hazard_type_code,env_hazard_fema_disaster_number,env_hazard_impact_area_polygon_id,env_hazard_fatalities_direct,env_hazard_fatalities_indirect,env_hazard_injuries_reported,env_hazard_property_damage_usd,env_hazard_crop_damage_usd,env_hazard_insured_loss_usd,env_hazard_evacuation_order_flag,env_hazard_power_outage_customers_peak,env_hazard_shelter_population_peak,env_hazard_flood_depth_max_ft,env_hazard_wind_gust_max_mph,env_hazard_drought_severity_index,env_hazard_heat_index_max_f,env_hazard_snowfall_total_in,env_hazard_event_narrative_code
2000-03-01,2000-03-11,SEVERE_STORM,4080,POLY000000021,0,0,1045,11538047594.73,2636253800.36,4090469696.72,1,2073949,116786,24.37,114.6,-1.833,124.3,44.12,NARR_C
2000-03-04,2000-03-08,DROUGHT,6416,POLY000000022,0,0,985,7188186945.38,1659418432.58,2883415820.05,0,2714758,185183,13.99,20.2,-4.326,111.5,62.21,NARR_E
2000-03-07,2000-03-17,TORNADO,3861,POLY000000023,0,1,507,3968590707.94,675673001.28,3258106947.29,0,752572,128759,19.92,108.3,-0.795,119.7,37.6,NARR_B
2000-03-10,2000-03-26,WILDFIRE,2550,POLY000000024,0,0,401,5272427708.36,546363296.34,2352434268.92,0,2106897,134624,22.35,5.3,0.876,66.4,27.81,NARR_G
2000-03-13,2000-03-22,WILDFIRE,5019,POLY000000025,0,0,1007,9632276222.02,217813068.12,7224972041.78,0,8571217,114570,14.74,29.6,-4.956,96.6,20.23,NARR_C
2000-03-16,2000-03-22,LANDSLIDE,1246,POLY000000026,0,0,314,7060983090.22,2147627356.48,5907843022.02,1,7766118,113572,6.38,21.4,-4.557,119.8,54.25,NARR_E
2000-03-19,2000-03-26,FLOOD,3966,POLY000000027,0,0,1072,7412196910.54,422609762.86,2723798557.31,0,3533311,131954,10.73,91.6,-3.817,89.5,79.16,NARR_A
2000-03-22,2000-04-10,HEAT,8786,POLY000000028,0,1,1003,3156096689.49,2848532554.06,2003644223.99,1,4868995,180754,21.81,133.9,3.062,108.8,38.3,NARR_B
2000-03-25,2000-04-05,DROUGHT,5778,POLY000000029,0,0,23,1872173614.17,2732488903.32,1347570597.41,0,5972383,226653,15.46,85.7,-0.153,127.6,15.82,NARR_B
2000-03-28,2000-04-01,WILDFIRE,8918,POLY000000030,0,5,262,3988097917.35,2533955774.33,2891709901.27,0,996410,5353,22.55,163.1,4.606,107.2,69.21,NARR_G
2000-03-31,2000-04-17,TORNADO,4490,POLY000000031,0,0,405,10018946425.13,979913400.86,5251262114.78,0,4117758,119285,2.4,19.2,1.926,113.3,0.15,NARR_C
2000-04-03,2000-04-21,WILDFIRE,9584,POLY000000032,0,0,662,3869926465.31,278415031.45,1208413689.71,0,1146744,234499,7.13,104.0,1.022,99.1,21.14,NARR_G
2000-04-06,2000-04-06,FLOOD,1803,POLY000000033,0,0,829,4728010422.83,524333564.23,2234748238.72,0,1390881,219175,23.61,141.2,-0.48,102.7,43.41,NARR_E
2000-04-09,2000-04-17,WINTER_STORM,8839,POLY000000034,0,0,150,9458209378.72,2518948387.2,5065560134.7,0,9818128,131151,2.7,120.6,3.573,101.9,24.07,NARR_F
2000-04-12,2000-04-28,HURRICANE,2744,POLY000000035,0,0,1013,6182053512.6,12847910.44,2070201421.01,1,7851155,169408,2.14,103.5,1.257,84.5,41.23,NARR_D
2000-04-15,2000-04-29,WILDFIRE,2512,POLY000000036,0,0,1021,11153999748.16,1894494309.22,6966853779.41,0,10831171,190701,27.99,28.2,-0.432,104.7,7.26,NARR_D
2000-04-18,2000-05-04,WILDFIRE,7051,POLY000000037,1,0,937,3045160125.24,2734660781.23,2291510744.42,1,10033764,150840,23.33,29.7,-3.705,89.1,54.56,NARR_A
2000-04-21,2000-05-01,WINTER_STORM,8963,POLY000000038,0,0,346,9042942568.43,599629203.19,3328202359.65,0,1011596,10429,4.61,64.4,1.369,129.3,36.38,NARR_G
2000-04-24,2000-05-02,DROUGHT,3681,POLY000000039,2,0,789,11642847349.43,1384709793.04,7606167015.15,0,1795531,18,24.01,62.1,3.145,75.3,74.52,NARR_E
2000-04-27,2000-05-06,WINTER_STORM,3420,POLY000000040,0,0,983,4138208728.66,2246457060.96,3027731470.39,0,3348216,6183,22.37,163.3,-4.159,55.3,43.95,NARR_D
2000-04-30,2000-05-10,WINTER_STORM,8217,POLY000000041,0,3,1093,11267328424.59,2875180045.78,8753735236.3,0,7977537,48454,3.71,82.9,-0.959,82.6,23.65,NARR_F
2000-05-03,2000-05-18,SEVERE_STORM,7413,POLY000000042,0,1,919,861229707.62,1419405149.17,433442122.05,0,2359022,182794,25.15,128.8,0.42,125.2,33.52,NARR_B
2000-05-06,2000-05-09,HURRICANE,6846,POLY000000043,0,0,545,672412579.17,1216055950.49,507331573.49,1,1354622,114371,6.24,111.4,3.693,53.6,48.84,NARR_B
2000-05-09,2000-05-19,SEVERE_STORM,2384,POLY000000044,0,0,263,6121465156.8,1601835583.77,3531858685.01,0,5359218,168552,3.93,13.8,3.332,56.0,45.55,NARR_A
2000-05-12,2000-05-13,DROUGHT,6641,POLY000000045,0,0,170,10644689517.49,2477335433.98,4335183371.39,0,8130771,237914,17.96,86.7,-0.137,120.9,13.33,NARR_C
2000-05-15,2000-05-26,FLOOD,8557,POLY000000046,2,1,967,3662293007.77,1221784584.06,1992114711.49,1,6261200,109688,20.96,37.1,3.67,89.1,71.19,NARR_G
2000-05-18,2000-05-24,HURRICANE,8190,POLY000000047,0,0,734,4328464021.3,1713179169.29,2714183694.62,0,6208407,69138,21.56,22.0,-3.723,112.1,76.27,NARR_A
2000-05-21,2000-05-25,TORNADO,1677,POLY000000048,0,0,560,109813705.49,2986630329.87,76362826.75,0,4564585,99156,20.0,96.2,-3.171,133.2,38.18,NARR_F
2000-05-24,2000-06-09,FLOOD,1424,POLY000000049,0,0,597,8192132011.81,881639892.27,3012460458.47,0,11514254,209385,5.24,122.8,-2.692,130.5,62.47,NARR_C
2000-05-27,2000-06-02,WINTER_STORM,2346,POLY000000050,0,0,1155,4368526468.82,2274405133.16,970672994.45,0,2801622,198261,27.91,95.0,-4.473,60.5,48.58,NARR_E
2000-05-30,2000-06-04,DROUGHT,4064,POLY000000051,7,0,1006,9335435314.16,2983522233.07,2204782196.7,1,11620702,156225,11.98,65.4,2.663,88.1,37.68,NARR_A
2000-06-02,2000-06-15,FLOOD,5651,POLY000000052,0,0,1026,7648619408.91,1465030582.01,1338585638.45,0,11313786,2330,13.44,130.4,-4.239,106.3,66.13,NARR_F
2000-06-05,2000-06-10,LANDSLIDE,1294,POLY000000053,0,0,1100,9939874884.28,531837119.17,8394532068.14,0,6018578,125876,17.59,137.7,2.709,111.1,73.96,NARR_G
2000-06-08,2000-06-18,LANDSLIDE,1157,POLY000000054,0,0,847,11547082729.08,2775027417.33,5098910112.95,0,7625039,3024,16.6,15.3,3.196,106.9,77.51,NARR_E
2000-06-11,2000-06-16,LANDSLIDE,1321,POLY000000055,0,0,594,6476688192.8,2545130137.8,2907732424.73,1,6872384,206940,26.71,60.5,-4.832,130.7,73.68,NARR_F
2000-06-14,2000-06-24,HURRICANE,4207,POLY000000056,0,0,795,7199418173.08,1837154206.9,4218763803.48,0,5764004,216801,25.64,22.9,-4.089,74.5,30.84,NARR_B
2000-06-17,2000-07-02,SEVERE_STORM,9819,POLY000000057,0,2,1023,5434095389.65,1212394460.21,818553548.07,0,5668370,8319,5.46,17.2,3.489,91.9,24.27,NARR_C
2000-06-20,2000-07-09,HURRICANE,1650,POLY000000058,3,0,543,11989886858.48,2268479716.0,6093447457.37,1,10068660,175391,1.47,159.0,3.393,78.8,3.07,NARR_B
2000-06-23,2000-06-29,WINTER_STORM,1597,POLY000000059,0,0,91,1320654331.72,2347859714.71,636255789.03,0,4384654,118077,25.41,139.2,1.878,131.4,74.01,NARR_F
2000-06-26,2000-07-06,SEVERE_STORM,4947,POLY000000060,0,0,454,5071745173.61,2376682036.87,1403416870.21,0,10626460,219523,10.14,75.0,-4.579,114.4,56.09,NARR_F
2000-06-29,2000-07-16,DROUGHT,1686,POLY000000061,0,0,722,11126362313.29,2912980125.5,2260148663.38,0,1769803,150221,11.62,140.8,1.883,111.5,23.11,NARR_B
2000-07-02,2000-07-19,WILDFIRE,7917,POLY000000062,3,0,119,6341716089.08,44611377.7,1030783139.6,0,6154953,104472,6.63,2.3,1.619,88.1,42.71,NARR_E
2000-07-05,2000-07-14,WILDFIRE,8431,POLY000000063,1,0,364,7337189357.13,2387749583.9,5852669459.12,0,7109066,247222,26.6,5.4,-2.749,126.1,38.73,NARR_G
2000-07-08,2000-07-18,HEAT,1661,POLY000000064,0,0,849,6632679806.72,1323658669.18,1952591681.21,0,11524040,212709,20.27,143.6,-1.349,108.0,45.23,NARR_D
2000-07-11,2000-07-31,LANDSLIDE,8517,POLY000000065,0,0,975,11109048105.8,2811836197.46,1720564974.38,0,7822476,239618,1.43,130.0,-0.22,120.9,74.45,NARR_E
2000-07-14,2000-07-20,WILDFIRE,7075,POLY000000066,0,0,691,11166085094.97,1745563372.62,9035564523.95,0,278837,31657,7.06,64.3,-3.316,113.6,62.05,NARR_D
2000-07-17,2000-07-27,HURRICANE,5291,POLY000000067,0,0,660,4349083541.42,635751966.37,3630247498.18,0,2655543,194690,8.34,75.6,-4.31,106.2,35.84,NARR_D
2000-07-20,2000-08-04,HURRICANE,7266,POLY000000068,0,0,88,500209716.69,2530105650.04,197040635.14,1,11747108,118438,24.95,116.9,3.413,85.1,30.14,NARR_G
2000-07-23,2000-07-26,FLOOD,9794,POLY000000069,0,0,27,4742380227.98,1755678959.48,3546923277.82,1,11191677,174015,15.01,67.2,-4.247,102.2,15.91,NARR_B
2000-07-26,2000-08-04,SEVERE_STORM,8558,POLY000000070,0,0,854,6167140864.09,2266794084.14,5008667842.41,0,1944374,17216,6.0,143.2,2.649,133.9,8.17,NARR_F
2000-07-29,2000-08-02,HEAT,5297,POLY000000071,0,0,916,11223798643.44,574976459.39,3631103884.39,0,10267225,79640,15.63,161.0,-3.648,67.7,15.11,NARR_D
2000-08-01,2000-08-13,LANDSLIDE,9168,POLY000000072,0,0,194,1718177502.38,682304878.5,835864046.54,0,8108875,209034,13.35,126.1,-3.483,118.8,13.63,NARR_C
2000-08-04,2000-08-09,LANDSLIDE,8000,POLY000000073,0,0,133,209836230.28,1558036062.61,90789833.31,0,3884277,122381,25.71,57.9,-2.929,123.0,42.0,NARR_A
2000-08-07,2000-08-07,HEAT,9079,POLY000000074,1,0,294,10011814884.45,1278721788.12,3937408773.5,0,8875298,177401,23.49,38.4,3.977,53.1,46.63,NARR_F
2000-08-10,2000-08-19,WINTER_STORM,6077,POLY000000075,10,0,19,8348758112.98,2730096511.6,5347773444.83,0,11251573,84707,16.85,12.1,0.201,77.0,1.95,NARR_E
2000-08-13,2000-08-15,FLOOD,1762,POLY000000076,0,0,850,1579680670.21,2271856616.62,298343712.45,1,2081423,59062,15.3,4.2,-4.949,133.4,16.4,NARR_A
2000-08-16,2000-09-02,HEAT,2167,POLY000000077,0,0,426,9094404938.77,2232438526.8,3896360555.96,0,4919696,6393,26.89,160.2,-2.665,68.7,8.72,NARR_B
2000-08-19,2000-08-21,WILDFIRE,9111,POLY000000078,2,0,65,10624962651.58,415753621.03,4511358051.79,0,7392129,111636,26.7,112.3,-0.109,97.8,2.18,NARR_D
2000-08-22,2000-08-28,WINTER_STORM,2253,POLY000000079,1,0,970,10199118947.96,987604161.67,4562349755.04,0,7106925,168231,20.7,81.9,-4.29,66.6,17.73,NARR_G
2000-08-25,2000-08-31,HURRICANE,2509,POLY000000080,0,0,89,5816279411.57,531681720.4,4387954903.4,0,2776660,222231,27.22,79.1,-4.596,99.3,15.66,NARR_G
2000-08-28,2000-09-06,HEAT,7113,POLY000000081,0,0,32,6809500882.04,2649073600.59,5095073949.6,0,7381645,211149,15.7,84.2,3.309,111.8,9.09,NARR_G
2000-08-31,2000-09-14,HEAT,9082,POLY000000082,0,0,914,11818865367.26,1913849472.98,7412019251.5,0,8355625,218199,10.65,49.7,-1.128,101.0,67.63,NARR_C
2000-09-03,2000-09-04,LANDSLIDE,1895,POLY000000083,0,0,655,11843931621.07,1367334109.7,4293061837.61,0,9478067,191732,16.94,134.1,-0.113,124.0,63.74,NARR_F
2000-09-06,2000-09-25,WINTER_STORM,9449,POLY000000084,3,0,843,3601868859.58,2424592412.71,1973045685.24,1,9948596,221015,8.02,133.2,3.113,121.3,37.95,NARR_B
2000-09-09,2000-09-25,TORNADO,3504,POLY000000085,1,0,896,6939052767.35,2282135087.34,4472236049.17,0,11547905,24914,4.34,39.7,3.309,71.4,0.85,NARR_D
2000-09-12,2000-09-24,WINTER_STORM,6687,POLY000000086,2,0,949,4820593954.68,335789653.78,3409718430.97,1,4117211,145638,23.01,64.5,-3.587,61.2,65.4,NARR_C
2000-09-15,2000-09-23,HEAT,4632,POLY000000087,0,0,524,11338268766.82,2760225734.13,5122491283.41,0,10502616,55634,27.16,59.2,3.706,132.1,14.7,NARR_A
2000-09-18,2000-10-06,WINTER_STORM,3575,POLY000000088,0,0,250,5701494044.2,2077352830.88,4264388524.84,1,10630266,1402,1.53,136.9,-4.629,109.4,35.42,NARR_D
2000-09-21,2000-10-03,HURRICANE,1006,POLY000000089,0,0,524,9029887169.96,2757368176.74,5504732983.07,0,6979350,63197,17.87,134.5,-0.459,101.3,27.78,NARR_G
2000-09-24,2000-10-05,WINTER_STORM,6342,POLY000000090,0,0,412,5151152795.31,2354196738.54,2563319526.95,1,4051077,207571,6.54,119.3,-2.737,91.0,57.25,NARR_E
2000-09-27,2000-10-15,HEAT,4857,POLY000000091,4,0,1143,9535324946.99,2426686524.93,2861851019.43,1,4385569,187611,0.1,154.5,1.12,63.3,70.02,NARR_A
2000-09-30,2000-10-10,FLOOD,4876,POLY000000092,0,0,536,1107516749.44,259210437.3,781868381.45,1,11417337,78056,16.22,164.3,-1.285,111.2,57.93,NARR_D
2000-10-03,2000-10-23,TORNADO,5039,POLY000000093,2,0,1103,10576623972.61,1025035255.7,8287086963.11,0,1124384,244806,16.44,5.1,0.502,89.2,38.91,NARR_E
2000-10-06,2000-10-20,TORNADO,2933,POLY000000094,0,0,955,9200927467.18,947788733.82,5384158044.02,1,9015067,29508,20.91,8.5,4.986,93.1,35.13,NARR_F
2000-10-09,2000-10-13,DROUGHT,3986,POLY000000095,0,0,783,4963422179.37,139996673.27,1504114497.46,0,1697957,40400,25.65,35.6,-1.206,108.9,75.08,NARR_G
2000-10-12,2000-10-16,FLOOD,7781,POLY000000096,1,0,1085,3998425514.43,1627561885.66,1652138869.65,0,200350,93192,3.83,77.6,4.718,59.0,52.82,NARR_B
2000-10-15,2000-10-22,WILDFIRE,5438,POLY000000097,8,0,33,773274932.52,299253984.63,264855623.22,0,3768245,176094,27.91,55.2,-4.782,80.9,28.84,NARR_C
2000-10-18,2000-11-01,WINTER_STORM,5700,POLY000000098,0,0,13,11669031379.66,2132203394.24,5934065666.95,0,8549394,173926,19.52,133.5,-2.998,87.1,12.76,NARR_B
2000-10-21,2000-10-24,SEVERE_STORM,5973,POLY000000099,0,0,304,5680217195.24,2912119511.05,2836509460.16,0,1094107,70155,27.51,58.3,-1.356,100.6,38.23,NARR_D
2000-10-24,2000-10-30,HEAT,3297,POLY000000100,0,0,225,11827095614.26,2196343203.0,9681449742.85,0,5171620,30845,22.2,142.6,-0.148,95.9,47.29,NARR_D
2000-10-27,2000-11-03,TORNADO,5643,POLY000000101,0,0,1032,8344819092.16,2872368552.39,2345996546.2,1,11723903,168311,2.4,162.9,-0.259,120.4,64.53,NARR_B
2000-10-30,2000-11-08,LANDSLIDE,1891,POLY000000102,1,0,38,7871647143.96,2064906211.75,4142348351.49,1,932184,82136,18.15,49.0,-4.577,134.1,4.95,NARR_E
2000-11-02,2000-11-17,DROUGHT,8984,POLY000000103,0,0,568,2296948303.86,1014219428.56,1445315539.77,0,6663891,12468,23.17,96.1,2.814,114.6,71.83,NARR_F
2000-11-05,2000-11-16,DROUGHT,7677,POLY000000104,1,1,420,2619151065.32,1513354707.41,1026498584.08,1,4035861,215729,1.95,96.2,-2.966,107.2,36.31,NARR_G
2000-11-08,2000-11-17,FLOOD,8326,POLY000000105,0,0,918,5674389334.02,1135140864.53,2550561254.11,1,437942,6096,20.27,157.0,4.364,128.0,17.06,NARR_B
2000-11-11,2000-11-27,SEVERE_STORM,8417,POLY000000106,1,0,610,11759166377.67,1425195134.24,2150470678.86,1,6690379,108221,15.61,111.0,2.645,65.8,71.95,NARR_G
2000-11-14,2000-11-21,WINTER_STORM,7093,POLY000000107,3,0,1129,10707236982.71,1502440681.2,3290334779.26,0,953653,156728,15.06,60.1,3.331,101.7,8.76,NARR_G
2000-11-17,2000-11-19,HEAT,4804,POLY000000108,0,0,13,1739926029.19,2703618437.22,837941827.86,0,10984228,100429,0.47,127.3,2.668,55.9,68.25,NARR_C
2000-11-20,2000-12-05,WILDFIRE,4598,POLY000000109,0,0,717,7501805652.57,670213507.54,2303433460.24,1,7456333,59091,17.06,37.5,-1.936,97.9,68.08,NARR_D
2000-11-23,2000-11-24,WILDFIRE,1223,POLY000000110,0,0,788,6627805076.93,378589712.74,1387690210.07,0,7029208,94872,9.99,163.5,-4.944,116.2,32.25,NARR_D
2000-11-26,2000-12-15,SEVERE_STORM,7296,POLY000000111,0,0,976,6644271541.92,986420929.29,4783918906.4,0,1083505,171793,1.52,124.8,4.817,109.2,41.6,NARR_G
2000-11-29,2000-11-30,DROUGHT,5756,POLY000000112,0,0,317,11193195928.69,363736331.71,5644379775.37,1,11543940,116069,3.58,132.1,2.765,74.9,33.46,NARR_B
2000-12-02,2000-12-12,HEAT,3842,POLY000000113,0,0,31,2381932977.99,1142698938.11,1546863117.29,1,4320682,58031,24.95,52.3,-0.893,113.7,51.1,NARR_D
2000-12-05,2000-12-10,FLOOD,9541,POLY000000114,0,0,678,3025587357.82,2954741024.07,2372267489.32,0,2054024,120706,18.75,14.1,-2.843,116.4,21.38,NARR_D
2000-12-08,2000-12-12,WINTER_STORM,8141,POLY000000115,0,0,1142,4089896683.72,2543021272.5,2718720562.8,0,3919653,49943,11.01,159.2,-4.668,122.7,48.31,NARR_B
2000-12-11,2000-12-27,DROUGHT,1392,POLY000000116,0,0,760,2522914105.12,731645317.11,2080520408.66,1,2532169,92149,3.59,123.8,0.058,124.0,36.78,NARR_D
2000-12-14,2001-01-02,LANDSLIDE,4723,POLY000000117,8,1,73,9758401204.36,2677843987.69,2219227973.67,1,9464434,123032,14.12,11.2,3.216,130.7,17.63,NARR_G
2000-12-17,2001-01-01,LANDSLIDE,7756,POLY000000118,0,0,773,10106056194.0,2892729625.89,6267993286.26,0,3182063,141263,23.06,46.8,1.14,58.6,11.82,NARR_F
2000-12-20,2000-12-25,TORNADO,8870,POLY000000119,0,3,753,11632710005.97,2134525354.58,6944012634.01,1,10576838,184274,5.97,15.7,-3.921,84.4,12.7,NARR_E
2000-12-23,2001-01-07,LANDSLIDE,7971,POLY000000120,0,0,842,2273735135.54,713649532.85,835433566.17,0,5483735,88079,10.51,131.0,-4.778,93.9,77.9,NARR_C
2000-12-26,2001-01-02,LANDSLIDE,3264,POLY000000121,3,0,528,10228363942.61,581061842.8,2051141011.94,0,3458222,188134,5.81,124.6,-0.302,127.1,68.45,NARR_E
2000-12-29,2001-01-08,HURRICANE,3087,POLY000000122,0,0,943,1197003846.11,181365820.47,851127105.47,1,10956490,148038,19.74,105.3,-3.348,116.2,73.4,NARR_C
2001-01-01,2001-01-10,TORNADO,9529,POLY000000123,0,0,1161,3202292365.05,1406926854.12,1332356399.98,0,4198609,114623,18.47,26.4,-0.455,58.8,12.44,NARR_C
2001-01-04,2001-01-11,FLOOD,9377,POLY000000124,0,0,21,1449593461.2,2523903022.32,684795816.86,0,8852507,203181,11.27,74.2,4.5,118.3,21.0,NARR_C
2001-01-07,2001-01-12,WINTER_STORM,2134,POLY000000125,0,0,816,5458349690.38,2648998792.14,863886149.84,1,2850946,227156,17.04,37.7,-1.7,113.1,32.79,NARR_G
2001-01-10,2001-01-24,TORNADO,9738,POLY000000126,2,0,549,881707636.81,2243675350.34,157335984.46,0,10246859,221533,4.86,52.2,-1.148,75.6,16.25,NARR_C
2001-01-13,2001-01-31,SEVERE_STORM,7328,POLY000000127,3,0,1146,1231705541.88,2409506965.52,888717016.55,1,11271592,228768,4.01,14.7,0.357,133.2,17.9,NARR_B
2001-01-16,2001-01-18,SEVERE_STORM,7335,POLY000000128,3,0,1180,3302940006.11,315781028.27,496501696.51,1,3024079,205754,11.13,99.7,-0.053,71.1,21.76,NARR_C
2001-01-19,2001-01-23,TORNADO,5133,POLY000000129,0,0,979,9396187573.68,721409698.38,5040716366.72,0,1305593,129210,2.46,142.4,-4.56,61.2,79.73,NARR_E
2001-01-22,2001-02-08,HURRICANE,3917,POLY000000130,0,0,697,9218477643.36,319751865.33,1649073160.51,0,2229428,80517,13.23,137.0,1.145,107.5,69.56,NARR_D
2001-01-25,2001-01-25,HEAT,4832,POLY000000131,0,0,69,4123265496.79,2025892041.14,631743420.27,0,352091,109156,18.81,90.1,4.773,81.9,22.05,NARR_E
2001-01-28,2001-01-29,WINTER_STORM,8428,POLY000000132,0,1,6,10047788804.74,209700187.3,3303149841.4,0,53019,107847,25.52,30.2,4.078,80.1,20.41,NARR_G
2001-01-31,2001-02-12,LANDSLIDE,9197,POLY000000133,0,0,298,5652878094.68,111756855.43,3638176988.26,0,308621,66004,4.02,164.3,-2.983,113.9,62.49,NARR_E
2001-02-03,2001-02-22,TORNADO,9761,POLY000000134,0,0,944,5519882778.39,2669219746.39,1864812917.78,0,6393387,51041,10.74,15.1,-3.371,55.3,44.17,NARR_A
2001-02-06,2001-02-25,FLOOD,7887,POLY000000135,0,0,1121,1584722827.72,238009683.86,1075393215.37,0,1208090,336,19.8,39.0,-1.238,53.5,19.52,NARR_E
2001-02-09,2001-02-16,HEAT,1022,POLY000000136,0,0,92,7605156033.35,2495769763.47,3247517747.0,0,5901159,120113,18.83,16.5,2.311,94.6,16.08,NARR_C
2001-02-12,2001-02-24,HURRICANE,5661,POLY000000137,7,3,797,4385565220.64,513157020.39,3022507633.71,0,11197051,111092,14.55,11.3,1.01,55.2,26.56,NARR_B
2001-02-15,2001-03-04,WINTER_STORM,8883,POLY000000138,1,0,1097,9415830994.21,1428195212.49,4796112806.29,0,4081824,239515,24.81,25.4,-4.942,109.4,16.88,NARR_B
2001-02-18,2001-02-19,HURRICANE,2266,POLY000000139,0,0,1133,9129660213.85,2148359040.13,6433194755.24,0,467602,180642,21.57,76.5,-0.769,78.3,27.96,NARR_G
2001-02-21,2001-02-27,HURRICANE,5981,POLY000000140,0,0,795,4140421999.05,2984863690.08,1467175089.33,0,9278357,78557,2.42,148.0,-2.262,72.0,22.32,NARR_B
2001-02-24,2001-02-28,TORNADO,6760,POLY000000141,1,0,1191,5376359555.11,340606322.81,1399651805.93,0,2974286,139781,8.49,26.8,-0.473,134.2,78.06,NARR_A
2001-02-27,2001-03-08,TORNADO,6968,POLY000000142,0,2,213,198741250.51,682287663.38,153502725.11,1,2299434,181567,15.33,146.8,2.982,66.4,15.3,NARR_F
2001-03-02,2001-03-16,WINTER_STORM,9604,POLY000000143,0,0,791,8778517668.26,2574492267.47,2877391657.77,0,1423668,30658,7.56,91.0,4.043,116.8,63.09,NARR_D
