edu_erasmus_project_year,edu_erasmus_programme_period_code,edu_erasmus_participant_id_hash,edu_erasmus_home_country_iso2,edu_erasmus_host_country_iso2,edu_erasmus_home_institution_id,edu_erasmus_host_institution_id,edu_erasmus_mobility_type_code,edu_erasmus_duration_days,edu_erasmus_grant_amount_eur,edu_erasmus_inclusion_support_flag,edu_erasmus_green_travel_flag,edu_erasmus_virtual_component_flag,edu_erasmus_recognition_ects_flag,edu_erasmus_language_preparation_flag,edu_erasmus_student_satisfaction_score,edu_erasmus_employability_outcome_flag,edu_erasmus_data_source,edu_erasmus_last_update_date,edu_erasmus_data_extract_date
2016,2014_2020,7db1fd811af99c29788959,LT,BG,HEI_LT_0050,HEI_BG_0090,BLENDED_INTENSIVE,71,1098.6,0,0,0,1,1,4.74,1,NATIONAL_AGENCY_EXPORT,2020-09-19,2025-03-02
2017,2014_2020,a5c1a2fe75787f91b6b84d,SK,IE,HEI_SK_0055,HEI_IE_0099,TRAINEESHIP,266,9339.72,1,0,0,0,0,4.49,1,INSTITUTION_REPORTING,2020-10-12,2024-12-21
2018,2014_2020,6e93971ecd5c8eb520fa1f,HR,SI,HEI_HR_0060,HEI_SI_0108,STUDY,97,2590.28,0,0,0,1,0,3.05,1,ERASMUS_DASHBOARD,2020-11-04,2025-02-02
2019,2014_2020,cdeca67fcda778e41b2648,DE,FI,HEI_DE_0065,HEI_FI_0117,YOUTH_EXCHANGE,76,2771.69,0,0,0,0,1,4.02,1,NATIONAL_AGENCY_EXPORT,2020-11-27,2025-05-27
2020,2014_2020,1e6d040d4e2a967694bac5,LU,NL,HEI_LU_0070,HEI_NL_0126,STAFF_TRAINING,87,3433.97,0,0,1,0,1,4.88,0,INSTITUTION_REPORTING,2020-12-20,2024-08-30
2021,2021_2027,58bcb348d3a25684373116,SI,HR,HEI_SI_0075,HEI_HR_0135,STAFF_TEACHING,86,3095.38,1,1,0,1,0,3.4,0,ERASMUS_DASHBOARD,2021-01-12,2025-06-19
2022,2021_2027,b506dc90c03b60961bb595,CY,IT,HEI_CY_0080,HEI_IT_0144,BLENDED_INTENSIVE,23,589.53,0,1,0,1,1,4.07,0,NATIONAL_AGENCY_EXPORT,2021-02-04,2024-12-01
2023,2021_2027,7fbf7692e3b100848f6ee2,GR,ES,HEI_GR_0085,HEI_ES_0153,TRAINEESHIP,136,4567.18,0,0,0,0,1,4.53,0,INSTITUTION_REPORTING,2021-02-27,2024-01-06
2024,2021_2027,31b50b90e5a97e89cee6e8,MT,FR,HEI_MT_0090,HEI_FR_0162,STUDY,160,3967.87,0,0,1,1,1,4.9,1,ERASMUS_DASHBOARD,2021-03-22,2024-06-03
2025,2021_2027,62c8b645b01095dc4f87e6,ES,PL,HEI_ES_0095,HEI_PL_0171,YOUTH_EXCHANGE,64,1838.62,0,1,0,0,1,4.77,1,NATIONAL_AGENCY_EXPORT,2021-04-14,2025-05-04
2006,2014_2020,f6d5aecd0314a00110f9a4,CZ,CY,HEI_CZ_0100,HEI_CY_0180,STAFF_TRAINING,114,1316.06,0,0,0,1,1,4.45,1,INSTITUTION_REPORTING,2021-05-07,2024-04-30
2007,2014_2020,ae36d683a66f095727f326,HU,LV,HEI_HU_0105,HEI_LV_0189,STAFF_TEACHING,29,836.58,1,1,0,0,0,3.8,0,ERASMUS_DASHBOARD,2021-05-30,2024-12-19
2008,2014_2020,840f86310e0ecf3c20f955,NL,SE,HEI_NL_0110,HEI_SE_0198,BLENDED_INTENSIVE,9,391.75,0,0,0,1,0,3.15,1,NATIONAL_AGENCY_EXPORT,2021-06-22,2025-07-23
2009,2014_2020,396b6a403c7d0c244a6ff9,SE,DE,HEI_SE_0115,HEI_DE_0207,TRAINEESHIP,155,2327.25,0,0,0,0,1,4.27,0,INSTITUTION_REPORTING,2021-07-15,2025-12-03
2010,2014_2020,305315e9b948ae2bfe9219,DK,PT,HEI_DK_0120,HEI_PT_0216,STUDY,270,2844.46,0,0,1,1,0,3.35,0,ERASMUS_DASHBOARD,2021-08-07,2025-12-30
2011,2014_2020,64714042d06b5d8da357ae,IE,CZ,HEI_IE_0125,HEI_CZ_0225,YOUTH_EXCHANGE,174,4112.11,0,0,0,1,0,3.73,0,NATIONAL_AGENCY_EXPORT,2021-08-30,2025-02-20
2012,2014_2020,e6e20284c96a84b1bfbb8f,PL,LT,HEI_PL_0130,HEI_LT_0234,STAFF_TRAINING,18,473.37,0,0,0,1,1,3.28,0,INSTITUTION_REPORTING,2021-09-22,2026-01-23
2013,2014_2020,8608371d64d528d2cd0645,AT,AT,HEI_AT_0135,HEI_AT_0243,STAFF_TEACHING,146,1978.58,0,0,0,0,0,3.7,0,ERASMUS_DASHBOARD,2021-10-15,2025-09-14
2014,2014_2020,32e7e8d1091899c719802e,EE,GR,HEI_EE_0140,HEI_GR_0252,BLENDED_INTENSIVE,167,1522.61,1,0,0,1,1,3.76,1,NATIONAL_AGENCY_EXPORT,2021-11-07,2025-10-16
2015,2014_2020,44eed7022fd727896380bc,IT,RO,HEI_IT_0145,HEI_RO_0261,TRAINEESHIP,305,7961.59,1,0,0,0,1,3.62,0,INSTITUTION_REPORTING,2021-11-30,2025-06-07
2016,2014_2020,ebd5d92e44020177c9699d,PT,DK,HEI_PT_0150,HEI_DK_0270,STUDY,107,1337.69,0,0,0,1,0,3.64,1,ERASMUS_DASHBOARD,2021-12-23,2026-01-13
2017,2014_2020,47488ff7da2ecf4bdadfd0,BE,LU,HEI_BE_0155,HEI_LU_0279,YOUTH_EXCHANGE,167,6895.81,1,0,0,0,0,3.47,1,NATIONAL_AGENCY_EXPORT,2022-01-15,2025-06-10
2018,2014_2020,9721ad1c8a599518306fb8,FI,BE,HEI_FI_0160,HEI_BE_0288,STAFF_TRAINING,19,165.66,0,0,0,0,0,3.68,1,INSTITUTION_REPORTING,2022-02-07,2024-10-12
2019,2014_2020,aa34bfa62195e0db1d58d2,LV,HU,HEI_LV_0165,HEI_HU_0297,STAFF_TEACHING,176,4645.92,0,0,0,0,1,3.83,1,ERASMUS_DASHBOARD,2022-03-02,2026-01-30
2020,2014_2020,7c489823977e875e152c6c,RO,SK,HEI_RO_0170,HEI_SK_0306,BLENDED_INTENSIVE,57,1382.68,0,1,1,1,1,4.76,1,NATIONAL_AGENCY_EXPORT,2022-03-25,2025-03-10
2021,2021_2027,fd47ccd9a458506cfe5d6d,BG,EE,HEI_BG_0175,HEI_EE_0315,TRAINEESHIP,201,3885.28,0,1,1,0,0,3.78,1,INSTITUTION_REPORTING,2022-04-17,2024-10-15
2022,2021_2027,1b515bd4edd7d154020866,FR,MT,HEI_FR_0180,HEI_MT_0324,STUDY,195,2259.15,0,1,0,1,1,4.19,1,ERASMUS_DASHBOARD,2022-05-10,2025-02-08
2023,2021_2027,1e032d6cadaae8dea45463,LT,BG,HEI_LT_0185,HEI_BG_0333,YOUTH_EXCHANGE,20,336.49,0,0,0,0,0,4.1,1,NATIONAL_AGENCY_EXPORT,2022-06-02,2025-03-17
2024,2021_2027,3abd4c9b8a450780cf8d79,SK,IE,HEI_SK_0190,HEI_IE_0342,STAFF_TRAINING,151,3410.77,0,0,0,0,0,3.1,1,INSTITUTION_REPORTING,2022-06-25,2024-01-09
2025,2021_2027,8be683e213906676b98490,HR,SI,HEI_HR_0195,HEI_SI_0351,STAFF_TEACHING,136,2864.37,0,0,0,0,0,3.4,0,ERASMUS_DASHBOARD,2022-07-18,2024-06-28
2006,2014_2020,eccae4bdd46ca601aa19b5,DE,FI,HEI_DE_0200,HEI_FI_0360,BLENDED_INTENSIVE,134,2474.34,1,0,0,1,1,4.88,1,NATIONAL_AGENCY_EXPORT,2022-08-10,2024-12-25
2007,2014_2020,d6644aa01de12fb710532f,LU,NL,HEI_LU_0205,HEI_NL_0369,TRAINEESHIP,268,8011.21,0,0,0,1,1,4.0,0,INSTITUTION_REPORTING,2022-09-02,2025-12-25
2008,2014_2020,5ce5108c7e8713492bfd9c,SI,HR,HEI_SI_0210,HEI_HR_0378,STUDY,141,1956.55,1,0,0,1,1,3.36,0,ERASMUS_DASHBOARD,2022-09-25,2024-03-11
2009,2014_2020,81ad084a3716663136d30c,CY,IT,HEI_CY_0215,HEI_IT_0387,YOUTH_EXCHANGE,11,396.48,0,0,0,0,1,4.32,0,NATIONAL_AGENCY_EXPORT,2022-10-18,2024-10-25
2010,2014_2020,36cde6a35e0f975ba9a864,GR,ES,HEI_GR_0220,HEI_ES_0396,STAFF_TRAINING,170,2173.03,0,0,0,0,1,3.36,1,INSTITUTION_REPORTING,2022-11-10,2025-07-20
2011,2014_2020,2ad566148f67b4c18037a7,MT,FR,HEI_MT_0225,HEI_FR_0405,STAFF_TEACHING,61,1696.41,1,1,0,0,1,3.61,1,ERASMUS_DASHBOARD,2022-12-03,2025-02-10
2012,2014_2020,7306733fe27697d2539808,ES,PL,HEI_ES_0230,HEI_PL_0414,BLENDED_INTENSIVE,129,1895.67,0,0,0,1,1,4.0,1,NATIONAL_AGENCY_EXPORT,2022-12-26,2025-08-30
2013,2014_2020,ac6d83b1919b2452d6e6a7,CZ,CY,HEI_CZ_0235,HEI_CY_0423,TRAINEESHIP,114,3232.27,0,0,0,0,0,4.5,1,INSTITUTION_REPORTING,2023-01-18,2025-02-16
2014,2014_2020,c97414ed1c40724da63f24,HU,LV,HEI_HU_0240,HEI_LV_0432,STUDY,107,3052.82,0,0,0,1,0,4.3,1,ERASMUS_DASHBOARD,2023-02-10,2025-11-18
2015,2014_2020,8313ce82fc48f6f43088c7,NL,SE,HEI_NL_0245,HEI_SE_0441,YOUTH_EXCHANGE,37,1281.42,0,0,0,0,0,3.34,1,NATIONAL_AGENCY_EXPORT,2023-03-05,2024-05-22
2016,2014_2020,41f7616a7e8e1c32e4d1da,SE,DE,HEI_SE_0250,HEI_DE_0450,STAFF_TRAINING,46,1043.16,0,0,0,0,0,3.41,0,INSTITUTION_REPORTING,2023-03-28,2024-10-17
2017,2014_2020,e3b608206e031587463fff,DK,PT,HEI_DK_0255,HEI_PT_0459,STAFF_TEACHING,85,1086.52,0,0,0,0,1,3.53,1,ERASMUS_DASHBOARD,2023-04-20,2025-07-06
2018,2014_2020,592947d2b4bae68552f44a,IE,CZ,HEI_IE_0260,HEI_CZ_0468,BLENDED_INTENSIVE,47,1067.87,0,0,0,1,0,3.42,0,NATIONAL_AGENCY_EXPORT,2023-05-13,2025-11-29
2019,2014_2020,5142474f0a68115c635746,PL,LT,HEI_PL_0265,HEI_LT_0477,TRAINEESHIP,214,4226.31,1,0,0,0,0,3.96,0,INSTITUTION_REPORTING,2023-06-05,2024-12-31
2020,2014_2020,37d8841d45270ef43fefa4,AT,AT,HEI_AT_0270,HEI_AT_0486,STUDY,334,5669.45,0,1,1,1,1,4.62,1,ERASMUS_DASHBOARD,2023-06-28,2025-05-15
2021,2021_2027,b8c9d3e16c58782538a692,EE,GR,HEI_EE_0275,HEI_GR_0495,YOUTH_EXCHANGE,25,235.59,0,0,1,0,1,4.41,1,NATIONAL_AGENCY_EXPORT,2023-07-21,2025-10-05
2022,2021_2027,46cce8232d58d8a324b29a,IT,RO,HEI_IT_0280,HEI_RO_0504,STAFF_TRAINING,165,5854.17,0,1,1,1,1,4.56,1,INSTITUTION_REPORTING,2023-08-13,2024-04-04
2023,2021_2027,56bc38c5ee539b19c570b5,PT,DK,HEI_PT_0285,HEI_DK_0513,STAFF_TEACHING,101,2236.75,0,0,0,0,1,4.48,0,ERASMUS_DASHBOARD,2023-09-05,2025-12-08
2024,2021_2027,da027fb02a8577885c01b1,BE,LU,HEI_BE_0290,HEI_LU_0522,BLENDED_INTENSIVE,91,2635.54,0,1,0,1,0,4.2,0,NATIONAL_AGENCY_EXPORT,2023-09-28,2025-06-18
2025,2021_2027,4f1598c391f66541274de1,FI,BE,HEI_FI_0295,HEI_BE_0531,TRAINEESHIP,34,693.66,0,1,0,0,0,3.16,1,INSTITUTION_REPORTING,2023-10-21,2025-07-18
2006,2014_2020,082b5eec7c7fd25886834e,LV,HU,HEI_LV_0300,HEI_HU_0540,STUDY,55,1446.29,0,0,1,0,1,3.74,0,ERASMUS_DASHBOARD,2023-11-13,2024-07-25
2007,2014_2020,163c66c42707c0203c2714,RO,SK,HEI_RO_0305,HEI_SK_0549,YOUTH_EXCHANGE,50,1511.14,0,1,0,1,1,3.55,1,NATIONAL_AGENCY_EXPORT,2023-12-06,2024-03-05
2008,2014_2020,1a2f519a65eb5b17cfcab6,BG,EE,HEI_BG_0310,HEI_EE_0558,STAFF_TRAINING,41,623.34,0,1,0,1,1,4.41,1,INSTITUTION_REPORTING,2023-12-29,2025-12-16
2009,2014_2020,26126d1e803c25358e97ae,FR,MT,HEI_FR_0315,HEI_MT_0567,STAFF_TEACHING,137,1875.05,1,0,0,1,1,4.49,1,ERASMUS_DASHBOARD,2024-01-21,2024-11-28
2010,2014_2020,a8d8419772c706f70dfda6,LT,BG,HEI_LT_0320,HEI_BG_0576,BLENDED_INTENSIVE,186,3594.96,0,0,0,1,1,4.92,1,NATIONAL_AGENCY_EXPORT,2024-02-13,2025-06-18
2011,2014_2020,013649fa23157ff4bd2896,SK,IE,HEI_SK_0325,HEI_IE_0585,TRAINEESHIP,198,3172.82,1,0,0,0,0,3.27,0,INSTITUTION_REPORTING,2024-03-07,2024-05-30
2012,2014_2020,f67ec88371903c3a0e3893,HR,SI,HEI_HR_0330,HEI_SI_0594,STUDY,293,7596.95,0,0,0,1,1,3.57,1,ERASMUS_DASHBOARD,2024-03-30,2025-06-05
2013,2014_2020,bc86699c1fce12f4067a44,DE,FI,HEI_DE_0335,HEI_FI_0603,YOUTH_EXCHANGE,53,2078.1,0,0,0,0,1,4.37,0,NATIONAL_AGENCY_EXPORT,2024-04-22,2025-05-04
2014,2014_2020,e894df28f2562f66bfd92b,LU,NL,HEI_LU_0340,HEI_NL_0612,STAFF_TRAINING,175,3937.02,0,0,0,0,0,4.18,0,INSTITUTION_REPORTING,2024-05-15,2025-09-13
2015,2014_2020,34995e25b6586ace181a49,SI,HR,HEI_SI_0345,HEI_HR_0621,STAFF_TEACHING,87,2174.2,1,0,0,0,0,3.42,1,ERASMUS_DASHBOARD,2024-06-07,2024-06-20
2016,2014_2020,0d9fc12492bb3e1000223e,CY,IT,HEI_CY_0350,HEI_IT_0630,BLENDED_INTENSIVE,133,3243.34,0,0,0,1,1,3.58,0,NATIONAL_AGENCY_EXPORT,2024-06-30,2025-12-02
2017,2014_2020,ae402c0bc16e20d434de2f,GR,ES,HEI_GR_0355,HEI_ES_0639,TRAINEESHIP,83,2841.52,0,0,0,0,0,4.1,1,INSTITUTION_REPORTING,2024-07-23,2024-03-20
2018,2014_2020,11aa0f7294db3dfa5aa7ad,MT,FR,HEI_MT_0360,HEI_FR_0648,STUDY,287,9155.26,0,0,0,1,1,4.35,1,ERASMUS_DASHBOARD,2024-08-15,2024-09-12
2019,2014_2020,5ad043cd97fb45a541e950,ES,PL,HEI_ES_0365,HEI_PL_0657,YOUTH_EXCHANGE,45,1302.07,0,0,0,0,1,4.39,0,NATIONAL_AGENCY_EXPORT,2024-09-07,2026-01-16
2020,2014_2020,b2fa1979ffb71a5131c329,CZ,CY,HEI_CZ_0370,HEI_CY_0666,STAFF_TRAINING,178,5821.09,1,0,1,1,1,4.29,1,INSTITUTION_REPORTING,2024-09-30,2024-04-12
2021,2021_2027,cf4daf420b7ec3e3e5f6f3,HU,LV,HEI_HU_0375,HEI_LV_0675,STAFF_TEACHING,166,4747.7,0,0,1,0,0,4.15,1,ERASMUS_DASHBOARD,2024-10-23,2024-05-14
2022,2021_2027,15ad13a3ce3de990a343be,NL,SE,HEI_NL_0380,HEI_SE_0684,BLENDED_INTENSIVE,175,6767.57,0,0,0,1,0,4.72,1,NATIONAL_AGENCY_EXPORT,2024-11-15,2025-10-26
2023,2021_2027,2e24a44057e7a377611b57,SE,DE,HEI_SE_0385,HEI_DE_0693,TRAINEESHIP,35,854.92,0,0,0,0,0,3.93,0,INSTITUTION_REPORTING,2024-12-08,2025-04-25
2024,2021_2027,5095a368b91fa32f51189d,DK,PT,HEI_DK_0390,HEI_PT_0702,STUDY,129,4142.33,0,1,1,1,0,3.31,1,ERASMUS_DASHBOARD,2024-12-31,2025-03-13
2025,2021_2027,e83d87abb41b97cb4cff4c,IE,CZ,HEI_IE_0395,HEI_CZ_0711,YOUTH_EXCHANGE,105,3580.05,0,0,0,0,1,3.5,1,NATIONAL_AGENCY_EXPORT,2025-01-23,2024-05-24
2006,2014_2020,bca1e85b977481ef8d78d7,PL,LT,HEI_PL_0400,HEI_LT_0720,STAFF_TRAINING,44,1014.2,0,0,0,0,0,3.64,0,INSTITUTION_REPORTING,2025-02-15,2024-01-04
2007,2014_2020,8fe87c5b101738cdf1da51,AT,AT,HEI_AT_0405,HEI_AT_0729,STAFF_TEACHING,62,1894.84,1,0,0,0,0,3.53,1,ERASMUS_DASHBOARD,2025-03-10,2026-01-12
2008,2014_2020,2f45a293d0ffbe17590447,EE,GR,HEI_EE_0410,HEI_GR_0738,BLENDED_INTENSIVE,119,2784.75,1,0,0,1,1,4.54,0,NATIONAL_AGENCY_EXPORT,2025-04-02,2025-08-26
2009,2014_2020,903edbe3c339b42c01b3ae,IT,RO,HEI_IT_0415,HEI_RO_0747,TRAINEESHIP,313,9780.79,0,0,0,0,1,3.34,1,INSTITUTION_REPORTING,2025-04-25,2024-12-21
2010,2014_2020,cdb4215c16c75d782a3fd6,PT,DK,HEI_PT_0420,HEI_DK_0756,STUDY,214,2489.22,1,0,0,0,0,3.93,1,ERASMUS_DASHBOARD,2025-05-18,2024-11-22
2011,2014_2020,d98247af8e2862f2c4e544,BE,LU,HEI_BE_0425,HEI_LU_0765,YOUTH_EXCHANGE,105,4260.01,1,0,0,0,0,3.19,0,NATIONAL_AGENCY_EXPORT,2025-06-10,2025-07-22
2012,2014_2020,f2152fb2827bd8abd4edcf,FI,BE,HEI_FI_0430,HEI_BE_0774,STAFF_TRAINING,189,4415.29,0,0,0,1,0,3.97,0,INSTITUTION_REPORTING,2025-07-03,2024-02-14
2013,2014_2020,38278b8bdae7e32dbe7535,LV,HU,HEI_LV_0435,HEI_HU_0783,STAFF_TEACHING,90,2903.98,1,0,1,0,0,3.52,1,ERASMUS_DASHBOARD,2025-07-26,2024-06-30
2014,2014_2020,9e7214a0ddb42ab72546cd,RO,SK,HEI_RO_0440,HEI_SK_0792,BLENDED_INTENSIVE,93,2630.16,0,0,0,1,1,4.36,1,NATIONAL_AGENCY_EXPORT,2025-08-18,2024-05-26
2015,2014_2020,f9370bcf2f787a69273f56,BG,EE,HEI_BG_0445,HEI_EE_0801,TRAINEESHIP,152,3985.38,0,0,0,1,0,3.28,1,INSTITUTION_REPORTING,2025-09-10,2025-09-05
2016,2014_2020,a5c7356c64849aaa8aaf5b,FR,MT,HEI_FR_0450,HEI_MT_0810,STUDY,225,4285.13,0,0,0,1,0,3.67,1,ERASMUS_DASHBOARD,2025-10-03,2024-01-13
2017,2014_2020,d69ac6d09398c866f3aa95,LT,BG,HEI_LT_0455,HEI_BG_0819,YOUTH_EXCHANGE,148,3579.54,1,0,0,0,1,4.21,1,NATIONAL_AGENCY_EXPORT,2025-10-26,2024-04-27
2018,2014_2020,979cd45f7e9ba6d86d499b,SK,IE,HEI_SK_0460,HEI_IE_0828,STAFF_TRAINING,94,2803.3,0,0,0,0,1,4.06,1,INSTITUTION_REPORTING,2025-11-18,2026-02-18
2019,2014_2020,9762fab3c34346e84798af,HR,SI,HEI_HR_0465,HEI_SI_0837,STAFF_TEACHING,36,1148.8,1,0,0,0,0,4.34,1,ERASMUS_DASHBOARD,2025-12-11,2024-09-09
2020,2014_2020,fe5b4b101d3ab6a88c56c0,DE,FI,HEI_DE_0470,HEI_FI_0846,BLENDED_INTENSIVE,191,5966.14,0,0,0,1,1,4.35,1,NATIONAL_AGENCY_EXPORT,2026-01-03,2025-01-23
2021,2021_2027,58cbcf1e008f0aaeeccaca,LU,NL,HEI_LU_0475,HEI_NL_0855,TRAINEESHIP,172,4941.85,0,0,0,0,1,3.91,0,INSTITUTION_REPORTING,2026-01-26,2025-04-29
2022,2021_2027,f975bc1718f62a20ecebb5,SI,HR,HEI_SI_0480,HEI_HR_0864,STUDY,321,3929.41,1,0,0,1,0,3.84,0,ERASMUS_DASHBOARD,2026-02-18,2025-08-06
2023,2021_2027,d8609f012272852e3d2921,CY,IT,HEI_CY_0485,HEI_IT_0873,YOUTH_EXCHANGE,117,1072.75,0,0,1,0,1,3.76,0,NATIONAL_AGENCY_EXPORT,2013-01-16,2025-03-04
2024,2021_2027,6259148d214df6696ae51e,GR,ES,HEI_GR_0490,HEI_ES_0882,STAFF_TRAINING,68,992.6,1,0,0,0,1,3.68,1,INSTITUTION_REPORTING,2013-02-08,2024-10-12
2025,2021_2027,dd8101e35d116f6163ceed,MT,FR,HEI_MT_0495,HEI_FR_0891,STAFF_TEACHING,56,1129.78,0,1,0,0,0,3.04,1,ERASMUS_DASHBOARD,2013-03-03,2025-01-12
2006,2014_2020,6e50fe1c443e3fdd6c9c08,ES,PL,HEI_ES_0500,HEI_PL_0900,BLENDED_INTENSIVE,155,1908.25,1,0,1,1,0,3.82,1,NATIONAL_AGENCY_EXPORT,2013-03-26,2024-11-11
2007,2014_2020,e13c8eae88f400c5d9a5c8,CZ,CY,HEI_CZ_0505,HEI_CY_0909,TRAINEESHIP,288,7839.57,1,0,0,0,1,4.96,1,INSTITUTION_REPORTING,2013-04-18,2026-01-16
2008,2014_2020,30e9e0aaa60f1d07db5996,HU,LV,HEI_HU_0510,HEI_LV_0918,STUDY,346,7613.86,0,0,0,1,0,4.16,0,ERASMUS_DASHBOARD,2013-05-11,2024-05-28
2009,2014_2020,1610358b1394d8351cc0bb,NL,SE,HEI_NL_0515,HEI_SE_0927,YOUTH_EXCHANGE,192,5112.48,0,0,0,0,1,5.0,0,NATIONAL_AGENCY_EXPORT,2013-06-03,2024-06-05
2010,2014_2020,5ad228b91610edcfa2fad3,SE,DE,HEI_SE_0520,HEI_DE_0936,STAFF_TRAINING,50,727.2,0,0,0,0,1,4.77,0,INSTITUTION_REPORTING,2013-06-26,2025-09-21
2011,2014_2020,30b641ebf65412d26841bd,DK,PT,HEI_DK_0525,HEI_PT_0945,STAFF_TEACHING,75,2107.83,0,0,0,0,0,3.47,1,ERASMUS_DASHBOARD,2013-07-19,2024-06-26
2012,2014_2020,7eef512a7d94b88dc9442a,IE,CZ,HEI_IE_0530,HEI_CZ_0954,BLENDED_INTENSIVE,86,2005.87,0,0,0,1,0,4.36,0,NATIONAL_AGENCY_EXPORT,2013-08-11,2025-01-10
2013,2014_2020,21d5566cfc9ccbd1825f4a,PL,LT,HEI_PL_0535,HEI_LT_0963,TRAINEESHIP,140,2701.09,0,0,0,0,1,3.89,0,INSTITUTION_REPORTING,2013-09-03,2025-07-30
2014,2014_2020,db1f6830a0a93fa3ed31c3,AT,AT,HEI_AT_0540,HEI_AT_0972,STUDY,125,1591.18,0,0,0,1,0,3.39,0,ERASMUS_DASHBOARD,2013-09-26,2025-02-21
2015,2014_2020,40c706fcb6b22beba299bd,EE,GR,HEI_EE_0545,HEI_GR_0981,YOUTH_EXCHANGE,173,1698.09,1,0,0,0,1,4.93,0,NATIONAL_AGENCY_EXPORT,2013-10-19,2024-08-01
2016,2014_2020,af6eb22801ad20260fdd42,IT,RO,HEI_IT_0550,HEI_RO_0990,STAFF_TRAINING,39,334.02,1,0,0,0,1,3.75,0,INSTITUTION_REPORTING,2013-11-11,2025-10-09
2017,2014_2020,5f47c7d83d1c21221e4e2f,PT,DK,HEI_PT_0555,HEI_DK_0999,STAFF_TEACHING,15,489.52,0,0,0,0,1,3.51,1,ERASMUS_DASHBOARD,2013-12-04,2025-11-13
2018,2014_2020,94f3d832e8b8f3eff1eea7,BE,LU,HEI_BE_0560,HEI_LU_1008,BLENDED_INTENSIVE,171,4096.71,0,0,0,0,1,3.72,0,NATIONAL_AGENCY_EXPORT,2013-12-27,2026-01-26
2019,2014_2020,013429e866131b3aa33f22,FI,BE,HEI_FI_0565,HEI_BE_1017,TRAINEESHIP,248,4218.92,0,0,0,0,0,3.59,0,INSTITUTION_REPORTING,2014-01-19,2024-03-11
2020,2014_2020,fa573daae11ec59dd8779b,LV,HU,HEI_LV_0570,HEI_HU_1026,STUDY,329,7632.18,0,0,0,1,0,3.95,1,ERASMUS_DASHBOARD,2014-02-11,2024-09-07
2021,2021_2027,3a4a75fe3d866eec577642,RO,SK,HEI_RO_0575,HEI_SK_1035,YOUTH_EXCHANGE,174,3942.0,0,0,1,0,1,3.8,1,NATIONAL_AGENCY_EXPORT,2014-03-06,2024-07-12
