health_infect_report_date,health_infect_pathogen_code,health_infect_case_definition_version,health_infect_case_count_confirmed,health_infect_case_count_probable,health_infect_test_positivity_rate_pct,health_infect_hospital_admission_count,health_infect_icu_admission_count,health_infect_death_count,health_infect_vaccination_coverage_pct,health_infect_variant_lineage,health_infect_outbreak_cluster_id,health_infect_exposure_setting_type,health_infect_contact_tracing_success_rate,health_infect_reporting_delay_days,health_infect_wastewater_signal_level,health_infect_syndromic_indicator_level,health_infect_antimicrobial_resistance_flag,health_infect_public_health_action_level,health_infect_data_refresh_timestamp
2024-07-27,INFL_B,v4.2,3633,226,17.29,960,110,166,97.77,B.1.5.16,CL715538,CommunityEvent,59.46,40,995.97,47.27,N,Enhanced,2023-05-01T11:46:08
2022-09-16,CHIKV,v1.8,3338,1272,22.19,1010,108,45,16.49,JN.5.15,CL671491,CommunityEvent,36.71,19,668.54,11.22,Y,HighAlert,2022-10-07T03:38:26
2019-03-26,DENGUE,v5.2,3916,534,41.91,658,217,80,31.63,BA.7.19,CL398735,Travel,11.27,32,111.67,71.74,N,HighAlert,2023-05-10T13:10:20
2021-10-21,NORO,v3.1,154,1288,17.44,257,120,97,60.65,JN.1.11,CL254998,School,28.99,5,932.95,67.77,N,Enhanced,2025-01-06T00:49:57
2019-10-27,CHIKV,v1.7,4275,603,46.09,893,174,73,27.23,BA.1.10,CL804994,CommunityEvent,20.83,28,726.25,32.5,Y,Enhanced,2020-01-21T23:31:25
2019-09-15,INFL_A,v1.2,4388,298,2.54,563,67,93,10.09,AY.7.2,CL365122,Market,83.04,14,489.25,76.22,Y,Emergency,2022-09-28T11:49:55
2022-01-31,NORO,v2.5,191,623,30.25,804,15,130,24.23,KP.1.0,CL769264,Household,48.66,41,978.71,100.0,Y,HighAlert,2021-04-03T03:05:16
2024-03-15,RSV,v2.7,2980,1426,52.23,858,85,194,1.73,KP.9.4,CL970746,Market,46.07,42,739.26,40.96,Y,Emergency,2020-12-28T14:36:33
2025-05-19,SARS2,v1.8,427,633,25.38,408,11,9,69.98,B.1.9.9,CL689032,CommunityEvent,91.85,24,16.58,13.17,N,HighAlert,2025-06-22T04:45:43
2021-08-24,SARS2,v5.4,4224,1423,37.49,929,229,206,61.02,KP.5.5,CL444874,Healthcare,92.73,26,842.71,71.21,Y,HighAlert,2020-06-17T09:33:34
2020-01-08,DENGUE,v4.5,103,1479,34.74,1185,71,190,17.07,KP.4.14,CL544353,Market,86.96,40,850.34,37.2,N,Emergency,2020-07-20T01:37:55
2021-01-28,CHIKV,v2.3,4500,1406,29.03,52,45,151,65.6,B.1.2.10,CL501604,Unknown,39.65,22,642.81,28.98,Y,Enhanced,2021-06-16T14:52:56
2021-06-27,TB,v4.9,4126,92,18.66,196,8,180,81.83,AY.1.17,CL237273,Household,45.76,34,632.91,54.88,N,Emergency,2022-10-23T01:20:23
2025-11-29,RSV,v1.7,3582,723,14.12,565,281,97,58.91,EG.2.18,CL818639,Market,33.68,42,639.81,48.67,Y,HighAlert,2022-10-14T02:26:08
2021-12-16,SARS2,v2.2,2987,370,47.65,463,285,122,97.39,XBB.9.8,CL786520,Healthcare,64.37,23,445.13,18.51,Y,Emergency,2023-04-25T10:27:47
2023-04-01,INFL_B,v4.4,3595,985,51.96,303,290,91,62.49,JN.8.19,CL578480,CommunityEvent,82.43,15,649.92,62.14,N,Routine,2025-04-03T04:18:50
2021-11-26,MALARIA,v5.2,2585,1245,8.93,368,227,105,82.31,JN.3.1,CL744748,Workplace,32.28,42,774.24,13.22,Y,HighAlert,2021-01-27T05:08:57
2023-10-11,NORO,v3.5,3328,319,37.24,123,156,215,9.78,BA.1.2,CL328847,Travel,56.8,14,351.08,54.97,Y,Enhanced,2025-10-31T17:22:42
2021-02-05,NORO,v5.0,413,1125,6.42,412,56,107,85.13,B.1.3.13,CL679524,Travel,37.82,14,259.93,16.03,N,Routine,2025-07-15T08:10:40
2019-02-18,NORO,v5.9,4359,851,31.56,837,76,161,39.0,BA.1.2,CL718067,Unknown,10.01,42,891.0,83.72,Y,HighAlert,2025-11-18T15:22:50
2022-01-04,INFL_A,v5.9,974,202,43.74,68,205,48,30.99,KP.6.2,CL124003,Unknown,13.96,29,207.0,49.71,Y,Enhanced,2023-06-23T02:26:22
2020-02-19,MALARIA,v3.2,1488,1237,41.6,682,279,236,17.72,XBB.3.19,CL177417,Unknown,61.43,42,609.13,4.24,N,Routine,2025-11-10T20:27:08
2024-05-03,MALARIA,v4.7,3466,695,16.98,793,12,52,85.13,AY.5.10,CL387917,CommunityEvent,36.07,15,751.8,36.3,Y,Routine,2024-07-18T04:22:22
2019-02-25,MEASLES,v2.9,3937,215,22.72,1175,221,236,55.26,JN.7.8,CL508213,Household,57.87,41,259.72,3.25,N,Routine,2022-04-05T19:11:42
2021-05-18,TB,v2.6,3131,819,18.03,957,87,88,31.46,XBB.6.17,CL504409,Workplace,0.73,2,744.28,38.31,Y,Emergency,2022-07-27T04:53:42
2021-06-12,INFL_A,v3.3,1452,855,18.7,914,242,117,43.9,JN.6.19,CL568056,CommunityEvent,13.74,21,881.53,67.84,Y,Emergency,2022-05-01T14:48:31
2023-05-26,TB,v2.1,2763,65,18.18,599,125,138,10.11,B.1.1.11,CL387561,Travel,73.27,15,897.14,42.7,N,Routine,2025-08-05T02:14:37
2019-12-25,TB,v5.8,3625,549,41.16,211,156,113,12.8,BA.5.15,CL991297,Workplace,96.48,44,485.72,33.71,Y,Enhanced,2024-03-09T13:47:54
2025-03-06,SARS2,v3.6,3822,896,14.73,443,210,167,58.98,EG.9.0,CL795404,Household,35.07,3,822.48,53.04,N,Routine,2021-10-31T08:34:07
2024-02-19,MEASLES,v4.1,4113,1092,21.27,900,194,165,84.5,EG.8.3,CL739628,Travel,74.68,20,951.61,45.22,N,Emergency,2022-03-30T07:00:25
2025-05-15,INFL_B,v3.3,1282,207,21.38,860,80,160,95.11,AY.2.2,CL400369,Healthcare,91.35,20,973.49,98.95,Y,HighAlert,2025-12-08T02:29:09
2021-03-29,TB,v5.2,4000,1038,50.76,702,102,99,26.23,EG.7.8,CL184116,Workplace,63.24,43,675.03,42.49,Y,Enhanced,2024-05-23T12:07:13
2019-02-04,DENGUE,v5.2,4575,886,51.43,20,251,61,99.0,AY.3.14,CL747376,CommunityEvent,17.53,17,856.83,61.08,N,Enhanced,2021-03-15T03:11:29
2024-10-05,INFL_A,v5.2,4250,206,17.84,361,18,148,32.36,AY.7.18,CL104437,Healthcare,95.79,25,155.95,77.14,N,Routine,2024-11-10T17:53:02
2024-03-08,SARS2,v3.4,3487,493,8.34,379,10,178,59.3,JN.5.13,CL390656,Workplace,11.32,27,901.23,62.75,Y,Enhanced,2025-08-05T01:42:19
2025-08-26,MEASLES,v5.8,2858,855,33.39,23,268,62,41.29,JN.4.2,CL555134,Healthcare,50.07,2,928.87,56.83,N,HighAlert,2022-07-16T02:46:37
2020-09-04,CHIKV,v2.6,767,1494,24.61,467,55,63,61.45,EG.2.11,CL796479,Household,6.23,25,736.43,69.31,N,Routine,2022-11-22T20:20:55
2019-02-07,CHIKV,v3.5,1922,606,5.85,35,237,198,89.25,BA.8.15,CL451601,Household,88.18,18,567.2,98.48,N,Enhanced,2020-09-23T11:22:23
2021-10-19,NORO,v4.2,3335,574,7.53,644,179,89,15.45,XBB.7.15,CL627803,Household,80.31,27,851.78,68.17,Y,Routine,2025-02-26T09:51:09
2023-09-10,RSV,v5.3,4274,50,12.46,50,205,52,25.74,KP.7.6,CL810148,Market,94.29,23,363.38,83.36,N,Emergency,2023-08-29T00:52:25
2022-05-26,MALARIA,v3.7,4185,653,20.72,342,266,89,5.83,BA.9.18,CL232245,Travel,90.81,17,546.33,96.94,Y,Routine,2022-12-16T23:07:56
2023-06-09,SARS2,v2.2,4066,154,34.8,812,37,214,43.75,JN.2.3,CL240199,Travel,92.03,14,330.15,91.58,N,Routine,2021-12-19T21:26:01
2021-12-26,CHIKV,v3.2,3720,1279,4.62,516,288,62,88.28,BA.3.1,CL177691,Household,41.04,4,216.7,56.42,N,HighAlert,2020-11-28T19:02:28
2021-03-15,INFL_B,v3.3,1434,330,17.59,506,101,87,10.41,JN.4.8,CL266266,CommunityEvent,43.13,18,262.97,34.67,Y,Routine,2020-05-01T21:17:40
2020-03-31,INFL_B,v3.7,2848,1249,8.94,53,269,234,34.1,XBB.6.4,CL302425,Workplace,9.51,11,937.6,89.33,Y,Routine,2025-08-18T14:27:46
2021-12-12,MALARIA,v1.9,4056,1203,43.12,211,101,160,86.96,KP.6.18,CL644094,CommunityEvent,83.11,20,726.85,71.19,N,Emergency,2022-04-03T02:22:09
2021-01-05,CHIKV,v2.3,2712,622,5.79,1000,98,77,84.49,KP.2.18,CL264516,School,50.54,11,190.09,80.19,Y,Routine,2020-12-03T22:17:07
2020-05-22,TB,v3.4,2136,697,53.69,296,274,190,40.99,BA.6.16,CL150616,Travel,44.74,36,619.41,51.92,N,Routine,2021-04-09T15:59:06
2024-12-14,MALARIA,v2.0,3494,753,17.45,639,106,201,27.75,XBB.1.6,CL741085,Travel,59.89,32,305.77,59.78,N,Enhanced,2020-09-18T20:57:41
2020-07-03,TB,v1.8,5,413,3.37,870,206,84,91.72,EG.9.15,CL426009,Workplace,80.06,4,503.17,85.22,Y,Routine,2021-02-07T02:14:24
2019-03-26,MALARIA,v4.9,2673,84,19.22,716,293,162,22.94,BA.7.3,CL179902,Travel,94.07,13,298.71,69.12,Y,HighAlert,2020-01-20T16:21:36
2025-02-20,NORO,v4.7,360,957,27.9,36,169,125,18.15,JN.2.8,CL764079,Market,28.54,14,363.87,71.73,Y,Enhanced,2025-09-11T10:01:43
2025-02-24,TB,v5.7,4027,729,48.85,152,93,55,85.44,JN.7.2,CL183452,Household,92.34,21,403.91,16.09,N,HighAlert,2023-06-19T17:35:54
2020-04-23,MEASLES,v3.3,1390,897,37.14,368,63,70,33.04,KP.2.1,CL100811,Travel,1.57,23,994.5,27.06,N,Routine,2025-12-12T13:29:57
2020-01-12,NORO,v3.9,1691,1316,20.46,54,58,8,27.02,EG.8.3,CL746918,Household,24.7,42,743.66,49.77,Y,Enhanced,2020-11-18T20:02:15
2025-02-02,CHIKV,v3.9,3173,1338,15.93,1061,206,138,53.22,B.1.2.19,CL432774,School,58.06,3,235.92,59.05,Y,Routine,2021-11-22T02:13:56
2024-06-30,INFL_B,v1.5,2602,375,54.45,771,169,227,92.18,KP.1.5,CL487716,Travel,38.39,0,36.36,93.83,N,Emergency,2022-01-30T11:00:02
2020-09-17,RSV,v1.1,4271,30,32.45,758,35,34,51.23,BA.3.15,CL156348,Healthcare,29.6,38,834.13,69.23,N,Emergency,2024-05-16T23:21:46
2025-04-24,MEASLES,v2.3,3410,629,20.4,208,75,240,36.71,AY.5.2,CL317014,Household,21.42,13,818.29,4.75,Y,HighAlert,2023-03-19T09:32:14
2024-08-26,RSV,v2.4,2838,778,11.13,429,162,36,71.92,JN.2.14,CL411912,Travel,53.54,44,862.71,25.4,Y,HighAlert,2020-10-10T03:08:45
2024-04-26,SARS2,v3.5,3563,1312,30.04,905,91,213,73.95,KP.2.4,CL226457,Travel,35.61,38,843.96,65.98,N,Routine,2020-05-17T17:07:26
2023-02-02,MALARIA,v4.3,3211,175,42.22,493,100,211,46.47,BA.9.7,CL661216,Healthcare,38.14,34,291.67,48.58,Y,HighAlert,2020-04-06T02:50:09
2025-12-05,RSV,v1.4,2489,1222,42.16,651,135,156,18.0,EG.5.16,CL588513,Healthcare,84.23,36,792.86,74.74,Y,Emergency,2021-10-12T01:21:08
2023-10-28,RSV,v2.8,1635,351,28.98,917,275,135,37.96,XBB.2.8,CL868742,Workplace,57.61,40,561.9,2.54,Y,Enhanced,2025-08-27T20:15:10
2025-07-22,CHIKV,v5.2,2417,414,18.25,772,138,187,0.62,XBB.4.14,CL842170,Workplace,40.82,36,630.4,95.13,Y,Enhanced,2021-04-05T06:04:08
2021-02-13,TB,v2.5,2911,243,38.45,587,245,75,58.82,AY.6.14,CL686106,Market,90.0,16,294.4,47.85,Y,Emergency,2020-01-13T23:35:56
2025-12-01,CHIKV,v1.0,596,1177,21.47,829,35,102,73.48,B.1.5.7,CL696542,School,82.12,25,348.12,5.1,Y,Routine,2022-11-21T18:24:21
2023-06-01,INFL_B,v3.0,225,1312,47.92,1038,190,185,25.78,BA.7.11,CL512620,Workplace,17.6,33,298.32,49.06,Y,Enhanced,2021-12-21T07:55:25
2023-10-08,SARS2,v5.1,4882,286,31.51,955,165,217,46.17,AY.9.9,CL672190,School,85.45,15,696.7,1.92,Y,Enhanced,2021-06-11T05:00:09
2023-06-13,RSV,v4.3,3305,245,17.06,877,278,197,98.57,AY.2.14,CL879200,School,84.05,14,22.07,28.31,Y,HighAlert,2022-11-08T21:46:37
2020-09-27,INFL_A,v4.5,3281,653,43.33,270,75,111,80.73,B.1.7.9,CL497889,School,11.86,17,894.64,7.38,N,Emergency,2023-06-19T20:45:48
2021-10-04,MALARIA,v1.8,3243,203,22.25,988,123,238,76.81,KP.3.15,CL271670,Market,51.46,42,232.01,28.26,N,Emergency,2025-01-06T09:25:48
2025-04-10,INFL_A,v4.2,3294,273,21.97,657,100,221,31.08,AY.7.18,CL299822,Travel,57.2,23,377.5,6.76,Y,HighAlert,2024-03-12T05:52:26
2023-11-04,MEASLES,v2.1,1651,1162,42.31,506,76,152,86.27,BA.1.3,CL761684,School,14.82,42,113.22,27.0,N,HighAlert,2021-06-06T22:12:54
2021-06-20,TB,v4.5,4998,1496,0.41,683,71,196,79.68,EG.8.0,CL738686,CommunityEvent,19.33,15,369.83,74.95,N,Enhanced,2023-12-11T22:16:28
2024-05-25,CHIKV,v2.0,3085,657,7.91,396,16,97,97.04,JN.1.6,CL913544,Travel,66.23,43,797.18,86.06,N,Routine,2024-11-08T20:36:32
2022-03-30,MALARIA,v1.8,3100,961,26.36,403,255,4,52.18,EG.9.14,CL113256,Travel,82.99,11,935.83,50.22,N,Enhanced,2020-12-02T06:39:48
2021-02-21,DENGUE,v3.4,2014,646,21.49,304,93,244,26.82,EG.5.4,CL555260,Travel,2.54,36,455.23,98.64,N,Enhanced,2024-04-20T13:57:55
2019-09-24,RSV,v3.4,1914,21,43.36,349,63,141,20.19,EG.2.14,CL354445,Unknown,36.51,34,623.2,87.06,N,Routine,2025-01-19T23:19:28
2025-09-03,CHIKV,v1.5,3951,396,34.29,1029,218,19,36.47,XBB.4.2,CL624791,Travel,67.91,42,943.93,88.01,Y,Routine,2020-05-28T13:14:43
2020-07-12,TB,v1.9,710,953,46.62,177,165,48,82.26,KP.9.17,CL242563,Market,53.99,31,709.86,71.97,N,HighAlert,2023-06-20T17:49:23
2025-12-07,NORO,v2.5,1790,1497,28.29,749,81,136,45.88,XBB.1.18,CL595229,Workplace,71.46,15,530.34,92.66,N,Enhanced,2024-08-21T09:46:14
2024-01-20,CHIKV,v5.0,751,655,44.37,718,158,2,28.36,BA.9.9,CL608410,School,52.61,11,911.73,6.33,N,Routine,2024-09-06T03:18:41
2023-07-30,TB,v1.4,1404,418,49.29,84,195,246,91.74,XBB.6.5,CL438242,Unknown,30.28,39,306.83,51.83,Y,Routine,2023-08-09T14:44:43
2024-11-23,CHIKV,v2.0,4616,703,13.11,622,265,168,8.57,KP.7.7,CL487143,Workplace,74.65,41,353.72,58.42,N,HighAlert,2023-08-04T09:00:43
2022-01-13,NORO,v4.6,696,1273,0.76,169,232,197,59.15,EG.5.2,CL220725,Healthcare,70.83,22,342.16,9.99,Y,HighAlert,2022-01-07T14:51:49
2020-06-14,TB,v1.7,3924,894,12.54,712,227,72,52.27,KP.2.15,CL444886,Household,48.69,0,386.86,10.07,Y,Enhanced,2020-10-30T04:55:43
2024-02-12,NORO,v5.9,3068,1320,3.9,402,127,151,41.35,KP.2.9,CL461579,School,81.15,35,908.01,80.77,Y,Enhanced,2021-09-06T07:09:51
2022-06-26,RSV,v2.0,185,388,27.6,108,4,51,98.58,AY.4.19,CL442623,Household,74.96,37,86.87,82.29,Y,HighAlert,2024-11-17T23:17:51
2021-07-29,NORO,v5.8,3009,581,25.16,642,119,201,74.04,AY.3.13,CL490672,Workplace,62.01,24,369.93,0.17,Y,HighAlert,2020-01-28T10:20:20
2025-12-28,DENGUE,v5.0,3342,911,16.28,122,194,200,26.9,EG.3.11,CL656207,Healthcare,24.32,36,777.14,52.15,Y,Emergency,2021-11-27T03:33:29
2020-07-15,MALARIA,v4.5,3926,1049,30.37,975,87,219,87.93,XBB.3.1,CL628760,Household,10.14,19,250.63,26.27,Y,Enhanced,2022-02-22T19:48:43
2022-05-04,INFL_B,v2.7,2163,1067,48.43,952,215,214,82.39,KP.3.5,CL550311,Healthcare,94.51,40,364.76,48.45,N,Enhanced,2024-09-25T04:45:14
2025-09-26,RSV,v4.6,2919,1395,3.36,819,28,28,48.67,BA.9.2,CL762018,CommunityEvent,44.47,43,749.67,77.24,Y,HighAlert,2021-12-12T23:47:56
2024-01-06,RSV,v1.6,3951,332,46.97,152,95,12,50.64,KP.1.0,CL581388,Workplace,46.9,19,305.44,33.51,N,Emergency,2021-10-11T18:16:55
2022-08-24,INFL_A,v4.9,4716,1026,52.23,667,251,197,58.67,AY.3.13,CL733676,Workplace,82.88,22,287.69,28.37,N,Enhanced,2020-09-14T19:50:33
2024-09-28,TB,v4.7,4917,1172,35.16,1008,241,88,22.35,BA.7.19,CL154698,School,18.44,4,896.23,82.77,N,Emergency,2024-02-02T15:53:48
2020-05-15,NORO,v1.3,2671,1317,45.14,713,125,34,7.84,XBB.7.11,CL142656,Healthcare,14.43,39,163.26,12.63,Y,Emergency,2024-04-08T00:56:09
2021-04-20,SARS2,v1.3,2417,267,44.69,185,180,203,94.51,AY.8.7,CL528172,Travel,54.23,32,930.45,96.03,N,Routine,2023-07-28T18:31:41
2024-05-19,NORO,v5.0,1948,751,50.2,534,64,124,75.77,JN.6.10,CL896239,Household,13.15,31,967.34,34.23,Y,HighAlert,2025-11-03T20:34:31
2021-04-16,RSV,v1.7,3799,264,49.24,521,197,234,19.42,BA.6.7,CL987494,Healthcare,93.46,27,722.68,54.41,N,HighAlert,2023-04-07T08:00:00
2022-06-26,INFL_A,v5.2,3626,82,14.7,720,190,127,16.81,KP.2.10,CL137106,Unknown,34.43,27,427.08,9.74,Y,Enhanced,2020-09-05T14:57:42
2020-05-24,NORO,v4.0,956,843,11.16,712,281,20,77.08,BA.6.4,CL203314,CommunityEvent,50.19,12,228.94,13.53,N,Enhanced,2020-12-10T14:28:39
2022-01-13,CHIKV,v3.7,1516,244,23.96,590,189,190,50.0,JN.4.19,CL135755,Travel,58.5,26,356.87,95.19,N,Routine,2021-06-06T15:42:26
2020-02-08,CHIKV,v1.2,4645,1458,33.71,776,154,75,1.29,AY.2.10,CL427916,Workplace,45.28,25,940.69,98.48,N,Routine,2023-12-10T14:39:20
2024-12-18,MALARIA,v5.5,3234,22,15.4,506,60,152,38.37,JN.1.19,CL701826,Unknown,1.11,42,798.31,43.58,Y,HighAlert,2024-03-18T18:02:20
2025-11-30,MEASLES,v4.4,2674,162,36.19,1080,264,146,83.98,B.1.3.10,CL183893,Market,78.46,42,91.49,84.5,Y,Routine,2021-06-11T18:09:00
2021-06-25,MALARIA,v4.1,369,1440,36.31,1146,256,44,17.8,BA.1.16,CL373205,Workplace,80.33,7,521.47,14.9,N,Emergency,2024-09-21T01:42:19
2022-04-14,TB,v5.1,188,806,29.4,1191,288,237,14.47,XBB.3.17,CL383590,Household,69.9,18,366.83,45.64,Y,Routine,2020-05-14T15:15:31
2021-11-18,SARS2,v5.2,2945,275,49.93,688,56,157,56.32,AY.6.12,CL320923,Healthcare,36.42,25,856.59,23.84,Y,Routine,2022-01-06T05:42:06
2025-09-28,INFL_A,v4.3,4905,998,53.24,285,187,38,32.83,BA.9.13,CL146127,Market,97.57,12,809.45,87.86,Y,Emergency,2020-12-11T13:46:44
2021-11-12,RSV,v4.2,1971,101,27.62,274,271,10,59.82,BA.5.10,CL575268,Unknown,4.19,18,324.22,41.03,N,Emergency,2020-07-10T16:31:48
2021-04-14,INFL_A,v3.7,4476,113,23.47,1014,1,24,0.68,EG.2.13,CL225461,Healthcare,95.78,27,824.61,56.43,Y,Enhanced,2020-04-26T10:25:07
2025-02-18,INFL_A,v5.1,4606,70,1.15,769,8,18,44.39,KP.9.19,CL965033,Market,24.95,20,199.77,78.91,Y,Emergency,2024-04-04T04:12:35
2019-11-29,INFL_A,v5.1,4573,392,51.4,622,91,144,5.31,AY.9.8,CL242726,Healthcare,92.02,41,801.74,11.1,N,Enhanced,2020-02-12T15:11:24
2022-09-19,DENGUE,v5.4,2821,546,4.59,574,218,80,48.72,AY.6.8,CL193614,Household,43.87,29,852.22,37.85,Y,Routine,2021-06-20T01:20:59
2019-03-11,CHIKV,v2.0,4364,132,39.77,360,189,129,99.08,XBB.3.2,CL364249,Market,93.34,8,150.42,64.71,Y,HighAlert,2024-12-16T20:36:42
2023-02-12,DENGUE,v3.9,956,570,54.47,1110,42,244,48.94,BA.4.18,CL417383,Unknown,22.64,0,866.65,99.13,N,HighAlert,2025-03-17T20:59:16
2019-04-02,NORO,v2.6,1865,554,22.5,970,274,73,79.25,B.1.6.9,CL491039,Unknown,59.36,15,504.58,51.59,Y,Enhanced,2023-10-19T23:10:00
2022-05-17,INFL_A,v5.8,3738,1150,54.31,928,31,165,29.99,XBB.5.9,CL839694,Unknown,39.2,29,391.19,3.8,N,HighAlert,2025-06-06T20:19:25
2021-07-03,SARS2,v2.0,378,1212,45.43,344,183,153,88.63,XBB.7.17,CL443043,School,22.35,29,819.48,76.72,Y,Enhanced,2020-02-14T15:07:29
2020-10-31,INFL_A,v2.1,1303,1003,21.51,642,124,116,57.44,EG.5.15,CL696375,Travel,63.19,43,889.64,70.09,N,HighAlert,2025-04-16T12:22:16
2021-01-15,RSV,v2.5,2511,1142,2.02,443,31,143,19.82,XBB.8.17,CL922181,Household,45.22,20,151.09,41.34,Y,Routine,2023-09-17T00:28:17
2021-06-16,MALARIA,v2.6,2956,541,10.43,840,124,143,43.29,XBB.7.2,CL928449,Market,71.41,29,41.45,36.5,N,Enhanced,2023-06-25T11:19:00
2019-12-11,CHIKV,v5.0,2190,632,10.39,629,96,75,20.6,JN.3.2,CL523321,CommunityEvent,85.52,25,155.01,4.21,N,Enhanced,2021-02-12T01:31:52
2025-05-26,INFL_A,v3.5,3763,1067,1.01,236,69,237,5.56,KP.2.2,CL767499,Travel,88.38,25,23.34,56.25,N,Routine,2020-08-15T06:57:45
2019-07-02,MEASLES,v1.4,1197,160,16.62,315,120,204,73.53,BA.2.14,CL876154,Unknown,97.94,35,845.38,92.82,N,Routine,2023-12-06T08:19:58
2019-11-03,MEASLES,v3.6,2351,83,19.45,838,289,41,72.71,AY.4.3,CL422358,Workplace,93.04,7,307.63,49.34,Y,Enhanced,2022-09-17T00:33:42
2023-02-25,SARS2,v3.7,579,244,28.59,423,133,166,15.1,B.1.2.8,CL302947,School,5.91,22,98.78,25.65,N,Routine,2021-10-08T21:18:29
2021-08-31,DENGUE,v4.3,1489,860,9.9,376,297,187,8.05,EG.9.9,CL165808,School,92.13,34,836.28,4.02,N,Routine,2021-01-03T14:32:17
2023-01-01,CHIKV,v3.2,662,612,13.03,769,252,165,23.44,AY.5.10,CL152114,Travel,74.14,11,239.36,71.49,N,Enhanced,2020-12-25T14:51:56
2023-04-01,DENGUE,v1.0,686,447,36.26,1117,65,101,43.04,XBB.6.17,CL418521,Unknown,81.58,29,333.17,74.41,Y,Emergency,2021-02-08T11:12:25
2021-08-30,SARS2,v4.3,3375,1374,18.49,1133,249,213,21.85,KP.2.17,CL196497,Travel,96.29,9,416.16,16.88,N,Emergency,2021-10-23T18:11:28
2019-03-09,INFL_B,v5.3,3120,1130,36.79,986,121,18,90.89,BA.3.13,CL296088,School,70.11,19,407.24,55.74,Y,Routine,2022-03-05T07:21:00
2020-02-02,DENGUE,v3.5,2138,147,13.61,635,54,245,97.58,BA.1.6,CL273209,Household,85.97,3,181.74,2.02,N,Routine,2021-10-08T20:05:21
2020-05-17,NORO,v5.2,3558,296,49.15,410,241,150,43.24,AY.5.1,CL390328,School,25.21,40,38.99,66.76,Y,Enhanced,2021-07-06T05:37:58
2023-10-09,TB,v4.5,428,1225,37.7,664,294,158,64.07,KP.6.19,CL605296,Travel,97.1,9,879.74,17.32,N,Emergency,2025-08-03T22:42:11
