travel_dom_travel_month,travel_dom_destination_dma_code,travel_dom_origin_dma_code,travel_dom_trip_purpose_code,travel_dom_party_size_avg,travel_dom_nights_stayed_avg,travel_dom_lodging_type_code,travel_dom_spend_total_inr,travel_dom_spend_lodging_inr,travel_dom_spend_food_inr,travel_dom_spend_transport_inr,travel_dom_attraction_ticket_spend_inr,travel_dom_booking_channel_code,travel_dom_lead_time_days,travel_dom_cancellation_rate_pct,travel_dom_occupancy_rate_pct,travel_dom_adr_average_daily_rate,travel_dom_revpar_inr,travel_dom_seasonality_cluster,travel_dom_event_driven_demand_flag
2019-12,DMA0592,DMA0353,MEDICAL,1.5,13.7,HOTEL,192915,167290,11695,74626,55464,CORPORATE,107,2.62,60.04,14292,22718,WINTER,1
2024-11,DMA0583,DMA0108,VFR,1.1,3.8,GUESTHOUSE,36176,53817,50284,43988,1489,AGENT,142,19.98,85.24,27959,12958,WINTER,0
2023-09,DMA0054,DMA0192,PILGRIMAGE,3.8,9.2,HOTEL,121994,161872,25182,146903,45023,OTA,135,5.05,67.06,25857,26523,SHOULDER,1
2021-05,DMA0538,DMA0081,PILGRIMAGE,1.4,13.7,HOSTEL,46557,970,25131,67571,42814,DIRECT,165,3.09,60.42,17928,22695,SUMMER,0
2024-07,DMA0681,DMA0449,VFR,5.9,10.0,HOTEL,158402,23360,48935,101838,1752,DIRECT,27,33.07,42.58,10742,4608,WINTER,1
2024-01,DMA0396,DMA0435,BUSINESS,5.5,9.6,HOMESTAY,285139,163433,73014,95436,24885,CORPORATE,71,3.61,23.15,8011,14639,WINTER,0
2024-01,DMA0005,DMA0197,VFR,4.9,9.1,RESORT,199336,61336,97364,84430,2603,OTA,87,1.08,91.61,34996,8041,WINTER,1
2021-06,DMA0026,DMA0332,MEDICAL,1.2,8.2,HOMESTAY,336312,35775,29548,48345,54012,DIRECT,1,42.73,75.86,31301,7455,WINTER,0
2021-03,DMA0166,DMA0025,PILGRIMAGE,3.5,13.3,HOTEL,329486,127472,74326,148362,44967,DIRECT,130,8.31,25.8,33797,7154,WINTER,0
2021-06,DMA0082,DMA0793,EDUCATION,1.4,8.1,SERVICED_APT,125957,57151,38428,37460,13699,OTA,24,38.0,43.21,32048,10335,MONSOON,1
2023-07,DMA0262,DMA0140,PILGRIMAGE,6.1,9.6,DHARAMSHALA,121077,48878,93589,85524,58700,CORPORATE,161,42.88,70.47,7738,27743,SHOULDER,1
2020-11,DMA0257,DMA0011,VFR,4.4,10.6,HOMESTAY,268689,60854,4595,94584,50329,GOV_PORTAL,163,33.84,36.31,15196,9502,SHOULDER,1
2022-01,DMA0587,DMA0606,BUSINESS,1.9,7.9,DHARAMSHALA,273957,169943,5325,34263,3968,OTA,179,4.67,28.2,34225,2278,WINTER,0
2021-02,DMA0126,DMA0304,VFR,4.1,12.5,HOSTEL,168595,16232,68830,145946,23757,CORPORATE,18,7.67,62.92,24182,6898,MONSOON,0
2021-12,DMA0592,DMA0337,MEDICAL,1.7,1.3,DHARAMSHALA,53788,50884,61550,61919,50485,DIRECT,92,8.06,45.67,7238,2070,FESTIVE,1
2024-03,DMA0346,DMA0387,MEDICAL,1.8,6.1,SERVICED_APT,261405,31997,24640,52732,11644,OTA,179,29.43,84.56,8260,11031,FESTIVE,1
2022-01,DMA0423,DMA0177,LEISURE,1.4,9.0,DHARAMSHALA,189062,61056,7750,35696,22607,CORPORATE,29,8.08,94.16,11902,18573,MONSOON,0
2023-03,DMA0049,DMA0559,BUSINESS,5.8,1.2,HOSTEL,236754,77871,74100,23512,50465,DIRECT,138,1.35,65.84,14463,19971,FESTIVE,1
2024-08,DMA0082,DMA0658,PILGRIMAGE,4.0,13.2,DHARAMSHALA,220316,97546,83162,33442,24068,AGENT,8,20.64,75.61,4252,23809,SHOULDER,0
2025-06,DMA0484,DMA0513,EDUCATION,2.8,11.7,SERVICED_APT,29343,114449,27909,7401,59742,CORPORATE,116,26.51,96.71,3826,18796,FESTIVE,0
2024-03,DMA0037,DMA0582,MEDICAL,1.0,3.8,RESORT,201566,175723,2022,116087,56946,CORPORATE,100,20.72,37.62,19566,21931,WINTER,0
2022-01,DMA0225,DMA0226,MEDICAL,3.6,5.3,SERVICED_APT,173619,187696,88614,5744,49137,CORPORATE,97,22.01,90.58,33116,26925,SUMMER,0
2021-07,DMA0257,DMA0645,BUSINESS,3.8,9.8,RESORT,107282,113423,28167,128729,9552,DIRECT,147,20.56,63.63,12422,21545,MONSOON,0
2025-06,DMA0731,DMA0515,VFR,2.9,5.4,HOSTEL,92379,163466,8410,148923,6360,GOV_PORTAL,3,11.94,34.64,18312,21276,SUMMER,1
2021-01,DMA0293,DMA0602,LEISURE,3.7,12.1,HOSTEL,317228,144824,62870,75207,48155,GOV_PORTAL,68,43.02,42.56,32611,568,MONSOON,0
2025-01,DMA0214,DMA0744,EDUCATION,1.6,4.2,DHARAMSHALA,208246,196388,42178,78052,56464,AGENT,180,37.71,73.67,17877,2684,MONSOON,1
2021-01,DMA0275,DMA0454,MEDICAL,6.1,11.6,HOMESTAY,262772,131985,58141,50986,36327,OTA,67,14.53,91.91,25600,11808,MONSOON,1
2022-10,DMA0511,DMA0779,LEISURE,2.4,7.0,HOSTEL,37654,78524,46776,7394,37141,AGENT,137,1.79,29.28,16186,4284,SHOULDER,0
2021-06,DMA0461,DMA0296,PILGRIMAGE,6.2,6.9,HOTEL,20399,161635,54645,47566,12627,OTA,107,38.61,69.86,9999,3441,SHOULDER,0
2020-08,DMA0165,DMA0102,LEISURE,3.7,3.2,HOMESTAY,290818,879,94112,77501,3629,OTA,65,33.4,49.4,29858,12652,MONSOON,1
2020-11,DMA0626,DMA0064,MEDICAL,5.7,13.8,SERVICED_APT,335175,157077,17612,134521,48040,AGENT,125,3.66,45.09,25313,19148,WINTER,0
2019-01,DMA0568,DMA0592,EDUCATION,4.2,5.5,GUESTHOUSE,219537,108599,52957,61750,5584,AGENT,137,31.41,34.04,8664,20356,FESTIVE,1
2020-03,DMA0731,DMA0724,VFR,5.6,3.7,SERVICED_APT,134527,127041,15934,76598,17581,CORPORATE,46,20.37,89.28,15395,20985,WINTER,1
2020-09,DMA0084,DMA0084,EDUCATION,1.1,1.4,RESORT,312678,147189,55016,91580,10627,DIRECT,65,5.87,48.41,26963,10646,SHOULDER,1
2021-06,DMA0282,DMA0474,MEDICAL,2.0,7.4,RESORT,163025,17699,61306,106092,30090,GOV_PORTAL,110,32.61,54.58,14176,20189,MONSOON,1
2019-11,DMA0174,DMA0314,PILGRIMAGE,2.9,1.4,RESORT,6469,159723,88021,25533,17465,OTA,151,16.01,36.18,26269,18739,SHOULDER,1
2023-04,DMA0675,DMA0227,LEISURE,2.6,6.9,HOMESTAY,246419,5052,59760,48985,39053,OTA,173,40.97,67.41,7726,10527,FESTIVE,0
2021-06,DMA0480,DMA0744,VFR,6.2,12.7,HOSTEL,96114,148875,94780,25188,53023,CORPORATE,135,1.93,54.34,9047,25246,SUMMER,1
2019-09,DMA0534,DMA0256,EDUCATION,3.2,7.5,HOTEL,61790,57217,81305,1404,37107,GOV_PORTAL,11,42.18,35.05,22892,9015,SUMMER,0
2024-09,DMA0142,DMA0237,VFR,6.3,1.6,GUESTHOUSE,278477,16190,11434,129185,5242,DIRECT,129,3.96,44.22,22305,16214,WINTER,1
2022-11,DMA0413,DMA0490,EDUCATION,4.6,4.4,RESORT,158378,36955,84637,55524,7021,CORPORATE,136,1.63,50.51,9420,25853,MONSOON,1
2021-10,DMA0186,DMA0665,LEISURE,5.6,1.6,SERVICED_APT,79253,95505,46595,1181,42192,DIRECT,70,26.18,26.0,1998,23100,SHOULDER,1
2021-09,DMA0159,DMA0286,LEISURE,3.2,12.5,HOMESTAY,265223,153547,42727,112855,13166,OTA,156,27.48,24.05,8038,11849,WINTER,1
2024-05,DMA0785,DMA0680,LEISURE,2.0,4.1,HOTEL,112336,175509,68442,141002,22515,GOV_PORTAL,95,8.89,97.41,10817,5946,WINTER,1
2023-03,DMA0663,DMA0537,PILGRIMAGE,1.3,1.8,HOSTEL,14388,186932,79028,19934,32154,OTA,83,39.42,92.36,12192,13141,WINTER,1
2025-07,DMA0571,DMA0010,VFR,4.6,13.5,GUESTHOUSE,143147,134381,45224,93416,762,CORPORATE,150,36.09,66.27,32858,14224,FESTIVE,1
2021-07,DMA0420,DMA0365,MEDICAL,6.3,7.3,SERVICED_APT,163798,61276,75212,41066,42797,DIRECT,78,12.72,39.09,14221,25958,WINTER,1
2023-08,DMA0601,DMA0313,PILGRIMAGE,1.7,6.3,RESORT,238069,43883,68338,46677,2517,DIRECT,32,19.94,38.13,2305,25167,MONSOON,1
2025-04,DMA0466,DMA0675,LEISURE,5.2,13.1,HOSTEL,270880,5537,30338,108280,17511,OTA,143,35.25,54.36,2323,22578,FESTIVE,0
2024-11,DMA0130,DMA0283,LEISURE,3.0,7.9,HOMESTAY,101349,86057,1618,117753,30849,CORPORATE,136,37.5,50.12,26093,14518,SUMMER,1
2022-09,DMA0602,DMA0252,EDUCATION,6.5,4.7,RESORT,70182,41813,50583,36833,36414,GOV_PORTAL,107,35.83,77.18,23508,2325,SUMMER,1
2021-09,DMA0378,DMA0574,MEDICAL,5.8,11.3,HOMESTAY,156476,54452,71356,8593,34408,AGENT,163,12.06,51.75,30622,1945,SUMMER,1
2023-03,DMA0268,DMA0720,EDUCATION,2.3,4.5,HOSTEL,27063,161069,58808,10739,50125,CORPORATE,159,34.44,94.52,34807,23966,MONSOON,1
2019-05,DMA0752,DMA0413,MEDICAL,5.2,6.8,GUESTHOUSE,251924,128168,35494,129932,11254,GOV_PORTAL,174,28.47,39.73,6010,16795,MONSOON,1
2022-02,DMA0778,DMA0355,MEDICAL,5.0,11.4,RESORT,349995,72949,36377,75578,58924,GOV_PORTAL,113,23.68,22.08,20044,13743,FESTIVE,1
2019-05,DMA0733,DMA0149,BUSINESS,5.2,13.1,RESORT,220637,5924,81315,59481,9125,DIRECT,141,43.36,67.06,1130,23750,SUMMER,1
2023-08,DMA0632,DMA0169,PILGRIMAGE,1.5,8.9,SERVICED_APT,110712,18816,88561,81320,7810,AGENT,162,26.91,97.06,26008,11220,FESTIVE,1
2025-09,DMA0770,DMA0415,BUSINESS,5.5,7.6,DHARAMSHALA,330077,176022,30283,110925,56163,AGENT,119,39.09,86.41,20445,10001,SUMMER,1
2024-11,DMA0528,DMA0147,MEDICAL,2.4,2.0,HOTEL,65585,198664,12603,3139,56823,AGENT,13,33.86,20.41,2100,11704,SUMMER,1
2021-01,DMA0676,DMA0492,VFR,4.2,9.0,RESORT,213030,83003,72280,120790,49702,OTA,0,2.03,64.87,26819,22896,SUMMER,1
2024-07,DMA0635,DMA0294,PILGRIMAGE,1.6,5.2,HOTEL,242558,149136,33417,51210,17733,DIRECT,50,12.01,55.4,17123,9913,SUMMER,1
2023-04,DMA0689,DMA0004,BUSINESS,4.1,7.7,HOSTEL,198971,145724,31205,111956,51128,CORPORATE,75,27.41,79.93,7188,11029,FESTIVE,1
2021-12,DMA0214,DMA0078,EDUCATION,6.0,10.7,DHARAMSHALA,324032,90152,65465,26893,276,OTA,47,19.72,39.71,34739,9769,MONSOON,0
2020-11,DMA0483,DMA0577,EDUCATION,2.0,9.3,HOSTEL,340298,61559,64402,95790,51012,OTA,168,43.0,39.01,17761,12137,SUMMER,1
2019-08,DMA0508,DMA0104,LEISURE,5.7,2.3,SERVICED_APT,2459,21350,17768,129510,56764,AGENT,140,26.26,44.7,13772,15464,WINTER,1
2021-07,DMA0617,DMA0595,PILGRIMAGE,3.4,6.2,GUESTHOUSE,272992,75102,66300,64698,13181,AGENT,153,41.81,39.2,30803,7334,SHOULDER,1
2024-03,DMA0101,DMA0048,VFR,2.8,3.6,HOSTEL,140726,124919,82935,13403,24778,GOV_PORTAL,142,9.27,21.71,6552,4917,MONSOON,0
2020-09,DMA0607,DMA0416,VFR,1.3,3.0,GUESTHOUSE,224935,107086,63836,41142,37145,GOV_PORTAL,119,40.4,69.0,12204,4768,MONSOON,0
2023-02,DMA0105,DMA0264,MEDICAL,3.9,3.9,HOMESTAY,151907,194328,9196,45171,36838,DIRECT,79,24.17,67.79,12564,15433,FESTIVE,1
2021-05,DMA0749,DMA0645,MEDICAL,2.1,13.0,DHARAMSHALA,175704,58977,86051,80946,37238,DIRECT,137,9.63,86.44,31920,6466,SHOULDER,1
2023-12,DMA0642,DMA0712,LEISURE,6.2,10.3,SERVICED_APT,80990,107373,59405,120512,42223,CORPORATE,144,17.56,74.42,2111,5599,FESTIVE,1
2024-07,DMA0739,DMA0177,EDUCATION,2.3,12.8,HOTEL,330427,162257,14066,22212,16398,OTA,103,43.6,69.99,4439,26365,MONSOON,0
2022-08,DMA0668,DMA0710,VFR,4.2,7.6,HOMESTAY,226039,131010,85153,11198,42599,AGENT,127,43.18,38.1,34894,25834,SUMMER,1
2019-02,DMA0135,DMA0611,MEDICAL,4.1,1.0,SERVICED_APT,285365,48463,87502,139646,15189,AGENT,108,0.99,77.73,27285,616,SUMMER,1
2020-03,DMA0789,DMA0309,BUSINESS,2.9,1.4,GUESTHOUSE,204966,166058,99696,108915,20803,DIRECT,9,13.83,86.72,28122,22511,FESTIVE,0
2022-03,DMA0620,DMA0116,EDUCATION,5.7,2.9,RESORT,254454,17935,72720,43903,17452,GOV_PORTAL,174,40.47,54.62,27828,22056,MONSOON,0
2022-04,DMA0217,DMA0572,MEDICAL,2.0,11.1,HOTEL,96838,47214,98849,30535,3480,CORPORATE,110,1.46,62.16,28608,16047,MONSOON,1
2022-11,DMA0466,DMA0445,LEISURE,5.5,3.6,HOMESTAY,84706,109103,4269,40708,5745,OTA,9,43.06,81.18,2959,2167,MONSOON,0
2025-04,DMA0425,DMA0446,LEISURE,2.1,2.3,HOMESTAY,339137,166375,60430,127526,41678,DIRECT,34,17.46,56.32,29177,2210,WINTER,1
2023-04,DMA0237,DMA0459,BUSINESS,1.2,12.2,SERVICED_APT,318278,111464,16256,147776,56097,GOV_PORTAL,104,5.17,71.99,8090,6013,SUMMER,0
2019-06,DMA0589,DMA0397,PILGRIMAGE,6.2,4.0,HOMESTAY,228106,15080,71729,62637,30852,GOV_PORTAL,135,13.55,36.76,4532,19787,FESTIVE,0
2024-10,DMA0373,DMA0413,VFR,4.5,7.5,HOSTEL,57942,10593,1602,86166,14978,OTA,137,36.37,65.57,34831,25189,FESTIVE,1
2022-12,DMA0495,DMA0503,LEISURE,4.5,5.4,RESORT,168790,48247,10979,88531,18002,OTA,97,44.93,22.9,5934,14306,SUMMER,0
2023-10,DMA0654,DMA0532,VFR,2.5,12.7,HOMESTAY,290566,105558,55724,110061,1334,DIRECT,68,6.02,36.3,25918,24719,FESTIVE,1
2019-03,DMA0465,DMA0291,BUSINESS,1.8,10.2,HOMESTAY,290293,139162,73161,147022,27708,OTA,47,28.69,91.83,26897,5146,FESTIVE,1
2022-10,DMA0589,DMA0090,BUSINESS,4.9,6.9,HOMESTAY,318247,11320,12929,149092,25860,AGENT,19,41.64,66.43,9936,15589,FESTIVE,1
2020-06,DMA0523,DMA0371,PILGRIMAGE,3.9,12.2,DHARAMSHALA,312661,163557,80798,45894,56933,GOV_PORTAL,67,40.49,55.53,12478,13411,FESTIVE,0
2023-08,DMA0010,DMA0596,EDUCATION,2.7,10.4,RESORT,38104,47632,51569,11495,11474,GOV_PORTAL,45,17.25,60.71,24634,27359,FESTIVE,1
2021-09,DMA0465,DMA0231,LEISURE,2.7,11.5,HOMESTAY,220885,57348,15501,51631,41543,AGENT,97,38.96,20.0,23334,1916,MONSOON,0
2020-05,DMA0311,DMA0363,BUSINESS,5.9,13.7,HOTEL,181332,148055,53894,1809,47444,CORPORATE,35,8.62,55.85,20589,12602,WINTER,1
2021-08,DMA0514,DMA0553,MEDICAL,5.9,3.6,DHARAMSHALA,71181,144722,25663,60505,19655,CORPORATE,0,28.45,31.23,32222,26842,SHOULDER,0
2025-04,DMA0513,DMA0751,VFR,2.5,3.6,SERVICED_APT,221959,79265,64406,124548,43843,OTA,49,26.91,86.93,3360,9214,MONSOON,0
2019-02,DMA0559,DMA0172,VFR,5.4,8.2,HOSTEL,27986,16529,35106,132203,24979,DIRECT,59,35.23,52.25,6320,5141,MONSOON,0
2021-02,DMA0091,DMA0300,EDUCATION,2.2,7.9,HOSTEL,252892,56723,44890,133459,8692,CORPORATE,103,10.3,38.1,4704,11000,MONSOON,1
2022-03,DMA0595,DMA0134,MEDICAL,5.4,12.3,HOMESTAY,42750,148923,75209,120705,7930,DIRECT,28,28.3,59.92,27146,6604,MONSOON,1
2024-03,DMA0274,DMA0703,VFR,1.7,3.0,RESORT,290701,55229,25935,71349,46455,DIRECT,19,27.47,48.53,25692,27474,FESTIVE,0
2020-05,DMA0291,DMA0657,EDUCATION,5.2,6.5,RESORT,216227,28414,29293,95504,15523,CORPORATE,28,3.79,55.88,7601,11426,SHOULDER,1
2021-10,DMA0377,DMA0626,EDUCATION,4.1,7.9,GUESTHOUSE,35406,56206,89693,12810,32581,DIRECT,15,14.88,76.61,23372,18058,SHOULDER,0
2020-07,DMA0713,DMA0603,MEDICAL,1.6,7.0,GUESTHOUSE,13987,120057,60924,66879,32338,OTA,79,9.33,59.72,34508,25433,FESTIVE,1
2024-02,DMA0062,DMA0297,EDUCATION,4.4,1.9,HOTEL,31446,74332,72706,52550,14341,AGENT,167,44.98,91.37,28017,20143,FESTIVE,1
2021-08,DMA0537,DMA0491,VFR,2.1,2.9,HOTEL,79492,20473,27484,69037,2870,AGENT,87,44.58,40.03,17715,15972,SHOULDER,1
2023-02,DMA0214,DMA0467,BUSINESS,2.1,3.0,DHARAMSHALA,122775,50266,814,15138,30551,OTA,144,11.36,45.43,24529,5038,MONSOON,1
2022-09,DMA0619,DMA0736,PILGRIMAGE,3.5,8.7,RESORT,186234,50065,9917,17745,4668,OTA,72,36.38,80.65,8939,26197,FESTIVE,0
2023-06,DMA0157,DMA0491,EDUCATION,6.3,6.6,HOTEL,177200,140805,23770,51249,26244,GOV_PORTAL,147,36.74,81.1,19776,27773,MONSOON,0
2025-10,DMA0470,DMA0151,LEISURE,5.9,3.3,GUESTHOUSE,314107,161114,64341,57177,18588,AGENT,173,42.12,96.17,13854,17652,MONSOON,1
2019-01,DMA0592,DMA0038,LEISURE,5.5,10.6,RESORT,312522,67354,36935,78393,58435,OTA,23,5.81,69.01,25439,24851,FESTIVE,0
2024-06,DMA0507,DMA0169,LEISURE,5.7,11.4,GUESTHOUSE,146990,4929,19387,135403,28345,CORPORATE,169,30.04,64.76,18891,24842,FESTIVE,1
2022-04,DMA0659,DMA0031,LEISURE,3.7,3.7,HOMESTAY,139914,105906,62649,140172,17005,DIRECT,49,9.26,65.93,11460,508,SHOULDER,0
2020-12,DMA0712,DMA0400,LEISURE,3.1,10.4,SERVICED_APT,339641,42114,71247,127379,17587,OTA,30,29.59,48.18,26996,17970,FESTIVE,1
2023-04,DMA0716,DMA0635,MEDICAL,5.9,1.8,DHARAMSHALA,260174,112421,20173,26223,50322,CORPORATE,141,39.25,50.03,32865,23452,SUMMER,0
2019-02,DMA0706,DMA0080,BUSINESS,1.4,12.1,SERVICED_APT,296484,72360,90357,143320,40301,GOV_PORTAL,164,3.66,41.83,26719,20710,MONSOON,1
2024-01,DMA0325,DMA0656,PILGRIMAGE,6.5,13.5,SERVICED_APT,100427,124631,62311,33234,1041,AGENT,12,28.66,66.56,34063,4297,MONSOON,0
2021-03,DMA0718,DMA0580,LEISURE,4.0,3.0,HOMESTAY,258472,51274,14366,115957,27129,CORPORATE,92,24.19,85.54,17953,15361,WINTER,0
2024-06,DMA0208,DMA0069,VFR,4.0,11.2,HOTEL,197881,48151,71692,146602,6085,DIRECT,170,7.9,69.41,16538,15904,MONSOON,1
2021-09,DMA0755,DMA0182,EDUCATION,2.6,2.3,GUESTHOUSE,322808,104652,94830,134918,12269,CORPORATE,133,10.69,56.86,11766,7113,SUMMER,0
2021-10,DMA0098,DMA0220,VFR,1.9,13.5,RESORT,46282,88572,34811,96952,5406,GOV_PORTAL,78,23.42,24.96,14594,23397,MONSOON,0
2024-02,DMA0746,DMA0192,PILGRIMAGE,4.7,6.9,RESORT,217119,138840,19201,89195,25600,DIRECT,13,38.72,39.32,14094,3773,MONSOON,1
2021-08,DMA0010,DMA0126,EDUCATION,3.0,8.0,HOTEL,171149,20619,8459,120922,5,AGENT,159,30.38,85.91,27857,5932,WINTER,0
2019-03,DMA0712,DMA0531,LEISURE,2.7,10.9,DHARAMSHALA,95254,195014,18436,90003,25636,DIRECT,8,1.24,50.9,27402,14314,MONSOON,0
2023-07,DMA0620,DMA0601,LEISURE,1.9,4.2,GUESTHOUSE,297978,15703,94866,65520,50433,CORPORATE,45,5.68,89.07,6814,13562,SUMMER,0
2021-03,DMA0793,DMA0595,BUSINESS,3.9,6.2,SERVICED_APT,258181,112816,84361,43045,53305,OTA,82,39.72,38.93,13794,12548,FESTIVE,1
2025-04,DMA0115,DMA0318,VFR,4.2,1.9,HOTEL,339228,198997,28421,63301,25834,OTA,66,29.37,64.91,1982,24854,FESTIVE,0
2019-08,DMA0539,DMA0259,VFR,3.4,9.0,SERVICED_APT,10734,68286,63631,138860,7599,DIRECT,31,0.81,95.17,14928,24898,MONSOON,1
2020-08,DMA0445,DMA0776,MEDICAL,1.1,11.4,RESORT,303978,151667,83022,121745,30166,DIRECT,0,26.83,63.43,27909,7635,FESTIVE,1
2023-04,DMA0522,DMA0730,EDUCATION,3.7,12.1,HOMESTAY,57566,196515,26363,8666,39211,GOV_PORTAL,143,7.59,36.3,15542,2383,SHOULDER,0
2020-05,DMA0551,DMA0415,VFR,2.5,8.0,DHARAMSHALA,244035,25878,4858,119468,59691,CORPORATE,101,41.4,37.9,5390,12954,SHOULDER,0
2021-09,DMA0391,DMA0787,LEISURE,1.8,11.0,GUESTHOUSE,72720,142428,1688,1820,13296,DIRECT,108,5.51,32.3,20791,20208,SUMMER,1
2023-07,DMA0783,DMA0631,LEISURE,4.2,2.9,HOTEL,290081,6162,70570,50325,53530,OTA,115,3.46,21.66,31071,24114,MONSOON,0
2025-03,DMA0370,DMA0721,VFR,4.7,10.7,HOMESTAY,152946,80596,30354,66538,51674,AGENT,159,29.02,74.01,31088,19658,FESTIVE,1
