edu_finance_fiscal_year,edu_finance_lea_id,edu_finance_revenue_local,edu_finance_revenue_state,edu_finance_revenue_federal,edu_finance_expenditure_instruction,edu_finance_expenditure_support_services,edu_finance_expenditure_capital,edu_finance_expenditure_debt_service,edu_finance_teacher_salary_average,edu_finance_administrator_salary_average,edu_finance_benefits_cost_total,edu_finance_facility_condition_index,edu_finance_technology_spend_per_student,edu_finance_transport_spend_per_student,edu_finance_special_ed_spend_share_pct,edu_finance_ell_program_spend_share_pct,edu_finance_fund_balance_end_year,edu_finance_pension_liability_estimate,edu_finance_audit_finding_count
2023,LEA752862,16166400183.61,15151869133.48,3304567243.09,7355567733.73,11636024497.9,2757853007.93,965824.08,703928.1,1513106.54,4744667539.13,88.48,13475.08,15059.77,9.88,12.54,3713658393.22,8478008821.98,33
2018,LEA128537,8104347131.91,3832456602.53,193997017.36,5406803832.1,6404140878.27,193607150.06,923631254.93,253468.15,1860729.64,3465525755.17,2.14,16300.86,6286.85,8.06,1.54,103464914.55,4341972567.85,38
2025,LEA279968,19396036372.26,1672061889.05,2119108760.99,7168254530.37,9774634886.08,203432996.42,2408979970.21,977517.58,1146126.02,4601832891.16,31.24,21898.26,6608.77,6.35,9.73,5251949528.42,4912851330.32,36
2024,LEA550960,15782917791.83,18962738772.6,2656577067.12,3012516225.16,13835732305.59,6406025653.15,137485924.68,301442.75,2152016.65,390217882.58,25.21,16163.28,18872.63,9.38,14.31,3980911743.83,5919934313.6,20
2019,LEA195051,4607381308.8,797206738.88,858484673.85,14468471175.91,2433373350.84,110219116.21,819051119.02,525781.92,1123047.86,5399195701.85,2.47,9405.96,3310.5,16.99,13.54,4674661839.1,2967013267.05,6
2020,LEA111913,15595152207.58,13078060625.43,1513026021.3,4078403081.62,1462885563.91,7498397656.04,1516361384.11,1116354.07,556820.26,2662732123.6,11.59,4332.11,4986.71,16.82,9.17,3692074286.29,3245755824.17,20
2019,LEA795694,12999018793.51,1341809618.68,2952790218.1,6686408735.0,10806545769.54,7845921340.48,2781682081.9,1173620.84,2077929.27,3533117322.37,44.69,18255.49,20977.4,7.15,3.6,842792236.03,4070931958.32,0
2021,LEA676924,4368028574.43,5958538572.48,1819663550.23,6958366950.87,8617819252.06,3745843558.75,194330287.29,239469.37,727896.03,888380711.64,53.33,19379.81,16113.28,16.06,4.62,866424511.14,9203106867.87,14
2019,LEA468424,11606732681.38,12814311435.26,223137242.64,676928659.25,3730864262.95,7995525284.8,879925376.7,336006.56,1008484.21,5543706603.34,55.6,1914.97,11852.79,18.04,10.48,2824480416.27,9450187630.21,39
2022,LEA194031,10797850661.32,1482979471.74,2746045341.43,20949092918.92,11110642437.79,2024163442.59,71520533.86,471746.61,1433862.04,963745558.68,52.17,13976.14,11701.86,8.31,6.3,2220949544.69,1971180891.52,32
2017,LEA716615,9430578915.65,8966983873.91,996381774.22,16459277916.64,7440466607.24,6494943492.84,1801403303.71,401349.01,302271.65,2948356246.53,79.93,7150.51,106.27,13.4,12.06,3481820948.23,18038353498.87,13
2017,LEA742698,15302832476.61,25693089153.06,2092080389.37,13138211672.87,2084839461.35,3138488746.1,2226836792.59,1138107.48,2123461.73,1517559885.12,68.35,20471.56,10197.62,9.22,9.11,3825311188.66,339179926.9,25
2022,LEA308481,2527892171.51,18446477729.95,2679819778.47,6702512911.49,1263170233.23,479081410.02,1648225918.87,621520.99,1748408.0,2830287074.14,89.26,5672.99,10238.08,14.99,6.6,5703494065.94,12553381341.88,29
2022,LEA238506,3110392629.91,23083965798.6,3886689543.81,4826934492.6,1237957988.27,1676155826.59,14413985.87,880645.14,360460.04,886624484.84,61.97,19517.64,17532.96,14.63,4.66,4567516417.19,1666735267.21,29
2020,LEA385273,5310353471.66,5303204820.18,558921899.4,22174657380.88,4867617761.48,7010162163.09,1381498240.67,1154900.86,1948847.93,6780622321.88,69.04,9822.34,14802.01,18.95,0.49,1191543358.91,5966013374.88,39
2019,LEA389989,5965391074.29,23229868165.98,156372573.7,7779968406.54,9997418024.76,6816804568.21,1093189661.87,318225.66,1725405.83,2131405099.5,14.89,21.34,10785.97,9.51,5.58,3420062625.58,19890170341.78,9
2022,LEA106820,4541709601.55,3744500493.83,1353549172.08,13938668577.65,13445779136.56,4328070282.04,733081957.23,643270.46,830344.52,1618033597.09,6.5,23297.46,347.81,4.03,7.09,2593346583.85,6027887184.3,1
2019,LEA882561,1494367432.48,18483242814.73,29660410.24,7909911451.24,11573308462.06,6453165778.71,2483982690.44,760452.69,1120112.97,4606287779.18,22.8,2031.65,7948.4,7.41,6.44,-243028151.06,4868981561.32,19
2022,LEA610868,4486443531.73,28675675322.55,319856479.75,14139152001.81,14548023763.95,3694872966.38,425065604.57,959710.66,1325375.44,913852666.93,73.06,3979.92,12149.04,14.86,9.84,3432854650.4,16855896553.01,30
2025,LEA182445,6826300794.64,20265118172.52,4680235334.89,7818224503.06,8358770669.7,7731790609.55,234437883.05,425540.0,1833680.45,3068556729.08,8.94,18706.26,16072.8,7.13,4.48,301776497.15,12454868804.93,39
2020,LEA463472,18345418481.5,18049898652.96,274494379.24,8050341962.76,8266781370.65,5600114844.14,1125166781.64,577658.95,872804.47,6961211989.92,28.54,559.47,17284.85,19.25,9.25,5998416902.6,10257388048.58,18
2022,LEA377404,4184280157.69,2831313553.85,4520700835.31,10907370149.43,154946966.83,5236875215.86,1414689184.15,664576.88,1856116.86,3381813592.78,48.9,3658.09,10616.16,16.64,13.64,5719530418.62,19002066392.05,29
2016,LEA698519,12458345573.34,29503349744.14,3404449849.32,1071581489.35,6308437982.88,4786682723.15,1331339792.23,1059322.01,1312815.2,3321308127.79,17.59,23116.09,443.17,5.06,14.68,3902785923.09,11743980738.69,36
2025,LEA400813,11894155134.76,19357391421.87,4433620937.54,10420299893.98,1709322935.75,3543927103.6,1138063007.31,266677.91,1471537.23,2415540862.95,24.87,1398.48,2172.59,6.4,7.43,1092511052.94,9402286726.63,39
2016,LEA628858,15540984808.26,12535005721.57,3600214942.54,14549678350.19,9063244486.29,4562820990.28,1422085574.73,307189.38,1275446.77,1302872872.02,1.25,19343.52,8193.22,2.59,0.23,4904905152.47,13975534479.1,6
2018,LEA910033,19713927172.37,28062600937.29,694802558.13,18531709481.93,12870496341.98,5220753030.36,1184609875.6,625142.18,1945952.48,2162402314.42,46.75,11756.74,15738.34,17.89,9.41,-212461649.77,2328269786.24,20
2025,LEA653805,19122639601.39,8866155608.66,4785768583.64,23383385186.04,10875858410.43,4596607279.66,623222489.92,614375.01,438157.2,6680859020.81,53.83,4400.61,3686.47,9.01,13.37,3083237912.93,8160905075.72,26
2017,LEA126209,13062604832.8,558031263.36,4295744576.15,17910270820.02,9851713927.68,2960659710.29,1390666120.6,739889.93,535855.03,6667090837.68,1.9,7924.84,3093.44,14.49,3.76,-205746086.21,11933546492.45,39
2018,LEA960385,4445756122.7,10134743006.85,3117213474.37,2965499618.04,11691499214.85,2754412214.97,1856039056.07,1182521.49,736157.4,6816463022.91,92.16,1937.83,7458.23,16.19,6.17,4772493947.84,3528782345.21,26
2017,LEA722488,5514796624.49,18420601985.43,1417682291.54,15411682066.8,9653536063.19,5128527383.03,1667201642.78,1113217.47,1581020.22,4346702338.94,55.54,17873.36,5244.28,8.35,7.23,4464899775.74,6074457271.79,3
2018,LEA907162,3125361742.19,2859221146.08,4094634113.82,14305251289.11,3568335570.59,1867299656.76,2348817045.25,818674.76,1390694.47,5375440236.66,52.64,10009.17,1251.35,7.89,2.1,8264571.67,8223877842.5,26
2018,LEA291540,7384867185.33,23263785443.81,2785040267.05,9243299263.57,2524227554.81,3081980415.24,414271420.34,290496.28,825835.7,5481155290.09,85.17,12802.2,18965.42,13.82,13.28,3335362733.16,1469428902.77,17
2020,LEA550512,12229555904.65,18755255426.43,4596713371.04,20465657096.11,2871546650.64,6199947766.03,2330009291.41,851471.55,1642255.87,939097570.14,40.68,23569.88,631.28,14.77,3.04,344759564.19,14361269361.49,37
2023,LEA189132,5081871703.71,9970270580.65,2331702181.98,1754669097.15,2908173235.29,1809790161.67,2226979786.73,858915.41,415830.38,563114182.15,77.92,18246.87,4714.78,16.76,9.59,629275826.44,13718138541.75,24
2017,LEA520484,12574507238.55,10441864134.01,2351741983.83,13431060132.44,4782487715.4,729284493.52,761190398.35,1180556.25,2390428.04,5095804057.39,32.55,24694.68,16783.76,3.47,7.02,3284599494.94,5269079219.87,23
2018,LEA775293,2259588556.3,17619367365.61,3410011481.76,6725552271.98,14657385799.71,2664707170.99,2442337023.95,550374.98,2338396.15,6160205070.8,75.51,10247.13,1294.17,1.22,11.66,1804901798.69,13184269207.03,36
2019,LEA619685,3340246870.77,13386823306.99,761718998.84,9257819129.36,11070864195.1,1608934331.52,2314579307.02,937586.54,2040380.27,251330137.97,71.34,13538.37,4506.05,2.71,1.83,5841475004.8,15225721414.95,23
2019,LEA918482,17002101773.14,14342998524.44,1291628982.72,15187247350.06,918818663.79,1437147355.88,124545651.6,775112.47,2166888.21,5883921032.26,19.22,6378.35,8218.44,8.24,0.05,364939818.66,7989394331.28,17
2018,LEA114997,11173792534.01,2569082825.24,939041578.65,20894108762.75,5698626531.73,3704379901.32,997061437.66,848452.22,952528.01,1855682444.23,5.8,22989.67,5627.27,10.87,1.65,1869046935.59,1181621184.77,38
2017,LEA470376,5465494345.77,20920342228.91,3067373341.49,1095310038.72,5570952057.32,1764610971.4,765226198.11,1101153.45,2007739.7,3206232695.71,13.41,11118.2,6736.16,17.67,13.23,1446657816.11,18050027054.88,36
2020,LEA658455,968434072.51,27208133573.46,4337139232.06,12016096030.51,14560495398.88,6504650119.46,2268662665.54,400749.63,995114.98,1934274986.41,46.28,8745.25,16020.58,15.56,3.6,5587217436.65,3255714995.13,3
2017,LEA312454,11743381222.7,22116477861.83,4717183879.75,10303900589.81,9080241986.38,3446099449.06,382563088.4,738320.51,506472.69,296713442.49,34.34,16547.84,12514.3,8.17,0.8,2129784915.6,2477999673.22,39
2019,LEA950513,18264884352.69,23357943859.43,719860983.93,9564953341.2,4828203702.82,2359091030.4,2755632884.86,979918.99,1500123.64,6453077140.31,69.24,2081.43,21645.56,13.14,13.83,1230416498.25,7258585142.99,16
2021,LEA158842,19640321843.49,6528805630.16,863608469.82,15963862523.85,8407361191.44,4716043818.01,339592089.65,554830.25,1901773.93,1742520304.44,17.85,21157.63,20223.1,3.69,8.95,2940605409.64,12479619573.05,13
2017,LEA919211,7870651180.38,14998968082.51,182784373.01,22223486348.11,10502011043.78,5955609983.68,1588689772.52,363777.55,1133376.9,894148022.18,70.62,7994.88,6538.87,2.86,12.69,1189131973.64,2717443051.27,34
2025,LEA982227,14770978591.65,22503984169.43,4009825463.92,23378490918.28,14242212972.44,2605885624.06,997820070.49,424700.97,2337638.08,623565708.47,67.75,23302.54,3139.22,7.73,6.63,4096199293.52,16666152909.88,1
2024,LEA497763,14556169626.38,12007837288.74,4356206628.84,3555984492.23,7858498409.12,7483416362.51,759856428.11,1005358.87,314526.38,3618099373.16,64.54,5926.83,9644.16,6.24,1.03,327548353.9,15767586644.57,21
2019,LEA164902,6310760219.02,27636415685.1,4265003306.17,2949743629.39,14721951329.79,7786613258.83,481041427.01,499202.26,759802.86,688246249.31,83.67,10071.88,6906.93,10.74,0.15,4827416310.09,12471205887.11,19
2024,LEA192161,6337306151.84,27701973593.54,1327075670.24,16422489013.62,310636072.25,348062013.37,2350569957.24,930390.16,1288331.71,1408247828.23,4.31,13692.6,7242.25,9.02,13.01,5284439075.51,13372550508.13,30
2024,LEA337471,4246379297.62,28415217354.66,2634256442.24,9094628121.51,12454173056.8,1844959235.26,2428558921.04,1099081.98,680018.68,3683516010.42,51.31,21222.75,14156.92,2.68,8.84,2175147472.79,5712699978.1,15
2025,LEA214552,9552929282.59,13916711499.07,4870777942.74,18526967054.48,209243326.41,6115958377.72,2916952978.83,256040.83,1071101.55,762615293.48,85.5,8925.96,3740.79,19.59,12.65,5099878820.91,2438101587.59,8
2025,LEA159304,1227285973.11,27734386635.14,1455309768.31,5465269602.26,3160203435.56,7753015080.15,843078274.97,220520.92,2284324.22,2523874479.71,57.84,16351.18,17086.33,12.64,14.62,3672131015.2,2556188282.22,28
2019,LEA443400,19428039860.93,22029708128.2,1123700039.89,14752378203.21,10491253848.45,1202580522.52,2394092719.31,851662.29,2060366.75,5318888753.8,15.64,1882.88,6096.41,18.15,5.48,1956333379.53,7285159515.09,29
2020,LEA132235,6037325574.08,29024216484.24,4400009741.17,4573185484.2,4475829193.01,123093754.53,410046388.53,855647.5,1654763.98,4965101438.75,2.27,5717.51,9345.72,13.27,1.09,3287141134.98,12133671526.82,34
2025,LEA829131,7633338463.64,2062678529.68,2228226743.48,15590462003.73,11061971771.59,673171671.71,770001149.07,614136.57,1204977.66,4278049052.76,78.11,17170.44,13758.04,15.09,5.88,2194470622.56,1477070739.78,28
2021,LEA355249,10670568675.24,18467986265.13,3168039521.6,6569314641.01,6117629147.9,4353257848.04,2754313968.99,444072.27,930219.32,1884676205.87,30.13,4196.23,21720.46,1.3,0.25,1970688077.42,13732402979.56,28
2024,LEA216571,19318210575.55,10006019735.05,2733207728.24,6971668020.58,12912632675.1,137267562.56,1991459555.21,1068601.37,698206.04,53417255.35,61.08,20489.71,19333.51,6.17,11.98,5362285631.43,19752882220.87,11
2021,LEA375859,19975244506.4,27370766943.31,3327966034.61,5431329315.04,10824042350.88,2384359647.88,2091770235.89,201217.21,1249736.38,4629996612.75,30.34,14436.21,5463.62,3.87,12.02,4887967185.63,8171942204.76,9
2021,LEA549701,16503565715.49,10892547374.12,1351389334.69,15547284311.76,2832371846.91,5623504912.45,2364580600.6,258931.33,1218333.5,5536042436.55,31.02,1911.26,3277.65,9.38,9.01,-193855568.06,3543582212.11,17
2023,LEA460788,910273337.99,13849077467.27,716788590.92,9647104420.32,10159092020.5,4679539817.66,2855058741.01,240824.18,530438.39,3374815671.88,70.15,7049.04,9292.25,3.78,6.04,615481376.89,5494602060.88,0
2020,LEA178834,12674708517.96,2056405710.42,1471708540.33,20237155766.46,808871438.91,4132424932.96,73855007.65,1099839.26,857729.86,4367145914.47,13.19,19517.18,20890.5,19.24,4.83,5792484846.91,1902774056.53,32
2018,LEA450702,11377567401.64,10377115913.66,2951637898.07,1640596075.85,7702401130.75,4062783991.0,2683571967.21,648006.57,1371499.19,1145869731.8,88.76,13227.64,11178.65,16.05,12.02,571357947.21,4764647068.01,38
2020,LEA528100,9399800978.32,14675824846.51,3064464987.76,6265305885.32,8931917489.57,297618209.42,1428147081.18,1145492.44,921871.23,906724034.62,77.51,248.72,9017.49,13.35,3.52,3387857607.8,7653089372.13,39
2021,LEA790265,1994858280.38,29062365418.38,4016496976.7,11279330846.52,87540181.17,766773254.0,152652088.34,322073.59,905008.97,1691274335.66,37.86,11310.26,15755.73,2.1,1.58,3318823915.21,8279759418.65,20
2021,LEA566989,3433375400.09,11176753116.75,267358571.76,1520187634.88,8203700554.59,1570565574.21,706137949.2,387980.54,2211587.39,6847105846.35,21.85,3183.96,6372.6,12.15,12.66,2747308944.39,14421811979.96,25
2018,LEA527073,10805107870.5,22620044139.48,1434563816.82,22968752468.74,12267565598.28,1185100079.48,2536532889.24,692637.61,1261601.96,976849445.84,41.69,655.55,12976.68,0.65,13.97,1163483892.1,6590405738.64,21
2021,LEA943503,19102722244.12,1610237820.15,3372951704.05,22517978944.42,14409611146.03,1223535449.11,616763202.98,1059641.6,1382905.94,1973875221.08,29.6,10422.55,18763.39,6.85,7.83,1807793350.04,16381198518.08,14
2022,LEA665891,10952615230.66,27127391115.11,1111739376.08,23337804157.09,6111177250.58,1951329958.93,2595351133.93,403263.64,2390878.48,2167149153.03,99.55,233.01,21358.03,1.07,9.86,-12069812.78,16513874837.96,33
2025,LEA169995,18973222991.34,6788082097.02,4479971070.56,1814101270.12,14657361962.59,3796623747.6,1482640727.47,437555.44,2145176.93,3097914772.84,8.64,9867.14,14015.04,9.94,12.19,5368343099.89,8149862523.66,16
2023,LEA943957,9414493454.34,20092317293.9,4318337667.31,9465262862.37,8280641740.75,298097486.9,1715598812.5,882237.68,1949109.09,4146617171.36,34.18,10340.3,2690.63,2.11,7.36,3951328102.05,12316648136.74,12
2022,LEA866529,11040452227.19,5822336813.43,1996620778.66,14069579415.5,10000369664.74,5671258399.69,2931902534.82,1138509.49,335585.54,2908077221.7,37.66,6406.95,7503.64,12.55,5.44,5418756352.84,14587611327.63,5
2022,LEA433293,15685494893.07,6805525254.12,3285419099.68,24361112738.79,919042376.65,4010595211.98,2113800697.97,668890.35,446864.46,3609501195.94,30.32,1073.87,5863.76,6.33,2.82,569043772.91,13329112650.65,4
2017,LEA178740,14695833308.11,29686589282.75,3823898308.5,23869030510.77,10188153698.48,1504930490.13,781164755.24,920581.82,326132.93,1198512263.46,73.28,6205.0,21739.04,18.82,6.72,3562690292.48,15154783093.78,27
2019,LEA217542,8514164384.58,19875434125.77,873324149.1,18040680551.08,11628304951.42,7424242590.14,1670239005.61,866594.02,649523.5,5377198677.69,54.13,8240.42,16757.02,9.73,12.25,4343957842.99,4159310343.84,11
2021,LEA112698,6065028070.88,6224336935.19,1861047988.88,24255291670.02,1686768328.02,1445498675.3,1936399058.7,1140048.14,1007640.84,1364803790.14,87.34,7594.35,16165.01,1.55,14.79,4069245078.15,16555187252.85,7
2019,LEA574500,15382918165.77,2474374456.63,1748678510.63,5086170456.34,4728236268.65,1929766825.77,1000550188.5,958337.59,307819.71,3308507065.2,9.1,14785.31,15513.6,19.66,7.73,5863198438.07,19872248097.52,20
2021,LEA385122,18554498763.16,926090916.33,739364729.37,18461426001.6,11028089432.54,4934911919.79,1529464212.42,1198217.72,518945.19,1559552765.26,78.92,1690.27,7387.04,4.26,11.26,4243277320.74,11469418993.45,15
2021,LEA100885,17666874500.67,8753734667.6,90701418.96,9014921534.43,13825177260.85,5902699609.61,2984476412.15,567407.71,1114294.18,5731156772.93,30.36,16641.27,5195.07,18.93,9.15,2857369693.42,16326950228.12,9
2017,LEA873790,5470005360.32,5863773483.66,1436175564.0,16579352565.98,11348471320.36,139505134.14,2964079485.84,429155.09,1263252.37,1596268765.27,27.39,7585.84,20363.2,1.18,14.1,2459622887.29,16028908318.52,16
2019,LEA445719,2986330498.66,958302783.68,1218851127.38,4022744278.62,14811570884.24,6913546375.58,1318446192.75,228402.54,1943643.42,2958966991.9,14.51,11496.17,402.52,13.57,8.73,3441414593.68,2830441108.05,4
2021,LEA981023,15760224623.63,14451347606.23,3580692694.61,23137602166.28,12721554386.9,2557701970.72,2599245873.27,300561.42,1423564.35,1005917285.99,67.65,16774.68,4359.89,1.34,11.44,3994050676.11,5382992986.87,16
2023,LEA230207,1320545961.13,13142917244.25,1444209073.54,16390363417.66,1934297646.04,1688121489.06,475979065.95,491711.1,1067156.44,2985778593.15,5.0,22605.05,6123.96,6.8,12.66,608083572.78,502895897.64,7
2024,LEA578035,9467246447.97,7180582137.39,535430828.69,8664409472.08,3433253521.59,4145479076.32,642017891.2,1167282.59,1885740.75,160039257.86,11.81,4140.38,15331.53,6.49,6.85,1265316086.77,18042786117.11,12
2017,LEA217397,14720717421.33,19197585951.03,2159573408.0,10074521098.56,6829607890.18,1198419931.2,2890818767.75,378701.58,1446288.64,4120654100.37,72.53,13045.8,18937.3,9.92,10.32,298724888.94,1805291849.34,38
2021,LEA951876,11375010670.53,1133139464.83,1406865192.38,10103725608.33,13182689987.44,2760699617.51,2927967834.46,1193665.56,2352258.63,669725360.11,93.95,6098.5,13581.53,16.19,4.53,4793246219.49,3495223700.86,13
2017,LEA576672,8785670455.43,17992918713.89,2921027112.2,7989629513.95,14640322083.54,4424552860.87,96769721.92,325468.04,516458.47,3056490353.79,22.48,24518.92,10650.63,19.23,1.58,2689281927.01,12875201639.76,33
2022,LEA831490,11379856803.35,18663265315.12,2097233061.74,21323540673.35,13737462507.73,4935782937.73,835381716.31,1172365.19,1772959.91,1931955756.42,70.99,7122.0,19289.47,1.43,11.89,-30292480.9,6442396604.82,34
2016,LEA541685,14392505024.31,14107573048.08,1914227241.38,11702064594.14,13599489774.44,6403234291.0,304182019.99,437099.68,282649.72,1280998022.49,68.2,13216.85,17030.39,11.83,6.24,5935646824.04,14337377328.63,38
2023,LEA296401,14349759254.37,28624844843.38,4070121936.71,21499557845.79,9861273834.43,7386106983.92,2167298525.65,676432.6,2265553.05,1000730047.87,47.21,20432.77,20583.95,16.97,8.56,-197099652.52,19621339326.33,29
2019,LEA525244,16460198894.59,8944256158.85,3459139520.9,14431464850.18,14210484254.52,6594769119.23,2682830597.29,521098.54,614393.2,4149250415.31,58.27,14940.21,21263.32,12.29,13.51,5054377037.46,19239179286.52,31
2020,LEA599703,2302762153.17,6179419443.48,804627417.79,17713496100.58,3307212799.78,1742527874.8,1093680431.62,1083752.4,2373048.76,6972408009.9,5.21,19289.87,8564.29,10.95,10.43,-226947568.83,6402255942.31,29
2024,LEA305698,16874671064.5,18023177164.62,1334617760.15,9376048603.72,13901642430.21,1290902414.28,426760092.37,202758.57,1405031.17,4499522669.8,36.5,21593.42,14284.24,11.92,5.67,4332412852.04,9838919291.14,32
2020,LEA313650,18543795411.22,9954801571.13,1130307040.66,13438729330.05,8704394773.6,6948780371.49,2604933861.45,554562.51,747287.88,4500644330.95,86.69,2541.63,10911.03,8.98,10.42,4212741540.93,17973556873.76,19
2025,LEA497629,6535671493.84,19727984098.11,3869966842.87,6147767160.92,6779539343.03,2084343339.2,2593877547.97,620158.92,621499.84,5928477429.68,1.54,12158.85,11258.55,8.46,0.98,311717671.78,9747174297.13,1
2016,LEA655365,19016726672.56,10847059082.89,3686311685.97,9286511643.99,5825669497.46,1772361648.91,2410151805.02,739537.6,1469766.63,1634794572.25,27.71,10518.8,17116.78,10.61,3.03,865791315.11,1212370511.62,5
2019,LEA888560,3391589034.14,25758185830.2,3207302445.88,8970976275.71,9845197636.25,4675843043.79,2337297185.82,496705.45,1031070.15,5456168780.34,80.52,14209.17,12042.61,4.15,10.86,4961221402.89,15670253004.83,27
2019,LEA877144,7066425857.88,3810903988.08,1282846762.99,12760093614.09,100323320.02,1772701936.38,1215423093.29,963882.78,380807.92,1404002077.68,38.73,12558.66,4650.31,11.9,12.42,5729597029.56,18846870194.81,4
2019,LEA643537,6151658854.87,8536753296.97,27863156.94,16941494570.87,7307477927.81,7795325922.76,2280800373.7,1171334.66,1987790.38,1971743297.53,88.53,24918.5,6852.67,7.67,12.75,210806777.68,8414842465.05,26
2016,LEA971815,13215678253.02,20016643842.61,1038388712.37,5466201019.54,5123902894.59,1779383659.39,1516983273.28,306248.13,1751786.95,1891967421.46,12.68,7814.55,13885.52,17.85,3.51,-287063083.0,3190773472.82,23
2019,LEA924434,3796961285.76,8272425476.97,3213763094.95,3228041475.2,566333577.53,6116345649.77,866343432.9,868987.6,1469528.58,2435946306.83,0.74,5732.64,20350.14,19.24,9.67,3982877528.15,17638646490.33,4
