civic_turnout_election_date,civic_turnout_election_type_code,civic_turnout_jurisdiction_polling_station_id,civic_turnout_registered_voters_count,civic_turnout_ballots_cast_count,civic_turnout_turnout_rate_pct,civic_turnout_early_vote_count,civic_turnout_mail_ballot_count,civic_turnout_election_day_vote_count,civic_turnout_provisional_ballot_count,civic_turnout_rejected_ballot_count,civic_turnout_cure_rate_pct,civic_turnout_same_day_registration_flag,civic_turnout_new_registrations_count,civic_turnout_inactive_to_active_reinstatements,civic_turnout_polling_place_wait_minutes_avg,civic_turnout_accessibility_compliance_flag,civic_turnout_language_assistance_provided,civic_turnout_voter_id_required_flag,civic_turnout_post_election_audit_type
2017-07-24,MUNICIPAL,DD-09-PS3098,1120,815,72.77,25,23,767,0,4,93.48,0,25,4,18.0,1,1,1,FULL_RECOUNT
2022-12-18,VIDHANSABHA,PY-18-PS3041,841,434,51.61,2,16,413,3,1,72.7,0,21,15,18.6,1,0,1,NONE
2018-03-27,BYE,AN-10-PS0969,1189,858,72.16,1,24,831,2,6,83.37,0,38,8,38.7,1,0,1,EVM_VVPAT_AUDIT
2023-11-12,LOKSABHA,DL-68-PS1242,1725,1205,69.86,35,38,1128,4,0,78.6,0,32,5,20.8,0,1,1,EVM_VVPAT_AUDIT
2024-03-02,MUNICIPAL,UP-60-PS2565,1027,565,55.01,7,20,533,5,1,82.65,0,2,5,4.8,1,1,1,RANDOM_SAMPLE
2024-08-10,PANCHAYAT,DD-30-PS4212,1887,1320,69.95,4,35,1277,4,8,58.18,0,29,15,2.1,1,1,1,EVM_VVPAT_AUDIT
2021-01-06,MUNICIPAL,MP-16-PS0237,947,823,86.91,19,4,797,3,0,90.42,0,5,17,43.8,1,1,1,EVM_VVPAT_AUDIT
2020-11-12,MUNICIPAL,HP-38-PS1524,1337,638,47.72,0,3,634,1,4,67.29,0,26,8,29.0,1,0,1,RANDOM_SAMPLE
2018-08-17,LOKSABHA,MN-68-PS4407,861,728,84.55,14,10,699,5,3,90.87,0,37,17,35.3,1,1,1,NONE
2014-05-14,BYE,DL-67-PS3920,1630,947,58.1,14,8,921,4,2,58.33,0,17,13,53.7,1,1,1,RANDOM_SAMPLE
2016-03-03,VIDHANSABHA,GJ-54-PS4260,694,458,65.99,15,13,425,5,1,58.39,0,40,5,9.8,1,0,1,NONE
2016-08-21,LOKSABHA,GJ-25-PS4224,691,404,58.47,3,13,387,1,0,55.07,0,28,10,34.8,1,0,1,FULL_RECOUNT
2019-05-08,PANCHAYAT,JK-10-PS3851,1289,612,47.48,14,23,575,0,2,58.19,0,27,13,7.4,1,0,1,FULL_RECOUNT
2018-06-27,VIDHANSABHA,CG-40-PS2149,1419,745,52.5,5,3,736,1,6,88.02,0,34,6,29.9,1,0,1,NONE
2021-03-30,LOKSABHA,SK-05-PS4482,1004,460,45.82,4,14,441,1,2,56.58,0,0,12,2.6,1,1,1,RANDOM_SAMPLE
2020-07-13,VIDHANSABHA,RJ-45-PS0672,763,465,60.94,11,16,436,2,2,73.97,0,25,3,47.8,1,1,1,FULL_RECOUNT
2024-06-01,MUNICIPAL,JH-52-PS3494,1153,908,78.75,16,12,880,0,7,87.77,0,0,1,25.2,1,1,1,RANDOM_SAMPLE
2024-09-02,LOKSABHA,HR-60-PS2280,1388,1117,80.48,7,33,1075,2,5,80.56,0,22,12,10.0,1,1,1,NONE
2019-11-19,MUNICIPAL,KL-08-PS3272,686,520,75.8,2,12,506,0,4,74.41,0,30,13,54.6,1,1,1,EVM_VVPAT_AUDIT
2020-12-21,MUNICIPAL,MN-28-PS0563,1041,512,49.18,9,7,491,5,3,93.15,0,39,8,22.2,1,0,1,NONE
2018-06-02,BYE,ML-41-PS4313,977,641,65.61,9,17,611,4,3,64.06,1,12,20,50.8,1,1,1,EVM_VVPAT_AUDIT
2015-06-07,LOKSABHA,KA-10-PS2321,1535,1086,70.75,24,8,1052,2,9,79.42,1,29,19,8.4,1,1,1,RANDOM_SAMPLE
2024-12-02,BYE,KA-32-PS0039,1096,615,56.11,17,14,580,4,4,60.61,1,39,13,43.2,1,0,1,EVM_VVPAT_AUDIT
2015-08-21,LOKSABHA,PB-22-PS4331,1133,773,68.23,17,12,743,1,4,82.89,0,30,14,28.8,1,1,1,FULL_RECOUNT
2024-04-12,MUNICIPAL,PB-37-PS1725,1295,924,71.35,22,18,880,4,5,91.92,0,36,14,10.5,1,1,1,EVM_VVPAT_AUDIT
2017-07-08,PANCHAYAT,WB-03-PS0449,1727,921,53.33,10,33,878,0,1,85.63,0,26,1,20.8,1,1,1,RANDOM_SAMPLE
2020-03-31,MUNICIPAL,AR-58-PS2614,1635,1260,77.06,33,13,1210,4,8,82.56,0,30,5,48.5,1,1,1,NONE
2017-11-05,LOKSABHA,TR-04-PS1044,1135,617,54.36,5,4,604,4,5,83.39,0,37,13,20.8,1,0,1,RANDOM_SAMPLE
2022-09-26,MUNICIPAL,PB-71-PS2564,1844,1339,72.61,36,23,1279,1,6,83.74,0,23,1,33.8,1,0,1,EVM_VVPAT_AUDIT
2022-02-10,MUNICIPAL,MH-49-PS3391,810,385,47.53,11,12,357,5,1,83.97,0,18,15,21.8,1,1,1,EVM_VVPAT_AUDIT
2020-12-03,MUNICIPAL,TS-18-PS0831,1736,1228,70.74,10,46,1172,0,5,80.84,0,3,19,43.6,0,1,1,FULL_RECOUNT
2019-10-27,PANCHAYAT,MH-75-PS3472,1436,760,52.92,9,28,722,1,2,51.26,0,5,16,51.3,1,0,1,NONE
2015-07-01,MUNICIPAL,UP-46-PS2004,648,413,63.73,3,4,401,5,1,53.87,0,34,0,43.4,0,0,1,RANDOM_SAMPLE
2015-11-17,VIDHANSABHA,OD-60-PS4284,1584,1364,86.11,23,29,1309,3,9,63.54,0,34,13,15.2,1,1,1,NONE
2018-06-30,VIDHANSABHA,WB-77-PS0582,1440,950,65.97,17,19,913,1,2,56.68,0,32,6,6.6,1,1,1,FULL_RECOUNT
2017-03-17,PANCHAYAT,UP-15-PS0944,798,494,61.9,13,11,470,0,4,97.1,0,2,4,32.0,1,1,1,EVM_VVPAT_AUDIT
2019-04-16,MUNICIPAL,LA-61-PS0425,760,391,51.45,9,3,379,0,2,82.82,0,23,1,23.4,1,1,1,RANDOM_SAMPLE
2025-09-12,PANCHAYAT,MH-17-PS1634,1565,856,54.7,0,33,822,1,4,56.77,0,1,9,26.5,1,1,1,NONE
2022-08-24,PANCHAYAT,PY-76-PS0344,1170,758,64.79,16,18,720,4,3,76.15,0,21,14,12.9,1,1,1,RANDOM_SAMPLE
2016-02-21,BYE,SK-27-PS3049,1279,1117,87.33,1,25,1091,0,7,72.27,0,32,9,28.4,0,1,1,RANDOM_SAMPLE
2020-08-23,LOKSABHA,LA-50-PS4403,1378,741,53.77,7,9,722,3,3,86.36,0,7,8,23.0,1,1,1,FULL_RECOUNT
2023-08-27,LOKSABHA,JK-12-PS2823,1447,1184,81.82,26,2,1155,1,7,74.34,0,7,4,40.8,1,0,1,FULL_RECOUNT
2022-04-02,VIDHANSABHA,HR-19-PS2592,1248,993,79.57,0,15,974,4,6,55.88,0,33,3,54.8,1,1,1,RANDOM_SAMPLE
2024-02-29,LOKSABHA,AR-27-PS1561,730,494,67.67,1,19,473,1,4,96.73,0,8,19,50.7,0,1,1,RANDOM_SAMPLE
2022-03-10,PANCHAYAT,BR-73-PS2773,1849,1483,80.21,27,11,1440,5,9,61.73,0,25,0,14.7,1,0,1,NONE
2017-01-03,PANCHAYAT,WB-57-PS2327,1799,1256,69.82,4,16,1233,3,10,90.5,0,32,19,41.2,0,0,1,RANDOM_SAMPLE
2020-04-14,PANCHAYAT,TN-28-PS1071,1053,861,81.77,7,0,852,2,3,91.59,0,14,20,3.8,1,1,1,NONE
2015-04-05,VIDHANSABHA,DL-17-PS0393,1444,1208,83.66,5,32,1169,2,10,76.9,0,37,13,47.8,1,1,1,EVM_VVPAT_AUDIT
2024-09-22,LOKSABHA,PB-25-PS0424,1455,672,46.19,22,5,640,5,0,64.03,0,18,8,46.5,1,1,1,RANDOM_SAMPLE
2021-09-11,VIDHANSABHA,TR-19-PS2991,1611,803,49.84,8,16,779,0,3,64.46,0,34,8,17.9,1,0,1,NONE
2014-03-09,LOKSABHA,UP-08-PS4009,1750,1259,71.94,28,15,1211,5,0,63.69,0,10,13,47.4,1,0,1,RANDOM_SAMPLE
2017-07-23,LOKSABHA,RJ-67-PS2045,1824,1534,84.1,34,3,1497,0,1,92.19,0,22,14,6.4,1,1,1,RANDOM_SAMPLE
2015-06-11,PANCHAYAT,TR-19-PS2074,1419,909,64.06,18,20,866,5,3,87.86,0,6,3,22.4,1,1,1,FULL_RECOUNT
2014-07-13,PANCHAYAT,TS-34-PS2395,1550,1353,87.29,22,7,1319,5,5,92.79,0,11,5,4.4,1,0,1,NONE
2019-11-11,BYE,PY-40-PS0142,1348,882,65.43,28,12,837,5,0,50.37,0,19,0,20.0,1,1,1,RANDOM_SAMPLE
2020-08-26,PANCHAYAT,PY-09-PS0856,1418,1175,82.86,38,40,1093,4,2,71.63,0,0,7,24.4,1,1,1,FULL_RECOUNT
2017-02-06,VIDHANSABHA,KL-12-PS3312,1201,1034,86.09,7,4,1023,0,6,84.44,0,19,17,15.6,1,1,1,NONE
2015-02-24,VIDHANSABHA,KL-19-PS1775,1011,694,68.64,0,16,675,3,1,65.41,0,1,8,36.3,1,1,1,NONE
2016-06-28,LOKSABHA,LA-51-PS3190,1312,936,71.34,2,27,904,3,5,55.79,0,37,2,30.3,1,0,1,RANDOM_SAMPLE
2025-03-17,MUNICIPAL,ML-12-PS2467,834,550,65.95,14,12,523,1,4,55.9,0,30,5,46.8,1,1,1,FULL_RECOUNT
2021-04-12,BYE,CH-45-PS0375,672,391,58.18,13,9,366,3,3,88.32,0,27,11,50.6,1,0,1,RANDOM_SAMPLE
2019-08-04,VIDHANSABHA,JH-57-PS1142,1278,856,66.98,4,27,822,3,4,92.72,0,19,18,3.3,1,1,1,NONE
2022-05-13,VIDHANSABHA,HP-11-PS2929,1175,835,71.06,15,33,784,3,3,76.87,0,4,2,53.1,1,0,1,EVM_VVPAT_AUDIT
2017-06-11,PANCHAYAT,OD-51-PS1842,861,667,77.47,20,14,628,5,1,93.2,0,36,2,49.1,1,1,1,FULL_RECOUNT
2020-08-13,BYE,RJ-29-PS4173,658,568,86.32,16,19,529,4,3,97.05,0,12,1,10.9,1,1,1,NONE
