biz_small_application_date,biz_small_entity_type_code,biz_small_founder_demographic_category,biz_small_home_based_business_flag,biz_small_industry_intent_naics,biz_small_expected_first_payroll_date,biz_small_expected_hiring_count,biz_small_expected_revenue_bracket,biz_small_financing_source_code,biz_small_loan_approval_flag,biz_small_loan_amount_usd,biz_small_credit_score_band,biz_small_business_license_required_flag,biz_small_permit_complexity_score,biz_small_incubator_participation_flag,biz_small_mentor_hours_received,biz_small_online_presence_score,biz_small_ecommerce_enablement_flag,biz_small_closure_within_1yr_flag,biz_small_growth_intent_score
2018-01-11,LLC,MINORITY_OWNED,0,916670,2018-09-14,2,100K_250K,CREDIT_CARD,1,3846589.01,700_749,1,4.474,1,231.39,79.06,0,0,91.07
2018-01-12,C_CORP,UNKNOWN,0,728649,2018-11-17,86,100K_250K,BANK_LOAN,0,0.0,700_749,1,8.825,0,281.291,42.51,1,0,48.78
2018-01-13,S_CORP,UNKNOWN,1,767165,2018-03-06,90,1M_5M,VC,1,4543353.06,700_749,1,2.627,1,104.252,70.27,0,0,10.54
2018-01-14,LLC,UNKNOWN,1,499676,2018-04-04,84,50K_100K,CREDIT_CARD,0,0.0,NO_SCORE,1,0.608,0,59.113,79.97,1,1,3.74
2018-01-15,SOLE_PROP,IMMIGRANT_OWNED,1,755125,2018-05-16,12,LT_50K,VC,1,2790128.55,NO_SCORE,1,6.349,1,157.844,83.6,0,0,64.31
2018-01-16,LLC,WOMEN_OWNED,0,123848,2018-10-10,35,1M_5M,BOOTSTRAP,1,892669.54,LT_600,1,2.228,1,37.565,65.92,1,0,82.15
2018-01-17,LLC,UNKNOWN,0,827184,2019-01-12,38,LT_50K,CROWDFUND,1,1437734.0,650_699,1,9.846,1,150.296,97.96,0,0,56.75
2018-01-18,S_CORP,WOMEN_OWNED,1,476931,2018-12-16,38,LT_50K,CREDIT_CARD,0,0.0,700_749,1,9.037,1,148.417,65.75,1,0,93.28
2018-01-19,SOLE_PROP,MINORITY_OWNED,0,662069,2018-06-14,73,50K_100K,CROWDFUND,1,836549.74,LT_600,1,9.197,0,136.878,75.98,0,0,58.92
2018-01-20,PARTNERSHIP,YOUTH_FOUNDER,0,998511,2018-04-03,37,LT_50K,CREDIT_CARD,0,0.0,600_649,0,0.455,0,115.979,44.45,0,0,34.82
2018-01-21,SOLE_PROP,MINORITY_OWNED,0,762710,2018-03-28,83,1M_5M,BANK_LOAN,0,0.0,LT_600,1,8.368,0,287.37,71.49,0,0,21.05
2018-01-22,LLC,VETERAN_OWNED,1,921809,2018-04-25,42,50K_100K,FRIENDS_FAMILY,0,0.0,LT_600,1,8.283,0,218.471,44.26,1,0,82.67
2018-01-23,LLC,RURAL_FOUNDER,1,971032,2018-04-23,81,100K_250K,GOV_GRANT,1,795717.28,650_699,1,5.025,0,259.972,7.46,0,0,77.76
2018-01-24,S_CORP,IMMIGRANT_OWNED,0,162246,2018-06-13,53,LT_50K,BOOTSTRAP,1,2551411.06,650_699,1,3.807,0,5.993,22.17,0,1,22.08
2018-01-25,NONPROFIT,VETERAN_OWNED,0,466377,2019-01-13,73,LT_50K,VC,0,0.0,LT_600,0,5.757,1,220.894,84.75,0,0,71.65
2018-01-26,SOLE_PROP,YOUTH_FOUNDER,1,875016,2018-07-28,39,250K_1M,VC,0,0.0,750_PLUS,0,0.687,1,254.915,9.34,0,0,81.31
2018-01-27,LLC,MINORITY_OWNED,1,848815,2019-01-13,61,LT_50K,BOOTSTRAP,1,35574.0,NO_SCORE,0,1.809,0,140.256,22.71,1,0,29.69
2018-01-28,SOLE_PROP,UNKNOWN,0,851133,2018-02-23,54,1M_5M,CREDIT_CARD,1,165480.05,750_PLUS,0,2.056,0,68.887,0.05,0,0,80.87
2018-01-29,SOLE_PROP,VETERAN_OWNED,1,753643,2018-10-30,7,100K_250K,BOOTSTRAP,0,0.0,650_699,0,6.566,0,113.298,56.18,0,0,26.43
2018-01-30,LLC,RURAL_FOUNDER,1,357110,2018-03-23,30,50K_100K,BANK_LOAN,0,0.0,700_749,1,5.594,1,222.959,42.85,0,0,12.63
2018-01-31,S_CORP,YOUTH_FOUNDER,0,366466,2018-04-22,35,LT_50K,BANK_LOAN,1,287980.69,700_749,1,1.019,0,250.48,73.04,1,1,81.27
2018-02-01,SOLE_PROP,UNKNOWN,1,246225,2018-08-21,91,100K_250K,FRIENDS_FAMILY,1,527734.06,LT_600,1,1.395,0,125.611,38.39,0,0,17.77
2018-02-02,SOLE_PROP,RURAL_FOUNDER,1,385397,2018-08-01,6,GT_5M,BANK_LOAN,1,3828269.0,600_649,1,1.927,1,298.012,95.46,0,0,53.82
2018-02-03,PARTNERSHIP,VETERAN_OWNED,0,914419,2018-09-03,71,50K_100K,BOOTSTRAP,0,0.0,650_699,0,4.941,0,88.173,98.85,1,0,36.55
2018-02-04,SOLE_PROP,YOUTH_FOUNDER,0,621137,2018-08-01,23,50K_100K,BOOTSTRAP,0,0.0,NO_SCORE,1,2.001,1,66.334,0.14,0,0,56.85
2018-02-05,LLC,UNKNOWN,1,166445,2018-09-27,43,LT_50K,GOV_GRANT,0,0.0,700_749,1,9.702,0,35.425,50.77,0,0,71.26
2018-02-06,LLC,DISABLED_FOUNDER,1,195726,2018-06-01,93,50K_100K,ANGEL,1,2554548.92,LT_600,1,9.302,0,102.386,64.38,0,0,53.99
2018-02-07,LLC,YOUTH_FOUNDER,0,203596,2018-03-25,21,250K_1M,BANK_LOAN,0,0.0,700_749,0,2.594,0,215.717,65.24,1,1,11.66
2018-02-08,LLC,YOUTH_FOUNDER,0,674919,2018-06-08,79,50K_100K,BOOTSTRAP,0,0.0,750_PLUS,1,7.041,0,51.718,42.07,0,0,77.28
2018-02-09,SOLE_PROP,MINORITY_OWNED,1,822926,2018-10-01,35,250K_1M,CREDIT_CARD,0,0.0,750_PLUS,0,6.79,0,256.929,4.89,0,0,5.44
2018-02-10,SOLE_PROP,YOUTH_FOUNDER,1,377123,2018-03-23,4,100K_250K,GOV_GRANT,1,1140036.48,NO_SCORE,1,9.214,0,224.81,71.57,1,0,33.94
2018-02-11,LLC,WOMEN_OWNED,1,120324,2018-09-27,35,LT_50K,BANK_LOAN,1,3455436.13,700_749,0,3.85,1,68.451,4.6,0,1,0.26
2018-02-12,SOLE_PROP,WOMEN_OWNED,1,822714,2019-01-03,67,LT_50K,BOOTSTRAP,0,0.0,650_699,1,9.254,0,291.132,93.07,0,0,78.03
2018-02-13,LLC,RURAL_FOUNDER,0,252644,2018-06-20,86,100K_250K,CREDIT_CARD,0,0.0,650_699,0,6.016,1,153.063,23.76,1,0,71.85
2018-02-14,PARTNERSHIP,UNKNOWN,0,361831,2018-09-22,33,250K_1M,VC,0,0.0,700_749,0,0.234,0,125.834,6.59,0,0,97.58
2018-02-15,LLC,VETERAN_OWNED,1,348469,2018-07-24,45,LT_50K,BOOTSTRAP,1,3954509.04,600_649,1,4.155,0,152.635,4.65,1,0,23.53
2018-02-16,LLC,UNKNOWN,0,842741,2018-05-17,45,250K_1M,BANK_LOAN,0,0.0,700_749,1,0.634,0,79.776,99.38,1,0,12.46
2018-02-17,LLC,MINORITY_OWNED,0,128439,2018-09-15,70,50K_100K,BOOTSTRAP,0,0.0,650_699,0,7.501,0,174.237,75.9,0,0,68.41
2018-02-18,LLC,UNKNOWN,1,596855,2018-12-06,91,LT_50K,ANGEL,1,1208245.67,750_PLUS,1,2.801,0,127.988,44.67,0,0,31.72
2018-02-19,SOLE_PROP,WOMEN_OWNED,0,856627,2019-01-10,98,50K_100K,FRIENDS_FAMILY,0,0.0,NO_SCORE,1,6.425,0,282.179,69.06,1,0,44.31
2018-02-20,SOLE_PROP,UNKNOWN,0,264413,2018-06-26,16,250K_1M,CREDIT_CARD,0,0.0,650_699,1,2.59,0,299.75,18.09,0,0,7.87
2018-02-21,LLC,RURAL_FOUNDER,1,177644,2019-02-07,14,1M_5M,VC,0,0.0,NO_SCORE,1,3.075,0,154.371,58.02,1,0,70.47
2018-02-22,LLC,UNKNOWN,1,688066,2019-02-13,1,50K_100K,BANK_LOAN,1,2336815.03,LT_600,0,3.789,0,117.682,82.92,1,0,17.89
2018-02-23,NONPROFIT,YOUTH_FOUNDER,1,392515,2018-12-22,18,250K_1M,BANK_LOAN,1,1475734.81,LT_600,0,9.652,0,198.963,67.79,0,0,22.68
2018-02-24,LLC,WOMEN_OWNED,0,174699,2019-02-03,21,50K_100K,GOV_GRANT,0,0.0,650_699,0,8.514,0,89.644,49.12,0,0,20.1
2018-02-25,NONPROFIT,UNKNOWN,0,259310,2018-06-23,40,50K_100K,CREDIT_CARD,1,4996741.37,750_PLUS,1,9.323,0,181.415,71.42,1,1,31.4
2018-02-26,C_CORP,UNKNOWN,1,571267,2018-12-29,22,1M_5M,BOOTSTRAP,1,4601690.4,700_749,0,2.995,0,43.726,83.49,1,0,82.91
2018-02-27,PARTNERSHIP,WOMEN_OWNED,0,531024,2018-12-21,26,250K_1M,CREDIT_CARD,0,0.0,600_649,0,8.38,0,209.017,24.08,0,0,92.32
2018-02-28,SOLE_PROP,MINORITY_OWNED,0,379307,2018-08-02,76,250K_1M,CREDIT_CARD,0,0.0,700_749,0,7.12,0,185.578,50.86,0,0,77.57
2018-03-01,LLC,YOUTH_FOUNDER,1,848337,2018-10-13,5,250K_1M,BOOTSTRAP,0,0.0,700_749,0,1.439,0,289.019,74.01,0,0,99.74
2018-03-02,SOLE_PROP,UNKNOWN,1,224302,2018-04-30,54,100K_250K,CREDIT_CARD,0,0.0,650_699,1,6.084,0,209.59,20.75,0,0,37.99
2018-03-03,C_CORP,VETERAN_OWNED,1,232150,2018-10-13,83,GT_5M,CROWDFUND,0,0.0,700_749,0,8.333,0,206.591,68.38,1,0,44.12
2018-03-04,SOLE_PROP,MINORITY_OWNED,1,519577,2019-01-17,53,250K_1M,CREDIT_CARD,1,1746935.13,700_749,1,3.039,1,149.172,46.02,1,0,57.01
2018-03-05,SOLE_PROP,UNKNOWN,0,530330,2018-06-22,64,100K_250K,CREDIT_CARD,0,0.0,750_PLUS,1,6.808,0,28.263,82.67,1,0,5.99
2018-03-06,C_CORP,IMMIGRANT_OWNED,0,919032,2018-04-05,89,250K_1M,BANK_LOAN,0,0.0,LT_600,1,5.937,0,23.044,67.26,0,0,13.34
2018-03-07,SOLE_PROP,YOUTH_FOUNDER,1,669370,2018-11-28,18,250K_1M,BOOTSTRAP,1,2746775.09,700_749,1,4.595,0,191.635,13.26,1,0,74.44
2018-03-08,LLC,WOMEN_OWNED,0,959255,2018-06-25,90,100K_250K,BOOTSTRAP,0,0.0,600_649,0,6.933,0,170.986,10.54,1,1,25.65
2018-03-09,C_CORP,UNKNOWN,0,634806,2018-07-22,18,100K_250K,GOV_GRANT,1,207637.81,NO_SCORE,1,7.872,0,235.447,32.28,1,1,67.97
2018-03-10,SOLE_PROP,RURAL_FOUNDER,1,121888,2018-12-28,98,100K_250K,CREDIT_CARD,0,0.0,NO_SCORE,1,8.981,0,208.868,3.92,1,0,97.95
2018-03-11,PARTNERSHIP,UNKNOWN,0,585486,2018-08-04,93,1M_5M,BOOTSTRAP,0,0.0,LT_600,0,7.043,0,30.499,85.25,0,0,20.29
2018-03-12,PARTNERSHIP,MINORITY_OWNED,0,251873,2018-04-16,14,50K_100K,CREDIT_CARD,0,0.0,600_649,1,3.027,1,277.09,62.12,0,0,26.6
2018-03-13,LLC,RURAL_FOUNDER,0,277082,2019-01-21,98,100K_250K,CREDIT_CARD,1,4025952.03,600_649,0,4.581,0,181.001,47.6,1,0,57.26
2018-03-14,LLC,WOMEN_OWNED,1,941831,2018-06-25,41,1M_5M,CREDIT_CARD,0,0.0,NO_SCORE,0,0.486,0,137.472,56.61,0,0,47.05
2018-03-15,S_CORP,MINORITY_OWNED,0,449260,2018-09-22,50,250K_1M,GOV_GRANT,1,2834473.29,600_649,0,5.831,1,296.613,57.97,0,0,12.06
2018-03-16,C_CORP,UNKNOWN,0,623879,2018-09-16,23,100K_250K,GOV_GRANT,0,0.0,600_649,1,7.833,0,167.484,19.73,1,0,99.84
2018-03-17,SOLE_PROP,UNKNOWN,1,307189,2018-05-01,74,GT_5M,BANK_LOAN,0,0.0,NO_SCORE,0,0.6,0,49.375,49.44,1,0,59.5
2018-03-18,LLC,MINORITY_OWNED,1,909040,2018-09-16,70,1M_5M,BOOTSTRAP,1,965750.2,LT_600,0,7.656,1,36.916,71.16,1,0,37.67
2018-03-19,NONPROFIT,RURAL_FOUNDER,0,988737,2018-08-06,95,LT_50K,GOV_GRANT,1,1430165.41,650_699,0,6.101,1,282.587,79.55,0,0,9.61
2018-03-20,LLC,YOUTH_FOUNDER,1,267188,2018-05-27,36,LT_50K,FRIENDS_FAMILY,1,4011770.64,600_649,1,8.316,0,151.798,24.94,0,0,68.06
2018-03-21,LLC,DISABLED_FOUNDER,0,980534,2018-10-02,96,LT_50K,VC,0,0.0,LT_600,1,9.879,0,142.389,98.56,0,0,43.99
2018-03-22,LLC,MINORITY_OWNED,0,869925,2018-08-12,2,1M_5M,FRIENDS_FAMILY,0,0.0,LT_600,0,8.275,0,249.24,35.45,1,1,75.67
2018-03-23,C_CORP,UNKNOWN,1,998095,2019-02-12,52,50K_100K,VC,0,0.0,750_PLUS,1,5.39,0,129.311,87.73,1,0,31.58
2018-03-24,SOLE_PROP,MINORITY_OWNED,1,395003,2018-11-29,26,100K_250K,CREDIT_CARD,0,0.0,650_699,0,5.019,0,259.002,42.0,0,0,11.03
2018-03-25,SOLE_PROP,UNKNOWN,0,650161,2018-11-22,3,LT_50K,BOOTSTRAP,1,2769477.4,700_749,0,9.592,0,78.283,46.09,1,0,87.35
2018-03-26,SOLE_PROP,UNKNOWN,1,543528,2018-11-03,60,250K_1M,GOV_GRANT,1,1329416.69,LT_600,0,0.608,1,69.464,65.15,1,0,80.93
2018-03-27,C_CORP,MINORITY_OWNED,1,392508,2019-03-05,78,250K_1M,FRIENDS_FAMILY,1,2942136.95,650_699,0,2.962,0,286.465,29.39,0,0,77.08
2018-03-28,PARTNERSHIP,DISABLED_FOUNDER,0,839077,2018-05-26,56,1M_5M,BOOTSTRAP,1,190816.59,650_699,1,4.411,0,17.226,18.65,1,0,16.78
2018-03-29,LLC,UNKNOWN,1,249609,2018-10-21,100,100K_250K,BANK_LOAN,0,0.0,650_699,0,8.0,1,257.647,84.97,0,0,59.32
2018-03-30,SOLE_PROP,UNKNOWN,1,999133,2018-10-16,47,250K_1M,BANK_LOAN,0,0.0,600_649,1,6.264,0,234.378,78.95,1,0,35.71
2018-03-31,C_CORP,UNKNOWN,0,942563,2018-09-17,56,GT_5M,CROWDFUND,1,1209708.16,600_649,0,8.488,0,47.849,98.74,1,1,16.87
2018-04-01,PARTNERSHIP,WOMEN_OWNED,1,712605,2019-03-28,77,100K_250K,BANK_LOAN,0,0.0,600_649,0,3.441,0,152.76,34.19,1,0,34.73
2018-04-02,LLC,YOUTH_FOUNDER,1,202654,2018-04-22,0,LT_50K,BANK_LOAN,0,0.0,LT_600,0,5.106,0,143.031,33.5,0,0,12.3
2018-04-03,S_CORP,DISABLED_FOUNDER,1,569450,2018-10-10,68,250K_1M,ANGEL,1,3776698.16,NO_SCORE,1,5.276,0,214.992,44.83,1,0,61.15
2018-04-04,C_CORP,UNKNOWN,0,362665,2018-12-31,57,LT_50K,BOOTSTRAP,1,1781991.39,650_699,1,3.169,0,287.393,24.82,0,0,32.68
2018-04-05,SOLE_PROP,RURAL_FOUNDER,0,983701,2018-08-01,53,LT_50K,BOOTSTRAP,1,2728990.97,600_649,1,1.638,1,59.084,38.75,1,0,50.66
2018-04-06,PARTNERSHIP,WOMEN_OWNED,1,902523,2019-03-21,10,1M_5M,BANK_LOAN,0,0.0,650_699,0,6.884,1,267.615,26.37,0,0,67.8
2018-04-07,SOLE_PROP,UNKNOWN,1,603753,2018-11-10,26,100K_250K,CREDIT_CARD,1,2379725.7,LT_600,1,1.653,0,175.666,48.84,1,0,7.11
2018-04-08,S_CORP,MINORITY_OWNED,0,472619,2018-09-15,7,100K_250K,BANK_LOAN,1,3965506.89,LT_600,1,6.165,0,280.497,66.4,0,0,66.55
2018-04-09,NONPROFIT,WOMEN_OWNED,0,264704,2018-12-27,42,1M_5M,ANGEL,0,0.0,LT_600,1,4.483,0,185.808,7.4,0,0,72.85
2018-04-10,SOLE_PROP,YOUTH_FOUNDER,0,787609,2018-08-23,8,LT_50K,BANK_LOAN,0,0.0,650_699,1,3.065,0,210.259,24.81,0,1,29.63
2018-04-11,SOLE_PROP,MINORITY_OWNED,0,387431,2018-06-30,50,GT_5M,ANGEL,0,0.0,750_PLUS,1,0.69,0,289.2,89.39,1,0,30.83
2018-04-12,LLC,WOMEN_OWNED,1,729265,2018-09-04,71,100K_250K,BOOTSTRAP,0,0.0,600_649,1,0.164,0,36.721,16.04,1,0,88.8
2018-04-13,LLC,UNKNOWN,0,150927,2018-09-30,45,50K_100K,BANK_LOAN,0,0.0,650_699,1,4.055,0,250.522,1.8,1,0,17.92
2018-04-14,C_CORP,UNKNOWN,0,374073,2019-01-07,27,LT_50K,FRIENDS_FAMILY,0,0.0,650_699,0,8.241,0,223.793,56.89,1,0,27.66
2018-04-15,C_CORP,RURAL_FOUNDER,1,531272,2018-08-31,50,LT_50K,BANK_LOAN,0,0.0,NO_SCORE,0,3.589,1,231.484,68.92,0,0,26.73
2018-04-16,SOLE_PROP,MINORITY_OWNED,0,727287,2018-12-25,25,100K_250K,BOOTSTRAP,0,0.0,LT_600,1,5.063,0,237.775,0.87,1,0,79.72
2018-04-17,SOLE_PROP,DISABLED_FOUNDER,0,113614,2018-09-19,25,250K_1M,VC,0,0.0,NO_SCORE,1,3.333,0,12.356,44.18,1,0,33.43
2018-04-18,LLC,UNKNOWN,0,112970,2018-10-01,3,100K_250K,ANGEL,0,0.0,LT_600,0,0.576,0,291.807,87.45,0,0,70.85
2018-04-19,SOLE_PROP,YOUTH_FOUNDER,1,269407,2019-02-06,11,1M_5M,GOV_GRANT,0,0.0,650_699,1,0.328,1,111.008,12.91,1,0,5.84
2018-04-20,S_CORP,UNKNOWN,1,377370,2018-06-09,51,250K_1M,VC,0,0.0,700_749,1,4.298,0,228.339,66.13,1,0,10.54
2018-04-21,C_CORP,RURAL_FOUNDER,1,967193,2019-04-19,87,50K_100K,ANGEL,1,4689700.81,750_PLUS,0,5.642,0,263.38,13.81,1,0,33.54
2018-04-22,S_CORP,MINORITY_OWNED,0,918104,2018-05-08,54,GT_5M,BANK_LOAN,1,220204.71,750_PLUS,1,1.848,1,281.551,9.25,0,1,92.57
2018-04-23,S_CORP,UNKNOWN,0,116433,2018-09-05,93,100K_250K,BANK_LOAN,0,0.0,650_699,0,0.685,0,134.452,84.78,1,0,65.89
2018-04-24,SOLE_PROP,DISABLED_FOUNDER,0,282907,2018-08-15,46,1M_5M,BANK_LOAN,1,2056532.36,650_699,0,0.374,0,190.293,69.25,1,0,13.82
2018-04-25,LLC,WOMEN_OWNED,1,840202,2018-10-26,26,LT_50K,BANK_LOAN,0,0.0,600_649,1,8.659,1,94.764,46.62,0,0,66.27
2018-04-26,LLC,UNKNOWN,0,703875,2018-11-16,20,50K_100K,BOOTSTRAP,0,0.0,700_749,1,1.453,0,74.715,48.32,0,0,71.36
2018-04-27,C_CORP,DISABLED_FOUNDER,1,572937,2019-04-02,4,100K_250K,CREDIT_CARD,1,2283501.91,650_699,1,6.104,0,259.836,97.22,1,0,25.23
2018-04-28,LLC,UNKNOWN,1,662792,2018-05-21,91,1M_5M,CREDIT_CARD,0,0.0,700_749,1,9.545,0,299.647,18.89,0,0,37.76
2018-04-29,C_CORP,UNKNOWN,1,461271,2018-08-31,93,GT_5M,CREDIT_CARD,1,262442.21,750_PLUS,0,3.06,1,215.698,90.06,1,0,12.45
2018-04-30,C_CORP,MINORITY_OWNED,1,300656,2018-07-29,6,100K_250K,BOOTSTRAP,0,0.0,NO_SCORE,1,0.89,0,172.709,47.4,0,1,13.12
2018-05-01,NONPROFIT,WOMEN_OWNED,1,482705,2018-11-24,40,LT_50K,GOV_GRANT,1,1725037.42,700_749,1,8.557,1,204.4,85.29,1,1,31.29
2018-05-02,SOLE_PROP,VETERAN_OWNED,1,637322,2018-08-10,51,LT_50K,ANGEL,1,276732.96,750_PLUS,1,4.294,1,41.741,93.1,0,0,60.56
2018-05-03,PARTNERSHIP,MINORITY_OWNED,1,395072,2019-02-02,73,LT_50K,BANK_LOAN,1,3607794.04,LT_600,1,4.283,0,187.412,96.0,1,0,42.91
2018-05-04,NONPROFIT,MINORITY_OWNED,0,285501,2018-11-01,54,GT_5M,BOOTSTRAP,1,2542193.52,700_749,1,5.553,0,257.143,71.84,0,1,3.04
2018-05-05,PARTNERSHIP,MINORITY_OWNED,0,468795,2018-08-18,58,250K_1M,BOOTSTRAP,1,2074790.21,750_PLUS,1,7.14,1,52.924,85.85,0,0,16.24
2018-05-06,SOLE_PROP,UNKNOWN,1,308153,2018-07-03,57,50K_100K,GOV_GRANT,1,1844339.36,650_699,0,7.143,0,74.315,29.52,1,0,96.58
2018-05-07,LLC,WOMEN_OWNED,0,135691,2019-01-22,81,50K_100K,FRIENDS_FAMILY,0,0.0,700_749,0,2.019,1,12.696,34.16,0,0,93.83
2018-05-08,SOLE_PROP,MINORITY_OWNED,0,342763,2018-11-10,7,1M_5M,GOV_GRANT,1,2488321.45,700_749,1,9.699,0,165.107,22.31,1,0,38.76
2018-05-09,C_CORP,WOMEN_OWNED,0,733297,2019-03-25,38,LT_50K,BOOTSTRAP,0,0.0,650_699,1,9.197,0,258.208,81.52,0,0,95.34
2018-05-10,S_CORP,WOMEN_OWNED,1,799110,2018-06-12,72,LT_50K,CREDIT_CARD,0,0.0,650_699,1,7.894,0,60.839,93.42,0,0,10.84
2018-05-11,NONPROFIT,MINORITY_OWNED,1,851138,2018-08-31,62,50K_100K,GOV_GRANT,0,0.0,650_699,0,8.279,0,78.56,63.25,1,0,27.24
2018-05-12,LLC,WOMEN_OWNED,1,876096,2018-09-24,12,1M_5M,BOOTSTRAP,0,0.0,600_649,1,3.4,0,292.771,94.71,0,0,84.52
2018-05-13,S_CORP,MINORITY_OWNED,0,159708,2018-10-16,61,GT_5M,CREDIT_CARD,0,0.0,600_649,0,7.435,0,168.192,40.86,1,0,92.51
2018-05-14,LLC,MINORITY_OWNED,1,914039,2019-05-10,97,100K_250K,CREDIT_CARD,0,0.0,600_649,0,8.392,0,292.693,55.25,1,0,78.12
2018-05-15,S_CORP,VETERAN_OWNED,0,519661,2019-03-19,81,100K_250K,ANGEL,0,0.0,650_699,1,7.608,1,227.724,59.86,0,0,69.78
2018-05-16,LLC,DISABLED_FOUNDER,0,985254,2018-08-22,81,1M_5M,BOOTSTRAP,0,0.0,650_699,1,8.785,0,206.235,91.11,0,0,80.04
2018-05-17,LLC,YOUTH_FOUNDER,0,494374,2018-11-11,86,250K_1M,BOOTSTRAP,0,0.0,700_749,1,9.144,1,59.096,70.9,0,0,62.78
2018-05-18,LLC,RURAL_FOUNDER,0,252624,2018-12-29,2,50K_100K,FRIENDS_FAMILY,1,3930161.26,700_749,0,9.343,1,78.387,85.54,1,0,38.08
2018-05-19,LLC,UNKNOWN,0,150508,2018-11-20,46,250K_1M,ANGEL,0,0.0,700_749,1,4.356,0,62.268,45.86,0,0,95.38
2018-05-20,LLC,MINORITY_OWNED,0,667717,2018-07-10,37,100K_250K,BOOTSTRAP,0,0.0,LT_600,1,5.237,0,90.989,16.97,0,0,42.43
2018-05-21,LLC,UNKNOWN,0,116690,2018-12-29,84,LT_50K,BOOTSTRAP,1,3490655.26,700_749,0,8.417,0,294.34,44.18,0,1,92.57
2018-05-22,C_CORP,RURAL_FOUNDER,0,764764,2019-02-22,45,GT_5M,BOOTSTRAP,1,2277961.48,600_649,1,9.202,0,147.271,70.64,1,0,15.81
2018-05-23,LLC,UNKNOWN,1,291789,2018-09-27,33,50K_100K,CROWDFUND,1,4207014.8,650_699,0,0.831,0,95.742,1.4,1,0,34.72
2018-05-24,PARTNERSHIP,VETERAN_OWNED,1,272418,2018-12-06,71,100K_250K,ANGEL,0,0.0,750_PLUS,0,5.353,0,93.733,64.96,0,0,11.13
2018-05-25,SOLE_PROP,UNKNOWN,1,272719,2018-11-07,50,100K_250K,BOOTSTRAP,1,1866189.88,650_699,1,1.625,0,153.744,50.15,1,0,52.8
2018-05-26,C_CORP,VETERAN_OWNED,1,919001,2018-12-11,99,LT_50K,GOV_GRANT,0,0.0,600_649,1,1.668,0,16.415,84.85,1,0,31.93
2018-05-27,SOLE_PROP,VETERAN_OWNED,0,258197,2018-11-14,25,100K_250K,BANK_LOAN,0,0.0,NO_SCORE,0,9.609,1,287.606,5.93,0,0,19.66
2018-05-28,C_CORP,UNKNOWN,1,757711,2018-09-01,64,GT_5M,GOV_GRANT,1,4055114.53,600_649,0,5.383,0,144.817,49.48,0,0,72.66
2018-05-29,S_CORP,UNKNOWN,1,331426,2019-01-07,17,1M_5M,CREDIT_CARD,0,0.0,600_649,1,6.659,0,243.278,65.3,1,0,39.22
2018-05-30,S_CORP,VETERAN_OWNED,1,865414,2019-02-02,70,50K_100K,BANK_LOAN,1,2672721.85,700_749,1,0.73,1,45.029,47.79,0,0,21.6
2018-05-31,SOLE_PROP,MINORITY_OWNED,1,940860,2018-06-28,52,LT_50K,BOOTSTRAP,0,0.0,600_649,0,5.328,0,204.47,83.37,0,0,13.97
