tax_cit_reference_year,tax_cit_country_iso2,tax_cit_nace_section,tax_cit_enterprise_size_class,tax_cit_statutory_rate_pct,tax_cit_effective_average_rate_pct,tax_cit_tax_base_eur,tax_cit_tax_liability_eur,tax_cit_loss_carryforward_eur,tax_cit_r_and_d_tax_credit_eur,tax_cit_interest_limitation_rule_flag,tax_cit_pillar2_minimum_tax_flag,tax_cit_cfc_rules_flag,tax_cit_hybrid_mismatch_rules_flag,tax_cit_transfer_pricing_adjustments_eur,tax_cit_country_by_country_reporting_flag,tax_cit_state_aid_tax_ruling_flag,tax_cit_audit_rate_pct,tax_cit_data_source,tax_cit_data_extract_date
2026,CY,R,MICRO,33.86,25.12,2382579882.27,598504066.43,148724125.98,101938031.29,1,1,1,1,12368434.0,1,0,7.18,NATIONAL_CORPORATE_TAX_ADMIN,2024-02-27
2010,GR,B,LARGE,24.26,20.66,2443492428.92,504825535.81,233938267.78,43463473.45,1,0,1,1,29379381.26,0,0,0.6,OECD_CBC_SUMMARY,2025-03-23
2011,MT,G,MEDIUM,23.68,21.75,2531712217.23,550647407.25,980656920.77,71707414.92,0,0,1,0,36148250.13,1,0,12.09,EU_TAX_OBSERVATORY,2025-07-23
2012,ES,L,SMALL,9.28,7.82,2653574888.83,207509556.31,510619960.15,19759462.29,1,0,1,1,9720459.62,1,0,5.12,ACADEMIC_TAXPANEL,2025-06-16
2013,CZ,Q,MICRO,27.32,19.81,2680695956.03,531045868.89,922104638.48,115237798.11,1,0,0,0,-19793401.87,0,0,1.52,NATIONAL_CORPORATE_TAX_ADMIN,2024-06-26
2014,HU,A,LARGE,19.15,16.49,2751573076.56,453734400.32,670440563.15,62480295.41,1,1,0,1,16158783.87,1,0,11.27,OECD_CBC_SUMMARY,2024-06-13
2015,NL,F,MEDIUM,23.92,16.35,2867724461.27,468872949.42,203082042.79,16681951.76,0,0,1,0,64474094.76,0,0,0.83,EU_TAX_OBSERVATORY,2025-12-13
2016,SE,K,SMALL,30.19,26.75,2918476268.94,780692401.94,364947176.97,65708659.97,1,0,0,1,96950091.49,1,0,12.04,ACADEMIC_TAXPANEL,2024-01-07
2017,DK,P,MICRO,18.59,14.0,2988409101.66,418377274.23,577722336.87,83834121.29,1,0,0,0,15240927.23,0,0,13.2,NATIONAL_CORPORATE_TAX_ADMIN,2024-03-26
2018,IE,U,LARGE,23.82,18.84,3043156435.14,573330672.38,763285457.27,108005858.08,0,0,1,1,-5223181.69,1,0,13.42,OECD_CBC_SUMMARY,2024-05-03
2019,PL,E,MEDIUM,20.98,16.57,3145111277.87,521144938.74,418733648.85,108285291.2,1,1,1,1,98375830.35,0,0,2.34,EU_TAX_OBSERVATORY,2024-12-01
2020,AT,J,SMALL,25.09,16.57,3213556689.73,532486343.49,302396094.28,35786818.69,1,0,1,1,35163975.93,1,0,8.53,ACADEMIC_TAXPANEL,2024-06-06
2021,EE,O,MICRO,10.7,7.52,3278854386.29,246569849.85,1142356428.12,39055384.14,0,1,1,1,60905544.22,0,0,13.73,NATIONAL_CORPORATE_TAX_ADMIN,2025-09-05
2022,IT,T,LARGE,9.61,7.53,3384325833.11,254839735.23,222782629.33,31540677.19,1,1,1,0,-20050830.09,1,0,13.94,OECD_CBC_SUMMARY,2025-06-28
2023,PT,D,MEDIUM,14.45,11.6,3463906878.94,401813197.96,1365207264.51,61818179.74,1,1,0,1,54028653.94,0,0,8.73,EU_TAX_OBSERVATORY,2025-12-17
2024,BE,I,SMALL,14.45,10.76,3520818338.13,378840053.18,1354642714.14,50970941.37,1,0,1,0,103807986.69,1,0,0.55,ACADEMIC_TAXPANEL,2025-06-15
2025,FI,N,MICRO,16.65,15.77,3623300717.61,571394523.17,796796368.37,37475895.85,1,1,1,1,28653059.96,0,0,9.25,NATIONAL_CORPORATE_TAX_ADMIN,2025-09-12
2026,LV,S,LARGE,15.97,13.35,3699239016.03,493848408.64,263519790.83,88261025.76,1,1,0,1,-31718267.6,0,1,0.76,OECD_CBC_SUMMARY,2024-10-25
2010,RO,C,MEDIUM,28.91,22.02,3718178406.98,818742885.22,1143819708.62,39670472.72,0,0,0,1,108407417.86,0,0,4.12,EU_TAX_OBSERVATORY,2024-05-11
2011,BG,H,SMALL,27.3,18.1,3802635307.82,688276990.72,713017789.88,37466176.51,1,0,1,1,90880749.1,1,0,13.49,ACADEMIC_TAXPANEL,2025-04-19
2012,FR,M,MICRO,22.13,16.04,3898315799.12,625289854.18,691759700.94,105534833.99,1,0,0,0,109211282.88,0,0,10.29,NATIONAL_CORPORATE_TAX_ADMIN,2025-02-17
2013,LT,R,LARGE,25.22,18.17,3993967672.91,725703926.17,1596622119.6,105293485.29,0,0,0,0,104280464.47,1,0,8.37,OECD_CBC_SUMMARY,2025-11-27
2014,SK,B,MEDIUM,33.76,26.59,4034268453.59,1072711981.81,945790712.48,186365813.35,1,0,1,1,76423936.92,1,0,13.02,EU_TAX_OBSERVATORY,2025-11-19
2015,HR,G,SMALL,29.82,26.81,4101098146.58,1099504413.1,349812160.0,111827054.7,1,0,1,0,84950716.79,1,0,13.57,ACADEMIC_TAXPANEL,2025-01-29
2016,DE,L,MICRO,22.11,19.63,4226961617.07,829752565.43,221279197.24,19923770.01,1,0,1,1,-29270049.66,1,0,4.8,NATIONAL_CORPORATE_TAX_ADMIN,2025-02-08
2017,LU,Q,LARGE,26.88,17.9,4304153923.39,770443552.29,1740727062.85,55746457.69,1,0,1,1,27131935.57,1,0,7.76,OECD_CBC_SUMMARY,2025-05-21
2018,SI,A,MEDIUM,20.92,18.98,4362712116.19,828042759.65,374712246.57,115433665.94,1,0,1,1,43372027.23,1,0,0.6,EU_TAX_OBSERVATORY,2024-10-17
2019,CY,F,SMALL,20.71,12.43,4432568804.01,550968302.34,1096681037.64,67431071.41,1,0,1,0,35646886.0,1,0,12.5,ACADEMIC_TAXPANEL,2024-07-30
2020,GR,K,MICRO,17.54,13.46,4499335783.19,605610596.42,1969031765.16,76540536.86,0,0,1,1,113454804.56,1,0,11.44,NATIONAL_CORPORATE_TAX_ADMIN,2024-06-09
2021,MT,P,LARGE,9.14,5.1,4555581344.16,232334648.55,823534164.6,24849368.35,1,0,1,1,-30251186.76,1,0,7.72,OECD_CBC_SUMMARY,2025-07-28
2022,ES,U,MEDIUM,15.65,11.67,4620424001.75,539203481.0,1668110722.92,21939087.5,1,0,1,0,24298045.75,0,0,9.15,EU_TAX_OBSERVATORY,2024-06-20
2023,CZ,E,SMALL,16.24,11.67,4747797363.08,554067952.27,1426439488.26,54404626.38,1,0,1,1,7550878.58,0,0,1.19,ACADEMIC_TAXPANEL,2025-08-21
2024,HU,J,MICRO,17.03,13.8,4799618723.36,662347383.82,643753461.93,114982407.5,1,1,1,1,32660500.63,1,0,13.88,NATIONAL_CORPORATE_TAX_ADMIN,2024-02-28
2025,NL,O,LARGE,15.2,13.42,4886735782.81,655799942.05,1701969789.37,84668596.18,1,1,1,1,-58072244.88,1,0,10.07,OECD_CBC_SUMMARY,2024-07-12
2026,SE,T,MEDIUM,28.92,18.11,4933523603.92,893461124.67,2163892593.91,179313973.25,0,0,1,1,15729917.33,1,0,5.86,EU_TAX_OBSERVATORY,2025-08-06
2010,DK,D,SMALL,20.12,18.7,4997862653.84,934600316.27,1142400614.33,165877214.02,1,0,0,0,38851356.32,1,0,9.0,ACADEMIC_TAXPANEL,2025-02-23
2011,IE,I,MICRO,9.94,8.47,5115698164.79,433299634.56,279235484.24,50358958.11,1,0,1,1,67453316.18,1,0,4.27,NATIONAL_CORPORATE_TAX_ADMIN,2025-01-07
2012,PL,N,LARGE,21.1,19.56,5147215512.75,1006795354.29,1663323751.51,174228703.16,0,0,1,1,-74780544.08,0,0,2.45,OECD_CBC_SUMMARY,2024-07-06
2013,AT,S,MEDIUM,32.53,27.78,5237677494.32,1455026807.92,763713840.33,119491944.6,1,0,1,1,8598051.88,1,1,1.99,EU_TAX_OBSERVATORY,2024-04-24
2014,EE,C,SMALL,27.68,15.51,5294124357.67,821118687.87,387547315.3,160270855.74,0,0,1,1,65815526.31,1,1,3.47,ACADEMIC_TAXPANEL,2024-03-22
2015,IT,H,MICRO,12.56,8.58,5386172746.33,462133621.64,2232286511.06,45811591.77,0,0,1,1,117014574.36,0,0,10.6,NATIONAL_CORPORATE_TAX_ADMIN,2024-04-08
2016,PT,M,LARGE,13.76,11.44,5451241752.21,623622056.45,1611948132.61,66874881.19,1,0,0,1,-68705282.68,0,1,3.93,OECD_CBC_SUMMARY,2025-04-25
2017,BE,R,MEDIUM,13.6,12.54,5556883696.12,696833215.49,2370980529.95,42783782.59,0,1,1,1,31715618.37,1,0,3.16,EU_TAX_OBSERVATORY,2025-05-21
2018,FI,B,SMALL,31.9,22.92,5598288565.3,1283127739.17,709408408.72,33896472.72,0,0,0,0,36759431.37,1,0,7.76,ACADEMIC_TAXPANEL,2025-03-16
2019,LV,G,MICRO,22.82,15.98,5727219978.38,915209752.55,1208612831.98,44141792.81,1,0,0,0,-6082513.83,1,0,7.46,NATIONAL_CORPORATE_TAX_ADMIN,2024-05-20
2020,RO,L,LARGE,27.66,23.39,5784756775.04,1353054609.68,658367221.08,79522397.19,1,1,1,1,12065483.42,1,0,1.92,OECD_CBC_SUMMARY,2024-01-12
2021,BG,Q,MEDIUM,19.11,13.9,5846474842.03,812660003.04,1838141491.26,102853763.52,1,1,0,1,-4125466.61,0,0,10.27,EU_TAX_OBSERVATORY,2024-10-21
2022,FR,A,SMALL,23.49,16.07,5910310844.06,949786952.64,2471170077.89,196375524.45,0,1,1,1,-42512525.93,1,0,2.98,ACADEMIC_TAXPANEL,2024-04-17
2023,LT,F,MICRO,32.85,30.73,6001632010.35,1844301516.78,2296567786.93,254013674.93,1,1,0,1,-20146859.57,1,0,5.92,NATIONAL_CORPORATE_TAX_ADMIN,2024-11-22
2024,SK,K,LARGE,20.41,16.32,6094338138.41,994595984.19,2079261570.15,49777657.83,1,0,1,1,-78021857.33,0,0,7.41,OECD_CBC_SUMMARY,2025-08-14
2025,HR,P,MEDIUM,29.69,18.12,6145764344.15,1113612499.16,1605568884.36,205515617.35,1,1,1,1,89297913.63,0,0,13.04,EU_TAX_OBSERVATORY,2025-08-23
2026,DE,U,SMALL,22.89,14.92,6254885246.37,933228878.76,1249215320.01,187092608.29,1,1,1,1,11840549.97,1,0,5.43,ACADEMIC_TAXPANEL,2024-07-29
2010,LU,E,MICRO,15.25,12.31,6323473932.59,778419641.1,1828080662.72,68094318.03,0,0,1,0,-38099011.33,1,0,11.5,NATIONAL_CORPORATE_TAX_ADMIN,2024-07-11
2011,SI,J,LARGE,20.74,15.23,6384030241.0,972287805.7,1506570727.79,59244451.21,1,1,1,1,-38864480.0,1,0,8.79,OECD_CBC_SUMMARY,2024-09-05
2012,CY,O,MEDIUM,21.28,18.26,6428396153.44,1173825137.62,2581750282.88,212125090.98,1,0,0,1,25683044.7,1,0,7.96,EU_TAX_OBSERVATORY,2025-12-07
2013,GR,T,SMALL,28.99,23.47,6551530206.95,1537644139.57,1716206009.8,89488573.91,0,0,1,1,-70372519.19,0,0,8.91,ACADEMIC_TAXPANEL,2025-06-06
2014,MT,D,MICRO,23.22,14.41,6580480114.97,948247184.57,1806572279.57,52719636.11,1,0,1,0,-37501782.07,1,0,12.79,NATIONAL_CORPORATE_TAX_ADMIN,2026-02-22
2015,ES,I,LARGE,30.68,27.66,6691445480.66,1850853819.95,898012937.19,260566921.36,1,0,1,1,-61532090.91,0,0,4.91,OECD_CBC_SUMMARY,2024-10-05
2016,CZ,N,MEDIUM,32.82,24.07,6773938337.05,1630486957.73,1184959474.4,223091939.41,1,0,1,1,8108091.04,0,0,3.44,EU_TAX_OBSERVATORY,2025-07-14
2017,HU,S,SMALL,17.27,10.18,6803137192.3,692559366.18,906872644.21,124534999.59,1,0,0,1,61324029.88,0,0,7.98,ACADEMIC_TAXPANEL,2025-01-09
2018,NL,C,MICRO,32.94,19.0,6913345566.35,1313535657.61,2469355326.71,184440142.62,1,0,1,1,102222134.94,1,0,10.15,NATIONAL_CORPORATE_TAX_ADMIN,2026-02-11
2019,SE,H,LARGE,17.27,10.94,6959954472.28,761419019.27,3080935033.39,48259513.68,1,0,1,1,59306717.99,0,0,4.22,OECD_CBC_SUMMARY,2024-04-29
2020,DK,M,MEDIUM,15.36,9.25,7018786151.04,649237718.97,2430062726.32,132461149.54,1,0,1,1,98083089.82,0,0,3.75,EU_TAX_OBSERVATORY,2026-01-25
2021,IE,R,SMALL,23.24,20.74,7121281515.57,1476953786.33,1556694899.27,123433054.86,0,1,1,1,11185281.83,0,0,3.64,ACADEMIC_TAXPANEL,2024-01-15
2022,PL,B,MICRO,29.07,19.96,7173162834.21,1431763301.71,2633792039.09,90224105.7,0,1,1,1,79726386.67,1,0,1.29,NATIONAL_CORPORATE_TAX_ADMIN,2026-01-25
2023,AT,G,LARGE,28.7,18.47,7276121960.21,1343899726.05,1521256981.09,230445035.55,1,0,1,0,-11206289.66,0,0,2.97,OECD_CBC_SUMMARY,2025-12-12
2024,EE,L,MEDIUM,29.59,25.53,7329636732.01,1871256257.68,2440799016.38,330344310.89,1,0,0,0,-46073330.21,1,0,13.27,EU_TAX_OBSERVATORY,2025-09-29
2025,IT,Q,SMALL,10.57,8.76,7433249245.93,651152633.94,3008029950.28,128890723.03,1,1,1,1,-44824209.21,0,0,13.75,ACADEMIC_TAXPANEL,2024-05-25
2026,PT,A,MICRO,30.36,17.56,7477920850.32,1313122901.32,1454566050.67,266783456.63,0,1,1,1,100912646.68,0,1,3.38,NATIONAL_CORPORATE_TAX_ADMIN,2024-06-12
2010,BE,F,LARGE,33.22,26.19,7550926351.63,1977587611.49,3219916103.13,192495130.47,1,0,1,0,64293575.11,1,1,7.23,OECD_CBC_SUMMARY,2025-12-29
2011,FI,K,MEDIUM,12.53,11.42,7631752508.41,871546136.46,647625504.18,101051936.17,1,0,1,1,-62900764.8,1,0,13.67,EU_TAX_OBSERVATORY,2025-01-27
2012,LV,P,SMALL,24.88,20.29,7706967208.48,1563743646.6,2502587289.84,308966960.03,1,0,1,1,-33985266.05,0,0,10.49,ACADEMIC_TAXPANEL,2024-05-13
2013,RO,U,MICRO,22.8,16.8,7793539785.12,1309314683.9,1350381744.92,35041087.41,1,0,0,1,-61952115.54,1,0,2.23,NATIONAL_CORPORATE_TAX_ADMIN,2024-04-17
2014,BG,E,LARGE,31.49,17.76,7904701967.67,1403875069.46,2014725523.56,67146775.54,0,0,1,1,80142950.13,0,0,7.5,OECD_CBC_SUMMARY,2025-05-03
2015,FR,J,MEDIUM,30.61,18.19,7933098521.15,1443030621.0,893298534.16,43390737.22,1,1,1,1,41940096.65,1,0,12.9,EU_TAX_OBSERVATORY,2025-08-06
2016,LT,O,SMALL,30.53,17.07,8017754003.61,1368630608.42,2661437759.33,163250406.81,1,0,1,1,103323202.55,1,0,10.42,ACADEMIC_TAXPANEL,2025-06-29
2017,SK,T,MICRO,10.42,8.22,8076657609.82,663901255.53,3005266706.31,59132484.6,1,0,1,1,-79157839.73,1,1,1.78,NATIONAL_CORPORATE_TAX_ADMIN,2025-06-27
2018,HR,D,LARGE,18.93,16.8,8144256464.02,1368235085.96,1865291515.42,40343652.52,1,0,0,1,38800265.07,1,0,4.27,OECD_CBC_SUMMARY,2024-11-05
2019,DE,I,MEDIUM,19.13,15.28,8268833560.5,1263477768.04,3507472728.08,76611952.44,1,0,1,1,44915253.52,1,0,13.62,EU_TAX_OBSERVATORY,2025-11-16
2020,LU,N,SMALL,28.78,27.19,8309108195.91,2259246518.47,3482154381.07,278732077.06,1,0,1,1,8409384.14,1,0,5.65,ACADEMIC_TAXPANEL,2024-04-18
2021,SI,S,MICRO,12.91,10.12,8428953363.04,853010080.34,1055074184.21,181326028.0,0,1,1,1,82752931.23,1,0,6.3,NATIONAL_CORPORATE_TAX_ADMIN,2024-05-06
2022,CY,C,LARGE,20.12,12.29,8488944445.4,1043291272.34,3608532644.84,177821123.16,0,0,1,0,12866613.94,0,0,7.76,OECD_CBC_SUMMARY,2025-08-30
2023,GR,H,MEDIUM,9.19,6.34,8578331720.57,543866231.08,1009119567.21,29401121.24,0,0,0,1,-6261719.22,1,0,6.12,EU_TAX_OBSERVATORY,2025-02-12
2024,MT,M,SMALL,22.46,13.78,8597596875.56,1184748849.45,3456114988.95,196470662.35,0,1,1,1,51475856.19,1,0,11.78,ACADEMIC_TAXPANEL,2025-09-24
2025,ES,R,MICRO,32.73,20.5,8690062844.13,1781462883.05,986405427.5,390125953.95,1,1,1,1,-3792916.01,1,0,1.52,NATIONAL_CORPORATE_TAX_ADMIN,2025-06-25
2026,CZ,B,LARGE,18.66,14.2,8770203355.66,1245368876.5,1765221966.33,95256176.56,0,1,1,1,49172322.71,0,0,5.58,OECD_CBC_SUMMARY,2025-07-25
2010,HU,G,MEDIUM,14.09,10.75,8836882153.48,949964831.5,959406937.09,117559447.75,1,0,1,1,95856967.26,1,0,5.92,EU_TAX_OBSERVATORY,2025-10-17
2011,NL,L,SMALL,31.24,20.84,8912632103.21,1857392530.31,3358652115.84,132349388.89,1,0,1,1,-41719892.89,0,0,12.35,ACADEMIC_TAXPANEL,2024-11-27
2012,SE,Q,MICRO,13.38,8.42,8989492112.64,756915235.88,2463071149.34,139555603.67,1,0,1,1,-50246156.13,1,0,7.68,NATIONAL_CORPORATE_TAX_ADMIN,2024-03-25
2013,DK,A,LARGE,33.4,28.11,9050220965.66,2544017113.45,3669885928.67,453050736.8,1,0,1,1,-60244917.95,1,0,2.35,OECD_CBC_SUMMARY,2024-10-09
2014,IE,F,MEDIUM,18.47,13.55,9159981884.93,1241177545.41,1460616439.36,148644136.79,0,0,1,0,17487265.17,1,0,11.08,EU_TAX_OBSERVATORY,2024-07-29
2015,PL,K,SMALL,33.18,26.65,9242228783.11,2463053970.7,1418239801.34,360271272.52,1,0,0,1,-33753518.3,1,0,0.59,ACADEMIC_TAXPANEL,2025-05-08
2016,AT,P,MICRO,20.17,13.35,9274737525.3,1238177459.63,3879438073.87,183457045.41,1,0,1,1,-58039763.98,1,0,4.2,NATIONAL_CORPORATE_TAX_ADMIN,2025-08-12
2017,EE,U,LARGE,26.92,16.86,9374778993.62,1580587738.32,1214988983.67,169855786.52,1,0,1,1,66500059.06,0,1,4.23,OECD_CBC_SUMMARY,2024-09-03
2018,IT,E,MEDIUM,16.01,9.72,9461148135.94,919623598.81,2540878845.23,27065629.11,0,0,1,1,-53029589.46,1,0,3.94,EU_TAX_OBSERVATORY,2025-03-10
2019,PT,J,SMALL,10.05,7.92,9503449934.32,752673234.8,3468497349.75,130531855.43,0,1,1,1,93125794.08,1,0,6.8,ACADEMIC_TAXPANEL,2024-08-08
2020,BE,O,MICRO,32.13,21.66,9631755060.35,2086238146.07,2980377352.06,163154581.25,1,0,1,1,30342085.47,1,0,8.67,NATIONAL_CORPORATE_TAX_ADMIN,2025-11-20
2021,FI,T,LARGE,26.13,14.38,9660239124.52,1389142386.11,624086536.09,113384474.99,1,1,1,0,-22988214.08,1,0,3.33,OECD_CBC_SUMMARY,2025-07-05
2022,LV,D,MEDIUM,27.93,18.6,9718425458.62,1807627135.3,3921083617.99,289954798.66,0,1,0,1,7092435.61,0,0,3.18,EU_TAX_OBSERVATORY,2024-07-26
2023,RO,I,SMALL,13.21,7.32,9855601671.76,721430042.37,756666929.43,140885810.69,0,0,1,1,84440886.31,1,0,6.97,ACADEMIC_TAXPANEL,2026-02-09
2024,BG,N,MICRO,21.28,16.61,9903995042.44,1645053576.55,807270832.48,217506408.76,0,1,1,1,98076061.64,0,0,1.64,NATIONAL_CORPORATE_TAX_ADMIN,2025-03-16
2025,FR,S,LARGE,26.43,15.54,10003426908.21,1554532541.54,4000348854.37,136481456.86,1,1,1,1,64177547.24,1,0,1.86,OECD_CBC_SUMMARY,2025-05-02
2026,LT,C,MEDIUM,27.08,21.28,10057299762.94,2140193389.55,4324430373.33,231471728.18,1,1,1,1,52092584.02,1,0,2.67,EU_TAX_OBSERVATORY,2025-01-10
2010,SK,H,SMALL,23.61,18.3,10093769280.76,1847159778.38,2387054037.34,83207115.53,1,0,1,1,11617420.9,1,0,8.27,ACADEMIC_TAXPANEL,2024-05-01
2011,HR,M,MICRO,21.83,13.4,10178847980.53,1363965629.39,1077293156.23,180766917.97,1,0,1,1,66949338.0,1,0,10.26,NATIONAL_CORPORATE_TAX_ADMIN,2025-05-07
2012,DE,R,LARGE,22.43,13.03,10246998773.84,1335183940.23,4014251853.27,117229694.08,1,0,1,1,-27276164.22,1,1,6.31,OECD_CBC_SUMMARY,2024-05-17
2013,LU,B,MEDIUM,11.3,7.82,10319564491.53,806989943.24,1431514867.38,19917296.9,1,1,1,0,2051413.78,1,0,9.49,EU_TAX_OBSERVATORY,2024-08-22
2014,SI,G,SMALL,32.76,21.0,10401408422.98,2184295768.83,4491632944.84,94187940.17,1,0,1,1,73050410.6,0,1,2.53,ACADEMIC_TAXPANEL,2025-12-22
2015,CY,L,MICRO,19.3,14.77,10519821112.91,1553777578.38,2082674062.91,302694854.67,1,0,1,1,89820499.6,1,0,6.04,NATIONAL_CORPORATE_TAX_ADMIN,2025-04-06
2016,GR,Q,LARGE,24.37,15.59,10593055199.16,1651457305.55,1853476406.13,273437724.83,1,0,1,1,109353540.74,0,1,10.11,OECD_CBC_SUMMARY,2025-12-03
2017,MT,A,MEDIUM,13.72,8.58,10664573374.39,915020395.52,750316375.67,133096541.46,1,0,1,0,54321476.98,1,1,1.23,EU_TAX_OBSERVATORY,2025-08-23
2018,ES,F,SMALL,12.35,8.28,10703373451.02,886239321.74,2068101246.97,53614042.28,0,0,1,0,25987857.52,1,0,11.33,ACADEMIC_TAXPANEL,2025-02-09
2019,CZ,K,MICRO,31.35,18.43,10799739098.92,1990391915.93,1454737278.32,201265586.24,1,1,0,1,-16431484.42,1,0,1.43,NATIONAL_CORPORATE_TAX_ADMIN,2025-08-02
2020,HU,P,LARGE,9.86,8.91,10898004605.71,971012210.37,2678253521.66,129092873.25,1,0,1,1,5267131.51,1,0,1.47,OECD_CBC_SUMMARY,2025-12-06
2021,NL,U,MEDIUM,30.78,19.4,10965134542.16,2127236101.18,3495807093.36,172100437.68,0,0,0,1,25492344.59,0,0,8.76,EU_TAX_OBSERVATORY,2024-03-22
2022,SE,E,SMALL,23.82,21.73,10998462294.71,2389965856.64,3464720849.32,308644964.38,0,0,1,1,52594403.98,1,0,2.06,ACADEMIC_TAXPANEL,2024-12-17
2023,DK,J,MICRO,18.96,10.76,11090602578.86,1193348837.49,1463053766.35,30471348.14,0,1,0,1,-12508597.02,1,0,9.22,NATIONAL_CORPORATE_TAX_ADMIN,2026-01-23
2024,IE,O,LARGE,28.77,25.0,11179249909.04,2794812477.26,2862646089.49,159884241.46,0,1,1,1,-9805186.92,0,0,9.89,OECD_CBC_SUMMARY,2025-08-12
2025,PL,T,MEDIUM,11.19,8.75,11222926037.69,982006028.3,3867634289.94,128724731.95,1,0,1,1,23524290.42,1,1,0.83,EU_TAX_OBSERVATORY,2025-04-18
2026,AT,D,SMALL,26.01,15.0,11330947211.54,1699642081.73,3786529840.21,134260315.29,0,0,0,1,31765104.31,0,0,6.9,ACADEMIC_TAXPANEL,2024-09-16
2010,EE,I,MICRO,16.27,9.91,11396045752.35,1129348134.06,805620264.54,64250284.53,1,0,1,1,74913796.5,0,0,2.9,NATIONAL_CORPORATE_TAX_ADMIN,2024-03-16
2011,IT,N,LARGE,18.88,12.6,11487641494.1,1447442828.26,716936652.03,69389002.35,0,0,1,1,109259444.57,0,0,2.33,OECD_CBC_SUMMARY,2024-11-26
2012,PT,S,MEDIUM,33.22,25.06,11518168388.49,2886452998.16,4650747430.84,592192023.36,1,0,1,1,24453355.35,0,0,12.18,EU_TAX_OBSERVATORY,2025-06-25
2013,BE,C,SMALL,28.12,25.66,11594607975.46,2975176406.5,4604633329.8,621743311.59,1,0,1,1,-60438540.38,0,0,6.47,ACADEMIC_TAXPANEL,2024-11-05
