civ_ep_elections_election_year,civ_ep_elections_member_state_iso2,civ_ep_elections_constituency_code,civ_ep_elections_party_id,civ_ep_elections_party_group_eu_parl,civ_ep_elections_candidate_id_hash,civ_ep_elections_list_type_code,civ_ep_elections_votes_count,civ_ep_elections_vote_share_pct,civ_ep_elections_seats_won_count,civ_ep_elections_turnout_pct,civ_ep_elections_eligible_voters_count,civ_ep_elections_postal_vote_share_pct,civ_ep_elections_early_vote_flag,civ_ep_elections_gender_of_candidate,civ_ep_elections_age_of_candidate,civ_ep_elections_mep_term_start_date,civ_ep_elections_mep_term_end_date,civ_ep_elections_data_source,civ_ep_elections_data_extract_date
2024,IT,IT_EP_08,IT_P20,NI,fe38d0716509a4b4da73e84e,PREFERENTIAL,158145,12.599,7,66.63,1883891,1.63,1,F,40,2024-07-01,2029-06-30,ACADEMIC_ELECTIONS_DB,2024-02-25
2004,NL,NL_EP_09,NL_P21,ID,c0a9a9c26753caadd711fa93,OPEN_LIST,89839,10.839,5,41.32,2005884,1.16,1,X,38,2004-07-01,2009-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-09-22
2009,SI,SI_EP_10,SI_P22,GREENS_EFA,3e84b71210d4bcb5a16d03ea,CLOSED_LIST,90556,11.7,1,39.11,1979017,10.77,1,M,42,2009-07-01,2014-06-30,EUROPARL_RESULTS_PORTAL,2026-02-03
2014,BG,BG_EP_11,BG_P23,S&D,fb5d117f46b257e42ef2bd47,MIXED,15425,1.223,0,59.21,2129762,4.48,0,F,40,2014-07-01,2019-06-30,ACADEMIC_ELECTIONS_DB,2026-02-13
2019,EE,EE_EP_12,EE_P24,OTHER,f9b4b27664dcdea885d12597,STV,178125,9.822,1,83.63,2168476,14.1,1,X,43,2019-07-01,2024-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-02-24
2024,HU,HU_EP_01,HU_P25,LEFT,2fa8787472ac257d586b0870,PREFERENTIAL,226633,12.579,3,81.51,2210329,13.93,0,M,46,2024-07-01,2029-06-30,EUROPARL_RESULTS_PORTAL,2024-03-11
2004,LU,LU_EP_02,LU_P26,ECR,c759e4a9a7475d9c0e382c04,OPEN_LIST,266643,16.539,7,71.33,2260267,26.01,0,F,47,2004-07-01,2009-06-30,ACADEMIC_ELECTIONS_DB,2024-06-16
2009,RO,RO_EP_03,RO_P27,RENEW,ffbb7dcc94dc51195eb21d56,CLOSED_LIST,14279,1.037,0,56.9,2419126,4.71,1,X,45,2009-07-01,2014-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2026-01-24
2014,AT,AT_EP_04,AT_P28,EPP,60f509f92dbdd6cdfd303add,MIXED,166569,15.988,2,42.68,2441118,16.99,0,M,48,2014-07-01,2019-06-30,EUROPARL_RESULTS_PORTAL,2024-12-29
2019,CZ,CZ_EP_05,CZ_P01,NI,df5d27607722a0c2101580a8,STV,67068,6.647,2,40.35,2500738,4.85,0,F,49,2019-07-01,2024-06-30,ACADEMIC_ELECTIONS_DB,2024-12-10
2024,DE,DE_EP_06,DE_P02,ID,f0ed1cc647c1aa1758027198,PREFERENTIAL,13509,1.212,0,40.0,2787020,37.58,0,X,49,2024-07-01,2029-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-03-29
2004,LV,LV_EP_07,LV_P03,GREENS_EFA,7a44e633b3a48b81984396ea,OPEN_LIST,133102,8.288,2,58.8,2731177,9.94,1,M,51,2004-07-01,2009-06-30,EUROPARL_RESULTS_PORTAL,2025-07-08
2009,PL,PL_EP_08,PL_P04,S&D,96b9392e995f74dcdf76b0dc,CLOSED_LIST,29690,1.308,0,80.07,2835949,2.04,0,F,50,2009-07-01,2014-06-30,ACADEMIC_ELECTIONS_DB,2025-03-03
2014,ES,ES_EP_09,ES_P05,OTHER,b47f3525f7f95ef88872b553,MIXED,205537,9.848,4,72.95,2860923,13.23,1,X,54,2014-07-01,2019-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-09-22
2019,HR,HR_EP_10,HR_P06,LEFT,1464545a107bfd36d2dff7f9,STV,282507,12.174,0,77.19,3006202,26.52,0,M,52,2019-07-01,2024-06-30,EUROPARL_RESULTS_PORTAL,2024-12-09
2024,FI,FI_EP_11,FI_P07,ECR,1f4153f1a6fb253f58b491b2,PREFERENTIAL,68576,3.033,0,70.94,3187135,7.11,0,F,53,2024-07-01,2029-06-30,ACADEMIC_ELECTIONS_DB,2025-12-10
2004,IE,IE_EP_12,IE_P08,RENEW,a5117c70739ef2ad4df9abe9,OPEN_LIST,258520,9.816,5,81.05,3249378,20.07,0,X,56,2004-07-01,2009-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-05-31
2009,MT,MT_EP_01,MT_P09,EPP,d9b43fc1908f1225a3fbc21e,CLOSED_LIST,272203,15.026,8,54.6,3317768,14.79,0,M,58,2009-07-01,2014-06-30,EUROPARL_RESULTS_PORTAL,2024-07-14
2014,SK,SK_EP_02,SK_P10,NI,055ef8acc35d6648d0ac0329,MIXED,38497,3.433,1,33.21,3376971,21.6,0,F,55,2014-07-01,2019-06-30,ACADEMIC_ELECTIONS_DB,2024-05-28
2019,BE,BE_EP_03,BE_P11,ID,2f7e02f5bbcd16c64dc7aef4,STV,89240,3.549,1,72.97,3445490,30.15,0,X,56,2019-07-01,2024-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2026-01-26
2024,DK,DK_EP_04,DK_P12,GREENS_EFA,ef10e73d551f7f3b6b8c59f2,PREFERENTIAL,30089,2.591,1,31.78,3654597,12.79,0,M,57,2024-07-01,2029-06-30,EUROPARL_RESULTS_PORTAL,2025-10-09
2004,GR,GR_EP_05,GR_P13,S&D,0491e83cb81af615cd5f6bf9,OPEN_LIST,55251,2.499,1,62.61,3531744,35.0,0,F,61,2004-07-01,2009-06-30,ACADEMIC_ELECTIONS_DB,2025-06-21
2009,LT,LT_EP_06,LT_P14,OTHER,fe7eede32e43de36eac7cb16,CLOSED_LIST,329112,12.112,3,71.91,3778630,26.33,1,X,61,2009-07-01,2014-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-08-21
2014,PT,PT_EP_07,PT_P15,LEFT,c76b401ceb6eb5d99e5f3650,MIXED,13146,0.63,0,56.09,3722314,36.4,0,M,64,2014-07-01,2019-06-30,EUROPARL_RESULTS_PORTAL,2026-02-14
2019,SE,SE_EP_08,SE_P16,ECR,86e859ff43361d70f0f5c56b,STV,334112,11.05,3,80.31,3764951,43.64,0,F,64,2019-07-01,2024-06-30,ACADEMIC_ELECTIONS_DB,2024-01-29
2024,CY,CY_EP_09,CY_P17,RENEW,87187449bec7fec29751cd7e,PREFERENTIAL,108983,8.275,0,33.17,3970466,28.81,0,X,63,2024-07-01,2029-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-08-10
2004,FR,FR_EP_10,FR_P18,EPP,099a5148b1b31df0fe9b1d1f,OPEN_LIST,39618,1.639,1,60.73,3981217,36.27,0,M,64,2004-07-01,2009-06-30,EUROPARL_RESULTS_PORTAL,2025-02-06
2009,IT,IT_EP_11,IT_P19,NI,2022998da2974764e66642ac,CLOSED_LIST,26129,0.995,0,62.55,4198686,28.85,0,F,64,2009-07-01,2014-06-30,ACADEMIC_ELECTIONS_DB,2025-09-11
2014,NL,NL_EP_12,NL_P20,ID,4d88b62b2935613544c4d308,MIXED,144851,6.618,2,50.6,4325460,33.71,1,X,65,2014-07-01,2019-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-02-08
2019,SI,SI_EP_01,SI_P21,GREENS_EFA,746d46ef43ec62258f58d497,STV,418240,14.095,1,70.17,4228706,37.62,0,M,69,2019-07-01,2024-06-30,EUROPARL_RESULTS_PORTAL,2025-04-01
2024,BG,BG_EP_02,BG_P22,S&D,fa20a505b97f998cf3a97baa,PREFERENTIAL,114210,3.273,1,80.62,4327832,7.45,0,F,70,2024-07-01,2029-06-30,ACADEMIC_ELECTIONS_DB,2025-01-10
2004,EE,EE_EP_03,EE_P23,OTHER,d844d4ba75fe556a46bde982,OPEN_LIST,57783,4.581,1,28.11,4486959,15.28,0,X,68,2004-07-01,2009-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-01-24
2009,HU,HU_EP_04,HU_P24,LEFT,16c6adc3bc9fc018d2ce375c,CLOSED_LIST,47458,1.647,1,61.99,4646990,15.53,0,M,72,2009-07-01,2014-06-30,EUROPARL_RESULTS_PORTAL,2024-09-07
2014,LU,LU_EP_05,LU_P25,ECR,0c1e54da129386bca4e15f60,MIXED,99373,2.461,1,85.25,4737068,18.66,0,F,70,2014-07-01,2019-06-30,ACADEMIC_ELECTIONS_DB,2025-08-06
2019,RO,RO_EP_06,RO_P26,RENEW,88a95d6e00eef70293644f75,STV,218164,11.21,6,41.84,4651591,14.92,0,X,72,2019-07-01,2024-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-04-14
2024,AT,AT_EP_07,AT_P27,EPP,68ed132fcb143fbbf8284c30,PREFERENTIAL,461969,12.242,6,77.18,4889448,23.54,0,M,74,2024-07-01,2029-06-30,EUROPARL_RESULTS_PORTAL,2025-10-22
2004,CZ,CZ_EP_08,CZ_P28,NI,ce63f97ee4b5beef6d5ddf79,OPEN_LIST,283028,13.182,5,42.96,4997851,2.69,0,F,74,2004-07-01,2009-06-30,ACADEMIC_ELECTIONS_DB,2025-12-29
2009,DE,DE_EP_09,DE_P01,ID,acf3e5b94f9b90c76495c9fc,CLOSED_LIST,204531,9.328,4,44.89,4884614,27.39,0,X,77,2009-07-01,2014-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-05-05
2014,LV,LV_EP_10,LV_P02,GREENS_EFA,16aa59dd789b6d91506f5419,MIXED,84810,3.885,1,42.26,5165465,2.75,0,M,79,2014-07-01,2019-06-30,EUROPARL_RESULTS_PORTAL,2024-09-19
2019,PL,PL_EP_11,PL_P03,S&D,8b68a0b585bd3d6d754386dc,STV,116887,3.179,2,72.78,5051846,15.8,0,F,80,2019-07-01,2024-06-30,ACADEMIC_ELECTIONS_DB,2024-05-14
2024,ES,ES_EP_12,ES_P04,OTHER,2b5beaa331263e0b66021ac3,PREFERENTIAL,267318,14.695,7,35.07,5187255,9.79,0,X,80,2024-07-01,2029-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-05-01
2004,HR,HR_EP_01,HR_P05,LEFT,60700a30dca463aa61705786,OPEN_LIST,22394,1.215,0,35.32,5216442,0.37,0,M,79,2004-07-01,2009-06-30,EUROPARL_RESULTS_PORTAL,2025-10-27
2009,FI,FI_EP_02,FI_P06,ECR,eadcb6d6deba12d432b0c51a,CLOSED_LIST,45573,2.352,0,35.91,5394799,22.97,0,F,80,2009-07-01,2014-06-30,ACADEMIC_ELECTIONS_DB,2025-06-26
2014,IE,IE_EP_03,IE_P07,RENEW,fdf3ce11418bdb067d6fa06e,MIXED,260458,6.575,1,72.99,5427439,13.65,0,X,80,2014-07-01,2019-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-06-12
2019,MT,MT_EP_04,MT_P08,EPP,aacb36dec6323f9379c89f67,STV,53782,2.556,0,37.5,5609997,42.07,0,M,84,2019-07-01,2024-06-30,EUROPARL_RESULTS_PORTAL,2025-09-27
2024,SK,SK_EP_05,SK_P09,NI,6296dd854ca7ca9580400282,PREFERENTIAL,426523,15.756,3,47.58,5689327,20.84,0,F,84,2024-07-01,2029-06-30,ACADEMIC_ELECTIONS_DB,2025-10-28
2004,BE,BE_EP_06,BE_P10,ID,0eb1997355cb6c6afde444bd,OPEN_LIST,68139,1.508,0,79.29,5698791,34.4,1,X,85,2004-07-01,2009-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-01-30
2009,DK,DK_EP_07,DK_P11,GREENS_EFA,53746983a72d4162b2b60d14,CLOSED_LIST,748889,16.667,8,77.9,5767809,22.98,1,M,85,2009-07-01,2014-06-30,EUROPARL_RESULTS_PORTAL,2025-09-17
2014,GR,GR_EP_08,GR_P12,S&D,4501042d4db087ad95a6865c,MIXED,251944,5.169,0,83.77,5817942,2.14,0,F,87,2014-07-01,2019-06-30,ACADEMIC_ELECTIONS_DB,2025-04-26
2019,LT,LT_EP_09,LT_P13,OTHER,eb517f318dd1da184e6354b2,STV,107418,2.466,0,72.94,5972780,24.29,0,X,21,2019-07-01,2024-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-10-25
2024,PT,PT_EP_10,PT_P14,LEFT,08b8ff669f5af3ca2a377ca5,PREFERENTIAL,437795,9.784,1,72.76,6149816,40.49,0,M,20,2024-07-01,2029-06-30,EUROPARL_RESULTS_PORTAL,2025-05-01
2004,SE,SE_EP_11,SE_P15,ECR,e0130da21f86ee8b3c097d37,OPEN_LIST,304796,6.066,3,82.26,6108188,44.6,1,F,20,2004-07-01,2009-06-30,ACADEMIC_ELECTIONS_DB,2024-07-10
2009,CY,CY_EP_12,CY_P16,RENEW,c592ae21c845c0ed63d45c07,CLOSED_LIST,90907,1.741,0,84.62,6171893,26.4,0,X,23,2009-07-01,2014-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-07-29
2014,FR,FR_EP_01,FR_P17,EPP,7b4aeac8c088496aa0a32d68,MIXED,132374,3.075,1,68.24,6307808,30.27,0,M,24,2014-07-01,2019-06-30,EUROPARL_RESULTS_PORTAL,2024-01-17
2019,IT,IT_EP_02,IT_P18,NI,96f0f83b679c5f07ff72eb60,STV,353316,7.007,2,77.97,6466978,18.44,0,F,26,2019-07-01,2024-06-30,ACADEMIC_ELECTIONS_DB,2024-07-19
2024,NL,NL_EP_03,NL_P19,ID,1677e444de7157b96dc19802,PREFERENTIAL,409520,17.481,10,36.44,6428917,2.06,0,X,25,2024-07-01,2029-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-06-23
2004,SI,SI_EP_04,SI_P20,GREENS_EFA,c8894a305e7e97af5b16f740,OPEN_LIST,547820,15.4,4,54.47,6530839,26.07,1,M,25,2004-07-01,2009-06-30,EUROPARL_RESULTS_PORTAL,2024-04-22
2009,BG,BG_EP_05,BG_P21,S&D,8e9cd4a0a73f0c99bf7f5ecc,CLOSED_LIST,361142,11.685,2,46.94,6584223,38.67,0,F,28,2009-07-01,2014-06-30,ACADEMIC_ELECTIONS_DB,2026-02-18
2014,EE,EE_EP_06,EE_P22,OTHER,7bdfaf8557f4fecfdfd4f127,MIXED,311363,6.911,3,66.32,6793464,28.19,0,X,30,2014-07-01,2019-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-12-09
2019,HU,HU_EP_07,HU_P23,LEFT,ef4961dd749950aebaad1c05,STV,30519,1.272,0,34.57,6942080,19.99,0,M,30,2019-07-01,2024-06-30,EUROPARL_RESULTS_PORTAL,2024-05-20
2024,LU,LU_EP_08,LU_P24,ECR,570fdb08548edc25e3ff2f65,PREFERENTIAL,497051,8.645,3,82.11,7002300,40.94,0,F,29,2024-07-01,2029-06-30,ACADEMIC_ELECTIONS_DB,2025-01-13
2004,RO,RO_EP_09,RO_P25,RENEW,17e142b637b64142db087e65,OPEN_LIST,971079,17.625,2,79.03,6971797,35.12,1,X,32,2004-07-01,2009-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2026-01-12
2009,AT,AT_EP_10,AT_P26,EPP,779b2d38bbf94f667ce9b04d,CLOSED_LIST,500279,11.25,3,62.08,7163347,13.46,0,M,34,2009-07-01,2014-06-30,EUROPARL_RESULTS_PORTAL,2025-06-23
2014,CZ,CZ_EP_11,CZ_P27,NI,1eccaef0ff1adebcdebf09c3,MIXED,511592,8.539,5,82.62,7251368,6.69,0,F,33,2014-07-01,2019-06-30,ACADEMIC_ELECTIONS_DB,2025-04-05
2019,DE,DE_EP_12,DE_P28,ID,4c51bc929aa4ed20d094a5f7,STV,513029,16.403,1,42.94,7283603,37.66,0,X,33,2019-07-01,2024-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2026-01-20
2024,LV,LV_EP_01,LV_P01,GREENS_EFA,671e19eafd225568d81b0f97,PREFERENTIAL,605400,9.886,1,84.51,7246618,18.4,0,M,36,2024-07-01,2029-06-30,EUROPARL_RESULTS_PORTAL,2025-09-08
2004,PL,PL_EP_02,PL_P02,S&D,1ed104543aa7824abcd3bd8d,OPEN_LIST,60599,2.67,1,30.52,7436480,18.22,0,F,37,2004-07-01,2009-06-30,ACADEMIC_ELECTIONS_DB,2025-12-04
2009,ES,ES_EP_03,ES_P03,OTHER,ced6e7632f5e27c8b423b43a,CLOSED_LIST,80077,2.541,1,41.41,7609013,42.53,1,X,40,2009-07-01,2014-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-06-28
2014,HR,HR_EP_04,HR_P04,LEFT,4c702adb2c009b791b900ccd,MIXED,159638,6.768,2,30.49,7736562,23.79,1,M,39,2014-07-01,2019-06-30,EUROPARL_RESULTS_PORTAL,2026-02-07
2019,FI,FI_EP_05,FI_P05,ECR,26ebf5452a5ecac6de8af4db,STV,378787,16.98,9,29.25,7626421,20.73,0,F,39,2019-07-01,2024-06-30,ACADEMIC_ELECTIONS_DB,2024-05-18
2024,IE,IE_EP_06,IE_P06,RENEW,0eafac4a55ef615a00ae1e2e,PREFERENTIAL,631205,15.808,1,51.71,7721946,30.31,0,X,41,2024-07-01,2029-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-12-10
2004,MT,MT_EP_07,MT_P07,EPP,edad67246caef88595a6b417,OPEN_LIST,833207,17.453,8,61.18,7803117,3.41,0,M,44,2004-07-01,2009-06-30,EUROPARL_RESULTS_PORTAL,2024-08-15
2009,SK,SK_EP_08,SK_P08,NI,b6a90a96cd5dd2cb18d5b1d7,CLOSED_LIST,130288,3.98,0,41.77,7837434,43.48,1,F,43,2009-07-01,2014-06-30,ACADEMIC_ELECTIONS_DB,2024-07-23
2014,BE,BE_EP_09,BE_P09,ID,27e6aa6511711a02e2bc92e6,MIXED,166336,7.245,2,28.56,8039006,15.98,1,X,44,2014-07-01,2019-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-01-10
2019,DK,DK_EP_10,DK_P10,GREENS_EFA,bad95730b72274d379057faf,STV,252328,5.523,2,56.76,8048805,25.76,0,M,44,2019-07-01,2024-06-30,EUROPARL_RESULTS_PORTAL,2026-02-15
2024,GR,GR_EP_11,GR_P11,S&D,40d1b6bb2a0de89dd9cd2ed4,PREFERENTIAL,572050,14.377,7,49.18,8090340,6.7,0,F,47,2024-07-01,2029-06-30,ACADEMIC_ELECTIONS_DB,2024-01-23
2004,LT,LT_EP_12,LT_P12,OTHER,780aff0ae0819b1091455024,OPEN_LIST,455252,14.117,2,38.38,8402301,34.24,0,X,48,2004-07-01,2009-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-03-20
2009,PT,PT_EP_01,PT_P13,LEFT,1c0be08ec64a6e13b3afaa2e,CLOSED_LIST,567831,12.047,1,56.05,8409545,31.47,1,M,48,2009-07-01,2014-06-30,EUROPARL_RESULTS_PORTAL,2025-12-19
2014,SE,SE_EP_02,SE_P14,ECR,5aac7a8285541572a77fcf11,MIXED,214585,3.029,0,84.21,8411371,17.68,0,F,50,2014-07-01,2019-06-30,ACADEMIC_ELECTIONS_DB,2024-04-27
2019,CY,CY_EP_03,CY_P15,RENEW,c11391079c2510f6898a2baf,STV,13322,0.426,0,37.02,8453081,28.3,0,X,51,2019-07-01,2024-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-11-23
2024,FR,FR_EP_04,FR_P16,EPP,4ffebbcb45c5013aae3f46ae,PREFERENTIAL,389269,9.06,3,50.23,8553889,8.5,0,M,49,2024-07-01,2029-06-30,EUROPARL_RESULTS_PORTAL,2025-10-23
2004,IT,IT_EP_05,IT_P17,NI,838994ede1cbb57029e44b6a,OPEN_LIST,303343,5.168,1,66.81,8785590,21.86,0,F,52,2004-07-01,2009-06-30,ACADEMIC_ELECTIONS_DB,2025-03-31
2009,NL,NL_EP_06,NL_P18,ID,cac66f0102ebdec93df63523,CLOSED_LIST,114917,3.669,2,35.51,8819433,34.21,1,X,52,2009-07-01,2014-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-04-26
2014,SI,SI_EP_07,SI_P19,GREENS_EFA,84c55361af278c8ed737e745,MIXED,56311,1.186,0,52.92,8975101,23.48,0,M,56,2014-07-01,2019-06-30,EUROPARL_RESULTS_PORTAL,2025-09-07
2019,BG,BG_EP_08,BG_P20,S&D,4c93250f7db0270b424301eb,STV,1212055,16.67,7,81.85,8883437,4.2,0,F,55,2019-07-01,2024-06-30,ACADEMIC_ELECTIONS_DB,2024-04-01
2024,EE,EE_EP_09,EE_P21,OTHER,3b9aa4f6f5c4d7124be6b4b2,PREFERENTIAL,709972,16.374,7,47.81,9069257,0.13,0,X,58,2024-07-01,2029-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-02-06
2004,HU,HU_EP_10,HU_P22,LEFT,37393c390a3f1337c9c47362,OPEN_LIST,752203,13.201,2,62.49,9118501,1.99,0,M,59,2004-07-01,2009-06-30,EUROPARL_RESULTS_PORTAL,2024-04-08
2009,LU,LU_EP_11,LU_P23,ECR,f69a4e4e140747eb30008d53,CLOSED_LIST,1066044,17.539,1,65.6,9265475,34.79,1,F,57,2009-07-01,2014-06-30,ACADEMIC_ELECTIONS_DB,2025-11-10
2014,RO,RO_EP_12,RO_P24,RENEW,a6714349035a21535ac30629,MIXED,73253,2.824,1,28.15,9215423,17.18,0,X,61,2014-07-01,2019-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2024-03-29
2019,AT,AT_EP_01,AT_P25,EPP,f654f0f8bdf80e492d960aa3,STV,824285,15.998,1,55.31,9315556,29.5,0,M,61,2019-07-01,2024-06-30,EUROPARL_RESULTS_PORTAL,2024-07-09
2024,CZ,CZ_EP_02,CZ_P26,NI,47b682b16be9d07a74af8935,PREFERENTIAL,459093,7.067,3,68.11,9537679,12.95,0,F,62,2024-07-01,2029-06-30,ACADEMIC_ELECTIONS_DB,2024-09-02
2004,DE,DE_EP_03,DE_P27,ID,525a89121e400b9b9c0f315d,OPEN_LIST,787839,16.055,2,51.51,9526674,17.58,0,X,61,2004-07-01,2009-06-30,NATIONAL_ELECTION_BODY_COMPILATION,2025-06-10
2009,LV,LV_EP_04,LV_P28,GREENS_EFA,710adfbc4e782b2cfff96e2d,CLOSED_LIST,1220301,17.542,7,71.14,9778396,27.39,0,M,65,2009-07-01,2014-06-30,EUROPARL_RESULTS_PORTAL,2025-10-21
2014,PL,PL_EP_05,PL_P01,S&D,016ff173d84c13db36831c89,MIXED,317901,7.702,2,42.23,9773267,29.36,1,F,63,2014-07-01,2019-06-30,ACADEMIC_ELECTIONS_DB,2025-06-01
