travel_passenger_reference_month,travel_passenger_mode_code,travel_passenger_origin_airport_station_code,travel_passenger_destination_airport_station_code,travel_passenger_origin_country_iso2,travel_passenger_destination_country_iso2,travel_passenger_intra_eu_flag,travel_passenger_schengen_flag,travel_passenger_passenger_count,travel_passenger_seat_capacity_count,travel_passenger_load_factor_pct,travel_passenger_avg_fare_eur,travel_passenger_delay_minutes_avg,travel_passenger_cancellation_rate_pct,travel_passenger_co2e_kg_per_passenger,travel_passenger_operator_code,travel_passenger_regulation_261_claims_count,travel_passenger_data_provider,travel_passenger_data_quality_flag,travel_passenger_data_extract_date
2024-07,AIR,AFJ,DMU,HU,IE,1,1,808,1254,64.43,295.68,41.58,2.86,93.601,OPHUIE078,29,AIRLINE_REPORTING,FLAGGED,2025-02-17
2024-08,RAIL,FMOY,KVBP,LU,PL,1,1,547,599,91.32,160.97,11.56,2.65,13.29,OPLUPL079,20,RAIL_OPERATOR_REPORTING,IMPUTED,2025-06-19
2024-09,AIR,GTF,JAQ,RO,AT,1,1,681,1232,55.28,231.82,19.09,5.74,22.779,OPROAT080,35,EUROCONTROL,OK,2025-07-11
2024-10,RAIL,PEOG,UNBX,AT,EE,1,1,661,963,68.64,127.4,19.6,1.98,6.175,OPATEE081,22,ERA,REVISED,2025-03-15
2024-11,AIR,MHB,POM,CZ,IT,1,1,486,862,56.38,129.92,0.95,6.17,11.177,OPCZIT082,21,NATIONAL_AVIATION_AUTH,ESTIMATED,2024-08-19
2024-12,RAIL,ZWOO,EFBF,DE,PT,1,1,658,853,77.14,53.88,0.75,1.24,13.834,OPDEPT083,27,AIRLINE_REPORTING,FLAGGED,2024-08-28
2025-01,AIR,SVX,VCI,LV,BE,1,1,799,992,80.54,311.99,8.35,3.78,43.528,OPLVBE084,23,RAIL_OPERATOR_REPORTING,IMPUTED,2025-10-29
2025-02,RAIL,JOOW,OXBN,PL,FI,1,1,559,790,70.76,90.82,0.77,3.04,1.316,OPPLFI085,21,EUROCONTROL,OK,2026-02-08
2025-03,AIR,YJT,BQE,ES,LV,1,1,728,1122,64.88,155.22,21.29,0.51,80.147,OPESLV086,46,ERA,REVISED,2025-01-09
2025-04,RAIL,TGOE,YPBV,HR,RO,1,1,763,855,89.24,80.06,15.1,2.48,1.813,OPHRRO087,23,NATIONAL_AVIATION_AUTH,ESTIMATED,2025-12-01
2025-05,AIR,EXP,HEA,FI,BG,1,1,674,1049,64.25,98.25,16.05,7.47,79.635,OPFIBG088,25,AIRLINE_REPORTING,FLAGGED,2024-06-16
2025-06,RAIL,DYOM,IHBD,IE,FR,1,0,525,833,63.03,168.28,11.07,1.0,4.967,OPIEFR089,34,RAIL_OPERATOR_REPORTING,IMPUTED,2025-04-03
2025-07,AIR,KLL,NSW,MT,LT,1,1,826,1398,59.08,286.32,17.89,5.64,34.594,OPMTLT090,27,EUROCONTROL,OK,2025-03-11
2025-08,RAIL,NQOU,SZBL,SK,AT,1,1,478,680,70.29,157.51,7.0,1.97,2.88,OPSKAT091,31,ERA,REVISED,2026-01-02
2025-09,AIR,QZH,TGS,BE,HR,1,1,852,1097,77.67,55.65,19.14,7.86,50.764,OPBEHR092,42,NATIONAL_AVIATION_AUTH,ESTIMATED,2026-01-22
2025-10,RAIL,XIOC,CRBT,DK,DE,1,0,798,1004,79.48,123.76,19.21,1.16,8.746,OPDKDE093,30,AIRLINE_REPORTING,FLAGGED,2024-02-28
2025-11,AIR,WND,ZUO,GR,LU,1,1,744,1185,62.78,98.95,54.78,1.5,36.286,OPGRLU094,54,RAIL_OPERATOR_REPORTING,IMPUTED,2025-05-06
2025-12,RAIL,HAOK,MJBB,LT,SI,1,1,669,1167,57.33,122.48,24.42,0.21,8.972,OPLTSI095,40,EUROCONTROL,OK,2024-02-21
2026-01,AIR,CBZ,FIK,PT,CY,1,1,786,879,89.42,75.42,22.71,2.49,87.295,OPPTCY096,31,ERA,REVISED,2025-10-31
2026-02,RAIL,RSOS,WBBJ,SE,GR,1,0,801,1128,71.01,41.76,2.13,3.36,11.406,OPSEGR097,40,NATIONAL_AVIATION_AUTH,ESTIMATED,2025-03-10
2026-03,AIR,IPV,LWG,CY,MT,1,1,850,1062,80.04,125.16,7.05,3.85,28.235,OPCYMT098,34,AIRLINE_REPORTING,FLAGGED,2025-10-30
2026-04,RAIL,BKOA,GTBR,FR,ES,1,1,501,592,84.63,169.87,1.16,0.69,6.027,OPFRES099,44,RAIL_OPERATOR_REPORTING,IMPUTED,2025-08-28
2026-05,AIR,ODR,RKC,IT,CZ,1,1,705,789,89.35,309.13,0.33,3.92,24.227,OPITCZ100,54,EUROCONTROL,OK,2024-05-04
2026-06,RAIL,LCOI,QLBZ,NL,HU,1,0,856,1437,59.57,149.32,4.74,2.3,4.827,OPNLHU101,37,ERA,REVISED,2025-02-09
2026-07,AIR,URN,XYY,SI,NL,1,1,729,904,80.64,87.35,2.02,4.25,60.606,OPSINL102,62,NATIONAL_AVIATION_AUTH,ESTIMATED,2024-08-05
2026-08,RAIL,VUOQ,ADBH,BG,SE,1,1,561,756,74.21,141.23,14.42,2.65,8.22,OPBGSE103,44,AIRLINE_REPORTING,FLAGGED,2025-04-19
2026-09,AIR,AFJ,DMU,EE,DK,1,1,799,1313,60.85,151.21,33.03,0.97,79.63,OPEEDK104,62,RAIL_OPERATOR_REPORTING,IMPUTED,2025-02-11
2026-10,RAIL,FMOY,KVBP,HU,IE,1,1,814,1345,60.52,129.82,23.23,0.23,3.832,OPHUIE105,44,EUROCONTROL,OK,2026-01-21
2026-11,AIR,GTF,JAQ,LU,PL,1,1,688,1213,56.72,95.15,43.98,6.63,34.3,OPLUPL106,66,ERA,REVISED,2024-05-22
2026-12,RAIL,PEOG,UNBX,RO,AT,1,1,853,991,86.07,43.59,7.32,2.94,4.871,OPROAT107,44,NATIONAL_AVIATION_AUTH,ESTIMATED,2024-05-07
2018-01,AIR,MHB,POM,AT,EE,1,1,892,1503,59.35,148.77,12.12,3.82,19.071,OPATEE108,49,AIRLINE_REPORTING,FLAGGED,2024-06-10
2018-02,RAIL,ZWOO,EFBF,CZ,IT,1,1,557,724,76.93,134.69,17.92,1.39,9.129,OPCZIT109,52,RAIL_OPERATOR_REPORTING,IMPUTED,2025-02-26
2018-03,AIR,SVX,VCI,DE,PT,1,1,755,1182,63.87,96.03,6.55,2.7,48.463,OPDEPT110,45,EUROCONTROL,OK,2024-07-21
2018-04,RAIL,JOOW,OXBN,LV,BE,1,1,801,941,85.12,144.2,21.15,1.64,6.1,OPLVBE111,52,ERA,REVISED,2025-01-24
2018-05,AIR,YJT,BQE,PL,FI,1,1,747,962,77.65,95.48,33.83,3.47,62.351,OPPLFI112,56,NATIONAL_AVIATION_AUTH,ESTIMATED,2024-02-11
2018-06,RAIL,TGOE,YPBV,ES,LV,1,1,657,1072,61.29,20.02,13.27,3.08,6.029,OPESLV113,52,AIRLINE_REPORTING,FLAGGED,2025-05-15
2018-07,AIR,EXP,HEA,HR,RO,1,1,665,780,85.26,110.4,30.86,0.96,53.205,OPHRRO114,58,RAIL_OPERATOR_REPORTING,IMPUTED,2024-08-24
2018-08,RAIL,DYOM,IHBD,FI,BG,1,0,906,1454,62.31,112.89,13.78,2.85,6.775,OPFIBG115,51,EUROCONTROL,OK,2024-08-31
2018-09,AIR,KLL,NSW,IE,FR,1,0,760,1233,61.64,368.66,1.7,0.64,91.187,OPIEFR116,70,ERA,REVISED,2024-03-04
2018-10,RAIL,NQOU,SZBL,MT,LT,1,0,897,1012,88.64,169.94,0.77,2.34,11.884,OPMTLT117,61,NATIONAL_AVIATION_AUTH,ESTIMATED,2025-06-20
2018-11,AIR,QZH,TGS,SK,AT,1,1,815,926,88.01,29.21,49.53,3.44,69.469,OPSKAT118,72,AIRLINE_REPORTING,FLAGGED,2025-04-20
2018-12,RAIL,XIOC,CRBT,BE,HR,1,1,750,1062,70.62,174.34,11.75,0.72,8.446,OPBEHR119,59,RAIL_OPERATOR_REPORTING,IMPUTED,2025-05-09
2019-01,AIR,WND,ZUO,DK,DE,1,0,819,1250,65.52,156.1,51.09,0.97,85.052,OPDKDE120,79,EUROCONTROL,OK,2026-01-06
2019-02,RAIL,HAOK,MJBB,GR,LU,1,1,749,877,85.4,67.81,9.99,1.53,6.622,OPGRLU121,60,ERA,REVISED,2025-12-05
2019-03,AIR,CBZ,FIK,LT,SI,1,1,705,923,76.38,32.82,21.97,7.41,20.14,OPLTSI122,73,NATIONAL_AVIATION_AUTH,ESTIMATED,2024-06-19
2019-04,RAIL,RSOS,WBBJ,PT,CY,1,1,730,1082,67.47,125.45,23.54,2.6,13.652,OPPTCY123,67,AIRLINE_REPORTING,FLAGGED,2024-01-05
2019-05,AIR,IPV,LWG,SE,GR,1,1,888,1345,66.02,419.92,18.07,0.73,20.873,OPSEGR124,60,RAIL_OPERATOR_REPORTING,IMPUTED,2025-11-16
2019-06,RAIL,BKOA,GTBR,CY,MT,1,0,967,1179,82.02,162.91,7.3,2.95,9.431,OPCYMT125,62,EUROCONTROL,OK,2024-10-08
2019-07,AIR,ODR,RKC,FR,ES,1,1,680,810,83.95,21.52,7.95,3.35,16.514,OPFRES126,82,ERA,REVISED,2025-06-23
2019-08,RAIL,LCOI,QLBZ,IT,CZ,1,1,582,740,78.65,98.72,21.43,1.07,1.305,OPITCZ127,71,NATIONAL_AVIATION_AUTH,ESTIMATED,2024-12-29
2019-09,AIR,URN,XYY,NL,HU,1,1,800,1358,58.91,327.84,22.22,4.95,76.21,OPNLHU128,65,AIRLINE_REPORTING,FLAGGED,2025-07-31
2019-10,RAIL,VUOQ,ADBH,SI,NL,1,1,696,888,78.38,17.45,4.94,2.09,6.697,OPSINL129,68,RAIL_OPERATOR_REPORTING,IMPUTED,2026-02-04
2019-11,AIR,AFJ,DMU,BG,SE,1,1,713,985,72.39,291.83,20.82,6.86,86.464,OPBGSE130,23,EUROCONTROL,OK,2024-09-29
2019-12,RAIL,FMOY,KVBP,EE,DK,1,0,935,1051,88.96,27.83,14.26,1.71,4.524,OPEEDK131,4,ERA,REVISED,2024-06-19
2020-01,AIR,GTF,JAQ,HU,IE,1,1,912,1180,77.29,106.14,47.55,7.89,90.202,OPHUIE132,10,NATIONAL_AVIATION_AUTH,ESTIMATED,2024-12-08
2020-02,RAIL,PEOG,UNBX,LU,PL,1,1,673,771,87.29,160.52,14.99,2.81,9.793,OPLUPL133,8,AIRLINE_REPORTING,FLAGGED,2025-02-28
2020-03,AIR,MHB,POM,RO,AT,1,1,967,1108,87.27,269.91,7.34,1.71,89.449,OPROAT134,4,RAIL_OPERATOR_REPORTING,IMPUTED,2026-01-27
2020-04,RAIL,ZWOO,EFBF,AT,EE,1,1,695,1181,58.85,130.63,17.07,2.07,8.853,OPATEE135,9,EUROCONTROL,OK,2024-08-26
2020-05,AIR,SVX,VCI,CZ,IT,1,1,652,831,78.46,79.1,0.33,5.75,18.263,OPCZIT136,19,ERA,REVISED,2024-05-05
2020-06,RAIL,JOOW,OXBN,DE,PT,1,1,991,1333,74.34,115.19,16.44,3.26,4.074,OPDEPT137,11,NATIONAL_AVIATION_AUTH,ESTIMATED,2024-08-12
2020-07,AIR,YJT,BQE,LV,BE,1,1,824,1315,62.66,346.33,16.88,2.67,93.526,OPLVBE138,10,AIRLINE_REPORTING,FLAGGED,2024-07-08
2020-08,RAIL,TGOE,YPBV,PL,FI,1,1,673,771,87.29,30.05,14.65,2.12,1.18,OPPLFI139,13,RAIL_OPERATOR_REPORTING,IMPUTED,2025-06-20
2020-09,AIR,EXP,HEA,ES,LV,1,0,965,1223,78.9,43.32,41.61,3.4,41.446,OPESLV140,35,EUROCONTROL,OK,2026-01-10
2020-10,RAIL,DYOM,IHBD,HR,RO,1,1,942,1168,80.65,52.88,21.45,3.25,4.791,OPHRRO141,14,ERA,REVISED,2024-09-01
2020-11,AIR,KLL,NSW,FI,BG,1,0,930,1264,73.58,338.08,47.83,5.14,92.373,OPFIBG142,20,NATIONAL_AVIATION_AUTH,ESTIMATED,2025-05-17
2020-12,RAIL,NQOU,SZBL,IE,FR,1,1,768,883,86.98,132.75,1.11,1.01,6.723,OPIEFR143,14,AIRLINE_REPORTING,FLAGGED,2025-06-21
2021-01,AIR,QZH,TGS,MT,LT,1,0,1017,1426,71.32,354.23,2.11,0.74,42.342,OPMTLT144,25,RAIL_OPERATOR_REPORTING,IMPUTED,2024-04-05
2021-02,RAIL,XIOC,CRBT,SK,AT,1,1,911,1197,76.11,96.1,19.9,1.19,5.996,OPSKAT145,22,EUROCONTROL,OK,2024-12-02
2021-03,AIR,WND,ZUO,BE,HR,1,1,794,1171,67.81,115.64,17.02,2.07,88.441,OPBEHR146,31,ERA,REVISED,2025-01-31
2021-04,RAIL,HAOK,MJBB,DK,DE,1,0,825,1378,59.87,69.27,9.79,2.45,1.142,OPDKDE147,20,NATIONAL_AVIATION_AUTH,ESTIMATED,2025-01-11
2021-05,AIR,CBZ,FIK,GR,LU,1,0,759,1298,58.47,141.16,45.01,3.94,68.616,OPGRLU148,22,AIRLINE_REPORTING,FLAGGED,2024-02-07
2021-06,RAIL,RSOS,WBBJ,LT,SI,1,0,763,1241,61.48,39.53,6.94,2.96,11.366,OPLTSI149,26,RAIL_OPERATOR_REPORTING,IMPUTED,2024-01-07
2021-07,AIR,IPV,LWG,PT,CY,1,1,893,1013,88.15,370.42,13.92,0.35,24.866,OPPTCY150,34,EUROCONTROL,OK,2025-01-06
