biz_output_reporting_quarter,biz_output_industry_cluster_code,biz_output_shipment_value_inr,biz_output_new_orders_value_inr,biz_output_capacity_utilization_pct,biz_output_unit_labor_cost_index,biz_output_export_share_pct,biz_output_import_penetration_pct,biz_output_domestic_market_share_pct,biz_output_price_competitiveness_index,biz_output_innovation_intensity_score,biz_output_capital_investment_inr,biz_output_r_and_d_spend_inr,biz_output_automation_adoption_index,biz_output_supply_chain_concentration_index,biz_output_supplier_risk_score,biz_output_customer_concentration_index,biz_output_energy_intensity_btu_output,biz_output_carbon_intensity_tons_output,biz_output_benchmark_peer_group
2023Q2,CL3061,43282646764.92,11356539645.86,56.62,113.37,36.59,4.46,68.39,112.02,5.67,19918233323.4,1148169537.49,53.36,0.1636,92.76,0.9191,75148.66,0.1406,tier1_metros
2026Q4,CL1853,26088245113.98,3901298792.43,73.74,90.28,18.93,17.72,83.99,85.8,39.7,16297291759.63,2545538785.28,36.21,0.7047,58.08,0.486,22296.22,0.1794,west
2017Q3,CL7588,151042230319.02,21432121963.01,63.91,100.49,13.81,14.59,70.54,128.01,27.27,26156161682.14,7654738232.19,11.08,0.27,30.38,0.3187,30350.5,0.3251,rural
2018Q2,CL7226,20579596857.37,7628805095.5,70.94,84.14,4.87,33.33,94.69,108.16,37.04,89574716206.1,6017667467.74,23.33,0.5594,39.3,0.8123,100064.21,0.6756,south
2020Q3,CL2619,108324525992.61,10630604295.71,63.69,114.72,11.36,10.91,89.81,118.72,43.84,18221587853.83,1283988910.92,86.13,0.4765,52.12,0.2702,9753.26,0.4246,south
2024Q3,CL3054,20940285759.03,1047014287.95,58.84,118.01,12.45,21.77,93.22,102.01,52.14,17385109824.13,375166940.38,46.2,0.5112,49.37,0.2442,62331.37,0.4404,tier2_cities
2026Q4,CL6508,65564208302.03,12587277032.4,74.89,99.45,20.24,11.4,79.2,100.76,59.76,26632579675.42,2647335534.02,54.95,0.1566,51.55,0.1699,55232.52,0.1772,domestic_focused
2026Q2,CL8767,35174726714.11,10443168461.84,90.36,112.01,15.27,28.97,88.43,102.6,49.93,29274383393.07,35408330406.89,28.86,0.1225,72.04,0.083,10377.44,0.1556,export_oriented
2022Q2,CL9534,45241097103.52,13185768141.07,83.55,111.88,33.7,11.18,67.44,102.43,46.08,34604268529.85,2801147441.3,28.7,0.4563,54.95,0.4435,4686.01,0.289,west
2026Q3,CL4785,57664897244.77,10999843062.78,96.59,95.79,13.25,27.94,88.45,111.94,80.02,28367959185.15,1018262736.84,36.74,0.1145,57.56,0.1486,16758.68,0.0854,export_oriented
2023Q4,CL7494,78640695227.34,11064460179.76,63.67,91.14,35.77,15.18,67.3,127.31,32.25,8443233777.0,21280339120.14,52.12,0.2126,61.88,0.3731,88955.64,0.1677,tier1_metros
2018Q4,CL2338,18055075106.87,2652601246.43,84.58,93.45,14.8,9.43,81.9,88.58,72.42,23215341149.57,3457270868.74,37.26,0.4513,46.88,0.3833,11590.79,0.073,export_oriented
2023Q3,CL9697,72241145439.71,16778891936.06,73.41,108.8,15.36,0.18,85.25,86.75,55.42,11037553419.4,3223408683.65,74.03,0.5055,32.58,0.5955,18521.84,0.1113,east
2023Q1,CL9021,22278048101.08,5241753353.46,64.88,89.59,38.93,36.05,66.5,107.02,49.77,18075875959.09,1038414205.47,35.65,0.3102,64.03,0.2732,44290.63,0.0968,east
2019Q3,CL2004,71593868135.09,25418565619.78,54.38,107.9,22.12,5.86,70.96,103.8,55.51,37917126252.28,1118346030.04,75.94,0.1845,60.95,0.3165,107643.36,0.0677,east
2024Q4,CL9469,72236947349.71,23091774572.8,63.74,87.79,28.75,13.95,80.44,108.99,50.12,14614014059.33,669092016.0,62.59,0.295,44.77,0.4709,11024.5,0.0775,domestic_focused
2020Q4,CL3691,51998914835.53,17217163058.94,63.09,111.98,8.13,13.0,100.0,76.26,28.47,11407967954.54,577701599.2,48.91,0.0845,79.87,0.5169,30239.88,0.259,west
2017Q3,CL8219,35790881695.27,10351283945.48,81.11,100.19,23.87,10.75,76.52,100.88,41.19,33185645618.92,3271229326.19,92.07,0.6646,42.56,0.3753,44442.1,0.1293,tier1_metros
2024Q4,CL7326,50749082182.81,14126267489.35,95.2,109.23,25.44,4.11,76.97,93.76,65.24,69411789130.52,1095995692.77,68.08,0.2653,46.0,0.3925,5878.77,0.2176,south
2023Q3,CL8154,138974246528.39,36224996892.12,91.79,99.87,22.62,2.34,77.76,113.51,42.63,15007812424.05,812763003.21,74.04,0.1562,40.38,0.339,85109.16,0.2537,south
2022Q2,CL7342,116408929492.3,34227185517.58,62.8,97.18,1.18,23.77,99.6,117.8,58.46,3857832027.36,1537174086.72,33.02,0.1432,65.28,0.2689,14548.2,0.1325,export_oriented
2016Q3,CL5872,75952141834.33,13368326501.69,72.14,99.11,36.91,33.36,62.11,101.78,42.32,42594673995.86,2091928056.08,52.56,0.3791,33.65,0.1892,120537.56,0.3051,export_oriented
2023Q2,CL3757,89235606042.3,13570646910.0,73.87,95.87,24.41,0.0,64.69,118.69,59.49,111069506336.21,3072979105.42,39.92,0.2563,47.93,0.2253,72512.9,0.2058,tier1_metros
2015Q3,CL3419,46982870886.07,21498677829.69,57.04,96.16,38.14,11.56,58.19,100.2,42.3,13357837701.18,783014384.7,8.72,0.4575,58.34,0.3848,11695.01,0.152,north
2022Q2,CL7122,29915524109.66,5494407214.12,69.13,103.05,15.4,50.53,83.61,97.57,70.93,20879443582.19,1612319333.04,51.21,0.2403,76.75,0.6324,77040.08,1.956,tier1_metros
2015Q4,CL3328,36336823579.71,5253678333.46,80.96,112.26,25.9,34.88,78.41,97.59,34.56,3230473600.37,1202790481.68,81.19,0.2535,62.39,0.4114,36578.5,0.1615,export_oriented
2025Q3,CL8760,37873604376.92,4657556784.86,77.47,95.55,0.93,25.15,100.0,87.4,59.78,8566739769.13,3270040534.22,53.6,0.2481,26.56,0.0687,24706.72,0.9126,rural
2021Q3,CL4558,17539494237.32,4602555394.47,84.43,111.57,28.27,33.94,72.79,90.62,70.29,11385531608.02,632340121.41,15.88,0.379,37.58,0.7286,36303.61,0.1473,domestic_focused
2022Q2,CL6949,18817628107.98,2645809785.41,65.8,105.24,53.22,19.71,44.35,95.48,62.34,47629257548.7,5516420557.76,53.31,0.2703,34.44,0.4083,116568.84,0.1062,domestic_focused
2025Q3,CL6674,50354188837.39,14347561484.8,84.13,122.29,21.97,18.8,84.35,108.51,47.84,21464587302.92,897715620.8,13.49,0.2389,42.54,0.1865,97709.73,0.1741,tier2_cities
2025Q3,CL1916,31586862307.28,6391240540.67,65.05,118.29,34.55,4.74,57.48,93.88,39.64,6688086321.18,1093782008.57,31.45,0.2518,71.13,0.323,75956.72,0.3428,export_oriented
2022Q3,CL4273,109206247777.09,5460312388.85,77.25,101.68,18.99,17.56,76.7,99.59,35.96,9259868727.56,1620674151.28,14.03,0.5773,44.96,0.1827,91972.85,0.1884,west
2016Q3,CL1607,43803378485.84,10350399781.21,82.55,91.74,4.45,13.25,92.4,117.42,60.07,16120124007.23,3029489390.36,16.47,0.2101,13.21,0.1773,31644.2,0.4453,tier2_cities
2017Q4,CL1338,13168118294.97,1903132201.61,73.34,105.63,19.52,28.99,85.88,82.18,38.81,22847660782.5,1294769417.16,81.91,0.1447,31.42,0.5279,91854.07,0.3405,national
2021Q1,CL1429,58079368007.12,14863738436.71,68.16,111.57,28.48,4.76,62.01,98.53,40.37,25660615465.13,1950370184.62,22.49,0.0748,55.58,0.2148,9640.95,0.1545,export_oriented
2017Q2,CL5219,41813326905.6,5604446340.76,91.67,113.51,0.0,28.28,100.0,97.03,22.22,17573815904.91,3017635971.18,50.86,0.2867,75.27,0.0213,15491.83,0.7386,north
2026Q3,CL7789,38750889909.27,12330944376.74,76.19,102.51,9.31,22.04,81.36,103.15,0.0,5963439698.28,7167289465.88,68.12,0.1325,27.6,0.1491,47955.59,0.3826,national
2016Q2,CL2875,19992262038.95,3210681596.46,68.3,87.44,18.47,20.88,82.56,125.61,49.23,3397090851.73,2996744039.1,59.36,0.1845,63.73,0.1672,14170.39,0.1847,tier2_cities
2017Q1,CL2319,18570798662.75,6096086367.71,63.82,126.61,34.45,45.74,66.5,88.99,43.9,11967306924.61,5553077443.6,63.13,0.227,28.71,0.0889,24875.76,0.391,south
2024Q4,CL5901,65463740607.07,14995910753.47,72.82,97.25,13.32,16.91,87.75,110.44,53.83,1855864112.14,1105123146.56,45.85,0.2631,35.39,0.2868,122381.19,0.3005,national
2017Q4,CL4586,51514457085.37,15154992039.3,68.7,99.75,14.12,23.27,84.4,108.78,65.69,44058626956.89,857999655.27,51.34,0.0608,21.98,0.3928,112479.54,0.2996,national
2025Q2,CL5295,37981803952.91,8373730874.08,64.02,109.06,16.38,13.58,75.06,98.31,34.58,38218575734.41,619668174.66,32.1,0.1458,66.37,0.0586,18619.19,2.0059,east
2026Q2,CL8539,141798086806.39,60685309745.32,62.84,105.25,26.08,23.77,75.89,131.92,56.2,7327311874.26,2923714911.46,49.69,0.15,44.17,0.2133,15473.35,0.3425,west
2022Q2,CL5878,79614302995.51,18746150801.68,76.86,101.35,18.21,0.13,86.58,103.34,27.63,38611703085.84,1016463482.73,9.5,0.0547,39.74,0.1134,44150.13,0.5438,south
2023Q4,CL3206,76384153792.06,27601227951.27,70.68,131.07,30.64,20.04,70.17,116.15,68.02,28313347018.01,7326927679.34,35.08,0.1382,54.83,0.5615,14676.73,0.4795,west
2020Q4,CL6038,26286943112.68,2273787667.11,69.94,100.25,25.38,27.64,61.19,94.62,39.37,8654398102.05,2211510892.42,58.22,0.0866,51.43,0.2774,65427.1,0.151,west
2016Q2,CL2288,24099821116.55,4012629075.69,82.94,104.62,24.96,13.75,68.09,115.58,38.96,69623904644.85,2532563863.0,74.69,0.3288,21.48,0.3018,13340.68,0.7469,south
2024Q1,CL8038,89462152747.9,25982023141.93,63.37,84.29,20.08,28.69,83.57,99.5,54.19,91734585606.83,930603002.7,41.65,0.0642,37.89,0.5113,14811.07,0.5623,national
2017Q3,CL6920,159434284500.15,16235058510.26,79.71,96.48,44.55,14.16,63.69,94.72,11.9,31653462547.05,850186211.74,42.45,0.2722,43.93,0.5252,21586.0,0.4367,west
2022Q3,CL8239,28014015134.8,8889742176.0,69.38,95.73,19.06,25.06,79.68,87.01,44.56,23638620831.72,4038769182.42,30.28,0.3488,56.16,0.2241,20906.09,0.4201,east
2023Q2,CL8083,44187490677.32,8536938644.22,75.67,90.69,15.02,14.29,71.13,111.97,46.17,5578287789.33,1611675927.09,53.22,0.2366,37.83,0.1261,35834.08,0.3175,export_oriented
2021Q1,CL4487,182907858341.64,35296186915.18,82.03,87.03,25.48,20.22,80.63,90.04,51.3,15188346887.31,2211917912.83,72.69,0.1369,0.0,0.5021,70726.86,0.5343,national
2015Q1,CL8869,71968759766.12,23576989497.29,84.37,84.87,27.41,28.17,86.4,78.81,62.71,10650303477.59,1007869005.24,100.0,0.0542,49.8,0.5011,16205.46,0.5897,tier1_metros
2021Q3,CL7977,25591878665.47,5823266784.32,86.03,99.58,48.11,19.19,52.65,81.53,53.8,46762937467.5,4664899784.73,40.59,0.3038,51.29,0.3117,18832.45,0.1843,rural
2023Q2,CL9002,32889944724.53,4495160838.52,63.54,110.09,7.4,31.17,96.28,95.58,74.04,5430619591.78,1587626854.18,54.17,0.2257,55.97,0.498,9947.96,0.2004,north
2026Q1,CL5067,65156100837.35,9221860375.92,75.5,120.97,15.87,5.45,88.57,103.16,32.07,25963625318.53,6708435607.28,17.97,0.4425,47.32,0.3909,50963.3,0.3146,domestic_focused
2017Q4,CL6784,33749020281.92,1687451014.1,65.19,93.66,13.74,10.04,85.79,99.34,47.13,132941126647.71,3916459070.38,85.51,0.377,32.1,0.5547,91469.14,0.3439,export_oriented
2025Q4,CL2743,48437834043.4,20210793482.14,77.25,120.5,17.91,15.96,78.95,89.64,62.89,4017201809.82,1147875342.8,16.84,0.2234,32.02,0.1584,24882.28,0.5242,east
2019Q2,CL7054,60487118845.98,16393589614.74,95.09,76.48,30.04,24.93,61.61,82.43,40.46,9034851992.92,617226850.82,59.72,0.3836,41.76,0.8842,27154.15,0.2007,export_oriented
2016Q4,CL7850,9018252300.47,1078634118.31,88.56,113.35,22.37,23.57,68.39,90.02,73.26,3004006473.16,885605401.11,63.82,0.2791,19.95,0.3041,78435.92,0.1517,tier2_cities
2026Q4,CL8624,36819325176.2,8761692147.95,73.25,111.81,13.81,0.0,85.62,90.2,47.31,21751902471.7,709380927.14,24.46,0.6415,13.95,0.4847,16351.56,0.2039,east
2023Q2,CL5939,28063908823.71,7731848453.19,61.7,116.25,15.09,14.24,92.24,98.85,38.51,27560381621.18,5305355907.15,43.96,0.5375,52.13,0.2118,22843.67,2.0874,export_oriented
2015Q4,CL1193,170719247733.33,45029324778.23,70.4,87.46,25.79,32.67,77.9,87.23,21.03,16701530860.6,7362705505.41,71.65,0.4252,20.37,0.5249,54511.68,0.1686,west
2016Q1,CL4930,92776246733.26,17145628959.1,74.29,110.6,25.0,11.38,80.66,113.78,33.61,20540138362.29,3058774934.0,59.44,0.0438,20.62,0.2864,73917.55,0.1591,national
2018Q2,CL6117,18140851627.71,5844461294.5,71.62,125.0,37.57,7.06,61.49,90.09,61.24,48058509732.09,1881735407.57,48.89,0.2326,34.42,0.4242,32080.19,0.0897,tier2_cities
2017Q2,CL8228,130487350572.69,33188234103.99,72.8,85.28,26.04,11.51,65.69,112.07,29.01,37781191988.46,4403828564.75,29.55,0.3634,41.83,0.1171,40992.06,0.1198,tier2_cities
2020Q3,CL9580,65273158557.3,16577397545.55,65.93,111.99,28.88,24.24,57.15,90.34,19.93,26405540231.48,4011449940.87,38.37,0.3292,41.69,0.1619,26558.39,0.2091,tier2_cities
2025Q4,CL1189,64968817180.71,12793577325.21,68.62,107.56,9.72,18.33,92.43,112.48,66.36,5381926496.06,23624072506.35,67.18,0.3053,31.77,0.1879,13639.71,1.0323,tier1_metros
2023Q2,CL8617,33051414159.53,8853617106.75,59.85,117.52,17.48,15.74,72.74,91.62,55.7,13407780729.69,13783493995.01,48.54,0.3114,39.97,0.5869,50674.04,0.3374,export_oriented
2024Q3,CL2502,94649155411.72,18366216594.65,77.52,125.31,10.15,3.71,95.47,122.28,45.09,5601459764.55,1510802277.62,54.43,0.0299,62.33,0.4659,90291.0,0.2823,national
2018Q2,CL3002,26212369207.26,4644601510.8,73.67,97.95,28.57,11.27,71.99,129.33,59.9,21106310084.77,1342066671.41,70.5,0.502,70.7,0.1124,53849.0,0.1484,national
2023Q2,CL2120,21916515630.28,2087010249.03,73.27,92.91,31.83,10.81,77.26,88.8,48.95,10556745545.63,6588327731.51,26.36,0.3099,22.55,0.2661,28418.46,0.5016,west
2021Q4,CL3775,18750303970.85,4044858431.8,74.19,116.53,2.25,0.0,100.0,95.99,38.4,14617996212.03,2242649094.86,67.2,0.2735,73.87,0.2858,40827.96,0.0774,east
2024Q1,CL5371,66900010434.8,6177314262.97,61.97,108.21,19.72,6.11,76.62,100.3,53.1,24246473114.5,808113981.08,56.59,0.0841,71.03,0.7816,254535.75,0.2456,domestic_focused
2016Q1,CL4310,3390316273.77,754985938.37,73.54,121.84,19.89,17.99,74.67,87.83,88.49,23753731399.47,570206256.75,28.48,0.4211,40.07,0.1905,64821.31,0.1921,rural
2022Q4,CL3416,63272387407.61,20528750185.21,76.38,96.1,21.73,29.05,80.22,92.57,45.35,11155195641.71,5289039727.19,23.44,0.3328,40.01,0.3391,21701.83,0.2073,east
2020Q2,CL1119,26954247547.97,4283411889.83,65.19,102.43,31.08,25.26,71.3,88.51,40.29,46748594763.83,3130510491.26,25.69,0.1922,37.9,0.0745,41319.0,0.1368,tier1_metros
2015Q3,CL6852,119144759403.09,43375539661.43,82.32,103.21,0.0,14.02,91.9,79.41,32.75,23244651419.97,2971718254.59,32.59,0.1505,31.14,0.4838,29159.34,0.8323,domestic_focused
2023Q2,CL8554,52688958760.48,11020704980.69,72.22,108.12,7.99,20.02,82.87,122.48,35.16,20492080019.7,13263769313.69,35.39,0.4283,36.1,0.4906,59818.64,0.2193,export_oriented
2015Q4,CL7323,10644855477.02,2638517834.53,60.42,74.31,32.21,6.71,60.67,82.29,70.91,6653575579.88,16939023174.45,30.06,0.3952,30.09,0.5229,38748.41,0.446,domestic_focused
2019Q1,CL7702,25388278233.66,5716360807.19,76.14,95.06,35.8,28.02,55.28,99.13,69.2,5559012643.09,564506630.11,37.39,0.1694,18.22,0.3549,13872.87,0.2373,east
2018Q3,CL7555,42674256854.97,8578061096.2,74.19,126.27,4.94,28.98,97.75,99.77,45.65,10191219392.07,2468699691.85,39.7,0.4514,58.1,0.3315,169568.72,0.2232,east
2018Q3,CL5941,43491732841.44,11635750215.65,57.53,104.05,14.78,12.63,73.1,111.95,35.22,35819658893.6,3796369675.73,50.44,0.22,63.45,0.5069,75365.75,0.1992,west
2026Q3,CL1104,107139990853.46,36853295942.63,60.31,100.41,31.25,12.59,70.76,87.58,43.57,14545307506.03,843626887.77,61.62,0.2744,45.12,0.5958,11931.8,0.2117,rural
2025Q1,CL7312,8467338815.18,1452559392.2,78.11,100.08,0.0,10.97,96.55,90.69,41.63,23979587893.98,476707699.73,71.35,0.5012,22.68,0.5179,20252.8,0.2259,south
2017Q2,CL2994,32795179007.11,8844179706.28,82.24,90.94,10.04,22.07,90.42,102.41,34.64,35062645246.73,1452623276.77,43.17,0.2674,53.66,0.1266,11804.64,0.1532,north
2026Q2,CL1468,29450846941.04,6339236768.64,77.76,92.36,36.77,0.0,58.38,112.89,28.52,3709738651.68,909068594.26,49.59,0.0415,44.61,0.3425,22053.82,0.5525,south
2018Q2,CL9221,27797357877.71,10299630167.96,60.56,114.23,7.8,13.15,89.25,78.58,78.87,40525289800.5,5866963385.33,43.95,0.123,62.01,0.2626,35688.23,0.0767,south
2020Q2,CL5094,39437855161.43,8603065178.53,70.22,108.56,0.0,12.56,98.19,130.27,69.53,32286831712.06,2038270718.47,15.27,0.2705,22.99,0.2383,15533.36,0.5544,export_oriented
2016Q3,CL7170,13165983550.45,2133755241.02,75.2,91.99,21.24,6.35,76.09,110.44,43.49,6055830316.72,2141596014.26,44.19,0.0873,54.1,0.2145,113085.19,0.397,north
2018Q1,CL6490,29973422504.84,9704288473.95,71.17,83.72,34.5,12.86,67.71,87.11,58.57,58021193209.25,5052711383.84,84.56,0.2372,36.33,0.3795,52374.16,0.4976,tier2_cities
2021Q3,CL7835,30785844967.02,11561991558.52,77.15,94.91,41.53,6.49,44.82,106.81,39.19,19605087673.39,1134012006.76,22.34,0.1587,52.05,0.5688,31854.78,0.4147,national
2023Q2,CL6141,21152829685.54,6179934944.34,75.59,107.16,36.45,25.88,74.72,96.26,16.09,24102090820.12,419224883.06,32.27,0.1124,38.63,0.4914,70293.78,0.1428,tier2_cities
2022Q2,CL7943,57204765651.71,11339171727.41,70.89,101.18,34.47,0.0,72.59,113.92,49.63,33633568994.25,2192892370.37,41.04,0.3104,23.49,0.3188,8010.8,0.522,west
2015Q3,CL5018,14520795135.88,1301605443.54,84.23,101.53,22.56,11.58,67.59,117.07,22.82,5846945276.79,2376799202.77,67.79,0.7093,41.99,0.2379,77677.86,0.1054,export_oriented
2025Q4,CL2081,9888928244.89,1543197571.98,72.25,104.22,17.2,20.9,78.5,107.09,64.92,5024597378.42,2530427167.16,43.27,0.2495,0.91,0.4674,17574.21,0.314,west
2026Q4,CL3732,37699420058.18,10646479541.2,62.25,101.43,45.89,13.2,62.43,94.9,5.45,10566077725.25,2414657507.23,18.35,0.2778,46.57,0.3442,40571.67,0.4894,south
2018Q1,CL9388,27440399809.96,4202190131.15,74.27,106.73,35.88,27.38,67.77,113.14,53.03,4569479812.9,3287320585.62,41.8,0.1385,39.39,0.1659,21177.47,0.7642,south
2024Q4,CL8496,63357782557.61,16727406853.55,64.42,116.29,0.0,20.2,100.0,80.99,49.25,20915737955.52,2898704169.23,49.3,0.5699,43.11,0.2534,49951.93,0.3068,domestic_focused
2026Q3,CL5640,25891592752.62,6531870729.99,67.68,106.68,25.47,18.25,80.22,104.63,34.89,13978482323.34,1291996407.58,40.56,0.1599,33.6,0.1531,53190.66,0.2441,west
2026Q3,CL2447,73941748933.75,8568376860.68,70.69,104.75,32.31,34.0,76.88,124.74,33.26,12675389693.7,3506010174.43,91.99,0.242,27.67,0.268,29038.5,0.2975,national
2018Q4,CL6825,29980472546.96,4547273448.92,71.95,107.96,34.37,10.62,64.76,87.73,35.13,10900710899.75,2768506823.78,33.99,0.1275,54.95,0.1044,85419.23,0.2883,tier1_metros
2022Q1,CL7312,9003326337.66,2495058923.87,70.62,102.12,31.9,30.74,75.17,104.95,56.46,14751216426.11,2329537289.01,15.62,0.365,41.96,0.6341,19404.46,0.7898,rural
2025Q4,CL3995,17406988728.44,3930771691.3,58.55,89.37,11.67,5.29,82.23,112.32,27.21,14434093594.75,827168929.12,53.54,0.1126,61.6,0.3203,48536.3,0.2967,south
2024Q3,CL9204,201416342404.53,63370772919.38,79.97,117.06,15.94,16.19,84.11,95.63,40.78,3800317984.98,2827530062.35,41.27,0.567,37.79,0.2123,5909.73,0.4074,national
2015Q1,CL6007,48113316409.92,17808768355.47,89.44,81.36,38.52,32.94,57.72,108.07,51.81,7322974554.95,1278451763.53,34.17,0.3429,43.74,0.3594,17848.23,1.1499,south
2019Q3,CL2220,10440943470.53,1372321298.58,60.31,103.89,4.66,0.0,92.9,71.3,86.69,31436533924.05,749648583.58,63.27,0.1309,37.81,0.049,23739.45,0.3123,tier1_metros
2017Q3,CL9157,40350471087.79,10896682845.58,86.82,113.45,7.93,21.16,97.17,101.79,33.82,14112104417.51,926151243.1,51.12,0.3815,56.12,0.4722,143357.73,0.4287,domestic_focused
2016Q2,CL1656,49599681117.68,7019142258.16,53.03,85.9,25.71,21.83,85.54,105.18,36.11,9575247919.38,1030112195.36,45.75,0.0429,34.43,0.144,33025.12,0.1352,national
2015Q2,CL2248,44578564248.47,14485870729.73,79.1,89.85,22.93,0.07,69.03,121.9,38.12,9275293804.21,840494227.18,33.58,0.4318,69.44,0.1625,33919.47,0.316,domestic_focused
2022Q1,CL3077,82356526433.8,21849678656.96,71.2,86.82,24.68,14.2,76.88,88.62,39.87,3147091567.61,3490844060.97,35.88,0.1955,42.55,0.2777,25973.31,0.2408,west
2021Q1,CL7031,78141720762.93,5911824246.98,65.89,92.11,12.34,23.32,84.53,119.16,43.94,44769006294.67,3150644476.29,51.38,0.2278,77.97,0.3284,32361.44,0.2967,rural
2019Q4,CL9384,71065224405.18,9627785436.96,68.9,107.51,4.16,11.83,98.77,113.69,32.74,26435957786.89,9960829961.8,71.32,0.2549,39.74,0.3783,12922.83,0.1627,domestic_focused
2015Q4,CL3093,24444027798.55,4968080881.89,57.9,107.47,19.9,0.0,92.1,109.8,38.47,13701437536.82,680730480.5,36.09,0.3379,11.82,0.3391,78009.54,0.2079,export_oriented
2022Q4,CL7478,113491334790.96,21068471926.69,89.77,90.48,21.28,19.01,85.85,109.04,41.53,18628575857.8,219941499.81,62.64,0.1553,65.41,0.0169,37628.49,0.0838,tier1_metros
2020Q3,CL8172,21893678270.55,5610522599.68,51.38,110.72,15.53,29.28,73.31,92.62,42.25,43168554669.61,1290288571.66,59.74,0.0867,14.12,0.3022,13269.57,1.1657,north
2017Q1,CL5408,36290830739.39,5233351330.23,61.88,107.17,14.44,28.52,91.28,70.36,44.84,40066885001.53,3843251184.88,72.12,0.5213,7.23,0.418,26133.67,0.3645,tier1_metros
2016Q3,CL7553,108645811632.65,25846740396.35,70.93,81.26,13.68,34.37,94.26,118.34,61.03,10074722718.99,3598932202.31,42.62,0.4192,72.94,0.6417,11009.04,0.1882,export_oriented
2025Q2,CL3174,21344508019.75,4932346188.98,75.21,103.1,38.41,3.06,61.41,127.24,9.08,16497222691.59,767630735.05,65.05,0.1306,0.0,0.6117,51862.46,0.2835,east
2023Q4,CL6591,13186649902.85,1634277510.37,70.23,107.48,22.41,29.27,76.73,96.96,43.39,35391417219.85,894671036.66,26.68,0.5092,26.17,0.2177,25376.26,0.3773,south
2015Q1,CL3016,27874959111.92,8221273657.91,72.73,105.6,35.2,8.62,67.3,88.09,40.59,22180453685.69,33456292218.0,74.5,0.1321,50.63,0.3098,38812.38,0.181,export_oriented
2019Q2,CL4544,65664744401.6,15954951120.83,58.51,105.37,0.0,35.85,97.55,118.67,44.36,41988388937.15,1724596719.42,34.69,0.1731,31.16,0.4907,25882.51,0.4275,north
2026Q3,CL8537,19066049943.31,3650842572.45,86.62,101.95,14.96,1.26,81.44,79.24,38.53,5675375633.28,210505233.11,60.43,0.4836,29.78,0.1963,19360.95,0.4388,export_oriented
2017Q4,CL3558,24369049372.23,5419956069.56,63.13,124.77,12.02,20.01,97.82,94.2,42.33,7055606434.18,2175365987.92,42.62,0.1628,35.6,0.3728,67792.73,0.2236,south
2019Q1,CL2434,57843898553.01,10590809010.62,70.53,70.0,31.93,13.6,71.6,93.61,69.58,12555451148.28,2073689495.82,39.7,0.1318,56.55,0.2716,32722.7,0.1925,tier2_cities
