demo_nativity_estimate_year,demo_nativity_puma_code,demo_nativity_nativity_category,demo_nativity_country_of_birth,demo_nativity_year_of_arrival,demo_nativity_citizenship_class,demo_nativity_english_proficiency_level,demo_nativity_primary_language,demo_nativity_secondary_language,demo_nativity_ancestry_first,demo_nativity_ancestry_second,demo_nativity_language_isolates_count,demo_nativity_foreign_language_speaker_count,demo_nativity_limited_english_households,demo_nativity_naturalization_rate_estimate,demo_nativity_visa_class_at_entry,demo_nativity_refugee_admission_flag,demo_nativity_remittance_sending_flag,demo_nativity_translation_need_indicator,demo_nativity_cultural_linguistic_diversity_index
2025,10032,NATIVE,CANADA,2011,NATURALIZED,NOT_WELL,TAGALOG,ENGLISH,GERMAN,INDIAN,22,3550,5122,0.929,EMPLOYMENT,1,0,1,0.6292
2022,10033,FOREIGN_BORN,KOREA,2014,NATURALIZED,NOT_AT_ALL,OTHER,HINDI,SCOTTISH,INDIAN,58,17374,5117,0.819,EMPLOYMENT,1,1,1,0.1091
2020,10034,NATIVE,MEXICO,1998,NATURALIZED,NOT_WELL,HINDI,TAGALOG,ENGLISH,CHINESE,67,9937,5018,0.606,STUDENT,0,1,0,0.3179
2021,10035,FOREIGN_BORN,EL_SALVADOR,1991,NATURALIZED,NOT_WELL,ENGLISH,SPANISH,OTHER,ENGLISH,138,5666,2456,0.515,DIVERSITY,1,0,0,0.7642
2021,10036,NATIVE,PHILIPPINES,2017,NATURALIZED,NOT_AT_ALL,RUSSIAN,ARABIC,SCOTTISH,ENGLISH,83,4116,759,0.741,DIVERSITY,1,1,0,0.8819
2021,10037,FOREIGN_BORN,PHILIPPINES,2022,NONCITIZEN,WELL,SPANISH,HINDI,SCOTTISH,MEXICAN,111,5168,4470,0.198,FAMILY,0,0,1,0.6038
2017,10038,NATIVE,CUBA,1991,NATURALIZED,NOT_WELL,FRENCH,FRENCH,ITALIAN,POLISH,193,10719,5276,0.593,EMPLOYMENT,0,0,1,0.856
2020,10039,NATURALIZED_CITIZEN,KOREA,1981,BORN_US,NOT_AT_ALL,RUSSIAN,VIETNAMESE,IRISH,ENGLISH,74,3436,4058,0.89,OTHER,1,1,0,0.3936
2018,10040,NATIVE,DOMINICAN_REP,2021,NATURALIZED,VERY_WELL,VIETNAMESE,TAGALOG,POLISH,GERMAN,19,12097,5805,0.63,STUDENT,0,1,1,0.101
2022,10041,NATURALIZED_CITIZEN,MEXICO,1992,BORN_US,NATIVE,RUSSIAN,KOREAN,POLISH,GERMAN,32,1109,4958,0.378,TEMP_WORK,1,0,0,0.6793
2025,10042,FOREIGN_BORN,PHILIPPINES,1996,BORN_US,NATIVE,KOREAN,HINDI,INDIAN,OTHER,1,8349,5930,0.452,NA,0,0,0,0.7448
2017,10043,NATIVE,EL_SALVADOR,1995,BORN_US,VERY_WELL,RUSSIAN,NONE,NIGERIAN,ENGLISH,166,2153,3149,0.724,STUDENT,1,0,0,0.1104
2018,10044,FOREIGN_BORN,EL_SALVADOR,1999,BORN_US,WELL,ARABIC,NONE,OTHER,POLISH,12,2175,581,0.145,OTHER,1,1,0,0.1252
2019,10045,NATURALIZED_CITIZEN,CANADA,1982,NATURALIZED,VERY_WELL,OTHER,ENGLISH,POLISH,POLISH,12,350,384,0.653,OTHER,0,0,0,0.0018
2025,10046,FOREIGN_BORN,EL_SALVADOR,2022,BORN_US,NATIVE,SPANISH,ARABIC,NIGERIAN,NIGERIAN,4,11114,1719,0.383,STUDENT,1,0,0,0.6288
2021,10047,NATIVE,EL_SALVADOR,1988,BORN_US,NOT_WELL,ENGLISH,FRENCH,OTHER,POLISH,161,5692,3066,0.45,NA,0,1,1,0.3527
2021,10048,FOREIGN_BORN,PHILIPPINES,1987,NONCITIZEN,VERY_WELL,KOREAN,ENGLISH,ITALIAN,NIGERIAN,165,66,5646,0.347,EMPLOYMENT,1,1,1,0.4279
2022,10049,FOREIGN_BORN,CANADA,1980,NONCITIZEN,VERY_WELL,SPANISH,TAGALOG,ENGLISH,NONE,51,11949,1717,0.884,REFUGEE,0,1,0,0.0632
2021,10050,NATURALIZED_CITIZEN,CHINA,2002,BORN_US,VERY_WELL,OTHER,FRENCH,IRISH,ITALIAN,59,5089,1078,0.822,REFUGEE,0,1,0,0.0063
2017,10051,FOREIGN_BORN,PHILIPPINES,1994,NATURALIZED,NOT_WELL,KOREAN,KOREAN,INDIAN,ITALIAN,91,1682,4020,0.849,NA,0,0,1,0.3706
2025,10052,FOREIGN_BORN,CHINA,1997,NATURALIZED,WELL,HINDI,KOREAN,SCOTTISH,NIGERIAN,130,26,1341,0.462,OTHER,1,0,1,0.6818
2020,10053,NATURALIZED_CITIZEN,MEXICO,2012,NATURALIZED,WELL,HINDI,KOREAN,ENGLISH,MEXICAN,150,10015,4267,0.213,TEMP_WORK,0,1,1,0.018
2021,10054,NATURALIZED_CITIZEN,PHILIPPINES,1997,NONCITIZEN,WELL,KOREAN,MANDARIN,SCOTTISH,INDIAN,168,10159,2637,0.674,EMPLOYMENT,1,1,0,0.0156
2023,10055,NATIVE,VIETNAM,2024,NATURALIZED,VERY_WELL,KOREAN,ARABIC,OTHER,INDIAN,48,11036,1878,0.69,TEMP_WORK,1,1,0,0.1074
2020,10056,FOREIGN_BORN,KOREA,1980,NATURALIZED,NOT_AT_ALL,SPANISH,TAGALOG,ITALIAN,CHINESE,54,7492,248,0.467,FAMILY,0,0,0,0.9422
2019,10057,FOREIGN_BORN,OTHER,2024,NONCITIZEN,NOT_WELL,SPANISH,HINDI,ITALIAN,OTHER,91,13139,934,0.162,TEMP_WORK,0,1,0,0.7829
2025,10058,NATIVE,VIETNAM,2024,NONCITIZEN,NOT_WELL,SPANISH,VIETNAMESE,POLISH,MEXICAN,113,4583,3939,0.295,OTHER,0,0,0,0.2674
2022,10059,NATURALIZED_CITIZEN,DOMINICAN_REP,2011,NONCITIZEN,NATIVE,KOREAN,VIETNAMESE,SCOTTISH,INDIAN,78,2304,1828,0.114,OTHER,0,0,1,0.1027
2022,10060,NATURALIZED_CITIZEN,PHILIPPINES,1995,NONCITIZEN,NOT_WELL,MANDARIN,OTHER,OTHER,INDIAN,97,12157,4507,0.73,FAMILY,1,1,0,0.0973
2019,10061,FOREIGN_BORN,INDIA,2010,NATURALIZED,WELL,ENGLISH,ARABIC,CHINESE,ENGLISH,84,15814,4777,0.882,TEMP_WORK,0,1,1,0.3452
2024,10062,FOREIGN_BORN,OTHER,2006,NATURALIZED,WELL,SPANISH,TAGALOG,OTHER,ENGLISH,185,6672,1380,0.876,FAMILY,1,1,1,0.1436
2022,10063,NATIVE,KOREA,1984,BORN_US,WELL,ARABIC,ENGLISH,NIGERIAN,MEXICAN,167,6623,4532,0.313,STUDENT,0,1,0,0.2296
2022,10064,NATURALIZED_CITIZEN,CUBA,1999,NATURALIZED,NOT_AT_ALL,ENGLISH,HINDI,SCOTTISH,OTHER,72,2955,210,0.282,STUDENT,1,0,0,0.3588
2021,10065,FOREIGN_BORN,DOMINICAN_REP,1992,BORN_US,NOT_AT_ALL,OTHER,NONE,INDIAN,OTHER,145,2535,1444,0.508,DIVERSITY,0,0,1,0.4475
2017,10066,NATURALIZED_CITIZEN,PHILIPPINES,1992,NONCITIZEN,NOT_WELL,VIETNAMESE,VIETNAMESE,CHINESE,GERMAN,55,15615,5439,0.28,STUDENT,0,1,1,0.0618
2025,10067,NATURALIZED_CITIZEN,PHILIPPINES,2018,BORN_US,NATIVE,VIETNAMESE,KOREAN,OTHER,NIGERIAN,103,18536,1773,0.212,STUDENT,1,0,0,0.8769
2020,10068,FOREIGN_BORN,DOMINICAN_REP,1984,BORN_US,NATIVE,ARABIC,MANDARIN,INDIAN,MEXICAN,162,18997,710,0.252,STUDENT,1,0,1,0.051
2018,10069,NATURALIZED_CITIZEN,PHILIPPINES,2017,BORN_US,WELL,ENGLISH,VIETNAMESE,POLISH,CHINESE,107,1720,3027,0.472,FAMILY,1,1,1,0.926
2025,10070,NATURALIZED_CITIZEN,VIETNAM,2012,NONCITIZEN,NATIVE,FRENCH,SPANISH,MEXICAN,POLISH,137,3884,4106,0.5,REFUGEE,1,1,1,0.2505
2024,10071,NATURALIZED_CITIZEN,OTHER,1999,NATURALIZED,WELL,FRENCH,NONE,OTHER,NONE,121,7817,3906,0.684,FAMILY,0,0,1,0.2517
2025,10072,NATURALIZED_CITIZEN,MEXICO,2004,BORN_US,WELL,SPANISH,MANDARIN,CHINESE,MEXICAN,6,8478,5140,0.949,DIVERSITY,1,0,0,0.9017
2021,10073,NATIVE,INDIA,2020,NATURALIZED,NOT_AT_ALL,KOREAN,KOREAN,INDIAN,GERMAN,86,1094,2218,0.902,EMPLOYMENT,0,1,0,0.5247
2022,10074,NATIVE,CUBA,2024,NONCITIZEN,NOT_AT_ALL,MANDARIN,ARABIC,GERMAN,MEXICAN,167,197,1692,0.414,EMPLOYMENT,1,0,1,0.2793
2017,10075,NATIVE,CANADA,1998,NATURALIZED,VERY_WELL,VIETNAMESE,TAGALOG,SCOTTISH,CHINESE,55,18359,5962,0.256,DIVERSITY,0,0,1,0.5234
2017,10076,FOREIGN_BORN,DOMINICAN_REP,2001,BORN_US,VERY_WELL,MANDARIN,FRENCH,ENGLISH,IRISH,76,12039,815,0.948,STUDENT,1,1,1,0.9821
2017,10077,FOREIGN_BORN,EL_SALVADOR,2015,NATURALIZED,VERY_WELL,HINDI,TAGALOG,INDIAN,OTHER,128,13420,2126,0.68,FAMILY,0,1,1,0.856
2021,10078,NATURALIZED_CITIZEN,PHILIPPINES,2002,NONCITIZEN,NOT_WELL,ARABIC,VIETNAMESE,POLISH,ITALIAN,121,13747,5835,0.621,OTHER,1,1,1,0.2257
2022,10079,NATIVE,PHILIPPINES,2001,NONCITIZEN,NATIVE,MANDARIN,HINDI,SCOTTISH,INDIAN,144,4795,1962,0.564,OTHER,0,1,1,0.0497
2019,10080,NATURALIZED_CITIZEN,DOMINICAN_REP,2012,NATURALIZED,VERY_WELL,MANDARIN,MANDARIN,OTHER,OTHER,21,17705,2344,0.4,TEMP_WORK,0,1,1,0.7724
2019,10081,FOREIGN_BORN,PHILIPPINES,2008,BORN_US,WELL,ENGLISH,NONE,MEXICAN,GERMAN,126,15210,1261,0.623,NA,1,0,0,0.1193
2025,10082,NATIVE,CHINA,1992,BORN_US,NOT_WELL,VIETNAMESE,MANDARIN,NIGERIAN,CHINESE,117,12930,4396,0.476,REFUGEE,0,0,0,0.5873
2022,10083,FOREIGN_BORN,INDIA,2022,NATURALIZED,NATIVE,ENGLISH,ENGLISH,ENGLISH,OTHER,22,11168,2517,0.558,DIVERSITY,1,0,0,0.6386
2024,10084,FOREIGN_BORN,CUBA,2006,BORN_US,VERY_WELL,SPANISH,OTHER,ENGLISH,CHINESE,43,10920,1817,0.556,TEMP_WORK,0,0,1,0.2543
2017,10085,NATIVE,PHILIPPINES,1983,NONCITIZEN,NATIVE,ENGLISH,VIETNAMESE,IRISH,POLISH,194,1511,5513,0.118,NA,1,1,1,0.5676
2017,10086,NATIVE,EL_SALVADOR,2007,NONCITIZEN,VERY_WELL,OTHER,OTHER,IRISH,OTHER,126,15087,1174,0.398,NA,1,1,0,0.5391
2025,10087,NATIVE,PHILIPPINES,1990,NONCITIZEN,WELL,KOREAN,SPANISH,POLISH,IRISH,20,9251,1319,0.239,FAMILY,1,0,1,0.6989
2025,10088,NATURALIZED_CITIZEN,MEXICO,2019,BORN_US,NOT_AT_ALL,TAGALOG,VIETNAMESE,NIGERIAN,INDIAN,124,2082,3765,0.873,FAMILY,0,1,0,0.9011
2017,10089,FOREIGN_BORN,DOMINICAN_REP,2010,BORN_US,NATIVE,FRENCH,NONE,POLISH,POLISH,82,16678,4049,0.602,TEMP_WORK,1,1,1,0.1334
2018,10090,NATURALIZED_CITIZEN,MEXICO,1982,BORN_US,NOT_AT_ALL,KOREAN,SPANISH,MEXICAN,ENGLISH,54,3757,1325,0.473,FAMILY,0,0,1,0.5723
2020,10091,NATURALIZED_CITIZEN,CHINA,2002,BORN_US,NOT_AT_ALL,ENGLISH,NONE,POLISH,NONE,49,1755,4185,0.679,OTHER,1,0,1,0.5457
2025,10092,NATIVE,CHINA,2000,BORN_US,WELL,VIETNAMESE,KOREAN,IRISH,CHINESE,17,11927,4140,0.276,NA,1,1,1,0.5018
2021,10093,NATURALIZED_CITIZEN,CUBA,1989,NONCITIZEN,NOT_AT_ALL,FRENCH,NONE,INDIAN,INDIAN,98,4751,1668,0.354,FAMILY,0,0,0,0.3911
2023,10094,FOREIGN_BORN,MEXICO,2001,NONCITIZEN,NATIVE,VIETNAMESE,OTHER,INDIAN,NIGERIAN,101,2336,2973,0.335,FAMILY,0,0,1,0.9895
2019,10095,FOREIGN_BORN,EL_SALVADOR,1990,BORN_US,NOT_WELL,ARABIC,OTHER,INDIAN,OTHER,26,147,4570,0.631,TEMP_WORK,1,1,1,0.7384
2018,10096,NATIVE,MEXICO,1984,BORN_US,NATIVE,MANDARIN,TAGALOG,CHINESE,INDIAN,116,1848,4034,0.547,EMPLOYMENT,1,0,0,0.7325
2023,10097,FOREIGN_BORN,OTHER,1993,NATURALIZED,VERY_WELL,FRENCH,SPANISH,MEXICAN,OTHER,162,1093,3969,0.56,STUDENT,0,0,1,0.7329
2025,10098,FOREIGN_BORN,CUBA,1983,NONCITIZEN,VERY_WELL,ENGLISH,MANDARIN,NIGERIAN,OTHER,160,19956,3876,0.951,DIVERSITY,0,0,0,0.0986
2022,10099,NATIVE,PHILIPPINES,1998,NONCITIZEN,VERY_WELL,VIETNAMESE,SPANISH,ENGLISH,GERMAN,24,13657,2198,0.249,NA,0,0,1,0.1367
2020,10100,FOREIGN_BORN,MEXICO,2023,NATURALIZED,NATIVE,TAGALOG,OTHER,ITALIAN,IRISH,182,4319,2322,0.293,NA,0,0,1,0.1658
2025,10101,NATIVE,CANADA,2004,NATURALIZED,NATIVE,FRENCH,NONE,ITALIAN,ENGLISH,83,10461,2591,0.608,STUDENT,1,0,0,0.344
2022,10102,NATURALIZED_CITIZEN,KOREA,2009,NATURALIZED,NOT_AT_ALL,HINDI,MANDARIN,ENGLISH,GERMAN,127,18418,2684,0.549,STUDENT,1,1,0,0.367
2020,10103,FOREIGN_BORN,EL_SALVADOR,2018,NONCITIZEN,NOT_AT_ALL,OTHER,NONE,SCOTTISH,GERMAN,86,9703,2488,0.499,STUDENT,0,1,1,0.2579
2020,10104,NATIVE,VIETNAM,2004,NONCITIZEN,NATIVE,TAGALOG,OTHER,INDIAN,INDIAN,59,6670,4097,0.491,TEMP_WORK,0,1,0,0.4765
2021,10105,FOREIGN_BORN,EL_SALVADOR,2003,NONCITIZEN,NOT_WELL,VIETNAMESE,ARABIC,CHINESE,OTHER,19,11142,5498,0.648,DIVERSITY,0,1,0,0.7431
2025,10106,FOREIGN_BORN,CANADA,1989,BORN_US,WELL,VIETNAMESE,OTHER,ITALIAN,ENGLISH,148,18942,629,0.794,STUDENT,1,1,1,0.2313
2024,10107,NATIVE,EL_SALVADOR,1999,NONCITIZEN,NOT_AT_ALL,ARABIC,HINDI,IRISH,ITALIAN,37,5789,5642,0.434,FAMILY,1,0,1,0.1698
2017,10108,NATIVE,INDIA,2001,NONCITIZEN,NOT_AT_ALL,TAGALOG,OTHER,POLISH,IRISH,55,3091,4185,0.544,STUDENT,1,0,0,0.9411
2019,10109,FOREIGN_BORN,EL_SALVADOR,2004,BORN_US,NATIVE,KOREAN,SPANISH,ITALIAN,NONE,122,12806,660,0.745,REFUGEE,0,1,1,0.1458
2019,10110,NATIVE,DOMINICAN_REP,2003,BORN_US,NOT_WELL,VIETNAMESE,MANDARIN,OTHER,OTHER,194,17601,29,0.475,TEMP_WORK,0,1,1,0.9515
2019,10111,NATURALIZED_CITIZEN,MEXICO,2012,NATURALIZED,NOT_AT_ALL,HINDI,SPANISH,IRISH,OTHER,85,14009,1139,0.303,REFUGEE,0,0,1,0.69
2019,10112,NATURALIZED_CITIZEN,INDIA,2011,BORN_US,VERY_WELL,OTHER,SPANISH,NIGERIAN,OTHER,181,19460,825,0.249,OTHER,1,1,0,0.6336
2019,10113,NATIVE,CHINA,2016,NONCITIZEN,VERY_WELL,ENGLISH,NONE,POLISH,ITALIAN,161,392,5291,0.161,FAMILY,0,1,1,0.8118
2018,10114,NATURALIZED_CITIZEN,VIETNAM,2024,NONCITIZEN,NOT_AT_ALL,MANDARIN,SPANISH,IRISH,INDIAN,9,16808,5615,0.717,REFUGEE,0,1,0,0.0697
2019,10115,NATURALIZED_CITIZEN,EL_SALVADOR,1993,NATURALIZED,NATIVE,KOREAN,MANDARIN,MEXICAN,MEXICAN,49,17255,279,0.341,NA,1,1,0,0.1558
2021,10116,NATIVE,CHINA,2018,BORN_US,NATIVE,MANDARIN,FRENCH,MEXICAN,OTHER,144,15538,702,0.57,REFUGEE,1,0,1,0.0771
2023,10117,NATURALIZED_CITIZEN,CANADA,1983,NONCITIZEN,NATIVE,TAGALOG,MANDARIN,MEXICAN,NONE,82,2746,3646,0.666,EMPLOYMENT,0,1,1,0.7138
2020,10118,NATURALIZED_CITIZEN,EL_SALVADOR,1984,NONCITIZEN,NOT_WELL,ENGLISH,ARABIC,MEXICAN,IRISH,187,10405,4067,0.733,STUDENT,1,0,1,0.066
2017,10119,FOREIGN_BORN,DOMINICAN_REP,2003,NONCITIZEN,VERY_WELL,MANDARIN,NONE,GERMAN,MEXICAN,68,2404,2398,0.136,OTHER,1,1,0,0.0013
2023,10120,NATURALIZED_CITIZEN,MEXICO,2018,NONCITIZEN,WELL,VIETNAMESE,KOREAN,GERMAN,NONE,196,11909,2440,0.341,FAMILY,1,1,0,0.102
2017,10121,NATURALIZED_CITIZEN,CHINA,1998,BORN_US,NOT_AT_ALL,KOREAN,MANDARIN,ITALIAN,NIGERIAN,161,3477,1773,0.348,TEMP_WORK,1,0,0,0.1028
2023,10122,NATIVE,PHILIPPINES,2019,NATURALIZED,NOT_WELL,FRENCH,ENGLISH,OTHER,NONE,46,241,5816,0.508,EMPLOYMENT,0,0,0,0.0427
2018,10123,FOREIGN_BORN,CUBA,2022,BORN_US,NOT_WELL,OTHER,NONE,MEXICAN,MEXICAN,160,17344,4885,0.521,FAMILY,0,1,0,0.3997
2019,10124,FOREIGN_BORN,INDIA,1994,NATURALIZED,NATIVE,FRENCH,MANDARIN,ITALIAN,INDIAN,14,6840,1666,0.301,EMPLOYMENT,1,1,0,0.8643
2023,10125,NATIVE,PHILIPPINES,1987,NATURALIZED,NOT_AT_ALL,FRENCH,HINDI,ITALIAN,ITALIAN,57,17117,4070,0.255,NA,0,0,1,0.7421
2018,10126,FOREIGN_BORN,CHINA,2000,BORN_US,NOT_WELL,TAGALOG,TAGALOG,INDIAN,CHINESE,129,16954,1825,0.837,TEMP_WORK,0,0,1,0.7583
2021,10127,NATURALIZED_CITIZEN,CUBA,2006,NONCITIZEN,VERY_WELL,ARABIC,MANDARIN,MEXICAN,INDIAN,55,13914,2035,0.538,NA,1,0,0,0.0475
2018,10128,NATURALIZED_CITIZEN,DOMINICAN_REP,1996,NONCITIZEN,WELL,KOREAN,SPANISH,POLISH,OTHER,163,12577,2749,0.231,FAMILY,1,1,1,0.6312
2017,10129,NATURALIZED_CITIZEN,CUBA,1984,NATURALIZED,NOT_AT_ALL,HINDI,NONE,ENGLISH,OTHER,85,1178,5994,0.511,FAMILY,1,0,0,0.3654
2023,10130,FOREIGN_BORN,PHILIPPINES,2007,NATURALIZED,NOT_WELL,HINDI,FRENCH,CHINESE,OTHER,133,12675,3286,0.816,REFUGEE,1,0,0,0.9822
2024,10131,NATIVE,INDIA,2010,BORN_US,NOT_WELL,SPANISH,HINDI,POLISH,INDIAN,154,2518,3176,0.382,DIVERSITY,1,0,1,0.2067
2017,10132,NATIVE,CUBA,1989,NATURALIZED,VERY_WELL,KOREAN,SPANISH,ITALIAN,ITALIAN,101,921,5860,0.257,REFUGEE,0,1,1,0.2175
2022,10133,FOREIGN_BORN,CANADA,1989,NONCITIZEN,NOT_AT_ALL,MANDARIN,SPANISH,ENGLISH,IRISH,28,6397,2864,0.771,NA,0,1,1,0.1208
2023,10134,FOREIGN_BORN,OTHER,1981,NATURALIZED,NOT_WELL,TAGALOG,SPANISH,CHINESE,NIGERIAN,79,19071,4935,0.124,NA,1,1,0,0.6042
2021,10135,NATIVE,CUBA,2010,BORN_US,WELL,TAGALOG,VIETNAMESE,POLISH,INDIAN,127,10354,701,0.601,EMPLOYMENT,0,0,1,0.5102
2018,10136,NATURALIZED_CITIZEN,PHILIPPINES,2019,NONCITIZEN,WELL,KOREAN,NONE,INDIAN,INDIAN,98,12280,1363,0.726,OTHER,1,1,1,0.279
2021,10137,FOREIGN_BORN,CUBA,1983,NATURALIZED,WELL,HINDI,MANDARIN,OTHER,GERMAN,62,7656,661,0.506,STUDENT,1,0,1,0.6075
2024,10138,NATURALIZED_CITIZEN,PHILIPPINES,1989,NATURALIZED,NOT_AT_ALL,OTHER,KOREAN,CHINESE,NIGERIAN,40,9066,4318,0.123,STUDENT,1,0,1,0.4806
2017,10139,NATIVE,EL_SALVADOR,1991,NONCITIZEN,WELL,OTHER,VIETNAMESE,IRISH,GERMAN,169,2327,3142,0.837,EMPLOYMENT,0,0,0,0.5343
