gov_gfs_reference_year,gov_gfs_country_iso2,gov_gfs_gov_subsector_code,gov_gfs_revenue_total_eur,gov_gfs_expenditure_total_eur,gov_gfs_compensation_employees_eur,gov_gfs_social_benefits_eur,gov_gfs_interest_payments_eur,gov_gfs_gross_fixed_capital_formation_eur,gov_gfs_taxes_on_production_imports_eur,gov_gfs_current_taxes_on_income_wealth_eur,gov_gfs_social_contributions_eur,gov_gfs_capital_taxes_eur,gov_gfs_property_income_eur,gov_gfs_subsidies_eur,gov_gfs_net_lending_borrowing_eur,gov_gfs_function_cofog_code,gov_gfs_eurostat_table_code,gov_gfs_revision_round,gov_gfs_data_extract_date
2020,SK,S1313_LOCAL,1678110331173.64,1607374448622.74,413786633318.27,698356640388.53,87863280347.83,75569031121.77,439562152024.92,506742596543.53,340176160114.63,2129299826.43,67546173112.91,89640392730.42,70735882550.9,GF01_GENERAL,gov_10a_rev,SECOND,2025-02-13
2021,BE,S1312_STATE,37193396071.75,44129490053.83,13642926961.38,20811679399.68,2844521410.13,4258000543.65,9755248626.59,9014874925.24,6423983209.97,993522348.16,1564767394.6,1352042052.5,-6936093982.08,GF02_DEFENCE,gov_10a_taxag,BENCHMARK,2025-10-06
2022,DK,S1311_CENTRAL,1502587240527.63,1698253162925.36,470476570972.5,494899272410.68,26336603491.62,116929197511.89,474970091271.44,418526202103.79,121988562696.9,19193346888.53,59056869671.87,87430081350.58,-195665922397.73,GF03_PUBLIC_ORDER,gov_10a_main,FLASH,2024-02-09
2023,GR,S1314_SOCIAL_SECURITY,752577717269.57,708024667586.16,242963525739.41,328123410180.32,35199005455.45,68124541240.54,139924745554.87,206606463369.47,98855929940.11,11551714266.84,45461496196.93,26934052889.27,44553049683.41,GF04_ECONOMIC,gov_10a_exp,FIRST,2025-12-16
2024,LT,S1313_LOCAL,1511942215690.23,1701169553045.96,394821104425.87,418577376320.26,36401089371.98,81355988664.46,336938681773.02,268502704097.87,121115231108.49,17860469704.39,118632340969.54,48145549126.52,-189227337355.73,GF05_ENVIRONMENT,gov_10a_rev,SECOND,2026-01-19
2025,PT,S1312_STATE,1259382303795.01,1488300523966.96,324875901898.66,575187580385.4,102199234281.37,139003945464.39,271609681504.85,291146399097.66,161629469368.7,31270477925.26,38555765010.38,24117799028.03,-228918220171.95,GF06_HOUSING,gov_10a_taxag,BENCHMARK,2025-09-18
2026,SE,S1311_CENTRAL,514359349362.14,588485854965.41,175538048479.53,259083101325.07,31765125792.91,28167714980.74,89651448337.2,106403685181.39,131633685502.6,9491763164.61,40397634796.71,9306576891.19,-74126505603.27,GF07_HEALTH,gov_10a_main,FLASH,2024-08-07
2010,CY,S1314_SOCIAL_SECURITY,684245246607.82,812442047410.56,212936546649.44,209550642166.45,45841571851.08,36311495626.38,206121533793.29,129372407294.96,78050420891.03,16912287728.36,19479261966.88,27660955291.48,-128196800802.73,GF08_RECREATION,gov_10a_exp,FIRST,2025-05-26
2011,FR,S1313_LOCAL,688377992245.64,689658565910.56,157834186005.16,171880795371.52,22976856876.26,58910910926.3,136817167357.52,203434479144.73,151294190617.97,264016863.18,40069311598.2,13722626788.03,-1280573664.92,GF09_EDUCATION,gov_10a_rev,SECOND,2024-05-15
2012,IT,S1312_STATE,996274868145.72,1175880031094.6,290058492430.62,314277307653.29,43643632685.06,37011912033.07,204131113081.68,198527385572.51,125132835209.67,25658774711.38,39608059875.15,30279560536.79,-179605162948.89,GF10_SOCIAL_PROTECTION,gov_10a_taxag,BENCHMARK,2025-11-07
2013,NL,S1311_CENTRAL,883566961002.43,920083496086.03,261495048911.45,424076710079.64,22871453787.41,90702675864.37,256994126757.63,282586662026.53,233359366772.2,18256946576.77,64005252058.96,39906808132.55,-36516535083.6,GF01_GENERAL,gov_10a_main,FLASH,2025-11-12
2014,SI,S1314_SOCIAL_SECURITY,249794168876.27,297542167822.72,71747162224.46,109300174835.56,5702283863.22,19719900142.6,54172911204.11,71812415210.43,23314944354.39,7119914012.63,3257897667.1,7240969175.88,-47747998946.44,GF02_DEFENCE,gov_10a_exp,FIRST,2024-09-02
2015,BG,S1313_LOCAL,681842427480.67,661636618615.33,255667683095.34,228742717208.61,11363467949.09,26243552483.54,169222666955.1,104755041285.59,161911718798.43,4289471503.9,30943956271.32,27050385200.16,20205808865.35,GF03_PUBLIC_ORDER,gov_10a_rev,SECOND,2024-04-23
2016,EE,S1312_STATE,836768827984.89,798100602824.95,259814460508.6,222392295553.7,14808485901.95,68742444268.66,241882644595.7,180318964212.44,156748534164.58,7703663730.52,41073234968.17,18764426321.39,38668225159.95,GF04_ECONOMIC,gov_10a_taxag,BENCHMARK,2024-05-02
2017,HU,S1311_CENTRAL,492657196897.7,490258275465.04,96756789419.92,212506664912.08,23740471578.92,21432101050.02,125409216667.85,112283052403.42,122100437270.83,5001785908.63,37042965014.28,22481872377.25,2398921432.67,GF05_ENVIRONMENT,gov_10a_main,FLASH,2024-11-23
2018,LU,S1314_SOCIAL_SECURITY,749794025737.31,770276177234.32,204775732680.0,336054880563.75,13746931370.75,25862779574.63,170866983055.29,120095901981.1,132170120702.04,5540808444.21,48633769656.85,34062443642.61,-20482151497.01,GF06_HOUSING,gov_10a_exp,FIRST,2024-08-09
2019,RO,S1313_LOCAL,249723634083.9,277202860499.49,49433469428.25,122723129508.13,9167170646.89,15404420637.71,78046086163.38,55025557786.81,57195191828.91,2328298897.32,15502687997.9,4614021381.17,-27479226415.59,GF07_HEALTH,gov_10a_rev,SECOND,2024-05-13
2020,AT,S1312_STATE,245417058486.69,235503051135.98,60364359213.43,112123192192.46,3300510900.45,20503345739.85,43346758578.62,40211593505.88,28767412576.04,6512669642.88,6694063195.22,13883469370.58,9914007350.71,GF08_RECREATION,gov_10a_taxag,BENCHMARK,2025-03-26
2021,CZ,S1311_CENTRAL,159992191120.59,167337486294.26,56513968453.01,74372680872.28,10659604470.95,10953852725.18,27527457280.48,28611291091.41,18280619404.77,737898330.44,5303395649.17,8804091259.26,-7345295173.67,GF09_EDUCATION,gov_10a_main,FLASH,2024-05-09
2022,DE,S1314_SOCIAL_SECURITY,1349072017660.57,1339819397986.06,489121249188.06,504097866095.13,72558362123.7,89987013926.0,349408947668.08,231674978483.44,157218608677.22,6962031403.5,20829453686.81,36060498727.11,9252619674.51,GF10_SOCIAL_PROTECTION,gov_10a_exp,FIRST,2025-05-10
2023,LV,S1313_LOCAL,500907175587.7,591634026000.88,131782456433.32,180907237632.55,31168784731.22,51735195603.82,79164951923.32,71471467727.42,117811606886.03,9840885261.85,35089857794.67,26731507113.47,-90726850413.18,GF01_GENERAL,gov_10a_rev,SECOND,2025-09-18
2024,PL,S1312_STATE,750287165464.5,746380487333.15,183059450705.32,301929659728.03,40561100069.58,66834127391.6,134677548683.21,136178073779.28,194421729753.39,16287232150.21,25579346648.67,38750414891.23,3906678131.35,GF02_DEFENCE,gov_10a_taxag,BENCHMARK,2025-04-14
2025,ES,S1311_CENTRAL,52317198719.99,49864154958.17,13433913234.76,20915294103.73,1195140995.01,4150516206.53,7869555737.03,10454508477.19,14041759950.72,1545912254.74,2429575352.57,820279525.55,2453043761.83,GF03_PUBLIC_ORDER,gov_10a_main,FLASH,2025-04-18
2026,HR,S1314_SOCIAL_SECURITY,905868059136.6,1102355181627.73,207948661851.83,485970725919.38,64623085690.77,47723044388.55,215227779240.5,179964824590.62,245600442305.37,5026434878.98,16409681068.54,20918180383.23,-196487122491.14,GF04_ECONOMIC,gov_10a_exp,FIRST,2024-04-21
2010,FI,S1313_LOCAL,63132705457.96,73234535099.21,12915800301.35,30714683754.94,3518174225.16,4295518959.11,16144076816.92,14333510331.1,8530268635.59,289879489.79,4240667490.41,3508109600.47,-10101829641.25,GF05_ENVIRONMENT,gov_10a_rev,SECOND,2025-06-07
2011,IE,S1312_STATE,750242900958.9,808749545445.47,283079159848.17,321527214678.61,39598204499.34,30562281129.47,116096099442.63,126754796081.96,193665478277.58,20822530489.83,25082050123.02,15408081587.62,-58506644486.58,GF06_HOUSING,gov_10a_taxag,BENCHMARK,2025-05-02
2012,MT,S1311_CENTRAL,659287728102.71,747412139363.5,238973822833.54,287700385838.88,13003630471.67,59319614708.35,189647110452.84,174209364757.33,119085294673.98,6578976790.71,10244794873.08,13591272342.35,-88124411260.79,GF07_HEALTH,gov_10a_main,FLASH,2024-03-04
2013,SK,S1314_SOCIAL_SECURITY,1798176026244.15,1891505458831.07,391861461452.41,538077339791.79,74214125282.95,148904231003.9,308972859874.7,370998394417.73,208313791112.25,40955049424.27,25380203593.1,93270504678.49,-93329432586.92,GF08_RECREATION,gov_10a_exp,FIRST,2024-12-04
2014,BE,S1313_LOCAL,549610149712.46,621483234517.56,201239638005.3,265749968945.3,25201552916.35,35988811454.25,162360451347.4,126579921544.58,73769502228.38,6929786404.33,13984967245.37,31424126910.45,-71873084805.11,GF09_EDUCATION,gov_10a_rev,SECOND,2026-02-07
2015,DK,S1312_STATE,1263617407175.08,1244478388964.98,415580451977.41,526086738645.9,70533595646.83,39649625388.03,327136211723.72,210552740981.07,286319921090.67,19719896392.22,39695479878.47,68418465367.67,19139018210.09,GF10_SOCIAL_PROTECTION,gov_10a_taxag,BENCHMARK,2024-04-22
2016,GR,S1311_CENTRAL,1593352712343.11,1852525280127.58,481390960139.16,722546890136.11,69002690883.11,123386939881.77,330591550327.17,380140604419.82,364236219259.06,44190502021.28,58859861717.25,37563885579.19,-259172567784.46,GF01_GENERAL,gov_10a_main,FLASH,2024-08-15
2017,LT,S1314_SOCIAL_SECURITY,375932529428.93,365325770332.76,77407147616.79,131379714754.93,4690086328.82,30932957311.52,114567095455.54,104175001265.4,55490883552.29,742289927.46,17702110351.55,9037581225.03,10606759096.17,GF02_DEFENCE,gov_10a_exp,FIRST,2026-01-21
2018,PT,S1313_LOCAL,1262525199592.53,1299155540201.41,305269973236.28,575509619428.86,13276624690.0,87830050171.95,392431453081.24,217928678305.56,314983982308.76,25451089641.62,29132530657.47,21339466768.24,-36630340608.88,GF03_PUBLIC_ORDER,gov_10a_rev,SECOND,2025-06-26
2019,SE,S1312_STATE,1402619149681.34,1585602399538.14,386237773523.95,464266906270.37,40884665863.15,92321634502.87,230175929596.37,338428224335.89,318002753756.4,23731396770.02,31908184048.85,86710227681.79,-182983249856.8,GF04_ECONOMIC,gov_10a_taxag,BENCHMARK,2025-08-28
2020,CY,S1311_CENTRAL,908150964907.29,971655450997.09,284853155620.41,420585856276.79,17213328936.24,64419457768.24,253759647428.0,246504663321.69,222562558385.54,10816754597.06,55232193677.89,18723562575.45,-63504486089.8,GF05_ENVIRONMENT,gov_10a_main,FLASH,2024-02-03
2021,FR,S1314_SOCIAL_SECURITY,932118315096.29,883712873281.41,262368775788.93,295966334577.57,21468832927.02,81838383417.2,229799994353.61,179008824222.24,98727409851.49,10700473065.37,42719534367.66,24792435122.77,48405441814.88,GF06_HOUSING,gov_10a_exp,FIRST,2024-11-16
2022,IT,S1313_LOCAL,1368702965071.22,1530496468350.04,340826892496.08,351502387827.34,23019154534.36,96048344946.99,373362545004.25,192779640516.51,296324593299.75,15092417996.19,97819996521.27,63563326268.43,-161793503278.82,GF07_HEALTH,gov_10a_rev,SECOND,2024-04-05
2023,NL,S1312_STATE,1325386480082.67,1509846858812.04,327359024146.24,423050145215.79,96316479503.41,58395303882.89,265454375546.15,264076196388.84,289573787149.96,18420224021.63,20860429192.28,90214791478.81,-184460378729.37,GF08_RECREATION,gov_10a_taxag,BENCHMARK,2025-09-17
2024,SI,S1311_CENTRAL,1124267232634.78,1055473024769.08,344329054040.49,274568571792.3,30196860933.93,80536605356.24,234741118269.12,208658607200.86,97749863521.59,15245973118.69,20917235230.15,22772057699.89,68794207865.7,GF09_EDUCATION,gov_10a_main,FLASH,2024-08-04
2025,BG,S1314_SOCIAL_SECURITY,132745594671.81,161326234628.16,29997015707.55,49624354446.48,7948882069.51,11553541600.02,40485448751.39,39699911009.9,29086901774.34,2803011531.73,4266818977.75,2808930073.02,-28580639956.35,GF10_SOCIAL_PROTECTION,gov_10a_exp,FIRST,2025-08-28
2026,EE,S1313_LOCAL,792262615933.78,954594479674.41,164426423632.0,314884499706.73,32158672638.51,36874470253.25,230045358809.94,218861389367.03,213511578255.4,23075688904.27,14995543572.17,36068030634.59,-162331863740.63,GF01_GENERAL,gov_10a_rev,SECOND,2025-04-23
2010,HU,S1312_STATE,87829245312.01,101157588703.39,32317143607.2,28483398232.89,2745481918.76,8957484600.58,22882488808.45,13099799295.53,13213017089.46,1448784301.42,3286049895.46,5590448956.1,-13328343391.38,GF02_DEFENCE,gov_10a_taxag,BENCHMARK,2024-08-31
2011,LU,S1311_CENTRAL,213305090171.27,200787803798.77,44855262343.61,52229887843.29,9813476233.12,7562409669.13,51796953514.43,66860166861.02,43285568026.12,511266620.9,14894216804.44,9333235239.17,12517286372.5,GF03_PUBLIC_ORDER,gov_10a_main,FLASH,2024-02-22
2012,RO,S1314_SOCIAL_SECURITY,804353403191.6,930684614475.16,201189035493.79,306581379137.56,51241879513.22,78559917595.5,208703819913.52,213544001564.14,192058621227.35,11628925111.32,22976088663.71,52548517230.03,-126331211283.56,GF04_ECONOMIC,gov_10a_exp,FIRST,2024-01-11
2013,AT,S1313_LOCAL,1389780924549.26,1344179916161.23,526309016355.33,359685769704.08,81247578768.54,130820177164.77,241811079973.38,414969321289.46,113174926623.69,26014793193.07,110982173004.47,45640732224.3,45601008388.03,GF05_ENVIRONMENT,gov_10a_rev,SECOND,2025-06-04
2014,CZ,S1312_STATE,645274127361.92,710189930136.12,121905208558.36,159744580895.69,27594776384.9,60137922524.04,158326496788.71,111228518795.05,129899826071.46,8383438335.11,34554869951.32,15162310773.08,-64915802774.19,GF06_HOUSING,gov_10a_taxag,BENCHMARK,2025-10-19
2015,DE,S1311_CENTRAL,1548602200275.2,1467758315181.15,418319127261.28,371459377178.43,76818981283.44,66750588482.6,297814310413.97,372839443671.54,297398263361.23,25612394102.83,78306872113.46,25339775498.78,80843885094.05,GF07_HEALTH,gov_10a_main,FLASH,2024-10-31
2016,LV,S1314_SOCIAL_SECURITY,1194924434765.48,1206209610262.77,308012539390.09,268263359217.99,24448480688.89,71588547962.56,282627193096.27,260775210447.7,201477941263.26,8951111417.31,85226819631.26,16536430373.95,-11285175497.29,GF08_RECREATION,gov_10a_exp,FIRST,2025-01-13
2017,PL,S1313_LOCAL,864447448206.55,955735722547.96,227706619901.0,373433025753.88,66485380617.1,30158620270.05,273527383163.59,216700774695.69,187317132861.6,14741161374.87,18698003819.0,30414311054.49,-91288274341.4,GF09_EDUCATION,gov_10a_rev,SECOND,2025-06-24
2018,ES,S1312_STATE,61782392765.61,65736516098.73,17260027436.0,30994177238.85,4535479101.39,5656540066.6,17536839171.44,19939474521.34,9095091289.26,1412819757.73,3567856669.32,3344948770.14,-3954123333.12,GF10_SOCIAL_PROTECTION,gov_10a_taxag,BENCHMARK,2025-03-11
2019,HR,S1311_CENTRAL,1100726495169.14,1312542954508.84,306468023112.39,564284528039.3,28711504102.15,101587333031.21,301763598430.85,202486806883.67,298348188165.96,7728774367.05,13334612596.23,74426755262.49,-211816459339.69,GF01_GENERAL,gov_10a_main,FLASH,2025-12-19
2020,FI,S1314_SOCIAL_SECURITY,836409465135.34,914887352020.39,308898526997.52,387975733282.85,28716343234.11,55141790379.5,257683514802.79,196896542029.33,162220561537.68,6676097944.73,30944189803.49,11698561381.94,-78477886885.05,GF02_DEFENCE,gov_10a_exp,FIRST,2024-11-30
2021,IE,S1313_LOCAL,900773381548.48,908536960110.9,187727997169.96,201320784245.94,39530317154.02,87335005879.48,185411071014.19,160420494042.38,219129072134.81,26150249867.32,27542985509.74,9429206264.37,-7763578562.42,GF03_PUBLIC_ORDER,gov_10a_rev,SECOND,2024-08-12
2022,MT,S1312_STATE,1380334192283.41,1386848286122.04,356243401675.39,572141771587.57,15727398338.27,67153061401.14,394889119716.98,409726114221.53,379755253936.68,36039038217.3,51003635817.53,69169367487.69,-6514093838.62,GF04_ECONOMIC,gov_10a_taxag,BENCHMARK,2025-10-06
2023,SK,S1311_CENTRAL,837508793269.97,958194670229.55,193484767332.24,291990679642.89,17828134955.92,69630263851.27,229921035305.1,163493932100.69,141085152832.61,18909141898.01,58394979523.56,51848470109.93,-120685876959.57,GF05_ENVIRONMENT,gov_10a_main,FLASH,2025-06-23
2024,BE,S1314_SOCIAL_SECURITY,809514772294.32,766187361047.88,294717921008.74,188655775691.75,36625426115.91,68514345267.11,217443344173.27,215138472591.97,145223526559.61,3712158054.67,44278156011.57,40688885993.35,43327411246.44,GF06_HOUSING,gov_10a_exp,FIRST,2025-10-28
2025,DK,S1313_LOCAL,1441685641855.1,1412332015678.83,323753885711.53,566791912319.23,16566464588.49,46567093354.09,286109155633.75,202434242116.46,307549020030.55,26738854444.35,108589981646.92,15506558918.93,29353626176.27,GF07_HEALTH,gov_10a_rev,SECOND,2024-12-17
2026,GR,S1312_STATE,720286463637.24,780458549886.11,139676673860.83,305573529909.8,45052282448.94,26887420357.3,158588210736.09,168151306319.65,106445406899.47,1962501407.14,16775333227.62,36423852700.1,-60172086248.87,GF08_RECREATION,gov_10a_taxag,BENCHMARK,2025-08-01
2010,LT,S1311_CENTRAL,706751235718.65,748465924506.64,236352485566.34,188746177405.43,19879547944.89,42425366282.47,192684730773.55,101381136693.65,183141593039.51,20112613137.13,40805977949.88,23032067633.8,-41714688787.98,GF09_EDUCATION,gov_10a_main,FLASH,2025-11-23
2011,PT,S1314_SOCIAL_SECURITY,655974079481.47,772159783529.28,188113018107.01,313087191602.83,52688221809.9,75091484543.47,206498350210.3,156379372314.85,109184703155.61,13240795433.11,52146314465.55,26922228156.72,-116185704047.8,GF10_SOCIAL_PROTECTION,gov_10a_exp,FIRST,2025-11-13
2012,SE,S1313_LOCAL,1079118781506.78,1300103048351.13,351672429007.34,339866224992.67,43857530997.03,53291674823.45,339937801515.8,306836765006.87,180140261497.74,5671739005.91,64579327348.07,68894391339.74,-220984266844.35,GF01_GENERAL,gov_10a_rev,SECOND,2025-04-20
2013,CY,S1312_STATE,532574442721.81,513027364678.11,97951008206.41,113665567064.96,19655100708.96,20301106826.66,129131328004.09,93329345126.14,49997543680.54,12460819120.76,33508970191.01,17630228909.79,19547078043.7,GF02_DEFENCE,gov_10a_taxag,BENCHMARK,2025-06-24
2014,FR,S1311_CENTRAL,1265133175686.94,1353994749871.34,479207418805.54,638739906014.74,23928358479.74,91227002248.6,338291594642.32,205849913783.12,284798148640.66,36695375244.0,24395785466.05,62685585099.6,-88861574184.4,GF03_PUBLIC_ORDER,gov_10a_main,FLASH,2025-05-08
2015,IT,S1314_SOCIAL_SECURITY,56863615011.76,57258628297.18,14105504052.62,20304719601.94,3970238667.93,4575391442.94,13692205683.22,15910349818.59,4638658961.36,1021173491.49,907133934.32,3157345514.05,-395013285.42,GF04_ECONOMIC,gov_10a_exp,FIRST,2025-03-10
2016,NL,S1313_LOCAL,623251399122.0,574615695348.79,157618426192.72,195969941393.87,33464132334.54,29476109718.35,189741631081.0,102011123137.55,153081889857.9,4964416969.39,14592149727.37,8005824424.26,48635703773.2,GF05_ENVIRONMENT,gov_10a_rev,SECOND,2025-10-11
2017,SI,S1312_STATE,167043442482.12,194997777055.34,40279464698.25,44776718976.0,3118007246.93,14216979861.57,39572385988.07,28004132843.45,36929395295.03,838529955.45,9465514637.72,7346940449.28,-27954334573.22,GF06_HOUSING,gov_10a_taxag,BENCHMARK,2024-03-10
2018,BG,S1311_CENTRAL,896984195411.56,1048897357991.72,166655017430.77,337657842587.85,46148745241.31,32066505111.74,276034201840.67,279899369349.91,76184847357.11,10722326705.82,55101118916.94,16240895526.66,-151913162580.16,GF07_HEALTH,gov_10a_main,FLASH,2025-12-29
2019,EE,S1314_SOCIAL_SECURITY,473953395956.02,444935842253.23,143849336535.2,114895716430.28,9045322317.13,22694942162.39,83292008092.41,107087033780.45,63241095033.66,8229877692.78,25426015711.27,24524762280.4,29017553702.79,GF08_RECREATION,gov_10a_exp,FIRST,2024-07-28
2020,HU,S1313_LOCAL,1355669720542.18,1448922194931.12,498490066699.75,624936070920.67,90193532974.61,72620793595.97,279193659239.8,418664247547.01,353169148475.38,5310993037.02,32267910571.0,38955393012.27,-93252474388.94,GF09_EDUCATION,gov_10a_rev,SECOND,2025-12-12
2021,LU,S1312_STATE,1023239133686.04,1143361642742.93,235834737226.03,280556163141.41,34360432616.58,71772043043.7,251413934465.51,157356456525.48,114450234549.39,12911543553.52,68188316037.56,61412417769.52,-120122509056.89,GF10_SOCIAL_PROTECTION,gov_10a_taxag,BENCHMARK,2024-03-16
2022,RO,S1311_CENTRAL,1073526393599.12,1060241069956.04,403527436077.32,329684124463.64,36435879080.92,74231927501.95,193353838933.8,283626867257.99,292502856662.62,10623062999.21,73002795980.57,22982654554.38,13285323643.07,GF01_GENERAL,gov_10a_main,FLASH,2026-01-30
2023,AT,S1314_SOCIAL_SECURITY,656184777605.87,647047311231.68,165622512888.6,176937319405.17,7166033993.25,27945835626.32,137634183618.71,167884682892.85,53974646161.59,10332588057.08,6599630595.09,7317530919.88,9137466374.19,GF02_DEFENCE,gov_10a_exp,FIRST,2025-06-16
2024,CZ,S1313_LOCAL,282458309841.8,289356357249.78,106342468818.74,73975791196.87,6908998831.24,17334532100.89,88540359460.49,74078817137.73,29178638982.86,1900324125.44,5479010400.18,15447643425.7,-6898047407.99,GF03_PUBLIC_ORDER,gov_10a_rev,SECOND,2026-01-10
2025,DE,S1312_STATE,537201144380.71,530788900723.41,197784193403.79,149943930071.64,8614533054.78,25184497978.48,139749655946.5,99477457752.39,73015510064.47,15929911129.76,13511138459.89,8254121606.55,6412243657.3,GF04_ECONOMIC,gov_10a_taxag,BENCHMARK,2024-05-04
2026,LV,S1311_CENTRAL,930308209634.11,982577440489.83,286836443400.93,244170945782.76,12179811135.89,91000483277.2,276644826067.53,219677197478.24,230126544988.34,18946819083.37,38544432082.46,41459952936.93,-52269230855.71,GF05_ENVIRONMENT,gov_10a_main,FLASH,2025-08-03
2010,PL,S1314_SOCIAL_SECURITY,364379596565.2,388782298767.72,87574987558.37,168393983297.71,23806942896.72,38709058346.36,56618771224.92,55306667870.53,56711238673.44,6108233935.39,22437312424.8,8950948326.53,-24402702202.53,GF06_HOUSING,gov_10a_exp,FIRST,2025-12-21
2011,ES,S1313_LOCAL,469271203764.3,437176009948.58,116615423568.54,113124816478.57,26402571755.15,14779654337.21,101760234258.48,97055148671.27,50328104413.87,13370136881.61,21969614290.33,20926947810.74,32095193815.72,GF07_HEALTH,gov_10a_rev,SECOND,2025-05-09
2012,HR,S1312_STATE,442290565810.62,412401406121.68,125442962011.45,103280555223.31,8497217452.02,17348017763.76,127425941690.09,91140115013.74,87814806908.45,196430289.12,30652076857.56,15721851798.29,29889159688.95,GF08_RECREATION,gov_10a_taxag,BENCHMARK,2025-11-19
2013,FI,S1311_CENTRAL,1126554446785.09,1082066425875.33,234716757923.27,307769010444.05,52953290049.18,74570200526.21,180736864981.45,372386965901.24,196942341155.69,8444484137.97,59752025311.34,42326062962.82,44488020909.76,GF09_EDUCATION,gov_10a_main,FLASH,2024-03-30
2014,IE,S1314_SOCIAL_SECURITY,738496782864.14,768674519124.86,238454731210.21,364708145961.6,48374674363.85,43433758433.75,184418195086.33,209927798057.71,68351099717.48,15817017513.58,33487194192.71,22490005077.42,-30177736260.72,GF10_SOCIAL_PROTECTION,gov_10a_exp,FIRST,2024-04-19
2015,MT,S1313_LOCAL,380827269816.79,353188026450.76,108096905778.38,148952654821.84,4057373160.06,34697188202.16,94183772627.98,109843340722.74,82760892092.76,4072518982.75,24377768676.85,8131084330.16,27639243366.03,GF01_GENERAL,gov_10a_rev,SECOND,2025-06-10
2016,SK,S1312_STATE,638850901777.47,639838403569.58,145826287047.98,149588574429.3,41792032476.33,63422758404.33,142739413786.18,171775692523.57,65788020080.32,13290677825.92,19102595755.53,12784511029.19,-987501792.11,GF02_DEFENCE,gov_10a_taxag,BENCHMARK,2025-12-22
