trans_transit_service_date,trans_transit_agency_gtfs_id,trans_transit_route_id,trans_transit_route_type,trans_transit_scheduled_trips_count,trans_transit_actual_trips_count,trans_transit_on_time_performance_pct,trans_transit_headway_minutes_avg,trans_transit_passenger_boardings,trans_transit_passenger_alightings,trans_transit_load_factor_peak,trans_transit_vehicle_miles_traveled,trans_transit_vehicle_hours_traveled,trans_transit_revenue_miles_traveled,trans_transit_farebox_revenue_usd,trans_transit_fare_evasion_estimate_pct,trans_transit_service_disruption_minutes,trans_transit_accessibility_compliance_pct,trans_transit_operator_absence_rate,trans_transit_customer_complaints_count
2019-04-12,GTFS00103,R0000102,TRAM,223,175,55.57,17.44,129334,241601,1.067,18300.72,1084.18,12591.68,3747028.49,7.49,60,98.94,0.31,4618
2019-04-13,GTFS00104,R0000103,RAIL,1479,1408,59.28,20.45,38383,224229,0.598,2427.13,4510.8,2341.04,3023942.1,4.5,308,83.36,2.55,4231
2019-04-14,GTFS00105,R0000104,BUS,1085,1099,56.21,31.28,29106,4018,1.634,12499.15,6040.27,12355.11,4094364.3,6.93,64,93.03,9.11,2425
2019-04-15,GTFS00106,R0000105,BUS,213,212,57.26,32.42,241894,2135,0.239,9854.92,1411.78,7956.43,2712973.17,11.77,182,87.77,8.86,4207
2019-04-16,GTFS00107,R0000106,BUS,1330,1343,64.98,14.47,225273,159781,1.366,14831.56,11116.16,9047.84,6855160.67,5.72,266,92.56,13.39,2259
2019-04-17,GTFS00108,R0000107,BUS,1009,1018,86.74,9.2,152034,221023,1.448,16823.39,16403.22,14356.56,4161802.97,6.25,62,82.66,15.23,15
2019-04-18,GTFS00109,R0000108,BUS,929,752,78.33,11.64,13304,51466,1.387,6597.62,6112.87,6017.23,3433255.33,0.86,385,90.47,12.63,4014
2019-04-19,GTFS00110,R0000109,BUS,482,436,95.12,39.13,130765,198135,0.115,21763.86,8641.56,17872.22,7047217.4,7.91,232,89.09,2.09,4681
2019-04-20,GTFS00111,R0000110,BUS,302,279,94.95,24.32,178542,109135,1.222,13339.75,3837.36,12429.39,6699690.16,15.29,206,85.45,5.32,1780
2019-04-21,GTFS00112,R0000111,RAIL,553,517,68.07,8.67,89043,5184,1.797,2178.44,7093.83,2035.92,5009932.83,9.15,120,98.1,9.32,4350
2019-04-22,GTFS00113,R0000112,BUS,1021,1024,85.13,30.17,147866,199470,0.255,17395.94,3228.36,17124.97,7235058.76,5.38,64,80.64,8.82,4189
2019-04-23,GTFS00114,R0000113,BUS,1499,1349,57.33,18.31,131033,41748,0.376,6643.94,12293.2,4543.45,2927323.41,12.52,150,89.44,2.86,5601
2019-04-24,GTFS00115,R0000114,RAIL,1254,1124,89.28,25.87,208850,27006,1.279,11389.45,14755.09,10288.2,5171779.95,10.17,265,72.51,14.23,1986
2019-04-25,GTFS00116,R0000115,SUBWAY,270,208,82.51,33.29,213172,41037,1.173,20871.97,6005.34,13407.88,3337421.17,5.3,454,72.03,10.76,657
2019-04-26,GTFS00117,R0000116,RAIL,156,140,83.35,8.02,141031,28479,1.585,19006.7,16183.47,14705.74,3770500.02,3.47,119,86.22,16.62,1198
2019-04-27,GTFS00118,R0000117,GONDOLA,725,629,84.81,19.01,240579,189424,1.386,2313.39,1816.3,2287.0,6375336.76,2.21,43,75.33,4.32,1718
2019-04-28,GTFS00119,R0000118,SUBWAY,31,29,79.96,21.64,89186,178633,0.981,9920.2,6006.59,9720.01,4926945.63,14.01,339,86.61,0.03,4883
2019-04-29,GTFS00120,R0000119,BUS,1046,851,80.84,8.51,100441,181674,1.35,4707.56,12659.72,3899.23,3729245.81,5.78,131,81.85,8.02,2621
2019-04-30,GTFS00121,R0000120,BUS,990,1003,80.94,21.17,13846,83149,1.669,20060.15,399.41,15680.23,61917.68,0.99,392,79.42,13.3,3719
2019-05-01,GTFS00122,R0000121,RAIL,1127,976,63.28,17.5,93060,77192,0.743,19729.26,4793.97,15667.22,5222971.95,2.74,242,85.5,6.19,6163
2019-05-02,GTFS00123,R0000122,RAIL,203,184,81.34,8.83,126230,224089,0.707,6283.29,2313.68,6201.35,5220740.1,3.77,409,91.11,1.41,3248
2019-05-03,GTFS00124,R0000123,SUBWAY,870,761,81.43,5.82,236343,198080,0.804,21442.13,9864.86,20612.23,1696279.88,11.59,425,86.37,3.69,3428
2019-05-04,GTFS00125,R0000124,SUBWAY,960,829,73.52,27.03,97127,118013,0.167,7159.92,8841.41,4709.13,6691579.43,5.88,419,81.52,16.13,4511
2019-05-05,GTFS00126,R0000125,BUS,188,180,88.3,20.18,217172,70006,0.656,2296.99,12675.62,2068.4,4716573.99,2.44,353,79.26,14.4,3235
2019-05-06,GTFS00127,R0000126,RAIL,1308,1193,76.38,34.97,180750,5623,1.223,11849.4,7098.32,10673.49,6031617.79,3.7,220,84.13,15.99,1696
2019-05-07,GTFS00128,R0000127,CABLE,1009,913,58.9,12.3,45737,141007,0.21,21496.57,16255.47,18590.93,3053362.06,13.86,293,86.22,2.81,525
2019-05-08,GTFS00129,R0000128,RAIL,1411,1425,67.4,12.39,120217,52262,1.069,15545.86,9201.61,9333.29,1848872.16,3.61,154,76.11,6.31,1423
2019-05-09,GTFS00130,R0000129,FERRY,609,536,61.74,19.44,198544,232764,0.162,3214.68,5535.53,2421.34,1849550.2,14.72,322,84.16,0.32,2359
2019-05-10,GTFS00131,R0000130,BUS,1246,947,60.94,39.73,118203,78497,0.478,8344.7,4371.55,7376.06,2645387.28,3.24,392,71.63,3.26,4227
2019-05-11,GTFS00132,R0000131,BUS,88,84,92.74,13.65,243910,40346,0.856,5264.95,7478.32,3728.67,4906604.3,10.59,84,78.62,6.82,5896
2019-05-12,GTFS00133,R0000132,BUS,860,801,95.61,25.8,243552,62629,0.764,21657.89,16635.12,13083.27,5728734.92,16.13,232,71.0,17.86,1418
2019-05-13,GTFS00134,R0000133,BUS,216,196,80.95,10.14,194865,15124,0.789,5120.59,15731.55,4255.57,2065886.04,12.47,206,91.55,11.08,1448
2019-05-14,GTFS00135,R0000134,SUBWAY,1041,1042,75.17,15.06,35364,219419,1.721,2740.82,11252.26,2037.27,4805687.72,3.73,414,72.06,1.17,6461
2019-05-15,GTFS00136,R0000135,BUS,1181,1094,58.66,24.27,216507,116562,0.493,10439.89,13215.12,8969.21,2035183.12,8.03,436,98.52,16.6,2460
2019-05-16,GTFS00137,R0000136,BUS,1408,1429,89.13,29.37,53869,51239,0.281,21019.69,7660.65,20473.08,105861.94,4.59,375,81.73,6.77,763
2019-05-17,GTFS00138,R0000137,BUS,1165,890,97.05,9.47,104787,155001,0.8,19314.83,10885.63,12465.42,5684762.58,12.36,336,77.07,16.14,2092
2019-05-18,GTFS00139,R0000138,BUS,36,36,84.97,31.88,202835,185500,1.091,9247.74,16805.04,6554.72,6926420.29,1.19,162,93.12,4.47,3037
2019-05-19,GTFS00140,R0000139,GONDOLA,367,305,91.37,25.45,122070,203987,0.809,1047.93,6748.18,654.06,654899.7,9.94,391,90.44,17.77,4112
2019-05-20,GTFS00141,R0000140,SUBWAY,494,388,81.24,36.27,207899,54273,0.464,3498.89,4013.73,2452.44,2048565.85,1.04,117,83.86,7.45,1412
2019-05-21,GTFS00142,R0000141,SUBWAY,1247,1237,73.13,14.24,27414,113648,1.287,4384.96,11863.94,3752.72,5862355.65,2.14,232,94.12,1.48,2552
2019-05-22,GTFS00143,R0000142,SUBWAY,1108,980,62.19,8.09,65397,199669,1.74,18518.09,4209.06,13784.05,7253375.13,3.85,233,71.96,16.41,4015
2019-05-23,GTFS00144,R0000143,BUS,1342,1246,72.59,29.26,39691,33690,0.327,14057.3,10316.64,10266.24,4165335.55,3.36,32,91.21,16.25,801
2019-05-24,GTFS00145,R0000144,BUS,545,442,77.73,30.21,209260,43933,0.538,6139.32,3486.61,4815.93,4605963.08,9.15,446,80.39,17.62,2257
2019-05-25,GTFS00146,R0000145,BUS,725,594,97.92,10.75,205760,160622,0.559,3576.05,13451.87,3322.36,4552507.03,7.08,59,95.47,5.06,1788
2019-05-26,GTFS00147,R0000146,BUS,292,255,56.52,39.14,33674,14286,1.798,20077.59,14256.75,15208.29,2138290.41,2.55,417,74.84,14.97,2566
2019-05-27,GTFS00148,R0000147,SUBWAY,1237,1179,75.34,37.28,73272,236467,1.772,12404.83,15439.09,7716.92,6937498.15,14.62,183,76.08,15.02,348
2019-05-28,GTFS00149,R0000148,BUS,1072,811,56.4,33.65,224598,30106,0.711,18432.47,7038.75,12808.7,4163902.46,12.74,474,90.05,4.4,1621
2019-05-29,GTFS00150,R0000149,BUS,756,651,57.93,19.55,246382,31162,0.988,11722.93,15368.31,9714.8,7072761.7,10.32,175,80.25,3.92,115
2019-05-30,GTFS00151,R0000150,RAIL,801,703,85.57,14.69,31618,130797,0.228,10866.4,5887.24,10240.67,7043193.81,0.01,17,76.06,4.08,6437
2019-05-31,GTFS00152,R0000151,BUS,601,459,93.69,19.07,179731,15101,1.374,3758.8,17438.55,3653.46,4694148.03,13.04,286,73.99,10.63,5234
2019-06-01,GTFS00153,R0000152,BUS,516,455,77.39,12.59,151651,11839,0.402,19670.64,10134.91,14734.03,3513580.33,1.36,131,73.01,0.18,5931
2019-06-02,GTFS00154,R0000153,BUS,741,574,99.44,38.82,10870,133536,0.8,807.03,13292.84,620.09,2093923.33,6.83,13,70.37,11.2,6343
2019-06-03,GTFS00155,R0000154,SUBWAY,599,456,55.35,12.75,24034,176785,1.395,8123.14,17310.86,7771.33,4049567.19,9.03,153,75.1,15.47,307
2019-06-04,GTFS00156,R0000155,BUS,1355,1282,79.65,10.4,189413,159930,0.44,4445.78,3042.63,3073.17,3248937.41,9.63,186,93.46,0.15,3280
2019-06-05,GTFS00157,R0000156,BUS,1057,900,81.52,7.51,2868,205273,0.369,19489.76,8364.26,17371.85,2240178.78,12.23,241,84.93,4.61,496
2019-06-06,GTFS00158,R0000157,TRAM,1332,1178,72.07,35.23,239179,34239,0.497,20945.23,8954.77,14893.11,1977206.58,1.41,272,74.46,5.04,4162
2019-06-07,GTFS00159,R0000158,BUS,1138,1094,93.81,4.51,73877,33338,1.607,21384.79,10603.89,20745.05,402054.4,8.02,204,88.72,15.88,6356
2019-06-08,GTFS00160,R0000159,BUS,942,868,91.04,28.68,156221,162962,0.239,20149.76,12053.06,16508.15,5239853.22,3.17,478,87.43,6.1,1730
