qol_reg_reference_year,qol_reg_country_iso2,qol_reg_region_nuts_code,qol_reg_gdp_per_capita_pps,qol_reg_employment_rate_pct,qol_reg_r_and_d_intensity_pct_gdp,qol_reg_broadband_coverage_pct,qol_reg_accessibility_index,qol_reg_health_outcomes_index,qol_reg_education_attainment_index,qol_reg_poverty_rate_pct,qol_reg_income_inequality_gini,qol_reg_air_quality_index,qol_reg_green_space_access_pct,qol_reg_public_services_quality_score,qol_reg_institutional_quality_index,qol_reg_cohesion_funds_per_capita_eur,qol_reg_just_transition_exposure_index,qol_reg_data_source,qol_reg_data_extract_date
2019,DE,EE701,200.39,63.54,0.54,92.27,53.03,91.25,83.0,23.26,26.42,82.48,58.49,8.78,39.45,367.97,24.9,NATIONAL_STAT_EXPORT,2025-04-10
2020,LU,HU3,180.71,69.43,2.56,83.4,45.8,82.59,66.22,13.5,38.08,68.51,65.8,7.82,79.24,871.94,5.73,COHESION_POLICY_DASHBOARD,2024-01-02
2021,SI,MT17,122.36,62.25,1.64,79.43,52.27,61.69,78.14,16.65,35.79,45.98,40.73,5.68,36.01,558.29,22.11,JRC_COMPOSITE,2024-01-15
2022,CY,HU5,157.79,57.34,1.55,83.26,53.94,76.91,44.31,30.93,27.06,78.31,77.67,8.18,84.61,990.59,44.29,EUROSTAT_REGIO,2024-03-02
2023,GR,BG54,95.41,55.16,1.0,69.97,67.23,43.8,59.56,31.12,34.77,71.01,43.61,7.63,40.94,815.69,45.26,NATIONAL_STAT_EXPORT,2025-02-15
2024,MT,EE41,168.16,67.59,0.74,68.95,77.83,81.6,70.94,15.36,30.11,34.5,31.11,5.32,35.18,834.55,42.64,COHESION_POLICY_DASHBOARD,2024-07-01
2025,ES,RO20,170.41,65.23,1.65,92.97,52.77,51.99,38.84,13.23,24.74,69.75,60.04,6.29,50.49,2024.87,52.76,JRC_COMPOSITE,2024-03-09
2006,CZ,DE390,122.8,62.93,1.96,70.46,41.59,71.82,60.05,32.04,35.03,68.4,32.24,6.12,80.2,991.51,64.69,EUROSTAT_REGIO,2025-01-04
2007,HU,SE9,87.64,75.12,0.98,60.31,39.82,81.49,85.52,18.3,29.54,66.37,81.39,6.07,77.63,1134.75,18.61,NATIONAL_STAT_EXPORT,2025-08-18
2008,NL,IE909,103.5,79.51,1.44,95.55,79.18,72.36,40.51,12.88,22.61,46.86,48.97,8.63,72.07,65.05,41.52,COHESION_POLICY_DASHBOARD,2025-01-23
2009,SE,EE4,117.98,63.46,3.08,65.55,41.98,92.65,51.28,23.06,26.43,90.44,39.77,6.69,87.14,703.37,52.6,JRC_COMPOSITE,2024-07-07
2010,DK,CZ782,94.94,64.86,3.13,69.59,49.54,80.03,60.92,7.07,27.51,91.41,30.07,6.87,57.44,201.08,52.41,EUROSTAT_REGIO,2024-01-23
2011,IE,BG24,101.37,69.33,1.98,66.26,41.69,65.92,84.06,15.0,30.42,60.43,78.16,5.61,72.88,884.27,48.78,NATIONAL_STAT_EXPORT,2024-11-25
2012,PL,PL2,111.15,62.56,0.8,58.54,45.93,54.97,40.03,13.99,28.43,40.18,54.32,7.75,32.67,1567.26,13.75,COHESION_POLICY_DASHBOARD,2024-02-29
2013,AT,FI96,220.59,82.74,1.44,94.26,37.66,63.91,61.37,21.15,27.39,42.5,45.69,8.6,75.65,90.39,36.79,JRC_COMPOSITE,2025-04-08
2014,EE,HR548,95.18,74.37,2.26,85.73,37.23,78.8,58.47,30.7,26.97,54.83,70.23,7.59,35.78,314.88,9.15,EUROSTAT_REGIO,2024-02-06
2015,IT,SI317,138.71,75.12,0.65,81.23,40.36,47.27,70.5,26.92,32.67,70.08,37.79,6.83,46.36,1084.29,6.92,NATIONAL_STAT_EXPORT,2026-01-01
2016,PT,SK232,114.97,75.87,1.63,93.05,65.62,48.12,43.95,20.48,31.09,57.08,69.49,6.28,62.64,311.1,7.48,COHESION_POLICY_DASHBOARD,2024-03-26
2017,BE,AT535,228.13,77.32,0.83,100.0,77.5,69.15,84.26,18.91,36.22,63.82,52.24,5.15,79.6,155.95,27.55,JRC_COMPOSITE,2024-09-29
2018,FI,IE175,193.98,82.31,1.89,84.6,75.18,49.66,81.81,15.58,33.34,48.73,83.28,5.78,72.94,707.13,20.66,EUROSTAT_REGIO,2024-03-19
2019,LV,ES6,65.0,72.61,1.71,68.29,82.5,64.09,64.07,16.28,23.46,83.68,27.61,5.99,60.25,1848.23,56.66,NATIONAL_STAT_EXPORT,2024-05-12
2020,RO,CY300,142.42,59.02,1.98,97.73,95.06,47.22,78.03,30.66,25.1,84.76,35.09,6.06,60.59,201.67,83.03,COHESION_POLICY_DASHBOARD,2024-09-22
2021,BG,HU1,146.94,59.58,2.42,74.51,62.99,81.32,71.67,11.66,33.18,45.83,66.18,5.67,52.95,256.28,20.53,JRC_COMPOSITE,2024-02-06
2022,FR,GR9,176.75,81.19,0.83,98.59,66.3,86.43,56.88,7.98,27.35,67.05,77.47,7.0,67.36,1075.45,49.53,EUROSTAT_REGIO,2024-10-24
2023,LT,LV4,156.44,65.69,1.48,69.9,40.47,51.06,71.08,15.85,36.66,68.19,40.51,8.3,64.27,1406.3,31.22,NATIONAL_STAT_EXPORT,2024-01-05
2024,SK,LU8,103.28,60.75,1.77,96.29,63.26,72.06,83.63,11.53,33.75,63.72,68.69,7.93,45.28,535.18,64.0,COHESION_POLICY_DASHBOARD,2024-04-13
2025,HR,BE7,143.78,65.49,2.25,81.09,62.0,64.15,66.29,25.9,23.72,52.78,81.59,7.22,79.49,576.84,22.59,JRC_COMPOSITE,2024-07-03
2006,DE,LT7,137.84,81.61,3.02,81.96,65.91,51.18,76.55,7.96,33.13,82.95,41.42,6.51,65.56,65.7,48.3,EUROSTAT_REGIO,2024-04-28
2007,LU,DE63,101.53,79.92,0.38,79.62,55.37,52.06,70.54,11.56,38.39,58.29,48.57,8.23,73.67,765.76,28.31,NATIONAL_STAT_EXPORT,2025-03-13
2008,SI,HR75,108.25,73.04,1.8,58.73,36.34,66.85,76.07,24.89,29.8,82.62,40.08,7.04,45.01,605.66,15.39,COHESION_POLICY_DASHBOARD,2024-11-13
2009,CY,DE5,70.21,70.44,1.1,86.38,57.91,54.0,44.49,10.98,35.42,70.78,47.05,7.97,37.76,752.85,21.39,JRC_COMPOSITE,2025-03-12
2010,GR,RO699,109.87,62.23,1.4,67.21,45.25,70.81,64.39,17.92,35.23,87.38,38.69,5.63,63.54,2078.81,8.52,EUROSTAT_REGIO,2024-02-16
2011,MT,BE106,112.06,68.49,1.39,76.13,63.86,84.28,75.12,27.86,27.55,61.97,56.92,5.23,33.64,722.01,7.67,NATIONAL_STAT_EXPORT,2024-11-03
2012,ES,CY80,85.0,67.67,1.54,76.54,85.54,66.58,76.76,25.23,36.32,46.36,58.7,7.21,39.2,1361.34,43.94,COHESION_POLICY_DASHBOARD,2024-10-11
2013,CZ,AT5,117.76,72.39,0.61,82.49,85.24,84.21,81.56,12.27,36.6,63.06,35.45,5.9,45.29,1301.24,8.6,JRC_COMPOSITE,2024-03-01
2014,HU,HU483,101.44,57.97,2.03,66.46,90.1,68.38,67.27,20.52,28.42,48.52,78.45,6.49,48.42,2156.44,48.3,EUROSTAT_REGIO,2026-01-17
2015,NL,SE14,106.75,68.13,1.73,75.08,54.83,75.29,46.67,14.84,25.88,44.97,83.13,7.92,90.49,240.61,37.92,NATIONAL_STAT_EXPORT,2025-06-19
2016,SE,PT7,73.87,80.01,4.3,100.0,75.48,95.65,70.22,15.36,35.79,70.25,68.17,6.72,79.44,154.41,5.86,COHESION_POLICY_DASHBOARD,2024-08-30
2017,DK,HR480,205.01,80.64,3.82,96.82,48.95,53.01,60.11,22.41,29.49,88.07,54.26,8.47,43.08,467.42,10.12,JRC_COMPOSITE,2025-02-16
2018,IE,IE964,82.89,82.72,1.52,79.46,71.33,85.28,78.06,10.51,33.48,36.52,58.37,5.46,60.75,975.04,33.34,EUROSTAT_REGIO,2025-02-10
2019,PL,NL82,79.87,71.38,0.4,67.41,61.38,84.12,56.23,25.02,31.47,57.73,27.52,7.62,82.97,1776.85,43.17,NATIONAL_STAT_EXPORT,2024-02-10
2020,AT,IE4,81.77,64.22,2.39,100.0,52.61,90.58,69.12,14.1,31.5,51.82,38.23,7.1,81.91,606.02,38.87,COHESION_POLICY_DASHBOARD,2024-06-10
2021,EE,PT53,82.74,65.44,1.14,88.26,48.82,83.5,59.91,29.73,38.43,49.57,38.59,6.52,74.5,1860.58,13.07,JRC_COMPOSITE,2025-01-29
2022,IT,LU771,181.62,65.42,2.2,79.44,42.01,71.64,81.98,20.7,33.8,84.44,89.59,7.41,43.17,2147.61,24.59,EUROSTAT_REGIO,2024-05-27
2023,PT,LU993,102.52,63.25,1.77,96.58,42.17,68.37,83.49,24.56,30.49,69.17,26.86,5.16,37.16,291.85,56.37,NATIONAL_STAT_EXPORT,2024-11-17
2024,BE,SE398,122.64,79.57,0.7,97.29,41.99,77.71,77.88,13.36,30.46,43.85,84.72,7.54,68.85,740.75,57.54,COHESION_POLICY_DASHBOARD,2025-08-04
2025,FI,SI76,229.33,83.01,3.35,77.61,52.02,91.27,81.94,23.53,25.52,38.75,39.21,9.17,66.19,493.83,38.58,JRC_COMPOSITE,2024-10-12
2006,LV,IE2,132.15,67.32,2.36,81.45,41.05,74.38,93.19,9.79,25.02,71.63,93.95,5.67,51.15,1885.81,42.49,EUROSTAT_REGIO,2025-07-26
2007,RO,EE13,134.06,72.87,2.03,84.64,94.55,81.38,58.22,17.31,24.98,73.68,92.8,6.32,49.14,1806.82,43.79,NATIONAL_STAT_EXPORT,2025-05-10
2008,BG,FR89,133.81,56.12,2.09,81.41,56.39,68.88,58.15,15.13,31.56,49.21,74.83,5.72,75.47,543.33,39.08,COHESION_POLICY_DASHBOARD,2025-04-13
2009,FR,DE9,194.91,66.47,0.53,80.41,54.49,54.36,50.47,16.07,24.63,82.61,41.47,7.07,79.22,995.23,36.26,JRC_COMPOSITE,2024-03-06
2010,LT,LV96,59.29,72.43,2.62,83.77,67.97,79.07,58.79,17.28,31.91,78.26,76.76,8.16,83.89,314.84,5.34,EUROSTAT_REGIO,2025-11-17
2011,SK,PL334,157.63,72.56,1.55,68.46,49.02,44.39,79.18,9.92,38.6,83.17,72.98,7.23,76.98,177.43,32.95,NATIONAL_STAT_EXPORT,2024-06-22
2012,HR,EE9,100.61,74.37,1.76,77.95,67.99,67.19,74.52,21.29,30.9,44.39,49.08,7.43,33.28,1890.17,51.86,COHESION_POLICY_DASHBOARD,2024-10-14
2013,DE,BE804,138.65,67.82,1.74,91.22,87.1,56.47,80.52,19.68,28.87,51.49,85.02,9.3,48.9,81.8,47.47,JRC_COMPOSITE,2024-12-02
2014,LU,BG296,179.13,86.28,1.34,65.63,86.26,61.39,82.03,22.94,31.79,49.45,34.18,8.48,57.89,898.35,35.77,EUROSTAT_REGIO,2024-07-22
2015,SI,CY239,62.44,57.1,1.31,79.36,47.57,53.41,59.08,9.36,38.68,82.13,59.11,7.29,79.79,1163.41,13.82,NATIONAL_STAT_EXPORT,2025-07-22
2016,CY,ES66,162.54,64.77,1.83,89.84,59.89,78.39,80.19,18.11,36.46,77.13,79.73,8.24,41.82,268.45,38.54,COHESION_POLICY_DASHBOARD,2025-09-23
2017,GR,MT8,113.95,65.89,0.27,86.09,60.82,83.79,74.27,28.39,24.44,85.28,55.92,7.04,58.76,1555.16,52.56,JRC_COMPOSITE,2025-08-02
2018,MT,AT29,146.41,58.02,0.97,66.49,87.01,66.02,69.88,22.77,28.8,61.95,68.29,5.38,37.44,1296.46,7.95,EUROSTAT_REGIO,2026-01-02
2019,ES,LV540,182.92,64.33,1.65,77.89,53.73,45.86,56.75,23.66,30.91,64.14,34.87,5.49,40.34,1411.4,34.25,NATIONAL_STAT_EXPORT,2024-08-10
2020,CZ,LU6,77.2,71.8,1.41,74.97,35.06,84.29,72.97,11.08,27.09,45.05,53.75,6.21,41.99,1833.55,83.8,COHESION_POLICY_DASHBOARD,2024-05-24
2021,HU,LV636,170.0,74.01,0.32,94.03,63.03,77.66,68.92,22.08,33.89,80.52,60.6,7.75,76.06,1352.04,31.6,JRC_COMPOSITE,2025-03-29
2022,NL,BG62,181.08,73.51,4.05,80.86,91.26,54.26,65.6,18.96,28.84,36.92,41.76,8.94,80.47,556.26,51.31,EUROSTAT_REGIO,2024-06-07
2023,SE,SK7,230.0,72.51,2.2,87.79,82.97,56.92,55.89,17.62,29.72,40.74,46.74,6.69,49.65,518.56,22.7,NATIONAL_STAT_EXPORT,2025-06-17
2024,DK,EE185,212.54,81.53,4.17,78.53,71.9,94.54,73.37,18.43,22.31,80.14,63.32,8.06,65.93,819.3,25.83,COHESION_POLICY_DASHBOARD,2024-05-31
2025,IE,PL329,230.0,65.53,0.63,88.44,67.05,51.34,65.5,20.09,36.59,60.5,72.74,7.98,52.54,513.79,31.49,JRC_COMPOSITE,2025-07-25
2006,PL,SE651,65.57,71.84,0.58,73.68,76.81,76.03,62.2,10.11,38.48,86.06,49.83,6.04,76.05,1789.27,24.45,EUROSTAT_REGIO,2024-04-27
2007,AT,IE41,189.88,70.5,0.72,91.1,78.91,79.2,41.1,9.24,36.4,50.6,32.8,5.86,38.65,503.48,14.96,NATIONAL_STAT_EXPORT,2025-10-04
2008,EE,GR651,118.28,63.17,0.58,69.26,84.21,80.17,85.75,28.3,33.08,44.57,29.56,5.88,71.3,361.79,29.19,COHESION_POLICY_DASHBOARD,2025-04-19
2009,IT,AT638,83.46,58.24,0.65,65.04,69.4,79.65,55.71,22.12,33.98,64.52,42.08,5.75,49.93,1117.31,31.01,JRC_COMPOSITE,2025-07-30
2010,PT,CZ11,60.65,74.97,2.39,61.55,49.08,54.14,73.6,24.61,26.98,36.67,53.33,5.53,53.88,2183.43,34.01,EUROSTAT_REGIO,2025-04-21
2011,BE,PT383,93.82,68.7,2.66,67.47,52.87,96.43,52.23,11.51,35.11,53.95,69.51,6.29,52.43,692.86,18.46,NATIONAL_STAT_EXPORT,2025-05-03
2012,FI,LT246,125.93,86.19,4.07,72.05,75.21,85.3,73.79,10.06,27.17,73.54,81.06,8.99,77.22,305.78,26.02,COHESION_POLICY_DASHBOARD,2025-04-28
2013,LV,IE11,147.4,64.83,1.02,68.54,93.44,68.33,39.87,16.92,36.66,69.2,36.43,6.71,66.51,410.29,38.26,JRC_COMPOSITE,2025-04-07
2014,RO,LT3,161.2,70.81,0.31,72.16,42.33,78.95,40.91,30.32,38.67,40.07,61.72,6.92,79.77,1545.61,14.38,EUROSTAT_REGIO,2024-10-04
2015,BG,BE627,147.44,56.49,0.32,59.05,78.58,83.32,45.75,10.59,26.18,78.17,34.03,8.06,74.2,2028.27,31.54,NATIONAL_STAT_EXPORT,2024-10-04
2016,FR,IT855,142.06,79.31,2.04,100.0,84.65,64.67,60.46,15.39,38.48,86.93,40.35,5.73,33.49,63.48,18.04,COHESION_POLICY_DASHBOARD,2025-05-07
2017,LT,FR77,59.0,69.91,1.59,75.94,79.4,60.24,79.39,17.73,29.0,73.67,54.43,6.26,41.01,1646.34,18.02,JRC_COMPOSITE,2026-01-22
2018,SK,DE7,77.21,73.79,1.76,73.89,56.06,58.8,74.89,11.35,31.68,52.17,24.23,8.07,67.97,1497.58,16.45,EUROSTAT_REGIO,2024-07-18
2019,HR,GR48,179.98,60.63,1.54,87.41,40.59,56.67,77.38,15.6,36.77,87.3,92.3,7.55,64.56,422.75,63.63,NATIONAL_STAT_EXPORT,2025-08-12
2020,DE,HU12,194.67,64.69,2.25,76.17,84.13,77.64,89.4,23.3,36.95,63.98,46.13,7.89,47.75,369.66,6.4,COHESION_POLICY_DASHBOARD,2024-12-19
2021,LU,SI9,149.98,80.26,0.91,100.0,42.34,74.04,70.23,7.04,27.51,46.46,64.74,5.95,72.13,82.69,13.18,JRC_COMPOSITE,2025-05-13
2022,SI,LU61,184.13,58.8,1.83,71.14,89.32,68.74,40.72,21.16,28.41,53.41,75.19,4.99,49.6,1204.53,13.0,EUROSTAT_REGIO,2025-07-31
2023,CY,NL323,93.7,67.56,0.67,94.31,52.26,65.06,77.5,26.78,33.11,58.41,65.39,5.27,71.46,2079.4,41.11,NATIONAL_STAT_EXPORT,2024-09-24
2024,GR,BE82,67.06,62.61,2.47,83.0,36.87,71.26,96.94,19.79,30.4,40.77,34.83,4.78,72.14,296.29,60.04,COHESION_POLICY_DASHBOARD,2025-09-18
2025,MT,IT3,186.8,57.75,0.76,79.27,40.85,76.3,67.1,19.08,35.24,67.1,77.23,7.55,32.66,376.25,48.84,JRC_COMPOSITE,2025-05-19
2006,ES,FI692,121.47,55.19,2.18,73.46,88.62,48.71,81.83,25.68,26.85,62.61,51.55,7.74,82.74,165.54,16.18,EUROSTAT_REGIO,2024-05-25
2007,CZ,MT305,88.45,69.19,0.33,75.38,47.18,72.42,44.88,16.97,23.9,73.65,34.32,5.42,38.26,1475.45,42.53,NATIONAL_STAT_EXPORT,2025-12-20
2008,HU,IT858,137.6,56.54,0.95,58.61,79.33,62.72,81.36,12.0,35.61,41.98,74.24,6.62,33.99,621.49,26.32,COHESION_POLICY_DASHBOARD,2024-11-15
2009,NL,IE84,78.68,84.75,2.25,74.39,46.3,74.19,51.9,18.15,33.81,58.8,49.59,9.1,66.26,930.93,48.39,JRC_COMPOSITE,2024-04-18
2010,SE,PL757,106.3,84.66,3.29,71.09,67.14,77.24,71.53,13.97,28.35,68.02,54.51,7.25,98.14,390.8,8.62,EUROSTAT_REGIO,2024-04-01
2011,DK,ES9,182.73,69.56,2.11,68.74,64.92,67.14,59.63,8.42,22.98,89.97,73.93,8.86,49.29,151.71,7.0,NATIONAL_STAT_EXPORT,2025-03-15
2012,IE,DK81,158.46,72.61,0.32,88.62,62.1,68.58,72.95,21.48,33.12,65.9,75.92,8.7,84.04,638.92,46.33,COHESION_POLICY_DASHBOARD,2025-11-06
2013,PL,CY489,118.49,73.52,0.39,76.41,48.71,54.61,61.68,22.95,37.43,73.25,62.58,7.38,36.29,276.35,24.09,JRC_COMPOSITE,2025-12-25
2014,AT,DK205,166.29,73.63,1.03,73.0,86.99,71.0,66.75,7.03,32.45,45.5,33.96,5.06,75.69,1010.13,29.41,EUROSTAT_REGIO,2025-02-09
2015,EE,BE46,69.09,73.1,2.37,63.02,73.35,58.48,44.05,28.01,36.48,42.15,56.71,7.54,44.43,1613.54,38.05,NATIONAL_STAT_EXPORT,2024-01-06
2016,IT,SE5,86.22,71.38,0.43,70.09,38.87,70.6,86.17,21.57,24.62,54.83,50.23,7.91,36.0,279.08,48.07,COHESION_POLICY_DASHBOARD,2024-09-03
2017,PT,IE380,163.75,75.49,2.23,75.1,69.11,80.47,60.77,20.13,28.37,51.19,75.73,8.0,68.57,1145.82,4.96,JRC_COMPOSITE,2025-07-30
2018,BE,EE62,141.89,67.11,2.39,81.05,87.99,87.37,86.71,16.83,38.31,36.99,66.76,7.99,69.93,929.67,44.96,EUROSTAT_REGIO,2024-09-29
2019,FI,SI58,73.81,74.28,4.27,100.0,61.5,89.7,83.42,8.93,28.28,82.68,69.37,7.29,44.46,915.58,38.88,NATIONAL_STAT_EXPORT,2024-02-07
2020,LV,FI585,115.95,57.78,1.57,74.37,33.53,55.95,54.4,18.82,28.11,80.73,48.46,7.51,47.43,1208.78,39.45,COHESION_POLICY_DASHBOARD,2025-05-16
2021,RO,LU386,114.75,56.09,0.69,84.58,57.96,69.68,78.02,17.85,30.65,63.52,51.52,7.15,77.79,1784.24,54.72,JRC_COMPOSITE,2024-11-16
2022,BG,BE90,145.45,59.83,1.38,93.88,46.83,62.37,69.92,20.71,33.48,73.49,87.48,8.31,55.73,1067.5,45.39,EUROSTAT_REGIO,2025-07-06
2023,FR,BG551,184.54,70.9,0.39,81.35,68.6,94.8,67.15,13.48,32.69,35.73,31.21,8.82,77.82,732.54,19.58,NATIONAL_STAT_EXPORT,2024-11-25
2024,LT,CY920,170.8,74.56,0.56,83.56,92.69,48.93,74.03,19.49,31.87,45.5,71.2,5.45,67.26,1941.38,14.3,COHESION_POLICY_DASHBOARD,2024-08-21
2025,SK,BG78,125.54,69.5,1.16,86.58,78.64,83.46,84.0,30.93,36.79,65.76,69.94,7.52,46.55,604.98,47.6,JRC_COMPOSITE,2025-03-31
2006,HR,ES316,110.61,70.78,1.89,62.59,33.41,77.87,48.81,13.58,29.48,52.11,28.1,8.0,75.35,115.44,19.06,EUROSTAT_REGIO,2025-01-15
2007,DE,SI380,196.81,85.88,2.69,86.6,95.79,50.44,89.95,23.31,25.31,47.12,61.25,5.51,77.52,663.51,24.83,NATIONAL_STAT_EXPORT,2025-10-14
2008,LU,RO9,161.19,78.61,1.11,89.31,52.69,55.52,72.74,20.4,32.81,52.66,60.71,8.74,34.26,965.07,49.19,COHESION_POLICY_DASHBOARD,2024-09-19
2009,SI,CY8,109.88,61.22,2.05,58.45,72.54,60.0,93.52,20.34,33.2,42.77,32.66,6.3,54.96,1344.59,12.78,JRC_COMPOSITE,2025-03-18
2010,CY,SI415,148.15,61.36,2.66,57.07,52.11,66.88,77.07,17.98,32.12,70.91,40.3,8.22,50.14,1118.53,4.59,EUROSTAT_REGIO,2025-01-02
2011,GR,SK30,116.68,62.94,2.08,84.8,44.2,87.06,89.82,27.63,24.2,80.94,75.57,8.11,40.98,2124.27,46.89,NATIONAL_STAT_EXPORT,2024-11-02
2012,MT,LV30,107.27,57.26,2.38,69.06,84.28,79.37,87.07,23.68,36.78,70.1,47.55,6.55,39.86,185.96,45.39,COHESION_POLICY_DASHBOARD,2024-07-01
2013,ES,IT317,81.82,62.69,2.26,65.66,71.58,87.16,75.84,31.93,36.12,67.44,45.78,7.36,53.95,2143.41,38.28,JRC_COMPOSITE,2024-03-28
2014,CZ,CZ520,133.73,66.75,2.07,64.07,39.91,46.67,76.7,12.59,26.03,78.65,76.07,5.69,50.66,612.1,36.56,EUROSTAT_REGIO,2024-06-23
2015,HU,LU332,84.36,70.12,1.26,72.5,87.25,72.03,58.57,30.41,25.6,41.58,24.14,5.12,54.73,2114.77,37.45,NATIONAL_STAT_EXPORT,2024-09-27
2016,NL,BE25,183.31,67.31,4.07,73.02,87.28,67.74,55.6,11.08,27.85,74.97,74.18,5.22,72.13,312.73,12.9,COHESION_POLICY_DASHBOARD,2025-06-03
2017,SE,BE342,206.87,76.38,0.46,86.13,95.47,63.46,77.62,14.03,24.16,70.83,28.55,6.31,57.44,216.83,12.01,JRC_COMPOSITE,2026-01-09
2018,DK,CY42,130.01,72.87,4.21,85.83,82.94,48.92,56.16,7.05,35.87,53.56,79.12,5.81,84.32,238.93,56.75,EUROSTAT_REGIO,2025-06-22
2019,IE,LT8,175.33,76.95,0.36,81.8,37.42,64.28,38.83,12.31,25.04,40.16,38.61,5.86,62.65,743.09,47.68,NATIONAL_STAT_EXPORT,2024-08-16
2020,PL,IT72,163.65,71.14,2.13,65.34,78.0,55.36,83.89,30.39,35.2,49.21,81.01,5.4,74.7,1640.02,8.18,COHESION_POLICY_DASHBOARD,2025-05-20
2021,AT,IT665,173.37,69.44,0.78,86.4,40.43,61.84,71.31,10.03,28.54,49.52,70.84,9.22,83.08,570.69,6.39,JRC_COMPOSITE,2025-08-17
2022,EE,LV980,128.64,55.49,1.55,91.46,77.38,45.88,65.11,10.43,26.44,35.54,29.87,7.51,73.77,1212.43,12.97,EUROSTAT_REGIO,2025-07-09
2023,IT,BG96,179.96,74.66,2.03,86.92,75.89,46.45,71.88,27.41,34.58,69.01,76.2,4.74,54.06,1100.93,22.9,NATIONAL_STAT_EXPORT,2024-08-15
2024,PT,GR22,56.94,72.49,0.45,65.58,70.93,46.86,76.1,15.46,27.02,42.16,83.04,7.69,63.51,283.42,45.81,COHESION_POLICY_DASHBOARD,2024-03-26
2025,BE,IE424,194.9,76.14,1.49,84.06,79.95,59.0,43.05,20.03,35.05,51.73,35.79,5.79,68.48,793.01,6.79,JRC_COMPOSITE,2024-05-02
2006,FI,CZ49,188.08,76.33,3.39,63.25,80.61,93.08,88.48,13.21,21.88,76.76,36.14,8.4,85.05,1074.86,36.67,EUROSTAT_REGIO,2025-06-13
2007,LV,FI66,147.59,55.91,0.54,78.61,52.72,57.64,49.98,17.63,30.27,33.98,38.3,6.15,60.01,1691.82,33.77,NATIONAL_STAT_EXPORT,2024-05-07
2008,RO,SI43,81.39,70.48,1.73,64.86,75.22,86.31,42.0,25.43,33.42,56.8,41.08,6.43,38.12,746.49,12.62,COHESION_POLICY_DASHBOARD,2026-01-18
2009,BG,SE488,123.48,66.0,1.56,82.31,37.74,52.95,74.15,20.89,24.4,37.45,41.15,7.95,38.95,514.55,16.93,JRC_COMPOSITE,2024-10-27
