ag_econ_fiscal_year_farm,ag_econ_farm_business_type,ag_econ_gross_cash_income_usd,ag_econ_operating_expenses_usd,ag_econ_net_farm_income_usd,ag_econ_debt_to_asset_ratio,ag_econ_interest_paid_usd,ag_econ_land_rent_paid_usd,ag_econ_machinery_depreciation_usd,ag_econ_labor_hired_cost_usd,ag_econ_input_price_fuel_index,ag_econ_input_price_fertilizer_index,ag_econ_input_price_seed_index,ag_econ_input_price_feed_index,ag_econ_government_payments_usd,ag_econ_crop_insurance_indemnities_usd,ag_econ_working_capital_ratio,ag_econ_return_on_assets_pct,ag_econ_financial_stress_score,ag_econ_succession_plan_flag
2015,FAMILY,101669285.81,71997361.88,29887906.05,1.666,3380190.51,1689877.85,924992.74,6135466.71,203.28,138.02,148.42,186.5,3323063.79,9159129.72,4.463,1.738,65.07,0
2019,CORPORATE,191607688.84,127155733.23,64567715.31,1.715,2076779.39,4582030.0,3646773.78,3447662.7,94.37,244.72,172.1,79.38,12601600.86,15585733.81,5.149,-12.036,44.14,1
2005,PARTNERSHIP,188703064.95,135805725.1,53025875.39,0.8255,4018354.24,2870459.31,4370520.21,1828827.54,100.31,146.08,169.29,148.77,6109445.93,10756832.09,2.458,29.115,65.07,0
2008,FAMILY,120353535.54,72330747.08,47862515.89,0.3598,6503126.46,3130732.2,3857406.61,4760054.1,144.45,185.04,173.83,201.55,14429687.29,14676860.6,4.866,6.813,81.6,0
2006,FAMILY,165153120.57,148383779.64,16666337.69,0.4201,7137212.87,4008140.16,2439252.92,11150295.02,152.34,84.75,154.78,217.55,16765704.65,17810318.12,4.905,15.838,94.04,1
2024,TRUST,118332963.14,77267060.11,41138009.97,0.701,7593526.42,2903086.28,174336.84,9894418.83,79.49,197.49,147.32,95.02,13886875.78,8372812.08,1.413,-24.868,84.25,1
2012,FAMILY,134706713.19,120603706.57,14281086.8,1.2349,1722004.16,2244317.56,4291950.15,6607811.4,135.6,61.85,199.78,80.49,22867618.04,543212.25,4.683,-7.666,20.77,1
2014,CORPORATE,226910568.52,140989411.39,85923934.87,0.246,1282271.67,3014941.72,198874.38,10993373.14,65.36,240.62,170.26,217.01,17552877.96,9129583.83,5.298,5.437,53.99,1
2009,FAMILY,87720580.92,59040684.17,28859632.41,1.4118,2895110.29,2181550.32,2860126.43,11985625.83,128.9,86.69,87.58,123.69,23782727.51,4666179.81,0.578,18.889,22.74,1
2017,FAMILY,11065434.71,8180147.09,2848523.95,1.2415,3438355.06,2272951.98,1906907.56,8622778.45,200.37,241.65,89.16,202.78,22476461.59,13047809.32,3.755,32.938,65.95,1
2012,FAMILY,27697367.56,23285234.25,4418716.68,1.5876,6981619.9,2589019.24,1082433.16,6116713.25,135.7,175.72,169.62,215.48,15199761.89,5594357.4,2.25,-24.108,97.98,1
2021,COOPERATIVE,6383517.47,3586163.04,2587250.87,1.3833,5464388.07,5195903.34,2847160.95,3077085.4,95.15,223.64,75.14,91.74,18473968.76,11573258.95,1.645,31.498,77.23,0
2021,CORPORATE,144750340.76,86124684.5,58490831.64,1.3956,3302964.25,5880635.81,3603728.51,10744929.86,86.72,211.3,161.04,190.22,14735352.57,16390936.03,0.564,-12.891,85.9,1
2016,PARTNERSHIP,88293702.74,72789636.83,15727410.34,0.2807,5620000.98,1407170.47,2677720.01,10629417.58,180.89,181.36,162.04,196.57,9834120.3,7045515.65,2.409,0.088,11.59,0
2017,FAMILY,156395262.43,125444208.79,30757679.0,0.141,5174780.84,4484945.02,1192937.03,8286492.29,181.66,106.76,91.97,94.12,18501509.43,4122905.06,0.606,-16.65,40.61,1
2010,FAMILY,108549883.85,102006043.86,6436732.99,0.4265,2598693.35,1896375.2,989403.86,5018929.02,163.67,251.81,143.34,107.3,6694011.7,15632518.24,0.522,-11.969,73.99,0
2020,FAMILY,213181877.53,146612948.97,66637703.49,0.2202,7350664.85,4266611.79,4856885.35,8888463.63,193.35,244.11,104.78,237.1,8557695.84,8759341.29,4.89,-15.501,16.77,0
2022,OTHER,226249145.06,206219611.26,19895611.67,1.2751,2818530.92,2610419.42,1168301.45,7191951.2,208.3,249.87,100.51,189.72,4019529.38,3390722.92,1.453,-21.925,44.38,0
2011,FAMILY,154423158.65,96671348.64,57574602.35,1.3847,1208776.57,3979321.74,3119119.43,595313.16,145.86,137.53,174.37,234.42,9206559.98,5970683.49,4.924,-0.889,75.91,0
2016,CORPORATE,25886402.92,24006695.05,1714665.19,0.251,3290175.62,455229.26,580908.77,11315205.74,213.22,153.37,117.01,242.67,2711584.63,16582780.14,0.682,24.246,35.59,0
2005,FAMILY,150269736.38,106487484.27,43960167.84,1.0708,3602068.34,5529346.6,4043785.11,9618022.49,94.52,158.59,82.28,64.14,5882278.98,6721049.21,1.097,19.829,36.07,0
2020,FAMILY,215822499.22,153132972.31,62466389.67,0.328,720438.15,541033.71,4342524.78,6482314.44,80.73,257.07,80.05,70.05,6866950.07,5193777.64,0.423,27.054,48.39,0
2004,FAMILY,112671667.92,64014756.3,48469141.47,1.2566,7990743.35,2989522.98,3076445.17,5982397.39,209.0,100.03,171.5,177.33,11724760.84,4007940.57,5.32,1.979,8.83,0
2020,FAMILY,192387334.8,142647877.03,49983819.37,0.197,5336005.86,3281051.76,1444001.01,297589.8,191.85,248.41,120.78,179.34,5517810.93,8463440.09,4.536,32.393,38.47,0
2022,COOPERATIVE,40949869.54,27957441.87,12955624.39,1.5825,2628461.52,2881972.81,934577.61,5669677.55,171.97,63.87,118.0,62.2,15572435.23,10784543.09,5.374,15.091,94.61,1
2024,FAMILY,135047071.63,109016655.78,25865501.15,1.579,5565472.51,2672611.81,3531584.17,9724012.35,126.15,160.38,153.71,177.1,19341816.76,6840735.62,2.788,15.436,42.19,1
2010,CORPORATE,217725230.68,137456058.64,80194488.46,1.1904,545535.75,2220988.11,2955416.54,5929497.52,88.25,229.42,126.86,172.54,1856038.36,13980980.94,4.127,-5.455,32.46,0
2019,FAMILY,121883211.95,119438605.33,2258537.26,1.3107,6334484.81,1700371.9,3903652.06,4321130.37,87.13,213.07,76.16,117.04,10501842.54,1477557.3,5.292,-16.7,76.3,1
2006,FAMILY,135177129.24,90906074.84,44102146.78,1.6947,3481102.29,5550668.53,3546842.0,7945109.99,76.47,104.93,182.46,246.48,13924280.68,16717271.36,4.377,25.9,34.35,0
2020,FAMILY,92445106.13,70698462.07,21928767.29,0.1776,467064.34,5478541.13,4711288.57,4582741.28,60.12,234.82,163.58,72.33,24819692.03,10182368.17,2.889,30.525,62.2,1
2008,COOPERATIVE,66566538.28,38657061.82,28116026.86,1.3121,5910977.97,2438983.86,1529962.45,1926370.56,159.72,188.89,204.39,75.81,77210.15,17430599.74,5.849,23.07,97.11,0
2018,FAMILY,61371810.1,59673697.89,1702955.31,0.7268,6966506.84,4343597.21,2330004.06,11162345.7,205.36,131.48,110.1,146.87,22319987.47,15482882.4,4.223,34.463,38.24,0
2013,FAMILY,109448386.97,104292905.9,5050443.26,1.5941,2278062.43,3719355.02,4976880.93,576438.62,199.74,102.35,182.92,80.77,22213575.3,17359304.11,3.9,-1.663,49.58,0
2025,CORPORATE,27733512.36,18134819.42,9667492.8,1.406,5946430.72,181805.88,3343388.1,10644487.46,81.44,251.29,100.18,184.21,20153115.6,11156553.02,4.528,-17.914,57.28,1
2010,FAMILY,192501714.1,123533822.06,69145042.19,0.4708,4662432.23,1829998.63,3270745.07,4707070.18,92.54,144.2,142.66,100.94,21733773.51,10683679.07,1.545,31.756,83.31,0
2012,FAMILY,178781772.28,158123367.55,20441479.72,0.6913,6918444.22,2895045.99,2934547.91,260101.72,60.16,247.72,106.81,178.17,3954404.79,141006.23,2.996,-8.369,40.8,1
2007,FAMILY,168970604.94,150723769.46,18156598.08,1.2383,3519854.12,1615489.4,1833428.59,6816274.17,175.82,227.94,183.81,133.02,16858319.58,17840902.27,1.539,-2.35,40.81,0
2006,FAMILY,31849716.12,25450307.3,6400277.59,0.2535,7804647.47,1167182.76,1743647.81,6760041.68,206.04,85.91,86.85,183.71,18380862.65,1320440.75,1.359,23.992,86.51,1
2020,FAMILY,228543552.57,185764560.99,42778683.1,0.7817,1905507.06,4999946.39,2812697.69,1544215.79,89.22,61.03,94.98,123.28,19579580.6,10168607.28,4.954,-7.727,1.34,0
2008,FAMILY,96812908.56,66442882.22,30316471.19,1.3057,3148331.63,4955198.32,2162478.76,7734885.55,219.92,124.29,159.27,182.29,8986890.5,9848232.4,4.791,33.276,94.62,0
2007,FAMILY,172676592.98,143101051.01,29401090.71,0.5195,3275412.72,2473228.49,4659706.1,5783725.3,88.83,207.05,171.23,244.83,6587018.28,14431296.23,0.768,6.825,13.7,1
2005,FAMILY,175050119.87,142682353.48,32237236.5,1.0648,3124678.51,2913133.04,4740897.61,8224641.21,174.97,194.42,123.98,179.84,15329347.19,2100255.47,2.55,-19.773,29.59,0
2005,FAMILY,17856077.6,15186066.66,2865059.39,1.7458,7029396.52,3197729.61,4362540.3,4496473.47,140.21,102.3,78.41,162.04,9078599.0,3772115.15,2.961,-6.615,9.46,1
2010,FAMILY,108074968.76,87982085.65,19847537.87,0.8226,5104537.57,137620.36,576693.13,7575288.53,108.59,246.42,189.38,148.81,19914578.5,2306951.92,5.845,3.823,77.03,0
2011,FAMILY,221176060.04,124186722.8,97131529.19,0.0123,1808380.71,4212408.8,2835736.43,6169722.19,79.98,221.34,107.62,196.03,15312353.41,6802008.46,1.219,20.361,70.12,0
2013,OTHER,214334239.01,132741155.8,81369650.1,0.7627,1180416.38,2303724.74,4644249.93,11613393.7,97.76,73.73,104.25,117.87,7777644.55,10957295.57,5.012,7.886,73.76,0
2022,FAMILY,57057459.84,51293678.18,5813236.35,0.4707,7674089.95,3982521.59,4827196.5,11160166.47,180.27,170.01,184.64,142.35,8050481.3,6411521.34,4.365,6.741,47.34,0
2011,FAMILY,103373447.86,100564110.14,2604043.43,0.0741,5758411.86,3609476.54,2974324.06,5683356.25,194.86,160.55,140.74,197.36,14361875.71,9784427.98,5.392,-20.046,75.68,0
2025,PARTNERSHIP,193799658.29,157117445.13,36578483.12,1.6322,6214473.2,1407368.48,2279686.89,3046236.62,106.35,60.91,83.74,76.4,9733134.47,15201345.98,1.725,0.82,20.22,0
2008,FAMILY,115309993.02,83766991.68,31361543.68,0.3322,5769396.27,3884365.8,2322168.15,8019537.25,198.59,200.11,135.94,160.16,23586340.4,17763762.73,5.287,21.912,80.23,0
2011,CORPORATE,226425758.41,200463158.01,26128748.73,1.2012,2794603.5,3517761.67,415623.79,3953460.21,185.71,173.63,152.38,190.56,14070954.71,11226384.28,3.808,11.243,2.36,0
2024,OTHER,61299016.32,35251850.55,26123541.51,0.5464,817180.02,3034297.46,2451073.16,11666636.08,100.16,227.04,99.55,106.44,9964174.5,15642924.02,0.364,28.529,28.57,1
2020,PARTNERSHIP,38491267.98,29546291.54,8765321.53,1.6621,1413230.29,4894924.23,3692654.22,11549716.09,112.41,114.35,70.75,238.5,23385791.22,17980578.17,1.741,26.804,54.81,0
2008,OTHER,186833944.75,166716787.12,20082060.63,1.0699,1955541.57,5574592.35,2723460.67,4597149.72,138.34,80.16,159.83,184.24,15160545.56,10404625.24,2.272,30.803,72.31,0
2007,FAMILY,38691912.37,23049551.5,15668573.6,0.7979,1222617.59,5034607.05,2877208.54,3905823.2,87.13,127.14,164.33,100.01,13371276.1,11510230.61,2.619,32.644,37.02,0
2018,FAMILY,33433833.27,27635169.95,5999955.77,1.4852,851962.87,388803.16,1684096.42,2988346.37,146.09,254.77,106.66,107.6,10095131.58,8682865.81,4.116,17.529,53.53,1
2005,CORPORATE,61965930.52,49528472.24,12335815.06,1.6605,1903984.64,3881163.93,3793808.55,7230511.82,203.04,192.18,209.29,172.02,16459488.8,4668010.25,1.246,24.729,37.65,1
2018,PARTNERSHIP,24389613.1,15699860.26,8750698.95,0.7375,7650591.15,4765200.57,2747247.51,4653763.8,128.21,106.82,107.14,113.91,10391183.31,14241392.01,2.201,34.583,98.31,0
2018,CORPORATE,81614393.49,69364820.13,12002053.19,1.6267,5653674.39,3535016.55,494741.83,138062.39,142.61,194.98,147.35,96.04,18678259.81,3838085.57,2.241,6.36,47.32,0
2011,FAMILY,217817832.38,202829968.32,15163754.74,0.0073,2768949.46,701981.22,1763424.91,3267282.36,127.95,107.51,145.6,127.69,11861525.49,10245019.09,4.636,-0.317,85.88,0
2025,CORPORATE,173799276.78,108072028.88,65612719.57,1.5318,505734.51,1250545.26,4952948.34,2960872.32,164.61,183.68,99.53,129.18,23914867.16,564557.54,3.042,27.733,0.04,0
2016,TRUST,108944988.81,91262251.99,17633017.03,0.5953,4299853.46,1328909.91,4568113.01,6594023.32,180.2,76.94,86.75,74.5,21448723.67,17084475.9,0.521,-7.662,56.24,1
2012,FAMILY,85680857.32,74294319.8,11543881.9,1.1786,762477.78,862525.78,4930323.33,5542207.82,210.22,122.03,200.59,73.22,8313297.22,17784814.19,5.121,32.452,77.1,0
2011,COOPERATIVE,176929763.73,156792853.02,19915768.96,1.207,6633530.52,5066922.72,642417.2,6208789.6,158.08,169.75,98.58,246.33,12620705.77,6202135.63,4.87,8.795,68.33,1
2016,FAMILY,95972842.17,89619538.93,6104543.46,1.7081,4814561.27,4426243.05,1246070.1,8091402.88,130.29,109.82,203.04,115.22,1061532.3,11458638.85,4.158,10.888,66.25,0
2004,FAMILY,149404482.28,113077764.18,36563552.07,0.354,250279.0,341106.38,1759494.08,880301.79,82.86,216.86,81.06,142.23,4080789.15,15486552.74,0.696,-5.191,98.36,0
2020,CORPORATE,219532290.03,196483887.18,22962853.95,0.7846,4291180.98,3508369.89,3439829.02,3611793.79,135.55,192.48,92.9,182.68,10983576.91,13362104.65,4.947,-7.953,23.74,0
2008,TRUST,193362524.38,141102333.31,52216949.68,0.8427,3583419.61,1613157.91,4421918.29,793499.18,166.74,222.59,123.13,238.75,18709085.06,1119006.23,0.563,-16.547,8.05,0
2024,FAMILY,137116616.19,111343387.52,26003550.78,0.1112,1223736.74,440774.81,4587729.5,1365416.84,82.24,149.19,164.65,68.99,5733839.83,15334085.3,5.893,8.692,43.17,0
2019,FAMILY,64255045.82,37309320.74,26849178.81,0.0106,3272478.03,1521011.95,4189402.47,3782336.36,99.82,111.7,97.47,78.55,10222489.19,1348838.82,1.964,19.334,16.55,0
2018,COOPERATIVE,115976847.52,65708133.46,50461632.35,0.2809,6938948.65,3505496.76,3964241.77,11338387.85,162.28,93.71,80.64,118.87,12550317.4,11161497.27,4.59,10.833,18.34,1
2005,CORPORATE,53661551.91,39205538.08,14218921.41,1.734,2652194.91,5536132.43,3496008.87,7969150.23,118.92,131.86,207.78,112.32,10832382.95,297627.33,4.855,-15.807,19.07,1
2014,FAMILY,50888707.03,30020183.95,20976897.61,0.5642,3073716.3,4800113.39,768467.19,5796204.12,170.7,101.34,169.34,171.76,7605670.62,3526900.04,4.797,-8.956,28.31,1
2011,FAMILY,234454772.89,216026947.16,18318431.4,0.4981,6616526.49,5853755.43,205136.39,8122278.6,158.02,62.43,105.29,122.71,13181892.94,8981411.59,2.914,-24.229,39.03,0
2016,FAMILY,39372429.88,38128398.09,1237970.06,1.7836,3451971.24,4094352.73,3871862.28,8153096.2,89.07,138.62,175.96,131.93,14001852.53,10699434.22,2.309,-4.928,26.36,0
2019,FAMILY,107051761.73,96206078.94,10884358.31,0.4834,270625.76,4843002.31,1837543.33,287159.75,83.98,76.18,115.47,249.92,24758477.22,640418.73,5.245,21.013,93.17,1
2021,FAMILY,107274964.46,80732763.02,26362197.05,0.8884,2001235.56,2438949.76,1953548.31,2731916.31,214.64,200.07,120.39,135.98,5393725.96,1205745.3,3.953,28.068,23.5,1
2014,PARTNERSHIP,26763608.03,15544470.68,11284403.64,1.7389,3645155.61,3350130.97,756061.3,5362596.18,91.13,104.88,195.12,176.8,5603548.81,1562111.2,0.387,-4.797,35.41,1
2005,CORPORATE,225089380.06,138470868.52,86712823.68,1.4796,7492314.29,5273504.29,78532.07,9937892.74,212.67,113.78,162.6,117.22,22602897.86,17011794.13,4.515,-24.921,31.87,1
2016,FAMILY,62094042.4,58711496.93,3612531.85,0.6778,214287.1,4444321.02,4763639.4,1105363.88,206.94,113.01,199.19,176.93,9449083.06,16324801.43,4.877,25.649,12.67,0
2019,CORPORATE,3664133.16,2354996.47,1257303.35,1.0806,3577966.07,4880385.0,1073012.15,2925476.06,131.47,115.5,191.37,135.71,12308069.1,4505560.61,3.782,27.072,79.62,1
2013,FAMILY,174496840.36,134437193.07,40258434.02,0.7093,2883973.87,5393573.84,1476060.26,8319437.05,147.09,215.85,198.31,132.24,3436254.54,17295456.4,2.6,32.063,83.12,0
2012,FAMILY,38251107.93,24460369.03,13888193.05,1.5643,43786.86,4183740.76,471360.32,3255643.44,163.83,239.82,194.92,187.09,16507259.18,15499263.83,2.311,17.776,18.8,0
2024,FAMILY,199164594.87,189173647.83,10023846.1,1.1086,1236809.88,3292242.01,4633862.96,4159736.56,189.83,147.17,75.7,144.56,16132888.64,810380.37,0.401,-12.451,96.46,0
2008,FAMILY,154309026.31,87965720.22,66405475.22,0.2281,1636310.82,5098526.89,3508272.44,2385174.75,95.51,171.11,176.77,164.08,1755923.16,17240372.79,2.365,1.563,90.52,0
2008,FAMILY,171280111.22,155952382.54,15436335.44,1.3175,5459175.52,1551593.81,3339960.45,9152809.26,170.2,226.1,203.35,181.68,3810440.34,1270555.49,0.409,0.714,78.44,0
2013,COOPERATIVE,197657360.26,184025541.18,13483520.47,1.6329,5189024.43,2577420.02,59067.82,123627.04,133.52,142.7,195.45,239.66,10628248.63,16239387.8,2.134,-6.838,92.56,0
2010,FAMILY,132515252.69,99860256.45,32605032.25,0.9662,51810.5,5378251.21,2010423.98,5876299.71,104.82,125.25,136.32,240.82,7432853.19,10723060.2,5.903,15.21,52.41,0
2009,COOPERATIVE,144142361.58,124984068.78,19019170.18,0.7374,1208593.29,2899040.81,3971211.07,9737482.84,83.54,94.5,175.65,234.47,16425499.23,13344105.58,1.438,-14.364,43.92,0
2025,PARTNERSHIP,28263747.61,21086176.68,7137626.4,1.0868,4298192.37,4715913.12,445411.43,11201563.16,192.48,180.21,141.28,175.05,10577126.56,15660096.32,5.99,18.522,36.18,0
2011,FAMILY,152526624.12,98040054.56,54692491.38,1.1193,7276175.8,2961963.36,373378.54,10846703.95,131.5,233.59,148.48,196.1,4821543.19,9524719.8,1.37,15.926,44.64,0
2020,COOPERATIVE,43649104.35,25151898.41,18396544.02,0.7035,5230532.67,3381413.16,4231293.87,8261230.94,161.71,120.99,194.58,96.06,2312166.4,2575135.29,5.551,-0.365,86.1,0
2019,FAMILY,43749720.47,33513201.94,10189844.28,0.2532,1742988.59,4290752.84,2733226.0,1084206.57,164.01,201.42,201.1,75.79,24920044.83,4571926.93,3.267,-17.515,30.89,0
2016,COOPERATIVE,12351718.84,11750148.42,558424.46,1.5572,4684664.87,3788510.09,1613615.33,11402253.38,212.32,254.38,102.31,152.34,11909244.48,6519001.59,1.902,34.302,11.37,0
2014,FAMILY,9610806.94,6217070.54,3148509.55,0.0528,2493245.04,4427227.04,3122758.86,3312326.82,146.82,173.29,100.51,223.22,19443037.39,340467.26,2.408,-5.281,72.06,1
2015,OTHER,100374693.01,85572078.96,14941589.99,0.7092,2613910.22,2271017.92,3499801.98,4650557.05,106.89,239.77,165.71,228.7,13580300.0,10964408.73,2.967,2.658,20.86,1
2010,CORPORATE,127001069.89,117978823.87,8866812.4,1.6517,7231994.66,3922553.25,2016708.22,9306099.28,115.52,220.59,154.87,90.65,2010741.17,17825697.4,5.015,8.782,83.29,1
2023,COOPERATIVE,152993707.79,104908933.33,48048291.14,0.614,638924.52,2792645.28,3044957.11,6711085.51,92.2,100.41,108.51,237.29,14785278.51,17042031.56,2.155,2.907,71.72,0
2016,FAMILY,156307419.57,139744874.04,16667328.58,1.3965,7327385.81,4198891.38,3222071.62,8693711.14,78.36,211.59,103.71,67.26,1596084.27,7641941.77,1.773,-12.281,48.84,0
2016,CORPORATE,242987770.75,171641115.97,71199151.04,0.4505,4133527.42,656665.32,397451.85,4235626.15,114.3,237.64,162.55,228.73,10206125.62,16821516.41,4.017,7.145,32.08,1
2022,FAMILY,209922563.16,164912973.25,45182001.18,0.0876,1664104.08,3706838.89,1309541.22,2153602.09,196.52,162.59,101.05,95.54,23244677.58,6959831.43,2.728,17.14,37.06,0
2022,FAMILY,10925730.24,6318085.02,4456407.18,1.5618,7743704.87,4299012.43,1764165.76,11369063.97,214.82,254.7,114.24,231.39,11886700.42,224244.3,5.081,10.601,36.93,1
