mig_asylum_reference_month,mig_asylum_host_country_iso2,mig_asylum_applicant_country_of_origin_iso2,mig_asylum_applicant_age_group,mig_asylum_applicant_sex,mig_asylum_application_type,mig_asylum_dublin_transfer_flag,mig_asylum_first_instance_decision_code,mig_asylum_first_instance_decision_count,mig_asylum_final_decision_code,mig_asylum_final_decision_count,mig_asylum_time_to_decision_days_median,mig_asylum_relocation_mechanism_flag,mig_asylum_resettlement_flag,mig_asylum_temporary_protection_flag,mig_asylum_reception_capacity_beds,mig_asylum_recognition_rate_pct,mig_asylum_eu_agency_support_flag,mig_asylum_eurostat_table_code,mig_asylum_data_extract_date
2019-03,LU,VN,0-13,M,FAMILY_UNIT,0,WITHDRAWN,53,SUBSIDIARY_PROTECTION,25,45,0,0,0,293,33.02,0,migr_asydec2,2024-10-16
2019-04,SI,IN,0-13,M,APPEAL_RELATED,1,REFUGEE_STATUS,43,REFUGEE_STATUS,20,66,0,0,0,378,63.35,0,migr_asyappctzm,2024-08-02
2019-05,CY,NO,0-13,M,FIRST_TIME,0,REJECTED,31,OTHER,13,67,1,1,1,203,30.02,0,migr_asyappctza,2024-05-29
2019-06,GR,BA,0-13,M,SUBSEQUENT,0,OTHER,81,WITHDRAWN,46,63,0,0,0,274,11.35,0,migr_asydec1,2024-08-14
2019-07,MT,IR,0-13,M,FAMILY_UNIT,1,SUBSIDIARY_PROTECTION,25,REJECTED,16,41,0,0,0,332,29.65,0,migr_asytpsm,2024-07-18
2019-08,ES,RS,0-13,M,APPEAL_RELATED,0,WITHDRAWN,77,SUBSIDIARY_PROTECTION,54,42,0,0,1,360,79.64,1,migr_asydec2,2024-04-16
2019-09,CZ,CH,0-13,M,FIRST_TIME,0,REFUGEE_STATUS,82,REFUGEE_STATUS,76,60,0,0,0,307,35.49,0,migr_asyappctzm,2025-03-13
2019-10,HU,JP,0-13,M,SUBSEQUENT,1,REJECTED,53,OTHER,31,47,0,0,0,409,5.55,0,migr_asyappctza,2025-10-13
2019-11,NL,SY,0-13,M,FAMILY_UNIT,0,OTHER,33,WITHDRAWN,20,46,0,0,0,220,27.31,0,migr_asydec1,2024-01-22
2019-12,SE,DZ,0-13,M,APPEAL_RELATED,1,SUBSIDIARY_PROTECTION,57,REJECTED,52,43,0,0,0,303,11.03,0,migr_asytpsm,2025-07-09
2020-01,DK,MA,0-13,M,FIRST_TIME,1,WITHDRAWN,70,SUBSIDIARY_PROTECTION,37,72,0,1,0,283,25.06,0,migr_asydec2,2024-06-21
2020-02,IE,TR,0-13,M,SUBSEQUENT,1,REFUGEE_STATUS,58,REFUGEE_STATUS,53,55,0,0,0,278,61.88,0,migr_asyappctzm,2024-08-23
2020-03,PL,GB,0-13,M,FAMILY_UNIT,0,REJECTED,32,OTHER,21,74,0,0,0,320,75.03,0,migr_asyappctza,2024-12-17
2020-04,AT,ME,0-13,M,APPEAL_RELATED,1,OTHER,76,WITHDRAWN,43,87,0,0,0,350,59.89,0,migr_asydec1,2024-02-14
2020-05,EE,US,0-13,M,FIRST_TIME,1,SUBSIDIARY_PROTECTION,67,REJECTED,63,86,0,0,0,330,69.01,0,migr_asytpsm,2025-06-19
2020-06,IT,GH,0-13,M,SUBSEQUENT,0,WITHDRAWN,59,SUBSIDIARY_PROTECTION,44,62,0,0,0,288,24.76,0,migr_asydec2,2024-08-23
2020-07,PT,NG,0-13,M,FAMILY_UNIT,1,REFUGEE_STATUS,78,REFUGEE_STATUS,55,63,0,1,0,253,32.94,0,migr_asyappctzm,2026-02-04
2020-08,BE,AL,0-13,M,APPEAL_RELATED,0,REJECTED,70,OTHER,28,52,0,0,0,432,5.77,1,migr_asyappctza,2025-12-25
2020-09,FI,IQ,0-13,M,FIRST_TIME,1,OTHER,82,WITHDRAWN,43,56,0,0,0,416,15.4,0,migr_asydec1,2026-01-03
2020-10,LV,PK,0-13,M,SUBSEQUENT,1,SUBSIDIARY_PROTECTION,90,REJECTED,76,86,0,0,0,207,47.77,0,migr_asytpsm,2026-01-22
2020-11,RO,BY,0-13,M,FAMILY_UNIT,0,WITHDRAWN,57,SUBSIDIARY_PROTECTION,42,81,0,0,0,316,56.6,0,migr_asydec2,2024-12-02
2020-12,BG,IS,0-13,M,APPEAL_RELATED,0,REFUGEE_STATUS,92,REFUGEE_STATUS,71,72,0,0,0,411,63.84,1,migr_asyappctzm,2025-07-15
2021-01,FR,RU,0-13,M,FIRST_TIME,0,REJECTED,46,OTHER,21,74,0,0,0,405,80.84,0,migr_asyappctza,2025-04-12
2021-02,LT,CN,0-13,M,SUBSEQUENT,0,OTHER,43,WITHDRAWN,41,97,0,1,0,271,14.44,0,migr_asydec1,2025-04-25
2021-03,SK,KE,0-13,M,FAMILY_UNIT,0,SUBSIDIARY_PROTECTION,78,REJECTED,42,85,1,0,0,308,55.57,1,migr_asytpsm,2026-01-05
2021-04,HR,TN,0-13,M,APPEAL_RELATED,0,WITHDRAWN,83,SUBSIDIARY_PROTECTION,41,94,0,0,0,440,22.14,0,migr_asydec2,2025-12-09
2021-05,DE,EG,0-13,M,FIRST_TIME,0,REFUGEE_STATUS,59,REFUGEE_STATUS,35,84,0,0,0,251,58.59,0,migr_asyappctzm,2024-07-31
2021-06,LU,MD,0-13,M,SUBSEQUENT,0,REJECTED,62,OTHER,52,70,0,0,0,258,17.39,1,migr_asyappctza,2024-11-14
2021-07,SI,UA,0-13,M,FAMILY_UNIT,0,OTHER,49,WITHDRAWN,30,89,0,0,1,368,76.33,0,migr_asydec1,2024-03-18
2021-08,CY,GE,0-13,M,APPEAL_RELATED,0,SUBSIDIARY_PROTECTION,69,REJECTED,65,69,0,0,0,357,68.46,1,migr_asytpsm,2024-11-05
2021-09,GR,MK,0-13,M,FIRST_TIME,0,WITHDRAWN,98,SUBSIDIARY_PROTECTION,89,95,0,0,0,370,75.36,0,migr_asydec2,2024-05-02
2021-10,MT,VN,0-13,M,SUBSEQUENT,0,REFUGEE_STATUS,75,REFUGEE_STATUS,38,96,0,1,0,416,16.04,1,migr_asyappctzm,2024-02-03
2021-11,ES,IN,0-13,M,FAMILY_UNIT,0,REJECTED,55,OTHER,41,103,0,0,0,323,18.49,0,migr_asyappctza,2024-08-08
2021-12,CZ,NO,0-13,M,APPEAL_RELATED,1,OTHER,98,WITHDRAWN,56,92,0,0,0,429,54.33,0,migr_asydec1,2025-12-09
2022-01,HU,BA,0-13,M,FIRST_TIME,1,SUBSIDIARY_PROTECTION,95,REJECTED,95,80,0,0,0,251,82.94,1,migr_asytpsm,2025-03-31
2022-02,NL,IR,0-13,M,SUBSEQUENT,0,WITHDRAWN,104,SUBSIDIARY_PROTECTION,69,83,0,0,0,443,49.97,0,migr_asydec2,2024-08-22
2022-03,SE,RS,0-13,M,FAMILY_UNIT,0,REFUGEE_STATUS,91,REFUGEE_STATUS,89,98,0,0,0,336,80.87,1,migr_asyappctzm,2024-01-02
2022-04,DK,CH,0-13,M,APPEAL_RELATED,0,REJECTED,77,OTHER,39,91,1,0,0,477,82.82,0,migr_asyappctza,2025-07-24
2022-05,IE,JP,0-13,M,FIRST_TIME,1,OTHER,83,WITHDRAWN,44,83,0,0,0,268,30.2,0,migr_asydec1,2025-05-20
2022-06,PL,SY,0-13,M,SUBSEQUENT,1,SUBSIDIARY_PROTECTION,100,REJECTED,87,95,0,0,1,351,45.74,0,migr_asytpsm,2025-03-09
2022-07,AT,DZ,0-13,M,FAMILY_UNIT,0,WITHDRAWN,66,SUBSIDIARY_PROTECTION,44,77,0,1,0,317,72.9,0,migr_asydec2,2024-02-08
2022-08,EE,MA,0-13,M,APPEAL_RELATED,1,REFUGEE_STATUS,83,REFUGEE_STATUS,48,89,0,0,0,437,50.7,0,migr_asyappctzm,2025-03-28
2022-09,IT,TR,0-13,M,FIRST_TIME,0,REJECTED,68,OTHER,56,112,0,0,0,430,49.76,0,migr_asyappctza,2024-03-10
2022-10,PT,GB,0-13,M,SUBSEQUENT,0,OTHER,91,WITHDRAWN,47,108,0,0,0,333,8.17,0,migr_asydec1,2025-12-03
2022-11,BE,ME,0-13,M,FAMILY_UNIT,1,SUBSIDIARY_PROTECTION,82,REJECTED,60,113,0,0,0,284,69.12,1,migr_asytpsm,2025-05-24
2022-12,FI,US,0-13,M,APPEAL_RELATED,1,WITHDRAWN,86,SUBSIDIARY_PROTECTION,46,91,1,0,0,429,26.31,0,migr_asydec2,2025-03-07
2023-01,LV,GH,0-13,M,FIRST_TIME,0,REFUGEE_STATUS,96,REFUGEE_STATUS,50,80,1,0,0,398,41.6,0,migr_asyappctzm,2024-07-18
2023-02,RO,NG,0-13,M,SUBSEQUENT,1,REJECTED,91,OTHER,49,111,0,0,0,489,56.58,0,migr_asyappctza,2025-07-23
2023-03,BG,AL,0-13,M,FAMILY_UNIT,0,OTHER,114,WITHDRAWN,64,115,0,0,0,286,63.59,1,migr_asydec1,2025-10-01
2023-04,FR,IQ,0-13,M,APPEAL_RELATED,0,SUBSIDIARY_PROTECTION,121,REJECTED,103,90,0,0,0,293,54.14,1,migr_asytpsm,2025-12-19
2023-05,LT,PK,0-13,M,FIRST_TIME,0,WITHDRAWN,107,SUBSIDIARY_PROTECTION,47,95,0,0,0,511,7.35,0,migr_asydec2,2024-07-18
2023-06,SK,BY,0-13,M,SUBSEQUENT,0,REFUGEE_STATUS,87,REFUGEE_STATUS,82,89,0,0,0,351,57.15,0,migr_asyappctzm,2024-02-14
2023-07,HR,IS,0-13,M,FAMILY_UNIT,0,REJECTED,86,OTHER,55,114,0,0,0,442,23.06,1,migr_asyappctza,2025-12-22
2023-08,DE,RU,0-13,M,APPEAL_RELATED,1,OTHER,117,WITHDRAWN,70,122,0,0,0,342,29.83,0,migr_asydec1,2024-07-29
2023-09,LU,CN,0-13,M,FIRST_TIME,0,SUBSIDIARY_PROTECTION,83,REJECTED,54,110,0,0,0,305,66.33,0,migr_asytpsm,2024-07-09
2023-10,SI,KE,0-13,M,SUBSEQUENT,0,WITHDRAWN,127,SUBSIDIARY_PROTECTION,111,101,0,0,0,353,43.08,0,migr_asydec2,2025-04-14
2023-11,CY,TN,0-13,M,FAMILY_UNIT,0,REFUGEE_STATUS,98,REFUGEE_STATUS,90,112,0,0,0,349,20.42,0,migr_asyappctzm,2026-01-24
2023-12,GR,EG,0-13,M,APPEAL_RELATED,0,REJECTED,115,OTHER,106,96,0,0,0,349,69.37,0,migr_asyappctza,2024-06-21
2024-01,MT,MD,0-13,M,FIRST_TIME,0,OTHER,93,WITHDRAWN,85,128,1,0,0,471,44.48,0,migr_asydec1,2025-06-02
2024-02,ES,UA,0-13,M,SUBSEQUENT,0,SUBSIDIARY_PROTECTION,126,REJECTED,76,129,0,0,1,417,70.19,1,migr_asytpsm,2025-06-06
2024-03,CZ,GE,0-13,M,FAMILY_UNIT,0,WITHDRAWN,93,SUBSIDIARY_PROTECTION,54,133,0,0,0,474,42.65,0,migr_asydec2,2024-06-01
2024-04,HU,MK,0-13,M,APPEAL_RELATED,0,REFUGEE_STATUS,92,REFUGEE_STATUS,91,110,0,0,0,382,68.44,0,migr_asyappctzm,2024-12-15
2024-05,NL,VN,0-13,M,FIRST_TIME,0,REJECTED,89,OTHER,41,108,0,0,0,328,9.96,0,migr_asyappctza,2026-01-03
2024-06,SE,IN,0-13,M,SUBSEQUENT,1,OTHER,113,WITHDRAWN,67,110,0,0,0,565,54.96,1,migr_asydec1,2025-05-18
2024-07,DK,NO,0-13,M,FAMILY_UNIT,0,SUBSIDIARY_PROTECTION,130,REJECTED,74,122,0,1,0,387,53.05,0,migr_asytpsm,2025-07-07
2024-08,IE,BA,0-13,M,APPEAL_RELATED,1,WITHDRAWN,142,SUBSIDIARY_PROTECTION,63,133,0,0,0,568,28.61,0,migr_asydec2,2025-04-21
2024-09,PL,IR,0-13,M,FIRST_TIME,0,REFUGEE_STATUS,112,REFUGEE_STATUS,56,103,1,0,0,421,61.52,0,migr_asyappctzm,2025-02-06
2024-10,AT,RS,0-13,M,SUBSEQUENT,0,REJECTED,96,OTHER,49,123,1,0,0,517,12.75,0,migr_asyappctza,2025-08-12
2024-11,EE,CH,0-13,M,FAMILY_UNIT,0,OTHER,88,WITHDRAWN,71,123,0,0,0,570,65.99,0,migr_asydec1,2024-01-01
2024-12,IT,JP,0-13,M,APPEAL_RELATED,1,SUBSIDIARY_PROTECTION,89,REJECTED,52,117,0,0,0,424,73.09,1,migr_asytpsm,2024-12-16
2025-01,PT,SY,0-13,M,FIRST_TIME,0,WITHDRAWN,123,SUBSIDIARY_PROTECTION,121,133,0,0,1,521,44.65,0,migr_asydec2,2024-02-05
2025-02,BE,DZ,0-13,M,SUBSEQUENT,0,REFUGEE_STATUS,150,REFUGEE_STATUS,114,121,1,0,0,388,21.72,0,migr_asyappctzm,2024-02-12
2025-03,FI,MA,0-13,M,FAMILY_UNIT,0,REJECTED,103,OTHER,96,107,0,0,0,453,52.54,0,migr_asyappctza,2025-05-17
2025-04,LV,TR,0-13,M,APPEAL_RELATED,0,OTHER,145,WITHDRAWN,80,118,1,0,0,381,22.72,0,migr_asydec1,2025-02-16
2025-05,RO,GB,0-13,M,FIRST_TIME,0,SUBSIDIARY_PROTECTION,128,REJECTED,112,115,0,0,0,387,42.54,0,migr_asytpsm,2025-09-30
2025-06,BG,ME,0-13,M,SUBSEQUENT,0,WITHDRAWN,109,SUBSIDIARY_PROTECTION,76,130,1,0,0,486,7.75,1,migr_asydec2,2025-10-06
2025-07,FR,US,0-13,M,FAMILY_UNIT,0,REFUGEE_STATUS,109,REFUGEE_STATUS,59,123,0,0,0,521,16.01,0,migr_asyappctzm,2024-10-16
2025-08,LT,GH,0-13,M,APPEAL_RELATED,0,REJECTED,118,OTHER,70,148,0,0,0,596,8.42,0,migr_asyappctza,2025-04-19
2025-09,SK,NG,0-13,M,FIRST_TIME,1,OTHER,151,WITHDRAWN,136,119,0,0,0,413,12.79,0,migr_asydec1,2025-06-22
2025-10,HR,AL,0-13,M,SUBSEQUENT,0,SUBSIDIARY_PROTECTION,150,REJECTED,63,132,0,0,0,629,81.18,0,migr_asytpsm,2024-09-30
2025-11,DE,IQ,0-13,M,FAMILY_UNIT,0,WITHDRAWN,144,SUBSIDIARY_PROTECTION,107,134,0,0,0,492,30.55,0,migr_asydec2,2025-12-24
2025-12,LU,PK,0-13,M,APPEAL_RELATED,0,REFUGEE_STATUS,134,REFUGEE_STATUS,63,127,0,0,0,470,31.06,0,migr_asyappctzm,2026-02-21
2026-01,SI,BY,0-13,M,FIRST_TIME,1,REJECTED,148,OTHER,87,134,0,0,0,622,40.15,0,migr_asyappctza,2024-05-16
2026-02,CY,IS,0-13,M,SUBSEQUENT,1,OTHER,119,WITHDRAWN,87,132,0,0,0,567,53.43,1,migr_asydec1,2025-03-08
2026-03,GR,RU,0-13,M,FAMILY_UNIT,0,SUBSIDIARY_PROTECTION,156,REJECTED,110,143,0,0,0,600,38.28,0,migr_asytpsm,2024-05-11
2026-04,MT,CN,0-13,M,APPEAL_RELATED,0,WITHDRAWN,152,SUBSIDIARY_PROTECTION,104,123,0,0,0,459,48.58,1,migr_asydec2,2024-07-07
2026-05,ES,KE,0-13,M,FIRST_TIME,0,REFUGEE_STATUS,111,REFUGEE_STATUS,51,135,1,0,0,608,28.01,0,migr_asyappctzm,2024-06-18
2026-06,CZ,TN,0-13,M,SUBSEQUENT,0,REJECTED,165,OTHER,130,155,0,0,0,544,41.1,1,migr_asyappctza,2025-07-21
2026-07,HU,EG,0-13,M,FAMILY_UNIT,0,OTHER,163,WITHDRAWN,149,144,0,0,0,459,35.26,0,migr_asydec1,2024-09-30
2026-08,NL,MD,0-13,M,APPEAL_RELATED,0,SUBSIDIARY_PROTECTION,164,REJECTED,105,151,0,0,0,551,39.16,1,migr_asytpsm,2025-11-29
2026-09,SE,UA,0-13,M,FIRST_TIME,0,WITHDRAWN,142,SUBSIDIARY_PROTECTION,92,129,0,0,0,536,60.55,0,migr_asydec2,2024-12-14
2026-10,DK,GE,0-13,M,SUBSEQUENT,0,REFUGEE_STATUS,151,REFUGEE_STATUS,90,157,0,0,0,614,52.01,1,migr_asyappctzm,2024-02-09
2026-11,IE,MK,0-13,M,FAMILY_UNIT,0,REJECTED,166,OTHER,99,154,0,0,0,530,76.78,0,migr_asyappctza,2025-08-17
2026-12,PL,VN,0-13,M,APPEAL_RELATED,1,OTHER,121,WITHDRAWN,70,165,0,0,0,657,22.28,1,migr_asydec1,2025-12-05
2018-01,AT,IN,0-13,M,FIRST_TIME,0,SUBSIDIARY_PROTECTION,127,REJECTED,122,149,0,1,0,470,7.2,0,migr_asytpsm,2025-10-27
2018-02,EE,NO,0-13,M,SUBSEQUENT,1,WITHDRAWN,126,SUBSIDIARY_PROTECTION,90,167,0,0,0,473,29.31,0,migr_asydec2,2026-01-20
2018-03,IT,BA,0-13,M,FAMILY_UNIT,0,REFUGEE_STATUS,118,REFUGEE_STATUS,79,137,0,0,0,561,23.14,1,migr_asyappctzm,2024-02-13
2018-04,PT,IR,0-13,M,APPEAL_RELATED,1,REJECTED,133,OTHER,59,171,0,0,0,540,16.69,0,migr_asyappctza,2025-07-06
2018-05,BE,RS,0-13,M,FIRST_TIME,0,OTHER,165,WITHDRAWN,165,132,1,0,0,669,49.56,1,migr_asydec1,2024-04-05
2018-06,FI,CH,0-13,M,SUBSEQUENT,1,SUBSIDIARY_PROTECTION,132,REJECTED,109,133,0,0,0,643,29.63,0,migr_asytpsm,2025-04-24
2018-07,LV,JP,0-13,M,FAMILY_UNIT,0,WITHDRAWN,156,SUBSIDIARY_PROTECTION,79,154,0,0,0,476,79.07,0,migr_asydec2,2025-04-22
2018-08,RO,SY,0-13,M,APPEAL_RELATED,0,REFUGEE_STATUS,143,REFUGEE_STATUS,76,170,1,0,1,557,30.13,0,migr_asyappctzm,2025-07-02
2018-09,BG,DZ,0-13,M,FIRST_TIME,0,REJECTED,130,OTHER,62,171,0,0,0,569,54.82,0,migr_asyappctza,2025-01-11
2018-10,FR,MA,0-13,M,SUBSEQUENT,0,OTHER,149,WITHDRAWN,120,140,0,0,0,656,61.32,0,migr_asydec1,2024-05-08
2018-11,LT,TR,0-13,M,FAMILY_UNIT,0,SUBSIDIARY_PROTECTION,175,REJECTED,114,155,0,0,0,502,41.91,0,migr_asytpsm,2025-11-24
2018-12,SK,GB,0-13,M,APPEAL_RELATED,1,WITHDRAWN,140,SUBSIDIARY_PROTECTION,80,140,0,0,0,492,25.72,1,migr_asydec2,2024-05-12
2019-01,HR,ME,0-13,M,FIRST_TIME,0,REFUGEE_STATUS,149,REFUGEE_STATUS,67,149,0,0,0,487,76.59,0,migr_asyappctzm,2024-12-21
2019-02,DE,US,0-13,M,SUBSEQUENT,0,REJECTED,186,OTHER,179,172,0,0,0,638,59.99,0,migr_asyappctza,2025-07-11
2019-03,LU,GH,0-13,M,FAMILY_UNIT,0,OTHER,143,WITHDRAWN,115,179,0,0,0,664,30.76,0,migr_asydec1,2024-05-19
2019-04,SI,NG,0-13,M,APPEAL_RELATED,0,SUBSIDIARY_PROTECTION,134,REJECTED,84,162,0,0,0,563,60.76,0,migr_asytpsm,2024-01-01
2019-05,CY,AL,0-13,M,FIRST_TIME,1,WITHDRAWN,176,SUBSIDIARY_PROTECTION,155,171,0,0,0,536,36.72,1,migr_asydec2,2025-05-31
2019-06,GR,IQ,0-13,M,SUBSEQUENT,0,REFUGEE_STATUS,181,REFUGEE_STATUS,141,183,1,0,0,580,61.14,1,migr_asyappctzm,2024-01-26
2019-07,MT,PK,0-13,M,FAMILY_UNIT,0,REJECTED,172,OTHER,128,169,1,0,0,515,44.07,0,migr_asyappctza,2024-06-09
2019-08,ES,BY,0-13,M,APPEAL_RELATED,1,OTHER,138,WITHDRAWN,124,169,0,0,0,567,31.52,0,migr_asydec1,2024-10-28
2019-09,CZ,IS,0-13,M,FIRST_TIME,0,SUBSIDIARY_PROTECTION,168,REJECTED,96,173,0,0,0,513,65.18,1,migr_asytpsm,2024-01-15
2019-10,HU,RU,0-13,M,SUBSEQUENT,1,WITHDRAWN,153,SUBSIDIARY_PROTECTION,106,182,1,0,0,684,24.17,1,migr_asydec2,2024-07-16
2019-11,NL,CN,0-13,M,FAMILY_UNIT,0,REFUGEE_STATUS,178,REFUGEE_STATUS,176,190,0,0,0,655,41.82,0,migr_asyappctzm,2025-01-01
2019-12,SE,KE,0-13,M,APPEAL_RELATED,0,REJECTED,162,OTHER,153,185,1,0,0,566,33.56,1,migr_asyappctza,2025-09-21
2020-01,DK,TN,0-13,M,FIRST_TIME,0,OTHER,159,WITHDRAWN,106,180,0,0,0,592,40.24,0,migr_asydec1,2024-12-26
2020-02,IE,EG,0-13,M,SUBSEQUENT,1,SUBSIDIARY_PROTECTION,165,REJECTED,116,168,0,1,0,702,21.48,0,migr_asytpsm,2025-12-06
2020-03,PL,MD,0-13,M,FAMILY_UNIT,0,WITHDRAWN,183,SUBSIDIARY_PROTECTION,113,178,0,0,0,532,68.85,0,migr_asydec2,2025-11-19
2020-04,AT,UA,0-13,M,APPEAL_RELATED,0,REFUGEE_STATUS,145,REFUGEE_STATUS,59,168,0,0,1,547,30.94,1,migr_asyappctzm,2026-02-07
2020-05,EE,GE,0-13,M,FIRST_TIME,0,REJECTED,188,OTHER,105,171,0,0,0,727,52.09,0,migr_asyappctza,2024-12-16
2020-06,IT,MK,0-13,M,SUBSEQUENT,0,OTHER,161,WITHDRAWN,148,160,0,0,0,557,16.19,1,migr_asydec1,2025-12-30
2020-07,PT,VN,0-13,M,FAMILY_UNIT,0,SUBSIDIARY_PROTECTION,157,REJECTED,113,162,1,0,0,520,13.88,0,migr_asytpsm,2025-04-22
2020-08,BE,IN,0-13,M,APPEAL_RELATED,0,WITHDRAWN,165,SUBSIDIARY_PROTECTION,157,173,1,0,0,600,76.33,1,migr_asydec2,2025-02-14
2020-09,FI,NO,0-13,M,FIRST_TIME,0,REFUGEE_STATUS,193,REFUGEE_STATUS,101,181,0,0,0,744,34.01,0,migr_asyappctzm,2024-05-04
2020-10,LV,BA,0-13,M,SUBSEQUENT,1,REJECTED,161,OTHER,115,177,0,0,0,635,43.72,1,migr_asyappctza,2024-10-17
2020-11,RO,IR,0-13,M,FAMILY_UNIT,0,OTHER,150,WITHDRAWN,112,176,1,0,0,608,27.28,1,migr_asydec1,2024-12-31
2020-12,BG,RS,0-13,M,APPEAL_RELATED,1,SUBSIDIARY_PROTECTION,174,REJECTED,152,180,0,0,0,685,82.17,0,migr_asytpsm,2025-07-21
2021-01,FR,CH,0-13,M,FIRST_TIME,0,WITHDRAWN,164,SUBSIDIARY_PROTECTION,111,169,1,0,0,630,65.91,0,migr_asydec2,2024-01-17
2021-02,LT,JP,0-13,M,SUBSEQUENT,0,REFUGEE_STATUS,176,REFUGEE_STATUS,166,185,0,1,0,717,84.29,1,migr_asyappctzm,2024-05-04
2021-03,SK,SY,0-13,M,FAMILY_UNIT,0,REJECTED,211,OTHER,99,169,0,0,0,780,71.21,0,migr_asyappctza,2024-12-17
2021-04,HR,DZ,0-13,M,APPEAL_RELATED,0,OTHER,202,WITHDRAWN,147,184,0,1,0,646,84.66,1,migr_asydec1,2025-01-20
2021-05,DE,MA,0-13,M,FIRST_TIME,0,SUBSIDIARY_PROTECTION,207,REJECTED,203,177,0,0,1,657,71.81,1,migr_asytpsm,2024-08-26
2021-06,LU,TR,0-13,M,SUBSEQUENT,1,WITHDRAWN,198,SUBSIDIARY_PROTECTION,110,170,0,0,0,690,43.28,1,migr_asydec2,2024-03-26
2021-07,SI,GB,0-13,M,FAMILY_UNIT,1,REFUGEE_STATUS,195,REFUGEE_STATUS,123,200,0,0,1,679,60.24,1,migr_asyappctzm,2024-08-20
2021-08,CY,ME,0-13,M,APPEAL_RELATED,0,REJECTED,179,OTHER,135,194,0,0,0,728,80.1,0,migr_asyappctza,2024-07-15
2021-09,GR,US,0-13,M,FIRST_TIME,1,OTHER,165,WITHDRAWN,95,207,0,0,0,621,54.65,0,migr_asydec1,2025-10-12
2021-10,MT,GH,0-13,M,SUBSEQUENT,0,SUBSIDIARY_PROTECTION,188,REJECTED,126,179,0,0,0,778,49.05,0,migr_asytpsm,2024-06-18
2021-11,ES,NG,0-13,M,FAMILY_UNIT,0,WITHDRAWN,162,SUBSIDIARY_PROTECTION,146,185,1,0,0,781,35.22,1,migr_asydec2,2025-04-22
2021-12,CZ,AL,0-13,M,APPEAL_RELATED,1,REFUGEE_STATUS,174,REFUGEE_STATUS,108,201,0,0,0,628,72.93,0,migr_asyappctzm,2024-07-23
2022-01,HU,IQ,0-13,M,FIRST_TIME,0,REJECTED,167,OTHER,125,208,1,0,0,768,8.21,0,migr_asyappctza,2025-10-06
