ag_crops_crop_year,ag_crops_county_fsa_code,ag_crops_crop_type_code,ag_crops_acres_planted,ag_crops_acres_harvested,ag_crops_yield_per_acre,ag_crops_production_total_bushels,ag_crops_irrigation_share_pct,ag_crops_seed_variety_code,ag_crops_planting_date_median,ag_crops_harvest_date_median,ag_crops_growing_degree_days,ag_crops_soil_moisture_index,ag_crops_fertilizer_rate_lbs_acre,ag_crops_pesticide_application_rate,ag_crops_crop_insurance_coverage_pct,ag_crops_price_received_usd_unit,ag_crops_revenue_per_acre_usd,ag_crops_loss_due_to_weather_pct,ag_crops_practice_conservation_tillage_flag
2009,FSA0000017,SOYBEAN,10280.09,7653.62,224.95,1721681.82,59.49,V5,2009-07-14,2009-12-03,2495.9,0.5748,263.48,3.296,72.27,13.117,2299.59,10.71,1
2018,FSA0000018,COTTON,2669.13,2075.54,98.94,205353.93,92.07,V2,2013-01-25,2013-06-26,2145.0,0.229,109.42,3.023,94.54,14.96,1539.33,9.34,1
2012,FSA0000019,WHEAT,1350.43,1144.82,203.08,232490.05,95.02,V6,2012-04-29,2012-08-19,4075.9,0.6835,270.5,20.68,33.52,5.636,1167.48,56.02,0
2008,FSA0000020,RICE,18767.61,15316.07,62.48,956948.05,39.79,V7,2020-09-09,2020-12-12,1612.2,0.5096,275.8,16.328,84.74,17.947,1204.01,24.26,1
2010,FSA0000021,OAT,5352.96,4330.45,209.92,909048.06,67.12,V1,2018-08-12,2018-12-27,2506.2,0.9263,20.37,18.491,68.56,15.198,2622.15,16.9,1
2005,FSA0000022,CORN,23797.17,23529.81,248.09,5837510.56,64.83,V6,2016-08-14,2017-03-02,1401.7,0.6451,73.38,5.547,22.66,7.328,1635.96,25.59,1
2012,FSA0000023,BARLEY,21572.9,15791.88,149.64,2363096.92,19.5,V1,2010-10-18,2011-03-27,3293.7,0.4639,113.27,6.323,98.29,10.764,1348.82,30.49,0
2006,FSA0000024,WHEAT,10886.68,9599.47,141.05,1354005.24,27.23,V3,2017-09-15,2017-12-20,3458.7,0.9377,107.38,6.154,26.88,6.767,743.2,34.96,0
2016,FSA0000025,BARLEY,14143.89,12857.74,241.89,3110158.73,83.46,V3,2020-12-04,2021-05-11,1846.7,0.8027,22.28,12.939,74.01,8.556,1665.67,22.86,0
2016,FSA0000026,SOYBEAN,21214.84,16528.6,134.99,2231195.71,5.3,V3,2005-10-29,2006-03-09,3494.0,0.0116,52.98,8.794,10.68,10.403,1266.43,5.78,0
2023,FSA0000027,CORN,17078.42,13880.44,96.04,1333077.46,57.49,V3,2022-12-01,2023-04-20,3318.8,0.2003,77.5,18.532,36.22,3.36,250.02,44.93,1
2022,FSA0000028,POTATO,3417.24,3292.3,235.67,775896.34,71.25,V4,2015-04-25,2015-10-31,3003.8,0.2307,223.95,10.99,94.99,9.116,2251.44,4.59,1
2011,FSA0000029,SORGHUM,12945.28,10760.66,167.4,1801334.48,27.87,V2,2010-02-19,2010-07-05,3886.8,0.39,8.85,9.64,84.64,16.775,2842.51,31.36,1
2014,FSA0000030,CORN,12241.2,11346.47,176.42,2001744.24,36.37,V6,2010-03-11,2010-09-27,1751.2,0.9583,56.36,1.062,61.58,12.708,2293.26,41.28,0
2022,FSA0000031,CORN,17585.54,17163.07,172.02,2952391.3,30.28,V8,2010-10-14,2011-03-26,2964.9,0.0496,231.68,22.616,52.83,14.423,2133.18,36.63,0
2012,FSA0000032,BARLEY,18165.2,14258.3,84.83,1209531.59,8.51,V1,2022-04-08,2022-08-14,3058.6,0.1395,194.35,24.076,85.93,11.572,800.28,32.01,0
2016,FSA0000033,CORN,15836.77,13061.17,197.65,2581540.25,83.35,V4,2024-05-20,2024-08-29,3275.7,0.7737,319.58,18.787,94.64,16.925,3442.19,8.12,0
2016,FSA0000034,SOYBEAN,22871.07,17085.52,152.93,2612888.57,80.33,V6,2023-03-16,2023-10-19,861.9,0.1894,46.86,2.249,43.7,16.296,1900.76,34.39,1
2011,FSA0000035,CORN,13110.87,9746.9,236.79,2307968.45,97.34,V6,2016-12-18,2017-06-12,2123.0,0.9106,1.62,9.269,45.85,15.047,3002.95,38.23,1
2019,FSA0000036,POTATO,14770.75,14635.07,113.17,1656250.87,35.35,V8,2009-12-23,2010-04-30,1330.7,0.9705,253.7,2.81,18.42,8.088,865.65,28.64,0
2011,FSA0000037,SOYBEAN,13125.8,10741.31,108.73,1167902.64,11.62,V8,2010-04-21,2010-11-18,3687.0,0.3751,284.88,10.245,21.09,4.449,476.03,23.16,1
2023,FSA0000038,CORN,4082.22,2924.36,164.4,480764.78,55.74,V6,2010-08-07,2011-03-04,2643.9,0.201,81.58,9.127,24.49,9.813,1399.33,25.17,1
2005,FSA0000039,SOYBEAN,19968.93,15314.41,52.83,809060.28,63.62,V7,2013-12-31,2014-07-21,3367.0,0.0167,120.17,6.343,95.53,15.448,786.92,46.5,0
2013,FSA0000040,COTTON,15829.22,12611.17,49.32,621982.9,81.78,V4,2020-04-23,2020-08-01,1387.6,0.411,21.84,11.354,34.81,12.707,683.65,23.86,1
2014,FSA0000041,WHEAT,4777.88,3616.51,199.65,722036.22,42.69,V5,2006-01-28,2006-06-24,2253.5,0.3232,283.8,16.001,23.96,4.957,1055.63,41.45,0
2005,FSA0000042,COTTON,22123.93,20181.55,23.76,479513.63,50.46,V4,2010-09-10,2011-04-07,3358.6,0.6748,162.56,9.867,50.84,12.081,315.33,21.16,1
2011,FSA0000043,WHEAT,20472.8,16927.33,40.76,689957.97,46.64,V6,2009-08-14,2010-01-09,2185.0,0.2926,257.16,24.143,1.25,10.381,390.74,6.66,1
2020,FSA0000044,CORN,16797.18,15746.57,33.57,528612.35,64.39,V6,2005-03-27,2005-08-15,1129.2,0.9979,252.47,6.365,18.93,9.731,317.07,19.23,0
2010,FSA0000045,POTATO,24687.18,19164.5,195.06,3738227.37,91.28,V3,2010-02-28,2010-08-20,3162.7,0.7392,298.87,20.602,84.6,13.187,2507.02,47.61,1
2005,FSA0000046,CORN,10870.54,9536.34,173.99,1659227.8,28.86,V7,2015-03-11,2015-06-24,1680.2,0.3126,168.07,12.802,52.41,7.854,1326.37,56.71,1
2023,FSA0000047,SOYBEAN,7895.67,6946.69,63.47,440906.41,48.36,V7,2013-04-12,2013-08-19,2879.9,0.573,65.15,22.694,7.04,14.949,892.94,55.05,1
2021,FSA0000048,SORGHUM,24365.5,22052.04,249.49,5501763.46,4.67,V7,2009-08-05,2010-03-07,4432.4,0.6146,106.92,17.203,29.33,6.772,1415.2,53.87,1
2015,FSA0000049,BARLEY,9084.88,6431.2,103.12,663185.34,87.16,V7,2008-04-29,2008-10-24,1295.6,0.0585,260.13,5.113,3.82,13.166,1111.49,7.99,1
2006,FSA0000050,CORN,14729.18,11761.59,107.48,1264135.69,3.85,V3,2005-11-12,2006-06-13,4032.4,0.1466,283.15,16.388,61.72,9.673,1005.04,42.23,1
2006,FSA0000051,CORN,14947.16,10777.03,124.35,1340123.68,43.94,V7,2017-08-14,2018-03-21,3985.0,0.2194,177.14,10.132,62.98,8.04,1027.3,32.2,0
2009,FSA0000052,OAT,5143.57,3762.67,63.85,240246.48,51.04,V4,2015-05-23,2015-09-11,1797.8,0.0079,130.51,2.211,53.89,10.301,506.15,15.52,0
2011,FSA0000053,RICE,24844.23,19512.13,210.79,4112961.88,46.99,V1,2021-12-20,2022-04-16,1606.9,0.4367,54.7,16.701,78.69,16.183,3371.8,9.28,1
2020,FSA0000054,CORN,2792.2,2009.83,38.34,77056.88,99.4,V7,2019-08-25,2020-03-11,1432.6,0.7604,116.85,12.042,94.68,15.599,550.56,45.58,1
2022,FSA0000055,SOYBEAN,18241.3,18220.48,234.62,4274889.02,19.9,V7,2017-03-25,2017-10-13,2394.1,0.1689,137.68,0.848,5.53,9.707,2023.8,41.04,1
2019,FSA0000056,CORN,22529.93,16173.87,229.09,3705271.88,6.37,V1,2011-04-08,2011-07-23,2357.9,0.9438,244.94,24.839,84.4,9.557,1736.72,0.48,1
2010,FSA0000057,WHEAT,9656.03,8739.15,248.63,2172814.86,96.13,V3,2016-11-09,2017-03-25,4293.0,0.2918,74.9,8.554,36.14,5.33,1219.46,49.51,0
2023,FSA0000058,WHEAT,2941.63,2933.71,147.66,433191.62,12.09,V7,2012-08-04,2013-01-11,4019.9,0.7915,306.68,0.088,44.92,11.808,1556.63,22.53,1
2010,FSA0000059,CORN,9234.79,8831.26,163.81,1446648.7,99.35,V7,2005-10-17,2006-04-04,3970.2,0.4351,126.89,1.573,7.11,12.793,2084.4,54.76,1
2010,FSA0000060,COTTON,17220.98,16775.96,199.0,3338416.04,37.26,V4,2020-07-28,2021-01-25,2727.8,0.5897,84.66,23.385,35.2,12.571,2202.5,52.58,1
2013,FSA0000061,CORN,12485.69,11589.07,207.65,2406470.39,61.85,V3,2016-01-25,2016-05-29,2046.3,0.0918,178.16,15.438,69.94,9.404,1596.58,14.12,1
2021,FSA0000062,CORN,664.41,522.56,13.83,7227.0,27.82,V5,2006-01-11,2006-05-07,3265.3,0.4116,103.23,15.282,23.95,14.361,175.34,36.14,0
2016,FSA0000063,SOYBEAN,22297.24,15712.38,145.04,2278923.6,31.73,V8,2021-07-30,2022-01-02,976.4,0.4754,203.45,24.67,97.14,3.891,494.16,55.87,1
2012,FSA0000064,WHEAT,15017.42,13078.46,148.63,1943851.51,26.22,V8,2010-08-11,2011-02-09,1518.4,0.6786,83.0,15.246,25.53,12.765,1777.51,27.85,0
2014,FSA0000065,OAT,2145.36,1662.72,148.11,246265.46,28.58,V1,2015-10-27,2016-04-12,1050.6,0.2119,63.16,6.734,19.05,11.262,1670.14,25.91,0
2013,FSA0000066,SOYBEAN,19978.02,15894.86,92.9,1476632.49,71.46,V8,2014-01-05,2014-04-25,2445.4,0.2212,123.52,2.709,85.09,17.062,1249.42,23.98,1
2014,FSA0000067,WHEAT,15373.1,13764.4,97.15,1337211.46,97.64,V8,2020-08-07,2021-01-22,1331.2,0.7377,315.43,5.009,64.1,17.979,1431.35,52.65,0
2005,FSA0000068,WHEAT,3058.82,2179.37,22.56,49166.59,52.22,V8,2007-06-19,2007-12-05,2651.0,0.4595,144.46,17.508,61.01,14.779,330.97,7.51,1
2009,FSA0000069,RICE,22424.46,21931.66,192.79,4228204.73,3.23,V2,2023-07-03,2023-10-08,3691.0,0.427,99.73,18.803,51.43,15.319,3007.4,22.06,1
2014,FSA0000070,OAT,12347.32,9234.33,10.78,99546.08,9.18,V7,2020-06-02,2020-10-11,4009.4,0.3626,1.07,8.772,86.59,14.413,150.03,4.3,1
2008,FSA0000071,CORN,11134.02,8587.35,204.7,1757830.54,74.11,V5,2006-03-01,2006-07-14,3273.5,0.0774,180.66,7.516,63.33,10.255,1829.16,17.64,0
2006,FSA0000072,CORN,22800.98,19636.34,236.8,4649885.31,99.39,V8,2013-01-08,2013-07-24,1333.3,0.6118,178.58,9.103,88.79,4.452,926.64,53.82,1
2007,FSA0000073,CORN,9834.85,8715.94,212.49,1852050.09,47.24,V4,2016-08-09,2017-01-06,2760.4,0.8102,277.4,12.344,7.3,12.774,2174.49,12.31,1
2014,FSA0000074,SOYBEAN,2690.7,2199.97,182.48,401450.53,42.09,V5,2015-03-10,2015-06-30,2751.6,0.5041,251.97,0.652,24.41,11.753,2090.22,29.81,1
2016,FSA0000075,POTATO,9345.92,7117.82,46.28,329412.71,30.21,V3,2022-04-14,2022-11-08,3350.4,0.727,230.53,13.698,59.4,9.382,448.4,50.45,0
2018,FSA0000076,WHEAT,19088.42,13669.75,222.22,3037691.84,83.79,V5,2013-04-23,2013-09-02,1665.3,0.2193,107.68,4.683,34.85,2.037,421.68,33.19,1
2005,FSA0000077,SOYBEAN,7892.54,7036.96,34.03,239467.75,19.52,V2,2020-09-10,2021-04-05,2813.5,0.0126,90.09,21.112,58.4,4.288,125.23,37.7,1
2021,FSA0000078,WHEAT,6231.63,5014.24,133.3,668398.19,95.26,V1,2018-02-23,2018-08-17,3786.1,0.7448,245.38,0.54,84.61,6.537,662.19,14.81,0
2014,FSA0000079,SORGHUM,14017.66,13241.88,11.84,156783.86,79.34,V8,2023-09-10,2023-12-13,1785.1,0.981,13.05,23.978,62.78,2.93,37.1,29.85,1
2018,FSA0000080,SORGHUM,16462.04,14103.99,46.22,651886.42,32.44,V2,2021-11-14,2022-02-22,1705.3,0.3094,102.14,0.021,47.56,15.125,630.05,30.83,1
2006,FSA0000081,CORN,23023.86,17441.9,217.25,3789252.78,27.13,V8,2023-02-21,2023-08-16,4395.3,0.5011,249.7,8.175,78.42,11.582,2522.61,21.59,0
2017,FSA0000082,SOYBEAN,4880.83,3903.99,181.79,709706.34,78.9,V8,2007-09-15,2008-03-17,3145.0,0.1468,17.89,10.383,12.08,11.385,2042.61,53.3,1
2015,FSA0000083,WHEAT,21373.41,15270.8,140.65,2147838.02,79.22,V5,2021-03-16,2021-07-05,2946.5,0.2055,315.52,2.25,55.67,3.033,458.49,43.98,1
2017,FSA0000084,WHEAT,12309.99,8881.79,34.22,303934.85,33.38,V4,2013-09-09,2013-12-25,2397.5,0.0575,12.47,14.621,68.31,3.301,113.97,39.32,1
2025,FSA0000085,SOYBEAN,16573.13,13640.06,208.74,2847226.12,58.83,V4,2007-03-24,2007-09-28,1939.5,0.9569,172.32,15.657,55.65,17.013,3875.9,23.98,0
2015,FSA0000086,WHEAT,17309.79,13544.01,36.42,493272.84,60.05,V5,2021-01-13,2021-08-03,1491.5,0.3192,261.99,1.7,12.85,11.764,462.9,6.85,1
2007,FSA0000087,WHEAT,811.82,742.41,211.46,156990.02,90.79,V1,2012-05-05,2012-10-21,4151.4,0.188,264.59,15.093,87.15,8.429,1795.26,3.94,0
2018,FSA0000088,SOYBEAN,8616.38,7871.33,27.02,212683.34,45.4,V4,2024-07-10,2025-02-03,4434.2,0.5829,142.68,11.708,83.44,12.721,324.61,1.12,1
2006,FSA0000089,SOYBEAN,17153.43,14690.45,63.18,928142.63,74.09,V5,2007-06-11,2007-10-26,1410.0,0.759,162.29,23.621,41.48,12.803,701.83,32.01,0
2025,FSA0000090,SORGHUM,9419.66,7602.39,12.23,92977.23,64.21,V5,2007-03-04,2007-09-28,3864.6,0.7452,272.08,18.964,87.58,15.127,197.6,30.09,0
2013,FSA0000091,CORN,12849.67,11720.34,100.95,1183168.32,48.09,V5,2012-07-22,2013-02-24,2936.7,0.7525,264.47,1.264,73.92,10.692,827.24,11.43,1
2014,FSA0000092,CORN,16633.54,12260.53,97.66,1197363.36,84.21,V3,2014-12-09,2015-04-10,1537.6,0.7255,209.62,12.192,13.37,2.761,243.51,22.02,1
2021,FSA0000093,WHEAT,3208.96,2934.74,200.82,589354.49,6.81,V6,2010-10-12,2011-04-09,4107.4,0.4563,76.79,19.741,68.54,8.943,1533.33,6.74,0
2015,FSA0000094,CORN,11202.97,11033.78,200.45,2211721.2,71.43,V7,2023-09-14,2024-04-08,1795.8,0.6775,287.61,11.166,66.33,15.237,3246.33,36.84,1
2018,FSA0000095,WHEAT,2733.71,2354.49,207.88,489451.38,49.37,V1,2019-05-07,2019-09-20,3134.6,0.0635,53.14,4.474,8.1,15.451,3302.84,27.27,1
2019,FSA0000096,WHEAT,14074.58,12520.72,111.22,1392554.48,31.12,V5,2005-04-30,2005-08-05,4015.0,0.3563,287.8,0.962,49.78,11.71,1097.27,9.67,1
2025,FSA0000097,SOYBEAN,2634.05,1984.45,126.58,251191.68,54.02,V2,2023-06-25,2023-11-29,1952.8,0.6675,198.44,14.024,28.02,17.848,2347.55,1.42,1
2006,FSA0000098,CORN,20131.51,14233.96,51.94,739311.88,23.81,V8,2006-10-01,2007-03-14,3394.2,0.6851,108.9,16.335,87.46,12.102,614.45,25.63,0
2023,FSA0000099,RICE,6785.5,6104.14,231.79,1414878.61,39.68,V7,2006-12-30,2007-06-22,1361.3,0.0715,90.49,15.01,78.45,15.064,3249.25,18.09,1
2007,FSA0000100,SOYBEAN,24836.97,22991.85,38.36,881967.37,14.26,V8,2024-06-07,2024-10-19,3287.7,0.4393,36.26,14.542,37.82,16.693,646.67,44.75,0
2005,FSA0000101,WHEAT,21155.09,16328.15,227.39,3712858.03,5.42,V5,2012-09-01,2013-02-01,3195.3,0.4808,157.06,21.528,74.06,8.746,2001.3,9.85,1
2012,FSA0000102,CORN,7680.38,7434.56,40.88,303924.81,75.68,V5,2013-02-08,2013-06-21,2743.8,0.3923,210.82,2.65,20.31,16.437,738.04,52.71,0
2005,FSA0000103,SOYBEAN,10732.32,7764.77,183.61,1425689.42,45.98,V8,2022-10-18,2023-04-05,3541.3,0.4231,200.51,4.562,80.07,3.118,596.68,35.28,1
2020,FSA0000104,SOYBEAN,10435.01,9964.99,43.0,428494.57,47.1,V3,2023-03-09,2023-06-10,3650.4,0.3331,171.01,12.483,45.01,6.564,269.1,31.87,0
2025,FSA0000105,CORN,7691.6,6734.14,208.23,1402249.97,42.28,V3,2013-04-12,2013-08-08,3072.4,0.9328,169.73,23.935,97.02,6.449,1289.76,50.23,1
2023,FSA0000106,PEANUT,6194.92,6039.98,35.87,216654.08,21.27,V7,2021-08-24,2022-03-15,1751.1,0.2329,157.02,13.384,79.06,4.885,185.75,11.9,0
2007,FSA0000107,CORN,18706.0,17291.76,235.23,4067540.7,26.48,V8,2019-11-30,2020-04-06,1346.2,0.2759,275.69,21.876,19.7,4.792,954.22,34.25,1
2020,FSA0000108,CORN,20114.92,14890.94,189.67,2824364.59,58.02,V1,2015-01-27,2015-05-02,3099.9,0.9208,247.24,20.392,77.97,4.633,668.27,53.87,1
2009,FSA0000109,RICE,13739.21,13462.97,200.66,2701479.56,55.68,V6,2024-02-01,2024-06-10,2106.7,0.1918,319.89,3.714,72.9,13.003,1994.76,36.96,1
2006,FSA0000110,WHEAT,16042.7,12431.59,97.82,1216058.13,95.19,V4,2017-02-10,2017-09-11,2661.0,0.546,191.62,10.797,33.57,9.539,1023.17,5.0,1
2017,FSA0000111,CORN,23967.52,18745.95,109.95,2061117.2,14.87,V6,2018-08-02,2019-02-17,2367.5,0.8281,59.33,2.159,2.39,4.726,487.6,58.65,0
2012,FSA0000112,SOYBEAN,4878.06,3771.75,75.97,286539.85,57.36,V5,2006-04-09,2006-07-17,3345.8,0.5142,56.8,14.544,40.16,12.411,817.33,0.36,1
2018,FSA0000113,PEANUT,23897.36,22006.98,187.88,4134671.4,28.68,V7,2018-05-06,2018-11-01,2619.4,0.8596,251.67,9.933,51.0,9.026,1515.31,26.16,1
2005,FSA0000114,SOYBEAN,10309.99,8136.34,218.65,1779010.74,62.42,V6,2023-01-31,2023-07-28,2313.5,0.9846,246.7,8.584,44.89,10.789,1918.06,26.88,1
2010,FSA0000115,CORN,12187.84,9612.7,244.22,2347613.59,50.19,V3,2011-03-01,2011-08-22,1716.2,0.5273,12.4,15.475,56.05,10.459,2636.11,32.35,1
2025,FSA0000116,WHEAT,15411.11,11628.5,10.88,126518.08,65.19,V7,2010-10-08,2011-02-22,1919.4,0.6386,125.74,24.948,91.46,9.906,112.31,46.53,1
2020,FSA0000117,SOYBEAN,10892.14,9672.62,20.17,195096.75,12.71,V7,2021-08-25,2021-12-02,3379.2,0.4059,291.4,12.341,97.47,8.623,173.25,5.0,0
2013,FSA0000118,WHEAT,19408.34,15201.8,202.89,3084293.2,80.8,V2,2015-01-02,2015-06-04,4428.7,0.3267,36.55,5.991,37.98,2.389,485.26,25.65,1
2009,FSA0000119,WHEAT,10146.13,9128.7,43.27,394998.85,8.57,V7,2018-07-28,2019-01-08,1622.6,0.4573,157.11,4.273,62.83,10.257,416.86,5.89,1
2019,FSA0000120,RICE,21443.41,19197.13,189.06,3629409.4,2.88,V2,2022-10-05,2023-04-03,4098.3,0.7395,150.87,3.807,52.66,5.865,922.35,3.31,1
2015,FSA0000121,CORN,8667.32,8339.61,190.67,1590113.44,35.86,V8,2018-12-05,2019-04-19,2720.6,0.3379,15.0,1.147,97.95,10.625,1624.64,45.77,0
2020,FSA0000122,CORN,4620.09,4442.68,223.35,992272.58,78.52,V3,2023-07-24,2023-12-05,4251.2,0.4397,157.57,21.999,30.08,10.541,2010.97,21.56,1
2023,FSA0000123,CORN,16804.21,14567.82,54.62,795694.33,63.84,V3,2007-06-20,2007-11-21,1724.4,0.2075,46.3,19.847,72.71,10.479,562.87,5.07,1
2006,FSA0000124,SOYBEAN,20872.15,17619.95,32.6,574410.37,2.74,V3,2021-10-06,2022-05-09,1626.0,0.2179,211.16,17.791,52.49,4.747,143.72,25.23,1
2011,FSA0000125,WHEAT,14990.56,12276.0,209.62,2573295.12,35.42,V7,2017-01-16,2017-06-07,3881.7,0.3386,313.11,2.451,27.22,16.863,2946.45,32.3,1
2025,FSA0000126,CORN,17460.93,13638.15,203.7,2778091.16,68.91,V4,2007-05-19,2007-11-25,3854.1,0.7633,121.06,12.801,84.36,7.988,1777.66,30.75,1
2024,FSA0000127,WHEAT,18941.79,17120.58,19.6,335563.37,75.24,V5,2012-10-21,2013-04-20,2201.1,0.7497,99.25,10.622,8.77,3.205,60.45,7.23,1
2024,FSA0000128,PEANUT,19505.0,19153.36,109.13,2090206.18,2.06,V2,2023-12-25,2024-04-01,2935.4,0.9374,6.51,4.109,12.27,14.383,1708.34,56.2,0
2014,FSA0000129,SOYBEAN,13251.64,11585.21,42.45,491792.16,68.46,V5,2022-06-22,2023-01-16,3801.2,0.9921,221.54,3.489,16.98,15.548,543.14,27.65,1
2018,FSA0000130,CORN,16036.74,15544.53,195.54,3039577.4,4.13,V3,2016-10-12,2017-02-10,3469.0,0.1425,16.76,15.369,78.93,17.342,3343.66,12.38,0
2014,FSA0000131,SOYBEAN,19949.48,16642.31,152.84,2543610.66,99.02,V2,2005-12-09,2006-05-03,2086.2,0.4091,104.29,14.296,40.43,13.51,1751.21,30.05,0
2008,FSA0000132,WHEAT,410.09,311.05,139.02,43242.17,58.56,V3,2020-02-06,2020-08-02,3064.8,0.019,119.13,14.986,95.35,17.127,2141.32,4.21,0
2007,FSA0000133,COTTON,5981.73,5613.23,127.36,714900.97,14.95,V3,2012-12-27,2013-05-01,2684.0,0.1517,94.26,6.142,62.99,14.16,1669.96,30.79,0
2019,FSA0000134,CORN,1205.66,1065.37,128.07,136441.94,56.05,V1,2018-06-23,2018-10-29,4466.1,0.8717,206.46,12.852,52.59,17.3,2225.7,23.24,1
2023,FSA0000135,WHEAT,19946.97,14311.86,244.09,3493381.91,75.03,V2,2021-07-10,2021-11-13,2333.2,0.0004,233.44,3.825,76.7,11.134,2899.7,24.8,1
2009,FSA0000136,PEANUT,15143.85,10673.2,72.88,777862.82,33.82,V3,2021-08-25,2021-12-08,4453.3,0.4288,181.22,12.483,57.52,12.789,719.86,18.38,1
2014,FSA0000137,WHEAT,19977.95,14622.27,139.21,2035566.21,95.54,V7,2014-09-25,2015-04-15,2108.6,0.9068,111.61,2.121,0.13,5.414,641.87,20.43,0
2012,FSA0000138,OAT,18032.33,14308.53,46.76,669066.86,37.3,V2,2020-11-14,2021-03-25,2338.6,0.8434,32.68,13.696,85.4,6.009,218.34,39.82,0
2025,FSA0000139,SOYBEAN,9481.08,8257.71,205.7,1698610.95,65.53,V8,2018-12-13,2019-06-09,2156.2,0.7633,215.05,14.075,93.42,9.923,1630.35,14.01,1
2019,FSA0000140,SOYBEAN,68.16,68.04,56.04,3812.96,0.96,V4,2017-10-12,2018-02-25,4060.6,0.9742,69.45,11.327,60.74,6.273,272.78,5.95,1
2021,FSA0000141,CORN,19330.17,16067.11,28.42,456627.27,23.64,V2,2011-03-06,2011-08-13,3109.2,0.5156,195.42,3.77,50.58,8.608,221.24,45.93,1
2013,FSA0000142,PEANUT,19664.02,19378.09,31.21,604790.19,15.57,V5,2023-07-08,2023-10-08,1509.5,0.9418,102.81,3.093,63.86,16.879,569.38,50.37,1
2023,FSA0000143,CORN,16827.64,15694.97,175.75,2758390.98,86.32,V6,2006-07-29,2006-10-31,3065.9,0.0812,56.36,12.259,38.3,4.186,720.86,39.87,0
2005,FSA0000144,WHEAT,10469.84,9247.28,139.94,1294064.36,81.92,V7,2012-04-28,2012-09-11,1456.8,0.349,225.03,14.026,55.03,9.403,1374.24,32.38,0
