travel_dom_travel_month,travel_dom_destination_dma_code,travel_dom_origin_dma_code,travel_dom_trip_purpose_code,travel_dom_party_size_avg,travel_dom_nights_stayed_avg,travel_dom_lodging_type_code,travel_dom_spend_total_usd,travel_dom_spend_lodging_usd,travel_dom_spend_food_usd,travel_dom_spend_transport_usd,travel_dom_attraction_ticket_spend_usd,travel_dom_booking_channel_code,travel_dom_lead_time_days,travel_dom_cancellation_rate_pct,travel_dom_occupancy_rate_pct,travel_dom_adr_average_daily_rate,travel_dom_revpar_usd,travel_dom_seasonality_cluster,travel_dom_event_driven_demand_flag
2019-07,802,626,LEISURE,1.11,14.07,FRIENDS_FAMILY,4310.56,2318.26,700.62,1095.64,360.52,OTA,50,58.2,85.69,417.87,358.07,WINTER,1
2019-08,642,857,LEISURE,3.93,6.12,HOTEL,2109.22,417.41,599.76,286.04,267.2,WALK_IN,52,15.479,32.03,370.23,118.58,SPRING,0
2019-09,792,853,EVENT,5.82,6.63,HOTEL,1825.42,897.12,363.52,519.47,127.65,AGENT,290,19.802,62.27,110.67,68.91,SUMMER,0
2019-10,768,557,LEISURE,1.97,2.34,FRIENDS_FAMILY,917.81,274.95,255.14,146.99,183.2,WALK_IN,70,35.026,98.33,201.91,198.54,SPRING,0
2019-11,538,779,LEISURE,5.33,3.7,FRIENDS_FAMILY,438.44,234.74,87.72,114.41,43.94,WALK_IN,74,1.016,71.45,290.95,207.88,WINTER,0
2019-12,867,730,BUSINESS,4.1,1.59,MOTEL,6503.92,3146.85,2237.67,1661.52,1112.78,DIRECT,163,10.138,15.02,91.21,13.7,FALL,0
2020-01,793,693,LEISURE,1.89,3.72,MOTEL,7726.42,1687.48,1987.09,1124.4,743.93,WALK_IN,75,48.357,62.04,258.23,160.21,SHOULDER,0
2020-02,505,649,OUTDOOR,5.7,5.42,HOTEL,7732.38,2357.32,2692.5,1635.84,711.1,DIRECT,89,3.532,66.93,406.71,272.21,SUMMER,0
2020-03,533,743,LEISURE,3.28,18.21,VACATION_RENTAL,7524.01,2727.68,1778.21,978.29,359.7,AGENT,22,3.693,39.21,332.07,130.2,SUMMER,0
2020-04,622,652,OUTDOOR,2.02,6.92,MOTEL,6155.78,3329.77,1195.42,1579.37,475.1,CORPORATE_PORTAL,110,16.937,93.8,128.16,120.21,WINTER,0
2020-05,710,790,BUSINESS,4.04,16.69,HOTEL,3409.2,1386.07,778.44,519.76,305.33,OTA,137,7.216,24.25,349.81,84.83,SUMMER,0
2020-06,518,883,BUSINESS,6.42,4.48,FRIENDS_FAMILY,7122.69,1425.79,1423.21,1178.45,675.03,DIRECT,240,48.604,98.01,170.59,167.2,WINTER,0
2020-07,594,741,LEISURE,1.29,11.42,OTHER,3865.37,720.96,926.76,459.63,743.34,OTA,99,43.955,48.68,169.09,82.31,WINTER,1
2020-08,700,610,LEISURE,4.97,13.59,HOTEL,7711.61,1559.42,1676.07,1979.67,108.33,DIRECT,223,17.439,95.07,121.39,115.41,FALL,0
2020-09,898,830,LEISURE,2.4,10.18,MOTEL,6077.11,2866.69,1479.58,1140.52,718.49,OTA,198,24.907,85.1,332.82,283.23,SHOULDER,0
2020-10,505,711,LEISURE,3.44,3.33,FRIENDS_FAMILY,4883.29,1858.23,1417.94,795.86,767.92,CORPORATE_PORTAL,42,14.847,94.38,274.32,258.9,SHOULDER,1
2020-11,516,746,VISITING_FRIENDS_FAMILY,6.26,2.47,VACATION_RENTAL,7894.54,3254.39,1367.81,2105.89,731.52,DIRECT,101,15.862,51.64,130.99,67.64,SUMMER,0
2020-12,557,637,VISITING_FRIENDS_FAMILY,5.83,8.37,CAMPING,4459.08,1368.85,1443.67,1243.81,585.44,OTA,279,27.827,67.83,297.19,201.58,SUMMER,0
2021-01,778,861,BUSINESS,4.29,20.98,FRIENDS_FAMILY,1667.77,401.59,308.85,492.22,6.0,OTHER,58,29.661,54.0,378.11,204.18,FALL,0
2021-02,719,529,LEISURE,5.47,10.64,VACATION_RENTAL,6835.31,2443.97,1566.45,1687.75,1262.4,OTA,132,49.433,70.53,158.07,111.49,SHOULDER,1
2021-03,668,557,LEISURE,6.08,11.23,VACATION_RENTAL,3159.1,1485.67,802.91,339.08,61.79,DIRECT,89,1.273,16.85,378.27,63.74,WINTER,0
2021-04,891,550,BUSINESS,2.84,19.89,VACATION_RENTAL,3316.27,1644.49,892.81,790.37,23.37,OTHER,125,45.952,18.65,224.94,41.95,FALL,0
2021-05,764,677,LEISURE,1.78,16.0,CAMPING,7654.34,2578.98,2086.34,2093.4,1390.04,DIRECT,329,21.383,53.94,124.3,67.05,SUMMER,0
2021-06,739,607,LEISURE,4.14,19.45,HOTEL,1872.23,685.88,560.66,513.31,302.56,DIRECT,283,37.235,69.81,297.5,207.68,SPRING,0
2021-07,682,823,BUSINESS,2.53,6.56,HOTEL,2215.22,1182.3,635.78,458.56,340.69,OTA,209,27.542,64.09,136.03,87.18,SPRING,1
2021-08,534,605,LEISURE,3.59,8.18,HOTEL,6885.01,3131.71,1277.97,696.47,974.32,OTA,238,31.804,27.39,344.7,94.41,SPRING,1
2021-09,843,857,BUSINESS,6.13,8.36,VACATION_RENTAL,2915.7,940.73,721.39,804.11,278.3,OTA,101,36.716,83.76,68.58,57.44,SUMMER,0
2021-10,579,783,BUSINESS,3.01,6.95,CAMPING,3053.06,1428.52,1024.88,427.27,427.53,WALK_IN,134,39.382,55.63,242.63,134.98,SUMMER,1
2021-11,897,746,LEISURE,3.79,8.03,HOTEL,7020.45,1298.83,2245.14,1548.8,1167.13,DIRECT,133,26.137,37.12,356.09,132.18,FALL,0
2021-12,823,713,LEISURE,3.77,9.67,HOTEL,4925.21,1017.46,1283.5,1058.1,727.7,CORPORATE_PORTAL,50,57.739,53.91,292.05,157.44,SHOULDER,0
2022-01,665,601,LEISURE,6.24,7.0,HOTEL,6153.92,1745.52,1345.3,1009.78,754.19,OTA,339,31.014,49.81,134.61,67.05,SUMMER,0
2022-02,698,607,VISITING_FRIENDS_FAMILY,3.95,3.88,HOTEL,3538.94,1083.6,930.85,466.69,595.44,DIRECT,229,22.855,18.65,125.13,23.34,WINTER,0
2022-03,674,718,LEISURE,5.02,6.82,FRIENDS_FAMILY,4678.8,1206.15,1177.12,915.63,609.18,WALK_IN,94,38.006,55.46,286.68,158.99,SUMMER,0
2022-04,829,890,EVENT,3.57,12.17,FRIENDS_FAMILY,3899.49,1135.18,1290.06,616.63,69.1,CORPORATE_PORTAL,301,41.873,95.84,110.35,105.76,FALL,0
2022-05,713,610,LEISURE,3.14,19.08,CAMPING,6814.02,3011.07,1369.48,885.39,1339.46,DIRECT,230,22.025,96.54,111.31,107.46,SUMMER,0
2022-06,874,628,EVENT,3.02,18.66,OTHER,3151.53,1356.11,841.32,428.88,50.78,DIRECT,84,28.624,46.43,89.08,41.36,WINTER,1
2022-07,688,684,MEDICAL,4.03,13.94,FRIENDS_FAMILY,1476.82,535.52,258.56,253.58,197.87,OTA,355,50.201,98.4,279.01,274.55,SUMMER,0
2022-08,812,572,LEISURE,2.99,1.6,MOTEL,7570.5,3921.58,1304.59,1762.59,1099.21,OTA,171,31.721,50.83,190.79,96.98,SHOULDER,0
2022-09,721,518,LEISURE,5.95,17.68,HOTEL,4294.76,2261.71,736.3,1221.58,436.73,DIRECT,171,15.779,23.91,385.21,92.1,FALL,0
2022-10,822,814,VISITING_FRIENDS_FAMILY,5.93,14.08,FRIENDS_FAMILY,633.57,149.61,140.76,117.73,6.05,OTA,44,50.976,64.34,78.32,50.39,SUMMER,0
2022-11,639,831,LEISURE,2.54,18.47,VACATION_RENTAL,1861.97,1002.15,521.05,227.2,114.05,OTA,17,21.832,91.59,395.27,362.03,WINTER,0
2022-12,801,818,LEISURE,4.93,11.84,HOTEL,3106.08,1135.38,1001.64,848.59,56.67,WALK_IN,97,37.362,25.67,239.88,61.58,SHOULDER,0
2023-01,703,629,LEISURE,5.0,8.34,OTHER,574.18,287.19,171.13,67.52,21.47,OTA,167,5.02,66.36,213.63,141.76,SUMMER,0
2023-02,818,503,LEISURE,2.84,4.43,CAMPING,3606.3,1135.12,966.63,765.35,613.56,DIRECT,19,34.851,12.56,285.14,35.81,SPRING,0
2023-03,700,517,VISITING_FRIENDS_FAMILY,1.18,11.63,HOTEL,4780.24,2028.78,1352.21,1015.33,90.54,OTA,208,21.988,68.41,115.62,79.1,FALL,0
2023-04,775,669,VISITING_FRIENDS_FAMILY,1.97,18.71,VACATION_RENTAL,665.5,324.43,229.12,83.38,72.95,DIRECT,332,6.702,10.49,256.62,26.92,SUMMER,0
2023-05,802,527,LEISURE,3.08,2.23,CAMPING,5728.24,2479.24,1853.26,1322.76,867.12,DIRECT,2,46.201,35.09,413.94,145.25,SPRING,1
2023-06,538,664,LEISURE,4.19,1.62,VACATION_RENTAL,1705.39,705.95,523.92,259.33,60.06,OTA,103,22.699,76.92,293.27,225.58,FALL,0
2023-07,585,779,EVENT,3.34,2.25,FRIENDS_FAMILY,5812.99,3193.43,1252.69,881.14,920.8,OTA,59,21.186,60.07,325.15,195.32,SUMMER,0
2023-08,657,779,VISITING_FRIENDS_FAMILY,6.3,17.65,HOTEL,6727.75,1914.4,2072.16,915.7,1324.63,OTA,316,49.977,55.82,69.99,39.07,SUMMER,0
2023-09,623,756,EVENT,5.75,15.51,FRIENDS_FAMILY,1774.4,786.28,277.92,452.39,140.15,DIRECT,190,22.235,67.49,318.21,214.76,SUMMER,0
2023-10,647,584,VISITING_FRIENDS_FAMILY,4.3,11.23,CAMPING,212.63,76.8,43.33,35.62,12.25,OTA,3,33.886,25.9,170.95,44.28,SPRING,0
2023-11,579,827,LEISURE,5.08,16.34,CAMPING,4489.86,1470.33,797.01,781.41,746.17,OTA,330,47.521,75.32,296.81,223.56,SUMMER,0
2023-12,686,691,BUSINESS,1.37,6.15,HOTEL,2462.6,821.26,571.77,611.16,219.75,OTA,186,17.609,97.27,261.38,254.24,WINTER,0
2024-01,616,529,LEISURE,5.76,16.86,FRIENDS_FAMILY,4846.42,1212.37,1468.16,586.7,276.56,AGENT,92,36.802,85.37,77.26,65.96,SPRING,0
2024-02,850,791,LEISURE,2.35,10.08,HOTEL,7361.45,1353.12,2541.19,1910.81,134.29,CORPORATE_PORTAL,39,48.657,18.28,70.08,12.81,SPRING,0
2024-03,626,805,LEISURE,6.34,5.94,HOTEL,4800.54,1372.26,1374.5,787.88,900.07,DIRECT,6,6.57,64.1,87.36,56.0,SUMMER,0
2024-04,840,641,LEISURE,1.06,13.84,MOTEL,326.24,124.96,104.89,62.44,5.83,WALK_IN,30,31.593,35.2,90.0,31.68,SPRING,0
2024-05,712,675,VISITING_FRIENDS_FAMILY,3.07,16.48,FRIENDS_FAMILY,2727.65,1081.01,936.36,753.46,322.38,OTA,124,41.388,38.56,91.25,35.19,WINTER,0
2024-06,528,864,LEISURE,1.19,3.6,VACATION_RENTAL,1200.1,548.63,239.32,155.51,146.7,OTA,79,40.367,18.99,367.91,69.87,SUMMER,0
2024-07,666,872,BUSINESS,1.14,10.33,HOTEL,4571.11,1110.16,1207.46,971.99,786.86,DIRECT,218,39.067,63.03,283.19,178.49,SPRING,1
2024-08,788,647,BUSINESS,1.42,6.01,HOTEL,4946.62,1670.3,1346.01,686.49,400.25,OTA,187,20.811,34.91,359.98,125.67,SUMMER,0
2024-09,893,742,VISITING_FRIENDS_FAMILY,5.28,2.93,VACATION_RENTAL,7956.3,2292.66,2023.51,1888.16,264.91,DIRECT,194,8.58,62.71,56.35,35.34,SPRING,0
2024-10,612,605,LEISURE,3.62,14.67,FRIENDS_FAMILY,1826.62,882.15,297.25,470.05,262.29,DIRECT,19,4.522,16.68,149.46,24.93,WINTER,0
2024-11,756,893,BUSINESS,4.02,11.2,HOTEL,6000.67,2112.34,1750.17,601.57,1050.06,OTA,4,40.581,21.52,253.9,54.64,FALL,0
2024-12,616,693,VISITING_FRIENDS_FAMILY,1.6,3.21,VACATION_RENTAL,922.64,183.37,200.81,217.39,27.86,DIRECT,184,41.488,94.66,339.36,321.24,SUMMER,0
2025-01,663,560,VISITING_FRIENDS_FAMILY,1.94,16.26,HOTEL,4496.85,1397.83,771.63,1167.89,50.38,AGENT,184,56.2,18.47,372.8,68.86,WINTER,1
2025-02,895,809,LEISURE,3.76,7.73,HOTEL,1845.1,842.4,468.99,453.82,142.13,OTA,119,55.432,55.36,334.81,185.35,SUMMER,0
2025-03,593,706,LEISURE,4.84,20.17,VACATION_RENTAL,5599.98,2230.57,1862.83,1565.71,416.14,DIRECT,325,20.597,77.07,290.8,224.12,SHOULDER,0
2025-04,711,663,LEISURE,3.22,2.31,OTHER,5752.03,2197.93,1878.53,734.16,742.52,AGENT,109,27.745,77.73,138.11,107.35,WINTER,0
2025-05,637,742,LEISURE,2.32,10.86,VACATION_RENTAL,3090.38,1653.26,653.31,475.59,409.66,DIRECT,207,49.907,82.62,69.29,57.25,SPRING,0
2025-06,814,556,VISITING_FRIENDS_FAMILY,1.99,11.26,HOTEL,242.49,69.94,65.78,65.58,4.96,CORPORATE_PORTAL,248,31.425,69.42,321.51,223.19,WINTER,0
2025-07,837,513,LEISURE,3.69,4.94,MOTEL,3142.6,1207.51,696.27,643.24,538.4,DIRECT,81,37.309,54.35,95.9,52.12,FALL,0
2025-08,574,545,EVENT,3.14,7.92,VACATION_RENTAL,4504.58,1333.88,1468.56,1032.48,531.02,DIRECT,166,13.822,75.3,187.38,141.1,SPRING,0
2025-09,653,507,VISITING_FRIENDS_FAMILY,5.31,6.11,HOTEL,695.92,293.87,153.04,200.53,71.75,OTA,333,11.061,14.77,419.36,61.94,FALL,0
2025-10,644,801,LEISURE,4.66,6.11,VACATION_RENTAL,162.03,85.27,50.82,25.12,24.53,DIRECT,226,6.877,80.02,96.52,77.24,FALL,0
2025-11,796,597,LEISURE,6.14,19.84,HOTEL,3945.38,995.58,855.19,712.74,453.74,DIRECT,158,20.349,15.43,371.88,57.38,FALL,0
2025-12,681,770,LEISURE,2.08,5.9,HOTEL,7793.5,2948.71,1754.27,1394.73,1059.37,WALK_IN,344,27.268,64.38,224.48,144.52,WINTER,1
2026-01,770,778,OUTDOOR,2.61,17.61,HOTEL,3085.07,1043.43,919.69,711.26,122.54,OTA,28,36.553,50.56,115.37,58.33,WINTER,0
2026-02,654,886,BUSINESS,3.93,16.66,HOTEL,2400.07,1312.7,657.11,314.23,338.06,OTA,359,50.019,66.7,123.56,82.41,FALL,0
2026-03,635,595,LEISURE,2.32,16.3,FRIENDS_FAMILY,2904.61,711.86,862.06,807.95,572.5,OTA,359,10.986,60.07,285.07,171.24,WINTER,0
2026-04,517,890,LEISURE,3.83,1.05,OTHER,4709.92,2407.83,1350.78,931.98,430.98,OTA,83,3.356,81.86,227.7,186.4,SPRING,0
2026-05,659,688,LEISURE,3.22,17.67,FRIENDS_FAMILY,5601.88,2543.17,1418.71,1292.78,160.45,DIRECT,307,27.348,22.03,70.67,15.57,SUMMER,0
2026-06,537,691,BUSINESS,1.2,15.67,FRIENDS_FAMILY,5950.42,1501.74,1816.56,1093.13,566.49,OTA,83,28.565,76.12,385.27,293.27,SPRING,1
2026-07,695,794,VISITING_FRIENDS_FAMILY,1.51,10.96,FRIENDS_FAMILY,6944.14,1343.68,1641.57,1539.28,27.89,DIRECT,162,48.838,32.79,229.89,75.38,SUMMER,1
2026-08,672,805,LEISURE,1.43,8.13,VACATION_RENTAL,2048.01,422.68,423.14,413.26,404.98,DIRECT,314,44.025,58.64,186.87,109.58,FALL,0
2026-09,588,898,BUSINESS,2.17,3.46,FRIENDS_FAMILY,5711.14,3057.89,1657.84,813.34,842.87,DIRECT,273,35.866,72.39,265.91,192.49,SUMMER,0
2026-10,843,769,LEISURE,1.54,12.78,HOTEL,2337.38,725.37,411.98,343.51,176.69,CORPORATE_PORTAL,2,2.014,65.5,145.54,95.33,SUMMER,0
2026-11,791,895,LEISURE,2.05,18.19,HOTEL,4229.05,889.34,1423.4,520.52,717.07,OTA,364,34.283,20.94,413.11,86.51,WINTER,0
2026-12,842,840,VISITING_FRIENDS_FAMILY,6.25,10.58,VACATION_RENTAL,4410.11,2105.77,1133.0,1293.66,681.24,DIRECT,179,17.971,86.28,292.28,252.18,SUMMER,1
2027-01,687,672,BUSINESS,6.48,9.44,VACATION_RENTAL,2399.44,485.4,771.91,618.42,88.96,DIRECT,68,22.325,19.12,205.12,39.22,SHOULDER,0
2027-02,582,804,LEISURE,3.66,14.19,MOTEL,3783.4,860.66,965.45,517.75,276.06,DIRECT,129,37.592,93.48,93.38,87.29,SHOULDER,0
2027-03,756,656,LEISURE,4.94,18.33,HOTEL,522.46,148.59,93.8,110.06,46.24,OTA,311,36.087,79.31,211.02,167.36,FALL,1
2027-04,847,541,BUSINESS,2.29,19.3,HOTEL,1510.54,657.4,248.0,290.39,174.95,OTA,314,14.816,25.86,410.44,106.14,SUMMER,0
2027-05,766,715,VISITING_FRIENDS_FAMILY,4.0,14.77,HOTEL,747.34,393.27,120.85,164.96,112.46,AGENT,80,50.704,91.82,220.25,202.23,SUMMER,0
2027-06,646,536,BUSINESS,2.38,18.89,HOTEL,7207.86,2099.99,2171.85,866.75,1391.57,CORPORATE_PORTAL,154,10.378,53.15,391.13,207.89,SUMMER,0
2027-07,681,565,LEISURE,4.18,16.82,HOTEL,5768.83,1795.53,1297.14,1432.73,682.91,AGENT,132,8.206,77.83,93.92,73.1,SUMMER,1
2027-08,670,834,OUTDOOR,6.39,12.08,FRIENDS_FAMILY,3388.95,987.94,703.71,922.65,199.33,OTA,153,55.233,84.73,89.81,76.1,FALL,1
2027-09,752,555,VISITING_FRIENDS_FAMILY,5.37,5.99,FRIENDS_FAMILY,7027.91,3655.27,2410.61,1575.15,367.55,OTA,181,6.313,70.41,116.28,81.87,SPRING,0
2027-10,780,727,VISITING_FRIENDS_FAMILY,5.86,2.22,HOTEL,7024.24,2088.73,2316.69,2040.69,666.93,OTA,31,57.889,75.86,67.26,51.02,SPRING,1
2027-11,659,818,VISITING_FRIENDS_FAMILY,1.73,14.58,VACATION_RENTAL,3906.32,1770.99,1056.57,1146.4,0.19,OTA,39,34.839,97.26,324.76,315.86,WINTER,0
2027-12,627,734,MEDICAL,2.3,18.58,HOTEL,764.0,191.8,127.68,115.68,15.8,OTA,274,53.942,55.98,122.86,68.78,SPRING,0
2028-01,647,810,EVENT,4.39,5.94,HOTEL,7586.5,1959.28,1317.58,946.3,368.2,OTA,182,33.171,74.36,334.13,248.46,WINTER,0
2028-02,663,839,LEISURE,3.62,19.44,VACATION_RENTAL,6725.25,3599.41,1708.24,2001.16,11.82,OTA,296,51.792,34.73,413.07,143.46,SPRING,1
2028-03,583,523,LEISURE,5.49,11.42,HOTEL,2425.42,915.55,742.28,594.07,429.36,WALK_IN,64,0.664,79.47,69.34,55.1,FALL,0
2028-04,701,569,LEISURE,2.14,19.87,HOTEL,3452.96,1867.14,534.08,955.23,442.49,OTA,185,51.575,60.21,221.15,133.15,SHOULDER,0
2028-05,515,534,LEISURE,4.69,14.81,FRIENDS_FAMILY,2950.05,1546.24,865.68,485.67,55.06,OTHER,247,11.967,11.67,419.07,48.91,SPRING,1
2028-06,808,760,LEISURE,4.06,12.94,HOTEL,4116.55,1246.14,860.85,568.35,803.77,OTHER,191,1.948,13.28,251.32,33.38,FALL,1
2028-07,541,862,LEISURE,3.42,5.35,VACATION_RENTAL,6046.88,1185.26,1967.17,1639.22,398.95,OTA,193,46.478,85.93,123.27,105.93,SUMMER,0
2028-08,684,898,LEISURE,4.35,6.59,VACATION_RENTAL,4091.05,2088.81,1067.78,1121.76,544.65,DIRECT,166,35.263,91.48,364.56,333.5,SUMMER,1
2028-09,702,544,LEISURE,1.48,6.33,FRIENDS_FAMILY,4118.49,1442.26,704.45,1056.01,188.86,CORPORATE_PORTAL,217,3.181,72.48,402.49,291.72,SUMMER,0
2028-10,540,560,BUSINESS,1.32,8.81,FRIENDS_FAMILY,6986.38,2173.7,1055.68,973.87,196.88,DIRECT,111,23.858,72.17,153.3,110.64,FALL,0
2028-11,794,806,LEISURE,4.04,18.51,HOTEL,5863.7,3126.32,1080.28,917.68,1140.67,OTA,344,35.194,71.03,140.89,100.07,SUMMER,0
2028-12,720,805,LEISURE,1.11,8.01,OTHER,7216.58,3364.34,2340.34,1839.19,848.06,OTA,81,57.14,16.49,349.15,57.57,SPRING,0
2029-01,661,595,VISITING_FRIENDS_FAMILY,4.39,5.46,OTHER,3037.98,1529.55,482.86,852.93,157.33,OTA,339,27.603,94.29,295.03,278.18,SUMMER,0
2029-02,509,833,LEISURE,5.78,12.61,HOTEL,542.95,138.39,106.93,158.88,48.12,WALK_IN,267,32.101,27.14,210.54,57.14,WINTER,0
2029-03,701,548,VISITING_FRIENDS_FAMILY,1.64,15.94,HOTEL,2341.65,707.75,804.22,683.46,377.17,AGENT,22,37.992,35.12,268.68,94.36,FALL,1
2029-04,613,846,MEDICAL,1.13,11.72,HOTEL,1830.26,701.72,342.48,293.23,115.8,OTHER,255,22.595,61.16,339.89,207.88,SUMMER,0
2029-05,626,753,BUSINESS,5.18,14.79,HOTEL,5974.03,2777.08,2001.24,1625.54,989.9,DIRECT,268,27.894,87.1,323.72,281.96,SPRING,0
2029-06,723,888,BUSINESS,5.65,16.53,FRIENDS_FAMILY,6418.68,1759.33,1070.37,865.29,729.98,OTA,2,52.77,75.74,141.24,106.98,WINTER,0
2029-07,656,659,LEISURE,5.13,12.51,HOTEL,985.32,301.5,327.11,112.26,153.94,OTA,355,5.433,47.87,129.35,61.92,FALL,1
2029-08,742,553,BUSINESS,1.07,12.09,HOTEL,4627.81,1403.77,1607.89,1351.36,310.86,CORPORATE_PORTAL,23,34.73,21.0,83.83,17.6,SUMMER,0
2029-09,882,745,LEISURE,1.94,16.2,FRIENDS_FAMILY,7250.55,2715.07,1408.97,1202.77,1250.47,OTA,312,25.099,70.01,113.68,79.59,SPRING,0
2029-10,521,607,LEISURE,4.86,5.09,HOTEL,260.13,84.63,43.72,57.51,44.49,DIRECT,340,56.117,83.15,350.99,291.85,SHOULDER,0
