trans_commute_acs_year,trans_commute_commuting_zone_id,trans_commute_mode_to_work_code,trans_commute_mean_travel_time_minutes,trans_commute_median_travel_time_minutes,trans_commute_percentile_90_travel_time,trans_commute_telework_share_pct,trans_commute_carpool_share_pct,trans_commute_transit_share_pct,trans_commute_walk_share_pct,trans_commute_bike_share_pct,trans_commute_leave_home_time_peak,trans_commute_arrival_time_peak,trans_commute_distance_to_work_miles,trans_commute_toll_usage_share_pct,trans_commute_vehicle_occupancy_avg,trans_commute_commute_cost_estimate_inr,trans_commute_time_reliability_index,trans_commute_access_to_jobs_45min,trans_commute_jobs_housing_balance_ratio
2022,421840,AUTO,30.8,18.9,39.7,27.44,14.55,11.31,7.61,3.74,10:19,10:56,34.31,11.57,3.1,6445,1.739,1462012,3.113
2019,164565,MIXED,94.4,94.4,102.2,5.55,17.8,5.85,4.54,9.62,09:44,11:07,3.66,5.96,2.1,3159,0.976,1796378,2.135
2019,693550,TELEWORK,87.5,86.3,111.4,14.33,13.4,32.11,11.07,3.72,09:53,11:19,20.35,12.15,1.26,6293,1.193,234409,1.323
2018,608643,TRANSIT,87.6,83.7,106.3,27.95,17.99,11.33,11.54,3.64,07:14,08:48,10.94,4.05,1.37,4083,1.936,1690221,2.257
2017,797154,WALK,68.5,65.2,79.6,0.03,3.33,5.35,0.34,8.14,10:31,11:29,40.01,21.62,1.09,8000,1.19,1972175,3.095
2018,348449,OTHER,45.9,38.2,71.6,4.17,5.07,10.89,13.3,6.46,10:26,11:03,4.3,24.66,1.76,3831,2.038,1022668,0.79
2025,523524,TELEWORK,51.5,40.0,91.4,21.38,10.93,32.79,3.99,6.4,06:01,06:46,27.85,11.32,1.29,6206,2.229,782941,1.584
2017,692568,TELEWORK,80.2,78.8,111.4,15.04,2.45,25.03,6.85,4.69,07:28,08:51,35.19,1.67,1.72,6963,1.734,951522,3.963
2020,775528,CARPOOL,20.4,10.7,32.0,25.97,13.16,30.57,4.32,2.21,08:14,08:28,36.92,9.1,2.85,6685,2.104,1482564,2.179
2019,585911,CARPOOL,94.7,86.1,129.8,24.96,19.82,27.19,12.79,4.79,07:15,08:49,39.89,21.61,1.51,8000,1.765,100824,0.805
2019,367447,OTHER,85.7,79.6,102.8,27.37,12.65,13.12,0.2,7.19,09:25,10:52,14.95,19.96,1.26,5323,1.87,370582,1.79
2020,649960,MIXED,48.5,47.1,85.7,5.17,8.61,33.95,1.36,6.67,10:34,11:26,10.96,9.07,1.83,4175,1.808,2182021,3.205
2024,709092,WALK,41.9,33.2,78.2,29.42,11.46,9.14,3.79,3.28,09:47,10:36,2.86,11.49,3.11,3269,1.68,347993,2.179
2021,422373,OTHER,89.4,83.8,120.9,2.42,16.61,34.97,7.55,2.5,06:25,07:59,19.49,10.67,1.45,5695,1.816,2218749,0.869
2016,541928,CARPOOL,57.8,56.4,77.5,25.11,16.41,6.95,3.28,7.22,06:52,07:49,43.83,16.53,1.56,7754,2.285,2121304,0.984
2021,944188,MIXED,22.0,21.6,36.0,25.27,18.3,33.93,4.07,8.51,09:51,10:07,2.12,1.4,2.42,1779,1.265,335281,1.77
2023,920874,WALK,40.2,32.6,67.0,3.82,14.28,11.54,1.43,4.7,09:47,10:23,9.18,6.75,1.35,3147,1.98,2111811,1.543
2025,515644,TELEWORK,87.3,75.6,108.5,4.76,6.76,17.8,7.08,10.78,08:01,09:18,34.49,7.61,1.02,7122,1.391,255876,3.623
2020,973600,BIKE,62.8,60.6,77.4,5.38,17.02,26.46,1.99,7.58,07:28,08:25,10.91,8.91,1.14,3868,2.391,17474,0.329
2023,170395,TRANSIT,15.2,9.1,34.4,31.17,12.76,29.92,12.11,9.03,07:25,07:46,37.74,19.55,1.1,6765,1.711,2040590,0.434
2025,520600,OTHER,61.3,53.7,96.0,16.25,15.67,27.07,14.83,8.37,09:55,11:08,34.11,15.48,3.15,7517,2.363,2408880,3.249
2024,467214,TRANSIT,37.7,28.2,43.4,11.34,15.98,34.47,1.91,3.52,07:07,07:38,2.82,5.49,2.31,2130,1.917,561593,3.726
2025,597866,CARPOOL,29.2,28.8,57.1,16.64,16.57,10.45,10.24,9.99,06:44,07:02,33.14,6.11,2.84,5697,1.149,601503,0.314
2019,104929,WALK,20.2,10.7,38.2,17.38,10.64,2.37,0.77,1.8,08:42,08:55,29.29,1.54,3.12,5104,1.0,1857105,1.719
2019,965265,TELEWORK,81.4,74.9,94.0,18.11,7.32,4.71,0.47,11.03,08:49,10:02,31.81,15.85,2.36,7520,1.585,835438,0.478
2021,770267,CARPOOL,23.6,18.2,36.1,25.9,14.41,3.84,15.0,11.1,06:57,07:22,21.4,3.76,2.39,3524,1.585,2209636,3.429
2021,568203,BIKE,42.5,33.2,72.6,10.62,7.27,31.18,12.18,3.64,07:20,07:53,38.78,14.96,2.4,7721,1.576,616180,2.277
2024,759295,BIKE,85.6,74.5,123.8,27.05,7.03,28.47,10.92,8.18,10:48,12:16,42.04,18.62,2.68,8000,1.679,233838,4.148
2020,732518,MIXED,88.6,84.0,94.9,33.08,15.9,6.11,7.98,7.89,10:12,11:44,9.3,8.03,2.27,3670,2.049,1916260,4.362
2021,702664,MIXED,94.7,83.0,105.8,28.42,19.79,15.38,17.67,10.25,06:36,08:03,26.07,2.25,1.58,6363,2.004,1698017,1.511
2024,625468,BIKE,94.2,92.8,114.9,7.06,1.54,14.24,13.87,0.79,10:47,12:28,2.77,23.62,1.19,4569,2.352,792130,0.247
2021,713118,TELEWORK,32.8,21.4,44.4,33.94,2.15,10.68,13.09,7.76,08:32,09:12,5.66,7.85,1.19,2398,2.268,957709,4.182
2021,330965,MIXED,77.2,71.0,98.2,32.31,7.57,4.0,12.82,5.28,10:32,11:42,27.11,15.97,1.76,7256,1.883,1336754,3.55
2020,748562,TRANSIT,24.4,16.8,46.7,3.28,8.84,24.09,13.87,5.11,08:44,08:59,43.1,17.19,1.99,7196,1.781,1420954,2.918
2021,119185,MIXED,69.1,60.1,80.6,0.03,14.66,16.47,11.71,10.13,07:17,08:20,36.56,22.68,3.02,7593,1.436,46618,4.469
2019,616387,AUTO,57.9,50.9,92.0,25.28,3.57,18.59,11.81,9.58,10:23,11:40,30.06,6.33,1.08,5819,1.723,2417043,1.223
2022,433242,MIXED,15.3,13.6,45.8,28.97,16.86,9.73,12.74,3.81,07:09,07:30,32.1,4.91,2.73,5595,1.524,1800931,4.154
2019,343243,CARPOOL,93.6,91.1,129.5,2.45,15.67,22.92,1.6,8.6,09:46,11:13,34.79,18.51,2.97,8000,1.323,1485783,1.418
2019,409063,TELEWORK,78.3,75.1,88.9,21.18,9.73,12.7,10.01,0.91,06:30,07:47,40.0,13.51,1.58,7943,1.598,2428634,1.114
2025,978738,TELEWORK,49.1,39.5,79.1,12.76,17.41,14.47,4.86,7.25,06:45,07:35,0.98,5.2,2.22,1806,0.855,1138510,3.753
2020,360250,AUTO,27.4,19.5,41.9,33.26,17.96,5.38,10.65,5.45,10:41,11:07,12.6,6.13,1.62,3058,0.768,1838264,2.255
2022,360901,AUTO,29.5,27.2,64.8,25.86,15.41,16.1,2.6,6.05,08:38,09:05,28.15,15.1,2.69,5712,0.772,989043,0.152
2020,989114,TELEWORK,51.1,44.9,64.3,5.94,14.86,1.0,10.26,6.45,09:30,10:28,43.49,5.82,1.57,6836,1.206,2325711,2.0
2023,121405,TRANSIT,23.0,22.6,39.2,16.89,18.18,11.51,17.25,4.08,10:06,10:28,43.13,7.52,3.15,6363,0.949,2054162,1.745
2021,688180,MIXED,70.5,63.2,96.8,27.54,5.94,29.41,5.74,8.51,06:43,07:46,24.62,22.79,2.32,6344,0.927,1064472,4.243
2020,684291,OTHER,49.1,47.0,76.1,5.62,7.67,30.24,7.01,3.47,06:10,06:44,36.65,8.43,2.19,7172,2.37,1480045,2.428
2024,692883,BIKE,41.5,34.9,72.0,3.2,5.58,28.57,1.85,3.08,07:53,08:28,30.08,3.58,1.95,5428,1.848,2028889,2.011
2017,206163,AUTO,14.3,3.0,38.1,34.23,12.65,33.75,0.67,6.13,07:23,07:38,33.71,18.91,3.09,6958,2.033,2194802,0.938
2017,413461,OTHER,8.6,3.0,31.9,23.49,9.64,34.51,8.09,8.33,08:16,08:21,11.97,5.15,1.34,2398,1.739,689060,2.017
2023,920937,CARPOOL,28.3,16.5,45.5,11.59,2.88,31.99,0.1,5.1,09:15,09:36,7.25,19.96,2.83,3202,0.936,1437089,2.411
2023,807355,OTHER,10.5,5.4,29.9,34.63,13.5,6.09,9.53,8.17,09:46,09:56,3.14,23.6,2.52,2828,1.008,568950,2.833
2021,587175,WALK,59.8,49.6,81.9,29.18,16.57,4.0,5.26,5.75,08:07,09:12,5.14,16.21,1.09,3478,2.132,1947831,4.184
2019,242507,BIKE,55.1,46.9,70.7,3.57,18.16,18.34,1.23,1.3,06:23,07:17,35.24,10.65,2.0,6470,1.157,153535,1.39
2016,937907,MIXED,60.2,57.1,88.8,28.41,13.68,2.8,17.48,0.09,06:10,07:13,5.32,4.55,1.57,3277,1.415,945112,3.399
2019,965353,TELEWORK,18.9,14.7,53.8,15.67,11.74,15.57,14.09,3.44,10:01,10:16,11.52,22.39,2.08,3987,2.395,488504,4.433
2024,193446,TELEWORK,40.2,34.9,49.9,19.45,13.08,5.25,9.46,5.43,08:00,08:46,20.85,23.66,1.57,5303,2.08,1084608,1.017
2025,406179,BIKE,32.3,32.2,68.4,15.76,1.67,20.37,8.35,11.84,08:03,08:43,41.32,22.88,2.33,8000,0.966,1611752,0.668
2016,239579,OTHER,84.7,82.1,112.0,28.0,19.47,18.9,5.74,8.29,08:11,09:37,20.69,11.23,1.87,5135,1.638,15975,4.489
2017,540454,CARPOOL,41.6,36.6,61.6,19.2,14.73,1.5,15.97,7.18,07:54,08:28,10.92,13.86,1.0,3833,0.96,1323038,4.19
2024,984535,AUTO,44.9,33.1,81.5,8.3,1.31,20.51,1.51,3.18,10:13,11:05,34.81,11.4,2.08,6937,1.183,1035394,1.219
2019,145724,MIXED,61.6,56.8,72.9,8.69,0.63,14.36,16.93,4.71,08:58,09:51,31.75,3.26,3.14,5964,1.038,792556,3.865
2024,498457,WALK,66.0,63.7,82.9,32.56,15.08,24.73,7.54,9.38,10:54,11:53,39.16,8.39,1.58,7682,1.806,939753,3.489
2024,115759,WALK,68.8,57.3,83.6,20.55,17.76,4.94,5.58,9.65,10:31,11:47,27.47,17.51,1.38,6598,1.761,1518502,1.308
2017,501661,BIKE,54.2,45.9,78.0,24.61,17.74,25.32,15.83,2.9,07:09,08:05,23.33,9.37,1.34,4875,1.3,827655,1.349
2018,909709,WALK,66.2,55.0,101.7,29.18,13.75,24.04,16.95,8.03,08:37,09:41,17.43,23.44,1.69,5514,1.452,823659,1.104
2017,768479,MIXED,14.6,11.8,21.6,20.87,3.89,2.54,6.89,1.65,07:02,07:11,1.38,24.11,1.1,3276,2.114,471810,0.613
2020,659737,MIXED,18.8,9.5,57.6,31.63,15.26,10.54,6.02,5.44,09:04,09:35,44.2,17.6,3.13,7998,1.533,332027,1.052
2024,998932,TRANSIT,54.2,44.4,67.4,34.8,17.53,2.45,11.67,3.57,08:30,09:18,12.87,13.84,2.53,4454,1.712,177843,0.809
2016,960388,TRANSIT,84.3,79.3,116.9,6.91,8.84,4.58,10.81,3.22,07:24,08:33,20.94,8.81,1.15,5048,2.329,2328777,3.871
2021,972171,TRANSIT,19.3,7.9,27.4,28.59,17.12,15.34,6.98,1.91,07:41,07:59,27.19,21.32,2.11,5773,1.965,698439,0.516
2020,411698,MIXED,81.3,74.6,88.1,27.93,4.65,18.0,16.08,10.24,06:06,07:26,41.37,21.41,1.11,8000,2.075,1097799,3.794
2023,352242,AUTO,58.1,48.9,71.8,5.37,0.17,1.91,5.04,2.44,09:01,09:47,36.87,24.9,1.54,8000,1.039,168141,4.456
2023,551453,TRANSIT,48.7,38.8,83.4,10.79,0.54,14.38,17.95,9.62,10:24,11:10,17.17,24.08,1.99,5644,0.869,2100270,1.193
2024,736543,TELEWORK,69.4,60.3,75.2,11.53,10.55,4.64,7.21,1.87,09:15,10:19,1.79,5.2,2.12,2727,1.24,174046,1.495
2021,850738,AUTO,93.4,89.7,126.8,22.13,18.55,7.86,1.31,4.62,07:09,08:42,40.3,19.35,1.91,8000,1.72,2152797,2.036
2020,641819,TELEWORK,12.0,10.5,28.7,34.19,0.93,6.66,1.87,11.78,10:07,10:35,36.47,14.86,1.4,5946,1.01,790691,0.792
2018,571312,TELEWORK,64.9,63.1,84.6,25.25,19.25,30.85,10.05,7.95,07:55,08:59,42.31,23.82,1.98,8000,1.612,1509356,4.198
2018,184469,WALK,66.4,61.9,78.3,22.5,7.09,16.64,2.4,10.75,06:42,07:38,1.9,4.42,2.07,2498,1.151,176082,1.782
2018,568842,MIXED,15.6,10.9,27.8,14.74,17.14,11.65,8.13,10.58,09:12,09:24,17.68,19.56,1.28,4808,1.765,1806348,3.759
2021,128706,TELEWORK,78.9,70.1,98.3,20.26,1.09,16.42,1.77,5.81,07:03,08:27,15.46,10.73,2.58,4535,1.243,677534,2.983
2021,148701,BIKE,84.7,76.1,97.6,23.5,2.08,12.68,4.2,3.07,09:12,10:38,18.47,16.17,1.25,6107,2.183,1895049,1.546
2016,767340,MIXED,35.5,32.7,61.0,0.82,11.47,17.61,13.08,11.78,08:40,09:28,4.01,0.77,2.07,2144,1.369,145784,0.188
2022,558135,OTHER,87.3,85.3,122.2,26.9,14.65,12.09,5.08,4.14,07:37,08:57,24.79,13.31,3.0,6156,1.18,976573,0.9
2017,807037,MIXED,82.7,77.4,111.3,20.55,18.52,29.21,10.9,11.55,08:12,09:31,12.05,2.65,2.54,4412,1.056,1754869,2.559
2023,558001,MIXED,22.7,18.3,52.5,15.14,11.32,14.29,12.36,1.42,08:24,08:48,26.67,21.94,2.76,6571,1.816,910098,0.283
2025,614429,TELEWORK,9.6,3.0,36.2,29.89,11.48,29.21,15.27,9.16,09:59,10:04,11.49,6.77,2.06,3258,2.236,111856,0.799
2021,310658,WALK,69.4,66.8,100.3,17.83,16.05,11.48,15.75,8.39,08:50,10:07,5.77,23.7,1.86,4286,1.102,863840,4.261
2020,504354,AUTO,26.2,23.6,33.5,9.65,16.97,28.87,12.9,1.15,07:08,07:35,29.65,22.05,1.43,6252,1.619,1630325,3.767
2017,535627,CARPOOL,16.9,5.4,48.8,14.33,2.91,12.99,1.42,4.38,08:27,08:42,26.58,6.98,2.21,4613,1.751,746525,0.813
2021,869971,WALK,21.1,12.1,60.3,27.72,17.28,13.76,2.22,2.67,08:50,09:13,25.0,12.52,1.74,4954,1.998,1956446,1.477
2024,919510,TRANSIT,29.6,28.7,66.4,21.72,11.41,3.4,6.28,1.43,08:21,08:43,23.28,5.39,2.7,4534,1.894,161674,0.799
2016,713008,MIXED,76.4,70.0,96.6,2.57,8.17,4.34,9.47,1.64,10:09,11:25,25.46,9.12,1.15,5484,1.349,594241,4.006
2023,118791,CARPOOL,20.3,17.6,46.4,24.93,18.89,23.86,14.61,10.56,06:40,06:59,6.54,12.4,1.47,2472,2.312,167355,0.896
2020,267357,MIXED,91.9,82.6,127.6,24.09,2.97,31.48,3.84,0.86,06:17,07:56,32.71,4.75,1.61,7303,1.028,1619193,4.423
2023,134111,TELEWORK,51.2,47.6,82.5,27.06,18.89,13.94,0.18,4.56,06:05,06:51,44.31,10.99,1.63,8000,0.979,1030785,4.268
2023,855685,BIKE,59.4,50.5,82.9,13.3,17.54,16.18,4.43,8.38,09:00,09:52,43.22,10.03,2.49,7618,0.933,330752,0.306
2022,402641,WALK,73.0,62.1,78.8,11.12,2.27,11.36,12.46,6.32,08:51,09:47,36.22,20.27,3.0,8000,1.839,906111,3.795
2021,568178,TRANSIT,94.6,87.9,130.7,34.99,17.55,11.63,12.18,1.83,06:37,08:04,23.72,5.36,1.25,6187,2.223,251596,1.314
2022,446414,CARPOOL,17.2,8.2,23.5,5.02,2.0,11.42,8.31,2.43,09:55,10:12,12.11,10.94,1.1,3514,0.927,1174963,4.39
2018,418764,TELEWORK,49.6,45.5,78.0,29.24,12.27,29.64,6.76,6.58,08:01,08:44,18.63,13.42,3.18,4693,2.14,1948977,3.688
2022,546879,TRANSIT,47.4,42.2,78.8,34.75,3.23,1.41,4.0,10.98,08:19,09:01,12.58,22.48,2.25,5307,1.887,622142,1.837
2023,467421,TELEWORK,86.7,86.0,97.0,34.39,3.99,15.66,14.78,4.49,07:14,08:26,36.46,17.42,3.06,8000,2.02,1336203,3.775
2020,852869,TELEWORK,89.3,82.8,111.4,17.35,19.47,24.39,8.9,11.33,06:44,08:15,44.02,14.97,1.24,8000,2.28,759227,0.468
2018,714429,TRANSIT,9.5,8.3,44.6,17.67,9.96,7.85,1.6,10.79,09:19,09:24,31.66,13.95,1.12,5173,0.804,120735,2.423
2021,153562,WALK,68.0,58.8,102.2,16.02,13.58,7.23,5.15,7.3,06:30,07:28,5.57,17.9,1.28,4079,0.794,395979,1.34
2016,694871,CARPOOL,23.9,21.5,52.5,11.61,9.65,10.32,2.1,5.84,06:46,07:08,39.0,12.04,1.28,7296,2.375,1643042,2.386
2017,661225,MIXED,79.4,74.6,107.2,9.84,12.19,9.5,14.28,4.51,06:03,07:21,14.9,0.69,2.95,3580,0.872,250791,2.159
2020,801825,BIKE,54.2,45.2,85.6,17.56,2.2,17.96,9.51,10.17,06:20,07:20,10.47,12.51,1.16,3364,0.918,1745487,4.228
2016,777156,CARPOOL,72.2,72.1,110.9,21.67,15.72,25.9,9.82,1.82,10:41,12:05,18.7,17.83,2.01,6289,2.067,2358836,2.583
2017,508763,TRANSIT,53.7,47.0,92.4,9.96,15.7,24.64,0.05,11.49,10:02,10:48,20.25,15.67,3.04,5200,0.883,405232,3.221
2023,320361,TELEWORK,87.6,85.3,127.1,34.67,6.0,30.13,6.89,0.82,09:38,11:01,12.59,4.95,2.13,4192,1.166,1495699,1.532
2024,769506,AUTO,15.8,11.9,37.5,0.76,10.03,22.73,1.98,9.09,06:48,07:12,21.19,5.08,2.07,3431,1.687,2230245,2.8
2025,459534,MIXED,9.7,5.5,43.6,5.15,13.41,29.82,13.24,8.37,07:09,07:19,43.07,2.09,1.27,5994,0.756,507490,0.802
2021,918443,AUTO,53.6,47.4,91.5,31.9,11.18,12.11,17.0,3.06,10:31,11:12,29.35,1.35,2.87,5779,1.971,1816197,0.191
2018,130313,AUTO,93.8,87.1,128.1,29.25,19.37,25.42,2.5,11.68,06:45,08:20,28.48,14.14,2.56,7036,1.389,836151,2.263
2024,426808,OTHER,75.0,70.6,112.7,5.97,5.33,20.28,7.33,3.1,06:43,07:52,0.48,15.36,3.14,3107,1.973,304691,1.082
2019,176902,WALK,54.9,46.1,85.6,28.06,12.61,30.85,13.2,10.28,09:56,10:57,38.62,17.63,1.95,7352,0.767,2354623,2.503
2018,163878,AUTO,90.9,84.8,123.1,10.01,5.76,7.26,14.79,3.15,06:02,07:30,22.74,0.69,2.53,4969,1.898,1648278,0.772
2018,913358,CARPOOL,40.5,29.4,76.7,31.99,18.11,18.94,0.04,4.48,09:17,09:51,14.77,18.77,1.86,4709,1.241,381186,3.247
2018,314309,TELEWORK,39.9,37.8,52.5,27.1,7.67,4.39,4.5,1.63,10:30,11:05,8.78,3.73,2.61,2301,2.236,1515660,1.011
2023,804132,BIKE,8.8,7.3,43.1,4.45,18.3,0.98,2.82,11.91,09:52,10:03,42.04,14.46,1.7,7426,0.774,474488,2.307
2021,453328,WALK,34.2,25.8,42.1,20.85,18.22,5.13,15.38,6.63,06:32,07:09,31.28,20.12,1.37,6457,2.104,231535,2.864
2018,976217,TELEWORK,59.9,53.1,90.2,4.39,8.56,26.21,1.14,9.51,10:14,11:13,29.85,11.93,3.09,6921,1.092,1095549,3.049
2018,653788,OTHER,79.4,70.8,97.4,12.77,1.48,30.14,6.27,9.26,08:01,09:09,9.13,23.93,2.79,5261,1.401,1820361,3.859
2016,953263,BIKE,85.6,82.6,111.2,6.68,19.68,2.05,11.22,11.81,06:47,08:22,38.59,11.72,2.26,8000,0.855,849566,3.725
2016,952879,BIKE,36.2,24.5,43.7,18.65,15.09,27.27,15.71,6.57,08:11,08:51,14.91,2.18,2.31,2970,2.152,1404282,2.833
2019,198344,MIXED,12.4,3.0,36.5,24.42,10.45,15.22,14.4,4.48,10:52,11:24,22.13,6.24,2.03,3451,1.411,291694,1.867
2024,510595,TRANSIT,69.0,57.1,89.8,31.97,6.17,19.28,15.74,4.83,08:13,09:24,26.73,6.33,2.54,6056,2.307,1990714,0.903
2024,255609,TELEWORK,71.3,67.1,82.0,13.44,7.94,21.64,13.98,6.0,10:00,10:59,16.84,19.15,2.93,6152,2.286,1216869,0.423
2021,265084,TELEWORK,69.5,57.5,91.9,32.21,3.55,5.84,10.57,11.94,09:08,10:05,19.14,17.34,2.33,5113,0.957,291784,1.107
2018,799096,TELEWORK,56.9,44.9,87.5,27.31,4.11,5.08,15.57,0.88,09:18,10:08,29.72,14.52,3.16,6516,1.512,2488221,1.101
2023,196700,TELEWORK,34.5,24.3,45.9,28.84,16.28,1.42,12.32,9.61,10:35,10:52,44.91,24.63,1.7,8000,1.769,1976426,0.338
2022,743736,CARPOOL,8.3,3.9,33.5,32.32,12.47,18.19,6.46,7.64,08:44,08:56,25.56,19.61,2.28,5687,0.965,1844414,2.608
2024,718384,TELEWORK,44.3,34.0,81.0,16.43,12.93,18.02,7.64,1.78,09:34,10:06,3.22,6.21,1.7,2089,1.478,1330251,2.538
2025,722078,TRANSIT,74.8,66.4,97.8,24.33,15.32,21.89,3.55,2.82,06:58,08:15,21.99,11.68,2.65,5959,2.154,2299702,2.347
2024,636469,CARPOOL,35.3,35.0,48.4,26.39,3.03,34.12,1.09,7.55,06:40,07:30,1.32,4.82,1.92,1650,1.044,43077,0.467
2020,659888,TELEWORK,43.1,39.4,82.6,10.73,4.14,4.44,4.29,11.82,08:15,09:05,24.06,7.38,1.62,5073,0.992,345674,3.934
2024,548515,CARPOOL,88.0,86.8,125.2,29.94,4.92,17.27,11.08,10.97,10:11,11:40,14.9,23.39,1.44,6599,2.045,723474,1.417
2024,187029,TELEWORK,85.5,78.4,93.5,11.07,2.76,0.54,4.51,7.49,07:45,09:12,36.62,14.77,1.73,8000,1.815,1199241,2.849
2025,551718,TELEWORK,76.6,69.2,106.0,1.52,14.43,21.9,3.43,10.17,07:25,08:40,35.96,12.07,2.63,7173,1.609,1294642,4.47
2018,647013,AUTO,47.2,39.8,57.9,32.44,3.98,31.28,10.43,6.16,08:29,09:26,2.19,1.84,2.02,1802,1.777,766063,3.843
2020,726940,WALK,47.6,40.0,73.7,34.26,13.2,4.33,7.56,6.12,06:35,07:19,0.81,6.91,1.14,2760,2.163,2281157,1.934
2025,490870,TELEWORK,77.8,75.5,103.4,32.64,18.96,27.43,5.84,6.55,08:24,09:32,31.95,14.87,2.61,6848,1.652,166760,3.752
