energy_gas_reference_date,energy_gas_country_iso2,energy_gas_storage_site_id,energy_gas_storage_capacity_twh,energy_gas_storage_filled_twh,energy_gas_storage_fill_rate_pct,energy_gas_lng_imports_twh,energy_gas_pipeline_imports_twh,energy_gas_domestic_production_twh,energy_gas_consumption_twh,energy_gas_price_ttf_eur_mwh,energy_gas_price_spread_eur_mwh,energy_gas_supply_source_country_iso2,energy_gas_repower_eu_policy_flag,energy_gas_security_of_supply_alert_level,energy_gas_demand_response_savings_twh,energy_gas_industrial_curtailment_flag,energy_gas_storage_obligation_compliance_flag,energy_gas_data_source,energy_gas_data_extract_date
2019-12-28,LU,LU_UGS_042,5.7703,5.3337,92.43,1.8546,2.2556,0.5045,3.7702,25.29,10.96,IN,0,NORMAL,0.2556,0,1,AGSI_PLUS,2025-09-06
2020-01-14,SI,SI_UGS_043,12.8992,1.118,8.67,1.5823,6.1445,0.6982,8.5705,11.71,-6.17,US,0,NORMAL,0.2122,0,0,NATIONAL_GAS_TSO,2024-06-13
2020-01-31,CY,CY_UGS_044,6.3044,2.5263,40.07,2.7875,4.3432,0.6906,7.6644,6.91,-1.56,IN,0,NORMAL,0.1808,0,0,MARKET_DATA_PROVIDER,2025-07-06
2020-02-17,GR,GR_UGS_045,13.123,2.966,22.6,2.1314,2.7994,1.4946,6.596,20.69,24.91,US,0,NORMAL,0.3151,0,0,ENTSOG_TRANSPARENCY,2025-12-27
2020-03-05,MT,MT_UGS_046,0.2735,0.091,33.28,1.2802,1.8581,1.5817,3.872,7.55,-1.29,IN,0,NORMAL,0.1371,0,0,AGSI_PLUS,2024-05-15
2020-03-22,ES,ES_UGS_047,15.4265,9.1081,59.04,0.9898,1.9659,1.8938,4.2949,21.56,8.01,US,0,NORMAL,0.2181,0,0,NATIONAL_GAS_TSO,2025-03-18
2020-04-08,CZ,CZ_UGS_048,1.8326,1.203,65.65,1.4137,0.2826,0.9713,2.3153,21.91,5.41,IN,1,NORMAL,0.0108,0,1,MARKET_DATA_PROVIDER,2024-07-04
2020-04-25,HU,HU_UGS_049,0.878,0.2695,30.7,1.6178,1.0798,1.1723,4.4122,10.22,5.02,US,0,NORMAL,0.2113,0,0,ENTSOG_TRANSPARENCY,2024-08-25
2020-05-12,NL,NL_UGS_050,11.0036,7.4039,67.29,2.5977,0.4492,2.3481,4.4654,19.59,-1.37,IN,0,NORMAL,0.0821,0,0,AGSI_PLUS,2024-04-04
2020-05-29,SE,SE_UGS_051,9.9596,9.7773,98.17,0.0619,0.6564,2.0963,2.0432,5.07,-9.64,US,0,NORMAL,0.2157,0,1,NATIONAL_GAS_TSO,2025-08-29
2020-06-15,DK,DK_UGS_052,2.1351,1.0591,49.61,0.0711,1.966,0.3723,1.5484,5.15,10.54,IN,0,NORMAL,0.0444,0,0,MARKET_DATA_PROVIDER,2025-02-27
2020-07-02,IE,IE_UGS_053,6.5856,5.3382,81.06,0.8244,4.0402,1.7059,7.0731,13.28,-5.44,US,0,NORMAL,0.1116,0,1,ENTSOG_TRANSPARENCY,2025-05-27
2020-07-19,PL,PL_UGS_054,16.1155,7.8786,48.89,1.7651,4.6035,0.5759,6.9522,18.74,-10.88,IN,0,NORMAL,0.1583,0,1,AGSI_PLUS,2024-08-10
2020-08-05,AT,AT_UGS_055,10.2943,2.2773,22.12,2.5071,0.3244,1.6402,3.8814,9.42,-6.85,US,0,NORMAL,0.1025,0,0,NATIONAL_GAS_TSO,2025-06-22
2020-08-22,EE,EE_UGS_056,1.942,1.1216,57.75,0.9252,2.7099,0.4917,3.9938,19.34,20.56,IN,1,NORMAL,0.1188,0,0,MARKET_DATA_PROVIDER,2024-07-02
2020-09-08,IT,IT_UGS_057,17.7009,5.0493,28.53,0.4182,5.8735,1.8967,8.0981,21.48,-11.01,US,0,NORMAL,0.1307,0,0,ENTSOG_TRANSPARENCY,2025-05-24
2020-09-25,PT,PT_UGS_058,2.936,2.5632,87.3,0.4338,4.9493,1.0207,6.9607,21.8,-5.34,IN,0,NORMAL,0.1804,0,1,AGSI_PLUS,2025-05-01
2020-10-12,BE,BE_UGS_059,10.2371,2.7196,26.57,1.3704,4.1002,1.5279,6.1297,18.51,-4.86,US,0,NORMAL,0.2208,0,0,NATIONAL_GAS_TSO,2025-03-23
2020-10-29,FI,FI_UGS_060,3.3907,3.1084,91.67,0.7811,7.3011,1.2401,9.2028,19.2,7.61,IN,0,NORMAL,0.055,0,1,MARKET_DATA_PROVIDER,2025-09-16
2020-11-15,LV,LV_UGS_061,0.2545,0.1673,65.75,2.1358,6.9689,1.0934,10.4722,18.88,10.57,US,0,NORMAL,0.1258,0,0,ENTSOG_TRANSPARENCY,2024-11-20
2020-12-02,RO,RO_UGS_062,8.2949,4.9503,59.68,0.2705,4.3706,0.3771,5.3054,5.16,-10.33,IN,1,NORMAL,0.2576,0,0,AGSI_PLUS,2025-04-13
2020-12-19,BG,BG_UGS_063,9.6105,8.0166,83.41,0.1063,5.3891,1.2958,7.356,6.2,16.25,US,0,NORMAL,0.2217,0,1,NATIONAL_GAS_TSO,2025-12-02
2021-01-05,FR,FR_UGS_064,3.8754,0.9666,24.94,0.3707,4.5946,1.5252,6.9673,72.23,-7.21,IN,0,NORMAL,0.0094,0,0,MARKET_DATA_PROVIDER,2024-06-03
2021-01-22,LT,LT_UGS_065,3.1045,1.4484,46.65,2.2556,1.007,1.1245,4.7236,79.39,-1.33,US,0,EARLY_WARNING,0.145,0,0,ENTSOG_TRANSPARENCY,2026-01-09
2021-02-08,SK,SK_UGS_066,13.1472,2.3668,18.0,2.1426,5.3727,1.2611,8.7183,48.88,4.87,IN,0,NORMAL,0.1138,0,0,AGSI_PLUS,2024-09-16
2021-02-25,HR,HR_UGS_067,4.1513,1.4223,34.26,0.7004,0.4999,0.1252,1.0187,71.78,2.36,US,0,NORMAL,0.1804,0,0,NATIONAL_GAS_TSO,2024-10-20
2021-03-14,DE,DE_UGS_068,7.3896,5.3021,71.75,1.2979,4.4593,0.0562,5.01,32.62,0.71,IN,0,NORMAL,0.3031,0,1,MARKET_DATA_PROVIDER,2025-06-05
2021-03-31,LU,LU_UGS_069,8.7329,5.3122,60.83,0.4276,1.1381,0.0106,0.6331,54.83,12.79,US,0,NORMAL,0.0867,0,0,ENTSOG_TRANSPARENCY,2024-09-11
2021-04-17,SI,SI_UGS_070,9.6598,0.9336,9.66,1.1851,2.3782,1.1341,4.7166,27.63,-4.03,IN,0,NORMAL,0.313,0,0,AGSI_PLUS,2025-01-11
2021-05-04,CY,CY_UGS_071,6.6301,1.2472,18.81,0.7465,0.26,0.2448,1.619,23.14,-2.53,US,0,NORMAL,0.2162,0,0,NATIONAL_GAS_TSO,2024-04-23
2021-05-21,GR,GR_UGS_072,5.0275,4.3973,87.47,1.3506,1.0368,0.9585,2.6098,68.04,7.79,IN,0,NORMAL,0.1997,0,1,MARKET_DATA_PROVIDER,2025-05-28
2021-06-07,MT,MT_UGS_073,11.8019,4.4121,37.38,0.5874,8.7511,0.9098,10.29,69.33,17.46,US,0,NORMAL,0.307,0,0,ENTSOG_TRANSPARENCY,2025-05-18
2021-06-24,ES,ES_UGS_074,11.1691,7.1047,63.61,1.3097,5.8545,0.3695,7.133,92.6,23.19,IN,1,EARLY_WARNING,0.0401,0,0,AGSI_PLUS,2025-09-15
2021-07-11,CZ,CZ_UGS_075,14.0119,3.6014,25.7,1.7228,5.8686,0.3866,7.7057,88.69,17.78,US,1,NORMAL,0.2961,0,0,NATIONAL_GAS_TSO,2024-09-13
2021-07-28,HU,HU_UGS_076,10.556,10.2582,97.18,1.3015,2.6451,1.7566,4.8509,49.18,17.46,IN,0,NORMAL,0.2014,0,1,MARKET_DATA_PROVIDER,2025-07-12
2021-08-14,NL,NL_UGS_077,15.1404,4.2938,28.36,0.5404,5.724,1.3081,7.316,58.68,8.6,US,0,NORMAL,0.1227,0,0,ENTSOG_TRANSPARENCY,2025-01-14
2021-08-31,SE,SE_UGS_078,14.8373,1.4144,9.53,0.2948,5.601,1.6128,7.4416,77.64,13.2,IN,0,NORMAL,0.1407,0,0,AGSI_PLUS,2024-12-27
2021-09-17,DK,DK_UGS_079,11.5784,6.7627,58.41,1.9445,5.544,0.9588,8.0176,92.97,12.47,US,0,EARLY_WARNING,0.1979,0,1,NATIONAL_GAS_TSO,2024-07-08
2021-10-04,IE,IE_UGS_080,9.4951,8.6721,91.33,1.0999,1.738,1.0447,3.7653,56.32,-3.87,IN,0,NORMAL,0.0671,0,1,MARKET_DATA_PROVIDER,2024-06-04
2021-10-21,PL,PL_UGS_081,3.3654,0.3441,10.23,0.8999,3.3727,1.9979,5.9682,87.06,22.36,US,0,ALERT,0.2375,0,0,ENTSOG_TRANSPARENCY,2024-01-23
2021-11-07,AT,AT_UGS_082,12.8981,4.8802,37.84,0.494,0.161,2.0322,1.9461,87.48,-2.62,IN,0,EARLY_WARNING,0.0016,0,0,AGSI_PLUS,2025-09-09
2021-11-24,EE,EE_UGS_083,4.2619,1.4604,34.27,1.0395,4.5146,1.2807,6.4342,60.18,-9.47,US,1,NORMAL,0.1836,0,0,NATIONAL_GAS_TSO,2026-02-25
2021-12-11,IT,IT_UGS_084,10.9926,8.4601,76.96,2.085,2.3317,1.9121,5.9585,77.55,20.13,IN,0,NORMAL,0.3097,0,1,MARKET_DATA_PROVIDER,2024-08-14
2021-12-28,PT,PT_UGS_085,4.7183,2.2452,47.58,0.5575,7.2025,1.6309,9.2956,60.06,9.62,US,0,NORMAL,0.3019,0,0,ENTSOG_TRANSPARENCY,2025-02-12
2022-01-14,BE,BE_UGS_086,5.968,4.8786,81.75,3.1687,8.1414,1.2166,12.4316,148.31,6.12,IN,1,NORMAL,0.0449,0,1,AGSI_PLUS,2024-09-04
2022-01-31,FI,FI_UGS_087,13.7664,3.0433,22.11,1.4794,6.2594,1.1336,8.1341,141.54,1.73,US,1,ALERT,0.0811,1,0,NATIONAL_GAS_TSO,2025-12-25
2022-02-17,LV,LV_UGS_088,10.415,4.6688,44.83,0.3606,7.099,0.1736,7.3345,93.86,-4.49,IN,1,NORMAL,0.0251,0,0,MARKET_DATA_PROVIDER,2025-07-23
2022-03-06,RO,RO_UGS_089,3.5831,2.7733,77.4,0.1398,0.8413,0.384,1.1015,182.38,-5.96,US,1,NORMAL,0.2347,0,0,ENTSOG_TRANSPARENCY,2025-01-08
2022-03-23,BG,BG_UGS_090,19.9807,18.9018,94.6,1.5331,6.5198,1.4547,9.1018,121.86,6.96,IN,1,NORMAL,0.2727,0,1,AGSI_PLUS,2025-08-29
2022-04-09,FR,FR_UGS_091,7.2441,2.3746,32.78,1.5136,4.3207,0.9244,7.2968,135.17,24.14,US,1,NORMAL,0.2955,0,0,NATIONAL_GAS_TSO,2025-10-27
2022-04-26,LT,LT_UGS_092,16.592,13.2059,79.59,2.4202,1.8603,0.678,5.0069,219.39,4.62,IN,0,EARLY_WARNING,0.009,0,0,MARKET_DATA_PROVIDER,2025-06-17
2022-05-13,SK,SK_UGS_093,9.9518,5.4997,55.26,1.7423,1.2346,0.2958,2.5027,144.62,9.69,US,0,NORMAL,0.0428,0,0,ENTSOG_TRANSPARENCY,2026-02-07
2022-05-30,HR,HR_UGS_094,8.1176,4.0764,50.22,0.8035,6.7679,1.1613,8.1367,117.88,-10.13,IN,1,NORMAL,0.1048,0,0,AGSI_PLUS,2025-01-28
2022-06-16,DE,DE_UGS_095,1.0082,0.0874,8.67,0.6935,2.0334,0.5086,2.2778,93.8,21.61,US,1,ALERT,0.0241,0,0,NATIONAL_GAS_TSO,2025-06-26
2022-07-03,LU,LU_UGS_096,14.8333,5.3144,35.83,1.1876,3.3565,1.3757,5.3151,99.22,-7.06,IN,1,NORMAL,0.1915,0,0,MARKET_DATA_PROVIDER,2024-09-29
2022-07-20,SI,SI_UGS_097,13.806,4.4753,32.42,1.7036,3.6395,0.3381,4.8181,74.97,-10.32,US,1,NORMAL,0.0766,0,0,ENTSOG_TRANSPARENCY,2024-08-25
2022-08-06,CY,CY_UGS_098,7.5056,4.9965,66.57,1.5501,2.2016,0.8099,5.0797,147.09,9.55,IN,1,NORMAL,0.3202,0,0,AGSI_PLUS,2024-09-28
2022-08-23,GR,GR_UGS_099,13.4171,11.6063,86.5,1.4963,2.6881,0.1606,3.6398,218.88,23.29,US,1,EARLY_WARNING,0.2869,0,1,NATIONAL_GAS_TSO,2025-07-25
2022-09-09,MT,MT_UGS_100,7.877,2.5122,31.89,1.6197,3.9653,1.9912,7.769,134.51,7.46,IN,0,NORMAL,0.2626,0,0,MARKET_DATA_PROVIDER,2024-01-24
2022-09-26,ES,ES_UGS_101,6.4649,3.5716,55.25,1.6352,4.5037,0.239,6.4063,204.26,17.71,US,1,NORMAL,0.1546,0,0,ENTSOG_TRANSPARENCY,2024-08-01
2022-10-13,CZ,CZ_UGS_102,6.446,2.7427,42.55,0.4483,0.1888,1.8064,1.7282,206.88,20.16,IN,1,NORMAL,0.1498,0,0,AGSI_PLUS,2025-11-09
2022-10-30,HU,HU_UGS_103,7.1656,6.5988,92.09,0.0206,1.0547,1.1863,2.3056,188.95,-2.83,US,1,NORMAL,0.291,0,1,NATIONAL_GAS_TSO,2024-05-15
2022-11-16,NL,NL_UGS_104,14.7372,4.6507,31.56,1.9123,1.2008,1.0348,3.9499,166.76,1.93,IN,1,EARLY_WARNING,0.2285,0,0,MARKET_DATA_PROVIDER,2024-04-24
2022-12-03,SE,SE_UGS_105,13.9154,3.5516,25.52,2.7355,3.0757,2.0657,7.0672,45.16,22.82,US,1,NORMAL,0.1097,0,0,ENTSOG_TRANSPARENCY,2025-05-01
2022-12-20,DK,DK_UGS_106,11.9593,1.8862,15.77,0.8456,1.1966,1.3543,2.6773,197.24,11.75,IN,1,ALERT,0.0366,0,0,AGSI_PLUS,2024-09-04
2023-01-06,IE,IE_UGS_107,2.1001,1.983,94.43,1.1408,6.6175,1.5992,9.0651,104.66,15.85,US,1,EARLY_WARNING,0.1201,0,1,NATIONAL_GAS_TSO,2024-08-09
2023-01-23,PL,PL_UGS_108,11.1805,4.2769,38.25,1.4448,0.9055,1.6168,3.3659,37.93,7.63,IN,1,NORMAL,0.1589,0,0,MARKET_DATA_PROVIDER,2026-01-29
2023-02-09,AT,AT_UGS_109,6.1942,4.5335,73.19,0.1937,3.6511,1.6225,5.9516,103.17,7.94,US,1,NORMAL,0.0053,0,0,ENTSOG_TRANSPARENCY,2024-05-13
2023-02-26,EE,EE_UGS_110,1.6168,1.2368,76.5,2.3633,2.1548,0.5943,5.178,109.8,9.17,IN,0,NORMAL,0.19,0,1,AGSI_PLUS,2025-05-07
2023-03-15,IT,IT_UGS_111,3.5137,1.5454,43.98,1.8515,0.5491,1.775,3.9624,118.21,6.41,US,1,EARLY_WARNING,0.0433,0,0,NATIONAL_GAS_TSO,2024-09-12
2023-04-01,PT,PT_UGS_112,8.9548,2.9378,32.81,1.9317,0.5378,0.2792,3.1168,115.57,15.52,IN,1,NORMAL,0.2717,0,0,MARKET_DATA_PROVIDER,2025-09-14
2023-04-18,BE,BE_UGS_113,5.5036,4.1082,74.65,0.4475,5.7267,1.1362,7.4882,109.38,-6.49,US,1,NORMAL,0.2562,0,1,ENTSOG_TRANSPARENCY,2025-06-30
2023-05-05,FI,FI_UGS_114,6.9428,5.2572,75.72,1.1296,2.9099,2.0756,5.4958,76.24,13.19,IN,1,EARLY_WARNING,0.2995,0,0,AGSI_PLUS,2024-10-04
2023-05-22,LV,LV_UGS_115,9.1167,6.5601,71.96,2.3483,4.5007,0.0928,6.9709,103.36,-4.45,US,1,NORMAL,0.3026,0,0,NATIONAL_GAS_TSO,2025-12-05
2023-06-08,RO,RO_UGS_116,11.7683,1.6393,13.93,1.1961,2.7083,0.9202,5.2032,23.59,9.84,IN,1,NORMAL,0.0173,0,0,MARKET_DATA_PROVIDER,2024-06-23
2023-06-25,BG,BG_UGS_117,5.2564,3.6414,69.28,1.4203,7.3737,1.6541,10.7947,68.42,21.96,US,1,NORMAL,0.0894,0,1,ENTSOG_TRANSPARENCY,2024-01-05
2023-07-12,FR,FR_UGS_118,15.281,6.3308,41.43,0.3395,4.6105,0.6849,6.1483,96.34,7.3,IN,0,NORMAL,0.1067,0,0,AGSI_PLUS,2025-02-12
2023-07-29,LT,LT_UGS_119,13.3194,10.1157,75.95,0.4952,0.3381,0.7662,0.846,75.43,0.61,US,1,NORMAL,0.1867,0,1,NATIONAL_GAS_TSO,2025-05-16
2023-08-15,SK,SK_UGS_120,10.7857,8.0523,74.66,1.6714,1.6005,0.3745,3.1655,100.15,-7.82,IN,1,NORMAL,0.1061,0,0,MARKET_DATA_PROVIDER,2024-11-18
2023-09-01,HR,HR_UGS_121,11.7018,1.9708,16.84,2.8703,2.8696,1.0475,6.1223,28.84,14.6,US,0,NORMAL,0.3173,0,0,ENTSOG_TRANSPARENCY,2024-09-14
2023-09-18,DE,DE_UGS_122,5.7417,3.1642,55.11,0.1144,3.1006,1.0718,4.837,58.61,-5.26,IN,0,NORMAL,0.0749,0,0,AGSI_PLUS,2024-09-02
2023-10-05,LU,LU_UGS_123,10.4937,7.6464,72.87,3.235,5.5841,0.3266,9.0385,97.05,3.06,US,1,EARLY_WARNING,0.3202,0,1,NATIONAL_GAS_TSO,2025-10-18
2023-10-22,SI,SI_UGS_124,9.9936,4.188,41.91,0.4994,1.6242,0.4972,2.3799,88.64,23.04,IN,1,NORMAL,0.2129,0,0,MARKET_DATA_PROVIDER,2024-05-13
2023-11-08,CY,CY_UGS_125,10.3915,3.1073,29.9,0.7883,0.4104,0.486,2.0548,80.94,-6.99,US,0,EARLY_WARNING,0.1154,0,0,ENTSOG_TRANSPARENCY,2024-01-20
2023-11-25,GR,GR_UGS_126,3.0684,3.0254,98.6,2.2838,2.6824,1.3746,6.3823,85.11,21.98,IN,1,NORMAL,0.0877,0,1,AGSI_PLUS,2025-04-24
2023-12-12,MT,MT_UGS_127,1.3248,0.8709,65.74,0.933,0.795,1.1613,3.1793,49.81,-4.72,US,1,NORMAL,0.1379,0,1,NATIONAL_GAS_TSO,2024-02-16
2023-12-29,ES,ES_UGS_128,13.8715,4.4434,32.03,0.7641,5.4729,0.4773,6.9568,81.93,3.56,IN,1,NORMAL,0.2919,0,0,MARKET_DATA_PROVIDER,2024-11-17
2024-01-15,CZ,CZ_UGS_129,11.9684,10.8163,90.37,0.0382,4.9137,0.6708,5.2395,82.2,7.69,US,1,NORMAL,0.3205,0,1,ENTSOG_TRANSPARENCY,2024-07-19
2024-02-01,HU,HU_UGS_130,9.5434,0.9205,9.65,1.1186,0.6599,0.8333,3.0269,106.27,18.19,IN,1,ALERT,0.2668,1,0,AGSI_PLUS,2024-11-13
