agri_foodprices_reference_month,agri_foodprices_country_iso2,agri_foodprices_region_nuts_code,agri_foodprices_coicop_food_code,agri_foodprices_food_price_index,agri_foodprices_farmgate_price_index,agri_foodprices_wholesale_price_index,agri_foodprices_retail_price_index,agri_foodprices_price_spread_index,agri_foodprices_energy_cost_index,agri_foodprices_freight_cost_index,agri_foodprices_packaging_cost_index,agri_foodprices_stock_to_use_ratio,agri_foodprices_import_dependency_pct,agri_foodprices_food_waste_kg_per_capita,agri_foodprices_supply_chain_disruption_flag,agri_foodprices_food_insecurity_rate_pct,agri_foodprices_eurostat_table_code,agri_foodprices_methodology_version,agri_foodprices_data_extract_date
2018-11,LT,EE341,CP011,83.435,79.824,87.452,82.874,3.656,78.379,82.594,82.043,0.4775,76.87,53.11,1,6.41,prc_hicp_midx,FOODPR_2024C,2024-12-22
2018-12,SK,CZ48,CP0115,85.422,85.396,86.929,89.174,4.423,75.902,80.363,82.551,0.1949,21.93,96.87,0,9.49,apri_pi10_out,FOODPR_2023B,2025-07-31
2019-01,HR,LT76,CP011,86.488,77.46,85.423,99.625,25.628,79.618,81.346,84.043,0.1729,71.64,129.17,1,18.79,food_prc_idx,FOODPR_2022A,2025-09-27
2019-02,DE,DE56,CP0115,85.692,68.343,83.122,100.314,37.309,79.278,81.824,83.712,0.1991,33.11,35.47,0,17.23,prc_hicp_manr,FOODPR_2025D,2024-03-30
2019-03,LU,HU79,CP011,87.349,84.363,81.63,93.122,10.028,78.752,82.669,84.824,0.1581,14.53,92.72,0,18.4,apro_fish_a,FOODPR_2024C,2024-09-12
2019-04,SI,BE200,CP0115,87.704,70.65,93.6,98.567,31.831,81.797,82.306,85.463,0.4781,35.72,143.1,1,2.65,prc_hicp_midx,FOODPR_2023B,2024-03-31
2019-05,CY,HR857,CP011,88.378,77.696,95.216,89.625,13.498,81.864,84.232,85.101,0.1657,39.45,124.72,0,1.16,apri_pi10_out,FOODPR_2022A,2025-04-16
2019-06,GR,HU621,CP0115,88.504,79.398,95.155,95.052,17.687,83.184,83.41,87.427,0.2964,16.32,140.42,0,5.82,food_prc_idx,FOODPR_2025D,2026-01-20
2019-07,MT,AT28,CP011,87.367,69.856,89.11,93.334,26.873,80.817,86.832,86.388,0.1443,61.59,83.07,1,7.09,prc_hicp_manr,FOODPR_2024C,2025-04-17
2019-08,ES,SK11,CP0115,88.048,69.127,98.475,101.518,36.788,84.372,85.0,87.395,0.2173,24.1,54.26,0,4.51,apro_fish_a,FOODPR_2023B,2025-11-20
2019-09,CZ,EE8,CP011,88.865,80.935,83.09,96.902,17.968,84.399,87.478,89.163,0.1974,57.46,120.09,0,12.09,prc_hicp_midx,FOODPR_2022A,2024-03-30
2019-10,HU,FR596,CP0115,88.436,87.465,82.719,102.226,16.691,84.315,89.237,89.07,0.2761,30.8,82.51,0,11.19,apri_pi10_out,FOODPR_2025D,2024-03-28
2019-11,NL,NL62,CP011,88.855,70.46,85.8,95.786,28.503,83.982,88.612,88.553,0.3642,56.85,163.1,0,5.1,food_prc_idx,FOODPR_2024C,2024-06-24
2019-12,SE,FI67,CP0115,89.703,87.27,98.657,105.797,20.654,86.258,88.495,90.252,0.306,33.44,131.04,0,9.17,prc_hicp_manr,FOODPR_2023B,2026-01-17
2020-01,DK,RO64,CP011,90.052,91.697,92.963,99.524,8.692,87.936,87.643,89.191,0.2325,46.12,129.08,1,18.43,apro_fish_a,FOODPR_2022A,2025-09-20
2020-02,IE,CZ95,CP0115,90.895,79.425,87.141,107.226,30.586,86.423,91.306,91.631,0.226,65.83,111.26,1,7.51,prc_hicp_midx,FOODPR_2025D,2024-02-11
2020-03,PL,IT720,CP011,92.837,90.851,86.923,95.598,5.113,89.533,91.255,90.663,0.4187,61.95,138.22,0,17.11,apri_pi10_out,FOODPR_2024C,2024-11-28
2020-04,AT,HR5,CP0115,91.877,90.104,90.974,93.124,3.287,88.318,92.718,90.45,0.1275,33.26,114.94,0,12.77,food_prc_idx,FOODPR_2023B,2025-09-25
2020-05,EE,NL42,CP011,92.916,75.297,94.793,106.914,34.028,91.371,90.604,91.326,0.2966,29.69,71.35,0,2.67,prc_hicp_manr,FOODPR_2022A,2025-11-27
2020-06,IT,SE58,CP0115,94.214,86.592,95.353,97.856,11.956,91.762,92.903,91.375,0.4284,10.52,94.12,0,7.71,apro_fish_a,FOODPR_2025D,2025-07-05
2020-07,PT,IT945,CP011,94.073,77.761,97.341,104.31,28.222,92.635,93.787,92.934,0.4043,48.91,102.67,0,5.88,prc_hicp_midx,FOODPR_2024C,2025-08-12
2020-08,BE,RO37,CP0115,94.277,95.001,91.232,108.955,14.801,93.133,92.44,93.955,0.1662,24.66,137.77,0,14.36,apri_pi10_out,FOODPR_2023B,2025-02-13
2020-09,FI,LV6,CP011,94.609,88.904,94.033,103.953,15.907,93.542,93.177,93.343,0.198,19.92,114.98,0,6.58,food_prc_idx,FOODPR_2022A,2024-08-11
2020-10,LV,LU736,CP0115,95.607,87.407,103.223,96.2,9.197,93.706,95.871,95.492,0.2845,15.3,159.24,0,8.13,prc_hicp_manr,FOODPR_2025D,2024-06-10
2020-11,RO,SE667,CP011,95.075,94.898,90.376,95.448,0.578,93.099,95.612,95.129,0.131,61.31,62.44,0,11.44,apro_fish_a,FOODPR_2024C,2024-06-25
2020-12,BG,PL183,CP0115,95.324,77.802,96.005,109.401,33.149,96.02,96.061,95.562,0.3262,74.53,161.68,1,15.79,prc_hicp_midx,FOODPR_2023B,2025-06-14
2021-01,FR,IT506,CP011,96.229,84.131,92.322,99.11,15.566,94.337,95.965,96.293,0.2057,42.22,53.8,0,14.0,apri_pi10_out,FOODPR_2022A,2024-10-28
2021-02,LT,CZ7,CP0115,97.321,93.773,94.586,105.011,11.547,94.347,97.198,96.776,0.3516,69.47,112.68,0,2.9,food_prc_idx,FOODPR_2025D,2025-08-03
2021-03,SK,SI77,CP011,97.588,83.867,92.014,114.331,31.217,95.572,97.376,96.792,0.1866,60.13,135.46,0,10.35,prc_hicp_manr,FOODPR_2024C,2026-02-07
2021-04,HR,PT61,CP0115,97.631,85.369,105.473,114.343,29.677,99.157,99.849,97.705,0.3582,67.74,136.68,0,18.73,apro_fish_a,FOODPR_2023B,2025-02-27
2021-05,DE,GR6,CP011,97.12,84.466,102.381,108.395,24.639,99.317,99.277,98.399,0.2368,8.41,145.69,1,16.78,prc_hicp_midx,FOODPR_2022A,2024-03-15
2021-06,LU,LV65,CP0115,98.177,80.131,96.975,97.729,17.925,98.777,100.349,99.434,0.1212,21.59,106.63,0,3.17,apri_pi10_out,FOODPR_2025D,2025-06-08
2021-07,SI,CY144,CP011,99.562,90.226,92.246,103.961,13.795,99.313,101.869,99.881,0.1214,51.84,100.81,0,2.6,food_prc_idx,FOODPR_2024C,2025-08-23
2021-08,CY,RO1,CP0115,100.308,85.799,109.632,98.797,12.958,100.97,101.691,98.798,0.4645,7.02,88.33,0,11.56,prc_hicp_manr,FOODPR_2023B,2024-05-24
2021-09,GR,BG239,CP011,100.405,93.601,97.557,100.261,6.633,102.603,100.108,98.916,0.2968,17.52,104.39,0,10.08,apro_fish_a,FOODPR_2022A,2026-01-16
2021-10,MT,BE40,CP0115,100.433,82.068,101.145,105.271,23.103,100.499,103.119,101.369,0.3178,23.52,83.39,0,4.31,prc_hicp_midx,FOODPR_2025D,2025-08-08
2021-11,ES,DK474,CP011,101.361,99.472,100.897,112.668,13.019,102.13,102.595,100.532,0.4126,17.34,110.87,0,8.11,apri_pi10_out,FOODPR_2024C,2025-08-02
2021-12,CZ,SI96,CP0115,102.236,84.554,107.304,101.589,16.662,103.413,103.941,102.185,0.2821,27.05,147.26,0,1.01,food_prc_idx,FOODPR_2023B,2025-07-08
2022-01,HU,BG891,CP011,101.464,84.12,98.544,106.288,21.848,102.984,105.063,102.572,0.1986,38.79,35.65,0,12.05,prc_hicp_manr,FOODPR_2022A,2024-09-22
2022-02,NL,GR508,CP0115,102.493,81.754,113.53,111.22,28.749,102.572,105.499,102.306,0.4126,6.04,86.99,0,6.44,apro_fish_a,FOODPR_2025D,2024-09-08
2022-03,SE,FI5,CP011,102.856,81.272,106.841,119.935,37.589,104.031,106.242,102.182,0.2375,6.07,156.3,0,17.76,prc_hicp_midx,FOODPR_2024C,2024-07-01
2022-04,DK,AT7,CP0115,102.958,103.862,101.298,102.778,-1.053,107.564,107.092,104.014,0.2281,27.41,65.01,0,2.88,apri_pi10_out,FOODPR_2023B,2025-03-21
2022-05,IE,IE10,CP011,102.834,86.211,100.6,102.399,15.742,106.485,106.411,103.651,0.2611,32.84,149.86,1,6.44,food_prc_idx,FOODPR_2022A,2025-11-04
2022-06,PL,DE72,CP0115,102.764,96.017,97.022,111.522,15.088,108.384,105.653,103.798,0.3862,13.2,60.88,0,17.57,prc_hicp_manr,FOODPR_2025D,2024-12-31
2022-07,AT,DE19,CP011,103.4,102.6,97.972,120.181,17.003,107.609,107.737,104.714,0.4467,9.47,115.28,0,14.25,apro_fish_a,FOODPR_2024C,2025-10-23
2022-08,EE,SK9,CP0115,105.458,97.665,105.892,106.806,8.668,106.518,109.138,105.599,0.4114,58.69,114.58,0,8.17,prc_hicp_midx,FOODPR_2023B,2024-10-17
2022-09,IT,DE937,CP011,106.162,89.136,105.833,113.573,23.019,107.281,109.298,105.237,0.1663,19.33,122.25,0,8.73,apri_pi10_out,FOODPR_2022A,2025-02-20
2022-10,PT,EE611,CP0115,106.163,88.183,109.433,115.577,25.804,109.666,109.973,107.486,0.2242,49.79,121.8,0,17.56,food_prc_idx,FOODPR_2025D,2025-11-26
2022-11,BE,HU75,CP011,106.291,100.194,99.22,111.159,10.316,112.178,110.584,108.031,0.4708,56.53,84.41,0,18.02,prc_hicp_manr,FOODPR_2024C,2024-01-11
2022-12,FI,CY260,CP0115,106.839,106.881,108.642,113.602,6.291,113.179,111.838,106.926,0.3734,8.02,163.66,0,10.2,apro_fish_a,FOODPR_2023B,2026-01-09
2023-01,LV,DE435,CP011,107.283,104.19,105.343,123.804,18.282,111.382,111.497,108.864,0.2134,59.35,158.47,0,3.62,prc_hicp_midx,FOODPR_2022A,2024-03-31
2023-02,RO,PT96,CP0115,108.542,86.988,110.178,114.75,25.577,112.137,110.793,107.595,0.1724,6.64,107.71,0,2.82,apri_pi10_out,FOODPR_2025D,2024-04-10
2023-03,BG,PL3,CP011,107.192,90.341,113.097,107.369,15.886,112.279,113.374,109.304,0.133,16.05,40.17,0,14.97,food_prc_idx,FOODPR_2024C,2025-05-31
2023-04,FR,DE836,CP0115,108.887,96.519,107.391,124.605,25.794,112.924,112.061,109.892,0.3248,12.6,153.37,0,7.95,prc_hicp_manr,FOODPR_2023B,2024-05-23
2023-05,LT,CZ6,CP011,109.916,91.185,112.934,113.843,20.614,115.159,114.055,110.83,0.1563,32.47,142.73,1,16.62,apro_fish_a,FOODPR_2022A,2024-02-08
2023-06,SK,DK30,CP0115,108.247,99.431,111.056,120.131,19.123,114.22,115.058,111.017,0.125,37.02,115.18,0,16.68,prc_hicp_midx,FOODPR_2025D,2024-09-01
2023-07,HR,HU4,CP011,108.739,102.295,112.64,110.841,7.859,117.04,115.054,109.907,0.4375,56.44,36.41,0,15.7,apri_pi10_out,FOODPR_2024C,2025-05-29
2023-08,DE,CZ870,CP0115,110.677,110.617,110.409,123.842,11.949,115.6,114.719,110.693,0.2168,15.43,103.39,0,5.62,food_prc_idx,FOODPR_2023B,2024-07-04
2023-09,LU,PL94,CP011,110.273,98.594,120.239,121.163,20.466,116.332,116.447,112.777,0.4374,31.64,144.31,0,17.79,prc_hicp_manr,FOODPR_2022A,2025-03-19
2023-10,SI,IE3,CP0115,110.871,102.43,111.001,111.957,8.593,119.177,116.33,112.217,0.2391,59.28,101.55,0,14.5,apro_fish_a,FOODPR_2025D,2024-04-11
2023-11,CY,EE304,CP011,112.02,87.777,104.371,127.297,35.279,120.215,115.809,112.563,0.4375,18.86,95.23,0,8.37,prc_hicp_midx,FOODPR_2024C,2024-04-06
2023-12,GR,IT393,CP0115,112.511,104.2,107.751,120.735,14.696,118.115,118.135,113.082,0.2017,15.78,114.53,0,9.51,apri_pi10_out,FOODPR_2023B,2025-03-30
2024-01,MT,IE14,CP011,111.799,92.69,114.592,125.075,28.967,120.973,117.242,113.479,0.1713,63.77,73.22,0,13.75,food_prc_idx,FOODPR_2022A,2024-08-22
2024-02,ES,BG907,CP0115,112.476,105.97,108.794,122.708,14.881,120.999,118.844,114.93,0.1245,54.31,57.41,0,17.67,prc_hicp_manr,FOODPR_2025D,2024-06-15
2024-03,CZ,SE33,CP011,112.823,110.193,124.817,111.071,0.778,119.806,118.214,114.815,0.4386,41.29,67.45,0,6.79,apro_fish_a,FOODPR_2024C,2024-11-28
2024-04,HU,CY36,CP0115,114.131,114.41,123.802,129.121,12.89,121.092,119.086,114.756,0.2346,41.39,124.99,0,6.71,prc_hicp_midx,FOODPR_2023B,2024-03-24
2024-05,NL,DE538,CP011,113.511,105.827,126.64,115.592,8.603,121.73,120.988,116.727,0.3624,73.31,40.24,0,18.21,apri_pi10_out,FOODPR_2022A,2025-01-18
2024-06,SE,LU66,CP0115,113.822,108.268,117.943,133.328,22.017,123.123,119.496,115.557,0.3516,7.08,107.6,0,9.74,food_prc_idx,FOODPR_2025D,2025-04-09
2024-07,DK,MT648,CP011,114.715,100.437,119.725,113.94,11.771,124.666,121.788,117.896,0.3339,71.33,57.2,0,4.2,prc_hicp_manr,FOODPR_2024C,2025-04-30
2024-08,IE,DE63,CP0115,116.448,106.826,123.606,133.715,23.091,124.421,122.817,118.084,0.1869,66.1,56.01,0,5.27,apro_fish_a,FOODPR_2023B,2025-10-13
2024-09,PL,BG301,CP011,115.877,112.855,115.704,126.529,11.8,124.228,121.213,117.741,0.1693,71.84,54.05,0,17.49,prc_hicp_midx,FOODPR_2022A,2024-05-09
2024-10,AT,FR64,CP0115,117.329,115.899,111.018,132.577,14.215,126.866,122.806,118.618,0.3998,31.34,121.98,0,3.11,apri_pi10_out,FOODPR_2025D,2025-12-06
2024-11,EE,CZ88,CP011,116.061,104.394,129.642,121.542,14.775,128.686,125.354,118.912,0.4389,22.05,88.35,0,2.39,food_prc_idx,FOODPR_2024C,2024-08-22
2024-12,IT,HU19,CP0115,117.964,107.715,124.604,134.322,22.555,128.098,124.079,118.608,0.4695,29.3,144.99,0,16.66,prc_hicp_manr,FOODPR_2023B,2025-10-22
2025-01,PT,NL98,CP011,118.999,101.789,125.906,128.386,22.351,130.524,126.54,120.588,0.195,59.7,101.63,0,1.17,apro_fish_a,FOODPR_2022A,2024-01-15
2025-02,BE,ES39,CP0115,117.32,110.279,117.199,131.658,18.223,128.993,124.635,120.489,0.4256,33.53,160.2,0,11.9,prc_hicp_midx,FOODPR_2025D,2025-01-26
2025-03,FI,IT675,CP011,118.996,96.24,133.091,118.991,19.119,131.434,125.006,120.633,0.1995,58.93,112.62,0,18.24,apri_pi10_out,FOODPR_2024C,2025-07-09
2025-04,LV,SI8,CP0115,119.892,109.804,118.039,141.443,26.39,132.162,126.9,121.742,0.2848,51.84,98.89,1,10.26,food_prc_idx,FOODPR_2023B,2025-05-13
2025-05,RO,DE528,CP011,118.986,94.054,126.791,124.829,25.864,133.343,127.041,122.134,0.1991,21.04,106.89,0,12.0,prc_hicp_manr,FOODPR_2022A,2025-01-16
2025-06,BG,FI63,CP0115,119.716,119.265,127.66,125.105,4.878,130.807,129.096,121.773,0.3658,21.63,57.52,1,14.96,apro_fish_a,FOODPR_2025D,2026-02-09
2025-07,FR,HU581,CP011,120.986,98.866,120.911,124.148,20.897,134.18,128.176,121.98,0.3562,8.2,71.77,0,15.54,prc_hicp_midx,FOODPR_2024C,2024-12-27
2025-08,LT,RO677,CP0115,120.637,107.578,132.948,140.907,27.628,132.338,130.743,124.637,0.3332,11.81,130.1,0,12.03,apri_pi10_out,FOODPR_2023B,2024-10-14
2025-09,SK,LT871,CP011,121.941,116.96,132.55,140.719,19.484,134.243,129.724,124.03,0.1291,59.97,75.81,0,11.41,food_prc_idx,FOODPR_2022A,2025-01-26
2025-10,HR,HR76,CP0115,121.554,117.417,115.66,122.413,4.11,133.206,132.128,125.634,0.2875,28.14,100.75,0,9.36,prc_hicp_manr,FOODPR_2025D,2025-01-28
2025-11,DE,FR180,CP011,122.166,101.658,120.622,143.36,34.136,136.44,131.495,125.767,0.3551,23.68,161.29,0,4.35,apro_fish_a,FOODPR_2024C,2024-08-09
2025-12,LU,HU7,CP0115,123.277,118.637,126.276,135.434,13.625,134.987,130.472,125.957,0.4771,32.1,156.39,0,2.18,prc_hicp_midx,FOODPR_2023B,2025-12-14
2026-01,SI,CZ82,CP011,123.19,119.777,121.99,143.193,19.008,138.144,132.811,125.143,0.2999,72.16,78.36,0,3.92,apri_pi10_out,FOODPR_2022A,2025-02-07
2026-02,CY,SK91,CP0115,123.363,105.083,128.782,121.852,13.593,138.0,133.671,126.073,0.2121,70.56,45.57,0,10.76,food_prc_idx,FOODPR_2025D,2024-02-22
2026-03,GR,GR29,CP011,123.362,106.481,133.717,138.485,25.943,136.986,133.062,126.639,0.4752,34.9,58.87,0,18.35,prc_hicp_manr,FOODPR_2024C,2026-01-10
2026-04,MT,LU68,CP0115,124.034,117.581,120.24,145.546,22.546,137.579,134.658,128.48,0.3091,56.1,69.5,0,13.04,apro_fish_a,FOODPR_2023B,2025-11-09
2026-05,ES,GR341,CP011,123.93,118.72,118.392,129.292,8.531,141.824,133.329,128.968,0.264,48.36,68.02,0,2.34,prc_hicp_midx,FOODPR_2022A,2025-09-04
2026-06,CZ,MT6,CP0115,124.768,108.297,118.698,127.365,15.283,139.3,134.012,128.871,0.4495,76.44,122.78,1,15.27,apri_pi10_out,FOODPR_2025D,2025-08-25
2026-07,HU,SE365,CP011,126.283,125.242,141.233,145.902,16.36,141.614,134.931,128.311,0.1814,21.56,161.11,0,13.88,food_prc_idx,FOODPR_2024C,2025-07-25
2026-08,NL,PT43,CP0115,126.798,110.732,124.575,124.385,10.768,140.316,136.935,129.827,0.1411,36.49,64.25,0,4.93,prc_hicp_manr,FOODPR_2023B,2024-10-31
2026-09,SE,HU21,CP011,126.205,123.536,118.494,139.403,12.572,143.745,138.814,130.271,0.3142,75.12,91.05,0,5.92,apro_fish_a,FOODPR_2022A,2024-12-04
2026-10,DK,RO12,CP0115,127.061,105.255,125.528,140.474,27.718,143.383,138.644,129.913,0.4462,51.45,49.97,0,7.89,prc_hicp_midx,FOODPR_2025D,2024-02-09
2026-11,IE,ES655,CP011,127.637,103.403,121.817,126.641,18.206,145.51,137.83,130.051,0.145,74.29,140.56,0,9.4,apri_pi10_out,FOODPR_2024C,2024-05-30
2026-12,PL,HU254,CP0115,128.448,100.83,118.282,132.166,24.396,146.463,138.362,130.879,0.1546,77.82,114.51,1,5.77,food_prc_idx,FOODPR_2023B,2024-09-08
2018-01,AT,AT4,CP011,129.708,109.113,137.7,136.45,21.076,146.8,140.39,131.595,0.3678,38.34,70.27,1,9.77,prc_hicp_manr,FOODPR_2022A,2024-10-15
2018-02,EE,AT58,CP0115,128.192,107.26,138.427,136.535,22.837,147.709,141.181,131.799,0.3377,37.24,85.87,0,2.3,apro_fish_a,FOODPR_2025D,2024-04-09
2018-03,IT,BE633,CP011,129.643,114.443,137.786,149.814,27.283,147.846,139.811,133.615,0.3285,57.14,107.23,0,5.29,prc_hicp_midx,FOODPR_2024C,2025-05-13
2018-04,PT,SI800,CP0115,130.376,105.176,130.166,129.022,18.29,149.227,140.459,133.257,0.2549,11.33,45.05,0,10.18,apri_pi10_out,FOODPR_2023B,2025-12-04
2018-05,BE,LT864,CP011,129.336,103.655,126.584,149.302,35.293,149.35,140.837,133.283,0.3411,68.63,137.94,0,12.46,food_prc_idx,FOODPR_2022A,2025-06-10
2018-06,FI,FR719,CP0115,131.972,127.687,126.159,133.427,4.349,149.568,144.294,133.783,0.1703,29.28,45.17,0,5.24,prc_hicp_manr,FOODPR_2025D,2024-11-25
2018-07,LV,FR950,CP011,132.009,119.264,135.828,152.617,25.266,148.337,141.693,135.038,0.3166,38.64,82.75,0,7.13,apro_fish_a,FOODPR_2024C,2024-01-10
2018-08,RO,SI88,CP0115,132.324,113.025,134.308,143.443,22.988,149.116,143.319,134.691,0.1793,13.5,53.76,0,13.94,prc_hicp_midx,FOODPR_2023B,2024-10-31
2018-09,BG,IE478,CP011,132.062,109.303,135.459,153.873,33.749,149.754,144.607,135.688,0.4192,46.05,82.12,1,17.73,apri_pi10_out,FOODPR_2022A,2025-06-27
2018-10,FR,HR3,CP0115,133.257,134.85,128.234,142.208,5.522,151.157,145.18,137.138,0.3356,52.06,156.26,0,13.3,food_prc_idx,FOODPR_2025D,2025-03-23
2018-11,LT,PT8,CP011,134.08,136.34,143.506,149.289,9.658,151.278,144.62,136.858,0.1712,65.2,57.11,0,4.83,prc_hicp_manr,FOODPR_2024C,2024-01-01
2018-12,SK,FR576,CP0115,133.254,133.763,125.491,139.238,4.109,155.177,147.075,138.653,0.136,52.05,113.82,1,8.45,apro_fish_a,FOODPR_2023B,2024-02-06
2019-01,HR,GR33,CP011,134.195,112.638,133.219,139.674,20.147,153.712,146.522,138.021,0.251,54.05,148.97,0,2.22,prc_hicp_midx,FOODPR_2022A,2025-02-27
2019-02,DE,MT490,CP0115,135.153,126.711,141.923,133.091,4.721,153.169,147.143,138.227,0.1676,69.7,37.62,0,8.4,apri_pi10_out,FOODPR_2025D,2024-08-14
2019-03,LU,GR603,CP011,133.916,133.734,141.581,155.71,16.41,156.696,149.168,139.256,0.4534,63.78,133.3,0,13.16,food_prc_idx,FOODPR_2024C,2024-05-11
2019-04,SI,IT643,CP0115,135.992,136.525,140.221,141.874,3.933,157.875,148.725,139.548,0.3893,74.28,102.96,0,7.32,prc_hicp_manr,FOODPR_2023B,2026-01-28
2019-05,CY,MT567,CP011,135.045,136.066,148.629,148.147,8.946,155.994,150.512,140.089,0.236,41.72,149.48,0,11.52,apro_fish_a,FOODPR_2022A,2025-06-13
2019-06,GR,LV528,CP0115,136.461,112.797,128.29,154.318,30.427,157.117,149.073,139.487,0.2811,43.62,97.3,0,7.78,prc_hicp_midx,FOODPR_2025D,2025-05-17
2019-07,MT,IE63,CP011,136.165,125.598,127.985,153.303,20.347,156.473,149.239,141.868,0.3461,31.88,85.83,0,17.64,apri_pi10_out,FOODPR_2024C,2024-07-08
2019-08,ES,FI9,CP0115,136.832,110.739,151.546,143.171,23.702,160.385,150.943,140.44,0.3729,37.93,129.18,0,17.09,food_prc_idx,FOODPR_2023B,2025-04-23
2019-09,CZ,DE4,CP011,137.1,107.132,126.615,158.351,37.359,160.726,153.119,142.261,0.213,56.82,120.91,0,5.83,prc_hicp_manr,FOODPR_2022A,2025-09-04
2019-10,HU,DE28,CP0115,138.534,131.814,154.729,161.988,21.781,160.897,153.345,142.017,0.1836,20.26,88.7,0,18.89,apro_fish_a,FOODPR_2025D,2024-02-25
2019-11,NL,ES12,CP011,138.419,129.47,136.682,152.46,16.609,159.929,153.076,143.671,0.3436,8.59,160.96,0,15.56,prc_hicp_midx,FOODPR_2024C,2024-09-10
2019-12,SE,FR8,CP0115,138.258,117.25,147.97,151.209,24.562,162.442,154.672,143.138,0.4117,5.74,83.09,0,14.1,apri_pi10_out,FOODPR_2023B,2025-08-04
2020-01,DK,PT21,CP011,138.633,114.833,129.168,157.03,30.438,164.031,155.048,143.051,0.1999,28.85,42.11,0,9.01,food_prc_idx,FOODPR_2022A,2025-02-03
2020-02,IE,LU267,CP0115,139.126,127.086,137.988,158.732,22.746,161.948,156.578,143.514,0.4039,49.86,103.96,0,13.08,prc_hicp_manr,FOODPR_2025D,2024-03-03
2020-03,PL,AT419,CP011,139.168,124.565,151.271,157.79,23.874,164.981,153.681,143.849,0.1238,58.03,163.82,0,15.25,apro_fish_a,FOODPR_2024C,2025-11-17
2020-04,AT,SE62,CP0115,139.938,110.544,154.126,155.55,32.161,163.254,154.305,146.68,0.2321,12.74,36.71,0,9.27,prc_hicp_midx,FOODPR_2023B,2025-12-03
2020-05,EE,HU102,CP011,141.252,134.692,138.239,153.31,13.181,163.201,155.786,146.274,0.2072,65.41,104.73,1,16.81,apri_pi10_out,FOODPR_2022A,2025-06-14
2020-06,IT,DE742,CP0115,142.715,127.293,152.195,148.654,14.968,167.32,158.804,145.895,0.1792,8.89,131.61,1,15.24,food_prc_idx,FOODPR_2025D,2025-06-26
2020-07,PT,LU29,CP011,142.612,115.985,153.191,168.096,36.54,166.438,156.171,145.921,0.3486,39.24,102.56,0,1.49,prc_hicp_manr,FOODPR_2024C,2024-10-18
2020-08,BE,SE547,CP0115,141.416,133.011,146.964,141.646,6.106,165.967,159.813,147.553,0.1293,61.82,67.35,0,8.44,apro_fish_a,FOODPR_2023B,2024-01-28
2020-09,FI,IE768,CP011,143.138,139.7,144.105,159.876,14.095,166.655,158.218,146.931,0.1958,43.1,152.29,0,18.73,prc_hicp_midx,FOODPR_2022A,2024-03-28
2020-10,LV,CZ158,CP0115,144.015,122.168,134.839,158.792,25.431,168.839,161.059,149.454,0.4742,45.9,98.25,0,17.78,apri_pi10_out,FOODPR_2025D,2025-03-23
