qol_well_survey_year,qol_well_wellbeing_region_id,qol_well_life_satisfaction_score,qol_well_happiness_frequency_score,qol_well_stress_level_score,qol_well_sleep_quality_score,qol_well_physical_health_score,qol_well_mental_health_score,qol_well_social_connection_score,qol_well_purpose_meaning_score,qol_well_financial_wellbeing_score,qol_well_work_life_balance_score,qol_well_outdoor_activity_rate,qol_well_cultural_participation_rate,qol_well_volunteerism_rate,qol_well_loneliness_rate,qol_well_community_trust_score,qol_well_safety_perception_score,qol_well_service_satisfaction_score,qol_well_overall_wellbeing_index
2015,REG000000028,3.0687,8.347,3.862,8.278,5.365,6.303,9.706,6.685,7.586,9.454,0.2249,0.0109,0.723,7.606,8.317,3.242,5.761,6.545
2023,REG000000029,3.7298,2.673,0.168,7.567,1.185,1.297,2.683,3.815,5.17,9.626,0.8879,0.6361,0.3388,9.914,6.827,6.609,5.771,4.106
2017,REG000000030,1.4799,2.539,5.423,6.182,7.838,4.555,8.288,8.667,8.579,9.769,0.5986,0.5544,0.094,9.242,1.159,1.715,4.577,5.366
2024,REG000000031,3.458,2.884,5.717,9.684,1.909,8.932,9.184,8.649,4.513,0.915,0.0181,0.3158,0.4462,3.788,8.593,8.356,7.695,5.565
2018,REG000000032,3.1361,8.909,4.465,7.259,0.014,1.863,2.806,7.373,1.272,0.036,0.3647,0.0383,0.4313,6.951,4.994,8.214,3.936,4.085
2018,REG000000033,5.0562,8.567,9.305,1.213,8.365,5.291,9.569,1.727,0.503,0.933,0.4836,0.5345,0.4142,7.396,4.111,2.776,2.6,4.911
2020,REG000000034,5.1983,0.892,2.833,0.239,7.078,7.683,0.806,3.164,6.056,4.075,0.3017,0.8631,0.4779,5.846,4.365,4.587,7.684,4.333
2023,REG000000035,7.6464,8.928,0.224,4.852,0.414,9.671,1.493,7.72,7.723,6.429,0.494,0.9316,0.2878,2.51,0.736,4.684,6.231,6.479
2014,REG000000036,2.0495,7.425,7.833,4.873,3.22,0.96,4.778,7.495,2.819,9.011,0.8903,0.9086,0.2291,0.814,0.912,6.201,9.529,3.892
2019,REG000000037,3.5256,2.825,0.541,3.106,7.698,6.72,1.982,5.997,3.864,8.932,0.1399,0.1411,0.9228,6.782,9.057,4.806,7.333,5.048
2025,REG000000038,5.1467,7.306,7.156,4.609,7.003,2.519,6.763,8.804,5.947,5.118,0.0551,0.4196,0.6353,0.944,3.174,9.182,5.143,5.53
2012,REG000000039,1.9778,3.164,7.603,6.707,9.971,3.147,0.761,5.118,7.717,0.901,0.1971,0.591,0.7753,7.794,1.237,1.12,8.421,4.186
2024,REG000000040,2.2909,3.908,6.979,6.098,5.891,3.411,0.292,3.704,1.588,7.045,0.3539,0.862,0.1056,2.204,6.128,2.404,7.197,3.47
2010,REG000000041,2.333,2.948,6.878,9.667,3.044,5.452,5.328,3.636,1.381,7.629,0.0583,0.983,0.3353,7.3,0.052,7.21,4.062,4.131
2015,REG000000042,9.8361,3.3,7.121,5.045,6.038,3.322,3.208,0.115,7.71,9.766,0.2004,0.4067,0.0634,0.122,5.712,0.143,3.204,5.069
2017,REG000000043,2.6342,0.152,5.465,6.541,2.02,3.979,6.965,7.632,9.537,3.096,0.6018,0.6011,0.1845,2.151,6.079,0.043,2.953,4.26
2024,REG000000044,8.4973,4.419,6.448,3.84,3.211,5.993,5.484,1.738,1.043,5.514,0.2729,0.1177,0.8274,7.436,8.576,7.101,1.429,4.763
2009,REG000000045,1.6594,1.358,2.934,5.608,3.005,6.385,9.967,0.107,5.814,8.933,0.1667,0.3328,0.3996,7.349,9.161,6.72,3.001,4.388
2021,REG000000046,8.3775,5.017,1.372,7.745,8.937,3.691,1.076,8.948,8.122,6.519,0.8501,0.2231,0.9054,1.33,3.199,1.285,0.711,6.703
2018,REG000000047,1.8176,2.062,0.015,5.178,2.286,6.472,0.419,4.953,6.207,7.488,0.4707,0.7453,0.3445,5.228,0.622,8.892,1.272,4.101
2010,REG000000048,1.4657,4.744,2.67,6.637,8.72,2.397,5.288,2.691,6.494,5.414,0.0712,0.5685,0.6146,8.57,1.258,7.761,1.027,4.805
2023,REG000000049,7.6448,9.218,8.187,2.86,8.812,8.532,3.013,0.628,7.59,3.601,0.2169,0.6047,0.6826,6.144,5.159,0.821,8.121,5.909
2012,REG000000050,5.9169,9.327,2.798,8.861,5.96,7.739,9.98,6.665,4.733,4.683,0.1293,0.733,0.0304,3.478,2.144,8.235,1.108,7.342
2012,REG000000051,5.415,2.989,0.944,3.878,9.373,3.248,0.731,7.787,0.098,8.939,0.3215,0.4059,0.1229,5.556,0.57,7.772,2.687,5.021
2022,REG000000052,1.1031,7.386,5.121,2.807,9.524,5.068,3.715,0.669,2.079,2.394,0.612,0.1298,0.4977,3.745,2.118,1.395,2.515,4.201
2021,REG000000053,4.1282,2.721,7.292,9.478,2.691,5.265,6.256,1.421,6.537,6.079,0.8094,0.2876,0.306,8.874,9.367,2.202,0.348,4.495
2009,REG000000054,5.1053,3.134,7.063,8.99,3.466,8.362,6.256,1.51,6.686,0.806,0.1951,0.0947,0.0525,8.695,0.255,2.783,1.321,5.07
2023,REG000000055,4.4054,3.143,9.864,3.917,1.314,9.758,6.75,6.937,6.541,7.274,0.7705,0.9544,0.8501,7.379,0.602,3.635,7.125,4.671
2020,REG000000056,6.4625,7.645,6.022,3.029,9.971,7.195,5.136,0.879,8.942,3.071,0.2556,0.4059,0.348,1.997,0.168,9.316,3.547,6.022
2010,REG000000057,8.3446,0.371,5.038,3.809,0.78,4.223,6.411,8.655,2.146,5.257,0.7944,0.0397,0.4853,4.98,1.346,0.735,6.836,4.59
2017,REG000000058,6.8327,4.209,6.825,3.407,4.134,0.746,7.899,3.54,6.456,9.272,0.8057,0.6872,0.7938,2.859,3.982,7.157,3.426,4.624
2022,REG000000059,3.1058,6.958,4.765,0.655,0.548,4.962,2.668,9.561,8.066,5.981,0.022,0.7987,0.5228,1.036,1.628,5.492,6.913,4.278
2017,REG000000060,4.8209,3.337,4.516,6.833,8.404,6.866,9.772,3.973,0.527,5.044,0.7391,0.0297,0.6085,2.432,2.333,5.626,5.868,5.759
2025,REG000000061,6.28,8.174,3.024,1.456,0.502,4.578,1.194,8.901,7.347,3.075,0.83,0.7939,0.0841,0.943,6.65,1.284,7.462,4.897
2013,REG000000062,0.6071,2.294,7.002,5.573,4.758,7.167,8.052,8.874,4.349,2.905,0.8014,0.1775,0.2006,6.991,3.852,0.822,7.776,4.506
2008,REG000000063,2.8862,3.186,7.247,8.877,7.192,9.791,2.73,2.088,5.461,2.295,0.3817,0.6807,0.1385,0.85,2.809,3.028,8.733,4.915
2010,REG000000064,4.9443,7.276,8.116,3.011,6.864,8.491,5.431,3.128,9.821,5.162,0.5105,0.1072,0.8228,5.152,1.539,1.083,5.411,5.58
2016,REG000000065,5.8704,5.578,2.535,1.064,1.651,3.261,0.953,8.628,6.691,5.571,0.6065,0.0999,0.7724,0.134,6.833,3.268,1.033,4.466
2013,REG000000066,1.8715,9.526,9.681,2.743,4.77,1.345,0.332,7.205,8.403,7.97,0.5684,0.8478,0.4274,4.536,3.992,2.031,7.118,3.792
2008,REG000000067,1.8366,1.511,8.188,7.321,3.084,3.09,0.766,3.661,6.377,7.313,0.439,0.3419,0.9565,4.872,1.252,4.374,4.184,3.063
2010,REG000000068,0.1677,4.976,9.149,1.097,3.073,3.355,6.574,1.074,2.113,7.641,0.4446,0.1104,0.7934,1.771,8.395,2.369,1.779,2.615
2021,REG000000069,7.5658,7.159,8.141,3.685,8.026,3.383,3.298,5.251,3.677,9.332,0.0649,0.4407,0.0599,5.019,4.811,2.522,0.14,5.3
2024,REG000000070,5.8599,3.616,1.356,4.964,3.986,6.132,6.031,9.291,4.261,3.522,0.8619,0.9687,0.8367,7.053,9.933,7.208,0.968,5.735
2024,REG000000071,3.348,3.882,9.899,0.302,8.841,3.202,4.882,6.936,1.129,5.201,0.4703,0.9657,0.2722,2.208,5.659,1.387,7.699,3.768
2009,REG000000072,4.1871,8.588,8.427,2.678,9.148,0.58,7.539,8.267,5.708,5.89,0.3107,0.5528,0.1629,9.644,3.036,5.336,9.432,5.251
2017,REG000000073,3.9822,9.204,9.152,6.865,4.532,4.764,7.654,2.727,4.28,3.049,0.466,0.5485,0.9909,2.148,6.115,9.23,8.761,5.008
2008,REG000000074,8.7763,6.066,8.825,7.884,7.529,3.844,9.56,9.78,4.352,2.002,0.3248,0.1317,0.0718,8.446,0.895,5.864,6.443,6.617
2008,REG000000075,8.0144,9.303,1.17,6.152,7.49,6.757,8.035,5.616,4.938,3.306,0.2209,0.6433,0.4138,0.151,8.978,5.327,6.719,7.381
2025,REG000000076,4.5865,7.948,3.945,7.956,7.553,4.193,8.136,1.446,8.969,6.383,0.5785,0.9879,0.2726,5.551,8.448,8.276,4.361,6.184
2016,REG000000077,1.2656,0.06,4.246,9.855,0.417,0.789,2.149,0.269,8.15,3.909,0.298,0.4804,0.7098,3.012,9.137,7.023,3.261,2.743
2025,REG000000078,1.1167,8.614,8.031,4.846,3.607,4.042,5.882,8.586,6.22,9.055,0.1919,0.2668,0.7015,4.521,0.344,3.521,3.649,4.662
2010,REG000000079,8.0008,7.114,3.175,0.31,0.353,9.18,5.93,0.075,1.899,0.47,0.4508,0.537,0.5426,0.658,4.178,5.287,6.5,4.872
2019,REG000000080,4.3429,7.023,1.984,3.328,4.963,5.513,0.725,6.95,3.413,5.531,0.0821,0.9766,0.9293,0.343,9.962,1.339,5.956,4.958
2011,REG000000081,1.92,7.079,5.674,2.629,0.358,1.97,9.859,6.437,3.216,9.046,0.8073,0.5034,0.1418,9.774,2.746,8.265,0.852,4.043
2011,REG000000082,8.4641,4.801,8.723,2.595,4.13,7.493,2.983,5.522,4.441,6.014,0.896,0.0766,0.3635,8.024,9.83,9.285,0.039,5.007
2012,REG000000083,4.7372,2.171,4.32,4.486,5.549,2.296,2.159,7.545,0.003,7.661,0.2617,0.9836,0.9,1.652,3.859,6.308,0.903,4.043
2011,REG000000084,4.8773,2.114,7.332,2.694,8.998,2.877,5.908,5.627,5.944,1.191,0.4042,0.4731,0.8274,2.718,0.742,8.103,7.894,4.513
2015,REG000000085,3.3004,4.109,2.347,9.159,8.231,0.395,1.932,2.601,9.812,0.09,0.7588,0.7082,0.9915,3.754,1.149,9.858,3.017,4.794
2009,REG000000086,0.4665,1.749,8.2,0.022,1.796,6.2,0.618,5.034,1.938,5.5,0.75,0.6071,0.0669,7.587,5.486,3.66,2.12,2.125
2013,REG000000087,4.2586,0.43,1.963,2.867,9.313,9.75,3.024,0.672,8.16,6.131,0.9861,0.921,0.3172,9.129,6.185,0.87,8.572,5.163
2018,REG000000088,1.1407,1.99,2.26,8.087,4.977,5.44,4.04,3.803,1.176,1.538,0.0806,0.5257,0.6076,9.924,8.567,9.004,5.828,4.085
2018,REG000000089,2.9888,1.574,3.463,2.606,1.687,8.805,7.518,2.394,1.048,3.612,0.7397,0.0652,0.5286,3.679,4.605,5.467,3.732,3.977
2019,REG000000090,2.9519,2.828,6.153,3.036,6.812,9.778,6.977,7.367,6.43,7.951,0.9049,0.8187,0.2442,9.041,0.499,4.141,7.528,5.38
2015,REG000000091,8.94,7.029,3.588,6.052,3.217,8.724,9.355,4.434,5.443,5.48,0.536,0.3181,0.194,0.396,0.609,1.142,1.04,6.857
2020,REG000000092,1.5571,6.744,2.53,0.005,7.05,7.96,1.571,8.164,5.208,5.017,0.4876,0.5013,0.1738,9.55,7.284,1.98,9.338,4.86
2018,REG000000093,7.1242,8.404,8.358,6.906,7.948,9.631,9.669,5.039,6.329,8.704,0.97,0.7932,0.3464,1.543,5.984,3.304,5.353,7.177
2011,REG000000094,6.4983,2.097,0.035,3.441,2.55,7.089,8.115,9.673,1.259,4.672,0.0128,0.2229,0.0761,3.43,7.688,9.018,9.081,5.671
2020,REG000000095,2.6614,4.273,9.197,1.694,4.787,6.857,0.963,5.639,9.475,1.962,0.7378,0.6798,0.9925,8.829,4.867,9.113,6.886,3.792
2022,REG000000096,2.1625,5.88,7.473,6.815,6.938,0.074,2.582,9.371,5.626,1.659,0.0775,0.8655,0.3247,6.786,4.975,9.938,5.863,4.247
2021,REG000000097,5.4846,5.589,8.205,6.356,9.748,3.921,2.365,3.611,3.131,8.173,0.9375,0.1858,0.4773,9.081,9.852,0.492,2.045,4.988
2011,REG000000098,1.1397,0.917,9.429,3.115,7.333,8.321,0.305,6.124,8.64,8.264,0.8183,0.6053,0.6528,3.765,6.232,1.478,8.019,3.765
2015,REG000000099,1.2748,6.688,2.96,0.572,7.9,5.954,1.33,4.506,3.019,1.885,0.472,0.6704,0.6061,9.194,6.717,8.87,5.373,4.166
2009,REG000000100,10.0039,2.355,4.815,0.531,8.604,1.467,7.013,3.721,8.353,6.357,0.0294,0.5467,0.9029,6.898,7.005,8.222,2.5,5.489
2015,REG000000101,1.396,8.113,8.046,7.7,4.625,3.701,5.066,1.64,3.102,7.112,0.6533,0.0905,0.621,6.701,0.396,8.853,8.247,4.154
2020,REG000000102,0.9981,1.338,1.003,9.886,8.562,6.116,0.415,3.731,1.574,9.477,0.2793,0.4359,0.4364,7.023,4.428,8.683,3.912,4.612
2020,REG000000103,7.1342,2.228,7.17,3.327,4.37,7.932,4.888,0.447,5.589,3.515,0.5837,0.1327,0.9189,5.877,1.828,7.711,0.628,4.572
2015,REG000000104,7.5613,3.007,5.566,1.928,9.178,0.66,5.622,5.201,1.666,2.208,0.6646,0.3438,0.9483,8.434,9.359,3.172,4.238,4.659
2018,REG000000105,3.8604,7.473,3.255,6.925,4.52,8.588,7.532,3.572,5.587,4.276,0.3854,0.0178,0.7741,4.96,8.368,1.015,0.423,5.989
2019,REG000000106,5.5005,8.108,4.463,6.723,8.856,9.695,7.557,7.066,0.091,8.353,0.2652,0.4401,0.9041,4.421,6.145,5.588,9.451,6.907
2023,REG000000107,7.7246,8.963,7.83,8.291,8.637,1.518,9.403,1.629,1.569,1.094,0.2283,0.2588,0.0579,5.8,7.875,8.972,9.796,5.915
2017,REG000000108,9.0877,7.309,7.793,9.512,1.926,8.074,8.158,9.377,0.339,2.36,0.0504,0.1158,0.3924,6.237,9.769,8.016,4.575,6.516
2016,REG000000109,4.4948,2.472,8.346,5.345,8.997,1.02,3.415,1.214,7.933,0.734,0.2914,0.3735,0.2102,1.44,0.591,7.095,8.459,3.935
2021,REG000000110,7.6909,8.18,7.653,0.864,9.619,9.358,3.446,4.204,4.956,2.347,0.928,0.5309,0.2122,1.47,1.238,0.16,9.515,5.988
2013,REG000000111,7.379,5.219,8.721,4.88,4.085,8.95,3.073,8.889,5.245,5.379,0.6325,0.3914,0.7205,2.285,9.607,0.737,2.768,5.573
2008,REG000000112,2.0961,5.925,9.864,3.6,9.507,0.325,8.137,6.049,6.915,7.727,0.6228,0.8717,0.0882,0.526,4.413,5.411,5.446,4.507
2012,REG000000113,2.4842,2.335,6.246,9.151,1.404,2.212,9.118,4.414,2.327,4.119,0.942,0.2365,0.1214,9.107,2.985,5.641,7.327,3.937
2022,REG000000114,4.5323,2.413,3.515,2.155,1.503,5.372,9.971,9.016,0.455,0.89,0.4567,0.6309,0.6398,7.511,6.604,1.459,4.501,4.556
2024,REG000000115,4.6324,8.184,7.32,4.962,6.045,4.502,9.233,8.081,8.31,8.076,0.7295,0.1395,0.9493,6.974,7.915,2.629,4.489,6.074
2010,REG000000116,4.7375,1.299,2.651,8.41,4.906,1.82,0.576,1.496,0.406,0.307,0.3423,0.7823,0.1884,8.824,2.289,3.278,9.439,3.597
2014,REG000000117,2.3186,9.931,3.003,9.273,9.455,6.082,1.306,2.213,8.148,1.171,0.837,0.5379,0.4681,1.461,1.114,4.733,8.199,5.918
2012,REG000000118,3.7727,1.952,0.012,8.941,4.583,4.448,4.654,9.572,6.238,9.062,0.3773,0.8742,0.0581,5.623,6.941,6.528,6.863,5.675
2015,REG000000119,2.9888,7.638,6.774,3.715,6.373,8.568,3.333,2.205,1.06,4.956,0.3157,0.1745,0.8655,1.809,2.835,7.355,8.425,4.612
2020,REG000000120,9.6549,6.33,1.58,9.532,6.047,4.286,6.692,1.028,4.449,1.509,0.1746,0.6294,0.1321,0.84,2.273,9.3,3.285,6.579
2022,REG000000121,7.962,5.891,5.662,8.2,4.495,5.514,0.679,2.819,4.447,0.69,0.3008,0.2319,0.0864,9.82,6.318,1.224,4.867,5.167
2023,REG000000122,7.2511,7.69,3.878,3.385,9.338,0.638,1.488,0.596,0.508,8.617,0.812,0.3448,0.0347,7.848,5.579,4.944,3.746,4.773
2025,REG000000123,6.8802,0.963,1.849,5.388,8.241,6.286,4.655,5.27,6.622,7.035,0.0796,0.8795,0.2609,4.992,9.529,5.233,3.489,5.874
2023,REG000000124,8.6723,8.046,2.083,3.973,4.718,3.05,7.914,6.139,3.602,6.168,0.9047,0.3638,0.1161,6.104,2.567,1.879,4.122,6.267
2012,REG000000125,6.6484,4.759,7.741,2.256,6.402,1.719,4.129,1.805,1.227,5.484,0.7802,0.7418,0.0468,1.449,5.889,1.085,9.478,3.932
2010,REG000000126,4.6635,4.477,8.416,5.353,0.503,5.492,1.48,8.905,4.562,1.04,0.1993,0.8708,0.3906,4.429,3.361,7.744,3.029,3.942
2018,REG000000127,9.9976,8.51,5.383,3.197,6.596,3.018,0.288,4.754,8.26,1.074,0.6618,0.0627,0.2399,3.984,0.19,5.208,3.039,5.68
2011,REG000000128,0.4587,0.13,9.104,4.429,3.393,5.937,1.906,0.132,9.586,4.626,0.8564,0.2963,0.151,9.295,2.128,3.064,3.783,2.617
2008,REG000000129,4.5978,1.78,5.578,0.332,5.212,5.812,9.8,5.479,7.416,9.776,0.4881,0.3574,0.914,8.286,3.341,5.074,8.487,4.896
2019,REG000000130,8.1399,1.346,0.007,4.159,6.883,3.439,0.332,3.486,1.223,2.273,0.5855,0.4644,0.0569,3.658,5.784,7.003,6.743,4.709
2021,REG000000131,7.396,5.782,6.315,5.959,1.029,6.999,6.731,8.134,5.357,4.36,0.5326,0.9156,0.333,9.455,5.101,3.879,5.634,5.683
2024,REG000000132,7.9341,5.185,6.879,1.1,9.428,3.786,9.173,5.432,7.618,7.191,0.6387,0.139,0.8691,8.627,3.347,7.115,4.229,6.009
2020,REG000000133,3.1632,0.356,2.327,0.318,8.334,9.275,2.32,4.189,6.577,4.46,0.6895,0.4503,0.7302,6.319,1.481,3.98,8.887,4.573
2024,REG000000134,0.2773,8.689,6.225,1.61,4.399,1.526,8.18,1.505,1.096,8.689,0.1416,0.4058,0.0087,3.231,8.655,1.893,9.011,3.518
2010,REG000000135,7.9314,1.303,3.902,1.944,7.971,2.381,4.666,2.072,1.498,9.993,0.7593,0.4358,0.7319,3.207,8.971,8.112,4.429,4.55
2015,REG000000136,3.9295,4.776,1.871,5.108,6.489,5.745,8.5,5.02,3.886,3.225,0.9111,0.5658,0.3702,6.63,6.118,2.935,3.483,5.619
2008,REG000000137,6.9966,8.696,0.905,5.517,2.486,5.502,1.778,8.164,2.973,3.933,0.0374,0.0388,0.352,5.423,2.907,0.409,1.315,5.808
2012,REG000000138,9.7647,8.671,4.935,0.747,0.583,1.938,4.846,2.557,9.912,0.251,0.626,0.0014,0.3203,3.027,8.262,5.914,2.067,4.968
2017,REG000000139,7.8438,5.488,1.98,6.797,4.132,0.429,0.738,4.87,6.764,3.213,0.1088,0.1026,0.3639,8.392,4.7,8.357,4.997,5.03
2018,REG000000140,2.9429,4.957,4.428,2.217,6.261,1.257,8.561,4.231,6.327,1.035,0.5461,0.8889,0.0931,0.383,7.577,2.153,8.396,4.398
2023,REG000000141,4.991,5.813,4.911,2.385,1.039,3.844,0.074,2.776,4.337,2.14,0.4797,0.4472,0.2866,5.46,8.636,6.743,0.09,3.459
2022,REG000000142,9.9001,4.154,0.803,4.669,2.124,0.337,1.477,1.686,4.996,8.45,0.11,0.5226,0.6852,7.601,3.269,1.884,7.064,4.711
2022,REG000000143,6.4342,9.008,3.617,3.789,9.21,4.866,0.491,0.857,2.422,1.885,0.9685,0.4509,0.4383,9.78,6.665,6.361,3.746,5.244
2014,REG000000144,2.4193,4.754,0.094,0.037,8.724,1.68,7.285,7.235,7.764,1.012,0.083,0.7261,0.8222,2.901,3.309,3.583,6.635,5.04
2010,REG000000145,3.1704,6.635,3.1,0.583,8.08,3.224,7.304,9.787,4.284,5.318,0.4854,0.8874,0.3592,2.539,1.787,6.551,1.89,5.346
2021,REG000000146,9.5835,8.731,0.287,9.597,9.882,1.418,6.982,1.169,3.928,6.108,0.8186,0.9647,0.598,0.169,7.137,2.178,8.851,7.207
2016,REG000000147,7.8826,0.777,1.54,7.611,3.642,6.177,9.086,7.158,6.476,7.141,0.2886,0.0625,0.7042,6.429,7.339,7.637,2.099,6.307
2020,REG000000148,0.8637,5.682,7.574,1.713,7.716,0.488,0.41,4.799,6.004,2.459,0.4566,0.3121,0.879,4.626,7.819,0.546,6.743,3.067
2009,REG000000149,4.2628,2.289,4.786,7.555,4.457,9.471,6.953,5.5,9.411,2.006,0.8235,0.9323,0.6515,8.04,2.71,1.081,5.821,5.728
2020,REG000000150,2.5589,4.261,3.676,5.628,9.053,2.903,9.808,3.582,4.337,1.8,0.8403,0.4687,0.0138,1.079,2.964,7.178,7.371,5.163
2015,REG000000151,0.643,9.001,8.695,3.738,3.636,6.819,4.668,8.369,0.228,8.34,0.0196,0.8302,0.9254,5.489,1.523,6.489,5.254,4.269
2023,REG000000152,1.5681,4.505,7.152,6.596,5.619,8.885,3.044,7.799,1.92,2.458,0.1767,0.3276,0.5554,6.241,8.755,1.136,8.673,4.598
2015,REG000000153,1.8122,5.705,0.292,6.219,9.511,6.621,0.519,1.945,5.494,8.94,0.858,0.3789,0.9234,1.924,4.124,1.07,8.206,5.253
2018,REG000000154,5.4103,2.706,9.632,3.067,5.313,8.542,6.783,1.226,9.548,6.431,0.9273,0.7981,0.4444,8.358,0.254,9.879,6.147,4.78
2022,REG000000155,3.0044,2.097,8.758,6.344,9.188,9.073,9.539,3.898,4.276,6.976,0.879,0.8796,0.8862,3.225,0.122,1.107,2.252,5.401
2023,REG000000156,3.0465,7.318,8.6,2.552,8.238,0.739,8.331,2.715,3.114,0.517,0.8554,0.7149,0.7911,3.484,4.611,9.084,5.609,4.144
2025,REG000000157,9.7206,3.59,2.167,2.99,3.3,8.796,4.558,8.381,6.957,7.611,0.0853,0.8175,0.246,7.655,1.364,2.575,9.042,6.407
2019,REG000000158,7.4247,1.211,8.528,7.762,6.57,3.224,4.199,6.008,6.841,4.739,0.5292,0.6496,0.9638,7.93,5.744,6.134,3.629,4.983
