house_insecure_point_in_time_date,house_insecure_service_region_id,house_insecure_unsheltered_count,house_insecure_sheltered_count,house_insecure_family_households_count,house_insecure_youth_count,house_insecure_veteran_count,house_insecure_chronic_homeless_count,house_insecure_length_of_stay_median_days,house_insecure_returns_to_homelessness_rate,house_insecure_hm_is_system_coverage_pct,house_insecure_encampment_clearance_count,house_insecure_outreach_contacts_count,house_insecure_bed_utilization_rate,house_insecure_housing_placement_rate,house_insecure_rrh_program_enrollments,house_insecure_psh_program_enrollments,house_insecure_eviction_prevention_assistance,house_insecure_street_medicine_visits,house_insecure_barrier_assessment_score
2018-02-15,SRV-e0ef34ba8cbf,1032,2753,1244,1278,682,1595,444,30.17,25.86,193,52632,17.93,69.71,3333,4464,699,7534,4.57
2022-05-24,SRV-3e5638984e3d,2865,868,2321,1413,205,785,187,26.58,92.89,71,43234,62.16,37.29,8321,6496,53171,13599,85.02
2024-05-13,SRV-956271dcf9cc,288,8703,1123,1303,743,1323,60,23.0,74.1,100,36061,39.92,15.55,9395,5207,64009,10173,50.84
2022-03-28,SRV-e1286dba388b,3059,8291,2250,1185,406,288,131,21.32,30.06,104,43568,99.26,74.26,6015,7458,36697,9200,23.89
2025-10-25,SRV-3e372493779a,3661,8102,907,66,722,233,199,25.83,81.83,106,42256,55.32,44.81,2726,2552,29119,16461,10.08
2020-10-08,SRV-8740aded0d2f,1560,1413,162,1760,496,1606,395,16.45,96.44,191,37354,83.81,61.61,1585,4306,47868,3470,98.96
2021-09-02,SRV-0e0bd9a44b1c,1600,1630,1226,1812,609,388,68,21.56,73.41,184,4641,79.62,33.82,1670,2325,53902,15308,98.35
2020-03-29,SRV-f325208a91b5,1888,4051,521,852,541,898,203,29.04,56.78,96,36323,42.07,65.45,5681,4432,56561,8775,33.84
2020-07-07,SRV-77ce6b83e673,423,8277,1234,1389,710,1145,387,9.44,86.75,237,114,25.42,47.07,7585,5212,26392,1202,87.5
2018-12-13,SRV-dd9aaf124629,3000,1968,1483,1478,491,1177,258,7.05,95.44,244,1881,56.83,81.41,7139,4326,51369,5592,82.51
2023-01-24,SRV-26983c42309b,2021,470,953,611,224,482,406,1.08,84.72,165,15801,94.81,61.86,1296,5985,20426,2604,19.79
2018-05-12,SRV-ec7323aa30de,2239,5646,1129,1180,333,788,402,6.51,40.46,207,17910,99.38,48.68,2857,397,57117,10556,75.79
2019-03-11,SRV-211742970369,2584,6310,1131,542,265,1089,243,27.57,81.13,172,46100,36.66,58.68,475,152,48987,4913,42.1
2020-04-09,SRV-6698c4b12d9d,2020,5386,780,560,662,1538,319,19.36,90.17,179,35146,39.81,20.06,2227,6190,53951,3026,47.83
2021-02-17,SRV-6170e3ef31f4,479,6022,1053,1234,521,505,329,20.89,52.3,41,25435,14.03,26.5,7338,3574,29436,13031,60.75
2021-11-13,SRV-e798a67c0769,3489,3679,2314,675,146,940,64,4.12,63.73,208,40822,93.07,84.76,722,2313,40519,12720,64.37
2018-07-13,SRV-c321706ce253,1751,1428,1406,7,629,1405,261,26.7,95.16,243,35838,48.28,72.99,8401,3480,24831,8976,75.62
2019-04-21,SRV-556f93082252,2662,3994,379,186,147,14,465,3.5,41.55,161,6199,25.91,78.71,9760,8930,14992,15862,72.75
2024-01-17,SRV-ac4ce2411e84,3644,5598,645,788,128,1718,149,11.04,66.97,32,9831,71.1,26.84,1059,7680,14966,8249,27.14
2018-03-24,SRV-87a85f6dc325,2106,5866,329,1657,750,292,515,7.28,97.11,85,44652,43.85,47.27,4149,3611,48505,2418,41.89
2018-09-11,SRV-1c1071c8108b,3670,1368,1511,1032,346,1233,392,10.92,96.41,132,30613,94.86,48.51,7380,7769,39040,17516,82.69
2019-09-05,SRV-48fe35564f08,3063,1165,477,758,717,344,526,14.38,64.57,118,14487,44.37,40.9,7494,2458,47698,6110,34.27
2021-05-23,SRV-29c7b8199474,193,6019,1925,449,207,376,299,6.27,89.53,187,35364,95.95,49.77,7322,2010,15663,15777,95.15
2024-06-13,SRV-988637538373,1535,1005,347,1879,641,1697,466,30.18,87.7,61,40862,26.81,69.26,8667,218,16029,16635,2.43
2024-10-03,SRV-542e677d678f,341,1936,2011,1602,730,828,429,33.62,77.76,147,21215,34.59,70.99,3454,8821,40474,14077,62.93
2020-04-12,SRV-ebec94281938,2341,8395,1220,1386,253,495,111,18.87,93.6,231,1212,61.3,20.35,1513,5195,49683,17880,23.69
2022-02-14,SRV-36f70a206c26,518,4069,589,140,81,1734,142,4.47,55.87,203,13009,45.4,11.87,10216,5844,45613,9317,88.23
2025-09-05,SRV-b9cb3a64435d,3712,7701,367,1045,70,423,297,2.44,28.42,96,46417,40.23,69.59,1758,6754,42103,12481,49.73
2024-08-25,SRV-03f94f0beb57,2726,4407,142,1485,617,542,514,7.61,80.06,86,1133,44.62,23.47,5025,5799,31382,12703,15.04
2024-08-28,SRV-1847f04eea7d,2406,6199,1390,1503,65,357,214,25.25,72.63,227,1809,32.77,69.15,7832,5473,48376,14656,94.41
2018-09-29,SRV-98ffdca21347,3573,1108,2305,1835,525,280,166,30.77,40.0,36,30593,55.56,13.21,9485,2409,59679,2781,90.39
2022-05-03,SRV-b5076de711ef,2404,7233,17,791,80,254,14,25.12,70.49,22,45140,98.2,73.39,6677,3321,40652,6697,46.24
2025-08-15,SRV-cdf601bc7563,2238,2174,87,1637,278,97,509,6.19,88.15,211,8365,23.87,83.81,1245,7321,29457,17493,2.94
2024-07-13,SRV-d887d5e67536,953,2590,1667,922,61,565,284,32.21,25.51,124,32642,51.16,74.75,8445,3671,34751,8601,54.37
2020-04-19,SRV-9803efe2fde0,3000,3622,2084,636,610,118,116,4.5,83.25,187,36914,71.38,1.42,3673,5432,22781,4559,56.67
2025-06-05,SRV-74e13f7a85e4,1702,265,874,996,499,768,109,5.48,90.03,38,45902,72.73,75.48,3790,806,15927,2140,14.64
2024-08-23,SRV-14de52cecd60,2584,923,2357,1134,359,457,181,12.59,57.76,159,35227,31.43,75.45,5662,5349,15856,7613,63.39
2018-02-04,SRV-2fca306ae96b,2734,7678,511,400,360,1416,463,3.3,81.44,221,4779,62.0,2.16,7830,7561,53727,14368,98.47
2021-12-28,SRV-a162f00adb12,214,2422,1325,1126,344,645,131,31.46,39.38,214,41388,62.78,67.63,5195,110,18921,9232,15.83
2022-10-10,SRV-dd1326436d2c,776,5293,1424,742,538,1055,531,3.7,92.72,63,5,50.59,9.53,2784,3737,57589,4035,96.81
2020-03-15,SRV-8e995f1b7abc,228,4979,1987,983,579,797,298,8.2,60.74,199,42223,21.71,30.77,7600,1879,59425,2283,38.75
2023-03-14,SRV-0dbc17291dcb,1909,5069,1162,1006,574,131,246,20.15,40.83,113,41463,59.88,54.52,6945,8530,11660,4775,87.94
2024-12-16,SRV-362256b77e74,3963,2072,2470,1324,100,179,367,6.16,33.96,21,48604,35.11,64.47,2579,1905,46331,3462,96.03
2020-02-26,SRV-7e5597c387d1,693,3382,1674,689,262,1387,41,10.27,60.6,205,17012,55.37,1.7,1221,8001,62168,2239,73.39
2019-05-17,SRV-b448052b4827,2314,8862,1554,1085,329,1346,52,30.43,53.7,99,7994,55.13,81.78,118,3222,52656,15871,73.41
2024-04-07,SRV-5277b10fa6e4,169,6792,311,1146,456,663,379,24.64,25.89,157,52651,25.78,13.82,2670,8176,20556,13686,81.65
2019-11-22,SRV-eb061d27ac1e,3718,4614,2071,703,32,510,269,23.45,38.94,172,33615,10.46,72.98,10726,6434,17167,10566,5.36
2025-05-03,SRV-40b4bdcaa160,3321,1309,1562,650,18,1617,295,12.7,30.89,228,46053,81.63,84.07,3531,6804,34847,7838,41.3
2025-02-23,SRV-c1caa76d9216,2906,8253,0,1072,256,857,363,2.53,57.82,51,6940,88.67,33.99,2628,3338,26265,8025,91.65
2024-09-02,SRV-8a6a6307784a,1601,1238,1115,737,175,1715,374,8.09,37.19,67,54409,46.84,45.28,10157,2035,601,630,66.22
2021-04-25,SRV-008d0e3b24df,3064,7535,607,1150,541,629,82,15.7,90.22,120,5590,75.68,45.22,761,7063,834,12150,68.88
2023-08-11,SRV-f4285296be10,284,7086,1288,942,177,1768,187,4.35,56.04,63,41740,67.87,53.57,11079,832,36618,7353,82.92
2020-10-08,SRV-89b190d21630,3402,7323,473,1199,73,1175,413,16.87,68.66,179,10211,93.21,75.91,4868,7657,8336,9747,42.68
2020-05-02,SRV-ebde935d6e7d,2906,314,1391,1628,48,869,291,22.48,74.82,123,25269,20.78,42.39,6250,8402,39215,17706,32.36
2024-06-26,SRV-c0284b50e628,3835,740,2415,1671,568,1454,272,2.09,97.92,181,4166,51.03,6.67,4248,1126,33108,814,79.35
2024-07-04,SRV-398a51894313,279,5661,361,1886,588,1127,145,1.1,57.87,79,21284,70.33,47.89,8080,109,21954,4027,67.35
2020-11-09,SRV-69b76a0fb0e3,978,4697,389,967,53,1072,176,33.93,60.14,206,17748,88.11,28.39,6348,5118,36800,17856,46.71
2024-02-16,SRV-95d3ca5f1598,2864,5277,1197,283,453,1596,535,20.99,38.32,45,3448,16.6,35.86,2410,6778,36385,9357,96.39
2024-07-16,SRV-37007ce5f2d7,1271,1579,1569,678,774,895,397,33.61,70.41,151,28959,52.57,12.65,9042,8793,64181,16997,42.63
2020-01-19,SRV-21eed60fb630,304,730,168,1968,39,1661,424,15.21,36.04,36,46571,32.18,37.77,940,678,50165,6694,20.48
2023-08-26,SRV-bd3348b6fb17,2585,8681,13,713,602,541,110,9.5,37.85,145,2212,39.29,40.47,2440,64,20813,17326,34.62
2018-03-18,SRV-2735bb370940,2660,8722,1483,1559,150,929,430,18.06,43.44,111,42203,73.2,49.15,2014,7174,10636,13422,6.55
2025-02-10,SRV-ba3cb58c0554,2485,5160,2104,1767,124,3,163,13.35,31.09,215,13704,88.8,41.95,4686,2765,40424,9272,4.24
2019-12-16,SRV-aec96f3923f8,885,4791,2117,755,42,1373,141,10.47,48.23,197,30996,78.16,55.72,5878,5451,15011,14074,8.9
2019-03-15,SRV-fdbdadffe448,867,3591,2476,1233,191,131,517,20.59,69.43,151,20010,17.98,16.0,8076,4223,55504,12545,56.29
2021-05-13,SRV-28752a4d59ff,2922,8285,1981,1399,742,967,371,3.17,42.59,107,12091,64.94,45.33,5223,223,29097,5067,2.89
2025-07-22,SRV-238c74cc164b,1347,2190,293,596,665,1161,254,9.73,47.1,245,15728,55.4,34.33,1297,7637,49214,11939,50.91
2020-03-08,SRV-dfc2cfb839b0,1538,1329,571,914,628,646,391,5.09,84.12,206,1765,59.09,24.65,8898,5392,59607,3418,70.13
2022-12-09,SRV-b7538e20b1f3,713,4726,1286,1909,603,909,474,29.92,27.82,103,52351,95.59,18.66,5707,5812,26775,15001,76.49
2022-07-28,SRV-4cad24b51e32,25,1932,2322,950,244,1392,500,18.59,40.59,166,7565,92.21,66.06,6576,3311,26591,3986,12.23
2021-02-11,SRV-8ed2c729094f,3823,2657,2315,1295,219,1513,427,0.74,88.79,79,45486,18.43,80.47,3599,3389,6136,6619,58.11
2025-01-18,SRV-bf2ec09daa77,1850,4887,676,1796,459,822,478,6.8,74.72,236,31017,39.91,24.33,4786,726,325,13201,69.32
2021-10-16,SRV-b556c117326b,3959,7336,472,475,451,154,456,7.87,67.84,142,3412,30.85,50.69,11791,3550,534,8717,19.02
2024-07-29,SRV-3ef19be4fb27,1053,916,681,1904,790,349,458,20.53,46.19,116,44277,34.37,7.28,7439,1959,20543,13479,71.49
2020-03-03,SRV-f21ab4cf8f36,1372,2711,2395,1776,134,60,507,5.19,86.02,9,48543,63.8,25.56,6409,5686,20140,12568,25.97
2020-07-01,SRV-34b71792b6d0,2282,5693,635,752,163,1745,158,9.31,62.78,125,54199,52.23,81.52,1996,4765,15862,5141,66.54
2025-01-17,SRV-27a4b3dd8502,2655,6721,1856,1972,714,924,444,2.82,36.56,70,19518,56.33,35.47,10169,4594,13376,6662,75.56
2021-07-27,SRV-4cadaa0e636c,1412,4471,1374,1262,67,117,310,32.69,61.72,246,22380,32.0,51.45,9254,8872,6796,7669,93.23
2024-08-27,SRV-7a5c09e3f6ab,223,2197,442,461,205,442,486,20.68,54.05,151,37446,72.29,63.84,3269,6648,5077,6094,76.01
2022-11-23,SRV-251575aa4f9f,3519,3896,1582,843,298,507,145,31.7,99.05,19,22861,48.15,43.76,11508,7252,20848,10220,37.27
2022-01-05,SRV-5b6ef7019b03,1028,6299,994,1888,435,784,136,5.94,35.21,17,69,48.41,20.67,6281,6834,16047,11676,52.98
2023-01-29,SRV-81bdb32555a9,207,6559,585,1985,578,566,52,22.88,77.94,13,39074,15.81,2.7,9550,4659,22874,1915,35.12
2019-07-05,SRV-6a4dd75cc573,14,1006,1765,384,397,1444,35,19.52,69.23,169,4102,65.21,51.28,7650,4531,61020,17398,96.97
2019-06-17,SRV-2a1e391f5efd,2587,3152,892,1345,617,1784,235,4.52,40.84,180,50981,50.03,12.14,6649,7741,50752,10915,44.34
2020-12-25,SRV-0b75df0e9263,3414,7883,314,1250,175,1425,142,0.89,51.69,150,36754,37.78,22.5,9830,699,60021,17718,29.41
2018-04-15,SRV-5ada0759aa42,1992,2061,1305,1531,3,212,241,7.42,70.16,30,53599,48.46,45.29,10561,3843,15191,7772,50.55
2024-02-10,SRV-d6a492da7545,1772,1252,806,1720,359,107,461,21.6,73.54,42,40690,80.55,61.62,4509,2905,31495,7198,86.76
2020-01-30,SRV-de40c335563e,2711,3320,2239,382,481,1794,298,29.28,49.39,50,12758,38.23,35.57,6907,7819,59513,14823,47.51
2022-12-31,SRV-44958651cd20,256,2696,2115,967,507,1203,430,34.07,80.49,115,25296,50.49,41.34,2941,5089,11265,556,76.42
2024-06-02,SRV-0b02f91d340e,3966,664,1211,334,281,209,468,11.48,35.62,125,31154,42.09,33.2,7427,1352,40672,7532,13.75
2024-08-08,SRV-ed7e8f5c14b3,2109,4820,883,1310,60,841,218,32.7,94.14,223,6701,19.62,83.39,4829,3523,49084,2780,86.76
2018-05-04,SRV-2d2baa0ab877,2846,5009,286,497,781,136,450,1.72,87.87,213,32330,94.4,64.23,10262,7072,9402,3409,81.03
2020-07-02,SRV-158363bd72d7,1007,5194,2058,1074,263,717,135,34.04,97.13,107,32751,99.39,8.9,2925,6559,23848,256,45.32
2020-02-28,SRV-8d2d21df78fd,3177,4467,2298,1399,702,1339,400,14.77,50.26,222,10382,98.25,55.59,7078,8892,54660,15346,86.57
2023-12-07,SRV-9efc9e76f117,734,5965,2490,915,217,813,249,1.42,79.37,22,40516,56.36,36.93,8162,1318,18357,12947,21.25
2019-08-25,SRV-b1198a33c77a,3340,4053,1413,1047,31,1387,159,21.41,72.23,169,356,75.94,69.1,5392,574,5173,11305,16.32
2020-12-30,SRV-6bf611e1c997,3631,4927,1952,1063,290,697,429,33.79,29.41,14,12575,52.64,51.13,324,5603,60508,8987,96.5
2022-03-24,SRV-454b2481894a,637,8311,2158,998,696,1080,458,15.92,27.24,225,46634,61.72,32.84,5194,8815,1389,9318,73.53
2019-06-02,SRV-ae1b2b8ec225,800,2441,931,1244,374,968,182,34.51,43.75,60,29935,47.98,49.87,8504,1638,53933,1096,83.29
2025-10-24,SRV-47bff8036be1,2094,6785,813,196,717,1073,135,1.26,97.7,165,54018,81.19,46.31,2693,5375,34126,15120,44.86
2024-12-29,SRV-c401d4cb2d10,520,2983,311,188,515,1107,338,14.13,95.61,230,20006,48.37,29.22,10651,4482,27203,133,90.64
2023-08-17,SRV-de3c3c132fac,26,7327,1876,1988,740,870,515,21.99,50.96,190,11890,93.06,8.99,2185,435,16560,14854,65.64
2019-08-31,SRV-19ec0c1c6551,3542,6340,291,1812,329,1256,381,15.33,69.5,220,34379,82.55,7.0,11773,4913,33917,14225,47.9
2021-08-21,SRV-c3098cbaed47,2339,5471,1053,1016,293,1122,472,22.52,40.77,119,11357,37.61,60.47,8589,4509,1532,12654,23.42
2023-08-03,SRV-5dcbd03c8dc6,1808,6114,1090,1339,370,812,467,16.83,36.09,55,50235,10.11,5.44,2792,951,22000,11295,9.36
2021-06-29,SRV-889becd4169e,2175,289,1180,1298,774,1550,248,31.36,53.19,50,3637,84.68,80.49,5106,2676,36779,6429,28.98
2019-11-24,SRV-b53f22c7538b,680,1549,1242,1375,639,82,421,29.79,57.66,18,39208,41.64,21.16,2729,73,44985,3735,10.04
2019-03-25,SRV-dd7c17a9883a,3158,2973,884,861,778,1183,105,15.27,71.76,86,18783,14.08,16.49,1280,4406,30553,4820,0.17
2020-03-02,SRV-ad3255b20be8,3323,6357,1127,1578,428,572,20,6.34,96.89,118,45707,78.08,29.17,3321,3867,38914,16008,31.52
2024-08-15,SRV-674a19f5a43b,3294,3893,1599,677,369,942,475,6.16,72.05,75,48943,25.73,68.81,4036,4198,8395,5811,44.97
2021-11-06,SRV-77cd59a15135,1371,2809,792,834,278,949,494,6.02,86.37,172,39728,14.92,15.38,3503,2159,42498,8238,68.77
2024-08-30,SRV-25341a0bbff0,1361,1690,1507,885,520,317,415,22.91,36.16,209,47198,71.96,48.06,9852,2922,54077,13029,36.83
2024-02-23,SRV-19b8bf737dc9,734,8153,1255,1883,536,341,299,13.14,81.65,187,24671,77.62,0.22,8774,2386,23556,7723,86.71
2022-08-28,SRV-90a914ccec91,1787,3435,183,608,683,590,155,34.89,82.85,50,31758,58.47,53.41,4734,909,40704,17934,23.75
2019-09-17,SRV-a5c781c2037d,1471,1382,7,1761,417,1799,140,33.16,25.73,47,15143,46.09,41.76,10521,675,34780,7748,19.21
2019-02-19,SRV-8b6f990cce3c,514,7610,1437,824,358,170,390,13.43,96.66,106,4643,60.83,35.44,2021,81,27316,5248,12.14
2018-02-09,SRV-2c18dd4eb2ca,3589,1456,815,1885,77,1733,494,33.17,81.8,63,42102,84.61,1.57,10824,5083,41005,15001,77.33
2020-09-09,SRV-ce6b81be72c7,3279,2324,1053,1864,273,1051,18,34.98,37.26,227,9531,78.31,45.49,4916,5389,12144,13843,46.74
2018-12-08,SRV-db3e4236a121,1162,2263,510,721,17,1438,22,30.63,88.73,214,47355,85.4,62.11,2436,3980,28835,4093,82.1
2018-09-09,SRV-0d44625bbe01,2284,7259,2271,211,397,323,320,2.2,31.22,64,44338,73.47,43.28,2329,4714,62291,10215,45.0
2019-01-09,SRV-6b19af7e2e30,3391,5561,1433,114,789,1504,483,20.51,69.09,15,51944,79.2,39.03,1650,5812,21109,4008,92.05
2019-06-07,SRV-0d3fde0cfea3,819,2611,2116,1588,693,1117,339,8.6,42.69,228,30276,91.13,56.42,2472,7752,49220,11590,74.51
2023-06-14,SRV-f185d5bf05e8,3847,1645,987,348,381,907,332,15.91,81.1,241,48419,52.96,23.2,4289,4676,30824,1913,99.51
2018-11-20,SRV-56555ee874b9,1347,8573,1996,1652,707,1109,255,25.25,59.62,163,44844,35.69,10.73,11060,5069,49233,3926,48.12
2021-01-19,SRV-13b5516ef904,2208,6760,2432,593,42,1363,359,27.09,67.47,146,16702,18.59,12.32,3773,1239,11024,9866,26.74
2018-08-25,SRV-05648ecba33e,2029,4919,80,266,796,251,390,2.09,42.1,147,6602,66.76,71.26,11784,5085,53261,7672,67.33
2025-04-02,SRV-0c57883aa4e5,2296,680,2489,527,656,1768,172,31.15,87.6,128,38264,14.87,56.84,2058,7585,33137,494,84.69
2024-07-10,SRV-bc3828e0ecc1,2097,6842,1888,161,81,1000,157,9.68,74.58,218,3233,51.7,34.2,7906,8656,38340,12495,8.73
2020-07-13,SRV-d50e83580f5d,3192,4040,2059,749,769,730,285,19.69,51.4,210,3758,19.16,41.23,5425,6812,30551,6316,19.95
2021-08-30,SRV-5424856e50b3,341,2339,1480,923,171,1577,136,10.52,82.85,145,41998,50.63,60.71,5668,224,49893,3099,65.5
2023-03-17,SRV-2266ce171cdb,3900,7369,1151,1356,745,931,343,6.73,54.1,210,15880,92.94,61.92,8304,5893,31443,17583,31.34
2019-01-18,SRV-79405337b641,1183,4256,822,233,712,1343,459,26.91,31.08,225,35778,27.0,50.14,11717,2585,40528,2016,50.01
2019-05-29,SRV-7fc68edd598b,1829,400,1831,1936,261,1292,122,7.09,78.48,146,44304,68.92,54.93,4853,4340,23061,12986,11.54
2023-06-12,SRV-00ab215c4239,3262,8595,1788,224,543,555,422,28.42,77.32,21,7893,55.33,12.87,5730,8535,5702,15705,60.92
2024-07-23,SRV-8b0509aca562,1175,7900,574,169,471,1219,130,1.9,92.72,243,28080,39.5,10.12,9512,1114,24686,16565,20.61
2021-03-02,SRV-cc080b871272,1764,3539,0,1093,226,108,282,10.77,82.66,28,13008,26.44,1.12,5274,8785,23536,5099,83.0
2021-01-31,SRV-1f613512ab6e,207,5223,1504,1386,682,961,510,20.5,35.5,135,54320,35.02,20.52,5678,671,46114,15793,98.69
2025-03-20,SRV-6d3f81916aa8,2895,6612,220,1500,521,122,268,34.5,65.63,85,31155,62.0,67.6,2378,5315,51585,4021,90.32
2021-09-23,SRV-3c03aba3ab40,55,8023,1222,384,177,1145,254,16.59,90.67,234,18203,27.5,55.28,10615,5852,33760,17229,49.03
2020-08-24,SRV-221b73e2e351,3842,2451,2464,863,546,104,508,31.46,42.59,46,22797,91.37,64.38,810,1369,29045,17524,32.15
2023-02-18,SRV-a849ae7f0ad3,853,7468,2454,554,397,1169,332,21.35,84.43,178,12782,49.19,78.65,9890,8731,6257,947,3.57
2021-11-11,SRV-90e859138c6f,1285,6209,873,1053,756,751,36,34.79,97.59,244,48118,61.75,57.23,3783,3858,17250,16516,42.43
2020-07-10,SRV-2e4350bb6f29,29,2558,189,807,368,318,130,26.28,91.52,206,27963,79.64,35.9,2110,7888,43939,5810,41.78
2024-12-15,SRV-bdd4a180d198,2918,2739,1094,246,88,158,168,28.5,28.12,133,35371,82.37,31.52,3550,1180,44794,307,90.41
2022-01-25,SRV-a154ab480867,1945,2759,364,1129,745,635,504,33.61,94.33,191,9977,20.69,58.59,4887,2026,39362,2738,90.02
2021-01-09,SRV-ca93d99603dd,2326,6890,756,1263,504,731,242,34.53,72.07,97,41770,96.77,72.15,6055,5728,16275,15269,75.0
2019-11-13,SRV-6cdd309f8d32,3239,8927,2023,727,624,1472,289,26.19,84.65,216,4618,22.03,32.71,9869,8942,25831,13050,10.92
2019-04-19,SRV-f1bdee2a1fab,1146,4180,957,1582,562,387,376,20.74,44.0,112,38010,64.6,36.9,1471,1706,10710,651,79.91
2023-03-18,SRV-bc2dff5ac6d0,3688,1345,177,1281,160,1633,371,19.38,66.96,186,26029,53.58,49.19,466,5212,28367,14534,3.2
2022-11-21,SRV-e3302d16fb95,1777,6151,1657,1836,357,139,457,19.77,49.21,29,11555,12.59,80.89,1756,3950,42612,17552,42.21
2019-02-03,SRV-e76b51e15f08,3976,3589,2267,1629,705,958,62,18.47,92.87,133,54347,78.32,11.73,11632,2230,55290,5680,30.3
2022-08-24,SRV-e5dac6bed8e7,216,3646,2245,1008,466,1256,167,7.82,93.02,162,25844,49.59,57.58,11554,121,39461,6689,96.5
2018-11-24,SRV-99229779b5d8,3019,4128,414,1604,796,224,357,5.78,42.49,151,7312,62.15,50.56,3070,1798,41777,1920,90.85
2023-05-25,SRV-a3786ff8bb35,3075,6220,925,1959,486,1360,32,21.03,88.29,123,44811,93.36,30.96,6369,4386,48948,2356,16.75
2020-06-22,SRV-0575514b755e,3252,6215,2113,147,237,1558,16,20.77,40.63,37,24950,39.95,45.46,2898,8440,61657,8288,28.37
2021-08-25,SRV-cb154dd781a0,833,7985,637,859,326,1508,367,20.87,63.73,105,21491,55.7,0.45,9887,2409,132,15514,21.41
2020-01-27,SRV-3a24acb2069e,588,5361,2134,395,365,1179,351,23.92,51.11,238,8525,60.0,45.64,5918,948,40674,3709,55.66
2025-12-08,SRV-c9dcb0757f45,1678,585,244,1156,561,66,61,9.99,75.77,126,12346,65.08,80.5,4499,6446,52751,11912,63.36
2024-08-04,SRV-b562b1cc8f66,958,4142,180,10,13,856,481,25.67,53.25,227,52577,99.2,13.19,10874,8500,55053,15994,31.59
2021-01-10,SRV-780175f3acf0,842,526,1337,1000,482,1187,535,16.88,40.59,36,2705,33.01,52.61,8087,1544,7265,10202,10.6
2024-04-09,SRV-738f6a7eb69e,614,6582,1806,1486,634,301,330,8.82,45.01,232,8170,76.93,20.69,665,520,20420,17928,25.45
2022-12-05,SRV-2069f8293274,35,7130,1792,1906,37,1208,345,13.49,94.07,135,2721,98.2,42.17,1276,3736,63982,9142,20.6
2023-09-05,SRV-dc329173c025,3186,4811,979,1068,556,869,80,0.54,33.28,29,42961,49.66,75.76,1264,4785,27103,4419,98.64
2021-06-20,SRV-1ccaafa27dcc,375,85,1432,48,287,1220,456,14.97,98.56,118,25038,13.45,45.89,6192,8271,14993,8022,23.39
2021-12-20,SRV-2be50ba07383,420,8156,2005,1584,547,154,41,12.9,81.47,174,52863,33.4,73.97,6818,1830,39449,11649,30.75
2021-09-22,SRV-8b2a97181927,2540,5745,397,1908,341,1037,175,34.87,73.84,5,24930,68.71,32.84,5714,4929,39818,9684,11.06
2023-07-17,SRV-25f4796f5727,689,8729,164,1493,773,1074,230,13.15,77.26,232,29694,49.0,16.13,10537,5168,64507,14451,52.63
2023-07-25,SRV-bff7396d5fd6,1401,128,2098,167,689,1752,70,5.02,78.69,182,37830,53.1,73.44,10050,7034,7614,15693,27.73
2020-11-20,SRV-1a47a91fa740,1852,7352,69,201,432,1222,447,15.64,77.04,60,12214,37.79,10.42,6319,4961,22444,8017,26.58
