mig_border_crossing_date,mig_border_border_section_id,mig_border_border_type_code,mig_border_host_country_iso2,mig_border_neighbor_country_iso2,mig_border_crossing_point_code,mig_border_transport_mode_code,mig_border_direction_code,mig_border_entry_exit_system_flag,mig_border_etias_flag,mig_border_visa_required_flag,mig_border_refusal_of_entry_count,mig_border_refusal_reason_code,mig_border_irregular_crossing_count,mig_border_apprehension_count,mig_border_returns_decision_count,mig_border_returns_effected_count,mig_border_frontex_operation_code,mig_border_data_source,mig_border_data_extract_date
2018-04-29,PT-RS-LAND-00015,LAND,PT,RS,PTRS15,ROAD,OUT,0,0,0,19,PUBLIC_HEALTH,20,19,27,27,MINERVA,FRONTEX,2024-08-06
2018-05-06,SE-VN-LAND-00016,LAND,SE,VN,SEVN16,AIR,IN,0,1,1,27,OVERSTAY_RISK,25,8,22,21,TRITON,AIRPORT_AUTHORITY,2025-08-01
2018-05-13,CY-DK-LAND-00017,LAND,CY,DK,CYDK17,SEA,OUT,0,1,0,19,SECURITY_ALERT,17,13,17,16,JOINT_OPS_OTHER,EU_LISA,2026-01-16
2018-05-20,FR-IE-LAND-00018,LAND,FR,IE,FRIE18,RAIL,IN,1,0,0,21,DOCS_INVALID,22,22,20,16,POSEIDON,PORT_AUTHORITY,2025-10-24
2018-05-27,IT-PL-LAND-00019,LAND,IT,PL,ITPL19,FOOT,OUT,0,1,0,21,OTHER,37,27,27,16,INDALO,NATIONAL_BORDER_GUARD,2025-12-03
2018-06-03,NL-AL-LAND-00020,LAND,NL,AL,NLAL20,ROAD,IN,0,0,1,26,NO_VISA,24,14,30,30,THEMIS,FRONTEX,2024-11-29
2018-06-10,SI-GB-LAND-00021,LAND,SI,GB,SIGB21,AIR,OUT,0,0,0,36,PUBLIC_HEALTH,37,23,33,25,MINERVA,AIRPORT_AUTHORITY,2024-11-02
2018-06-17,BG-JP-LAND-00022,LAND,BG,JP,BGJP22,SEA,IN,1,0,1,34,OVERSTAY_RISK,26,26,28,15,TRITON,EU_LISA,2025-05-06
2018-06-24,EE-NO-LAND-00023,LAND,EE,NO,EENO23,RAIL,OUT,1,1,1,34,SECURITY_ALERT,24,20,28,26,JOINT_OPS_OTHER,PORT_AUTHORITY,2025-05-06
2018-07-01,HU-UA-LAND-00024,LAND,HU,UA,HUUA24,FOOT,IN,0,0,1,34,DOCS_INVALID,35,28,29,18,POSEIDON,NATIONAL_BORDER_GUARD,2024-02-10
2018-07-08,LU-CY-LAND-00025,LAND,LU,CY,LUCY25,ROAD,OUT,0,0,0,36,OTHER,37,36,33,16,INDALO,FRONTEX,2024-10-25
2018-07-15,RO-GR-LAND-00026,LAND,RO,GR,ROGR26,AIR,IN,1,1,0,26,NO_VISA,40,27,30,18,THEMIS,AIRPORT_AUTHORITY,2025-01-02
2018-07-22,AT-MT-LAND-00027,LAND,AT,MT,ATMT27,SEA,OUT,0,1,0,39,PUBLIC_HEALTH,45,21,37,22,MINERVA,EU_LISA,2024-05-24
2018-07-29,CZ-ES-LAND-00028,LAND,CZ,ES,CZES28,RAIL,IN,1,0,0,38,OVERSTAY_RISK,44,29,37,27,TRITON,PORT_AUTHORITY,2025-11-26
2018-08-05,DE-DZ-LAND-00029,LAND,DE,DZ,DEDZ29,FOOT,OUT,0,1,1,44,SECURITY_ALERT,32,19,29,12,JOINT_OPS_OTHER,NATIONAL_BORDER_GUARD,2025-02-19
2018-08-12,LV-IR-LAND-00030,LAND,LV,IR,LVIR30,ROAD,IN,1,1,1,38,DOCS_INVALID,45,17,39,24,POSEIDON,FRONTEX,2025-12-01
2018-08-19,PL-MK-LAND-00031,LAND,PL,MK,PLMK31,AIR,OUT,0,0,1,44,OTHER,40,38,32,23,INDALO,AIRPORT_AUTHORITY,2025-04-26
2018-08-26,ES-TN-LAND-00032,LAND,ES,TN,ESTN32,SEA,IN,1,0,1,36,NO_VISA,42,37,33,20,THEMIS,EU_LISA,2025-07-25
2018-09-02,HR-BG-LAND-00033,LAND,HR,BG,HRBG33,RAIL,OUT,1,0,0,39,PUBLIC_HEALTH,49,41,40,30,MINERVA,PORT_AUTHORITY,2025-09-22
2018-09-09,FI-FR-LAND-00034,LAND,FI,FR,FIFR34,FOOT,IN,0,0,0,38,OVERSTAY_RISK,48,37,41,30,TRITON,NATIONAL_BORDER_GUARD,2025-08-06
2018-09-16,IE-LT-LAND-00035,LAND,IE,LT,IELT35,ROAD,OUT,1,1,0,39,SECURITY_ALERT,46,45,37,31,JOINT_OPS_OTHER,FRONTEX,2024-04-14
2018-09-23,MT-SK-LAND-00036,LAND,MT,SK,MTSK36,AIR,IN,1,1,0,36,DOCS_INVALID,46,42,48,42,POSEIDON,AIRPORT_AUTHORITY,2024-05-04
2018-09-30,SK-CH-LAND-00037,LAND,SK,CH,SKCH37,SEA,OUT,0,0,1,40,OTHER,41,31,44,42,INDALO,EU_LISA,2024-09-02
2018-10-07,BE-IN-LAND-00038,LAND,BE,IN,BEIN38,RAIL,IN,1,0,0,40,NO_VISA,54,47,49,37,THEMIS,PORT_AUTHORITY,2024-07-17
2018-10-14,DK-MD-LAND-00039,LAND,DK,MD,DKMD39,FOOT,OUT,1,1,1,40,PUBLIC_HEALTH,50,42,49,46,MINERVA,NATIONAL_BORDER_GUARD,2024-05-09
2018-10-21,GR-RU-LAND-00040,LAND,GR,RU,GRRU40,ROAD,IN,1,1,1,54,OVERSTAY_RISK,10,6,40,19,TRITON,FRONTEX,2024-11-02
2018-10-28,LT-AT-LAND-00041,LAND,LT,AT,LTAT41,AIR,OUT,1,0,0,44,SECURITY_ALERT,13,4,46,25,JOINT_OPS_OTHER,AIRPORT_AUTHORITY,2025-11-04
2018-11-04,PT-EE-LAND-00042,LAND,PT,EE,PTEE42,SEA,IN,1,0,0,47,DOCS_INVALID,2,2,50,22,POSEIDON,EU_LISA,2026-02-22
2018-11-11,SE-IT-LAND-00043,LAND,SE,IT,SEIT43,RAIL,OUT,0,1,0,52,OTHER,16,15,50,34,INDALO,PORT_AUTHORITY,2024-07-01
2018-11-18,CY-PT-LAND-00044,LAND,CY,PT,CYPT44,FOOT,IN,0,0,0,57,NO_VISA,11,7,55,27,THEMIS,NATIONAL_BORDER_GUARD,2025-08-08
2018-11-25,FR-BA-LAND-00045,LAND,FR,BA,FRBA45,ROAD,OUT,1,0,1,45,PUBLIC_HEALTH,6,6,52,43,MINERVA,FRONTEX,2024-07-23
2018-12-02,IT-GE-LAND-00046,LAND,IT,GE,ITGE46,AIR,IN,0,0,1,59,OVERSTAY_RISK,14,12,49,39,TRITON,AIRPORT_AUTHORITY,2025-01-13
2018-12-09,NL-KE-LAND-00047,LAND,NL,KE,NLKE47,SEA,OUT,0,0,0,52,SECURITY_ALERT,20,6,59,27,JOINT_OPS_OTHER,EU_LISA,2024-06-30
2018-12-16,SI-PK-LAND-00048,LAND,SI,PK,SIPK48,RAIL,IN,1,0,1,56,DOCS_INVALID,21,14,59,32,POSEIDON,PORT_AUTHORITY,2025-04-05
2018-12-23,BG-US-LAND-00049,LAND,BG,US,BGUS49,FOOT,OUT,1,0,1,62,OTHER,22,20,55,32,INDALO,NATIONAL_BORDER_GUARD,2026-01-21
2018-12-30,EE-CZ-LAND-00050,LAND,EE,CZ,EECZ50,ROAD,IN,0,0,0,59,NO_VISA,18,9,1,1,THEMIS,FRONTEX,2025-12-20
2019-01-06,HU-MT-LAND-00051,LAND,HU,MT,HUMT51,AIR,OUT,0,1,0,63,PUBLIC_HEALTH,24,14,2,2,MINERVA,AIRPORT_AUTHORITY,2025-11-25
2019-01-13,LU-NL-LAND-00052,LAND,LU,NL,LUNL52,SEA,IN,0,1,0,65,OVERSTAY_RISK,19,11,11,5,TRITON,EU_LISA,2026-01-20
2019-01-20,RO-SE-LAND-00053,LAND,RO,SE,ROSE53,RAIL,OUT,1,0,0,55,SECURITY_ALERT,24,12,8,4,JOINT_OPS_OTHER,PORT_AUTHORITY,2024-11-29
2019-01-27,AT-EG-LAND-00054,LAND,AT,EG,ATEG54,FOOT,IN,1,1,1,54,DOCS_INVALID,26,25,6,3,POSEIDON,NATIONAL_BORDER_GUARD,2024-01-26
2019-02-03,CZ-IS-LAND-00055,LAND,CZ,IS,CZIS55,ROAD,OUT,0,1,0,60,OTHER,16,12,12,6,INDALO,FRONTEX,2026-02-05
2019-02-10,DE-NG-LAND-00056,LAND,DE,NG,DENG56,AIR,IN,0,0,1,62,NO_VISA,28,9,13,13,THEMIS,AIRPORT_AUTHORITY,2024-12-09
2019-02-17,LV-TR-LAND-00057,LAND,LV,TR,LVTR57,SEA,OUT,1,1,1,67,PUBLIC_HEALTH,21,12,14,12,MINERVA,EU_LISA,2024-11-19
2019-02-24,PL-HR-LAND-00058,LAND,PL,HR,PLHR58,RAIL,IN,0,0,0,65,OVERSTAY_RISK,32,27,12,6,TRITON,PORT_AUTHORITY,2024-08-18
2019-03-03,ES-DE-LAND-00059,LAND,ES,DE,ESDE59,FOOT,OUT,1,1,0,73,SECURITY_ALERT,20,11,15,13,JOINT_OPS_OTHER,NATIONAL_BORDER_GUARD,2024-11-02
2019-03-10,HR-LU-LAND-00060,LAND,HR,LU,HRLU60,ROAD,IN,0,1,0,15,DOCS_INVALID,34,27,21,21,POSEIDON,FRONTEX,2025-01-09
2019-03-17,FI-SI-LAND-00061,LAND,FI,SI,FISI61,AIR,OUT,1,0,0,11,OTHER,24,24,15,10,INDALO,AIRPORT_AUTHORITY,2024-01-04
2019-03-24,IE-CN-LAND-00062,LAND,IE,CN,IECN62,SEA,IN,0,0,1,11,NO_VISA,22,7,19,14,THEMIS,EU_LISA,2025-07-31
2019-03-31,MT-IQ-LAND-00063,LAND,MT,IQ,MTIQ63,RAIL,OUT,0,0,1,10,PUBLIC_HEALTH,28,11,14,6,MINERVA,PORT_AUTHORITY,2024-01-31
2019-04-07,SK-ME-LAND-00064,LAND,SK,ME,SKME64,FOOT,IN,1,1,1,15,OVERSTAY_RISK,34,25,19,11,TRITON,NATIONAL_BORDER_GUARD,2024-04-12
2019-04-14,BE-SY-LAND-00065,LAND,BE,SY,BESY65,ROAD,OUT,0,0,1,9,SECURITY_ALERT,41,18,21,18,JOINT_OPS_OTHER,FRONTEX,2025-09-06
2019-04-21,DK-BE-LAND-00066,LAND,DK,BE,DKBE66,AIR,IN,0,1,0,18,DOCS_INVALID,26,25,18,17,POSEIDON,AIRPORT_AUTHORITY,2024-01-01
2019-04-28,GR-FI-LAND-00067,LAND,GR,FI,GRFI67,SEA,OUT,1,1,0,8,OTHER,30,29,20,16,INDALO,EU_LISA,2025-05-08
2019-05-05,LT-LV-LAND-00068,LAND,LT,LV,LTLV68,RAIL,IN,1,0,0,13,NO_VISA,46,46,22,21,THEMIS,PORT_AUTHORITY,2025-02-04
2019-05-12,PT-RO-LAND-00069,LAND,PT,RO,PTRO69,FOOT,OUT,1,1,0,24,PUBLIC_HEALTH,46,32,20,8,MINERVA,NATIONAL_BORDER_GUARD,2024-06-23
2019-05-19,SE-BY-LAND-00070,LAND,SE,BY,SEBY70,ROAD,IN,1,0,1,25,OVERSTAY_RISK,36,19,20,9,TRITON,FRONTEX,2025-05-13
2019-05-26,CY-GH-LAND-00071,LAND,CY,GH,CYGH71,AIR,OUT,0,1,1,18,SECURITY_ALERT,39,27,28,27,JOINT_OPS_OTHER,AIRPORT_AUTHORITY,2025-03-01
2019-06-02,FR-MA-LAND-00072,LAND,FR,MA,FRMA72,SEA,IN,0,1,1,15,DOCS_INVALID,46,42,23,18,POSEIDON,EU_LISA,2025-03-21
2019-06-09,IT-RS-LAND-00073,LAND,IT,RS,ITRS73,RAIL,OUT,1,1,1,18,OTHER,49,23,33,28,INDALO,PORT_AUTHORITY,2025-07-10
2019-06-16,NL-VN-LAND-00074,LAND,NL,VN,NLVN74,FOOT,IN,0,1,1,27,NO_VISA,38,19,30,30,THEMIS,NATIONAL_BORDER_GUARD,2024-10-20
2019-06-23,SI-DK-LAND-00075,LAND,SI,DK,SIDK75,ROAD,OUT,1,0,0,22,PUBLIC_HEALTH,37,12,32,16,MINERVA,FRONTEX,2025-07-21
2019-06-30,BG-IE-LAND-00076,LAND,BG,IE,BGIE76,AIR,IN,0,0,0,29,OVERSTAY_RISK,36,27,33,24,TRITON,AIRPORT_AUTHORITY,2025-07-26
2019-07-07,EE-PL-LAND-00077,LAND,EE,PL,EEPL77,SEA,OUT,0,1,0,28,SECURITY_ALERT,47,44,39,29,JOINT_OPS_OTHER,EU_LISA,2025-04-08
2019-07-14,HU-AL-LAND-00078,LAND,HU,AL,HUAL78,RAIL,IN,0,0,0,18,DOCS_INVALID,48,46,29,25,POSEIDON,PORT_AUTHORITY,2026-01-25
2019-07-21,LU-GB-LAND-00079,LAND,LU,GB,LUGB79,FOOT,OUT,0,0,0,29,OTHER,51,51,35,15,INDALO,NATIONAL_BORDER_GUARD,2024-06-13
2019-07-28,RO-JP-LAND-00080,LAND,RO,JP,ROJP80,ROAD,IN,0,1,0,32,NO_VISA,9,7,37,31,THEMIS,FRONTEX,2024-06-19
2019-08-04,AT-NO-LAND-00081,LAND,AT,NO,ATNO81,AIR,OUT,1,0,1,34,PUBLIC_HEALTH,18,12,38,26,MINERVA,AIRPORT_AUTHORITY,2026-02-05
2019-08-11,CZ-UA-LAND-00082,LAND,CZ,UA,CZUA82,SEA,IN,0,0,1,32,OVERSTAY_RISK,8,7,37,31,TRITON,EU_LISA,2025-11-17
2019-08-18,DE-CY-LAND-00083,LAND,DE,CY,DECY83,RAIL,OUT,1,1,0,35,SECURITY_ALERT,3,2,45,19,JOINT_OPS_OTHER,PORT_AUTHORITY,2025-03-24
2019-08-25,LV-GR-LAND-00084,LAND,LV,GR,LVGR84,FOOT,IN,0,0,0,36,DOCS_INVALID,13,6,43,20,POSEIDON,NATIONAL_BORDER_GUARD,2026-01-11
2019-09-01,PL-MT-LAND-00085,LAND,PL,MT,PLMT85,ROAD,OUT,0,1,0,30,OTHER,6,5,38,21,INDALO,FRONTEX,2024-06-23
2019-09-08,ES-CN-LAND-00086,LAND,ES,CN,ESCN86,AIR,IN,0,0,1,40,NO_VISA,20,15,42,38,THEMIS,AIRPORT_AUTHORITY,2024-04-02
2019-09-15,HR-DZ-LAND-00087,LAND,HR,DZ,HRDZ87,SEA,OUT,0,0,0,35,PUBLIC_HEALTH,12,4,39,30,MINERVA,EU_LISA,2024-01-29
2019-09-22,FI-IR-LAND-00088,LAND,FI,IR,FIIR88,RAIL,IN,1,0,1,33,OVERSTAY_RISK,17,14,47,27,TRITON,PORT_AUTHORITY,2024-04-04
2019-09-29,IE-MK-LAND-00089,LAND,IE,MK,IEMK89,FOOT,OUT,1,1,0,39,SECURITY_ALERT,11,8,46,39,JOINT_OPS_OTHER,NATIONAL_BORDER_GUARD,2024-10-09
2019-10-06,MT-TN-LAND-00090,LAND,MT,TN,MTTN90,ROAD,IN,1,0,1,42,DOCS_INVALID,27,18,43,18,POSEIDON,FRONTEX,2024-06-22
2019-10-13,SK-BG-LAND-00091,LAND,SK,BG,SKBG91,AIR,OUT,1,1,0,38,OTHER,16,16,41,36,INDALO,AIRPORT_AUTHORITY,2024-04-19
2019-10-20,BE-FR-LAND-00092,LAND,BE,FR,BEFR92,SEA,IN,1,1,0,46,NO_VISA,19,17,52,44,THEMIS,EU_LISA,2024-01-11
2019-10-27,DK-LT-LAND-00093,LAND,DK,LT,DKLT93,RAIL,OUT,1,0,0,34,PUBLIC_HEALTH,31,13,49,30,MINERVA,PORT_AUTHORITY,2025-01-24
2019-11-03,GR-SK-LAND-00094,LAND,GR,SK,GRSK94,FOOT,IN,1,1,0,45,OVERSTAY_RISK,16,16,52,29,TRITON,NATIONAL_BORDER_GUARD,2025-02-02
2019-11-10,LT-CH-LAND-00095,LAND,LT,CH,LTCH95,ROAD,OUT,1,1,1,48,SECURITY_ALERT,28,11,47,22,JOINT_OPS_OTHER,FRONTEX,2025-05-06
2019-11-17,PT-IN-LAND-00096,LAND,PT,IN,PTIN96,AIR,IN,0,1,1,43,DOCS_INVALID,18,18,54,48,POSEIDON,AIRPORT_AUTHORITY,2025-09-21
2019-11-24,SE-MD-LAND-00097,LAND,SE,MD,SEMD00,SEA,OUT,1,1,0,43,OTHER,30,20,51,23,INDALO,EU_LISA,2024-03-09
2019-12-01,CY-RU-LAND-00098,LAND,CY,RU,CYRU01,RAIL,IN,0,1,1,51,NO_VISA,21,7,48,41,THEMIS,PORT_AUTHORITY,2024-05-31
2019-12-08,FR-AT-LAND-00099,LAND,FR,AT,FRAT02,FOOT,OUT,1,0,0,41,PUBLIC_HEALTH,19,18,49,32,MINERVA,NATIONAL_BORDER_GUARD,2024-11-07
2019-12-15,IT-EE-LAND-00100,LAND,IT,EE,ITEE03,ROAD,IN,1,0,0,53,OVERSTAY_RISK,26,11,0,0,TRITON,FRONTEX,2024-12-01
2019-12-22,NL-IT-LAND-00101,LAND,NL,IT,NLIT04,AIR,OUT,0,1,0,52,SECURITY_ALERT,33,23,13,12,JOINT_OPS_OTHER,AIRPORT_AUTHORITY,2024-10-08
2019-12-29,SI-PT-LAND-00102,LAND,SI,PT,SIPT05,SEA,IN,1,0,0,48,DOCS_INVALID,28,16,11,6,POSEIDON,EU_LISA,2024-01-16
2020-01-05,BG-BA-LAND-00103,LAND,BG,BA,BGBA06,RAIL,OUT,1,1,1,56,OTHER,36,16,6,3,INDALO,PORT_AUTHORITY,2025-12-10
2020-01-12,EE-GE-LAND-00104,LAND,EE,GE,EEGE07,FOOT,IN,1,0,0,49,NO_VISA,40,13,12,5,THEMIS,NATIONAL_BORDER_GUARD,2024-08-11
2020-01-19,HU-KE-LAND-00105,LAND,HU,KE,HUKE08,ROAD,OUT,0,0,0,48,PUBLIC_HEALTH,26,10,15,7,MINERVA,FRONTEX,2025-05-26
2020-01-26,LU-PK-LAND-00106,LAND,LU,PK,LUPK09,AIR,IN,1,1,1,47,OVERSTAY_RISK,38,36,14,13,TRITON,AIRPORT_AUTHORITY,2025-02-08
2020-02-02,RO-US-LAND-00107,LAND,RO,US,ROUS10,SEA,OUT,1,1,1,61,SECURITY_ALERT,35,33,15,14,JOINT_OPS_OTHER,EU_LISA,2025-02-05
2020-02-09,AT-CZ-LAND-00108,LAND,AT,CZ,ATCZ11,RAIL,IN,0,1,0,55,DOCS_INVALID,29,19,19,11,POSEIDON,PORT_AUTHORITY,2025-12-09
2020-02-16,CZ-HU-LAND-00109,LAND,CZ,HU,CZHU12,FOOT,OUT,1,0,0,64,OTHER,43,15,15,14,INDALO,NATIONAL_BORDER_GUARD,2024-11-13
2020-02-23,DE-NL-LAND-00110,LAND,DE,NL,DENL13,ROAD,IN,1,1,0,53,NO_VISA,43,29,16,14,THEMIS,FRONTEX,2025-08-22
2020-03-01,LV-SE-LAND-00111,LAND,LV,SE,LVSE14,AIR,OUT,1,0,0,61,PUBLIC_HEALTH,45,44,12,8,MINERVA,AIRPORT_AUTHORITY,2025-07-30
2020-03-08,PL-EG-LAND-00112,LAND,PL,EG,PLEG15,SEA,IN,1,0,0,55,OVERSTAY_RISK,44,43,14,13,TRITON,EU_LISA,2024-05-05
2020-03-15,ES-IS-LAND-00113,LAND,ES,IS,ESIS16,RAIL,OUT,1,1,1,55,SECURITY_ALERT,50,39,13,11,JOINT_OPS_OTHER,PORT_AUTHORITY,2025-06-02
2020-03-22,HR-NG-LAND-00114,LAND,HR,NG,HRNG17,FOOT,IN,1,0,1,65,DOCS_INVALID,43,18,15,11,POSEIDON,NATIONAL_BORDER_GUARD,2024-05-21
2020-03-29,FI-TR-LAND-00115,LAND,FI,TR,FITR18,ROAD,OUT,0,1,1,62,OTHER,42,16,18,13,INDALO,FRONTEX,2024-08-24
2020-04-05,IE-HR-LAND-00116,LAND,IE,HR,IEHR19,AIR,IN,1,0,0,63,NO_VISA,52,33,24,10,THEMIS,AIRPORT_AUTHORITY,2025-08-14
2020-04-12,MT-DE-LAND-00117,LAND,MT,DE,MTDE20,SEA,OUT,0,1,0,58,PUBLIC_HEALTH,49,29,25,11,MINERVA,EU_LISA,2024-03-05
2020-04-19,SK-LU-LAND-00118,LAND,SK,LU,SKLU21,RAIL,IN,1,0,0,72,OVERSTAY_RISK,43,38,24,16,TRITON,PORT_AUTHORITY,2024-12-12
2020-04-26,BE-SI-LAND-00119,LAND,BE,SI,BESI22,FOOT,OUT,0,1,0,64,SECURITY_ALERT,41,35,29,26,JOINT_OPS_OTHER,NATIONAL_BORDER_GUARD,2026-01-27
2020-05-03,DK-CN-LAND-00120,LAND,DK,CN,DKCN23,ROAD,IN,1,1,0,7,DOCS_INVALID,2,2,23,11,POSEIDON,FRONTEX,2024-12-21
2020-05-10,GR-IQ-LAND-00121,LAND,GR,IQ,GRIQ24,AIR,OUT,1,0,0,5,OTHER,10,9,23,10,INDALO,AIRPORT_AUTHORITY,2024-02-01
2020-05-17,LT-ME-LAND-00122,LAND,LT,ME,LTME25,SEA,IN,0,1,0,14,NO_VISA,7,3,24,20,THEMIS,EU_LISA,2026-01-27
2020-05-24,PT-SY-LAND-00123,LAND,PT,SY,PTSY26,RAIL,OUT,0,1,1,18,PUBLIC_HEALTH,3,3,25,20,MINERVA,PORT_AUTHORITY,2024-06-06
2020-05-31,SE-BE-LAND-00124,LAND,SE,BE,SEBE27,FOOT,IN,0,0,0,19,OVERSTAY_RISK,9,6,24,19,TRITON,NATIONAL_BORDER_GUARD,2025-10-20
2020-06-07,CY-FI-LAND-00125,LAND,CY,FI,CYFI28,ROAD,OUT,1,1,0,20,SECURITY_ALERT,8,4,28,22,JOINT_OPS_OTHER,FRONTEX,2024-04-16
2020-06-14,FR-LV-LAND-00126,LAND,FR,LV,FRLV29,AIR,IN,0,1,0,10,DOCS_INVALID,24,13,34,23,POSEIDON,AIRPORT_AUTHORITY,2024-01-13
2020-06-21,IT-RO-LAND-00127,LAND,IT,RO,ITRO30,SEA,OUT,1,1,0,22,OTHER,19,8,33,24,INDALO,EU_LISA,2025-03-09
2020-06-28,NL-BY-LAND-00128,LAND,NL,BY,NLBY31,RAIL,IN,0,0,1,22,NO_VISA,23,11,39,22,THEMIS,PORT_AUTHORITY,2025-12-17
2020-07-05,SI-GH-LAND-00129,LAND,SI,GH,SIGH32,FOOT,OUT,1,1,1,20,PUBLIC_HEALTH,14,14,35,29,MINERVA,NATIONAL_BORDER_GUARD,2026-01-07
2020-07-12,BG-MA-LAND-00130,LAND,BG,MA,BGMA33,ROAD,IN,0,0,1,23,OVERSTAY_RISK,14,9,30,12,TRITON,FRONTEX,2024-08-16
2020-07-19,EE-RS-LAND-00131,LAND,EE,RS,EERS34,AIR,OUT,1,0,1,12,SECURITY_ALERT,28,15,31,17,JOINT_OPS_OTHER,AIRPORT_AUTHORITY,2025-05-31
2020-07-26,HU-VN-LAND-00132,LAND,HU,VN,HUVN35,SEA,IN,1,1,1,14,DOCS_INVALID,13,4,35,34,POSEIDON,EU_LISA,2024-05-03
2020-08-02,LU-DK-LAND-00133,LAND,LU,DK,LUDK36,RAIL,OUT,1,0,0,24,OTHER,24,16,33,14,INDALO,PORT_AUTHORITY,2025-11-30
2020-08-09,RO-IE-LAND-00134,LAND,RO,IE,ROIE37,FOOT,IN,0,1,0,25,NO_VISA,16,11,34,17,THEMIS,NATIONAL_BORDER_GUARD,2025-01-23
2020-08-16,AT-PL-LAND-00135,LAND,AT,PL,ATPL38,ROAD,OUT,1,0,0,28,PUBLIC_HEALTH,21,21,43,19,MINERVA,FRONTEX,2024-12-28
2020-08-23,CZ-AL-LAND-00136,LAND,CZ,AL,CZAL39,AIR,IN,1,0,1,24,OVERSTAY_RISK,34,29,39,16,TRITON,AIRPORT_AUTHORITY,2024-09-06
2020-08-30,DE-GB-LAND-00137,LAND,DE,GB,DEGB40,SEA,OUT,0,0,0,24,SECURITY_ALERT,26,23,48,38,JOINT_OPS_OTHER,EU_LISA,2024-06-22
2020-09-06,LV-JP-LAND-00138,LAND,LV,JP,LVJP41,RAIL,IN,0,0,1,20,DOCS_INVALID,32,24,42,39,POSEIDON,PORT_AUTHORITY,2024-03-07
2020-09-13,PL-NO-LAND-00139,LAND,PL,NO,PLNO42,FOOT,OUT,0,0,1,31,OTHER,30,21,48,21,INDALO,NATIONAL_BORDER_GUARD,2024-01-09
2020-09-20,ES-UA-LAND-00140,LAND,ES,UA,ESUA43,ROAD,IN,0,0,1,27,NO_VISA,21,10,40,33,THEMIS,FRONTEX,2024-02-14
