econ_compare_comparison_year,econ_compare_region_grouping_scheme,econ_compare_region_a_code,econ_compare_region_b_code,econ_compare_metric_name,econ_compare_metric_value_region_a,econ_compare_metric_value_region_b,econ_compare_absolute_difference,econ_compare_percent_difference,econ_compare_rank_region_a,econ_compare_rank_region_b,econ_compare_percentile_region_a,econ_compare_percentile_region_b,econ_compare_inequality_gini_estimate,econ_compare_cost_of_living_index,econ_compare_housing_affordability_index,econ_compare_tax_burden_index,econ_compare_job_growth_rate_pct,econ_compare_population_growth_rate_pct,econ_compare_composite_score
2020,STATE_UT,REG_A_00012,REG_B_00012,POP_GROWTH,69.616,65.084,4.532,6.963,65,64,1.52,12.16,0.2007,71.154,129.03,20.685,15.706,-3.217,90.164
2016,COASTAL_INLAND,REG_A_00013,REG_B_00013,WAGE_GROWTH,65.326,46.501,18.825,40.483,23,77,60.43,90.01,0.3414,148.954,87.851,30.724,0.95,7.551,11.595
2019,REGION_ZONE,REG_A_00014,REG_B_00014,INFLATION_CPI,31.805,62.464,-30.659,-49.083,35,54,15.24,89.95,0.4924,83.24,118.481,15.405,-4.898,-2.645,99.554
2021,REGION_ZONE,REG_A_00015,REG_B_00015,GSDP_PER_CAPITA,86.734,79.051,7.683,9.719,57,54,94.39,69.53,0.3845,165.255,45.668,32.967,3.359,3.822,36.227
2023,METRO_TIER,REG_A_00016,REG_B_00016,WAGE_GROWTH,24.054,52.084,-28.03,-53.817,36,15,8.83,43.3,0.505,112.512,128.65,31.715,-5.388,10.32,54.055
2019,COASTAL_INLAND,REG_A_00017,REG_B_00017,INFLATION_CPI,60.772,38.465,22.307,57.993,22,2,43.35,9.89,0.5832,75.645,46.479,26.11,18.249,5.256,18.246
2016,DISTRICT_CLUSTER,REG_A_00018,REG_B_00018,INFLATION_CPI,55.613,37.606,18.007,47.883,41,18,87.5,82.93,0.5298,80.104,77.479,27.178,14.977,5.457,61.979
2018,STATE_UT,REG_A_00019,REG_B_00019,STARTUP_DENSITY,81.035,44.228,36.807,83.221,69,71,86.43,52.69,0.3194,166.831,92.581,24.842,-3.733,0.929,20.357
2024,COASTAL_INLAND,REG_A_00020,REG_B_00020,STARTUP_DENSITY,2.271,12.151,-9.88,-81.31,33,94,9.14,12.46,0.2096,75.491,55.175,27.982,2.276,11.943,10.116
2023,METRO_TIER,REG_A_00021,REG_B_00021,WAGE_GROWTH,7.722,3.654,4.068,111.33,59,43,4.78,2.86,0.2783,79.145,92.993,20.841,-9.604,5.084,34.518
2021,REGION_ZONE,REG_A_00022,REG_B_00022,HOUSING_AFFORD,78.707,68.234,10.473,15.349,23,28,54.13,90.68,0.43,148.705,53.302,27.221,-4.144,3.636,65.405
2017,METRO_TIER,REG_A_00023,REG_B_00023,EXPORT_INTENSITY,49.747,45.173,4.574,10.126,57,81,10.08,95.45,0.5348,164.045,104.41,6.568,17.972,8.301,95.609
2023,DISTRICT_CLUSTER,REG_A_00024,REG_B_00024,POP_GROWTH,97.688,46.039,51.649,112.185,38,76,12.32,83.15,0.2506,117.755,40.073,34.024,-2.948,9.978,53.553
2017,STATE_UT,REG_A_00025,REG_B_00025,EXPORT_INTENSITY,30.878,37.433,-6.555,-17.511,53,41,13.3,38.43,0.4028,89.562,105.956,7.499,7.951,7.48,23.212
2017,METRO_TIER,REG_A_00026,REG_B_00026,UNEMP_RATE,96.577,83.807,12.77,15.237,83,31,27.7,30.4,0.475,122.797,51.827,25.321,-4.714,-0.41,99.325
2023,DISTRICT_CLUSTER,REG_A_00027,REG_B_00027,WAGE_GROWTH,34.241,41.819,-7.578,-18.121,37,82,95.18,51.2,0.5556,108.582,64.962,18.434,-5.562,14.0,33.278
2017,METRO_TIER,REG_A_00028,REG_B_00028,POWER_OUTAGE_HOURS,49.315,28.7,20.615,71.829,99,29,37.43,58.2,0.3653,88.637,93.299,33.139,7.646,12.801,89.739
2021,COASTAL_INLAND,REG_A_00029,REG_B_00029,STARTUP_DENSITY,28.043,17.513,10.53,60.127,24,59,90.56,96.94,0.2126,128.235,85.644,22.249,-8.153,1.276,12.335
2025,REGION_ZONE,REG_A_00030,REG_B_00030,INFLATION_CPI,3.636,18.109,-14.473,-79.922,60,10,63.97,53.12,0.4427,101.932,71.063,7.418,10.108,5.524,88.141
2016,METRO_TIER,REG_A_00031,REG_B_00031,EXPORT_INTENSITY,65.553,44.769,20.784,46.425,59,53,23.61,95.65,0.3191,124.086,44.048,20.082,11.32,7.864,0.263
2016,STATE_UT,REG_A_00032,REG_B_00032,GSDP_PER_CAPITA,16.113,76.172,-60.059,-78.847,56,96,48.95,15.43,0.3886,87.008,59.894,8.361,3.459,7.215,12.049
2025,DISTRICT_CLUSTER,REG_A_00033,REG_B_00033,EXPORT_INTENSITY,20.739,89.264,-68.525,-76.767,67,48,94.62,50.9,0.2815,146.611,122.54,7.274,-7.46,-2.866,2.381
2022,STATE_UT,REG_A_00034,REG_B_00034,COST_OF_LIVING,48.504,58.819,-10.315,-17.537,29,97,62.3,47.95,0.299,150.362,90.442,6.707,7.199,13.239,45.564
2022,REGION_ZONE,REG_A_00035,REG_B_00035,GSDP_PER_CAPITA,48.767,92.091,-43.324,-47.045,53,5,1.67,66.48,0.5682,152.491,129.876,8.028,7.655,9.207,57.531
2023,COASTAL_INLAND,REG_A_00036,REG_B_00036,UNEMP_RATE,29.535,7.76,21.775,280.606,48,85,87.87,13.49,0.5913,129.917,118.131,34.603,-6.588,6.887,40.317
2017,REGION_ZONE,REG_A_00037,REG_B_00037,EXPORT_INTENSITY,71.995,96.302,-24.307,-25.24,41,56,52.26,91.23,0.4485,133.315,122.657,27.398,-1.966,14.834,92.533
2020,STATE_UT,REG_A_00038,REG_B_00038,GSDP_PER_CAPITA,51.105,64.897,-13.792,-21.252,45,34,65.69,18.48,0.4079,126.201,131.458,7.8,-3.184,7.86,94.563
2016,DISTRICT_CLUSTER,REG_A_00039,REG_B_00039,GSDP_PER_CAPITA,71.879,0.209,71.67,34291.866,96,63,57.04,25.47,0.3661,121.387,75.443,12.014,17.362,-2.607,73.959
2021,COASTAL_INLAND,REG_A_00040,REG_B_00040,HOUSING_AFFORD,12.466,31.411,-18.945,-60.313,73,8,39.27,44.66,0.3541,157.441,103.366,26.016,15.939,3.895,65.694
2025,DISTRICT_CLUSTER,REG_A_00041,REG_B_00041,COST_OF_LIVING,74.956,70.759,4.197,5.931,70,22,94.83,33.38,0.221,95.656,99.066,12.744,4.403,9.233,89.688
2024,STATE_UT,REG_A_00042,REG_B_00042,POWER_OUTAGE_HOURS,45.727,86.412,-40.685,-47.083,90,89,32.81,24.61,0.3323,111.423,118.783,12.971,7.096,11.788,18.367
2021,REGION_ZONE,REG_A_00043,REG_B_00043,GSDP_PER_CAPITA,69.0,88.759,-19.759,-22.261,6,59,82.65,70.16,0.4004,72.028,116.184,13.562,-0.171,1.492,97.852
2021,COASTAL_INLAND,REG_A_00044,REG_B_00044,GSDP_PER_CAPITA,84.246,33.564,50.682,151.001,53,45,77.07,80.9,0.2664,120.296,131.575,24.648,16.538,0.653,9.352
2017,METRO_TIER,REG_A_00045,REG_B_00045,UNEMP_RATE,73.909,52.345,21.564,41.196,59,4,97.49,15.83,0.4916,106.79,47.525,31.755,6.597,14.635,65.276
2025,METRO_TIER,REG_A_00046,REG_B_00046,COST_OF_LIVING,28.619,33.978,-5.359,-15.772,53,39,0.6,89.93,0.4052,105.613,63.473,20.974,-2.411,13.845,93.087
2016,METRO_TIER,REG_A_00047,REG_B_00047,COST_OF_LIVING,58.062,45.032,13.03,28.935,54,14,91.9,37.78,0.3385,148.094,53.077,29.173,6.857,5.647,82.65
2022,REGION_ZONE,REG_A_00048,REG_B_00048,JOB_GROWTH,6.432,36.207,-29.775,-82.235,56,98,20.96,88.6,0.2457,137.009,48.319,13.326,14.499,-0.328,98.833
2025,REGION_ZONE,REG_A_00049,REG_B_00049,GSDP_PER_CAPITA,11.276,2.257,9.019,399.601,41,51,2.63,13.81,0.2158,163.128,133.264,20.651,7.304,-0.139,19.564
2016,REGION_ZONE,REG_A_00050,REG_B_00050,POP_GROWTH,32.521,4.432,28.089,633.777,97,33,25.43,5.37,0.217,92.218,114.94,20.545,19.296,5.998,57.703
2024,DISTRICT_CLUSTER,REG_A_00051,REG_B_00051,UNEMP_RATE,91.039,75.431,15.608,20.692,5,55,82.83,44.23,0.3884,158.256,96.931,25.367,13.639,8.753,27.91
2018,STATE_UT,REG_A_00052,REG_B_00052,WAGE_GROWTH,13.292,76.839,-63.547,-82.701,7,9,7.72,13.15,0.3391,133.686,73.239,25.37,8.74,8.514,0.125
2022,REGION_ZONE,REG_A_00053,REG_B_00053,WAGE_GROWTH,62.307,77.864,-15.557,-19.98,57,60,8.64,11.68,0.2586,120.374,60.567,13.715,-2.677,8.405,10.386
2025,DISTRICT_CLUSTER,REG_A_00054,REG_B_00054,GSDP_PER_CAPITA,87.356,11.38,75.976,667.627,7,90,37.78,74.59,0.4555,150.136,74.138,24.736,9.152,-2.362,6.209
2016,STATE_UT,REG_A_00055,REG_B_00055,EXPORT_INTENSITY,87.844,32.896,54.948,167.036,28,36,24.56,72.49,0.3369,139.706,125.638,20.958,19.586,-2.293,88.638
2019,STATE_UT,REG_A_00056,REG_B_00056,EXPORT_INTENSITY,11.945,67.838,-55.893,-82.392,75,12,89.36,89.88,0.5808,104.206,73.534,27.021,0.411,-1.764,68.206
2025,COASTAL_INLAND,REG_A_00057,REG_B_00057,UNEMP_RATE,93.11,2.809,90.301,3214.703,7,88,71.28,65.59,0.3416,144.905,84.98,26.78,-0.099,14.789,63.902
2016,COASTAL_INLAND,REG_A_00058,REG_B_00058,JOB_GROWTH,48.281,76.27,-27.989,-36.697,62,47,83.85,47.64,0.3894,75.252,125.654,32.366,-0.079,6.552,70.001
2022,DISTRICT_CLUSTER,REG_A_00059,REG_B_00059,EXPORT_INTENSITY,78.444,7.31,71.134,973.105,36,23,53.98,4.89,0.5309,131.895,75.609,18.635,-2.336,0.68,26.631
2016,STATE_UT,REG_A_00060,REG_B_00060,UNEMP_RATE,67.71,61.135,6.575,10.755,75,30,41.66,55.94,0.3099,99.297,138.838,9.588,-2.251,4.511,72.105
2016,STATE_UT,REG_A_00061,REG_B_00061,GSDP_PER_CAPITA,74.52,15.046,59.474,395.281,93,35,99.86,28.7,0.2072,78.681,119.522,12.209,8.609,11.544,9.804
2018,METRO_TIER,REG_A_00062,REG_B_00062,POP_GROWTH,38.941,19.94,19.001,95.291,98,67,2.66,42.62,0.5276,75.709,87.783,28.129,13.32,2.914,59.72
2022,COASTAL_INLAND,REG_A_00063,REG_B_00063,UNEMP_RATE,39.21,95.003,-55.793,-58.728,89,82,82.77,0.87,0.5136,89.372,74.424,21.795,15.69,3.705,26.282
2020,STATE_UT,REG_A_00064,REG_B_00064,GSDP_PER_CAPITA,18.344,29.931,-11.587,-38.712,48,44,56.59,51.52,0.4242,98.537,49.821,11.765,-5.564,12.651,34.752
2017,DISTRICT_CLUSTER,REG_A_00065,REG_B_00065,GSDP_PER_CAPITA,19.214,59.963,-40.749,-67.957,72,83,21.24,33.62,0.5975,103.86,64.27,6.208,5.657,1.241,73.546
2020,STATE_UT,REG_A_00066,REG_B_00066,WAGE_GROWTH,90.96,85.942,5.018,5.839,28,50,40.9,46.59,0.2957,156.018,96.566,29.069,14.222,3.127,9.089
2025,DISTRICT_CLUSTER,REG_A_00067,REG_B_00067,POP_GROWTH,46.068,39.204,6.864,17.508,36,42,26.35,0.72,0.479,108.917,128.823,28.754,-3.678,-4.59,70.855
2018,DISTRICT_CLUSTER,REG_A_00068,REG_B_00068,HOUSING_AFFORD,83.177,73.23,9.947,13.583,48,59,60.95,8.94,0.4957,136.942,47.773,29.941,4.765,-3.901,52.268
2018,STATE_UT,REG_A_00069,REG_B_00069,POP_GROWTH,81.697,94.493,-12.796,-13.542,82,78,41.26,78.12,0.5069,107.718,124.97,8.827,4.989,1.826,66.013
2025,COASTAL_INLAND,REG_A_00070,REG_B_00070,EXPORT_INTENSITY,71.984,58.104,13.88,23.888,98,12,12.08,26.68,0.4672,75.898,88.249,23.574,-7.434,0.862,8.303
2022,STATE_UT,REG_A_00071,REG_B_00071,JOB_GROWTH,38.21,19.252,18.958,98.473,79,7,0.43,17.91,0.5609,106.269,74.378,12.49,8.239,0.021,71.043
2023,STATE_UT,REG_A_00072,REG_B_00072,EXPORT_INTENSITY,53.126,28.084,25.042,89.168,31,98,28.29,87.76,0.5569,115.091,96.89,32.083,18.412,9.814,79.753
2017,DISTRICT_CLUSTER,REG_A_00073,REG_B_00073,JOB_GROWTH,50.235,35.353,14.882,42.095,75,95,94.84,39.13,0.38,160.002,134.685,10.177,-7.55,7.297,34.286
2016,REGION_ZONE,REG_A_00074,REG_B_00074,EXPORT_INTENSITY,70.267,78.264,-7.997,-10.218,56,59,9.99,61.0,0.5563,154.402,120.88,7.383,17.626,1.973,75.331
2023,REGION_ZONE,REG_A_00075,REG_B_00075,EXPORT_INTENSITY,26.063,91.613,-65.55,-71.551,59,49,42.49,56.24,0.2084,74.177,107.59,27.561,15.124,13.324,80.88
2019,REGION_ZONE,REG_A_00076,REG_B_00076,UNEMP_RATE,85.781,39.652,46.129,116.335,25,21,99.35,63.69,0.474,154.763,70.279,27.66,15.051,7.758,28.011
2022,STATE_UT,REG_A_00077,REG_B_00077,UNEMP_RATE,9.94,43.268,-33.328,-77.027,11,58,5.96,30.27,0.2481,167.485,100.946,14.71,-7.179,12.563,51.062
2018,REGION_ZONE,REG_A_00078,REG_B_00078,HOUSING_AFFORD,12.049,47.589,-35.54,-74.681,43,36,0.87,4.88,0.598,161.588,76.859,24.751,19.133,12.864,97.407
2019,COASTAL_INLAND,REG_A_00079,REG_B_00079,INFLATION_CPI,38.086,43.735,-5.649,-12.916,49,32,87.43,9.64,0.264,84.059,63.568,30.391,19.281,3.401,96.897
2020,REGION_ZONE,REG_A_00080,REG_B_00080,WAGE_GROWTH,94.083,89.391,4.692,5.249,15,62,65.8,10.23,0.2388,152.876,56.026,13.951,8.723,3.892,20.31
2020,METRO_TIER,REG_A_00081,REG_B_00081,STARTUP_DENSITY,33.905,15.577,18.328,117.661,42,4,72.54,38.48,0.5673,106.812,124.739,16.447,17.516,12.151,23.877
2020,STATE_UT,REG_A_00082,REG_B_00082,HOUSING_AFFORD,70.107,91.676,-21.569,-23.527,59,13,44.19,5.07,0.4132,157.103,115.17,31.198,-9.647,10.958,34.083
2017,METRO_TIER,REG_A_00083,REG_B_00083,INFLATION_CPI,48.305,94.935,-46.63,-49.118,63,15,86.46,82.83,0.564,98.344,131.226,25.377,14.73,3.995,44.981
2019,COASTAL_INLAND,REG_A_00084,REG_B_00084,INFLATION_CPI,75.394,6.192,69.202,1117.603,46,1,96.23,4.88,0.5184,107.298,109.792,22.279,-6.249,-4.362,57.46
2022,REGION_ZONE,REG_A_00085,REG_B_00085,POP_GROWTH,67.126,27.597,39.529,143.237,45,46,68.52,50.35,0.5021,102.432,59.997,23.288,-2.678,3.546,70.344
2024,METRO_TIER,REG_A_00086,REG_B_00086,INFLATION_CPI,19.169,81.421,-62.252,-76.457,100,90,0.36,79.02,0.4165,80.702,126.197,17.948,-8.964,14.03,99.956
2025,STATE_UT,REG_A_00087,REG_B_00087,GSDP_PER_CAPITA,78.018,37.767,40.251,106.577,58,92,91.86,72.59,0.4018,130.711,130.933,33.428,3.294,14.771,77.757
2019,STATE_UT,REG_A_00088,REG_B_00088,UNEMP_RATE,21.058,37.465,-16.407,-43.793,87,84,88.8,58.67,0.4208,86.43,83.328,31.236,8.536,9.809,58.52
2021,COASTAL_INLAND,REG_A_00089,REG_B_00089,EXPORT_INTENSITY,66.754,80.565,-13.811,-17.143,53,85,74.28,12.3,0.5332,149.604,84.389,29.079,-2.753,-3.658,15.773
2018,DISTRICT_CLUSTER,REG_A_00090,REG_B_00090,JOB_GROWTH,96.789,70.86,25.929,36.592,5,46,3.66,67.14,0.286,130.766,61.986,30.475,4.987,12.277,35.71
2021,DISTRICT_CLUSTER,REG_A_00091,REG_B_00091,POP_GROWTH,10.199,35.919,-25.72,-71.606,71,26,57.04,7.0,0.2654,148.475,40.269,24.977,19.387,11.016,44.152
2025,REGION_ZONE,REG_A_00092,REG_B_00092,EXPORT_INTENSITY,67.309,89.489,-22.18,-24.785,10,82,20.67,70.42,0.3537,83.265,54.158,29.816,-1.349,3.991,42.956
2023,METRO_TIER,REG_A_00093,REG_B_00093,UNEMP_RATE,50.846,79.915,-29.069,-36.375,7,49,35.41,78.39,0.276,108.358,83.54,5.073,8.845,13.276,3.356
2018,DISTRICT_CLUSTER,REG_A_00094,REG_B_00094,POP_GROWTH,57.85,17.776,40.074,225.439,54,86,96.16,29.83,0.5076,72.963,99.206,31.137,19.542,3.509,95.898
2017,DISTRICT_CLUSTER,REG_A_00095,REG_B_00095,JOB_GROWTH,2.13,66.727,-64.597,-96.808,28,85,4.87,5.48,0.4,115.312,67.518,6.407,7.42,-3.927,89.66
2021,METRO_TIER,REG_A_00096,REG_B_00096,INFLATION_CPI,89.936,51.445,38.491,74.82,9,34,7.64,61.32,0.4341,87.199,65.171,24.949,-8.021,8.824,91.084
2024,METRO_TIER,REG_A_00097,REG_B_00097,UNEMP_RATE,74.513,39.882,34.631,86.834,46,8,55.78,32.47,0.2072,126.532,57.19,31.543,-7.163,14.94,36.923
2022,STATE_UT,REG_A_00098,REG_B_00098,JOB_GROWTH,56.763,53.575,3.188,5.951,99,73,63.57,23.95,0.4827,133.008,63.423,12.898,-6.159,8.472,46.754
2019,STATE_UT,REG_A_00099,REG_B_00099,INFLATION_CPI,19.527,96.144,-76.617,-79.69,57,45,98.35,90.68,0.5775,127.231,41.355,28.538,-0.409,4.008,62.605
2023,REGION_ZONE,REG_A_00100,REG_B_00100,COST_OF_LIVING,28.337,29.101,-0.764,-2.625,65,77,19.55,0.8,0.305,70.862,127.441,31.369,15.422,10.229,94.28
2025,METRO_TIER,REG_A_00101,REG_B_00101,POWER_OUTAGE_HOURS,1.893,21.337,-19.444,-91.128,6,18,27.73,13.87,0.2145,167.514,113.536,8.026,-9.897,8.794,95.848
2017,COASTAL_INLAND,REG_A_00102,REG_B_00102,EXPORT_INTENSITY,83.592,12.079,71.513,592.044,14,45,91.44,21.04,0.558,150.167,122.254,16.173,14.728,-1.131,27.571
2022,COASTAL_INLAND,REG_A_00103,REG_B_00103,COST_OF_LIVING,87.097,30.474,56.623,185.808,65,4,3.4,80.51,0.25,141.01,106.474,30.99,6.763,4.868,73.278
2020,METRO_TIER,REG_A_00104,REG_B_00104,STARTUP_DENSITY,87.22,4.146,83.074,2003.714,2,9,71.7,75.66,0.3327,121.52,127.287,22.405,11.695,-4.826,39.005
2020,REGION_ZONE,REG_A_00105,REG_B_00105,INFLATION_CPI,59.828,9.143,50.685,554.359,10,77,74.44,64.59,0.3723,95.721,128.248,20.318,0.653,3.96,77.265
2016,STATE_UT,REG_A_00106,REG_B_00106,WAGE_GROWTH,76.702,52.093,24.609,47.241,23,92,4.66,94.93,0.2866,127.752,91.293,15.584,3.4,10.17,77.856
2025,REGION_ZONE,REG_A_00107,REG_B_00107,UNEMP_RATE,39.918,19.366,20.552,106.124,39,52,6.49,47.31,0.5344,129.117,83.713,11.19,1.056,8.763,59.356
2024,DISTRICT_CLUSTER,REG_A_00108,REG_B_00108,JOB_GROWTH,21.092,46.093,-25.001,-54.24,99,69,70.24,9.3,0.378,99.853,78.436,34.574,17.225,3.706,68.865
2021,COASTAL_INLAND,REG_A_00109,REG_B_00109,GSDP_PER_CAPITA,77.824,37.189,40.635,109.266,73,11,34.69,84.46,0.4154,152.128,102.491,17.053,5.861,5.916,29.899
2023,REGION_ZONE,REG_A_00110,REG_B_00110,POWER_OUTAGE_HOURS,50.372,87.672,-37.3,-42.545,90,49,10.95,39.72,0.5626,93.532,128.45,5.022,-4.911,-1.803,55.155
2018,REGION_ZONE,REG_A_00111,REG_B_00111,STARTUP_DENSITY,57.478,22.056,35.422,160.6,34,10,42.41,12.25,0.2891,110.462,112.667,34.392,-9.441,11.002,71.912
2017,REGION_ZONE,REG_A_00112,REG_B_00112,STARTUP_DENSITY,99.939,38.045,61.894,162.686,81,86,7.49,8.59,0.3131,90.905,126.823,5.409,19.32,4.554,69.018
2021,DISTRICT_CLUSTER,REG_A_00113,REG_B_00113,POWER_OUTAGE_HOURS,12.971,86.169,-73.198,-84.947,99,13,51.06,61.79,0.3208,109.043,112.906,6.541,17.325,3.324,35.728
2017,COASTAL_INLAND,REG_A_00114,REG_B_00114,POWER_OUTAGE_HOURS,47.256,7.449,39.807,534.394,22,2,2.52,87.5,0.3172,134.017,51.111,12.54,16.062,1.143,52.51
2020,COASTAL_INLAND,REG_A_00115,REG_B_00115,HOUSING_AFFORD,89.445,35.933,53.512,148.922,19,52,12.74,48.85,0.3096,111.482,53.021,9.879,0.637,4.822,78.332
2023,STATE_UT,REG_A_00116,REG_B_00116,UNEMP_RATE,95.361,46.743,48.618,104.011,79,91,68.25,67.92,0.5409,92.563,125.884,28.411,4.001,8.099,56.602
2018,COASTAL_INLAND,REG_A_00117,REG_B_00117,COST_OF_LIVING,9.731,88.324,-78.593,-88.983,4,57,64.81,53.79,0.3717,72.125,62.037,26.672,15.323,-1.287,16.52
2023,METRO_TIER,REG_A_00118,REG_B_00118,POP_GROWTH,97.182,8.036,89.146,1109.333,43,21,45.85,89.88,0.5623,127.848,59.853,21.084,8.264,3.272,85.673
2019,METRO_TIER,REG_A_00119,REG_B_00119,GSDP_PER_CAPITA,63.419,22.974,40.445,176.047,18,43,76.02,10.44,0.2943,118.527,84.923,21.821,-0.887,1.217,40.942
2017,STATE_UT,REG_A_00120,REG_B_00120,POP_GROWTH,93.005,63.251,29.754,47.041,24,32,84.22,93.14,0.2239,105.868,121.898,22.279,11.379,4.294,12.006
2018,REGION_ZONE,REG_A_00121,REG_B_00121,WAGE_GROWTH,85.483,27.544,57.939,210.351,39,56,51.11,25.77,0.518,105.776,116.951,10.483,8.208,-2.662,93.407
2024,REGION_ZONE,REG_A_00122,REG_B_00122,JOB_GROWTH,99.949,7.714,92.235,1195.683,2,12,87.9,2.11,0.283,126.525,136.155,27.707,15.213,14.499,81.463
2021,STATE_UT,REG_A_00123,REG_B_00123,STARTUP_DENSITY,77.622,31.21,46.412,148.709,52,46,71.35,29.54,0.2496,165.503,110.954,7.225,11.594,9.497,86.448
2024,DISTRICT_CLUSTER,REG_A_00124,REG_B_00124,POWER_OUTAGE_HOURS,24.502,57.422,-32.92,-57.33,48,52,7.09,81.9,0.549,119.033,58.655,15.133,5.673,7.004,58.576
2017,COASTAL_INLAND,REG_A_00125,REG_B_00125,GSDP_PER_CAPITA,34.02,68.891,-34.871,-50.618,37,55,11.23,48.57,0.505,166.779,74.804,6.637,14.968,13.824,15.127
2025,DISTRICT_CLUSTER,REG_A_00126,REG_B_00126,POP_GROWTH,6.708,53.014,-46.306,-87.347,67,46,17.63,53.77,0.3907,111.27,109.685,31.517,-5.669,14.314,96.64
2025,STATE_UT,REG_A_00127,REG_B_00127,GSDP_PER_CAPITA,39.351,50.967,-11.616,-22.791,22,55,60.11,70.02,0.4507,152.167,42.584,34.594,14.624,11.43,36.713
2021,STATE_UT,REG_A_00128,REG_B_00128,INFLATION_CPI,67.509,7.717,59.792,774.809,47,59,0.22,90.78,0.3753,111.688,53.363,7.755,-0.84,13.065,76.419
2022,REGION_ZONE,REG_A_00129,REG_B_00129,UNEMP_RATE,26.813,29.784,-2.971,-9.975,38,4,49.84,58.5,0.4907,113.132,86.267,32.056,8.317,11.814,64.839
2024,DISTRICT_CLUSTER,REG_A_00130,REG_B_00130,WAGE_GROWTH,5.032,21.74,-16.708,-76.854,55,92,83.68,62.75,0.2052,110.171,122.016,34.052,4.653,3.449,23.155
2023,DISTRICT_CLUSTER,REG_A_00131,REG_B_00131,POWER_OUTAGE_HOURS,71.353,25.246,46.107,182.631,77,82,34.14,80.25,0.3672,167.759,115.05,14.094,14.92,3.01,66.86
2024,DISTRICT_CLUSTER,REG_A_00132,REG_B_00132,POP_GROWTH,68.169,64.939,3.23,4.974,54,53,51.95,42.28,0.2151,103.778,121.203,32.244,-6.741,8.979,61.619
2022,REGION_ZONE,REG_A_00133,REG_B_00133,HOUSING_AFFORD,7.515,45.915,-38.4,-83.633,51,8,22.65,51.17,0.2785,164.776,88.599,7.051,1.358,-2.151,95.581
2023,METRO_TIER,REG_A_00134,REG_B_00134,HOUSING_AFFORD,23.544,25.255,-1.711,-6.775,85,84,36.0,34.91,0.4303,112.309,90.938,22.264,0.276,6.445,85.318
2023,STATE_UT,REG_A_00135,REG_B_00135,HOUSING_AFFORD,46.399,16.027,30.372,189.505,67,66,29.59,98.51,0.511,123.78,57.844,18.777,10.281,5.908,9.388
