tax_incent_incentive_fiscal_year,tax_incent_incentive_program_id,tax_incent_incentive_type_code,tax_incent_eligible_industry_naics,tax_incent_eligible_activity_code,tax_incent_applications_received,tax_incent_applications_approved,tax_incent_credits_authorized_usd,tax_incent_credits_claimed_usd,tax_incent_beneficiaries_count,tax_incent_jobs_promised_count,tax_incent_jobs_created_verified,tax_incent_capital_investment_promised,tax_incent_capital_investment_verified,tax_incent_clawback_trigger_flag,tax_incent_recapture_amount_usd,tax_incent_performance_reporting_compliance,tax_incent_cost_per_job_estimate,tax_incent_equity_targeting_flag,tax_incent_sunset_date_program
2015,INC000000108,CREDIT,236220,CAPEX,1352,996,1294993933.41,976414340.66,121103,96304,48918,13669339742.42,1242014072.82,1,150789106.93,59.7,19960.23,0,2027-04-11
2023,INC000000109,CREDIT,325412,BROWNFIELD,884,483,1560424684.32,413146036.07,237754,114096,114096,21382320699.03,2987643106.6,0,45826534.85,60.14,3621.04,0,2027-06-23
2017,INC000000110,OTHER,445110,LOCATION,1040,574,94475164.42,26159530.89,169091,52643,46267,20137022930.3,5047003075.39,0,12626728.46,61.1,565.4,1,2035-01-30
2015,INC000000111,CREDIT,454110,LOCATION,1942,1172,370131127.65,207513960.12,204629,75037,46411,20758581944.96,1309648957.05,0,20722824.14,81.35,4471.22,1,2029-09-17
2023,INC000000112,GRANT,311811,HIRING,1536,1156,811685116.36,545323814.09,44256,15195,2810,9867091783.77,6500301825.03,0,76183973.56,31.11,194065.41,1,2032-05-19
2020,INC000000113,REBATE,423450,CLEAN_ENERGY,2106,1708,1294415238.27,516616219.16,143612,91768,19362,13691666102.69,13833205677.92,1,75683141.29,73.08,26681.97,0,2027-08-04
2021,INC000000114,GRANT,454110,INNOVATION,1126,978,1070772746.44,571563257.94,74520,116936,69737,249582196.26,43883180.5,0,83977535.6,63.96,8195.98,0,2035-12-18
2016,INC000000115,EXEMPTION,334111,EXPORT,361,263,763227103.47,138050380.37,229620,99041,57473,11572718900.06,1129473834.0,0,113585436.37,77.84,2402.0,0,2035-08-28
2019,INC000000116,EXEMPTION,423450,LOCATION,1559,1019,508895552.34,348715234.82,227893,69158,56718,14854307470.64,13702089556.31,0,24346747.63,70.99,6148.23,1,2033-08-25
2019,INC000000117,LOAN,454110,R_AND_D,843,792,1589762608.21,1201826430.66,75902,39756,18100,10508073226.6,6264338548.92,0,197770474.29,54.18,66399.25,0,2030-01-23
2016,INC000000118,CREDIT,541511,EXPORT,1244,452,1052317584.4,637790990.65,41520,97798,93900,20465675322.45,16170488640.17,0,64673394.2,52.5,6792.24,0,2027-10-02
2016,INC000000119,LOAN,541511,HIRING,577,472,1374289313.09,195645740.48,39304,51756,26982,22410497808.76,15925736961.18,1,22529471.04,36.56,7250.97,1,2030-02-27
2008,INC000000120,REBATE,541511,LOCATION,1881,1251,1265344126.01,539471684.92,36041,3962,3413,13188226605.69,9913489883.22,0,117958354.25,25.4,158063.78,0,2031-11-01
2022,INC000000121,LOAN,236220,EXPORT,1464,999,487474090.51,328341269.64,67110,107994,30079,24989275118.79,24844515713.26,0,66713651.63,39.21,10915.96,0,2032-11-17
2008,INC000000122,CREDIT,454110,R_AND_D,42,29,915418132.41,759403533.56,198225,97021,97021,20338651198.22,4416730540.28,0,41364569.78,31.21,7827.21,0,2027-05-09
2024,INC000000123,EXEMPTION,236220,HIRING,736,461,587649180.72,529140780.68,215292,14848,3955,4166325165.56,3211423452.27,1,64608834.82,13.93,133790.34,0,2027-10-14
2022,INC000000124,REBATE,512110,R_AND_D,313,234,1193106184.36,428449669.22,184161,119133,87707,17796190.81,7730697.38,1,133469760.19,4.84,4885.01,1,2034-01-12
2021,INC000000125,ABATEMENT,512110,CAPEX,2459,2279,63565618.45,58491585.85,175020,62101,57808,9191090156.09,7647200410.46,0,8810207.79,34.04,1011.83,1,2032-03-28
2007,INC000000126,CREDIT,311811,EXPORT,963,805,1805751718.46,1733491395.49,96783,107831,50055,10792435459.86,1020864914.34,0,71929975.25,23.67,34631.73,1,2029-01-13
2025,INC000000127,REBATE,237310,HIRING,2346,638,8404112.33,904667.49,242733,36767,10564,21569910902.67,10146369500.29,0,402168.32,39.3,85.64,0,2027-11-04
2015,INC000000128,CREDIT,423450,R_AND_D,1757,1184,1841797872.98,839222326.51,227523,17994,11552,15586727617.85,1692379801.07,0,80585852.08,17.27,72647.36,1,2031-01-26
2025,INC000000129,ABATEMENT,236220,BROWNFIELD,2390,2196,1731573880.08,1673336845.85,242707,23383,4726,16914841712.89,4363507292.72,0,256385479.17,74.44,354070.43,0,2033-11-27
2018,INC000000130,REBATE,445110,LOCATION,53,44,1611265889.97,940954505.83,215655,92525,46456,15686882076.12,6444383590.46,1,3062916.23,26.64,20254.75,0,2034-04-26
2025,INC000000131,CREDIT,237310,LOCATION,1136,1022,1798073388.21,832712111.62,67714,34440,34440,6613023296.2,5745139104.24,0,211931600.06,50.05,24178.63,0,2033-01-29
2019,INC000000132,CREDIT,512110,EXPORT,275,187,989324977.17,421685555.66,29181,102495,61120,10434979665.9,5737093677.49,0,87090699.28,70.6,6899.31,1,2029-03-12
2012,INC000000133,ABATEMENT,237310,EXPORT,929,761,382543511.57,74996015.96,10108,81170,21344,18491516851.17,5320020043.87,0,3160406.86,49.77,3513.68,1,2027-12-24
2015,INC000000134,CREDIT,334111,TRAINING,1099,1004,1828900267.21,944800558.31,22878,29219,23549,10942990226.46,2671229011.7,0,26595352.08,93.0,40120.62,0,2033-05-24
2021,INC000000135,REBATE,454110,R_AND_D,374,242,275262463.69,148374886.25,84039,48499,15645,15055453157.97,8326675527.32,0,23762524.7,44.15,9483.85,0,2035-02-13
2015,INC000000136,CREDIT,512110,EXPORT,2299,829,1681550295.95,1476633784.61,63392,21929,15125,6185758565.93,3811102427.37,1,28667703.34,21.9,97628.68,0,2031-08-22
2019,INC000000137,REBATE,325412,EXPORT,1629,615,1132426080.09,307738076.44,121819,15992,11515,4061952296.67,324649926.48,0,152339853.08,52.49,26724.97,1,2034-07-03
2021,INC000000138,EXEMPTION,237310,R_AND_D,239,187,435332001.62,266043699.8,249743,248,158,17123786722.75,1084849220.56,0,610647.6,51.46,1683820.88,1,2034-07-10
2012,INC000000139,EXEMPTION,325412,INNOVATION,2345,1309,36423691.5,14134182.39,101053,71027,62918,15012738038.98,10731511127.68,0,1105360.33,37.44,224.64,0,2026-11-07
2020,INC000000140,CREDIT,541511,BROWNFIELD,2421,1411,1692987338.01,663152036.48,199581,4673,4388,7846471491.92,3864923744.54,0,42409540.76,46.51,151128.54,1,2034-01-19
2016,INC000000141,CREDIT,334111,R_AND_D,609,279,1007429819.35,799256614.43,246845,45248,26845,16690091097.1,1025292922.01,0,74324633.47,79.63,29773.02,0,2030-06-19
2016,INC000000142,CREDIT,325412,CAPEX,272,249,1226832583.44,994917302.33,131013,14609,11674,19645888402.34,11961369677.59,0,123105545.01,42.0,85225.06,1,2026-01-20
2019,INC000000143,EXEMPTION,454110,INNOVATION,1370,1255,424871244.25,406517304.8,125279,97841,32068,21948767147.89,11778912200.84,0,38556707.96,71.32,12676.73,1,2026-09-19
2024,INC000000144,ABATEMENT,541511,HIRING,2261,1571,1946357631.76,1957338554.23,212120,82722,64524,3544778819.35,2885681517.18,0,11389380.72,93.95,30335.05,1,2030-09-15
2012,INC000000145,CREDIT,311811,CAPEX,159,48,1990026904.13,709728044.15,18548,2886,1188,13547752098.19,11486076423.06,0,203295424.69,19.35,597414.18,1,2028-01-22
2008,INC000000146,CREDIT,621111,EXPORT,1878,1598,1715884241.68,1346024389.18,192670,71646,71646,11998999329.7,5653196130.16,0,219653779.43,40.47,18787.15,0,2033-05-10
