qol_green_reference_year,qol_green_city_id,qol_green_country_iso2,qol_green_population_city,qol_green_green_space_m2_per_capita,qol_green_tree_canopy_cover_pct,qol_green_park_access_10min_walk_pct,qol_green_active_mobility_infrastructure_index,qol_green_air_quality_index,qol_green_noise_exposure_index,qol_green_heat_island_index,qol_green_flood_risk_exposure_pct,qol_green_waste_recycling_rate_pct,qol_green_water_leakage_rate_pct,qol_green_public_transport_accessibility_index,qol_green_housing_energy_efficiency_index,qol_green_climate_neutral_city_mission_flag,qol_green_data_source,qol_green_last_update_date,qol_green_data_extract_date
2006,CITY_GR_2443,GR,4309894,61.14,21.23,79.55,43.2,58.74,64.9,92.53,8.69,42.15,13.14,57.93,46.48,0,URBAN_AUDIT,2010-05-21,2024-07-16
2007,CITY_LT_2480,LT,387113,32.55,10.88,64.68,73.78,78.15,71.63,37.02,6.19,54.96,11.36,75.72,44.33,0,COPERNICUS_URBAN_ATLAS,2010-06-27,2025-03-13
2008,CITY_PT_2517,PT,4424786,13.35,21.31,77.87,56.82,82.36,44.72,49.27,7.36,45.62,26.14,77.9,59.58,0,CITY_ADMIN_DATA,2010-08-03,2025-02-01
2009,CITY_SE_2554,SE,3180255,44.96,36.52,85.19,95.33,65.52,83.67,57.69,12.1,28.34,6.12,71.69,78.69,0,EEA_CITY_ENV_EXPORT,2010-09-09,2025-10-15
2010,CITY_CY_2591,CY,5767907,33.72,22.89,58.85,75.95,61.67,58.85,34.82,4.11,32.57,20.58,63.96,34.47,0,URBAN_AUDIT,2010-10-16,2025-03-10
2011,CITY_FR_2628,FR,6614908,51.45,34.43,79.6,60.77,74.43,82.33,39.69,11.75,19.64,13.86,40.48,35.5,0,COPERNICUS_URBAN_ATLAS,2010-11-22,2025-07-21
2012,CITY_IT_2665,IT,1103448,23.69,9.95,76.31,40.2,52.2,56.17,19.55,9.64,23.84,6.9,95.95,38.77,0,CITY_ADMIN_DATA,2010-12-29,2025-07-20
2013,CITY_NL_2702,NL,1468438,9.05,26.6,67.69,46.08,55.76,30.78,63.98,20.42,57.87,23.44,57.64,78.56,0,EEA_CITY_ENV_EXPORT,2011-02-04,2024-03-13
2014,CITY_SI_2739,SI,1765491,22.16,29.07,47.74,32.37,78.44,58.51,48.15,10.41,56.24,16.7,84.38,56.46,0,URBAN_AUDIT,2011-03-13,2025-03-31
2015,CITY_BG_2776,BG,516973,23.92,30.49,67.06,71.78,72.31,25.52,58.57,16.32,57.76,28.09,85.59,63.55,0,COPERNICUS_URBAN_ATLAS,2011-04-19,2024-10-16
2016,CITY_EE_2813,EE,4796502,24.81,28.7,84.23,43.45,51.29,40.77,42.35,5.85,49.47,8.47,44.35,76.2,0,CITY_ADMIN_DATA,2011-05-26,2024-10-28
2017,CITY_HU_2850,HU,4479489,30.63,38.2,63.31,52.23,68.04,39.82,72.38,4.54,34.06,18.46,70.15,32.77,0,EEA_CITY_ENV_EXPORT,2011-07-02,2024-11-04
2018,CITY_LU_2887,LU,3915505,54.72,11.55,52.34,38.02,66.86,34.9,37.22,9.81,34.29,7.85,54.02,84.94,0,URBAN_AUDIT,2011-08-08,2024-10-08
2019,CITY_RO_2924,RO,3555711,59.22,38.02,87.38,45.17,34.31,68.97,16.77,8.89,52.84,20.73,90.83,75.86,0,COPERNICUS_URBAN_ATLAS,2011-09-14,2025-12-16
2020,CITY_AT_2961,AT,2632294,37.83,16.2,85.08,34.03,80.21,59.05,60.07,14.44,49.78,25.07,60.44,69.03,0,CITY_ADMIN_DATA,2011-10-21,2025-08-09
2021,CITY_CZ_2998,CZ,3835895,38.84,32.48,62.13,69.56,49.96,64.63,55.59,10.0,57.7,23.53,56.06,45.29,0,EEA_CITY_ENV_EXPORT,2011-11-27,2024-09-25
2022,CITY_DE_3035,DE,1719427,25.11,23.49,51.23,52.42,44.72,26.72,67.39,15.66,32.87,11.31,91.39,87.29,0,URBAN_AUDIT,2012-01-03,2024-07-22
2023,CITY_LV_3072,LV,2225987,33.14,19.69,93.24,72.56,75.25,54.87,56.44,2.16,40.09,11.11,92.11,47.71,1,COPERNICUS_URBAN_ATLAS,2012-02-09,2025-03-23
2024,CITY_PL_3109,PL,4275032,30.1,26.39,96.66,68.28,36.61,47.99,67.91,16.89,26.29,25.06,91.0,82.43,0,CITY_ADMIN_DATA,2012-03-17,2025-05-22
2025,CITY_ES_3146,ES,6001744,44.26,35.12,95.01,34.85,61.31,36.7,55.86,16.2,54.46,11.86,98.6,37.59,0,EEA_CITY_ENV_EXPORT,2012-04-23,2025-07-21
2006,CITY_HR_3183,HR,3725465,43.52,34.0,49.04,30.27,51.99,41.87,45.41,1.6,24.42,25.26,48.79,50.87,0,URBAN_AUDIT,2012-05-30,2025-11-15
2007,CITY_FI_3220,FI,1510940,64.99,11.57,54.33,70.69,63.27,79.3,57.6,12.14,49.09,7.49,84.23,47.08,0,COPERNICUS_URBAN_ATLAS,2012-07-06,2024-10-22
2008,CITY_IE_3257,IE,4953011,48.36,37.63,58.91,41.72,71.71,39.49,39.49,18.42,56.02,18.2,72.55,77.82,0,CITY_ADMIN_DATA,2012-08-12,2024-12-25
2009,CITY_MT_3294,MT,4182625,17.09,10.29,73.03,41.25,76.92,33.06,31.92,2.45,40.48,18.68,41.04,73.34,0,EEA_CITY_ENV_EXPORT,2012-09-18,2025-08-09
2010,CITY_SK_3331,SK,5600162,47.0,15.83,43.71,67.88,85.86,61.22,29.4,15.14,50.24,6.31,69.22,49.92,0,URBAN_AUDIT,2012-10-25,2024-03-27
2011,CITY_BE_3368,BE,5910748,48.03,29.26,72.23,23.73,54.34,69.14,31.48,7.36,36.4,18.39,74.09,37.16,0,COPERNICUS_URBAN_ATLAS,2012-12-01,2024-10-19
2012,CITY_DK_3405,DK,2998885,31.67,11.13,45.43,76.95,72.32,67.38,71.86,2.69,25.68,22.45,72.96,67.64,0,CITY_ADMIN_DATA,2013-01-07,2026-01-25
2013,CITY_GR_3442,GR,2179233,30.24,27.1,82.73,70.61,58.39,60.96,24.46,1.02,58.26,25.4,67.71,71.69,0,EEA_CITY_ENV_EXPORT,2013-02-13,2024-11-04
2014,CITY_LT_3479,LT,2708218,38.88,28.98,65.93,41.54,55.75,46.09,71.42,3.09,38.99,14.03,66.22,76.33,0,URBAN_AUDIT,2013-03-22,2024-07-23
2015,CITY_PT_3516,PT,5715837,49.04,28.02,64.34,59.58,59.14,87.1,65.11,10.45,54.06,6.79,69.84,52.41,0,COPERNICUS_URBAN_ATLAS,2013-04-28,2024-01-16
2016,CITY_SE_3553,SE,1772491,35.73,34.58,48.78,84.67,40.96,67.85,48.08,11.2,20.48,20.02,75.85,36.14,0,CITY_ADMIN_DATA,2013-06-04,2024-10-14
2017,CITY_CY_3590,CY,4618640,56.92,30.03,88.67,39.35,59.75,57.37,73.76,5.65,43.12,8.67,87.29,49.27,0,EEA_CITY_ENV_EXPORT,2013-07-11,2024-09-09
2018,CITY_FR_3627,FR,5268927,10.22,12.1,79.55,63.17,72.13,51.03,34.67,10.03,45.64,24.15,41.35,86.67,0,URBAN_AUDIT,2013-08-17,2025-01-10
2019,CITY_IT_3664,IT,3862627,49.56,15.75,73.48,47.0,47.33,33.57,69.17,1.86,53.49,18.4,63.44,69.03,0,COPERNICUS_URBAN_ATLAS,2013-09-23,2024-06-14
2020,CITY_NL_3701,NL,1427673,27.13,7.5,44.02,66.33,57.43,26.32,72.6,9.91,34.76,8.91,63.17,80.96,0,CITY_ADMIN_DATA,2013-10-30,2024-12-10
2021,CITY_SI_3738,SI,4068666,9.66,30.58,78.48,73.36,56.17,40.43,37.58,4.01,43.68,19.11,83.12,75.92,0,EEA_CITY_ENV_EXPORT,2013-12-06,2024-04-07
2022,CITY_BG_3775,BG,3461847,28.59,14.8,64.64,64.72,61.59,71.59,41.38,8.27,22.47,7.08,75.28,58.72,0,URBAN_AUDIT,2014-01-12,2025-11-25
2023,CITY_EE_3812,EE,2781740,28.99,21.62,53.25,61.06,53.08,25.95,64.2,11.21,22.92,5.74,62.25,48.42,0,COPERNICUS_URBAN_ATLAS,2014-02-18,2024-06-03
2024,CITY_HU_3849,HU,3868640,18.34,23.51,77.12,77.35,86.47,60.61,21.59,15.05,20.88,26.22,38.74,42.92,0,CITY_ADMIN_DATA,2014-03-27,2026-01-24
2025,CITY_LU_3886,LU,2807782,36.29,26.97,96.9,38.02,34.77,50.26,21.57,13.88,39.82,6.34,98.03,85.96,0,EEA_CITY_ENV_EXPORT,2014-05-03,2024-07-12
2006,CITY_RO_3923,RO,5539155,42.88,12.38,74.51,23.28,50.22,73.34,68.89,13.72,41.13,30.99,50.54,72.06,0,URBAN_AUDIT,2014-06-09,2025-11-20
2007,CITY_AT_3960,AT,3446108,23.03,17.72,71.59,42.32,61.59,59.07,71.6,2.26,51.29,19.19,63.56,83.32,0,COPERNICUS_URBAN_ATLAS,2014-07-16,2024-09-16
2008,CITY_CZ_3997,CZ,2670476,15.09,8.84,72.97,30.71,83.5,23.5,47.31,6.44,50.23,15.05,75.03,77.15,0,CITY_ADMIN_DATA,2014-08-22,2024-06-23
2009,CITY_DE_4034,DE,2862513,30.86,17.72,59.72,66.54,52.68,81.28,64.57,4.06,57.05,19.48,90.54,71.14,0,EEA_CITY_ENV_EXPORT,2014-09-28,2024-06-22
2010,CITY_LV_4071,LV,4968053,19.18,24.92,61.12,73.61,36.32,64.22,62.28,1.26,49.1,25.28,50.83,67.79,0,URBAN_AUDIT,2014-11-04,2024-07-29
2011,CITY_PL_4108,PL,6139485,38.76,16.68,83.12,66.4,61.85,48.0,17.07,18.49,49.52,21.67,38.55,37.03,0,COPERNICUS_URBAN_ATLAS,2014-12-11,2025-09-07
2012,CITY_ES_4145,ES,5025145,8.01,28.87,56.75,31.53,66.79,40.51,37.02,15.98,43.43,11.91,78.2,58.81,0,CITY_ADMIN_DATA,2015-01-17,2026-01-15
2013,CITY_HR_4182,HR,6100453,34.91,11.48,64.9,66.65,45.19,62.3,37.87,6.56,48.73,12.99,44.7,77.48,0,EEA_CITY_ENV_EXPORT,2015-02-23,2025-03-03
2014,CITY_FI_4219,FI,3207224,64.16,28.6,75.92,60.67,54.78,32.16,47.3,3.17,18.11,7.73,97.51,58.17,0,URBAN_AUDIT,2015-04-01,2025-01-27
2015,CITY_IE_4256,IE,4183027,12.58,29.79,89.61,73.2,67.12,78.22,21.74,1.36,38.87,19.25,45.25,32.4,0,COPERNICUS_URBAN_ATLAS,2015-05-08,2025-02-02
2016,CITY_MT_4293,MT,5179489,49.85,12.36,79.74,76.51,77.48,68.97,23.99,6.62,45.66,26.19,80.1,69.16,0,CITY_ADMIN_DATA,2015-06-14,2024-01-09
2017,CITY_SK_4330,SK,5206722,57.01,24.29,85.25,32.49,80.34,28.49,34.35,5.8,44.9,12.79,49.92,34.84,0,EEA_CITY_ENV_EXPORT,2015-07-21,2024-08-28
2018,CITY_BE_4367,BE,5443417,55.16,27.67,88.99,79.44,86.17,27.5,41.22,13.59,20.54,17.03,41.22,39.57,0,URBAN_AUDIT,2015-08-27,2024-02-04
2019,CITY_DK_4404,DK,5781595,61.9,9.24,60.27,54.51,83.47,64.85,72.18,14.83,39.98,23.0,40.68,74.33,0,COPERNICUS_URBAN_ATLAS,2015-10-03,2024-11-12
2020,CITY_GR_4441,GR,5594016,43.76,33.89,57.09,35.36,75.47,38.46,23.85,18.11,38.59,7.43,74.72,68.94,0,CITY_ADMIN_DATA,2015-11-09,2025-07-23
2021,CITY_LT_4478,LT,3522600,10.8,28.09,91.31,57.77,84.28,34.52,64.6,5.53,31.11,13.34,69.37,58.86,0,EEA_CITY_ENV_EXPORT,2015-12-16,2024-09-08
2022,CITY_PT_4515,PT,5619839,49.83,12.92,75.61,55.86,77.78,60.9,69.23,3.68,43.05,7.02,65.34,44.27,0,URBAN_AUDIT,2016-01-22,2025-12-23
2023,CITY_SE_4552,SE,362042,65.86,22.79,89.22,49.62,84.4,46.39,18.09,12.38,49.35,17.21,82.44,64.56,0,COPERNICUS_URBAN_ATLAS,2016-02-28,2025-01-26
2024,CITY_CY_4589,CY,5764977,51.54,26.91,92.85,71.58,56.85,51.5,57.38,16.98,30.26,12.87,42.94,54.07,1,CITY_ADMIN_DATA,2016-04-05,2026-02-14
2025,CITY_FR_4626,FR,274850,45.11,37.64,80.14,70.72,79.14,64.92,18.89,11.89,24.64,16.45,54.2,45.65,0,EEA_CITY_ENV_EXPORT,2016-05-12,2025-04-04
2006,CITY_IT_4663,IT,1188295,44.7,33.38,81.52,46.71,74.38,45.33,53.31,17.27,31.32,19.45,51.39,75.22,0,URBAN_AUDIT,2016-06-18,2025-05-21
2007,CITY_NL_4700,NL,724822,59.94,18.68,56.24,40.06,60.5,66.51,66.81,10.93,23.69,22.82,41.78,62.17,0,COPERNICUS_URBAN_ATLAS,2016-07-25,2024-11-24
2008,CITY_SI_4737,SI,3516764,59.83,15.66,76.04,64.19,63.15,28.26,45.89,12.44,37.86,12.5,79.65,32.29,0,CITY_ADMIN_DATA,2016-08-31,2024-11-18
2009,CITY_BG_4774,BG,700271,61.35,12.79,86.24,27.04,57.19,60.49,25.73,13.24,26.43,31.01,71.69,79.09,0,EEA_CITY_ENV_EXPORT,2016-10-07,2024-07-15
2010,CITY_EE_4811,EE,436021,26.07,16.85,71.57,62.24,34.17,25.21,55.59,14.11,39.55,23.08,52.17,78.9,0,URBAN_AUDIT,2016-11-13,2025-04-12
2011,CITY_HU_4848,HU,442125,52.32,30.09,92.32,38.9,33.31,21.35,63.83,18.08,42.09,20.41,57.41,78.12,0,COPERNICUS_URBAN_ATLAS,2016-12-20,2026-02-22
2012,CITY_LU_4885,LU,605608,60.88,19.27,66.79,34.92,77.7,36.66,60.55,1.57,25.88,14.85,43.21,69.96,0,CITY_ADMIN_DATA,2017-01-26,2025-08-25
2013,CITY_RO_4922,RO,3022229,37.12,37.24,70.94,27.95,55.76,55.08,23.01,16.11,37.88,18.64,49.2,55.3,0,EEA_CITY_ENV_EXPORT,2017-03-04,2024-04-24
2014,CITY_AT_4959,AT,2918458,49.32,27.46,65.36,38.63,75.53,68.73,33.07,9.75,58.73,21.82,66.25,80.66,0,URBAN_AUDIT,2017-04-10,2024-04-13
2015,CITY_CZ_4996,CZ,2352952,52.21,21.62,60.4,45.53,69.38,82.79,51.0,6.0,40.79,16.7,67.16,76.15,0,COPERNICUS_URBAN_ATLAS,2017-05-17,2024-02-29
2016,CITY_DE_5033,DE,7168046,9.49,31.58,84.72,52.79,69.55,38.21,30.2,18.06,36.78,20.15,68.95,39.41,0,CITY_ADMIN_DATA,2017-06-23,2024-12-31
2017,CITY_LV_5070,LV,5605180,31.03,14.66,63.14,68.71,55.84,66.52,37.87,6.4,58.32,26.26,40.83,62.68,0,EEA_CITY_ENV_EXPORT,2017-07-30,2025-05-11
2018,CITY_PL_5107,PL,7497847,21.16,12.78,43.11,64.1,46.98,85.6,68.28,15.3,36.3,8.86,86.68,76.57,0,URBAN_AUDIT,2017-09-05,2024-07-12
2019,CITY_ES_5144,ES,6795468,11.38,26.6,83.98,55.08,54.47,78.77,84.13,9.13,33.48,13.04,77.64,40.49,0,COPERNICUS_URBAN_ATLAS,2017-10-12,2025-03-10
2020,CITY_HR_5181,HR,4277099,44.2,15.25,86.59,67.67,65.16,48.41,47.78,16.02,37.49,29.46,54.88,88.64,0,CITY_ADMIN_DATA,2017-11-18,2024-02-02
2021,CITY_FI_5218,FI,6046108,23.01,13.78,77.97,58.09,69.21,49.95,50.03,4.31,49.81,12.71,93.21,42.1,0,EEA_CITY_ENV_EXPORT,2017-12-25,2025-02-25
2022,CITY_IE_5255,IE,5601910,46.7,10.88,71.7,80.78,36.25,51.06,54.09,11.42,52.34,14.47,69.38,59.73,0,URBAN_AUDIT,2018-01-31,2024-10-29
2023,CITY_MT_5292,MT,687386,31.69,20.86,71.79,74.75,61.05,48.83,51.31,8.79,46.46,13.18,61.95,37.18,1,COPERNICUS_URBAN_ATLAS,2018-03-09,2024-06-20
2024,CITY_SK_5329,SK,2302924,60.54,23.71,85.15,39.78,35.54,78.68,67.43,10.69,45.66,11.2,55.57,78.74,0,CITY_ADMIN_DATA,2018-04-15,2024-12-22
2025,CITY_BE_5366,BE,1185426,61.35,19.03,83.98,38.04,45.39,24.98,16.03,6.59,30.81,9.66,45.1,87.01,0,EEA_CITY_ENV_EXPORT,2018-05-22,2025-04-21
2006,CITY_DK_5403,DK,2491298,63.09,21.79,90.57,58.12,71.59,59.6,39.57,18.08,38.91,9.03,43.92,74.0,0,URBAN_AUDIT,2018-06-28,2024-01-27
2007,CITY_GR_5440,GR,1650498,54.4,23.81,96.19,29.43,48.73,42.48,61.3,5.48,51.74,7.07,81.66,67.11,0,COPERNICUS_URBAN_ATLAS,2018-08-04,2025-06-18
2008,CITY_LT_5477,LT,245819,33.28,36.11,83.78,79.64,43.39,61.95,47.18,8.78,38.81,16.31,39.68,47.38,0,CITY_ADMIN_DATA,2018-09-10,2024-01-10
2009,CITY_PT_5514,PT,4533007,9.69,31.79,74.34,68.49,45.92,53.11,79.05,7.35,37.29,24.25,50.55,51.5,0,EEA_CITY_ENV_EXPORT,2018-10-17,2025-12-30
2010,CITY_SE_5551,SE,4293470,9.17,19.27,63.18,91.58,91.91,45.03,75.05,12.54,33.18,6.8,67.8,54.94,0,URBAN_AUDIT,2018-11-23,2025-03-14
2011,CITY_CY_5588,CY,2861569,44.38,22.66,49.87,27.14,38.34,42.52,28.7,17.47,40.29,6.06,48.64,33.27,0,COPERNICUS_URBAN_ATLAS,2018-12-30,2024-03-27
2012,CITY_FR_5625,FR,4301609,54.06,37.55,80.31,58.67,81.73,83.31,16.21,17.78,47.64,11.99,97.5,48.21,0,CITY_ADMIN_DATA,2019-02-05,2024-06-23
2013,CITY_IT_5662,IT,1564096,12.33,16.87,69.39,61.98,34.92,76.01,59.59,1.75,48.47,25.56,54.14,62.35,0,EEA_CITY_ENV_EXPORT,2019-03-14,2025-08-16
2014,CITY_NL_5699,NL,304944,62.13,32.8,83.33,76.85,81.03,43.89,48.24,8.41,32.55,9.44,71.88,72.83,0,URBAN_AUDIT,2019-04-20,2024-09-28
2015,CITY_SI_5736,SI,4999130,60.36,22.4,94.91,80.02,76.65,47.82,60.76,3.63,41.27,24.13,87.49,58.43,0,COPERNICUS_URBAN_ATLAS,2019-05-27,2025-12-10
2016,CITY_BG_5773,BG,762815,50.46,36.29,90.69,47.55,58.26,29.56,51.3,16.25,32.88,20.81,79.71,62.61,0,CITY_ADMIN_DATA,2019-07-03,2025-10-28
2017,CITY_EE_5810,EE,1548388,30.63,32.07,50.47,42.51,82.17,27.39,44.95,11.83,23.46,15.63,93.11,55.76,0,EEA_CITY_ENV_EXPORT,2019-08-09,2025-10-20
2018,CITY_HU_5847,HU,6047024,14.61,28.56,60.27,61.4,70.94,78.82,26.0,9.62,16.6,12.14,96.06,71.16,0,URBAN_AUDIT,2019-09-15,2025-08-06
2019,CITY_LU_5884,LU,922965,8.77,26.96,84.69,58.85,83.35,31.73,33.18,12.78,32.12,19.69,57.57,41.01,0,COPERNICUS_URBAN_ATLAS,2019-10-22,2025-09-02
2020,CITY_RO_5921,RO,2771795,9.19,18.63,58.88,50.95,53.19,39.37,36.26,11.03,42.74,29.79,77.04,72.1,0,CITY_ADMIN_DATA,2019-11-28,2025-12-05
