trans_air_reference_month,trans_air_airport_code,trans_air_country_iso2,trans_air_route_pair_code,trans_air_flights_count,trans_air_passengers_count,trans_air_cargo_tonnes,trans_air_delay_minutes_avg,trans_air_cancellation_rate_pct,trans_air_saf_blend_pct,trans_air_co2e_emissions_tonnes,trans_air_ets_covered_flag,trans_air_eu261_claims_count,trans_air_noise_exposure_index,trans_air_ultra_fine_particles_index,trans_air_air_traffic_management_flow_delay_min,trans_air_eurocontrol_network_manager_flag,trans_air_data_source,trans_air_revision_round,trans_air_data_extract_date
2016-11,GVA,HR,GVA-HEL,5023,686335,9862.62,18.32,7.136,0.092,64764.8,1,1562,0.621,1.4123,13264.36,1,EASA_ENV_REPORT,SECOND,2024-07-30
2016-12,SXF,SK,SXF-BUD,23279,1932819,11410.57,14.36,5.288,0.064,285893.7,1,6768,1.5833,1.644,7487.05,1,CORSIA_REPORTING,BENCHMARK,2024-10-19
2017-01,SOF,FR,SOF-CPH,34361,1328657,199464.16,7.57,2.337,0.155,610274.0,1,4795,1.6317,0.4695,1122.17,1,EUROCONTROL_STATFOR,FLASH,2025-08-05
2017-02,MAD,HU,MAD-GVA,82774,7538250,22302.54,20.95,10.031,0.595,1536043.56,1,19544,1.3121,0.2095,14737.48,1,AIRPORT_OPERATOR_REPORT,FIRST,2024-07-26
2017-03,CPH,LU,CPH-OTP,47934,5846793,131148.42,23.94,2.568,0.536,753137.12,1,17269,1.1404,1.1439,9653.75,1,EASA_ENV_REPORT,SECOND,2024-09-07
2017-04,VIE,SI,VIE-OSL,39940,2378464,104190.78,13.3,1.363,0.425,683602.48,0,7325,1.6545,0.5675,6952.56,0,CORSIA_REPORTING,BENCHMARK,2025-03-25
2017-05,ZRH,CY,ZRH-LGW,11130,2060542,103602.19,14.31,5.17,0.032,148225.55,1,10514,1.1373,1.1389,6133.37,1,EUROCONTROL_STATFOR,FLASH,2024-12-21
2017-06,STN,GR,STN-CDG,41010,5132698,21369.65,3.9,5.425,0.017,790228.02,1,1263,1.2208,1.8531,1649.29,1,AIRPORT_OPERATOR_REPORT,FIRST,2024-12-07
2017-07,BUD,MT,BUD-PRG,23720,3339102,61327.59,18.31,9.841,0.181,410323.8,0,12171,0.0521,1.4637,2204.59,1,EASA_ENV_REPORT,SECOND,2024-03-06
2017-08,FRA,ES,FRA-STN,61884,5244993,7261.47,14.68,4.217,0.575,1110389.39,1,3621,1.0565,0.2963,3484.45,1,CORSIA_REPORTING,BENCHMARK,2025-07-07
2017-09,DUB,DK,DUB-MAD,106312,12589716,222160.81,16.09,0.342,0.664,1120231.68,0,47985,1.6382,0.6616,11215.94,1,EUROCONTROL_STATFOR,FLASH,2024-09-15
2017-10,PRG,HU,PRG-BRU,50576,5218137,199793.06,17.78,1.026,0.107,696472.03,1,18208,1.6798,0.9934,3420.63,1,AIRPORT_OPERATOR_REPORT,FIRST,2025-05-27
2017-11,HEL,NL,HEL-BER,16435,1570790,94482.12,27.87,6.367,0.183,224096.3,1,5199,0.9923,1.5331,4965.36,1,EASA_ENV_REPORT,SECOND,2024-10-21
2017-12,MAN,LV,MAN-FCO,17689,3055136,157166.42,20.83,5.814,0.612,349783.4,1,14900,0.0776,2.0866,13898.39,1,CORSIA_REPORTING,BENCHMARK,2025-09-19
2018-01,HAM,DK,HAM-LIS,44294,4590892,171971.29,6.48,5.889,0.108,818621.62,1,36113,0.4692,1.6419,8235.28,1,EUROCONTROL_STATFOR,FLASH,2025-12-06
2018-02,CDG,IE,CDG-HAM,72086,5257636,200036.61,24.35,7.171,0.623,1361272.16,1,30983,0.1937,0.5064,1085.83,1,AIRPORT_OPERATOR_REPORT,FIRST,2025-04-23
2018-03,MXP,PL,MXP-DUB,40370,4833739,182251.77,20.0,7.334,0.096,419235.19,1,36190,1.118,1.5883,9559.71,1,EASA_ENV_REPORT,SECOND,2025-04-05
2018-04,WAW,AT,WAW-ZRH,48943,8033437,248554.82,26.16,7.458,0.311,521428.41,1,75649,0.9845,0.2496,4567.76,1,CORSIA_REPORTING,BENCHMARK,2025-10-17
2018-05,LIS,HR,LIS-SOF,28113,1709187,16992.91,25.74,9.455,0.63,510945.17,1,14766,0.3298,0.9262,7050.62,1,EUROCONTROL_STATFOR,FLASH,2025-02-15
2018-06,LGW,DK,LGW-ARN,40365,4033310,206944.42,26.81,9.88,0.715,825424.0,1,47786,1.6885,0.2658,702.41,1,AIRPORT_OPERATOR_REPORT,FIRST,2024-07-30
2018-07,MUC,PT,MUC-LHR,13570,1926322,135723.04,18.11,7.7,0.516,234576.8,1,3784,0.5412,0.8777,7882.67,1,EASA_ENV_REPORT,SECOND,2024-07-05
2018-08,AMS,BE,AMS-AMS,40913,2732479,54285.13,16.15,6.233,0.039,639710.86,1,20641,0.2289,0.1933,12379.03,0,CORSIA_REPORTING,BENCHMARK,2024-12-12
2018-09,FCO,LV,FCO-WAW,27430,2126731,52460.81,16.57,3.099,0.409,527951.63,1,7197,0.6576,0.2709,11449.48,0,EUROCONTROL_STATFOR,FLASH,2026-02-02
2018-10,OSL,MT,OSL-MAN,53017,4937954,82395.39,24.63,3.508,0.372,762516.8,1,15484,0.8875,0.8587,11609.79,1,AIRPORT_OPERATOR_REPORT,FIRST,2024-09-29
2018-11,ATH,RO,ATH-FRA,15678,1226240,17199.71,3.5,6.681,0.035,240767.76,0,13476,1.5647,1.8218,8039.86,1,EASA_ENV_REPORT,SECOND,2025-02-10
2018-12,LHR,SI,LHR-VIE,90659,11064908,190754.21,17.66,3.344,0.741,1538176.52,1,118183,0.7396,0.4976,13652.7,1,CORSIA_REPORTING,BENCHMARK,2024-12-08
2019-01,BER,AT,BER-SXF,55565,5738231,24848.37,20.92,5.68,0.591,637672.64,1,36829,0.8728,2.0471,12837.66,1,EUROCONTROL_STATFOR,FLASH,2025-03-28
2019-02,OTP,HR,OTP-BCN,10664,1027764,1291.55,24.94,1.691,0.222,106333.24,1,7199,1.4191,1.9564,10896.74,0,AIRPORT_OPERATOR_REPORT,FIRST,2025-11-26
2019-03,BCN,DK,BCN-ATH,34287,1868674,30837.55,9.97,4.817,0.656,526903.65,1,18634,0.9659,0.4257,1228.08,0,EASA_ENV_REPORT,SECOND,2025-10-24
2019-04,ARN,HR,ARN-MUC,7928,597595,159325.46,26.73,4.294,0.18,93847.94,1,6078,1.7123,0.4652,12236.36,1,CORSIA_REPORTING,BENCHMARK,2025-07-16
2019-05,BRU,DE,BRU-MXP,106719,6688228,4931.08,12.59,1.703,0.298,1338075.91,1,1164,0.8202,1.0574,8120.93,1,EUROCONTROL_STATFOR,FLASH,2025-01-03
2019-06,GVA,LV,GVA-HEL,56854,7979866,146620.99,20.34,5.665,0.347,918964.57,1,55569,0.9222,0.7544,14279.92,1,AIRPORT_OPERATOR_REPORT,FIRST,2024-03-11
2019-07,SXF,MT,SXF-BUD,41327,1934739,131427.46,15.69,3.856,0.106,617372.23,1,10473,0.431,0.4601,10638.76,1,EASA_ENV_REPORT,SECOND,2025-09-07
2019-08,SOF,CY,SOF-CPH,2939,160055,105215.32,24.63,7.941,0.717,59425.79,1,1804,1.2196,1.2236,830.99,1,CORSIA_REPORTING,BENCHMARK,2024-12-25
2019-09,MAD,GR,MAD-GVA,102807,16150479,12540.27,24.32,3.483,0.606,1089129.8,1,19792,0.5752,0.4488,752.11,1,EUROCONTROL_STATFOR,FLASH,2024-07-10
2019-10,CPH,AT,CPH-OTP,37760,6313093,94500.71,15.28,5.939,0.279,421329.91,1,2814,0.4377,1.7484,2759.98,1,AIRPORT_OPERATOR_REPORT,FIRST,2025-07-09
2019-11,VIE,HR,VIE-OSL,57204,4781274,68304.3,25.02,8.552,0.594,838273.33,0,9396,1.4859,0.1403,10896.81,1,EASA_ENV_REPORT,SECOND,2024-04-26
2019-12,ZRH,DK,ZRH-LGW,95932,7967691,147452.86,15.34,2.458,0.616,1212397.98,1,55114,0.3,1.2632,3670.13,1,CORSIA_REPORTING,BENCHMARK,2025-03-30
2020-01,STN,HU,STN-CDG,103240,16246231,169786.86,13.18,5.583,0.425,2235449.16,1,133508,0.5757,2.0172,8372.24,1,EUROCONTROL_STATFOR,FLASH,2024-01-13
2020-02,BUD,NL,BUD-PRG,32838,2183043,67271.12,4.33,3.708,0.486,555706.42,1,10068,0.9788,0.7767,471.8,1,AIRPORT_OPERATOR_REPORT,FIRST,2025-10-19
2020-03,FRA,SE,FRA-STN,4952,621299,180112.58,9.57,2.934,0.705,61648.51,1,4986,0.6489,0.6654,4082.06,1,EASA_ENV_REPORT,SECOND,2024-09-17
2020-04,DUB,DK,DUB-MAD,43338,6136927,174165.41,15.72,3.74,0.234,688151.1,1,63849,0.7016,0.7693,9444.1,1,CORSIA_REPORTING,BENCHMARK,2024-08-06
2020-05,PRG,IE,PRG-BRU,62793,3493480,18589.49,5.43,0.089,0.144,1188558.89,1,25982,1.3643,1.1122,1601.54,1,EUROCONTROL_STATFOR,FLASH,2025-06-17
2020-06,HEL,SI,HEL-BER,3356,367610,99.02,27.14,0.737,0.587,71035.09,1,652,0.1596,0.9657,5844.22,1,AIRPORT_OPERATOR_REPORT,FIRST,2024-08-22
2020-07,MAN,AT,MAN-FCO,101041,9477765,285114.71,7.88,7.122,0.796,1170562.28,1,32265,1.0669,1.0056,6492.07,1,EASA_ENV_REPORT,SECOND,2024-05-18
2020-08,HAM,HR,HAM-LIS,2172,307450,156220.05,17.96,5.034,0.294,26769.65,1,3170,0.2447,1.3873,8959.74,1,CORSIA_REPORTING,BENCHMARK,2024-11-09
2020-09,CDG,IT,CDG-HAM,57430,4633447,257594.63,24.62,4.408,0.072,891351.97,1,4908,0.7248,0.8238,8543.62,1,EUROCONTROL_STATFOR,FLASH,2025-07-04
2020-10,MXP,FR,MXP-DUB,81544,4396969,152226.07,21.35,8.495,0.424,1418825.06,1,8720,0.4612,2.0248,1295.62,1,AIRPORT_OPERATOR_REPORT,FIRST,2024-05-14
2020-11,WAW,BE,WAW-ZRH,67251,7563021,112792.66,25.15,7.535,0.222,1196661.14,1,71140,1.4821,1.1187,10333.12,1,EASA_ENV_REPORT,SECOND,2025-08-18
2020-12,LIS,FI,LIS-SOF,91967,15499423,20962.26,2.05,0.404,0.36,1115025.08,1,80768,0.4681,0.4675,2864.82,1,CORSIA_REPORTING,BENCHMARK,2024-05-22
2021-01,LGW,LV,LGW-ARN,47384,6453275,83333.79,13.91,0.442,0.129,453162.27,1,47961,0.9709,2.1063,535.42,1,EUROCONTROL_STATFOR,FLASH,2025-04-07
2021-02,MUC,RO,MUC-LHR,9318,990167,217165.74,13.39,1.265,0.078,97424.18,0,1427,1.1144,1.0266,3350.49,1,AIRPORT_OPERATOR_REPORT,FIRST,2025-12-15
2021-03,AMS,SI,AMS-AMS,52544,4955236,33561.89,22.43,6.797,0.507,624468.37,1,19474,0.6182,0.6478,1021.54,1,EASA_ENV_REPORT,SECOND,2025-04-08
2021-04,FCO,FR,FCO-WAW,42991,6343008,4908.44,19.72,1.248,0.659,547581.25,1,17712,0.9249,0.7182,384.66,1,CORSIA_REPORTING,BENCHMARK,2025-10-26
2021-05,OSL,LT,OSL-MAN,56797,10594811,31252.65,8.67,3.687,0.363,858834.24,1,72122,1.6496,0.6367,6388.47,1,EUROCONTROL_STATFOR,FLASH,2025-05-18
2021-06,ATH,SK,ATH-FRA,39250,4676167,166090.91,8.33,4.33,0.053,762241.65,1,8660,0.8045,1.6692,4007.24,1,AIRPORT_OPERATOR_REPORT,FIRST,2025-06-09
2021-07,LHR,FR,LHR-VIE,18783,2597247,61473.64,14.3,1.493,0.7,352972.16,1,11985,1.2581,1.6607,5678.94,1,EASA_ENV_REPORT,SECOND,2024-05-13
2021-08,BER,HU,BER-SXF,15761,822869,108637.44,14.39,5.792,0.398,237472.65,1,9481,0.0854,0.3329,6517.11,1,CORSIA_REPORTING,BENCHMARK,2024-12-26
2021-09,OTP,LU,OTP-BCN,72240,6880437,75108.79,18.34,5.088,0.452,954295.73,1,69404,1.4486,2.0109,1316.93,1,EUROCONTROL_STATFOR,FLASH,2025-01-24
2021-10,BCN,MT,BCN-ATH,38264,3740624,122144.97,19.42,4.353,0.121,720145.72,1,2592,1.0762,1.9784,9273.04,0,AIRPORT_OPERATOR_REPORT,FIRST,2024-02-12
2021-11,ARN,PT,ARN-MUC,51125,3466164,85521.07,13.54,0.569,0.497,963965.17,1,15629,0.9434,1.8834,3943.24,0,EASA_ENV_REPORT,SECOND,2025-01-16
2021-12,BRU,SI,BRU-MXP,17613,1625474,124225.06,18.28,1.567,0.329,203427.31,1,5978,1.7304,0.7489,2477.11,1,CORSIA_REPORTING,BENCHMARK,2025-11-22
2022-01,GVA,AT,GVA-HEL,70269,5656377,152255.83,9.7,4.839,1.532,808194.55,1,4373,0.9976,1.5709,2857.15,1,EUROCONTROL_STATFOR,FLASH,2025-11-29
2022-02,SXF,ES,SXF-BUD,20288,2535568,180049.45,9.43,3.64,1.571,285422.81,1,9274,0.4543,1.2296,6545.42,1,AIRPORT_OPERATOR_REPORT,FIRST,2024-07-18
2022-03,SOF,DK,SOF-CPH,17594,864871,263671.22,24.15,7.305,1.98,352042.32,1,8993,1.5588,1.2384,10173.84,1,EASA_ENV_REPORT,SECOND,2025-09-09
2022-04,MAD,HU,MAD-GVA,47901,5940805,120685.4,20.31,7.66,1.021,837026.62,1,14309,0.2642,0.5229,5643.36,1,CORSIA_REPORTING,BENCHMARK,2024-12-18
2022-05,CPH,HU,CPH-OTP,3711,366638,275692.63,12.73,2.792,0.23,75683.99,0,1042,1.3393,2.0145,6887.0,1,EUROCONTROL_STATFOR,FLASH,2026-01-28
2022-06,VIE,SE,VIE-OSL,59064,3894608,133884.78,9.15,0.981,1.297,1181275.94,1,12065,0.706,0.5756,8777.25,0,AIRPORT_OPERATOR_REPORT,FIRST,2024-07-17
2022-07,ZRH,MT,ZRH-LGW,45257,3411162,14547.55,27.12,0.468,0.811,503093.54,1,15983,0.8289,0.1308,14935.34,1,EASA_ENV_REPORT,SECOND,2025-02-05
2022-08,STN,PT,STN-CDG,5656,379089,51874.01,13.77,1.095,2.086,98323.67,0,2686,1.2461,1.1224,569.6,1,CORSIA_REPORTING,BENCHMARK,2024-10-08
2022-09,BUD,SI,BUD-PRG,16187,1395630,74255.44,20.35,3.686,0.917,286894.88,1,15247,1.7724,0.5498,8678.0,1,EUROCONTROL_STATFOR,FLASH,2025-12-05
2022-10,FRA,AT,FRA-STN,1154,156775,210474.81,27.15,3.259,1.048,15206.72,1,1633,0.8752,0.8003,12244.32,1,AIRPORT_OPERATOR_REPORT,FIRST,2024-11-22
2022-11,DUB,EE,DUB-MAD,103790,17329776,123452.95,15.6,1.815,2.045,1539817.86,1,75155,1.1817,1.3859,10206.24,1,EASA_ENV_REPORT,SECOND,2024-11-04
2022-12,PRG,DK,PRG-BRU,69553,8438091,106084.07,7.99,3.183,1.111,1101342.37,1,88923,0.93,1.7226,3360.05,0,CORSIA_REPORTING,BENCHMARK,2025-05-02
2023-01,HEL,PT,HEL-BER,59343,7357408,101102.97,6.06,1.568,2.171,1020007.87,1,34331,1.0412,1.8348,8537.33,1,EUROCONTROL_STATFOR,FLASH,2025-01-03
2023-02,MAN,BE,MAN-FCO,76212,6365932,61332.58,18.72,9.606,2.164,838728.24,0,43852,1.6497,1.0359,14172.27,1,AIRPORT_OPERATOR_REPORT,FIRST,2024-08-07
2023-03,HAM,FI,HAM-LIS,79791,12698420,73146.4,27.03,3.669,0.686,1727079.42,1,35445,1.3172,0.4791,14223.33,1,EASA_ENV_REPORT,SECOND,2024-11-20
2023-04,CDG,LV,CDG-HAM,67406,6532569,167955.22,9.07,3.472,0.587,1235873.03,1,44202,0.5249,0.0565,1176.78,1,CORSIA_REPORTING,BENCHMARK,2025-04-12
2023-05,MXP,RO,MXP-DUB,11472,1170123,208586.12,15.05,6.518,0.808,248943.03,1,5358,0.7375,1.0921,12024.07,1,EUROCONTROL_STATFOR,FLASH,2025-12-14
2023-06,WAW,SI,WAW-ZRH,300,31948,94223.77,14.44,1.055,1.515,5848.15,1,207,0.733,1.2163,534.77,1,AIRPORT_OPERATOR_REPORT,FIRST,2024-03-05
2023-07,LIS,AT,LIS-SOF,58295,6713079,151816.34,26.22,6.602,1.521,888736.13,1,50759,0.9377,0.1153,7294.9,1,EASA_ENV_REPORT,SECOND,2025-12-21
2023-08,LGW,HR,LGW-ARN,95147,7983293,57974.76,24.15,6.357,1.565,1387552.77,1,18263,0.642,1.439,2984.26,0,CORSIA_REPORTING,BENCHMARK,2024-10-28
2023-09,MUC,DK,MUC-LHR,87026,10545085,11226.31,6.89,2.933,0.975,1032113.24,1,62441,1.3538,2.132,125.11,1,EUROCONTROL_STATFOR,FLASH,2024-07-18
2023-10,AMS,FR,AMS-AMS,37872,4282019,4994.28,16.75,4.742,1.288,417242.36,1,29517,0.9101,1.7608,13648.9,1,AIRPORT_OPERATOR_REPORT,FIRST,2024-10-13
2023-11,FCO,HU,FCO-WAW,34778,6232185,120655.46,8.05,2.963,0.088,580838.32,1,26720,0.5778,0.9841,3741.13,0,EASA_ENV_REPORT,SECOND,2024-11-23
2023-12,OSL,LV,OSL-MAN,7568,774160,27895.1,13.05,6.54,1.342,159939.98,1,2924,1.5184,1.5564,3962.41,1,CORSIA_REPORTING,BENCHMARK,2025-03-08
2024-01,ATH,MT,ATH-FRA,39331,2720347,218029.57,13.76,5.663,2.202,614466.5,1,2445,0.065,0.9051,3547.91,1,EUROCONTROL_STATFOR,FLASH,2024-03-01
2024-02,LHR,PT,LHR-VIE,14056,2270837,51394.29,8.95,3.84,2.154,179963.26,1,18196,0.4386,1.1145,6132.98,1,AIRPORT_OPERATOR_REPORT,FIRST,2025-02-02
2024-03,BER,SI,BER-SXF,4226,522313,214551.69,22.07,6.037,2.218,86415.04,1,4110,0.6199,1.1808,9432.01,1,EASA_ENV_REPORT,SECOND,2025-04-26
2024-04,OTP,AT,OTP-BCN,60301,3748292,7709.35,25.82,3.03,0.101,893718.01,1,3373,1.15,2.031,1235.87,1,CORSIA_REPORTING,BENCHMARK,2024-10-30
2024-05,BCN,HR,BCN-ATH,43280,5057636,110199.04,24.15,5.837,0.144,762946.19,0,59033,1.1527,1.6449,12457.17,1,EUROCONTROL_STATFOR,FLASH,2026-01-09
2024-06,ARN,CZ,ARN-MUC,25250,4383947,112774.33,24.19,2.811,1.451,286316.89,1,46296,0.7382,0.1673,9257.17,0,AIRPORT_OPERATOR_REPORT,FIRST,2025-07-10
2024-07,BRU,FR,BRU-MXP,21025,2096742,237441.8,8.51,2.53,0.505,430460.22,1,8860,0.9677,1.4903,6012.14,1,EASA_ENV_REPORT,SECOND,2024-09-22
2024-08,GVA,NL,GVA-HEL,20402,1825251,199062.37,15.87,5.897,1.031,211540.55,1,19088,1.2801,1.7122,13998.46,1,CORSIA_REPORTING,BENCHMARK,2024-04-24
2024-09,SXF,SE,SXF-BUD,5600,291580,129141.55,5.3,2.175,0.635,78995.79,1,1933,0.9273,1.9904,6240.36,1,EUROCONTROL_STATFOR,FLASH,2025-12-25
2024-10,SOF,MT,SOF-CPH,56651,5525196,200523.63,10.47,0.777,0.5,1048265.98,1,5616,1.3432,0.8642,6983.79,1,AIRPORT_OPERATOR_REPORT,FIRST,2024-05-22
2024-11,MAD,PT,MAD-GVA,11546,1531240,51597.46,5.56,3.521,0.491,132147.99,1,14464,0.9524,2.1825,2565.76,1,EASA_ENV_REPORT,SECOND,2025-09-29
2024-12,CPH,PL,CPH-OTP,83639,6305362,47565.72,20.76,3.36,1.618,1594059.62,0,19034,0.445,1.1951,2262.98,1,CORSIA_REPORTING,BENCHMARK,2024-02-09
2025-01,VIE,AT,VIE-OSL,47376,3376028,214925.39,25.39,5.857,2.186,718945.0,1,20688,1.6571,0.8991,14532.6,0,EUROCONTROL_STATFOR,FLASH,2025-09-16
2025-02,ZRH,HR,ZRH-LGW,84033,9327052,275897.55,16.18,3.381,1.098,1683302.21,1,71852,0.7137,1.8591,5953.52,1,AIRPORT_OPERATOR_REPORT,FIRST,2025-12-17
2025-03,STN,IT,STN-CDG,71821,4764771,62671.66,17.67,0.97,1.648,1096223.17,1,2889,1.5959,0.3928,10207.5,1,EASA_ENV_REPORT,SECOND,2024-07-19
2025-04,BUD,FR,BUD-PRG,34810,3750939,67419.82,12.53,7.157,1.089,487379.83,1,44839,1.4239,0.7496,162.79,1,CORSIA_REPORTING,BENCHMARK,2025-06-17
2025-05,FRA,BE,FRA-STN,57765,4339180,16847.66,19.83,9.758,1.978,603855.19,1,42578,0.859,1.1033,1468.22,1,EUROCONTROL_STATFOR,FLASH,2024-06-02
2025-06,DUB,LV,DUB-MAD,52992,7606800,222391.21,5.48,4.348,1.782,679400.09,1,25670,1.0963,0.9526,5475.79,1,AIRPORT_OPERATOR_REPORT,FIRST,2025-05-06
2025-07,PRG,LV,PRG-BRU,49424,7210522,106054.29,15.05,3.499,2.192,925407.69,1,85873,0.9341,1.2811,4139.41,1,EASA_ENV_REPORT,SECOND,2025-10-06
2025-08,HEL,RO,HEL-BER,60989,5824779,223814.26,15.61,0.601,1.969,814055.53,1,24700,0.628,0.8708,1586.14,1,CORSIA_REPORTING,BENCHMARK,2024-08-12
2025-09,MAN,SI,MAN-FCO,84598,8031505,154898.64,6.37,2.534,1.188,1406630.96,1,43248,0.7561,1.6978,8964.92,1,EUROCONTROL_STATFOR,FLASH,2024-07-28
2025-10,HAM,FR,HAM-LIS,76824,7742487,4526.92,27.29,3.669,1.437,765108.42,1,80914,0.6149,0.8725,3124.21,1,AIRPORT_OPERATOR_REPORT,FIRST,2025-07-18
2025-11,CDG,LT,CDG-HAM,43767,3527314,179786.49,11.88,5.493,1.25,936675.84,1,24565,0.7062,0.4559,3786.36,1,EASA_ENV_REPORT,SECOND,2025-12-30
2025-12,MXP,DK,MXP-DUB,48777,7931453,226872.91,18.33,10.088,1.543,516271.54,1,88614,1.7998,0.1294,1790.45,1,CORSIA_REPORTING,BENCHMARK,2025-10-30
2026-01,WAW,HR,WAW-ZRH,80094,8271634,96060.24,26.22,9.13,0.497,1114709.85,1,81790,0.5918,1.0896,13501.27,1,EUROCONTROL_STATFOR,FLASH,2025-12-08
2026-02,LIS,DE,LIS-SOF,20867,924980,271667.62,5.57,0.572,1.74,285179.42,1,7763,1.0645,0.0879,858.65,0,AIRPORT_OPERATOR_REPORT,FIRST,2024-03-26
2026-03,LGW,LV,LGW-ARN,54225,6513834,22208.12,26.02,5.604,1.685,584529.71,1,38003,1.1713,1.8932,5176.63,0,EASA_ENV_REPORT,SECOND,2025-10-05
2026-04,MUC,MT,MUC-LHR,63492,8633696,89462.48,9.53,3.628,0.872,1048913.36,0,99218,1.0157,1.9939,893.28,1,CORSIA_REPORTING,BENCHMARK,2024-06-16
2026-05,AMS,CY,AMS-AMS,9261,1042322,128971.36,9.8,0.581,1.77,140771.45,1,2751,0.6817,1.8498,7547.18,1,EUROCONTROL_STATFOR,FLASH,2024-05-20
2026-06,FCO,SI,FCO-WAW,25186,3754689,18643.22,25.78,1.003,0.654,467449.02,1,23678,0.9828,1.3951,1960.35,1,AIRPORT_OPERATOR_REPORT,FIRST,2026-02-09
2026-07,OSL,AT,OSL-MAN,54049,3885708,219888.73,12.88,3.214,1.573,1004238.42,0,39488,1.1434,1.8574,2728.55,1,EASA_ENV_REPORT,SECOND,2026-02-01
2026-08,ATH,HR,ATH-FRA,9427,985514,82485.89,20.89,5.253,1.002,110839.5,1,4133,0.4502,1.84,6626.64,1,CORSIA_REPORTING,BENCHMARK,2024-06-02
2026-09,LHR,DK,LHR-VIE,65918,4774678,86095.32,20.08,7.635,0.474,632125.72,1,55522,1.4559,0.145,1269.95,1,EUROCONTROL_STATFOR,FLASH,2025-07-22
2026-10,BER,FR,BER-SXF,54906,7070254,141791.38,12.16,6.412,1.242,993137.86,1,38655,0.3289,1.3098,5793.22,1,AIRPORT_OPERATOR_REPORT,FIRST,2025-01-08
2026-11,OTP,HU,OTP-BCN,20549,2966418,158342.23,2.47,2.221,0.892,366179.88,1,19129,0.6086,1.3325,1547.05,0,EASA_ENV_REPORT,SECOND,2026-01-11
2026-12,BCN,SE,BCN-ATH,4872,410931,104940.95,26.34,0.379,1.559,55603.4,1,579,0.4217,1.7341,6586.82,1,CORSIA_REPORTING,BENCHMARK,2025-12-04
2016-01,ARN,DK,ARN-MUC,34028,2665440,128391.66,4.02,7.009,0.549,633493.65,1,30469,0.6501,0.3103,497.06,0,EUROCONTROL_STATFOR,FLASH,2024-09-18
2016-02,BRU,PT,BRU-MXP,33767,1420326,28670.24,4.48,7.058,0.413,625311.02,1,9380,1.3823,1.98,2784.22,1,AIRPORT_OPERATOR_REPORT,FIRST,2024-06-04
2016-03,GVA,SI,GVA-HEL,61444,6446881,26308.24,27.89,4.72,0.367,689461.76,1,57053,1.0549,1.7551,14550.92,1,EASA_ENV_REPORT,SECOND,2026-01-08
2016-04,SXF,AT,SXF-BUD,6815,396627,3019.72,12.37,1.505,0.31,76968.57,1,420,0.9399,0.9665,2763.1,1,CORSIA_REPORTING,BENCHMARK,2024-01-28
2016-05,SOF,EE,SOF-CPH,27026,3627897,217267.0,8.66,4.929,0.786,555653.35,1,21202,0.4541,1.9366,8080.2,1,EUROCONTROL_STATFOR,FLASH,2024-12-30
