travel_intl_arrival_year,travel_intl_arrival_month,travel_intl_port_of_entry_air_sea,travel_intl_visitor_country_code,travel_intl_visitor_region_code,travel_intl_purpose_of_trip_code,travel_intl_length_of_stay_days_median,travel_intl_visitor_spend_usd_total,travel_intl_visitor_spend_retail_usd,travel_intl_visitor_spend_lodging_usd,travel_intl_visitor_spend_food_usd,travel_intl_visitor_spend_entertainment_usd,travel_intl_payment_method_share_cash,travel_intl_payment_method_share_card,travel_intl_group_tour_flag,travel_intl_business_travel_flag,travel_intl_visa_waiver_eligible_flag,travel_intl_repeat_visitor_flag,travel_intl_satisfaction_score,travel_intl_exchange_rate_index
2013,5,JFK,IN,EU,STUDY,24.38,24718.9,4406.32,10143.9,5047.09,3315.74,0.7028,0.3108,1,0,0,0,6.971,94.316
2020,7,MIA,CO,LATAM,BUSINESS,59.2,6706.36,1161.89,2852.68,1228.56,618.45,0.8644,0.144,0,1,0,1,5.648,112.482
2025,11,LAX,DE,LATAM,LEISURE,27.07,2258.09,288.22,597.28,581.55,376.07,0.6955,0.3464,0,0,0,1,6.234,70.896
2014,8,ORD,ZA,EAP,BUSINESS,30.33,15286.78,2440.07,4101.68,3949.3,1357.63,0.1453,0.9023,0,1,1,1,7.521,93.44
2021,2,SFO,GB,NA,LEISURE,56.17,17190.81,3751.44,4133.7,3894.81,2238.62,0.6189,0.3965,1,0,1,1,8.402,133.304
2023,7,ATL,MX,NA,STUDY,31.55,10435.09,2138.14,2316.32,1778.61,1334.54,0.9941,0.0377,0,0,0,0,9.0,101.969
2014,12,JFK,NZ,SAS,LEISURE,26.89,6203.63,1044.36,2182.52,1290.5,730.27,0.5098,0.4903,0,0,1,1,6.856,114.424
2019,10,HOU,AR,MENA,LEISURE,38.44,5701.17,532.62,1783.49,769.82,549.93,0.3362,0.6553,0,0,1,0,1.865,114.524
2018,4,DFW,KR,EU,LEISURE,39.44,24860.4,5055.14,7617.74,4142.23,3479.28,0.4432,0.5294,0,0,0,0,1.595,126.018
2019,8,BOS,IN,EAP,BUSINESS,2.27,11894.32,2862.53,3767.75,2431.81,1529.12,0.2907,0.6898,1,1,1,1,8.294,79.321
2014,11,ATL,AE,EU,VISITING_FRIENDS_FAMILY,35.68,19618.32,3875.6,6395.41,4318.68,3435.3,0.9888,0.0263,0,0,1,0,1.953,75.561
2022,9,ORD,AE,LATAM,VISITING_FRIENDS_FAMILY,36.32,6667.82,804.25,1734.73,804.69,424.63,0.8594,0.0985,0,0,1,1,3.223,123.757
2014,8,ATL,MX,LATAM,LEISURE,49.9,9766.0,1512.06,2629.9,1553.26,1319.2,0.8022,0.1937,0,0,0,0,6.687,84.411
2019,2,EWR,SA,LATAM,LEISURE,29.5,18231.16,2996.98,6538.73,2823.59,1254.9,0.901,0.059,0,0,1,1,7.108,93.305
2022,4,LAX,NZ,LATAM,LEISURE,6.43,8634.13,1364.97,2306.84,1499.24,1380.52,0.8181,0.1697,0,0,0,0,3.224,93.041
2012,5,SFO,AE,EAP,LEISURE,1.24,18484.25,4038.12,5164.65,2777.28,2598.2,0.7341,0.2861,0,0,1,1,5.941,73.481
2018,5,ORD,AE,NA,BUSINESS,22.01,17759.11,4425.46,5800.34,3143.74,1990.15,0.6332,0.3705,0,1,0,1,3.75,94.229
2024,5,FLL,AR,SAS,BUSINESS,22.28,10446.2,2148.86,2970.32,2959.37,1440.52,0.443,0.5653,0,1,1,0,2.605,93.687
2020,2,SEA,CO,LATAM,VISITING_FRIENDS_FAMILY,48.0,10785.71,2025.94,3992.83,2543.9,1567.25,0.4057,0.6123,1,0,0,1,1.135,115.256
2015,2,DFW,DE,MENA,LEISURE,21.74,10887.64,2348.09,4315.7,1725.64,1714.49,0.811,0.2175,0,0,0,0,9.087,109.661
2017,3,HOU,BR,LATAM,VISITING_FRIENDS_FAMILY,38.0,20874.72,4070.8,8455.74,2596.64,1642.26,0.0454,0.991,0,0,0,0,2.602,72.144
2019,7,BOS,IN,NA,LEISURE,9.83,20257.53,3013.22,7346.91,3958.48,3493.0,0.1856,0.8318,0,0,0,0,1.77,93.647
2015,8,HOU,CO,EAP,LEISURE,2.71,23598.44,3274.39,5277.79,4828.19,1913.87,0.0227,1.0,0,0,0,0,9.426,98.761
2016,4,ORD,TR,SSA,LEISURE,19.79,8572.87,1248.01,2238.92,2295.55,639.79,0.8017,0.2418,0,0,0,1,7.138,122.755
2020,3,LAX,CA,EAP,STUDY,40.06,19407.93,3970.57,6395.95,4689.41,3328.5,0.6039,0.4432,0,0,1,1,7.247,136.831
2014,9,ATL,ES,EU,LEISURE,35.28,1435.23,179.44,476.97,253.03,88.24,0.0785,0.9277,1,1,1,0,1.622,134.777
2013,4,EWR,CN,NA,LEISURE,58.3,8745.03,1970.95,2247.12,1643.23,1111.09,0.2552,0.7314,0,0,0,1,2.259,85.195
2018,10,HOU,JP,NA,LEISURE,45.24,17425.61,2257.86,6693.17,3968.08,2551.92,0.8316,0.1808,0,0,0,0,5.983,135.922
2019,3,DFW,JP,EU,LEISURE,54.3,20158.59,2197.29,5854.92,4983.26,2748.94,0.3243,0.6376,0,0,0,0,1.325,134.743
2021,1,DFW,CN,MENA,LEISURE,54.61,19622.28,2221.23,4633.15,4802.37,3061.5,0.8155,0.1395,0,1,0,0,4.203,124.564
2024,6,LAX,AU,LATAM,LEISURE,50.43,7445.32,1347.3,2306.38,1558.75,1333.38,0.5846,0.4288,1,0,0,0,4.31,126.738
2024,12,FLL,TR,SAS,LEISURE,21.3,22804.45,4115.67,9844.74,2981.23,1744.1,0.6975,0.3504,0,0,0,1,3.12,83.031
2017,2,ORD,ZA,MENA,LEISURE,20.43,23686.59,5274.38,8793.93,5538.68,1378.48,0.8576,0.1521,0,0,1,0,7.493,94.317
2021,1,MIA,ZA,MENA,LEISURE,4.52,5271.55,817.25,1402.33,651.81,773.96,0.1353,0.8377,0,0,0,0,6.239,75.081
2016,2,HOU,IN,LATAM,LEISURE,17.27,24106.63,3865.6,5328.87,3915.82,3931.9,0.7203,0.2635,0,0,0,0,9.252,89.201
2015,6,MIA,ES,NA,LEISURE,37.63,15148.61,3025.83,5059.17,4224.59,1499.18,0.2617,0.713,1,0,0,0,3.86,136.074
2021,11,LAX,AU,NA,LEISURE,1.25,14908.84,2385.38,3664.62,3848.7,2148.06,0.8058,0.1547,0,1,1,0,1.222,95.979
2022,7,ATL,AE,EAP,LEISURE,28.85,11935.77,1337.63,3081.26,1652.56,876.81,0.9791,0.0,1,0,1,0,2.091,111.218
2020,11,BOS,DE,EU,LEISURE,11.57,18778.81,3207.64,7574.27,5027.66,2770.59,0.2137,0.7528,0,0,0,0,5.546,94.923
2022,7,SEA,AR,SSA,MEDICAL,29.31,19333.12,1900.55,7070.47,3586.8,1351.12,0.8585,0.1826,0,0,0,0,4.326,76.889
2017,11,ORD,IT,SSA,LEISURE,45.33,19776.84,2816.98,7194.49,2835.39,2525.34,0.3711,0.6212,0,0,1,0,5.466,107.972
2016,3,HOU,ZA,NA,LEISURE,24.02,18714.81,3502.7,7201.06,2625.09,1160.99,0.8174,0.1535,0,1,0,0,8.652,103.927
2019,5,DFW,KR,EAP,LEISURE,51.06,23949.33,3108.58,7299.74,3082.47,3058.81,0.5484,0.4149,1,0,1,0,6.942,116.355
2013,1,SEA,CA,EU,LEISURE,48.09,14885.12,2501.97,5888.57,3025.54,765.68,0.2614,0.749,1,0,0,0,7.299,110.833
2015,12,HOU,AU,EAP,LEISURE,3.25,6847.53,756.71,2040.53,1198.01,1180.27,0.4531,0.5163,0,0,1,0,2.596,99.391
2018,7,DFW,AR,EU,BUSINESS,29.86,7132.31,1704.17,2457.88,1744.28,713.58,0.7049,0.2812,0,1,0,0,2.158,119.398
2024,1,SFO,AU,SSA,LEISURE,26.31,18249.99,3547.86,7095.59,3919.03,2904.53,0.1263,0.8714,0,0,0,0,4.677,70.371
2016,11,EWR,AR,LATAM,BUSINESS,6.24,21890.77,4540.69,6364.92,3810.51,3166.09,0.4267,0.6108,0,1,0,0,3.662,117.804
2015,4,ATL,MX,EAP,LEISURE,31.59,10634.51,2528.41,2493.24,2252.05,1316.16,0.4998,0.4599,0,1,0,1,8.7,121.345
2021,5,ATL,AR,SAS,VISITING_FRIENDS_FAMILY,52.51,1578.43,163.51,690.65,267.37,177.13,0.4754,0.5595,1,0,0,1,7.903,81.861
2016,1,HOU,IN,MENA,BUSINESS,37.1,22816.35,5516.67,6344.47,3066.01,1535.1,0.5593,0.4265,0,1,0,0,7.183,75.87
2018,10,FLL,BR,EAP,LEISURE,17.03,19872.42,1937.86,7115.7,4515.47,3232.84,0.5369,0.4162,0,0,0,0,2.423,105.488
2018,11,LAX,CA,EAP,LEISURE,30.86,17442.27,2264.8,4871.24,4240.36,874.05,0.8631,0.1465,0,0,0,0,7.333,126.621
2015,1,SFO,ES,LATAM,LEISURE,39.31,13962.29,1223.15,5241.27,3172.22,1627.53,0.6864,0.2891,0,0,0,0,2.978,133.958
2025,12,SFO,JP,EU,STUDY,37.64,17527.69,2861.32,5625.48,2255.79,974.17,0.4238,0.5676,0,0,0,0,3.246,120.426
2020,9,FLL,AE,SAS,BUSINESS,44.47,9616.67,1571.95,2228.81,1189.54,712.91,0.9516,0.0286,0,1,1,1,5.181,85.258
2012,9,FLL,IN,SAS,LEISURE,4.58,20929.81,4216.49,7872.61,3478.12,1292.88,0.4561,0.5811,0,0,0,0,1.829,99.084
2024,8,SEA,ZA,EAP,LEISURE,17.5,13881.62,1229.8,5788.46,2193.86,2058.82,0.5377,0.4855,1,0,0,0,7.739,112.001
2012,4,FLL,DE,EU,LEISURE,25.46,8461.91,1680.14,3336.44,1802.01,987.4,0.7332,0.2565,0,0,1,0,1.975,95.533
2018,9,SEA,ES,LATAM,LEISURE,31.65,1477.87,122.52,655.18,366.79,167.99,0.0291,1.0,0,0,0,0,3.799,84.247
2012,10,JFK,SA,LATAM,LEISURE,51.8,4557.89,879.5,1245.59,907.83,746.24,0.635,0.4079,0,0,0,0,7.525,100.067
2012,9,ATL,BR,EAP,VISITING_FRIENDS_FAMILY,22.82,7503.12,1249.52,2830.59,2029.78,1239.34,0.9081,0.0609,0,0,0,0,3.871,89.364
2023,3,BOS,ES,EU,LEISURE,11.42,5563.96,877.3,2176.26,1574.67,302.42,0.1412,0.8841,1,0,0,1,2.776,111.044
2015,3,HOU,IT,NA,LEISURE,19.24,12939.88,3131.49,5163.23,3291.38,1296.46,0.8103,0.1684,0,1,0,1,8.144,99.397
2021,9,LAX,ES,LATAM,LEISURE,52.6,1139.7,217.03,312.13,287.71,176.86,0.1614,0.8335,0,0,1,0,4.35,73.089
2014,2,EWR,AE,NA,LEISURE,46.79,8791.38,1976.97,3279.45,1998.64,563.78,0.4557,0.5155,0,0,0,0,3.602,75.066
2025,6,SEA,DE,SAS,LEISURE,56.21,8222.48,791.27,2818.39,1782.89,1231.5,0.6229,0.3701,0,0,0,0,7.272,94.164
2019,9,SEA,ES,LATAM,LEISURE,5.95,4026.39,372.0,1443.74,1044.23,561.06,0.0845,0.9046,0,0,0,1,1.629,110.151
2013,1,LAX,IN,EU,LEISURE,39.95,12865.86,1912.9,2945.68,3350.26,656.7,0.2439,0.7683,0,0,1,1,3.248,108.829
2014,2,LAX,DE,EU,BUSINESS,8.33,15658.4,2588.58,5212.5,2000.54,2142.61,0.8616,0.1795,1,1,0,0,5.791,81.662
2019,8,SFO,CO,EAP,LEISURE,12.01,8959.41,2115.75,3922.48,1422.26,670.25,0.061,0.9021,0,1,0,0,7.176,91.199
2022,8,MIA,AE,LATAM,LEISURE,19.17,12200.7,2542.1,2828.42,3036.95,1634.1,0.5524,0.4482,0,1,1,0,1.144,118.731
2022,6,SEA,KR,LATAM,LEISURE,41.01,6727.74,1626.18,1500.61,1561.53,692.43,0.8912,0.1517,0,1,1,0,7.96,83.979
2015,4,ORD,IN,SAS,LEISURE,17.18,10928.08,1560.57,4127.77,2540.92,1290.46,0.0592,0.9167,0,0,0,0,9.029,122.907
2025,2,BOS,BR,EU,LEISURE,30.19,6407.81,591.92,1711.66,1634.14,725.77,0.3857,0.5647,0,0,0,0,9.429,83.207
2015,11,DFW,CA,EU,VISITING_FRIENDS_FAMILY,28.49,17396.5,1553.5,7456.92,2530.73,1406.01,0.9251,0.1149,0,0,0,0,6.354,86.883
2023,9,SEA,SA,EAP,BUSINESS,15.9,5599.98,868.49,1356.98,805.81,340.34,0.5156,0.4715,0,1,0,0,2.703,70.105
2020,2,EWR,AU,NA,BUSINESS,24.07,196.17,19.3,40.99,38.94,17.82,0.5295,0.4627,0,1,0,0,1.567,70.062
2013,7,SFO,MX,EAP,BUSINESS,40.15,10299.51,1172.63,3462.63,2019.64,1253.59,0.1276,0.9095,0,1,0,0,6.41,77.86
2019,6,MIA,JP,NA,LEISURE,41.07,16425.5,2107.66,5267.86,3310.51,1251.67,0.9412,0.0785,0,0,0,0,9.754,102.271
2015,12,LAX,JP,NA,LEISURE,19.94,14394.52,3045.92,6043.38,2212.81,1090.75,0.9155,0.0685,0,0,1,0,2.695,82.093
2012,1,ATL,IN,SSA,BUSINESS,34.18,1522.92,369.53,362.71,302.04,122.24,0.247,0.7978,0,1,1,0,2.546,87.091
2017,3,JFK,FR,NA,VISITING_FRIENDS_FAMILY,7.64,5875.19,1422.97,1397.64,1265.64,361.67,0.0802,0.9142,0,0,1,0,4.595,84.686
2020,6,DFW,AU,EU,VISITING_FRIENDS_FAMILY,27.0,19444.16,3824.35,4297.44,4573.32,2437.58,0.5762,0.4666,0,0,1,0,8.887,134.331
2024,5,HOU,TR,EAP,STUDY,22.93,22641.01,3817.26,9926.46,5094.39,3760.96,0.0234,0.9479,0,1,1,0,9.88,116.142
2015,7,JFK,KR,EU,VISITING_FRIENDS_FAMILY,26.54,7860.88,670.93,3047.55,1345.62,1404.97,0.0595,0.9096,0,0,0,1,6.149,75.774
2014,10,ORD,SA,LATAM,STUDY,11.76,12881.12,3009.37,3676.74,2253.87,663.93,0.5211,0.4484,0,0,0,0,4.681,124.166
2015,3,HOU,FR,LATAM,BUSINESS,50.38,11994.76,2910.99,4533.93,2370.93,827.38,0.0516,0.9623,0,1,0,0,8.175,74.504
2012,3,SFO,AR,NA,BUSINESS,57.39,18602.1,3776.5,3848.44,5133.04,2238.67,0.3932,0.6006,1,1,0,1,8.213,118.824
2023,3,LAX,CA,EU,LEISURE,38.38,10377.14,1408.44,3530.83,2288.17,1261.96,0.706,0.2746,0,1,0,0,4.527,122.973
2015,4,ORD,ZA,SSA,LEISURE,18.77,9108.25,2251.49,2269.71,1984.67,1004.36,0.1436,0.8667,0,0,0,1,7.136,104.389
2013,1,EWR,CN,SAS,LEISURE,12.73,6741.15,832.26,2039.24,1814.53,368.11,0.9082,0.12,0,0,0,0,8.775,127.648
2025,8,LAX,IT,EAP,LEISURE,48.14,24459.96,4897.3,7799.89,6992.41,4056.7,0.7856,0.2038,0,0,0,0,2.496,95.632
2018,5,SFO,BR,NA,LEISURE,52.83,24535.26,2623.87,9716.66,3551.06,2431.59,0.9455,0.0553,0,0,1,0,4.281,135.561
2016,10,FLL,ES,EU,LEISURE,10.61,744.77,59.53,177.5,113.0,94.61,0.1924,0.7958,0,0,1,0,2.194,76.907
2025,10,DFW,CO,EU,LEISURE,59.51,14321.91,1441.51,3317.69,2945.13,852.22,0.5213,0.5271,0,0,0,1,3.599,98.685
2013,6,EWR,KR,NA,MEDICAL,39.43,6106.24,1068.53,1913.27,841.91,805.6,0.7034,0.3405,1,0,0,0,8.235,114.99
2015,7,ORD,IT,NA,BUSINESS,22.26,22275.81,2594.24,8273.35,2795.79,1858.21,0.7398,0.2385,0,1,0,1,1.691,131.85
2019,2,HOU,SA,NA,LEISURE,31.58,4368.23,661.23,921.13,1087.39,437.44,0.1684,0.8328,1,0,1,0,4.24,75.665
2020,4,HOU,KR,SAS,MEDICAL,23.21,15309.98,2847.06,6319.06,2370.44,2741.39,0.1392,0.8524,0,0,0,0,1.261,80.272
2012,12,SEA,ZA,NA,LEISURE,8.06,24652.59,3678.0,5770.52,3889.53,1277.83,0.3074,0.7378,0,0,1,0,3.655,129.586
2023,11,SEA,AE,NA,LEISURE,1.92,24400.72,2377.47,7537.58,4717.9,1910.73,0.5078,0.5332,1,0,0,0,4.784,93.262
2018,4,DFW,IN,EAP,BUSINESS,9.17,758.84,101.43,336.41,176.78,41.51,0.3006,0.7386,0,1,1,0,7.455,119.641
2012,7,EWR,AU,NA,TRANSIT,42.49,6331.37,890.58,2294.6,1748.03,445.55,0.1363,0.9076,0,0,0,0,4.348,101.716
2019,10,ORD,MX,MENA,BUSINESS,48.52,21447.57,4489.53,9423.46,4927.06,2196.95,0.3898,0.6317,0,1,1,0,5.725,121.212
2021,4,JFK,MX,LATAM,LEISURE,40.07,2236.02,385.75,901.1,466.5,382.29,0.1973,0.8073,0,0,0,0,2.956,128.495
2025,8,SEA,JP,LATAM,VISITING_FRIENDS_FAMILY,24.33,22492.07,4805.05,8192.06,6087.24,3087.78,0.733,0.3022,0,0,1,0,5.898,119.4
2021,4,MIA,IN,EAP,LEISURE,45.63,9320.48,1222.37,3810.45,2573.28,600.63,0.8167,0.159,0,0,0,1,1.8,78.427
2024,3,SEA,CN,EAP,VISITING_FRIENDS_FAMILY,49.26,23743.87,4619.71,6997.77,4477.85,2478.49,0.9443,0.0995,0,0,0,0,8.551,127.219
2016,10,JFK,CN,LATAM,BUSINESS,55.87,20134.74,4628.78,6552.55,4056.34,2294.77,0.9827,0.0,0,1,1,0,9.965,138.582
2017,4,SFO,MX,MENA,LEISURE,59.53,17437.85,4355.86,3730.53,4071.02,3040.78,0.544,0.4096,0,0,0,0,1.482,122.846
2023,2,MIA,CN,LATAM,LEISURE,12.27,3452.17,412.92,1399.09,448.07,311.07,0.4797,0.5515,0,0,0,0,8.571,131.775
2024,1,SEA,SA,NA,LEISURE,44.9,2906.98,505.45,1244.14,632.42,461.27,0.3193,0.7027,0,0,1,0,6.233,95.181
2012,9,HOU,KR,MENA,LEISURE,25.86,16937.15,2631.84,6080.42,3710.28,3033.42,0.2076,0.8284,0,0,1,1,4.921,129.546
2020,10,SEA,CN,NA,LEISURE,25.49,16356.34,3028.21,4862.72,2091.98,2756.52,0.0069,0.9802,0,0,0,0,7.134,123.465
2012,8,HOU,IT,NA,TRANSIT,13.22,20778.55,2084.93,6322.78,5340.44,2247.96,0.0581,0.9334,0,0,1,1,6.633,84.319
2013,9,SEA,AE,EU,BUSINESS,25.03,20393.41,4484.13,6874.42,3889.75,3640.41,0.4643,0.5149,0,1,0,0,6.815,118.339
2018,3,SFO,IN,EAP,BUSINESS,32.95,15958.4,1869.85,3314.64,4252.58,1207.94,0.685,0.2688,0,1,0,0,4.747,119.444
2021,12,ORD,AU,NA,VISITING_FRIENDS_FAMILY,20.93,4723.96,1166.76,1251.85,699.47,713.22,0.9626,0.0123,1,0,0,0,9.392,83.466
2024,7,HOU,MX,NA,STUDY,35.15,10962.41,2391.38,3271.01,2692.45,1686.41,0.2411,0.7444,0,0,0,0,2.661,86.877
2019,3,EWR,JP,NA,LEISURE,5.15,3366.14,645.09,825.33,434.96,188.84,0.1239,0.8663,1,0,1,1,9.575,97.205
2022,6,FLL,IT,EU,LEISURE,35.67,1626.03,216.68,724.97,391.06,176.86,0.8506,0.196,0,0,1,1,2.202,71.593
2024,5,EWR,GB,EAP,LEISURE,13.68,20913.32,4919.3,6243.75,5420.0,1435.5,0.8657,0.1213,1,0,0,1,7.352,137.788
2016,1,SFO,MX,EU,BUSINESS,32.36,13455.02,3146.95,3332.16,2391.65,1455.46,0.1887,0.8603,1,1,0,0,4.592,72.687
2014,10,LAX,ZA,EU,LEISURE,53.03,15473.07,2076.93,5011.75,2371.43,1652.8,0.4002,0.6238,0,0,0,0,3.066,125.936
2015,12,SEA,AE,NA,LEISURE,46.41,24067.9,2319.28,10438.56,5787.72,2253.84,0.583,0.3797,1,0,0,0,2.781,90.693
2015,6,EWR,CA,EU,VISITING_FRIENDS_FAMILY,27.11,23696.84,5651.81,5956.53,3818.28,3757.88,0.3714,0.6206,0,0,1,1,9.038,81.915
2014,6,BOS,BR,LATAM,LEISURE,7.43,9358.86,2214.52,1996.46,1950.45,599.04,0.94,0.0364,0,0,1,0,7.911,74.028
2018,11,BOS,CO,SAS,LEISURE,23.09,24033.18,2721.0,8965.65,5124.49,3695.34,0.8392,0.1855,0,0,1,1,5.541,114.312
2024,5,DFW,SA,SAS,LEISURE,31.64,11170.67,2729.01,4918.25,1387.57,1094.46,0.0102,0.9853,0,0,0,0,8.396,118.965
2019,9,MIA,SA,EAP,BUSINESS,11.86,4313.9,828.63,1746.35,710.94,560.34,0.6236,0.3741,0,1,0,0,9.975,83.122
2013,7,SFO,GB,LATAM,BUSINESS,25.55,11756.8,2833.43,3571.84,1738.71,725.99,0.7947,0.1952,0,1,0,0,3.675,133.154
2012,12,BOS,CO,LATAM,STUDY,2.27,18275.06,1863.71,6939.36,3434.91,2033.9,0.9637,0.0823,0,0,1,0,2.665,113.133
2025,5,FLL,AE,EU,LEISURE,10.3,5375.81,776.79,2048.3,716.45,724.82,0.4465,0.5384,0,0,1,0,7.369,125.53
2015,5,FLL,FR,EU,LEISURE,58.03,7273.31,1424.03,1928.79,1458.28,731.24,0.9312,0.1023,0,0,0,1,2.815,105.084
2014,1,LAX,SA,SSA,BUSINESS,54.44,18057.04,3849.09,5888.71,4247.29,1441.51,0.3429,0.6454,0,1,0,0,7.907,132.698
2019,8,BOS,MX,MENA,BUSINESS,27.69,4731.94,867.86,1932.91,638.26,567.93,0.0688,0.9151,0,1,1,1,9.459,111.191
2014,10,MIA,ES,NA,TRANSIT,39.14,22466.48,3037.66,9649.16,3459.79,2647.78,0.7352,0.3065,0,0,0,0,4.697,70.908
2023,8,BOS,BR,LATAM,LEISURE,22.83,3981.18,413.93,927.06,891.91,251.76,0.7358,0.2847,0,0,1,0,1.508,109.583
2012,11,ATL,DE,EAP,BUSINESS,31.68,5124.67,964.4,2073.83,1066.99,435.42,0.0305,0.9347,0,1,1,0,1.072,71.577
2015,12,HOU,ZA,SAS,BUSINESS,29.45,7666.18,782.46,2443.69,1487.73,1219.97,0.8606,0.0901,0,1,0,1,8.149,102.861
2022,10,ORD,AR,NA,OTHER,9.09,3774.72,480.42,872.19,719.88,396.98,0.4179,0.5935,0,0,1,0,5.961,106.296
2023,1,EWR,FR,NA,LEISURE,25.52,7841.41,1792.34,1800.22,1843.7,844.39,0.2792,0.7016,0,0,1,0,5.977,120.968
2017,1,FLL,IT,EU,LEISURE,5.52,10239.21,1969.93,2376.37,1711.43,1128.88,0.0324,0.9396,0,0,1,0,7.694,125.267
2024,1,SFO,GB,NA,LEISURE,47.99,464.16,63.58,168.86,119.97,50.94,0.7955,0.1798,0,0,1,0,9.459,102.216
2021,8,EWR,SA,MENA,BUSINESS,22.01,2466.05,358.1,656.1,481.91,359.9,0.0124,0.9408,1,1,1,0,7.234,124.648
2022,4,MIA,TR,NA,LEISURE,39.65,17218.11,1504.11,7065.19,2779.82,1720.74,0.2461,0.7182,1,0,1,1,4.106,71.115
2023,4,EWR,AU,EU,LEISURE,25.6,1157.1,215.89,273.34,226.9,194.2,0.1369,0.8196,0,0,0,0,7.246,83.596
2017,6,BOS,NZ,EAP,LEISURE,6.07,871.81,116.07,370.18,251.32,54.08,0.9412,0.0601,0,0,0,1,2.663,134.919
2015,1,FLL,FR,EU,LEISURE,4.57,3970.33,409.46,977.9,877.73,331.34,0.4008,0.5928,0,1,0,1,3.105,97.967
2021,12,EWR,ES,EU,BUSINESS,36.49,2489.09,294.09,528.99,502.32,146.54,0.1713,0.8121,0,1,0,1,2.545,113.858
