qol_ncoial_survey_cycle_id,qol_ncoial_neighborhood_cluster_id,qol_ncoial_neighborliness_score,qol_ncoial_belonging_score,qol_ncoial_participation_local_events_rate,qol_ncoial_mutual_aid_participation_rate,qol_ncoial_intergroup_contact_score,qol_ncoial_civic_pride_score,qol_ncoial_shared_norms_score,qol_ncoial_conflict_resolution_score,qol_ncoial_online_community_engagement_rate,qol_ncoial_hate_incident_awareness_score,qol_ncoial_trust_local_institutions_score,qol_ncoial_youth_engagement_score,qol_ncoial_senior_engagement_score,qol_ncoial_newcomer_integration_score,qol_ncoial_language_inclusion_score,qol_ncoial_public_space_comfort_score,qol_ncoial_community_problem_solving_score,qol_ncoial_survey_sampling_weight
CYC2020_1,NBH9485,2.57,8.59,28.7,61.87,8.67,8.48,8.35,8.22,68.75,7.2,9.55,7.81,1.43,2.33,3.36,0.88,8.83,1.7897
CYC2026_1,NBH4855,4.74,1.98,73.01,88.05,7.21,2.73,0.28,1.4,67.55,7.61,4.9,0.27,4.85,8.87,1.22,9.08,9.51,2.7212
CYC2019_4,NBH3636,8.62,7.19,49.12,16.15,4.84,0.93,6.15,7.79,62.8,0.14,6.69,4.86,4.29,2.83,1.16,5.6,8.33,3.9463
CYC2018_4,NBH4259,8.81,6.42,48.83,85.97,8.34,1.93,8.44,7.65,0.63,9.42,1.63,5.17,8.9,9.39,2.3,7.59,3.57,1.8941
CYC2018_4,NBH8685,9.84,5.6,43.06,64.63,6.0,9.17,5.13,7.56,98.46,6.32,1.38,9.96,6.43,9.89,5.22,0.5,9.28,3.5688
CYC2023_1,NBH4816,5.22,7.82,61.7,11.71,0.48,3.78,0.07,2.11,91.71,5.8,6.94,7.79,9.47,1.53,5.76,3.89,3.82,2.7869
CYC2025_3,NBH1800,5.66,9.02,4.89,64.99,4.65,9.46,2.56,2.66,76.72,4.3,3.58,3.05,1.51,1.51,2.17,7.24,6.0,3.6067
CYC2019_4,NBH9988,1.17,6.2,7.55,31.82,6.26,2.17,7.78,9.6,93.64,0.87,7.2,7.57,1.77,0.94,1.04,4.97,8.73,1.4623
CYC2019_4,NBH8505,3.76,9.82,52.82,1.55,7.62,9.36,7.5,2.79,86.56,5.86,5.15,1.89,4.28,6.94,8.28,8.83,5.51,3.5184
CYC2021_3,NBH5951,8.67,9.5,35.38,81.91,6.14,7.73,1.12,9.08,72.04,2.51,6.79,6.58,5.52,1.78,5.21,6.37,5.51,1.468
CYC2021_4,NBH9661,8.34,6.67,17.5,19.83,9.12,7.19,4.97,7.37,94.78,8.8,4.52,0.16,3.32,3.03,3.44,9.51,2.51,1.3961
CYC2018_4,NBH2132,6.16,8.58,14.46,62.26,8.11,8.07,3.63,7.87,86.33,1.36,3.5,7.22,4.29,9.97,2.89,4.26,0.99,3.1333
CYC2022_2,NBH5174,3.02,3.41,86.13,7.04,9.12,2.59,6.16,5.02,31.43,8.99,8.28,5.52,4.07,6.76,1.19,9.47,8.89,2.1426
CYC2018_4,NBH4905,2.11,6.65,98.31,3.23,9.95,1.15,6.23,6.79,3.72,3.33,4.67,9.07,7.02,6.28,1.29,2.9,4.4,1.3474
CYC2020_2,NBH2246,6.05,5.18,53.77,77.33,9.75,9.82,6.59,3.68,59.06,0.68,1.62,8.91,7.48,2.44,4.12,0.62,8.64,1.345
CYC2022_2,NBH1622,1.52,3.11,26.01,26.54,3.43,0.23,2.76,1.71,5.87,4.28,7.96,4.95,7.04,1.16,4.43,2.1,1.08,1.0857
CYC2020_3,NBH5203,4.68,0.81,99.9,77.86,9.81,8.22,4.57,6.9,83.55,6.44,6.51,2.01,1.1,7.34,5.66,7.32,5.83,0.2479
CYC2020_1,NBH1322,7.11,6.15,24.78,82.78,2.62,0.7,6.93,3.26,16.31,1.76,0.16,3.04,2.76,4.82,4.79,6.79,5.12,3.2922
CYC2020_1,NBH5862,9.9,6.62,19.1,53.34,0.61,7.79,0.42,4.82,93.06,8.49,0.5,3.82,3.26,0.71,1.11,5.65,3.25,0.3643
CYC2022_3,NBH1680,5.94,0.74,2.18,71.77,2.48,5.88,6.3,4.59,85.94,2.45,3.61,2.54,1.51,9.37,1.47,8.15,7.42,2.791
CYC2023_1,NBH8540,2.86,7.66,71.05,90.12,7.87,0.74,9.54,7.5,34.59,6.45,7.64,1.37,9.66,6.51,0.2,5.53,1.94,1.1542
CYC2022_3,NBH2401,2.67,9.95,57.55,48.16,2.23,1.8,0.16,7.42,62.41,5.19,4.48,7.41,7.0,4.44,3.58,0.37,1.31,2.8746
CYC2022_3,NBH7747,5.12,0.34,69.83,87.26,1.97,1.58,0.28,7.62,91.17,4.89,2.78,9.25,1.98,4.24,9.04,9.88,2.65,3.8154
CYC2018_1,NBH4249,7.6,3.71,83.46,92.31,7.62,1.17,0.53,3.01,77.31,8.58,4.1,1.23,7.47,8.41,1.09,4.25,6.42,3.0637
CYC2020_3,NBH8114,5.71,6.23,96.13,9.22,7.35,1.46,5.18,4.62,97.51,0.78,2.65,0.14,8.87,3.46,0.1,7.23,0.79,2.3086
CYC2018_2,NBH2583,4.13,4.25,68.3,65.72,5.12,5.96,8.66,8.07,52.17,9.32,4.6,3.09,1.58,2.25,6.77,5.77,1.31,2.0166
CYC2023_1,NBH7214,1.84,6.13,35.06,20.66,6.95,5.54,9.96,9.33,30.76,5.81,3.75,6.53,5.44,9.3,6.2,4.03,6.67,2.8561
CYC2023_2,NBH6442,4.27,9.41,42.45,10.74,4.2,9.87,2.02,9.14,11.86,1.08,0.48,1.61,9.42,8.21,3.34,1.39,5.61,0.669
CYC2020_3,NBH2137,3.15,3.82,96.02,86.0,5.46,6.83,0.98,1.83,55.07,1.26,0.2,1.05,1.04,7.41,8.5,8.14,9.91,3.5667
CYC2022_1,NBH2095,9.11,7.76,60.1,87.42,0.55,0.25,8.9,3.27,1.81,8.56,9.89,0.91,7.21,1.36,1.47,4.4,1.68,1.8212
CYC2021_2,NBH7337,9.35,8.28,55.38,93.1,2.55,3.47,1.92,1.28,85.86,1.65,8.47,4.62,6.05,2.83,1.88,1.2,2.36,3.7174
CYC2021_4,NBH2572,8.79,2.85,59.13,78.23,7.84,7.89,9.96,9.57,20.27,3.69,5.16,7.27,6.77,6.74,2.83,3.37,2.06,3.545
CYC2026_1,NBH8444,9.58,9.16,27.94,88.81,5.48,6.54,4.29,9.84,68.41,3.51,5.71,8.68,0.64,2.19,0.07,1.59,5.48,1.6222
CYC2020_4,NBH6950,0.22,3.35,4.67,33.99,3.77,2.62,7.55,4.23,9.13,4.31,0.6,4.48,7.63,7.94,4.39,9.06,0.75,3.7363
CYC2020_2,NBH5674,4.37,2.15,29.81,19.37,2.41,7.47,8.54,9.54,99.06,4.07,0.67,6.03,0.69,6.97,7.04,1.48,7.62,1.1956
CYC2022_1,NBH4364,3.04,6.38,26.92,61.89,3.01,2.36,7.42,3.08,21.14,9.58,8.57,4.79,0.75,5.31,0.35,8.31,4.24,1.0139
CYC2023_4,NBH3556,8.37,1.28,49.83,59.49,1.68,6.23,6.5,1.73,92.48,8.95,2.58,7.26,6.33,6.68,5.95,3.69,0.28,1.8158
CYC2024_4,NBH2307,6.51,3.93,46.0,61.25,8.51,3.57,5.6,7.59,96.21,1.21,0.8,0.37,2.13,5.29,1.69,2.47,1.64,3.543
CYC2023_4,NBH6681,3.28,9.22,63.01,16.28,8.1,3.11,8.62,5.36,69.29,7.12,0.48,7.37,2.31,7.63,3.08,0.94,6.05,3.9589
CYC2024_2,NBH4114,1.36,7.28,60.33,8.24,1.16,7.61,2.13,1.46,5.59,7.93,9.41,8.42,0.14,2.49,8.08,7.75,1.84,3.1308
CYC2019_3,NBH2427,6.16,6.07,8.12,38.29,9.31,0.0,3.91,5.47,44.0,8.08,5.3,6.57,1.2,2.4,8.89,5.68,6.75,1.2226
CYC2025_3,NBH9292,7.62,1.91,74.86,98.12,6.0,7.28,6.86,4.14,27.4,6.28,9.05,9.15,3.11,8.57,1.7,6.29,4.96,1.3728
CYC2022_1,NBH9043,4.41,6.58,57.47,65.67,0.59,6.33,5.69,9.89,7.1,3.71,8.48,4.08,9.91,0.76,0.25,7.35,9.51,0.4038
CYC2023_2,NBH9969,7.08,2.25,52.07,67.46,1.74,3.92,4.73,0.68,98.79,0.04,1.07,6.68,0.48,9.39,9.65,4.78,5.84,3.5518
CYC2020_3,NBH8725,1.63,2.35,31.57,87.49,3.94,4.06,5.09,2.47,22.93,3.62,6.58,9.16,3.97,4.25,0.98,6.67,6.78,2.704
CYC2025_4,NBH9797,4.5,5.62,71.22,29.06,6.84,0.0,8.38,6.24,28.06,3.55,1.83,2.89,8.5,7.87,1.91,6.97,1.94,3.4751
CYC2019_1,NBH2620,7.96,4.64,50.57,82.23,2.13,1.94,3.05,5.43,62.95,8.04,3.53,2.12,4.13,1.73,2.71,0.68,0.74,0.9955
CYC2021_1,NBH2624,1.26,1.86,25.9,90.49,3.64,9.35,0.83,8.63,45.59,8.94,7.44,2.62,3.89,7.12,2.33,6.81,5.68,1.4924
CYC2025_1,NBH8569,5.37,7.26,39.26,23.38,6.53,2.8,2.78,7.32,87.95,5.13,0.45,7.14,7.55,9.38,5.5,5.79,7.14,2.122
CYC2022_2,NBH8228,6.34,2.83,96.77,82.93,3.48,0.15,9.59,1.05,32.97,1.84,8.95,3.35,2.74,4.53,9.95,5.22,0.3,2.5874
CYC2020_2,NBH3290,3.34,9.38,7.4,75.42,8.79,9.61,0.43,3.34,38.1,0.62,4.56,8.06,8.18,7.08,7.35,6.01,8.69,2.79
CYC2023_2,NBH6763,8.41,1.2,90.16,29.23,6.73,2.66,4.27,2.15,23.51,4.81,2.06,4.23,6.63,3.38,8.5,3.64,9.33,2.889
CYC2020_3,NBH3047,4.7,8.42,25.68,99.82,8.93,3.62,8.58,9.99,99.57,3.16,5.18,5.08,6.97,0.73,8.22,1.94,4.63,2.4673
CYC2025_3,NBH6805,3.7,4.45,48.97,97.55,4.22,6.11,1.17,2.25,6.35,4.76,5.02,9.22,6.87,2.23,0.66,1.14,0.62,3.8685
CYC2018_3,NBH1179,1.58,7.13,22.69,54.58,1.5,8.84,5.57,3.02,90.81,5.24,5.44,3.97,1.25,2.18,4.74,7.11,2.05,0.7909
CYC2019_3,NBH8805,4.37,5.59,48.86,90.07,0.66,9.03,6.26,1.56,10.4,8.31,0.26,5.8,8.78,9.31,6.18,9.65,6.6,3.7595
CYC2020_2,NBH2583,4.05,4.03,32.55,99.89,1.48,2.41,0.95,5.72,83.46,2.24,5.64,1.96,0.63,1.21,4.22,2.06,0.91,1.7682
CYC2019_1,NBH5941,1.68,9.93,63.72,44.88,9.56,5.1,8.1,4.45,88.53,5.88,7.62,7.69,5.85,1.34,3.26,0.19,0.23,2.7128
CYC2020_2,NBH1858,7.28,5.56,56.12,82.98,5.74,9.42,9.73,7.42,8.56,6.82,9.51,9.15,2.03,8.96,1.62,0.78,0.37,3.8574
CYC2019_1,NBH5065,8.71,1.0,94.82,19.35,2.81,8.41,4.13,5.97,59.06,1.32,4.01,9.11,0.58,7.04,4.97,0.27,4.81,1.6796
CYC2025_3,NBH1794,8.01,8.72,51.97,33.3,1.6,2.48,1.2,7.55,31.6,8.81,7.11,6.65,2.61,0.43,6.35,0.14,3.31,3.8608
CYC2026_4,NBH1012,3.95,2.99,5.56,64.91,8.62,9.8,4.55,6.29,19.84,7.65,3.14,8.54,8.4,0.97,6.38,8.36,5.25,2.9208
CYC2024_2,NBH3020,6.04,2.71,92.36,42.75,7.05,0.87,0.03,9.46,71.64,1.52,5.5,1.02,7.78,3.73,0.42,0.27,2.43,0.9132
CYC2019_4,NBH5980,7.2,7.64,72.34,30.92,9.06,8.38,2.81,9.03,14.75,4.17,8.14,7.32,3.33,8.32,0.92,7.89,6.92,1.175
CYC2018_1,NBH1519,3.9,1.09,95.41,61.72,7.48,6.65,4.47,9.48,33.61,9.45,6.27,4.42,6.77,8.31,9.26,6.15,6.78,3.822
CYC2026_4,NBH4304,5.87,2.36,19.3,31.76,2.69,4.03,6.97,8.62,16.08,5.67,6.62,5.4,0.66,6.4,3.26,2.37,4.45,2.9126
CYC2020_3,NBH6596,3.48,0.34,88.13,29.16,8.87,7.2,9.43,5.78,76.43,1.73,6.69,5.41,4.74,2.28,6.88,5.18,8.62,0.5525
CYC2020_2,NBH9235,3.17,8.08,56.14,60.76,5.52,5.91,0.14,7.05,79.02,9.72,6.76,5.28,5.28,3.27,4.73,0.41,9.69,0.5496
CYC2020_2,NBH4273,5.92,8.01,75.43,78.99,7.3,5.67,9.33,5.86,76.69,3.4,2.01,3.86,7.03,6.71,1.74,1.46,2.8,0.2252
CYC2021_2,NBH3993,8.62,6.8,7.69,43.31,7.11,0.93,3.6,7.13,83.73,6.38,8.38,6.54,9.32,0.14,3.5,0.65,3.8,1.1397
CYC2024_1,NBH8204,2.89,5.81,64.93,25.9,1.42,4.17,2.97,9.19,79.81,8.85,1.03,3.83,8.49,1.75,7.8,8.74,2.74,3.875
CYC2021_1,NBH5734,4.24,9.3,35.49,40.37,7.08,9.97,3.57,2.5,53.54,3.92,8.07,6.61,7.23,4.01,5.16,1.75,2.22,2.403
CYC2019_1,NBH1456,8.85,7.45,82.97,87.62,6.08,9.58,8.16,5.46,8.08,7.15,6.96,3.32,3.48,7.03,7.29,6.13,2.31,3.3623
CYC2018_1,NBH3960,9.35,2.94,18.23,42.13,4.33,8.6,6.02,0.46,35.02,0.31,0.75,6.63,2.0,5.44,3.79,0.89,9.13,1.5797
CYC2019_2,NBH2431,3.75,1.7,78.32,73.4,8.19,4.87,7.04,1.35,59.01,9.34,3.07,6.13,2.21,2.99,9.53,0.89,7.71,3.524
CYC2022_3,NBH4256,7.58,3.99,76.73,12.82,6.19,3.73,0.13,5.31,59.27,9.26,9.23,6.99,3.78,0.29,7.16,3.98,3.09,1.4969
CYC2023_3,NBH7861,1.84,8.32,39.46,47.84,2.42,7.11,6.67,1.94,10.31,1.21,4.77,9.75,8.45,4.7,6.73,4.36,9.86,1.6622
CYC2026_2,NBH6222,3.74,1.74,76.5,10.8,5.66,1.59,8.01,4.72,69.43,2.6,0.83,3.51,4.27,7.57,2.71,9.16,9.22,1.4901
CYC2022_3,NBH1892,4.95,7.9,42.96,49.95,7.75,2.3,9.23,6.18,65.78,9.59,0.7,2.33,6.35,1.28,3.99,6.07,1.49,1.6017
CYC2026_1,NBH9782,0.55,5.17,64.51,85.73,9.08,2.21,1.87,4.74,41.37,7.59,3.65,9.78,6.4,2.26,3.77,6.64,6.11,2.9851
CYC2021_3,NBH7944,0.89,8.34,86.45,84.49,5.48,2.95,8.55,8.98,91.84,6.76,5.35,0.03,1.24,4.86,7.24,0.5,5.4,1.9376
CYC2021_2,NBH6542,7.47,1.13,94.16,54.9,0.47,5.91,3.13,9.27,40.85,3.74,9.05,4.68,7.72,5.65,5.8,0.16,2.51,1.9233
CYC2024_3,NBH3911,2.35,5.07,13.38,88.59,8.33,7.77,1.21,5.22,45.15,2.29,6.62,9.09,5.73,9.17,8.44,4.16,0.51,1.9261
CYC2024_1,NBH6484,9.47,5.25,55.25,12.97,4.98,8.86,6.25,6.51,25.61,3.17,0.85,8.94,8.19,9.8,6.4,8.68,4.3,1.2459
CYC2023_1,NBH4217,1.67,0.04,82.78,87.59,0.88,8.08,7.06,4.34,75.38,0.99,9.1,4.51,0.06,9.6,4.38,3.92,5.52,3.9859
CYC2019_2,NBH5780,3.31,1.71,78.32,99.57,7.92,6.74,8.05,1.76,52.7,3.05,6.6,1.35,7.59,4.88,6.1,5.1,1.78,2.6745
CYC2020_2,NBH8010,5.6,2.48,32.98,20.57,7.81,8.32,5.58,7.16,74.9,8.17,6.8,8.61,8.82,6.91,9.9,6.92,4.39,2.8953
CYC2020_2,NBH2832,4.38,6.95,52.67,12.42,5.38,7.35,6.64,7.87,34.69,7.81,5.99,7.39,4.56,1.94,9.91,8.11,7.62,3.6939
CYC2019_4,NBH8930,5.65,7.66,17.35,92.04,2.83,8.47,8.01,0.15,32.56,7.02,5.92,5.36,2.7,9.76,5.37,5.27,4.78,1.5833
CYC2026_1,NBH7744,5.67,0.71,23.02,25.31,9.07,1.52,3.74,9.53,30.75,9.05,9.26,0.65,8.71,5.2,9.04,0.76,0.6,1.7787
CYC2020_1,NBH4303,4.79,6.7,47.42,16.03,3.17,2.86,0.45,2.48,75.47,5.71,5.75,2.43,3.29,6.54,2.38,9.05,7.6,0.2866
CYC2022_3,NBH8507,7.29,4.26,54.11,41.6,4.06,2.79,9.52,0.52,64.79,4.59,5.3,1.27,1.09,0.89,1.47,8.43,0.9,1.1323
CYC2025_2,NBH1171,4.21,1.66,2.54,34.73,8.61,1.01,9.56,8.74,4.15,0.82,4.45,0.8,9.53,0.23,9.42,6.47,5.46,2.6855
