qol_trust_reference_year,qol_trust_country_iso2,qol_trust_region_nuts_code,qol_trust_trust_in_parliament_score,qol_trust_trust_in_government_score,qol_trust_trust_in_police_score,qol_trust_trust_in_media_score,qol_trust_corruption_perception_score,qol_trust_satisfaction_with_democracy_score,qol_trust_sense_of_safety_night_pct,qol_trust_victimisation_rate_pct,qol_trust_social_capital_index,qol_trust_volunteering_rate_pct,qol_trust_civic_participation_rate_pct,qol_trust_hate_speech_exposure_rate_pct,qol_trust_disinformation_exposure_index,qol_trust_institutional_quality_index,qol_trust_survey_source,qol_trust_survey_weight,qol_trust_data_extract_date
2011,LU,HU1,2.92,5.55,9.29,5.84,85.19,3.87,51.03,7.58,79.09,36.64,40.27,9.44,62.23,59.51,NATIONAL_TRUST_SURVEY,0.5522,2025-09-19
2012,RO,CZ9,4.87,2.46,7.64,4.03,33.94,4.54,79.12,8.93,52.18,18.77,14.49,12.33,32.63,41.94,EUQLS,4.6933,2024-04-03
2013,AT,SI366,3.59,2.84,7.93,3.9,50.03,3.7,53.03,16.16,69.12,22.8,18.08,13.65,34.82,67.47,ESS,2.9853,2025-06-23
2014,CZ,SK1,2.38,4.93,4.94,4.51,61.36,3.64,81.63,10.56,43.22,18.53,36.81,17.5,60.84,43.85,EUROBAROMETER,1.4316,2025-08-12
2015,DE,AT768,3.04,5.28,3.91,1.85,53.37,4.78,57.7,11.25,78.9,6.44,37.95,7.09,46.08,75.37,NATIONAL_TRUST_SURVEY,3.9487,2024-05-07
2016,LV,HR75,2.47,2.36,6.99,3.49,69.69,5.23,53.42,7.27,59.7,21.91,33.41,19.65,96.09,41.77,EUQLS,1.1169,2024-06-15
2017,PL,SE54,4.05,4.12,3.87,4.35,68.09,2.99,73.56,9.99,56.95,9.58,36.7,16.61,76.36,46.28,ESS,2.0082,2025-06-02
2018,ES,CZ474,6.04,2.6,7.51,2.37,71.22,4.99,61.39,7.94,52.45,6.73,34.7,12.39,76.29,46.45,EUROBAROMETER,1.4496,2024-10-01
2019,HR,PT5,4.23,3.83,7.64,3.53,38.21,5.8,80.0,15.9,43.01,5.44,20.8,8.26,32.09,59.36,NATIONAL_TRUST_SURVEY,2.3157,2025-01-26
2020,FI,EE6,7.11,2.38,4.82,5.03,90.99,7.03,49.62,16.58,45.51,15.33,22.28,19.46,46.42,80.26,EUQLS,2.0396,2024-12-15
2021,IE,SE14,3.15,2.53,7.0,4.75,71.25,3.86,72.94,15.08,58.82,26.46,22.07,16.61,59.63,69.07,ESS,1.0742,2026-01-25
2022,MT,LV328,2.81,4.62,4.8,5.65,57.04,4.66,54.08,8.36,39.47,14.31,17.35,5.42,48.59,83.89,EUROBAROMETER,1.8141,2024-06-22
2023,SK,DE680,3.56,2.55,7.49,5.04,48.04,5.37,64.54,11.76,71.09,9.63,13.68,19.0,59.14,83.19,NATIONAL_TRUST_SURVEY,0.8851,2025-01-05
2024,BE,DE450,5.57,4.1,7.51,5.81,61.9,4.48,47.53,10.9,79.08,16.65,15.13,16.34,34.97,35.56,EUQLS,2.2999,2025-01-13
2025,DK,LT869,3.05,3.25,4.87,2.87,68.77,6.9,59.48,12.65,43.19,19.39,32.24,26.59,38.13,73.9,ESS,1.5132,2024-01-05
2006,GR,LU771,5.35,6.16,6.1,3.16,42.22,6.46,47.13,8.41,41.6,21.38,8.94,7.58,69.99,55.77,EUROBAROMETER,4.2599,2024-11-05
2007,LT,ES956,3.34,2.65,6.51,4.58,42.25,7.09,47.67,14.32,53.25,13.66,15.98,11.49,51.9,58.59,NATIONAL_TRUST_SURVEY,0.5091,2024-01-10
2008,PT,SE3,4.53,2.93,4.98,5.35,75.92,5.16,72.23,11.89,66.6,20.77,27.03,12.53,31.14,83.63,EUQLS,2.0099,2025-09-12
2009,SE,FI4,6.64,7.3,9.54,4.56,89.72,4.26,95.25,13.36,66.83,34.19,37.2,9.66,26.67,45.06,ESS,3.0743,2025-03-08
2010,CY,FI76,4.42,4.88,7.74,5.7,41.95,4.84,84.5,6.31,42.34,12.52,14.18,6.79,59.26,81.76,EUROBAROMETER,4.337,2025-09-08
2011,FR,DE9,2.57,3.93,4.27,6.11,47.74,5.56,67.64,8.54,52.41,29.67,23.65,13.88,24.51,82.66,NATIONAL_TRUST_SURVEY,1.8046,2024-03-22
2012,IT,DE344,4.62,3.0,6.87,1.94,41.09,5.53,47.01,5.97,51.24,17.24,25.03,17.97,46.57,48.97,EUQLS,3.2873,2025-06-24
2013,NL,HR144,3.55,4.76,8.5,2.93,50.1,5.54,67.85,11.18,46.86,29.07,36.35,20.52,29.07,51.48,ESS,2.6616,2025-02-13
2014,SI,PL99,5.81,3.38,5.74,3.41,57.12,4.54,80.44,6.53,71.24,23.11,44.61,16.26,32.68,60.0,EUROBAROMETER,0.4532,2026-02-02
2015,BG,LV56,4.23,4.55,7.85,6.04,56.75,3.81,59.87,11.08,52.01,18.22,34.45,15.33,48.76,72.47,NATIONAL_TRUST_SURVEY,2.0174,2024-08-18
2016,EE,ES66,3.61,5.89,4.64,4.87,71.56,7.26,55.35,11.19,79.67,5.8,19.41,5.25,62.97,32.66,EUQLS,1.316,2024-08-20
2017,HU,NL113,5.68,3.43,4.65,6.04,50.02,6.69,43.43,7.81,63.22,28.97,39.93,14.58,31.62,42.18,ESS,3.2246,2025-05-16
2018,LU,FI112,5.38,5.35,7.53,5.88,64.44,3.6,83.08,7.7,85.04,30.01,36.24,6.88,69.93,57.18,EUROBAROMETER,0.4216,2025-04-25
2019,RO,CZ5,2.86,2.57,7.83,4.15,47.9,3.6,66.86,8.17,36.87,26.1,20.38,5.91,77.04,62.47,NATIONAL_TRUST_SURVEY,0.8216,2025-01-29
2020,AT,NL952,5.96,4.99,5.06,5.8,74.93,6.0,61.05,15.29,53.98,28.39,21.62,16.57,70.75,43.9,EUQLS,3.8504,2025-12-10
2021,CZ,SK7,2.62,3.81,7.48,3.81,69.64,4.12,43.46,14.99,78.61,18.46,39.32,19.93,71.68,65.8,ESS,0.5387,2025-06-30
2022,DE,HR323,2.14,5.56,6.47,5.26,46.14,6.2,46.42,11.36,51.91,6.82,34.72,21.11,63.34,36.48,EUROBAROMETER,0.2059,2025-10-02
2023,LV,SI10,4.93,3.41,6.07,6.18,44.69,5.21,55.06,15.24,68.78,11.66,30.96,5.97,31.04,49.38,NATIONAL_TRUST_SURVEY,3.9541,2025-10-30
2024,PL,AT1,6.29,2.37,4.65,3.06,50.73,7.21,63.53,13.73,56.45,16.71,37.88,6.14,89.23,37.54,EUQLS,0.5997,2024-03-03
2025,ES,SE754,2.47,2.94,4.84,5.47,59.72,7.19,74.59,8.12,79.47,23.73,12.56,7.92,56.43,82.4,ESS,2.5507,2024-05-25
2006,HR,CZ11,5.32,2.46,5.27,3.42,64.86,6.22,75.65,13.54,41.33,19.59,24.62,5.86,74.26,49.92,EUROBAROMETER,1.783,2025-02-28
2007,FI,IE455,6.48,2.39,7.71,1.99,72.28,4.61,77.89,11.79,55.68,30.07,29.1,26.39,75.77,98.61,NATIONAL_TRUST_SURVEY,4.0212,2025-03-12
2008,IE,RO936,2.74,2.26,7.97,2.6,39.35,4.28,62.23,15.15,37.52,9.81,12.01,11.89,33.43,35.78,EUQLS,1.6067,2024-11-30
2009,MT,HR29,3.93,3.24,7.0,5.98,74.51,6.39,52.5,14.53,51.96,19.62,22.44,17.51,45.04,70.88,ESS,4.6438,2024-02-21
2010,SK,HR3,4.8,5.57,3.64,3.61,50.34,3.77,73.3,15.2,50.16,19.75,8.62,17.74,37.37,52.51,EUROBAROMETER,2.54,2024-02-28
2011,BE,FR77,3.26,5.57,6.46,2.84,62.36,7.07,87.12,7.23,51.37,17.76,26.48,26.75,69.49,36.96,NATIONAL_TRUST_SURVEY,1.9049,2025-01-19
2012,DK,LU94,6.7,3.9,9.57,3.89,61.09,8.65,50.17,14.43,55.31,11.09,28.02,13.28,26.86,45.97,EUQLS,0.6153,2026-01-15
2013,GR,ES3,5.05,4.31,5.88,2.66,45.14,6.97,66.73,6.89,65.28,17.86,33.85,10.96,33.87,45.02,ESS,2.6285,2025-07-22
2014,LT,PL586,3.45,6.05,4.84,4.68,58.73,4.44,46.4,7.55,46.86,9.57,25.53,17.05,44.52,44.54,EUROBAROMETER,0.3609,2024-09-17
2015,PT,LT39,2.99,3.13,5.96,1.94,62.45,6.59,74.78,16.31,60.38,6.75,20.39,11.39,61.97,60.94,NATIONAL_TRUST_SURVEY,3.5499,2024-02-10
2016,SE,BE82,5.07,5.39,5.54,2.44,41.18,7.52,50.82,8.02,82.1,34.61,35.15,8.54,43.94,66.3,EUQLS,1.1167,2024-03-21
2017,CY,AT26,4.93,5.83,6.41,5.04,38.8,6.09,56.36,14.32,74.13,11.23,34.69,18.42,81.24,44.77,ESS,2.2451,2024-01-25
2018,FR,DE302,2.83,6.07,3.72,2.36,67.67,7.11,44.58,10.24,51.06,22.95,14.68,10.22,70.01,49.23,EUROBAROMETER,0.9154,2025-06-17
2019,IT,HU59,5.17,3.2,4.57,3.23,74.57,4.0,61.91,7.31,64.17,17.8,45.08,16.19,74.92,48.49,NATIONAL_TRUST_SURVEY,3.9939,2024-02-27
2020,NL,LU130,3.46,5.78,6.96,4.0,69.69,7.38,50.07,13.39,39.91,34.09,18.44,5.77,62.78,98.5,EUQLS,1.7532,2024-06-25
2021,SI,ES9,2.1,4.74,3.81,4.32,70.13,3.57,72.87,13.74,49.2,6.52,25.78,12.12,67.83,40.66,ESS,1.1678,2025-06-15
2022,BG,IE748,3.46,3.72,4.24,1.97,50.7,6.2,66.06,11.63,52.19,19.17,33.07,9.23,79.11,74.78,EUROBAROMETER,1.4801,2024-08-16
2023,EE,PT20,3.27,4.15,4.78,4.99,59.3,5.92,54.68,8.48,79.6,21.53,11.4,8.8,45.37,60.25,NATIONAL_TRUST_SURVEY,4.3472,2024-01-03
2024,HU,EE75,6.26,3.75,7.7,2.07,55.74,3.85,85.29,9.86,54.8,13.63,20.24,14.03,31.88,70.13,EUQLS,1.27,2026-01-26
2025,LU,HU39,7.15,3.4,6.62,5.3,64.25,7.58,97.5,6.76,56.49,34.49,36.92,6.45,26.62,43.08,ESS,4.6798,2026-01-16
2006,RO,EE62,3.88,3.82,5.44,2.13,67.1,5.16,81.32,9.86,42.01,15.29,34.51,5.86,28.59,33.18,EUROBAROMETER,4.45,2024-04-19
2007,AT,FI744,6.26,4.99,5.12,2.54,46.02,5.9,75.21,9.67,47.54,22.95,31.62,25.29,68.0,64.4,NATIONAL_TRUST_SURVEY,4.1624,2024-10-18
2008,CZ,IE820,5.34,5.9,7.91,5.47,59.66,5.5,58.3,13.66,32.32,22.31,24.91,13.41,35.81,68.82,EUQLS,2.2247,2025-10-06
2009,DE,MT355,3.02,2.46,5.49,5.04,62.29,6.05,86.61,6.66,44.25,20.1,31.85,8.77,27.2,80.98,ESS,3.0579,2026-02-24
2010,LV,IT927,3.16,3.26,3.86,1.93,47.52,6.26,72.18,14.88,43.38,19.58,36.03,15.32,34.84,72.32,EUROBAROMETER,1.1509,2025-08-25
2011,PL,BG78,6.13,3.74,7.21,2.87,36.6,7.27,75.38,12.98,65.39,7.46,20.54,19.57,75.32,57.02,NATIONAL_TRUST_SURVEY,2.9385,2025-09-09
2012,ES,BG60,4.25,2.28,6.31,3.67,55.67,3.19,79.11,7.52,47.48,7.12,31.76,9.48,57.59,49.65,EUQLS,1.9599,2025-06-08
2013,HR,ES61,5.49,5.71,4.11,4.6,55.19,3.82,53.53,12.76,62.22,14.67,32.69,16.57,27.21,39.02,ESS,3.474,2024-07-11
2014,FI,PT554,6.91,5.8,8.87,4.51,72.12,4.94,76.67,10.18,75.58,31.68,41.77,6.84,37.03,93.88,EUROBAROMETER,3.8166,2024-08-12
2015,IE,CZ904,2.41,4.78,6.17,4.1,60.06,6.19,79.38,7.5,53.27,16.82,28.81,22.08,33.3,65.22,NATIONAL_TRUST_SURVEY,2.7907,2024-09-18
2016,MT,LV30,2.75,3.42,5.77,2.13,55.59,5.26,67.3,10.11,34.67,27.19,23.86,18.53,68.82,50.73,EUQLS,1.2672,2026-01-31
2017,SK,IE983,4.97,4.73,6.01,3.8,39.66,6.71,70.69,10.5,51.98,7.26,10.92,12.83,58.83,52.85,ESS,1.5122,2026-01-13
2018,BE,SI82,3.39,5.11,6.8,3.3,73.19,7.37,59.38,9.94,70.93,13.43,13.26,13.65,56.54,84.29,EUROBAROMETER,4.6003,2024-07-06
2019,DK,MT77,4.31,6.48,5.24,4.15,62.68,5.81,60.42,14.4,77.94,27.29,44.97,13.48,51.13,65.52,NATIONAL_TRUST_SURVEY,1.67,2025-12-07
2020,GR,LT14,2.76,5.31,6.18,3.45,64.12,4.31,44.02,17.35,60.22,23.28,43.15,9.68,58.64,76.28,EUQLS,0.9849,2025-12-02
2021,LT,LT8,2.98,2.89,5.73,4.57,50.09,6.1,72.45,13.86,70.33,9.49,36.19,22.48,64.05,44.23,ESS,1.324,2025-04-28
2022,PT,DE271,2.34,2.11,5.14,4.57,61.15,5.63,66.77,12.74,67.32,15.53,12.03,14.39,38.81,62.43,EUROBAROMETER,1.8968,2025-11-05
2023,SE,IE52,2.86,6.74,6.92,2.05,40.03,5.15,96.61,13.32,85.44,14.4,17.42,27.29,90.82,89.23,NATIONAL_TRUST_SURVEY,2.477,2024-04-27
2024,CY,CY388,6.0,4.79,5.19,2.65,77.06,4.37,84.6,6.23,39.46,19.0,21.91,14.8,78.63,37.39,EUQLS,0.3124,2025-02-19
2025,FR,NL828,5.06,3.62,4.24,5.17,73.28,7.33,84.18,12.01,53.19,28.33,27.47,18.9,77.16,79.22,ESS,3.835,2025-12-18
2006,IT,CZ49,5.59,5.26,5.61,3.61,37.57,4.3,77.6,6.86,74.93,5.62,16.73,7.15,56.32,66.73,EUROBAROMETER,0.4046,2024-04-30
2007,NL,CY23,5.89,6.34,9.04,2.38,72.94,7.52,66.32,6.04,57.5,29.09,31.32,21.77,52.01,67.3,NATIONAL_TRUST_SURVEY,1.5435,2024-08-24
2008,SI,CY394,6.12,5.61,7.12,4.71,54.53,6.92,56.3,15.18,40.73,6.53,18.34,7.2,36.99,64.98,EUQLS,2.5794,2025-05-31
2009,BG,CZ163,3.32,5.69,7.58,5.88,44.61,3.66,45.0,10.38,49.86,22.29,26.96,12.23,28.07,72.48,ESS,3.5008,2025-11-09
2010,EE,RO51,5.59,3.91,7.04,5.29,50.81,4.57,69.73,14.91,42.33,24.87,34.68,11.84,31.27,79.25,EUROBAROMETER,3.2508,2025-12-07
2011,HU,PT355,4.82,5.28,3.78,4.61,45.15,6.55,43.59,13.9,64.44,10.84,18.17,20.95,54.19,65.91,NATIONAL_TRUST_SURVEY,3.1869,2026-02-11
2012,LU,SI930,4.67,4.91,6.6,5.45,44.67,3.52,56.76,7.72,67.51,26.98,29.76,11.17,29.8,61.1,EUQLS,1.6712,2024-05-16
2013,RO,PL549,6.06,3.59,6.55,4.82,45.29,3.7,82.69,13.41,71.2,19.75,34.04,5.76,37.98,51.95,ESS,0.9823,2026-02-13
2014,AT,LU925,3.57,4.55,7.83,5.52,46.58,4.05,57.59,6.8,49.67,8.86,15.92,4.26,34.02,78.4,EUROBAROMETER,2.1313,2024-05-03
2015,CZ,IE89,6.18,2.68,4.68,4.72,61.21,6.44,85.39,16.03,58.34,10.21,8.01,15.48,61.39,84.04,NATIONAL_TRUST_SURVEY,3.4633,2025-02-23
2016,DE,CY12,2.17,4.68,7.69,2.31,44.32,3.07,76.86,10.65,79.24,29.17,21.36,20.08,55.33,72.42,EUQLS,4.4879,2025-02-24
2017,LV,LV50,3.2,3.44,4.73,2.06,59.94,6.87,65.18,11.45,40.83,13.65,18.98,15.91,34.58,72.32,ESS,1.9261,2025-01-02
2018,PL,SI184,2.9,3.9,3.9,2.67,35.97,4.33,86.83,13.47,44.56,24.21,34.35,6.12,37.04,48.49,EUROBAROMETER,1.4133,2025-03-17
2019,ES,HR41,2.37,3.68,4.65,5.11,55.59,6.63,74.25,14.57,64.91,16.45,25.15,16.48,28.94,73.05,NATIONAL_TRUST_SURVEY,2.7054,2024-08-08
2020,HR,HR728,6.32,3.58,7.81,4.03,50.78,7.23,63.17,8.82,46.38,29.49,19.32,6.28,64.81,82.16,EUQLS,3.2407,2024-08-19
2021,FI,BG638,3.04,4.06,9.52,5.79,88.1,6.17,71.81,16.78,92.5,7.54,31.85,14.26,37.72,56.39,ESS,3.513,2025-12-30
2022,IE,CZ117,6.24,3.64,7.72,5.12,61.36,4.13,46.91,13.14,63.96,21.65,28.51,15.12,48.08,58.4,EUROBAROMETER,1.5136,2025-10-28
2023,MT,CY34,5.83,3.7,5.31,2.06,43.95,3.06,59.91,14.04,78.84,11.55,31.63,14.78,89.16,72.39,NATIONAL_TRUST_SURVEY,1.8725,2025-11-17
2024,SK,SE205,2.87,3.66,4.09,4.6,61.26,3.64,55.43,7.12,76.02,18.42,30.59,13.36,49.72,35.48,EUQLS,3.9908,2024-02-18
2025,BE,HU49,4.07,2.01,4.5,3.37,64.29,4.26,74.5,13.97,57.76,16.07,21.12,11.19,38.99,57.73,ESS,1.8379,2025-04-11
2006,DK,GR8,3.66,4.24,9.61,2.48,93.06,3.56,49.52,11.7,96.6,24.83,39.16,15.12,29.75,48.58,EUROBAROMETER,4.7612,2024-02-24
2007,GR,CZ392,5.41,3.86,7.22,6.1,59.11,4.41,68.81,13.81,42.48,21.88,19.46,15.2,50.82,47.7,NATIONAL_TRUST_SURVEY,3.2501,2025-09-05
2008,LT,GR91,3.87,3.36,4.18,3.2,60.3,6.29,50.93,11.78,46.84,18.33,22.83,7.9,74.6,59.57,EUQLS,3.3845,2026-02-17
2009,PT,CY637,2.98,5.17,6.79,2.95,65.03,6.77,87.29,11.81,50.99,15.58,11.0,19.61,35.83,33.62,ESS,0.714,2024-03-08
2010,SE,HU96,6.28,2.92,8.45,5.38,84.82,4.41,50.01,6.36,72.15,26.8,37.01,22.42,25.36,49.72,EUROBAROMETER,2.7577,2025-05-14
2011,CY,HU75,5.52,2.68,4.54,3.21,46.15,3.07,43.43,14.21,66.63,16.15,10.68,11.03,67.89,76.33,NATIONAL_TRUST_SURVEY,2.2435,2024-11-30
2012,FR,PL288,3.41,5.33,6.96,6.2,51.56,6.04,65.75,13.78,45.88,17.11,13.07,21.66,56.01,84.01,EUQLS,2.3846,2025-09-03
2013,IT,BE438,3.75,4.26,6.19,4.59,52.83,6.3,63.26,11.53,36.25,21.25,30.42,14.06,44.47,39.96,ESS,4.5827,2025-05-17
2014,NL,RO704,6.54,6.82,4.71,3.81,61.06,5.21,82.19,12.52,85.52,29.86,30.23,18.6,21.71,54.13,EUROBAROMETER,4.0482,2025-11-09
2015,SI,PT128,5.27,5.15,5.86,3.61,49.94,6.39,74.11,14.24,45.14,6.97,28.87,20.49,23.95,66.05,NATIONAL_TRUST_SURVEY,3.5436,2024-09-10
2016,BG,NL2,5.62,2.77,4.66,4.23,73.51,4.59,52.22,11.27,60.29,27.93,15.51,6.85,70.44,40.43,EUQLS,1.4998,2024-07-25
2017,EE,ES841,6.35,4.92,7.75,5.66,41.19,5.67,82.22,10.01,51.97,28.45,8.32,5.66,65.25,73.51,ESS,1.9327,2025-02-24
2018,HU,DE632,4.97,6.17,7.3,3.7,34.68,5.17,44.76,11.8,34.81,5.55,36.25,13.45,49.46,49.24,EUROBAROMETER,2.9468,2025-06-05
2019,LU,GR60,7.32,2.98,5.97,3.56,40.91,5.34,62.85,11.11,46.8,40.97,12.46,17.41,67.76,65.16,NATIONAL_TRUST_SURVEY,4.2087,2024-05-18
2020,RO,HR205,3.72,3.64,7.42,4.45,44.38,5.28,45.16,8.73,59.12,27.32,17.89,18.17,52.71,39.67,EUQLS,4.6545,2024-09-19
2021,AT,RO8,4.34,3.28,6.41,3.38,37.3,6.93,75.93,12.16,71.78,26.94,45.74,9.79,87.62,84.21,ESS,2.3683,2024-02-12
2022,CZ,DK72,4.81,2.51,7.26,3.57,75.07,3.67,67.53,16.97,77.72,14.78,39.99,15.03,54.74,40.58,EUROBAROMETER,2.4666,2025-06-11
2023,DE,HR6,2.74,5.78,4.42,2.59,46.48,7.07,55.9,16.43,53.63,27.46,28.03,27.0,44.93,79.31,NATIONAL_TRUST_SURVEY,3.6045,2025-12-05
2024,LV,FR4,3.25,4.24,4.87,5.67,63.95,4.03,79.07,6.66,72.41,15.41,9.84,5.35,54.69,77.43,EUQLS,4.8,2025-03-23
2025,PL,CY87,4.32,5.64,7.2,4.26,54.43,4.43,59.5,7.34,71.94,28.14,45.23,4.54,72.75,34.52,ESS,3.2557,2026-01-20
2006,ES,DE8,4.35,4.62,7.91,2.88,74.23,2.89,42.86,9.05,40.24,13.91,12.17,6.73,74.7,43.3,EUROBAROMETER,1.1084,2024-03-30
2007,HR,LV47,3.49,5.94,7.77,3.52,56.4,5.19,66.51,11.46,53.61,27.95,37.73,11.17,53.92,40.58,NATIONAL_TRUST_SURVEY,3.7857,2024-01-21
2008,FI,AT84,2.89,3.66,4.84,4.86,78.24,5.84,79.8,7.72,93.96,27.81,15.87,10.73,60.78,67.72,EUQLS,2.437,2025-02-10
2009,IE,ES495,6.19,4.48,5.8,6.06,47.06,3.34,78.13,8.65,50.42,27.24,35.38,16.57,55.09,32.75,ESS,1.3377,2025-05-02
2010,MT,BG6,5.44,2.76,4.96,3.96,77.37,6.6,44.95,10.44,46.3,10.19,27.38,21.46,30.72,34.41,EUROBAROMETER,3.4616,2024-12-03
2011,SK,EE701,3.63,2.69,5.78,5.3,43.85,7.06,46.83,11.12,51.25,25.55,33.41,6.7,28.82,62.84,NATIONAL_TRUST_SURVEY,0.729,2024-10-28
2012,BE,SE8,3.64,5.11,4.43,3.33,77.21,7.12,66.19,16.22,49.71,7.24,22.38,3.8,64.2,32.47,EUQLS,1.6343,2025-04-03
2013,DK,ES43,7.39,4.49,8.08,3.75,45.62,5.96,70.55,12.08,78.31,33.93,28.97,9.29,62.78,55.13,ESS,3.0184,2024-09-19
2014,GR,EE53,2.38,3.22,4.19,5.39,63.17,3.65,44.78,13.84,66.3,8.94,45.35,22.49,56.62,83.06,EUROBAROMETER,3.9896,2025-08-11
2015,LT,AT6,3.89,2.49,4.09,4.08,42.69,6.75,65.69,9.87,80.96,24.68,35.07,15.32,26.38,50.84,NATIONAL_TRUST_SURVEY,2.3744,2025-05-17
2016,PT,DE390,2.59,4.74,5.12,4.18,58.3,4.17,69.38,12.48,52.89,26.78,37.94,18.7,62.71,55.93,EUQLS,1.5361,2024-08-01
2017,SE,PT1,3.01,2.86,7.69,4.61,57.65,7.92,68.21,5.75,52.63,8.1,32.54,12.91,50.71,62.09,ESS,0.3151,2024-03-24
