env_emiss_inventory_year,env_emiss_facility_registry_id,env_emiss_emissions_source_type,env_emiss_ghg_gas_code,env_emiss_emissions_metric_tons,env_emiss_stack_height_m,env_emiss_control_technology_code,env_emiss_operating_hours_annual,env_emiss_throughput_activity_level,env_emiss_emission_factor_used,env_emiss_estimation_method_code,env_emiss_permit_number,env_emiss_compliance_status_code,env_emiss_violation_count,env_emiss_inspection_count,env_emiss_nearby_receptor_distance_m,env_emiss_environmental_justice_screen_score,env_emiss_reporting_program_name,env_emiss_verification_flag,env_emiss_uncertainty_rating
2013,FRS000000089,POINT,CO2,1135.594,74.28,NONE,2893,682712.03,SITE_SPECIFIC,EMISSION_FACTOR,PERMIT00000089,OUT_OF_COMPLIANCE,0,0,13939.6,20.97,STATE_INVENTORY,0,MEDIUM
2006,FRS000000090,POINT,HFCs,2594.592,256.56,ESP,4930,11351.51,MASS_BALANCE,CEMS,PERMIT00000090,IN_COMPLIANCE,8,6,1655.9,77.58,NEI,0,LOW
2019,FRS000000091,NONPOINT,N2O,9555.356,0.0,CARBON_CAPTURE,5370,178676.74,SITE_SPECIFIC,ENGINEERING,PERMIT00000091,IN_COMPLIANCE,10,0,13814.2,50.05,GHGRP,1,LOW
2022,FRS000000092,POINT,CO2,1567.671,157.43,SCR,7135,986626.88,DEFAULT,MATERIAL_BALANCE,PERMIT00000092,IN_COMPLIANCE,5,2,6721.8,13.98,STATE_INVENTORY,1,LOW
2005,FRS000000093,POINT,N2O,7210.355,95.43,SCR,150,1154391.24,SITE_SPECIFIC,ENGINEERING,PERMIT00000093,IN_COMPLIANCE,8,8,4404.8,11.36,TRI,0,MEDIUM
2005,FRS000000094,AREA,CH4,1820.709,0.0,BAGHOUSE,6906,1330783.82,DEFAULT,EMISSION_FACTOR,PERMIT00000094,IN_COMPLIANCE,2,7,6814.5,10.23,OTHER,1,LOW
2011,FRS000000095,NONPOINT,CO2,2144.846,0.0,BAGHOUSE,8044,578233.57,DEFAULT,EMISSION_FACTOR,PERMIT00000095,OUT_OF_COMPLIANCE,3,3,1862.2,56.96,TRI,1,UNKNOWN
2023,FRS000000096,POINT,HFCs,2685.949,39.24,SCR,6538,1128359.31,DEFAULT,CEMS,PERMIT00000096,UNDER_REVIEW,4,5,14514.1,65.18,TRI,1,LOW
2025,FRS000000097,MOBILE,CO2,958.333,0.0,CARBON_CAPTURE,850,756972.16,DEFAULT,EMISSION_FACTOR,PERMIT00000097,OUT_OF_COMPLIANCE,1,1,8586.5,75.29,TRI,0,LOW
2021,FRS000000098,FUGITIVE,CO2,4334.67,0.0,NONE,3962,538270.97,DEFAULT,ENGINEERING,PERMIT00000098,IN_COMPLIANCE,1,5,3597.0,21.18,GHGRP,0,LOW
2013,FRS000000099,MOBILE,N2O,1952.2,0.0,BAGHOUSE,3716,1063779.13,STACK_TEST,MODELED,PERMIT00000099,IN_COMPLIANCE,4,5,9740.8,29.97,NEI,0,MEDIUM
2009,FRS000000100,NONPOINT,CO2,1241.241,0.0,NONE,2931,942910.43,DEFAULT,MATERIAL_BALANCE,PERMIT00000100,IN_COMPLIANCE,6,1,6695.4,85.87,TRI,0,UNKNOWN
2025,FRS000000101,AREA,HFCs,4961.796,0.0,NONE,1127,606794.88,SITE_SPECIFIC,ENGINEERING,PERMIT00000101,IN_COMPLIANCE,0,3,10519.0,36.16,NEI,1,MEDIUM
2020,FRS000000102,MOBILE,HFCs,12387.188,0.0,NONE,3951,832152.92,SITE_SPECIFIC,EMISSION_FACTOR,PERMIT00000102,IN_COMPLIANCE,7,8,6331.3,71.47,NEI,0,UNKNOWN
2007,FRS000000103,AREA,N2O,9540.252,0.0,OXIDATION_CATALYST,5820,1349753.76,DEFAULT,CEMS,PERMIT00000103,UNDER_REVIEW,1,0,2694.8,62.73,NEI,0,MEDIUM
2010,FRS000000104,POINT,N2O,1707.586,237.45,CARBON_CAPTURE,5955,730232.5,SITE_SPECIFIC,MATERIAL_BALANCE,PERMIT00000104,IN_COMPLIANCE,8,2,6358.6,41.93,STATE_INVENTORY,0,LOW
2016,FRS000000105,POINT,CO2,785.296,139.28,BAGHOUSE,1506,1048992.15,SITE_SPECIFIC,CEMS,PERMIT00000105,IN_COMPLIANCE,3,3,8268.6,0.91,TRI,0,HIGH
2014,FRS000000106,NONPOINT,CH4,1335.685,0.0,SNCR,6133,94753.88,DEFAULT,MODELED,PERMIT00000106,IN_COMPLIANCE,7,7,4572.0,31.95,GHGRP,1,LOW
2009,FRS000000107,NONPOINT,CO2,1228.574,0.0,NONE,1752,101468.09,MODELLED,ENGINEERING,PERMIT00000107,IN_COMPLIANCE,0,7,3079.3,52.69,OTHER,0,UNKNOWN
2020,FRS000000108,POINT,SF6,2202.716,107.57,NONE,523,1244187.26,MODELLED,CEMS,PERMIT00000108,IN_COMPLIANCE,5,8,904.5,49.82,GHGRP,0,LOW
2006,FRS000000109,AREA,CO2,3127.232,0.0,NONE,94,382021.64,DEFAULT,ENGINEERING,PERMIT00000109,IN_COMPLIANCE,6,5,10422.9,3.35,NEI,1,MEDIUM
2024,FRS000000110,POINT,CO2,1786.375,152.72,NONE,5471,1016663.52,DEFAULT,EMISSION_FACTOR,PERMIT00000110,IN_COMPLIANCE,8,2,2634.0,99.37,TRI,1,MEDIUM
2011,FRS000000111,AREA,CH4,2651.209,0.0,BAGHOUSE,4201,615138.72,DEFAULT,MATERIAL_BALANCE,PERMIT00000111,NOT_APPLICABLE,7,5,9398.4,21.57,NEI,0,MEDIUM
2011,FRS000000112,POINT,CO2,12869.322,74.67,NONE,3653,521822.02,MASS_BALANCE,MATERIAL_BALANCE,PERMIT00000112,UNDER_REVIEW,3,1,4176.8,90.64,NEI,0,LOW
2020,FRS000000113,POINT,CO2,3323.199,133.72,NONE,2644,1318651.02,SITE_SPECIFIC,CEMS,PERMIT00000113,OUT_OF_COMPLIANCE,5,1,3217.3,88.95,STATE_INVENTORY,0,HIGH
2008,FRS000000114,MOBILE,CO2,4538.108,0.0,NONE,6743,1110950.89,DEFAULT,EMISSION_FACTOR,PERMIT00000114,IN_COMPLIANCE,9,5,7883.8,79.14,NEI,0,LOW
2010,FRS000000115,POINT,CO2,11701.773,251.01,NONE,7486,1083969.04,SITE_SPECIFIC,MATERIAL_BALANCE,PERMIT00000115,IN_COMPLIANCE,9,3,14784.4,58.66,NEI,0,LOW
2006,FRS000000116,POINT,CH4,2709.575,226.36,FGD,6925,88858.13,SITE_SPECIFIC,MATERIAL_BALANCE,PERMIT00000116,IN_COMPLIANCE,7,3,9706.1,91.76,TRI,0,MEDIUM
2012,FRS000000117,POINT,PFCs,1553.025,180.96,OXIDATION_CATALYST,4719,1280704.61,DEFAULT,MODELED,PERMIT00000117,IN_COMPLIANCE,7,7,4989.1,80.86,TRI,1,HIGH
2009,FRS000000118,POINT,N2O,1387.197,244.16,SCR,2006,1421945.75,MODELLED,MATERIAL_BALANCE,PERMIT00000118,IN_COMPLIANCE,7,0,12788.4,97.12,STATE_INVENTORY,0,MEDIUM
2009,FRS000000119,AREA,CO2,1556.684,0.0,FGD,6699,653462.49,SITE_SPECIFIC,EMISSION_FACTOR,PERMIT00000119,IN_COMPLIANCE,9,1,2180.9,36.52,STATE_INVENTORY,0,HIGH
2022,FRS000000120,FUGITIVE,CO2,6297.597,0.0,ESP,2399,1407708.9,DEFAULT,ENGINEERING,PERMIT00000120,IN_COMPLIANCE,6,6,6769.3,80.56,OTHER,0,HIGH
2016,FRS000000121,NONPOINT,HFCs,2001.674,0.0,SCR,5257,811225.88,DEFAULT,EMISSION_FACTOR,PERMIT00000121,UNDER_REVIEW,3,0,13822.7,91.93,STATE_INVENTORY,0,MEDIUM
2019,FRS000000122,POINT,CO2,1347.544,24.97,BAGHOUSE,4826,56446.94,SITE_SPECIFIC,EMISSION_FACTOR,PERMIT00000122,IN_COMPLIANCE,5,3,4985.2,66.6,STATE_INVENTORY,0,LOW
2019,FRS000000123,NONPOINT,CH4,1375.036,0.0,FGD,8369,1103206.8,DEFAULT,EMISSION_FACTOR,PERMIT00000123,IN_COMPLIANCE,5,2,2776.7,12.37,GHGRP,1,LOW
2020,FRS000000124,NONPOINT,CH4,8312.574,0.0,SNCR,5415,178568.81,MODELLED,MODELED,PERMIT00000124,UNDER_REVIEW,2,0,2062.6,76.26,GHGRP,1,MEDIUM
2009,FRS000000125,NONPOINT,N2O,1187.376,0.0,ESP,2002,1314517.79,MODELLED,MODELED,PERMIT00000125,IN_COMPLIANCE,4,6,4613.3,17.59,GHGRP,0,LOW
