tax_excise_reference_month,tax_excise_country_iso2,tax_excise_product_category_code,tax_excise_excise_rate_unit,tax_excise_excise_rate_value,tax_excise_clearances_quantity,tax_excise_excise_revenue_eur,tax_excise_illicit_trade_seizures_count,tax_excise_illicit_trade_seizures_value_eur,tax_excise_track_and_trace_flag,tax_excise_energy_tax_component_eur,tax_excise_carbon_price_component_eur,tax_excise_minimum_excise_compliance_flag,tax_excise_cross_border_purchases_estimate,tax_excise_health_policy_link_flag,tax_excise_retail_price_index,tax_excise_eu_directive_reference,tax_excise_data_source,tax_excise_revision_round,tax_excise_data_extract_date
2018-11,SK,TOBACCO_FINECUT,EUR_PER_KG,30.8924,648224.64,19245067.49,349,13147167.58,1,52078.54,865010.93,1,29211.73,1,75.352,92_83_EEC,EUROSTAT_TAX,SECOND,2024-07-02
2018-12,BE,TOBACCO_CIGARETTES,EUR_PER_1000_CIG,228.1821,18081318.05,4043616782.41,21,273648.96,1,120326009.21,186298029.33,1,1401301.36,1,74.276,2011_64_EU,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2025-09-22
2019-01,DK,ALCOHOL_WINE,EUR_PER_1000_L,27.614,298891.11,9396734.29,570,6473887.85,1,965332.54,360405.56,1,3982.04,1,75.296,2003_96_EC,NATIONAL_EXCISE_ADMIN,FLASH,2024-03-05
2019-02,GR,ALCOHOL_BEER,EUR_PER_1000_L,34.569,1226165.79,47317427.36,264,2128704.15,0,4992652.29,432602.09,1,123315.01,1,75.479,NATIONAL_ONLY,EMCS_AGGREGATE,FIRST,2024-08-27
2019-03,LT,ALCOHOL_SPIRITS,EUR_PER_HLPA,924.2388,68224.89,56183660.04,310,8477213.8,1,4556833.09,21716.32,1,9920.78,1,76.691,2020_262_EU,EUROSTAT_TAX,SECOND,2025-10-15
2019-04,PT,ELECTRICITY,EUR_PER_MWH,15.1872,11123697.3,188774009.24,490,12036699.06,0,128694135.79,4046591.16,0,2048867.04,0,77.515,92_84_EEC,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2024-11-25
2019-05,SE,ENERGY_FUELS,EUR_PER_1000_L,500.5345,14360491.92,7938908104.0,194,8620294.23,1,2500675663.91,2304897219.35,1,456211.31,0,77.059,92_83_EEC,NATIONAL_EXCISE_ADMIN,FLASH,2024-01-13
2019-06,CY,VAPING_LIQUIDS,EUR_PER_L,0.2368,5934921.7,1613371.12,571,9109560.74,0,4004.64,88070.26,1,343732.84,1,77.266,2011_64_EU,EMCS_AGGREGATE,FIRST,2025-08-17
2019-07,FR,TOBACCO_FINECUT,EUR_PER_KG,114.3266,1077349.79,129855222.72,502,19805943.95,1,12509206.8,560786.56,0,39548.5,1,79.675,2003_96_EC,EUROSTAT_TAX,SECOND,2024-06-07
2019-08,IT,TOBACCO_CIGARETTES,EUR_PER_1000_CIG,216.3144,33064807.66,6995147416.94,605,21488002.31,0,194601145.15,74260019.42,1,7005229.36,1,78.156,NATIONAL_ONLY,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2024-03-31
2019-09,NL,ALCOHOL_WINE,EUR_PER_1000_L,50.8712,3409822.56,164755993.62,378,13070675.38,0,9145207.55,8412770.87,0,371952.7,1,78.615,2020_262_EU,NATIONAL_EXCISE_ADMIN,FLASH,2024-11-09
2019-10,SI,ALCOHOL_BEER,EUR_PER_1000_L,27.1517,3439527.65,97802189.76,571,7565500.18,0,1364365.86,4941544.43,1,313593.26,1,79.488,92_84_EEC,EMCS_AGGREGATE,FIRST,2024-02-03
2019-11,BG,ALCOHOL_SPIRITS,EUR_PER_HLPA,596.5869,15236.85,8019205.37,297,12838200.89,0,944318.06,240909.63,1,1974.97,1,81.732,92_83_EEC,EUROSTAT_TAX,SECOND,2025-05-03
2019-12,EE,ELECTRICITY,EUR_PER_MWH,2.6328,20188102.56,50097994.6,370,5634597.08,1,27556397.43,9699717.19,1,1198513.27,0,82.02,2011_64_EU,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2025-04-17
2020-01,HU,ENERGY_FUELS,EUR_PER_1000_L,809.9652,16098707.76,12647013002.48,552,4590746.97,0,9268730649.61,4382635138.23,0,2449426.39,0,80.717,2003_96_EC,NATIONAL_EXCISE_ADMIN,FLASH,2025-02-06
2020-02,LU,VAPING_LIQUIDS,EUR_PER_L,0.1297,9541594.26,1372132.94,608,18002853.86,0,124707.09,53645.86,0,1827673.24,1,82.981,NATIONAL_ONLY,EMCS_AGGREGATE,FIRST,2024-11-02
2020-03,RO,TOBACCO_FINECUT,EUR_PER_KG,166.2221,2115256.16,348136206.02,733,22346697.84,1,26480311.98,1906169.6,1,343715.27,1,81.857,2020_262_EU,EUROSTAT_TAX,SECOND,2024-05-18
2020-04,AT,TOBACCO_CIGARETTES,EUR_PER_1000_CIG,84.7714,13114751.18,1160262608.75,625,25867237.07,1,79785845.44,3731986.27,1,2437311.51,1,84.108,92_84_EEC,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2024-07-04
2020-05,CZ,ALCOHOL_WINE,EUR_PER_1000_L,82.6765,2493031.01,229567582.49,188,5333263.05,0,11247766.02,3442723.95,1,254117.01,1,82.511,92_83_EEC,NATIONAL_EXCISE_ADMIN,FLASH,2024-05-09
2020-06,DE,ALCOHOL_BEER,EUR_PER_1000_L,139.0009,2532400.54,303444453.82,767,17607632.16,0,2568008.0,16584367.61,0,387517.94,1,84.223,2011_64_EU,EMCS_AGGREGATE,FIRST,2024-08-02
2020-07,LV,ALCOHOL_SPIRITS,EUR_PER_HLPA,944.4435,75216.64,61860143.91,752,1129958.3,0,5766751.16,4207022.06,0,17856.96,1,84.357,2003_96_EC,EUROSTAT_TAX,SECOND,2025-10-19
2020-08,PL,ELECTRICITY,EUR_PER_MWH,13.9098,12988867.71,170306658.21,224,5377556.62,1,116094234.7,54764671.32,1,2356097.51,0,85.096,NATIONAL_ONLY,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2024-08-09
2020-09,ES,ENERGY_FUELS,EUR_PER_1000_L,573.7234,4463813.0,2859488265.32,51,80138.55,0,815705097.85,972829748.41,1,795679.42,0,84.888,2020_262_EU,NATIONAL_EXCISE_ADMIN,FLASH,2025-06-13
2020-10,HR,VAPING_LIQUIDS,EUR_PER_L,0.0468,13302957.12,614193.43,168,5872946.12,1,35344.26,22619.68,1,1032018.35,1,86.586,92_84_EEC,EMCS_AGGREGATE,FIRST,2025-06-28
2020-11,FI,TOBACCO_FINECUT,EUR_PER_KG,35.0286,1487757.79,56412428.39,773,9925415.0,0,3726335.88,3918419.53,1,150256.23,1,86.232,92_83_EEC,EUROSTAT_TAX,SECOND,2025-08-24
2020-12,IE,TOBACCO_CIGARETTES,EUR_PER_1000_CIG,263.0116,25510788.03,7392301228.12,331,9466098.93,1,435516209.94,559090829.72,1,543162.45,1,86.224,2011_64_EU,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2025-04-17
2021-01,MT,ALCOHOL_WINE,EUR_PER_1000_L,79.4877,5724572.36,398018314.02,698,2571965.87,0,20072380.03,9573871.58,1,403786.77,1,86.978,2003_96_EC,NATIONAL_EXCISE_ADMIN,FLASH,2024-12-09
2021-02,SK,ALCOHOL_BEER,EUR_PER_1000_L,10.9212,2080011.99,23651510.61,431,16433832.53,0,2679113.33,277138.19,0,482267.94,1,87.943,NATIONAL_ONLY,EMCS_AGGREGATE,FIRST,2024-10-27
2021-03,BE,ALCOHOL_SPIRITS,EUR_PER_HLPA,804.6017,79601.97,61890736.95,383,8153428.58,1,86264.53,4493866.78,1,17184.82,1,89.396,2020_262_EU,EUROSTAT_TAX,SECOND,2024-05-12
2021-04,DK,ELECTRICITY,EUR_PER_MWH,3.9619,11126799.66,44169503.84,33,847606.11,1,27282879.88,13726393.52,0,474838.66,0,88.198,92_84_EEC,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2025-07-24
2021-05,GR,ENERGY_FUELS,EUR_PER_1000_L,625.2124,16577766.58,10049498839.56,663,21814550.45,0,5275777425.19,1969100050.92,1,1985829.46,0,90.188,92_83_EEC,NATIONAL_EXCISE_ADMIN,FLASH,2024-06-10
2021-06,LT,VAPING_LIQUIDS,EUR_PER_L,0.8067,11805405.25,8719015.4,561,13411665.23,1,569189.04,512291.01,1,1565910.5,1,90.255,2011_64_EU,EMCS_AGGREGATE,FIRST,2024-01-22
2021-07,PT,TOBACCO_FINECUT,EUR_PER_KG,96.7906,1604910.22,177276688.41,704,17772728.81,1,4041221.48,2301092.41,1,189631.42,1,89.489,2003_96_EC,EUROSTAT_TAX,SECOND,2024-03-04
2021-08,SE,TOBACCO_CIGARETTES,EUR_PER_1000_CIG,140.7312,16601595.89,2239960263.75,637,6814717.53,1,30126752.17,97092220.42,0,2326525.84,1,89.53,NATIONAL_ONLY,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2025-08-01
2021-09,CY,ALCOHOL_WINE,EUR_PER_1000_L,115.1883,1569674.49,192551426.72,725,11958779.29,1,3149464.91,13849910.78,1,293895.24,1,91.695,2020_262_EU,NATIONAL_EXCISE_ADMIN,FLASH,2024-09-06
2021-10,FR,ALCOHOL_BEER,EUR_PER_1000_L,44.3198,4271534.89,185452916.29,172,7277567.03,1,10884002.96,13579801.65,1,702527.39,1,90.564,92_84_EEC,EMCS_AGGREGATE,FIRST,2025-12-03
2021-11,IT,ALCOHOL_SPIRITS,EUR_PER_HLPA,930.2023,68343.17,61039406.64,249,930448.05,0,3770290.83,535915.61,1,12676.73,1,92.608,92_83_EEC,EUROSTAT_TAX,SECOND,2025-06-22
2021-12,NL,ELECTRICITY,EUR_PER_MWH,7.7715,3615828.64,30615191.79,467,5186265.63,0,13459704.71,10104758.1,1,75811.96,0,91.846,2011_64_EU,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2025-05-29
2022-01,SI,ENERGY_FUELS,EUR_PER_1000_L,285.1687,4581215.12,1457467481.81,105,641504.74,0,378126896.06,463728542.48,0,426783.22,0,92.655,2003_96_EC,NATIONAL_EXCISE_ADMIN,FLASH,2025-08-09
2022-02,BG,VAPING_LIQUIDS,EUR_PER_L,0.5964,7236046.34,3760096.95,111,173464.82,0,147667.75,204846.85,1,252092.87,1,92.864,NATIONAL_ONLY,EMCS_AGGREGATE,FIRST,2024-08-08
2022-03,EE,TOBACCO_FINECUT,EUR_PER_KG,46.8958,626320.91,29029358.41,336,4906001.97,1,252428.63,34306.84,1,53207.78,1,93.675,2020_262_EU,EUROSTAT_TAX,SECOND,2025-01-11
2022-04,HU,TOBACCO_CIGARETTES,EUR_PER_1000_CIG,157.6303,4408324.01,748960665.38,700,12705261.89,0,80753748.34,20126671.97,1,418855.58,1,94.627,92_84_EEC,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2026-01-20
2022-05,LU,ALCOHOL_WINE,EUR_PER_1000_L,36.6525,4183181.18,148792437.53,233,3521494.48,1,9188169.32,25678.85,1,819555.89,1,94.96,92_83_EEC,NATIONAL_EXCISE_ADMIN,FLASH,2025-09-23
2022-06,RO,ALCOHOL_BEER,EUR_PER_1000_L,24.4535,3781638.88,93257313.73,809,13790467.24,1,5774799.59,4149586.14,1,291781.61,1,96.086,2011_64_EU,EMCS_AGGREGATE,FIRST,2025-03-20
2022-07,AT,ALCOHOL_SPIRITS,EUR_PER_HLPA,972.7662,88842.95,81212961.37,491,14514891.32,1,6191213.99,5456217.57,1,17948.38,1,95.458,2003_96_EC,EUROSTAT_TAX,SECOND,2024-07-07
2022-08,CZ,ELECTRICITY,EUR_PER_MWH,6.7086,1247781.12,9142119.3,137,5944093.14,1,2801058.33,420318.54,0,170406.18,0,96.187,NATIONAL_ONLY,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2025-07-07
2022-09,DE,ENERGY_FUELS,EUR_PER_1000_L,829.4668,14275733.32,10841224953.2,609,18143717.75,0,8834062629.04,3308933725.95,1,415384.38,0,95.93,2020_262_EU,NATIONAL_EXCISE_ADMIN,FLASH,2026-02-09
2022-10,LV,VAPING_LIQUIDS,EUR_PER_L,0.5486,10331822.12,6414052.09,624,15346466.29,0,649739.28,487042.6,0,819015.13,1,97.583,92_84_EEC,EMCS_AGGREGATE,FIRST,2024-12-05
2022-11,PL,TOBACCO_FINECUT,EUR_PER_KG,144.5852,1833744.12,249574924.28,472,19160604.42,1,5368493.0,17500220.8,1,303622.85,1,97.035,92_83_EEC,EUROSTAT_TAX,SECOND,2025-01-27
2022-12,ES,TOBACCO_CIGARETTES,EUR_PER_1000_CIG,184.4342,20021893.18,4239491979.85,60,668892.61,1,414538761.43,221526662.58,1,25017.59,1,97.396,2011_64_EU,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2025-08-14
2023-01,HR,ALCOHOL_WINE,EUR_PER_1000_L,73.8751,561646.7,38728174.44,331,13523200.71,0,312565.15,1668428.68,1,90973.28,1,99.001,2003_96_EC,NATIONAL_EXCISE_ADMIN,FLASH,2025-05-19
2023-02,FI,ALCOHOL_BEER,EUR_PER_1000_L,82.3123,2694746.12,237407022.1,699,9834045.65,0,21918850.97,3334483.0,1,68146.38,1,100.459,NATIONAL_ONLY,EMCS_AGGREGATE,FIRST,2025-12-14
2023-03,IE,ALCOHOL_SPIRITS,EUR_PER_HLPA,1013.5322,104475.11,103964365.68,266,8983939.13,0,5323166.98,938346.16,1,21862.67,1,98.592,2020_262_EU,EUROSTAT_TAX,SECOND,2024-07-12
2023-04,MT,ELECTRICITY,EUR_PER_MWH,11.0324,1776972.82,17996628.0,900,2263866.17,1,12862568.62,732354.45,1,400470.89,0,99.778,92_84_EEC,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2024-03-20
2023-05,SK,ENERGY_FUELS,EUR_PER_1000_L,433.8687,719183.29,333715458.69,74,834248.08,0,260785519.28,110834074.54,1,32052.28,0,100.265,92_83_EEC,NATIONAL_EXCISE_ADMIN,FLASH,2025-12-14
2023-06,BE,VAPING_LIQUIDS,EUR_PER_L,0.624,8760286.86,5746698.28,423,13827243.71,0,112011.21,77955.52,0,1481963.45,1,101.011,2011_64_EU,EMCS_AGGREGATE,FIRST,2024-06-09
2023-07,DK,TOBACCO_FINECUT,EUR_PER_KG,76.1986,287523.16,19976678.19,752,25287870.18,1,1191173.43,399711.96,1,7718.3,1,102.813,2003_96_EC,EUROSTAT_TAX,SECOND,2024-08-06
2023-08,GR,TOBACCO_CIGARETTES,EUR_PER_1000_CIG,124.6908,6613704.77,821735424.15,19,752636.09,1,47541947.07,27025520.29,1,1137344.38,1,103.091,NATIONAL_ONLY,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2025-10-20
2023-09,LT,ALCOHOL_WINE,EUR_PER_1000_L,58.1399,4764123.94,304591235.9,479,5353682.75,0,27650911.2,2518480.32,1,29434.5,1,102.507,2020_262_EU,NATIONAL_EXCISE_ADMIN,FLASH,2025-07-30
2023-10,PT,ALCOHOL_BEER,EUR_PER_1000_L,101.1784,1665786.35,159984779.57,711,17702904.1,1,16493121.92,3726828.36,1,45971.43,1,104.105,92_84_EEC,EMCS_AGGREGATE,FIRST,2025-09-01
2023-11,SE,ALCOHOL_SPIRITS,EUR_PER_HLPA,1197.6968,9953.53,11508113.15,193,8460839.6,0,771195.07,204636.97,1,656.77,1,102.831,92_83_EEC,EUROSTAT_TAX,SECOND,2024-03-18
2023-12,CY,ELECTRICITY,EUR_PER_MWH,2.3865,18694194.73,45721492.12,245,10132112.13,0,36342881.82,1404834.57,1,4056370.22,0,102.921,2011_64_EU,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2024-11-23
2024-01,FR,ENERGY_FUELS,EUR_PER_1000_L,294.4604,6213658.08,1567624463.45,390,7246483.14,0,1283005489.79,38287305.03,1,626338.07,0,103.611,2003_96_EC,NATIONAL_EXCISE_ADMIN,FLASH,2025-09-05
2024-02,IT,VAPING_LIQUIDS,EUR_PER_L,0.2741,10296976.77,2845320.97,227,3824647.25,0,187516.23,89119.53,1,2041958.85,1,104.152,NATIONAL_ONLY,EMCS_AGGREGATE,FIRST,2024-07-22
2024-03,NL,TOBACCO_FINECUT,EUR_PER_KG,33.9708,328218.55,10471831.82,593,15320022.86,1,576021.09,775931.77,1,59429.39,1,104.879,2020_262_EU,EUROSTAT_TAX,SECOND,2025-03-15
2024-04,SI,TOBACCO_CIGARETTES,EUR_PER_1000_CIG,206.1676,5550252.74,1203620888.01,161,6829998.52,1,12829633.3,41173237.45,1,458511.85,1,105.356,92_84_EEC,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2026-02-09
2024-05,BG,ALCOHOL_WINE,EUR_PER_1000_L,69.2313,1165673.0,71279486.79,701,19403993.36,0,3723048.62,899167.57,1,92313.24,1,105.756,92_83_EEC,NATIONAL_EXCISE_ADMIN,FLASH,2024-01-21
2024-06,EE,ALCOHOL_BEER,EUR_PER_1000_L,132.5129,4988856.07,733747611.16,805,36181039.4,1,87487488.55,615950.24,1,1056696.83,1,107.493,2011_64_EU,EMCS_AGGREGATE,FIRST,2025-12-05
2024-07,HU,ALCOHOL_SPIRITS,EUR_PER_HLPA,1053.8309,33298.41,33394774.1,630,25910227.88,0,832844.59,2312523.69,1,6979.96,1,106.614,2003_96_EC,EUROSTAT_TAX,SECOND,2024-05-10
2024-08,LU,ELECTRICITY,EUR_PER_MWH,3.2322,1464825.5,4983191.98,200,2855712.04,0,3030160.24,1694362.51,1,22077.94,1,108.078,NATIONAL_ONLY,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2025-08-08
2024-09,RO,ENERGY_FUELS,EUR_PER_1000_L,768.0123,12387369.86,8805993353.82,749,26219026.54,1,4279242709.49,248884212.84,0,2672226.77,0,108.635,2020_262_EU,NATIONAL_EXCISE_ADMIN,FLASH,2024-10-28
2024-10,AT,VAPING_LIQUIDS,EUR_PER_L,0.7481,13905432.44,11841397.58,742,7354389.34,0,743937.12,269648.42,1,176222.15,1,108.089,92_84_EEC,EMCS_AGGREGATE,FIRST,2025-05-17
2024-11,CZ,TOBACCO_FINECUT,EUR_PER_KG,37.4823,1072769.22,44807604.04,408,16471124.31,1,4033488.24,2641942.16,1,121727.62,1,109.803,92_83_EEC,EUROSTAT_TAX,SECOND,2025-02-23
2024-12,DE,TOBACCO_CIGARETTES,EUR_PER_1000_CIG,92.2994,12320964.02,1278443702.39,665,27967473.14,1,16024341.33,89732254.91,1,1419881.02,1,110.073,2011_64_EU,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2025-04-15
2025-01,LV,ALCOHOL_WINE,EUR_PER_1000_L,130.0072,973528.3,134850789.62,611,15422087.09,1,12600350.55,4983889.91,1,57119.14,1,110.192,2003_96_EC,NATIONAL_EXCISE_ADMIN,FLASH,2025-09-01
2025-02,PL,ALCOHOL_BEER,EUR_PER_1000_L,124.6886,865307.59,114399963.75,822,25741656.79,0,2119109.86,1668464.67,0,102177.68,1,111.194,NATIONAL_ONLY,EMCS_AGGREGATE,FIRST,2024-07-29
2025-03,ES,ALCOHOL_SPIRITS,EUR_PER_HLPA,748.5369,110754.91,83771040.84,457,18775092.91,1,270624.59,5707014.01,1,21793.64,1,111.847,2020_262_EU,EUROSTAT_TAX,SECOND,2024-06-17
2025-04,HR,ELECTRICITY,EUR_PER_MWH,7.2177,10162438.2,81240527.93,195,3740689.58,0,66049684.61,4512388.84,1,1021734.97,0,111.241,92_84_EEC,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2026-02-04
2025-05,FI,ENERGY_FUELS,EUR_PER_1000_L,447.9146,8533115.9,3957071531.42,691,27914634.03,0,1826621806.0,461396823.98,1,1535028.07,0,113.431,92_83_EEC,NATIONAL_EXCISE_ADMIN,FLASH,2024-09-20
2025-06,IE,VAPING_LIQUIDS,EUR_PER_L,0.2669,11508011.13,2611334.4,692,12714049.97,1,118136.23,142365.15,1,171253.09,1,113.206,2011_64_EU,EMCS_AGGREGATE,FIRST,2024-12-05
2025-07,MT,TOBACCO_FINECUT,EUR_PER_KG,121.6098,2040584.54,284052228.12,202,2700352.44,1,2379413.25,20231473.48,0,273215.38,1,113.917,2003_96_EC,EUROSTAT_TAX,SECOND,2024-12-29
2025-08,SK,TOBACCO_CIGARETTES,EUR_PER_1000_CIG,175.0753,4176765.73,737633200.28,81,605005.4,1,88225412.42,30041388.58,1,117579.46,1,114.438,NATIONAL_ONLY,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2025-05-10
2025-09,BE,ALCOHOL_WINE,EUR_PER_1000_L,124.4038,4043074.24,553362505.67,607,12231293.34,0,13283935.71,39735322.24,0,571594.92,1,113.795,2020_262_EU,NATIONAL_EXCISE_ADMIN,FLASH,2024-05-06
2025-10,DK,ALCOHOL_BEER,EUR_PER_1000_L,128.4677,3845307.81,511822289.94,175,7085247.33,0,53625154.18,25496007.72,0,433158.68,1,113.657,92_84_EEC,EMCS_AGGREGATE,FIRST,2024-07-08
2025-11,GR,ALCOHOL_SPIRITS,EUR_PER_HLPA,2054.6312,119217.83,227646132.61,87,2634955.82,0,14356076.54,16475207.45,1,4709.1,1,114.575,92_83_EEC,EUROSTAT_TAX,SECOND,2024-06-13
2025-12,LT,ELECTRICITY,EUR_PER_MWH,11.7875,701414.41,8079413.36,53,640142.42,1,4516899.79,783244.89,1,82359.31,0,116.11,2011_64_EU,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2024-08-02
2026-01,PT,ENERGY_FUELS,EUR_PER_1000_L,442.5212,17502426.96,6814206641.49,75,2648589.79,1,4437967450.22,236558165.83,0,2693878.4,0,115.175,2003_96_EC,NATIONAL_EXCISE_ADMIN,FLASH,2025-03-04
2026-02,SE,VAPING_LIQUIDS,EUR_PER_L,0.5152,10617231.37,6020031.21,676,15746463.13,1,633984.6,350370.44,1,27132.64,1,116.94,NATIONAL_ONLY,EMCS_AGGREGATE,FIRST,2024-09-27
2026-03,CY,TOBACCO_FINECUT,EUR_PER_KG,123.8111,1383482.73,188073214.08,307,7519964.58,1,6354052.27,13445909.9,0,313657.07,1,116.003,2020_262_EU,EUROSTAT_TAX,SECOND,2024-02-10
2026-04,FR,TOBACCO_CIGARETTES,EUR_PER_1000_CIG,168.6243,16425732.94,2499555091.93,155,2503805.65,1,218677248.98,103691043.23,0,3505681.96,1,118.002,92_84_EEC,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2024-05-03
2026-05,IT,ALCOHOL_WINE,EUR_PER_1000_L,86.2969,540134.77,45205792.35,145,3735425.65,0,1835290.26,3419412.63,1,19530.72,1,117.033,92_83_EEC,NATIONAL_EXCISE_ADMIN,FLASH,2025-08-15
2026-06,NL,ALCOHOL_BEER,EUR_PER_1000_L,61.0538,2165004.35,123364495.67,209,2419861.42,0,1837887.69,1240771.78,1,494141.01,1,118.533,2011_64_EU,EMCS_AGGREGATE,FIRST,2024-04-20
2026-07,SI,ALCOHOL_SPIRITS,EUR_PER_HLPA,1328.8046,61017.85,77775009.96,293,13160687.86,0,4335757.24,1938480.12,0,5599.65,1,119.961,2003_96_EC,EUROSTAT_TAX,SECOND,2024-07-13
2026-08,BG,ELECTRICITY,EUR_PER_MWH,1.9062,24802307.45,51010505.02,466,6460337.35,0,15938158.43,6879702.19,1,5095448.65,0,119.685,NATIONAL_ONLY,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2024-09-02
2026-09,EE,ENERGY_FUELS,EUR_PER_1000_L,526.5944,15263083.86,7816165994.24,162,2740598.21,0,5423893997.83,2566819186.82,1,1405865.65,0,119.735,2020_262_EU,NATIONAL_EXCISE_ADMIN,FLASH,2025-01-18
2026-10,HU,VAPING_LIQUIDS,EUR_PER_L,0.1203,555493.95,57765.61,573,18392483.77,1,1590.69,4470.91,1,115563.93,1,120.498,92_84_EEC,EMCS_AGGREGATE,FIRST,2025-11-04
2026-11,LU,TOBACCO_FINECUT,EUR_PER_KG,129.4898,783316.84,96117447.7,237,3256337.59,1,4378846.56,4069062.2,0,66294.05,1,121.927,92_83_EEC,EUROSTAT_TAX,SECOND,2025-08-19
2026-12,RO,TOBACCO_CIGARETTES,EUR_PER_1000_CIG,152.9257,33380879.11,5012708824.28,576,24824886.5,1,95384596.01,384654736.07,0,3689669.56,1,122.365,2011_64_EU,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2024-05-11
2018-01,AT,ALCOHOL_WINE,EUR_PER_1000_L,121.5639,4454968.9,586765533.01,484,11927253.7,0,9860812.7,44677602.56,1,943399.93,1,120.697,2003_96_EC,NATIONAL_EXCISE_ADMIN,FLASH,2025-05-24
2018-02,CZ,ALCOHOL_BEER,EUR_PER_1000_L,132.1946,5060997.91,672904140.41,720,10288882.8,0,47615512.09,34445983.01,1,613462.52,1,121.878,NATIONAL_ONLY,EMCS_AGGREGATE,FIRST,2024-02-02
