soc_case_report_month,soc_case_state_ut_code,soc_case_district_lgd_code,soc_case_program_code,soc_case_household_id_hash,soc_case_ration_card_type_code,soc_case_aadhaar_seeded_flag,soc_case_household_size,soc_case_eligible_persons_count,soc_case_participants_count,soc_case_new_applications_count,soc_case_approved_applications_count,soc_case_denied_applications_count,soc_case_recertification_due_count,soc_case_churn_rate_pct,soc_case_average_benefit_inr,soc_case_benefit_duration_months,soc_case_dbt_payment_channel,soc_case_benefit_upi_vpa_hash,soc_case_data_latency_days
2022-02,MP,472917,PMKISAN,1caccd5e803f4f0381e3e2,SPHH,0,1,1,1,116,70,46,78,9.45,4969.73,32,AEPS,035ffc1220974d61b5e6c0ab,1
2022-02,RJ,587544,JJM,5bfdf4011d674b17b2339a,PHH,0,6,8,7,18,0,18,18,3.91,2724.44,40,IMPS,0fe1b544c9794ef6804c6c06,18
2020-08,GJ,569688,PMSBY,723084f7061440b181d5a6,SPHH,0,1,3,3,101,96,5,45,11.45,4581.07,13,UPI,556911a5a1d34a3cb68f42d6,12
2019-08,BR,341974,PMSBY,97bf320f8ad44351be7189,SPHH,1,8,9,8,26,0,26,54,13.98,1780.01,42,AEPS,80684d6569bb4ffaa265f403,10
2022-11,TR,351672,PMUY,46b144eab6ed4a9fa1a9e8,PHH,1,2,2,0,78,47,31,41,3.19,3260.06,1,AEPS,e48c9e4e568e4d4782754924,19
2025-03,PY,483151,PMKISAN,7a2a3ac6c74e4989938b92,NPHH,1,4,5,5,10,0,10,77,6.07,3915.26,52,AEPS,77fe6bbc3abe4aae8e3acbe2,8
2019-06,DN,128839,PDS,ae11167e40ff446db430f8,PHH,0,7,6,4,47,8,39,32,15.69,4556.19,41,NEFT,5fd9dfce39d04216af861d98,8
2025-01,SK,716854,NSAP,86debd0e6a3b42c89cbc8b,NPHH,0,5,6,6,74,50,24,17,9.35,5954.38,41,AEPS,f5ed2850b5fe43efa2c78493,8
2024-10,AR,652946,MGNREGA,3223c7ededb84c9fb646dd,AAY,1,6,5,5,85,72,13,10,9.81,2189.57,42,IMPS,cab87c4a830743d9a56b5f3c,13
2020-12,PY,375519,ICDS,98bd99236cee4aa4b32875,PHH,1,6,5,4,104,78,26,67,13.14,5540.77,22,IMPS,7e6e4f1ccf0c461eaabd7fa3,17
2023-06,MZ,436345,PMKISAN,6c878449e07c4bfeba45dd,SPHH,0,8,9,8,97,61,36,54,10.61,2228.97,59,NEFT,728c5b839ada4168a6e8c7d0,11
2020-02,KA,395830,MGNREGA,ec2715145fc64065b15866,NPHH,1,4,5,4,62,28,34,46,1.72,3721.84,45,NEFT,5a2cc9862cd4405eaa5c8cd4,5
2024-04,JK,686200,MGNREGA,1d26975f29ba44b7bccc1d,AAY,1,8,10,10,36,28,8,34,14.57,5434.22,11,IMPS,08290acea98747b5a181dc85,18
2023-11,UK,783747,MGNREGA,f9f20cccd9144d80b0d5cd,NPHH,0,5,6,5,31,0,31,32,16.65,4783.53,55,IMPS,ee6b2161750c4afa8707728e,12
2021-06,UK,197800,PMSBY,d7e17a6b11734f0da0ff97,AAY,1,8,10,10,119,105,14,74,1.43,5649.79,44,UPI,14ad6a2b4363432dabd8835b,17
2019-06,JH,471986,NSAP,b456b7beb5b04770bfab04,PHH,1,6,8,8,72,32,40,54,2.62,5352.26,19,NEFT,6ee080175e4345a59a34032d,9
2025-10,PY,112399,ICDS,a8fdad3e55c54f3fa22829,PHH,1,2,2,0,109,94,15,77,12.78,2013.35,56,UPI,3fa243e2fd5e4aba97e76d4b,4
2022-02,MZ,507024,PMAYG,5355f958021244f0a8aa53,PHH,0,6,8,8,52,49,3,64,11.08,6456.21,15,NEFT,2b478b4e89ac404c8fd7e570,19
2025-04,PB,323464,NSAP,692a89d4239442cdb49d6f,NPHH,1,8,8,7,58,9,49,61,7.19,6109.39,39,AEPS,a33466d68f8c45119ce729e7,14
2023-09,WB,402222,PMAYG,156dcfd0acc044a5a85e1f,SPHH,0,2,3,2,99,70,29,44,9.94,2967.08,40,IMPS,1edbd2a4964641de8d115aa7,6
2024-06,TS,510892,MGNREGA,9a460de4218d46548172fd,NPHH,1,7,6,6,86,76,10,19,12.81,592.7,57,UPI,22cf16cf83cd451e91778a41,17
2024-04,GJ,391351,ICDS,591033fef49d4193a09f9f,PHH,0,1,1,0,24,24,0,52,9.33,2181.68,34,IMPS,8b06a28b39ca400cb337fe27,0
2020-05,KA,454664,PMAYG,afccba1a173641d0918c52,NPHH,1,7,8,7,62,56,6,57,2.95,5484.15,59,UPI,fa64b84c1a8b42118dd46e42,19
2021-07,MH,788292,MGNREGA,91654625d48c4ce08ffa9c,PHH,1,7,7,5,25,17,8,41,2.07,6195.4,17,UPI,b315916d56564cf4885852a2,12
2022-04,LD,829271,PMKISAN,6166b67081034e0fab9abd,SPHH,0,2,3,2,91,45,46,1,8.18,5456.37,48,AEPS,2802688c343e457cbb7d6010,12
2022-06,UP,105276,JJM,896f2c297bae450993c29c,SPHH,0,6,5,3,3,0,3,76,16.65,2759.81,15,UPI,9378237dc7dc47009bfee7b6,0
2019-04,MH,440053,JJM,6f6e1c2b71a14aa1b1c07e,SPHH,0,1,1,0,99,91,8,66,10.26,650.53,59,NEFT,5bc0f959ef404f17b88e7f2b,3
2022-10,UK,862196,PDS,753cc342bf274d9aa998fe,SPHH,1,5,6,6,111,70,41,28,6.77,3509.01,46,UPI,cca38ec82ef14889a5d6a234,15
2020-01,UK,577396,PMJJBY,eacb4ed24b2448918db666,PHH,1,8,9,7,2,0,2,39,16.4,2633.57,37,IMPS,6bcd06d183604e019a240704,11
2024-03,MN,284752,PMJJBY,d4f9ab8759ba4d878040af,SPHH,1,2,4,2,75,65,10,9,7.3,1062.43,4,IMPS,a1c203582d35478791d9927c,2
2023-10,MN,634163,MGNREGA,1768c5fe487d469d878078,NPHH,0,2,4,3,9,0,9,74,9.41,956.29,30,AEPS,9e5ee80d61f04fb6862b9473,13
2025-06,JK,230435,ICDS,1ee5f93008764e6ba1f7a1,PHH,0,4,6,6,43,17,26,18,2.54,1248.83,9,AEPS,eb7db7ef704544eaab390046,15
2024-03,RJ,119648,PMSBY,2dae9edb9dd1413bba709b,SPHH,0,3,2,1,40,12,28,30,13.4,1576.11,55,IMPS,1b7e9a8fe18d4fb09f16fee8,5
2021-07,GA,669182,MGNREGA,df58bc4c80564b0490d896,AAY,1,1,2,0,62,47,15,34,12.76,4973.48,23,NEFT,61c91d20f0cc4bc5aecc8412,14
2025-10,UP,563619,PDS,2a310155d67642178ed73b,PHH,1,4,3,2,110,73,37,21,14.4,2666.56,50,UPI,d7e7605520cb42c688ef30a5,20
2021-11,SK,780850,MGNREGA,de5095c85fc5475486b5f0,NPHH,0,3,3,3,55,11,44,50,6.19,3009.02,54,AEPS,aee477010c2a413194698abb,10
2021-04,OD,410347,PMKISAN,82f95ef4835a4ce59a7fb2,SPHH,0,1,1,0,47,11,36,79,8.13,4009.96,7,IMPS,cf7c697d52db4a29aed7bb70,4
2025-05,UK,868854,MGNREGA,877e7b31310b4037974bf7,AAY,1,3,3,1,11,0,11,68,3.45,6252.83,45,UPI,4b02a0979d7d4b0fa54cf6b4,20
2021-08,JK,479151,PMKISAN,0f11242e05fc4873b4a825,SPHH,1,1,1,1,106,101,5,42,17.38,4990.11,18,IMPS,63e542438f0143dbb1bf5fbd,19
2019-07,KL,764216,PMAYG,4e3ef9dba55f4a4f97f24c,NPHH,0,8,9,8,37,5,32,10,2.01,4303.42,7,NEFT,361edbff805542068cd315dd,9
2022-04,ML,190258,PMUY,806d6d682edf41da997cd0,AAY,1,8,7,7,55,6,49,69,11.86,4911.76,16,NEFT,b0db531ef3ea48939b507d5d,8
2024-07,GJ,187436,PMAYG,a3da83818d8b4100a8b5a2,AAY,0,3,4,2,11,0,11,20,12.84,4759.61,33,NEFT,12fab41dbac3472a84459e6a,17
2020-04,TS,804537,PMSBY,293581024c1048f9a36686,PHH,0,8,9,7,34,0,34,72,3.26,4579.55,51,AEPS,79234306cd6a4d839d0cc4ab,0
2022-03,MN,850586,PMSBY,fb01f96398bb4c449b94cb,SPHH,0,4,3,1,66,49,17,31,6.89,3377.72,41,UPI,a417ce00def546cba22dfead,6
2019-11,MP,948162,PMJJBY,e7bc0159cd8d4fc7ad6fbe,PHH,1,8,7,6,108,64,44,41,1.25,3814.45,14,AEPS,8c0cf3d65a8c401ead156c47,11
2023-10,UP,392159,PMUY,73f75638d3284554b62c67,NPHH,1,2,4,4,39,0,39,34,10.24,3161.25,18,UPI,77954c68ca1c452a858aa2dc,13
2022-04,MN,120041,PDS,9f6d0efc8acc42ee86e47d,NPHH,0,3,4,3,67,36,31,36,17.91,2748.74,18,UPI,fb026572fe1e4ff5bc5d69f2,13
2021-04,MZ,981913,MGNREGA,e10c36e49cbc4d16a6311f,SPHH,1,6,6,4,105,70,35,13,8.02,1978.76,44,IMPS,5d86303477f34f0186676f4c,7
2020-08,ML,641234,PMAYG,5f5eaf1437a04642994fe5,PHH,1,2,4,4,43,17,26,44,17.83,2502.32,31,UPI,7241004114544529b6ec7eca,18
2022-12,JH,322409,NSAP,8506bbc9e0e14036beab76,AAY,1,7,6,6,35,20,15,32,2.71,2956.88,2,AEPS,84757714cf324f87a7e0f902,13
2023-09,CG,787458,PMJJBY,e4505ab27a044b34b0ae4c,NPHH,1,4,6,4,5,0,5,67,7.37,3892.15,5,IMPS,0cf203df7002431fa9711a0f,11
2025-07,CH,913505,JJM,ef3cc1fdca4e4cdda44b7a,NPHH,0,4,3,2,108,60,48,38,16.28,3399.23,5,NEFT,2ed7d3e981614f58bfc65c8a,19
2022-01,BR,356326,MGNREGA,565388194b86453d9163f9,PHH,0,4,5,5,13,13,0,77,15.84,969.28,57,NEFT,0675e8495ede4b6aa7f1e349,1
2020-02,KL,792700,PMKISAN,bae98d560fab44b8af3d0b,SPHH,0,7,6,6,25,15,10,23,6.16,2407.84,30,AEPS,29c525715add44bfb03c7ebf,14
2024-10,TR,808799,PMUY,f1916c0761b949b7a8d14a,NPHH,0,1,1,0,16,0,16,26,12.38,2632.4,29,AEPS,a210bdec70f942bb8c3857b5,19
2023-05,CG,551515,PMJJBY,063af9957ea047ae8c7d94,SPHH,0,7,7,6,84,68,16,2,16.01,4682.94,45,IMPS,d882da32ee394a10801be74f,13
2023-11,TS,669118,PMSBY,68cb8aa3f5134a1ab4f614,AAY,0,7,6,4,43,12,31,59,13.92,2363.93,12,UPI,34c69fe2344f44f89118f871,11
2019-09,UK,342567,ICDS,6e23aa26b4484b12ae96ce,SPHH,1,7,7,5,84,66,18,5,11.5,349.33,2,IMPS,60fec2dc0b5e41ba93cc160a,7
2021-03,TS,936245,ICDS,ce379a25f2124b23813e92,NPHH,0,8,7,6,72,40,32,22,3.17,822.89,16,UPI,6674ff9b09f449d68b319b2f,5
2024-05,KA,984792,MGNREGA,5f298474bc024f00b01602,NPHH,0,7,6,5,1,0,1,72,1.78,3381.39,13,NEFT,b764dee9d4444478b9aefdcb,11
2024-10,AP,982903,PMSBY,11cb9b402019408db0d829,PHH,0,5,7,5,36,20,16,48,11.26,1468.67,48,IMPS,1b78b7ef01b94aa3a80cf66d,18
2022-01,DL,763411,PMKISAN,92b302e6add94f3fb87c91,SPHH,0,4,6,4,0,0,0,44,9.25,3366.66,49,NEFT,9498535b24f04dfebeda576f,9
2024-08,KL,138111,PMUY,9b8c523457264013af3d3e,PHH,1,4,6,6,7,0,7,64,4.67,3860.07,38,AEPS,a9c9445e4f5a41208d1d6b44,2
2024-11,AN,429809,PMAYG,03029e05f4f04f27b586b5,SPHH,1,7,6,4,56,21,35,61,5.62,6087.31,54,AEPS,684dcaf54bd1468aacb0deff,10
2021-09,HR,500443,ICDS,444fc7c1cadc42219084b8,AAY,0,4,4,2,31,0,31,70,7.36,4364.6,28,UPI,b9a9adac32dc46c096bfd207,2
2025-04,GA,963857,MGNREGA,fb5431931f914943bcfd33,PHH,1,5,5,5,10,0,10,53,9.17,492.45,15,AEPS,80e16a1b1b8d4460b3d25089,19
2021-01,AN,592288,PMJJBY,b8cfed801a93403185b39f,PHH,1,1,1,0,49,28,21,35,7.33,2660.53,20,AEPS,121b41a1c6204ac9a56fd062,11
2020-09,LA,582551,PMJJBY,aa8efa2d071e417f950553,PHH,1,3,3,3,54,6,48,10,7.28,5219.43,9,UPI,912fba206eb94483b01348a9,4
2023-10,DN,232068,PMUY,9205bf9463f34c74a0e1b2,PHH,0,3,4,3,119,71,48,29,2.53,1915.49,54,NEFT,812b2cc3fc4841b9a093fcdf,13
2023-06,WB,814347,PMSBY,80969024330740338e3f78,AAY,1,4,4,3,79,78,1,56,15.65,6034.83,36,AEPS,1bd6de1e0ae94c24aa995ab0,11
2019-12,HP,402656,PMKISAN,6d37df3f8a0442aca4ba34,SPHH,1,5,5,3,47,12,35,20,11.16,3579.87,46,UPI,5ee75f87e5124a75a20d6eeb,10
2024-10,JK,182684,PMKISAN,90e84869916540a5979c3a,PHH,1,6,8,6,56,32,24,53,3.06,873.18,17,UPI,640d2974648a4fa5b419b27a,12
2020-05,TR,988881,JJM,d5533c3b625a4dffaa47e1,NPHH,0,4,6,5,10,10,0,10,7.92,1798.36,43,IMPS,84af053abd6c4caab95d99bd,19
2024-08,GJ,271063,ICDS,a5b120f3e7bc44c18397b3,AAY,1,2,2,1,46,15,31,4,7.79,5919.06,20,AEPS,b13d0ed6d66046adb9e42965,17
2019-01,CG,114607,PDS,3eff01b2b34e4553aae71d,SPHH,0,5,4,2,69,68,1,29,11.01,6447.05,27,NEFT,ffa6915bc2b34067812229a6,5
2024-07,DL,170053,JJM,1d44c2cdf8fe45bf841c35,AAY,0,1,2,0,2,0,2,18,11.16,5650.7,39,AEPS,cb86be8f8e234c28b5bf27aa,5
2024-07,JH,507256,PMJJBY,713a71c3ad7b4250a50f4a,SPHH,1,7,7,5,110,76,34,69,11.79,2288.2,58,IMPS,67b559294ae54112bfd7280c,20
2024-06,WB,192613,PDS,af4406f83fce41f5a6558e,PHH,1,7,9,7,61,21,40,30,12.71,5066.68,33,UPI,31d2d08a6ab041a7b4fc1318,13
2023-08,CG,858388,PMSBY,f1f3951f58e844568d2f5d,PHH,0,2,2,0,94,74,20,33,2.31,1677.81,42,NEFT,27baeb70f7274092ab3f6d39,0
2022-04,KA,561202,PMJJBY,5bf739682bfd4cd9a091ee,SPHH,1,3,2,0,33,0,33,32,5.84,2684.04,36,IMPS,cc3e9c98b3334001abbfbb77,11
2023-12,KA,391510,PMJJBY,f84ba5322edc4de0aa075b,NPHH,1,1,1,0,100,59,41,25,0.8,4622.44,25,NEFT,e75a79a1c92b45439d37b3a0,2
2020-12,KA,102834,JJM,6ffc9a95e1c7476a9a7bac,PHH,1,3,2,2,44,22,22,73,8.46,6307.19,56,UPI,4dec66b6b95c4ff2b2f3ec26,0
2024-06,TR,531818,ICDS,a9542612128448fb90813b,NPHH,0,1,1,0,111,103,8,59,8.02,3023.03,57,UPI,7e7f700cb30f49888782aa3c,3
2022-11,JK,236173,ICDS,a51cae7dc2114320992a84,AAY,0,8,8,8,62,30,32,12,13.35,3374.19,19,IMPS,5607d06c61134f51a8346fa6,5
2022-03,JK,980240,PMJJBY,4068a93467d14558b9977c,PHH,1,2,4,3,76,76,0,17,3.42,1665.04,53,AEPS,a65686994e0a41afbb39c21a,1
2022-07,UK,361979,PMAYG,9ab77a6f6a2f488b8e2c71,PHH,1,6,8,7,24,0,24,6,11.55,2799.98,27,NEFT,77e07b11191b4d9eb7497ac1,17
2022-12,HR,527388,PMAYG,b2423edcffc0481aa43c4a,NPHH,1,5,4,4,119,100,19,20,5.87,690.72,44,AEPS,0e1fb51479f64468ae495f62,9
2019-04,LD,116759,JJM,55fd69b6ceca41399e7f69,AAY,1,2,4,2,23,0,23,52,7.18,5623.23,31,IMPS,bd5ca6f4d89f41f1a1390752,11
2019-12,PB,217829,PMKISAN,fd1d38ed0af74a35bb733c,PHH,1,7,8,6,3,0,3,74,13.09,444.67,46,NEFT,aba54c437efc47e4971b12ad,18
2020-09,PB,286737,NSAP,f74c91fc341f420b935b45,PHH,1,1,1,0,52,29,23,38,1.75,4537.85,52,IMPS,d2758457c030423cad92bb58,17
2019-10,UP,146549,PMKISAN,48cdd6e185db464e8494b2,NPHH,0,8,8,6,100,52,48,6,6.5,1993.97,25,NEFT,274c2cd33d0b4fa083cc798d,17
2022-01,WB,753393,PMKISAN,a65af0876d9d4abe90d74b,PHH,1,6,6,6,110,71,39,3,7.35,3251.88,42,AEPS,7a2fe4ed70fe45a1a24f823b,4
2023-09,LD,950873,NSAP,122e769a014b41e293b6e9,NPHH,0,6,5,4,102,58,44,33,13.03,2045.66,30,AEPS,ef54ec56a5e841c4951ce97b,15
2023-07,RJ,986818,JJM,f254662182db4a4aa24826,SPHH,1,8,10,10,66,62,4,21,3.99,2780.44,48,AEPS,900f12ea456d4dbc8017317c,20
2022-04,SK,339228,ICDS,3794a9a59fb045df8ca6d0,SPHH,0,4,3,3,110,86,24,46,17.08,3690.02,12,UPI,b8926ffba2f2427f909330cb,0
2024-12,UK,809870,PMAYG,3aaddd25a46648f1841d44,NPHH,1,3,2,2,59,12,47,9,17.96,4273.54,44,UPI,d0ce3486ba5a4ccaafa34e5e,18
2022-12,JH,553657,PMKISAN,f6a099b76d3241fa9bf1ea,AAY,0,2,2,1,57,17,40,18,14.83,6129.77,36,AEPS,377a6c48f79b4914bfee2e42,18
2019-07,KL,141271,PMAYG,3d2dd2a2f637451485e5f0,PHH,0,8,7,6,21,0,21,44,5.74,2359.65,27,AEPS,0ab4b87a49d94af9bcf33dc6,17
2024-05,TN,181631,JJM,7bb4cd690731459b8c4cf4,SPHH,0,4,3,1,94,91,3,22,12.12,3926.12,22,IMPS,45d3260c9cbc430d8b59a273,8
2023-01,AS,593007,MGNREGA,10bc35e92f704a56a7b607,AAY,0,7,7,6,37,23,14,29,1.96,5890.68,42,UPI,40036754ca304b9cb3f12a69,4
2023-06,KL,481289,MGNREGA,e795d5206b8646af893609,AAY,1,3,3,1,23,0,23,17,15.75,2099.44,21,AEPS,28e5c330acc44a4ca7a7b5b0,15
2022-12,UP,107543,PDS,3aff2473f4454e45bd1247,AAY,0,8,7,6,44,12,32,4,9.53,5663.31,2,NEFT,883bec9c6d984d5ca8ec9d5d,13
2022-11,PY,937094,ICDS,b18858117fdc46e5b07b3d,NPHH,1,7,9,9,72,26,46,27,3.59,6236.84,56,NEFT,96276768f6e94facbd4b5378,15
2019-08,OD,757302,PMUY,7d3fbcd56f984e4182070b,SPHH,1,3,5,5,32,28,4,26,6.23,5554.46,27,NEFT,493c6691a6c14b7b96902eef,5
2022-11,MN,552171,ICDS,c4b6787a708740ffbf0dd9,PHH,1,4,5,5,43,24,19,71,14.51,3833.14,10,NEFT,4f5c26cc957d4451adee2a32,3
2024-07,ML,988293,PMJJBY,8feb4266b7fc47f7be1653,SPHH,0,7,8,7,39,26,13,71,15.73,4777.12,14,NEFT,69cdc837f31b4abc9c6a29b9,18
2021-02,TR,974020,PMAYG,7989eac73f664500815ad6,SPHH,0,2,4,3,71,23,48,34,9.59,3282.61,49,NEFT,15fa8fe8fb3749d1b973077e,10
2023-03,PB,976555,PMAYG,67869111767f4accbf7a44,NPHH,0,1,1,0,85,77,8,23,8.91,4002.99,20,IMPS,f80aac2083bc462383f1c47a,17
2019-03,AP,332951,PMSBY,00af4a3e84b24e16a327b4,NPHH,0,3,3,3,81,70,11,33,13.64,6341.74,17,UPI,d1e15e159a0e4aa6a77893c8,19
2021-06,PB,892800,PDS,26e67ef9f6d3436c8d2b12,NPHH,0,5,4,4,16,2,14,48,14.96,1856.95,29,NEFT,00957879911746b6981b9d09,9
2022-01,MN,554090,ICDS,6b88f6d1a3774d4c813f22,AAY,1,2,3,1,41,36,5,30,13.88,5213.79,2,UPI,fab4ba0a6ce64768a1d86b81,5
2025-11,UP,753432,MGNREGA,dbad327952e84ed0be684f,NPHH,0,3,2,2,77,45,32,60,7.23,3438.65,34,IMPS,274196d05ba94246ae7ea068,18
2020-07,DL,873576,PDS,8226e14598194ab1b873e6,PHH,0,8,9,8,25,0,25,77,11.73,1396.61,3,AEPS,767424df936c471689500cca,15
2020-12,LD,246993,NSAP,d44909698162495dbc4c7f,PHH,0,1,3,3,8,0,8,32,15.5,4289.92,50,AEPS,29520b8257b04048826929c2,13
2021-11,SK,503426,PMUY,c308801428b44d0b8f31e7,SPHH,0,1,1,0,38,0,38,9,3.16,5213.05,26,UPI,e0ae6443a3384bdda2be1a9d,20
2025-12,MH,216009,PDS,d73b4882702f48e3b1cba4,SPHH,0,4,5,3,81,60,21,9,7.29,3826.29,13,IMPS,3aa038cf5cb4418f976c77a6,5
2024-12,ML,351538,JJM,02e748cd4e9e4132919d1f,PHH,0,1,1,1,79,64,15,69,1.49,5492.08,27,UPI,1aa3767f0a1144c0851df020,7
2019-03,GJ,472164,NSAP,373e4ab162f447dcacbca5,NPHH,1,1,1,0,15,0,15,33,7.66,2568.39,11,NEFT,1715a00391ca418f8528049a,0
2020-08,LA,869926,PMSBY,e5fb81b074a742b6850f80,AAY,1,2,3,2,81,41,40,26,14.01,5965.36,19,NEFT,86ec52e2da1e49b68e2c8172,8
2024-10,DN,876398,PDS,013a17e300774ce6a93225,AAY,1,1,1,0,23,0,23,49,3.95,4319.58,8,IMPS,b7eeb1c9f5144f548be7c93f,9
2019-05,DN,450900,JJM,2fc6cb78122d46c7a5704e,AAY,1,7,9,7,88,80,8,76,9.98,5279.59,40,NEFT,28cbc14052a34b3bb09a7ee9,9
2024-12,KL,396275,PDS,ec903ca6420542dbbaf58d,NPHH,1,1,1,1,67,33,34,33,1.14,1992.51,58,IMPS,b68f60d4ca6e495994142bd7,3
2020-12,KL,577650,PMUY,6e4850bb2f074deb92b0f4,PHH,0,5,5,4,15,0,15,25,16.21,3066.0,29,IMPS,dc568b6c183b422093767f3f,16
2025-06,DN,920682,PMJJBY,1d92e97cce3e45199d0a1c,PHH,0,6,8,6,42,30,12,69,14.85,5939.63,6,AEPS,343976294b224467b88b1bb5,10
2021-01,PB,978873,MGNREGA,23a208281e6a46868f26f4,SPHH,0,6,5,5,98,71,27,6,9.68,615.55,5,UPI,143717198ce04e50a87d61d6,9
