econ_output_release_quarter,econ_output_country_iso2,econ_output_region_nuts_code,econ_output_nace_section,econ_output_gdp_current_eur,econ_output_gdp_chain_linked_eur,econ_output_gva_current_eur,econ_output_gva_chain_linked_eur,econ_output_gdp_per_capita_eur,econ_output_household_income_disposable_eur,econ_output_productivity_gva_per_hour_eur,econ_output_investment_gfcf_eur,econ_output_government_consumption_eur,econ_output_export_goods_services_eur,econ_output_import_goods_services_eur,econ_output_eurostat_table_code,econ_output_revision_round,econ_output_seasonal_adjustment_flag,econ_output_reference_base_year,econ_output_data_extract_date
2025Q4,IE,AT657,U,1111605401.25,1083903080.13,1031783917.04,1006070827.33,505.13,396740168.34,32.462443,221108483.44,191130374.09,423606869.0,428243175.36,namq_10_gdp,FIRST,1,2020,2024-08-07
2026Q3,PL,FI5,E,1135242162.87,1099320548.24,1050665040.21,1017419635.92,513.23,414274392.13,30.14131,305727736.89,274079738.42,475368995.73,285081830.35,nama_10_gdp,SECOND,0,2015,2024-08-20
2018Q2,AT,SI41,J,1186061804.77,1065557055.3,1146267149.32,1029805566.03,534.37,610997768.86,37.619444,311380639.3,213094871.03,629596775.22,465222001.77,nama_10r_3gdp,BENCHMARK,1,2020,2025-11-22
2019Q1,EE,NL10,O,1210631394.61,1210446604.87,1164890186.85,1164712379.01,544.78,553856103.58,50.080538,237444724.61,170534548.14,461344682.99,436502677.85,nama_10_gdp,FLASH,0,2015,2026-01-20
2020Q4,IT,HU833,T,1221215962.21,1325211236.85,1163706714.23,1262804665.04,546.83,429008310.8,83.705502,256238893.84,273571726.86,363959563.72,340554951.8,nama_10r_3gva,FIRST,1,2020,2024-04-18
2021Q3,PT,MT126,D,1260971449.77,1210347464.11,1086627163.4,1043002545.3,562.38,638440152.94,78.972383,287981530.38,256266984.87,283236306.54,650461451.34,namq_10_gdp,SECOND,0,2015,2025-08-15
2022Q2,BE,IT938,I,1286655701.6,1150175284.85,1219979743.91,1090571897.14,572.02,445989077.22,88.885063,314592445.59,256836197.42,557206852.23,446115837.85,nama_10_gdp,BENCHMARK,1,2020,2025-07-20
2023Q1,FI,LT908,N,1290360573.43,1384535402.37,1154268020.5,1238510359.9,570.79,659291562.28,40.70342,360100265.06,221341762.97,644055854.62,670589888.88,nama_10r_3gdp,FLASH,0,2015,2024-12-20
2024Q4,LV,LV8,S,1313006844.9,1352263347.87,1172520634.66,1207576856.92,579.78,660189490.85,31.769243,300417940.87,209837484.51,401772284.14,661066086.65,nama_10_gdp,FIRST,1,2020,2026-02-18
2025Q3,RO,EE88,C,1348619716.25,1402348025.19,1283710555.28,1334852916.97,594.36,544658149.99,77.996121,312061712.08,309189410.13,674446773.93,450514300.18,nama_10r_3gva,SECOND,0,2015,2024-06-23
2026Q2,BG,CZ988,H,1385096799.77,1280769623.29,1225141714.61,1132862549.79,607.02,624452439.16,73.537751,315861146.25,302772799.72,500024243.81,346735092.35,namq_10_gdp,BENCHMARK,1,2020,2024-03-07
2018Q1,FR,SI8,M,1412459706.14,1422524161.12,1339205137.93,1348747618.86,617.4,681386284.08,45.768154,309593130.1,336897821.42,651610880.96,663688285.29,nama_10_gdp,FLASH,0,2015,2025-02-03
2019Q4,LT,AT76,R,1432584001.4,1335321921.64,1379456799.97,1285801672.48,623.37,590729074.84,38.971336,380623534.28,229457331.76,452038772.63,566149686.32,nama_10r_3gdp,FIRST,1,2020,2025-06-11
2020Q3,SK,CY55,B,1461877890.59,1544051577.19,1425241581.8,1505355903.13,634.05,687930078.21,72.108578,242481778.82,339842232.09,399351865.12,536205963.07,nama_10_gdp,SECOND,0,2015,2025-05-27
2021Q2,HR,EE89,G,1484918051.34,1401269185.57,1286577999.88,1214102087.61,642.56,587008212.54,112.756548,278637495.54,241932603.29,506237249.65,351335845.52,nama_10r_3gva,BENCHMARK,1,2020,2024-05-27
2022Q1,DE,DE9,L,1486048536.94,1536165951.14,1317809587.75,1362253095.01,640.45,619433207.34,76.627725,385502519.18,272875873.87,688158234.2,751381641.36,namq_10_gdp,FLASH,0,2015,2025-08-21
2023Q4,LU,NL7,Q,1512279898.57,1518526994.62,1455902202.54,1461916407.25,649.55,589618781.28,43.606488,309372298.01,319703820.04,635653424.22,593870434.74,nama_10_gdp,FIRST,1,2020,2025-03-23
2024Q3,SI,SE839,A,1554803119.58,1489867700.32,1512368314.07,1449205159.0,666.54,605547867.86,121.804901,397314373.13,337057438.66,691314031.11,403871859.88,nama_10r_3gdp,SECOND,0,2015,2024-06-01
2025Q2,CY,CY59,F,1574379061.05,1620982567.39,1368326941.91,1408831058.67,672.31,783050468.11,90.911407,404965204.65,237122569.38,852705790.85,479654294.41,nama_10_gdp,BENCHMARK,1,2020,2025-03-03
2026Q1,GR,FI985,K,1588388516.23,1544639384.27,1464645972.88,1424305093.26,675.54,654164571.57,71.709468,287898452.13,395906928.88,768984096.87,824045074.4,nama_10r_3gva,FLASH,0,2015,2025-11-07
2018Q4,MT,BE95,P,1636283698.9,1471250754.66,1509937583.39,1357647705.31,693.06,844781741.41,69.54873,301281626.31,236847350.01,668964322.14,745999650.77,namq_10_gdp,FIRST,1,2020,2025-08-30
2019Q3,ES,SI841,U,1650998642.63,1655368682.99,1443577961.23,1447398978.27,697.74,736928623.2,92.71918,394304842.86,267763726.05,444146570.91,504986391.92,nama_10_gdp,SECOND,0,2015,2024-03-16
2020Q2,CZ,EE24,E,1683388278.98,1520255352.55,1587428471.91,1433594769.16,709.43,762399866.24,135.884128,444707732.11,341263859.24,625842674.71,608772574.62,nama_10r_3gdp,BENCHMARK,1,2020,2024-02-04
2021Q1,HU,LV836,J,1698538846.84,1586357569.81,1623612476.31,1516379767.84,713.22,740024433.72,48.319873,455994132.47,434278091.16,570435372.94,382046903.06,nama_10_gdp,FLASH,0,2015,2025-08-28
2022Q4,NL,BG1,O,1739896581.41,1789164274.81,1549620360.05,1593500106.47,726.11,767197518.8,91.385132,312561102.95,327690615.33,942275030.88,544321228.12,nama_10r_3gva,FIRST,1,2020,2025-04-22
2023Q3,SE,HU54,T,1736608458.55,1723893206.58,1635972335.39,1623993929.8,722.91,890249024.71,101.178058,391082096.21,378243822.79,527406148.23,788610618.87,namq_10_gdp,SECOND,0,2015,2025-10-30
2024Q2,DK,GR6,D,1777965107.79,1625254863.16,1631664053.48,1491519674.0,737.5,912629010.33,68.613927,350042904.45,299201114.36,531980349.1,595369918.21,nama_10_gdp,BENCHMARK,1,2020,2026-01-08
2025Q1,IE,PL1,I,1801386199.05,1860885012.68,1727162672.36,1784209922.97,745.15,871784466.66,133.667733,410348780.03,358307864.23,416100925.23,539867590.93,nama_10r_3gdp,FLASH,0,2015,2024-10-28
2026Q4,PL,PT93,N,1821889205.93,1761942175.27,1712500094.61,1656152378.55,752.86,870146734.49,144.054063,484166026.91,382767025.69,986208220.77,554396977.77,nama_10_gdp,FIRST,1,2020,2024-12-28
2018Q3,AT,LU207,S,1842243253.65,1959467266.25,1676156347.43,1782812063.17,757.9,765054534.12,75.948339,430521484.47,436624201.15,467494762.0,914627477.12,nama_10r_3gva,SECOND,0,2015,2025-09-26
2019Q2,EE,RO732,C,1879824406.77,1852055411.93,1760554143.0,1734547023.01,771.69,838370044.94,73.719942,402067168.59,360378328.17,955031858.25,671381843.48,namq_10_gdp,BENCHMARK,1,2020,2024-02-20
2020Q1,IT,SI11,H,1899804144.5,1746425610.42,1792770132.21,1648032867.78,775.93,725839542.01,77.326951,371142939.02,430962720.29,765006528.16,689840852.89,nama_10_gdp,FLASH,0,2015,2024-09-09
2021Q4,PT,LV41,M,1918987314.32,1824820390.27,1789165782.81,1701369351.26,782.31,946517244.39,56.358493,344920176.66,269667264.46,705873524.9,921673515.83,nama_10r_3gdp,FIRST,1,2020,2024-07-23
2022Q3,BE,SI85,R,1961942182.35,1762573005.46,1726767399.79,1551296278.24,797.15,758416976.85,110.801123,405369263.41,379396229.29,1062233988.1,604054963.49,nama_10_gdp,SECOND,0,2015,2024-01-31
2023Q2,FI,BE604,B,1978562735.07,2055047419.51,1729231853.04,1796078231.1,801.66,770011842.34,53.976618,471628143.64,394384653.93,918939256.98,722180508.55,nama_10r_3gva,BENCHMARK,1,2020,2025-05-08
2024Q1,LV,AT414,G,1998845056.59,1950301372.93,1909641067.86,1863263780.33,804.53,877032636.24,54.600756,427366298.38,449175590.98,968706073.6,772411327.55,namq_10_gdp,FLASH,0,2015,2025-11-10
2025Q4,RO,AT1,L,2015795305.75,1953543834.1,1735129947.56,1681545939.09,809.12,691383880.67,67.808711,380134972.42,298875277.4,547862306.68,605334379.62,nama_10_gdp,FIRST,1,2020,2024-08-15
2026Q3,BG,EE74,Q,2041174115.61,1990796322.99,1762044063.39,1718555421.37,816.73,1060866632.34,48.858445,558855447.99,528429919.06,580045824.1,444910776.36,nama_10r_3gdp,SECOND,0,2015,2024-11-14
2018Q2,FR,EE1,A,2080516512.68,1938174350.46,1792164669.29,1669550600.85,830.62,896411973.6,74.472858,464295315.02,428779851.89,536706442.71,799132303.03,nama_10_gdp,BENCHMARK,1,2020,2024-05-24
2019Q1,LT,FI22,F,2092805977.05,2027846706.02,1830663629.26,1773841078.02,833.85,824664172.03,63.572236,408447587.06,340422660.01,1091400698.17,767042833.03,nama_10r_3gva,FLASH,0,2015,2025-09-03
2020Q4,SK,LV22,K,2126056026.07,1921687724.85,2031569642.32,1836283896.54,842.8,753658522.46,62.860173,581944004.75,504029033.64,692823320.95,631298018.42,namq_10_gdp,FIRST,1,2020,2025-11-23
2021Q3,HR,SK47,P,2152612343.24,2085211487.83,1883248990.24,1824282222.12,851.71,749264526.86,50.614223,559478571.35,529441219.95,919682550.73,809376972.07,nama_10_gdp,SECOND,0,2015,2024-12-17
2022Q2,DE,DE67,U,2175020318.88,2064215113.94,2036624850.66,1932870126.17,859.31,760790356.76,68.565472,544039367.42,342060427.61,1053853534.54,1091183794.25,nama_10r_3gdp,BENCHMARK,1,2020,2025-06-19
2023Q1,LU,AT23,E,2188465459.56,2127427533.29,1976653652.69,1921523314.95,861.62,873990414.99,106.945211,417326559.75,467953085.01,534767033.02,1021171553.97,nama_10_gdp,FLASH,0,2015,2025-05-17
2024Q4,SI,AT884,J,2210191800.89,2237356247.79,2134802533.03,2161040405.24,865.69,946315958.66,155.194121,544264742.96,453010289.83,902413398.56,467235901.48,nama_10r_3gva,FIRST,1,2020,2026-02-18
2025Q3,CY,FI86,O,2238703293.88,2336120350.19,2127614506.82,2220197540.4,875.98,964996067.81,59.335095,619128650.73,341926325.54,1198835558.21,1018260019.04,namq_10_gdp,SECOND,0,2015,2025-12-01
2026Q2,GR,NL37,T,2280590852.27,2168653852.64,1972307829.88,1875502118.06,889.77,912170208.42,126.720321,620673050.21,585018018.09,972232006.76,909111243.25,nama_10_gdp,BENCHMARK,1,2020,2024-04-18
2018Q1,MT,ES828,D,2314460776.57,2491565466.18,2165135104.11,2330813254.49,897.94,1064463284.13,65.857167,443462365.9,539673703.04,1232994684.04,1186963463.5,nama_10r_3gdp,FLASH,0,2015,2024-12-12
2019Q4,ES,IE91,I,2322844657.76,2353714005.85,2108700209.39,2136723693.68,899.5,955204353.3,157.550908,473637078.55,376269782.91,951249941.85,758999707.11,nama_10_gdp,FIRST,1,2020,2025-11-18
2020Q3,CZ,BG420,N,2363482030.96,2196985699.52,2092986409.08,1945545237.84,912.24,964819536.11,73.459563,615919420.88,611325802.07,681018252.66,918293891.93,nama_10r_3gva,SECOND,0,2015,2024-09-10
2021Q2,HU,HR472,S,2387161291.18,2354146954.33,2228351613.49,2197533607.57,916.53,1204321271.51,110.023396,422359777.75,397747708.21,819906141.28,1111677055.84,namq_10_gdp,BENCHMARK,1,2020,2024-01-22
2022Q1,NL,GR28,C,2386165532.0,2566427702.9,2268401676.82,2439767412.04,913.97,814040059.78,63.699916,612834991.82,509671245.74,1050098350.67,652621038.73,nama_10_gdp,FLASH,0,2015,2024-05-03
2023Q4,SE,LT64,H,2433347051.98,2233623447.85,2117181978.18,1943408485.85,931.37,996309383.07,79.70431,502991883.23,558307392.08,874502794.62,1070570998.06,nama_10r_3gdp,FIRST,1,2020,2026-02-04
2024Q3,DK,BE230,M,2440300850.64,2445825619.36,2256943042.39,2262052694.47,931.15,1260767777.4,87.608993,485207583.41,398436064.74,1066447473.71,1008538972.61,nama_10_gdp,SECOND,0,2015,2024-12-18
2025Q2,IE,LU28,R,2476086871.5,2287080515.96,2292877852.21,2117856332.76,942.05,1220445268.08,64.761455,402798743.65,525328320.0,995268059.31,1281983723.89,nama_10r_3gva,BENCHMARK,1,2020,2024-02-08
2026Q1,PL,FI70,B,2512396858.28,2619463448.04,2286361761.77,2383795794.14,951.73,915087926.63,84.422016,460465648.24,590207233.59,1133813189.1,555309492.27,namq_10_gdp,FLASH,0,2015,2024-07-29
2018Q4,AT,SK38,G,2527311655.62,2486388881.6,2372422362.59,2334007589.34,954.3,1186242970.81,113.776547,551559529.63,444681866.13,836538946.55,570912708.07,nama_10_gdp,FIRST,1,2020,2025-08-17
2019Q3,EE,HU955,L,2541354814.79,2286605383.85,2475674299.54,2227508787.45,955.41,920938048.84,106.563255,596155104.32,431383062.78,571463262.98,913180509.16,nama_10r_3gdp,SECOND,0,2015,2025-09-28
2020Q2,IT,SI968,Q,2587672950.07,2317232426.97,2485716522.24,2225931576.64,970.01,886849691.53,76.73117,626015606.18,547839458.48,1104633968.97,870758064.36,nama_10_gdp,BENCHMARK,1,2020,2024-08-23
2021Q1,PT,IT80,A,2605158295.51,2425047687.32,2489430421.11,2317320792.32,976.34,1035658035.17,225.120356,421075217.03,567381005.67,988039952.45,1044214170.39,nama_10r_3gva,FLASH,0,2015,2024-11-27
2022Q4,BE,PL361,F,2624807729.7,2491604193.76,2524330366.6,2396225847.97,978.0,1350410226.77,68.979366,467652109.43,680114676.66,653047690.93,1166687222.41,namq_10_gdp,FIRST,1,2020,2024-11-24
2023Q3,FI,LT98,K,2643875221.42,2681624375.62,2556384400.48,2592884363.92,982.08,1287215358.03,111.422365,701348881.62,552654210.19,1141204509.44,625259592.58,nama_10_gdp,SECOND,0,2015,2024-11-04
2024Q2,LV,ES86,P,2662985210.78,2618406247.99,2374280949.5,2334534960.06,988.1,1268984411.16,83.052986,689280821.17,413979365.49,1047969551.37,895639552.79,nama_10r_3gdp,BENCHMARK,1,2020,2025-03-25
2025Q1,RO,HU24,U,2687256473.5,2859920398.2,2410299198.15,2565167824.71,993.36,1245972527.85,71.276814,482208482.6,594896748.75,1289562254.66,805181283.89,nama_10_gdp,FLASH,0,2015,2024-07-22
2026Q4,BG,GR1,E,2719762411.09,2657341626.72,2359680124.94,2305523525.21,1001.73,1341141430.36,98.626364,623281015.32,691483824.76,994048104.74,738501529.27,nama_10r_3gva,FIRST,1,2020,2024-11-09
2018Q3,FR,ES9,J,2749117784.07,2723650127.99,2648207143.25,2623674317.07,1011.45,1203737360.66,77.25761,450009691.11,699038406.81,1366193111.39,1166239829.41,namq_10_gdp,SECOND,0,2015,2026-02-25
2019Q2,LT,ES8,O,2766390668.68,2643729320.08,2473614588.69,2363934887.7,1013.85,1098876758.25,155.961746,521533398.21,700707128.34,1002947999.18,953171969.41,nama_10_gdp,BENCHMARK,1,2020,2024-09-14
2020Q1,SK,SK4,T,2811619310.56,2560303871.77,2544590634.92,2317143444.76,1026.48,1189820043.5,141.218672,670798660.32,482789486.45,829198089.25,856504919.56,nama_10r_3gdp,FLASH,0,2015,2025-07-23
2021Q4,HR,BG145,D,2838970647.59,2680716317.9,2539605715.22,2398039052.5,1035.85,1277376344.61,149.745141,666886324.75,612678534.59,1076319780.3,887295676.36,nama_10_gdp,FIRST,1,2020,2026-01-02
2022Q3,DE,BG39,I,2836980244.4,2902026191.21,2501047569.73,2558391291.99,1031.07,1129623945.34,111.016549,509062298.47,435544884.84,1233467203.63,1079061500.99,nama_10r_3gva,SECOND,0,2015,2025-06-24
2023Q2,LU,GR5,N,2871477457.8,2979335545.88,2646091344.56,2745483506.79,1041.56,1328587100.53,85.893031,644057300.11,700649034.3,788672725.56,1290550792.76,namq_10_gdp,BENCHMARK,1,2020,2025-07-20
2024Q1,SI,FI183,S,2913997742.44,2918527672.39,2631979778.78,2636071300.15,1052.85,1455296628.76,80.978189,679125993.67,594165147.96,1323513078.27,1075378958.9,nama_10_gdp,FLASH,0,2015,2025-08-08
2025Q4,CY,FR130,C,2939974558.78,2812502933.4,2847227473.98,2723777183.27,1059.38,1020477455.03,107.361396,754176517.37,533496058.53,1018887133.93,816467753.05,nama_10r_3gdp,FIRST,1,2020,2024-02-15
2026Q3,GR,PL805,H,2935744561.29,3051267160.39,2741386097.82,2849260621.83,1056.02,1200954253.05,105.71761,542669795.21,719838371.33,1330227760.0,1004829529.09,nama_10_gdp,SECOND,0,2015,2026-01-17
2018Q2,MT,PL55,M,2961853099.06,2651187309.67,2552171394.8,2284476706.87,1059.33,1188998821.15,202.800652,784341972.62,514297770.88,1625942900.61,1027256037.76,nama_10r_3gva,BENCHMARK,1,2020,2025-10-06
2019Q1,ES,BE655,R,3009555317.56,2902786033.95,2864138539.66,2762528172.76,1073.96,1544098022.49,88.907211,542791350.44,436833772.38,973584121.79,1042029544.9,namq_10_gdp,FLASH,0,2015,2026-01-25
2020Q4,CZ,RO81,B,3026603759.54,3258722111.21,2767716711.11,2979980321.38,1077.75,1188413868.2,162.88405,558444089.58,531894851.87,1360047236.23,1178166303.86,nama_10_gdp,FIRST,1,2020,2024-02-29
2021Q3,HU,NL2,G,3037196854.76,3121661694.3,2699840803.81,2774923727.69,1078.71,1517755066.32,136.849841,756515895.99,697470979.35,1151163429.48,869511559.6,nama_10r_3gdp,SECOND,0,2015,2025-05-20
2022Q2,NL,PL84,L,3064730342.78,2968173513.36,2921177465.41,2829143386.5,1084.92,1394999250.03,115.616411,567910738.38,489058932.8,821765716.85,1372049784.46,nama_10_gdp,BENCHMARK,1,2020,2025-01-04
2023Q1,SE,RO324,Q,3107937860.36,3248791454.2,2827162799.58,2955291500.54,1098.4,1514010084.88,100.189921,604762041.15,786324608.77,723281776.8,1480409125.81,nama_10r_3gva,FLASH,0,2015,2024-11-10
2024Q4,DK,SK19,A,3134405729.85,2947412412.09,3045845560.31,2864135591.72,1104.09,1512886053.47,97.471495,829290121.39,752937742.81,1046112151.81,1083895135.39,namq_10_gdp,FIRST,1,2020,2024-02-09
2025Q3,IE,PT268,F,3158676277.97,2902158347.0,3044147763.5,2796930759.55,1109.88,1136762156.93,89.868047,580263713.55,497035965.99,1635349030.26,891936810.75,nama_10_gdp,SECOND,0,2015,2025-05-20
2026Q2,PL,EE6,K,3170838785.66,3275174512.26,3067260104.8,3168187598.54,1111.47,1444927907.14,89.859811,630614803.68,640698300.73,930222098.11,1539352645.22,nama_10r_3gdp,BENCHMARK,1,2020,2025-07-11
2018Q1,AT,EE324,P,3200656464.46,2900570713.85,2878618087.8,2608725870.63,1118.18,1284442630.14,110.685588,850066321.85,486282671.13,1258736599.44,646884310.84,nama_10_gdp,FLASH,0,2015,2025-09-22
2019Q4,EE,SE623,U,3228998424.07,3059220282.8,2892754728.27,2740656010.21,1123.41,1379370851.91,81.826798,832078633.72,684472765.74,1753456854.17,1066402454.01,nama_10r_3gva,FIRST,1,2020,2025-09-25
2020Q3,IT,SK612,E,3254451699.76,2923808658.03,3128054985.46,2810253490.62,1131.14,1280966257.37,162.494279,682761520.79,554198822.24,1701307609.99,1316891714.62,namq_10_gdp,SECOND,0,2015,2025-05-26
2021Q2,PT,EE39,J,3286211102.29,3325953462.35,3087392457.58,3124730370.11,1136.4,1473971702.23,190.136335,814499123.4,557119463.36,1041868416.57,886424665.69,nama_10_gdp,BENCHMARK,1,2020,2024-11-15
2022Q1,BE,AT19,O,3308529173.67,3072910404.92,2937826236.74,2728607286.46,1140.7,1173139187.07,240.441186,878051734.36,812494468.15,1593430024.75,933690178.64,nama_10r_3gdp,FLASH,0,2015,2026-01-13
2023Q4,FI,FI513,T,3335029216.42,3473072996.94,2883165715.85,3002505928.32,1146.58,1492724430.73,148.904513,915481915.6,585935517.11,1397646227.53,951635651.11,nama_10_gdp,FIRST,1,2020,2025-09-26
2024Q3,LV,CY399,D,3344389846.69,3497072080.08,3021775229.34,3159729060.07,1147.26,1154154545.66,132.216838,882780572.94,823390635.53,1620997825.09,1236551248.75,nama_10r_3gva,SECOND,0,2015,2024-11-04
2025Q2,RO,LU181,I,3387495832.85,3454392865.11,3053331335.63,3113629211.98,1159.32,1327767186.8,113.627608,619818330.83,644631450.83,1505332214.51,717976757.68,namq_10_gdp,BENCHMARK,1,2020,2024-01-25
2026Q1,BG,DK384,N,3396688364.41,3546426806.64,3083903930.65,3219853691.42,1159.1,1252762894.28,86.13535,680550323.99,563303561.99,1005664543.0,1474595382.44,nama_10_gdp,FLASH,0,2015,2025-02-18
2018Q4,FR,LT36,S,3437410432.8,3247310097.82,3182418411.81,3006419991.51,1172.17,1464835150.83,133.220533,777489526.21,496036527.6,961202335.31,765671394.22,nama_10r_3gdp,FIRST,1,2020,2025-12-20
2019Q3,LT,GR134,C,3456870136.65,3604660400.73,3043543728.39,3173663204.55,1173.83,1200503687.79,101.450956,588955837.68,777273052.37,1276161740.84,1368088315.68,nama_10_gdp,SECOND,0,2015,2025-05-30
2020Q2,SK,IT72,H,3468304304.1,3411137779.26,3174083007.92,3121766002.48,1175.79,1586294922.97,134.974213,865590700.03,723633567.39,1523596849.15,1360445696.64,nama_10r_3gva,BENCHMARK,1,2020,2024-07-31
2021Q1,HR,CZ439,M,3513085978.65,3398522310.45,3250253476.38,3144260920.81,1186.7,1519632930.87,100.57833,811174826.69,515499611.83,1806643392.67,834007274.14,namq_10_gdp,FLASH,0,2015,2024-01-23
2022Q4,DE,LV2,R,3531459094.77,3820429774.89,3273280079.06,3541124600.34,1190.24,1335374131.05,110.758511,815093676.95,805893418.3,1675088927.11,899766111.16,nama_10_gdp,FIRST,1,2020,2025-04-16
