qol_cost_index_month,qol_cost_city_geo_id,qol_cost_cost_of_living_index,qol_cost_housing_cost_index,qol_cost_grocery_cost_index,qol_cost_utilities_cost_index,qol_cost_transport_cost_index,qol_cost_healthcare_cost_index,qol_cost_childcare_cost_index,qol_cost_tax_burden_estimate,qol_cost_median_wage_local,qol_cost_purchasing_power_index,qol_cost_inflation_local_estimate,qol_cost_rent_to_income_ratio_local,qol_cost_commute_cost_share_pct,qol_cost_essential_basket_inr,qol_cost_price_dispersion_score,qol_cost_low_income_adjusted_index,qol_cost_seniors_adjusted_index,qol_cost_methodology_release_tag
2022-11,CITY25358,105.6,150.4,89.5,143.6,107.3,132.8,127.2,6.71,29771,54.0,12.76,31.93,22.57,32607,18.2,122.7,126.9,rel_9.7.1
2023-09,CITY70774,86.2,159.7,106.4,69.8,176.1,153.7,176.6,15.16,73268,121.5,6.47,13.02,11.32,24875,20.6,51.6,70.5,rel_9.5.7
2020-12,CITY56828,139.8,79.8,160.6,112.8,103.6,127.8,49.4,4.66,73120,48.3,8.25,21.04,10.95,36063,91.6,158.2,141.6,rel_6.1.6
2025-08,CITY14853,76.2,132.2,89.7,131.0,72.7,176.2,209.3,17.28,50890,73.4,11.11,14.8,3.73,49904,41.3,155.7,139.7,rel_9.6.2
2021-02,CITY44020,60.3,214.5,60.6,65.5,94.0,171.1,232.4,14.64,48408,84.6,1.15,34.39,22.08,17895,63.9,163.9,158.6,rel_6.7.8
2020-09,CITY87454,143.2,58.8,133.7,56.6,132.4,199.9,151.2,9.57,56813,52.1,10.43,18.67,4.65,53786,94.4,121.1,179.3,rel_7.2.1
2021-10,CITY76150,64.4,151.4,85.3,68.1,60.8,154.4,108.0,13.6,52998,71.5,7.17,45.58,9.33,39345,52.0,114.0,181.5,rel_2.6.2
2020-02,CITY39430,82.3,115.3,162.6,60.5,51.3,57.9,57.7,2.6,74187,102.8,12.85,54.28,19.67,62072,33.6,128.4,159.8,rel_1.2.7
2024-02,CITY65619,145.9,150.1,90.5,186.6,56.3,66.4,118.3,3.99,55001,119.8,2.4,36.48,24.59,52970,90.4,198.4,161.5,rel_4.7.3
2023-06,CITY51844,159.7,70.5,65.2,107.6,55.1,193.6,205.2,14.81,84750,61.6,6.81,36.88,14.08,54874,39.6,163.7,154.4,rel_8.2.2
2024-08,CITY43660,124.4,150.8,123.8,63.7,172.8,89.8,65.9,16.22,37931,43.5,3.59,51.92,18.91,27585,40.8,105.9,89.0,rel_5.9.1
2024-05,CITY19903,142.0,62.9,153.6,124.3,117.3,138.9,204.9,7.56,42561,94.4,12.7,43.03,13.99,63535,65.8,177.6,180.1,rel_9.8.4
2020-04,CITY96206,143.9,82.2,157.0,194.2,115.2,181.9,41.0,15.12,48509,130.9,-1.98,35.03,19.4,38123,0.6,93.1,142.5,rel_1.8.0
2026-02,CITY22987,61.1,189.2,74.1,92.5,52.6,114.8,208.0,8.27,38660,50.3,13.93,40.95,3.56,59295,70.8,60.1,137.3,rel_1.5.9
2026-11,CITY77889,178.8,164.9,109.1,147.1,133.2,107.5,53.1,15.14,43598,88.9,11.1,40.75,12.26,38029,46.9,191.6,65.3,rel_9.6.6
2023-11,CITY33411,160.8,181.4,85.3,69.7,171.5,194.5,46.3,13.7,51214,82.0,8.85,27.89,8.31,17626,40.9,184.1,84.5,rel_3.0.8
2026-12,CITY36385,163.7,130.4,166.5,77.8,171.6,166.5,194.2,15.52,42707,41.8,11.55,23.24,22.97,64098,18.5,119.3,50.2,rel_7.0.3
2022-09,CITY75455,119.0,60.9,124.0,90.3,161.7,96.6,131.0,2.19,38589,79.2,6.16,37.0,8.71,33804,75.7,192.9,186.2,rel_6.2.7
2019-01,CITY49499,178.4,74.2,114.9,142.7,148.3,133.9,42.0,7.22,61153,93.4,13.0,13.71,20.96,62069,32.2,196.6,80.1,rel_2.1.9
2025-12,CITY72768,174.2,71.1,158.6,139.2,136.3,141.9,99.8,16.96,38289,102.5,11.32,37.55,13.14,45226,89.5,132.1,172.6,rel_3.8.9
2024-11,CITY25313,67.2,92.0,77.5,180.8,80.7,196.4,107.4,4.91,14356,105.9,6.47,34.99,18.54,12661,33.2,131.4,124.0,rel_3.2.5
2025-01,CITY40027,80.9,213.3,105.7,176.9,138.0,160.3,193.5,10.08,16703,98.8,-1.5,27.8,15.94,38958,90.1,113.3,91.5,rel_3.9.5
2023-12,CITY58364,115.9,192.1,85.9,166.4,106.7,140.3,166.5,7.97,61153,58.1,12.52,32.15,7.69,42523,40.5,138.9,136.9,rel_4.1.6
2024-01,CITY71272,176.3,93.9,132.2,98.8,158.3,69.6,234.0,9.26,64233,47.3,0.89,33.39,9.75,57917,14.6,117.4,138.2,rel_1.8.5
2022-12,CITY95112,132.7,110.6,118.7,167.3,148.8,117.0,212.8,10.93,62108,43.4,14.77,15.53,7.32,12281,3.9,68.3,117.8,rel_5.4.0
2019-03,CITY43997,142.6,117.6,112.8,152.9,52.4,98.5,234.6,11.28,68503,91.6,6.31,40.01,5.21,34911,13.3,71.5,191.0,rel_7.7.1
2023-01,CITY33196,113.3,197.6,79.5,153.9,167.3,191.7,176.6,9.95,36089,126.9,7.7,11.37,23.41,42659,67.7,82.4,148.8,rel_5.4.8
2020-12,CITY79569,179.9,58.2,167.5,111.0,171.9,167.4,153.4,13.82,37923,105.1,11.01,51.66,12.08,48321,76.2,169.7,115.3,rel_1.7.5
2025-09,CITY61924,99.0,112.3,103.6,154.3,104.4,117.3,87.5,7.97,34443,41.5,7.98,17.58,16.78,37537,46.3,107.0,179.5,rel_2.5.4
2023-10,CITY14760,105.6,117.8,123.8,130.0,135.1,164.7,202.6,13.49,70348,122.2,5.32,50.35,3.64,51310,24.3,189.1,59.0,rel_5.5.2
2020-04,CITY17151,122.8,163.9,162.3,129.8,131.3,63.4,183.5,8.4,55596,81.4,0.07,18.15,17.67,60713,80.0,77.7,94.3,rel_1.9.9
2026-04,CITY22149,156.7,143.5,64.8,145.0,183.2,140.2,203.8,16.15,64249,61.2,8.39,28.5,21.32,18295,35.3,85.5,167.1,rel_2.7.2
2022-12,CITY41910,140.1,66.2,128.6,117.8,132.1,75.2,187.4,15.8,29014,93.5,1.03,24.05,7.3,52390,54.7,84.8,108.6,rel_9.8.1
2026-03,CITY14358,143.4,118.7,107.1,157.6,146.9,198.7,65.7,3.67,29625,73.7,13.39,44.77,8.09,58820,89.4,78.8,98.5,rel_6.8.6
2022-01,CITY74315,68.1,186.1,85.7,131.0,173.2,147.6,146.6,7.19,17249,139.4,9.25,35.1,18.8,58877,33.4,137.1,63.3,rel_5.8.6
2026-10,CITY98733,114.0,178.5,98.2,149.7,161.4,189.1,86.9,8.39,60231,42.0,10.53,44.59,7.6,28669,52.1,143.5,63.4,rel_7.0.4
2026-12,CITY75061,79.1,60.7,72.9,84.1,97.8,107.1,109.3,5.82,67114,122.5,2.75,52.41,22.09,36837,91.9,124.5,198.8,rel_5.3.9
2022-01,CITY22329,124.8,156.8,134.2,129.9,151.0,71.2,82.4,15.1,36226,57.4,9.81,25.57,24.44,60895,93.3,136.3,121.9,rel_1.3.0
2024-06,CITY83965,81.0,135.4,103.9,72.0,101.5,60.2,45.2,4.16,58659,48.0,11.2,15.49,15.67,20734,50.6,115.9,65.8,rel_6.1.6
2021-03,CITY89364,153.7,128.2,66.4,199.2,58.1,154.3,236.7,5.83,41794,47.5,11.31,21.94,6.09,35291,61.8,145.0,84.3,rel_5.6.3
2023-04,CITY22411,161.8,173.1,147.1,110.7,141.6,103.1,145.1,9.71,43174,113.4,11.08,10.5,11.57,36282,41.9,168.6,137.3,rel_7.9.7
2025-05,CITY70428,61.5,91.0,167.3,170.2,184.3,123.2,61.9,10.77,16798,89.9,2.52,16.72,4.93,37121,32.5,160.6,121.4,rel_9.3.5
2020-05,CITY74041,167.1,212.4,146.6,97.3,146.3,115.6,90.9,15.45,32281,65.3,11.28,47.13,13.4,61927,89.5,145.5,142.1,rel_7.7.2
2023-12,CITY73936,113.2,58.1,64.2,161.9,142.3,170.3,61.1,2.57,28531,113.8,4.01,23.34,10.04,57454,94.2,167.6,103.2,rel_5.4.5
2026-08,CITY15439,110.9,64.0,116.6,184.8,159.5,84.2,235.2,12.68,62979,101.5,11.17,38.98,14.2,32669,89.6,98.3,68.8,rel_8.1.5
2023-05,CITY49071,149.8,188.0,132.2,69.2,97.4,189.2,84.9,7.95,50714,95.0,4.61,17.37,8.3,26291,12.2,79.6,183.0,rel_8.4.2
2020-07,CITY86272,91.0,142.5,130.0,83.2,187.0,162.2,151.6,4.89,69941,115.3,2.58,34.28,18.74,25057,13.2,158.9,172.7,rel_3.6.7
2022-06,CITY13754,151.0,176.4,127.3,65.9,71.2,64.1,155.4,16.03,41806,56.1,7.49,46.53,19.06,61666,99.2,64.9,110.2,rel_2.8.9
2023-07,CITY89578,82.6,110.4,146.2,133.1,50.7,164.1,47.1,13.93,25944,135.8,4.25,24.71,5.42,17110,47.0,125.3,68.7,rel_4.3.9
2026-06,CITY33705,107.0,120.1,136.5,50.5,136.7,103.3,198.8,3.49,39766,127.4,6.67,42.55,4.4,35225,56.1,134.1,140.5,rel_2.1.2
2025-12,CITY38731,98.7,158.2,76.4,154.3,154.4,197.3,82.0,15.2,22258,84.0,0.51,24.77,11.98,45937,37.1,59.4,170.2,rel_9.5.0
2019-06,CITY44051,119.5,80.3,135.5,198.7,154.6,161.0,230.1,5.25,20329,73.5,-1.55,11.09,21.13,47525,51.8,94.8,191.1,rel_3.9.2
2023-05,CITY52963,156.3,127.9,113.1,70.0,61.3,159.2,139.3,8.99,80920,40.7,-1.03,20.14,5.02,19736,75.1,148.5,193.5,rel_8.9.5
2022-07,CITY10162,93.1,183.8,167.2,105.7,110.0,176.7,93.6,4.5,17347,43.4,-0.93,50.79,5.2,59299,31.5,165.8,63.0,rel_2.7.3
2026-07,CITY75428,66.3,121.2,88.6,159.6,187.4,88.5,170.8,5.17,38928,86.4,14.52,37.38,10.04,37000,2.2,158.0,112.7,rel_9.6.5
2025-01,CITY72032,177.7,88.7,104.4,131.4,160.8,132.3,162.6,5.62,81184,82.9,0.4,39.89,6.97,12097,86.2,119.0,162.4,rel_8.7.5
2022-11,CITY58777,177.4,185.0,114.7,101.0,172.1,131.7,191.7,14.07,17774,60.5,12.92,49.58,22.02,61050,94.7,134.0,162.6,rel_1.1.8
2026-03,CITY52951,93.9,116.4,147.8,105.8,113.2,109.6,58.7,9.06,14551,58.7,-0.4,26.05,19.42,19239,79.8,109.4,187.3,rel_8.1.9
2022-04,CITY95445,155.2,103.8,154.3,185.9,88.8,197.5,68.1,5.23,77031,129.4,9.12,16.84,12.13,23205,96.8,178.5,67.6,rel_7.0.6
2023-05,CITY66481,79.9,199.9,107.0,74.3,51.8,134.0,145.5,13.51,36217,47.9,10.44,18.43,21.74,21587,91.8,66.6,163.9,rel_9.1.8
2023-08,CITY56305,158.3,199.6,117.8,86.7,65.8,63.1,183.8,8.72,57096,114.0,1.25,37.62,12.02,53855,35.2,176.2,120.7,rel_3.0.3
2023-02,CITY11089,97.8,50.6,135.0,75.1,141.7,198.8,54.5,3.23,75278,70.5,1.61,11.49,8.99,56333,75.9,185.5,84.9,rel_9.2.1
2021-01,CITY96661,140.5,145.3,72.2,117.1,114.5,179.7,149.3,8.09,83678,51.1,5.18,11.89,19.02,16249,96.6,69.1,156.2,rel_3.2.9
2021-09,CITY69675,62.2,213.7,139.9,95.7,166.1,92.2,214.6,3.8,62085,52.0,-0.84,21.85,3.06,18816,46.9,95.2,139.8,rel_3.8.8
2022-11,CITY18259,165.3,199.1,96.3,101.1,188.5,143.9,146.3,15.41,63631,43.5,7.91,54.79,21.68,42462,65.9,87.8,83.0,rel_1.4.8
2023-09,CITY56403,164.2,61.0,165.1,53.8,147.2,62.3,222.1,9.43,61678,100.2,13.17,29.95,15.96,36370,44.5,168.3,145.9,rel_7.6.3
2024-12,CITY18770,138.3,211.6,126.1,161.5,120.9,145.1,54.2,6.07,38512,44.0,8.27,50.83,7.49,41033,97.2,99.7,122.3,rel_8.2.3
2026-01,CITY16796,124.4,195.2,65.4,175.0,168.1,92.7,132.6,9.02,29087,91.3,2.99,51.93,11.13,58628,28.5,172.7,129.7,rel_7.6.8
2025-11,CITY91554,114.1,208.0,78.2,108.5,152.2,182.3,174.2,6.13,84124,70.9,12.0,52.98,20.89,49383,86.3,50.3,157.6,rel_7.0.3
2020-02,CITY79569,139.8,186.1,132.9,63.8,133.5,132.4,220.1,8.47,36306,75.5,14.01,40.09,17.61,63649,88.8,139.8,125.3,rel_3.5.8
2019-07,CITY56619,80.6,158.4,141.5,129.5,166.1,198.7,204.0,13.12,14282,88.6,7.81,11.97,4.83,24336,21.6,120.0,172.5,rel_6.4.5
2021-02,CITY46268,93.0,102.1,146.8,117.0,161.8,173.4,211.5,16.67,80670,49.9,13.12,10.55,10.51,13141,70.6,153.3,106.2,rel_8.4.6
2022-05,CITY31312,101.5,76.3,62.8,146.9,139.2,101.1,54.3,8.55,23120,107.7,8.3,26.41,7.01,60613,45.4,153.2,71.1,rel_5.7.7
2021-03,CITY80188,106.1,56.6,63.4,108.2,72.4,53.5,191.2,9.34,65161,130.0,-0.03,53.02,9.22,39734,44.4,199.2,131.8,rel_4.0.5
2022-05,CITY13236,117.3,140.5,78.5,87.0,167.4,103.4,205.4,13.34,82393,45.8,3.82,22.16,24.23,12358,54.5,74.8,137.4,rel_3.1.3
2021-01,CITY95090,165.6,156.0,122.6,143.1,78.2,109.3,47.9,9.61,50975,99.3,8.19,25.91,12.54,22485,13.1,168.6,68.7,rel_1.7.3
2019-10,CITY58651,176.4,211.3,116.4,64.1,155.6,123.8,100.5,9.86,70954,60.3,10.95,27.39,13.76,14808,36.2,158.9,184.2,rel_2.2.3
2025-03,CITY29503,179.5,60.1,60.3,146.0,91.8,86.1,102.4,6.1,37518,102.7,13.75,10.86,12.97,48188,3.1,180.8,129.1,rel_5.1.8
2026-03,CITY59847,123.4,184.9,169.0,80.1,189.3,63.5,40.5,2.71,80899,123.4,10.59,16.43,19.33,20068,82.2,171.4,182.7,rel_3.1.7
2025-09,CITY31281,69.3,119.3,104.8,59.9,98.8,66.6,201.6,17.16,79628,135.5,6.88,23.48,3.77,24449,79.5,156.1,57.5,rel_2.9.7
2025-12,CITY78487,95.1,75.9,89.3,53.3,131.7,176.3,149.8,5.51,47596,100.3,4.08,39.15,4.83,22576,72.0,180.0,118.1,rel_4.7.5
2022-04,CITY10159,123.2,128.7,85.8,95.5,90.6,134.5,64.0,16.67,68071,67.1,6.44,22.79,5.08,57409,72.2,90.7,110.4,rel_9.0.9
2023-10,CITY60961,93.1,170.2,66.9,175.9,50.5,87.0,188.2,7.06,31008,53.0,7.6,48.99,15.15,28209,89.2,115.1,186.5,rel_8.2.4
2019-10,CITY49129,127.8,208.1,152.9,151.4,69.5,88.1,215.1,4.92,66040,69.8,-0.21,45.18,16.82,57968,36.0,193.5,125.1,rel_9.2.1
2026-03,CITY15355,60.3,196.0,80.5,132.8,108.2,157.9,114.2,15.92,46773,61.6,9.52,37.35,8.79,30135,93.1,68.9,160.6,rel_6.4.7
2024-06,CITY64336,166.8,98.9,100.5,58.7,65.6,127.4,93.5,15.37,73997,64.2,13.49,47.72,18.32,49261,41.4,123.9,110.6,rel_1.5.3
2026-11,CITY11401,122.3,165.2,94.3,166.1,158.2,128.2,235.2,4.01,56724,47.6,4.5,26.55,6.18,40038,1.8,94.0,166.0,rel_7.3.8
2024-12,CITY56607,128.2,162.7,120.3,181.9,144.6,132.0,206.0,11.7,40151,85.8,4.77,23.63,3.51,53448,93.7,140.5,121.0,rel_7.9.3
2020-08,CITY34968,88.7,140.2,131.6,146.7,128.6,166.5,81.0,13.61,72614,54.1,8.58,45.16,15.3,34794,98.2,129.1,186.0,rel_1.0.3
2024-08,CITY33989,116.4,201.3,137.8,59.3,70.6,51.2,166.2,9.16,39045,93.0,2.11,32.53,17.63,39076,62.1,189.3,164.1,rel_3.5.7
2022-11,CITY18811,161.2,216.8,147.2,178.1,83.9,194.1,79.4,17.22,43279,80.7,14.2,33.51,7.04,53316,43.7,139.0,61.0,rel_6.1.9
2024-04,CITY76155,155.1,204.3,163.8,194.0,123.0,196.6,191.5,4.59,20199,117.3,3.27,20.44,12.54,43312,16.3,134.8,165.7,rel_6.8.4
2020-04,CITY28020,105.2,143.8,148.5,56.9,163.1,76.7,142.9,14.93,39413,82.9,-1.5,31.64,17.24,24297,90.1,73.1,198.5,rel_2.2.0
2026-09,CITY63574,104.6,116.7,143.0,187.8,183.1,136.6,111.4,14.6,16956,96.4,4.1,39.55,7.53,27417,87.7,196.2,54.1,rel_9.8.4
2020-01,CITY97440,77.8,165.5,84.7,114.7,150.7,134.5,125.5,7.22,78668,75.3,13.2,52.59,22.53,16557,78.0,121.5,124.6,rel_4.7.8
2026-03,CITY92534,63.9,158.1,100.1,94.3,173.1,119.0,59.0,15.23,26270,73.2,9.79,44.7,17.06,28673,87.6,130.9,92.4,rel_7.4.4
2024-09,CITY59976,130.9,60.4,99.8,158.5,78.1,80.5,42.0,9.0,69727,40.1,10.4,53.51,7.16,42206,64.1,112.4,163.9,rel_2.4.8
2026-11,CITY75458,81.8,113.1,159.2,171.0,187.9,163.1,118.6,11.45,27088,78.1,5.05,43.92,2.48,42881,78.1,137.6,192.8,rel_6.8.0
2022-04,CITY88958,145.7,179.0,71.3,127.1,121.2,105.4,226.6,15.24,32583,58.0,-0.33,46.16,4.81,25689,72.9,179.3,91.1,rel_9.8.5
2024-04,CITY52291,78.9,70.2,144.1,150.7,110.9,132.4,102.4,9.72,62719,78.7,13.41,10.72,19.99,48258,1.1,155.6,195.5,rel_7.3.7
2021-03,CITY80533,125.6,214.4,65.7,125.7,150.6,179.4,75.9,14.8,25794,135.2,1.85,49.57,20.6,28835,62.5,97.5,172.5,rel_9.4.7
2025-08,CITY21889,159.9,204.0,61.3,151.1,57.3,132.3,97.5,6.91,28523,102.1,3.68,42.97,11.3,51029,24.7,103.4,62.6,rel_9.2.5
2023-11,CITY36049,84.6,114.8,168.0,167.7,152.7,67.4,196.2,14.56,34931,67.8,2.7,29.44,24.55,50556,97.7,65.5,132.2,rel_9.4.1
2020-04,CITY24256,101.6,117.6,89.1,80.8,117.6,90.3,97.5,12.51,16117,54.4,8.12,17.74,23.29,34547,29.7,63.8,139.9,rel_4.2.1
2024-05,CITY29233,144.5,113.5,122.0,117.6,144.1,137.5,145.2,5.99,30689,126.6,14.09,14.77,5.56,27438,21.3,190.9,51.0,rel_8.5.3
2020-09,CITY65276,109.0,52.6,124.1,88.0,113.0,193.6,119.8,15.44,24905,113.9,1.65,39.92,13.45,62970,43.4,63.9,162.3,rel_9.3.8
2021-10,CITY78498,130.7,154.3,130.1,86.3,150.0,63.7,79.9,16.04,74943,131.2,-1.5,26.02,2.36,63498,24.8,59.4,118.8,rel_3.9.0
2021-02,CITY44397,174.2,192.5,148.6,173.4,180.6,131.6,80.1,11.87,13014,113.8,6.86,13.08,10.54,35624,20.6,170.0,100.0,rel_1.5.4
2019-02,CITY22855,154.5,119.9,156.1,145.7,166.7,124.9,147.0,4.31,59195,81.9,6.5,45.33,15.77,25516,30.1,125.4,58.4,rel_6.7.3
2022-01,CITY35398,145.6,52.0,105.0,188.6,65.7,127.5,197.3,17.08,61393,128.2,11.84,40.83,4.54,24356,0.8,188.7,116.5,rel_7.8.4
2023-10,CITY24387,164.7,190.8,83.8,171.4,160.1,144.8,114.7,6.34,23087,127.6,-0.26,27.67,14.73,30978,34.9,128.2,169.2,rel_7.0.6
2026-03,CITY16968,61.6,100.3,110.5,111.7,151.1,107.7,137.9,8.87,48455,126.3,7.04,45.52,8.83,25045,8.4,52.9,74.9,rel_3.9.9
