care_quality_reporting_period,care_quality_measure_id,care_quality_numerator_count,care_quality_denominator_count,care_quality_risk_adjustment_model,care_quality_star_rating_value,care_quality_hospital_acquired_infection_rate,care_quality_surgical_complication_rate,care_quality_mortality_30day_rate,care_quality_patient_experience_score,care_quality_timely_effective_care_score,care_quality_medication_error_rate,care_quality_falls_with_injury_rate,care_quality_pressure_injury_rate,care_quality_sepsis_bundle_compliance,care_quality_stroke_bundle_compliance,care_quality_readmission_observed_expected,care_quality_equity_stratification_applied,care_quality_public_reporting_flag,care_quality_data_validation_status
2012-11,MEAS000011,6168,30539,CMS_READM,3.6,2.768,2.195,11.93,82.24,83.31,2.413,6.282,4.633,73.13,56.29,1.242,1,0,PASS
2012-12,MEAS000012,50098,181230,APR_DRG,4.1,1.527,4.552,3.36,79.81,86.26,8.102,2.32,2.792,96.15,68.27,1.163,0,1,WARN
2013-01,MEAS000013,68939,122128,CMS_READM,2.7,2.935,4.354,14.1,82.67,91.99,4.767,0.015,1.533,45.12,93.5,0.768,0,1,PASS
2013-02,MEAS000014,77107,240458,CUSTOM_GLM,4.5,2.78,1.993,8.62,92.12,42.44,3.629,1.319,2.424,66.91,81.22,1.187,0,0,PASS
2013-03,MEAS000015,95521,242832,APR_DRG,2.9,0.821,5.576,11.6,46.07,69.77,2.988,0.248,1.173,50.71,90.62,1.097,0,0,PASS
2013-04,MEAS000016,46861,114467,CUSTOM_GLM,4.5,0.36,0.535,6.32,84.23,63.35,6.726,4.218,4.883,97.98,82.81,1.045,0,1,PASS
2013-05,MEAS000017,18756,77230,CMS_READM,4.5,1.077,3.795,2.2,77.85,49.56,2.302,1.42,0.749,45.32,52.06,0.638,0,1,PASS
2013-06,MEAS000018,110414,196951,CUSTOM_XGB,2.2,3.461,5.975,8.21,89.78,97.08,5.983,3.371,3.066,95.77,71.77,1.341,1,1,PASS
2013-07,MEAS000019,98196,202810,HCC,2.6,0.362,3.396,13.51,79.42,66.53,7.715,1.901,1.562,60.8,44.96,0.761,0,1,PASS
2013-08,MEAS000020,2949,12383,CUSTOM_GLM,2.2,3.389,3.862,17.06,88.54,78.96,5.91,0.471,4.24,64.63,48.11,0.907,1,1,PASS
2013-09,MEAS000021,1721,8225,CUSTOM_XGB,3.8,0.33,5.944,15.36,47.21,62.69,5.399,4.263,0.239,79.9,58.42,0.888,0,1,PASS
2013-10,MEAS000022,19244,36282,CUSTOM_XGB,1.7,3.451,0.948,11.86,86.12,45.46,3.183,6.269,0.469,51.03,60.26,1.369,0,1,PASS
2013-11,MEAS000023,49940,55366,CUSTOM_XGB,2.3,0.341,2.929,2.19,48.94,77.28,0.365,4.89,2.043,92.19,58.87,1.106,0,1,PASS
2013-12,MEAS000024,171189,182729,APR_DRG,2.0,0.499,2.213,14.22,88.96,73.98,1.201,4.883,4.783,40.15,49.72,0.661,0,1,PASS
2014-01,MEAS000025,36629,149984,APR_DRG,3.4,0.257,6.106,10.96,63.14,86.45,2.222,4.498,1.305,55.98,59.0,0.92,1,1,PASS
2014-02,MEAS000026,103251,203458,APR_DRG,2.7,1.042,4.907,16.03,73.49,82.67,1.161,5.745,3.793,49.09,33.13,0.797,0,1,PASS
2014-03,MEAS000027,102494,165335,APR_DRG,4.2,1.78,5.931,8.88,65.79,77.05,3.864,4.837,0.218,37.08,41.72,1.187,0,1,PASS
2014-04,MEAS000028,80081,162615,APR_DRG,3.8,2.187,6.943,7.4,87.28,47.57,4.993,2.324,0.94,84.89,88.18,0.655,1,0,PASS
2014-05,MEAS000029,54523,88163,CMS_READM,3.1,1.444,1.504,4.61,53.46,50.52,5.643,5.308,5.054,61.8,47.25,0.715,0,1,PASS
2014-06,MEAS000030,178742,196920,APR_DRG,2.8,1.462,6.63,12.27,89.01,64.23,5.235,4.979,1.94,69.08,87.45,0.654,0,1,PASS
2014-07,MEAS000031,11915,39386,HCC,1.8,1.926,0.909,12.08,46.15,51.92,5.898,5.583,0.977,36.29,94.69,0.771,0,1,PASS
2014-08,MEAS000032,84695,104549,APR_DRG,2.3,1.221,0.548,8.29,72.0,40.73,1.706,6.15,3.292,86.38,59.39,1.262,1,1,PASS
2014-09,MEAS000033,114906,193891,CUSTOM_GLM,1.6,2.027,2.279,2.91,86.95,50.27,7.225,0.393,2.101,42.35,31.01,0.737,1,1,PASS
2014-10,MEAS000034,44870,148826,CMS_READM,4.4,0.369,4.821,16.66,56.93,83.48,8.201,1.143,0.337,95.17,92.1,0.986,1,1,WARN
2014-11,MEAS000035,97720,199413,CMS_READM,3.3,0.714,6.834,11.24,80.93,79.68,7.008,3.921,3.747,92.34,57.03,1.055,0,1,PASS
2014-12,MEAS000036,75067,165654,APR_DRG,3.3,1.202,7.0,9.18,53.42,97.39,0.803,3.234,0.874,90.08,93.97,1.167,1,0,PASS
2015-01,MEAS000037,56379,86109,CMS_READM,4.2,1.934,6.104,12.75,83.07,70.03,8.532,3.703,4.611,79.16,43.54,1.261,0,0,PASS
2015-02,MEAS000038,24485,111537,CMS_READM,2.5,1.792,2.287,5.41,84.23,77.0,3.551,6.34,4.907,61.2,84.06,1.398,0,1,PASS
2015-03,MEAS000039,46929,132609,APR_DRG,1.5,0.746,0.985,3.23,78.61,45.87,2.133,0.973,3.722,83.99,79.91,0.835,0,1,PASS
2015-04,MEAS000040,152094,211036,HCC,2.5,2.912,6.81,7.03,63.71,56.88,4.024,3.475,5.029,54.27,53.02,0.963,1,0,PASS
2015-05,MEAS000041,9480,36946,HCC,2.5,1.25,0.453,17.61,60.84,69.17,4.001,3.68,4.714,66.31,52.04,1.179,0,1,PASS
2015-06,MEAS000042,11496,36491,HCC,2.1,1.69,3.521,3.77,79.25,66.35,8.693,4.078,1.155,36.85,79.56,0.65,0,0,WARN
2015-07,MEAS000043,128157,137108,CMS_READM,3.5,1.919,5.278,8.12,63.02,81.51,0.14,5.641,0.857,52.09,32.94,0.684,0,0,PASS
2015-08,MEAS000044,158294,179425,CUSTOM_XGB,2.8,0.14,3.062,16.08,92.93,67.22,4.21,4.983,3.335,89.78,94.45,1.219,1,1,PASS
2015-09,MEAS000045,8330,13646,HCC,2.2,1.019,1.269,17.34,62.98,53.83,1.065,4.107,0.191,71.85,36.36,1.135,0,0,PASS
2015-10,MEAS000046,13731,17336,CUSTOM_XGB,2.2,0.339,5.567,12.27,86.91,71.15,8.593,5.399,1.959,72.0,35.43,0.709,1,0,PASS
2015-11,MEAS000047,204664,232456,APR_DRG,3.9,1.788,0.807,5.44,67.35,80.34,6.077,5.155,1.224,35.01,49.89,0.996,0,1,PASS
2015-12,MEAS000048,57832,72490,CMS_READM,1.9,2.015,6.585,16.36,49.5,65.77,3.42,3.444,0.164,73.49,89.89,1.09,0,1,WARN
2016-01,MEAS000049,41815,90579,CUSTOM_XGB,2.4,0.633,1.944,8.47,68.51,50.59,8.959,5.094,4.434,79.4,36.37,1.295,0,0,PASS
2016-02,MEAS000050,115454,191692,CUSTOM_XGB,4.0,0.57,4.584,10.78,94.03,81.01,4.516,1.771,1.417,74.35,97.83,0.738,1,1,PASS
2016-03,MEAS000051,155140,181198,HCC,3.6,1.637,1.064,5.53,56.03,43.18,5.565,1.852,2.08,49.92,40.22,0.896,0,0,PASS
2016-04,MEAS000052,164646,174665,CMS_READM,4.8,3.294,3.114,12.47,64.46,59.34,6.118,3.004,1.664,89.08,79.16,1.112,0,1,WARN
2016-05,MEAS000053,33050,144502,CMS_READM,4.6,2.466,1.494,4.97,75.53,61.97,1.797,0.152,3.361,64.99,83.85,0.713,0,0,PASS
2016-06,MEAS000054,52930,162195,CUSTOM_XGB,4.8,2.14,2.657,9.18,92.12,88.2,5.262,3.362,2.052,93.16,64.13,1.302,1,0,PASS
2016-07,MEAS000055,42724,51331,APR_DRG,4.5,0.164,2.73,7.75,57.11,53.67,2.878,5.771,4.938,63.17,47.01,0.737,1,1,PASS
2016-08,MEAS000056,15058,40582,HCC,2.0,2.687,6.959,10.91,90.39,66.75,7.638,2.152,4.457,58.35,62.37,1.354,1,1,PASS
2016-09,MEAS000057,188401,206166,CUSTOM_XGB,3.9,2.681,0.437,6.9,70.07,48.25,6.142,1.74,1.752,45.15,75.38,0.871,0,1,PASS
2016-10,MEAS000058,99947,192311,HCC,1.1,0.269,5.145,13.16,68.2,93.07,6.128,1.045,3.692,93.64,33.28,1.366,0,0,PASS
2016-11,MEAS000059,15056,63060,CMS_READM,4.3,0.483,2.588,6.52,53.87,48.21,3.396,6.359,4.306,40.98,55.3,1.145,1,0,PASS
2016-12,MEAS000060,77990,152800,CUSTOM_GLM,4.1,2.487,3.189,16.54,81.66,70.39,6.779,5.886,3.434,53.6,82.78,1.18,0,0,PASS
2017-01,MEAS000061,100754,131242,CUSTOM_XGB,3.4,1.333,2.744,2.37,45.73,73.8,5.451,0.797,2.809,44.12,65.05,1.231,1,1,PASS
2017-02,MEAS000062,153403,168917,APR_DRG,4.1,0.192,4.373,10.66,85.22,43.49,4.308,0.504,3.554,89.83,33.95,0.866,0,1,PASS
2017-03,MEAS000063,68570,159477,CUSTOM_XGB,4.1,3.261,4.932,10.4,70.64,53.56,7.838,1.606,1.414,40.45,89.28,1.171,0,0,PASS
2017-04,MEAS000064,109611,136903,CUSTOM_XGB,4.2,0.375,7.118,3.2,65.48,88.38,8.607,2.338,2.248,46.29,46.61,1.235,0,1,WARN
2017-05,MEAS000065,76899,82609,HCC,3.4,1.253,2.637,11.58,67.24,92.25,2.791,6.416,4.623,71.69,50.97,1.262,0,0,WARN
2017-06,MEAS000066,44798,72189,CMS_READM,4.7,0.327,1.356,8.81,54.79,76.71,3.428,4.33,2.477,37.46,78.9,1.321,1,1,PASS
2017-07,MEAS000067,22136,97148,CMS_READM,4.7,2.207,1.355,13.35,48.44,55.69,6.863,4.361,3.585,81.61,61.12,1.129,0,1,PASS
2017-08,MEAS000068,75454,86362,CUSTOM_GLM,1.8,3.04,0.381,13.17,49.82,73.01,3.828,3.832,1.509,81.9,38.79,0.917,1,1,PASS
2017-09,MEAS000069,91262,112872,APR_DRG,3.8,2.922,0.568,13.74,70.06,54.54,7.75,2.825,4.956,71.01,92.95,1.183,0,0,PASS
2017-10,MEAS000070,5871,15864,APR_DRG,3.4,3.103,2.017,17.1,50.45,84.05,6.617,3.442,2.516,97.25,83.76,1.252,1,1,PASS
2017-11,MEAS000071,125302,236283,CMS_READM,3.1,0.238,3.004,17.39,72.96,60.61,2.887,5.298,1.344,71.26,31.65,0.953,0,1,PASS
2017-12,MEAS000072,69534,75022,APR_DRG,2.1,0.889,5.025,12.14,45.2,44.46,5.295,2.302,0.42,55.39,88.11,0.822,1,1,PASS
2018-01,MEAS000073,22408,37178,CUSTOM_XGB,3.3,0.752,5.34,15.02,72.08,59.85,8.296,1.658,3.723,69.02,38.02,0.812,0,0,PASS
2018-02,MEAS000074,68799,177895,HCC,3.6,3.064,4.737,15.59,57.59,77.98,0.136,1.886,0.575,81.02,50.4,1.182,0,1,PASS
2018-03,MEAS000075,191675,238555,CUSTOM_GLM,3.0,2.972,2.737,16.26,83.42,49.08,0.494,5.277,2.398,77.43,75.98,1.029,0,1,WARN
2018-04,MEAS000076,29359,59638,CUSTOM_GLM,2.5,0.194,2.186,5.61,85.15,81.11,0.453,0.865,1.156,70.65,52.87,0.983,0,1,PASS
2018-05,MEAS000077,56899,196564,APR_DRG,1.5,2.344,0.431,12.46,65.07,49.81,5.324,0.136,0.427,66.36,36.56,1.244,1,1,PASS
2018-06,MEAS000078,42576,149063,CUSTOM_GLM,1.6,2.163,1.041,6.5,89.59,56.72,0.273,5.558,2.738,87.24,33.42,0.654,1,1,PASS
2018-07,MEAS000079,32579,63862,CUSTOM_GLM,3.6,2.115,5.24,14.04,88.75,71.49,8.654,0.977,3.616,37.19,64.83,0.846,0,1,PASS
2018-08,MEAS000080,97264,105688,APR_DRG,3.1,2.831,7.072,3.65,47.46,91.34,2.539,2.0,5.009,60.26,57.95,0.727,1,1,WARN
2018-09,MEAS000081,128005,245092,HCC,2.6,3.198,5.869,14.25,65.02,74.28,2.317,5.769,1.17,80.34,64.04,0.671,1,1,PASS
2018-10,MEAS000082,116249,140631,CUSTOM_XGB,1.9,1.059,5.135,4.81,88.8,86.64,5.615,1.007,1.305,68.58,81.5,1.368,1,1,PASS
2018-11,MEAS000083,31551,36908,CUSTOM_XGB,3.7,3.128,5.948,6.55,91.48,51.61,0.483,6.303,4.924,94.98,62.76,1.065,0,1,WARN
2018-12,MEAS000084,19477,90067,APR_DRG,1.0,2.56,6.173,10.0,83.69,93.77,7.743,5.074,2.218,96.06,59.59,0.938,1,1,PASS
2019-01,MEAS000085,102384,134143,HCC,4.9,1.638,6.376,7.3,91.49,95.73,7.93,6.435,4.767,69.74,58.23,1.243,0,1,PASS
2019-02,MEAS000086,22545,31706,HCC,2.1,2.272,5.803,14.55,92.29,79.31,2.569,2.477,0.689,73.93,47.24,1.379,1,1,PASS
2019-03,MEAS000087,14531,54800,APR_DRG,3.2,1.985,6.813,12.28,59.64,59.15,2.832,4.613,3.888,45.32,79.44,0.972,1,1,PASS
2019-04,MEAS000088,21112,40592,HCC,4.1,0.827,3.112,9.09,54.73,59.65,8.47,0.366,0.517,85.38,65.87,1.25,1,1,PASS
2019-05,MEAS000089,4457,20084,APR_DRG,1.3,0.8,6.583,9.78,71.42,72.45,0.418,5.331,5.181,87.06,88.1,1.234,1,1,PASS
2019-06,MEAS000090,115609,168078,CMS_READM,3.5,2.863,4.775,3.7,47.97,50.15,4.751,4.07,0.998,55.26,76.46,1.28,0,1,PASS
2019-07,MEAS000091,122792,155200,CMS_READM,3.3,3.493,4.527,14.38,47.99,64.48,5.959,5.862,4.055,46.62,90.77,0.855,1,1,PASS
2019-08,MEAS000092,75095,139428,HCC,1.5,2.901,5.41,13.73,80.17,96.05,4.621,2.928,3.848,62.11,71.9,1.087,0,1,PASS
2019-09,MEAS000093,12635,15352,CUSTOM_GLM,1.1,0.544,3.059,6.01,46.74,64.55,0.71,3.343,3.983,62.1,89.45,0.622,0,0,PASS
2019-10,MEAS000094,15662,55873,CUSTOM_GLM,4.6,2.042,2.459,15.74,79.0,89.33,7.628,5.801,3.887,71.42,87.12,1.223,0,0,PASS
2019-11,MEAS000095,31752,86409,APR_DRG,4.3,0.523,3.767,3.36,63.97,65.74,4.918,0.795,0.406,84.89,96.82,0.9,0,1,PASS
2019-12,MEAS000096,55682,81536,CMS_READM,1.8,1.066,2.302,5.03,59.81,95.16,2.483,6.145,1.742,47.26,75.37,1.161,1,0,PASS
2020-01,MEAS000097,2319,3976,CMS_READM,4.0,0.795,5.283,11.75,67.78,73.69,7.782,5.503,4.303,53.05,90.36,0.744,1,1,WARN
2020-02,MEAS000098,80804,226448,CUSTOM_XGB,2.5,0.214,3.924,10.72,54.67,96.34,7.98,2.406,3.825,42.35,45.01,0.678,1,1,PASS
2020-03,MEAS000099,49168,83053,HCC,1.8,0.383,2.667,13.35,84.83,75.61,7.605,2.19,3.833,43.61,46.16,1.144,0,1,PASS
2020-04,MEAS000100,188563,206187,HCC,2.2,1.488,4.628,14.85,91.96,90.41,3.672,2.447,4.166,58.29,57.18,0.759,0,1,PASS
2020-05,MEAS000101,91106,133409,CMS_READM,3.1,1.107,3.936,13.3,91.55,55.57,7.792,4.679,2.118,70.67,82.9,0.679,0,1,PASS
2020-06,MEAS000102,93512,184477,CUSTOM_XGB,3.3,2.946,3.575,17.7,53.5,56.52,4.033,1.573,1.059,74.64,96.74,1.141,0,0,PASS
2020-07,MEAS000103,3666,6183,HCC,4.6,0.15,7.255,6.27,47.36,61.13,1.497,5.073,3.316,87.52,97.27,1.343,1,1,PASS
2020-08,MEAS000104,18518,56182,HCC,3.5,0.32,7.174,2.21,49.42,90.66,1.543,5.904,4.399,55.37,65.46,1.103,0,1,PASS
2020-09,MEAS000105,4466,9152,APR_DRG,1.4,1.713,2.279,5.91,61.23,86.36,2.191,1.531,4.489,83.33,32.5,1.366,0,1,PASS
2020-10,MEAS000106,8433,26218,HCC,1.6,1.007,4.812,8.64,80.98,60.52,0.732,4.735,1.887,50.18,44.42,1.049,0,1,PASS
2020-11,MEAS000107,33108,94158,CUSTOM_GLM,2.8,2.437,4.112,3.52,67.79,69.09,2.111,5.062,2.146,69.67,73.01,1.141,1,1,PASS
2020-12,MEAS000108,64744,243847,HCC,4.8,3.418,2.052,2.54,86.94,78.85,0.469,1.745,2.638,78.01,61.45,0.905,0,1,PASS
2021-01,MEAS000109,128605,136028,CMS_READM,1.4,0.448,6.923,9.88,62.28,65.44,0.817,5.441,3.977,91.99,40.1,0.665,0,0,WARN
2021-02,MEAS000110,129709,142383,CUSTOM_GLM,4.8,1.074,6.393,7.15,90.59,84.05,3.393,1.933,3.321,40.38,91.66,1.244,0,1,PASS
2021-03,MEAS000111,28647,32028,CMS_READM,1.6,2.251,2.066,16.49,89.98,83.0,8.86,4.989,4.62,37.37,94.14,1.066,1,0,FAIL
2021-04,MEAS000112,103081,160252,CUSTOM_GLM,2.2,0.101,3.743,11.63,65.47,53.69,6.455,4.116,2.736,82.14,76.29,0.854,1,1,PASS
2021-05,MEAS000113,23407,75744,CUSTOM_XGB,1.1,3.175,1.565,7.25,86.22,82.71,0.224,6.116,3.438,95.5,42.47,1.344,1,1,PASS
2021-06,MEAS000114,83785,106152,CUSTOM_XGB,4.7,3.11,7.095,16.83,73.94,65.24,4.759,0.096,4.43,41.89,72.43,1.38,1,1,PASS
2021-07,MEAS000115,65425,95531,CUSTOM_GLM,1.8,0.339,7.125,15.2,68.41,59.95,4.613,2.335,3.667,39.44,84.97,0.928,1,1,PASS
2021-08,MEAS000116,78372,84598,HCC,2.4,2.253,7.065,5.16,45.32,67.04,1.966,4.355,2.856,47.1,57.98,1.101,0,1,PASS
2021-09,MEAS000117,151351,168043,APR_DRG,1.7,3.317,2.277,5.76,62.69,81.0,8.516,5.429,1.05,58.0,71.05,1.086,0,1,PASS
2021-10,MEAS000118,25380,120107,CMS_READM,1.2,0.35,0.99,9.23,66.05,54.36,5.985,3.792,3.657,58.54,33.06,0.701,0,0,WARN
2021-11,MEAS000119,11424,19355,APR_DRG,1.0,3.473,1.505,15.0,86.14,43.41,6.712,6.2,3.465,94.34,47.61,1.307,0,1,PASS
2021-12,MEAS000120,108345,154907,APR_DRG,5.0,1.7,2.333,4.46,61.73,83.92,3.229,4.421,4.28,49.21,42.74,0.823,1,1,PASS
2022-01,MEAS000121,37608,112215,CUSTOM_GLM,2.4,2.057,5.874,16.44,65.1,85.92,1.145,1.863,0.597,71.97,56.64,1.317,1,1,PASS
2022-02,MEAS000122,38095,57117,CUSTOM_GLM,3.3,1.367,1.375,17.02,89.87,58.24,6.692,4.749,2.747,44.97,83.2,1.306,0,1,PASS
2022-03,MEAS000123,55085,216117,APR_DRG,1.6,0.359,5.071,4.15,52.01,46.63,4.705,5.506,1.573,81.15,79.3,0.98,0,1,PASS
2022-04,MEAS000124,127268,192428,CUSTOM_GLM,3.4,3.42,6.615,13.27,63.3,49.37,1.787,0.035,3.985,96.1,62.08,1.097,1,1,PASS
2022-05,MEAS000125,14677,16811,CMS_READM,4.3,2.65,6.705,2.4,53.78,77.9,0.963,4.98,3.928,70.95,70.39,0.894,0,1,FAIL
2022-06,MEAS000126,46413,119295,CUSTOM_GLM,2.3,2.37,2.854,4.07,49.41,88.66,1.854,4.686,4.569,71.12,95.13,1.215,1,1,PASS
2022-07,MEAS000127,19956,98939,HCC,1.3,3.383,1.7,10.2,59.84,41.75,6.335,3.787,4.107,84.16,41.59,1.185,0,1,PASS
2022-08,MEAS000128,104251,158800,CUSTOM_XGB,3.6,2.931,4.735,3.41,93.62,66.86,3.217,0.589,2.644,38.69,92.67,0.907,0,1,FAIL
2022-09,MEAS000129,34681,50593,CUSTOM_GLM,4.1,1.32,4.382,11.71,45.65,58.22,4.112,5.312,2.577,65.26,94.97,0.982,1,1,PASS
2022-10,MEAS000130,97079,176454,HCC,2.5,1.578,0.472,9.1,63.21,94.88,6.116,2.897,1.445,66.82,47.35,0.623,0,1,PASS
2022-11,MEAS000131,145691,177245,HCC,4.4,0.179,1.879,12.38,64.88,60.29,1.782,4.317,2.737,91.02,40.42,0.839,1,1,PASS
2022-12,MEAS000132,40571,119741,CUSTOM_XGB,2.1,1.003,6.984,2.29,66.91,91.3,0.398,2.302,0.94,53.66,68.26,1.027,1,0,PASS
2023-01,MEAS000133,136524,218740,HCC,4.0,0.68,0.421,5.08,76.07,75.07,1.126,3.133,4.414,60.42,40.28,0.798,0,0,PASS
2023-02,MEAS000134,67640,116449,CMS_READM,2.4,0.976,4.506,6.95,94.16,80.58,3.235,0.32,1.269,63.26,49.35,1.391,1,1,PASS
2023-03,MEAS000135,62729,112853,CUSTOM_GLM,4.5,2.27,6.175,9.66,94.03,86.0,6.7,4.344,3.073,63.21,91.49,1.017,0,1,PASS
2023-04,MEAS000136,12617,29346,CUSTOM_XGB,1.1,3.026,3.937,14.05,77.97,41.52,6.718,2.562,2.404,61.71,81.48,0.887,0,1,PASS
2023-05,MEAS000137,90626,156098,APR_DRG,2.6,1.183,5.483,2.7,74.53,75.54,6.599,1.752,0.275,60.12,68.04,1.386,0,1,PASS
2023-06,MEAS000138,138798,152206,APR_DRG,1.5,2.776,1.734,6.7,61.74,48.16,8.594,0.051,0.639,86.63,65.96,1.337,0,1,PASS
2023-07,MEAS000139,85245,91316,CUSTOM_GLM,3.4,1.034,1.019,10.22,80.18,78.32,7.47,0.992,4.953,55.95,71.0,0.754,1,1,PASS
2023-08,MEAS000140,56861,224819,CUSTOM_GLM,4.0,2.111,2.776,17.18,53.65,59.62,1.61,4.259,0.11,46.17,32.27,0.872,0,1,PASS
2023-09,MEAS000141,143166,191137,CUSTOM_XGB,4.9,3.339,3.65,11.42,76.46,43.31,1.737,1.809,2.207,74.83,67.81,1.134,0,1,WARN
2023-10,MEAS000142,84523,248707,CUSTOM_XGB,4.8,1.732,2.248,15.85,79.8,90.79,8.696,0.184,0.764,89.45,71.06,1.161,1,1,PASS
2023-11,MEAS000143,68611,85229,CUSTOM_GLM,3.7,2.261,0.609,15.28,64.7,76.06,7.94,3.208,1.636,90.31,38.4,1.199,0,1,PASS
2023-12,MEAS000144,2466,5476,APR_DRG,3.3,1.667,1.274,5.18,46.54,84.55,4.273,4.494,2.68,82.88,41.79,1.298,1,1,PASS
2024-01,MEAS000145,15401,32146,CMS_READM,1.2,3.251,2.619,16.22,67.05,48.61,5.009,3.039,0.223,53.21,57.83,1.066,0,1,PASS
2024-02,MEAS000146,21270,42927,APR_DRG,3.4,1.991,5.884,15.73,89.7,95.88,3.862,1.907,3.337,82.43,69.61,1.359,1,0,PASS
2024-03,MEAS000147,122367,155386,CMS_READM,2.9,2.516,4.188,14.46,46.88,80.66,0.831,4.239,3.238,61.62,48.81,1.237,0,1,PASS
2024-04,MEAS000148,138387,189685,APR_DRG,1.0,2.936,2.068,12.64,71.36,60.74,0.841,6.176,3.623,55.46,90.89,0.688,0,1,PASS
2024-05,MEAS000149,149336,201009,CMS_READM,2.3,0.482,6.358,16.17,57.91,89.95,4.056,3.503,2.968,86.03,55.38,1.325,0,1,PASS
2024-06,MEAS000150,38467,149528,APR_DRG,2.2,2.35,5.382,7.44,71.88,90.73,7.644,1.058,1.949,96.15,79.15,0.902,1,1,PASS
2024-07,MEAS000151,2794,4454,CMS_READM,3.0,1.409,5.663,14.18,79.35,85.64,6.66,1.011,4.113,51.22,33.11,0.892,0,1,PASS
2024-08,MEAS000152,130033,210459,CUSTOM_GLM,3.1,2.105,5.392,9.19,84.61,87.31,8.903,0.332,0.478,51.8,40.55,1.08,0,1,PASS
2024-09,MEAS000153,41308,46930,CUSTOM_XGB,3.8,1.058,3.842,16.25,81.28,51.83,3.847,6.174,2.354,58.64,51.16,0.717,0,0,PASS
2024-10,MEAS000154,15332,20970,HCC,4.3,2.408,2.779,14.2,83.05,87.16,7.77,3.032,4.815,91.51,61.53,0.777,0,1,PASS
2024-11,MEAS000155,110803,223395,CMS_READM,4.1,3.275,1.536,10.41,67.95,50.95,8.061,6.122,4.269,43.5,40.08,1.239,1,1,WARN
2024-12,MEAS000156,46314,50712,CUSTOM_XGB,2.2,1.359,5.459,9.61,74.5,83.07,3.702,0.44,2.523,73.6,83.52,1.111,1,1,FAIL
2025-01,MEAS000157,85896,116750,CUSTOM_GLM,4.3,3.01,3.025,16.14,45.92,49.33,3.213,6.15,4.218,84.04,51.22,0.876,1,0,PASS
2025-02,MEAS000158,62776,72388,CUSTOM_GLM,2.3,1.959,3.646,17.9,81.43,43.96,4.044,5.764,0.191,55.7,74.05,1.086,0,1,PASS
2025-03,MEAS000159,15919,41613,APR_DRG,2.0,1.854,3.703,17.24,56.05,68.9,7.467,4.782,2.144,75.35,56.87,0.931,1,1,PASS
2025-04,MEAS000160,115261,132346,HCC,2.2,1.339,4.152,10.93,82.2,53.37,4.69,0.942,1.005,67.42,66.38,1.385,0,1,PASS
2025-05,MEAS000161,73710,165915,APR_DRG,3.4,1.527,4.456,5.55,70.37,94.36,2.413,4.107,4.525,47.56,31.12,0.786,1,0,PASS
2025-06,MEAS000162,11366,18378,CMS_READM,4.2,2.077,4.637,17.31,80.6,63.09,2.11,6.122,1.638,37.52,50.66,1.159,0,1,PASS
2025-07,MEAS000163,156020,226589,CMS_READM,1.7,1.461,1.752,6.39,92.13,65.44,5.651,6.086,3.384,37.89,72.45,0.633,1,1,PASS
2025-08,MEAS000164,706,2123,CMS_READM,3.9,3.283,4.419,9.94,83.0,44.43,4.037,0.345,2.993,86.98,61.45,0.933,1,1,PASS
