house_build_permit_issue_date,house_build_permit_jurisdiction_id,house_build_permit_type_code,house_build_project_valuation_inr,house_build_units_authorized_count,house_build_square_footage_authorized,house_build_building_height_feet,house_build_stories_count,house_build_construction_type_code,house_build_energy_code_version,house_build_solar_ready_flag,house_build_accessory_dwelling_flag,house_build_mixed_use_flag,house_build_zoning_district_code,house_build_setback_variance_flag,house_build_impact_fee_inr,house_build_inspection_pass_rate_pct,house_build_average_permit_cycle_days,house_build_contractor_license_id,house_build_stop_work_order_flag
2023-11-17,JUR-91da81ee8911,Occupancy,698342391,331,2366934,357.1,57,SteelFrame,ECBC2021,N,N,N,R2,N,5800524,66.75,5,LIC-a86db64a9958,N
2023-10-22,JUR-368dfa02ed52,Renovation,123856875,595,1556284,430.3,36,Composite,StateECBC,N,N,Y,R1,Y,5296923,86.55,150,LIC-40230e9965c9,Y
2022-05-01,JUR-2ee9d2015c3f,Demolition,288070201,125,871232,461.4,63,SteelFrame,StateECBC,Y,N,Y,MixedUse,Y,6090449,61.06,21,LIC-98aa1bad6c89,N
2023-03-24,JUR-5b3926dcd296,ChangeOfUse,104897533,419,889951,423.2,39,LoadBearing,StateECBC,Y,N,N,R2,N,6520577,67.48,73,LIC-3dd4c40cb68c,N
2024-11-03,JUR-81ac6f7dee5d,ChangeOfUse,340400700,141,1258978,235.4,11,SteelFrame,GreenRatingAligned,N,N,Y,C1,Y,6255805,78.42,219,LIC-725ea2875de5,Y
2023-05-24,JUR-d029530ca470,Occupancy,827628954,165,2147746,34.1,53,RCC,ECBC2017,N,Y,N,M2,Y,3933185,70.46,153,LIC-7722486eec55,N
2021-04-16,JUR-0c6864f138a8,NewBuild,621180438,406,833565,199.9,4,Precast,GreenRatingAligned,N,N,N,C1,Y,3254131,94.04,17,LIC-0f8892c29342,Y
2021-12-22,JUR-4c5396610348,ChangeOfUse,890381340,3,309250,500.1,32,Composite,GreenRatingAligned,N,N,Y,C2,N,7363238,88.31,66,LIC-d63e70fafc9d,Y
2024-02-19,JUR-db0696c3e800,NewBuild,671133697,429,75539,458.8,34,Modular,ECBC2021,N,N,Y,C1,N,1703629,75.65,71,LIC-8ec9c2cad23a,Y
2025-07-29,JUR-77e370bc5656,ChangeOfUse,190420572,280,332548,17.6,67,Precast,GreenRatingAligned,N,N,N,R2,Y,7520505,60.5,77,LIC-e90bec75b93f,Y
2019-02-20,JUR-1e6766d7be69,Occupancy,790417764,183,626382,359.7,54,Precast,ECBC2017,N,N,Y,MixedUse,N,449170,61.06,23,LIC-19a3c8ac6025,N
2023-07-21,JUR-752feabea2b5,Addition,368343218,587,179372,224.2,3,Composite,ECBC2017,Y,N,Y,R3,N,2699814,88.08,207,LIC-3bd3eacb2508,Y
2022-11-30,JUR-3f17e5ae4a5f,Demolition,262674512,336,2298121,145.5,42,SteelFrame,LegacyCode,N,Y,N,R1,N,1520396,88.77,112,LIC-1db7c6fd02d5,N
2021-02-26,JUR-92556263e59c,NewBuild,488110219,467,2375344,464.0,45,Modular,StateECBC,N,N,Y,M2,N,3711961,64.21,92,LIC-4324f726a97f,Y
2021-06-16,JUR-d67302832ad0,Occupancy,308623411,442,2338461,18.1,51,Modular,GreenRatingAligned,Y,N,N,M1,N,1183148,72.52,148,LIC-2a25fdeab249,Y
2022-03-24,JUR-04cccbbc376c,Demolition,53531483,4,2232322,402.8,66,SteelFrame,ECBC2021,Y,Y,N,R1,N,4560256,73.34,20,LIC-d285503a7e74,Y
2021-03-21,JUR-1d019b83cd08,Addition,205973348,137,486294,96.3,23,RCC,StateECBC,N,N,N,R2,N,1473137,55.97,178,LIC-0b862d2aad31,Y
2021-07-26,JUR-1e16d3ea05f6,Demolition,259023794,589,2371896,270.8,13,Composite,LegacyCode,Y,N,N,M2,Y,1398278,71.15,139,LIC-4d6adb01eb85,Y
2024-06-24,JUR-f006d1b86e3a,Renovation,1010543046,135,985728,454.6,35,Modular,StateECBC,Y,Y,Y,M1,Y,190354,96.67,163,LIC-34e283ce4089,Y
2024-12-04,JUR-9660a015e205,Occupancy,502894809,346,442877,29.1,15,Precast,LegacyCode,N,Y,Y,C1,N,7439183,77.64,212,LIC-0ffe63c15ed6,N
2024-05-05,JUR-bf3ce23123ab,Occupancy,769404715,289,170005,97.1,34,LoadBearing,ECBC2017,Y,Y,Y,MixedUse,N,6067328,88.15,140,LIC-979f4fba608f,N
2022-04-18,JUR-7a7ce9792c49,Demolition,320276752,14,874388,445.3,26,Precast,GreenRatingAligned,N,N,N,M1,Y,7860795,91.62,84,LIC-7761f3466f38,Y
2021-11-21,JUR-cbe2a0f222b1,NewBuild,131675384,402,798174,485.2,17,Precast,ECBC2017,Y,N,N,C2,N,8097737,55.16,168,LIC-7dab6c97ed01,Y
2019-06-12,JUR-c26ac07a83cc,Addition,123443273,191,1324452,194.9,11,Modular,StateECBC,N,Y,N,R1,Y,5858269,88.48,15,LIC-8d59d611c5dd,Y
2023-04-08,JUR-5db5428a6f9b,Addition,1118720613,54,1475168,363.9,2,Precast,LegacyCode,N,N,Y,MixedUse,Y,6255080,87.8,45,LIC-9b676b440f25,N
2023-08-10,JUR-44965f110026,Renovation,1066904384,429,461649,447.4,62,SteelFrame,LegacyCode,N,N,Y,C1,Y,3428335,90.26,37,LIC-c087b6121e4a,Y
2021-01-28,JUR-04ff000da6ed,Renovation,1139059678,411,2494927,312.0,59,Modular,GreenRatingAligned,Y,Y,Y,M1,Y,1387638,95.02,107,LIC-52dfb743e29c,Y
2021-11-17,JUR-5a2e8565e3e3,NewBuild,1155235142,577,2163593,80.9,55,RCC,StateECBC,Y,Y,N,R2,N,6150899,72.14,45,LIC-299642b72e7f,N
2021-07-18,JUR-d895c41e3cad,Addition,366603240,495,2287468,181.2,3,Modular,StateECBC,N,Y,N,M1,Y,3945817,72.25,176,LIC-c90c8bc60cb3,N
2019-02-22,JUR-79dd25ff9e30,ChangeOfUse,1059240008,511,1112172,142.1,14,LoadBearing,LegacyCode,N,N,Y,M1,N,8289539,64.27,49,LIC-29dd89faa7a4,N
2021-05-10,JUR-a9ad1bc0c733,ChangeOfUse,353797758,522,656847,210.2,6,Composite,LegacyCode,N,Y,N,MixedUse,N,3822132,75.01,215,LIC-cd3205e8413b,N
2019-07-19,JUR-4081f7e87082,ChangeOfUse,85911166,213,1082331,109.9,8,RCC,ECBC2017,Y,Y,N,R1,N,6388908,67.85,97,LIC-d643fdd8cda4,N
2025-04-24,JUR-7e58dc990abb,ChangeOfUse,607412938,112,1743021,197.4,48,Modular,LegacyCode,N,N,Y,R3,N,7375546,98.25,66,LIC-f227c5f81df7,Y
2024-06-09,JUR-bd8ea4ee52b5,Demolition,115233879,441,1678312,403.4,67,RCC,ECBC2017,Y,N,Y,M1,N,32200,98.05,128,LIC-9363a68de5f6,N
2021-06-15,JUR-1d79e21790f8,ChangeOfUse,1062798985,318,1772654,313.1,36,RCC,GreenRatingAligned,N,N,Y,M1,N,3607763,82.01,190,LIC-668e8ff2f688,Y
2023-05-11,JUR-47c9bff84d5b,NewBuild,364094609,148,659838,342.8,39,Composite,LegacyCode,N,N,N,R3,N,1499125,71.03,75,LIC-24e20fcca391,N
2021-01-04,JUR-688a28a7aecf,Occupancy,857337998,491,717564,54.1,22,Composite,ECBC2021,N,Y,N,C2,Y,905091,90.65,41,LIC-23ea1cbb03cf,Y
2021-04-19,JUR-15dfaa118768,ChangeOfUse,726791682,309,2258589,388.2,38,LoadBearing,ECBC2021,Y,Y,Y,R3,Y,2830954,99.54,183,LIC-45b065e65aab,Y
2022-05-26,JUR-c83a08f9e493,Renovation,91609482,110,774446,512.4,22,LoadBearing,StateECBC,N,N,Y,C1,N,1922181,73.97,147,LIC-6aff3a71bddd,Y
2023-12-13,JUR-5f5f00a991b6,Addition,633475119,266,2232763,321.1,42,SteelFrame,ECBC2017,Y,Y,Y,C2,Y,3564807,58.56,145,LIC-9bea8be33837,N
2024-09-27,JUR-be794617b38d,Addition,98152188,320,1625834,105.5,69,Composite,GreenRatingAligned,N,N,N,M1,Y,3130151,68.53,133,LIC-28348b0cf780,N
2020-04-15,JUR-38475ee7216d,Addition,661913207,90,55822,383.4,38,SteelFrame,StateECBC,Y,N,Y,MixedUse,N,7189920,67.8,144,LIC-778c4d301872,N
2025-01-16,JUR-29a35cdbd753,ChangeOfUse,433948080,32,1323830,281.8,39,Precast,StateECBC,Y,N,Y,C2,Y,6475461,87.45,124,LIC-d87f963e156e,N
2025-12-11,JUR-5a4d7a7b893d,Occupancy,693899649,331,741078,49.0,3,Composite,StateECBC,Y,Y,Y,M2,N,1275963,68.1,40,LIC-0786d95f9694,Y
2019-06-11,JUR-c0d01744b5b1,Demolition,383254495,278,2199691,186.8,36,Composite,GreenRatingAligned,Y,N,N,R2,N,2223558,77.96,2,LIC-ca32581028e0,Y
2025-11-09,JUR-604582be6352,ChangeOfUse,307399334,528,763712,46.7,57,Modular,StateECBC,N,N,N,C1,N,2512570,80.61,131,LIC-50ff2991efeb,N
2022-01-14,JUR-295540e0938e,NewBuild,921953331,552,1122164,371.7,56,SteelFrame,StateECBC,Y,Y,N,C2,Y,6273575,70.98,168,LIC-23e465132afa,N
2023-01-15,JUR-e9a4f5e62b5f,Addition,1066646515,167,880357,59.8,20,Precast,GreenRatingAligned,N,N,N,R2,N,4478002,73.24,146,LIC-819871b1376d,N
2025-09-27,JUR-005c835344d5,Addition,502871002,505,1054572,240.6,30,Composite,LegacyCode,Y,Y,N,C2,N,1096997,74.06,124,LIC-8f8deea7bd73,Y
2024-01-30,JUR-ed4781f11bc0,Occupancy,313653239,395,2198424,311.1,27,Composite,LegacyCode,Y,N,N,M1,N,7219134,91.3,185,LIC-7ce780a0654c,N
2021-12-01,JUR-674b61469d19,Renovation,351937719,223,1921042,16.1,58,RCC,LegacyCode,Y,Y,Y,R2,Y,6450368,57.67,99,LIC-d9f65693a8e6,N
2020-04-02,JUR-6e2ef77a36fc,Demolition,892700419,501,1798066,91.6,63,Composite,ECBC2017,N,Y,Y,MixedUse,N,5272255,93.44,188,LIC-6cad5334a8fe,Y
2020-12-11,JUR-ba907ac462c3,NewBuild,272419729,314,1526412,259.6,39,Modular,GreenRatingAligned,Y,N,N,C1,N,6839955,65.22,134,LIC-d1989188af86,Y
2024-02-27,JUR-a28333de0a53,ChangeOfUse,532863180,241,1877929,143.0,7,LoadBearing,ECBC2021,Y,N,N,M1,Y,7431101,58.02,30,LIC-9cce39c4d689,Y
2025-11-11,JUR-a7e3e8165d70,NewBuild,178976124,211,1565920,511.9,41,SteelFrame,GreenRatingAligned,N,N,Y,MixedUse,N,755982,81.36,169,LIC-a8c225637b4a,N
2019-01-02,JUR-f0fab6ee77ed,NewBuild,946777042,257,2002600,421.5,42,SteelFrame,ECBC2021,Y,Y,Y,C1,N,3954588,84.6,157,LIC-1d85ff558569,N
2022-04-27,JUR-96b40020a0e6,Occupancy,580666032,478,907604,204.5,4,Precast,ECBC2017,N,N,Y,M2,N,2717289,74.59,102,LIC-06253fcd230e,Y
2024-06-07,JUR-f4696be1189a,Occupancy,993554685,141,1485743,473.9,38,Modular,LegacyCode,N,N,N,M1,Y,920751,83.47,36,LIC-b59c8dd3d38e,Y
2021-07-03,JUR-c27897c05a3b,Demolition,197594950,529,1898409,316.5,8,LoadBearing,ECBC2021,N,N,N,C1,N,8230451,71.05,201,LIC-e07adc0189ae,N
2020-10-03,JUR-7b24ceba8158,Addition,14407802,541,1786035,102.8,52,RCC,StateECBC,Y,N,N,C2,N,2993828,77.71,109,LIC-fc0c32d92a81,N
2024-01-26,JUR-658fc08b74e7,Addition,364203067,296,867866,106.2,17,LoadBearing,LegacyCode,N,N,N,C1,Y,5302986,76.78,206,LIC-d33c41936077,Y
2025-07-29,JUR-970e72cda36b,NewBuild,824234644,467,967558,48.3,33,Composite,LegacyCode,N,N,Y,R1,Y,7161605,93.89,64,LIC-6e15b78ca900,Y
2020-03-10,JUR-3b407db26c0d,ChangeOfUse,266160068,107,191745,219.0,60,SteelFrame,GreenRatingAligned,N,N,N,M1,N,1513092,77.68,39,LIC-bb7fc73faea2,N
2019-08-30,JUR-84edf8de76fe,ChangeOfUse,896354581,168,2068482,488.9,14,SteelFrame,ECBC2021,Y,Y,N,C1,N,108858,63.53,67,LIC-be5d10b63df5,Y
2021-03-31,JUR-43415fac12ed,Occupancy,1134646498,400,1347450,401.1,5,Precast,StateECBC,Y,Y,Y,R2,N,4828312,92.53,48,LIC-c4c1d06d691b,Y
2022-07-22,JUR-bce57f3bf694,Occupancy,1183715724,70,834009,463.7,22,SteelFrame,GreenRatingAligned,Y,N,N,M1,Y,5152639,84.52,43,LIC-da3f3ebe6ac7,Y
2023-05-16,JUR-9cd64b99fd5d,Demolition,765714320,406,2226773,292.0,67,SteelFrame,LegacyCode,N,N,Y,R1,N,798283,96.69,92,LIC-740e21604223,Y
2024-04-10,JUR-5c933c616f1c,Renovation,340088486,599,2401186,315.8,61,LoadBearing,ECBC2017,N,N,N,C1,N,783878,96.84,114,LIC-2476c70b1822,N
2022-05-16,JUR-f6c72dfdcb7d,NewBuild,42408730,466,1427555,336.4,4,Precast,ECBC2021,N,Y,Y,M2,N,5286319,62.03,156,LIC-77b1c1f9b97e,Y
2023-04-15,JUR-6ff386db51cc,Addition,1129555586,113,1634438,150.3,56,Composite,LegacyCode,N,Y,N,R3,Y,5463221,55.48,92,LIC-1fc574864eaa,N
2019-10-05,JUR-66539ca5a2b9,NewBuild,670397350,531,252564,374.3,35,Composite,LegacyCode,Y,Y,Y,M2,Y,2383724,56.93,165,LIC-a4d3a69b41a0,N
2024-08-17,JUR-12c0b7280e1d,Renovation,23997511,177,1477390,465.8,1,SteelFrame,ECBC2017,Y,N,N,MixedUse,Y,3564664,74.25,82,LIC-75791df3253e,Y
2020-01-20,JUR-3c8fe6b609dd,Demolition,1098025995,513,138333,420.6,8,SteelFrame,LegacyCode,N,Y,N,C1,N,7399663,92.72,190,LIC-d0b0616fa9de,N
2025-10-16,JUR-935971efd3d8,Occupancy,712395689,88,1011246,11.1,69,Modular,LegacyCode,N,Y,Y,M1,N,187793,93.61,80,LIC-c37b99e98c15,N
2019-02-07,JUR-7444d725f422,NewBuild,123989573,311,1368189,442.9,11,Composite,GreenRatingAligned,Y,Y,Y,C1,Y,7172617,90.22,86,LIC-06f6c35864d9,N
2025-11-10,JUR-39169864640a,Occupancy,320999121,32,1452546,275.7,7,Modular,StateECBC,Y,Y,N,M1,N,5522301,95.38,152,LIC-637d77f2a8e9,Y
2024-10-12,JUR-bda63ffdce79,Occupancy,950396251,17,1035959,458.5,39,RCC,GreenRatingAligned,N,Y,N,R3,N,916796,74.56,28,LIC-63773993e148,N
2022-01-28,JUR-3d49cef57026,Addition,668154063,404,1321606,208.7,24,RCC,LegacyCode,N,Y,Y,C1,Y,8186858,68.4,64,LIC-d79b9d6b53d2,N
2021-04-14,JUR-2cad693c277a,NewBuild,1047301286,118,1626078,449.8,19,Modular,ECBC2021,N,N,N,R2,Y,1628974,77.01,109,LIC-3820daccd530,N
2025-01-01,JUR-5e06a98d5359,Occupancy,275811700,239,1335454,72.0,49,RCC,ECBC2017,Y,Y,Y,M2,N,3435653,95.48,133,LIC-93d3216f389e,N
2021-08-28,JUR-8a9d94dc08ea,Renovation,458373341,29,1013713,475.4,1,LoadBearing,LegacyCode,N,Y,Y,M2,Y,6138702,88.14,91,LIC-e67cdcaa6af2,Y
2023-09-28,JUR-8eb9a5d914fa,Occupancy,523785260,93,2191802,344.6,7,RCC,ECBC2021,Y,N,Y,M2,N,1260418,76.65,82,LIC-aa445eb91251,N
2021-05-31,JUR-f828c63d2ba9,Demolition,464784716,516,245088,241.9,40,Composite,GreenRatingAligned,Y,Y,Y,M1,Y,837850,58.94,27,LIC-5de195027a6b,N
2021-03-12,JUR-6268a269efca,Occupancy,1005219643,549,2004564,295.7,65,LoadBearing,GreenRatingAligned,N,Y,N,MixedUse,N,6250710,89.79,118,LIC-ea8f84a05817,N
2022-10-16,JUR-2862c29558fd,Demolition,66424386,235,1896352,202.3,25,SteelFrame,GreenRatingAligned,Y,Y,Y,M2,N,3708268,92.64,61,LIC-b5b141cc167e,Y
2021-06-09,JUR-15f9d387a910,Renovation,571759749,276,1634194,335.1,54,Precast,GreenRatingAligned,N,Y,N,M2,Y,5178093,93.7,95,LIC-86f37c917390,Y
2022-12-27,JUR-82d5d6ae75b7,Occupancy,632389749,41,927294,276.0,63,Composite,ECBC2021,Y,Y,Y,R1,N,6075303,57.97,114,LIC-4b629dca0047,Y
2020-09-27,JUR-4ff77692bd8b,Demolition,1119369635,305,1048904,437.4,58,Composite,ECBC2021,Y,Y,N,M1,Y,5268960,80.47,47,LIC-84804bd579b3,N
2021-08-11,JUR-c69e39240d15,Addition,1190705504,2,1914453,69.8,18,LoadBearing,LegacyCode,N,Y,N,R2,N,4210342,79.19,64,LIC-a671289fffbf,N
2019-12-06,JUR-4b353d353a84,ChangeOfUse,919744126,90,2276903,151.7,40,RCC,StateECBC,Y,N,N,M2,N,1948266,72.77,35,LIC-f1dd826fe3ae,N
2024-10-31,JUR-175562a54431,Renovation,357624098,424,1165999,354.9,69,RCC,StateECBC,Y,N,Y,M2,Y,1406699,85.43,86,LIC-d18dc3793c52,Y
2025-08-27,JUR-01581128afd5,Addition,152182103,591,2103947,25.2,4,Precast,ECBC2021,Y,N,Y,MixedUse,Y,244625,68.66,75,LIC-3db609dc331f,Y
2022-10-07,JUR-8fdbef4f0d63,NewBuild,434652591,405,315937,151.1,18,RCC,StateECBC,Y,Y,Y,R3,N,5996920,56.14,58,LIC-c484abed4de9,N
2023-05-24,JUR-55a29c76ff53,Demolition,1166422938,183,2021728,24.1,49,Precast,GreenRatingAligned,Y,Y,N,M2,N,6606550,82.4,56,LIC-78e47d8c587c,Y
2022-11-10,JUR-adae6a774b83,NewBuild,604540456,267,2103551,402.1,37,Composite,ECBC2017,Y,N,Y,M1,N,4439782,73.61,5,LIC-834aeb4b7d68,N
2020-10-14,JUR-9f6375cf78ab,NewBuild,649012304,391,2353940,167.8,44,LoadBearing,StateECBC,N,Y,Y,C1,Y,1447089,65.7,127,LIC-cbd8ebad0244,N
2023-08-01,JUR-7c858fc089e1,ChangeOfUse,805302633,317,231700,57.8,60,Modular,StateECBC,Y,N,Y,R1,Y,4854001,89.49,159,LIC-b2c416eb43b1,N
2020-04-04,JUR-c009e9ff0f71,ChangeOfUse,447811090,377,1304627,375.7,35,LoadBearing,LegacyCode,Y,Y,N,MixedUse,Y,5588346,83.23,178,LIC-93e30400fd17,N
2025-11-17,JUR-56c8292c3cfe,Occupancy,7778895,558,558084,69.3,54,Composite,LegacyCode,N,Y,N,MixedUse,N,5988978,98.03,102,LIC-2bfaeb53fe9c,N
2021-01-03,JUR-e6e7f4911b54,Occupancy,1007920528,413,48762,452.7,8,Composite,LegacyCode,Y,Y,N,R3,N,2534672,61.91,190,LIC-f7d92652c9f4,Y
2023-11-26,JUR-f99733e833cb,Occupancy,797322083,443,747339,259.2,25,LoadBearing,LegacyCode,Y,N,Y,MixedUse,N,803405,87.14,154,LIC-dd90fbdbe1b5,Y
2019-06-11,JUR-8d68276759b6,ChangeOfUse,811046733,473,1996254,17.4,45,Composite,LegacyCode,N,Y,N,C1,Y,7791952,84.82,210,LIC-528d4da2de9b,Y
2020-09-30,JUR-d5dd97daf1bb,NewBuild,183297879,280,1395546,176.5,54,Precast,ECBC2017,Y,N,Y,M1,Y,6903869,73.21,24,LIC-8f57842e1a45,Y
2020-06-28,JUR-472791944756,Occupancy,173720029,214,630209,197.1,69,RCC,StateECBC,Y,Y,N,C2,N,5014778,62.34,172,LIC-4be1dc90a1dd,N
2021-09-28,JUR-aa2ddfad3c17,NewBuild,322360096,553,2308022,464.7,50,Modular,GreenRatingAligned,N,N,Y,C1,Y,7413062,74.12,212,LIC-79883bffa570,Y
2024-05-15,JUR-acc29d31862c,Addition,1146978190,272,20591,419.9,7,Precast,StateECBC,N,N,N,MixedUse,Y,2626328,71.48,129,LIC-057657227222,N
2019-03-01,JUR-2748d57ba96d,ChangeOfUse,56311442,267,1677352,225.2,39,Composite,GreenRatingAligned,N,N,Y,M1,Y,7206526,73.7,58,LIC-9a94812e1fd4,Y
2020-05-24,JUR-35a58ce2bb51,Addition,1167027198,97,800882,384.2,58,Composite,LegacyCode,Y,N,Y,R3,N,7552971,56.84,102,LIC-01de518fa113,N
2025-09-26,JUR-617ffda7a958,NewBuild,1112440869,106,1704054,143.3,34,SteelFrame,StateECBC,N,Y,N,M1,Y,269601,66.69,168,LIC-19676500587c,N
2024-11-01,JUR-4546e3c458c6,NewBuild,176459442,542,2401899,506.7,54,Modular,StateECBC,Y,N,Y,M1,Y,6597606,70.6,181,LIC-7ee03e9140bb,Y
2024-05-04,JUR-d460c04fd3be,Renovation,453375629,415,1946591,168.1,65,LoadBearing,LegacyCode,N,Y,Y,C1,Y,2238282,87.94,85,LIC-87cc627d7670,N
2023-08-21,JUR-1659884db1eb,NewBuild,605738719,340,729329,260.3,52,SteelFrame,LegacyCode,N,N,N,M2,N,7316933,96.09,88,LIC-c1d23dfb1eae,N
2019-12-18,JUR-2c06078aed00,Demolition,269094737,247,399415,389.2,37,Composite,GreenRatingAligned,Y,N,Y,C2,Y,457600,59.53,151,LIC-b3fd6dcb7ac2,N
2023-09-06,JUR-039e2b08e86e,Renovation,676087432,320,1975084,351.0,29,LoadBearing,ECBC2021,Y,Y,Y,C2,N,4764399,87.11,44,LIC-711cf36b2880,Y
2025-03-02,JUR-1f6ca84893d5,Addition,446312676,562,2312329,384.7,48,LoadBearing,LegacyCode,Y,N,N,C2,Y,1464319,93.15,207,LIC-5a43cd52b9dd,Y
2025-10-30,JUR-325558baef62,Renovation,219657658,128,1824188,173.8,20,Modular,ECBC2017,N,Y,Y,R2,Y,2332322,78.37,135,LIC-4b8a3c65ef47,N
2025-04-11,JUR-70c735b61a2b,ChangeOfUse,1020787769,140,128703,375.2,49,SteelFrame,GreenRatingAligned,N,Y,N,R1,N,5295466,57.27,216,LIC-6a2e74c435d5,N
2019-03-22,JUR-7b83fc7928ab,Occupancy,847973094,503,1776143,418.6,52,RCC,GreenRatingAligned,N,N,Y,R2,Y,6479914,66.37,161,LIC-cd473dd838f9,N
2023-09-21,JUR-60533b77a4f0,NewBuild,460105312,83,2208001,217.1,63,Composite,StateECBC,N,Y,Y,MixedUse,N,2686385,98.3,203,LIC-b572fb99278d,N
2021-08-23,JUR-a85246cddbab,NewBuild,210185998,257,1305913,299.9,68,Modular,GreenRatingAligned,Y,Y,Y,R3,Y,7539340,60.1,163,LIC-7a9b4cae5f34,N
2021-10-31,JUR-686d298a51f6,Demolition,342137689,562,11512,124.6,11,RCC,GreenRatingAligned,N,Y,N,R3,N,5993066,63.34,157,LIC-4d1b2d61ff26,Y
2020-03-24,JUR-fe1646a5c7d6,ChangeOfUse,1105607563,543,633077,77.2,64,RCC,ECBC2021,Y,Y,Y,M2,Y,3113164,76.59,98,LIC-571c7c0bccfb,Y
2019-11-07,JUR-997871430fda,Demolition,286329092,43,496803,465.5,23,RCC,ECBC2017,Y,Y,N,MixedUse,Y,7452606,96.1,200,LIC-6c218589bf42,Y
2025-02-03,JUR-b56910a8a49f,Demolition,160995710,502,295755,21.1,13,Modular,GreenRatingAligned,N,N,Y,M2,Y,1071122,72.01,60,LIC-5ac1396da6ac,Y
2021-10-08,JUR-3aa91308afde,Addition,552569882,72,1501801,453.8,28,LoadBearing,LegacyCode,Y,Y,Y,R1,N,4307462,60.42,158,LIC-16a3514b4874,Y
