care_quality_reporting_period,care_quality_measure_id,care_quality_numerator_count,care_quality_denominator_count,care_quality_risk_adjustment_model,care_quality_star_rating_value,care_quality_hospital_acquired_infection_rate,care_quality_surgical_complication_rate,care_quality_mortality_30day_rate,care_quality_patient_experience_score,care_quality_timely_effective_care_score,care_quality_medication_error_rate,care_quality_falls_with_injury_rate,care_quality_pressure_injury_rate,care_quality_sepsis_bundle_compliance,care_quality_stroke_bundle_compliance,care_quality_readmission_observed_expected,care_quality_equity_stratification_applied,care_quality_public_reporting_flag,care_quality_data_validation_status
2025-01,QMEAS-192,34135,95258,CustomRA,3.08,8.426,12.117,13.077,47.28,85.62,10.772,6.513,11.599,56.8,85.69,1.083,N,Y,NotSubmitted
2025-10,QMEAS-199,30672,49545,APRDRG,2.28,2.525,5.086,13.376,55.61,44.86,15.697,7.769,0.725,67.04,20.96,0.646,N,Y,FailedChecks
2023-12,QMEAS-535,14101,109834,CustomRA,4.99,1.849,10.514,17.256,98.6,97.36,0.417,5.059,5.302,89.36,59.72,1.071,N,N,FailedChecks
2024-06,QMEAS-356,25091,62692,HCC,2.28,0.506,12.006,21.933,1.52,17.8,15.159,8.086,0.919,62.76,88.58,0.449,N,Y,Provisional
2022-07,QMEAS-306,43335,49377,None,3.22,6.703,1.167,21.591,92.94,87.64,3.426,1.705,10.886,59.28,28.38,0.473,N,Y,NotSubmitted
2021-08,QMEAS-861,27112,31758,None,2.32,5.902,14.657,2.268,42.3,50.97,10.705,5.7,8.291,79.04,43.72,1.243,Y,Y,FailedChecks
2024-01,QMEAS-393,21931,48206,None,2.62,3.836,14.7,7.027,26.7,7.11,17.306,5.746,8.689,76.93,39.54,0.659,N,Y,Validated
2022-11,QMEAS-837,7329,27678,DRG,1.09,8.061,8.523,14.374,82.08,55.01,9.067,1.167,6.239,47.74,64.63,1.796,Y,N,Provisional
2023-04,QMEAS-461,49878,76082,HCC,3.06,3.093,16.425,20.279,7.03,41.52,22.027,2.611,7.353,76.99,85.53,0.938,Y,N,NotSubmitted
2023-09,QMEAS-561,28240,66075,APRDRG,1.02,7.917,2.899,7.369,81.99,26.57,22.392,9.625,9.66,54.2,20.94,1.292,N,N,NotSubmitted
2023-06,QMEAS-381,39347,6761,CustomRA,2.19,0.825,0.939,20.279,60.19,23.47,7.594,2.073,14.906,77.16,99.26,1.73,Y,Y,Validated
2024-07,QMEAS-439,22299,16076,CustomRA,3.53,6.343,8.345,0.436,16.49,60.6,17.648,0.536,11.42,69.84,47.59,1.815,Y,N,FailedChecks
2024-08,QMEAS-813,17704,32154,HCC,4.65,7.761,17.833,20.398,42.09,47.86,24.678,4.529,14.864,20.11,84.35,1.835,Y,Y,Validated
2024-05,QMEAS-541,39179,1922,APRDRG,1.01,11.179,1.577,18.364,20.24,99.28,23.411,3.524,8.667,56.02,52.49,0.489,Y,N,Validated
2021-08,QMEAS-780,37496,92323,HCC,2.54,10.234,11.271,16.974,89.07,48.59,4.702,5.176,1.373,47.16,44.0,2.091,N,Y,Provisional
2022-03,QMEAS-598,39286,30581,None,4.9,3.576,10.738,2.376,59.18,19.0,13.647,3.067,1.56,51.98,55.73,1.848,N,Y,Validated
2022-08,QMEAS-415,18852,103844,HCC,3.63,2.197,12.61,9.786,61.04,33.32,2.538,6.366,3.674,71.24,59.61,0.897,N,N,FailedChecks
2022-07,QMEAS-469,14118,92665,APRDRG,4.01,10.309,5.693,19.992,95.05,92.22,23.867,6.484,6.239,93.96,55.78,1.111,N,Y,Provisional
2022-06,QMEAS-135,25978,94772,APRDRG,3.51,9.073,14.183,0.23,18.93,94.86,7.489,1.119,13.035,62.55,64.32,0.849,Y,N,Validated
2023-04,QMEAS-440,24816,44437,APRDRG,1.77,10.449,3.199,5.441,85.31,38.65,18.275,0.387,0.8,37.44,79.09,0.604,N,Y,NotSubmitted
2024-04,QMEAS-649,19116,34657,HCC,1.26,2.835,11.709,7.084,74.59,79.42,16.721,4.916,14.947,22.55,90.74,0.676,N,Y,FailedChecks
2020-10,QMEAS-185,30303,119473,HCC,2.58,7.765,16.52,19.347,70.58,36.73,7.365,4.932,10.126,63.44,74.27,0.556,N,N,Validated
2024-04,QMEAS-773,9525,98773,HCC,1.1,0.306,3.864,4.469,72.24,35.29,5.272,9.374,14.011,94.47,55.16,1.217,Y,N,Validated
2020-11,QMEAS-285,30994,61378,HCC,1.93,8.285,0.415,14.017,45.48,75.1,14.888,4.689,2.467,39.66,97.87,0.313,Y,N,Validated
2025-01,QMEAS-709,30973,39761,None,1.07,1.968,4.945,18.198,10.02,30.65,8.206,2.784,4.873,86.02,80.38,0.967,N,Y,Provisional
2021-08,QMEAS-804,36446,98035,APRDRG,2.67,10.274,13.217,15.838,73.44,42.83,23.154,3.033,7.925,75.64,61.08,2.073,Y,N,Provisional
2023-10,QMEAS-746,48367,63434,APRDRG,4.47,0.442,2.78,18.65,2.32,76.42,8.321,0.918,12.429,86.61,38.37,1.459,Y,Y,NotSubmitted
2020-12,QMEAS-738,16470,17360,APRDRG,4.94,2.566,7.99,16.523,90.9,66.54,20.617,2.64,7.01,35.77,56.61,0.827,N,N,NotSubmitted
2022-05,QMEAS-922,6390,50488,APRDRG,3.11,9.765,3.595,0.274,88.39,76.97,9.415,4.623,3.157,81.88,91.74,1.628,Y,Y,FailedChecks
2024-05,QMEAS-763,25708,60096,CustomRA,3.72,5.065,1.041,1.309,19.79,58.04,4.522,1.375,5.876,28.5,71.58,0.62,Y,Y,FailedChecks
2023-04,QMEAS-555,38760,59170,DRG,2.3,5.859,12.198,9.754,54.87,50.92,17.606,7.159,9.63,72.16,55.99,1.74,N,N,NotSubmitted
2020-03,QMEAS-228,48347,34857,APRDRG,3.14,3.632,4.78,21.716,72.91,74.45,6.932,8.572,7.93,72.63,66.25,2.119,N,N,Provisional
2024-08,QMEAS-320,44895,43889,CustomRA,3.19,4.225,16.673,0.72,81.1,68.57,2.272,8.51,3.32,58.08,56.84,0.765,N,N,Validated
2024-08,QMEAS-698,7355,53497,HCC,2.13,8.641,11.197,21.038,15.73,37.05,11.779,8.559,13.621,26.35,22.71,1.79,N,N,Provisional
2025-05,QMEAS-958,26185,46069,DRG,4.06,3.8,17.127,20.082,89.04,20.75,20.241,4.635,12.29,26.06,91.21,0.892,N,Y,NotSubmitted
2023-03,QMEAS-295,20189,91813,HCC,4.95,2.696,14.221,3.176,39.06,35.4,0.926,3.694,8.712,22.61,67.12,1.495,N,N,Validated
2020-01,QMEAS-815,17280,72664,APRDRG,2.86,7.732,4.739,12.531,34.73,85.98,8.621,9.907,14.845,95.79,31.15,1.183,Y,Y,NotSubmitted
2025-08,QMEAS-245,14325,118425,DRG,2.44,0.803,7.658,10.593,82.41,70.74,6.918,8.119,6.79,73.41,54.75,0.452,Y,N,FailedChecks
2020-05,QMEAS-193,32153,525,APRDRG,3.76,7.598,0.815,18.078,46.01,94.76,1.077,3.144,11.499,82.15,84.2,2.086,Y,N,Provisional
2025-10,QMEAS-114,40203,6934,APRDRG,3.52,7.649,15.407,12.267,70.84,78.25,14.672,3.94,8.038,84.66,63.49,1.377,Y,N,NotSubmitted
2025-02,QMEAS-325,15161,118249,CustomRA,3.24,3.985,4.975,12.508,70.0,48.46,15.462,6.771,14.764,52.68,90.31,0.428,N,Y,Validated
2022-01,QMEAS-257,45074,54763,APRDRG,2.89,3.635,6.515,18.849,81.54,62.06,2.045,9.929,6.447,80.9,86.76,0.857,N,Y,Validated
2024-07,QMEAS-122,14368,23689,APRDRG,1.65,8.82,17.484,13.779,57.07,14.39,1.888,8.064,4.815,58.52,60.9,0.928,N,N,Validated
2022-01,QMEAS-127,22091,2261,DRG,2.28,5.368,12.689,6.423,77.62,89.14,6.652,3.779,5.026,89.35,38.11,1.674,Y,N,FailedChecks
2020-03,QMEAS-572,15519,55499,None,4.2,1.577,11.334,1.203,43.64,50.07,9.081,9.068,10.014,25.18,77.13,1.362,Y,Y,NotSubmitted
2023-02,QMEAS-516,11161,62444,HCC,4.32,9.874,3.549,7.644,89.4,82.07,10.116,4.328,4.958,84.67,36.58,0.549,N,Y,FailedChecks
2025-09,QMEAS-815,37871,37588,None,1.28,5.682,14.79,9.291,21.12,35.15,15.114,3.202,3.359,48.47,23.81,0.748,Y,Y,NotSubmitted
2025-06,QMEAS-501,28647,72651,CustomRA,3.56,7.372,9.565,11.872,75.66,56.8,6.675,1.664,12.876,56.03,62.44,1.327,N,N,Provisional
2023-08,QMEAS-272,26798,46477,DRG,4.1,10.737,16.808,1.495,4.46,97.19,7.695,1.541,12.103,62.1,73.58,2.187,N,N,Validated
2020-01,QMEAS-710,42288,81590,HCC,1.63,6.093,1.193,5.89,29.94,43.11,15.986,5.562,10.574,51.05,22.7,1.534,N,N,NotSubmitted
2022-12,QMEAS-684,23689,94477,CustomRA,4.22,7.443,9.648,14.98,21.88,96.01,1.566,6.809,4.905,68.04,27.25,1.781,N,N,Provisional
2025-01,QMEAS-563,17587,34346,CustomRA,3.87,8.122,6.579,7.66,88.71,63.06,9.674,1.67,2.109,73.11,51.7,1.595,Y,N,Validated
2025-01,QMEAS-804,14294,104684,CustomRA,2.98,3.603,14.581,2.671,86.5,98.36,24.032,8.142,3.512,29.97,25.59,1.223,N,Y,Provisional
2024-11,QMEAS-320,3987,77725,DRG,1.46,4.216,0.72,4.434,80.56,63.4,0.968,8.59,14.58,63.85,67.35,2.071,Y,Y,Provisional
2025-09,QMEAS-194,23523,75452,HCC,2.94,5.569,5.353,2.385,58.2,19.71,18.991,6.581,3.767,96.46,80.18,2.127,Y,N,Provisional
2020-08,QMEAS-832,11927,11963,CustomRA,3.25,8.036,16.805,20.515,20.29,24.83,1.536,8.896,14.514,51.48,58.53,1.965,Y,N,Provisional
2024-01,QMEAS-973,25315,98373,APRDRG,2.45,10.262,8.423,18.518,23.33,11.59,18.615,7.701,2.882,50.49,64.55,1.98,Y,Y,Provisional
2023-01,QMEAS-535,34631,9876,HCC,2.16,3.626,7.727,0.023,54.6,90.37,18.903,6.225,0.375,74.23,86.4,2.028,N,Y,NotSubmitted
2025-06,QMEAS-498,36999,105783,APRDRG,4.39,8.093,1.589,17.805,43.77,92.31,20.717,8.663,10.634,60.64,57.9,0.804,N,Y,Provisional
2023-06,QMEAS-339,11874,4630,CustomRA,1.34,9.024,17.237,11.966,60.81,94.59,6.856,2.944,14.137,45.44,20.57,0.47,Y,Y,Provisional
2025-10,QMEAS-417,22911,37142,APRDRG,2.53,7.874,9.31,3.393,83.21,69.32,1.033,9.645,11.51,73.05,36.4,0.756,N,Y,Validated
2021-02,QMEAS-410,40980,110410,DRG,3.17,0.123,11.925,0.061,6.37,46.88,24.437,5.191,0.936,21.8,32.82,1.97,Y,N,NotSubmitted
2023-07,QMEAS-199,44965,41673,CustomRA,2.39,0.275,13.913,21.472,11.11,55.32,1.1,9.332,10.068,32.76,40.73,1.199,Y,Y,Provisional
2022-05,QMEAS-893,43445,56320,APRDRG,1.28,11.351,3.034,4.482,78.58,98.54,1.656,6.158,5.05,95.11,97.44,1.393,N,N,NotSubmitted
2025-03,QMEAS-333,13824,58375,CustomRA,2.47,2.449,4.573,14.294,60.17,10.36,20.392,9.747,12.361,93.95,30.08,2.166,Y,Y,Provisional
2022-07,QMEAS-273,36638,88219,None,3.65,1.001,1.706,9.777,14.03,13.91,24.358,2.775,12.038,78.97,24.25,0.918,N,N,FailedChecks
2024-02,QMEAS-842,33919,116183,HCC,3.33,4.732,10.301,4.443,87.14,8.3,20.117,7.977,1.36,66.74,81.73,0.644,N,N,FailedChecks
2025-01,QMEAS-376,24453,74156,APRDRG,1.28,1.617,8.542,12.421,18.63,81.35,13.351,3.338,3.913,70.42,91.34,0.496,N,Y,Provisional
2021-04,QMEAS-257,2988,39641,APRDRG,4.3,11.339,16.85,8.69,21.87,83.88,3.987,2.932,14.91,95.68,44.92,2.152,Y,N,FailedChecks
2023-06,QMEAS-930,27201,38816,APRDRG,4.86,9.37,2.74,20.83,38.99,37.67,20.869,2.083,5.592,42.08,31.19,0.666,Y,Y,Provisional
2025-10,QMEAS-458,34352,39392,DRG,4.4,8.038,2.318,17.008,41.8,28.49,2.714,5.944,7.888,55.61,26.92,1.748,Y,N,Validated
2023-12,QMEAS-306,16368,67621,None,3.69,6.001,16.966,4.982,80.88,61.29,6.418,6.612,12.288,41.35,80.96,0.649,N,Y,FailedChecks
2023-03,QMEAS-289,12468,103518,None,2.44,5.561,13.941,0.989,88.56,15.84,16.109,8.797,2.973,69.31,80.9,1.11,N,N,Validated
2021-12,QMEAS-246,4403,82900,None,2.32,5.666,12.027,1.617,37.64,66.27,1.047,9.057,2.735,77.43,31.34,0.706,Y,Y,Validated
2025-09,QMEAS-467,1798,58503,DRG,1.5,5.235,13.392,6.316,13.28,86.69,10.3,2.248,4.697,94.58,72.78,0.387,N,N,Provisional
2022-08,QMEAS-671,48148,29284,None,3.02,10.344,9.545,16.622,87.9,75.85,16.038,2.314,14.525,56.12,68.33,2.048,N,Y,Validated
2025-05,QMEAS-248,11292,56228,DRG,4.92,3.665,3.32,18.25,53.2,6.86,1.366,1.259,5.831,45.01,80.33,1.636,Y,Y,NotSubmitted
2025-10,QMEAS-299,42026,108358,DRG,3.75,6.826,8.374,9.337,53.28,29.69,18.906,9.285,0.043,90.31,89.67,0.7,Y,Y,Validated
2020-05,QMEAS-825,43960,99391,CustomRA,4.57,2.262,6.01,6.279,35.23,26.05,11.876,9.243,14.743,57.14,27.07,1.08,N,Y,Provisional
2023-12,QMEAS-451,41610,89025,APRDRG,1.81,4.49,16.512,6.834,85.41,90.53,10.474,0.506,13.511,29.0,73.42,1.874,N,Y,Validated
2022-04,QMEAS-869,10860,110928,APRDRG,4.83,5.503,12.467,12.96,30.44,83.81,18.939,6.454,14.723,53.35,40.14,1.386,N,Y,Provisional
2021-08,QMEAS-401,41206,118129,HCC,3.4,3.466,16.654,16.279,50.28,63.93,19.888,2.297,3.499,83.18,61.68,0.631,Y,Y,Validated
2024-11,QMEAS-346,2979,104662,CustomRA,4.97,4.411,11.625,12.29,86.42,90.77,8.114,7.71,9.001,65.18,35.12,1.848,N,Y,FailedChecks
2020-08,QMEAS-671,42401,18356,HCC,1.66,7.391,14.844,0.563,5.26,40.76,5.17,8.62,6.393,52.65,61.77,1.331,N,Y,Validated
2024-10,QMEAS-143,39196,83944,None,1.28,3.138,7.127,1.418,18.75,86.39,7.959,2.618,0.491,49.93,28.87,0.848,N,N,FailedChecks
2020-07,QMEAS-515,9275,93854,CustomRA,3.61,5.158,17.62,7.446,3.74,92.48,18.335,1.761,14.795,73.46,90.7,1.109,N,Y,NotSubmitted
2023-07,QMEAS-964,9125,16602,HCC,3.64,11.384,11.573,5.107,97.03,7.24,19.696,0.975,12.564,61.71,66.67,1.067,Y,Y,FailedChecks
2021-12,QMEAS-734,35624,46781,None,4.71,9.008,1.573,10.106,41.57,97.94,2.148,6.816,0.92,67.23,89.92,1.69,N,Y,Validated
2025-09,QMEAS-405,47560,1594,HCC,1.02,1.854,6.488,12.802,26.93,35.61,6.955,4.749,13.182,34.37,83.22,1.989,N,N,Validated
2020-03,QMEAS-493,6575,54592,None,2.7,3.672,13.811,3.097,84.28,70.21,12.973,6.902,5.299,86.56,68.67,1.34,N,Y,NotSubmitted
2023-04,QMEAS-806,44327,67911,CustomRA,4.92,4.442,6.452,17.06,44.6,31.08,7.269,9.518,5.431,90.33,36.37,0.555,N,Y,FailedChecks
2025-04,QMEAS-522,8767,84916,DRG,2.17,10.243,13.145,14.936,48.99,15.18,12.618,1.946,12.932,37.4,60.79,2.057,N,Y,Provisional
2021-01,QMEAS-127,33057,51700,CustomRA,4.83,6.278,4.72,0.401,13.34,89.76,2.796,6.77,11.955,26.63,73.07,0.378,Y,Y,Validated
2021-10,QMEAS-521,22267,48337,HCC,3.52,8.137,10.79,2.463,3.51,35.27,15.315,8.513,5.661,76.14,72.43,0.814,Y,Y,Provisional
2024-03,QMEAS-175,19314,22229,HCC,3.57,2.529,12.855,8.691,33.22,0.75,2.373,5.226,1.865,75.43,99.26,0.958,Y,Y,NotSubmitted
2023-07,QMEAS-330,32259,28119,APRDRG,3.2,8.803,13.006,20.22,0.62,15.86,17.817,7.833,0.053,70.5,71.84,1.534,Y,N,FailedChecks
2021-10,QMEAS-316,45875,9826,HCC,3.64,3.199,12.682,7.75,78.86,4.09,22.563,2.411,6.339,27.0,27.12,2.026,N,Y,NotSubmitted
2024-09,QMEAS-756,14170,116465,APRDRG,2.71,11.713,2.394,4.086,42.29,45.12,22.521,4.015,8.533,32.73,61.57,0.78,Y,N,NotSubmitted
2025-08,QMEAS-918,35415,5216,HCC,4.05,4.125,14.197,11.624,42.97,87.67,22.949,2.403,5.969,52.84,60.49,0.669,N,Y,Provisional
2022-12,QMEAS-700,27832,72070,None,1.75,3.046,17.718,13.854,3.95,51.94,18.597,8.032,3.422,50.54,74.7,0.335,N,N,FailedChecks
2023-08,QMEAS-919,18328,52197,HCC,1.74,6.036,6.346,16.047,98.98,80.78,8.046,5.009,0.15,77.05,74.4,0.649,Y,Y,Validated
2025-02,QMEAS-212,42453,117699,DRG,3.99,0.431,0.297,5.708,10.09,70.51,13.069,4.57,10.525,49.71,76.32,0.547,Y,Y,NotSubmitted
2023-11,QMEAS-882,31329,33488,APRDRG,4.47,2.937,4.652,6.632,64.8,81.85,24.449,7.982,3.477,72.62,36.86,1.894,N,N,Provisional
2022-11,QMEAS-367,18612,38880,CustomRA,4.12,7.733,2.85,6.165,53.45,64.35,7.22,2.738,10.748,50.85,65.5,0.426,N,Y,NotSubmitted
2024-02,QMEAS-994,37704,61955,DRG,4.91,5.743,8.58,17.78,50.21,11.05,17.315,2.181,0.945,57.77,24.67,1.061,Y,Y,NotSubmitted
2024-03,QMEAS-786,33742,59855,DRG,4.05,5.235,12.095,0.481,79.27,12.02,5.495,1.914,1.048,36.56,30.82,0.91,Y,Y,FailedChecks
2022-12,QMEAS-251,16606,95466,None,3.64,1.737,8.831,5.211,85.49,51.34,1.504,0.754,9.521,37.65,86.45,0.859,N,Y,Validated
2023-02,QMEAS-456,12792,103429,CustomRA,2.37,5.013,11.85,16.081,20.37,48.15,13.872,7.703,8.631,47.21,61.97,0.62,N,N,Validated
2025-10,QMEAS-982,1493,22851,HCC,2.63,0.486,16.084,6.029,24.88,5.48,0.004,8.561,3.849,99.28,25.7,1.671,N,N,Validated
2020-01,QMEAS-540,24738,38185,None,4.91,8.119,13.941,19.655,41.46,80.48,3.359,0.731,8.015,53.64,74.94,0.334,Y,Y,Provisional
2020-10,QMEAS-599,27914,51732,CustomRA,1.39,10.483,8.993,15.494,32.07,74.03,14.423,9.5,13.128,36.93,45.02,0.505,N,N,Provisional
2022-11,QMEAS-943,15828,93179,None,1.92,6.377,4.472,9.475,15.6,87.62,10.479,5.643,1.265,59.47,73.51,1.007,N,N,NotSubmitted
2025-08,QMEAS-997,15965,94737,DRG,2.45,10.492,8.753,8.12,4.33,29.08,17.812,1.194,8.383,27.87,76.13,1.518,N,Y,Provisional
2022-10,QMEAS-203,48829,45933,APRDRG,1.82,3.41,14.696,7.803,92.59,96.98,7.356,5.918,13.761,80.62,22.46,1.561,Y,N,Provisional
2022-08,QMEAS-774,11229,105171,DRG,2.66,8.918,9.441,10.404,3.72,59.87,14.618,6.141,3.479,72.8,95.32,0.337,Y,N,Validated
2023-11,QMEAS-340,14377,72133,None,3.44,10.792,1.53,17.58,8.39,60.47,24.649,1.566,0.976,43.17,73.75,2.011,Y,N,NotSubmitted
2023-06,QMEAS-809,7464,28275,None,3.78,11.736,2.814,10.837,5.23,22.5,4.215,2.724,9.476,47.4,79.15,0.658,Y,N,FailedChecks
2020-03,QMEAS-512,5386,97833,HCC,1.82,10.161,2.861,6.099,94.65,48.49,3.183,7.954,8.868,82.71,73.45,1.582,Y,Y,Validated
2020-08,QMEAS-465,48698,113170,DRG,4.5,1.448,9.645,9.935,3.98,38.4,17.715,8.166,7.283,45.5,60.4,0.841,N,Y,NotSubmitted
2024-02,QMEAS-998,15557,90616,DRG,1.0,11.999,11.732,14.164,94.63,55.27,14.199,7.915,1.123,62.9,36.41,0.74,Y,N,NotSubmitted
2022-07,QMEAS-964,5569,117223,None,1.03,2.998,16.044,10.738,59.65,74.2,17.721,5.699,4.898,89.99,74.58,2.003,Y,N,Validated
2021-12,QMEAS-935,36963,36642,None,3.46,6.44,13.972,8.169,69.2,63.89,14.696,5.024,9.962,89.76,82.98,0.447,Y,N,Validated
2020-01,QMEAS-688,38289,47998,DRG,4.73,7.81,12.254,20.057,19.4,25.09,3.011,7.66,13.901,80.46,92.13,1.544,N,N,NotSubmitted
2022-10,QMEAS-584,31277,13214,APRDRG,1.46,2.965,15.826,4.922,85.03,86.43,9.088,5.372,6.042,64.94,33.96,0.373,N,N,Validated
2020-03,QMEAS-824,47118,33929,APRDRG,1.89,2.879,15.429,15.657,44.22,60.62,19.219,9.074,12.007,21.54,65.18,2.056,Y,N,Provisional
2020-06,QMEAS-169,21360,118608,APRDRG,3.73,0.098,5.743,10.21,95.78,58.13,19.686,8.688,11.538,45.43,82.6,0.868,Y,N,Provisional
2021-04,QMEAS-237,32153,59981,APRDRG,4.99,2.166,12.98,20.213,31.13,41.97,10.949,2.488,7.39,33.9,75.04,2.039,Y,N,FailedChecks
