gov_grants_award_fiscal_year,gov_grants_grant_program_code,gov_grants_grant_competitive_flag,gov_grants_allocation_formula_type,gov_grants_eligible_entity_type,gov_grants_match_rate_required_pct,gov_grants_award_min_usd,gov_grants_award_max_usd,gov_grants_award_median_usd,gov_grants_application_count,gov_grants_award_count,gov_grants_award_total_usd,gov_grants_performance_measure_code,gov_grants_reporting_compliance_rate,gov_grants_closeout_timeliness_rate,gov_grants_indirect_cost_rate_cap,gov_grants_technical_assistance_available_flag,gov_grants_overlap_duplication_risk_score,gov_grants_single_audit_findings_count,gov_grants_grant_portal_system
2017,TRANS_FORMULA,0,POPULATION,LOCAL,16.86,771943.13,101952450.25,51362196.69,5424,1605,79171416988.76,QUALITY_C,45.8,25.64,1.85,1,0.2685,26,GRANTS_GOV
2011,HEALTH_MCH,1,NEED_BASED,LOCAL,27.27,419157.6,101125988.43,50772573.02,1174,468,26542257769.47,OUTCOME_B,74.1,82.75,15.78,0,0.8032,9,GRANTS_GOV
2020,ENERGY_EFF,1,NEED_BASED,HOSPITAL,40.46,96294.44,31557708.5,15827001.47,2223,131,2202896462.1,OUTCOME_B,95.6,35.98,12.27,1,0.0878,9,GRANTS_GOV
2012,HOUSING_CDBG,0,NEED_BASED,NONPROFIT,40.84,183582.64,21486268.37,10834925.5,3711,1289,12430124620.65,OUTCOME_B,78.14,41.28,9.86,1,0.4706,25,GRANTS_GOV
2014,HOUSING_CDBG,1,NEED_BASED,UNIVERSITY,22.71,784481.02,185577799.92,93181140.47,4716,1177,123060753259.97,NONE,51.57,30.32,11.41,0,0.9092,12,STATE_PORTAL
2021,BROADBAND,1,POPULATION,LOCAL,54.7,978536.89,351731679.63,176355108.26,17,3,459202372.11,OUTPUT_A,92.18,59.84,13.98,1,0.7628,49,GRANTS_GOV
2014,HEALTH_MCH,1,NEED_BASED,NONPROFIT,14.74,340044.65,64361911.67,32350978.16,211,78,2793715904.99,OUTCOME_B,80.51,77.56,5.17,0,0.261,15,STATE_PORTAL
2013,BROADBAND,0,POPULATION,NONPROFIT,4.24,872199.96,277831887.84,139352043.9,3587,1325,159930591788.6,NONE,81.56,33.7,0.89,0,0.5472,20,GRANTS_GOV
2011,HOUSING_CDBG,1,OTHER,STATE,51.68,420278.69,190349334.99,95384806.84,2452,539,45339021638.67,OUTCOME_B,45.22,75.42,3.47,0,0.7987,0,CUSTOM_PORTAL_A
2021,TRANS_FORMULA,0,COMPETITIVE,UNIVERSITY,17.81,358526.38,97980413.0,49169469.69,2657,556,23658366506.36,OUTPUT_A,47.21,95.66,3.04,1,0.2163,20,STATE_PORTAL
2019,WATER_SR,1,EQUAL_SHARE,STATE,5.27,76810.55,15371908.51,7724359.53,2494,1063,8848683177.74,NONE,71.28,75.65,19.42,1,0.1469,29,GRANTS_GOV
2011,HEALTH_MCH,0,COMPETITIVE,HOSPITAL,53.24,272073.07,89980423.69,45126248.38,2923,198,9014887378.15,NONE,53.38,48.57,8.41,0,0.0106,9,CUSTOM_PORTAL_B
2017,EDU_BLOCK,0,NEED_BASED,NONPROFIT,59.92,653411.1,134014428.25,67333919.68,5801,888,54091746264.69,QUALITY_C,54.74,36.55,6.91,1,0.3474,27,GRANTS_GOV
2009,HEALTH_MCH,0,POPULATION,SCHOOL_DISTRICT,9.03,725103.59,226472527.94,113598815.76,2848,836,104275639425.37,OUTCOME_B,48.49,45.46,5.09,1,0.3995,30,STATE_PORTAL
2016,BROADBAND,0,NEED_BASED,NONPROFIT,25.58,619275.13,294729461.51,147674368.32,2307,580,96406543047.92,OUTPUT_A,52.14,64.48,12.7,0,0.2588,23,STATE_PORTAL
2022,HEALTH_MCH,1,POPULATION,STATE,53.1,996660.72,411337093.2,206166876.96,4563,1719,322930090606.93,OUTPUT_A,54.53,29.14,18.4,0,0.1148,48,CUSTOM_PORTAL_A
2021,JUSTICE_ASSIST,1,POPULATION,LOCAL,15.48,884302.77,277998105.49,139441204.13,3064,288,35780224018.04,OUTCOME_B,91.88,47.82,2.4,1,0.9938,6,STATE_PORTAL
2018,HEALTH_MCH,1,COMPETITIVE,STATE,22.94,170836.67,33857283.13,17014059.9,306,98,1751927040.53,EQUITY_D,79.39,85.14,17.34,0,0.9929,17,GRANTS_GOV
2016,BROADBAND,0,OTHER,STATE,42.62,806574.0,359517625.78,180162099.89,3087,200,38491020451.79,NONE,72.21,79.63,9.64,1,0.0438,18,CUSTOM_PORTAL_A
2013,HEALTH_MCH,1,POPULATION,NONPROFIT,35.94,530230.05,110940886.13,55735558.09,2854,1069,58434435833.46,OUTPUT_A,62.59,61.34,6.12,0,0.684,13,CUSTOM_PORTAL_B
2023,EDU_BLOCK,0,COMPETITIVE,NONPROFIT,58.03,390591.38,191468390.69,95929491.04,995,215,23588601259.05,QUALITY_C,83.6,84.94,14.38,0,0.1122,29,STATE_PORTAL
2013,TRANS_FORMULA,1,NEED_BASED,LOCAL,1.42,193972.98,81448640.51,40821306.75,1231,325,15075738320.12,QUALITY_C,58.05,31.41,3.17,1,0.044,39,GRANTS_GOV
2020,BROADBAND,1,COMPETITIVE,SCHOOL_DISTRICT,27.74,485112.44,133795113.01,67140112.73,5513,608,37611263089.85,EQUITY_D,43.43,89.44,1.11,1,0.3203,20,GRANTS_GOV
2017,HOUSING_CDBG,1,NEED_BASED,TRIBAL,27.11,578256.42,188862154.8,94720205.61,3724,362,30701652690.16,NONE,61.74,84.01,9.03,0,0.7363,40,STATE_PORTAL
2020,EDU_BLOCK,0,COMPETITIVE,TRIBAL,30.09,987567.09,356396341.83,178691954.46,5259,1250,228927795837.85,ACCESS_E,56.14,49.47,6.46,0,0.6703,46,STATE_PORTAL
2013,ENERGY_EFF,0,POPULATION,NONPROFIT,59.06,614759.3,232726225.55,116670492.43,2637,335,37633379802.2,EQUITY_D,48.37,44.44,15.33,1,0.2357,37,STATE_PORTAL
2022,TRANS_FORMULA,1,NEED_BASED,HOSPITAL,39.21,968216.78,156274711.1,78621463.94,1469,567,46055508626.38,QUALITY_C,93.35,85.43,7.19,1,0.4221,25,STATE_PORTAL
2023,HEALTH_MCH,0,EQUAL_SHARE,NONPROFIT,52.77,382474.63,67047986.56,33715230.6,3106,802,27074950600.13,OUTPUT_A,56.46,37.14,11.44,0,0.8529,0,CUSTOM_PORTAL_A
2024,BROADBAND,1,POPULATION,SCHOOL_DISTRICT,56.54,550969.67,214433969.7,107492469.68,2972,331,40195180802.51,QUALITY_C,49.44,82.17,5.08,1,0.3564,11,GRANTS_GOV
2021,HEALTH_MCH,1,POPULATION,UNIVERSITY,10.85,209746.15,93593217.73,46901481.94,1700,761,40523661916.16,OUTPUT_A,71.66,31.6,5.92,1,0.5888,4,GRANTS_GOV
2020,WATER_SR,0,OTHER,SCHOOL_DISTRICT,0.96,318949.41,87377696.51,43848322.96,4424,1323,50171173603.8,EQUITY_D,90.89,95.4,13.16,1,0.1715,50,GRANTS_GOV
2018,WATER_SR,1,POPULATION,SCHOOL_DISTRICT,55.53,718907.5,277216108.36,138967507.93,3039,637,93781319047.45,OUTPUT_A,69.16,42.29,6.75,0,0.3047,2,CUSTOM_PORTAL_A
2025,TRANS_FORMULA,1,POPULATION,SCHOOL_DISTRICT,6.24,733179.06,230468543.94,115600861.5,738,294,37583891411.29,NONE,80.38,28.92,18.92,1,0.7772,11,CUSTOM_PORTAL_A
2018,HEALTH_MCH,1,OTHER,LOCAL,27.47,49655.17,7975276.67,4012465.92,2409,620,2677599689.62,NONE,42.04,37.81,6.7,0,0.5529,19,GRANTS_GOV
2023,ENERGY_EFF,1,MATCHING,NONPROFIT,49.57,872045.37,35761802.0,18316923.68,5444,2083,39101146329.45,OUTCOME_B,49.28,77.18,12.74,1,0.3225,27,STATE_PORTAL
2021,TRANS_FORMULA,0,COMPETITIVE,NONPROFIT,18.56,968354.13,113885289.91,57426822.02,946,332,18326532159.31,OUTCOME_B,71.73,45.1,15.12,1,0.4589,28,GRANTS_GOV
2023,ENERGY_EFF,1,POPULATION,NONPROFIT,57.01,448654.8,38754520.72,19601587.76,589,158,2852413153.3,EQUITY_D,64.46,82.74,0.25,0,0.4574,1,STATE_PORTAL
2019,TRANS_FORMULA,1,POPULATION,HOSPITAL,50.9,581494.5,208932943.41,104757218.96,4899,706,78818926928.15,OUTCOME_B,40.71,71.39,11.28,0,0.093,5,STATE_PORTAL
2022,TRANS_FORMULA,1,POPULATION,NONPROFIT,25.35,99378.44,6212082.43,3155730.44,1299,340,1082148620.93,OUTCOME_B,84.81,65.5,16.95,1,0.923,42,CUSTOM_PORTAL_B
2013,HOUSING_CDBG,0,POPULATION,STATE,57.07,789079.21,256231041.47,128510060.34,2024,853,95996390351.25,EQUITY_D,92.3,75.9,13.61,0,0.0436,23,CUSTOM_PORTAL_A
2022,WATER_SR,0,MATCHING,NONPROFIT,29.48,999225.75,233482768.63,117240997.19,87,26,2829394349.46,OUTPUT_A,61.27,25.75,16.8,1,0.7116,43,GRANTS_GOV
2011,EDU_BLOCK,0,MATCHING,LOCAL,11.23,833670.83,378509242.35,189671456.59,1837,170,36336405095.72,QUALITY_C,70.23,27.66,11.41,1,0.8741,19,CUSTOM_PORTAL_B
2011,HEALTH_MCH,1,MATCHING,LOCAL,8.71,93517.23,2632349.4,1362933.32,2857,887,1166628029.58,OUTPUT_A,56.05,68.66,14.14,0,0.8703,24,GRANTS_GOV
2010,JUSTICE_ASSIST,0,COMPETITIVE,SCHOOL_DISTRICT,7.51,419947.22,149956480.69,75188213.96,5513,2233,178149298044.16,EQUITY_D,50.26,93.46,19.04,0,0.265,2,STATE_PORTAL
2014,EDU_BLOCK,0,COMPETITIVE,LOCAL,5.17,62827.45,6909713.71,3486270.58,1156,148,448722368.95,EQUITY_D,44.31,34.43,15.55,1,0.9727,21,GRANTS_GOV
2014,HOUSING_CDBG,1,POPULATION,SCHOOL_DISTRICT,32.47,568383.92,88989105.35,44778744.64,5017,1481,63096909397.68,OUTCOME_B,96.17,30.81,18.2,0,0.0084,3,CUSTOM_PORTAL_A
2012,BROADBAND,1,NEED_BASED,TRIBAL,56.2,735543.42,218980326.17,109857934.79,2096,134,12636460058.2,OUTPUT_A,41.64,100.0,9.06,0,0.9065,12,GRANTS_GOV
2024,HEALTH_MCH,0,NEED_BASED,NONPROFIT,4.08,605992.7,243177022.68,121891507.69,1141,385,52053070367.17,OUTCOME_B,83.43,59.3,2.21,1,0.7855,33,GRANTS_GOV
2016,EDU_BLOCK,0,MATCHING,UNIVERSITY,27.56,29022.22,6633527.21,3331274.72,365,101,363298331.54,OUTCOME_B,67.3,47.56,2.16,1,0.1711,30,STATE_PORTAL
2025,TRANS_FORMULA,1,NEED_BASED,STATE,28.46,701477.45,186114938.47,93408207.96,239,25,2204288491.71,OUTPUT_A,72.21,92.84,14.63,0,0.4478,42,CUSTOM_PORTAL_A
2020,WATER_SR,0,EQUAL_SHARE,LOCAL,4.58,603999.09,175823966.13,88213982.61,5804,1305,125183041524.76,EQUITY_D,56.61,95.31,17.99,1,0.144,31,STATE_PORTAL
2022,WATER_SR,0,MATCHING,STATE,15.2,744212.16,267289476.26,134016844.21,1445,514,76901572770.99,QUALITY_C,87.54,41.16,2.39,1,0.6567,6,GRANTS_GOV
2010,HEALTH_MCH,1,POPULATION,TRIBAL,33.64,311169.6,26706459.23,13508814.42,3677,404,6211239792.25,OUTCOME_B,49.2,64.59,11.98,1,0.0553,45,CUSTOM_PORTAL_A
2025,HEALTH_MCH,0,COMPETITIVE,STATE,1.89,371795.3,162977346.24,81674570.77,3540,1203,109080846381.49,OUTPUT_A,98.35,94.66,2.6,1,0.9625,43,STATE_PORTAL
2016,BROADBAND,1,MATCHING,STATE,53.0,559547.68,40624267.93,20591907.8,2796,517,11789235887.02,OUTCOME_B,48.24,67.07,13.45,0,0.0368,15,CUSTOM_PORTAL_B
2009,HOUSING_CDBG,0,COMPETITIVE,STATE,12.29,745789.62,365075708.41,182910749.02,2210,931,163475058015.48,OUTPUT_A,42.9,34.24,3.94,1,0.0161,27,STATE_PORTAL
2021,HEALTH_MCH,0,NEED_BASED,SCHOOL_DISTRICT,33.07,854429.14,95889459.93,48371944.54,1130,353,18423830450.24,OUTCOME_B,58.7,61.86,7.03,0,0.4972,17,GRANTS_GOV
2017,JUSTICE_ASSIST,1,COMPETITIVE,NONPROFIT,48.67,377758.76,130672248.12,65525003.44,4598,1130,70050050124.31,QUALITY_C,76.26,55.7,18.8,1,0.591,44,GRANTS_GOV
2024,JUSTICE_ASSIST,0,POPULATION,STATE,18.2,321582.07,44511892.99,22416737.53,5149,2120,53503260962.48,OUTCOME_B,43.9,34.26,1.24,1,0.337,19,GRANTS_GOV
2017,EDU_BLOCK,1,MATCHING,STATE,33.63,969289.55,32876428.92,16922859.24,118,34,642292535.69,EQUITY_D,80.18,86.53,8.87,1,0.5698,34,STATE_PORTAL
2022,BROADBAND,1,COMPETITIVE,UNIVERSITY,2.6,94933.02,35419917.35,17757425.19,4127,475,9568110348.09,OUTCOME_B,55.88,65.64,3.07,0,0.9401,42,CUSTOM_PORTAL_B
2014,TRANS_FORMULA,0,OTHER,SCHOOL_DISTRICT,13.19,878109.98,231751324.37,116314717.18,1271,301,36405175892.61,QUALITY_C,81.36,41.92,18.59,1,0.9911,8,CUSTOM_PORTAL_A
2017,WATER_SR,1,NEED_BASED,STATE,33.73,87667.38,26040289.63,13063978.5,2089,321,4198613364.22,OUTCOME_B,43.86,67.18,3.33,0,0.7674,3,CUSTOM_PORTAL_A
2022,JUSTICE_ASSIST,0,POPULATION,LOCAL,55.62,802419.22,211356075.73,106079247.48,2223,598,61992875910.9,OUTCOME_B,91.07,70.03,3.41,0,0.9108,24,CUSTOM_PORTAL_B
2015,JUSTICE_ASSIST,0,COMPETITIVE,STATE,42.55,162025.53,59513996.46,29838011.0,1243,152,5046928017.87,EQUITY_D,45.33,43.83,19.02,1,0.7415,22,STATE_PORTAL
2022,WATER_SR,0,COMPETITIVE,UNIVERSITY,30.43,281855.61,36523213.02,18402534.32,5626,1462,23008840858.76,NONE,94.66,40.78,11.39,1,0.0548,12,GRANTS_GOV
2023,WATER_SR,0,MATCHING,NONPROFIT,51.43,307708.26,91077533.46,45692620.86,4622,727,35395554543.32,OUTPUT_A,49.84,28.66,1.32,0,0.7716,37,CUSTOM_PORTAL_A
2014,JUSTICE_ASSIST,1,NEED_BASED,STATE,7.67,845353.63,331472189.82,166158771.72,691,301,50846273692.17,NONE,46.14,59.22,11.47,0,0.9803,7,GRANTS_GOV
2015,TRANS_FORMULA,0,MATCHING,STATE,23.55,687388.56,222646003.52,111666696.04,1679,681,70676190646.5,EQUITY_D,43.51,52.8,10.94,1,0.4724,41,STATE_PORTAL
2014,TRANS_FORMULA,0,MATCHING,SCHOOL_DISTRICT,1.3,764590.59,209678250.27,105221420.43,709,149,15515161725.67,OUTCOME_B,47.21,67.21,6.65,0,0.3363,13,GRANTS_GOV
2009,BROADBAND,0,POPULATION,NONPROFIT,35.83,985920.12,408957794.84,204971857.48,3306,506,107502113816.54,OUTCOME_B,83.64,94.78,8.9,0,0.4703,17,STATE_PORTAL
2010,BROADBAND,0,NEED_BASED,NONPROFIT,10.76,607206.47,57630181.81,29118694.14,41,8,223910749.19,QUALITY_C,96.19,76.67,10.4,1,0.0632,20,STATE_PORTAL
2015,HEALTH_MCH,1,NEED_BASED,NONPROFIT,52.38,779694.7,148980204.99,74879949.84,2884,1000,83274851886.65,EQUITY_D,52.54,84.25,16.62,1,0.8018,23,GRANTS_GOV
2020,JUSTICE_ASSIST,0,NEED_BASED,NONPROFIT,27.98,645235.66,133392298.45,67018767.06,642,243,15230697451.01,OUTCOME_B,46.45,95.38,7.56,1,0.5978,22,CUSTOM_PORTAL_B
2023,HOUSING_CDBG,1,POPULATION,NONPROFIT,7.56,294733.29,27915201.54,14104967.42,4623,1984,25517612211.27,QUALITY_C,65.81,73.59,17.02,0,0.7701,39,STATE_PORTAL
2011,WATER_SR,0,NEED_BASED,STATE,1.94,24344.88,11646001.83,5835173.36,4646,882,5376320415.61,OUTCOME_B,47.97,81.33,6.12,1,0.3305,25,CUSTOM_PORTAL_A
2025,WATER_SR,0,COMPETITIVE,UNIVERSITY,56.3,58880.37,17675193.25,8867036.81,2263,753,6360997951.62,OUTPUT_A,63.47,48.88,17.58,1,0.273,36,STATE_PORTAL
2020,ENERGY_EFF,0,NEED_BASED,NONPROFIT,15.27,817867.91,168572170.08,84695019.0,1392,163,14500191651.74,OUTCOME_B,43.09,54.83,16.13,1,0.1844,0,GRANTS_GOV
2012,ENERGY_EFF,0,NEED_BASED,LOCAL,26.08,538258.21,210206039.54,105372148.88,4918,365,41236468781.83,OUTPUT_A,46.96,76.31,14.79,1,0.6173,16,STATE_PORTAL
2015,HOUSING_CDBG,0,NEED_BASED,SCHOOL_DISTRICT,56.86,198117.66,38470925.94,19334521.8,3617,462,9656637970.32,OUTPUT_A,78.35,38.68,2.47,1,0.5685,35,CUSTOM_PORTAL_A
2009,WATER_SR,0,EQUAL_SHARE,TRIBAL,59.05,280767.89,115307876.69,57794322.29,366,97,5465435921.33,QUALITY_C,52.9,65.35,8.16,0,0.7584,42,GRANTS_GOV
2023,TRANS_FORMULA,0,POPULATION,LOCAL,6.81,41557.67,3482176.22,1761866.94,2931,1299,2429281890.12,ACCESS_E,49.9,51.36,19.9,1,0.4305,34,STATE_PORTAL
2023,HOUSING_CDBG,0,NEED_BASED,SCHOOL_DISTRICT,16.23,707312.09,50145269.5,25426290.8,5494,779,20990233604.37,OUTCOME_B,54.31,34.01,2.82,1,0.8328,40,CUSTOM_PORTAL_A
2012,WATER_SR,1,NEED_BASED,NONPROFIT,7.99,316859.23,123846690.09,62081774.66,2558,836,54960068515.38,OUTCOME_B,94.7,75.79,9.88,0,0.0645,23,GRANTS_GOV
2009,WATER_SR,0,NEED_BASED,LOCAL,47.43,602033.06,100192471.41,50397252.24,1531,331,15112800368.23,OUTPUT_A,91.4,54.92,15.34,1,0.1129,3,GRANTS_GOV
2012,TRANS_FORMULA,0,NEED_BASED,UNIVERSITY,4.09,429856.36,193950391.05,97190123.71,6,2,217558923.48,QUALITY_C,73.3,90.21,15.9,1,0.6731,46,GRANTS_GOV
2017,TRANS_FORMULA,0,COMPETITIVE,UNIVERSITY,4.42,966736.22,451457014.35,226211875.29,4765,1338,259347794812.31,OUTCOME_B,85.28,90.44,6.15,1,0.4926,32,GRANTS_GOV
2011,HEALTH_MCH,0,COMPETITIVE,LOCAL,4.19,571514.28,97819637.13,49195575.7,5984,1653,80203301581.0,EQUITY_D,77.32,42.27,18.87,1,0.7386,27,GRANTS_GOV
2015,ENERGY_EFF,1,NEED_BASED,LOCAL,19.67,189874.03,32430311.16,16310092.6,410,63,1075604523.05,OUTCOME_B,63.41,58.29,5.01,0,0.5042,29,STATE_PORTAL
2022,WATER_SR,0,MATCHING,STATE,0.94,418624.1,73804801.53,37111712.82,3247,1376,46825976757.13,OUTPUT_A,43.04,83.14,14.28,1,0.7919,30,CUSTOM_PORTAL_B
2010,BROADBAND,1,NEED_BASED,HOSPITAL,20.65,511139.05,250186743.88,125348941.46,4399,1521,210554163772.72,ACCESS_E,42.45,35.06,5.9,1,0.6134,38,STATE_PORTAL
2009,ENERGY_EFF,1,COMPETITIVE,UNIVERSITY,16.22,220631.36,21720135.01,10970383.18,2056,223,2474524618.57,EQUITY_D,57.87,31.53,12.62,1,0.2675,16,CUSTOM_PORTAL_B
2017,EDU_BLOCK,0,NEED_BASED,NONPROFIT,7.52,424168.23,126057819.88,63240994.06,2285,439,31274479308.4,OUTCOME_B,70.85,79.35,8.66,1,0.1634,29,CUSTOM_PORTAL_A
2009,ENERGY_EFF,1,POPULATION,HOSPITAL,2.0,190043.96,25955493.33,13072768.64,55,20,274389039.29,EQUITY_D,46.9,69.43,9.73,0,0.9712,7,CUSTOM_PORTAL_A
2014,HEALTH_MCH,0,NEED_BASED,STATE,30.02,659924.73,313453722.78,157056823.76,2342,164,26250300527.23,QUALITY_C,53.12,78.83,10.38,1,0.3863,10,CUSTOM_PORTAL_A
2019,TRANS_FORMULA,1,COMPETITIVE,HOSPITAL,42.06,379669.09,45435349.37,22907509.23,3692,1632,38009874648.85,OUTPUT_A,40.37,59.86,9.39,1,0.3152,4,GRANTS_GOV
2018,HEALTH_MCH,1,POPULATION,SCHOOL_DISTRICT,13.19,525532.68,110897262.07,55711397.38,2357,656,40183738126.52,NONE,71.93,95.39,14.18,0,0.3022,11,STATE_PORTAL
2024,EDU_BLOCK,0,NEED_BASED,LOCAL,18.85,544939.17,124490901.42,62517920.3,279,89,5119151382.65,NONE,94.83,33.36,1.21,1,0.5656,49,CUSTOM_PORTAL_A
2016,ENERGY_EFF,0,MATCHING,NONPROFIT,12.38,741657.42,365811669.65,183276663.54,2593,1087,182536608640.89,ACCESS_E,68.67,42.98,10.76,1,0.1793,16,CUSTOM_PORTAL_A
2011,BROADBAND,0,COMPETITIVE,SCHOOL_DISTRICT,24.86,552986.53,51357347.96,25955167.24,2710,1070,27641232732.39,EQUITY_D,50.31,61.61,8.63,1,0.8181,12,GRANTS_GOV
2015,JUSTICE_ASSIST,1,EQUAL_SHARE,UNIVERSITY,9.67,76676.94,14182221.56,7129449.25,3783,1592,11140694544.15,OUTPUT_A,61.71,28.49,14.36,0,0.5739,26,STATE_PORTAL
2010,HEALTH_MCH,0,NEED_BASED,HOSPITAL,58.16,810696.15,347874284.49,174342490.32,1972,144,24432402699.81,QUALITY_C,89.25,69.15,2.2,1,0.4854,45,CUSTOM_PORTAL_B
2022,BROADBAND,1,EQUAL_SHARE,NONPROFIT,19.49,590463.65,64509371.28,32549917.46,4529,1946,64801185422.89,ACCESS_E,70.28,28.68,0.3,1,0.0596,35,GRANTS_GOV
2017,HOUSING_CDBG,0,NEED_BASED,STATE,19.99,285641.27,96750872.5,48518256.88,801,292,15953172185.93,OUTPUT_A,98.66,80.51,7.69,1,0.8179,39,GRANTS_GOV
2013,HOUSING_CDBG,1,COMPETITIVE,LOCAL,16.56,9815.79,737288.2,373552.0,1677,231,93959005.76,NONE,47.14,63.15,14.16,0,0.2484,39,GRANTS_GOV
2021,BROADBAND,0,MATCHING,SCHOOL_DISTRICT,5.15,430842.01,156477651.57,78454246.79,692,114,10069150787.39,OUTCOME_B,77.16,51.02,4.01,1,0.682,3,GRANTS_GOV
2025,EDU_BLOCK,0,EQUAL_SHARE,NONPROFIT,38.07,729326.97,162408580.27,81568953.62,5177,603,43674386752.55,OUTCOME_B,81.66,55.29,8.66,0,0.7625,14,CUSTOM_PORTAL_B
2016,JUSTICE_ASSIST,0,MATCHING,NONPROFIT,47.97,534208.63,187083611.78,93808910.2,3213,917,83403345970.03,NONE,84.66,36.61,1.73,0,0.9729,30,CUSTOM_PORTAL_B
2010,JUSTICE_ASSIST,1,OTHER,NONPROFIT,44.9,112075.93,18676261.24,9394168.58,1200,460,4320532776.89,OUTCOME_B,61.66,67.57,7.56,1,0.3659,18,GRANTS_GOV
2023,BROADBAND,0,MATCHING,STATE,11.51,432740.11,185464358.06,92948549.08,3535,759,75686092994.71,ACCESS_E,82.01,41.61,3.92,1,0.083,31,GRANTS_GOV
2011,BROADBAND,0,COMPETITIVE,LOCAL,56.9,739615.6,49150741.74,24945178.67,5350,1336,28361962866.01,OUTPUT_A,55.45,78.37,16.62,1,0.9367,29,GRANTS_GOV
2019,BROADBAND,1,POPULATION,LOCAL,18.0,734505.12,235093426.26,117913965.69,3013,1276,132636651672.09,OUTPUT_A,59.38,78.57,7.22,0,0.5924,49,STATE_PORTAL
2018,HEALTH_MCH,0,MATCHING,STATE,26.94,97559.11,24666013.92,12381786.52,2061,305,3268982157.52,EQUITY_D,83.49,74.31,16.58,1,0.7641,11,GRANTS_GOV
2023,EDU_BLOCK,1,POPULATION,NONPROFIT,32.52,926703.85,176242008.03,88584355.94,5548,1724,158264943064.4,NONE,84.82,60.49,1.76,1,0.5191,27,STATE_PORTAL
2011,TRANS_FORMULA,1,NEED_BASED,UNIVERSITY,20.46,955592.98,117149990.39,59052791.68,35,6,389246801.4,OUTPUT_A,72.17,89.3,19.18,1,0.1002,15,CUSTOM_PORTAL_A
2021,BROADBAND,1,EQUAL_SHARE,TRIBAL,44.4,753094.19,3731702.51,2242398.35,5118,402,772153584.92,OUTCOME_B,94.97,47.27,13.59,1,0.4527,23,GRANTS_GOV
